-0.0050834-0.00078338i,-0.0038163-0.000284i,-0.0029369-0.00042742i,-0.0013411-0.00094202i,-0.00066024+0.001147i,-0.000667+0.0025195i,5.0068e-05+0.00181i,0.00097131+0.00154i,0.0014104+0.00062987i,0.0016555+0.00024336i,0.0015088+0.00044177i,0.0009461-0.00034874i,0.00044806-0.00085993i,0.00044295-0.0011853i,6.2285e-05-0.00072874i,-0.0011453-0.00033759i,-0.0014981-0.00053625i,-0.0010225-0.00023574i,-0.00066542+0.00028653i,7.3854e-05-0.00011631i,0.00063067-0.00064219i,0.00010482+0.00011791i,-0.00042768+0.00073569i
-0.19732-0.06639i,-0.12187+0.10338i,0.0013814+0.16263i,0.079733+0.11466i,0.1049+0.055619i,0.11402+0.0090705i,0.094522-0.024192i,0.054869-0.028716i,0.020491-0.014725i,-0.0028372+0.0053008i,-0.011774+0.022503i,-0.010742+0.03246i,-0.0038302+0.036175i,0.0066366+0.027448i,0.01449+0.014343i,0.018034+0.0087153i,0.015844+0.0078192i,0.010583+0.0041035i,0.0057147-0.0041329i,0.00071409-0.0066494i,-4.7505e-05-0.0012984i,0.0021486+0.0031441i,0.001229+0.0065238i
0.29135+0.25847i,0.26769+0.16877i,0.19359+0.055014i,0.098828-0.0024436i,0.023089-0.0043714i,-0.02072+0.0072302i,-0.051951+0.026491i,-0.052004+0.048508i,-0.012599+0.037674i,0.02186+0.0035051i,0.034124-0.014837i,0.036065-0.02334i,0.029724-0.030209i,0.023131-0.026011i,0.01836-0.020571i,0.0098126-0.02357i,0.00063246-0.024897i,-0.0086325-0.02002i,-0.016886-0.0090743i,-0.014646+0.0039248i,-0.0035484+0.0047314i,0.004581-0.002576i,0.0097594-0.0047443i
-0.1652-0.39228i,-0.10224-0.38407i,-0.098503-0.2283i,-0.052991-0.065263i,0.013984-0.035226i,0.0082728-0.073758i,0.0030889-0.062343i,0.036723-0.045461i,0.028202-0.047899i,-0.014194-0.03174i,-0.033384-0.012357i,-0.031635-0.0048155i,-0.023961-0.0047966i,-0.019843-0.010173i,-0.016157-0.012946i,-0.0089924-0.014341i,-0.0085219-0.014774i,-0.011997-0.0061444i,-0.006153+0.001537i,-0.00098921-0.002557i,-0.0081127-0.0055717i,-0.014442-0.0046472i,-0.010589-0.0091573i
-0.064961+0.18798i,-0.15912+0.24545i,-0.047286+0.22877i,0.055001+0.10672i,0.0030768+0.037856i,-0.037349+0.088761i,0.0029746+0.088747i,0.0076968+0.020891i,-0.011242-0.001501i,-0.0025356+0.0062699i,0.00015732-0.0021075i,-0.0097777-0.010802i,-0.016749-0.0063168i,-0.017716+0.0035051i,-0.016318+0.011625i,-0.019842+0.018588i,-0.020319+0.025029i,-0.0094535+0.024602i,0.0010719+0.016643i,0.0051414+0.01008i,0.010587+0.0070804i,0.014237+0.0031351i,0.0054027+0.001626i
-0.11078+0.21914i,0.07555+0.1847i,0.14304+0.015587i,0.075001-0.069357i,0.023552-0.02994i,0.01084-0.028092i,-0.054938-0.058665i,-0.10726-0.031467i,-0.080625-0.00085317i,-0.045476+0.0037297i,-0.035391+0.023748i,-0.020999+0.037677i,-0.003185+0.027338i,0.002206+0.016627i,0.0058787+0.011659i,0.015272+0.0070034i,0.023109+0.0057463i,0.026121+0.0037929i,0.02208-0.0012883i,0.012511+0.00040135i,0.002784+0.0058381i,-0.0045086+0.0075163i,-0.0046275+0.010057i
0.56551-0.14869i,0.40162-0.22785i,0.098062-0.21038i,-0.071606-0.10315i,-0.049965-0.013935i,0.0055686+0.045171i,0.039316+0.11662i,0.072087+0.13551i,0.068929+0.077057i,0.035289+0.017372i,0.017364-0.006574i,0.0098574-0.013781i,-0.00083525-0.015394i,-0.00015853-0.0094196i,0.011768-0.0025701i,0.021004-0.0064926i,0.018858-0.019293i,0.006779-0.02835i,-0.0027294-0.026232i,-0.0033175-0.023211i,-0.00427-0.023289i,-0.0032434-0.016991i,0.0066005-0.0098824i
-0.34972-0.24183i,-0.32083-0.19186i,-0.20057+0.019884i,-0.057365+0.12176i,-0.020204+0.047179i,-0.04775-0.016422i,-0.018367-0.024278i,0.011902-0.031903i,-0.0039179-0.018009i,-0.022981+0.013432i,-0.021905+0.032281i,-0.010286+0.037468i,-0.0040693+0.036274i,-0.0045642+0.02753i,-0.0075415+0.0074604i,-0.015672-0.01137i,-0.021238-0.015314i,-0.016661-0.011297i,-0.006853-0.011495i,-5.6799e-05-0.0072345i,0.010309+0.0052247i,0.020714+0.0054062i,0.014511-0.0081154i
-0.099393+0.0076273i,-0.10843+0.15711i,0.059592+0.17495i,0.14235+0.091651i,0.096376+0.05113i,0.10072+0.028991i,0.12889-0.04928i,0.10564-0.093179i,0.064634-0.067513i,0.029422-0.031727i,0.0061744-0.020814i,0.0029529-0.024298i,0.0091644-0.022939i,0.011546-0.019084i,0.008066-0.010963i,0.001462+0.0034621i,-0.0083533+0.015133i,-0.018692+0.022588i,-0.028402+0.024534i,-0.033708+0.015314i,-0.033243-0.0020737i,-0.034464-0.013134i,-0.03512-0.0046439i
-0.0030407+0.40491i,0.16302+0.24904i,0.16884+0.020285i,0.080031-0.034914i,0.014313+0.026629i,-0.085755+0.019879i,-0.21309-0.010395i,-0.228-0.010632i,-0.12918-0.0079314i,-0.030553+0.0014897i,0.0022527+0.011565i,-0.0033426+0.003995i,-0.008823-0.0064637i,-0.015892-0.00012509i,-0.020243+0.010717i,-0.010553+0.01174i,0.008684+0.012266i,0.030117+0.0093668i,0.043695+0.0022944i,0.044544+0.0014804i,0.037596+0.0077137i,0.029771+0.016118i,0.027556+0.018566i
0.26211-0.23869i,0.18921-0.20967i,0.092099-0.12426i,0.084574-0.085252i,0.087506-0.11593i,0.041627-0.080436i,0.014446+0.0358i,0.0084716+0.09584i,0.0077352+0.068125i,0.0086729+0.015228i,-0.0078936-0.0011762i,-0.025263+0.014199i,-0.01736+0.01197i,0.0090137+0.002189i,0.036585+0.0043266i,0.052007-0.0021512i,0.048398-0.023213i,0.025048-0.036939i,-0.0031254-0.035538i,-0.022815-0.029183i,-0.030346-0.02221i,-0.020819-0.013635i,-0.0015549-0.012939i
-0.029537-0.094678i,-0.048542-0.22127i,-0.044238-0.21739i,-0.049536-0.13083i,-0.10052+0.021543i,-0.11352+0.17783i,-0.045734+0.21875i,0.027864+0.15567i,0.050347+0.04482i,0.021991-0.041337i,-0.00094367-0.03667i,0.0068508-0.0023703i,-0.0032785+0.0047553i,-0.027758+0.0028234i,-0.030802-0.010159i,-0.032191-0.033302i,-0.044943-0.043336i,-0.045337-0.032734i,-0.029695-0.016998i,-0.013335-0.0059321i,0.0029029+0.00014969i,0.01199-0.011592i,-0.003849-0.028485i
-0.14705-0.071568i,-0.17015+0.074001i,-0.13178+0.064273i,-0.043872-0.047968i,0.1242-0.13128i,0.27288-0.15452i,0.27835-0.12517i,0.17374-0.082266i,0.010517-0.041864i,-0.11713+0.014447i,-0.11133+0.040989i,-0.050752+0.019966i,-0.0202+0.018426i,0.0050286+0.038809i,0.020078+0.039838i,0.006283+0.035944i,-0.01629+0.043512i,-0.02683+0.045819i,-0.02588+0.03874i,-0.023896+0.035296i,-0.024846+0.032458i,-0.031007+0.028871i,-0.03141+0.036513i
-0.053904+0.15675i,-0.05791+0.13364i,-0.11046+0.16211i,-0.24287+0.175i,-0.37756+0.13315i,-0.35749+0.059421i,-0.18416-0.028293i,-0.028042-0.069132i,0.070637-0.0070963i,0.13974+0.063146i,0.12348+0.045594i,0.050933+0.011427i,0.019979+0.0017603i,0.023934-0.014254i,0.020493-0.024786i,0.013898-0.012546i,0.018687+0.010934i,0.030225+0.025504i,0.041709+0.016831i,0.053796-0.0063043i,0.051109-0.021577i,0.029741-0.014793i,0.016766+0.0024343i
0.096389-0.026637i,0.17948+0.011905i,0.234+0.083784i,0.24875+0.22513i,0.25804+0.29298i,0.21596+0.18096i,0.055467+0.0059397i,-0.098148-0.0688i,-0.11549-0.075223i,-0.082901-0.077167i,-0.071952-0.030135i,-0.037972+0.021563i,-0.0033284+0.010347i,-0.0027651-0.020279i,0.0017373-0.031104i,0.025457-0.03262i,0.045689-0.037068i,0.050483-0.045204i,0.029014-0.048448i,-0.010554-0.03705i,-0.027013-0.0062692i,0.0018812+0.023633i,0.039835+0.022914i
0.081413+0.047757i,0.073339-0.015449i,0.10329-0.056317i,0.17019-0.11155i,0.12241-0.19761i,-0.078662-0.17656i,-0.20686+0.011732i,-0.13744+0.15463i,-0.019858+0.1323i,0.02401+0.057516i,0.022645+0.010216i,0.0054983-0.011136i,-0.01901-0.008614i,-0.038355+0.0081232i,-0.045372+0.013285i,-0.044261-0.0014657i,-0.043524-0.02064i,-0.045291-0.032982i,-0.03846-0.031132i,-0.019178-0.022358i,0.0040448-0.024763i,0.01678-0.040494i,0.013934-0.050917i
0.027348-0.14663i,0.092772-0.098637i,0.10617-0.041724i,0.019783-0.012812i,-0.11023+0.051428i,-0.10526+0.16054i,0.041337+0.1726i,0.12265+0.069817i,0.091395-0.028363i,0.036193-0.060403i,-0.0029774-0.035035i,0.0039122-0.0053943i,0.021886-0.0041066i,0.012916+0.0025508i,0.0085126+0.023479i,0.019272+0.03183i,0.019406+0.024581i,-0.001363+0.018476i,-0.028509+0.021145i,-0.043659+0.031247i,-0.037367+0.033909i,-0.02181+0.011335i,-0.020452-0.012565i
-0.12657-0.083356i,-0.097933-0.17038i,0.10127-0.17506i,0.3197-0.050067i,0.40177+0.099603i,0.30983+0.11222i,0.12766+0.040458i,0.017804-0.012536i,-0.022679-0.071071i,-0.079827-0.095648i,-0.097383-0.052846i,-0.06976-0.025472i,-0.054915-0.019533i,-0.035682+0.00033738i,-0.012064+0.0060047i,-0.0095576-0.01623i,-0.019031-0.034231i,-0.014932-0.023154i,0.013613-0.0044781i,0.046233-0.008426i,0.050609-0.030866i,0.015944-0.039145i,-0.018574-0.018927i
-0.018784+0.14598i,0.025719+0.13008i,0.022212-0.099533i,-0.022138-0.3952i,-0.12963-0.50924i,-0.19449-0.33287i,-0.14808-0.067094i,-0.1082+0.069643i,-0.11666+0.12466i,-0.099151+0.16231i,-0.061361+0.14534i,-0.041577+0.094693i,-0.029363+0.059672i,-0.021166+0.053509i,-0.0055063+0.057076i,0.0052313+0.049453i,-0.0017091+0.045624i,0.0043859+0.031994i,0.0099418-0.0088025i,-0.014999-0.026632i,-0.038035+0.0009189i,-0.027578+0.029028i,-0.0014689+0.02696i
0.12204-0.089774i,0.1043-0.23106i,-0.045506-0.2346i,-0.25126-0.029226i,-0.30182+0.26084i,-0.15663+0.4019i,0.047429+0.30992i,0.16712+0.12357i,0.17334-0.017804i,0.10994-0.054244i,0.053173-0.0081673i,0.041576+0.011172i,0.031418-0.0045107i,0.038772+0.011605i,0.077005+0.030958i,0.10194+0.019882i,0.098258-0.005754i,0.057408-0.026687i,0.0075394-0.015764i,0.0063711+0.0082129i,0.037945+0.0049985i,0.044259-0.0089331i,0.019432+0.0034502i
-0.090306-0.090324i,-0.16363-0.12429i,-0.1689-0.11662i,-0.054119-0.10399i,0.056039-0.098188i,0.05837-0.055607i,0.0072017+0.00032695i,-0.045089+0.027891i,-0.087659+0.063426i,-0.075796+0.10373i,-0.032955+0.09524i,-0.01022+0.047323i,0.0096416+0.012059i,0.041604-0.022245i,0.06283-0.080864i,0.041619-0.13721i,-0.022348-0.14685i,-0.074914-0.096725i,-0.07271-0.040095i,-0.049119-0.020548i,-0.039996-0.021027i,-0.024045-0.016631i,0.019627-0.003429i
-0.085191+0.24861i,-0.048377+0.17907i,-0.065855-0.056502i,-0.14165-0.31389i,-0.16929-0.36308i,-0.067677-0.21649i,0.098642-0.090886i,0.17639-0.069245i,0.16083-0.050739i,0.1238+0.026066i,0.087136+0.095342i,0.040871+0.10821i,-0.010527+0.081997i,-0.037357+0.040487i,-0.039973+0.0043292i,-0.041038-0.0084862i,-0.034056+0.00021175i,-0.014349+0.0069794i,-0.011804-0.0045258i,-0.029462-0.013576i,-0.035405-0.010202i,-0.022607-0.0086832i,-0.0046023-0.02228i
0.73473+10.153i,3.6357+7.446i,6.1112+5.5244i,6.2873+2.5978i,5.4956+0.015995i,3.6976-1.9274i,1.1076-1.7589i,-0.091291-0.14173i,0.67878+0.83524i,1.7473+0.38046i,1.4328-0.72497i,0.20605-1.14i,-0.54035-0.71i,-0.63419-0.21034i,-0.45592-0.029292i,-0.20827+0.020915i,0.038326+0.061468i,0.18609+0.060594i,0.17153+0.066446i,0.13891+0.14096i,0.2389+0.16407i,0.36804+0.054804i,0.40337-0.069776i
-0.41151+0.16552i,-0.60546+0.21309i,-0.68766+0.34946i,-0.45138+0.59432i,0.1205+0.62573i,0.54476+0.25529i,0.46414-0.17267i,0.12795-0.28311i,-0.062211-0.1285i,-0.038655+0.010043i,-0.0049425-0.0032786i,-0.059718-0.062371i,-0.1153-0.084154i,-0.12576-0.11583i,-0.12209-0.1369i,-0.10605-0.12955i,-0.094903-0.12204i,-0.092879-0.096953i,-0.063473-0.063743i,-0.012867-0.054049i,0.018791-0.053958i,0.019368-0.052237i,0.012182-0.044886i
0.015231+0.050544i,-0.063307+0.17454i,-0.35459+0.10815i,-0.71096-0.11045i,-0.80974-0.22615i,-0.47513-0.12943i,-0.01537-0.057229i,0.1468-0.080862i,0.09276+0.015435i,0.11135+0.12717i,0.12894+0.045684i,0.046307-0.064003i,0.0030138-0.067305i,1.2453e-06-0.059226i,-0.048486-0.051639i,-0.087424-0.014309i,-0.078557+0.017394i,-0.052768+0.054849i,-0.016651+0.098996i,0.023309+0.10099i,0.035408+0.069595i,0.028759+0.047661i,0.028416+0.025009i
0.033497-0.1264i,-0.093297-0.27762i,-0.36628-0.26418i,-0.67821-0.08355i,-0.73347+0.11325i,-0.4564+0.15809i,-0.10548+0.012436i,0.067371-0.10827i,0.098534-0.065971i,0.12589-0.015505i,0.14073-0.072844i,0.10631-0.1308i,0.059179-0.097902i,0.041138-0.021252i,0.037497+0.038143i,0.037084+0.071407i,0.046088+0.076225i,0.041808+0.055591i,0.01943+0.04402i,0.0087637+0.0475i,0.0065766+0.044713i,0.00046049+0.036238i,-0.0033445+0.023605i
-0.2897-0.0083106i,-0.31249+0.042166i,-0.11866-0.035003i,0.22691-0.20287i,0.4699-0.3272i,0.39619-0.33207i,0.13895-0.20075i,0.0055006-0.044073i,-0.045043+0.019797i,-0.1145+0.049392i,-0.095087+0.080236i,-0.021061+0.073744i,0.026375+0.061264i,0.063922+0.036616i,0.06856-0.011539i,0.045439-0.031404i,0.042086-0.018651i,0.047928-0.0077228i,0.040358+0.0009231i,0.037785+0.014746i,0.049284+0.014915i,0.047376-0.0059824i,0.030123-0.025796i
0.22513+0.24917i,0.28629+0.26649i,0.27247+0.15019i,0.22327-0.14157i,0.12051-0.42853i,0.0016365-0.42832i,-0.025885-0.21761i,-0.01217-0.083769i,-0.035947-0.050556i,-0.029612-0.023368i,0.013564-0.0003025i,0.02671+0.024617i,0.015548+0.027085i,-0.015261-0.0077271i,-0.053688-0.027673i,-0.066804-0.022251i,-0.060631-0.021749i,-0.047325-0.025827i,-0.030722-0.030534i,-0.030981-0.037246i,-0.052114-0.032251i,-0.067615-0.0055931i,-0.065592+0.024279i
-0.10156-0.34927i,-0.10443-0.39268i,-0.16396-0.20238i,-0.26108+0.17056i,-0.27062+0.45617i,-0.14825+0.39704i,-0.041543+0.13961i,-0.0071664+0.02051i,0.042355+0.029393i,0.083409+0.0062164i,0.058194-0.027103i,0.017-0.033786i,-0.0086062-0.033862i,-0.02741-0.026004i,-0.040925-0.017499i,-0.057432-0.013486i,-0.072987-0.0023355i,-0.071653+0.022352i,-0.046539+0.049756i,-0.0083895+0.058628i,0.019065+0.050434i,0.026262+0.043885i,0.018933+0.041816i
-0.11614+0.29262i,-0.20295+0.3396i,-0.13845+0.21561i,0.030283+0.039684i,0.15521-0.027668i,0.13487+0.034389i,0.049486+0.1299i,0.040736+0.15497i,0.065317+0.095866i,0.052376+0.031118i,0.03562+0.0031954i,0.02361+0.0086896i,0.022428+0.040729i,0.041807+0.061648i,0.049854+0.069189i,0.052771+0.084225i,0.076553+0.082222i,0.090326+0.042587i,0.062292-0.00099978i,0.016955-0.010945i,-0.0062808-0.0038438i,-0.0026946-0.0074087i,0.0084281-0.019493i
0.20351-0.13243i,0.29343-0.15911i,0.22302-0.20069i,0.074334-0.30765i,-0.024637-0.4038i,-0.038546-0.38009i,0.0016508-0.27808i,0.0067036-0.21668i,-0.046021-0.15523i,-0.051968-0.056193i,0.0028736-0.0096424i,0.039365-0.022116i,0.050215-0.048181i,0.051827-0.079211i,0.051691-0.099754i,0.056774-0.11359i,0.042349-0.12712i,0.0020932-0.1072i,-0.019911-0.051827i,-0.0035739-0.011423i,0.017706-0.00029467i,0.021741+0.0043721i,0.015116+0.0039405i
-0.068908-0.032421i,-0.14836-0.10516i,-0.12645-0.057034i,-0.067879+0.085562i,-0.027032+0.17455i,0.00037632+0.12925i,-0.00073391+0.04441i,-0.020617+0.033375i,-0.027185+0.058876i,-0.034116+0.045103i,-0.044603+0.023518i,-0.040986+0.015768i,-0.054561+0.0044783i,-0.096613+0.0014054i,-0.13552+0.0091541i,-0.15705+0.026087i,-0.14672+0.059034i,-0.090571+0.081564i,-0.030101+0.064987i,-0.0060946+0.029876i,-0.00092345+0.0020039i,-0.0026718-0.013676i,-0.013048-0.0072031i
-0.12368+0.20414i,-0.07683+0.30975i,-0.063868+0.27979i,-0.051699+0.17845i,-0.013332+0.12188i,0.0053579+0.1054i,0.01657+0.083914i,0.051646+0.035083i,0.08523-0.021105i,0.10241-0.042448i,0.10095-0.034491i,0.066899-0.0081877i,0.035091+0.042139i,0.038357+0.091244i,0.055727+0.11675i,0.071468+0.12485i,0.089298+0.10779i,0.088827+0.051706i,0.053658+0.0010237i,0.0092641-0.0033787i,-0.025251+0.01218i,-0.043386+0.022896i,-0.036573+0.02715i
0.21419-0.16122i,0.17738-0.22755i,0.084363-0.20207i,0.006844-0.14339i,0.00024399-0.10602i,0.050233-0.063353i,0.079198-0.031265i,0.035662-0.0037857i,-0.024896+0.029089i,-0.044848+0.025288i,-0.040509-0.014765i,-0.017497-0.043791i,0.025787-0.061563i,0.063752-0.093072i,0.074621-0.13091i,0.064888-0.16414i,0.030387-0.18084i,-0.030807-0.144i,-0.059697-0.064518i,-0.024035-0.010023i,0.025991+0.0019777i,0.051555-0.001729i,0.053537-0.015677i
-0.21842+0.018594i,-0.19996+0.0071484i,-0.076461-0.047442i,0.060447-0.11986i,0.099869-0.19053i,0.024473-0.23535i,-0.082513-0.20692i,-0.12279-0.12401i,-0.11066-0.041781i,-0.087454+0.017143i,-0.063115+0.037453i,-0.056838+0.02871i,-0.067102+0.017528i,-0.091649+0.0082254i,-0.13031+0.015799i,-0.15903+0.054033i,-0.13745+0.10114i,-0.056337+0.11958i,0.018908+0.086042i,0.033607+0.028748i,0.013196-0.010766i,-0.0031695-0.02576i,-0.0098516-0.01896i
0.18688+0.084304i,0.14731+0.1364i,0.046083+0.15784i,-0.050809+0.14285i,-0.1043+0.10706i,-0.089583+0.077585i,0.0034915+0.055983i,0.10956+0.0065651i,0.14254-0.04878i,0.11315-0.049175i,0.096719+0.0036145i,0.10396+0.048076i,0.096162+0.060666i,0.082932+0.070273i,0.089047+0.079266i,0.10937+0.080939i,0.12358+0.060177i,0.10386+0.0026002i,0.046257-0.045994i,-0.014476-0.043678i,-0.053086-0.012151i,-0.069979+0.01657i,-0.069637+0.030857i
-0.10573-0.1409i,-0.076524-0.20206i,-0.036799-0.16994i,-0.020979-0.046935i,0.011284+0.11859i,0.051256+0.20747i,0.025483+0.18287i,-0.035358+0.14648i,-0.045397+0.1244i,-0.016675+0.070449i,-0.0088861+0.00084835i,-0.02388-0.044715i,-0.028017-0.063697i,-0.022286-0.079433i,-0.022384-0.092565i,-0.021955-0.10658i,-0.036125-0.1179i,-0.075174-0.083597i,-0.084537-0.0049806i,-0.033+0.051166i,0.029222+0.054957i,0.062306+0.035743i,0.070914+0.012927i
0.032675+0.14604i,0.010967+0.17866i,0.0033425+0.051928i,0.023067-0.16677i,0.036053-0.3396i,0.024502-0.3576i,0.026099-0.27382i,0.0087931-0.21465i,-0.058662-0.15199i,-0.089466-0.05703i,-0.049532-0.013166i,-0.011764-0.014307i,-0.005041+0.0049782i,-0.011328+0.037728i,-0.02909+0.061393i,-0.052509+0.077415i,-0.051032+0.08766i,-0.0090684+0.081566i,0.039165+0.044604i,0.049952-0.010171i,0.024842-0.04308i,-0.0036617-0.041885i,-0.016717-0.026347i
0.019608-0.13789i,0.0054103-0.15311i,-0.033735-0.014991i,-0.081581+0.14598i,-0.11709+0.19473i,-0.10469+0.12953i,-0.070166+0.04004i,-0.039023+0.023173i,0.021241+0.050305i,0.071999+0.043605i,0.06216+0.037508i,0.03583+0.050603i,0.027554+0.034628i,0.028135-0.00055915i,0.039728-0.022671i,0.050626-0.029814i,0.043472-0.022195i,0.02863-0.015034i,0.0024811-0.020449i,-0.039326-0.014706i,-0.058664+0.010101i,-0.043734+0.023505i,-0.028708+0.018343i
-0.10273+0.089844i,-0.096715+0.12028i,-0.020922+0.035538i,0.058322-0.030611i,0.10443+0.014084i,0.080931+0.094626i,0.0063838+0.15085i,-0.018942+0.16215i,-0.0011485+0.11107i,0.0071703+0.049494i,0.016615+0.0053864i,0.012809-0.031933i,-0.012403-0.034304i,-0.030879-0.011164i,-0.040496+0.0071732i,-0.033096+0.024656i,-0.0067281+0.028662i,-0.00027682+0.020246i,-0.0076311+0.04097i,0.015728+0.077409i,0.044583+0.072476i,0.041916+0.040785i,0.02996+0.020259i
0.14493-0.013889i,0.1305-0.049759i,0.011804-0.042712i,-0.068357-0.054802i,-0.04054-0.11327i,0.028365-0.14522i,0.093297-0.12754i,0.098361-0.12254i,0.041214-0.10854i,0.015254-0.066465i,0.032278-0.037486i,0.049325-0.01793i,0.067072-0.0067219i,0.07464-0.011959i,0.062223-0.017021i,0.040081-0.024892i,0.017184-0.033509i,0.012206-0.031606i,0.038112-0.046768i,0.061137-0.087802i,0.048622-0.098683i,0.026776-0.063413i,0.016674-0.029094i
-0.1873-0.058219i,-0.17011-0.00096006i,-0.036947+0.07605i,0.049767+0.12151i,0.013371+0.1171i,-0.016875+0.074741i,-0.0035043+0.005347i,-0.0045248-0.013038i,-0.00162+0.01685i,0.0031909+0.012416i,-0.012355-0.023204i,-0.041609-0.047284i,-0.077326-0.042289i,-0.09557-0.019519i,-0.087056-0.0042089i,-0.070758+0.0036135i,-0.050759+0.015236i,-0.035106+0.019848i,-0.060502+0.015456i,-0.11276+0.024784i,-0.1188+0.037614i,-0.078305+0.025796i,-0.047117+0.0039031i
0.12404+0.10727i,0.12234+0.047581i,0.031192-0.10106i,-0.040622-0.17893i,-0.010469-0.1367i,-0.0023183-0.085343i,-0.065185-0.034762i,-0.072492+0.018643i,-0.023885+0.027105i,0.0049086+0.014267i,0.0092573+0.021427i,0.017388+0.041718i,0.047569+0.051557i,0.075502+0.041913i,0.079408+0.034334i,0.074246+0.034549i,0.063685+0.020711i,0.044604+0.0094201i,0.054819+0.037859i,0.10301+0.072816i,0.1187+0.063664i,0.077129+0.03515i,0.035237+0.023301i
-0.018572-0.10793i,-0.047131-0.062462i,-0.057306+0.082039i,-0.031684+0.14816i,-0.029729+0.085733i,-0.024405+0.048686i,0.034207+0.04704i,0.054953+0.0016242i,0.0061466-0.040607i,-0.039429-0.03847i,-0.044124-0.032009i,-0.030192-0.044184i,-0.030692-0.060965i,-0.038399-0.069744i,-0.040117-0.073843i,-0.042462-0.069109i,-0.040036-0.045249i,-0.022388-0.032874i,-0.0075559-0.076296i,-0.016373-0.13788i,-0.030909-0.13653i,-0.023852-0.081991i,-0.0066834-0.036693i
-0.10477+0.077168i,-0.04392+0.074974i,0.082229-0.027811i,0.12404-0.10632i,0.094943-0.074616i,0.072935-0.046291i,0.038313-0.061617i,0.0056027-0.037697i,0.0090266+0.018896i,0.035356+0.047721i,0.043573+0.041818i,0.012911+0.040238i,-0.0244+0.057856i,-0.045446+0.072137i,-0.053158+0.080336i,-0.039011+0.080022i,-0.012305+0.057308i,-0.010208+0.036883i,-0.049005+0.059606i,-0.087714+0.10265i,-0.082263+0.10313i,-0.05175+0.059559i,-0.029771+0.018908i
0.19278+0.0021526i,0.11888-0.069991i,-0.093018-0.080986i,-0.1991-0.037574i,-0.14857-0.029824i,-0.085183-0.034077i,-0.051467-0.0105i,-0.024941+0.0040593i,-0.0085932-0.0080657i,-0.0044569-0.029371i,-0.0025095-0.034002i,0.021723-0.020224i,0.063978-0.010204i,0.10024-0.012125i,0.11372-0.022951i,0.093789-0.037085i,0.051345-0.040167i,0.02744-0.023799i,0.063013-0.0013161i,0.11825+0.0062259i,0.11595+0.0037896i,0.067761+0.012064i,0.028009+0.022522i
-0.22723-0.082735i,-0.18628+0.027533i,0.011118+0.13517i,0.13939+0.14525i,0.11638+0.11632i,0.051613+0.085503i,0.0042961+0.044263i,-0.021271+0.015838i,-0.023648+0.0099331i,-0.018673+0.013647i,-0.019586+0.012821i,-0.034066+0.00069085i,-0.058391-0.017846i,-0.085735-0.036311i,-0.10601-0.037427i,-0.098569-0.014373i,-0.063823+0.011208i,-0.032745+0.0057054i,-0.04088-0.043804i,-0.070246-0.088389i,-0.069294-0.082423i,-0.036668-0.055344i,-0.0092951-0.037273i
0.19689+0.17753i,0.20836+0.062224i,0.095508-0.12166i,-0.0054684-0.22277i,-0.018684-0.21504i,0.014009-0.14483i,0.050399-0.056375i,0.068119-0.0026349i,0.051479+0.009629i,0.026274+0.014067i,0.026157+0.0201i,0.04021+0.026412i,0.047996+0.040559i,0.050705+0.064662i,0.054699+0.078628i,0.057243+0.060172i,0.048383+0.022328i,0.022642+0.011316i,-0.0066587+0.05553i,-0.01974+0.10199i,-0.018556+0.092088i,-0.019306+0.057071i,-0.018447+0.037339i
-0.15201-0.2223i,-0.21891-0.1562i,-0.22673+0.029555i,-0.18627+0.1777i,-0.11942+0.20642i,-0.058615+0.13529i,-0.030046+0.031276i,-0.032637-0.027474i,-0.026748-0.022367i,0.001235-0.0095084i,0.012135-0.020083i,-0.0018457-0.036468i,-0.0095717-0.052142i,-0.00036843-0.072317i,0.0083792-0.084907i,-0.0016696-0.073275i,-0.019668-0.040247i,-0.01079-0.012926i,0.035789-0.016681i,0.073591-0.029666i,0.068657-0.021298i,0.048872-0.0075558i,0.034464-0.009697i
0.091747+0.25249i,0.17089+0.23786i,0.24998+0.091296i,0.26464-0.059516i,0.19507-0.11338i,0.10413-0.08304i,0.038368-0.027816i,0.017247+0.012399i,0.018447+0.011704i,0.011465-0.0094879i,0.0042666-0.016288i,1.4272e-05-0.0019505i,-0.01375+0.02487i,-0.031856+0.045491i,-0.041238+0.051466i,-0.030593+0.047935i,-0.0063496+0.033103i,-0.0021931+0.0073983i,-0.033915-0.01502i,-0.057032-0.028412i,-0.045522-0.033013i,-0.032118-0.024889i,-0.02883-0.0066615i
0.00021366-0.26049i,-0.087995-0.31346i,-0.21898-0.24475i,-0.27875-0.12597i,-0.20159-0.052348i,-0.088563-0.039635i,-0.022593-0.038749i,-0.0044518-0.031971i,-0.014973-0.016585i,-0.028281-0.0003991i,-0.029835+0.0040477i,-0.014111+0.00029274i,0.018305-0.0068696i,0.044493-0.015178i,0.047762-0.021761i,0.031507-0.02492i,0.0088766-0.01965i,0.0025727+0.00092455i,0.017203+0.030806i,0.022496+0.048618i,0.010645+0.042299i,0.0063088+0.027022i,0.014853+0.011742i
