1.6606e-06+0.0013371i,0.00091744-0.00012175i,0.00074143-0.001524i,0.0010055-0.0025559i,9.373e-05-0.0019917i,-0.0013359-0.00016809i,-0.0011556+0.00061459i,7.1353e-05+0.00085286i,0.00060025+0.00025463i,0.00036391-0.00050864i,0.00061618-0.00042481i,0.001134-0.00055755i,0.00096118+0.00029443i,0.00031954+0.001168i,0.00029823+0.0013224i,0.00024421+0.0015757i,-0.00025518+0.0009024i,3.3829e-05+0.00057535i,0.00040346+0.0006691i,2.0917e-05+0.00042544i,-3.0643e-07+0.00059408i,0.0010736+0.00049141i,0.0012222-0.00028298i
-0.12374+0.024652i,-0.19881+0.11587i,-0.13295+0.21649i,0.075687+0.19453i,0.17094+0.068579i,0.063664+0.018174i,-0.017676+0.049932i,-0.024029+0.037178i,-0.039519-0.0061623i,-0.044126-0.0226i,-0.025351-0.023572i,-0.00022635-0.013665i,0.025594-0.0068597i,0.029389-0.017447i,0.010235-0.025674i,-0.0045817-0.026028i,-0.0071704-0.032971i,-0.0098003-0.04115i,-0.015547-0.033201i,-0.013669-0.01972i,-0.0088953-0.020702i,-0.013447-0.028074i,-0.01918-0.024696i
0.08187-0.1282i,0.15465-0.24521i,0.19548-0.30974i,0.15955-0.2796i,0.082875-0.20354i,0.032521-0.12105i,0.029789-0.030905i,0.066082+0.025271i,0.082386+0.021328i,0.047732-0.012288i,-0.0043039-0.03211i,-0.035953-0.017123i,-0.043159+0.01333i,-0.041803+0.041212i,-0.04148+0.060525i,-0.045073+0.065383i,-0.051737+0.055897i,-0.046326+0.033815i,-0.029906+0.0096415i,-0.023693-0.0016007i,-0.025321+0.0002168i,-0.023991+0.004173i,-0.018543+0.0065426i
-0.10492+0.14191i,-0.16434+0.26883i,-0.18235+0.27302i,-0.17364+0.13324i,-0.15107+0.048911i,-0.086121+0.066489i,-0.011424+0.03025i,0.0046383-0.033172i,-0.0020313-0.038887i,-0.0093394-0.012458i,-0.022953+0.017471i,-0.018652+0.018784i,-0.0095533-0.0078405i,-0.0063894-0.018108i,0.010338-0.0098601i,0.034974-0.0017175i,0.047208+0.0086742i,0.037512+0.019521i,0.017061+0.020664i,0.0042931+0.017272i,-0.0039113+0.015573i,-0.0094796+0.020471i,-0.00342+0.025506i
-0.0039872-0.13091i,-0.022964-0.26369i,-0.060684-0.26596i,-0.078298-0.078995i,-0.046463+0.073334i,-0.016967+0.074249i,-0.031954+0.041228i,-0.046833+0.015864i,-0.053495-0.010465i,-0.05237+0.0014466i,-0.027308+0.038646i,0.0056307+0.053518i,0.034842+0.040909i,0.057187+0.0085731i,0.059047-0.032989i,0.045996-0.058525i,0.03476-0.05652i,0.021712-0.039712i,0.0048077-0.017834i,0.0018308+0.00091677i,0.01316+0.0093007i,0.023008+0.0083346i,0.025522-0.0014014i
0.06883+0.20098i,0.18816+0.37302i,0.3063+0.40528i,0.33274+0.24261i,0.27457+0.078273i,0.20896+0.013005i,0.15772-0.00062681i,0.1105+0.014052i,0.074123+0.028336i,0.051341+0.020259i,0.037452+0.0015589i,0.0081993-0.0076229i,-0.031596-8.1922e-06i,-0.057544+0.0073142i,-0.077468+0.0078687i,-0.091774+0.0030131i,-0.087392-0.010252i,-0.056492-0.0177i,-0.013833-0.01618i,0.007513-0.018841i,0.0073971-0.018066i,0.010212-0.0086529i,0.012609-0.0024946i
-0.075091-0.11397i,-0.201-0.24415i,-0.26793-0.28531i,-0.17758-0.20296i,-0.072628-0.11813i,-0.077065-0.053324i,-0.074194+0.00751i,-0.0055433+0.014575i,0.05499-0.0056861i,0.083674-0.0082459i,0.087966-0.0089045i,0.07381-0.013402i,0.042341-0.020767i,-0.011033-0.016406i,-0.051738+0.01686i,-0.052575+0.058032i,-0.033935+0.081393i,-0.019133+0.072713i,-0.010156+0.043041i,-0.0036633+0.016372i,-0.004245-0.0083129i,-0.013521-0.033893i,-0.023919-0.045136i
0.17114+0.049952i,0.32377+0.038749i,0.31248-0.067872i,0.076068-0.17853i,-0.1049-0.15554i,-0.07623-0.082843i,-0.017401-0.076257i,-0.026544-0.10021i,-0.050043-0.10795i,-0.063361-0.090251i,-0.06101-0.05357i,-0.036025-0.016885i,-0.0027908+0.012567i,0.029532+0.031697i,0.061666+0.036046i,0.086543+0.027776i,0.091313+0.011805i,0.069756-0.0060395i,0.033204-0.021263i,0.0016928-0.021311i,-0.014436-0.0029196i,-0.017021+0.019516i,-0.010874+0.033686i
-0.13788-0.039268i,-0.30187+0.021953i,-0.34933+0.18451i,-0.18596+0.31633i,0.014742+0.29869i,0.11456+0.20871i,0.14156+0.14132i,0.1035+0.095254i,0.035309+0.055374i,0.0026212+0.0048409i,-0.0069-0.0487i,-0.026129-0.071411i,-0.039625-0.047321i,-0.026588-0.0075975i,0.00029776+0.0018274i,0.014624-0.02896i,0.010194-0.064449i,0.0046264-0.063596i,0.0086163-0.036267i,0.01009-0.019348i,-0.0015645-0.016206i,-0.012797-0.0097172i,-0.0073859-0.0024404i
0.1116-0.058097i,0.19433-0.11164i,0.19453-0.097184i,0.11671-0.010271i,0.036301+0.0043673i,-0.047439-0.093085i,-0.10379-0.1595i,-0.070814-0.12095i,-0.0028427-0.042887i,0.018537+0.0083036i,-0.0057391+0.022915i,-0.036648+0.033706i,-0.039849+0.036331i,-0.035296+0.015521i,-0.053389-0.0056905i,-0.083631-0.00049902i,-0.10167+0.025019i,-0.089485+0.031937i,-0.060345+0.015298i,-0.039895+0.009604i,-0.019374+0.021401i,0.0044487+0.026514i,0.014208+0.015981i
-0.10943+0.039292i,-0.13414+0.085621i,-0.0093981+0.045353i,0.15868-0.097365i,0.16925-0.1602i,0.047119-0.073743i,-0.040182+0.032317i,-0.03879+0.042758i,-0.011128-0.0081581i,-0.02642-0.025444i,-0.060656+0.024843i,-0.037246+0.077995i,0.021803+0.067582i,0.052188+0.017754i,0.050654-0.013161i,0.042639-0.0060457i,0.045197+0.018918i,0.04069+0.029042i,0.015763+0.014951i,-0.005533+0.0048497i,-0.0080216+0.0029092i,-0.00068563-0.0061885i,0.0043332-0.013511i
0.041299-0.025679i,0.086163-0.056337i,0.039633-0.057864i,-0.097421-0.0068387i,-0.18351+0.080832i,-0.12919+0.19056i,-0.0088711+0.21796i,0.042163+0.14153i,0.014731+0.04669i,0.00029914-0.00096879i,0.031159-0.0046199i,0.062406-0.0080741i,0.054631-0.015264i,0.021506-0.0080013i,0.0012126+0.0055066i,0.012539+0.0080875i,0.037399-0.0085416i,0.046303-0.018038i,0.040096-0.0049635i,0.035072+0.0041561i,0.02573-0.00021463i,0.0044884-0.0041968i,-0.012821-0.0021049i
-0.10448+0.06596i,-0.22076+0.11416i,-0.28174+0.11369i,-0.22548+0.085194i,-0.086992+0.05597i,0.064466-0.024963i,0.15024-0.10931i,0.14995-0.11923i,0.10737-0.058876i,0.066698+0.002406i,0.048666+0.010525i,0.028921-0.027745i,-0.015781-0.066705i,-0.071153-0.06712i,-0.10722-0.043943i,-0.11275-0.02793i,-0.10112-0.022435i,-0.07116-0.022365i,-0.035679-0.015046i,-0.010901-0.00018011i,0.0096834+0.0095032i,0.030597+0.0168i,0.04397+0.020914i
0.16793-0.040474i,0.34213-0.11829i,0.42618-0.096186i,0.37636+0.073069i,0.28154+0.19699i,0.14201+0.14788i,-0.029092+0.032008i,-0.0992-0.02571i,-0.058273-0.037368i,-0.0146-0.029683i,-0.013122-0.016488i,-0.039026-0.006133i,-0.059537+0.014283i,-0.046847+0.037477i,-0.021757+0.050843i,-0.0080984+0.060478i,-0.0015391+0.071474i,0.0013123+0.057889i,0.004059+0.014778i,0.00085101-0.023638i,-0.014432-0.045446i,-0.032113-0.062331i,-0.042478-0.068727i
-0.13173+0.13999i,-0.21656+0.32392i,-0.17605+0.3464i,-0.016641+0.093975i,0.045513-0.15694i,-0.021313-0.13461i,-0.034547+0.028121i,-0.0033467+0.0761i,-0.00021784+0.014295i,-0.01363-0.03137i,-0.029586-0.018562i,-0.034157+0.032123i,-0.017646+0.077563i,0.002007+0.092862i,0.022097+0.092776i,0.053597+0.079719i,0.081067+0.045451i,0.072105+0.014457i,0.035038-0.0035058i,0.0049927-0.011193i,-0.0093856-0.0007721i,-0.017006+0.020559i,-0.017379+0.034141i
0.12639-0.2689i,0.12238-0.58354i,0.029011-0.70716i,-0.057967-0.49552i,-0.0057192-0.19484i,0.1213-0.038018i,0.19401+0.012215i,0.20512+0.024936i,0.15051+0.0057292i,0.092505-0.021394i,0.076271-0.045386i,0.062742-0.061283i,0.038699-0.053947i,0.02121-0.033646i,0.017458-0.037473i,0.017262-0.076046i,0.012393-0.11413i,0.0067774-0.11144i,0.0010638-0.068587i,-0.0021511-0.030003i,-0.0059731-0.015071i,-0.0024005-0.0015698i,0.013508+0.0096565i
0.04781+0.26219i,0.14274+0.52918i,0.14583+0.64975i,1.6259e-05+0.52965i,-0.15157+0.35193i,-0.15912+0.20751i,-0.08704+0.00092372i,-0.068414-0.15453i,-0.059875-0.12281i,-0.038426-0.024914i,-0.039536+0.038845i,-0.03881+0.0691i,-0.026438+0.065759i,-0.024047+0.047711i,-0.045797+0.045607i,-0.086315+0.070495i,-0.12214+0.097634i,-0.11933+0.084609i,-0.083804+0.042829i,-0.058078+0.026305i,-0.042158+0.044658i,-0.021475+0.052782i,-0.0058124+0.035896i
-0.18484-0.2129i,-0.42224-0.36325i,-0.45606-0.31777i,-0.16151-0.13527i,0.12856-0.10754i,0.14067-0.19155i,0.0067806-0.1111i,-0.028137-0.0025692i,0.017249-0.06644i,-0.0026571-0.15982i,-0.054521-0.14332i,-0.051806-0.072104i,-0.011932-0.03081i,0.013422-0.02918i,0.028531-0.035168i,0.050021-0.034248i,0.06878-0.01887i,0.070989+0.0053881i,0.056837+0.010968i,0.04648-0.00037638i,0.057232-0.020018i,0.069097-0.051515i,0.05147-0.073466i
0.22201+0.10935i,0.55803+0.16999i,0.7776+0.092103i,0.63698-0.064756i,0.32637-0.015554i,0.12456+0.18274i,0.061738+0.21972i,-0.007523+0.13191i,-0.11007+0.098211i,-0.10688+0.1209i,-0.0090038+0.10044i,0.030731+0.03696i,0.0017532+0.0094727i,-0.0051123+0.017881i,0.019601+0.015736i,0.040793-0.0085606i,0.047439-0.048536i,0.034732-0.077124i,0.011934-0.068205i,0.0013717-0.046934i,-0.018207-0.047466i,-0.063493-0.037638i,-0.083222+0.0049172i
-0.29564-0.065409i,-0.66519-0.032287i,-0.89801+0.035418i,-0.80948+0.02722i,-0.58138-0.13013i,-0.34281-0.23935i,-0.06901-0.17426i,0.14137-0.059061i,0.19805+0.030205i,0.12865+0.058964i,0.011149+0.052031i,-0.034599+0.059415i,-0.014949+0.042694i,-0.048126+0.0022655i,-0.12805-0.0123i,-0.17016+0.0052274i,-0.15501+0.027856i,-0.10757+0.031511i,-0.053702+0.01782i,-0.023504-0.0018497i,-0.024563-0.00103i,-0.01726+0.018763i,0.0074049+0.020082i
0.33291+0.066953i,0.66923-0.031707i,0.77217-0.12982i,0.5343+0.00042567i,0.29405+0.30601i,0.17459+0.4104i,0.013219+0.21242i,-0.11677-0.031046i,-0.12148-0.16574i,-0.077055-0.16218i,-0.032478-0.086445i,-0.023073-0.028573i,-0.029219+0.014665i,0.0035741+0.030756i,0.047703+0.0085572i,0.060309-0.017822i,0.033785-0.019168i,-0.0065786-0.013237i,-0.044457-0.032046i,-0.081471-0.03107i,-0.073389+0.015481i,-0.011455+0.045131i,0.04218+0.031224i
-0.40555+0.094232i,-0.65594+0.35675i,-0.59305+0.60629i,-0.18991+0.58266i,0.083249+0.31688i,0.04806+0.12214i,0.026524+0.1525i,0.11703+0.2236i,0.15471+0.19146i,0.078217+0.10917i,-0.01954+0.077012i,-0.043517+0.080746i,-0.040132+0.048757i,-0.094967+0.018834i,-0.16531+0.035089i,-0.18635+0.086096i,-0.14561+0.13975i,-0.059263+0.1526i,0.023055+0.13685i,0.076531+0.10464i,0.077808+0.027088i,0.011719-0.055646i,-0.050809-0.075242i
0.31183-0.23283i,0.57713-0.62746i,0.57087-0.8266i,0.37184-0.61442i,0.25059-0.23861i,0.21227+0.049941i,0.26696+0.13558i,0.37512+0.0086591i,0.3741-0.12008i,0.3144-0.10957i,0.25535-0.058979i,0.17725-0.014907i,0.13031+0.038602i,0.12006+0.089185i,0.12635+0.13015i,0.17941+0.096597i,0.23166-0.029648i,0.18087-0.15681i,0.057012-0.22077i,-0.045347-0.21154i,-0.096746-0.12624i,-0.088974-0.013536i,-0.051579+0.049741i
0.21112+0.43027i,0.10366+0.7234i,0.067779+0.75788i,0.017234+0.45604i,-0.02787+0.27374i,0.099216+0.22091i,0.19949+0.0018352i,0.10139-0.21195i,0.027218-0.25423i,0.026234-0.21384i,0.0090777-0.11887i,0.025106-0.048816i,-0.010274-0.065028i,-0.15756-0.058358i,-0.30383+0.015278i,-0.38115+0.11183i,-0.37568+0.20032i,-0.26732+0.20936i,-0.12332+0.12953i,-0.034386+0.067402i,0.024347+0.0445i,0.08153+0.0028006i,0.11122-0.059396i
-1.1545+6.3007i,1.0189+5.3271i,4.5041+5.7784i,6.5908+4.1131i,6.7293+1.0861i,4.2345-1.9141i,0.73285-2.1778i,-0.72403-0.7162i,-0.16142+0.041024i,0.68063-0.22651i,0.57554-0.77817i,-0.35516-0.88378i,-1.348-0.49613i,-1.8855+0.18953i,-1.5829+0.82051i,-0.65023+1.0095i,0.15628+0.718i,0.38246+0.22352i,0.21349-0.047568i,0.039776+0.074281i,0.016738+0.31068i,0.039763+0.42703i,0.064722+0.38958i
0.034654+0.51537i,0.18386+0.74444i,0.55922+0.77802i,0.8784+0.47527i,0.77055+0.22625i,0.44149+0.16893i,0.36545+0.036906i,0.48275-0.20445i,0.48215-0.38746i,0.29374-0.35202i,0.1128-0.14853i,0.060039-0.01253i,0.017704-0.023551i,-0.076266-0.081273i,-0.18322-0.11606i,-0.25813-0.10797i,-0.26195-0.095401i,-0.2046-0.082507i,-0.10924-0.047528i,-0.032534-0.021065i,-0.031649+0.0031313i,-0.058995+0.047742i,-0.046151+0.080492i
-0.2013-0.31041i,-0.53041-0.54818i,-0.75548-0.67837i,-0.82282-0.58795i,-0.76645-0.29773i,-0.51611-0.0074677i,-0.22126+0.045637i,-0.079445+0.013208i,0.026175+0.084359i,0.13324+0.085936i,0.075004-0.013462i,-0.042877-0.04262i,-0.074806-0.015015i,-0.099903+0.022166i,-0.12202+0.086973i,-0.10719+0.15345i,-0.098659+0.1715i,-0.083699+0.11723i,-0.066278+0.063662i,-0.053217+0.091226i,0.0043701+0.14185i,0.080197+0.12493i,0.1178+0.053565i
-0.018983+0.1193i,0.087268+0.34302i,0.060658+0.38621i,-0.1893+0.28729i,-0.33267+0.18182i,-0.28538+0.043471i,-0.33804-0.011792i,-0.43024+0.13773i,-0.34863+0.28323i,-0.18926+0.27429i,-0.065712+0.20479i,0.0076355+0.14474i,0.086315+0.10994i,0.20425+0.076876i,0.28681+0.036794i,0.31043-0.0058938i,0.29191-0.048638i,0.20256-0.043555i,0.10091+0.010781i,0.074346+0.047146i,0.082179+0.031757i,0.061123-0.012119i,0.013149-0.051891i
-0.24172-0.087346i,-0.37903-0.097169i,-0.21667+0.022509i,0.23403+0.09131i,0.47664-0.084781i,0.31689-0.27784i,0.094831-0.19279i,0.036993+0.0060928i,0.01706+0.093409i,-0.018157+0.10513i,0.011914+0.086715i,0.085226+0.028849i,0.11507-0.036829i,0.11049-0.059722i,0.10949-0.065736i,0.073097-0.10702i,0.0046028-0.15357i,-0.040303-0.14034i,-0.049615-0.081467i,-0.033416-0.045728i,-0.018738-0.03957i,-0.027166-0.029861i,-0.050992-0.012879i
0.21715+0.13228i,0.47431+0.065963i,0.45388-0.27557i,0.0092977-0.65317i,-0.39499-0.64201i,-0.37661-0.31649i,-0.13989-0.14105i,-0.044331-0.15629i,-0.055599-0.13131i,-0.02539-0.081238i,-0.0083238-0.06857i,-0.046794-0.061848i,-0.082015-0.036258i,-0.067996-0.0064874i,-0.0422+0.012481i,-0.058607+0.046047i,-0.10052+0.089655i,-0.10699+0.10425i,-0.061175+0.091189i,-0.010613+0.067233i,0.010294+0.048034i,0.013797+0.042661i,0.018892+0.039174i
-0.3251-0.011726i,-0.66793+0.043108i,-0.83314+0.24782i,-0.65854+0.53937i,-0.30903+0.63555i,-0.053556+0.43726i,-0.054316+0.21253i,-0.14684+0.1368i,-0.15525+0.11304i,-0.11687+0.08661i,-0.051139+0.10085i,0.030116+0.11964i,0.080128+0.094869i,0.08312+0.041112i,0.055114+0.0033997i,0.042557+0.0074043i,0.055469+0.026586i,0.049385+0.043008i,0.025459+0.055902i,0.024932+0.06224i,0.048862+0.055261i,0.062331+0.025495i,0.049716-0.0078909i
0.28041+0.039992i,0.58952+0.038576i,0.81187+0.031972i,0.83768-0.029967i,0.67844-0.16457i,0.40022-0.25529i,0.16018-0.19215i,0.031612-0.044368i,-0.039481+0.061466i,-0.042098+0.087729i,0.029869+0.014096i,0.084662-0.10077i,0.0688-0.16614i,0.013447-0.16351i,-0.022726-0.1263i,-0.04368-0.10603i,-0.071195-0.098007i,-0.063923-0.059324i,-0.022539-0.0071875i,0.012119+0.013814i,0.02522+0.0019902i,0.010221-0.0099251i,-0.017725-0.0016321i
-0.19217+0.075563i,-0.45144+0.10579i,-0.61789-0.078115i,-0.61665-0.41733i,-0.52914-0.56475i,-0.37766-0.40511i,-0.18186-0.19771i,-0.048235-0.11051i,0.011638-0.053535i,0.030428-0.017504i,-0.025291-0.019229i,-0.1128-0.0077084i,-0.13581+0.040753i,-0.06015+0.10201i,0.046057+0.12778i,0.10284+0.1316i,0.11224+0.1385i,0.093247+0.11007i,0.058299+0.048487i,0.020758-0.0084896i,-0.017647-0.03507i,-0.038806-0.02243i,-0.035714-0.0019688i
0.29285-0.12937i,0.5051-0.25163i,0.47257-0.13109i,0.18393+0.27918i,0.0015476+0.55201i,-0.0092654+0.42306i,-0.070048+0.18047i,-0.12257+0.090287i,-0.084826+0.049503i,-0.039021+0.013257i,0.0050176+0.040737i,0.056841+0.092018i,0.097701+0.097839i,0.11949+0.032072i,0.11798-0.05324i,0.11919-0.10568i,0.12588-0.12521i,0.097768-0.10252i,0.042386-0.045508i,0.0099086+0.016544i,0.021765+0.06348i,0.055643+0.081593i,0.07305+0.072578i
-0.23303+0.16065i,-0.35313+0.39784i,-0.19434+0.43168i,0.16687+0.099364i,0.25976-0.2164i,0.08758-0.16689i,0.027652+0.031403i,0.03698+0.11695i,0.0042618+0.15078i,0.0096146+0.14944i,0.055513+0.063743i,0.096738-0.05107i,0.094096-0.13016i,0.026355-0.14927i,-0.059376-0.13624i,-0.13485-0.13091i,-0.18659-0.12361i,-0.16797-0.073564i,-0.08247+0.0024634i,0.0092706+0.027208i,0.053055-0.016473i,0.037936-0.071683i,0.0072733-0.087745i
0.12582-0.3268i,0.11741-0.70214i,-0.13868-0.87215i,-0.48259-0.58698i,-0.46841-0.19056i,-0.1656-0.06934i,-0.020944-0.11617i,-0.01555-0.11695i,0.013612-0.090728i,0.028394-0.09265i,-0.014527-0.10867i,-0.097902-0.10728i,-0.15612-0.056734i,-0.14642+0.029649i,-0.11352+0.11326i,-0.090928+0.18833i,-0.065514+0.23492i,-0.020067+0.19399i,0.019368+0.081029i,0.0039559-0.0063941i,-0.040222-0.021023i,-0.058128-0.0019648i,-0.055822+0.0075977i
-0.043892+0.40049i,0.071158+0.83695i,0.35183+1.0498i,0.59968+0.77524i,0.54811+0.32444i,0.3061+0.069696i,0.13805+0.0034215i,0.031194-0.015989i,-0.051564-0.03056i,-0.082648-0.0067709i,-0.061477+0.0682i,-0.0038675+0.13977i,0.062567+0.14806i,0.12965+0.099994i,0.19655+0.042809i,0.25738-0.011389i,0.2856-0.059849i,0.22757-0.079626i,0.11529-0.061365i,0.045117-0.015963i,0.03372+0.024524i,0.037004+0.046326i,0.03386+0.056058i
-0.13875-0.38663i,-0.34462-0.76312i,-0.52622-0.96247i,-0.54907-0.80892i,-0.42815-0.49996i,-0.28812-0.24351i,-0.1823-0.074075i,-0.10189+0.032381i,-0.057574+0.097816i,-0.022656+0.095845i,0.0087957+0.031134i,0.032755-0.026692i,0.047511-0.049637i,0.038122-0.068396i,0.010961-0.10779i,-0.037773-0.15777i,-0.090491-0.1848i,-0.10672-0.1506i,-0.0831-0.078374i,-0.03722-0.038625i,-0.00047032-0.043951i,0.013063-0.055122i,0.017793-0.046705i
0.24241+0.26051i,0.46423+0.48896i,0.49002+0.6125i,0.25842+0.56834i,0.073668+0.41654i,0.077966+0.18005i,0.090615-0.038479i,0.067911-0.10011i,0.075184-0.064832i,0.077622-0.031267i,0.065411-0.022556i,0.042512-0.050607i,-0.00061481-0.087205i,-0.062785-0.087304i,-0.13552-0.038278i,-0.18793+0.048516i,-0.20249+0.12669i,-0.16018+0.14889i,-0.082665+0.11755i,-0.040995+0.068679i,-0.041084+0.042403i,-0.038964+0.0314i,-0.024477+0.0079074i
-0.27564-0.06039i,-0.45475-0.11204i,-0.36206-0.17666i,-0.036175-0.26526i,0.090823-0.30984i,-0.073107-0.18403i,-0.21231+0.032662i,-0.21904+0.11695i,-0.17855+0.078337i,-0.121+0.033269i,-0.075587+0.011173i,-0.062268+0.013282i,-0.051043+0.040116i,0.0013897+0.084126i,0.086956+0.11581i,0.16372+0.11211i,0.20252+0.089637i,0.17897+0.057427i,0.10923+0.024482i,0.058837+0.013523i,0.050941+0.0089043i,0.043952-0.0016468i,0.015941-0.0013444i
0.17155-0.075076i,0.23985-0.15059i,0.088474-0.17244i,-0.19731-0.077375i,-0.23279+0.059659i,0.0082717+0.073248i,0.18443-0.018578i,0.17795-0.036511i,0.10809+0.013004i,0.053604+0.03065i,0.024114+0.021368i,0.012256+0.022772i,0.019911+0.024374i,0.041739-0.012945i,0.05541-0.078058i,0.055409-0.13418i,0.055248-0.16298i,0.048599-0.14484i,0.030548-0.094634i,0.0074998-0.056591i,-0.019042-0.03282i,-0.032028-0.0055204i,-0.022132+0.014193i
-0.014784+0.12646i,-0.00092458+0.23611i,0.086282+0.30205i,0.19642+0.25927i,0.14846+0.11772i,-0.04499+0.0026557i,-0.16493-0.0072539i,-0.13423-0.0055189i,-0.060346-0.0238i,-0.020306-0.020609i,-0.0012769-0.0029889i,0.026778+0.007638i,0.042424-0.0053879i,0.0088879-0.021104i,-0.049744-0.01322i,-0.10402+0.0022008i,-0.14832+0.0086468i,-0.1502+0.011647i,-0.10443+0.020852i,-0.050729+0.033973i,-0.008014+0.035696i,0.019362+0.017473i,0.029739-0.0066023i
-0.083255-0.041305i,-0.12202-0.092924i,-0.12475-0.2049i,-0.13452-0.30679i,-0.12368-0.25085i,-0.038725-0.072735i,0.032969+0.035676i,0.010565+0.065047i,-0.030537+0.076483i,-0.024922+0.058792i,-0.0020875+0.01175i,-0.00065479-0.046078i,-0.018151-0.063992i,-0.013489-0.027232i,0.014234+0.013512i,0.037312+0.05063i,0.054002+0.089323i,0.054981+0.09796i,0.038161+0.070756i,0.023877+0.037465i,0.013744+0.02053i,-0.0038693+0.019313i,-0.028322+0.020509i
0.083828-0.12569i,0.05481-0.15848i,-0.049198+0.015453i,-0.073683+0.30408i,0.027591+0.3594i,0.09414+0.15764i,0.080497+0.012182i,0.074055+0.0043194i,0.06956+0.027528i,0.043461+0.038139i,0.0073685+0.043068i,-0.025882+0.060922i,-0.027444+0.072374i,-0.0081833+0.050816i,0.0060372+0.016327i,0.020919-0.023903i,0.035378-0.06717i,0.035516-0.076773i,0.028441-0.048299i,0.029146-0.024297i,0.03793-0.025577i,0.048408-0.030397i,0.056048-0.018626i
0.033408+0.2254i,0.18794+0.31541i,0.37299+0.099029i,0.34892-0.30453i,0.10957-0.4246i,-0.059736-0.24417i,-0.087457-0.13037i,-0.086556-0.13169i,-0.054533-0.12468i,-0.0049882-0.098732i,0.025075-0.062572i,0.052617-0.03351i,0.064494-0.027957i,0.056548-0.02065i,0.047185-0.0051814i,0.026679+0.0049429i,-0.0044943+0.0085251i,-0.017516+0.0079687i,-0.0099307-0.00011368i,-0.013874-0.015052i,-0.041266-0.02343i,-0.065908-0.021506i,-0.066074-0.025108i
-0.20663-0.24617i,-0.48998-0.34528i,-0.6981-0.15363i,-0.57568+0.20206i,-0.22527+0.29555i,-0.0028187+0.1704i,0.041739+0.14399i,0.038825+0.16952i,-0.0077242+0.13148i,-0.051656+0.079969i,-0.045235+0.033981i,-0.037734-0.0060866i,-0.037471-0.016911i,-0.026482-0.02617i,-0.016299-0.04753i,-0.012446-0.044118i,-0.010342-0.012004i,-0.012337+0.014075i,-0.025048+0.024547i,-0.029661+0.042339i,-0.007027+0.070151i,0.022185+0.082647i,0.026629+0.075991i
0.32839+0.1604i,0.68798+0.20841i,0.88208+0.062763i,0.67517-0.1749i,0.28915-0.23749i,0.080141-0.1953i,0.023254-0.21998i,-0.012781-0.1915i,-0.0011959-0.073388i,0.038009-0.0028373i,0.050095+0.0027785i,0.049558-0.0056071i,0.04251-0.014224i,0.020207-0.0024539i,-0.0028708+0.028265i,-0.010154+0.034096i,-0.0091267+0.0076529i,-0.0056635-0.01025i,0.012651-0.0018246i,0.040695-5.3324e-05i,0.05672-0.025474i,0.053084-0.049864i,0.04497-0.049923i
-0.38039-0.019365i,-0.74992-0.00095611i,-0.91994+0.061321i,-0.70746+0.11267i,-0.38444+0.087856i,-0.23349+0.073395i,-0.19185+0.11332i,-0.13517+0.093022i,-0.078059+0.013862i,-0.062595-0.023104i,-0.076577-0.007515i,-0.08803+0.019461i,-0.077462+0.036505i,-0.040024+0.032312i,-0.00041183+0.012947i,0.014998+0.011805i,0.022094+0.036074i,0.034596+0.046646i,0.035786+0.01964i,0.013139-0.016461i,-0.021802-0.028612i,-0.046397-0.026544i,-0.051061-0.028469i
0.31942-0.097244i,0.62716-0.17326i,0.76137-0.18645i,0.57484-0.11223i,0.32071-0.02179i,0.22066+0.0087326i,0.19422+0.0099283i,0.12869+0.034992i,0.042924+0.064306i,0.026744+0.074195i,0.078178+0.050396i,0.11126+0.010703i,0.10216-0.01436i,0.073761-0.026413i,0.050208-0.031486i,0.04749-0.046888i,0.048287-0.076268i,0.026882-0.084135i,-0.0089662-0.052922i,-0.023815-0.007719i,-0.010209+0.025931i,0.0043152+0.04939i,0.0056374+0.061885i
-0.21641+0.16018i,-0.44132+0.26689i,-0.55811+0.24004i,-0.44433+0.080584i,-0.27274-0.052886i,-0.19913-0.091007i,-0.16826-0.088377i,-0.11184-0.059017i,-0.03043-0.022158i,-0.0019018-0.034039i,-0.041678-0.054308i,-0.062524-0.043616i,-0.044264-0.028438i,-0.020159-0.018911i,-0.011629-0.01625i,-0.035191-0.013789i,-0.071064-0.0041798i,-0.076396+0.0068461i,-0.045375+0.015291i,-0.01505+0.01398i,-0.00067751+0.0034039i,0.014827-0.0096554i,0.030714-0.020852i
0.11091-0.14964i,0.24576-0.25028i,0.31592-0.21231i,0.23604-0.026546i,0.14157+0.10796i,0.10932+0.11384i,0.069996+0.08082i,0.023968+0.041775i,-0.013674+0.0082182i,-0.02517+0.020705i,-0.0047884+0.043924i,0.00063157+0.036755i,-0.018453+0.023461i,-0.036604+0.022677i,-0.045511+0.037124i,-0.031619+0.066357i,0.00010762+0.089948i,0.021604+0.081841i,0.026263+0.045505i,0.026719+0.015283i,0.028927+0.0027079i,0.021055-0.0092885i,-0.00049754-0.017163i
