-0.0027187+0.0021444i,-0.0025669+0.0011315i,-0.0025505+0.00093864i,-0.0010177+0.0014895i,0.00015957+0.0027646i,-0.00020078+0.0034191i,0.00024951+0.0027037i,0.0009403+0.0015105i,0.00045875+0.00063112i,1.149e-05+1.6263e-05i,1.0463e-05-0.00073867i,-0.00054029-0.00082098i,-0.00037875-0.00085564i,0.00025908-0.0014293i,0.00011404-0.0010703i,-0.00010391+3.3244e-05i,-0.00066324+0.00050774i,-0.00079854+0.00063957i,-0.00072487+0.00034834i,-0.00060638+7.2874e-06i,0.00010227+0.00027383i,0.00048142+0.00053412i,0.00026761+0.00042879i
-0.00019523+0.0018461i,0.0047947+0.0082121i,0.033996+0.039312i,0.11591+0.10147i,0.2256+0.15028i,0.24524+0.12241i,0.15506+0.053304i,0.074914+0.018423i,0.049541+0.0026916i,0.032994-0.017992i,0.010605-0.021838i,-0.00019206-0.011545i,-0.0026682-0.0054092i,-0.0041673-0.0022817i,-0.0048634-0.00026106i,-0.005694+0.0025521i,-0.0047976+0.0047678i,-0.00082964+0.003403i,0.00243+0.0017874i,0.0034227+0.00016408i,0.0031926-0.0003317i,0.0018576+0.0012799i,0.00042023+0.0020825i
0.0074267-0.0061478i,0.018549-0.016846i,0.061279-0.042947i,0.14123-0.10783i,0.20764-0.19935i,0.19276-0.22591i,0.10861-0.16095i,0.040319-0.086311i,0.012739-0.051615i,-0.0070156-0.035804i,-0.016178-0.014847i,-0.011362+0.00011817i,-0.0053336+0.0036973i,-0.00060702+0.0048561i,0.0015834+0.005321i,0.001401+0.0039659i,0.00081117+0.0024966i,-4.6026e-05+0.0010508i,-0.00089455-0.00075454i,-0.0015878-0.00080679i,-0.0014256+6.3072e-05i,-0.00079113+0.00012864i,-0.00095613+0.0010328i
0.00092906+0.00016474i,-0.0022946-0.0042441i,-0.019618-0.048851i,-0.072013-0.14978i,-0.15118-0.24582i,-0.19148-0.24676i,-0.15148-0.15143i,-0.080916-0.063633i,-0.04529-0.030296i,-0.034825-0.0096085i,-0.017929+0.0038292i,-0.0040586+0.0043805i,-0.00055722+0.0038515i,0.00082492+0.0025877i,0.0019575+0.00017673i,0.0026507-0.00082616i,0.0028144-0.0018221i,0.00070533-0.0030779i,-0.0028372-0.0023245i,-0.0050223-0.00065803i,-0.0055102+0.0002855i,-0.0027252+0.00099145i,0.00098017+0.00047778i
-0.0069017-0.0023301i,-0.024495-0.0055487i,-0.073855-0.0019947i,-0.17382+0.025971i,-0.2834+0.075195i,-0.3005+0.11927i,-0.1983+0.11724i,-0.088562+0.072497i,-0.040831+0.042339i,-0.016076+0.033491i,0.0012528+0.018535i,0.0051422+0.0030222i,0.0042385-0.0023026i,0.0018338-0.0028412i,-0.0011052-0.0016346i,-0.0020685-0.00070067i,-0.0014497+0.00016013i,-0.00071861+0.0033179i,-0.00023369+0.0061272i,-7.8335e-05+0.0062771i,-0.00021433+0.0059963i,-0.00068186+0.0045317i,-0.00031673+0.0015107i
0.0054244-0.001349i,0.0064517+0.0069406i,-0.0019044+0.04831i,-0.010319+0.15613i,0.0072057+0.29412i,0.055889+0.32597i,0.079118+0.21322i,0.049235+0.096021i,0.024715+0.047373i,0.020746+0.021903i,0.009392+0.0037173i,-0.001155-0.00084978i,-0.0021685-0.0023874i,-0.00225-0.0021866i,-0.002462+0.00046878i,-0.0028065+0.0014367i,-0.0024226+0.0013202i,0.00014159+0.0019102i,0.0025219+0.0038173i,0.0044125+0.0056824i,0.004785+0.0046754i,0.0027066+0.0017401i,0.00014661-0.00013168i
-7.1629e-05+0.0013938i,0.0074019+0.014657i,0.04538+0.039684i,0.14855+0.063186i,0.28504+0.054766i,0.31824+0.0094774i,0.21479-0.025572i,0.10851-0.021334i,0.059029-0.013835i,0.029645-0.016016i,0.0081266-0.010226i,-0.00049992-0.0033252i,-0.0034448-0.00070435i,-0.0022942+0.0015964i,0.00098332+0.001609i,0.0033504+0.0009277i,0.0049104-0.0012785i,0.0055648-0.0046268i,0.0063723-0.006695i,0.0064752-0.0080088i,0.0054392-0.0066488i,0.0042733-0.002103i,0.0026241+0.0019319i
-0.0067028-0.0024955i,-0.0013936-0.012106i,0.02589-0.047345i,0.075158-0.14161i,0.10156-0.26858i,0.069909-0.30516i,0.015497-0.20999i,-0.0041671-0.09979i,-0.001802-0.049277i,-0.0071206-0.026555i,-0.0050136-0.0068338i,0.00075156+0.0019028i,0.00056221+0.002409i,0.00025717+0.00061139i,0.0013918-0.00054909i,0.0026479-0.00033358i,0.001521-0.00089833i,0.00018979-0.0034586i,0.00033654-0.0069366i,-0.00017005-0.0084984i,-2.8997e-05-0.0077884i,0.0012357-0.0060477i,0.0020212-0.0040248i
0.0054987-0.00081791i,0.01074-0.013093i,-0.014376-0.047509i,-0.10728-0.107i,-0.23303-0.14783i,-0.27584-0.12355i,-0.19462-0.060951i,-0.092113-0.027626i,-0.0469-0.021397i,-0.028647-0.0087501i,-0.011125-0.0038197i,-0.0018432-0.0037849i,0.002069-5.8672e-05i,0.0017714-0.00076278i,-0.002301-0.0033291i,-0.0042889-0.0033691i,-0.0043082-0.0021824i,-0.0063598-0.0018255i,-0.0098936-0.0015901i,-0.010944-0.0012493i,-0.0085757-0.00081606i,-0.0045434-0.00036803i,-0.00042568-0.0011673i
-0.0051285+0.002257i,-0.019601+0.010947i,-0.058246+0.031611i,-0.12999+0.092861i,-0.19489+0.18649i,-0.17476+0.23375i,-0.085502+0.17858i,-0.030996+0.083624i,-0.02235+0.037754i,-0.011531+0.024865i,-0.0036281+0.0095654i,-0.0036291+0.00068175i,-0.00203-0.00024595i,-0.0013723+0.00064819i,-0.0018949+0.0017503i,-0.00093878+0.001204i,-0.00036904-0.00028815i,-0.00057504+0.0004885i,-0.0019596+0.0032179i,-0.003718+0.0044258i,-0.0046344+0.0040499i,-0.0061945+0.0016258i,-0.0073965-0.00025178i
-0.007137-0.00056247i,-0.013079-0.00038028i,-0.0061479+0.035465i,0.044426+0.12833i,0.13395+0.22492i,0.18782+0.21101i,0.14286+0.10341i,0.056146+0.042642i,0.019807+0.035266i,0.015859+0.02016i,0.0047889+0.0079916i,-0.001231+0.0047864i,-0.0004087+0.0002048i,-0.00095159+0.00065748i,-0.0004127+0.0043378i,0.00041496+0.0046345i,0.002066+0.0043565i,0.0045281+0.0045779i,0.0056038+0.0047866i,0.005419+0.0057646i,0.0036367+0.0054334i,0.0024806+0.0046087i,0.001784+0.0030103i
0.0086535+0.0060846i,0.02304+0.0087613i,0.062828+0.0071325i,0.14777-0.022773i,0.23696-0.090116i,0.21919-0.14249i,0.10878-0.11748i,0.043877-0.050628i,0.035043-0.016225i,0.022432-0.0099416i,0.0098297-0.0016654i,0.0058464+0.0016321i,0.002547+0.00032234i,0.0021794+0.00026549i,0.0035238-0.00078688i,0.0016956-0.0009888i,-0.0010203-0.0015357i,-0.0019712-0.0023965i,0.0004528-0.0026193i,0.0031203-0.0029372i,0.003138-0.00095605i,0.0035147+0.0020064i,0.003982+0.004912i
-0.0072056+0.0077171i,-0.008167+0.010606i,-0.0031918-0.020291i,-0.0061753-0.11935i,-0.041886-0.2316i,-0.083857-0.2243i,-0.074486-0.10925i,-0.024517-0.036091i,0.0026307-0.028261i,0.00097411-0.020536i,0.0022368-0.0097866i,0.0019935-0.0066099i,-0.0016328-0.0034281i,-0.00040782-0.0025354i,0.0016821-0.0038941i,0.0013697-0.0049056i,-0.00051107-0.0049778i,6.3062e-05-0.0052275i,0.0016113-0.0048455i,0.0006682-0.0034815i,0.0001639-0.0026392i,0.00032955-0.0034369i,0.00016275-0.0047629i
0.0019701-0.0068972i,-0.002512-0.018817i,-0.03795-0.033483i,-0.13164-0.03327i,-0.23156+0.00020136i,-0.22482+0.047696i,-0.11932+0.055464i,-0.043678+0.019723i,-0.028161-0.0044252i,-0.016964-0.0046338i,-0.0052865-0.0070122i,-0.0039049-0.0064362i,-0.0036133-0.0021509i,-0.0029476-0.0012287i,-0.0028463-0.0012029i,-0.0017307+0.00012653i,0.00016145+0.0025026i,0.00011007+0.0023382i,-0.0024385+0.00070406i,-0.0036194+0.00047461i,-0.0021847+0.0010535i,0.00083418+0.00014297i,0.0029906-0.001407i
0.0073266+0.0017553i,0.01482+0.0071582i,0.003542+0.035843i,-0.031013+0.11337i,-0.044742+0.20013i,-0.0060462+0.19459i,0.027937+0.095939i,0.0085266+0.023914i,-0.012658+0.015925i,-0.0081884+0.013474i,-0.0062558+0.0048742i,-0.0048232+0.0042498i,-7.7373e-06+0.0040537i,0.00024822+0.0012974i,-0.0019406-9.8197e-05i,-0.0038604-0.00026579i,-0.0048087-0.00066531i,-0.0044816-0.00028605i,-0.003141+0.0009894i,0.00014157+0.0013593i,0.0012334+0.0012374i,-0.0029374+0.0011271i,-0.0061399+0.0026645i
-0.010271+0.0002787i,-0.014614+0.0084948i,0.0088429+0.032293i,0.092876+0.074091i,0.19376+0.092733i,0.20368+0.045275i,0.1096-0.0066268i,0.032666+0.0014191i,0.02168+0.015312i,0.01448+0.0038629i,0.0021208-0.00028313i,0.00128+0.00028744i,0.00097398-0.0020707i,-0.00089524-0.00068788i,-0.0021657+0.00031029i,-0.0034589-0.0014328i,-0.0018978-0.0025501i,0.00047542-0.0021627i,0.0013749-0.00049823i,0.0019095+0.00015175i,0.0018597-0.00093017i,0.0015643-0.00076714i,0.00099697-0.00085407i
-0.0011334-0.0106i,-0.0012582-0.02448i,0.018803-0.050895i,0.06888-0.10482i,0.098671-0.17227i,0.046991-0.17341i,-0.015961-0.086028i,-0.0062781-0.016195i,0.016053-0.011746i,0.007964-0.011505i,0.003037-0.002606i,0.0030041-0.0050121i,-0.00098841-0.0066275i,-0.0020393-0.0016582i,-0.0012153+0.0047444i,0.0005001+0.0087908i,0.0013153+0.0083i,0.00049632+0.0058955i,0.00091461+0.0020411i,0.00080755-0.0029329i,-0.00088638-0.0049498i,-0.0012222-0.0023311i,0.00017253+0.0027251i
0.0075009+0.0058705i,0.0085132+0.004717i,-0.0062125-0.026207i,-0.06014-0.10229i,-0.13552-0.15953i,-0.15141-0.1156i,-0.077465-0.035i,-0.011516-0.02051i,-0.010941-0.029248i,-0.017721-0.01201i,-0.010998-0.00062103i,-0.010949+0.0012663i,-0.0099971+0.0054803i,-0.0034413+0.0066222i,0.0021026+0.005949i,0.0040366+0.0050917i,0.0030078+0.0040209i,0.0017735+0.0024608i,0.00052816+9.2095e-05i,-0.0017098-9.5119e-05i,-0.0024657+0.0011931i,-0.00018085+0.001123i,0.0010145-0.0014458i
-0.0094891+0.0029523i,-0.02439+0.013772i,-0.064299+0.031439i,-0.13584+0.068653i,-0.1819+0.12687i,-0.12612+0.1493i,-0.030944+0.086171i,-0.0090256+0.015438i,-0.021671+0.0062066i,-0.010629+0.010212i,-0.0036796+0.0028354i,-0.0050882+0.0054026i,0.00041147+0.010002i,0.0060372+0.005795i,0.0097177-0.0016851i,0.01085-0.0080605i,0.0096285-0.010387i,0.0065769-0.0071895i,0.0011833-0.0027657i,-0.0031161+0.0017765i,-0.0028919+0.0045242i,0.0001833+0.0036491i,0.0019849+0.0022067i
0.0012577-0.010592i,0.005097-0.012096i,0.003626+0.022025i,0.0065995+0.11073i,0.034182+0.18665i,0.056556+0.15274i,0.022582+0.058708i,-0.017354+0.025229i,-0.0078715+0.033187i,0.0078295+0.020846i,0.0077451+0.010933i,0.013793+0.0098616i,0.017555+0.001781i,0.012386-0.0055492i,0.0062803-0.0089817i,0.00085943-0.009649i,-0.0012879-0.0091188i,0.00044881-0.0072543i,0.0027683-0.0028009i,0.0044321+0.00058449i,0.0049436+0.00037081i,0.0019996-0.0010712i,-0.0020907-0.0019031i
0.010617+0.0070101i,0.028035+0.013182i,0.071875+0.022874i,0.15333+0.025662i,0.22296-0.0019803i,0.1955-0.042205i,0.094195-0.03305i,0.033511+0.0047268i,0.027372+0.0063258i,0.01412-0.0061318i,0.0029792-0.0043979i,0.0054481-0.007943i,0.0022234-0.013714i,-0.0052401-0.013077i,-0.011522-0.0092228i,-0.016468-0.0034286i,-0.016134+0.00022539i,-0.01045-0.00088159i,-0.0046318-0.0030751i,-0.00033272-0.0028395i,0.0037283-0.00099254i,0.0056877-0.00018721i,0.0044943-0.00065777i
-0.011762-0.0032681i,-0.019238-0.010557i,-0.0068201-0.037574i,0.03008-0.10207i,0.042881-0.16263i,0.013549-0.14204i,0.0072804-0.058354i,0.029147-0.014178i,0.021487-0.020627i,0.0035497-0.015636i,0.0026834-0.0085872i,-0.0034503-0.013876i,-0.013571-0.011881i,-0.014052-0.0029496i,-0.009609+0.0039319i,-0.0056118+0.0076661i,-0.0036201+0.0071394i,-0.0039862+0.00243i,-0.0054242-0.0027685i,-0.0058094-0.0049511i,-0.0061003-0.0047188i,-0.0062508-0.0016087i,-0.0044838+0.0044018i
-0.00012328-0.013483i,-0.006301-0.028741i,-0.035691-0.064838i,-0.10174-0.11474i,-0.17012-0.13247i,-0.17016-0.091178i,-0.094767-0.047427i,-0.031019-0.035462i,-0.018372-0.015799i,-0.0084306+0.0048864i,0.0010227+0.0050254i,-0.0061157+0.0055944i,-0.009473+0.012415i,-0.0037873+0.014566i,0.0025915+0.014139i,0.0083002+0.012872i,0.010852+0.010496i,0.0069156+0.0089367i,-0.00019959+0.0071419i,-0.003989+0.0047133i,-0.0024576+0.0019026i,0.0013996-0.0013905i,0.0039832-0.0050686i
0.0052625+0.016009i,0.0051667+0.029474i,-0.021359+0.046744i,-0.081339+0.076694i,-0.11655+0.11749i,-0.075957+0.11844i,-0.029507+0.054271i,-0.028803+0.0045703i,-0.018794+0.0056965i,0.0018629+0.0018684i,0.00030957-0.005395i,-0.0026184+0.0059866i,0.0041858+0.011532i,0.0081874+0.0054408i,0.0079461-7.2497e-05i,0.0067809-0.0031851i,0.0043732-0.0039808i,0.0027241-0.00058705i,0.001081+0.0046073i,-0.0012302+0.0077211i,-0.0025089+0.0085555i,-0.0016451+0.0073121i,0.0012079+0.0056198i
-0.0077392-0.0024443i,-0.01735+0.0082201i,-0.024138+0.049831i,-0.010383+0.12384i,0.02751+0.16922i,0.046461+0.13576i,0.021646+0.077478i,0.0021148+0.042959i,0.0088793+0.010157i,0.0055184-0.016176i,-0.0025877-0.015215i,0.0044771-0.008007i,0.01108-0.0086191i,0.0089772-0.0085684i,0.0052794-0.0090513i,0.0026636-0.010495i,0.001129-0.009941i,0.0031008-0.008061i,0.0082683-0.0048918i,0.010003-0.0017695i,0.0061938-0.00072314i,0.00019038-0.0022753i,-0.006265-0.0040331i
0.0064165-0.0093787i,0.021759-0.018721i,0.052886-0.018401i,0.10375-0.01287i,0.13409-0.03058i,0.10443-0.055764i,0.050575-0.035536i,0.021246+0.0002474i,0.0039457+0.0014899i,-0.014181-0.0011992i,-0.015734+0.0044918i,-0.0067965-0.00013734i,-0.0037437-0.0055239i,-0.0041328-0.0038938i,-0.0039021-0.00061146i,-0.0029497+0.00024796i,-0.0011468+8.0455e-05i,0.00046614-0.00066143i,0.00092782-0.0025266i,0.0022004-0.0024449i,0.00609-0.00032834i,0.0089596+0.0024584i,0.0084117+0.0039681i
-0.0010884+0.004148i,0.0064679+0.0047082i,0.033231-0.017416i,0.062227-0.065334i,0.055279-0.095556i,0.018661-0.076813i,0.0051868-0.039862i,0.0071127-0.017705i,-0.0098466+0.00059392i,-0.019172+0.020047i,-0.011206+0.022031i,-0.0082392+0.010435i,-0.0098226+0.0022179i,-0.0078623-0.00070718i,-0.004544-0.0017563i,-0.003984-0.00057513i,-0.0036248+0.0014793i,-0.002606-8.9303e-06i,-0.003845-0.0044598i,-0.0050302-0.0065595i,-0.0056775-0.0053227i,-0.0061749-0.0013412i,-0.0050829+0.0045172i
-0.0076945-0.00018817i,-0.02681-0.0083907i,-0.055407-0.027308i,-0.088844-0.050149i,-0.1128-0.046604i,-0.098755-0.0063916i,-0.047316+0.012626i,-0.0016653-0.0017673i,0.017356+0.00012405i,0.025007+0.011225i,0.022314+0.0085722i,0.011038+0.0056418i,0.004747+0.0063872i,0.0038509+0.0046404i,0.0036087+0.00097163i,0.0026726-0.0029401i,0.001816-0.0049448i,0.0014114-0.002279i,0.00051395+0.0017541i,-0.00089742+0.0012901i,-0.00026891-0.002128i,0.0026626-0.005115i,0.0049271-0.0085137i
0.0061663+0.0014579i,-0.0013925-0.0012768i,-0.028885-0.0038468i,-0.066191+0.0056171i,-0.062146+0.023818i,-0.012256+0.024195i,0.012491+0.0060017i,0.0012321-0.0053548i,0.010046-0.005031i,0.02721-0.0099573i,0.022267-0.013292i,0.012104-0.0079967i,0.0044012-0.0023594i,-0.0017967+0.0011692i,-0.0052887+0.003114i,-0.0057166+0.0029238i,-0.0035264+0.0010606i,-0.0014131-0.0012587i,-0.0016233-0.00030705i,-0.0026117+0.0027394i,-0.0028165+0.0045594i,-0.0023973+0.0066104i,0.00070908+0.008076i
0.005134+0.0066661i,0.014552+0.026603i,0.02572+0.061153i,0.035176+0.094251i,0.043458+0.087422i,0.038372+0.03461i,0.0078464-0.010637i,-0.022155-0.014281i,-0.027186-0.015122i,-0.022505-0.024245i,-0.016444-0.020585i,-0.0077908-0.011326i,-0.0019869-0.0071776i,-0.00047995-0.0048699i,-0.0024017-0.0011162i,-0.005575+0.0021779i,-0.0056471+0.0025138i,-0.0027614-0.0010419i,-0.00012834-0.0048809i,0.00027639-0.0046286i,-0.0014502-0.0028702i,-0.0044001-0.0051182i,-0.00889-0.0086592i
0.0062828-0.0024695i,0.0081428-0.0017713i,0.025144+0.0072317i,0.044877+0.011105i,0.031104-0.0051698i,-0.017071-0.019907i,-0.037883-0.00030449i,-0.01144+0.023127i,0.0047964+0.015746i,-0.0059456+0.0010422i,-0.013619-0.0015187i,-0.01125+0.0016333i,-0.0047468+0.0044685i,0.00287+0.0064987i,0.008753+0.0076618i,0.0098777+0.0069277i,0.0043538+0.0055805i,-0.0030838+0.0062896i,-0.005785+0.0075313i,-0.0039063+0.0060277i,-0.00042031+0.0040195i,0.0039685+0.0041464i,0.0075018+0.0043407i
0.0066256-0.010405i,0.017958-0.035443i,0.030039-0.073047i,0.035601-0.09943i,0.025843-0.085012i,0.0085621-0.022817i,0.010342+0.032211i,0.02513+0.033574i,0.022397+0.017329i,0.0078145+0.016121i,0.0031852+0.015553i,0.0038152+0.0080083i,0.0012973+0.001506i,-0.0016101-0.0013575i,-0.0022831-0.0010428i,0.0017848+0.00062382i,0.0076835+0.001236i,0.0069131+0.001361i,0.002081+0.002358i,-0.00036962+0.0033933i,-0.0013066+0.0032789i,-0.0040235+0.0026807i,-0.0080748+0.0039952i
-0.0034676-0.0088113i,-0.012166-0.016528i,-0.026567-0.033044i,-0.04964-0.040191i,-0.060066-0.014494i,-0.021609+0.01103i,0.027397-0.010857i,0.025638-0.047392i,-0.0025879-0.046935i,-0.0080126-0.020971i,-0.0008261-0.0057404i,0.00085038-0.0033012i,0.00053356-0.0032855i,0.00060471-0.0058813i,0.0025135-0.0091838i,0.0047972-0.010684i,0.0058796-0.0083449i,0.0090545-0.0036262i,0.011811-0.0010585i,0.010124+0.00026701i,0.0075726+0.00024006i,0.0066418-0.0031634i,0.0068518-0.0071812i
-0.017406-0.0031755i,-0.046273+0.0058293i,-0.091287+0.021311i,-0.11689+0.035506i,-0.095116+0.026102i,-0.050722-0.010401i,-0.028999-0.039594i,-0.038948-0.031378i,-0.039093-0.003595i,-0.01795+0.0042047i,-0.0060998-0.0034145i,-0.0086389-0.0051374i,-0.0087453+0.00067587i,-0.0046745+0.0061092i,-0.0021486+0.0051213i,-0.0031053-0.00065415i,-0.005278-0.0069307i,-0.0066154-0.010067i,-0.0066121-0.0081344i,-0.0034752-0.0055375i,-0.00013007-0.0036172i,-0.0010877+0.00096377i,-0.00070532+0.0067436i
-0.0039434+0.0062911i,-0.011241+0.015452i,-0.016301+0.045507i,-0.0014608+0.087357i,0.020186+0.10264i,0.0056627+0.0739i,-0.04199+0.050277i,-0.051859+0.06561i,-0.016583+0.071571i,0.0029099+0.042941i,-0.00028855+0.018902i,-0.0021328+0.013441i,-0.00076727+0.011443i,-0.0008118+0.0064703i,-0.0048908+0.00071424i,-0.0093633-0.0016637i,-0.0083033-0.0010735i,-0.0045685-0.0013791i,-0.0032441-0.0035975i,-0.0019997-0.0045903i,-0.00062438-0.004265i,-0.0014781-0.0051045i,-0.0046653-0.0080335i
0.0084525+0.010539i,0.029829+0.033439i,0.063815+0.055248i,0.085339+0.057127i,0.073742+0.046468i,0.046639+0.053516i,0.047712+0.069419i,0.074101+0.052248i,0.076982+0.011219i,0.045209-0.005588i,0.017847+0.0028338i,0.012641+0.008898i,0.014649+0.0041734i,0.011911-0.0014977i,0.0057666-0.0012788i,0.0016251+0.0048367i,0.00069433+0.012124i,0.0017345+0.015593i,0.0015525+0.013142i,-0.001462+0.007455i,-0.0041215+0.0043705i,-0.0013522+0.0051855i,0.0031309+0.006506i
0.0030127-0.0024179i,0.016797+0.00057777i,0.046831-0.0080351i,0.08173-0.045414i,0.095507-0.089345i,0.098592-0.095967i,0.10122-0.079387i,0.077721-0.083298i,0.033383-0.083309i,0.0094301-0.051664i,0.010651-0.024117i,0.011051-0.017628i,0.0057456-0.013811i,0.0021437-0.0050345i,-0.0010893+0.0052045i,0.0006716+0.0087899i,0.0044945+0.0026049i,0.0057395-0.0057202i,0.0042308-0.009325i,0.00013187-0.0071373i,-0.0013108-0.003161i,-0.0021716-0.0008432i,-0.0054966+0.0022422i
0.0076387-0.0097515i,0.016182-0.04162i,0.012157-0.086763i,-0.015455-0.10203i,-0.041482-0.077093i,-0.049114-0.071723i,-0.062331-0.095051i,-0.087768-0.082649i,-0.086645-0.035137i,-0.049011-0.01133i,-0.019054-0.013006i,-0.012129-0.014633i,-0.011488-0.011098i,-0.0075932-0.0061609i,0.0017283-0.0041203i,0.0090815-0.0075493i,0.0099501-0.011144i,0.0073362-0.011057i,0.0036914-0.0072483i,0.002103-0.00043042i,0.0014772+0.0042514i,0.0038484+0.0041311i,0.0090956+0.00010286i
0.0022569-0.0069978i,-0.00077796-0.027696i,-0.026057-0.053175i,-0.080603-0.062531i,-0.13686-0.044227i,-0.16253-0.005796i,-0.15018+0.038764i,-0.10109+0.076831i,-0.041654+0.08128i,-0.014208+0.045581i,-0.015244+0.013164i,-0.017267+0.0058375i,-0.011679+0.004386i,-0.0032698+0.00045181i,0.0029305-0.0052625i,0.0010752-0.00919i,-0.0067724-0.0061122i,-0.015184+0.00061287i,-0.017235+0.0054368i,-0.011478+0.0069204i,-0.00532+0.0047964i,-0.0037183+0.0035354i,-0.0023718+0.0040992i
-0.014268-0.0024058i,-0.049194+0.0093064i,-0.08397+0.035339i,-0.071135+0.069438i,-0.0071864+0.088302i,0.04493+0.094593i,0.06321+0.10451i,0.083689+0.085404i,0.087686+0.034733i,0.048762+0.0052833i,0.01239+0.0066932i,0.0032827+0.011659i,0.0022135+0.010368i,-0.0009366+0.0033303i,-0.0088241-0.0045617i,-0.016532-0.0041521i,-0.015759+0.00053455i,-0.0047424+0.0030318i,0.0063577+0.0017318i,0.010293-0.00087664i,0.010563-0.0015086i,0.0085404-0.0049214i,0.003407-0.0095868i
-0.00625-0.0028236i,-0.023413+0.0041879i,-0.038258+0.035845i,-0.032082+0.083054i,-0.0029027+0.10227i,0.040972+0.073733i,0.083065+0.010402i,0.081271-0.057147i,0.034687-0.082924i,0.0010421-0.049653i,0.00024179-0.011508i,0.0063699-0.0027575i,0.0030677-0.0034077i,-0.0041009-0.00020288i,-0.0063256+0.0058013i,-0.0020552+0.011951i,0.0052679+0.01536i,0.0098573+0.013694i,0.010539+0.009015i,0.0074509+0.002759i,0.0022503-0.0024499i,-0.00079424-0.0010864i,-0.0013429+0.0034284i
0.010878+0.013758i,0.03465+0.034737i,0.073437+0.045769i,0.08778+0.0077667i,0.045797-0.065516i,-0.015604-0.11366i,-0.056952-0.1139i,-0.087079-0.081i,-0.09488-0.031136i,-0.058428+0.003478i,-0.017046+0.0048471i,-0.0063878-0.002863i,-0.007129-1.9024e-05i,-0.0026536+0.0072275i,0.0038792+0.013942i,0.011158+0.013997i,0.014103+0.0030851i,0.0069976-0.0093052i,-0.003351-0.013386i,-0.0089311-0.010063i,-0.0085612-0.0079307i,-0.0084422-0.0077452i,-0.009419-0.0051964i
0.0048043+0.0071766i,0.013027+0.012344i,0.041877+0.001789i,0.076086-0.01475i,0.079263-0.0083769i,0.04129+0.021043i,-0.009783+0.050197i,-0.033934+0.080271i,-0.015541+0.095732i,0.0096546+0.064231i,0.0073705+0.021309i,-0.0048104+0.0072673i,-0.0044561+0.0085733i,0.0039775+0.0062046i,0.012304-0.0032019i,0.013467-0.015279i,0.0082154-0.018453i,0.0048443-0.010234i,0.003956-0.00047405i,0.00038458+0.0057624i,-0.0041082+0.0091001i,-0.0025735+0.011692i,0.003424+0.010077i
0.0089767-0.015269i,0.009476-0.0485i,-0.010376-0.087912i,-0.059296-0.083594i,-0.096277-0.015203i,-0.06642+0.054535i,0.013017+0.073195i,0.08161+0.052495i,0.10279+0.016929i,0.071212-0.008887i,0.027897-0.0098277i,0.010154+0.001117i,0.0096137+0.0037054i,0.0085514-0.0025853i,0.001037-0.010406i,-0.0097744-0.0135i,-0.015343-0.0095884i,-0.014069-0.0017531i,-0.0067627+0.0050579i,0.0026789+0.0068872i,0.0057035+0.0056639i,0.003331+0.0059141i,0.0015543+0.0071724i
0.012304+0.0048165i,0.010906+0.00017006i,-0.014908-0.019414i,-0.045059-0.051099i,-0.030639-0.083448i,0.0064903-0.11546i,0.016666-0.13427i,0.006893-0.13156i,-0.00068239-0.11266i,-0.0070093-0.073516i,-0.0074645-0.030678i,-0.0004837-0.0075393i,0.0038966-0.0019299i,0.00078755-0.0019009i,-0.0084591+0.0021435i,-0.015314+0.010865i,-0.013551+0.012402i,-0.0041088+0.0014231i,0.0037607-0.010252i,0.005918-0.010754i,0.0078466-0.004017i,0.010942-0.0028042i,0.012625-0.0084241i
-0.0089594+0.00018192i,-0.032485+0.0108i,-0.050654+0.05655i,-0.032266+0.11751i,0.008471+0.13366i,0.0049446+0.093613i,-0.054797+0.040672i,-0.10952+0.014008i,-0.11195+0.010245i,-0.073119+0.007286i,-0.033688+0.0018423i,-0.010805-0.0049485i,-0.0042513-0.0090295i,-0.0040454-0.0040394i,0.00057199+0.0071975i,0.0084473+0.016551i,0.011665+0.021453i,0.0042531+0.018181i,-0.007081+0.0079319i,-0.010907-0.0023719i,-0.0077343-0.0079547i,-0.0047255-0.0081964i,-0.004181-0.0053579i
0.0079655-0.01301i,0.015415-0.015148i,0.0212+0.0052351i,0.0046832+0.032311i,-0.039575+0.036949i,-0.073749+0.055253i,-0.055906+0.11698i,-0.0016513+0.15709i,0.024754+0.12753i,0.014564+0.073164i,0.0061968+0.034533i,0.0032188+0.012829i,0.0011901+0.0036926i,0.0018608-0.00084536i,0.0086417-0.0023517i,0.020124-0.0041005i,0.023078-0.0087794i,0.012568-0.0077607i,-0.00030059-0.0015243i,-0.0038337+0.0015928i,-0.00089988-0.0014016i,-0.0021801-0.0057512i,-0.0085042-0.006072i
0.00553+0.0057598i,0.030644+0.0030413i,0.088637-0.017253i,0.15133-0.061892i,0.17588-0.10129i,0.17455-0.09721i,0.18168-0.068672i,0.17759-0.053124i,0.13576-0.041456i,0.076144-0.021446i,0.029918-0.0083874i,0.0050616-0.0065582i,-0.0058966-0.0042141i,-0.0076357-0.00093119i,-0.0042902-0.0075414i,-0.0019284-0.019654i,0.0011139-0.022487i,0.0087114-0.013495i,0.013289-0.00036745i,0.0078316+0.0071983i,-0.0020072+0.0074244i,-0.0072387+0.0075631i,-0.0048857+0.0089565i
