-0.0017925+0.00026148i,-0.00031376-0.00023577i,-0.0016528+0.00083173i,-0.0012872+0.0012897i,0.00015986+0.0015955i,0.00085247+0.00091505i,0.00071902+0.00010795i,-0.00033657+0.00079376i,-0.00024862+0.0011155i,0.0007473+0.00063208i,0.00085234-0.00031093i,0.00071455-0.00069619i,0.00085905-0.00016642i,0.00038888-0.00030595i,-0.0005314-0.00058413i,-0.00062659-0.00010424i,-0.00059119+0.00042234i,-0.00066523+0.00052117i,-0.00082392+0.00012863i,-0.00044044+2.972e-05i,0.00014123+0.00080883i,-8.3508e-05+0.0011759i,-0.00035162+0.00060614i
0.068169-0.11884i,0.15499-0.30145i,0.19208-0.45037i,0.1382-0.36014i,0.072904-0.10402i,0.040766+0.060823i,0.024178+0.10217i,0.036034+0.083944i,0.040918+0.015872i,0.011027-0.026008i,-0.0043979-0.023335i,-0.0097616-0.030619i,-0.034553-0.027736i,-0.045946+0.0031793i,-0.021836+0.036129i,0.027079+0.049122i,0.073427+0.038471i,0.082164+0.029666i,0.061055+0.031896i,0.040849+0.030257i,0.033646+0.019082i,0.029735-0.0007259i,0.010728-0.010151i
0.019974+0.12365i,0.07542+0.30389i,0.1892+0.4538i,0.26824+0.39601i,0.22342+0.18836i,0.13606+0.032969i,0.075862-0.051072i,0.012398-0.089031i,-0.042914-0.057708i,-0.050216-0.0050399i,-0.027093+0.021222i,-0.0057173+0.027498i,0.015358+0.022198i,0.028447-0.0046639i,0.012391-0.044957i,-0.02561-0.062666i,-0.052643-0.043359i,-0.04575-0.0099733i,-0.021829+0.012432i,-0.0094148+0.016524i,-0.011938+0.016627i,-0.015394+0.022889i,-0.0077573+0.023353i
-0.081657-0.059409i,-0.22399-0.11618i,-0.38734-0.15171i,-0.42183-0.15276i,-0.29708-0.16075i,-0.16457-0.16848i,-0.082504-0.13378i,-0.038672-0.064079i,-0.011849+0.020682i,0.020363+0.06009i,0.019713+0.045562i,0.0018422+0.041414i,0.013212+0.039829i,0.026805+0.017712i,0.024353-0.0080977i,0.0053419-0.033641i,-0.02449-0.053028i,-0.040396-0.06587i,-0.033533-0.069243i,-0.017328-0.057415i,-0.011114-0.042917i,-0.019433-0.026418i,-0.021174-0.0026212i
0.059005+0.0032044i,0.12362-0.022656i,0.16401-0.056724i,0.12397-0.049321i,0.036194+0.017214i,0.0008778+0.085001i,0.003243+0.10658i,0.030147+0.08231i,0.064473+0.017613i,0.057553-0.037686i,0.02916-0.046098i,0.011441-0.037974i,-0.0085408-0.034416i,-0.037202-0.014178i,-0.051568+0.034949i,-0.02751+0.088538i,0.015782+0.11292i,0.039889+0.10361i,0.033196+0.073965i,0.012782+0.044284i,0.0081844+0.027631i,0.02341+0.012683i,0.02637-0.0089702i
0.00062644+0.0072791i,0.039157+0.032227i,0.071585+0.060925i,0.037302+0.13049i,-0.023465+0.21155i,-0.051732+0.20173i,-0.051434+0.1093i,-0.062118+0.026088i,-0.057758-0.015926i,-0.043379-0.021656i,-0.022644-0.00090319i,0.0026752+0.0047565i,-0.0008439+0.0016069i,-0.0074336+0.0095312i,0.00047337+0.0062827i,0.0062214-0.0073979i,0.009291-0.013062i,0.0042967-0.0064081i,-0.0052863+0.0067148i,-0.0058088+0.013331i,-0.0037895+0.014178i,0.00022241+0.018447i,0.011126+0.020308i
0.013634+0.024589i,0.02628+0.082271i,0.093981+0.12863i,0.18697+0.029154i,0.1832-0.15171i,0.11183-0.19689i,0.060561-0.13433i,0.016048-0.073177i,-0.035712-0.0077866i,-0.052286+0.045491i,-0.038121+0.058508i,-0.016407+0.053136i,0.010007+0.038618i,0.031932+0.014453i,0.042288-0.021443i,0.031385-0.063759i,0.0076624-0.089779i,-0.0029804-0.092877i,0.00050784-0.072805i,0.0037592-0.041144i,0.0026254-0.02377i,-0.0082803-0.023548i,-0.019957-0.018071i
-0.041836-0.061187i,-0.12255-0.18094i,-0.2415-0.2999i,-0.2741-0.2745i,-0.15712-0.15411i,-0.034835-0.087975i,0.021792-0.045292i,0.064136+0.0075345i,0.089888+0.026426i,0.091296+0.021987i,0.073277+0.0085129i,0.035995+0.00082342i,0.014914+0.0054481i,0.0098312+0.00049844i,-0.00439+0.002047i,-0.019511+0.023261i,-0.028368+0.04362i,-0.029616+0.048173i,-0.020108+0.034816i,-0.0091177+0.014608i,-0.0023331+0.0026933i,0.0046762-0.0016107i,0.0069648-0.011905i
0.077781+0.026148i,0.19022+0.055289i,0.22821+0.049833i,0.053897+0.023029i,-0.15881+0.055932i,-0.15994+0.095774i,-0.075496+0.042924i,-0.056212-0.022591i,-0.043988-0.026425i,-0.015664-0.016198i,0.0033028-0.021821i,0.006507-0.03752i,-0.0088458-0.042071i,-0.027479-0.021403i,-0.03765+0.014687i,-0.02661+0.051473i,0.0039448+0.072265i,0.023318+0.072682i,0.024314+0.05599i,0.018081+0.029863i,0.008919+0.01124i,0.0025312+0.0041738i,-0.0022095+0.0023265i
-0.12184+0.014209i,-0.29477+0.057015i,-0.40451+0.14553i,-0.32086+0.20885i,-0.20288+0.17272i,-0.18472+0.10522i,-0.17762+0.072423i,-0.12927+0.038714i,-0.072466-0.0021411i,-0.039498-0.02636i,-0.028569-0.014378i,-0.013018+0.015714i,-0.00066189+0.023461i,0.0023948+0.013244i,0.012722-0.017024i,0.02045-0.065464i,0.02008-0.10328i,0.016181-0.11771i,0.0016421-0.10126i,-0.012896-0.059671i,-0.0118-0.02339i,-0.0079314-0.0068882i,-0.0072668+0.0085119i
0.12316-0.066859i,0.29697-0.14105i,0.42734-0.18208i,0.40354-0.13693i,0.31052-0.076922i,0.22411-0.06316i,0.14727-0.045577i,0.10044+0.00066292i,0.075302+0.030549i,0.042515+0.031101i,0.0056982+0.025955i,-0.011633+0.026057i,-0.0065712+0.022451i,0.0021046+0.012196i,0.00566+0.0070703i,0.0027391+0.0050189i,-0.01193+0.0010124i,-0.024744-0.0023834i,-0.021133-0.0043241i,-0.011216-0.0029608i,-0.009697+0.0041237i,-0.011185+0.011992i,-0.007309+0.010749i
-0.087493+0.1467i,-0.20425+0.33943i,-0.26827+0.46176i,-0.20735+0.36248i,-0.10654+0.2045i,-0.0039691+0.1563i,0.098242+0.13486i,0.11605+0.065571i,0.041529+0.017475i,-0.010752+0.027899i,-0.0046471+0.033778i,0.0021531+0.014607i,0.0035586+0.00067707i,0.0060331-0.0079606i,-0.0086531+0.00027292i,-0.030309+0.032525i,-0.041038+0.068055i,-0.043524+0.093081i,-0.040523+0.096574i,-0.027675+0.070961i,-0.010912+0.032869i,0.0021669+0.0055149i,0.013153-0.01381i
0.017412-0.17875i,0.037286-0.43688i,-0.00025031-0.62652i,-0.12151-0.49116i,-0.2016-0.19414i,-0.16884-0.079971i,-0.14743-0.13975i,-0.16593-0.16188i,-0.12806-0.094006i,-0.048966-0.027425i,0.0041044-0.0065211i,0.016096-0.0085456i,-0.0032667+0.0016847i,-0.016721+0.029022i,-0.007636+0.034769i,0.013042+0.011732i,0.042291-0.01219i,0.064496-0.027014i,0.064148-0.031559i,0.050988-0.022114i,0.040876-0.0092774i,0.030276-0.00773i,0.0093226-0.0021886i
0.11024+0.12815i,0.2865+0.31779i,0.45945+0.4439i,0.47816+0.33366i,0.35104+0.10015i,0.16784-0.029945i,0.013856-0.034796i,-0.040121+0.040085i,0.026063+0.10442i,0.071947+0.068925i,0.033468+0.029835i,0.020268+0.034837i,0.0325+0.011295i,0.014448-0.024454i,-0.0040361-0.041757i,-0.0073484-0.050467i,-0.005033-0.056018i,0.0028136-0.064981i,0.012518-0.065475i,0.01239-0.050364i,-0.00014409-0.025538i,-0.0038344-0.00069571i,0.0042576+0.0084199i
-0.12366-0.025449i,-0.32526-0.072108i,-0.42634-0.088986i,-0.27607-0.094475i,-0.09322-0.13845i,-0.03489-0.13765i,0.0046592-0.032712i,0.07473+0.024099i,0.079841-0.031573i,0.027485-0.046443i,-0.0089277+0.0029642i,-0.03011+0.042052i,-0.027927+0.048121i,-0.0070449+0.022083i,0.00091986-0.0038939i,-0.015955-0.0088192i,-0.047625+0.0042822i,-0.07111+0.020511i,-0.077983+0.024396i,-0.070419+0.01602i,-0.05468+0.00094964i,-0.037708-0.0085941i,-0.015035-0.014295i
0.035168-0.070311i,0.082691-0.16473i,-0.0040238-0.2852i,-0.19776-0.30672i,-0.22983-0.1792i,-0.08868-0.029878i,0.030682-0.0018856i,0.018085-0.062898i,-0.085574-0.07007i,-0.11378-0.010662i,-0.038619-0.0083595i,0.0018445-0.047571i,0.0023326-0.020604i,0.016164+0.038485i,0.018122+0.07835i,0.0252+0.10459i,0.055457+0.10493i,0.067439+0.09065i,0.054959+0.071053i,0.043476+0.044882i,0.036575+0.026381i,0.02227+0.011723i,-0.0076025+0.00091368i
0.014695-0.0024377i,0.0055413-0.061114i,-0.055203-0.15297i,-0.31556-0.12968i,-0.66393+0.045893i,-0.68344+0.16461i,-0.44253+0.13864i,-0.2112+0.097867i,-0.0073083+0.075483i,0.097456+0.035806i,0.10488+0.040133i,0.11656+0.038311i,0.085654-0.018523i,0.020009-0.052763i,-0.011563-0.072006i,-0.030256-0.10402i,-0.04549-0.12831i,-0.041952-0.14401i,-0.037351-0.12799i,-0.039327-0.068584i,-0.028545-0.022328i,-0.012535-0.018051i,-0.0047384-0.016347i
0.04795+0.12656i,0.14612+0.37823i,0.29099+0.69483i,0.42146+0.77956i,0.44255+0.58029i,0.35645+0.34531i,0.21994+0.13813i,0.032918+0.043848i,-0.073834+0.10479i,-0.037135+0.11712i,-0.022624+0.031033i,-0.055055+0.0034804i,-0.041245+0.022723i,-0.018607+0.018177i,-0.010652+0.012671i,0.004766+0.01408i,0.0076606+0.02577i,0.0041392+0.04906i,0.026091+0.048057i,0.047068+0.016854i,0.034548+0.0068422i,0.017009+0.028363i,0.012664+0.032597i
-0.16149-0.137i,-0.40498-0.32752i,-0.56895-0.44285i,-0.32998-0.26237i,0.18332-0.036353i,0.40047-0.10205i,0.26756-0.13034i,0.2098-0.054662i,0.18811-0.10186i,0.060882-0.12821i,-0.024224-0.065216i,-0.040018-0.029919i,-0.03967-0.025701i,-0.017178-0.020105i,0.0098005-0.0059101i,0.019903+0.0091005i,0.017531+0.0071439i,-0.0041573-0.0028688i,-0.049376+0.0015436i,-0.078911+0.0090926i,-0.071422+0.00088472i,-0.042139-0.001626i,-0.0055607+0.012804i
0.3398+0.028937i,0.76363+0.098903i,1.0967+0.11397i,0.93238+0.033444i,0.43003+0.05629i,0.14802+0.2058i,0.11645+0.13752i,0.019662-0.042503i,-0.076765-0.036295i,-0.058262+0.060932i,-0.019993+0.098049i,-0.018123+0.098031i,-0.02076+0.11982i,-0.011817+0.1239i,-0.038289+0.089516i,-0.074489+0.078272i,-0.055082+0.088602i,-0.0018167+0.078748i,0.034488+0.06188i,0.065632+0.058645i,0.094952+0.036727i,0.075984-0.014963i,0.023882-0.05066i
-0.43053+0.079063i,-0.8359+0.1144i,-1.1804-0.042658i,-1.3455-0.38438i,-1.349-0.6226i,-1.1343-0.5889i,-0.76953-0.36404i,-0.42068-0.14145i,-0.061571+0.0193i,0.17224+0.057808i,0.19582+0.085574i,0.19951+0.10538i,0.17091+0.0034745i,0.062458-0.068621i,-0.0089607-0.06856i,-0.040528-0.083956i,-0.067277-0.10051i,-0.081334-0.11667i,-0.091836-0.13628i,-0.11634-0.12181i,-0.1322-0.066544i,-0.10437-0.023018i,-0.072117-0.0081042i
-1.2295+4.6196i,-0.8249+2.647i,2.2664+2.8374i,3.9407+1.2507i,3.268-1.3849i,0.94195-3.4885i,-1.5032-2.825i,-2.1024-0.62932i,-0.96941+0.97727i,0.42419+1.138i,0.71915+0.4023i,0.19796-0.087582i,-0.43737-0.069847i,-0.89946+0.33508i,-0.74095+0.65189i,-0.24961+0.518i,0.057031+0.15968i,0.050379-0.1901i,-0.15105-0.39219i,-0.27778-0.37559i,-0.21032-0.25301i,-0.023635-0.13503i,0.15127-0.10654i
-0.41179+0.62776i,-0.81744+1.7243i,-0.84783+2.8478i,-0.1864+2.6384i,0.41632+1.1757i,0.36831+0.047078i,0.15269-0.25449i,0.0080456-0.24896i,-0.075422-0.054682i,-0.0071992+0.094935i,0.021169+0.096246i,0.0090765+0.12857i,0.060098+0.10196i,0.063084-0.012582i,0.032265-0.12299i,0.0031277-0.17598i,-0.036646-0.13395i,-0.025114-0.060829i,0.038471-0.043534i,0.051212-0.066654i,0.0080382-0.032346i,0.010287+0.026452i,0.033772+0.0033161i
-0.0091839-0.42907i,-0.05167-0.96517i,-0.10434-1.2932i,-0.084716-1.0433i,0.11831-0.69711i,0.29393-0.69939i,0.15213-0.7022i,-0.016664-0.41324i,0.032643-0.084208i,0.10964-0.0029482i,0.058838-0.04713i,0.010413-0.043756i,0.037068-0.080688i,0.038506-0.14448i,0.039605-0.14724i,0.068452-0.12708i,0.080078-0.086686i,0.091941-0.044506i,0.10163-0.045124i,0.070648-0.054193i,0.038136-0.044334i,0.045473-0.033618i,0.050054-0.022751i
0.2463+0.6182i,0.57997+1.4631i,0.88034+2.1343i,0.86669+1.9003i,0.52829+1.0709i,0.15749+0.42804i,-0.035273+0.066421i,-0.13926-0.13197i,-0.18057-0.19183i,-0.15713-0.17938i,-0.1155-0.13136i,-0.07763-0.065724i,-0.058884-0.012522i,-0.04827+0.0087782i,-0.037079+0.0020072i,-0.030234+0.0039753i,-0.022956+0.014195i,-0.016515+0.0063149i,-0.012195-0.006064i,-0.0012188-0.0063789i,0.0058698+0.0092203i,5.2723e-06+0.029841i,-0.0010489+0.036853i
-0.34311-0.37058i,-0.78614-0.83081i,-0.97466-1.0966i,-0.51362-0.82074i,0.05097-0.35114i,0.082145-0.095634i,-0.1348+0.1143i,-0.1494+0.21871i,-0.082755+0.10702i,-0.083216+0.02966i,-0.043286+0.046645i,0.023305+0.012898i,0.019907-0.038734i,-0.01911-0.024736i,-0.034264+0.021348i,-0.020367+0.053009i,0.0013919+0.06679i,0.0045625+0.06409i,-0.011012+0.048256i,-0.024331+0.034644i,-0.017402+0.022864i,-0.0026118+0.001474i,-0.0005671-0.014299i
0.49663+0.067274i,1.2851+0.085342i,1.8913-0.13521i,1.5121-0.53408i,0.61853-0.60697i,0.21044-0.3287i,0.19115-0.20515i,0.11904-0.15107i,0.095886-3.119e-07i,0.15932+0.034716i,0.14732-0.021594i,0.085919-0.026684i,0.039557+0.003832i,0.037663+0.027919i,0.069765+0.017613i,0.083629-0.028539i,0.070455-0.076286i,0.047834-0.084884i,0.031124-0.052914i,0.028503-0.020484i,0.028851-0.0090958i,0.016672+0.0049112i,0.0039923+0.028954i
-0.42595+0.11691i,-1.0565+0.31072i,-1.5745+0.63337i,-1.3924+0.89607i,-0.80531+0.79996i,-0.53045+0.45445i,-0.52941+0.31399i,-0.39094+0.32714i,-0.16153+0.19615i,-0.075314+0.025333i,-0.059793-0.024909i,-0.0057692-0.026212i,0.034841-0.045643i,0.00442-0.063453i,-0.071227-0.050242i,-0.12021+0.0085115i,-0.1091+0.073183i,-0.06514+0.093186i,-0.018974+0.06371i,0.0042374+0.016925i,0.0038116-0.0066265i,0.010644-0.006687i,0.024594-0.013059i
0.26347-0.20387i,0.70339-0.52654i,1.2165-0.80995i,1.4511-0.79497i,1.2373-0.54342i,0.76163-0.21994i,0.42702+0.080313i,0.33695+0.1607i,0.21507+0.022593i,0.042347-0.042433i,-0.014674-0.032852i,-0.036228-0.064535i,-0.080854-0.055799i,-0.065439+0.0088012i,0.0074283+0.05767i,0.082824+0.051393i,0.11739+0.0026463i,0.093738-0.032963i,0.042119-0.031578i,0.0032432-0.012469i,-0.0033074-0.0015663i,0.0031194-0.012997i,-0.0062751-0.02707i
-0.068496+0.17138i,-0.21695+0.35869i,-0.42132+0.32361i,-0.55362-0.040036i,-0.4622-0.25624i,-0.12949-0.11489i,0.21403-0.046878i,0.25683-0.14091i,0.09507-0.11063i,0.033109-0.01347i,0.038319-0.0014895i,0.0050654+0.0036485i,-0.0085767+0.036522i,0.0099645+0.040421i,0.024093+0.020666i,0.016731-0.013922i,-0.01265-0.047171i,-0.024055-0.043326i,-0.0027149-0.020244i,0.014026-0.010422i,0.0072258-0.013809i,-0.013704-0.0095001i,-0.021248+0.01434i
-0.10017-0.098622i,-0.30197-0.18744i,-0.5338-0.07365i,-0.54687+0.25621i,-0.28834+0.34695i,-0.069863+0.023465i,-0.11555-0.26579i,-0.19686-0.26235i,-0.13284-0.14939i,-0.05065-0.09721i,-0.04145-0.073434i,-0.037227-0.018001i,0.015379+0.031849i,0.063037+0.036617i,0.061878+0.017785i,0.030325+0.011024i,-0.0035305+0.020391i,-0.019402+0.021755i,-0.017243+0.0061255i,-0.011932-0.0043786i,-0.0084628+0.0039911i,-0.0016485+0.017345i,0.012092+0.016788i
0.089533-0.0089808i,0.26048+0.0076066i,0.50393+0.025346i,0.65467+0.017364i,0.5465+0.01176i,0.24388+0.076095i,0.0050285+0.20378i,-0.082228+0.27183i,-0.097262+0.207i,-0.08697+0.10011i,-0.047256+0.039518i,0.010207-0.0058895i,0.033368-0.067977i,0.016284-0.092922i,0.0064385-0.059138i,0.013872-0.019492i,0.022701+0.0011011i,0.020401+0.0086643i,0.0043087+0.0091553i,-0.0086649+0.010114i,-0.0043796+0.0068181i,0.0095585-0.0073287i,0.013615-0.022112i
-0.021929+0.14827i,-0.059018+0.31421i,-0.11877+0.37998i,-0.16776+0.22478i,-0.13771+0.040352i,-0.0038285-0.025523i,0.14825-0.061081i,0.21462-0.081463i,0.18626-0.060209i,0.11311-0.028872i,0.038906-0.010878i,-0.027685-2.562e-05i,-0.073272+0.021848i,-0.06301+0.038204i,-0.021436+0.018731i,-0.0050039-0.017229i,-0.0099562-0.032359i,-0.011285-0.025086i,-0.0084-0.0090472i,-0.0022066+0.0017043i,-0.0039798-0.001999i,-0.024704-0.00049691i,-0.041767+0.01581i
-0.062143-0.14385i,-0.10972-0.30614i,-0.035084-0.3793i,0.18375-0.3109i,0.26285-0.27119i,0.054682-0.25666i,-0.14062-0.13601i,-0.11432-0.029133i,-0.027524-0.0157i,0.0019999-0.015079i,0.017223+0.0020686i,0.054351+0.017835i,0.090203+0.010516i,0.076534-0.015245i,0.025953-0.021546i,-0.01354+0.0064501i,-0.026672+0.032657i,-0.02014+0.03845i,-0.0019356+0.03115i,0.0077519+0.017225i,0.0052853+0.016148i,0.016308+0.027441i,0.037706+0.026503i
0.19158+0.074657i,0.45355+0.11077i,0.53278+0.0061015i,0.18891-0.15673i,-0.16442-0.094777i,-0.12423+0.077303i,-0.0038391+0.035888i,-0.068667-0.080633i,-0.12744-0.084956i,-0.082347-0.056139i,-0.030692-0.053739i,-0.02267-0.070092i,-0.044121-0.073179i,-0.04967-0.042272i,-0.024872-0.0073532i,0.015169+0.0082357i,0.047192+0.0083416i,0.051102-0.0026731i,0.031919-0.013648i,0.01073-0.010736i,0.010308-0.0025458i,0.020842-0.013584i,0.017407-0.036529i
-0.25913+0.01015i,-0.63956+0.11653i,-0.85658+0.4143i,-0.51913+0.71759i,-0.012415+0.62637i,0.070629+0.26851i,-0.06923+0.1527i,-0.050211+0.21922i,0.02892+0.17188i,0.018399+0.070586i,-0.016174+0.028526i,-0.031063+0.026814i,-0.035285+0.034104i,-0.028141+0.033049i,-0.013972+0.019998i,-0.0078683-0.0039273i,-0.014363-0.022507i,-0.016068-0.015338i,-0.004135+0.0019764i,0.0093303+0.0036983i,0.0067423-0.011557i,-0.019879-0.018851i,-0.049839+0.00022441i
0.26018-0.11307i,0.68509-0.36981i,1.0617-0.77784i,0.95295-1.0395i,0.4893-0.8202i,0.17727-0.29486i,0.11717+0.041442i,0.10165+0.081533i,0.053704+0.030023i,0.022527+0.0083083i,0.026546+0.0023094i,0.037421-0.0092728i,0.039715-0.0046633i,0.039217+0.010118i,0.031089+0.013855i,0.016389+0.011733i,0.0042039+0.0030437i,-0.0087541-0.016138i,-0.018453-0.03064i,-0.016952-0.027883i,-0.0081696-0.010518i,0.0089105+0.010079i,0.031469+0.021085i
-0.22497+0.15546i,-0.63175+0.42835i,-1.0491+0.7547i,-1.0297+0.84825i,-0.55332+0.59117i,-0.074256+0.21434i,0.17627-0.029587i,0.22333-0.12814i,0.12334-0.12047i,0.0279-0.059419i,-0.0034651-0.031113i,-0.029565-0.019996i,-0.032593+0.00019375i,-0.010693-0.0030617i,-0.0061924-0.018914i,-0.016743-0.01561i,-0.025196+0.010659i,-0.021842+0.047466i,-0.013478+0.063347i,-0.013493+0.045155i,-0.016764+0.017879i,-0.016823+0.00099344i,-0.006125-0.006423i
0.13058-0.15057i,0.39358-0.39618i,0.69878-0.63808i,0.73463-0.63729i,0.44565-0.41823i,0.1265-0.24185i,-0.092183-0.18447i,-0.19523-0.11156i,-0.13135-0.017555i,-0.01886-0.003973i,0.007731-0.027484i,0.011137-0.02761i,0.020475-0.040905i,-0.0010856-0.042135i,-0.017037-0.0016201i,0.0018275+0.027616i,0.033006+0.017989i,0.049936-0.0083721i,0.047071-0.020954i,0.034996-0.0086843i,0.022777+0.0082375i,0.014074+0.012457i,-0.0021634-0.001465i
-0.077538+0.13562i,-0.25146+0.3578i,-0.47135+0.59095i,-0.49524+0.601i,-0.28564+0.3861i,-0.11215+0.20622i,-0.038682+0.16473i,0.017662+0.13046i,0.02067+0.040144i,-0.028271-0.0086443i,-0.047707+0.01438i,-0.03928+0.039843i,-0.039245+0.059874i,-0.023894+0.080165i,0.016182+0.073893i,0.041304+0.041203i,0.032222+0.0059185i,0.013835-0.011811i,0.0085143-0.017166i,0.010083-0.022577i,0.011292-0.022272i,0.012387-0.016501i,0.0097442-0.0014039i
0.055735-0.067387i,0.19307-0.18333i,0.40424-0.3234i,0.49846-0.3703i,0.37068-0.31079i,0.18882-0.24612i,0.084986-0.19605i,0.027936-0.12756i,-0.0075609-0.046905i,-0.0074406+0.00085591i,0.013702+0.0012779i,0.029449-0.011503i,0.046498-0.016464i,0.070451-0.030214i,0.076506-0.066006i,0.044661-0.096419i,0.0019065-0.089305i,-0.022099-0.061i,-0.033266-0.038574i,-0.03602-0.019576i,-0.029768-0.0070176i,-0.023176-0.0037058i,-0.013752-0.0030072i
-0.0434+0.024272i,-0.14012+0.060494i,-0.27209+0.099839i,-0.33025+0.099384i,-0.27133+0.094714i,-0.19339+0.11892i,-0.16569+0.12712i,-0.12258+0.11575i,-0.035442+0.085049i,0.020247+0.03302i,0.025076-0.0028446i,0.033755-0.018931i,0.045314-0.045477i,0.018493-0.069439i,-0.041832-0.056034i,-0.084322-0.010242i,-0.088526+0.024279i,-0.072909+0.032113i,-0.0463+0.037092i,-0.016118+0.041824i,-0.00015376+0.036213i,-0.002318+0.027817i,-0.0078535+0.015833i
0.06258+0.0020019i,0.16097-0.0026125i,0.24357+0.0095243i,0.22303+0.057713i,0.13622+0.094715i,0.079161+0.10987i,0.099272+0.13372i,0.13268+0.10497i,0.090116+0.019114i,0.018987-0.01235i,-0.0066669-0.0051245i,-0.034495-0.024532i,-0.087636-0.033382i,-0.10659-0.0080876i,-0.073262+0.033423i,-0.020521+0.070457i,0.017456+0.088679i,0.028393+0.087295i,0.028274+0.058852i,0.02803+0.013114i,0.027963-0.012746i,0.032454-0.0097391i,0.030997+0.001058i
-0.075039-0.011243i,-0.1698-0.024785i,-0.19965-0.063033i,-0.082204-0.12344i,0.072659-0.16383i,0.13278-0.19632i,0.096133-0.2363i,0.015862-0.22263i,-0.036594-0.1325i,-0.03553-0.066885i,-0.031373-0.047041i,-0.035521-0.0066889i,-0.022156+0.048265i,0.005318+0.075112i,0.039828+0.05824i,0.069252+0.015992i,0.083819-0.014584i,0.088982-0.019128i,0.072447-0.0089644i,0.033554+0.00073339i,0.0005072-0.00075227i,-0.015815-0.013773i,-0.020311-0.019796i
0.072594-0.0076165i,0.16506-0.035661i,0.18617-0.037408i,0.067659+0.019399i,-0.067478+0.10303i,-0.12243+0.17196i,-0.13704+0.21019i,-0.10134+0.20614i,-0.025948+0.15585i,0.019895+0.099938i,0.031584+0.066502i,0.046092+0.044187i,0.070514+0.020561i,0.075522-0.0076736i,0.04706-0.034972i,0.015283-0.058145i,-0.0039107-0.085288i,-0.015982-0.11063i,-0.018495-0.10876i,-0.015182-0.0727i,-0.01218-0.02915i,-0.012953+0.0014632i,-0.01012+0.016356i
-0.08621+0.028755i,-0.18497+0.090699i,-0.20036+0.1343i,-0.046504+0.076695i,0.10469-0.042281i,0.1367-0.099403i,0.15204-0.071255i,0.15177-0.054487i,0.086442-0.071796i,0.020147-0.069496i,-0.00084803-0.051127i,-0.0071755-0.044433i,-0.019675-0.047728i,-0.031162-0.045642i,-0.045095-0.027604i,-0.070992+0.0035267i,-0.095877+0.041298i,-0.10988+0.073334i,-0.098588+0.082079i,-0.057528+0.064145i,-0.017821+0.038418i,0.0079827+0.027354i,0.023645+0.023177i
0.065654-0.041882i,0.14665-0.12863i,0.14513-0.20916i,0.011139-0.17754i,-0.066442-0.072028i,-0.014783-0.053202i,-0.010484-0.13035i,-0.070997-0.14246i,-0.076436-0.068613i,-0.038352-0.022794i,-0.02222-0.016062i,-0.020234-0.0073345i,-0.015754-0.00033084i,-0.011515+0.011944i,0.0075685+0.040503i,0.049107+0.057257i,0.09064+0.04873i,0.11503+0.037516i,0.10993+0.026758i,0.077508+0.011406i,0.048827-0.0027764i,0.035614-0.023557i,0.020702-0.043679i
-0.053673+0.056718i,-0.12205+0.18615i,-0.10821+0.33631i,0.049248+0.35646i,0.14689+0.22686i,0.049157+0.13056i,-0.039152+0.16709i,-0.0030632+0.18695i,0.030661+0.11444i,0.013247+0.046836i,0.00089029+0.021506i,0.00084943+0.012478i,-0.0038526+0.016389i,-0.0014575+0.018074i,0.012362-0.0073461i,0.011092-0.046508i,-0.011636-0.077281i,-0.028175-0.091331i,-0.027888-0.083239i,-0.024859-0.063854i,-0.031753-0.04966i,-0.050436-0.032968i,-0.060438-0.0079228i
0.048053-0.058257i,0.11838-0.19685i,0.13405-0.38905i,0.010396-0.48281i,-0.12536-0.39199i,-0.10644-0.23291i,-0.028958-0.16226i,-0.020903-0.13237i,-0.038014-0.07447i,-0.027593-0.021013i,-0.0053159+0.0057079i,0.013597+0.0067734i,0.028205-0.0029549i,0.034995-0.0092615i,0.018655-0.010234i,-0.016386+0.0062573i,-0.042065+0.041267i,-0.051207+0.064657i,-0.047196+0.058675i,-0.036902+0.046417i,-0.025306+0.051208i,-0.0044828+0.065552i,0.01898+0.066445i
-0.041134+0.051627i,-0.11304+0.18165i,-0.16023+0.39129i,-0.067811+0.53576i,0.1008+0.46655i,0.14932+0.25983i,0.093191+0.1192i,0.06911+0.063101i,0.073959+0.020072i,0.052903-0.014304i,0.01856-0.033946i,-0.0081635-0.03841i,-0.019925-0.031621i,-0.022359-0.02101i,-0.016004-0.0048448i,0.010732+0.0067767i,0.045361+0.00061835i,0.060515-0.0076708i,0.049119-0.0014846i,0.035253+0.012566i,0.039851+0.01162i,0.047896-0.016345i,0.039765-0.045781i
0.042985-0.04035i,0.12974-0.14432i,0.23506-0.33418i,0.20972-0.47963i,0.027402-0.39947i,-0.1117-0.16348i,-0.12613-0.0017981i,-0.11151+0.034251i,-0.094935+0.033367i,-0.052761+0.03497i,-0.014363+0.03076i,-0.0019892+0.024677i,-0.0028772+0.017218i,-0.0014239+0.0013993i,-0.0038186-0.015986i,-0.019536-0.021116i,-0.040027-0.016642i,-0.046092-0.011406i,-0.025128-0.00741i,0.0058164-0.016309i,0.010872-0.034061i,-0.015481-0.030903i,-0.041808-0.0081563i
