0.00083291-8.3223e-05i,0.00078356-0.00022918i,-0.00014868-0.00014458i,-0.0011921-0.00019439i,-0.0022122-7.4346e-05i,-0.0024305+0.00031999i,-0.0012835+0.001206i,0.00015933+0.0014454i,0.0010142+0.00041606i,0.0013206-2.3842e-05i,0.00087496+0.00036045i,0.000614+0.00057489i,0.00031608+0.00040555i,-0.0003798-5.678e-05i,-0.0010821-0.00019494i,-0.00068314+0.00026452i,0.00020675+0.00026748i,0.00054974-0.00021794i,0.00048557-0.00021717i,-0.00029837+5.537e-05i,6.1833e-05-5.7113e-05i,0.00091883-7.9319e-05i,0.00061684+0.00034091i
0.0079857-0.0499i,0.040939-0.05836i,0.11307-0.02483i,0.17558+0.06219i,0.20026+0.16941i,0.21448+0.23338i,0.19309+0.21683i,0.12132+0.14927i,0.061332+0.089792i,0.038243+0.039361i,0.018833-0.0059195i,0.0023974-0.032827i,0.0015008-0.047721i,0.0069064-0.048068i,0.0096128-0.036266i,0.0091452-0.031292i,0.0040695-0.036229i,-0.0030927-0.037184i,-0.0041829-0.027034i,-0.001582-0.014777i,-0.00037735-0.0055665i,0.0032667+0.0013262i,0.0094561+0.00032465i
0.047515-0.026494i,0.098555-0.087731i,0.08823-0.17344i,-0.017576-0.21115i,-0.11709-0.13942i,-0.065816-0.031271i,0.084287-0.025458i,0.12735-0.074703i,0.066814-0.054824i,0.037992-0.0046i,0.028218+0.010351i,0.0033682+0.021302i,-0.012529+0.030279i,-0.019655+0.018227i,-0.023835+0.00172i,-0.036004-0.0035334i,-0.055137+0.0038276i,-0.057395+0.01246i,-0.039778+0.013325i,-0.020573+0.012865i,-0.0067478+0.014119i,0.0025961+0.012391i,0.0056267+0.0071524i
-0.056234-0.054069i,-0.13776-0.11753i,-0.17502-0.15923i,-0.091778-0.14088i,0.050455-0.13901i,0.085053-0.21462i,-0.022095-0.24123i,-0.085593-0.15497i,-0.054671-0.079926i,-0.040177-0.050928i,-0.043071-0.015954i,-0.033531+0.0061056i,-0.0309+0.012069i,-0.02783+0.020932i,-0.01673+0.024951i,-0.0062495+0.025114i,0.00048854+0.030357i,0.0030992+0.034228i,0.0038126+0.029249i,0.0048204+0.01948i,0.0043738+0.006069i,0.00018825-0.006786i,-0.0073567-0.010846i
-0.00026661+0.013466i,-0.027097+0.04856i,-0.11757+0.1131i,-0.20223+0.19882i,-0.17325+0.24368i,-0.10352+0.18544i,-0.1021+0.084517i,-0.11745+0.044737i,-0.074925+0.040604i,-0.016893+0.01092i,0.013332-0.014919i,0.034844-0.01287i,0.050454-0.0037317i,0.044528-0.00096854i,0.020044+0.0022924i,0.0081054+0.020485i,0.02656+0.039273i,0.043738+0.040316i,0.040258+0.029174i,0.03149+0.014713i,0.022651+0.0048371i,0.014031+0.0020299i,0.0083851+0.003613i
-0.092882+0.049826i,-0.17512+0.12796i,-0.13982+0.18557i,0.013929+0.099736i,0.066622-0.075996i,-0.0070325-0.083913i,-0.012981+0.064024i,0.04156+0.10978i,0.028753+0.060679i,-0.0084861+0.04779i,-0.012828+0.040908i,-0.014419+0.015689i,-0.011672-0.0010356i,0.0048428-0.0063967i,0.021613-0.0086746i,0.029037-0.021383i,0.022617-0.038428i,0.014519-0.041854i,0.012931-0.034362i,0.0058425-0.025078i,-0.0032517-0.012723i,-0.005587-0.00065684i,-0.002841+0.0058199i
0.084346-0.064443i,0.19873-0.11428i,0.28303-0.098132i,0.25769+0.0011004i,0.18052+0.08335i,0.11358+0.045182i,0.059301-0.035598i,0.035849-0.046606i,0.037755-0.029197i,0.026988-0.026889i,0.0046223-0.022282i,-0.0094279-0.017382i,-0.020923-0.021827i,-0.031201-0.020848i,-0.027731-0.0043261i,-0.0096185+0.0042634i,0.0052209-0.011204i,0.0035441-0.030065i,-0.006839-0.033466i,-0.012227-0.025403i,-0.01088-0.016812i,-0.0046626-0.011145i,0.0034788-0.010979i
0.074135+0.11997i,0.11812+0.17565i,0.098599+0.075382i,-0.020124-0.11669i,-0.14906-0.15808i,-0.14205-0.045643i,-0.045579+0.0070087i,-0.016951-0.013198i,-0.025156+0.00067069i,-0.0035913+0.019922i,0.0073702+0.021435i,-0.0011983+0.030424i,-0.0061873+0.036263i,-0.0018749+0.022418i,0.002331-0.0033294i,-0.013059-0.016047i,-0.036917-0.0021791i,-0.040559+0.018582i,-0.027563+0.024342i,-0.016056+0.022088i,-0.0059993+0.019337i,-0.00037496+0.010179i,-0.006438+0.0011974i
-0.14209-0.083395i,-0.25294-0.17597i,-0.27033-0.17293i,-0.13369-0.025687i,0.047167+0.10349i,0.093948+0.11295i,0.013487+0.090497i,-0.029446+0.072819i,-0.019992+0.029558i,-0.021359-0.0084625i,-0.017047-0.014823i,0.00059922-0.0062388i,0.011699+0.0095946i,0.01557+0.027064i,0.015558+0.02933i,0.010599+0.021318i,0.0022761+0.020289i,-0.0047511+0.022591i,-0.0090664+0.025043i,-0.0089751+0.025471i,-0.0048504+0.017243i,-0.0046112+0.007721i,-0.0062634+0.0073186i
0.1066-0.10219i,0.12553-0.11588i,0.023601-0.045357i,-0.11685+0.04419i,-0.12839+0.052929i,-0.019472-0.019354i,0.073289-0.071766i,0.092659-0.057627i,0.0774-0.021854i,0.052698-0.00065853i,0.028629+0.0098634i,0.021092+0.010713i,0.023927-0.0060136i,0.013396-0.028559i,-0.0077425-0.030262i,-0.011956-0.0096897i,0.009093+0.0077127i,0.027695+0.006578i,0.03398-0.0023853i,0.036441-0.0094063i,0.027514-0.012595i,0.014197-0.0048i,0.013002+0.0062433i
0.0043447+0.14989i,0.041581+0.20932i,0.1533+0.18442i,0.30465+0.070086i,0.34095-0.063984i,0.20648-0.10541i,0.059655-0.052363i,0.0047503-0.018346i,-0.014421-0.022989i,-0.025306-0.012519i,-0.017872-0.0045189i,-0.0074956-0.017772i,-0.0033082-0.025102i,0.0025406-0.013472i,0.015392+0.0043464i,0.030523+0.0093021i,0.037967-0.0034686i,0.034004-0.0096123i,0.025281-0.0047395i,0.014087-0.0047578i,0.0017044-0.0037473i,-0.0032002-0.0020506i,-0.0032316-0.0089892i
-0.1623-0.032542i,-0.2185+0.020012i,-0.16424+0.084846i,-0.10737+0.098902i,-0.1541+0.10448i,-0.17732+0.10767i,-0.12111+0.047791i,-0.083823-0.02098i,-0.060715-0.031662i,-0.017394-0.021457i,0.010045-0.013299i,0.0056105-0.0066307i,-0.018444-0.0042675i,-0.03625+0.0030045i,-0.032936+0.0035159i,-0.028203-0.011704i,-0.036713-0.023591i,-0.035927-0.023439i,-0.023318-0.024852i,-0.020115-0.027663i,-0.019084-0.020724i,-0.012372-0.014001i,-0.0091997-0.0090582i
0.094068-0.13745i,0.077433-0.30096i,-0.03116-0.41876i,-0.10793-0.40731i,-0.053377-0.31787i,0.027421-0.19655i,0.065573-0.063461i,0.070195+0.015764i,0.03975+0.030312i,0.0077493+0.016257i,-0.010415-0.0073014i,-0.022782-0.012555i,-0.013484+0.0015712i,0.011939+0.0035871i,0.026756-0.0079979i,0.016964-0.017407i,-0.005317-0.016319i,-0.021259-0.013899i,-0.027484-0.0078148i,-0.023812+0.0080023i,-0.011909+0.016487i,-0.0058122+0.015435i,-0.0098167+0.014589i
0.093998+0.2134i,0.21625+0.34554i,0.22888+0.36829i,0.092991+0.32504i,0.0062928+0.28841i,0.036741+0.15836i,0.019482-0.030236i,-0.03571-0.078628i,-0.027149-0.034121i,-0.013268-0.01295i,-0.016822+0.0067366i,-0.0055352+0.024964i,0.0035376+0.027531i,-0.00073718+0.024457i,-0.011746+0.024752i,-0.018801+0.040381i,-0.010349+0.057928i,-0.0044193+0.051685i,-0.011602+0.030995i,-0.013627+0.019074i,-0.0095917+0.016513i,-0.0030868+0.018199i,0.010001+0.017459i
-0.23646-0.061149i,-0.42701-0.040609i,-0.39248+0.02217i,-0.16443+0.014957i,-0.066365-0.064622i,-0.12751-0.041642i,-0.12683+0.049799i,-0.062974+0.037174i,-0.038625-0.010678i,-0.025366-0.0075683i,-0.01308-0.00054856i,-0.014863-0.0039721i,-0.011616-0.011375i,-0.0050427-0.02204i,-0.0011261-0.025035i,0.0082807-0.016673i,0.017859-0.0037475i,0.023089+0.017701i,0.030808+0.035719i,0.033687+0.029208i,0.025815+0.011056i,0.018554-0.0030969i,0.014021-0.0090561i
0.29011-0.21796i,0.48553-0.39859i,0.47475-0.37999i,0.32117-0.10802i,0.25007+0.11372i,0.18258+0.10842i,0.048246+0.063019i,-0.028288+0.075158i,-0.029253+0.062956i,-0.011418+0.034594i,0.017857+0.015798i,0.034214+0.00040698i,0.029974+0.0028271i,0.021415+0.015262i,0.018164+0.023375i,0.027075+0.011536i,0.035539-0.015681i,0.030598-0.031543i,0.014456-0.028693i,-0.00048753-0.017318i,-0.0033066-0.0057841i,-0.002681-0.0046945i,-0.0077824-0.011753i
-0.096804+0.29371i,-0.19262+0.42747i,-0.25055+0.27352i,-0.27047-0.038256i,-0.24103-0.14222i,-0.04736-0.055284i,0.14803-0.033355i,0.14197-0.034153i,0.073217+0.018589i,0.041925+0.028971i,-0.0017141+0.014152i,-0.025637+0.022422i,-0.014594+0.012757i,-0.0056467-0.012382i,-0.0066416-0.030356i,-0.027723-0.036729i,-0.054798-0.022385i,-0.050434-0.0049772i,-0.017583-0.0030565i,0.0059541-0.0064218i,0.009333-0.0062067i,0.0025336-0.0034867i,-0.007742+0.0024405i
-0.21841-0.33716i,-0.35304-0.48671i,-0.31788-0.349i,-0.086938-0.07347i,0.10594-0.0037365i,0.040598-0.094404i,-0.10781-0.098082i,-0.099202-0.043731i,-0.030101-0.038237i,-0.016464-0.042216i,-0.020743-0.028842i,-0.02042-0.017075i,-0.018219-0.0078776i,-0.0054895+0.0050876i,0.010484+0.021162i,0.02198+0.034059i,0.024086+0.02799i,0.0067579+0.011423i,-0.018035+0.0070738i,-0.025784+0.009381i,-0.019874+0.0065174i,-0.011541+0.0055019i,0.0014813+0.0087617i
0.29077+0.17902i,0.36613+0.33532i,0.23289+0.39209i,0.035038+0.32368i,-0.049966+0.21849i,-0.057681+0.1294i,-0.04563+0.07886i,-0.017859+0.03632i,-0.0026857-0.00021146i,-0.0024826+0.013073i,0.019364+0.042068i,0.041676+0.030517i,0.028187+0.010266i,0.0018364+0.0058554i,-0.014602+0.0018652i,-0.016423+0.0076425i,-0.0017704+0.028606i,0.019364+0.044354i,0.032611+0.037316i,0.027501+0.018432i,0.013401+0.0098062i,0.0073482+0.010775i,0.0089178+0.012443i
-0.36115+0.061084i,-0.41724+0.067888i,-0.16467+0.036017i,0.1454-0.031983i,0.2011-0.073544i,0.12375+0.014455i,0.11009+0.11494i,0.10371+0.095302i,0.059193+0.030913i,0.038287-0.012091i,0.029527-0.041913i,0.0095877-0.04116i,0.0034013-0.025995i,0.0030241-0.027333i,0.0022912-0.030155i,0.014586-0.030315i,0.02722-0.032869i,0.028638-0.031981i,0.022491-0.024304i,0.013409-0.010483i,0.0087504-0.0026758i,0.0047327-0.011021i,-0.0072882-0.024989i
0.33644-0.1806i,0.43795-0.20806i,0.29629-0.18032i,0.034343-0.15659i,-0.07034-0.13133i,0.021392-0.17245i,0.090372-0.24655i,0.041919-0.18169i,0.005174-0.024577i,0.016071+0.039224i,0.0094054+0.026147i,-0.0025293+0.02107i,0.003377+0.020916i,0.015553+0.021976i,0.024519+0.01758i,0.014183+0.001471i,-0.0074942-0.010523i,-0.014276-0.013712i,-0.0027799-0.016863i,0.0082524-0.023108i,0.0074604-0.02184i,0.0018455-0.011676i,-0.0019514-0.001082i
-0.21229+0.31292i,-0.2657+0.30551i,-0.21015+0.084583i,-0.14141-0.094762i,-0.12432-0.074685i,-0.15691+0.0079454i,-0.19094+0.022281i,-0.15004-0.032256i,-0.085011-0.10313i,-0.07514-0.11658i,-0.081175-0.068564i,-0.064686-0.034933i,-0.049316-0.031751i,-0.040212-0.022773i,-0.028616-0.00061037i,-0.021239+0.018181i,-0.023846+0.023237i,-0.026527+0.019378i,-0.024991+0.010892i,-0.025113+0.00054183i,-0.027304-0.00098787i,-0.023284+0.012831i,-0.0095276+0.02492i
0.15718-0.41129i,0.22109-0.46639i,0.18044-0.17343i,0.12659+0.20995i,0.12649+0.31823i,0.080991+0.20824i,-0.0021886+0.12496i,-0.0402+0.071983i,-0.059683+0.0095657i,-0.067415+0.0054771i,-0.035293+0.026924i,-0.012846+0.024635i,-0.021586+0.031638i,-0.037309+0.037548i,-0.050589+0.027627i,-0.037692+0.02636i,0.0074801+0.024157i,0.033514+0.0083938i,0.016354+0.0019617i,-0.0046942+0.017692i,-0.0037804+0.028422i,0.005073+0.018392i,0.0072586+0.0092744i
0.021347+0.39307i,-0.020423+0.45353i,-0.066711+0.23871i,-0.067952-0.0054492i,-0.011692-0.046394i,0.098747+0.042996i,0.1966+0.10519i,0.20269+0.12551i,0.15756+0.13819i,0.12941+0.10223i,0.10688+0.037733i,0.086309+0.0034431i,0.083583-0.016179i,0.091643-0.039075i,0.096167-0.056959i,0.077967-0.063653i,0.035535-0.049508i,0.0073321-0.019868i,0.011661+0.0014782i,0.020339+0.0030726i,0.016158-0.0050046i,0.0075629-0.015194i,-0.0013836-0.021298i
-0.26281-0.5158i,-0.34815-0.67383i,-0.22987-0.5247i,0.020728-0.28183i,0.1768-0.2518i,0.14276-0.3911i,-0.006737-0.46852i,-0.14276-0.37565i,-0.16946-0.18859i,-0.11539-0.043841i,-0.075226+0.02775i,-0.05785+0.060256i,-0.034417+0.053299i,-0.019536+0.035626i,-0.012611+0.03595i,-0.0096092+0.032082i,-0.026716+0.020963i,-0.041872+0.014202i,-0.037273+0.0087907i,-0.028042+0.010273i,-0.014386+0.022196i,0.0040529+0.029165i,0.013613+0.021989i
0.43238+0.33068i,0.52622+0.36963i,0.28795+0.18679i,-0.052242+0.029789i,-0.17801+0.11582i,-0.16001+0.30489i,-0.14233+0.39965i,-0.10329+0.37566i,-0.034852+0.26269i,0.011501+0.116i,0.015606+0.014889i,0.00056831-0.021126i,-0.013097-0.0078147i,-0.01931+0.025923i,-0.024135+0.047038i,-0.034035+0.047485i,-0.036373+0.0462i,-0.02155+0.057583i,0.009534+0.057887i,0.040665+0.017826i,0.035078-0.034379i,0.0036176-0.046171i,-0.018146-0.027899i
-0.68467-0.1221i,-0.93843+0.029501i,-0.76046+0.29246i,-0.34395+0.4013i,-0.098636+0.25337i,-0.026407+0.039112i,0.03876-0.11374i,0.075629-0.26943i,-0.0022611-0.36336i,-0.10331-0.26405i,-0.093469-0.11533i,-0.053726-0.070409i,-0.062673-0.067424i,-0.06315-0.060371i,-0.03098-0.060948i,0.023884-0.051442i,0.070995-0.047643i,0.061225-0.069449i,-0.0097561-0.074513i,-0.075221-0.024269i,-0.072473+0.037697i,-0.031158+0.053181i,0.0002878+0.037193i
0.4646-0.11016i,0.58182-0.23792i,0.43347-0.32003i,0.20037-0.32266i,0.021685-0.29843i,-0.078376-0.16394i,-0.014509+0.080042i,0.15246+0.274i,0.28213+0.30965i,0.29243+0.17333i,0.18469+0.028421i,0.10271+0.0068713i,0.093052+0.01371i,0.074912+0.007487i,0.033534+0.007205i,-0.015749+0.0074534i,-0.025522+0.021448i,0.022555+0.026016i,0.075015+0.0033286i,0.090802-0.021278i,0.063622-0.022839i,0.027229-0.0029852i,0.012732+0.015545i
-0.30683+0.37725i,-0.3064+0.51407i,-0.098969+0.47539i,0.1668+0.29381i,0.32337+0.14343i,0.30395-0.078416i,0.064694-0.27381i,-0.15999-0.2084i,-0.17862-0.044105i,-0.10153+0.043426i,-0.021674+0.068942i,0.02622+0.050038i,0.027789+0.0050876i,0.016688-0.024761i,0.015533-0.027598i,0.02195-0.0092442i,0.01237+0.021186i,-0.015115+0.04338i,-0.019335+0.056872i,0.011763+0.058152i,0.034311+0.035091i,0.019582+0.0084564i,-0.0066344+0.0084656i
0.58133+7.5467i,3.3274+6.1107i,7.0442+4.7797i,7.9453+1.7289i,6.3908-1.3941i,3.3621-3.079i,0.51186-2.287i,-0.66109-0.63595i,-0.29423+0.31008i,0.47991+0.20143i,0.41222-0.44108i,-0.37681-0.85071i,-1.1749-0.84171i,-1.6173-0.44797i,-1.4704+0.08976i,-0.96172+0.43498i,-0.45548+0.4592i,-0.060818+0.25957i,0.19565+0.019488i,0.26051-0.1394i,0.22099-0.23822i,0.14032-0.251i,0.06698-0.12144i
0.015313+0.53724i,0.27215+0.76399i,0.50302+0.87706i,0.67374+0.98444i,0.80863+1.0418i,0.76647+0.78832i,0.45302+0.36814i,0.064299+0.14197i,-0.15817+0.102i,-0.1801+0.11274i,-0.11881+0.12967i,-0.077077+0.14211i,-0.057936+0.1509i,-0.036975+0.14693i,-0.017782+0.1151i,-0.024698+0.059208i,-0.053922+0.0072088i,-0.054024-0.014194i,-0.013256+0.0033406i,0.026087+0.026926i,0.031145+0.022926i,0.012842+0.0090271i,0.00080602+0.0096006i
-0.01598-0.2749i,-0.13043-0.31394i,-0.083375-0.18006i,0.17642-0.018522i,0.34655+0.038233i,0.32915-0.013601i,0.23616-0.18988i,0.059914-0.35017i,-0.14025-0.30458i,-0.21702-0.12539i,-0.18264+0.024274i,-0.11421+0.090217i,-0.032009+0.09604i,0.034701+0.071208i,0.056779+0.043662i,0.042102+0.036306i,-0.011402+0.038961i,-0.077943+0.032251i,-0.10193+0.025131i,-0.077725+0.025204i,-0.037805+0.019622i,-0.011904+0.0020432i,-0.015958-0.014908i
0.077094+0.099793i,0.21269+0.050307i,0.23531-0.049669i,0.040618-0.0647i,-0.15048+0.069892i,-0.18193+0.14929i,-0.17819+0.041599i,-0.24266-0.074916i,-0.25457-0.050647i,-0.15954+0.011017i,-0.083688+0.0072224i,-0.056877-0.0071624i,-0.025629-0.0035015i,-0.0015317+0.0058595i,-0.0026021+0.024297i,-0.011382+0.031221i,-0.028539+0.027953i,-0.049731+0.043059i,-0.042885+0.056162i,-0.01747+0.034676i,-0.0081402+0.01826i,0.0076234+0.03571i,0.038724+0.043143i
-0.13212-0.0069577i,-0.29277+0.098297i,-0.38015+0.227i,-0.28564+0.28628i,-0.097189+0.2806i,0.04053+0.23701i,0.076892+0.1865i,0.062856+0.17141i,0.057847+0.15193i,0.048701+0.097052i,0.016961+0.075024i,0.0033059+0.082703i,0.019541+0.053457i,0.042167+0.011061i,0.060273-0.0070488i,0.050543-0.0062049i,0.021121+0.022615i,0.019576+0.076492i,0.048726+0.10862i,0.059876+0.086529i,0.05346+0.041612i,0.052331-0.0016487i,0.033999-0.030729i
-0.030273+0.062485i,-0.00017333+0.080101i,0.077832+0.16396i,0.17246+0.255i,0.2058+0.17339i,0.12093+0.013498i,0.017188-0.0092341i,0.01352+0.054289i,0.051702+0.064221i,0.048188+0.032779i,0.031158+0.013243i,0.017831+0.011061i,-0.0043901+0.0081136i,-0.013351-0.0010945i,0.002551-0.0077394i,0.028751-0.0078632i,0.057369-0.015935i,0.084441-0.05869i,0.080251-0.11022i,0.037991-0.10925i,-0.0058254-0.071823i,-0.032268-0.043535i,-0.029451-0.02464i
0.059513+0.042215i,0.089844+0.13117i,0.14092+0.096365i,0.15156-0.16696i,0.059212-0.38744i,-0.0050159-0.33719i,0.027461-0.21286i,0.020932-0.16909i,-0.027135-0.1164i,-0.036387-0.051159i,-0.019926-0.018692i,-0.0034607-0.0052882i,0.0046001+0.0090529i,0.014408+0.0049723i,0.023293-0.038102i,0.0020994-0.088021i,-0.050723-0.10153i,-0.10972-0.078557i,-0.12512-0.036877i,-0.077911-0.00027109i,-0.021835+0.019035i,0.0082324+0.029852i,0.015435+0.026522i
-0.13417+0.071358i,-0.15738+0.021179i,-0.14687-0.08956i,-0.18912-0.10294i,-0.22764+0.013281i,-0.15523+0.052888i,-0.093025-0.0039016i,-0.097177+0.018945i,-0.061931+0.076432i,0.00037294+0.067764i,0.030127+0.038534i,0.04006+0.021736i,0.032114+0.0085536i,-0.0052013-0.0010661i,-0.055285+0.010177i,-0.07329+0.058642i,-0.044086+0.11483i,-0.0097943+0.13675i,0.00011048+0.10289i,-0.0041193+0.042808i,-0.00025517+8.7785e-05i,0.010388-0.026788i,0.0088067-0.039601i
0.085908-0.028221i,0.003312+0.054206i,-0.19071+0.22316i,-0.27609+0.33303i,-0.17537+0.24264i,-0.1053+0.063071i,-0.10137+0.018541i,-0.016296+0.060652i,0.071673+0.038456i,0.050151-0.01203i,-0.00058969-0.030586i,-0.017841-0.033116i,-0.0037524-0.020971i,0.030953+0.0021879i,0.067022+0.0062716i,0.097965-0.027638i,0.12302-0.073773i,0.13011-0.083705i,0.10429-0.0528i,0.058912-0.019839i,0.017513-0.0079599i,-0.013563-0.0060163i,-0.026693+0.0037675i
-0.075409+0.23313i,0.031808+0.45338i,0.34277+0.57072i,0.59916+0.43153i,0.48207+0.18217i,0.15385+0.089438i,-0.0065204+0.10819i,-0.0037633+0.060931i,-0.010727-0.003591i,-0.022629+0.0031195i,-0.0091622+0.036203i,0.0024336+0.054594i,0.0048112+0.040647i,-0.0047691-0.0054828i,-0.043146-0.038652i,-0.099559-0.034791i,-0.13757-0.023374i,-0.13597-0.029495i,-0.10263-0.031545i,-0.05632-0.01276i,-0.012662+0.0060224i,0.010307+0.01407i,0.016497+0.017894i
0.15694-0.131i,0.25285-0.29718i,0.24484-0.55124i,0.065518-0.73033i,-0.12112-0.60427i,-0.10169-0.29821i,-0.0077442-0.11912i,-0.023605-0.050227i,-0.048487+0.010872i,-0.017895+0.030267i,0.020958+0.016189i,0.050111-0.012686i,0.032261-0.034786i,-0.016489-0.010353i,-0.020638+0.042524i,0.026065+0.080357i,0.064312+0.096987i,0.062643+0.097916i,0.044841+0.07232i,0.02845+0.026104i,0.0096445-0.009223i,0.0021583-0.017713i,0.011877-0.016466i
-0.072307+0.16123i,-0.13177+0.23022i,-0.28484+0.23959i,-0.43318+0.26688i,-0.3566+0.27916i,-0.18054+0.14855i,-0.099696+0.032645i,-0.014304+0.054322i,0.076942+0.056575i,0.073306-0.0021142i,0.023764-0.043614i,-0.021594-0.044526i,-0.033314-0.0018549i,0.013342+0.032747i,0.067989+0.0050638i,0.090236-0.062758i,0.099903-0.12016i,0.097189-0.13656i,0.059408-0.11069i,0.012997-0.062911i,-0.011223-0.028672i,-0.025269-0.020717i,-0.030432-0.021163i
0.1167-0.080599i,0.14488+0.011284i,0.20835+0.25816i,0.30995+0.37616i,0.2408+0.21576i,0.0078843+0.094883i,-0.087547+0.12313i,-0.020545+0.070702i,0.0085391-0.022821i,-0.016208-0.0068731i,-0.017115+0.050438i,0.01106+0.071927i,0.044891+0.042939i,0.040922-0.026428i,-0.023227-0.079069i,-0.11379-0.077258i,-0.18304-0.049475i,-0.19182-0.019088i,-0.1349+0.019335i,-0.061901+0.043797i,-0.020379+0.047933i,-0.0044475+0.051228i,0.0013815+0.043926i
-0.0030799+0.051802i,0.19048-0.076448i,0.39631-0.34993i,0.36637-0.47967i,0.20579-0.27494i,0.16151-0.012016i,0.17075+0.03469i,0.091202-0.024021i,0.012048-0.041334i,0.017982-0.038161i,0.051445-0.050825i,0.058393-0.073445i,0.023807-0.079021i,-0.035682-0.046005i,-0.066815+0.022278i,-0.042863+0.091373i,-0.00053526+0.1388i,0.027828+0.14345i,0.042342+0.090671i,0.04505+0.028978i,0.045363-0.00068672i,0.048467-0.014477i,0.040695-0.021954i
0.031096-0.10163i,-0.16497-0.11274i,-0.44214-0.061389i,-0.52875-0.043448i,-0.36718-0.087596i,-0.17194-0.125i,-0.085352-0.089678i,-0.061545+0.0065444i,-0.043758+0.073978i,-0.026708+0.061121i,-0.030233+0.010684i,-0.063158-0.022703i,-0.086323-0.014391i,-0.059785+0.026797i,0.0067597+0.054659i,0.076135+0.038344i,0.12912-0.0062342i,0.14099-0.046021i,0.090769-0.06228i,0.024545-0.051729i,-0.0090253-0.035349i,-0.025521-0.02682i,-0.034387-0.013432i
-0.080492+0.15343i,0.029125+0.25556i,0.25457+0.3519i,0.38774+0.37827i,0.29275+0.27397i,0.088479+0.15259i,-0.0059261+0.085533i,0.03684+0.0091168i,0.06572-0.058077i,0.028041-0.055512i,-0.0084566-0.0055227i,-0.010444+0.062533i,0.014946+0.1108i,0.046945+0.085955i,0.050015+0.007002i,0.012784-0.06358i,-0.042786-0.11144i,-0.085734-0.12798i,-0.091468-0.088562i,-0.057349-0.032068i,-0.021309-0.0062025i,-0.0047332+0.0064949i,0.01078+0.015487i
0.17689-0.17669i,0.23647-0.3235i,0.17131-0.50418i,0.0030112-0.57664i,-0.09259-0.3913i,-0.018905-0.11765i,0.062002+0.016562i,0.033249+0.030338i,0.0012454+0.019801i,0.018809+0.0042144i,0.04554-0.013476i,0.082564-0.041702i,0.10305-0.082756i,0.06434-0.097229i,-0.0060781-0.071913i,-0.058933-0.030123i,-0.087718+0.026107i,-0.093572+0.087457i,-0.059104+0.11556i,-0.0092264+0.090572i,0.012343+0.043506i,0.013907+0.0057172i,0.0099996-0.020394i
-0.21497+0.1501i,-0.38172+0.22643i,-0.46104+0.29824i,-0.34273+0.33146i,-0.12272+0.2283i,-0.0026986+0.035359i,-0.0021086-0.076964i,-0.034388-0.067612i,-0.069836-0.023955i,-0.082841-0.00208i,-0.07614-0.018282i,-0.095768-0.046155i,-0.12199-0.038106i,-0.10804+0.0037708i,-0.072252+0.057576i,-0.03453+0.10529i,0.023924+0.12569i,0.091531+0.1026i,0.11321+0.035894i,0.071085-0.025932i,0.011727-0.032555i,-0.025604-0.0049739i,-0.038874+0.015321i
0.17007-0.10721i,0.31762-0.096225i,0.40896-0.040702i,0.33561-0.057815i,0.12506-0.11011i,-0.039418-0.064804i,-0.047731+0.022501i,0.017347+0.056567i,0.053173+0.059777i,0.037696+0.061917i,0.007581+0.078553i,0.0064768+0.10066i,0.024534+0.092203i,0.046593+0.056945i,0.084328+0.021314i,0.12442-0.014814i,0.12954-0.069844i,0.086445-0.12096i,0.021007-0.11482i,-0.016473-0.054138i,-0.0012332+0.0019737i,0.035426+0.022094i,0.04803+0.023473i
-0.13351+0.09353i,-0.20257+0.059341i,-0.23695-0.069132i,-0.22356-0.10237i,-0.13545+0.011487i,-0.025869+0.066676i,-0.012334+0.022916i,-0.04097-0.0060331i,-0.00936-0.012047i,0.043753-0.017414i,0.069627-0.02609i,0.066943-0.033006i,0.051015-0.024178i,0.029358-0.025835i,-0.00035051-0.060631i,-0.035197-0.098812i,-0.074251-0.097394i,-0.097672-0.054858i,-0.079571-0.0056428i,-0.029817+0.014283i,0.0062037-0.0069719i,0.0046926-0.043208i,-0.00090814-0.054887i
0.085655-0.049171i,0.039263+0.015435i,-0.056739+0.16618i,-0.0756+0.21245i,-0.027967+0.088728i,0.0039265+0.0036026i,0.05544+0.023561i,0.0868+0.023557i,0.042997-0.0032481i,-0.0029949-0.0092829i,-0.01813-0.0056741i,-0.020925-0.010644i,-0.018789-0.027707i,-0.030786-0.03357i,-0.06091-0.004342i,-0.081499+0.044755i,-0.069555+0.083097i,-0.0346+0.09113i,-0.0035171+0.062445i,0.0029997+0.014619i,-0.016722-0.0081144i,-0.040792+0.012005i,-0.045197+0.028724i
-0.054654+0.058073i,0.087722+0.055169i,0.3107-0.0046187i,0.36198-0.046533i,0.21146-0.019796i,0.064395-0.0047692i,-0.011985-0.040391i,-0.034547-0.041884i,-0.012588-0.020671i,0.0018497-0.025704i,0.0013179-0.028542i,9.9746e-05-0.013522i,-0.01235+0.0090391i,-0.02127+0.040639i,0.0044601+0.067667i,0.053247+0.064663i,0.086827+0.029435i,0.086703-0.010197i,0.056626-0.026785i,0.017752-0.011867i,0.0094035+0.015979i,0.039336+0.02794i,0.058198+0.0237i
