-0.0044995+0.00029811i,-0.0028229+0.00027205i,-0.0025874+0.0015561i,-0.0017205+0.0021627i,0.00022039+0.0020763i,0.0014128+0.0015899i,0.00086787+0.00095434i,0.00052049+1.0598e-05i,0.00021027+0.000211i,-0.0002293+0.00042823i,-0.00030037-0.0006351i,-0.00056837-0.0014788i,-0.00096946-0.0016657i,-0.0017178-0.00097333i,-0.0018312-0.00045073i,-0.00094772-0.00013515i,-0.00036992-0.00037227i,0.0001813-0.00087216i,0.00015058-0.0002999i,0.00080597+0.00065566i,0.00097614+0.00010892i,-0.00028675-0.0005569i,-0.00086472-6.6075e-05i
0.0028173-0.0086809i,0.001576-0.023697i,-0.013522-0.057005i,-0.032787-0.084785i,-0.028563-0.081456i,-0.012968-0.055079i,-0.0054031-0.027818i,-0.0038948-0.012097i,-0.0016497-0.0025872i,-0.00018297+0.001089i,-0.0040461-0.0022992i,-0.009734-0.0071243i,-0.01158-0.0088531i,-0.0091835-0.0058216i,-0.0053016-0.0020795i,-0.0032297-0.0008917i,0.00071629+1.7241e-05i,0.0064277+4.3541e-05i,0.0093788-0.0017881i,0.0082478-0.0022658i,0.0046847-0.0013656i,0.0013929-9.6427e-05i,-0.00045581+0.00037113i
0.00095798-0.00023889i,-0.021308+0.0029368i,-0.052188+0.016573i,-0.074587+0.032919i,-0.077841+0.036803i,-0.056758+0.025968i,-0.033155+0.013415i,-0.019856+0.0083547i,-0.0075536+0.0037249i,0.0032039-0.0022541i,0.010442-0.0032874i,0.018616-0.0024308i,0.020996-0.0025316i,0.013969-0.001208i,0.0077345+0.00052321i,0.0071732+0.0011714i,0.0046451+0.0021864i,-0.00012702+0.0054358i,-0.0023904+0.0080124i,-0.0039705+0.0066325i,-0.0042963+0.0041974i,-0.0028959+0.0021089i,-0.00075292+0.00049667i
0.0011316+0.011165i,0.011067+0.031366i,0.02179+0.060325i,0.032489+0.080517i,0.039971+0.076406i,0.026854+0.051832i,0.01072+0.029739i,0.0068521+0.016309i,0.0046979+0.0057865i,-0.00076275+0.0022578i,-0.0046115+0.0058144i,-0.0075238+0.011772i,-0.0073162+0.014355i,-0.0022105+0.011172i,-2.6605e-05+0.0061264i,-0.0029101+0.0033944i,-0.0049918+0.00047828i,-0.0059189-0.0053306i,-0.0061461-0.0085138i,-0.0041983-0.0070759i,-0.0017185-0.0048686i,0.00047025-0.0022327i,0.00096845-0.00016053i
0.0092184-0.0089959i,0.024472-0.013626i,0.0578-0.02083i,0.084999-0.037122i,0.077354-0.048027i,0.055489-0.033155i,0.035205-0.011449i,0.01885-0.00077288i,0.0086277+0.0027578i,0.003893-0.00026392i,0.00010714-0.0088365i,-0.0041123-0.01782i,-0.0059485-0.019738i,-0.0046742-0.013323i,-0.0028821-0.00686i,-0.0011902-0.0039776i,0.0016103-0.00099575i,0.0064892+0.0018253i,0.0096996+0.0022651i,0.0093686+0.0011862i,0.0070591+0.001321i,0.0038129+0.0014121i,0.0015344+0.00033551i
0.0033625+0.00029014i,0.007861-0.016342i,-0.0030634-0.051347i,-0.032793-0.071779i,-0.05119-0.060149i,-0.044121-0.037733i,-0.025124-0.020554i,-0.012572-0.010783i,-0.003649-0.0062774i,0.0038069-0.0050326i,0.008372-0.0027927i,0.015226+0.0017691i,0.018823+0.0021234i,0.01294-0.0015009i,0.0061677-0.00040005i,0.0037324+0.0025611i,0.0012197+0.0028571i,-0.0035+0.0028978i,-0.006412+0.0038774i,-0.0058809+0.0051831i,-0.0040331+0.0036075i,-0.0027049-0.00012159i,-0.0015682-0.0013628i
-0.0022957-0.0026634i,-0.023745-0.0044087i,-0.048569+0.0057015i,-0.056208+0.026752i,-0.04491+0.04305i,-0.027094+0.035645i,-0.015731+0.015571i,-0.0084701+0.0050201i,-0.0045948+0.00094507i,-0.0069268-0.00035708i,-0.012814+0.0035244i,-0.019114+0.0082528i,-0.020291+0.010781i,-0.011985+0.010148i,-0.0040618+0.0045891i,-0.0030452-0.0018976i,-0.0023682-0.0056697i,-0.0012456-0.0063621i,-0.0018784-0.0061934i,-0.0032631-0.0078497i,-0.0037796-0.0069363i,-0.0024233-0.0036289i,-0.00088406-0.0024743i
0.0039335+0.0081084i,0.0072279+0.028005i,0.010692+0.048623i,0.022833+0.05251i,0.045291+0.037268i,0.043235+0.026238i,0.022085+0.024776i,0.0097909+0.019712i,0.0060042+0.011301i,0.0041803+0.0031923i,0.0040452-0.0045665i,0.0034015-0.011644i,0.001107-0.012744i,-0.0023635-0.0072781i,-0.0019656-0.0024902i,0.00024166-0.00044356i,0.0016096+0.0026065i,0.0038061+0.0043329i,0.0067442+0.0034757i,0.007296+0.0027283i,0.0057637+0.0025194i,0.00297+0.0032105i,0.0010061+0.003494i
0.0069277-0.00030331i,0.019689+0.00042407i,0.04212+0.0034784i,0.043724-0.010575i,0.01253-0.034694i,-0.0037447-0.035417i,0.00044856-0.021448i,0.00086334-0.013334i,0.0014845-0.0074961i,0.0075905-0.0016515i,0.013608+0.0033687i,0.018578+0.011337i,0.019528+0.013392i,0.013033+0.0067453i,0.0034369+0.0037025i,-0.0028804+0.006196i,-0.0039596+0.0050635i,-0.0036048+0.0011766i,-0.003965+0.0013577i,-0.0037029+0.0036077i,-0.0021735+0.0033035i,-0.00032869+0.00087001i,0.00062987-0.00058501i
0.0082985-0.01097i,0.018637-0.021952i,0.016983-0.039616i,-0.0025303-0.031231i,-0.019611+0.0013473i,-0.022195+0.011196i,-0.014733+0.001148i,-0.0089329-0.00060219i,-0.0056268-0.00058335i,-0.0083525-0.0053162i,-0.016169-0.006907i,-0.019794-0.0070058i,-0.01657-0.0069524i,-0.0068412-0.0044094i,0.002451-0.0037865i,0.0048982-0.0062382i,0.0038782-0.0067853i,0.0020265-0.0062969i,-0.0010117-0.0066402i,-0.0022337-0.0067152i,-0.00074898-0.0065562i,0.0012407-0.0054i,0.0021723-0.004433i
-0.0082753+0.00077199i,-0.022857-0.0079646i,-0.03169-0.011574i,-0.0097311-0.0026415i,0.022869+0.017333i,0.02815+0.03019i,0.010777+0.027076i,0.00096512+0.02175i,0.00049851+0.015237i,0.00034093+0.0065462i,0.0033512-0.0036705i,0.006018-0.013602i,0.0033672-0.015952i,-0.00011204-0.010661i,0.00067905-0.0036028i,0.002877+0.00035444i,0.0018041+0.0028311i,1.2085e-05+0.0061886i,0.00071816+0.0066091i,0.0010999+0.0040183i,-0.00098367+0.0026521i,-0.002593+0.0026822i,-0.0025635+0.0014274i
-0.0027553+0.00047571i,-0.0048682+0.014547i,-0.016219+0.021351i,-0.023571-0.0030174i,-0.0050749-0.04168i,0.0069969-0.049927i,0.006417-0.026371i,0.011314-0.010616i,0.014139-0.0053157i,0.013776+0.0025706i,0.012557+0.0124i,0.0087464+0.02254i,0.0050729+0.023806i,0.00074372+0.013084i,-0.0052987+0.003524i,-0.0089196+0.00014981i,-0.0077485-0.0018595i,-0.0044926-0.003642i,-0.0027998-0.0019598i,-0.0024573+0.0013617i,-0.0017535+0.0024459i,-0.001668+0.0023732i,-0.0024037+0.003229i
0.010386+0.0046623i,0.020308+0.01328i,0.028106+0.03076i,0.0062567+0.036873i,-0.039657+0.020175i,-0.046841+0.0065745i,-0.019338-0.0008212i,-0.0053289-0.0076776i,-0.0046682-0.01096i,-0.0062272-0.012682i,-0.010984-0.012976i,-0.014772-0.013377i,-0.013118-0.010768i,-0.0062664-0.002682i,0.00074628+0.0018919i,0.0045383+0.00063173i,0.0068361-0.0011927i,0.0074505-0.0022263i,0.0057301-0.0030653i,0.0047045-0.0021885i,0.0054774-0.00042479i,0.0057954+0.0001797i,0.0036398+0.00018608i
3.6346e-05+0.0024487i,0.015156-0.0032329i,0.03246-0.011269i,0.03596+0.011675i,0.027782+0.057352i,0.010546+0.063338i,-0.0081397+0.035492i,-0.01937+0.017307i,-0.018075+0.010429i,-0.0085194+0.0021163i,0.0027213-0.0059182i,0.013505-0.01116i,0.016191-0.012172i,0.0088786-0.0066612i,0.0027723+0.00012496i,0.0015912+0.0021354i,-0.0014592+0.0040665i,-0.004547+0.0072582i,-0.0041889+0.006899i,-0.0034533+0.0036121i,-0.002552+0.0017179i,-0.0013984+0.0013351i,-0.00038701+0.00051431i
0.0058577-0.0059009i,-0.0045705-0.020658i,-0.0039329-0.039171i,0.028136-0.052631i,0.063588-0.050493i,0.063002-0.030199i,0.034715-0.00579i,0.018466+0.0099582i,0.015692+0.015051i,0.011186+0.016931i,0.0050289+0.020531i,-0.0036661+0.024143i,-0.0079799+0.023305i,-0.0036562+0.013033i,-0.00031737+0.00022842i,-0.00042834-0.0058222i,-0.00093429-0.0075303i,-0.0021357-0.0083721i,-0.0033005-0.0068551i,-0.0024477-0.0047968i,-0.00041548-0.0043312i,-0.00016015-0.0043579i,-0.00061898-0.0018875i
0.0010336+0.0048165i,-0.0045061+0.014883i,-0.028929+0.013987i,-0.060058-0.012047i,-0.061982-0.043277i,-0.04002-0.047558i,-0.012682-0.026158i,0.0061294-0.010465i,0.011408-0.0083648i,0.007711-0.011606i,-0.001606-0.016165i,-0.0090174-0.018188i,-0.0096683-0.01434i,-0.0063572-0.0050404i,-0.0022248+0.0021946i,0.00056984+0.0044141i,0.004077+0.0041876i,0.0077524+0.002156i,0.0078181+0.0010202i,0.0061087+0.0016863i,0.0041984+0.0023105i,0.001293+0.0015039i,-0.0018872+0.00039684i
0.0065574-0.0045412i,0.0079151+0.00049141i,0.0089372+0.028905i,-0.0063516+0.062342i,-0.035675+0.06882i,-0.040578+0.049284i,-0.024277+0.019809i,-0.014264-0.00098886i,-0.011844-0.009796i,-0.0072757-0.013067i,0.0040882-0.011106i,0.018342-0.0081227i,0.022786-0.008216i,0.015024-0.0076337i,0.0034667-0.0044859i,-0.005146-0.00072076i,-0.0097072+0.003583i,-0.0099573+0.0072687i,-0.0075695+0.0069389i,-0.0062059+0.003915i,-0.0055518+0.0030492i,-0.0029312+0.0026811i,0.0013771+0.00060146i
-2.8585e-05+0.0035527i,0.015882+0.0037374i,0.046855-0.0045959i,0.080758+3.9297e-05i,0.093988+0.019701i,0.069571+0.025723i,0.028215+0.018606i,0.0052852+0.014454i,0.00060237+0.015179i,-0.0029604+0.018901i,-0.0073441+0.022372i,-0.01316+0.022823i,-0.014361+0.020642i,-0.0061173+0.011807i,0.0020409+0.0014242i,0.0048663-0.0029544i,0.0060135-0.0058168i,0.0044188-0.008719i,0.0012297-0.0085757i,0.00053818-0.0061875i,0.0010821-0.003024i,0.0015527-0.00018423i,0.00087214+0.0030669i
0.0088087+0.0027246i,0.001857-0.0080992i,-0.0037259-0.035234i,-0.0027023-0.074837i,-0.0068633-0.094308i,-0.013293-0.070704i,-0.011849-0.029438i,-0.0044235-0.0052996i,0.0035738-0.00018294i,0.0071698-0.0052968i,0.0022628-0.014817i,-0.006557-0.019912i,-0.012634-0.016593i,-0.014058-0.0056007i,-0.009582+0.0058122i,-0.0014886+0.010193i,0.0050474+0.009i,0.0078447+0.0053327i,0.0072808+0.0020698i,0.0063749+0.0024118i,0.0051312+0.0023829i,0.0025411+8.6861e-05i,-6.4984e-05-0.00090898i
0.012487-0.0086686i,0.012783-0.0076625i,-0.022949-0.006851i,-0.07986-0.0030878i,-0.096038+0.0087162i,-0.064683+0.016641i,-0.022782+0.014164i,-0.002883+0.0051327i,-0.00019593-0.0048172i,0.0020661-0.011i,0.0086144-0.0071686i,0.020579+0.0015487i,0.027821+0.0016736i,0.020475-0.0032255i,0.0078117-0.0049756i,-0.0023734-0.0057208i,-0.011436-0.0054686i,-0.016024-0.0019915i,-0.013351+0.0019339i,-0.0066885+0.0024898i,-0.0025819+0.00096499i,-0.00057443-0.00043091i,0.0023647-0.0012524i
-0.0052172-0.0029883i,-0.008479-0.0018002i,0.0017776+0.033418i,0.021068+0.089268i,0.037612+0.11859i,0.046951+0.10005i,0.035285+0.055966i,0.014649+0.028277i,0.0016952+0.02002i,-0.0079396+0.016739i,-0.013888+0.017198i,-0.014508+0.017805i,-0.012181+0.017522i,-0.0017281+0.013049i,0.0073263+0.0035766i,0.0062967-0.0030871i,0.0049781-0.003539i,0.0062394-0.0027204i,0.0068477-0.0037327i,0.0050483-0.0044748i,0.001182-0.0019315i,-0.0020682+0.001431i,-0.0037322+0.0032886i
-0.016071+0.0073742i,-0.011504+0.015864i,0.017299+0.0087465i,0.065581-0.014255i,0.094126-0.049829i,0.066382-0.076482i,0.020926-0.063243i,0.0057358-0.031381i,0.011155-0.0098122i,0.014336-0.0030372i,0.011956-0.010314i,0.0031135-0.022054i,-0.0080631-0.023253i,-0.014885-0.013402i,-0.014369-0.001841i,-0.0080804+0.0063675i,-0.00043755+0.010821i,0.0054867+0.010957i,0.0058633+0.0078351i,0.0019586+0.0039165i,0.0011092+0.0015625i,0.00076634-0.00017281i,-0.0016757-0.0016123i
0.02281+0.015491i,0.026492+0.021859i,0.027178+0.00033913i,0.014083-0.05471i,-0.02484-0.090977i,-0.050805-0.074722i,-0.041174-0.037789i,-0.022519-0.01741i,-0.0078528-0.01638i,0.0048407-0.016939i,0.010832-0.011146i,0.014776-0.00173i,0.019411+0.0010897i,0.015271-0.0022906i,0.0045466-0.001746i,-0.00026673-0.002268i,-0.0035685-0.0096232i,-0.0095289-0.014823i,-0.011268-0.011142i,-0.006091-0.0041208i,0.00011143-0.00040819i,0.0036111+0.0019066i,0.0059944+0.0037956i
0.025534-0.0070602i,0.048247-0.018655i,0.026084-0.031782i,-0.043622-0.015176i,-0.082557+0.042403i,-0.070664+0.094488i,-0.0409+0.094281i,-0.021299+0.059717i,-0.01949+0.026938i,-0.025024+0.0083393i,-0.027799+0.0054969i,-0.025455+0.013267i,-0.016502+0.020599i,-0.00044158+0.019136i,0.0098217+0.0098991i,0.0083068+0.0017501i,0.005531+7.2698e-05i,0.0052791+3.7651e-05i,0.0051216-0.0010558i,0.0030413-0.00096259i,-0.0015362-0.00020873i,-0.0053085+0.00093i,-0.0059479+0.00027575i
-0.014154-0.040242i,-0.035515-0.062877i,-0.039682-0.047039i,-0.017202+0.0043436i,0.021296+0.033208i,0.059203+0.023158i,0.062302+0.0069954i,0.043706+0.0060028i,0.02777+0.012795i,0.015051+0.014376i,0.0095418+0.006534i,0.0077519-0.0089548i,-0.00010716-0.01987i,-0.0076443-0.018489i,-0.0069467-0.011145i,-0.0045837-0.00362i,-0.0050174+0.0071743i,-0.0038433+0.01625i,-0.0016144+0.01486i,-0.001536+0.0079816i,-0.00068016+0.0021047i,0.0014777-0.0030342i,0.0014159-0.0070299i
-0.028209+0.02049i,-0.050356+0.04498i,-0.053129+0.061924i,-0.013002+0.057911i,0.032702+0.020291i,0.03768-0.03232i,0.021375-0.055269i,0.0088623-0.047142i,0.010096-0.027332i,0.018225-0.010707i,0.019436-0.0027872i,0.017731+0.0030191i,0.01923+0.0032639i,0.013419-0.0018246i,0.00016313-0.0014427i,-0.0040942+0.00067347i,-0.00073543-0.0049997i,-0.00059458-0.012081i,-0.0019741-0.012307i,-0.00064105-0.0068201i,0.0022717-0.00010927i,0.0030767+0.0051526i,0.000779+0.0086038i
0.0097897+0.042612i,0.022417+0.080316i,0.043334+0.088204i,0.047635+0.043522i,0.0073167+0.0043407i,-0.041335+0.0053604i,-0.057502+0.012683i,-0.047845+0.0079057i,-0.03179-0.0051349i,-0.02043-0.014632i,-0.017782-0.011808i,-0.020523-0.0022006i,-0.019049+0.010347i,-0.0092992+0.018255i,0.00010289+0.014127i,0.0038885+0.0058377i,0.006237+0.00083454i,0.0092921-0.0022753i,0.007972-0.003398i,0.0041846-0.0018494i,0.00053562-0.0019275i,-0.0038047-0.0028245i,-0.0054111-0.0024506i
0.057407-0.018742i,0.12928-0.043043i,0.15545-0.075958i,0.10563-0.087829i,0.061261-0.056076i,0.046746-0.0038847i,0.030444+0.031944i,0.016862+0.046275i,0.011078+0.040719i,0.0024088+0.024003i,0.0024716+0.011043i,0.010353-0.0022145i,0.0075573-0.0126i,0.0018243-0.012002i,0.0045778-0.0057813i,0.005172-0.0014916i,-0.0019605+0.003348i,-0.0069742+0.0087675i,-0.0058333+0.00908i,-0.0024388+0.003967i,-0.00019486-0.0023595i,0.0025752-0.0068643i,0.0063621-0.0072578i
-0.0049423-0.048917i,-0.040303-0.10613i,-0.073668-0.12592i,-0.083224-0.081636i,-0.070077-0.03344i,-0.034608-0.020801i,-0.0024835-0.021637i,0.01441-0.018227i,0.017972-0.010523i,0.016446-0.00014206i,0.014933+0.0046151i,0.013399+0.0046852i,0.013646+0.001055i,0.0089573-0.0061801i,-0.001135-0.0088804i,-0.0066395-0.0072835i,-0.0064025-0.0073625i,-0.0043705-0.006936i,-0.0032404-0.0046965i,-0.0042465-0.00056397i,-0.0039995+0.003876i,-0.0019062+0.0066223i,-0.0026544+0.0062641i
-0.069927+0.0085678i,-0.14464+0.028919i,-0.19215+0.056402i,-0.15897+0.074267i,-0.091712+0.050624i,-0.065623+0.0016914i,-0.0526-0.026298i,-0.031161-0.036495i,-0.014951-0.036311i,-0.0047622-0.028893i,-0.006907-0.025487i,-0.020712-0.018752i,-0.026841-0.0014163i,-0.017953+0.011517i,-0.0085989+0.0099462i,-0.0058734+0.0043084i,-0.0018118+0.0018425i,0.0029207-0.00075248i,0.0023182-0.0029381i,0.00032385-0.002432i,-0.0016156-0.0016959i,-0.0056705-0.0018645i,-0.0078392-0.0012515i
0.028953+0.068526i,0.066205+0.14772i,0.12129+0.19318i,0.15512+0.14826i,0.13704+0.09044i,0.099674+0.088147i,0.058743+0.092115i,0.016699+0.076826i,-0.0042371+0.052876i,-0.0066902+0.024664i,-0.0050513+0.0097286i,0.0031387+0.0081877i,0.008985+0.0046612i,0.007342+0.0029561i,0.0068699+0.0086478i,0.007051+0.012196i,0.003209+0.010021i,-0.00098224+0.0073588i,-0.00049515+0.0043546i,0.0027638+0.0011108i,0.0057211-0.00051935i,0.0068417+0.00022102i,0.0072179+0.003936i
0.073317-0.001645i,0.16844-0.016808i,0.22136-0.061287i,0.15628-0.099581i,0.048074-0.085245i,-0.005634-0.036476i,-0.0014737-0.0014457i,0.014096+0.007487i,0.016509+0.0054096i,0.0079761+0.0066649i,0.0041491+0.01476i,0.011873+0.017481i,0.021198+0.0070814i,0.020406-0.0074208i,0.01102-0.012701i,0.0053144-0.0098221i,0.004827-0.005088i,0.0038737-0.0021378i,0.0021808-0.00064628i,0.00078265+0.0012876i,0.00041089+0.0029848i,0.0015598+0.0030644i,0.0028999+0.00075699i
-0.0078066-0.091164i,-0.048719-0.19958i,-0.10973-0.25485i,-0.13868-0.19093i,-0.10419-0.10962i,-0.04357-0.11083i,-0.014446-0.12939i,-0.0049372-0.10028i,0.0046346-0.058897i,0.0070035-0.032709i,0.0040813-0.025229i,-0.0044045-0.030237i,-0.016975-0.025068i,-0.02043-0.010345i,-0.01278-0.0058426i,-0.0083549-0.010348i,-0.0070348-0.011259i,-0.0045398-0.0077712i,-0.0036524-0.0052369i,-0.0033965-0.0047812i,-0.0036084-0.0049756i,-0.0032748-0.0048592i,-0.0012246-0.006399i
-0.078398+0.015643i,-0.16943+0.043609i,-0.22875+0.09067i,-0.16715+0.13781i,-0.033371+0.15169i,0.031614+0.1292i,0.010286+0.096154i,-0.022355+0.063131i,-0.029339+0.042568i,-0.013943+0.02716i,-0.00033396+0.010102i,-0.0019414+0.0028947i,-0.010643+0.0046334i,-0.01523+0.0099055i,-0.0133+0.01446i,-0.0087747+0.013176i,-0.0058651+0.0074003i,-0.0042094+0.0010157i,-0.0027217-0.003134i,-0.0014885-0.0038653i,-0.0014679-0.0028899i,-0.0044507-0.0019435i,-0.0090587+0.0015009i
-0.0055298+0.082458i,0.028704+0.20341i,0.10454+0.28398i,0.14932+0.20591i,0.081326+0.061303i,-0.030643+0.02299i,-0.06+0.064657i,-0.022741+0.074078i,0.0059906+0.042484i,0.005225+0.018941i,-0.0045711+0.016572i,-0.0023481+0.021872i,0.013745+0.022851i,0.025447+0.013198i,0.021962+0.0051008i,0.013091+0.0077302i,0.008977+0.011157i,0.0074002+0.010052i,0.0051854+0.0066856i,0.0018487+0.004061i,-0.00071907+0.0045118i,-0.00048799+0.0045267i,-0.00039391+0.0028364i
0.10901+0.0062133i,0.21983-0.025322i,0.28627-0.090381i,0.22365-0.14528i,0.10525-0.14485i,0.053962-0.11799i,0.055378-0.095668i,0.052856-0.0665i,0.042852-0.040464i,0.029915-0.029203i,0.02063-0.022154i,0.018747-0.019067i,0.013016-0.018208i,0.0056544-0.01266i,0.0052805-0.01064i,0.0052855-0.013744i,0.00144-0.011667i,-0.0019377-0.0036726i,-0.0025154+0.0022948i,-0.00096293+0.0039383i,0.00107+0.0044315i,0.0044702+0.0051403i,0.011437+0.0049737i
-0.0013435-0.071861i,-0.033028-0.19341i,-0.10844-0.28946i,-0.16847-0.21881i,-0.11733-0.03673i,-0.0002881+0.058957i,0.049798+0.024243i,0.017775-0.023137i,-0.016013-0.021249i,-0.013209-0.007097i,-0.0025389-0.0070468i,-0.0070457-0.010258i,-0.016583-0.010874i,-0.021884-0.0094671i,-0.02065-0.0062099i,-0.01519-0.005446i,-0.010481-0.0065219i,-0.0075128-0.0085992i,-0.0055875-0.010253i,-0.0026573-0.0087047i,0.00016183-0.007353i,-0.0016436-0.0077724i,-0.0077467-0.0072457i
-0.075566-0.031497i,-0.17357-0.0086111i,-0.24079+0.067027i,-0.19557+0.11071i,-0.10483+0.059639i,-0.083172+7.7902e-05i,-0.095025+0.010378i,-0.06561+0.036679i,-0.026127+0.030694i,-0.013435+0.011899i,-0.013603-0.0017625i,-0.012064-0.0021518i,-0.0018417+0.0077208i,0.0087471+0.012179i,0.0077122+0.01216i,0.0018632+0.014147i,0.0019628+0.012631i,0.004608+0.0070223i,0.0048095+0.002925i,0.0030467+0.00073519i,0.00080479-0.000369i,-0.000561-0.0015045i,-0.0031057-0.0043125i
0.010421+0.086399i,0.035758+0.22262i,0.09814+0.31654i,0.14733+0.26514i,0.10865+0.12492i,0.015826+0.028814i,-0.03497+0.016452i,-0.029527+0.028927i,-0.0064903+0.018277i,-0.002558+0.00047945i,-0.0052966+0.0065657i,0.0094886+0.017786i,0.017201+0.012268i,0.012033+0.0070608i,0.012607+0.0063686i,0.014364+0.0026601i,0.0094538+0.0016435i,0.0032207+0.00495i,0.00021579+0.0075929i,-0.0007418+0.00756i,-0.00078507+0.0067493i,0.00045996+0.0081672i,0.0047676+0.011626i
0.053408+0.019353i,0.13453-0.037955i,0.20074-0.11644i,0.17217-0.1276i,0.094686-0.045801i,0.078429+0.044479i,0.096173+0.05073i,0.075487+0.010356i,0.030033-0.0028116i,0.0042568+0.0092271i,-0.0039122+0.01204i,-0.013751-0.0004855i,-0.021211-0.010447i,-0.018484-0.012567i,-0.012197-0.012962i,-0.0094857-0.013432i,-0.0084826-0.011892i,-0.0075272-0.0080608i,-0.0055155-0.0045333i,-0.00050552-0.002313i,0.0032842-0.0032775i,0.0024648-0.0051429i,0.00038278-0.0036229i
0.024636-0.058743i,0.034514-0.13024i,-0.0051047-0.2145i,-0.051929-0.22222i,-0.011398-0.13962i,0.065286-0.077598i,0.081114-0.054555i,0.051415-0.027261i,0.029862+0.0041744i,0.033409+0.018969i,0.045583+0.0041497i,0.036931-0.012355i,0.018019-0.00544i,0.0070982+0.0036357i,-0.00011224+0.004352i,-0.0031636+0.0036175i,-0.0015141+0.0017382i,0.0016247-0.0016588i,0.0026306-0.0047824i,-0.00044046-0.0060519i,-0.0039706-0.0050454i,-0.0046028-0.0037488i,-0.0051284-0.0051825i
-0.051838-0.014241i,-0.14314+0.024528i,-0.20227+0.11629i,-0.15953+0.14477i,-0.10909+0.040646i,-0.13294-0.059277i,-0.15275-0.065645i,-0.10508-0.03771i,-0.037134-0.033218i,-0.0036729-0.039439i,-0.0021467-0.022565i,0.0017904+0.0071618i,0.013001+0.015838i,0.014342+0.011162i,0.0097826+0.011639i,0.0092186+0.014236i,0.0087977+0.013192i,0.0057266+0.0098917i,0.0033807+0.0062595i,0.00082193+0.0024844i,-0.0025511+0.002081i,-0.0041362+0.0028411i,-0.0018025+0.0033013i
0.024194+0.011749i,0.053241+0.039243i,0.095275+0.05838i,0.088835+0.055813i,0.022424+0.051487i,-0.03962+0.059507i,-0.057092+0.065676i,-0.04638+0.051634i,-0.030149+0.023386i,-0.027268-0.010652i,-0.037128-0.032378i,-0.040686-0.033345i,-0.031212-0.024081i,-0.014273-0.013344i,-7.1853e-05-0.010556i,0.00068566-0.012973i,-0.0057428-0.011491i,-0.0081249-0.0080873i,-0.0072814-0.0025643i,-0.0030007+0.0047237i,0.0043987+0.0088754i,0.0090908+0.009581i,0.0097679+0.0092492i
0.011306+0.068622i,0.06553+0.050617i,0.10175-0.023088i,0.071627-0.05138i,0.049342+0.024476i,0.10158+0.10972i,0.14006+0.10775i,0.10243+0.068083i,0.040641+0.048815i,0.010291+0.047435i,0.016397+0.040395i,0.027654+0.021568i,0.019673+0.0062614i,0.0037186-0.0006945i,-0.0036447-0.0030379i,-0.0025823-0.0036011i,0.0015764-0.0025272i,0.00312+0.00025539i,0.00096458+0.00078602i,-0.001285-0.0020625i,-0.0027716-0.0053878i,-0.006231-0.0068487i,-0.010721-0.0075658i
-0.041741-0.065356i,-0.10259-0.054332i,-0.14761-0.025834i,-0.1233-0.016245i,-0.056183-0.036372i,-0.013902-0.075014i,0.0097397-0.086345i,0.03503-0.072232i,0.0417-0.054873i,0.024637-0.029807i,0.0074412+0.0017514i,0.0024348+0.021515i,0.0051044+0.020223i,0.0039343+0.0094177i,-0.0021097+0.0060125i,-0.0045692+0.010819i,-0.0041063+0.013177i,-0.0022767+0.0094713i,0.0013234+0.0039341i,0.003575-0.0026592i,0.0042226-0.0082261i,0.0063131-0.01086i,0.0080183-0.011344i
0.11139-0.018511i,0.14012-0.02653i,0.12931+0.024193i,0.12053+0.079955i,0.1046+0.04577i,0.023466-0.017042i,-0.074377-0.030881i,-0.10295-0.01376i,-0.072701-0.0058695i,-0.035621-0.014568i,-0.01445-0.032048i,-0.0081237-0.045888i,-0.0095562-0.037375i,-0.0042327-0.014065i,0.0061982-0.0040109i,0.0067476-0.0079168i,0.0025525-0.010875i,0.0022037-0.01086i,0.0023696-0.008099i,0.00043453-0.0027438i,-0.0026238+0.0056089i,-0.0034484+0.016354i,8.2421e-05+0.022596i
-0.037622+0.047609i,0.011102+0.054204i,0.080626-0.0026969i,0.068449-0.06661i,0.0027192-0.042427i,-0.010189+0.023987i,0.0035681+0.051681i,-0.0079339+0.055107i,-0.017772+0.061353i,-0.0064024+0.054879i,0.0049566+0.03833i,0.0037268+0.02736i,-0.0001639+0.020792i,-9.2378e-05+0.01216i,0.0019068+0.0059707i,0.0054752+0.0048995i,0.0078723+0.0054312i,0.0048111+0.0054727i,-0.00165+0.0043342i,-0.0063286+0.0024239i,-0.0088487-0.0023632i,-0.01157-0.010682i,-0.013004-0.017441i
-0.078704-0.046135i,-0.14878-0.07863i,-0.18774-0.10898i,-0.16249-0.11862i,-0.0963-0.10251i,-0.016843-0.063528i,0.059468-0.018975i,0.10392+0.00079067i,0.10394-0.0059162i,0.072702-0.014289i,0.031346-0.010078i,0.0029256+0.0055185i,0.00028594+0.013069i,0.0013883+0.0042489i,-0.0071434-0.0018231i,-0.011928+0.0012048i,-0.011922+0.0022i,-0.012138+0.0013834i,-0.0098727+0.0016815i,-0.0018233+0.0023264i,0.0096731+0.0030168i,0.018566+0.0022116i,0.01958+0.0017704i
