-0.0022324+0.00038396i,-0.0022401-3.6098e-05i,-0.0035178+0.0010048i,-0.0031441+0.0017425i,-0.0021661+0.0016862i,-0.0012401+0.0011565i,-0.00076354+0.00087225i,2.6596e-06+0.00098935i,0.00041755+0.00051871i,0.00046716+0.00038948i,0.00087351-0.00035318i,0.00075428-0.0012862i,0.00085985-0.0009859i,1.4454e-05-0.00017869i,-0.00054421+0.00045681i,1.1994e-05+0.00012285i,3.8814e-05-0.00034894i,-0.00047804-0.00057785i,-0.00080074-0.0004807i,-0.00030109-0.00013377i,0.00062675+0.0004465i,0.00061072+0.0012381i,-0.00036344+0.0010609i
0.17193-0.025389i,0.2998-0.01138i,0.30048-0.018742i,0.15766-0.12885i,0.0027231-0.25275i,-0.061457-0.24955i,-0.042115-0.15276i,-0.038106-0.088832i,-0.058094-0.056405i,-0.036069-0.020081i,-0.0023805-0.013835i,-0.0025233-0.019031i,-0.0092332-0.0070552i,-0.00258-0.0034196i,-0.00023512-0.016236i,-0.011115-0.017823i,-0.019629+0.0074769i,-0.016107+0.028938i,-0.0076736+0.025915i,0.001939+0.012358i,0.0087251-0.00029755i,0.0095401-0.0039971i,0.01077-0.00077618i
0.16448-0.24109i,0.25411-0.49822i,0.22953-0.67855i,0.10768-0.60644i,0.058731-0.31053i,0.11117-0.041446i,0.13449+0.049018i,0.096183+0.058214i,0.054927+0.069547i,0.045065+0.061824i,0.052066+0.039679i,0.06871+0.022039i,0.080077+0.0064868i,0.071467-0.0011247i,0.063454+7.3293e-05i,0.063651-0.0095778i,0.048108-0.028523i,0.016721-0.027824i,-0.0034927-0.0014375i,-0.0014273+0.019006i,0.0011552+0.011922i,-0.011545-0.0031089i,-0.022556-0.0046956i
0.25915+0.5995i,0.53947+1.0374i,0.6317+1.0885i,0.40997+0.66834i,0.12615+0.21309i,0.022647-0.016711i,0.02707-0.11277i,0.0012677-0.1212i,-0.026789-0.069152i,-0.032974-0.019873i,-0.036428+0.0013816i,-0.04612+0.0043257i,-0.049015+0.012132i,-0.034679+0.021654i,-0.020235+0.014212i,-0.019316-0.0088742i,-0.020949-0.029003i,-0.0098566-0.033774i,0.0023343-0.026926i,0.0033431-0.010047i,0.0076862+0.012621i,0.023759+0.02635i,0.036158+0.021181i
-0.56389-0.043194i,-1.0367+0.061929i,-1.0825+0.30842i,-0.56032+0.50184i,-0.080533+0.43707i,-0.037074+0.24522i,-0.13406+0.17143i,-0.074274+0.16276i,0.049535+0.097309i,0.088633+0.021521i,0.068839-0.013058i,0.035971-0.02768i,-0.0061603-0.026819i,-0.028696-0.0071815i,-0.020476+0.014843i,0.0034094+0.027319i,0.027051+0.023037i,0.036375+0.0088036i,0.033466-0.0072127i,0.018713-0.02055i,0.0016131-0.022218i,-0.006089-0.015192i,-0.011178-0.0041497i
0.031357-0.15999i,0.039792-0.35317i,0.039849-0.5228i,0.010956-0.55516i,-0.047175-0.43753i,-0.084702-0.24116i,-0.075915-0.079921i,-0.10008-0.0071149i,-0.13966+0.042839i,-0.10117+0.081658i,-0.043284+0.077637i,-0.019034+0.071435i,0.0029118+0.066905i,0.014836+0.044285i,0.0051675+0.03281i,-0.0018687+0.051987i,0.0084149+0.078409i,0.017616+0.075311i,0.007457+0.04644i,-0.0058495+0.024084i,-0.0083483+0.015755i,-0.0042598+0.006058i,-0.002708-0.006475i
0.0038375-0.38584i,-0.12123-0.68386i,-0.26306-0.66297i,-0.26652-0.32315i,-0.11388-0.067754i,0.021538-0.016614i,0.083191-0.034425i,0.13835-0.079354i,0.13785-0.12789i,0.072598-0.13593i,0.016378-0.11122i,-0.002627-0.085138i,0.0041505-0.068497i,0.008195-0.057963i,0.0047301-0.054246i,0.0090137-0.066431i,0.016646-0.087158i,0.022137-0.080741i,0.024698-0.046293i,0.011749-0.01775i,-0.014311-0.00027848i,-0.023972+0.015091i,-0.011048+0.020797i
0.47045+0.25266i,0.87552+0.27659i,0.8718+0.073729i,0.39667-0.11081i,0.056081-0.10322i,0.060864-0.10886i,0.045768-0.14506i,-0.055043-0.071551i,-0.087767+0.019556i,-0.072627+0.065407i,-0.031944+0.085499i,0.013762+0.060259i,0.019888+0.023316i,0.0053201+0.010937i,-0.00055013+0.010741i,-0.0087341+0.014385i,-0.027523+0.030265i,-0.04091+0.042841i,-0.038035+0.03714i,-0.017315+0.01975i,0.011636-0.0011762i,0.027668-0.012545i,0.024172-0.012576i
-0.17167+0.17139i,-0.12023+0.41684i,0.25245+0.5432i,0.63084+0.38463i,0.58394+0.19086i,0.2575+0.16872i,0.039519+0.19014i,0.02568+0.14717i,0.076437+0.065605i,0.08217+0.013637i,0.062236+0.0080249i,0.035605+0.013663i,0.0033197+0.026739i,-0.00020263+0.040746i,0.012945+0.045255i,0.022026+0.045947i,0.030048+0.033315i,0.026418+0.0075812i,0.010283-0.0094638i,-0.006595-0.004383i,-0.010668+0.0093155i,-0.0070096+0.013147i,-0.0025815+0.015154i
-0.13382+0.073171i,-0.26589+0.20451i,-0.34824+0.2589i,-0.33955+0.086243i,-0.31526-0.16567i,-0.2844-0.24412i,-0.18765-0.1633i,-0.11148-0.025375i,-0.064446+0.1121i,0.0067296+0.14441i,0.03288+0.071898i,0.0074115+0.0053371i,-0.00552-0.010739i,-0.00030742-0.010192i,0.0059798-0.019988i,0.021456-0.026432i,0.055047-0.019359i,0.077675-0.0079375i,0.067768-0.0083542i,0.040372-0.022263i,0.01017-0.027936i,-0.013278-0.016011i,-0.021468-0.00074446i
-0.16762-0.30142i,-0.42346-0.48638i,-0.60078-0.41715i,-0.44764-0.13322i,-0.10738+0.042224i,0.091261+0.019414i,0.062681-0.062926i,-0.0097143-0.099213i,-0.0061574-0.058386i,0.040913-0.0029343i,0.070281+0.012196i,0.074732+0.0097684i,0.074698+0.0095038i,0.069366+0.0089797i,0.054224+0.012975i,0.040347+0.027237i,0.034331+0.045732i,0.033716+0.056481i,0.032823+0.048843i,0.029655+0.036708i,0.031205+0.036058i,0.040569+0.027427i,0.038589+0.0011526i
0.22845+0.14894i,0.41743+0.18959i,0.4211+0.21476i,0.24875+0.25178i,0.072891+0.22967i,-0.02108+0.14086i,-0.019383+0.084841i,0.010181+0.04259i,-0.0017545-0.034211i,-0.041077-0.086612i,-0.07104-0.080948i,-0.076532-0.042045i,-0.071238-0.0091117i,-0.071905+0.009709i,-0.072534+0.015503i,-0.084455+0.010235i,-0.10629+0.019217i,-0.10055+0.029744i,-0.069782+0.018869i,-0.04998+0.007711i,-0.043154+0.015895i,-0.029466+0.026038i,-0.018601+0.025196i
-0.096439+0.051572i,-0.17008+0.14704i,-0.12232+0.16497i,0.029675+0.084828i,0.14315+0.032924i,0.12567+0.010063i,0.037438-0.030067i,-0.034293-0.034899i,-0.060281+0.012678i,-0.028777+0.052864i,0.027072+0.048565i,0.060587+0.024449i,0.069964+0.0061645i,0.073183-0.0037283i,0.086974-0.011362i,0.11419-0.026869i,0.13421-0.04609i,0.12019-0.057547i,0.069632-0.066121i,0.019115-0.071403i,-0.00061879-0.071897i,-0.0054266-0.066768i,-0.010681-0.05033i
-0.0054707+0.017772i,-0.0093233-0.1472i,-0.057986-0.42779i,-0.20734-0.61879i,-0.36771-0.55552i,-0.33349-0.34491i,-0.16884-0.1732i,-0.04853-0.062486i,0.0094945+0.029912i,0.04169+0.085408i,0.072062+0.091747i,0.092823+0.050242i,0.064374+0.0063195i,0.0070392+0.0099364i,-0.023007+0.055851i,-0.0045421+0.11668i,0.027518+0.14753i,0.03664+0.13717i,0.041764+0.11056i,0.051858+0.08355i,0.051115+0.072055i,0.049051+0.060406i,0.047921+0.027942i
0.052893-0.28621i,0.095258-0.29012i,0.13885+0.0021614i,0.18698+0.47258i,0.30157+0.7429i,0.40721+0.61818i,0.31208+0.26254i,0.064841+0.0093031i,-0.089498-0.070654i,-0.10135-0.11167i,-0.1051-0.14221i,-0.12516-0.11832i,-0.10431-0.076038i,-0.056212-0.075547i,-0.038925-0.11482i,-0.087043-0.1512i,-0.15045-0.1406i,-0.1376-0.093751i,-0.059414-0.071926i,-0.021888-0.08319i,-0.047087-0.067654i,-0.056551-0.0087553i,-0.028795+0.03959i
-0.2013+0.12214i,-0.13393+0.17922i,-0.022428+0.093315i,0.062003-0.15678i,-0.0041201-0.44515i,-0.18945-0.48055i,-0.16463-0.23965i,0.086752-0.070555i,0.25589-0.043675i,0.29727-0.016069i,0.27899-0.021191i,0.19177-0.056238i,0.091079-0.046573i,0.030866+0.0033497i,0.028326+0.065529i,0.083552+0.11015i,0.1345+0.116i,0.12292+0.1116i,0.091024+0.11505i,0.087644+0.080755i,0.080823+0.0021958i,0.038167-0.065299i,-0.013452-0.075674i
0.61948+7.4764i,3.2899+5.8384i,6.9374+4.5973i,8.0433+1.5038i,6.4299-1.9219i,3.1852-3.6118i,0.47631-2.5393i,-0.38373-0.62636i,0.20096+0.45841i,0.97473+0.25786i,0.69597-0.53574i,-0.25547-0.97962i,-1.082-0.97356i,-1.5283-0.58227i,-1.3802-0.033442i,-0.86625+0.29023i,-0.3974+0.23856i,-0.10795-0.019769i,0.044836-0.21943i,0.10395-0.29398i,0.11974-0.31741i,0.10096-0.25397i,0.10526-0.096608i
-0.43505+0.16968i,-0.68067+0.30462i,-0.85532+0.37806i,-0.88601+0.33524i,-0.83588+0.21317i,-0.6554+0.17817i,-0.35751+0.21769i,-0.1422+0.20117i,-0.017151+0.12122i,0.068418-0.019929i,0.0516-0.13194i,-0.0046701-0.13725i,-0.036171-0.10368i,-0.07628-0.076533i,-0.10162-0.05968i,-0.096431-0.059188i,-0.082408-0.056266i,-0.063292-0.05113i,-0.050303-0.050757i,-0.043187-0.04275i,-0.032761-0.030486i,-0.027065-0.031378i,-0.028281-0.037188i
0.26068-0.083134i,0.45049-0.27763i,0.46391-0.36421i,0.33279-0.17088i,0.2968+0.066471i,0.34091+0.048527i,0.25666-0.058802i,0.11085-0.03082i,0.055471+0.042171i,0.063592+0.049871i,0.054751-0.0013782i,0.037483-0.02608i,0.058015-0.0068407i,0.083905+0.0011158i,0.080671+0.0048868i,0.061403+0.024132i,0.042368+0.049528i,0.034409+0.067031i,0.033751+0.051139i,0.028904+0.016773i,0.033088-0.001872i,0.049731-0.016449i,0.0508-0.030827i
0.042645+0.22916i,0.27646+0.32855i,0.54051+0.14442i,0.53014-0.2551i,0.1683-0.47694i,-0.13933-0.34495i,-0.089162-0.15847i,0.067599-0.16747i,0.069888-0.24792i,-0.0087018-0.23675i,-0.044833-0.14851i,-0.035845-0.064216i,-0.018111-0.021615i,-0.0087241-0.010405i,-0.014404-0.021928i,-0.035609-0.047236i,-0.058034-0.065586i,-0.067903-0.067001i,-0.063603-0.037136i,-0.052836+0.015016i,-0.041388+0.053379i,-0.024743+0.068125i,-0.0016982+0.061957i
0.11367-0.079441i,0.1005-0.073711i,-0.067215-0.01162i,-0.35426+0.11351i,-0.44656+0.25786i,-0.27709+0.24902i,-0.1439+0.093893i,-0.1525+0.010331i,-0.17777+0.0032569i,-0.17691-0.0093584i,-0.14756-0.0033563i,-0.092965+0.010404i,-0.051557+0.0090688i,-0.031163-0.0016174i,-0.017031-0.022736i,-0.007489-0.045472i,0.001917-0.061591i,0.0088724-0.074645i,0.0020396-0.073281i,-0.0089915-0.050458i,-0.0098009-0.030425i,-0.012857-0.028101i,-0.024281-0.02505i
-0.3161-0.099036i,-0.5971-0.090015i,-0.64687+0.039722i,-0.35482+0.18977i,-0.031567+0.1938i,0.071899+0.13385i,0.070589+0.15626i,0.1086+0.14468i,0.10386+0.038208i,0.0032346-0.027494i,-0.083776+0.0039048i,-0.081416+0.050139i,-0.041539+0.043162i,-0.029576+0.017986i,-0.024354+0.024371i,0.0062241+0.03955i,0.032592+0.033607i,0.030131+0.022964i,0.02692+0.018464i,0.039941-0.00077252i,0.036014-0.033996i,0.00071982-0.046171i,-0.026339-0.032873i
0.39933-0.1633i,0.71766-0.35519i,0.84659-0.42309i,0.74959-0.34948i,0.53099-0.30193i,0.26076-0.28338i,0.083434-0.24142i,0.015336-0.22676i,-0.031293-0.21166i,-0.039335-0.15449i,-0.037318-0.10037i,-0.044685-0.035535i,-0.0062686+0.017378i,0.046513+0.010694i,0.055291-0.029664i,0.014947-0.067966i,-0.041264-0.077561i,-0.067962-0.058269i,-0.05881-0.030025i,-0.038075-0.0035711i,-0.025058+0.015348i,-0.012844+0.033393i,0.0062782+0.04024i
-0.22452+0.24147i,-0.40342+0.38082i,-0.54047+0.32666i,-0.57079+0.12861i,-0.51739+0.041872i,-0.39628+0.12456i,-0.19029+0.16995i,-0.00191+0.064195i,0.061804-0.078997i,0.033404-0.13917i,0.0027257-0.10662i,-0.0067785-0.052767i,-0.019443-0.018314i,-0.037324-0.0027137i,-0.04887+0.00039426i,-0.048375+0.0091239i,-0.028482+0.021992i,-0.0011985+0.01691i,0.0088893-0.0054546i,0.0034009-0.018403i,0.0051583-0.015732i,0.015522-0.016891i,0.012226-0.022568i
0.13388+0.064052i,0.25347+0.10528i,0.24653+0.092852i,0.055469+0.18185i,-0.054114+0.39285i,0.02527+0.44924i,0.049691+0.33851i,0.0063955+0.26495i,0.015103+0.19862i,0.02403+0.10264i,0.027329+0.051163i,0.045988+0.037447i,0.046232+0.037211i,0.02604+0.051514i,0.0050745+0.075008i,0.0039142+0.10027i,0.016865+0.10712i,0.014385+0.090103i,-0.0052096+0.067286i,-0.013528+0.05081i,0.0023106+0.037045i,0.016676+0.016384i,0.014635+0.002876i
-0.29607-0.038237i,-0.46063+0.098589i,-0.21635+0.32245i,0.2917+0.32224i,0.44661+0.068585i,0.21169-0.064407i,0.047539+0.019221i,0.050125+0.080473i,0.051259+0.070738i,0.022111+0.060773i,-0.0032214+0.049548i,-0.02355+0.015644i,-0.031751-0.033546i,-0.02385-0.059334i,-0.011865-0.052362i,-0.0010005-0.044703i,0.0090192-0.052442i,0.015379-0.055581i,0.012334-0.039676i,-0.00068199-0.019404i,-0.017089-0.010843i,-0.026811-0.0040371i,-0.017329+0.0081003i
0.39326-0.072217i,0.613-0.27058i,0.4788-0.50217i,0.032144-0.55766i,-0.23693-0.37232i,-0.16653-0.17463i,-0.053307-0.15008i,-0.071539-0.14681i,-0.082183-0.047188i,0.0029041+0.031545i,0.064626+0.015158i,0.048039-0.01212i,0.018585+0.00054402i,0.017825+0.01323i,0.038935-0.0017188i,0.04595-0.032227i,0.026252-0.0436i,0.0096897-0.029161i,0.009789-0.015335i,0.0055787-0.0098208i,-0.010006-0.0011321i,-0.015626+0.012806i,-0.0078334+0.019202i
-0.13997+0.055123i,-0.27135+0.13316i,-0.35353+0.24967i,-0.31946+0.35699i,-0.1867+0.36238i,-0.031247+0.26072i,0.064353+0.12969i,0.11643+0.026556i,0.12485-0.051169i,0.056075-0.077602i,0.0003074-0.035782i,0.0051978+0.013709i,0.015478+0.038816i,0.012345+0.043686i,0.003547+0.039005i,-0.0047845+0.045119i,-0.0071365+0.050343i,-0.013163+0.041138i,-0.020499+0.03262i,-0.0095756+0.031204i,0.013622+0.025988i,0.020668+0.011727i,0.0073469-6.7557e-05i
0.12277+0.14037i,0.26305+0.27238i,0.3616+0.36075i,0.38432+0.3714i,0.34337+0.286i,0.23268+0.14005i,0.12567+0.052393i,0.056786+0.033375i,-0.0073078+0.011376i,-0.05353-0.0076351i,-0.061433-0.009449i,-0.044516-0.011361i,-0.02868-0.016589i,-0.031417-0.0031416i,-0.03642+0.021544i,-0.028691+0.02418i,-0.018568+0.010151i,-0.011594+0.0019148i,-0.0042866+0.0016572i,0.0024382-0.0011801i,0.0059115-0.0098721i,0.0051324-0.013762i,0.0040293-0.011801i
-0.29826-0.28069i,-0.61452-0.47298i,-0.73724-0.56655i,-0.553-0.5248i,-0.28725-0.38407i,-0.12329-0.19421i,-0.042019-0.037827i,-0.023956+0.02665i,-0.028254+0.051971i,-0.0041709+0.045802i,0.017164+0.01243i,0.022308-0.023429i,0.021291-0.063144i,0.016655-0.081255i,0.016228-0.067491i,0.01844-0.043386i,0.025576-0.020925i,0.034397-0.010178i,0.035704-0.0098887i,0.031508-0.014091i,0.02388-0.023624i,0.015158-0.03035i,0.0043122-0.028864i
0.29422+0.14545i,0.54276+0.15393i,0.54138+0.065253i,0.2188+0.02899i,-0.03347+0.13268i,0.0050276+0.19719i,0.074229+0.10007i,0.033145-0.016182i,-0.015354-0.0497i,-0.022951-0.030405i,-0.016641-0.0074443i,-0.017904+0.018477i,-0.014453+0.049449i,-0.004931+0.052886i,0.0055454+0.030105i,0.019954-0.0022536i,0.020187-0.038256i,0.0018427-0.059436i,-0.020422-0.056796i,-0.035534-0.032757i,-0.033045-0.00028934i,-0.018795+0.0174i,-0.0067538+0.020464i
-0.15344+0.0194i,-0.23237+0.19186i,-0.12493+0.48005i,0.15317+0.61644i,0.2894+0.4376i,0.19384+0.16279i,0.10731+0.028007i,0.13303-0.017364i,0.15227-0.071024i,0.082578-0.11337i,-0.013941-0.098651i,-0.055629-0.049823i,-0.044821-0.011585i,-0.0192+0.0072449i,-0.0077195+0.0028502i,-0.026286-0.010686i,-0.046424-0.0075877i,-0.03838+0.0051985i,-0.019652+0.0095457i,-0.0081767+0.0080246i,-0.0043757+0.0048154i,-0.0098413+0.0040376i,-0.014074+0.0095141i
-0.01022+0.11681i,0.00035641+0.099619i,-0.021121-0.12907i,-0.12364-0.42617i,-0.24947-0.46007i,-0.26822-0.25252i,-0.20272-0.075277i,-0.16208+0.017412i,-0.1301+0.072965i,-0.062946+0.084002i,0.0051607+0.056291i,0.037217+0.011124i,0.029964-0.028059i,0.0070711-0.039746i,-0.013072-0.022562i,-0.020595+0.018636i,-0.013511+0.059997i,-0.0055532+0.072728i,0.0075027+0.059679i,0.027827+0.031059i,0.032884-0.0010065i,0.023328-0.015512i,0.015043-0.017434i
0.0030522-0.31666i,-0.091662-0.53715i,-0.27037-0.49811i,-0.39183-0.15758i,-0.32427+0.13932i,-0.17924+0.21975i,-0.075317+0.18808i,-0.016622+0.12168i,0.0053962+0.072251i,0.018482+0.053345i,0.037999+0.037645i,0.043243+0.025121i,0.039183+0.019011i,0.032575+0.0094472i,0.022563+0.010649i,0.023329+0.017137i,0.026048+0.012097i,0.014775+0.0078819i,0.00021384+0.010879i,-0.003981+0.017461i,0.0039549+0.023323i,0.016935+0.012788i,0.017605-0.0063788i
0.16203+0.26078i,0.35882+0.48002i,0.51679+0.56775i,0.51667+0.4489i,0.37542+0.25192i,0.21263+0.11725i,0.12085+0.061256i,0.087187+0.0020853i,0.035986-0.060738i,-0.017806-0.05735i,-0.025379-0.030177i,-0.018655-0.023086i,-0.021331-0.012406i,-0.025053+0.0048909i,-0.012051+0.0082218i,0.018966-0.017261i,0.044235-0.054368i,0.054679-0.071924i,0.042341-0.068769i,0.0059557-0.054155i,-0.028225-0.034388i,-0.045663-0.0085981i,-0.041646+0.020963i
-0.075435-0.12387i,-0.17704-0.2752i,-0.24614-0.44512i,-0.23414-0.4894i,-0.14709-0.34207i,0.0038646-0.15975i,0.10313-0.087174i,0.082182-0.051874i,0.048046-0.001149i,0.036175+0.0071663i,0.0049002+0.0014741i,-0.01374+0.011029i,-0.013002+0.011814i,-0.00077451+0.01878i,0.024616+0.022894i,0.024794+0.0075954i,-0.004333-0.005521i,-0.028401-0.01488i,-0.035081-0.017601i,-0.024341-0.0044586i,-0.0099431+0.00757i,-0.0047656+0.011008i,-0.0069747+0.0066631i
-0.16307+0.077573i,-0.27179+0.19903i,-0.27348+0.28681i,-0.19236+0.2488i,-0.12918+0.11737i,-0.10593+0.0014341i,-0.10852-0.060296i,-0.11022-0.065374i,-0.095858-0.042583i,-0.08405-0.013489i,-0.066238+0.029599i,-0.030547+0.062067i,0.0034068+0.052568i,0.0087376+0.0060703i,-0.029987-0.028845i,-0.07815-0.0092221i,-0.092425+0.036158i,-0.076192+0.065269i,-0.04397+0.068833i,-0.0099986+0.052491i,0.016452+0.031903i,0.033472+0.010034i,0.031309-0.0099602i
0.13505-0.18397i,0.18388-0.29073i,0.14737-0.19373i,0.10317+0.043503i,0.072059+0.12843i,-0.025626+0.077702i,-0.074423+0.092233i,-0.010999+0.11075i,0.037322+0.068983i,0.047782+0.02703i,0.061343-0.01713i,0.059825-0.061327i,0.038305-0.072258i,0.0036763-0.043986i,-0.021135+0.00042516i,-0.0082508+0.023097i,0.024554+0.017864i,0.048115+0.0083103i,0.050727+0.0059838i,0.03566+0.0029306i,0.017954-0.0058362i,0.0088173-0.01251i,0.0094524-0.011075i
0.029117+0.1601i,0.10665+0.2171i,0.17321+0.042757i,0.13689-0.25303i,0.047541-0.30682i,0.031827-0.12951i,0.056739-0.016796i,0.047415-0.0088394i,0.035121-0.019361i,0.026079-0.030679i,0.0096219-0.025471i,-0.0034213-0.012099i,-0.014268-0.0029922i,-0.0044942+0.011141i,0.035463+0.019012i,0.069668+0.0097384i,0.067979-0.0049304i,0.045067-0.01358i,0.025596-0.018013i,0.016369-0.020219i,0.007146-0.019672i,-0.0074042-0.01134i,-0.013531-0.0017582i
0.030809+0.0023834i,0.02236+0.0030048i,-0.082229+0.033243i,-0.24156+0.15261i,-0.2774+0.26365i,-0.16307+0.21855i,-0.067543+0.10644i,-0.036167+0.051919i,-0.024246+0.027138i,-0.034902+0.0050473i,-0.05915+0.017202i,-0.066407+0.064497i,-0.043837+0.092482i,-0.018792+0.061906i,-0.020601+0.012602i,-0.036311-0.0098148i,-0.046573-0.011177i,-0.051077-0.0094458i,-0.051955-0.0090711i,-0.048603-0.0016582i,-0.037726+0.014713i,-0.018324+0.023458i,-0.0046367+0.019193i
-0.14787-0.020927i,-0.24665+0.073172i,-0.13151+0.26235i,0.15073+0.29093i,0.2464+0.08669i,0.11718-0.068073i,0.021549-0.078067i,-0.00018701-0.073539i,-0.024134-0.059156i,-0.028417-0.019919i,-0.016735-0.0090546i,-0.0014163-0.026474i,0.02021-0.051332i,0.024465-0.067299i,0.0065803-0.067801i,-0.015231-0.061293i,-0.025051-0.050891i,-0.022171-0.030606i,-0.013466-0.0013299i,0.0015955+0.015234i,0.013947+0.004783i,0.0073672-0.010554i,-0.0040384-0.0072679i
0.18397-0.12252i,0.32361-0.4227i,0.25947-0.78231i,0.015332-0.84724i,-0.092394-0.55909i,-0.010329-0.24593i,0.050969-0.094451i,0.036897-0.032567i,0.019906-0.0007782i,0.026709+0.010449i,0.046493-0.0063107i,0.047144-0.04454i,0.023533-0.057652i,0.0057361-0.026553i,0.012514+0.016297i,0.029662+0.035201i,0.035583+0.031717i,0.030453+0.011789i,0.02189-0.012482i,0.0084335-0.022102i,-0.0074724-0.016791i,-0.013898-0.0029938i,-0.0097336+0.0024556i
-0.074254+0.15854i,-0.10444+0.4208i,-0.055695+0.69873i,0.066629+0.74353i,0.15085+0.52928i,0.14547+0.26325i,0.10328+0.089231i,0.07415+0.0081707i,0.050988-0.02822i,0.004534-0.045972i,-0.044935-0.02306i,-0.065465+0.030088i,-0.054896+0.067925i,-0.024207+0.065022i,-0.0044535+0.038564i,-0.0066208+0.023879i,-0.0066237+0.022799i,-0.00052012+0.016222i,-0.002778-0.0012779i,-0.010733-0.0068984i,-0.0041067+0.006787i,0.014858+0.008319i,0.019738-0.0049274i
-0.085445+0.019506i,-0.12273+0.033547i,-0.077215+0.0032559i,0.0062143-0.069254i,-0.0049178-0.13058i,-0.084162-0.11394i,-0.11544-0.023013i,-0.090591+0.060923i,-0.045959+0.084792i,-0.0023594+0.058983i,0.023723+0.024541i,0.036171+0.0031318i,0.03164-0.011602i,0.0034595-0.025667i,-0.024144-0.041507i,-0.035606-0.052795i,-0.03381-0.048971i,-0.020602-0.024435i,-0.0029876+0.006481i,0.013317+0.011131i,0.019347-0.014327i,0.0075988-0.035611i,-0.0076809-0.030243i
-0.0061696-0.16995i,-0.11776-0.33355i,-0.28624-0.41396i,-0.33557-0.32583i,-0.18921-0.13979i,-0.015806-0.0038661i,0.048772+0.011341i,0.027501-0.033999i,0.001242-0.039933i,0.017032-0.019519i,0.03767-0.026078i,0.038006-0.045475i,0.033064-0.04832i,0.032034-0.021233i,0.038124+0.017594i,0.042938+0.035776i,0.030343+0.035388i,0.01103+0.030867i,0.0061457+0.025851i,0.0047859+0.021329i,-0.0073726+0.025637i,-0.013727+0.038077i,-0.0026475+0.038988i
0.16817+0.09789i,0.38379+0.1548i,0.50583+0.18821i,0.37985+0.2233i,0.16612+0.22365i,0.047481+0.14204i,-0.0038366+0.042301i,-0.010668-0.0032145i,-0.01571-0.025363i,-0.047619-0.013215i,-0.062518+0.028205i,-0.060723+0.060552i,-0.04876+0.072648i,-0.025235+0.055615i,-0.010978+0.037254i,0.0042418+0.043087i,0.029832+0.046622i,0.039553+0.027553i,0.025963-0.0026929i,0.0089799-0.01829i,0.0057123-0.014645i,0.014743-0.0070459i,0.01809-0.0031493i
-0.063846+0.12165i,-0.12309+0.3192i,-0.10392+0.44363i,-0.008862+0.33198i,-0.0019322+0.14702i,-0.042524+0.092408i,0.015032+0.10306i,0.077427+0.081979i,0.074306+0.047426i,0.048514+0.015571i,0.027782-0.0050401i,0.020219-0.011912i,0.010552-0.014747i,-0.0056419-0.012268i,-0.0088804-0.021928i,-0.012698-0.053112i,-0.025613-0.075377i,-0.030867-0.063414i,-0.026247-0.026557i,-0.013347-0.00086411i,-0.001276-0.0062716i,-0.0058137-0.021949i,-0.017963-0.02136i
-0.13094-0.18535i,-0.2545-0.42619i,-0.33124-0.63333i,-0.31817-0.58553i,-0.20398-0.34518i,-0.058892-0.14788i,-0.018348-0.064245i,-0.055755-0.031811i,-0.064013-0.0068578i,-0.031802+0.00096984i,0.0024362-0.012428i,0.021241-0.041732i,0.019773-0.063747i,0.013984-0.059915i,0.011098-0.047573i,-0.0033381-0.035039i,-0.031118-0.016244i,-0.048574+0.0013551i,-0.038853+0.014577i,-0.015133+0.022144i,0.0015181+0.025849i,0.0078949+0.026299i,0.011464+0.017271i
0.15143-0.0015388i,0.24251+0.052859i,0.22704+0.19903i,0.14334+0.32078i,0.066077+0.26009i,-0.019996+0.11472i,-0.047071+0.041165i,-0.0041886-0.0079937i,0.0045637-0.054037i,-0.022733-0.041436i,-0.032591+0.0013587i,-0.028128+0.039991i,-0.011664+0.058638i,-0.0015496+0.051767i,-0.010212+0.052232i,-0.0037297+0.062672i,0.023526+0.059053i,0.037924+0.031606i,0.026524-0.009907i,0.0004347-0.032899i,-0.015677-0.023901i,-0.0087823-0.006501i,0.0020153+0.0016553i
-0.01363+0.061039i,0.080514+0.091669i,0.23479+0.018715i,0.28863-0.15561i,0.19172-0.24607i,0.089425-0.18957i,0.038115-0.10957i,0.011585-0.04032i,0.014204+0.0076952i,0.0099708+0.0082458i,-0.010994+0.0061368i,-0.0096882+0.015488i,0.0030909+0.017776i,0.012014+0.0084146i,0.015349-0.013027i,0.0024144-0.033206i,-0.010979-0.038986i,-0.0098861-0.026319i,-0.0041771-0.0059272i,0.0009087+0.0050639i,0.0033623+4.8219e-05i,-0.0031463-0.0072805i,-0.013747-0.001582i
-0.12991+0.059388i,-0.37059+0.097828i,-0.63726+0.1178i,-0.64387+0.14692i,-0.3664+0.15971i,-0.10533+0.087218i,-0.020246+0.018107i,-0.0047797+0.026512i,0.020547+0.038629i,0.042418+0.015095i,0.040886-0.019411i,0.018832-0.043574i,-0.007203-0.054261i,-0.027598-0.043706i,-0.028512-0.019218i,-0.014664+0.00243i,-0.0096142+0.014501i,-0.012177+0.018892i,-0.0075275+0.023716i,0.0029723+0.024749i,0.0073063+0.020881i,0.0044031+0.014445i,0.0045505+0.003231i
