-0.0011693-0.00047738i,-0.0014123-0.0004916i,-0.0019354-1.734e-05i,-0.0020633-0.00010262i,-0.0012455-0.00016267i,-0.00034185+0.0011189i,0.00036585+0.0018158i,0.0017516+0.0016163i,0.0021385+0.00027301i,0.0013857-0.00037329i,-0.00033335-0.00040883i,-0.0012652-0.00056719i,-0.0002333-0.00018688i,0.0004959+0.00093287i,-0.00053942+0.00031625i,-0.00025663-0.00082528i,0.00048389-0.00040927i,0.00083037+0.0001042i,0.00073819+0.00045413i,0.0001791+0.001251i,-0.00018065+0.00094993i,9.7683e-05-0.00025774i,0.00051032-0.00083376i
-0.41559+0.5358i,-0.38092+0.78133i,-0.099531+0.70048i,0.072939+0.3732i,0.0041161+0.15827i,-0.035413+0.12533i,0.02766+0.090464i,0.068941+0.013148i,0.05937-0.037708i,0.032781-0.039586i,0.024005-0.015395i,0.03308-0.003408i,0.029633-0.0049838i,0.018122+0.0020646i,0.017355+0.010328i,0.025076+0.0054911i,0.024713-0.0076949i,0.016027-0.011924i,0.012596-0.0047818i,0.016434+5.4831e-05i,0.023128+0.0011111i,0.031383-0.00057061i,0.034434-0.0090367i
0.13307-0.19949i,0.21707-0.23427i,0.17004-0.16789i,0.058195-0.075687i,0.03439-0.047499i,0.073657-0.059049i,0.079737-0.067867i,0.034452-0.063472i,-0.013757-0.033079i,-0.012172+0.012589i,0.01673+0.030452i,0.026429+0.015779i,0.015399-0.002965i,0.0013184-0.011887i,-0.0054212-0.010582i,-0.0072095-0.0078204i,-0.0085587-0.0065697i,-0.0082404-0.0033099i,-0.0068407-0.0001062i,-0.0097859+0.0012971i,-0.015343+0.0046344i,-0.017209+0.011312i,-0.012307+0.017032i
-0.3464-0.3666i,-0.60632-0.44911i,-0.65645-0.3568i,-0.44251-0.19781i,-0.22444-0.10138i,-0.17088-0.061442i,-0.1847-0.007373i,-0.13963+0.057477i,-0.053565+0.065422i,-0.02072+0.013974i,-0.046781-0.015022i,-0.058554+0.0042494i,-0.033286+0.023653i,-0.0081827+0.024565i,-0.0041636+0.019182i,-0.0073487+0.015654i,-0.00061353+0.013365i,0.010968+0.0070421i,0.01283-0.0014056i,0.0045766-0.0050301i,-0.0046056-0.0036152i,-0.010958-0.0020068i,-0.011882-0.0016182i
0.44593+0.54221i,0.7489+0.59389i,0.81479+0.371i,0.57379+0.12356i,0.30234+0.04874i,0.21607+0.048617i,0.1975-0.0017153i,0.13204-0.049295i,0.06148-0.050192i,0.024183-0.034574i,0.018787-0.02523i,0.01948-0.025084i,0.0096571-0.022678i,0.0059911-0.014769i,0.012621-0.011655i,0.012676-0.016207i,0.0015005-0.017808i,-0.010402-0.013645i,-0.0103-0.0087122i,0.001559-0.0081992i,0.014001-0.014854i,0.01792-0.02145i,0.01091-0.019433i
-0.16941-0.2134i,-0.29396-0.25012i,-0.37984-0.11931i,-0.31618+0.028381i,-0.17047+0.029284i,-0.11864-0.02175i,-0.10413-0.0035913i,-0.05907+0.010875i,-0.023245-0.0007169i,0.006109+0.0034025i,0.029963+0.0048563i,0.02798-0.0046043i,0.012479-0.0088517i,-0.0048416-0.0066082i,-0.018858+0.0012599i,-0.019141+0.014161i,-0.010947+0.022257i,-0.0051122+0.021086i,-0.0050056+0.016077i,-0.0071709+0.011801i,-0.0070344+0.0083106i,-0.002623+0.0067681i,0.0050295+0.0058521i
-0.20052+0.14926i,-0.26024+0.23408i,-0.16859+0.16451i,-0.051292+0.014228i,-0.025141-0.029746i,-0.025482+0.010935i,-0.014615+0.038785i,-0.0075305+0.046726i,-0.010381+0.042009i,-0.026732+0.0351i,-0.038295+0.040181i,-0.025206+0.040561i,-0.0034291+0.025276i,0.010523+0.0084982i,0.017485-0.0018579i,0.019976-0.0098088i,0.021497-0.015112i,0.022111-0.015393i,0.015827-0.012025i,0.005412-0.005093i,-0.0034803+0.006234i,-0.009362+0.015618i,-0.012373+0.015008i
0.4513-0.27398i,0.57199-0.41897i,0.4884-0.39362i,0.31165-0.22062i,0.181-0.079487i,0.11575-0.043438i,0.071406-0.061729i,0.039463-0.063851i,0.023393-0.036326i,0.014256-0.018029i,0.0049903-0.017321i,-0.0015581-0.012223i,-0.0029584+0.0011334i,-0.0047666+0.0084829i,-0.0067879+0.0044078i,-0.010816-0.00048919i,-0.018872+0.00061965i,-0.023832+0.0077873i,-0.016726+0.010662i,-0.0070169+0.0048554i,-0.0047111-0.0039716i,-0.0040269-0.010686i,-0.00063627-0.01091i
-0.27857+0.08359i,-0.37997+0.22675i,-0.3227+0.38923i,-0.16017+0.38797i,-0.046731+0.24528i,-0.010446+0.15468i,0.018425+0.1172i,0.020998+0.051524i,-0.0048102-0.0065078i,-0.0070925-0.023668i,0.0058782-0.023781i,0.0035193-0.019895i,-0.0078342-0.014517i,-0.013755-0.0035646i,-0.0096431+0.011786i,0.00022994+0.019639i,0.008569+0.013839i,0.013195+0.0025804i,0.01345-0.003457i,0.013143-0.0036947i,0.01348-0.0041871i,0.011507-0.0076484i,0.0058221-0.011577i
0.048632+0.14628i,0.09072+0.073739i,0.026816-0.15677i,-0.099064-0.27508i,-0.13859-0.20787i,-0.098264-0.16536i,-0.09182-0.15002i,-0.090894-0.065635i,-0.04592+0.015147i,-0.0038987+0.035738i,0.0088973+0.029191i,0.0095704+0.017985i,0.0084521+0.0067843i,0.0077521-0.0067442i,0.0025627-0.018563i,-0.0077253-0.023456i,-0.013842-0.023612i,-0.015732-0.024219i,-0.016822-0.020644i,-0.01298-0.0093036i,-0.00069401+0.0030112i,0.011758+0.012871i,0.013632+0.018529i
-0.12144-0.23252i,-0.1142-0.21983i,-0.018607-0.080407i,0.077122+0.025557i,0.1048+0.049869i,0.08636+0.071391i,0.079008+0.070227i,0.078156+0.025098i,0.063032-0.0095i,0.027976-0.015853i,-0.0064924-0.0031841i,-0.0081125+0.012944i,0.010846+0.015322i,0.015331+0.0092319i,0.0084711+0.005795i,0.0076173+0.0082455i,0.0091767+0.017704i,0.0091035+0.028829i,0.0087248+0.028549i,0.0038908+0.014122i,-0.0060003-0.00272i,-0.012094-0.013423i,-0.0073452-0.015862i
0.035279+0.1824i,0.038319+0.23393i,0.059016+0.21649i,0.075356+0.13568i,0.071327+0.035294i,0.078229-0.03022i,0.080372-0.051151i,0.042058-0.054678i,-0.01625-0.04957i,-0.037576-0.035801i,-0.021824-0.02783i,-0.015582-0.023266i,-0.022291-0.012181i,-0.017605+0.0013333i,-0.0035449+0.0069051i,0.006249+0.0034705i,0.010188-0.005213i,0.010986-0.0122i,0.0079272-0.012421i,0.0027577-0.0093834i,-0.004508-0.0067959i,-0.012633-0.0043444i,-0.01774+0.00064341i
0.16066-0.031239i,0.087039-0.12427i,-0.14628-0.17798i,-0.29915-0.1133i,-0.29472-0.015951i,-0.27732+0.016336i,-0.25199+0.045849i,-0.15516+0.08819i,-0.049835+0.088184i,0.0040758+0.053134i,0.013964+0.01173i,0.0022404-0.010382i,-0.0056185-0.009016i,-0.0057488-0.0067418i,-0.0095782-0.0093274i,-0.01705-0.0088757i,-0.021413-0.0060447i,-0.020997-0.0043784i,-0.015602+0.00039252i,-0.0039741+0.0070833i,0.011557+0.0074446i,0.02297+0.0020905i,0.023837-0.0026528i
-0.10271+0.060877i,0.036896+0.10569i,0.29772+0.086165i,0.39641+0.0015776i,0.31883-0.033183i,0.27845+0.012494i,0.26275+0.0063291i,0.17803-0.047629i,0.083083-0.057845i,0.033587-0.024191i,0.023713+0.016033i,0.037163+0.024975i,0.040382+0.0034074i,0.025129-0.0072412i,0.014279-0.0022444i,0.015176-0.001374i,0.017577-0.0013866i,0.019082+0.0018423i,0.018433+0.0015563i,0.0097413-0.00087865i,-0.0030063+0.002549i,-0.01004+0.0094099i,-0.0088569+0.0063449i
-0.014474-0.073406i,-0.12955-0.050762i,-0.23521+0.0077039i,-0.20705+0.028297i,-0.1287-0.033226i,-0.11848-0.092597i,-0.1225-0.072372i,-0.10074-0.031372i,-0.081941-0.01288i,-0.064578-0.0064572i,-0.045113-0.0092211i,-0.03831-0.0050746i,-0.032488+0.012026i,-0.016508+0.018469i,-0.0036781+0.014876i,-0.00097342+0.015028i,-0.0038528+0.012376i,-0.0094322+0.0017673i,-0.014633-0.0085252i,-0.015914-0.011168i,-0.013697-0.0064676i,-0.0087424+0.0020637i,-0.0024218+0.011782i
0.052947-0.15725i,0.047117-0.17867i,-0.010729-0.092605i,-0.048981+0.03563i,-0.037294+0.13657i,-0.033937+0.18216i,-0.030192+0.17812i,0.0069873+0.14223i,0.046505+0.086682i,0.047836+0.028132i,0.014631-0.004347i,-0.0092563-0.0010334i,-0.0049711+0.0082127i,0.0013041+0.0032069i,-0.0037189-0.0027887i,-0.00836-0.00075518i,-0.0074533+0.004789i,-0.0065857+0.012252i,-0.0043864+0.017163i,0.0030564+0.012735i,0.010621-0.0019686i,0.0090435-0.017972i,0.00082237-0.023603i
0.041299+0.16459i,0.15717+0.099332i,0.26457-0.10716i,0.24143-0.23773i,0.18139-0.22076i,0.19698-0.21973i,0.16067-0.24886i,0.06391-0.20089i,0.017426-0.11305i,0.020426-0.051053i,0.040777-0.016506i,0.053718-0.018088i,0.031835-0.033815i,0.0021451-0.026066i,-0.00575-0.01205i,-0.0025074-0.011901i,0.0030536-0.014958i,0.010684-0.012132i,0.014124-0.005382i,0.010468+0.0020856i,0.007403+0.0088201i,0.0084889+0.009643i,0.0051544+0.0030002i
-0.16718+0.086972i,-0.27322+0.27065i,-0.30198+0.45757i,-0.21737+0.43013i,-0.15615+0.24489i,-0.1689+0.14721i,-0.13358+0.1336i,-0.076386+0.087646i,-0.064417+0.042712i,-0.057537+0.036042i,-0.044858+0.034932i,-0.036468+0.036516i,-0.017397+0.038731i,0.0034244+0.024791i,0.011701+0.0097131i,0.013966+0.0057238i,0.010183+0.0022255i,0.0022822-0.0026757i,-0.0030026-0.0048658i,-0.0049541-0.0028086i,-0.0040882+0.0031085i,-0.00014651+0.0090583i,0.007757+0.013115i
-0.011917-0.1808i,-0.0059531-0.34763i,-0.0037946-0.40694i,-0.0033741-0.28251i,0.02966-0.10564i,0.070398-0.010465i,0.076752+0.011065i,0.069736+0.016202i,0.061563+0.013122i,0.035255-0.0031135i,0.00083346-0.011766i,-0.011152-0.0039635i,-0.0010173+0.0034182i,0.0045855+0.0028497i,-0.0030649+0.001562i,-0.014181+0.0026483i,-0.018021+0.0051682i,-0.012962+0.0051954i,-0.0041798-0.00036084i,0.0017533-0.0092713i,-0.0021799-0.015886i,-0.013967-0.013923i,-0.020235-0.0045535i
0.20471+0.054445i,0.24204+0.036634i,0.16223-0.026654i,0.050796-0.064218i,-0.0069978-0.073899i,-0.030867-0.10499i,-0.056032-0.10905i,-0.057766-0.072269i,-0.034401-0.043822i,-0.0091969-0.029357i,0.013554-0.029899i,0.012717-0.043258i,-0.0097077-0.038963i,-0.016925-0.016244i,-0.0071184-0.0022843i,-0.0014931+0.0011849i,-0.0017021+0.0030698i,-0.0025012+0.0035809i,-0.0041608+0.0018447i,-0.0045098+0.0017952i,0.00061268+0.0018381i,0.0084318-0.0044224i,0.00941-0.01233i
-0.033853+0.15266i,0.028935+0.33013i,0.15174+0.42689i,0.18412+0.32803i,0.094589+0.19937i,0.042587+0.17971i,0.064934+0.15397i,0.041063+0.079541i,-0.015754+0.043776i,-0.022801+0.045713i,-0.0058006+0.047539i,0.0071995+0.047854i,0.017577+0.033874i,0.015355+0.0093182i,0.0074835-0.0046802i,0.0083585-0.0084296i,0.012201-0.0084028i,0.0091666-0.0049917i,0.00020244+0.0020151i,-0.0058417+0.0087533i,-0.0035455+0.010512i,0.0041229+0.00858i,0.01049+0.0031471i
-0.19765-0.1552i,-0.38701-0.30348i,-0.50068-0.37579i,-0.4129-0.28406i,-0.21812-0.15899i,-0.11039-0.11196i,-0.087533-0.069349i,-0.033912-0.011154i,0.026405+0.0030759i,0.021511-0.01242i,-0.014063-0.010488i,-0.022364-0.0017925i,-0.0087654-0.004336i,-0.00081411-0.0063009i,-0.0028175-0.0010232i,-0.005954+0.0078754i,-0.0055358+0.012555i,-0.00081842+0.012239i,0.0067349+0.010795i,0.0079922+0.0055265i,-0.0012987+0.004068i,-0.010562+0.010363i,-0.010921+0.016284i
0.17083-0.082466i,0.32097-0.076366i,0.38635-0.013788i,0.32201+0.021219i,0.20532-0.00050899i,0.11284-0.014299i,0.062379-0.012439i,0.037353-0.021121i,0.020119-0.035617i,0.011029-0.038282i,0.011247-0.037259i,0.00096143-0.034424i,-0.015152-0.016493i,-0.015653+0.0023044i,-0.005117+0.0053182i,0.0023788-0.0026879i,0.0056896-0.0093554i,0.0086605-0.011695i,0.011269-0.010255i,0.01183-0.0059686i,0.011567-0.0063687i,0.005354-0.01336i,-0.0086818-0.017158i
0.048112+0.13999i,0.097459+0.17427i,0.11577+0.12238i,0.068727+0.047078i,0.023843+0.018174i,0.042945-0.0053714i,0.047898-0.051648i,-0.011728-0.051313i,-0.049869+0.0012263i,-0.024709+0.028643i,0.010132+0.019972i,0.027085+0.011374i,0.025495+0.0049744i,0.010636+0.001738i,-0.001859+0.0025163i,-0.007351-0.001966i,-0.012484-0.0091631i,-0.01767-0.012955i,-0.01751-0.011935i,-0.011076-0.007903i,-0.0012843-0.0042728i,0.010009-0.0037422i,0.016873-0.0050438i
-0.20666+0.079422i,-0.40255+0.15178i,-0.50227+0.20876i,-0.39791+0.20098i,-0.2381+0.13871i,-0.17119+0.093684i,-0.11874+0.09545i,-0.024269+0.07241i,0.034162+0.020547i,0.02304+0.0025735i,-0.0069524+0.019719i,-0.01481+0.029i,-0.0053006+0.015368i,0.0019721-0.0025577i,0.002459-0.00558i,0.0042804+0.0084951i,0.0077972+0.023434i,0.0072255+0.02539i,0.0023399+0.014338i,-0.0037888+0.0032908i,-0.0065814+0.0039767i,-0.0026029+0.012226i,0.0050806+0.015495i
0.079565-0.19802i,0.2383-0.353i,0.38376-0.44447i,0.35916-0.40711i,0.23668-0.2864i,0.17372-0.18208i,0.13753-0.1307i,0.071528-0.10239i,0.008996-0.074679i,-0.014422-0.047766i,-0.0095542-0.035008i,-0.010788-0.027442i,-0.01354-0.0061315i,-0.0050429+0.0083168i,0.0012751+0.0031664i,0.00036318-0.0061651i,0.0017818-0.010539i,0.0052445-0.010565i,0.0044854-0.0061182i,0.001957-0.0013726i,-0.0016578-0.0041063i,-0.013608-0.0089604i,-0.025042-0.004281i
0.10301+0.077496i,0.077215+0.16387i,-0.028819+0.24003i,-0.094274+0.24443i,-0.077974+0.17628i,-0.072263+0.092088i,-0.095809+0.052408i,-0.099241+0.072745i,-0.063431+0.095612i,-0.019081+0.070201i,0.001814+0.024829i,0.0069848+0.0023055i,0.0080638-0.0017065i,0.0066183+0.00050128i,0.0042719+0.0033961i,-0.0023027+0.0025394i,-0.010133+0.0012342i,-0.014697+0.0045453i,-0.011535+0.011991i,-0.002709+0.01283i,0.0034453+0.004163i,0.0076141-0.0077623i,0.011173-0.018541i
-0.03474+0.12108i,-0.050375+0.19642i,-0.030599+0.22852i,0.013447+0.19585i,0.030936+0.15695i,0.033496+0.16515i,0.064839+0.15149i,0.096304+0.069913i,0.083524-0.0068443i,0.044035-0.018721i,0.019138+0.010903i,0.015907+0.023232i,0.0089588+0.0047775i,-0.0063502-0.010362i,-0.0099377-0.0094325i,0.0032555-0.0037833i,0.018259-0.0013995i,0.024158-0.0023311i,0.021309-0.0044478i,0.013114-0.0037432i,0.0084343+0.0029116i,0.0128+0.010251i,0.016663+0.010061i
-0.11375-0.15551i,-0.16105-0.34201i,-0.16601-0.49792i,-0.14457-0.48251i,-0.10205-0.36508i,-0.048813-0.28885i,-0.036092-0.23412i,-0.053615-0.16174i,-0.061361-0.093418i,-0.050685-0.047166i,-0.036333-0.029396i,-0.030479-0.022723i,-0.021294-0.0079187i,-0.0051344+0.0020383i,0.0020746+0.0013976i,-0.0044655-0.0027113i,-0.015012-0.0077193i,-0.018525-0.012809i,-0.014565-0.015686i,-0.0088521-0.013477i,-0.0093442-0.0063891i,-0.015259+0.0044679i,-0.014803+0.016478i
0.099919+0.012062i,0.1896+0.17675i,0.25078+0.37304i,0.2364+0.39729i,0.15206+0.28161i,0.051703+0.18849i,-0.0038867+0.1519i,-0.0076297+0.14276i,0.018455+0.11949i,0.03249+0.063236i,0.018903+0.015976i,0.0083866+0.0033063i,0.010652+0.0022323i,0.010645-0.00058236i,0.005848+0.0010104i,0.00097953+0.0089384i,-0.0028945+0.018964i,-0.0049884+0.02342i,-0.0048194+0.019111i,-0.0043925+0.010877i,-0.0034069+0.0016866i,-0.0040083-0.011319i,-0.0083497-0.023306i
0.016293+0.033953i,-0.013504-0.01456i,-0.069075-0.10035i,-0.081748-0.10869i,-0.015483-0.03187i,0.069945+0.0049706i,0.10303-0.033951i,0.08653-0.082288i,0.049843-0.089262i,0.021595-0.053367i,0.02263-0.0125i,0.026575+0.00029571i,0.0095142-0.0021133i,-0.0078826+0.0029543i,-0.0076896+0.0067836i,0.0025391-0.00089666i,0.013731-0.010943i,0.017683-0.015754i,0.010883-0.013509i,0.0043173-0.0063001i,0.0078754-0.0012943i,0.01583-0.0009026i,0.016813+0.001408i
-0.097462+0.043616i,-0.18979+0.018184i,-0.26666-0.016629i,-0.27525-0.040895i,-0.24058-0.085169i,-0.21273-0.11268i,-0.17819-0.086622i,-0.13953-0.04883i,-0.10905-0.014718i,-0.06837+0.011404i,-0.038816+0.014804i,-0.02989+0.013892i,-0.013524+0.015154i,0.0014643+0.0074561i,0.00097643-0.001829i,-0.0063902-0.0024127i,-0.013873+0.0017532i,-0.017579+0.0039533i,-0.013542+0.0047659i,-0.0048804+0.0047306i,-0.0018588+0.0053782i,-0.0036566+0.011484i,9.6867e-05+0.017134i
0.069583-0.053293i,0.24717-0.044808i,0.44743-0.013362i,0.4688-0.011252i,0.32091-0.0027307i,0.19561+0.051842i,0.14235+0.095107i,0.11262+0.10827i,0.092758+0.087398i,0.058114+0.037589i,0.01706+0.005739i,0.0055581-0.001782i,0.011235-0.006814i,0.012076-0.010773i,0.0093469-0.0063553i,0.0092352+0.0015673i,0.01146+0.0042287i,0.012537+0.0053852i,0.012578+0.0049435i,0.0093116+0.0013448i,0.00089202-0.003541i,-0.0098682-0.0077845i,-0.019476-0.010017i
-0.023841-0.0091806i,-0.18045+0.012949i,-0.35735+0.046238i,-0.33785+0.076626i,-0.14887+0.07353i,-0.016795+0.01025i,0.00089024-0.053877i,-0.0085128-0.086312i,-0.017702-0.085933i,-0.018171-0.051792i,0.00070744-0.024631i,0.0072246-0.018077i,-0.0049791-0.0053699i,-0.0082443+0.010378i,-0.0028527+0.01086i,-0.0027359-0.0023059i,-0.0067384-0.014873i,-0.0094356-0.018665i,-0.0090257-0.015435i,-0.0051826-0.011538i,-0.00017657-0.0097208i,0.0078723-0.010335i,0.016492-0.0095572i
0.037866+0.048917i,0.088404+0.063049i,0.12368+0.050471i,0.073431+0.027338i,-0.04171+0.024238i,-0.10794+0.044978i,-0.094894+0.056295i,-0.076332+0.050516i,-0.066955+0.048915i,-0.037518+0.040213i,-0.014305+0.023137i,-0.0080853+0.015935i,-0.002402+0.0068712i,-0.0033953-0.0046048i,-0.0065956-0.0040997i,-0.0056868+0.0056527i,-0.0045575+0.017122i,-0.0057408+0.020737i,-0.0073724+0.014523i,-0.0077863+0.0078074i,-0.005367+0.0073199i,0.0020576+0.01019i,0.0074334+0.0076782i
-0.034616-0.040505i,0.01596-0.13594i,0.08112-0.24476i,0.08886-0.25978i,0.078467-0.18132i,0.090226-0.099543i,0.098614-0.044564i,0.11109-0.0037314i,0.11029-0.0014491i,0.060804-0.015555i,0.010601-0.007921i,-0.0019693-0.0048629i,-0.0014889-0.013262i,-0.0026978-0.015832i,-0.00048014-0.012564i,0.0058946-0.0069735i,0.013034-0.0033099i,0.016768-0.0028002i,0.013612-0.0032566i,0.0059849-0.00024278i,-0.0015135+0.0035238i,-0.010252+0.0038082i,-0.01925+0.0052605i
-0.032916+0.034839i,-0.10596+0.18988i,-0.15538+0.39094i,-0.083637+0.41338i,0.0188+0.22768i,0.01669+0.061345i,-0.031928-0.0024808i,-0.06054-0.040662i,-0.06402-0.052759i,-0.037628-0.032834i,-0.0086524-0.020652i,-0.0028427-0.012752i,-0.0024925+0.0057538i,0.0046+0.016847i,0.0033537+0.011537i,-0.0066316+0.0021949i,-0.012141-0.0037166i,-0.010828-0.0042506i,-0.0055166-0.00077247i,0.00028071+0.0013079i,0.0030739-0.0017986i,0.003736-0.0090186i,0.0057864-0.013996i
0.063354-0.056033i,0.10519-0.18432i,0.1102-0.32522i,0.034446-0.3117i,-0.058607-0.13579i,-0.055418-0.0016882i,-0.02001+0.020324i,-0.028081+0.037002i,-0.02649+0.066269i,-0.00096481+0.053777i,0.010318+0.025465i,0.011347+0.015077i,0.0081527+0.007137i,0.00026918+0.0012781i,-0.0020108+0.0030023i,0.0023287+0.00467i,0.007946+0.0051506i,0.009881+0.0048507i,0.0076265+0.0046934i,0.0065304+0.0050824i,0.0086198+0.0053539i,0.010939+0.0064294i,0.0095781+0.007378i
-0.026582+0.057199i,-0.057226+0.07504i,-0.099614+0.063136i,-0.11005+0.039806i,-0.059728+0.0074008i,-0.014889-0.033552i,0.012369-0.039168i,0.061203-0.03571i,0.071535-0.052361i,0.029186-0.038623i,0.0018532-0.0039147i,-3.6862e-05+0.0063949i,-0.00035312-0.00068951i,-0.0044258-0.0079931i,-0.0058293-0.0091792i,-0.0022149-0.0075592i,-0.0032163-0.0097827i,-0.0071579-0.012674i,-0.0065716-0.012449i,-0.0034572-0.010888i,-0.0020961-0.005218i,-0.0043844+0.003892i,-0.0060825+0.011409i
-0.0062121+0.026464i,0.071545+0.12427i,0.2155+0.22049i,0.3023+0.16796i,0.24086+0.025587i,0.11651-0.018603i,0.032856+0.00085853i,-0.029078-0.005475i,-0.060725-0.0059798i,-0.042046-0.0020108i,-0.02147-0.011245i,-0.014091-0.0095986i,0.00012057+0.0031885i,0.012527+0.0082232i,0.011415+0.0072357i,0.0021606+0.0080221i,-0.0065067+0.010099i,-0.0099164+0.0098339i,-0.0077702+0.0047592i,-0.0061227-0.0023785i,-0.0066874-0.0077461i,-0.0055357-0.013063i,-0.0023467-0.017495i
-0.031644-0.092047i,-0.15201-0.22527i,-0.3231-0.31363i,-0.38006-0.21444i,-0.25948-0.023594i,-0.095934+0.048524i,-0.021801+0.030707i,-0.0024702+0.047759i,0.02578+0.064681i,0.03668+0.036475i,0.024683+0.0066909i,0.012744-0.0062757i,7.24e-05-0.010061i,-0.0071394-0.0062263i,-0.0035583-0.0035772i,0.0026313-0.004739i,0.0083003-0.0042732i,0.0087344-0.00022951i,0.0030009+0.0039352i,-8.3026e-05+0.0047578i,0.0010201+0.001526i,0.0043277-0.0023944i,0.0067931-0.0030545i
0.079637+0.068723i,0.1644+0.13792i,0.23275+0.20721i,0.22537+0.19934i,0.13798+0.1098i,0.04087+0.044625i,0.017585+0.01873i,0.038858-0.031399i,0.020876-0.066419i,-0.0091781-0.035298i,-0.0087532+0.0043525i,-0.003294+0.010285i,-0.0079624+0.0018118i,-0.014876-0.0031875i,-0.015227-0.0017643i,-0.0087576-0.00047993i,-0.0035202-0.00051466i,-0.0014764+0.0014101i,-0.0015632+0.004601i,-0.0036816+0.0077062i,-0.0055097+0.0093336i,-0.0053024+0.010547i,-0.0050067+0.010402i
-0.029579+0.020008i,0.017164+0.0077324i,0.10114-0.085604i,0.11079-0.20766i,0.039438-0.21897i,0.0016267-0.1364i,-0.012283-0.065831i,-0.049014-0.01624i,-0.056335+0.019474i,-0.031554+0.017459i,-0.020649+0.0040119i,-0.012955+0.0069732i,0.0040053+0.0097093i,0.013533+0.0017625i,0.010001-0.0039732i,0.0035897+6.8097e-05i,0.003211+0.004223i,0.0079097+0.0024095i,0.010758-6.756e-05i,0.00806+0.002225i,0.0028078+0.0051906i,-0.0036859+0.0018218i,-0.008232-0.0051751i
-0.084157-0.033848i,-0.2442+0.0077005i,-0.40754+0.13265i,-0.37827+0.2668i,-0.17394+0.27009i,-0.033651+0.14528i,-0.0085087+0.054511i,0.018626+0.040348i,0.050117+0.023763i,0.040232-0.0060346i,0.017015-0.020265i,0.0035612-0.018536i,-0.005388-0.0085282i,-0.0068345+0.00015697i,-0.0038415+8.326e-05i,-0.0035792-0.0046929i,-0.0046625-0.011074i,-0.003285-0.013939i,0.0013738-0.010757i,0.0073663-0.007577i,0.010249-0.0051215i,0.0095137-0.0024543i,0.0085279+0.00068382i
0.11082-0.040132i,0.25535-0.11137i,0.39646-0.18366i,0.39126-0.20875i,0.22728-0.16262i,0.085032-0.063727i,0.048533-0.021018i,0.024041-0.056256i,-0.018537-0.059813i,-0.020847-0.013542i,0.0051053+0.014342i,0.015803+0.013171i,0.010587+0.006839i,0.0024082+0.0080203i,8.5353e-05+0.010838i,0.0016464+0.0078681i,-0.00011047+0.0059646i,-0.0033427+0.0048526i,-0.0056524+0.0001463i,-0.0044796-0.0039833i,0.00095947-0.0028004i,0.0067716+0.0030133i,0.0084823+0.0081184i
-0.021418+0.064303i,-0.064538+0.071289i,-0.15827+0.012518i,-0.25369-0.057366i,-0.24859-0.067358i,-0.15205-0.049492i,-0.07948-0.025407i,-0.051694+0.021048i,-0.020707+0.04046i,-0.0036922+0.016554i,-0.007502+0.0013086i,-0.0026069+0.0020645i,0.010243-0.0026218i,0.014072-0.0098958i,0.0097567-0.0094024i,0.0062336-0.0022515i,0.0034817+0.0013039i,-0.0016706-0.00017032i,-0.0069533-0.0031619i,-0.008641-0.006469i,-0.0068084-0.0086379i,-0.0068333-0.008917i,-0.0079704-0.0092094i
-0.056454+0.022223i,-0.085741+0.13496i,-0.032971+0.30621i,0.1093+0.37387i,0.19953+0.25657i,0.14824+0.10383i,0.073902+0.044814i,0.065714+0.024952i,0.058875-0.0040605i,0.022608-0.01914i,-0.0083647-0.018404i,-0.023372-0.010115i,-0.023756+0.0012774i,-0.014999+0.0036089i,-0.0071098-0.00037376i,-0.005571-0.0018754i,-0.0076834-3.0943e-05i,-0.0071981+0.0063267i,-0.0046872+0.01011i,-0.0046402+0.0052706i,-0.0070341-0.0010022i,-0.0061134-0.0048954i,-0.00057224-0.0059153i
0.033138-0.11425i,0.049705-0.28111i,0.044385-0.47128i,-0.0063513-0.50923i,-0.052679-0.33453i,-0.029638-0.12829i,9.4751e-05-0.049947i,-0.026752-0.045563i,-0.045077-0.016784i,-0.0096924+0.014478i,0.02523+0.014129i,0.028497+0.0021753i,0.016772-0.0027362i,0.0068342+0.0020869i,0.0039365+0.0066918i,0.0061381+0.0045473i,0.010645+0.0027773i,0.014782+0.0044704i,0.01326+0.00791i,0.0077862+0.011808i,0.0039244+0.012155i,0.0026678+0.0089154i,0.0036915+0.0068301i
0.045538+0.079248i,0.046537+0.17353i,-0.024961+0.284i,-0.11832+0.33368i,-0.1349+0.26364i,-0.10031+0.13284i,-0.070938+0.061187i,-0.034754+0.05482i,-0.0057397+0.036424i,-0.010996+0.0095346i,-0.020503+0.0048899i,-0.014234+0.0042914i,-0.0051289-0.0043773i,-0.0020982-0.010294i,-0.0028633-0.0081975i,-0.0014462-0.0041958i,0.00058847-0.0046075i,0.0017297-0.0068767i,0.0040888-0.0061025i,0.0049861-0.0016144i,0.00267+0.0036516i,-0.0029185+0.0056069i,-0.011292+0.0024942i
