-0.00020833+0.00041403i,0.00034017-0.0010238i,-0.001166-0.00086402i,-0.0028607-0.00025042i,-0.0026025-0.00053057i,-0.0015124-0.00024005i,-0.0011147+0.00061073i,-0.0001699+0.00051207i,0.00060522+0.00013515i,0.00034184-0.0005426i,9.4067e-05-0.0014924i,-7.7564e-05-0.0018733i,-0.00060487-0.0015002i,-0.0012047-0.0009572i,-0.00078024-0.00077219i,-0.00082082-0.00063985i,-0.0010093-0.00080609i,-0.00059446-0.00065756i,8.3481e-05+7.4266e-05i,0.0002434+0.00023304i,0.00025128+2.9759e-05i,-9.8796e-06-0.00048304i,-0.00038555-0.0010504i
0.22705+0.35665i,0.64113+0.63354i,0.99682+0.60015i,0.88318+0.23947i,0.44619-0.022455i,0.1632-0.076233i,0.041816-0.090215i,-0.062681-0.029352i,-0.075886+0.05828i,-0.043243+0.069393i,-0.029174+0.058219i,-0.010851+0.046845i,0.0036863+0.024786i,0.017636+0.0024799i,0.021527-0.021644i,0.0027039-0.029784i,-0.012406-0.013842i,-0.0099466+0.0034067i,-0.0047123+0.0091312i,-0.010267+0.0084295i,-0.020628+0.0054872i,-0.029864+0.0018758i,-0.032266+0.0018659i
-0.21961-0.079558i,-0.47251-0.12986i,-0.64857-0.10801i,-0.54425-0.003755i,-0.27218+0.085722i,-0.11942+0.12108i,-0.080753+0.11912i,-0.046818+0.063806i,-0.029661-0.001995i,-0.020202-0.02905i,-0.0020496-0.034225i,0.0085189-0.033916i,0.013403-0.019957i,0.024994+0.0041414i,0.045962+0.018649i,0.062667+0.012188i,0.05807-0.0039637i,0.03048-0.014854i,0.0006034-0.01333i,-0.0050535-0.0058207i,0.0029139-0.0041835i,0.0067435-0.0058621i,0.0075605-0.0087573i
-0.24344+0.016347i,-0.41828+0.13073i,-0.37073+0.28702i,-0.12476+0.33383i,0.010588+0.2281i,0.0017703+0.088691i,-0.0063163-0.013907i,-0.031413-0.068691i,-0.054534-0.049734i,-0.024771-0.010723i,0.0058443+0.00055283i,0.01376+0.0080922i,0.0072275+0.014363i,-0.016035+0.017354i,-0.039983+0.022845i,-0.053489+0.023487i,-0.055866+0.017547i,-0.046832+0.010801i,-0.031972+0.0092577i,-0.015456+0.014358i,0.0043623+0.017591i,0.016725+0.014879i,0.017319+0.015728i
0.28907-0.26729i,0.48974-0.55079i,0.42211-0.70546i,0.067808-0.58419i,-0.17424-0.35927i,-0.15465-0.21746i,-0.075709-0.10893i,0.00089843-0.0033508i,0.052276+0.026354i,0.032619+0.017536i,-0.0061621+0.029557i,-0.023411+0.04129i,-0.022066+0.034092i,-0.017408+0.0085488i,-0.027057-0.010692i,-0.036193-0.001204i,-0.026872+0.014835i,-0.010167+0.0096887i,-0.0069207-0.0059675i,-0.01659-0.0025341i,-0.022882+0.014634i,-0.024643+0.02146i,-0.023636+0.017304i
-0.066749+0.074506i,-0.12873+0.1859i,-0.084106+0.24046i,0.088868+0.14277i,0.20353+0.019457i,0.18761+0.012125i,0.13854+0.015097i,0.058589-0.045407i,-0.03193-0.061368i,-0.055129-0.030106i,-0.036936-0.022645i,-0.025998-0.024388i,-0.01039-0.012836i,0.025847+0.00064228i,0.070464-0.0042113i,0.090397-0.030991i,0.075535-0.051662i,0.04904-0.043606i,0.029239-0.02704i,0.013806-0.02407i,-0.0017337-0.021074i,-0.0070665-0.012714i,-0.007612-0.006369i
0.11062+0.11986i,0.18161+0.25327i,0.15752+0.33449i,0.078734+0.34103i,0.068666+0.32279i,0.091045+0.23248i,0.056287+0.10928i,0.016406+0.07443i,0.036395+0.065385i,0.054924+0.01301i,0.030609-0.028766i,0.0026506-0.034792i,-0.01483-0.02417i,-0.03474-0.0082564i,-0.058336+0.0083176i,-0.07391+0.02103i,-0.068917+0.018294i,-0.043876+0.0026992i,-0.014065-0.011639i,0.00024359-0.020414i,-0.0013217-0.025921i,-0.0059284-0.025401i,-0.005443-0.017072i
-0.111-0.18653i,-0.2272-0.35034i,-0.28258-0.37929i,-0.31015-0.23534i,-0.3871-0.099646i,-0.38885-0.020334i,-0.23453+0.021004i,-0.081543-0.018201i,-0.044629-0.05372i,-0.031908-0.015824i,0.01201+0.021661i,0.034491+0.023804i,0.020569+0.015811i,-0.0020536+0.013136i,-0.010984+0.018688i,0.0021256+0.025277i,0.018076+0.027511i,0.015585+0.024076i,0.0021928+0.02103i,-0.004369+0.023869i,-0.00276+0.026405i,-0.002231+0.024553i,-0.0089446+0.019682i
0.035596+0.11739i,0.038623+0.18618i,0.014245+0.096635i,0.017783-0.14927i,0.067366-0.29641i,0.081937-0.22721i,0.031529-0.082084i,-0.018927+0.019773i,-0.026414+0.059671i,-0.016324+0.046917i,-0.014577+0.013001i,-0.014916-0.013687i,-0.0032111-0.025502i,0.022387-0.04056i,0.04276-0.071288i,0.043998-0.094576i,0.041711-0.089336i,0.043843-0.061417i,0.039859-0.031208i,0.027131-0.015595i,0.010146-0.015381i,-0.0058702-0.023247i,-0.013368-0.029183i
0.072987-0.08264i,0.21023-0.11804i,0.36642-0.027163i,0.46083+0.13975i,0.45428+0.16897i,0.31772+0.047307i,0.14446-0.034358i,0.075829-0.039199i,0.070241-0.05532i,0.044043-0.059002i,0.021834-0.024739i,0.017571+0.0031893i,0.0048156+0.014694i,-0.017648+0.036424i,-0.02969+0.074083i,-0.021659+0.1004i,-0.0078866+0.08962i,0.0012176+0.050898i,0.0066936+0.01169i,0.0062557-0.014639i,-0.0016914-0.023187i,-0.0079392-0.016117i,-0.0065134-0.011485i
-0.13248+0.066812i,-0.27167+0.10366i,-0.37446+0.074415i,-0.41209+0.064698i,-0.40536+0.17503i,-0.29988+0.25275i,-0.15991+0.16732i,-0.12164+0.062708i,-0.11224+0.055185i,-0.053375+0.060578i,-0.0045418+0.030641i,0.0062948+0.0088565i,0.0063338+0.0054599i,0.01295-0.00096i,0.020386-0.011278i,0.020985-0.0080103i,0.016271+0.014984i,0.0090587+0.039121i,-0.00071865+0.046329i,-0.0038529+0.042579i,0.0083647+0.034459i,0.022043+0.021449i,0.025437+0.012396i
0.08094-0.02242i,0.13282+0.045416i,0.13804+0.15185i,0.090198+0.102i,0.036787-0.1131i,-0.0088054-0.21018i,0.0044792-0.12779i,0.067942-0.064474i,0.077909-0.057496i,0.027182-0.031399i,-0.022096+0.0088681i,-0.040201+0.026742i,-0.033622+0.012906i,-0.030144-0.017451i,-0.041065-0.043028i,-0.050656-0.048488i,-0.04184-0.03752i,-0.021572-0.020354i,-0.0032919-0.0045124i,0.0052371+4.0376e-05i,-0.0025953-0.0066521i,-0.018883-0.01587i,-0.027605-0.021781i
-0.07806-0.12254i,-0.16227-0.27723i,-0.14667-0.39562i,0.001638-0.33982i,0.11774-0.18771i,0.098194-0.11853i,0.016861-0.090952i,-0.022728-0.042252i,-0.018127-0.01432i,-0.0020041-0.010266i,0.018522-0.017628i,0.030082-0.029178i,0.03056-0.019439i,0.040324+0.01532i,0.05596+0.048655i,0.049433+0.057658i,0.016481+0.045577i,-0.013867+0.022936i,-0.023052-0.0022232i,-0.02267-0.019255i,-0.020478-0.023628i,-0.0098036-0.019294i,0.0025965-0.010956i
0.11103+0.04977i,0.15992+0.13258i,0.078497+0.24495i,-0.064573+0.34915i,-0.069968+0.3886i,0.041645+0.31184i,0.077612+0.17616i,0.037842+0.11088i,0.025544+0.09317i,0.021443+0.051033i,0.0029991+0.014114i,-0.0068366+0.005095i,-0.0059722+0.003109i,-0.0077645-0.0083173i,-0.018713-0.020097i,-0.024915-0.01715i,-0.016309-0.0037724i,-0.0065221+0.0077738i,-0.0040703+0.016277i,0.0076167+0.020139i,0.031811+0.0077263i,0.045427-0.011341i,0.042835-0.018335i
0.04021-0.03311i,0.15896-0.085634i,0.28949-0.17865i,0.24184-0.29411i,0.010572-0.3313i,-0.14686-0.22311i,-0.12173-0.12149i,-0.077624-0.1133i,-0.088316-0.093772i,-0.074071-0.027943i,-0.022376+0.021045i,0.013603+0.030907i,0.016603+0.026809i,0.005197+0.027238i,-0.0058096+0.018612i,-0.016359-0.0092294i,-0.025386-0.037472i,-0.02405-0.042608i,-0.0089055-0.030303i,0.0036583-0.016022i,0.0008878-0.00011622i,-0.0073877+0.011915i,-0.01372+0.013118i
-0.11171+0.11331i,-0.29346+0.25557i,-0.42867+0.37029i,-0.31692+0.36141i,-0.068982+0.25081i,0.045031+0.12453i,0.036939+0.07615i,0.041153+0.07803i,0.066065+0.047705i,0.057504-0.013382i,0.013248-0.057038i,-0.025237-0.058715i,-0.03013-0.036175i,-0.0084229-0.02021i,0.016645-0.016266i,0.026904-0.0098207i,0.01863+0.0019291i,0.0037506+0.0029058i,-0.01081-0.0070865i,-0.023299-0.011068i,-0.024245-0.0057248i,-0.012436+7.0703e-06i,0.0026468-0.00021307i
0.021595-0.12063i,0.071017-0.23103i,0.13518-0.26815i,0.14773-0.1798i,0.12208-0.085806i,0.1134-0.054136i,0.097402-0.039092i,0.055687-0.022091i,0.01445-0.00063616i,-0.0085638+0.027852i,-0.0059932+0.05283i,0.0081419+0.055711i,0.005672+0.042229i,-0.013909+0.036452i,-0.023779+0.04353i,-0.0055281+0.044226i,0.025107+0.028627i,0.038022+0.011899i,0.033619+0.0099688i,0.0325+0.014004i,0.033731+0.00724i,0.02803-0.0014962i,0.018762-0.0013137i
-0.0020611-0.048266i,-0.022637-0.14149i,-0.09196-0.26189i,-0.20561-0.28204i,-0.26247-0.13131i,-0.22217+0.042378i,-0.15461+0.094395i,-0.10983+0.072373i,-0.078023+0.057243i,-0.03154+0.042409i,0.0025682+0.013222i,0.0034596-0.0077724i,-0.0024332-0.011832i,0.0011078-0.013583i,-0.0009971-0.020737i,-0.014352-0.026114i,-0.023261-0.02373i,-0.013195-0.01809i,0.0055299-0.01815i,0.012454-0.02094i,0.007258-0.010326i,0.00029096+0.007559i,-0.0046849+0.016912i
0.10399+0.094082i,0.24737+0.28673i,0.43304+0.48474i,0.54281+0.45208i,0.46147+0.21398i,0.25872+0.028726i,0.11764-0.025452i,0.081448-0.045346i,0.061658-0.075i,0.011453-0.07836i,-0.034268-0.046872i,-0.046478-0.015023i,-0.039679-0.0058344i,-0.035362-0.006699i,-0.029444-0.0017328i,-0.014849+0.011712i,-0.001417+0.024129i,-0.001635+0.024811i,-0.014767+0.021686i,-0.02929+0.022533i,-0.034912+0.020165i,-0.029439+0.010349i,-0.018806+0.0016397i
-0.12623-0.037527i,-0.31504-0.10184i,-0.5077-0.16151i,-0.55718-0.13003i,-0.45368-0.04959i,-0.29709-0.025199i,-0.18166-0.0289i,-0.12082+0.0072179i,-0.064595+0.057513i,0.0037135+0.068763i,0.056336+0.037758i,0.066328-0.0033831i,0.047781-0.017784i,0.033635-0.0074851i,0.032502+0.0029965i,0.030193+0.0039679i,0.020427+0.002875i,0.01087+0.0093625i,0.013255+0.018532i,0.028204+0.017619i,0.038463+0.0008925i,0.033065-0.015685i,0.020908-0.01743i
0.0057952-0.048139i,-0.0057164-0.082524i,-0.023336-0.071961i,-0.0063456-0.020726i,0.047954+0.017068i,0.073514+0.040906i,0.060226+0.051097i,0.033872+0.031518i,0.0054421+0.0084301i,-0.014298-0.0010952i,-0.022671+0.0007902i,-0.014625+0.0090326i,0.00088116+0.0042994i,-0.0005996-0.016163i,-0.023198-0.029232i,-0.04876-0.022981i,-0.054662-0.010765i,-0.037939-0.010813i,-0.020807-0.024169i,-0.018728-0.031523i,-0.020239-0.019896i,-0.016339-0.0034065i,-0.013978+0.0039166i
0.11748-0.070577i,0.29-0.17693i,0.44947-0.30195i,0.43931-0.34913i,0.27888-0.2868i,0.11611-0.20745i,0.01523-0.16106i,-0.034359-0.11852i,-0.049344-0.081481i,-0.05188-0.046378i,-0.044708-0.012025i,-0.031835+0.0057452i,-0.023758+0.014181i,-0.012204+0.023946i,0.004939+0.027716i,0.017189+0.021613i,0.014856+0.012004i,0.00012859+0.0076025i,-0.013425+0.01466i,-0.017464+0.029013i,-0.014979+0.034571i,-0.010322+0.024307i,-0.0061592+0.011734i
-0.021808+0.13808i,-0.092874+0.3559i,-0.20105+0.59118i,-0.25329+0.66964i,-0.2011+0.54468i,-0.10471+0.33013i,-0.028274+0.1668i,0.017683+0.09477i,0.044417+0.062514i,0.054889+0.021756i,0.039986-0.020678i,0.012678-0.03674i,0.0049837-0.029583i,0.01591-0.027723i,0.024089-0.035332i,0.024295-0.040013i,0.024581-0.034896i,0.029289-0.021477i,0.035411-0.013673i,0.037808-0.022988i,0.03118-0.038506i,0.019681-0.040151i,0.011341-0.030633i
-0.065809-0.027754i,-0.11599-0.086384i,-0.096954-0.20904i,-0.037381-0.34537i,-0.018554-0.35261i,0.008742-0.216i,0.053829-0.10034i,0.031553-0.074477i,-0.026669-0.045362i,-0.03531+0.0091879i,-0.0062326+0.040515i,0.021189+0.035556i,0.023496+0.015801i,0.00078586+0.010778i,-0.024077+0.020916i,-0.036408+0.026986i,-0.037+0.016439i,-0.033869-0.0046652i,-0.035785-0.017376i,-0.040845-0.010223i,-0.036294+0.0083135i,-0.023675+0.021116i,-0.013885+0.023449i
-0.041611-0.095637i,-0.11679-0.19709i,-0.18841-0.21721i,-0.15723-0.10319i,-0.050448-0.0060173i,-0.022726+0.0067943i,-0.051847+0.025102i,-0.022153+0.043507i,0.014114+0.013175i,0.0022176-0.013113i,-0.01362-0.0050887i,-0.017089+0.014263i,-0.010455+0.032694i,0.011581+0.038244i,0.036764+0.025846i,0.048559+0.010035i,0.043293+0.0073247i,0.03061+0.015443i,0.02421+0.022819i,0.026896+0.023254i,0.025609+0.014399i,0.015215-5.7224e-05i,0.0072902-0.011359i
0.13022+0.0020105i,0.31615+0.033199i,0.46151+0.10601i,0.41627+0.17627i,0.24174+0.1913i,0.10925+0.14452i,0.059192+0.06712i,0.036889+0.015276i,0.032854-0.0070134i,0.026867-0.021323i,0.0056272-0.022027i,-0.010301-0.013205i,-0.017598-0.012852i,-0.024233-0.019991i,-0.028371-0.02391i,-0.024362-0.025235i,-0.010276-0.027375i,0.0070336-0.027344i,0.014887-0.027431i,0.011091-0.032325i,0.0043566-0.03808i,0.00169-0.036844i,-0.00026052-0.02815i
-0.030763+0.051222i,-0.12035+0.096942i,-0.27053+0.046475i,-0.40282-0.090712i,-0.40011-0.14855i,-0.25877-0.097934i,-0.13078-0.044317i,-0.098438+0.00097043i,-0.076248+0.050497i,-0.018372+0.0564i,0.024516+0.016345i,0.027312-0.020631i,0.0099266-0.023345i,-0.0035507+0.00051221i,-0.0071438+0.029665i,-0.0093409+0.047889i,-0.016712+0.049718i,-0.025206+0.040965i,-0.028012+0.032145i,-0.019755+0.033956i,-0.0013056+0.041193i,0.01342+0.040483i,0.018254+0.031964i
-0.058206+0.0033852i,-0.10057+0.058006i,-0.008931+0.14411i,0.22083+0.14597i,0.32295+0.021904i,0.19314-0.061326i,0.06778-0.036709i,0.057791-0.038757i,0.040232-0.073473i,-0.011736-0.057578i,-0.035755-0.013641i,-0.023148+0.015366i,0.0029607+0.018994i,0.019596+2.0786e-05i,0.02142-0.024431i,0.020479-0.034439i,0.024874-0.025182i,0.029919-0.009925i,0.028023-0.0040583i,0.016523-0.0087981i,-0.0012725-0.012713i,-0.017202-0.011785i,-0.022874-0.0074687i
0.007522-0.1154i,-0.0057279-0.27511i,-0.07264-0.37931i,-0.151-0.26078i,-0.12549-0.030848i,-0.034553+0.051112i,-0.012905+0.01377i,-0.038023+0.013534i,-0.03013+0.035964i,-0.0014287+0.030485i,0.011294+0.014292i,0.0033244+0.0010973i,-0.015284-0.0045519i,-0.030485-0.0019597i,-0.037592+0.0030347i,-0.037608+0.0040281i,-0.033039-0.0040935i,-0.025733-0.012548i,-0.016849-0.014758i,-0.010117-0.017941i,-0.0072662-0.023965i,-0.0016499-0.027529i,0.0054447-0.024367i
0.076662+0.035054i,0.15535+0.1084i,0.16835+0.18734i,0.064557+0.19035i,-0.041781+0.12823i,-0.032527+0.077898i,0.016415+0.047683i,0.025166+0.039736i,0.025661+0.04756i,0.033328+0.031332i,0.025641-0.0032779i,0.0066473-0.01769i,0.001653-0.010468i,0.012419+0.0018997i,0.024016+0.012805i,0.026607+0.022442i,0.018965+0.030955i,0.0078484+0.032281i,0.00064915+0.027963i,0.0054956+0.025062i,0.022589+0.022738i,0.0337+0.018465i,0.027854+0.009717i
-0.0054216+0.051463i,0.028193+0.087955i,0.13534+0.027663i,0.24561-0.15752i,0.20761-0.27902i,0.067086-0.2137i,-0.0015588-0.12183i,-0.017663-0.11786i,-0.057954-0.11333i,-0.07831-0.044726i,-0.046025+0.021761i,-0.0030837+0.03367i,0.014083+0.015828i,0.011879-0.0056092i,0.00018211-0.025186i,-0.010923-0.036161i,-0.0082758-0.037981i,-0.00052253-0.033079i,0.00076174-0.021136i,-0.0051136-0.0034467i,-0.014987+0.015724i,-0.022228+0.026002i,-0.020543+0.025661i
-0.096337-0.0083836i,-0.25701+0.03219i,-0.40593+0.19251i,-0.35919+0.42068i,-0.13529+0.4796i,0.018039+0.31613i,0.033609+0.17123i,0.042386+0.1266i,0.067199+0.08124i,0.060763+0.020303i,0.033801-0.01261i,0.0056822-0.010761i,-0.012492+0.0083165i,-0.016982+0.024815i,-0.012381+0.030944i,-0.0076647+0.02863i,-0.010434+0.021012i,-0.01132+0.012274i,-0.0066714+0.001083i,-0.005286-0.014928i,-0.010957-0.030986i,-0.014874-0.039357i,-0.011507-0.036773i
0.045366-0.096251i,0.1105-0.2314i,0.14185-0.37286i,0.053511-0.39344i,-0.072114-0.26728i,-0.076147-0.11485i,-0.012545-0.042672i,0.0098516-0.019431i,0.013052-0.0044273i,0.0082636-0.010237i,-0.012069-0.017317i,-0.020975-0.014202i,-0.014978-0.015964i,-0.0023243-0.016812i,0.01382-0.012781i,0.022619-0.0069736i,0.022356+0.00029721i,0.015766+0.0039848i,0.0062833+0.0052747i,0.0055025+0.0080307i,0.016352+0.0079258i,0.024559+0.0047463i,0.021418+0.0053634i
0.063483+0.015227i,0.12353+0.029309i,0.13269-0.006416i,0.046947-0.097339i,-0.065503-0.1347i,-0.14015-0.073143i,-0.15645-0.013704i,-0.14239-0.0028941i,-0.12015+0.0087925i,-0.070309+0.036089i,-0.012694+0.038379i,0.012229+0.012549i,0.0086919-0.0056558i,-0.0044091-0.010007i,-0.021049-0.0080928i,-0.030286-0.0050649i,-0.02496-0.008151i,-0.013099-0.011737i,-0.0023043-0.010185i,0.0037529-0.0019241i,0.0042969+0.015194i,0.0049507+0.031131i,0.0085051+0.029673i
-0.010695+0.076208i,0.002834+0.23224i,0.12079+0.41747i,0.31513+0.46135i,0.3847+0.30749i,0.28071+0.10447i,0.16552+0.011189i,0.12015-0.0064921i,0.09373-0.02522i,0.053228-0.042842i,0.01546-0.041909i,-0.0018551-0.023236i,-0.0011375-0.0042391i,0.0045046+0.010257i,0.011807+0.015668i,0.016173+0.012244i,0.013996+0.0086022i,0.0098015+0.004134i,0.0027747-0.0031803i,-0.014761-0.013477i,-0.039074-0.023783i,-0.051987-0.03011i,-0.046623-0.02769i
-0.082641-0.055458i,-0.24684-0.15142i,-0.48212-0.24133i,-0.62706-0.21289i,-0.53544-0.099769i,-0.28922-0.03345i,-0.11622-0.03149i,-0.060318-0.017177i,-0.033592+0.010179i,-0.016675+0.018591i,-0.0068353+0.021253i,0.0021612+0.016518i,0.0029572+0.0038628i,5.3122e-05-0.0085664i,-0.0028208-0.01637i,-0.0042739-0.013514i,-0.0018265-0.0037798i,0.0020927+0.0079605i,0.0084965+0.016519i,0.023229+0.013725i,0.039602-0.0027059i,0.039648-0.018408i,0.026878-0.016049i
0.050589-0.057018i,0.13799-0.12708i,0.23408-0.1771i,0.25433-0.17464i,0.17068-0.12589i,0.048306-0.025598i,-0.017099+0.050759i,-0.034522+0.045233i,-0.039691+0.032874i,-0.013226+0.039522i,0.014887+0.026635i,0.016726+0.0091203i,0.012778+0.0033172i,0.0050016+0.0038765i,-0.0053102+0.011831i,-0.0092208+0.016772i,-0.01152+0.0093448i,-0.012398-0.001814i,-0.0088913-0.008921i,-0.0014576-0.0090954i,0.0098351-0.0012404i,0.020653+0.0055353i,0.021833+0.0025604i
0.062662+0.022091i,0.17074+0.052252i,0.29853+0.046191i,0.35265-0.028188i,0.2851-0.10044i,0.1664-0.13189i,0.085989-0.13371i,0.048757-0.10824i,0.021113-0.085556i,-0.013055-0.064793i,-0.033316-0.03009i,-0.027622+0.0019813i,-0.011997+0.016059i,0.0053597+0.014955i,0.01667+0.0012336i,0.014351-0.012538i,0.0075193-0.013133i,0.0022069-0.0056169i,-0.0039642+0.0040579i,-0.013656+0.016808i,-0.026654+0.028013i,-0.035245+0.028741i,-0.030453+0.02132i
-0.058479+0.062725i,-0.17742+0.20042i,-0.33006+0.40545i,-0.37541+0.5451i,-0.24724+0.47916i,-0.08296+0.26972i,-0.0042232+0.11647i,0.025891+0.070141i,0.037485+0.051684i,0.025844+0.029838i,0.015539+0.011389i,0.0080662-0.0035287i,-0.0040047-0.009115i,-0.01377-0.0089235i,-0.018728-0.0043704i,-0.015549+0.0048772i,-0.0041143+0.00922i,0.0072253+0.0066593i,0.013894+0.00085261i,0.019233-0.01318i,0.024213-0.032354i,0.023689-0.039014i,0.017365-0.029378i
-0.036958-0.068994i,-0.073313-0.19686i,-0.069153-0.39698i,-0.044118-0.51459i,-0.045534-0.38829i,-0.039913-0.13128i,-0.014274+0.019636i,-0.020097+0.030741i,-0.029383+0.019008i,-0.0033558+0.010918i,0.01014-0.0041143i,0.0021404-0.0092552i,-0.0038599-0.0074569i,-0.0030405-0.0011034i,0.0045035+0.0066987i,0.0074738+0.0059583i,-0.00049792+0.0025723i,-0.011775+0.00178i,-0.020455+0.0017i,-0.022391+0.0072619i,-0.012358+0.014113i,0.0029611+0.011047i,0.008469+0.0042552i
0.045304-0.043693i,0.097412-0.087591i,0.12888-0.078185i,0.10743-0.012i,0.041449+0.016889i,-0.032711-0.010314i,-0.073729-0.020187i,-0.061749-0.0034523i,-0.04015-0.0017289i,-0.037299+0.00061178i,-0.024428+0.012008i,-0.0040185+0.01554i,0.008754+0.01322i,0.014017+0.0019125i,0.0050873-0.014723i,-0.0082656-0.019861i,-0.01052-0.014337i,-0.0039882-0.0082222i,0.0037968-0.0042106i,0.0091511+0.0034471i,0.0079895+0.017124i,0.00079275+0.026808i,-0.003464+0.023171i
0.05588+0.048389i,0.13918+0.14775i,0.23218+0.27854i,0.26854+0.31665i,0.2123+0.19959i,0.12352+0.050327i,0.075311-0.023874i,0.060197-0.036623i,0.051789-0.024284i,0.038132-0.010637i,0.018863-0.011776i,-0.00077981-0.018221i,-0.0148-0.013931i,-0.018771+0.0015424i,-0.0092591+0.01725i,0.0062324+0.021805i,0.013364+0.013135i,0.011469+0.00035814i,0.0062959-0.010319i,-0.0054287-0.023826i,-0.019167-0.036284i,-0.023029-0.03545i,-0.016404-0.022358i
-0.061051+0.015817i,-0.19824+0.016686i,-0.38713-0.047149i,-0.49417-0.12803i,-0.40266-0.09714i,-0.2019+0.002712i,-0.085607+0.042902i,-0.078665+0.040145i,-0.073232+0.033849i,-0.03862+0.017692i,-0.012906+0.011064i,-0.00090295+0.012102i,0.0045832+0.0075549i,0.008141+0.0030346i,0.011412-0.0036465i,0.0076104-0.0090307i,0.0007545-0.0058833i,-0.001373+0.0046603i,0.0022236+0.016538i,0.010572+0.024895i,0.018902+0.025776i,0.020415+0.015866i,0.014803+0.0044633i
-0.021242-0.052834i,-0.0096556-0.094095i,0.083783-0.084892i,0.22512-0.023784i,0.2472+0.0024494i,0.11634-0.0047766i,0.019158+0.010855i,0.019901+0.0090609i,0.015579-0.0071694i,-0.0031675+0.0014909i,-0.0012219+0.0093645i,0.0075806+0.0041367i,0.0099674-0.0038165i,-0.00013937-0.011348i,-0.018037-0.0082739i,-0.02571+0.0022287i,-0.019206+0.0057368i,-0.0089506+1.5846e-05i,-0.0023176-0.0092897i,0.001462-0.015517i,0.0064308-0.01333i,0.010398-0.0060032i,0.006499-0.0017723i
0.04955-0.035373i,0.1177-0.086756i,0.14106-0.15103i,0.061344-0.16923i,-0.034504-0.13699i,-0.059168-0.13191i,-0.04452-0.15275i,-0.028316-0.1384i,-0.0031342-0.090624i,0.0078433-0.04983i,-0.0081414-0.023999i,-0.024902-0.0042853i,-0.025683+0.01107i,-0.0093513+0.018547i,0.014242+0.013752i,0.027918+0.0023796i,0.02429-0.0046973i,0.011153-0.0050258i,-0.0020846+0.0002249i,-0.01384+0.0060515i,-0.024155+0.0067491i,-0.024746+0.0046565i,-0.013273+0.002902i
0.017758+0.056234i,0.010097+0.15964i,-0.038274+0.28583i,-0.082365+0.3316i,-0.041398+0.26828i,0.053622+0.17743i,0.076813+0.12478i,0.033641+0.11136i,0.0023223+0.088604i,-0.0036037+0.046861i,0.0069635+0.015789i,0.015529-0.0025196i,0.012472-0.013424i,0.0046871-0.018603i,-0.0065129-0.019293i,-0.01464-0.012979i,-0.010961-0.0038332i,0.0010385+0.0010656i,0.013197+0.0021411i,0.02451+0.0015696i,0.031448-0.002025i,0.025929-0.0054535i,0.014887-0.0049408i
-0.039566+0.00022964i,-0.073428-0.028991i,-0.022704-0.10969i,0.1012-0.22177i,0.13243-0.24096i,0.071188-0.13448i,0.062923-0.053471i,0.074529-0.053755i,0.044151-0.049597i,0.017836-0.02391i,0.0070353-0.014352i,0.0013287-0.015152i,-0.001617-0.012109i,-0.0070233-0.00030315i,-0.0092344+0.017299i,-0.0058565+0.025496i,-0.0040864+0.021093i,-0.0067562+0.012754i,-0.014634+0.0033711i,-0.024527-0.0039458i,-0.02717-0.0058545i,-0.021561-0.0042413i,-0.01615-0.00064232i
-0.014993-0.048851i,-0.067964-0.085538i,-0.16281-0.04571i,-0.24347+0.10044i,-0.24133+0.19465i,-0.19675+0.13302i,-0.17081+0.042882i,-0.12593+0.0063427i,-0.059495-0.011174i,-0.02061-0.013228i,-0.0090569+0.0048267i,-0.0027974+0.018645i,0.0057164+0.019784i,0.017108+0.0075056i,0.021064-0.01489i,0.015347-0.02809i,0.0076845-0.023625i,0.0047673-0.01083i,0.0080715+0.00033263i,0.0099318+0.0061085i,0.0081684+0.0074575i,0.0069274+0.0050687i,0.0069139+2.6207e-05i
0.057291-0.015375i,0.15404-0.022854i,0.25546-0.037342i,0.27991-0.06904i,0.23563-0.10055i,0.19131-0.071431i,0.16589+0.01305i,0.13084+0.072801i,0.079081+0.078572i,0.03873+0.0514i,0.02346+0.015061i,0.013038-0.007578i,-0.0010566-0.011509i,-0.011517-0.0053062i,-0.016005+0.0055855i,-0.014557+0.01314i,-0.010127+0.011517i,-0.0052344+0.0026483i,0.00060907-0.0082725i,0.0074834-0.017881i,0.012709-0.022113i,0.011736-0.018354i,0.0068768-0.011214i
-0.0030574+0.040359i,-0.022268+0.077752i,-0.077027+0.048621i,-0.14239-0.048174i,-0.15266-0.081422i,-0.11023-0.043625i,-0.066376-0.049944i,-0.053415-0.070382i,-0.046985-0.049192i,-0.032346-0.021202i,-0.023461-0.0035805i,-0.014454+0.005641i,-0.0042439+0.0074894i,0.0057179+0.012274i,0.01677+0.018134i,0.020671+0.018668i,0.015287+0.016174i,0.0062687+0.016548i,-0.0022732+0.021871i,-0.0078597+0.026718i,-0.0088201+0.025995i,-0.0070231+0.020571i,-0.0052284+0.014077i
