-0.0013102+0.000607i,-0.0015078+0.00074542i,-0.0039218-0.00064524i,-0.0060382-0.0028359i,-0.0054251-0.002156i,-0.0023887+0.00077731i,8.9689e-05+0.001968i,0.0010067+0.0015862i,0.0013531+0.00091071i,0.0012225+7.4385e-07i,8.8641e-05-0.00036061i,-0.00045932-0.00055727i,0.00024095-0.00061669i,0.00029502-0.00051341i,-0.00052389-0.00060269i,-0.00087074-5.533e-05i,-0.00049006-0.00027728i,-0.00029838-0.00062145i,0.00029625-0.0009613i,0.00072464-0.0011115i,-0.00041842-0.00034185i,-0.00058042-0.00027042i,0.0002582-0.00023627i
-0.019228-0.19683i,-0.02422-0.21727i,-0.025588-0.13955i,-0.047841-0.073946i,-0.063614-0.053509i,-0.037371-0.043384i,-0.012558-0.027537i,-0.0067182-0.0081752i,-0.0028127-0.002494i,-0.0035151-0.010057i,-0.0052968-0.013839i,-0.0058549-0.012125i,-0.010162-0.0081923i,-0.015066-0.005102i,-0.017504-0.0040338i,-0.017779-0.0030137i,-0.017139-0.0014682i,-0.015716+0.0018169i,-0.012734+0.0057001i,-0.0092948+0.0031603i,-0.0072473-0.0067712i,-0.0054779-0.015316i,-0.0034071-0.01521i
-0.1573+0.12454i,-0.1669+0.16552i,-0.1219+0.15573i,-0.070672+0.10342i,-0.034126+0.054685i,-0.021262+0.028469i,-0.01398+0.015487i,0.0024867+0.0056995i,0.0068227-0.0035369i,-0.002843-0.0019342i,-0.0055072+0.0028215i,0.00032809+0.0027021i,0.0051059+0.0045114i,0.0034926+0.011373i,-0.00036395+0.018302i,0.00047559+0.02148i,0.0045118+0.02142i,0.010723+0.018312i,0.015432+0.012288i,0.012434+0.0086168i,0.0048252+0.01144i,-0.0026188+0.013787i,-0.0064762+0.011126i
0.103+0.10555i,0.10808+0.068365i,0.092567-0.0077692i,0.089682-0.013151i,0.075731+0.0201i,0.039795+0.02623i,0.01444+0.013168i,0.0030265-0.00090972i,-0.00015287-0.00097679i,0.0055101+0.0065304i,0.0051852+0.0093857i,-0.0024189+0.008147i,-0.0022766+0.0027009i,0.0073544-0.0034671i,0.015582-0.0075046i,0.017778-0.011676i,0.015886-0.015972i,0.010533-0.019721i,0.0057313-0.021201i,0.0042819-0.018422i,0.0061485-0.011112i,0.0091166-0.0020594i,0.010433+0.0028296i
0.089349-0.18196i,0.12823-0.17859i,0.092176-0.11178i,0.019598-0.073258i,-0.012661-0.079252i,0.001118-0.064228i,0.010578-0.032835i,-0.00084513-0.0090569i,-0.0045286+0.00079467i,0.0013522-0.0052053i,0.0059323-0.0091137i,0.0068705-0.0075671i,-0.0012723-0.0067366i,-0.012585-0.0076495i,-0.018262-0.0097261i,-0.018757-0.0090261i,-0.016261-0.0051972i,-0.014141-0.00039927i,-0.012542+0.0046434i,-0.011194+0.004562i,-0.0094587-0.0031973i,-0.0054807-0.012443i,-0.0030995-0.016175i
-0.19695+0.026139i,-0.22382+0.070111i,-0.17773+0.079951i,-0.10456+0.043191i,-0.052191+0.027878i,-0.030655+0.019367i,-0.019521+0.010173i,0.0013145+0.010818i,0.013582+0.0048014i,0.0059518-0.004023i,-0.0015523-0.0080924i,0.001056-0.0075494i,0.0061972-0.0012792i,0.0054219+0.0072794i,0.00066856+0.015273i,0.00016911+0.021726i,0.0041792+0.023956i,0.0098973+0.022026i,0.013308+0.017391i,0.011791+0.014308i,0.0057658+0.01375i,-0.0021678+0.011628i,-0.0057845+0.0098982i
0.030051+0.13371i,0.031291+0.070647i,0.049285-0.0085167i,0.055523-0.0013715i,0.031979+0.033096i,0.0064539+0.026224i,0.00033863+0.0050681i,0.0033096-0.0089855i,0.0022262-0.0077149i,0.00036383+0.0044318i,-0.0042369+0.010009i,-0.011308+0.0076277i,-0.010355+0.0035665i,0.00073622+8.5251e-05i,0.010844-0.0039343i,0.013579-0.010288i,0.012202-0.016426i,0.0082318-0.018212i,0.0059897-0.017436i,0.0082204-0.014626i,0.01018-0.0082283i,0.0094674+0.00021844i,0.0077155+0.0051142i
0.21524-0.12036i,0.22385-0.10237i,0.14874-0.050095i,0.062471-0.046334i,0.025874-0.072576i,0.027313-0.050279i,0.024476-0.016053i,0.0045057-0.0066095i,-0.0088558-0.0060361i,-0.002927-0.0058415i,0.0076182-0.0031799i,0.011648-0.0016212i,0.0064425-0.0061629i,-0.0038118-0.012191i,-0.010264-0.012666i,-0.011975-0.0076152i,-0.012059-0.0013612i,-0.011361+0.0035523i,-0.011917+0.0046016i,-0.013992+0.00047023i,-0.013195-0.0067305i,-0.0062648-0.014043i,0.00059558-0.015987i
-0.20646-0.06633i,-0.24544-0.016074i,-0.21615+0.016633i,-0.13428+0.024622i,-0.058561+0.034623i,-0.028289+0.027848i,-0.019766+0.013742i,-0.006864+0.016914i,0.0085948+0.017211i,0.010452+0.003945i,0.0050489-0.0075826i,0.0058459-0.0078174i,0.0058113+0.0016092i,0.00046213+0.011713i,-0.0061846+0.016132i,-0.0081615+0.018082i,-0.0039749+0.020259i,0.002273+0.01915i,0.0064623+0.016386i,0.0082535+0.015378i,0.0080372+0.015399i,0.0026937+0.013379i,-0.0046538+0.010611i
-0.046043+0.13561i,0.019314+0.054632i,0.078951-0.023379i,0.064293-0.019424i,0.0084508+0.0052049i,-0.013901-0.0055304i,-0.0088379-0.016142i,0.00076166-0.01176i,0.0040683-0.0056504i,-0.0016116+0.0015718i,-0.0099684+0.0050626i,-0.014806+0.0018413i,-0.0089136-0.0028266i,0.0053074-0.0045465i,0.017647-0.0053244i,0.02263-0.0094265i,0.020783-0.01404i,0.015221-0.016762i,0.010097-0.017574i,0.0081918-0.0161i,0.0054565-0.011928i,0.00097554-0.0040665i,0.0013822+0.0012332i
0.24907+0.045577i,0.24868+0.064837i,0.16537+0.057242i,0.086573-0.01345i,0.058127-0.061164i,0.043521-0.033044i,0.027642+0.0022229i,0.011683-0.00059393i,-0.00095001-0.0097491i,-0.0012045-0.0062569i,0.0040484+0.0044438i,0.0079033+0.010561i,0.0049574+0.0038374i,-0.0040676-0.0062132i,-0.012038-0.011334i,-0.018975-0.011901i,-0.022914-0.0088327i,-0.020494-0.0042812i,-0.016401-0.0015721i,-0.015366-0.0030839i,-0.011839-0.0062943i,-0.0036257-0.0096538i,0.0015742-0.011676i
-0.14354-0.19093i,-0.25255-0.17792i,-0.25995-0.10566i,-0.17142-0.018218i,-0.092766+0.033018i,-0.051262+0.037019i,-0.027492+0.018516i,-0.015524+0.016225i,-0.0014761+0.021118i,0.011055+0.0085236i,0.015491-0.0083637i,0.014569-0.012651i,0.0094229-0.0046138i,0.0032415+0.0057115i,-0.001933+0.010939i,-0.003306+0.016126i,0.0004533+0.019997i,0.0046892+0.021046i,0.0069719+0.020412i,0.0081743+0.019737i,0.0075605+0.01948i,0.0037118+0.015705i,-0.00061112+0.010818i
-0.10774+0.045904i,0.015033+0.033953i,0.1098-0.012083i,0.078759-0.023056i,0.014471-0.018421i,0.0010301-0.035519i,0.0060115-0.043611i,0.0056352-0.028372i,0.0018015-0.013367i,-0.0066055-0.0043885i,-0.015527-0.0017127i,-0.018583-0.0025118i,-0.011823-2.0404e-05i,0.00054276+0.0047947i,0.011814+0.0063367i,0.017959+0.00032761i,0.018291-0.0088133i,0.014895-0.01442i,0.012479-0.015862i,0.013535-0.016454i,0.011687-0.017151i,0.0042799-0.013576i,-0.00076683-0.0074092i
0.16595+0.19858i,0.19125+0.21303i,0.13541+0.15499i,0.097822+0.045571i,0.089606-0.022473i,0.054055-0.0070166i,0.019774+0.023667i,0.0072228+0.014545i,-8.8551e-05-0.0047698i,-0.0030675-0.0053457i,-0.0036473+0.0053053i,-0.0013616+0.010656i,0.0023222+0.00085845i,0.0015556-0.013763i,-0.0023753-0.018537i,-0.0060778-0.01571i,-0.0088796-0.010128i,-0.010064-0.0038991i,-0.010641-0.0010907i,-0.013231-0.0024782i,-0.014495-0.0044749i,-0.0087876-0.0044848i,0.00075913-0.0052964i
-0.014947-0.22349i,-0.15317-0.27681i,-0.20787-0.22068i,-0.17076-0.1057i,-0.12244-0.0093283i,-0.075382+0.01944i,-0.037832+0.0094088i,-0.022889+0.010336i,-0.0097008+0.021438i,0.0090423+0.017126i,0.022988+0.004874i,0.02447+0.0018426i,0.014417+0.0086427i,0.0018949+0.016998i,-0.008185+0.018611i,-0.01352+0.015655i,-0.012799+0.013583i,-0.0077559+0.013457i,-0.0025408+0.016554i,0.0019221+0.021177i,0.0063611+0.02258i,0.0070649+0.018307i,0.0013559+0.014518i
-0.059616-0.035731i,0.038456+0.01175i,0.13377+0.021454i,0.10349-0.0032565i,0.03516-0.034254i,0.023907-0.048092i,0.029858-0.046444i,0.024-0.032279i,0.014184-0.018869i,0.00041213-0.013903i,-0.010748-0.013264i,-0.013433-0.014721i,-0.0078037-0.013548i,0.0038907-0.0085205i,0.014258-0.0031517i,0.021549+0.00062582i,0.025457+0.0009576i,0.022423-0.0017666i,0.017259-0.0052752i,0.015013-0.0085042i,0.013563-0.011597i,0.008311-0.012318i,0.0035942-0.010741i
0.0025159+0.22088i,0.015799+0.26725i,0.011503+0.20812i,0.051702+0.10847i,0.073838+0.043941i,0.032023+0.032424i,-0.0064411+0.037977i,-0.0059995+0.021455i,-0.00075258-0.0021353i,-0.0046553-0.0075024i,-0.010237+0.0010454i,-0.0096539+0.0084882i,-0.002736+0.0049934i,-0.00070831-0.0029206i,-0.0039637-0.0060469i,-0.008525-0.0080461i,-0.013615-0.0098524i,-0.015929-0.0085574i,-0.014977-0.0078184i,-0.015207-0.011243i,-0.016537-0.013377i,-0.012766-0.00901i,-0.0050576-0.0036335i
0.061623-0.17968i,0.0064841-0.32903i,-0.089055-0.31837i,-0.14092-0.18065i,-0.11757-0.05927i,-0.069517-0.010718i,-0.035157-0.0046258i,-0.024634+0.00054299i,-0.017798+0.013419i,0.00078704+0.017475i,0.017438+0.012553i,0.017921+0.0094913i,0.0042736+0.0097734i,-0.0082379+0.0095535i,-0.010787+0.0053789i,-0.0077538+0.003643i,-0.002946+0.0081927i,-0.00088526+0.011656i,-0.0022349+0.015744i,-0.002395+0.023635i,0.00059113+0.029821i,0.0041457+0.027681i,0.0030611+0.019126i
0.025162+0.0029206i,0.072163+0.091104i,0.14937+0.1157i,0.13654+0.030983i,0.062434-0.04217i,0.03864-0.053045i,0.046585-0.045265i,0.036643-0.029722i,0.020175-0.014692i,0.00469-0.010494i,-0.005377-0.011487i,-0.0043152-0.0097471i,0.0048857-0.00053194i,0.012748+0.010202i,0.013997+0.015204i,0.013025+0.015462i,0.012152+0.010607i,0.010329+0.003497i,0.010213-0.0025791i,0.011577-0.0088421i,0.011455-0.014664i,0.0077468-0.018254i,0.0035381-0.017024i
-0.10648+0.12899i,-0.13343+0.19103i,-0.095847+0.1597i,-0.011351+0.1076i,0.035592+0.069424i,0.0089464+0.04497i,-0.020677+0.041021i,-0.011458+0.030274i,0.0036121+0.0081932i,0.0023752-0.0052837i,-0.007072-0.0067961i,-0.01076-0.0070753i,-0.0066959-0.016619i,-0.0038892-0.027246i,-0.003355-0.027347i,-0.0033733-0.021877i,-0.0051901-0.016462i,-0.0061679-0.012252i,-0.0055461-0.010301i,-0.0068127-0.01102i,-0.0098138-0.011467i,-0.0097198-0.0073492i,-0.0056527-0.0020679i
0.12751-0.1638i,0.15649-0.31792i,0.05591-0.34426i,-0.05683-0.22724i,-0.081432-0.099932i,-0.05084-0.031674i,-0.026949-0.016478i,-0.02233-0.015823i,-0.01947-0.0043297i,-0.0030892+0.0095307i,0.012928+0.01645i,0.012411+0.017515i,0.00016196+0.018918i,-0.011193+0.02261i,-0.013968+0.02071i,-0.012781+0.013747i,-0.010702+0.0089247i,-0.0090556+0.0072396i,-0.010901+0.0095193i,-0.01158+0.016947i,-0.009391+0.025516i,-0.0072848+0.026756i,-0.0074007+0.021357i
-0.0423+0.09267i,-0.030811+0.18937i,0.038728+0.21575i,0.084512+0.11085i,0.063254+0.0096752i,0.046486-0.019871i,0.052499-0.02082i,0.041037-0.015141i,0.021121-0.0078406i,0.0046173-0.0083386i,-0.0048042-0.012462i,-0.0032087-0.0094996i,0.0021218-0.0021059i,0.0066316+0.00027178i,0.0095522-0.00064023i,0.012725+0.00097354i,0.014606+0.0044231i,0.012689+0.0043168i,0.012218-0.00077111i,0.014666-0.0078463i,0.016716-0.014059i,0.015447-0.01783i,0.0139-0.020804i
-0.096635+0.042853i,-0.14426+0.051943i,-0.11078+0.06305i,-0.03715+0.082822i,0.0036765+0.061451i,-0.017336+0.026248i,-0.04603+0.024167i,-0.034214+0.026976i,-0.011831+0.013476i,-0.0051218+0.000807i,-0.0052221-0.0032925i,-0.00011381-0.0042581i,0.013511-0.0082541i,0.020088-0.01271i,0.01319-0.011534i,0.0017719-0.0098982i,-0.0063022-0.012819i,-0.0080301-0.013703i,-0.0056935-0.012479i,-0.0075401-0.012334i,-0.013999-0.013025i,-0.017367-0.0098011i,-0.015499-0.0018678i
0.21326-0.10018i,0.29832-0.16477i,0.21947-0.23527i,0.056984-0.22033i,-0.017875-0.11149i,-0.0066457-0.029483i,0.0093274-0.014035i,0.0072612-0.01507i,0.0012896-0.0055286i,0.0045983+0.010111i,0.0086301+0.015378i,-0.0012238+0.0084134i,-0.022179+0.0015891i,-0.035433-0.0017234i,-0.030001-0.0041889i,-0.015875-0.0038329i,-0.0049313+0.0006352i,-0.00079388+0.0039802i,-0.0040206+0.0069129i,-0.0071049+0.0146i,-0.0022057+0.021727i,0.0032876+0.020798i,0.0011484+0.014067i
-0.15346+0.035512i,-0.20013+0.10326i,-0.14121+0.1482i,-0.030805+0.10138i,0.00044974+0.011071i,-0.00047757-0.026418i,0.022259-0.02332i,0.025117-0.01675i,0.011113-0.0088198i,0.0013958-0.0094955i,-0.0025353-0.0096659i,0.0016661+0.00050129i,0.0097039+0.0148i,0.016858+0.027441i,0.019718+0.030207i,0.016388+0.024361i,0.011507+0.016012i,0.0081549+0.0091653i,0.0089767+0.0043203i,0.012008-0.0047291i,0.012403-0.013863i,0.011154-0.016032i,0.013465-0.014039i
-0.06473-0.014166i,-0.096035-0.040003i,-0.072349-0.0021336i,-0.020346+0.049502i,0.017286+0.042082i,0.012944+0.0073691i,-0.021109+0.0030636i,-0.027517+0.0098943i,-0.01223+0.00041085i,-0.0059143-0.01184i,-0.0081627-0.014195i,-0.0061041-0.0093009i,0.0044588-0.010798i,0.010424-0.022724i,0.0053289-0.028673i,0.0008556-0.026263i,0.0017602-0.021672i,0.0038294-0.014698i,0.0037615-0.010619i,0.0020886-0.010742i,-0.0006774-0.011561i,-0.003777-0.010238i,-0.0059746-0.0065995i
0.24341+0.081706i,0.33359+0.069074i,0.27728-0.029955i,0.1307-0.10082i,0.037949-0.050139i,0.009626+0.023828i,0.0049799+0.030318i,0.0049169+0.0098054i,0.0012733+0.0051169i,0.0013248+0.016683i,0.0085311+0.021362i,0.010474+0.0072809i,-0.00018518-0.0058158i,-0.010606-0.0025669i,-0.010917+0.0069434i,-0.0082064+0.010949i,-0.0066317+0.01055i,-0.0075102+0.0079559i,-0.013638+0.0063377i,-0.018673+0.012632i,-0.016501+0.021943i,-0.011553+0.024443i,-0.0087629+0.020291i
-0.17012-0.094442i,-0.26183-0.071553i,-0.21389-0.014672i,-0.095899+0.00474i,-0.053123-0.038842i,-0.031191-0.061686i,0.016264-0.041531i,0.029821-0.02224i,0.015444-0.01124i,0.0058574-0.010888i,-0.0015134-0.011461i,-0.0089654-0.00092139i,-0.015062+0.010741i,-0.016635+0.015494i,-0.0099763+0.013442i,-0.00045395+0.010624i,0.0043271+0.010144i,0.0052083+0.0076249i,0.0093101+0.0025609i,0.017514-0.0062363i,0.022698-0.015992i,0.022556-0.020285i,0.020694-0.018829i
-0.0089578-0.028774i,0.044156-0.050414i,0.035829-0.014035i,0.012582+0.047517i,0.046578+0.054578i,0.050656+0.017289i,-0.0035186+0.00047364i,-0.02556+0.0049368i,-0.0082523-0.0021637i,0.0040976-0.012502i,0.0044072-0.011599i,0.0060053-0.0049046i,0.022529+0.00045872i,0.039775+0.00021524i,0.036597-0.0013558i,0.022295-0.0039943i,0.011236-0.0086589i,0.0049511-0.0084985i,0.0021571-0.0041264i,-0.0029708-0.0024031i,-0.010671-0.0011633i,-0.015547+0.0026459i,-0.016251+0.0060696i
0.091698+0.21645i,0.10644+0.25037i,0.098609+0.1574i,0.072204+0.032691i,0.015613+0.016121i,-0.024175+0.049975i,-0.019621+0.040792i,-0.0014653+0.012906i,0.0031811+0.0017802i,-0.0018608+0.0069315i,-0.0012924+0.012664i,0.00056174+0.0053548i,-0.013261-0.0091235i,-0.034023-0.017097i,-0.040358-0.015756i,-0.031694-0.0086896i,-0.019883-0.00087688i,-0.0097461+0.0013151i,-0.0070134-0.0024961i,-0.011091-0.0040903i,-0.011143+0.0014504i,-0.0059184+0.0035593i,-0.0026112-0.00051497i
-0.094616-0.2219i,-0.15988-0.29591i,-0.14625-0.24091i,-0.10202-0.15373i,-0.080562-0.1317i,-0.052062-0.10805i,-0.0051253-0.054781i,0.010023-0.018171i,-0.00021801-0.0016578i,-0.00097365-0.00044461i,-0.00062895-0.0050827i,-0.00089647-0.0030131i,0.0027658+0.0016562i,0.0073011+0.011832i,0.012739+0.024356i,0.015821+0.027136i,0.013634+0.01815i,0.007257+0.007056i,0.0063873+0.0049151i,0.015057+0.0040418i,0.020244-0.00077128i,0.018038-0.0018472i,0.017693+0.0014549i
0.080714+0.032925i,0.16147+0.097972i,0.14914+0.11142i,0.097273+0.10287i,0.11223+0.091414i,0.11964+0.048749i,0.061785+0.0073464i,0.019725+0.0014003i,0.01855-0.0038179i,0.016185-0.011742i,0.0045075-0.010328i,-0.0075903-0.0036235i,-0.0084808+0.0062729i,0.00015654+0.005501i,0.0024843-0.0081296i,-0.00072561-0.01624i,-0.00076252-0.013698i,0.0021441-0.0073079i,0.0016442-0.0038478i,-0.0048631-0.0059428i,-0.010809-0.01018i,-0.012835-0.013308i,-0.015398-0.014374i
-0.12508+0.15304i,-0.16102+0.18608i,-0.12926+0.12202i,-0.06934+0.05087i,-0.068394+0.05395i,-0.085542+0.068557i,-0.063512+0.051972i,-0.028687+0.029221i,-0.0083916+0.019795i,-0.0014137+0.020083i,0.0066496+0.020838i,0.016228+0.01288i,0.016949-0.0044343i,0.0090736-0.016935i,-0.00050647-0.015631i,-0.0082824-0.0077244i,-0.012913-0.0023509i,-0.010335-0.0012385i,-0.0059929-0.0010744i,-0.0058824+0.004282i,-0.0053189+0.015878i,-0.00050253+0.023737i,0.0051575+0.019989i
0.11634-0.24138i,0.12313-0.3694i,0.087889-0.32644i,0.032129-0.24162i,-0.0168-0.22199i,-0.025701-0.18037i,0.0017274-0.10098i,0.01018-0.053504i,-0.0053314-0.028839i,-0.0065181-0.016067i,-0.0031966-0.017182i,-0.0063979-0.01303i,-0.012013-0.002541i,-0.021017+0.0071004i,-0.022812+0.013888i,-0.012058+0.017616i,0.0019444+0.016296i,0.0075296+0.010956i,0.0088305+0.0059248i,0.01697-0.0031334i,0.022913-0.017064i,0.017843-0.023378i,0.011059-0.016186i
0.024373+0.19113i,0.022696+0.31307i,0.04911+0.31391i,0.078947+0.23464i,0.10947+0.18984i,0.11874+0.14894i,0.069263+0.090976i,0.023727+0.057645i,0.021103+0.033654i,0.019679+0.0095061i,0.0093534-0.0027614i,0.0012114-0.0091481i,0.0038462-0.006269i,0.023743-0.00011566i,0.036358-0.00093177i,0.029875-0.0072881i,0.016892-0.013162i,0.0053009-0.011093i,-0.002318-0.0030875i,-0.011575+0.0043255i,-0.018645+0.0084614i,-0.016919+0.0083889i,-0.011278+0.0030819i
-0.14721-0.047292i,-0.21042-0.097142i,-0.21715-0.10775i,-0.17706-0.047021i,-0.14885+0.00045012i,-0.1365-0.0010855i,-0.1007-0.015329i,-0.053783-0.013055i,-0.026282-0.0054894i,-0.02028+0.0030277i,-0.018454+0.016812i,-0.01145+0.025337i,-0.010912+0.017826i,-0.022374+0.0030585i,-0.032601-0.009233i,-0.03317-0.012075i,-0.026254-0.0061149i,-0.015325-0.0022523i,-0.0066964-0.005161i,-0.0027504-0.0068102i,-0.00056638-0.0012007i,0.00085438+0.0040957i,-0.0014755+0.0054617i
0.22204-0.080669i,0.34719-0.15596i,0.29654-0.19599i,0.15366-0.2232i,0.055281-0.23399i,0.027768-0.17865i,0.03547-0.091706i,0.02847-0.04404i,0.0099075-0.016766i,0.013197+0.002334i,0.023367-0.001452i,0.022178-0.0074548i,0.019484-0.0088899i,0.016462-0.0085912i,0.014767+0.0024016i,0.016248+0.015029i,0.015053+0.015249i,0.009908+0.0086796i,0.0078151+0.00777i,0.016038+0.0080593i,0.02407+0.0012887i,0.02199-0.0030286i,0.018179-0.0025766i
-0.18627+0.18574i,-0.23899+0.2827i,-0.15439+0.30056i,-0.013429+0.24539i,0.06909+0.19525i,0.079821+0.14742i,0.0443+0.086758i,0.010766+0.048244i,0.0073462+0.024099i,0.0038341-0.0012491i,-0.0041858-0.0093867i,-0.0076211-0.0095105i,-0.0097065-0.0027093i,-0.0065151+0.012642i,-0.0021163+0.013905i,-2.1448e-06+0.003044i,0.0038173-0.0032095i,0.0062609-0.001521i,0.0008221-0.0014863i,-0.014276-0.0071905i,-0.02764-0.010611i,-0.027406-0.010208i,-0.018044-0.0081831i
0.019716-0.15914i,-0.018846-0.25029i,-0.061722-0.24562i,-0.10184-0.14577i,-0.1087-0.060335i,-0.092333-0.036688i,-0.068552-0.029995i,-0.035876-0.018552i,-0.012096-0.010802i,-0.0069893-0.0081304i,-0.011448-0.00492i,-0.011864-0.001317i,-0.0060396-0.0068882i,-0.00057873-0.022039i,0.00025866-0.030065i,-0.0039209-0.026015i,-0.0099921-0.018406i,-0.011456-0.012415i,-0.0028598-0.0049271i,0.007953+0.0064321i,0.014958+0.017565i,0.016334+0.021054i,0.0094577+0.014683i
0.21053+0.069743i,0.32566+0.11052i,0.3029+0.025796i,0.18343-0.12502i,0.075509-0.18778i,0.02828-0.14757i,0.02899-0.085919i,0.02176-0.050394i,-0.0083888-0.022513i,-0.01841+0.0079804i,-0.0053101+0.021851i,0.0059049+0.023043i,0.007435+0.022066i,-0.00096762+0.018349i,-0.010874+0.016149i,-0.012569+0.018885i,-0.0028932+0.021249i,0.0053978+0.014832i,0.0025673+0.0046744i,0.0022276-0.0026335i,0.0059617-0.012591i,0.003104-0.017975i,-0.00070187-0.010386i
-0.29385-0.0054755i,-0.40206+0.028963i,-0.30962+0.13182i,-0.093585+0.21996i,0.03953+0.2152i,0.06419+0.16515i,0.039405+0.11593i,0.01573+0.080212i,0.021384+0.044516i,0.027912+0.0050178i,0.019486-0.013408i,0.014508-0.015131i,0.016236-0.012983i,0.021993-0.0030263i,0.030612+0.005216i,0.034163-2.7565e-05i,0.023826-0.0087989i,0.0080431-0.0068831i,0.001233-0.00054773i,-0.0029412-0.0019356i,-0.0089742-0.0026586i,-0.0070209-0.00017174i,0.0014037-0.0026351i
0.19127-0.039074i,0.26116-0.14192i,0.17135-0.17883i,0.0028991-0.12889i,-0.077662-0.064297i,-0.078416-0.051302i,-0.068328-0.061298i,-0.046263-0.048684i,-0.020843-0.029189i,-0.013854-0.019879i,-0.021083-0.014476i,-0.025537-0.0065959i,-0.022915-0.0003677i,-0.020476-0.0051335i,-0.022529-0.015121i,-0.024964-0.015318i,-0.017453-0.008191i,-0.0027113-0.003768i,0.0036854-0.0030799i,-0.0016835-0.00067106i,-0.0094634+0.0051808i,-0.01178+0.0084747i,-0.0091224+0.0061135i
0.080132+0.20017i,0.094883+0.27294i,0.11446+0.14521i,0.10681-0.087598i,0.057052-0.19381i,0.027123-0.14241i,0.043373-0.06365i,0.043777-0.033582i,0.013466-0.019124i,-0.0025052+0.00064245i,0.0042225+0.010604i,0.010798+0.012646i,0.011511+0.009287i,0.012195+0.0034153i,0.014588+0.0046257i,0.012821+0.0079575i,0.0062915+0.0061719i,-0.00025939+0.0018984i,-0.0018145+0.0021984i,0.010645+0.0066409i,0.029229+0.0026262i,0.030676-0.0086058i,0.017709-0.010691i
-0.25355-0.27819i,-0.32644-0.34882i,-0.25676-0.18825i,-0.099686+0.058646i,0.016409+0.14805i,0.033356+0.11433i,-0.00072547+0.073317i,-0.022526+0.052407i,-0.013381+0.035251i,0.00041613+0.01238i,-0.0026451+0.0010502i,-0.0065799+0.003646i,-0.0029928+0.0109i,-0.00097915+0.022644i,0.0030752+0.027141i,0.013665+0.020258i,0.022548+0.01131i,0.019984+0.0050745i,0.0083525-0.00026909i,-0.0075802-0.0096609i,-0.022971-0.014953i,-0.023125-0.0066931i,-0.0076537+0.0016491i
0.25828+0.20509i,0.39708+0.25812i,0.30955+0.15786i,0.099388+0.034895i,-0.0089315+0.012485i,-0.0091522+0.00066624i,-0.0012122-0.030644i,0.0062952-0.033281i,0.019357-0.022935i,0.019449-0.022645i,0.011857-0.030249i,0.0045493-0.034042i,-0.0012027-0.031064i,-0.0033323-0.031702i,-0.0084097-0.031663i,-0.018108-0.023921i,-0.024025-0.011547i,-0.018095+0.00072609i,-0.0056837+0.0077579i,-0.00015803+0.011182i,-0.00087829+0.015532i,-0.0025498+0.015017i,-0.0067565+0.0062042i
-0.22061+0.10308i,-0.28789+0.099449i,-0.1623+0.02554i,0.017692-0.10628i,0.048097-0.18096i,0.0016705-0.1249i,0.0013844-0.044474i,0.0095227-0.021537i,-0.0092823-0.012145i,-0.020227+0.010647i,-0.014415+0.028836i,-0.0089408+0.033789i,-0.0037419+0.028986i,0.0022208+0.022217i,0.0076573+0.017479i,0.010171+0.012459i,0.010033+0.006173i,0.0080284-0.0014856i,0.0020209-0.0070264i,0.0042349-0.0060926i,0.017508-0.0069723i,0.022883-0.011909i,0.018663-0.0084318i
0.20822-0.38377i,0.24578-0.45935i,0.16857-0.27728i,0.070866-0.0061173i,0.057102+0.11779i,0.057299+0.079173i,0.023676+0.032982i,0.0027782+0.027788i,0.0090821+0.014027i,0.012203-0.012628i,0.0042647-0.025408i,0.00088071-0.019805i,0.0039963-0.0067097i,0.0066422+0.010312i,0.01087+0.023806i,0.01799+0.02575i,0.019051+0.019797i,0.0084087+0.012409i,0.0010669+0.0076184i,-0.00089248+0.0004975i,-0.0095066-0.0052137i,-0.016583-0.0012146i,-0.01441+0.0053075i
-0.14403+0.50283i,-0.17104+0.67117i,-0.14103+0.51271i,-0.12936+0.24099i,-0.13241+0.11268i,-0.07624+0.074786i,-0.023157+0.022953i,-0.012346-0.0044271i,-0.0015588+0.0027235i,0.0094744+0.0062602i,0.011781+0.0020287i,0.0069119-0.0048997i,-0.0040281-0.010321i,-0.010994-0.019627i,-0.018417-0.033184i,-0.030356-0.035253i,-0.03128-0.023703i,-0.015624-0.012026i,-0.0033801-0.0073547i,-0.0076652-0.0030607i,-0.014585+0.0056316i,-0.011862+0.009089i,-0.0056241+0.00062855i
-0.025381-0.36882i,-0.044968-0.50735i,-0.019405-0.43332i,0.05897-0.30473i,0.076707-0.24412i,0.026278-0.1614i,0.011835-0.062299i,0.024001-0.026632i,0.0099273-0.02111i,-0.0085124-0.0074952i,-0.017318+0.0036864i,-0.015125+0.0091045i,-0.0026197+0.01205i,0.010184+0.019878i,0.025253+0.028371i,0.033017+0.021717i,0.020999+0.0074262i,0.0030722+0.0013389i,-0.00018171-0.00071167i,0.016843-0.0051321i,0.037022-0.01151i,0.038226-0.01541i,0.02339-0.010165i
