-0.0040457+5.9036e-05i,-0.0029585-0.00046393i,-0.0018908+0.00015908i,-0.001234+0.001178i,-0.00073077+0.0017438i,0.00098082+0.0010318i,0.0014256+0.00095521i,0.00033108+0.0012592i,0.00068382+0.0012066i,0.0015102+0.00031879i,0.0013122-0.00039775i,0.00049256-0.0013784i,-5.2884e-05-0.0020402i,0.00013462-0.0013121i,3.7606e-05-0.00016385i,-0.00027431+0.00040722i,-0.00015122+0.00076793i,-0.00035414+0.00084823i,-0.00028205+0.00029268i,0.00067051+0.00083292i,0.00064398+0.0012144i,-8.0768e-05+0.00066417i,-0.00038176+8.2378e-05i
0.18848-0.030833i,0.42128-0.11754i,0.59026-0.22862i,0.51888-0.26039i,0.28988-0.18735i,0.10565-0.06975i,0.01869+0.024924i,-0.011966+0.075829i,-0.0030791+0.074111i,0.022824+0.026116i,0.044284-0.031737i,0.04847-0.067514i,0.033928-0.065273i,0.029898-0.047657i,0.052435-0.051841i,0.070329-0.07442i,0.063918-0.081765i,0.045177-0.063912i,0.027613-0.032154i,0.02015-0.0036374i,0.019514+0.0086708i,0.020892+0.0084289i,0.024219-0.00033486i
-0.23907-0.022637i,-0.56286-0.057832i,-0.80978-0.035275i,-0.67035+0.11384i,-0.2439+0.23156i,0.050341+0.15938i,0.08592+0.031216i,0.03983-0.022634i,0.018213-0.01791i,0.0043764+0.001518i,-0.01981+0.026234i,-0.032298+0.044544i,-0.028294+0.035919i,-0.032533+0.017604i,-0.046694+0.015772i,-0.05403+0.02509i,-0.052515+0.028301i,-0.040602+0.022225i,-0.016698+0.012006i,0.0016806+0.0019831i,0.0052075-0.0057303i,0.0020365-0.013532i,-0.0057261-0.018875i
0.23511+0.033831i,0.60103+0.090094i,0.87077+0.09865i,0.6546+0.0044863i,0.14779-0.064968i,-0.1279-0.036839i,-0.1186-0.043605i,-0.079197-0.088563i,-0.076024-0.079639i,-0.044677-0.029346i,0.008439+0.002559i,0.041517+0.0084371i,0.050018+0.0078766i,0.046934+0.0087227i,0.03988+0.019438i,0.035664+0.037874i,0.030741+0.044921i,0.019851+0.03357i,0.0079947+0.014314i,0.00013107+0.0021956i,-0.0061065+0.0036348i,-0.0076945+0.013027i,0.0011487+0.019794i
-0.17542-0.048939i,-0.44557-0.083894i,-0.64422-0.11388i,-0.53078-0.11741i,-0.23015-0.089256i,-0.018835-0.032685i,0.083338+0.048153i,0.14743+0.084684i,0.14307+0.053053i,0.067382+0.003056i,-0.0099235-0.02523i,-0.043059-0.030152i,-0.042206-0.029355i,-0.033629-0.037079i,-0.031442-0.059005i,-0.033937-0.080311i,-0.025474-0.075489i,-0.0058878-0.045359i,0.0073092-0.014363i,0.013196-0.00067551i,0.018983+0.0014064i,0.024025-0.0012011i,0.020165-0.011448i
0.087948+0.05271i,0.1796+0.12334i,0.27329+0.17304i,0.30905+0.10805i,0.25278-0.041708i,0.13358-0.13944i,0.012923-0.11426i,-0.037722-0.036573i,-0.011181-0.0047706i,0.033424-0.0054854i,0.064919+0.0064426i,0.072451+0.015636i,0.049007+0.011701i,0.024535+0.016449i,0.023684+0.034548i,0.030054+0.047343i,0.024832+0.039885i,0.016405+0.018909i,0.011294+0.0075611i,0.0038166+0.0115i,-0.0062639+0.013101i,-0.015244+0.0069444i,-0.016437+0.0072722i
-0.031359-0.11143i,-0.085496-0.28572i,-0.17494-0.35139i,-0.21525-0.11415i,-0.14311+0.22323i,-0.042912+0.33925i,-0.029956+0.24296i,-0.083678+0.13937i,-0.10495+0.10063i,-0.071531+0.065282i,-0.04775+0.012781i,-0.043034-0.007497i,-0.016994+0.0016653i,0.014071-0.00089342i,0.026253-0.0096375i,0.032741-0.0050375i,0.039059+0.011121i,0.034878+0.023535i,0.02446+0.023555i,0.018459+0.015201i,0.013075+0.0087202i,0.007883+0.011802i,0.0094171+0.011139i
0.055204+0.13788i,0.16936+0.29169i,0.2479+0.33269i,0.15696+0.15204i,-0.025738-0.068103i,-0.095653-0.14784i,-0.027168-0.16527i,0.032417-0.18205i,0.022635-0.14061i,-0.0071789-0.042345i,-0.01809+0.038819i,-0.014714+0.059626i,-0.013137+0.043617i,-0.017865+0.032287i,-0.029221+0.027515i,-0.042953+0.012221i,-0.045548-0.0071782i,-0.029248-0.012984i,-0.0098313-0.012322i,-0.0031221-0.015557i,-0.00043841-0.019354i,0.0066274-0.019795i,0.0093366-0.013563i
-0.082558-0.036075i,-0.18288-0.041477i,-0.23671-0.033701i,-0.20297-0.051593i,-0.17297-0.082259i,-0.18142-0.05423i,-0.13758+0.023302i,-0.035489+0.044879i,0.021563-0.0038083i,0.018155-0.048125i,0.012971-0.067016i,0.0072081-0.07047i,-0.0085207-0.052681i,-0.0095008-0.030228i,0.0061995-0.022984i,0.014637-0.016158i,0.0042282+0.00014569i,-0.015043+0.011537i,-0.025839+0.016624i,-0.023717+0.023339i,-0.017124+0.025279i,-0.013678+0.013904i,-0.010086-0.001143i
-0.015911-0.046791i,-0.040438-0.089685i,-0.0070247-0.11998i,0.1354-0.11025i,0.29386-0.091242i,0.33702-0.080508i,0.24716-0.030374i,0.13181+0.047613i,0.082277+0.075331i,0.057476+0.03827i,0.01694+0.0086365i,0.0019878+0.0097138i,0.010942+0.0037939i,0.0038496-0.0047446i,-0.0061894+0.0044861i,0.003502+0.01282i,0.020334+0.0085943i,0.030231+0.0059914i,0.032846+0.0088993i,0.029245+0.0072891i,0.020496+0.0045394i,0.010988+0.0093574i,0.003227+0.014396i
0.075865-0.035401i,0.099287-0.082879i,0.013218-0.064096i,-0.13841+0.072548i,-0.20209+0.20093i,-0.18208+0.18569i,-0.15552+0.080966i,-0.12288+0.01001i,-0.086198-0.0011284i,-0.038478+0.010104i,0.008886+0.0092545i,0.02417+0.0048955i,0.022674+0.011891i,0.025663+0.012057i,0.018674+0.0052248i,-0.0032542+0.0059468i,-0.022255+0.009007i,-0.024972+0.0044517i,-0.019715-0.0049381i,-0.017301-0.011636i,-0.0099351-0.0113i,0.0059339-0.0066588i,0.018706-0.00023103i
0.031913+0.076342i,0.12259+0.12149i,0.21734+0.087234i,0.18408-0.0075947i,0.03513-0.048274i,-0.053923-0.008403i,-0.037613-0.00051884i,-0.018498-0.044791i,-0.029103-0.058362i,-0.03509-0.022235i,-0.030122+0.012633i,-0.025289+0.023124i,-0.022764+0.021504i,-0.020986+0.018865i,-0.01473+0.014976i,0.0023106+0.0080341i,0.02024+0.005i,0.018811+0.011807i,0.0065905+0.024649i,0.0040911+0.032628i,0.0046145+0.026091i,-0.00083426+0.011897i,-0.0044102+0.0023029i
-0.10965+0.02057i,-0.25242+0.074976i,-0.35658+0.096766i,-0.3158+0.01347i,-0.19226-0.12924i,-0.1022-0.20209i,-0.033049-0.12794i,0.043689-0.0094427i,0.085912+0.021803i,0.069198-0.0077546i,0.040843-0.023435i,0.026043-0.022623i,0.013246-0.021798i,0.0092833-0.022578i,0.01645-0.028245i,0.017832-0.035066i,0.011192-0.038552i,0.0084031-0.040162i,0.010263-0.040198i,0.0056448-0.034871i,-0.0092365-0.017026i,-0.01881+0.006123i,-0.018263+0.014462i
0.017555-0.096212i,0.066091-0.16744i,0.18752-0.16662i,0.30698-0.085585i,0.32736+0.00072839i,0.26435+0.050236i,0.15656+0.050676i,0.060754+0.033313i,0.02648+0.034053i,0.022431+0.02434i,-0.0014785+0.0014614i,-0.023365-0.0092014i,-0.020641-0.013429i,-0.021846-0.014144i,-0.036951+0.0032486i,-0.04662+0.032362i,-0.043306+0.04856i,-0.034649+0.042298i,-0.028571+0.027505i,-0.02099+0.016567i,-0.0047612+0.0070387i,0.0085837-0.0012928i,0.0085185-0.001987i
0.051148-0.015855i,0.015282-0.073049i,-0.13831-0.10443i,-0.26842-0.029225i,-0.22843+0.090711i,-0.13851+0.1187i,-0.11935+0.066397i,-0.1374+0.027295i,-0.13306+0.026289i,-0.080929+0.041867i,-0.015289+0.046963i,0.016063+0.044217i,0.023897+0.047329i,0.036835+0.044386i,0.048709+0.026248i,0.046006+0.001958i,0.034803-0.0050333i,0.025553+0.0098877i,0.023153+0.023918i,0.022775+0.021508i,0.016413+0.0051753i,0.0044948-0.011588i,-0.0021921-0.015594i
0.069915+0.10106i,0.20924+0.19579i,0.33998+0.22861i,0.28205+0.14769i,0.061157+0.040524i,-0.078789-0.008261i,-0.045972-0.032779i,0.026162-0.065829i,0.029737-0.080728i,-0.011554-0.05883i,-0.031291-0.029748i,-0.021968-0.021279i,-0.015917-0.024874i,-0.023324-0.027473i,-0.032355-0.029092i,-0.033405-0.029672i,-0.026992-0.029864i,-0.017458-0.029249i,-0.0095022-0.024874i,-0.0093278-0.012138i,-0.011933+0.0079505i,-0.010742+0.020933i,-0.0086157+0.015933i
-0.14143+0.0089467i,-0.29794+0.00041891i,-0.39821-0.049529i,-0.3257-0.12281i,-0.14584-0.17634i,-0.0024699-0.18097i,0.041698-0.11624i,0.04193-0.037217i,0.04996-0.015166i,0.044107-0.027619i,0.019604-0.021854i,-0.00057996-0.0064894i,-0.011025+0.0040418i,-0.0088014+0.018467i,0.0066909+0.035814i,0.023304+0.04707i,0.024446+0.042474i,0.01028+0.023969i,-0.0045092+0.003903i,-0.010281-0.010708i,-0.0029698-0.0175i,0.012519-0.015953i,0.019349-0.0080156i
0.005556-0.066966i,0.044757-0.056659i,0.13917+0.030386i,0.23421+0.10688i,0.24979+0.11107i,0.18098+0.11475i,0.1015+0.12943i,0.048075+0.12377i,0.025713+0.10826i,0.029987+0.063442i,0.024478+0.0038946i,0.012745-0.01949i,0.01851-0.021725i,0.022733-0.034856i,0.0099867-0.049892i,-0.0046986-0.053656i,-0.0045202-0.043803i,0.0039179-0.023094i,0.0086836-0.0017118i,0.0091726+0.011145i,0.0033303+0.011793i,-0.0072868+0.0016278i,-0.012747-0.0070636i
0.048957-0.07289i,0.029212-0.20004i,-0.070916-0.30457i,-0.16729-0.23321i,-0.17284-0.039084i,-0.13269+0.056243i,-0.10496+0.016268i,-0.078998-0.043877i,-0.061297-0.054456i,-0.047697-0.010473i,-0.021701+0.032468i,-0.0086978+0.037265i,-0.016664+0.032735i,-0.021987+0.039909i,-0.018936+0.043852i,-0.018322+0.03509i,-0.022276+0.020759i,-0.020558+0.008922i,-0.0086863+0.0037679i,0.0057125+0.0060944i,0.013696+0.015702i,0.013375+0.028208i,0.0087634+0.030575i
0.067082+0.10946i,0.16519+0.23433i,0.2279+0.31886i,0.16984+0.26153i,0.027867+0.097623i,-0.075795-0.027273i,-0.086426-0.061009i,-0.057676-0.053284i,-0.033126-0.051345i,-0.016969-0.050311i,-0.0079955-0.039336i,0.00095856-0.022178i,0.011526-0.0096803i,0.01824-0.008216i,0.022709-0.011702i,0.029094-0.010517i,0.030516-0.0015497i,0.020097+0.0092413i,0.0039163+0.012391i,-0.010296+0.0074291i,-0.016159-0.0010078i,-0.0073446-0.010314i,0.0073519-0.016804i
-0.10197+0.0092032i,-0.1882-0.014077i,-0.23099-0.10416i,-0.19961-0.18567i,-0.099135-0.1686i,0.026119-0.096314i,0.084159-0.020294i,0.080913+0.045334i,0.073716+0.063306i,0.044108+0.032428i,-0.00053208+0.0056122i,-0.021494-0.0053434i,-0.025404-0.014983i,-0.030621-0.016415i,-0.035773-0.0061619i,-0.036279+0.0040722i,-0.026873+0.0054268i,-0.0070433-0.0001085i,0.0073885-0.0060273i,0.0067927-0.0075024i,-0.0020839-0.005282i,-0.012635-0.0013811i,-0.018937-0.0012483i
-0.030818-0.042732i,-0.059812-0.0060872i,-0.02249+0.11144i,0.082313+0.18561i,0.13513+0.14483i,0.086563+0.093526i,0.025141+0.061569i,-0.0093113+0.019453i,-0.030359+0.011515i,-0.01538+0.029492i,0.016642+0.021784i,0.02121+0.0062579i,0.015958+0.008041i,0.023302+0.011289i,0.030457+0.0056245i,0.028619+0.0025393i,0.018759+0.0055291i,0.0038495+0.0068222i,-0.008437+0.0070239i,-0.01178+0.010614i,-0.0081223+0.013031i,-0.0039812+0.011469i,-0.0012323+0.013228i
0.061713-0.083601i,0.088854-0.21199i,0.044272-0.31588i,-0.042589-0.26113i,-0.096217-0.10113i,-0.12143-0.009835i,-0.1284-0.0064077i,-0.10977-0.017014i,-0.086288-0.029792i,-0.069597-0.035261i,-0.050262-0.02025i,-0.024956-0.0047226i,-0.010664-0.0027618i,-0.011779-0.006676i,-0.011587-0.011344i,-0.0068544-0.020904i,-0.0048721-0.027334i,-0.0044006-0.019087i,-0.0022678-0.0061739i,-0.00081988-0.0011494i,-0.004715-0.0010313i,-0.0067156+0.00069671i,0.00045727+0.0014488i
0.058235+0.098295i,0.11341+0.20294i,0.13081+0.27774i,0.086599+0.24159i,0.033414+0.10212i,0.02561-0.036253i,0.054551-0.086181i,0.083572-0.081422i,0.084496-0.072589i,0.058102-0.055585i,0.031598-0.035242i,0.012376-0.02023i,-0.0012693-0.0057715i,-0.0080799+0.0072066i,-0.011054+0.015008i,-0.011719+0.019931i,-0.012236+0.020236i,-0.010743+0.011391i,-0.008934-0.0021287i,-0.0086787-0.011502i,-0.0048724-0.014059i,0.0032975-0.013408i,0.0070366-0.012005i
-0.073602+0.030888i,-0.11083+0.0096191i,-0.11024-0.091092i,-0.090452-0.19579i,-0.069181-0.17915i,-0.024758-0.084679i,-0.0077918-0.032588i,-0.02938-0.010482i,-0.017841+0.010097i,0.012908-0.00022099i,0.011398-0.022367i,-0.004351-0.024675i,-0.0064665-0.019596i,0.00039471-0.019964i,0.0068525-0.019376i,0.010304-0.014361i,0.011324-0.0076781i,0.011055-0.0013697i,0.011495+0.0025525i,0.01588+0.003164i,0.01807-0.00013854i,0.0077818-0.0045212i,-0.0066806-0.0029915i
-0.058895-0.02615i,-0.11567+0.014152i,-0.11596+0.1253i,-0.026379+0.19976i,0.062602+0.16732i,0.057263+0.11757i,0.024731+0.11176i,0.018103+0.10105i,0.0024854+0.074627i,-0.010151+0.061602i,0.0015015+0.051378i,0.011815+0.028489i,0.0080081+0.0077969i,0.0015434+0.0038962i,-0.00093917+0.0088498i,-0.0025682+0.011562i,-0.0033311+0.0095431i,-0.0008135+0.005711i,0.00071323+0.0014223i,-0.004909-0.0012785i,-0.011445+0.0023925i,-0.0074837+0.0082873i,-0.0005844+0.008856i
0.05303-0.090453i,0.087329-0.20907i,0.087542-0.29357i,0.049732-0.25696i,-0.0031704-0.15459i,-0.035339-0.10525i,-0.029873-0.10836i,-0.0063234-0.10757i,0.0055345-0.090426i,0.0038374-0.062502i,-0.00092394-0.037155i,-0.0017439-0.021784i,0.0014349-0.013128i,0.003781-0.0078449i,0.0048093-0.0027034i,0.0082237+0.00036172i,0.01043-0.00089687i,0.0071989-0.0026279i,0.0039579-0.00039601i,0.0046611+0.0028092i,0.0050437+0.0018845i,0.0021489-0.002764i,-0.00087693-0.0073101i
0.065968+0.083885i,0.10944+0.15736i,0.074193+0.23066i,-0.005949+0.2544i,-0.017222+0.18798i,0.014051+0.085935i,0.011742+0.036731i,0.0019741+0.0386i,0.013855+0.036576i,0.020441+0.021388i,0.015049+0.01175i,0.010704+0.0076341i,0.007766+0.0028568i,-0.0019379-0.0034798i,-0.014413-0.0098146i,-0.020028-0.013783i,-0.018274-0.012713i,-0.012283-0.0055337i,-0.0036525+0.0010505i,0.0046206+0.00061009i,0.006953-0.0015139i,0.0056657+0.0021466i,0.0060952+0.0041627i
-0.041693+0.045268i,-0.027163+0.04216i,0.042622-0.073712i,0.0733-0.2228i,0.029209-0.22037i,0.019008-0.10932i,0.049822-0.036984i,0.047959-0.0070063i,0.028188+0.018285i,0.023208+0.022427i,0.023855+0.004719i,0.017372-0.0060512i,0.0088704-0.00059314i,0.0092844+0.0057901i,0.014102+0.0066781i,0.015172+0.007412i,0.013674+0.008156i,0.0096529+0.0060039i,0.0037331+0.0058381i,0.00029578+0.012491i,0.0025474+0.017686i,0.0061396+0.010429i,0.0044966-0.0015174i
-0.083513-0.018577i,-0.18385+0.031759i,-0.22569+0.14917i,-0.14838+0.21308i,-0.059859+0.15504i,-0.049441+0.078337i,-0.067712+0.034594i,-0.071869-0.0072612i,-0.074847-0.027401i,-0.069209-0.012899i,-0.052015+0.008685i,-0.03192+0.017609i,-0.014698+0.012491i,-0.0063355+0.0038467i,-0.0047897-0.00054608i,-0.0063935+0.00010709i,-0.0088169+0.0018704i,-0.010572+0.0030568i,-0.013168+0.0012934i,-0.016953-0.0064272i,-0.019595-0.012914i,-0.017677-0.0086124i,-0.010418+0.0041276i
0.046773-0.095436i,0.082962-0.20566i,0.10085-0.25607i,0.10865-0.18657i,0.1052-0.095414i,0.069075-0.047649i,0.029889-0.0083985i,0.021597+0.019218i,0.031224+0.0073692i,0.031179-0.020877i,0.020159-0.031177i,0.0094385-0.023475i,0.0021628-0.012132i,-0.0013499-0.0020638i,-0.0025127+0.0058271i,-0.0024146+0.010807i,-0.00035675+0.013657i,0.0042936+0.01371i,0.0087161+0.0095807i,0.0095572+0.0044993i,0.0059387+0.0041088i,0.0045182+0.0065857i,0.0085361+0.001765i
0.061977+0.054934i,0.077143+0.085869i,-0.018191+0.098914i,-0.16059+0.11422i,-0.17557+0.12449i,-0.078208+0.075878i,0.0005864+0.005215i,0.036194-0.020908i,0.042403-0.01613i,0.026353-0.0047402i,0.01094-0.00097055i,0.0012548-0.0058249i,-0.0018824-0.0084185i,0.0019443-0.013369i,0.0065985-0.023731i,0.0090267-0.032809i,0.0070497-0.035317i,0.0014397-0.028884i,-0.001365-0.01528i,0.0040231-0.0019034i,0.010554+0.0020046i,0.0063275-0.0016411i,-0.0048998-0.001009i
-0.010427+0.059397i,0.061007+0.090309i,0.2036+0.030396i,0.26773-0.099527i,0.17036-0.15013i,0.05567-0.088391i,0.0014529-0.034055i,-0.037324-0.014904i,-0.047738+0.0098293i,-0.016789+0.026931i,0.014289+0.026056i,0.021922+0.017884i,0.011335+0.011147i,-0.0013913+0.014837i,-0.003425+0.023229i,-0.0020131+0.026901i,-0.0047621+0.025948i,-0.0076875+0.02137i,-0.0073312+0.014802i,-0.0094678+0.011269i,-0.014802+0.010726i,-0.013342+0.0089249i,-0.0057581+0.0063475i
-0.10196-0.019051i,-0.23183+0.025432i,-0.31741+0.10546i,-0.25912+0.13782i,-0.12544+0.085462i,-0.05005+0.033121i,-0.009951+0.036486i,0.031997+0.027876i,0.029763-0.014307i,-0.0098598-0.034863i,-0.032717-0.024235i,-0.026645-0.011714i,-0.011317-0.0079117i,0.00014825-0.0072623i,0.0053446-0.0052184i,0.0074485-0.0026888i,0.010048-0.0030142i,0.0099991-0.0067382i,0.0027535-0.01373i,-0.0036874-0.019051i,-0.0016289-0.016751i,0.0021172-0.010115i,-0.0018886-0.0051951i
0.045827-0.097036i,0.069548-0.18658i,0.09406-0.19592i,0.11468-0.092965i,0.10649+0.0065791i,0.068814+0.015551i,0.022788-0.021609i,-0.0012404-0.038156i,0.0077221-0.024438i,0.024469-0.0099202i,0.022238-0.0083382i,0.0099585-0.0069303i,0.0029726-0.0048903i,-0.0057836-0.0035205i,-0.018391-3.9413e-05i,-0.026385-0.00025121i,-0.028139-0.0037333i,-0.022265-0.0038142i,-0.010627+0.0020539i,-0.00035002+0.0075905i,0.0020668+0.0050082i,0.00016315+0.0021969i,0.0025865+0.0038796i
0.070294+0.025293i,0.093269-0.0093164i,0.0027655-0.081725i,-0.15488-0.11019i,-0.2077-0.062427i,-0.14543-0.0048416i,-0.088321+0.036301i,-0.047626+0.076368i,-0.0027012+0.071866i,0.012628+0.027295i,0.0080721-0.00052371i,0.0088601-0.0049103i,0.01301-0.00022639i,0.019557+0.0024339i,0.028063-0.00075437i,0.035137-0.0012275i,0.035522+0.00065683i,0.027032+0.0013564i,0.014706+0.0013744i,0.0048349+0.0038816i,0.0021548+0.0098566i,0.0044993+0.006621i,0.0041738-0.0070983i
0.0066551+0.091817i,0.09334+0.19051i,0.24821+0.22665i,0.32586+0.13417i,0.23907+0.011815i,0.12372-0.027461i,0.092603-0.0348i,0.065975-0.059636i,0.010155-0.045498i,-0.014389+0.0019247i,-0.0082223+0.026917i,-0.0043184+0.027738i,-0.0093107+0.018936i,-0.017547+0.0093517i,-0.02144+0.0045108i,-0.018271+0.0009158i,-0.012739-0.0032253i,-0.0084645-0.0031976i,-0.0065858+0.0016422i,-0.0078972+0.0018418i,-0.010095-0.0050622i,-0.010438-0.0074143i,-0.008381-0.0021692i
-0.11337-0.016347i,-0.26002-0.0067298i,-0.36477+0.0267i,-0.30388+0.046463i,-0.14179+0.024489i,-0.053864-0.013892i,-0.064705-0.019073i,-0.068588+0.0018653i,-0.028031+0.0010974i,0.0012476-0.024338i,-0.0043647-0.036574i,-0.013516-0.025596i,-0.011873-0.0098434i,-0.0060257-0.00074221i,-0.0035379+0.0044752i,-0.0074878+0.012066i,-0.010159+0.019325i,-0.006187+0.01577i,0.001669-0.0012527i,0.0078014-0.015916i,0.0086882-0.011753i,0.008175+0.0024261i,0.0080827+0.0074129i
0.03347-0.087176i,0.047555-0.16286i,0.041453-0.15479i,0.030843-0.033054i,0.033344+0.071219i,0.029705+0.083126i,0.03301+0.065327i,0.05433+0.045349i,0.048663+0.020823i,0.023915+0.011872i,0.013246+0.0053187i,0.0057309-0.0085989i,-0.00060035-0.017934i,-0.0019019-0.024619i,-0.0025587-0.030774i,-0.0010463-0.033452i,0.00072344-0.029749i,-0.0006356-0.018705i,-0.0042834-0.003318i,-0.0033303+0.0089509i,0.0012734+0.0098353i,0.0017107+0.0027799i,-0.00082816-0.00067707i
0.07917+0.0025564i,0.14769-0.058557i,0.14428-0.19391i,0.025879-0.28804i,-0.08326-0.22992i,-0.080557-0.1362i,-0.058172-0.11215i,-0.073474-0.078895i,-0.061516-0.014201i,-0.014301+0.0125i,0.016964+0.0034461i,0.022349-0.0028375i,0.01733+0.00093226i,0.013615+0.009431i,0.013424+0.016243i,0.0095576+0.017474i,0.0025456+0.013089i,0.0017118+0.0072947i,0.0071462+0.0049445i,0.0071073+0.0050061i,-0.0021949+0.0044311i,-0.0083487+0.0031941i,-0.0044513+0.0017059i
-0.0055565+0.11165i,0.038007+0.26139i,0.13679+0.40159i,0.21738+0.37754i,0.18129+0.20822i,0.087785+0.093177i,0.044206+0.076775i,0.036742+0.053964i,0.01346+0.0072072i,-0.01875-0.0064571i,-0.027046+0.010478i,-0.016021+0.017026i,-0.0063704+0.007535i,-0.0028025-0.0021589i,0.0015373-0.0030845i,0.0098947+0.0009299i,0.013942+0.0031449i,0.0079256+0.0037454i,-0.0044384+0.0022845i,-0.01226-6.2232e-05i,-0.0066288-0.0020071i,0.0032434-0.0018614i,0.0042623+0.0003425i
-0.10674-0.027321i,-0.2384-0.059446i,-0.33617-0.083098i,-0.28578-0.077201i,-0.13287-0.051676i,-0.014345-0.031231i,0.036154-0.035856i,0.038774-0.050045i,0.02368-0.040053i,0.019496-0.019689i,0.017098-0.012625i,0.0074147-0.0083947i,0.00027348-0.0010267i,-0.0032991+0.0037215i,-0.0070624+0.0022478i,-0.011844-0.0057902i,-0.015517-0.011019i,-0.011266-0.0092256i,0.001857-0.0057366i,0.013278-0.0038997i,0.013482-0.0022257i,0.0060238-5.1686e-05i,0.0009511+0.0017252i
0.028118-0.086014i,0.027445-0.1634i,-0.014531-0.17347i,-0.074793-0.062849i,-0.08816+0.054327i,-0.076683+0.069991i,-0.07855+0.050378i,-0.052176+0.053096i,-0.0048297+0.039361i,0.0095562+0.008749i,0.0011884-0.0049832i,-0.00027984-0.0065425i,0.0060882-0.0079901i,0.013164-0.010348i,0.016705-0.010423i,0.017033-0.0053796i,0.014453-0.0020099i,0.0067912-0.0041458i,-0.0027161-0.0075265i,-0.0089387-0.0064755i,-0.01197-0.0015695i,-0.011431-0.00094226i,-0.0099741-0.0037143i
0.093088+0.0039116i,0.21469-0.032531i,0.31681-0.13352i,0.29061-0.23531i,0.15824-0.23227i,0.063231-0.13816i,0.05009-0.064723i,0.037065-0.045942i,0.002732-0.029118i,-0.0081719+0.00058448i,0.0027286+0.016237i,0.0080594+0.017573i,0.0056686+0.018181i,0.0013062+0.019142i,-0.00054222+0.017648i,0.002543+0.012175i,0.0081147+0.0058991i,0.012242+0.0039567i,0.011296+0.0073416i,0.0067067+0.0085466i,0.0033129+0.0035079i,0.0016897+0.00052355i,0.00066057+0.0028853i
-0.025383+0.10861i,-0.051837+0.26561i,-0.075405+0.42111i,-0.073637+0.43009i,-0.048288+0.28674i,-0.031859+0.12683i,-0.031423+0.039814i,-0.024934+0.014806i,-0.0077427+0.0050994i,-0.0014023-0.0096759i,-0.010304-0.016516i,-0.014514-0.011871i,-0.0097539-0.0058406i,-0.008341-0.0029532i,-0.012157+0.00067292i,-0.015052+0.0065962i,-0.012739+0.01036i,-0.0085805+0.0051594i,-0.0064014-0.0045802i,-0.0037596-0.0082837i,0.002131-0.0055807i,0.0089335-0.0011311i,0.012594-0.00037095i
-0.091176-0.040329i,-0.19609-0.097283i,-0.24602-0.15182i,-0.16631-0.15369i,-0.042879-0.099576i,0.010497-0.036644i,0.01163+0.013836i,0.025674+0.032314i,0.031362+0.01644i,0.014192+0.0037371i,0.0032992+0.0011169i,-0.0038297-0.0024976i,-0.012463-0.002586i,-0.014633-0.0013073i,-0.010055-0.0026754i,-0.0026694-0.0036925i,0.0012319-0.0016588i,0.00063555+0.0034114i,0.00044697+0.010436i,0.0018403+0.015424i,0.001177+0.014714i,-0.0029258+0.0093228i,-0.0075055+0.0030018i
0.029607-0.081053i,0.038903-0.17111i,0.0019136-0.23036i,-0.089305-0.19245i,-0.15497-0.099501i,-0.13623-0.036679i,-0.08465-0.025926i,-0.058214-0.015288i,-0.036695+0.0095809i,-0.0041559+0.012629i,0.015635-0.0033323i,0.019016-0.011338i,0.018868-0.010454i,0.019816-0.0097725i,0.019473-0.01049i,0.01485-0.011208i,0.0091997-0.010782i,0.0071021-0.010426i,0.0085799-0.011629i,0.0057847-0.0117i,-0.0018639-0.0092369i,-0.0049753-0.0056759i,-0.0020462-0.002503i
0.089201+0.017801i,0.21612+0.044053i,0.3515+0.063839i,0.39322+0.058608i,0.31536+0.029887i,0.19105-0.0024867i,0.091288-0.018588i,0.032897-0.016794i,0.0066996-0.014703i,-0.0049354-0.010619i,-0.0081719+0.0024668i,-0.0059481+0.010314i,-0.0054348+0.0093355i,-0.0065746+0.0089599i,-0.0063802+0.010405i,-0.0047411+0.011402i,-0.0042082+0.011757i,-0.003981+0.012644i,-0.003789+0.013202i,-0.0034791+0.010007i,-0.00084093+0.0040623i,0.0023846+0.00032474i,0.0028859-0.0012008i
-0.042813+0.081649i,-0.12012+0.18953i,-0.22499+0.26337i,-0.27114+0.21588i,-0.21855+0.089304i,-0.12811+0.00027539i,-0.054207-0.021104i,-0.016118-0.025523i,-0.0083611-0.024136i,-0.0032686-0.0093998i,0.0062103+0.001372i,0.010359+0.0045425i,0.010907+0.0049425i,0.0078213+0.0014528i,0.0034315-0.0035764i,0.001232-0.0069432i,0.00013278-0.0051878i,0.0014664-0.0021972i,0.0029054-0.0022087i,0.0014968-0.00030575i,0.00089526+0.0045324i,0.0023651+0.0089282i,0.0025755+0.011362i
-0.060258-0.04399i,-0.12267-0.10703i,-0.14072-0.15858i,-0.086363-0.11379i,-0.008157+0.0069445i,0.037492+0.074198i,0.032709+0.059604i,0.013803+0.035515i,0.01312+0.022698i,0.011698+0.005393i,-0.00075901-0.0045463i,-0.0093264-0.0062035i,-0.014434-0.0094341i,-0.017014-0.011389i,-0.014228-0.0088974i,-0.010653-0.0040589i,-0.010683-0.002772i,-0.01369-0.0030441i,-0.015458-0.0012489i,-0.014725+0.0019214i,-0.014335+0.0038305i,-0.013069+0.0023576i,-0.0087637-0.001036i
