1.8501e-05-0.0010171i,-0.00059494-0.00070937i,-0.00076329+0.0010237i,-0.00053613+0.0013272i,-0.00024738+0.0017339i,-0.00039909+0.0016072i,-0.00038283+0.00077131i,0.00048884+0.0013331i,0.0013519+0.0011238i,0.0016933-0.00017154i,0.0010582-0.00077827i,-0.00021973-0.00072194i,-5.3654e-05-0.00037622i,0.00033724+0.00046238i,-0.00021884+0.00082714i,-0.00030905+0.00038246i,-0.00035194-0.00022426i,-0.00062974-0.00037307i,0.00039374-0.00012349i,0.00090368+0.00014126i,-0.00016605+0.00025146i,-0.0004283-0.00012235i,-0.00018744+1.0758e-05i
-0.25304+0.21928i,-0.48037+0.21016i,-0.58488+0.083753i,-0.49601-0.016025i,-0.33425-0.00070963i,-0.21728+0.041385i,-0.14488+0.016643i,-0.10497-0.03557i,-0.08017-0.047453i,-0.052381-0.033255i,-0.020628-0.010166i,0.0093754+0.010437i,0.015754+0.014305i,0.00033963+0.0066753i,-0.011593-0.00052229i,-0.01055+0.0027489i,-0.0028923+0.0091426i,-0.0016661+0.0062455i,-0.0052556-0.0020633i,-0.0061736-0.007873i,-0.010102-0.0039703i,-0.013377+0.0062611i,-0.010592+0.010822i
0.2636-0.21775i,0.49256-0.37539i,0.5386-0.31176i,0.39561-0.072519i,0.23173+0.10023i,0.13162+0.13076i,0.077346+0.092834i,0.041243+0.049507i,0.010098+0.037526i,0.0015187+0.039096i,-0.0045199+0.019493i,-0.025027-0.0004703i,-0.035677-0.0007375i,-0.024892+0.013047i,-0.0030805+0.015975i,0.0022676-0.0049604i,-0.0095283-0.020831i,-0.013774-0.020504i,-0.012376-0.011753i,-0.0088659+0.0024428i,0.00033416+0.0090416i,0.0024128+0.0068853i,-0.0053163+0.0056437i
-0.22671+0.39759i,-0.28255+0.6888i,-0.24768+0.63269i,-0.22205+0.28028i,-0.23209+0.019745i,-0.19552-0.011574i,-0.095761+0.047869i,-0.0044499+0.053039i,0.014542+0.0020433i,-0.0075139-0.003501i,0.012445+0.030242i,0.060417+0.030505i,0.082361+0.0036244i,0.067867-0.021619i,0.031581-0.024574i,0.012653-0.0042932i,0.018618+0.010947i,0.021701+0.014163i,0.019452+0.014817i,0.020262+0.013187i,0.023855+0.0077319i,0.026534-0.0016843i,0.022784-0.0070774i
0.12491-0.55466i,0.098472-0.85012i,0.086207-0.81852i,0.15341-0.52629i,0.22301-0.30284i,0.1878-0.21779i,0.088745-0.15738i,0.036522-0.06828i,0.055977-0.0030774i,0.074211-0.0086248i,0.03798-0.034372i,-0.02429-0.028087i,-0.063127-0.0032729i,-0.060716+0.014558i,-0.032953+0.014621i,-0.013911+0.0046722i,-0.012899-0.00080815i,-0.01208-0.0035325i,-0.0054227-0.0070081i,-0.0029865-0.0072348i,-0.0082208-0.0041457i,-0.011686+5.0367e-05i,-0.0055883+0.00094597i
0.069384+0.58881i,0.082924+0.86452i,0.025915+0.84426i,-0.076335+0.6186i,-0.13008+0.43387i,-0.10755+0.28084i,-0.078867+0.14104i,-0.069146+0.062441i,-0.069533+0.029779i,-0.063193+0.025037i,-0.029774+0.020304i,0.0066752-0.0059023i,0.013023-0.027768i,-0.0045095-0.027385i,-0.01461-0.01273i,-0.0047093-0.0019887i,0.0063757+0.001637i,0.0079582+0.0093522i,0.0026029+0.012852i,-0.007906+0.0069438i,-0.013236+0.0033156i,-0.011287+0.0050717i,-0.0088845+0.009649i
-0.29476-0.42157i,-0.38123-0.65871i,-0.34931-0.63506i,-0.23688-0.42971i,-0.15174-0.27892i,-0.10765-0.18224i,-0.069275-0.11965i,-0.047108-0.079906i,-0.016597-0.039236i,0.0039285-0.023389i,-0.017255+0.00082858i,-0.031212+0.045665i,-0.014968+0.065899i,0.011465+0.056231i,0.018372+0.028105i,-0.0054209+0.0069999i,-0.027385+0.0045428i,-0.033355+0.0025779i,-0.028862+0.0012661i,-0.013807+0.0023962i,-0.0052151+0.00045132i,-0.0087488+0.0026265i,-0.010993+0.0078761i
0.2094+0.24449i,0.45938+0.43595i,0.58454+0.36959i,0.45192+0.13099i,0.20096+0.017002i,0.043524+0.030312i,0.038291+0.036437i,0.057178-0.01731i,-0.0016758-0.047364i,-0.034916+0.0077805i,0.017463+0.034082i,0.060794-0.0099431i,0.050704-0.052737i,0.012408-0.062882i,-0.014203-0.040197i,-0.0010994-0.018573i,0.026792-0.021541i,0.040035-0.029858i,0.033723-0.025239i,0.020357-0.010045i,0.018829-0.004652i,0.024082-0.014928i,0.020908-0.021371i
-0.0878-0.38555i,-0.41593-0.49171i,-0.6033-0.29769i,-0.44634-0.014487i,-0.18556+0.043626i,-0.091167-0.033983i,-0.12151-0.033479i,-0.093122+0.037602i,0.0030291+0.04757i,0.034582-0.010814i,0.0051115-0.026164i,-0.010357+0.0049632i,-0.0090454+0.032916i,0.0015332+0.041133i,0.01052+0.027494i,0.0016311+0.018907i,-0.014088+0.025703i,-0.02171+0.030052i,-0.02074+0.020639i,-0.020576+0.0069641i,-0.020642+0.010347i,-0.012911+0.021935i,-0.0043796+0.018324i
0.38105+0.60807i,0.59491+0.58109i,0.53137+0.31335i,0.26614+0.10241i,0.1029+0.080028i,0.10737+0.07626i,0.12163+0.0092864i,0.058812-0.02097i,-0.0080939+0.034262i,-0.0037387+0.082058i,0.012627+0.0513i,-0.0039366-0.0021886i,-0.020855-0.025672i,-0.020315-0.022982i,-0.0065784-0.013265i,-0.00057774-0.014652i,-0.0068459-0.021597i,-0.010562-0.023153i,-0.012466-0.015332i,-0.012307-0.0068254i,-0.010673-0.011506i,-0.014486-0.018606i,-0.015723-0.01264i
-0.56956-0.088529i,-0.58721-0.07213i,-0.3526-0.0085852i,-0.12174+0.012905i,-0.090571-0.017618i,-0.16136-0.0118i,-0.16807+0.035977i,-0.08619+0.042921i,-0.014996-0.031005i,-0.019822-0.084705i,-0.028368-0.045604i,0.0027351+0.0061822i,0.029249+0.014364i,0.032305-0.00070815i,0.023363-0.010395i,0.021214+0.0023254i,0.025481+0.019593i,0.022664+0.024936i,0.01656+0.023149i,0.013582+0.018605i,0.01354+0.01236i,0.013667+0.005591i,0.0080254+0.0041789i
-0.047213-0.22113i,-0.039245-0.15199i,-0.049145-0.14204i,-0.090921-0.19151i,-0.079603-0.17418i,0.015477-0.12812i,0.072065-0.14232i,0.0293-0.15273i,-0.019124-0.082086i,0.00042993-0.0042205i,0.026291-0.0018377i,0.005338-0.022593i,-0.0282-0.014891i,-0.050179+0.0031791i,-0.060506+0.007485i,-0.057859-0.0057079i,-0.04799-0.019682i,-0.03296-0.024118i,-0.013828-0.016012i,0.0047834-0.0061225i,0.015306-0.0069303i,0.013789-0.013768i,0.008179-0.018945i
0.33267-0.55539i,0.18036-0.61953i,0.058536-0.35246i,0.11122-0.053239i,0.12683+0.06822i,0.0081284+0.14777i,-0.017784+0.24239i,0.07466+0.22041i,0.098961+0.095337i,0.036371+0.027099i,0.0083127+0.036983i,0.021884+0.039939i,0.018598+0.032952i,0.0057494+0.030479i,-3.1761e-05+0.017899i,0.0011646+0.0063053i,0.013189+0.0098475i,0.027678+0.014431i,0.026769+0.004018i,0.0097289-0.0050284i,-0.0045554+0.0047475i,-0.004438+0.019265i,0.0019009+0.024143i
0.41593+0.8155i,0.49214+0.8784i,0.32113+0.68763i,0.083454+0.46513i,-0.0095893+0.24482i,0.034792-0.015904i,0.027994-0.17279i,-0.046639-0.11653i,-0.052681+0.010441i,-0.011436+0.055154i,-0.0033327+0.048284i,-0.0029653+0.039942i,0.0090532+0.014549i,0.014524-0.012078i,0.0075214-0.014163i,-0.0097738-0.00075013i,-0.018637+0.012721i,-0.013639+0.015682i,-0.010886+0.011471i,-0.01414+0.0013543i,-0.021606-0.014963i,-0.031452-0.01931i,-0.029895-0.0064188i
-0.47423-0.071051i,-0.40776-0.36361i,-0.28413-0.63404i,-0.23028-0.61379i,-0.16913-0.34247i,-0.093468-0.064337i,-0.040773+0.023584i,-0.022578-0.044987i,-0.040565-0.091906i,-0.02979-0.074936i,0.0091456-0.066195i,0.020546-0.065287i,0.010088-0.047135i,0.0079301-0.023145i,0.024807-0.0062116i,0.043351-0.0054274i,0.038711-0.018605i,0.015642-0.028567i,-0.00060945-0.028571i,0.0021096-0.019689i,0.017511-0.009121i,0.03422-0.0078196i,0.037078-0.0059338i
-0.33413+0.19466i,-0.20284+0.63487i,0.079114+0.83344i,0.21344+0.64494i,0.11454+0.36662i,-0.034784+0.15497i,-0.10245+0.026664i,-0.081821-0.010157i,-0.028258+0.0010569i,0.010837+0.028297i,0.03352+0.04272i,0.028276+0.031238i,0.0093761+0.022502i,0.0078839+0.024724i,0.013963+0.024134i,0.01221+0.017124i,0.0037469+0.0089147i,-0.00093772+0.0055558i,-0.0060795+0.010319i,-0.01764+0.019343i,-0.021206+0.025298i,-0.01359+0.022831i,-0.0072182+0.0077237i
0.19932-0.86357i,-0.15914-1.1181i,-0.5118-0.86175i,-0.54534-0.38931i,-0.44013-0.096094i,-0.41744+0.047092i,-0.3656+0.15682i,-0.19966+0.20715i,-0.043251+0.15117i,0.0076626+0.081618i,0.021715+0.07508i,0.041501+0.068362i,0.025118+0.04196i,-0.014431+0.01406i,-0.042572-0.026893i,-0.056419-0.045501i,-0.044078-0.025587i,-0.023969-0.0087484i,-0.01598-0.0037262i,-0.0069904+0.0042208i,0.0049471+0.015466i,0.015425+0.019648i,0.018365+0.010205i
0.49781+0.76046i,0.83948+0.84486i,0.98099+0.55247i,0.82437+0.13696i,0.54952-0.13296i,0.3876-0.29374i,0.26814-0.37078i,0.10502-0.2925i,-0.0040454-0.15533i,-0.057995-0.079362i,-0.090177-0.047139i,-0.076245-0.038708i,-0.050279-0.063768i,-0.047839-0.082016i,-0.049647-0.064273i,-0.041999-0.030285i,-0.02458-0.0056449i,-0.007852+0.0013974i,-0.0071173+0.0036024i,-0.015696-0.0029053i,-0.018125-0.026303i,-0.019496-0.046823i,-0.019678-0.039982i
-0.42654-0.050687i,-0.74692-0.2272i,-0.98528-0.1759i,-0.88949+0.09039i,-0.57207+0.31522i,-0.28888+0.45666i,-0.036699+0.44391i,0.10717+0.21476i,0.07922+0.034691i,0.070413+0.018594i,0.092019+0.0041975i,0.056598-0.00033771i,0.029659+0.043151i,0.034828+0.061128i,0.050344+0.038121i,0.055444-0.00066402i,0.023016-0.015615i,-0.00721+0.0032779i,-0.0080052+0.010145i,0.0030649+0.010864i,0.020917+0.023719i,0.023844+0.029425i,-0.00010448+0.034057i
-0.04637+0.047748i,0.18587+0.1625i,0.44467+0.11854i,0.42361-0.1079i,0.20164-0.3625i,0.00079544-0.52015i,-0.12867-0.40302i,-0.11055-0.10014i,-0.020916+0.042643i,-0.038733+0.081402i,-0.040865+0.14404i,0.010294+0.099142i,-0.011758+0.0036899i,-0.043887-0.011011i,-0.040413+0.01156i,-0.03484+0.03234i,-0.0084416+0.0256i,0.0056524-0.0060187i,-0.0045452-0.0052078i,0.0019499+0.0025141i,0.0058024-0.021688i,-0.01254-0.045426i,-0.034421-0.042254i
-1.6591+6.572i,0.56107+6.5699i,3.2909+5.7004i,4.1336+2.4151i,3.0568-1.0032i,0.59076-2.799i,-1.4062-2.1504i,-1.6609-0.55873i,-0.54869+0.3947i,0.6394+0.0979i,0.80347-0.64629i,0.35842-1.0949i,-0.24948-1.7105i,-1.0641-2.4862i,-1.4174-2.5287i,-0.95759-1.5017i,-0.36331-0.4037i,-0.31555+0.10508i,-0.65441+0.36805i,-0.65729+0.65506i,-0.15029+0.7673i,0.3842+0.48517i,0.47041+0.0097754i
0.0088736+0.27371i,0.029533+0.26291i,0.061584+0.1102i,0.042111-0.030272i,0.12908-0.058909i,0.43185-0.059084i,0.60368-0.089445i,0.42703-0.068784i,0.16557+0.012668i,0.025223+0.029151i,-0.038944-0.029183i,-0.085667-0.093344i,-0.11613-0.11819i,-0.10973-0.087881i,-0.073698-0.037649i,-0.038413-0.013006i,-0.02274-0.026961i,-0.033586-0.042047i,-0.044052-0.027928i,-0.028797-0.024177i,-0.013585-0.046604i,-0.022269-0.061301i,-0.034919-0.045707i
-0.040277-0.23319i,-0.086054-0.31773i,-0.17896-0.24107i,-0.1437-0.1177i,-0.030971-0.10037i,-0.057506-0.12006i,-0.082195-0.096496i,-0.019164-0.088583i,0.018046-0.084946i,0.037159-0.047826i,0.046363-0.02033i,0.037154+0.0071754i,0.0333+0.033131i,0.020662+0.033012i,0.0024621+0.028383i,-0.0026853+0.032092i,0.00025924+0.041337i,0.01292+0.043913i,0.025088+0.028856i,0.023312+0.0090117i,0.020745-0.0068695i,0.023364-0.013943i,0.022201-0.0041275i
-0.2706-0.090955i,-0.27061+0.25249i,0.11423+0.56833i,0.44957+0.60444i,0.46371+0.53742i,0.43377+0.48658i,0.38916+0.29788i,0.19221+0.075946i,0.044418+0.027249i,0.078425-0.0099379i,0.1023-0.11985i,0.046788-0.13554i,0.029726-0.072781i,0.040849-0.059593i,0.018496-0.066588i,-0.0059643-0.052049i,-0.0097357-0.043216i,-0.010827-0.035327i,-0.0079372-0.015288i,3.8761e-05-0.0058612i,-0.008846-0.0066567i,-0.028795-0.002416i,-0.035572-0.00052149i
0.42762-0.26309i,0.23935-0.64653i,-0.25861-0.83717i,-0.51882-0.58832i,-0.27039-0.15294i,0.075077+0.13135i,0.18103+0.20582i,0.13856+0.16667i,0.086926+0.10971i,0.06367+0.04151i,0.034676-0.038005i,-0.0084891-0.076218i,-0.029762-0.070482i,-0.028138-0.042942i,-0.018513+0.0065759i,-0.0088394+0.050667i,-0.0066638+0.065826i,-0.002224+0.052i,0.007566+0.010415i,0.0051149-0.025419i,-0.01204-0.025307i,-0.028572-0.0032951i,-0.027058+0.015603i
-0.29805+0.4194i,-0.071841+0.73658i,0.40553+0.82027i,0.67187+0.52973i,0.5523+0.12321i,0.3134-0.11569i,0.14341-0.1754i,0.043405-0.14901i,-0.0097489-0.11334i,-0.034196-0.090438i,-0.029509-0.066935i,-0.008844-0.049647i,0.011593-0.024284i,0.051393+0.016141i,0.094907+0.031597i,0.10056+0.0086594i,0.077713-0.018067i,0.048658-0.023987i,0.016314-0.010017i,-0.0049289+0.0020916i,-0.012591-0.011045i,-0.023998-0.033114i,-0.036875-0.03495i
-0.040623-0.30443i,-0.19655-0.50085i,-0.45961-0.58574i,-0.54491-0.43586i,-0.37519-0.23795i,-0.22996-0.14804i,-0.20392-0.085417i,-0.14943-0.023479i,-0.042983+0.00080569i,0.037664-0.014204i,0.04492-0.033008i,0.021973+0.003707i,0.036018+0.060049i,0.047372+0.070179i,0.020434+0.055579i,-0.013079+0.04369i,-0.03661+0.036765i,-0.036678+0.041385i,-0.0028801+0.035716i,0.023468+0.0093314i,0.015051-0.0042178i,0.0021445+0.00069118i,-0.00069077-0.00057821i
0.1727-0.26564i,0.33848-0.14827i,0.60126+0.016075i,0.6746+0.026472i,0.52476+0.044074i,0.41909+0.13182i,0.33952+0.099584i,0.16748+0.015258i,0.035089+0.0053911i,-0.012548-0.011047i,-0.037988-0.039078i,-0.037347-0.049432i,-0.033975-0.05124i,-0.035398-0.021065i,-0.017788+0.022732i,0.011957+0.030304i,0.038582+0.0018041i,0.044855-0.032584i,0.024818-0.04408i,0.0033645-0.026707i,-0.0066172-0.0037836i,-0.010995+0.004481i,-0.010676-0.0036755i
0.15711+0.37033i,-0.073149+0.31016i,-0.4367+0.19681i,-0.49021+0.18923i,-0.2098+0.11911i,0.0071078-0.066476i,0.025307-0.11092i,0.020313-0.019052i,0.044663+0.024743i,0.041848+0.0091134i,0.0090856-0.0014082i,-0.018139+0.011033i,-0.019517+0.013363i,-0.021441-0.0077244i,-0.030991-0.017932i,-0.035905-0.0060193i,-0.040971+0.017934i,-0.034341+0.041709i,-0.010867+0.043322i,0.0018357+0.022824i,-0.0039049+0.0094944i,-0.011073+0.014664i,-0.0069431+0.019651i
-0.22209-0.0084435i,-0.020268+0.033306i,0.28606+0.083148i,0.34501-0.001064i,0.15539-0.11131i,0.024072-0.067642i,0.018681-0.02805i,-0.020333-0.06633i,-0.070776-0.071467i,-0.062809-0.061141i,-0.054334-0.064213i,-0.050733-0.048528i,-0.024256-0.022159i,0.0068314-0.00423i,0.018978-0.00050982i,0.019172-0.0070828i,0.022084-0.018335i,0.014191-0.030899i,-0.0023831-0.027563i,-0.0038027-0.013795i,0.0024763-0.016598i,0.00080666-0.031136i,-0.0063959-0.038581i
-0.066861-0.033432i,-0.053188-0.096968i,-0.069974-0.30927i,-0.092859-0.36208i,-0.036944-0.15623i,0.017263-0.0029503i,-0.00045292+0.043785i,0.013893+0.073522i,0.043666+0.057575i,0.018741+0.037884i,-0.0048633+0.037854i,-0.0077924+0.023954i,-0.0068049+0.00095417i,-0.0030996-0.021482i,0.00025065-0.031577i,0.0031757-0.026083i,-0.000522-0.016528i,-0.0029087-0.0014433i,0.0033329+0.0083445i,0.0069755+0.011768i,0.0078998+0.019635i,0.011406+0.02889i,0.017615+0.033341i
0.18356-0.27358i,0.011316-0.084146i,-0.096639+0.37721i,0.018104+0.60851i,0.16884+0.43114i,0.18496+0.20377i,0.12625+0.111i,0.074178+0.064262i,0.057634+0.018875i,0.054942-0.027472i,0.037178-0.052429i,0.013435-0.040241i,-0.0062332-0.0059643i,-0.012502+0.028619i,-0.0032885+0.040022i,0.0076662+0.032368i,0.014411+0.026945i,0.01498+0.023434i,0.0062891+0.015561i,-0.0049719+0.0048506i,-0.012842+0.0010639i,-0.012635+0.0082789i,-0.0037036+0.0078783i
0.04904+0.31064i,0.15544+0.04474i,0.15996-0.44584i,-0.00036328-0.66699i,-0.13612-0.47977i,-0.10993-0.20857i,-0.046087-0.066401i,-0.046816-0.010358i,-0.064057+0.026137i,-0.046078+0.036167i,-0.020722+0.012684i,-0.011372-0.0044661i,0.006718-0.0029913i,0.032739-0.0071918i,0.037417-0.01109i,0.019305-0.011403i,-0.0017001-0.018754i,-0.01068-0.026688i,-0.00073705-0.024842i,0.014857-0.016781i,0.016205-0.013275i,0.00041905-0.011673i,-0.016715-0.0023911i
-0.13896+0.038158i,-0.075415+0.30801i,0.05683+0.60652i,0.18239+0.63232i,0.19061+0.40415i,0.099305+0.19216i,0.044314+0.092172i,0.037208+0.026001i,0.025293-0.024464i,0.0037971-0.042704i,-0.01669-0.032019i,-0.010931-0.017214i,0.011273-0.028441i,0.0099389-0.034863i,0.0025611-0.0084643i,0.017884+0.018734i,0.03575+0.025494i,0.039932+0.019032i,0.031425+0.003524i,0.016612-0.0059874i,0.011642+0.00050425i,0.018637+0.0060068i,0.020306+0.0014514i
-0.22922-0.34925i,-0.41653-0.53707i,-0.48845-0.63718i,-0.39479-0.53606i,-0.16011-0.36269i,0.051147-0.30798i,0.048954-0.30293i,-0.04022-0.1937i,-0.036332-0.056592i,-0.0021219-0.000198i,-0.0051075+0.015624i,-0.020239+0.031152i,-0.029061+0.044544i,-0.024048+0.04693i,-0.017892+0.027042i,-0.027873+0.0029304i,-0.04246-0.0051914i,-0.047268+0.003148i,-0.041583+0.016452i,-0.031233+0.018949i,-0.024631+0.014644i,-0.020945+0.010131i,-0.014503+0.002659i
0.53009+0.21151i,0.65614+0.37704i,0.57452+0.50954i,0.3976+0.4412i,0.18879+0.25835i,-0.015794+0.169i,-0.067873+0.16213i,-0.013957+0.10502i,0.0014796+0.033543i,-0.0023125+0.0042523i,0.0071267-0.018722i,0.014282-0.039481i,0.016517-0.04005i,0.016611-0.026117i,0.014709-0.012324i,0.012278-0.0020725i,0.018697+0.0043946i,0.031051-0.00073563i,0.033102-0.0093378i,0.023525-0.010173i,0.006397-0.0077732i,-0.0077619+0.00034037i,-0.0049691+0.010559i
-0.34068+0.050414i,-0.34971-0.12499i,-0.18587-0.33118i,-0.059138-0.34924i,-0.0295-0.19203i,0.051743-0.042505i,0.11321+0.013276i,0.074403+0.025338i,0.017506+0.01234i,-0.019052-0.013643i,-0.038654-0.016445i,-0.037845+0.00022361i,-0.019418+0.011304i,-7.1571e-05+0.0033216i,0.0030159-0.0060222i,0.0021943-0.0093426i,0.00018104-0.013928i,-0.010219-0.0093359i,-0.011482-0.00015114i,0.0011929+0.00012519i,0.012327-0.0077471i,0.014021-0.017727i,0.0045138-0.021293i
-0.057232-0.051019i,-0.14004+0.040211i,-0.31191+0.12005i,-0.3624+0.13139i,-0.19282+0.086067i,-0.052891+0.032418i,-0.011604+0.016869i,0.019953+0.0049763i,0.037665-0.0014454i,0.049678+0.007603i,0.054416-0.0023756i,0.034366-0.01038i,0.011523+0.0070914i,0.001091+0.026484i,0.0017724+0.028364i,0.0022835+0.019702i,-0.0061129+0.016718i,-0.0098846+0.014436i,-0.0074175+0.007189i,-0.0068283+0.0087301i,-0.0048018+0.017965i,-0.00071797+0.021406i,0.0065992+0.01295i
0.23206-0.24003i,0.40833-0.2137i,0.66759-0.080479i,0.74336-0.0097137i,0.51463+0.0079858i,0.27385+0.04049i,0.14149+0.030518i,0.044122+0.001977i,-0.0042678-0.010636i,-0.024909-0.02593i,-0.045849-0.022862i,-0.044106-0.0077003i,-0.028471-0.0069217i,-0.012669-0.0098094i,0.0020304-0.0052464i,0.01526-0.00066593i,0.026642-0.0060517i,0.024136-0.013252i,0.0094292-0.0086977i,-0.0014607+0.00082458i,-0.0055682+0.0056955i,-0.0057972+0.0058188i,-0.0072135+0.0034202i
-0.078307+0.34679i,-0.30733+0.30621i,-0.62306+0.13052i,-0.72287+0.02727i,-0.52959-0.0082739i,-0.33077-0.064146i,-0.24468-0.058518i,-0.15793+0.0054147i,-0.061768+0.035201i,-0.013443+0.029429i,0.0034375+0.024625i,0.023377+0.019094i,0.041107-0.0041551i,0.039691-0.028817i,0.026344-0.03185i,0.0092123-0.018077i,-0.010911+0.0016394i,-0.019076+0.020852i,-0.0070143+0.020406i,0.0013622-6.0106e-05i,-0.0090986-0.013576i,-0.021283-0.0084796i,-0.016953+0.0055185i
0.0062721-0.15762i,0.23158-0.22665i,0.44595-0.21381i,0.4658-0.17579i,0.34513-0.12292i,0.26423-0.031632i,0.24889+0.0029727i,0.1869-0.041259i,0.082063-0.052261i,0.032149-0.026862i,0.0063097-0.030485i,-0.037948-0.031678i,-0.061061-0.0060919i,-0.054208+0.017904i,-0.036986+0.024726i,-0.019387+0.01676i,-0.0016009+0.00039317i,0.008824-0.021924i,-0.00037599-0.028953i,-0.0075599-0.011974i,0.0020688-0.0014087i,0.011383-0.0092387i,0.0094241-0.020305i
-0.25404+0.024323i,-0.39784+0.22479i,-0.37174+0.35128i,-0.19293+0.31183i,-0.032705+0.15878i,0.0073287-0.018449i,-0.033321-0.086479i,-0.042004-0.035354i,-0.0049532-0.0066793i,-0.0014742-0.018274i,-0.0024146-0.0058391i,0.020385+0.011151i,0.035288+0.015672i,0.039299+0.013762i,0.032498+0.0039436i,0.017987-0.0073061i,0.0044095-0.010414i,0.00065486+0.0027845i,0.013901+0.015391i,0.021279+0.01389i,0.013313+0.016579i,0.0088774+0.026627i,0.0076116+0.028502i
0.42812-0.13127i,0.46543-0.26829i,0.30841-0.28497i,0.096545-0.17896i,-0.010648-0.031685i,-0.0071531+0.096312i,0.018153+0.13004i,0.0067217+0.082429i,-0.012826+0.049789i,-0.0031249+0.032193i,0.00091151+0.00326i,-0.010793-0.017527i,-0.017614-0.024482i,-0.020541-0.022375i,-0.022042-0.0096058i,-0.017051+0.010407i,-0.0074329+0.025678i,-0.0072852+0.022579i,-0.017615+0.0074062i,-0.019676-0.0052223i,-0.014022-0.014333i,-0.010398-0.016933i,-0.0060532-0.014412i
-0.22451+0.18446i,-0.2406+0.095342i,-0.17998-0.085373i,-0.093073-0.17204i,-0.026213-0.1367i,0.0097428-0.080912i,0.023-0.042973i,0.013633-0.016762i,-0.0064985-0.00274i,-0.011877+0.0012934i,-0.0052082-0.0034419i,-0.0025857-0.0051745i,-0.0056741+0.00015168i,-0.0039808+0.010028i,0.012285+0.014355i,0.02641-0.0005492i,0.022619-0.023574i,0.012257-0.03361i,0.0069609-0.026787i,0.0063738-0.014536i,0.0045943-0.0076439i,0.00024125-0.0077793i,-0.0027305-0.0068175i
-0.084699+0.13146i,-0.001954+0.43616i,0.10513+0.66499i,0.1325+0.59853i,0.071866+0.35474i,-0.016327+0.18415i,-0.052388+0.13222i,-0.018138+0.088119i,0.014616+0.014257i,0.0031664-0.029311i,-0.0095544-0.02628i,0.0052447-0.014347i,0.028438-0.011478i,0.031953-0.01707i,0.010078-0.020348i,-0.01263-0.0076104i,-0.016441+0.015407i,-0.0037576+0.030147i,0.0092867+0.027095i,0.011359+0.016875i,0.013097+0.013565i,0.017865+0.011201i,0.013801+0.0030441i
0.067264-0.55957i,-0.040491-0.91671i,-0.1126-1.0552i,-0.097121-0.86959i,-0.023034-0.52326i,0.074795-0.27801i,0.0975-0.20312i,0.033799-0.14804i,0.0031337-0.05085i,0.021744+0.001123i,0.013996+0.0082631i,-0.014232+0.019817i,-0.025357+0.022i,-0.017736+0.010285i,0.0002722+0.0055718i,0.017347+0.0054978i,0.019276-0.0023363i,0.0029716-0.0090749i,-0.011249-0.00050787i,-0.0090702+0.0075642i,-0.0099604+0.0037038i,-0.016718+0.0037907i,-0.010827+0.0075853i
0.18193+0.55805i,0.22317+0.81415i,0.14573+0.87393i,0.057424+0.69883i,0.0068032+0.40797i,-0.069646+0.18664i,-0.10283+0.1144i,-0.056218+0.085941i,-0.022783+0.044778i,-0.016548+0.020375i,-0.0042553-0.00026154i,0.00088232-0.017257i,-0.0011276-0.010726i,-0.0025635+0.0024082i,-0.0060439+0.0024585i,-0.012827-0.005946i,-0.017129-0.0077305i,-0.0062196-0.0085998i,0.0048092-0.020463i,-0.0017498-0.024697i,-0.0079673-0.015505i,-0.0079347-0.0096802i,-0.0083471-0.0083916i
-0.20066-0.14536i,-0.13426-0.26452i,0.020291-0.31601i,0.10137-0.26537i,0.10072-0.17652i,0.11727-0.10635i,0.11285-0.071156i,0.057858-0.044948i,0.012921-0.024126i,-0.0047632-0.016432i,-0.013909-0.0049219i,-0.011558+0.0043405i,0.00045932+0.00050039i,0.010381-0.004595i,0.010285-0.0019287i,0.0068669+0.0056397i,0.0094126+0.0089981i,0.0083879+0.0095279i,0.005483+0.012679i,0.0090272+0.012363i,0.016857+0.0090986i,0.022369+0.0065969i,0.017325+0.0040537i
-0.15943-0.18308i,-0.29553-0.16327i,-0.34483-0.13033i,-0.24942-0.11234i,-0.09695-0.074208i,-0.012652-0.045117i,-0.0015285-0.026593i,0.0083017+0.0015767i,0.025656+0.013409i,0.022726+0.013139i,0.012466+0.01287i,0.0031842+0.010642i,-0.011432+0.01129i,-0.021268+0.011168i,-0.014682+0.0089326i,0.0015321+0.0041083i,0.0081921-0.0040071i,0.0017929-0.0069498i,-0.0041481-0.0031274i,-0.0059524-0.00186i,-0.0091136-0.0042368i,-0.01272-0.003872i,-0.0098043-0.0017845i
0.48012+0.10478i,0.65019+0.17276i,0.6109+0.27051i,0.40594+0.33623i,0.20149+0.31924i,0.10877+0.26387i,0.095469+0.18382i,0.06964+0.079248i,0.019132+0.0077588i,-0.0096903-0.021862i,-0.012788-0.0418i,-0.010597-0.05069i,-0.0030341-0.041477i,0.0074635-0.022995i,0.010104-0.0094069i,0.0018327-0.0016764i,-0.0031105+0.0067241i,0.002649+0.0083243i,0.0050065+0.000942i,-2.5364e-05+0.00061167i,-0.0050751+0.01009i,-0.0063817+0.017794i,-0.0050706+0.017276i
