-0.0029471+0.002019i,-0.00094887+0.0028323i,-0.00018174+0.0028875i,-8.2551e-05+0.0016702i,-0.00059151+0.0012807i,-0.00069471+0.00023433i,-0.00011046-0.00059181i,0.00073444-5.8522e-05i,0.00094273+2.5317e-05i,0.0006804-0.00059849i,0.0012399-0.00040375i,0.00094517-0.0004035i,0.000119-0.00067946i,-1.7354e-05-0.00077049i,-0.0002127-0.00057483i,-0.00073641+7.1075e-05i,-0.00098397+0.00015901i,-0.00067411-0.00035701i,-0.00057194-0.00075798i,-0.00065169-0.00065794i,-0.00054002+0.00057909i,-0.00090309+0.00061071i,-0.00036186-0.00035206i
0.062407+0.3099i,0.064747+0.6289i,0.027042+0.80766i,-0.0048432+0.67813i,-0.036421+0.37954i,-0.087016+0.13773i,-0.13094+0.041215i,-0.12788+0.023526i,-0.079602+0.0039365i,-0.045668-0.024061i,-0.046788-0.020186i,-0.049592+0.013234i,-0.041294+0.040648i,-0.021194+0.053697i,0.010315+0.042769i,0.026988+0.017612i,0.029059+0.0090377i,0.033794+0.013502i,0.026012+0.015025i,0.012517+0.013004i,0.014723+0.008605i,0.021733+0.0085329i,0.02817+0.015404i
-0.4136-0.064581i,-0.74446-0.19651i,-0.79248-0.361i,-0.51903-0.40984i,-0.20585-0.29993i,0.037671-0.14015i,0.17043-0.058735i,0.14732-0.044448i,0.067911-0.033911i,0.015408-0.035455i,-0.014427-0.044251i,-0.020902-0.053941i,-0.017607-0.063927i,-0.018021-0.056131i,-0.01932-0.033615i,-0.021402-0.013051i,-0.022346-0.003673i,-0.024505-0.0077851i,-0.022352-0.014195i,-0.015449-0.01622i,-0.014778-0.013019i,-0.01715-0.0071518i,-0.016431-0.0052535i
0.057349-0.25564i,0.075549-0.42867i,0.035777-0.36518i,-0.0029745-0.092298i,0.013797+0.0823i,-0.010735+0.086248i,-0.04939+0.050853i,-0.0094399-0.0047847i,0.028547-0.054617i,0.036388-0.041412i,0.04542-0.01747i,0.036555-0.015088i,0.017528-0.0072996i,0.0029682+0.0029791i,-0.00050103+0.008476i,0.0085273+0.0061669i,0.015258+0.0028748i,0.021417+0.0052857i,0.025426+0.00045278i,0.019359-0.0047171i,0.01271+0.0032351i,0.0099607+0.015306i,0.007513+0.026835i
0.027023-0.083965i,0.13443-0.15569i,0.29147-0.18529i,0.34209-0.15i,0.22386-0.069892i,0.085656+0.026624i,0.047247+0.093618i,0.061572+0.094233i,0.050178+0.047396i,0.0023827+0.015941i,-0.01947+0.028997i,0.012084+0.048641i,0.043376+0.039634i,0.045222+0.015621i,0.02208-0.0013629i,-0.0071908+0.0017529i,-0.015732+0.011686i,-0.0095578+0.011717i,-0.0026185+0.010172i,2.5961e-05+0.0067691i,-0.0050598-0.0047582i,-0.010133-0.020003i,-0.012748-0.032306i
0.2923+0.062854i,0.45998+0.12266i,0.32513+0.16021i,-0.018526+0.13892i,-0.1867+0.076358i,-0.14304+0.0034391i,-0.076567-0.039313i,-0.041316-0.01403i,-0.018066+0.040034i,0.0013175+0.069406i,0.0058604+0.054729i,-0.026436+0.028418i,-0.055227+0.030256i,-0.042275+0.0351i,-0.010895+0.021739i,0.012047-0.0030825i,0.012161-0.023374i,-0.0018931-0.017199i,-0.0082229+0.0021372i,-0.0047243+0.010041i,-0.0015121+0.010273i,-0.00084002+0.013932i,0.00047443+0.019556i
-0.14193+0.23815i,-0.24594+0.42825i,-0.19185+0.42405i,-0.005947+0.18883i,0.087471-0.025432i,0.061374-0.083979i,0.0045636-0.062495i,-0.045265-0.025954i,-0.037234-0.016533i,-0.018645-0.060158i,-0.043711-0.073152i,-0.052384-0.039674i,-0.036148-0.026842i,-0.025976-0.019767i,-0.016713-0.008463i,-0.014956-0.0038208i,-0.016+0.0042607i,-0.0098275+0.0070678i,-0.0051824+0.0040385i,0.00077754+0.0057424i,0.012171+0.0052833i,0.021417-0.0014212i,0.021868-0.010303i
0.064986-0.045768i,0.13156-0.1601i,0.14557-0.2848i,0.081703-0.27973i,0.044859-0.12984i,0.069042+0.0034739i,0.082099+0.034201i,0.052276+0.0055558i,0.00087542-0.0081842i,-0.0076798+0.013325i,0.028357-0.00089744i,0.042412-0.051938i,0.029134-0.070337i,0.014698-0.05302i,0.011299-0.023814i,0.023027-0.0053291i,0.029066-0.010445i,0.020268-0.023262i,0.009013-0.031329i,-0.00067693-0.03026i,-0.010327-0.017362i,-0.014037+0.0018804i,-0.0067445+0.015296i
-0.28762+0.035221i,-0.52129+0.14281i,-0.5402+0.31336i,-0.29221+0.39012i,-0.07605+0.26466i,-0.041248+0.096398i,-0.053579+0.024493i,-0.029764+0.0037151i,0.011224-0.0090336i,0.02492-0.01925i,0.004754-0.0059748i,0.002719+0.036406i,0.022837+0.057795i,0.019711+0.041649i,-0.0028376+0.022238i,-0.017348+0.02144i,-0.016355+0.035474i,-0.0051584+0.04593i,0.0020872+0.042717i,0.00010506+0.033638i,-0.0025278+0.024931i,-0.0038663+0.014739i,-0.0071842+0.0051018i
0.17474-0.21907i,0.36217-0.44698i,0.41348-0.5663i,0.22609-0.46175i,0.013384-0.228i,-0.069989-0.0098851i,-0.059102+0.11973i,-0.00031593+0.13135i,0.013988+0.059731i,-0.020895+0.020582i,-0.010532+0.022842i,0.014968+0.0050301i,0.0050362-0.0076752i,-0.00029628-0.0024344i,0.0071375+0.0005441i,0.01154-0.00025669i,0.010359-0.010821i,0.0037147-0.020069i,0.0053552-0.013061i,0.015444-0.0061763i,0.014641-0.009434i,0.0027897-0.0089383i,-0.0059091+0.00062393i
-0.12264+0.044757i,-0.29841+0.13537i,-0.41908+0.22826i,-0.30387+0.21048i,-0.08158+0.068548i,0.017449-0.088165i,0.0043737-0.15413i,-0.018042-0.11835i,-0.0044347-0.047752i,0.012585-0.022529i,-0.015921-0.02133i,-0.051447-0.004741i,-0.051286+0.0024628i,-0.030219-0.0057727i,-0.013239-0.016673i,-0.01432-0.020595i,-0.023275-0.010593i,-0.024485+0.002437i,-0.022533+0.0051721i,-0.024453+0.0029744i,-0.020814+0.003957i,-0.0081379+0.0024221i,0.001698-0.0070124i
0.34717-0.016173i,0.72324-0.088877i,0.92259-0.19329i,0.72154-0.20384i,0.36292-0.077001i,0.1413+0.035236i,0.034182+0.042529i,-0.019997+0.024191i,-0.0099003+0.012546i,0.028571-0.0042117i,0.05829-0.020472i,0.06878-0.036362i,0.059329-0.043964i,0.041379-0.031327i,0.028861-0.010838i,0.026802-0.0050988i,0.030117-0.015436i,0.030857-0.02728i,0.022994-0.025i,0.014823-0.011134i,0.014913-0.0043834i,0.015717-0.0077839i,0.014336-0.010174i
-0.22049+0.23552i,-0.49961+0.46178i,-0.68845+0.56697i,-0.5721+0.4613i,-0.28277+0.26288i,-0.054646+0.099601i,0.054525+0.0065647i,0.049961-0.026202i,-0.0044381+0.0016311i,-0.02139+0.035808i,-0.015573+0.033845i,-0.012756+0.030441i,-0.0010309+0.034316i,0.0091801+0.025876i,0.0057253+0.012856i,-0.0028919+0.01023i,-0.0073565+0.020312i,-0.0082835+0.031057i,-0.010052+0.024573i,-0.015049+0.00473i,-0.019761-0.0045365i,-0.016988+0.00012923i,-0.0058455+0.0038093i
0.053274-0.03165i,0.20049-0.088547i,0.35147-0.16794i,0.28988-0.20907i,0.064913-0.1541i,-0.09088-0.034105i,-0.12143+0.054613i,-0.076712+0.077293i,-0.017562+0.054752i,0.0071521+0.031619i,0.010738+0.033612i,0.013368+0.040278i,0.0078661+0.04013i,-0.0021342+0.033402i,-0.0037688+0.022553i,0.0036612+0.011167i,0.0076907-0.0030266i,0.004423-0.012118i,0.0052228-0.0033176i,0.013382+0.013764i,0.017606+0.018475i,0.011074+0.015649i,-0.0020203+0.019639i
-0.30546-0.0978i,-0.6389-0.16122i,-0.79219-0.14071i,-0.54806-0.062769i,-0.19828-0.04002i,-0.060174-0.052511i,-0.045595-0.025926i,-0.028795-0.017462i,-0.031986-0.050569i,-0.058355-0.068474i,-0.073526-0.055473i,-0.072313-0.034286i,-0.061451-0.022072i,-0.038603-0.010522i,-0.015801+0.00057201i,-0.013036+0.0059595i,-0.02131+0.012532i,-0.020697+0.011585i,-0.010146-0.0043336i,-0.002497-0.020359i,-0.0029808-0.019101i,-0.0032384-0.007155i,-0.00058327-0.0023769i
0.28846-0.18789i,0.6121-0.33515i,0.8016-0.33525i,0.64316-0.17295i,0.33638-0.036516i,0.14207-0.025815i,0.040701-0.067748i,-0.010997-0.046959i,0.0019004+0.021237i,0.041381+0.055287i,0.053405+0.035035i,0.038151-0.0016845i,0.020071-0.020684i,0.0060172-0.018809i,0.0029484-0.011386i,0.014819-0.014633i,0.025728-0.026612i,0.023944-0.031144i,0.0084735-0.017775i,-0.008393+0.004013i,-0.010041+0.013131i,-0.0039155+0.005378i,-0.0046892-0.0060321i
0.017456+0.098681i,-0.068271+0.18797i,-0.22785+0.23605i,-0.29026+0.21535i,-0.18104+0.15708i,-0.033183+0.078072i,0.047794+0.0027512i,0.048691-0.047314i,0.015332-0.061535i,0.0023083-0.051932i,0.0089713-0.040812i,0.017024-0.028188i,0.02191-0.014119i,0.01953-0.0042445i,0.0092975+0.0035481i,0.00016775+0.011341i,-0.0013885+0.022012i,0.0041317+0.032844i,0.011306+0.029188i,0.014243+0.010526i,0.012544-0.0031431i,0.0093545-0.0060631i,0.012156-0.0037213i
0.15218+0.18137i,0.35092+0.30116i,0.45791+0.24195i,0.32426+0.027123i,0.10496-0.080872i,0.0090118-0.031799i,0.0090659+0.011471i,-0.0068438+0.011326i,-0.046408+0.018688i,-0.06346+0.044509i,-0.037064+0.057151i,-0.0069146+0.042194i,-0.0019621+0.025915i,-0.002528+0.0095334i,0.0019335-0.0041447i,0.0094305-0.0065554i,0.014406-0.011344i,0.0066527-0.019604i,-0.0057383-0.016733i,-0.010833-0.0064599i,-0.010744-0.0013666i,-0.0078897+0.0022088i,-0.0054115+0.0069103i
-0.30442+0.070525i,-0.60568+0.13006i,-0.69467+0.15141i,-0.42872+0.10917i,-0.13948+0.019235i,-0.064292-0.028161i,-0.05047-0.0065887i,0.0073537-0.016126i,0.041408-0.062483i,0.030319-0.078726i,0.0086463-0.056434i,-0.0057429-0.025123i,-0.0097033-0.0088618i,-0.0067257-0.0019473i,-0.0064483+0.0034982i,-0.01591+0.0093076i,-0.024402+0.016975i,-0.018438+0.020067i,-0.0024503+0.011725i,0.0073712+0.0017228i,0.0045201+0.0032377i,-0.0012509+0.010605i,-0.0033595+0.014643i
-0.0064026-0.1704i,0.049279-0.30991i,0.15059-0.32057i,0.18943-0.17989i,0.13566-0.057568i,0.061144-0.033414i,-0.00069308-0.031501i,-0.01816-0.0028113i,0.0058649+0.011006i,0.010874+0.00085389i,-0.0027696+0.0025989i,-0.0017664+0.0026107i,-0.00012263-0.0085269i,-0.00032792-0.0072281i,0.0062868+0.0006384i,0.010678-0.0025221i,0.012796-0.014417i,0.011212-0.025153i,-0.00035945-0.024799i,-0.011251-0.014422i,-0.011611-0.0063497i,-0.0093613-0.0059132i,-0.0085646-0.009549i
0.012857-0.15575i,-0.036445-0.25538i,-0.14183-0.21674i,-0.20529-0.046055i,-0.12455+0.073775i,0.012982+0.065073i,0.082468+0.042666i,0.094982+0.058918i,0.081126+0.071054i,0.059662+0.06473i,0.046374+0.041925i,0.035981+0.016567i,0.028275+0.006963i,0.018417+0.0045156i,0.0041798+0.00013795i,-0.0030363-0.00017238i,-0.0034007+0.0095255i,9.1487e-05+0.027221i,0.0065349+0.035926i,0.0085329+0.025548i,0.004901+0.0087073i,0.0015286-0.005268i,0.00095825-0.01085i
0.26575+0.058751i,0.5175+0.074317i,0.60157-0.0022663i,0.40424-0.12107i,0.15772-0.11493i,0.0512-0.030374i,0.005135-0.011858i,-0.046672-0.017887i,-0.061094-0.005952i,-0.046508-0.0089475i,-0.037843-0.012758i,-0.026749-0.0012182i,-0.016031+0.0060215i,-0.011271+0.0082706i,-0.00015801+0.0094159i,0.011742+0.0042549i,0.01327-0.0046362i,0.0064969-0.014188i,0.00092487-0.017071i,0.0045342-0.010058i,0.010231-0.0045019i,0.011506-0.0016817i,0.011059+0.0021262i
-0.050991+0.20466i,-0.11896+0.37768i,-0.1405+0.44465i,-0.061774+0.33146i,-0.0017086+0.1681i,-0.014856+0.10777i,-0.020901+0.10137i,-0.024403+0.058378i,-0.049435+0.0053848i,-0.059247-0.010084i,-0.038585-0.0032107i,-0.016114+8.2514e-05i,-0.0063771-0.00010228i,-0.0020451-0.0036092i,-0.0029506-0.0061672i,-0.0049697+0.0018395i,-0.0046984+0.011813i,-0.0035958+0.012749i,-0.00048176+0.0043776i,-0.001102-0.0074291i,-0.0040069-0.0096875i,0.00076856-0.0037266i,0.006757+0.00040044i
-0.13079+0.071372i,-0.20985+0.11218i,-0.17292+0.11006i,-0.049948+0.063607i,-0.0039019+0.0032786i,-0.024281-0.053879i,-0.025399-0.10057i,-0.0075644-0.11041i,0.02219-0.077466i,0.047651-0.047439i,0.036325-0.036089i,0.0054222-0.023269i,-0.0086559-0.015018i,-0.0094572-0.010085i,-0.0072932-0.0009272i,-0.0024758-0.0011982i,-0.00038343-0.01066i,-0.00081989-0.017221i,-0.0049277-0.014644i,-0.0086818-0.001875i,-0.0066759+0.0096882i,-0.0072003+0.014269i,-0.0087443+0.016012i
-0.16258-0.1579i,-0.32001-0.26798i,-0.41513-0.23838i,-0.35674-0.073673i,-0.20071+0.026501i,-0.090148+0.045151i,-0.043851+0.079545i,0.00070756+0.085048i,0.018789+0.040877i,0.00061325+0.013444i,-0.0020526+0.017355i,0.017131+0.01866i,0.031029+0.007925i,0.032279-0.0032715i,0.023106-0.007551i,0.0096478-0.0023648i,0.0034665+0.0094683i,0.0050394+0.021449i,0.0071497+0.022834i,0.0061445+0.0093146i,0.0023501-0.0054989i,0.00043811-0.012035i,0.0015699-0.012564i
0.13673-0.16277i,0.27618-0.32788i,0.31123-0.43428i,0.19983-0.37621i,0.10838-0.21453i,0.094508-0.098772i,0.083466-0.065106i,0.04874-0.028148i,0.025967+0.029911i,0.025891+0.051386i,0.017696+0.027698i,-0.00072866+0.0013516i,-0.0093023-0.0051131i,-0.0092782-0.0014242i,-0.0027514+0.0028375i,0.0071827-0.00021101i,0.0085344-0.0097481i,0.0021227-0.013928i,-0.00084063-0.0063535i,0.00010858+0.0056427i,-0.00051002+0.010801i,-0.0047584+0.0068787i,-0.011346+0.001352i
0.16306+0.057586i,0.30573+0.13768i,0.34856+0.19854i,0.24872+0.18943i,0.11328+0.14629i,0.0076971+0.10687i,-0.051122+0.065539i,-0.060627+0.016568i,-0.048334-0.03385i,-0.037791-0.058319i,-0.026068-0.040219i,-0.0078383-0.0055598i,0.0089781+0.015716i,0.017491+0.020677i,0.014982+0.016521i,0.0036757+0.013604i,-0.0033163+0.015597i,-0.0010556+0.014423i,0.0065262+0.0058795i,0.013599-0.0055735i,0.016648-0.01065i,0.020879-0.0081841i,0.023621-0.0071663i
0.0071962+0.18275i,0.0045526+0.33772i,0.011693+0.35087i,0.016252+0.20237i,-0.010889+0.075634i,-0.0080648+0.030946i,0.044935+0.0072286i,0.060556-0.021088i,0.018538-0.018378i,-0.0063952+0.011907i,0.0023908+0.012296i,0.0014016-0.0081193i,-0.0098836-0.0097706i,-0.013931-0.0015227i,-0.013469+0.0032176i,-0.0081013+0.0054811i,-0.00058043-0.00058127i,8.4036e-05-0.01182i,-0.0078169-0.014303i,-0.015401-0.0058193i,-0.013592+0.0042097i,-0.0098407+0.0092603i,-0.0087642+0.010095i
-0.16915+0.053948i,-0.33645+0.11929i,-0.39561+0.16923i,-0.29584+0.14414i,-0.18025+0.048731i,-0.13326-0.0090769i,-0.093426+0.016346i,-0.012771+0.039736i,0.057743+0.011926i,0.064053-0.017703i,0.03153-0.0070698i,0.008603+0.018139i,0.0054392+0.029247i,0.0077865+0.026707i,0.00478+0.015527i,-0.0021159+0.0049667i,-0.0051856+0.0081608i,-0.0018248+0.02095i,0.0042074+0.024963i,0.0071201+0.016494i,0.0071934+0.0071786i,0.0076177+0.0055577i,0.010494+0.010222i
-0.098264-0.1474i,-0.18449-0.32713i,-0.2077-0.44802i,-0.13056-0.39106i,-0.019879-0.23661i,0.021347-0.1207i,-0.016655-0.038844i,-0.045384+0.032163i,-0.037415+0.050175i,-0.034826+0.028671i,-0.027583+0.012806i,-0.0094629-0.0046389i,-0.0078832-0.020848i,-0.010063-0.021378i,-0.002139-0.015264i,0.0043778-0.011503i,0.0059761-0.013749i,0.0023258-0.018069i,-0.0045923-0.014624i,-0.0091205-0.0049573i,-0.012563+0.0013738i,-0.016571+0.00084683i,-0.019269-0.0026i
0.11506-0.1281i,0.24921-0.20753i,0.32502-0.15741i,0.27411-0.0065168i,0.17595+0.073448i,0.095885+0.036258i,0.019397-0.028143i,-0.035659-0.028976i,-0.029591+0.020663i,0.011729+0.03716i,0.019606+0.012817i,0.0013879+0.0017605i,-0.0052601+0.005162i,-0.005744+0.0073933i,-0.0023611+0.0056744i,0.0045243-0.0015093i,0.003614-0.0045919i,-0.00127+0.0021231i,0.00089765+0.0073958i,0.0058524+0.0032719i,0.0050352-0.0020881i,0.0044387-0.002553i,0.0054863-0.0023561i
0.14359+0.050954i,0.24977+0.087865i,0.24522+0.073108i,0.1147+0.025656i,0.0036323+0.022195i,0.0047049+0.02679i,0.031826-0.026743i,0.0015539-0.081137i,-0.039909-0.080949i,-0.040111-0.050369i,-0.010385-0.024132i,0.016479-0.01448i,0.021908-0.016344i,0.014348-0.015868i,0.0063453-0.0083765i,-3.9845e-05+0.0001004i,-0.00094949+0.0012366i,0.0014657-0.010279i,-0.0022023-0.02007i,-0.0068792-0.014817i,-0.0052002-0.0063732i,-0.0030928-0.0040354i,2.119e-05-0.0052441i
0.0068045+0.17687i,0.0053897+0.3598i,0.0015437+0.44455i,-0.016458+0.31845i,-0.055472+0.1243i,-0.067016+0.053179i,-0.0092954+0.0673i,0.041699+0.050468i,0.026206+0.020344i,-0.0037523+0.02454i,-0.0044264+0.030577i,-0.0024779+0.023106i,-0.0054045+0.0199i,-0.0079556+0.013637i,-0.0086751+0.0072331i,-5.9741e-05+0.0097824i,0.0078354+0.014797i,0.0065151+0.022412i,0.0041528+0.026058i,0.0050752+0.017525i,0.0083465+0.0080819i,0.010941+0.007739i,0.010249+0.010573i
-0.17215+0.028082i,-0.34273-0.0037765i,-0.39958-0.10052i,-0.26191-0.18175i,-0.087102-0.1743i,-0.017449-0.12689i,-0.010276-0.082871i,0.011017-0.050182i,0.041751-0.04305i,0.036254-0.046926i,0.0039611-0.02436i,-0.006704+0.0078285i,0.0039471+0.013685i,0.012694+0.009431i,0.014839+0.0085642i,0.0076863+0.0046467i,-0.00078477-6.215e-06i,0.001302-0.0058998i,0.0045719-0.010379i,0.0017438-0.005408i,-0.0015744+0.0019678i,-0.0057181+0.0030532i,-0.010927+0.0039098i
-0.060204-0.12613i,-0.080005-0.20753i,-0.034054-0.14774i,0.060837+0.021511i,0.11869+0.082751i,0.087721+0.028493i,0.016492-0.00050853i,-0.020428+0.010265i,-0.023719+0.01763i,-0.017952+0.010114i,-0.015584-0.0038109i,-0.018484-0.011009i,-0.016509-0.0092434i,-0.0097749-0.0067505i,-0.0060249-0.0031515i,-0.0012636+0.0031218i,0.0036576+0.0031343i,-0.00067312+0.0011961i,-0.0029898+0.0029429i,0.0028004-0.00030262i,0.0045933-0.0057426i,0.00050881-0.0065447i,-0.0038377-0.0071876i
0.089246-0.12681i,0.15768-0.26284i,0.14099-0.33925i,0.032863-0.25259i,-0.014581-0.071713i,0.064356+0.033517i,0.14081+0.011338i,0.11617-0.029623i,0.05376-0.011159i,0.030167+0.019373i,0.021348+0.014281i,0.0057197+0.0028397i,0.0055241+0.0073588i,0.010849+0.011839i,0.0063204+0.0087932i,-0.00075828+0.00041547i,-0.0050545-0.0061279i,-0.0004437-0.010797i,0.0020547-0.01531i,-0.0058944-0.013056i,-0.011078-0.0087899i,-0.0084206-0.00985i,-0.0010214-0.010686i
0.15794+0.082166i,0.30804+0.19567i,0.35684+0.27288i,0.22914+0.22288i,0.055527+0.13293i,-0.035622+0.11391i,-0.037709+0.12841i,-0.0072149+0.093891i,-0.0037558+0.021164i,-0.017667-0.011436i,-0.006422-0.0073043i,0.0093256-0.0053144i,0.0073963-0.002381i,0.003295-0.0044232i,-0.0018724-0.010037i,-0.0072052-0.0018187i,-0.0057364+0.01266i,-0.0075248+0.020825i,-0.011828+0.02326i,-0.0053445+0.018307i,0.0057223+0.010817i,0.013598+0.0078841i,0.019804+0.0055086i
-0.044659+0.13414i,-0.10065+0.22281i,-0.12757+0.16542i,-0.096067-0.012439i,-0.075649-0.091927i,-0.093746-0.02719i,-0.077136+0.06129i,-0.019697+0.086907i,0.0049746+0.052704i,-0.012564+0.021133i,-0.024625+0.010803i,-0.023517+0.0085901i,-0.02415+0.017395i,-0.01769+0.029022i,-0.0029452+0.025717i,0.0050988+0.009153i,0.0034153-0.0026516i,0.0068296-0.0033787i,0.014305-0.0031603i,0.010207-0.0023072i,0.0023148+0.0046048i,0.00094592+0.01042i,-0.0024619+0.012324i
-0.13033+0.032257i,-0.24168+0.096765i,-0.2358+0.20113i,-0.083177+0.25577i,0.030815+0.14846i,0.00059634-0.018937i,-0.07769-0.079098i,-0.079308-0.043182i,-0.00179-0.010761i,0.052744-0.020202i,0.043475-0.023293i,0.016367-0.011625i,-0.0035404-0.0087218i,-0.0099991-0.0076142i,-0.0063251-0.0060554i,-0.0061343-0.0044827i,-0.0073231-0.0026798i,-0.0083327-0.0036862i,-0.0069197-0.001084i,0.0020538+0.0047695i,0.0067057+0.006974i,-0.00063866+0.0073412i,-0.0084336+0.0066057i
-0.078007-0.14988i,-0.16443-0.32487i,-0.22806-0.42487i,-0.21291-0.32862i,-0.12396-0.14616i,-0.012068-0.039994i,0.03992-0.018365i,0.010068-0.015654i,-0.036586-0.0014094i,-0.049549+0.010741i,-0.033241+0.0032058i,-0.01789-0.014208i,-0.016177-0.02213i,-0.019572-0.01551i,-0.016-0.0020948i,-0.0021852+0.0021014i,0.0086222-0.0051077i,0.012826-0.010279i,0.014037-0.013919i,0.0066183-0.018848i,-0.0044012-0.019446i,-0.0087148-0.015708i,-0.0096581-0.011918i
0.12953-0.087733i,0.26811-0.13856i,0.31847-0.10984i,0.21164-0.010968i,0.097363+0.068995i,0.065732+0.079506i,0.05185+0.045134i,0.027801+0.027348i,0.016158+0.043705i,0.026356+0.062683i,0.032769+0.053853i,0.02754+0.029721i,0.02602+0.0066108i,0.026349-0.010896i,0.019469-0.018509i,0.0065119-0.014085i,-0.0017278-0.0013023i,-0.0094656+0.0065652i,-0.020958+0.007207i,-0.020091+0.0070627i,-0.0080422+0.0034024i,0.0022272-0.0015683i,0.010996-0.0037185i
0.107+0.070579i,0.21006+0.11367i,0.24363+0.052013i,0.15836-0.091929i,0.024268-0.14302i,-0.086441-0.070649i,-0.1247+0.00086753i,-0.092155-0.0018717i,-0.065359-0.061076i,-0.07399-0.093024i,-0.061077-0.063362i,-0.021617-0.028302i,-0.0013555-0.010666i,0.001154+0.0016961i,0.0027466+0.0092893i,0.0041166+0.01097i,0.003855+0.009517i,0.0052873+0.010233i,0.010602+0.010457i,0.010021+0.0046276i,0.0053142+0.00010452i,0.0066522+0.0022818i,0.0079504+0.004186i
-0.033147+0.14742i,-0.065068+0.33334i,-0.052327+0.47851i,0.012435+0.43588i,0.030743+0.22982i,-0.0054724+0.040441i,-0.023385-0.037806i,-0.023486-0.026663i,-0.0057904+0.030501i,0.019229+0.06112i,0.017424+0.046717i,-9.7283e-06+0.027897i,-0.0067516+0.019715i,-0.001237+0.016655i,0.0075934+0.01143i,0.0066463+0.0007641i,-0.0026827-0.0072508i,-0.0069015-0.01055i,-0.0057507-0.0087866i,-0.0044995+0.0025956i,-0.0024626+0.013904i,-0.0027896+0.01529i,-0.0054109+0.012046i
-0.15916-0.021295i,-0.33693-0.076414i,-0.43471-0.14506i,-0.33937-0.16101i,-0.14102-0.12749i,0.023364-0.11917i,0.087859-0.13084i,0.085685-0.11953i,0.079258-0.10849i,0.066683-0.10748i,0.040935-0.081753i,0.020696-0.044209i,0.0050155-0.028381i,-0.010131-0.020703i,-0.017689-0.0062526i,-0.013459+0.0045588i,-0.0025626+0.0037918i,0.0081742+0.0010364i,0.017594+0.0038414i,0.019863+0.0041247i,0.0098057+0.00046651i,-0.0048642-0.0020344i,-0.012671-0.0042831i
-0.012869-0.13246i,-0.013485-0.25162i,-0.0096379-0.25626i,-0.0010905-0.10156i,0.03683+0.049684i,0.07217+0.10703i,0.067953+0.11709i,0.026693+0.10504i,-0.0396+0.10405i,-0.062302+0.11926i,-0.035556+0.091712i,-0.013648+0.038352i,0.0010367+0.0071886i,0.012859-0.005584i,0.013417-0.0103i,0.010071-0.009861i,0.0072113-0.0071267i,0.0010172-0.0061135i,-0.0088519-0.010559i,-0.013266-0.014663i,-0.0088895-0.013161i,-0.0008004-0.011228i,0.0061706-0.0097302i
0.11889-0.067584i,0.25424-0.16136i,0.31861-0.26381i,0.23012-0.28457i,0.097444-0.16828i,0.031601-0.010647i,0.026748+0.052254i,0.049047+0.029186i,0.079895-0.018216i,0.079698-0.052582i,0.046801-0.042769i,0.028015-0.011659i,0.028212+0.0060872i,0.024858+0.010246i,0.013645+0.0052814i,0.001687+0.0014192i,-0.0044197+0.0053348i,-0.0074992+0.012102i,-0.0082734+0.016404i,-0.005567+0.010364i,-0.0022363-0.00086093i,0.0034411-0.0050762i,0.009269-0.0015898i
0.09692+0.11873i,0.19971+0.28688i,0.25793+0.43077i,0.20149+0.40405i,0.052669+0.23119i,-0.0891+0.066568i,-0.15394-0.0032623i,-0.1581-0.010497i,-0.14787-0.0058754i,-0.13153+0.0083237i,-0.087332+0.016105i,-0.044371+0.012231i,-0.026325+0.016379i,-0.013564+0.023532i,0.0019794+0.019931i,0.010728+0.0089232i,0.007519-0.0019616i,0.0012082-0.010667i,-0.0010893-0.015705i,-0.0030973-0.012324i,-0.0029381-0.0017569i,0.00024653+0.007541i,0.0027056+0.010836i
-0.091142+0.10205i,-0.21393+0.18071i,-0.29596+0.16665i,-0.25057+0.042717i,-0.13823-0.047002i,-0.026261-0.043767i,0.069245-0.015185i,0.12089+0.0090693i,0.14169+0.02806i,0.13732+0.018773i,0.088531+0.00040365i,0.030462+0.0014216i,-0.0042171+0.0029698i,-0.020513+0.00048489i,-0.020706+0.0019244i,-0.012449+0.00080611i,-0.0042899-0.0027674i,0.003122-0.0016935i,0.0070345+0.0074724i,0.0060916+0.016979i,0.00097308+0.01555i,-0.0062266+0.006931i,-0.012751+0.00091603i
-0.11533-0.043143i,-0.2319-0.090701i,-0.28784-0.077229i,-0.19647+0.018457i,-0.03403+0.055028i,0.037751-0.0011447i,-0.0028277-0.035604i,-0.058058-0.041648i,-0.092625-0.050147i,-0.10012-0.040799i,-0.069071-0.021971i,-0.031418-0.021288i,-0.012929-0.03102i,-0.0062217-0.033081i,-0.0047046-0.020681i,-4.0512e-05-0.003266i,0.007581+0.0049163i,0.012042+0.003909i,0.015214-0.0014773i,0.015259-0.0060156i,0.0087845-0.0039187i,0.00078324-0.0014314i,-0.00067696-0.0041041i
0.012583-0.13479i,0.054808-0.30601i,0.098375-0.44671i,0.088945-0.41689i,0.028393-0.21635i,-0.02165+0.017179i,-0.019754+0.14335i,0.010259+0.15521i,0.036297+0.12954i,0.047858+0.093602i,0.034629+0.048565i,0.016808+0.01705i,0.017897+0.0059417i,0.021796+0.00078787i,0.013832-0.0049193i,0.0030832-0.0069897i,-0.0029697-0.0019968i,-0.0091608+0.0045035i,-0.017284+0.0056955i,-0.017864+0.00055496i,-0.0081235-0.00577i,0.0041954-0.0079802i,0.0097898-0.0066364i
