-0.0024609+0.0018924i,0.00043396+0.00033523i,0.0014356-0.0019298i,0.00026669-0.0028407i,-0.001015-0.0016595i,-0.0015926+0.0004367i,-0.0014076+0.0012064i,-0.00045249+0.00082501i,-2.6994e-05+0.00056227i,-0.00030665+0.00061272i,0.00013956+0.00027649i,0.00045142-0.00093464i,-9.38e-05-0.0010621i,0.0001447-0.00059074i,0.00025252-0.00090428i,0.00031329-0.0007169i,0.00074315-0.00023167i,0.00025761-0.0003852i,-0.00062403-0.00032246i,-0.00040283-0.0001574i,0.00026244-0.00022027i,0.00041299-0.00032835i,0.00063208-0.00013275i
0.71356-0.42154i,0.68076-0.19405i,0.4582+0.13137i,0.33626+0.26519i,0.29516+0.14259i,0.19748-0.0803i,0.097494-0.16222i,0.080093-0.13068i,0.068485-0.10846i,0.009996-0.073099i,-0.048216-0.014903i,-0.079377+0.044076i,-0.061389+0.086691i,-0.017649+0.081405i,0.0013256+0.040424i,-0.0044344+0.015076i,-0.015168+0.019175i,-0.016516+0.023987i,-0.016333+0.017053i,-0.023458+0.022099i,-0.014281+0.040548i,0.015383+0.042491i,0.035774+0.023932i
-0.10905+0.14417i,-0.35422+0.064498i,-0.42263+0.19134i,-0.27105+0.41955i,-0.069924+0.4565i,0.058817+0.33962i,0.12782+0.20328i,0.15545+0.084487i,0.13193+0.0072435i,0.076325-0.03081i,0.024354-0.061358i,-0.014691-0.085696i,-0.024829-0.097777i,-0.0094944-0.11552i,-0.0075049-0.12711i,-0.033116-0.12113i,-0.073321-0.10093i,-0.10292-0.045383i,-0.090712+0.012345i,-0.057465+0.013513i,-0.041229-0.010793i,-0.037777-0.011015i,-0.041104-0.0007736i
0.1322+0.14598i,0.21797-0.14078i,-0.0001966-0.39033i,-0.29477-0.34324i,-0.32672-0.16398i,-0.17194-0.067574i,-0.048709-0.01163i,0.0045345+0.021661i,-0.0076502+0.028127i,-0.016009+0.047647i,0.018597+0.048004i,0.025456+0.032437i,-0.0049383+0.053661i,-0.028679+0.09526i,-0.024899+0.12065i,0.015779+0.12041i,0.064704+0.094791i,0.089125+0.04167i,0.078262-0.016355i,0.045484-0.033512i,0.019487-0.013774i,0.0073801-0.0036525i,0.0044819-0.012144i
-0.47265-0.44043i,-0.46945-0.20093i,-0.31302-0.02793i,-0.22616-0.037286i,-0.2092+0.037551i,-0.12165+0.18313i,-0.01925+0.196i,-0.0067383+0.13896i,-0.0024229+0.077857i,-0.00095277+0.00093974i,-0.014593-0.018885i,0.0083031-0.0079239i,0.029661-0.025908i,0.02049-0.03238i,0.008382-0.020256i,-0.0060042-0.021765i,-0.02157-0.033267i,-0.024335-0.025886i,-0.012492-0.0052178i,-0.0090723+0.003607i,-0.017284+0.005421i,-0.015251+0.0088144i,-0.0032178+0.014082i
0.45302-0.0049841i,0.37175-0.080025i,0.29375-0.2443i,0.22426-0.40767i,0.080406-0.40757i,-0.037159-0.25693i,-0.074457-0.12843i,-0.073106-0.07702i,-0.058852-0.039928i,-0.027836-0.0099938i,-0.012518-0.0092246i,-0.017687-0.0083572i,-0.0029315-0.003896i,0.020661-0.027825i,0.017261-0.064057i,-0.004766-0.068874i,-0.024339-0.046196i,-0.041302-0.021446i,-0.043472-0.0020566i,-0.02094-0.0059097i,-0.0012961-0.022247i,0.0078842-0.023795i,0.010181-0.027126i
0.55387+0.43235i,0.662+0.34982i,0.49573+0.30897i,0.34957+0.32465i,0.29629+0.19233i,0.16022-0.020677i,0.011054-0.099938i,-0.04396-0.071718i,-0.035389-0.018679i,-0.0069247+0.038496i,0.011913+0.067997i,0.0079868+0.065284i,-0.011729+0.049836i,-0.039502+0.041441i,-0.0538+0.054111i,-0.042343+0.080375i,-0.012445+0.098885i,0.026018+0.086149i,0.045476+0.051181i,0.037187+0.038268i,0.02372+0.042337i,0.0051678+0.035024i,-0.014045+0.029389i
-1.0552-0.11461i,-1.1211-0.057312i,-0.84196+0.1148i,-0.5069+0.24867i,-0.27277+0.25695i,-0.089349+0.18702i,0.039654+0.068459i,0.080164-0.036455i,0.057886-0.075428i,0.013814-0.069671i,-0.011078-0.048809i,0.0022326-0.027976i,0.027796-0.012762i,0.047218-0.0031101i,0.053281-0.0094484i,0.037313-0.031722i,0.011839-0.05766i,-0.011408-0.065881i,-0.026411-0.049807i,-0.027315-0.034719i,-0.018539-0.030023i,-0.0039674-0.02504i,0.012264-0.02047i
0.37186-0.12782i,0.30673+0.04495i,0.038315+0.049017i,-0.19685-0.023798i,-0.19034-0.011118i,-0.06527-0.00046884i,0.012752+0.023621i,0.051479+0.06954i,0.051167+0.056238i,0.019601+0.016282i,0.0089401-0.0074688i,-0.0024128-0.010567i,-0.014603+0.017141i,-0.0013103+0.031206i,0.018059+0.0086127i,0.031547-0.019978i,0.034914-0.033685i,0.019825-0.028775i,0.0053821-0.012938i,0.0077833-0.0065663i,0.007729-0.0091202i,-0.0011121-0.0051567i,8.0101e-05-0.0012739i
0.67161-0.38496i,0.58086-0.68756i,0.34839-0.66107i,0.19285-0.44256i,0.080213-0.27063i,-0.0091353-0.11995i,-0.030696-0.0086798i,-0.017169+0.019112i,-0.0015702+0.01853i,0.012193+0.020846i,-0.0010374+0.02845i,-0.02887+0.037358i,-0.04443+0.026331i,-0.054654+0.00095797i,-0.068912-0.0082675i,-0.082226+0.014644i,-0.081535+0.053638i,-0.057603+0.075125i,-0.02648+0.06326i,-0.015324+0.044575i,-0.014777+0.038105i,-0.0067056+0.026399i,-0.0070278+0.010824i
-0.65779+0.88664i,-0.63311+0.89542i,-0.36024+0.55365i,-0.15243+0.24332i,-0.069964+0.1615i,0.016656+0.13855i,0.072715+0.057146i,0.048235-0.0081424i,0.011078-0.020267i,-0.008302-0.018602i,-0.0030291-0.017136i,0.025957-0.028916i,0.03884-0.047266i,0.033452-0.038615i,0.030847-0.013607i,0.032854-0.0029277i,0.037261-0.017818i,0.03213-0.043039i,0.018008-0.046202i,0.016008-0.03784i,0.019719-0.043668i,0.0096483-0.045237i,-0.0045062-0.032314i
0.15826-0.39042i,0.36423-0.2121i,0.26578+0.092345i,0.042652+0.27586i,-0.037013+0.23278i,-0.056734+0.10765i,-0.070368+0.064536i,-0.03514+0.067315i,0.00061648+0.042051i,0.0030884+0.015041i,-0.008025+0.0072864i,-0.014684+0.021145i,-0.00069213+0.041851i,0.013683+0.046334i,0.016619+0.041414i,0.024559+0.034185i,0.03531+0.025201i,0.037749+0.020693i,0.027819+0.017039i,0.011872+0.018455i,0.006821+0.030674i,0.015775+0.03838i,0.027002+0.031279i
-0.25621-0.50817i,-0.51053-0.43617i,-0.45167-0.31349i,-0.21109-0.27485i,-0.052988-0.21987i,0.0034865-0.12566i,0.031334-0.07253i,0.046344-0.06885i,0.043291-0.066306i,0.035578-0.050973i,0.021571-0.043408i,-0.015273-0.042472i,-0.050329-0.035067i,-0.057961-0.038542i,-0.057886-0.053837i,-0.074695-0.054055i,-0.099749-0.027643i,-0.096911+0.0099588i,-0.061774+0.025797i,-0.037687+0.012928i,-0.03782+0.0015271i,-0.036371+0.0021851i,-0.028433+0.0017058i
0.65231+0.45768i,0.50629+0.19257i,0.12687-0.10504i,-0.13023-0.14152i,-0.16168-0.042343i,-0.072821+0.019364i,-0.0011797+0.022014i,0.00046874+0.022256i,-0.012791+0.041885i,-0.01061+0.046117i,0.00033356+0.033877i,0.023179+0.014711i,0.03453-0.00024775i,0.029985+0.0059966i,0.027881+0.01724i,0.034609+0.015154i,0.046315+0.0025526i,0.04085-0.011444i,0.023671-0.014254i,0.022886-0.012613i,0.027363-0.022149i,0.016824-0.034834i,-0.0014838-0.035866i
-0.2572+0.08821i,0.024934+0.12725i,0.29876+0.17404i,0.31712+0.1538i,0.17626+0.10663i,0.053125+0.059485i,0.0082659+0.026069i,-0.0013967+0.007795i,-0.013717-0.007773i,-0.030567-0.013678i,-0.033528+0.0021936i,-0.011745+0.023584i,0.017716+0.019025i,0.02898-0.0022708i,0.019476-0.010726i,0.0097342-0.0044756i,0.012602-0.002065i,0.020798-0.0074089i,0.01777-0.0076672i,0.0075284+0.005563i,0.0086877+0.022011i,0.018378+0.026742i,0.024499+0.019205i
-0.39854-0.0070691i,-0.43687+0.10988i,-0.37465+0.15304i,-0.26304+0.12402i,-0.12038+0.063968i,-0.012+0.030451i,0.01824+0.026819i,0.027369+0.01908i,0.037163-0.0096158i,0.025994-0.029646i,0.006065-0.027166i,-0.010713-0.013565i,-0.023707+0.0065935i,-0.02783+0.02452i,-0.020208+0.031612i,-0.01266+0.031178i,-0.015597+0.029147i,-0.015327+0.021387i,-0.011375+0.0074673i,-0.014213-0.0018787i,-0.016158-0.0034008i,-0.01217-0.0019243i,-0.0033574-0.0030557i
0.60756-0.49777i,0.37126-0.51164i,-0.0063703-0.33729i,-0.15819-0.16255i,-0.14042-0.094327i,-0.12676-0.072631i,-0.090544-0.023868i,-0.026127+0.0091059i,0.012953+0.025676i,0.038192+0.033901i,0.042133+0.015123i,0.012318-0.00025114i,-0.0070532+0.011339i,-0.0038995+0.016885i,-0.0041905-0.0022823i,-0.014409-0.02441i,-0.025366-0.025081i,-0.032523-0.0046409i,-0.020599+0.011595i,0.0023846+0.0045144i,0.0061107-0.007317i,-0.0014778-0.00077847i,-0.0021362+0.010418i
-0.23907+0.44328i,-0.19773+0.38135i,0.029987+0.15285i,0.15057-0.016446i,0.11612-0.0081841i,0.086135+0.035793i,0.06609+0.0075986i,0.02701-0.010095i,0.0035221-0.0048531i,-0.011001-0.0011062i,-0.014033+0.0057622i,-0.0039011-0.0069071i,-0.0012137-0.033798i,0.0016334-0.04732i,0.010583-0.040686i,0.019117-0.024057i,0.022641-0.017195i,0.019315-0.016343i,0.010556-0.0085112i,0.0011395+0.0026924i,-0.0011475+0.0032346i,-3.7029e-05-0.013007i,-0.0076365-0.025125i
0.095284+0.26282i,0.18217+0.17045i,0.073938+0.070699i,-0.11243+0.082733i,-0.14637+0.13087i,-0.047933+0.11699i,0.012187+0.07405i,0.0076437+0.044436i,-0.0058564+0.020082i,-0.019705-0.0015662i,-0.017005+0.0025766i,0.016785+0.018722i,0.035175+0.016818i,0.0071185+0.016879i,-0.030025+0.038431i,-0.039277+0.062491i,-0.021731+0.065393i,0.0010344+0.039067i,0.0053047+0.0088497i,-0.0047924+0.0016843i,-0.0042853+0.01177i,0.007888+0.021196i,0.018178+0.02i
-0.17149-0.70036i,-0.15329-0.66687i,-0.092409-0.3372i,0.026121-0.11368i,0.060443-0.11242i,-0.021302-0.10184i,-0.045097-0.029545i,-0.0094769+0.00032559i,0.00097889+0.00077797i,0.0067654+0.0055825i,0.010563-0.00046586i,-0.00074318+0.0045644i,0.0060218+0.027237i,0.03775+0.02624i,0.058459-0.014975i,0.048093-0.059227i,0.018697-0.068208i,-0.0099159-0.040689i,-0.017412-0.004851i,-0.0061609+0.011902i,-0.0069957+0.011092i,-0.022437+0.0095987i,-0.026501+0.010999i
-0.070422+0.55828i,-0.13655+0.75393i,-0.090698+0.48518i,-0.044337+0.12258i,-0.026609+0.010076i,0.017825+0.0039297i,0.023945-0.041283i,0.0039136-0.068305i,0.011371-0.062071i,0.013879-0.046159i,-0.0081534-0.02761i,-0.037291-0.02054i,-0.057389-0.019366i,-0.055335-0.0135i,-0.039136-0.0014998i,-0.025892+0.01082i,-0.018908+0.018158i,-0.0095136+0.018506i,0.0012272+0.0066581i,0.0059185-0.013186i,0.010157-0.026656i,0.01887-0.027574i,0.01821-0.02069i
0.6211-0.31906i,0.53609-0.5194i,0.21353-0.41182i,-0.038646-0.13673i,-0.089119+0.00048428i,-0.075178-0.0028584i,-0.052189+0.0098224i,-0.025582+0.037789i,-0.018362+0.052521i,-0.010831+0.055376i,0.0083306+0.042361i,0.024207+0.022292i,0.024308-0.00071694i,-0.0024467-0.016476i,-0.036467-0.012428i,-0.045508+0.0010778i,-0.029048+0.00031446i,-0.0090626-0.012048i,0.00043534-0.014591i,0.0021895-0.0037758i,0.0043421+0.0053504i,0.0076789+0.00098098i,0.0090776-0.010989i
-0.58933+0.041527i,-0.60276-0.061565i,-0.34934-0.024853i,-0.069359+0.032105i,0.044744+0.018465i,0.05797+0.025539i,0.06901+0.043266i,0.073908+0.03508i,0.057416+0.0089535i,0.027022-0.019043i,0.010792-0.02808i,0.018176-0.014304i,0.032556+0.011369i,0.053431+0.029548i,0.072499+0.03054i,0.078011+0.025353i,0.07008+0.02378i,0.048875+0.023232i,0.024883+0.021219i,0.0090369+0.018824i,-0.0033875+0.017063i,-0.012079+0.017283i,-0.0068094+0.02055i
0.063358+0.56185i,0.26431+0.75843i,0.19627+0.50464i,-0.034807+0.19841i,-0.10905+0.14851i,-0.018011+0.12448i,0.015766+0.034946i,-0.012504-0.016025i,-0.020672-0.035508i,-0.022611-0.045789i,-0.036298-0.035101i,-0.054915-0.022337i,-0.067907-0.017526i,-0.064566-0.013884i,-0.049657-0.013894i,-0.044638-0.015546i,-0.049664-0.010042i,-0.042711-0.00093422i,-0.023031-0.0022388i,-0.0071722-0.013697i,-0.0015662-0.0205i,-0.0052896-0.011915i,-0.012348+0.00053944i
0.20285-1.001i,0.13073-1.0281i,0.087406-0.66215i,0.10567-0.31587i,0.0627-0.21045i,-0.050587-0.13412i,-0.067698-0.03326i,-0.023601+0.0036598i,-0.0093947+0.025823i,0.010046+0.055255i,0.029444+0.057122i,0.034608+0.045925i,0.037209+0.026343i,0.020506+0.00052275i,-0.0091039-0.014926i,-0.024577-0.02449i,-0.024612-0.035194i,-0.020697-0.034301i,-0.019624-0.016942i,-0.017757+0.0074791i,-0.0042257+0.023002i,0.015108+0.010451i,0.014975-0.01272i
-0.19764+0.53006i,-0.4523+0.58335i,-0.3642+0.41808i,-0.14707+0.18071i,-0.049164+0.060663i,0.0022115+0.029392i,0.035853+0.0015275i,0.036106-0.012033i,0.029303-0.0090473i,0.015395-0.0093076i,0.0078637-0.011316i,0.016907-0.012596i,0.027997-0.0027645i,0.037145+0.012622i,0.041845+0.020299i,0.043002+0.028486i,0.043016+0.035099i,0.035059+0.030124i,0.027894+0.016191i,0.023401-0.0019248i,0.0062323-0.014868i,-0.010526-0.0084656i,-0.0028799+0.0048677i
0.42329+0.36721i,0.57281+0.16989i,0.26271+0.05629i,-0.077194+0.14387i,-0.096674+0.20333i,-0.016154+0.10866i,-0.025171+0.028959i,-0.043312+0.029644i,-0.034541+0.021845i,-0.038424+0.0012523i,-0.039258-0.00034365i,-0.034673-2.677e-05i,-0.036295-0.0021707i,-0.029237-0.0011692i,-0.016749+0.00080228i,-0.0094724+0.0068441i,-0.0035264+0.01032i,-0.00071918+0.0043732i,-0.0045198+6.6009e-05i,-0.0018276+0.00095178i,0.0099267-0.00088846i,0.011891-0.0057584i,0.0021169-0.0099039i
-0.55847-0.74163i,-0.42145-0.79397i,-0.11427-0.62539i,0.10942-0.44715i,0.11959-0.3255i,0.035814-0.17463i,0.021632-0.053641i,0.044593-0.033768i,0.035269-0.041691i,0.029962-0.029429i,0.031656-0.012603i,0.024227+0.0020221i,0.015269+0.0050787i,0.0037637-0.0025751i,-0.0064662-0.015217i,-0.018352-0.031097i,-0.029609-0.033197i,-0.028285-0.016014i,-0.021915+0.00017842i,-0.025254+0.011938i,-0.029675+0.024218i,-0.019283+0.027315i,-0.0066243+0.019365i
0.15028+0.44673i,0.050251+0.8162i,0.0082193+0.68033i,-0.060636+0.31731i,-0.11304+0.15118i,-0.041667+0.10652i,0.023665+0.035609i,0.011687-0.0045756i,0.0018077-0.0034116i,0.0022854-0.0076986i,-0.0085483-0.022276i,-0.01975-0.032293i,-0.021366-0.027359i,-0.01571-0.0095983i,-0.0049786+0.011216i,0.013264+0.022199i,0.021652+0.02065i,0.014795+0.01247i,0.013202+0.00047877i,0.018389-0.017891i,0.014236-0.035686i,-0.00016338-0.036928i,-0.0051515-0.020072i
0.5832-0.17288i,0.40462-0.35371i,0.10484-0.16451i,-0.028452+0.12574i,-0.01733+0.19196i,-0.035878+0.12301i,-0.050681+0.099054i,-0.012654+0.099125i,0.019259+0.077868i,0.016686+0.052459i,0.0049588+0.037591i,0.0025202+0.03171i,0.0073153+0.022604i,0.0034858+0.0045203i,-0.016679-0.0057646i,-0.035581+0.00053107i,-0.034661+0.0035881i,-0.022443-0.0043305i,-0.014693-0.0082899i,-0.0078268+0.00094339i,0.0099706+0.019099i,0.029274+0.025555i,0.024625+0.01002i
-0.67577+0.1646i,-0.59891-0.09356i,-0.32961-0.28714i,-0.078878-0.34194i,0.025427-0.30545i,0.02408-0.19668i,0.010585-0.097704i,-0.0020145-0.060062i,-0.020459-0.041645i,-0.017428-0.018325i,0.0068901-0.001821i,0.026263+0.008654i,0.030418+0.014068i,0.031001+0.0073405i,0.030232-0.014308i,0.020305-0.031244i,0.010673-0.025509i,0.0086562-0.0057586i,0.005335+0.01192i,-0.0051054+0.017753i,-0.022172+0.0072088i,-0.034061-0.0059965i,-0.025643-0.0082271i
0.076812+0.15914i,0.2918+0.42157i,0.22832+0.36244i,-0.014564+0.21281i,-0.11056+0.18582i,-0.024806+0.11312i,0.01556-0.0098136i,-0.022858-0.048297i,-0.042847-0.028768i,-0.039367-0.014943i,-0.033792-0.0095202i,-0.030429-0.0090429i,-0.028638-8.9356e-05i,-0.01681+0.021946i,0.0061959+0.041582i,0.032692+0.045663i,0.047033+0.036545i,0.040458+0.020284i,0.031656+0.0027696i,0.033222-0.010027i,0.036082-0.01371i,0.031537-0.0067526i,0.02322+0.0052676i
0.25306-0.71498i,0.079056-0.69063i,0.023721-0.34984i,0.1086-0.048231i,0.12549+0.010847i,0.032988+0.01828i,0.0063472+0.058602i,0.056457+0.052298i,0.07529+0.0098487i,0.046639-0.010776i,0.0067098-0.0019853i,-0.014316+0.011132i,-0.014604+0.0048153i,-0.019213-0.012682i,-0.032899-0.022137i,-0.047687-0.02215i,-0.058622-0.019797i,-0.05745-0.014785i,-0.046394-0.0086244i,-0.038603-0.0023503i,-0.034201+0.0092686i,-0.027405+0.017494i,-0.024252+0.0094815i
-0.0037162+0.62322i,-0.12235+0.50353i,-0.13853+0.17766i,-0.10371-0.10527i,-0.071448-0.19262i,-0.032916-0.13239i,-0.0095661-0.05239i,-0.002548-0.010093i,0.011727+0.0021577i,0.026026-0.0047949i,0.030089-0.017219i,0.026666-0.023655i,0.018282-0.023935i,0.012105-0.022363i,0.010975-0.022693i,0.007469-0.022936i,0.0027314-0.016978i,0.002561-0.0054647i,0.00019827+0.0070908i,-0.0034129+0.010591i,0.0024042-0.0017186i,0.01245-0.018278i,0.017362-0.02094i
0.0036986+0.14639i,0.16833+0.12395i,0.11504+0.13421i,-0.058633+0.19917i,-0.11687+0.24978i,-0.058095+0.17501i,-0.022251+0.053955i,-0.033932+0.013094i,-0.039472+0.029507i,-0.024581+0.037087i,-0.0024812+0.019582i,0.0094452-0.0014771i,0.013088-0.0030646i,0.015832+0.01004i,0.017699+0.025854i,0.027191+0.035089i,0.041701+0.024948i,0.043856+0.00078997i,0.039487-0.018012i,0.037573-0.023199i,0.027098-0.016852i,0.010065-0.0028302i,0.00028071+0.0061037i
-0.33056-0.56275i,-0.3573-0.52578i,-0.17692-0.29041i,0.08574-0.12487i,0.1771-0.099944i,0.10935-0.054733i,0.067707+0.0017834i,0.061713-0.0071523i,0.025237-0.03081i,-0.012656-0.017254i,-0.026091+0.01529i,-0.024352+0.041218i,-0.0137+0.045434i,-0.010667+0.02576i,-0.024833+0.00018496i,-0.043062-0.0093845i,-0.051474+0.0015559i,-0.047417+0.020139i,-0.037377+0.030355i,-0.029854+0.028287i,-0.022463+0.018651i,-0.015371+0.0023772i,-0.013622-0.012521i
0.36732+0.33135i,0.31502+0.39297i,0.083674+0.18053i,-0.14331-0.019723i,-0.18227-0.060634i,-0.10128-0.044435i,-0.055842-0.017739i,-0.033188+0.0087513i,-0.001851+0.00086407i,0.010239-0.025445i,0.0035383-0.032739i,-0.0061748-0.026956i,-0.01464-0.018003i,-0.010074-0.0077633i,0.0081972-0.0086431i,0.013229-0.018715i,0.0020953-0.020241i,-0.0031097-0.011593i,-0.0004242-0.0052528i,-0.0024927-0.0014916i,-0.0042232+0.0075858i,0.0044594+0.022084i,0.015006+0.0314i
-0.0040245-0.047115i,-0.0036956-0.092851i,0.020504-0.04124i,-0.013662+0.081028i,-0.059497+0.15904i,-0.064627+0.1232i,-0.047413+0.049666i,-0.032666+0.028399i,-0.010296+0.038852i,0.010779+0.032691i,0.016263+0.0066743i,0.013858-0.017629i,0.012136-0.027076i,0.012616-0.018295i,0.020133+0.0049712i,0.039454+0.020528i,0.055853+0.008944i,0.048653-0.017776i,0.028143-0.032725i,0.016805-0.032214i,0.0085489-0.027155i,-0.0036988-0.021286i,-0.010355-0.013078i
-0.27694-0.092401i,-0.30098-0.11937i,-0.10645-0.079432i,0.14149-0.12275i,0.21469-0.19123i,0.15446-0.15131i,0.10334-0.082888i,0.06638-0.068609i,0.018079-0.055862i,-0.0097944-0.016591i,-0.010538+0.018526i,-0.0030161+0.031882i,0.0016057+0.024057i,-0.0060244+0.0043293i,-0.027668-0.010279i,-0.05018-0.0077825i,-0.057302+0.007851i,-0.047103+0.028367i,-0.030703+0.042239i,-0.014095+0.042587i,0.002455+0.028878i,0.012803+0.004779i,0.011522-0.017714i
0.34578+0.14686i,0.39088+0.15215i,0.12308+0.10422i,-0.14812+0.087559i,-0.18579+0.085965i,-0.10494+0.049513i,-0.055242+0.026635i,-0.028718+0.027033i,-0.00694+0.013036i,-0.0019628-0.0087827i,0.00083266-0.01779i,0.0054996-0.011403i,0.0068631+0.0027028i,0.01066+0.0080548i,0.011357-0.0027339i,0.0019836-0.01471i,-0.008375-0.014224i,-0.0057885-0.0072273i,0.0058105-0.0029877i,0.0085476-0.0044964i,0.0015528-0.0065374i,-0.0055934-0.0020828i,-0.0077517+0.0074381i
-0.21985-0.09867i,-0.24158-0.10833i,-0.1525-0.068218i,-0.053485+0.034592i,-0.026523+0.12296i,-0.020186+0.14487i,0.006958+0.11352i,0.029852+0.075557i,0.036382+0.048368i,0.029757+0.021925i,0.012105+0.00041846i,-0.00038873-0.0098735i,-0.0026112-0.0097192i,-0.0032397+0.0014246i,0.0055285+0.017936i,0.028303+0.02535i,0.046003+0.013906i,0.040903-0.0088871i,0.019329-0.027029i,-0.00061562-0.026119i,-0.0089409-0.007306i,-0.0032282+0.010568i,0.0040185+0.015073i
0.0021305+0.034135i,0.011062+0.067505i,0.07899-0.0066729i,0.12534-0.13388i,0.12085-0.18617i,0.081924-0.14055i,0.039837-0.078727i,0.010102-0.050186i,-0.007533-0.033005i,-0.010818-0.010522i,-0.0094374+0.01074i,-0.014758+0.022996i,-0.022245+0.022003i,-0.024411+0.009834i,-0.025166-0.0055666i,-0.031812-0.010641i,-0.038033-0.0032985i,-0.033431+0.0079848i,-0.021855+0.01497i,-0.010777+0.01224i,-0.0041452+0.0026379i,-0.0026032-0.0065787i,0.00094966-0.012916i
0.1998+0.030156i,0.17158+0.030362i,0.035162+0.088778i,-0.11677+0.14041i,-0.1581+0.11705i,-0.12807+0.02362i,-0.1133-0.031663i,-0.092581-0.018224i,-0.057167-0.0018125i,-0.032027-0.0010309i,-0.011551-0.0077619i,0.00536-0.016383i,0.016898-0.014459i,0.02747-0.0098164i,0.030038-0.011529i,0.018405-0.015245i,0.0026424-0.014106i,-0.0063853-0.0075555i,-0.0027275+0.0017853i,0.010083+0.0066037i,0.021009-0.00015993i,0.01837-0.0095094i,0.0048667-0.0071534i
-0.24066-0.0066209i,-0.3011-0.050723i,-0.19694-0.052839i,-0.035088-0.061249i,0.026862-0.039533i,0.049482+0.011559i,0.079642+0.017264i,0.071956-0.0029661i,0.046-0.0099327i,0.028272-0.010507i,0.012115-0.011814i,0.0014416-0.015142i,-0.0026787-0.017898i,-0.0056089-0.01021i,-0.0066606+0.0078659i,0.003336+0.018755i,0.019102+0.013488i,0.024569+0.0034799i,0.019002-0.00063526i,0.0043095+0.0014497i,-0.015874+0.0082339i,-0.025851+0.014162i,-0.021409+0.010452i
0.22726-0.047602i,0.3057-0.12542i,0.20921-0.17486i,0.11749-0.15834i,0.096094-0.11887i,0.081099-0.053134i,0.072998+0.0011114i,0.060286+0.00029096i,0.03335-0.00628i,0.018062+0.0028562i,0.010499+0.017789i,0.0036624+0.031972i,-0.0057707+0.031238i,-0.02252+0.018431i,-0.03579+0.0055408i,-0.039314+0.0031616i,-0.032981+0.013006i,-0.020307+0.021399i,-0.012004+0.015848i,-0.0099984+0.0011135i,-0.0032028-0.010229i,0.0099074-0.014719i,0.020326-0.014505i
-0.077038+0.11532i,-0.021009+0.21541i,-0.013487+0.23227i,-0.073521+0.27601i,-0.095459+0.26369i,-0.11009+0.1496i,-0.11759+0.080472i,-0.068842+0.06881i,-0.027065+0.043745i,-0.021967+0.023127i,-0.014191+0.01094i,0.0022944+0.00094655i,0.023151-0.00050991i,0.041863-0.0065863i,0.046363-0.018615i,0.034566-0.024331i,0.015322-0.027665i,-0.0015232-0.031094i,-0.0084304-0.026856i,-0.0027413-0.011405i,0.0072646+0.0090759i,0.010865+0.023445i,0.0045484+0.026341i
-0.22755-0.10751i,-0.33034-0.0053623i,-0.22624-0.0038065i,-0.12868-0.11389i,-0.098344-0.13551i,-0.042952-0.077168i,-0.0055734-0.043122i,-0.0090719-0.023101i,-0.00598-0.016921i,-0.0044506-0.025686i,-0.014628-0.025968i,-0.028453-0.018996i,-0.03582-0.00754i,-0.026901+0.0069729i,-0.0075027+0.017766i,0.010636+0.016027i,0.020247+0.0055829i,0.021585+0.00058618i,0.018863+0.0035955i,0.010703+0.0023916i,-0.0045948-0.0078042i,-0.018037-0.017465i,-0.018224-0.019705i
0.40797-0.24056i,0.31601-0.40603i,0.12731-0.33581i,0.032175-0.22558i,0.014917-0.1613i,0.026461-0.091022i,0.038543-0.059015i,0.019438-0.050825i,0.0094471-0.023473i,0.022871-0.0069184i,0.026221-0.0035059i,0.019772-0.0018593i,0.0038978-0.0036048i,-0.018328-0.00084348i,-0.033728+0.0031433i,-0.039903+0.0046939i,-0.03591+0.013507i,-0.025913+0.025356i,-0.013654+0.024801i,0.00053244+0.012033i,0.014362-0.0022883i,0.023264-0.0097025i,0.02288-0.009543i
-0.013026+0.49995i,0.072109+0.46727i,0.088105+0.36723i,0.1255+0.32889i,0.12786+0.26113i,0.065525+0.14599i,0.030439+0.07138i,0.03085+0.029513i,0.015575+0.0075557i,-0.0014507+0.013197i,0.00015433+0.015105i,0.014041+0.0040971i,0.032742-0.0076192i,0.041393-0.019241i,0.032387-0.022991i,0.019302-0.0171i,0.0088976-0.015688i,0.00026926-0.019561i,-0.0073905-0.015537i,-0.014794+3.8117e-05i,-0.019034+0.019511i,-0.019869+0.029921i,-0.019861+0.026364i
-0.43211-0.046611i,-0.32149+0.022116i,-0.19969-0.037569i,-0.17041-0.090536i,-0.10959-0.074279i,-0.02867-0.032502i,0.0018655+0.0069156i,0.010306+0.019911i,0.0049956+0.0043724i,-0.013868-0.0091193i,-0.028534-0.0041089i,-0.03575+0.012576i,-0.034945+0.026836i,-0.026218+0.031326i,-0.011895+0.027349i,0.0017988+0.022809i,0.011692+0.019469i,0.019064+0.012787i,0.018975+0.0035137i,0.01004-0.0064889i,-0.00049788-0.014009i,-0.0031884-0.015177i,0.001775-0.013203i
