-0.00095115+0.00056655i,-0.0023973-0.00049348i,-0.0022451-0.0011459i,-0.0020371-8.5606e-05i,-0.0015802+0.00099972i,-0.0018049+0.0025405i,-0.0011278+0.002547i,0.00056898+0.0015128i,0.0009494+0.00070479i,0.00044638+0.00024963i,0.0001859-0.00061744i,-0.00021401-0.0010353i,0.0005805-0.00043504i,0.0011534-0.00063388i,-0.00014224-0.00088454i,-0.00075731-5.8562e-05i,-0.00038011+4.0797e-05i,-0.00030628-0.000138i,-0.00015707+0.00017102i,0.00019789+0.0008825i,0.00029833+0.00086872i,3.9786e-05+0.0001374i,0.00011311+8.521e-05i
0.13517+0.17796i,0.31771+0.19343i,0.41235+0.074123i,0.26665-0.0078951i,0.052843+0.046114i,-0.01284+0.099596i,0.012039+0.056445i,0.021921-0.011954i,0.0026184-0.042714i,-0.015862-0.024556i,-0.0024856+0.0047479i,0.017522+0.0067047i,0.018011-0.0014905i,0.010205-0.0027838i,0.0018066-0.00050342i,0.0012213+0.0032042i,0.0082125+0.0040485i,0.010654+0.0017791i,0.0073625+0.00090544i,0.0038565+0.0020542i,0.0023114+0.0023373i,0.0021708-0.0027083i,0.00048365-0.0087764i
-0.17992+0.46551i,-0.19871+0.74139i,-0.097958+0.76486i,0.019792+0.50205i,0.066042+0.22177i,0.098881+0.099181i,0.11749+0.049454i,0.065799+0.020061i,0.006561+0.030128i,0.00066529+0.034888i,0.008656+0.016811i,0.0040137+0.0044004i,-0.0013746-0.0042091i,-0.0067084-0.0095177i,-0.0081493-0.0035695i,-0.0035045+0.0018643i,-0.00057546+0.001302i,0.0014278+0.00039502i,0.0019987+0.00060254i,0.0015071+0.00011429i,0.0049395-0.0036725i,0.008339-0.0099655i,0.006709-0.013596i
-0.27231+0.28908i,-0.44349+0.40521i,-0.47655+0.36012i,-0.37046+0.18101i,-0.28643+0.014895i,-0.27779-0.036009i,-0.22547+0.006928i,-0.096105+0.040376i,0.0036793+0.011347i,0.0079312-0.016422i,-0.018469+0.0033894i,-0.01691+0.029008i,-0.0062891+0.029297i,-0.0053315+0.016102i,-0.0113+0.0040041i,-0.018563+0.0030394i,-0.020378+0.0095002i,-0.019015+0.010369i,-0.017213+0.0046728i,-0.014192+0.0007348i,-0.0088024-0.0020943i,-0.0054232-0.0072315i,-0.0098571-0.009663i
-0.34383-0.26808i,-0.49397-0.44858i,-0.42368-0.51482i,-0.25005-0.38448i,-0.13491-0.18189i,-0.068316-0.045878i,-0.03558+0.0083504i,-0.029157+0.00058076i,-0.038024-0.018215i,-0.038099-0.010143i,-0.021789-0.00088909i,-0.016207-0.0056821i,-0.016534-0.0072012i,-0.0082619-0.0079283i,-0.0034649-0.01167i,-0.0023634-0.012488i,-0.00025087-0.010528i,0.0010727-0.0056312i,0.0012945+0.00012544i,0.00036277+0.0030716i,0.0029822+0.0048778i,0.008661+0.0021614i,0.01072-0.0079754i
-0.28268-0.10553i,-0.2353-0.037096i,0.0015406+0.084216i,0.17343+0.070911i,0.16881-0.065939i,0.12536-0.14977i,0.095696-0.15335i,0.049295-0.087589i,0.028186-0.007594i,0.023571+0.0085682i,-0.001626-0.0073988i,-0.017632-0.0094822i,-0.011887-0.0070165i,-0.0047247-0.0066889i,-0.0017491-0.0094733i,-0.0011978-0.01254i,-9.3731e-05-0.011847i,0.0012436-0.010629i,0.002924-0.0093045i,0.0053827-0.0075306i,0.0070057-0.0058724i,0.012279-0.0065729i,0.019641-0.011636i
-0.075261-0.11455i,-0.13344+0.0080651i,-0.12722+0.23449i,-0.054411+0.27806i,-0.034026+0.15077i,-0.10195+0.095307i,-0.11583+0.11754i,-0.047485+0.085877i,-0.0068873+0.012213i,-0.014057-0.015617i,-0.0080683+0.00291i,0.015468+0.013714i,0.021503+0.0062175i,0.012924-0.0020205i,0.0048195-0.0027328i,0.00072497+0.0057938i,-0.0015741+0.013012i,-0.0072148+0.012429i,-0.01246+0.0069835i,-0.014376+0.0028302i,-0.012668+0.0050897i,-0.006862+0.011696i,0.00017696+0.016425i
-0.033616-0.54616i,-0.32258-0.78952i,-0.59099-0.68038i,-0.4955-0.33616i,-0.18174-0.12912i,-0.018216-0.078805i,-0.0054279-0.015753i,-0.0091413+0.031847i,-0.014475+0.031874i,-0.014909+0.022846i,-0.014375+0.0097805i,-0.027079+0.0025229i,-0.02873+0.0061967i,-0.012237+0.0047201i,0.0017785-0.0035222i,0.0055546-0.010639i,0.0050604-0.012096i,0.004414-0.0070342i,0.0052524-6.4771e-05i,0.0070747+0.003066i,0.0057365+0.0058354i,0.0037304+0.009973i,0.0024244+0.0097637i
0.21545-0.36994i,0.3168-0.55488i,0.28938-0.5791i,0.16418-0.41332i,0.078883-0.22893i,0.038594-0.1956i,-0.020811-0.20845i,-0.042777-0.13543i,-0.0010905-0.058422i,0.011534-0.048544i,-0.023846-0.04605i,-0.039499-0.023529i,-0.023517-0.0042378i,-0.0043657+0.0041353i,0.0030739-0.00067271i,-0.003385-0.0076375i,-0.0084798-0.010331i,-0.0069072-0.014289i,-0.0041107-0.016462i,-0.0025843-0.015952i,-0.0038915-0.013852i,-0.0046067-0.01212i,-0.0041443-0.012919i
0.52765+0.088771i,0.81979+0.13886i,0.81399+0.18501i,0.53515+0.1854i,0.26908+0.16849i,0.14045+0.15213i,0.072579+0.1036i,0.011461+0.045728i,-0.025243+0.011917i,-0.020944+0.0015791i,0.018176-0.0051889i,0.04623-0.021772i,0.032743-0.030876i,0.010241-0.02198i,0.0051623-0.0046821i,0.0085563+0.0089787i,0.0076242+0.015286i,0.00019983+0.016679i,-0.0072047+0.014142i,-0.01121+0.011354i,-0.012415+0.010691i,-0.0088661+0.011494i,0.002256+0.013292i
0.25222+0.15442i,0.089507+0.25843i,-0.2125+0.33334i,-0.28322+0.31207i,-0.14781+0.18925i,-0.058872+0.072546i,-0.0095972+0.044522i,0.030851+0.039832i,0.037236+0.029889i,0.036967+0.023327i,0.024154+0.013807i,-0.0035847+0.013163i,-0.017004+0.018099i,-0.015933+0.018053i,-0.006221+0.010918i,0.0041563+0.001155i,0.0092246-0.0029833i,0.014439-0.0024976i,0.017155-0.00074383i,0.015911-0.00038689i,0.013568-0.001161i,0.0085978+0.00058992i,0.00187+0.0070767i
0.088711+0.076366i,-0.013102-0.069115i,-0.19747-0.29911i,-0.29664-0.32397i,-0.25158-0.16964i,-0.15957-0.079153i,-0.11271-0.063028i,-0.070635-0.050773i,-0.021571-0.053997i,-0.01298-0.064395i,-0.029464-0.05108i,-0.030086-0.022298i,-0.014405-0.0015686i,-0.00084094+0.0039651i,-0.0024248+0.00438i,-0.012513+0.0060452i,-0.017956+0.0029679i,-0.01983-0.0059506i,-0.017843-0.014351i,-0.012105-0.018591i,-0.012058-0.019233i,-0.019057-0.018135i,-0.02771-0.015083i
0.16423+0.28594i,0.46145+0.17577i,0.61468-0.13365i,0.42308-0.29047i,0.18255-0.19953i,0.1238-0.10938i,0.085505-0.094259i,0.015694-0.049682i,-0.010173+0.010651i,0.010462+0.039508i,0.046342+0.029656i,0.053015-0.0077078i,0.021626-0.034136i,-0.0062506-0.032101i,-0.010652-0.017969i,-0.0058627-0.0069467i,-0.0038341+0.0023275i,-0.0049971+0.011714i,-0.0060582+0.017238i,-0.0050949+0.016553i,-0.0041561+0.010201i,-0.0020251+0.0015896i,0.0037603-0.0084762i
-0.069826+0.45876i,-0.039218+0.74775i,0.097508+0.80161i,0.17606+0.53364i,0.080608+0.22171i,-0.028153+0.10216i,-0.010229+0.072464i,0.03712+0.022711i,0.045229-0.0072268i,0.035203-0.004748i,0.016138+0.0069749i,0.00031429+0.01526i,-0.006204+0.015687i,-0.0087106+0.015756i,-0.0087046+0.012125i,-0.0070185+0.00049025i,0.00061396-0.0082539i,0.014181-0.011868i,0.021412-0.012294i,0.020494-0.010076i,0.021639-0.010716i,0.027046-0.012414i,0.029333-0.010813i
-0.40201+0.028968i,-0.65264+0.052777i,-0.67288+0.075764i,-0.44609+0.04843i,-0.21589-0.020019i,-0.10983-0.02082i,-0.051419+0.033819i,-0.0031657+0.038549i,-0.0011206+0.0010184i,-0.02121-0.017829i,-0.020575-0.014046i,-0.0019541-0.0040333i,0.014146-0.004193i,0.014521-0.015572i,0.0054225-0.01901i,-0.00040651-0.009373i,-0.0057557-0.00096674i,-0.015575+8.4286e-05i,-0.021014-0.0022335i,-0.015943-0.005025i,-0.0079727-0.0053965i,-0.0067742-0.0019213i,-0.011686+0.0074981i
-0.29688-0.32692i,-0.29613-0.58937i,-0.20138-0.74595i,-0.12107-0.62708i,-0.030178-0.39896i,0.025275-0.28203i,-0.012578-0.1962i,-0.032167-0.070118i,0.006952+0.015276i,0.03494+0.049942i,0.039749+0.061i,0.028924+0.041139i,0.004791+0.0083671i,-0.013886-0.010453i,-0.013887-0.013658i,-0.00473-0.010228i,-0.0011315-0.0033683i,-0.001043+0.0057756i,0.0009501+0.01308i,0.0036583+0.016141i,0.004216+0.015374i,0.0024179+0.01262i,-0.0016008+0.0062573i
0.091261-0.08761i,0.29011-0.0128i,0.52987+0.089599i,0.55128+0.07082i,0.35116+0.020386i,0.16328+0.035554i,0.060803+0.03753i,0.0094857+0.018405i,-0.010891-0.001841i,-0.037879-0.018182i,-0.063603-0.0094762i,-0.056737+0.0032892i,-0.027325+0.011115i,-1.1332e-05+0.019422i,0.0077127+0.017339i,-7.5588e-05+0.0086208i,-0.0015137-0.0025686i,0.0072069-0.014776i,0.009996-0.0203i,0.0042894-0.016226i,0.0059056-0.010595i,0.015558-0.012522i,0.020781-0.020549i
0.04644-0.18526i,0.0099951-0.042602i,0.016204+0.24821i,0.090225+0.34157i,0.12102+0.19946i,0.074497+0.08011i,0.05752+0.050824i,0.056836+0.037166i,0.032947+0.023264i,0.013629+0.0019789i,0.014174-0.022049i,0.025746-0.030589i,0.028074-0.033221i,0.018612-0.041014i,0.013058-0.042744i,0.012586-0.03238i,0.0086028-0.015765i,-0.0040131-0.0011292i,-0.013885+0.0062528i,-0.011085+0.0067903i,-0.0037509+0.0063776i,0.0010822+0.012025i,0.0057679+0.021091i
0.058767-0.4362i,-0.16816-0.55125i,-0.40995-0.39785i,-0.36037-0.12242i,-0.13489+0.0069838i,-0.034052-0.029858i,-0.059413-0.051788i,-0.056567-0.019813i,-0.01067-0.00093171i,0.016656+0.0095021i,0.015786+0.035513i,0.011171+0.050994i,0.0036988+0.037358i,-0.011446+0.021789i,-0.013548+0.019759i,-0.00021557+0.018867i,0.008896+0.013288i,0.011389+0.0075468i,0.011859+0.003861i,0.0098144+0.0046277i,0.0045616+0.013151i,-0.0021312+0.026066i,-0.0092257+0.032692i
0.53559-0.00011884i,0.73672-0.16268i,0.61943-0.29768i,0.31847-0.25636i,0.14378-0.12181i,0.10782-0.056276i,0.04295-0.044244i,-0.031733-0.0041865i,-0.046072+0.018736i,-0.056961-0.0070667i,-0.087288-0.023186i,-0.090053-0.007223i,-0.051458+0.016651i,-0.0032689+0.024445i,0.0093955+0.022737i,-0.0045441+0.026927i,-0.0081751+0.024044i,-0.00127+0.0067716i,-0.0013052-0.0094336i,-0.010329-0.011648i,-0.017622-0.010059i,-0.021608-0.018962i,-0.024991-0.030979i
0.39617+0.28452i,0.57473+0.42616i,0.55265+0.43403i,0.36089+0.3161i,0.15079+0.21122i,0.054206+0.14918i,0.053083+0.068032i,0.049811+0.0080624i,0.047171-0.0019757i,0.061006-0.0162i,0.064793-0.045962i,0.048434-0.063205i,0.021005-0.058912i,0.0030444-0.047802i,-0.0011165-0.045917i,-0.0079767-0.042788i,-0.016263-0.026099i,-0.016826-0.0033611i,-0.010007+0.0098137i,-0.0022985+0.0066467i,-0.0019477-0.0027665i,-0.0038692-0.0064321i,0.0023833-0.0072934i
0.063869+0.16338i,-0.17249+0.31642i,-0.37128+0.42173i,-0.28842+0.40568i,-0.11307+0.26783i,-0.051902+0.13762i,-0.033363+0.06406i,-0.028502+0.0082608i,-0.034229-0.0032491i,-0.012674+0.0051805i,0.0094606+0.0060988i,0.020339+0.010678i,0.016755+0.010035i,-0.0032341+0.017804i,-0.010494+0.030955i,0.00099943+0.023959i,0.011497+0.0038585i,0.014365-0.0097414i,0.013511-0.013273i,0.011721-0.014185i,0.011186-0.0077871i,0.01407+0.0070852i,0.017909+0.021412i
0.092142+0.33533i,0.12981+0.18016i,0.025078-0.10716i,-0.14064-0.20875i,-0.15451-0.16787i,-0.085179-0.16146i,-0.064144-0.12184i,-0.042562-0.037353i,-0.011298+0.0063192i,-0.0028451+0.0077694i,-0.013972+0.00241i,-0.027455+0.01317i,-0.020043+0.020026i,-0.0017598+0.0020767i,0.00057997-0.011357i,-0.0044705+0.0014207i,0.00069122+0.015401i,0.0054714+0.0091429i,-0.00057934-0.0023525i,-0.009103-0.0049994i,-0.014998-0.010246i,-0.022756-0.023948i,-0.033299-0.030123i
-0.13421+0.32852i,-0.057888+0.41053i,0.040917+0.27112i,0.043262+0.079309i,0.016802+0.062441i,0.059559+0.10437i,0.086426+0.066255i,0.06367+0.0059391i,0.045116-0.014747i,0.053008-0.0045994i,0.062255-0.0038022i,0.038297-0.016688i,0.0057272-0.018167i,-0.0050233-0.016143i,-0.010052-0.024159i,-0.025853-0.024668i,-0.038917-0.0086451i,-0.032772+0.0093062i,-0.012929+0.016121i,0.0059593+0.0089758i,0.011743-0.0050235i,0.010581-0.014788i,0.0084679-0.018984i
-0.061029+0.1074i,-0.27693+0.18116i,-0.30217+0.22492i,-0.12558+0.18016i,-0.033314+0.068294i,-0.046438+0.0044699i,-0.03689-0.013213i,-0.034312-0.006785i,-0.041826+0.026763i,-0.029989+0.034757i,-0.015294+0.0085203i,0.00091658-0.019182i,0.0082173-0.029204i,0.0054291-0.010846i,0.010163+0.0095642i,0.013048-4.1842e-05i,0.0092372-0.020208i,0.0074442-0.026588i,0.004996-0.021858i,0.0054513-0.015475i,0.018297-0.011155i,0.03698-0.007514i,0.045383-0.0053649i
-0.36468+0.12546i,-0.36583-0.078815i,-0.23132-0.23934i,-0.13234-0.20748i,-0.094762-0.13545i,-0.088901-0.099012i,-0.086507-0.043986i,-0.04657-0.0062333i,-0.010942-0.012125i,0.0055096-0.00070585i,0.032875+0.026056i,0.048856+0.02676i,0.037256+0.0043004i,0.018274-0.019996i,0.0097382-0.031743i,0.018729-0.027486i,0.033609-0.016644i,0.032754-0.011148i,0.017846-0.0076476i,0.0098927+0.00072266i,0.009536+0.0045554i,0.0046942-0.0010421i,-0.003704-0.0035902i
-0.32606-0.39754i,-0.30149-0.35427i,-0.19818-0.14492i,-0.088429+0.0091376i,0.042624+0.056772i,0.14141+0.062571i,0.15419+0.035896i,0.099264+0.0029045i,0.039864+0.0017532i,0.0075883+0.025804i,-0.010549+0.051076i,-0.019239+0.063985i,-0.012434+0.060668i,-0.00616+0.047929i,-0.0078839+0.039001i,-0.011049+0.038456i,-0.018428+0.037851i,-0.020662+0.032907i,-0.0096877+0.024987i,0.004479+0.018293i,0.013042+0.020105i,0.016083+0.026373i,0.012099+0.026178i
0.64862-0.046335i,0.57724-0.11777i,0.26973-0.10455i,0.034856-0.030235i,-0.059035+0.01946i,-0.094988+0.0073865i,-0.088605-0.0094499i,-0.052753+0.006428i,-0.026795+0.026394i,-0.028025+0.018169i,-0.041454-0.006591i,-0.041-0.026146i,-0.028284-0.028912i,-0.012152-0.020241i,-0.0041999-0.014889i,-0.012601-0.013863i,-0.015444-0.011445i,-0.0062659-0.0091861i,-0.0046957-0.0076205i,-0.011126-0.003644i,-0.0085845-0.0013359i,0.003701-0.0039069i,0.012267-0.010246i
-0.41736+0.32651i,-0.39894+0.14817i,-0.27431-0.12454i,-0.17181-0.1943i,-0.096903-0.094062i,-0.038759-0.011784i,-0.022067+0.0074745i,-0.030085-0.019504i,-0.043365-0.050959i,-0.031728-0.031305i,0.021066+0.00023607i,0.063509-0.0081224i,0.057865-0.030551i,0.034036-0.034782i,0.025031-0.030759i,0.031847-0.029783i,0.034605-0.026498i,0.023866-0.01719i,0.012749-0.0082132i,0.010245-0.001414i,0.0095472+0.0056306i,0.0054471+0.0077696i,0.0013711+0.0056339i
-0.058585-0.87202i,0.026932-0.90543i,0.15478-0.54904i,0.19996-0.22657i,0.12644-0.14418i,0.034916-0.13296i,0.0094726-0.090966i,0.02576-0.031325i,0.040053+0.0017733i,0.0054529+0.0017699i,-0.054826+0.027586i,-0.064098+0.072234i,-0.035993+0.079059i,-0.028637+0.064413i,-0.028775+0.063069i,-0.014708+0.064569i,-0.0032592+0.053155i,-0.003575+0.036739i,-0.0045943+0.025223i,-0.005381+0.021618i,-0.0092493+0.030683i,-0.0086722+0.04269i,-0.0069624+0.039969i
1.3691+0.58831i,1.6161+0.56388i,1.1192+0.39803i,0.45078+0.27779i,0.14473+0.23406i,0.073533+0.19581i,0.047645+0.15348i,0.036471+0.099694i,0.021368+0.048079i,0.012872+0.0040792i,-0.00012489-0.038827i,-0.02657-0.048243i,-0.036248-0.030523i,-0.031886-0.037186i,-0.045155-0.055255i,-0.062657-0.041409i,-0.050652-0.010346i,-0.023744-1.661e-05i,-0.015322-0.0065308i,-0.023389-0.0096387i,-0.030958-0.014786i,-0.028825-0.024506i,-0.013867-0.031448i
-0.90379+0.96619i,-1.0847+1.0718i,-0.97246+0.62457i,-0.68624+0.15834i,-0.39234+0.002681i,-0.17519-0.034722i,-0.066975-0.063951i,-0.040205-0.078441i,-0.043296-0.072142i,-0.024836-0.04437i,0.016179-0.037905i,0.038498-0.055875i,0.040102-0.058626i,0.044629-0.039915i,0.054383-0.026271i,0.048969-0.028827i,0.018799-0.027978i,-0.0061425-0.011646i,-0.0020521-0.00095711i,0.0096562-0.0096861i,0.01147-0.020378i,0.0096894-0.019351i,0.011704-0.0057558i
-0.14318-1.0342i,-0.041484-1.3008i,0.23545-1.14i,0.34489-0.78268i,0.18486-0.52843i,-0.020741-0.37931i,-0.12088-0.20614i,-0.055783-0.039239i,0.051313+0.0010548i,0.040193-0.022576i,-0.015817+0.0057748i,-0.023135+0.053687i,-0.018122+0.065213i,-0.022432+0.056956i,-0.019211+0.051026i,-0.0094858+0.043074i,-0.0003118+0.023142i,0.0010187+0.001538i,-0.0032252-0.0039933i,-0.0083337+0.00014892i,-0.0178+0.0050901i,-0.026883+0.015005i,-0.03288+0.021686i
0.92221+0.97734i,1.4088+1.1239i,1.294+0.93714i,0.82125+0.64896i,0.53736+0.46355i,0.45167+0.35065i,0.3234+0.20938i,0.12906+0.10462i,0.012408+0.09175i,0.028335+0.079579i,0.063099+0.016194i,0.040898-0.03294i,0.010235-0.042163i,-0.0058841-0.05311i,-0.025647-0.066883i,-0.035996-0.053757i,-0.023742-0.024107i,-0.0057128-0.0092495i,-0.00070689-0.011099i,-0.00077897-0.016281i,0.0051204-0.031221i,0.010052-0.057928i,0.011954-0.073563i
-1.3472+0.62786i,-1.7159+0.98941i,-1.4914+0.91392i,-0.94886+0.57287i,-0.57188+0.29874i,-0.39994+0.13511i,-0.26297+0.022005i,-0.15158-0.041546i,-0.083152-0.041307i,-0.02886-0.023637i,0.0063253-0.027686i,0.015245-0.040313i,0.017287-0.039363i,0.037469-0.020676i,0.067109-0.0095847i,0.065968-0.020971i,0.02862-0.025093i,-0.0027463-0.0052249i,-0.0016747+0.013924i,0.015994+0.010045i,0.033092-0.0014594i,0.050858+0.0031511i,0.061996+0.02065i
0.053895-1.0005i,0.19873-1.4469i,0.31783-1.4336i,0.22476-1.0043i,0.11366-0.60723i,0.070133-0.41848i,0.0075575-0.25531i,0.014288-0.082849i,0.056154-0.029377i,0.034895-0.017594i,0.027848+0.032214i,0.046833+0.056068i,0.029546+0.051934i,0.00042806+0.050734i,-0.0093121+0.04944i,-0.0045582+0.045623i,0.007068+0.027824i,0.0084356-0.0012881i,-0.0022951-0.015594i,-0.010716-0.0094334i,-0.021076+0.0056399i,-0.039594+0.029559i,-0.056145+0.053114i
-0.14337+0.58958i,0.14099+1.0407i,0.36605+1.065i,0.33259+0.69427i,0.2517+0.4633i,0.27236+0.38095i,0.238+0.22454i,0.097759+0.11437i,0.010114+0.11489i,0.0078601+0.12409i,0.017272+0.10608i,0.01441+0.06262i,0.0048005+0.0096629i,-0.0083559-0.012322i,-0.01234-0.002555i,-0.0031999+0.0062507i,0.0037322+0.0026831i,0.0050858-0.0053568i,-0.00036156-0.015088i,-0.00089004-0.021942i,0.018416-0.037389i,0.030472-0.071266i,0.016164-0.093809i
-0.63701-0.69465i,-1.0574-0.61839i,-1.0093-0.26059i,-0.64174+0.020282i,-0.51444+0.10686i,-0.53662+0.15552i,-0.39781+0.13697i,-0.23641+0.036836i,-0.16087-0.0053375i,-0.10526-0.0021659i,-0.072516-0.0081838i,-0.050577-0.0058159i,-0.020242+0.0052712i,0.0076296+0.01857i,0.024208+0.022363i,0.02063+0.012557i,0.0094579+0.006484i,0.0053072+0.014463i,0.010666+0.0299i,0.020055+0.0401i,0.029663+0.051116i,0.047435+0.060851i,0.061513+0.048746i
0.89886-0.37951i,1.1972-0.74963i,0.94867-0.87326i,0.42762-0.64779i,0.20963-0.44107i,0.22809-0.40945i,0.18272-0.33724i,0.1027-0.18433i,0.047433-0.081311i,0.0231-0.014825i,0.042179+0.028802i,0.061754+0.031957i,0.046194+0.014353i,0.0056503+0.0012703i,-0.021881+0.00277i,-0.018342+0.0099094i,-0.0038358+0.013649i,-0.0005082+0.0051023i,-0.010812-0.011119i,-0.025142-0.017439i,-0.044366-0.0076403i,-0.060257+0.015554i,-0.056737+0.036757i
-0.58936+0.36044i,-0.70877+1.0133i,-0.48288+1.1974i,-0.20845+0.72512i,-0.13703+0.32888i,-0.11236+0.26151i,-0.038083+0.21031i,0.011814+0.11073i,0.027129+0.040225i,-0.0081286+0.015202i,-0.056571+0.043681i,-0.053297+0.063243i,-0.031765+0.036413i,-0.025802+0.0043798i,-0.019772-0.0096215i,-0.012388-0.013063i,-0.011807-0.014742i,-0.010852-0.015816i,-0.0062543-0.022127i,-0.0026022-0.034871i,-0.0048286-0.04976i,-0.018876-0.05597i,-0.03536-0.04247i
0.2693-1.1809i,-0.16519-1.6537i,-0.46916-1.4418i,-0.35996-0.86162i,-0.2496-0.50142i,-0.31258-0.25185i,-0.2741+0.032078i,-0.1211+0.1401i,-0.037681+0.080155i,-0.035274+0.015253i,-0.042148-0.022465i,-0.040383-0.035004i,-0.041227-0.017717i,-0.05159+0.00058501i,-0.069846+0.0080383i,-0.073215+0.013673i,-0.046894+0.010244i,-0.019662-0.0010043i,-0.010039-0.0003314i,-0.0091379+0.0094226i,-0.0098176+0.017095i,0.0032411+0.019349i,0.027919+0.0099501i
1.1513+0.45425i,1.5533+0.26958i,1.2866-0.012685i,0.7267-0.033666i,0.49756+0.093893i,0.45528+0.046178i,0.27305-0.09436i,0.070393-0.10195i,0.0092683-0.0070418i,0.062828+0.035594i,0.095072-0.00034657i,0.063979-0.018773i,0.03712-0.0066718i,0.028635-0.0020514i,0.025734-0.0016549i,0.02234-0.0033297i,0.013288-0.0037941i,0.0019234-0.0039477i,-0.0096546-0.011378i,-0.012738-0.026364i,-0.010883-0.042324i,-0.012636-0.04392i,-0.0078196-0.025173i
-0.21461+0.38685i,-0.3688+0.79113i,-0.21539+0.90908i,0.0086939+0.61081i,-0.061689+0.29914i,-0.23882+0.24963i,-0.24822+0.26818i,-0.14072+0.18497i,-0.058185+0.062804i,-0.052872-0.0040161i,-0.063302+0.0025897i,-0.048517+0.033175i,-0.017683+0.036689i,0.01607-0.012726i,0.023561-0.07903i,0.0055194-0.097242i,-0.004507-0.071375i,0.0020577-0.044803i,0.012451-0.031249i,0.020121-0.023504i,0.01754-0.018093i,0.0053604+0.00082636i,-0.001707+0.030575i
0.25809+0.07022i,0.040269-0.37286i,-0.27837-0.52483i,-0.30646-0.21469i,-0.075611+0.074105i,0.025089+0.12778i,-0.039574+0.10615i,-0.062974+0.10238i,0.013545+0.108i,0.13086+0.066306i,0.18306-0.036178i,0.12405-0.11953i,0.035182-0.12385i,-0.0014103-0.087132i,-0.0057833-0.063983i,-0.0040833-0.040793i,0.017533-0.014182i,0.040176-0.013636i,0.047105-0.027523i,0.048346-0.038906i,0.035914-0.04072i,0.0079991-0.027888i,-0.019469-0.0052172i
-0.26239+0.38349i,-0.14365+0.39372i,-0.08305+0.28319i,-0.1669+0.20175i,-0.2709+0.20454i,-0.30135+0.20215i,-0.12633+0.12888i,0.070186-0.038974i,0.031469-0.10716i,-0.019122+0.0049596i,0.012808+0.06135i,-0.016954+0.049374i,-0.068263+0.063854i,-0.09266+0.057021i,-0.095436+0.0093113i,-0.085066-0.051255i,-0.076221-0.072869i,-0.060319-0.041223i,-0.041674+0.0015961i,-0.018518+0.035601i,0.0036145+0.05377i,0.0041569+0.051677i,-0.0089221+0.038651i
-1.5785+6.8623i,0.95946+6.5819i,3.8209+5.4085i,4.5946+2.2133i,3.6734-0.79556i,1.6554-2.2391i,-0.16082-1.5878i,-0.73349-0.26788i,-0.081236+0.42381i,0.83874-0.0082856i,0.86731-0.86756i,0.26582-1.3317i,-0.36826-1.7898i,-1.0286-2.4531i,-1.2573-2.5024i,-0.78658-1.5111i,-0.25424-0.43543i,-0.27784+0.079338i,-0.64657+0.36337i,-0.6501+0.66455i,-0.16065+0.79318i,0.34896+0.53704i,0.45094+0.070118i
-0.53146+0.53606i,-0.4363+0.74128i,-0.35849+0.71975i,-0.36639+0.57876i,-0.36063+0.46212i,-0.32123+0.43494i,-0.22112+0.38973i,-0.10792+0.23118i,-0.045911+0.099883i,0.012982+0.064404i,0.056561+0.055341i,0.056311+0.043659i,0.029289+0.042525i,0.012005+0.077584i,0.024299+0.11224i,0.027228+0.093126i,-0.00039815+0.05243i,-0.012199+0.037651i,0.0053893+0.021652i,0.012264-0.0043776i,0.00776-0.0082002i,0.0098708+0.0085005i,0.023857+0.024328i
-0.91029-0.43961i,-0.93869-0.29501i,-0.55249-0.13094i,-0.20245-0.17475i,-0.11128-0.24266i,-0.052062-0.17573i,0.024605-0.12474i,0.0032172-0.1119i,-0.049122-0.080971i,-0.079041-0.055286i,-0.098474-0.026263i,-0.061322-0.002233i,0.0041525+0.0028894i,0.022849+0.031511i,0.0027112+0.086964i,-0.018802+0.12103i,-0.028409+0.10659i,-0.031741+0.067876i,-0.030204+0.038091i,-0.029702+0.02017i,-0.032651+0.015001i,-0.026689+0.01947i,-0.015643+0.022907i
0.068347-0.54388i,0.013789-0.68885i,-0.12896-0.57655i,-0.13375-0.35352i,0.035544-0.31901i,0.10157-0.47201i,0.024234-0.49693i,-0.030858-0.3325i,-0.045992-0.16837i,-0.071946-0.077304i,-0.09357-0.01696i,-0.06588+0.02772i,-0.0075412+0.033776i,0.023961+0.013566i,0.030517-0.0012719i,0.033527-0.0087221i,0.029264-0.0044047i,0.028204+0.008244i,0.029651+0.007041i,0.017506-0.00089425i,0.0027655-0.0054876i,-0.0096912-0.019823i,-0.028898-0.033457i
-0.19859-0.17776i,-0.096559+0.12051i,0.16272+0.26333i,0.25413+0.13009i,0.035616+0.09861i,-0.1456+0.26597i,-0.093705+0.32475i,-0.00016384+0.17396i,0.001563+0.028387i,-0.01301-0.017655i,-0.0095682-0.051913i,-0.019613-0.065741i,-0.018135-0.024055i,0.0083068+0.010578i,0.019351+0.0026646i,-0.0081675-0.015675i,-0.041791-0.019057i,-0.046278-0.0070568i,-0.025038+0.011235i,-0.0022834+0.020585i,0.0072326+0.014288i,0.014278+0.0033373i,0.030906-0.0071255i
