-0.0029855+6.8396e-06i,-0.0031439+0.0015191i,-0.0024217+0.002538i,-0.0018536+0.0024939i,-0.0016014+0.0029378i,-0.00053929+0.0032339i,-0.0011042+0.003065i,-0.00097677+0.0030869i,0.00075108+0.002378i,0.0018818+0.0011013i,0.0023668+8.4745e-05i,0.0016676-0.00026233i,0.0010376-0.00067438i,-2.2112e-05-0.0012706i,-0.001283-0.00083098i,-0.00053152-0.0003521i,-0.00038156+4.6834e-05i,-0.00033383-3.5717e-05i,0.00082336-0.0003809i,0.00060159-1.4721e-05i,0.00011296+0.00024258i,0.00029593-2.6063e-05i,-0.00010796-0.0004041i
-0.014944+0.0099224i,-0.064974+0.015168i,-0.13111+0.016787i,-0.16082+0.016916i,-0.13292+0.01488i,-0.078924+0.0024942i,-0.045959-0.0077229i,-0.029183-0.0027548i,-0.014218+0.0040115i,-0.0071997+0.0072021i,-0.0036118+0.010209i,0.0042555+0.0078463i,0.011189-0.0007711i,0.012067-0.0089876i,0.0062699-0.013006i,-0.00014157-0.013028i,-0.0011692-0.011255i,0.00082637-0.0087934i,0.0017994-0.0048076i,-0.00055617+0.0017822i,-0.0033757+0.0094013i,-0.0029012+0.011352i,0.00056005+0.0062115i
-0.013972-0.024538i,-0.0095024-0.099212i,0.010454-0.20582i,0.031475-0.25395i,0.038616-0.19654i,0.027022-0.10539i,0.012246-0.055756i,-0.00073364-0.033222i,-0.0023539-0.012185i,0.0057846-0.0019986i,0.0073737+0.0026084i,0.0066733+0.011392i,0.010345+0.017801i,0.015068+0.016718i,0.017844+0.011339i,0.01501+0.0040701i,0.0094369+0.00023263i,0.0045238+0.00051064i,0.0018962-5.8201e-05i,-0.0003635-0.0024588i,-0.003139-0.0046135i,-0.0033714-0.0033336i,-0.0021294+0.00058113i
0.035393-0.01754i,0.1142-0.0037268i,0.21423+0.045551i,0.24528+0.087014i,0.17496+0.070813i,0.090702+0.023726i,0.051079-0.0047849i,0.032672-0.011232i,0.018638-0.0074918i,0.010772+0.00030023i,0.0059982+0.0029277i,-0.00077142+0.0049267i,-0.0049617+0.0084967i,-0.0039693+0.0079135i,0.00019161+0.0046489i,0.0034036+0.0011002i,0.0033752-0.0018247i,0.003111-0.0019931i,0.0047417+0.0011966i,0.0081176+0.0049758i,0.0079583+0.0075618i,0.0029253+0.0072932i,-0.00040008+0.0049586i
0.014607+0.038907i,0.0051013+0.1087i,-0.02922+0.17696i,-0.054959+0.17599i,-0.040759+0.12057i,-0.0055629+0.074315i,0.013879+0.051508i,0.017535+0.032094i,0.015102+0.015179i,0.009104+0.0058691i,0.0028553+0.0011532i,-0.0025877-0.001511i,-0.0058582-0.0015767i,-0.0043611+0.00080576i,-0.00083479+0.0027898i,0.0029893+0.0054425i,0.00744+0.0058291i,0.0079814+0.00019917i,0.00099851-0.0066661i,-0.0051821-0.011627i,-0.0025883-0.015204i,0.0023408-0.016213i,0.0015659-0.011401i
-0.039926+0.028511i,-0.10408+0.045444i,-0.16846+0.058388i,-0.16683+0.06963i,-0.11376+0.063432i,-0.084422+0.049789i,-0.065166+0.043258i,-0.035377+0.03398i,-0.016483+0.021504i,-0.010881+0.01296i,-0.00666+0.0037793i,-0.0030832-0.0081549i,-0.0031314-0.01463i,-0.0064823-0.011183i,-0.010592-0.0042071i,-0.012369+0.00092574i,-0.01008+0.0027796i,-0.0057646+0.0022155i,-0.0013652+0.0025328i,0.0019065+0.0060723i,0.0042817+0.010741i,0.0064768+0.0099439i,0.0058883+0.0036321i
-0.036484-0.056674i,-0.086959-0.14655i,-0.14007-0.24211i,-0.16825-0.25615i,-0.13988-0.18423i,-0.072322-0.11492i,-0.039193-0.072057i,-0.036815-0.030794i,-0.028297-0.0074021i,-0.017936-0.0031193i,-0.0059746-0.00052588i,0.0093344-8.6033e-06i,0.018336-0.0026301i,0.017741-0.0051063i,0.011163-0.007445i,0.0036061-0.0091563i,-0.0023993-0.0072275i,-0.0052501-0.0028697i,-0.0060384+0.00035238i,-0.0086798-3.0984e-05i,-0.013995-0.00062224i,-0.014848+0.0028232i,-0.007985+0.0046745i
0.070301-0.046863i,0.19198-0.09702i,0.3268-0.15523i,0.3579-0.18288i,0.26417-0.14356i,0.14652-0.073907i,0.070003-0.040069i,0.024043-0.033421i,0.0033541-0.020548i,0.004607-0.0040944i,0.0072004+0.0094914i,0.0068265+0.019845i,0.0059259+0.021435i,0.0034876+0.014269i,0.0028167+0.0062208i,0.0019815+0.0003157i,-0.001128-0.0019718i,-0.0021384+5.6655e-05i,0.0015065+0.0027612i,0.0061825+0.005236i,0.0082035+0.0056344i,0.0073301+0.0031437i,0.0039859+0.0023209i
0.037934+0.087752i,0.076234+0.22234i,0.10415+0.36731i,0.11006+0.38908i,0.081917+0.26474i,0.03383+0.13044i,0.013555+0.057398i,0.017817+0.018337i,0.018555+0.0001711i,0.010327+0.0011672i,-0.00033434+0.0089142i,-0.0066564+0.015103i,-0.0041531+0.013732i,0.0035143+0.0052935i,0.0081562-0.0015542i,0.010065-0.0048033i,0.011881-0.0094552i,0.0091795-0.014473i,0.0017289-0.015087i,-0.0022331-0.013735i,6.9908e-05-0.012594i,0.0013275-0.0094828i,-0.00078319-0.0032761i
-0.088266+0.033945i,-0.213+0.063829i,-0.31046+0.077854i,-0.29288+0.076485i,-0.19876+0.072574i,-0.11245+0.054875i,-0.056727+0.035826i,-0.0166+0.024652i,0.007278+0.013389i,0.011319+0.0022861i,0.0020982-0.0070686i,-0.0084945-0.0089991i,-0.0095427-0.0033016i,-0.0024781+0.0039149i,0.0032569+0.007279i,0.0044199+0.0084504i,0.0069443+0.0095616i,0.010771+0.0078295i,0.010129+0.0054861i,0.0076935+0.0051782i,0.0068568+0.0037562i,0.0049632-0.0015937i,0.00058128-0.0069113i
-0.037973-0.089168i,-0.084615-0.19422i,-0.14574-0.24779i,-0.16962-0.18828i,-0.12241-0.112i,-0.065583-0.082433i,-0.039881-0.054567i,-0.023448-0.017276i,-0.011754+0.0054848i,-0.0048774+0.0084022i,0.0030762-0.0026617i,0.0083936-0.017874i,0.0072921-0.021768i,0.001901-0.015496i,-0.0039197-0.0089205i,-0.0073396-0.0050456i,-0.0087534-0.0018005i,-0.010443+0.00098877i,-0.010875+0.00025135i,-0.0095618-0.0014507i,-0.0091788-8.4799e-05i,-0.005879+0.003944i,0.00076826+0.0048007i
0.09516-0.04349i,0.21006-0.1228i,0.27298-0.2369i,0.21118-0.30136i,0.12137-0.24278i,0.10168-0.13493i,0.079198-0.072523i,0.020285-0.034653i,-0.010024-0.0031194i,-0.0065978+0.0081235i,0.0052139+0.01158i,0.016692+0.012774i,0.017156+0.0083612i,0.0081687+0.0034731i,0.002161+0.0011884i,-0.00044763+0.0018454i,-0.0026873+0.0039688i,-0.00082059+0.0064858i,0.0036375+0.009255i,0.0037538+0.012455i,-0.00094795+0.013606i,-0.0037255+0.011331i,-0.0022839+0.0073934i
0.049107+0.11305i,0.13567+0.25946i,0.26471+0.35011i,0.33155+0.28562i,0.2466+0.17242i,0.106+0.11956i,0.035517+0.083925i,0.012157+0.036255i,-0.0034153+0.013149i,-0.0050444+0.018608i,-0.0025138+0.027734i,-0.0022671+0.032015i,0.0009954+0.024008i,0.0039015+0.0086735i,0.0035443-0.00028134i,0.00064126-0.0044584i,-0.0019491-0.0081057i,-0.004211-0.012429i,-0.0070219-0.015479i,-0.0053371-0.016671i,0.0043135-0.016434i,0.012475-0.010892i,0.010668-0.001914i
-0.13287+0.029559i,-0.29489+0.091993i,-0.40574+0.20001i,-0.34124+0.27384i,-0.19729+0.21872i,-0.12675+0.11498i,-0.090486+0.061585i,-0.033843+0.027491i,-0.0039558-0.0032214i,-0.0072714-0.010846i,-0.014374-0.0050144i,-0.017628-1.0003e-05i,-0.0092889+0.0044035i,0.0066271+0.0047741i,0.013393-0.00028411i,0.012442-0.003233i,0.014191-0.0048071i,0.016322-0.005241i,0.015267-0.00015886i,0.012072+0.0076386i,0.0053631+0.012654i,-0.004367+0.010262i,-0.011393+0.0048094i
-0.013948-0.12234i,-0.047603-0.26642i,-0.10676-0.34582i,-0.15067-0.27391i,-0.12416-0.14866i,-0.06509-0.093879i,-0.035212-0.06956i,-0.014823-0.035299i,0.0081767-0.020935i,0.015594-0.024655i,0.0096138-0.029202i,-0.00028946-0.027871i,-0.0083192-0.0161i,-0.0090976-0.0023242i,-0.0044662+0.0044225i,-0.0010302+0.0054008i,-0.00034516+0.0035659i,-0.0029783+0.00083105i,-0.0081361-0.0045034i,-0.011323-0.015168i,-0.010517-0.024235i,-0.0062618-0.02352i,-0.00013016-0.019392i
0.12174-0.012637i,0.23651-0.055842i,0.25587-0.13444i,0.14454-0.17983i,0.056133-0.14686i,0.059476-0.1052i,0.054085-0.082677i,0.018558-0.041047i,0.0055372-0.0074546i,0.0073414+0.00033646i,0.013195+0.0015514i,0.022339-0.0033347i,0.017613-0.010276i,0.0029197-0.0097279i,-0.0046405-0.0049875i,-0.0040748-0.00032416i,-0.00088226+0.0044188i,0.0025012+0.0070776i,0.0054499+0.0097013i,0.0082745+0.019414i,0.008668+0.028611i,0.0054357+0.02621i,0.003029+0.017362i
0.015696+0.12152i,0.082285+0.23325i,0.20067+0.24704i,0.25515+0.12305i,0.1741+0.027724i,0.084142+0.051934i,0.054759+0.065697i,0.022236+0.033759i,-0.0034918+0.030815i,0.0011872+0.039097i,0.0074047+0.037454i,0.012462+0.032474i,0.016698+0.016519i,0.013637+0.00035187i,0.007829-0.0049272i,0.00032241-0.0039736i,-0.0070822-0.0013271i,-0.0099033+6.9021e-05i,-0.010253-0.0050371i,-0.012211-0.015273i,-0.0090598-0.0219i,0.00032183-0.020211i,0.0045449-0.011497i
-0.14404+0.017108i,-0.28227+0.093451i,-0.322+0.22312i,-0.19504+0.28396i,-0.0757+0.20867i,-0.081595+0.10974i,-0.08609+0.072814i,-0.041936+0.048159i,-0.018746+0.030135i,-0.014138+0.033408i,-0.012484+0.029556i,-0.014743+0.021211i,-0.0042414+0.015803i,0.010431+0.0060971i,0.012181-0.0033709i,0.0064092-0.0087104i,0.0035468-0.010754i,0.0053569-0.0092267i,0.010309-0.002474i,0.018098+0.0095972i,0.020247+0.022394i,0.012685+0.027386i,0.003219+0.021644i
0.011918-0.15054i,-0.021779-0.31335i,-0.11325-0.37546i,-0.17081-0.2536i,-0.11424-0.12216i,-0.037258-0.10105i,-0.024749-0.088267i,-0.016118-0.042008i,-0.0001776-0.02403i,-0.0041273-0.026467i,-0.0099199-0.023609i,-0.012164-0.016953i,-0.010359-0.00040126i,-0.0016677+0.014034i,0.0065376+0.012459i,0.010975+0.0050092i,0.012274-0.0019769i,0.0062362-0.007039i,-0.0061403-0.0099612i,-0.019814-0.017197i,-0.03109-0.027777i,-0.031563-0.030806i,-0.0206-0.02325i
0.14415+0.033728i,0.27854+0.039208i,0.31368-0.014755i,0.19834-0.080226i,0.093786-0.077855i,0.081586-0.050663i,0.068595-0.045083i,0.029707-0.035034i,0.010732-0.023123i,0.0089907-0.021823i,0.010785-0.018965i,0.010007-0.013759i,-0.0021589-0.0066333i,-0.012947+0.0015661i,-0.012287+0.0083269i,-0.0043453+0.012131i,0.0036938+0.011974i,0.0076841+0.0081637i,0.010111+0.0056497i,0.01698+0.0092922i,0.027865+0.014733i,0.032521+0.014464i,0.026602+0.0087323i
-0.051685+0.12106i,-0.051585+0.21662i,0.009212+0.20903i,0.066754+0.1041i,0.052806+0.059631i,0.034898+0.081886i,0.03921+0.059575i,0.016906+0.014559i,-0.0041109-0.00063832i,-0.0058993+0.0011646i,-0.0014422+0.0096382i,0.011573+0.013489i,0.01549+0.00097279i,0.0063832-0.011964i,-0.0020205-0.013582i,-0.0081741-0.0072153i,-0.0093661+0.0018846i,-0.007303+0.0053815i,-0.01029+0.0024781i,-0.016676+0.00048811i,-0.017788+0.0018336i,-0.012343+0.0032122i,-0.0068381+0.0032724i
-0.11394-0.03706i,-0.20074-0.0077979i,-0.18479+0.10537i,-0.077868+0.176i,-0.047161+0.12665i,-0.094955+0.088131i,-0.083828+0.084545i,-0.03105+0.045389i,-0.010103+0.016221i,-0.0036664+0.017903i,-0.0030976+0.01857i,-0.0062893+0.018236i,0.0030914+0.010073i,0.013804-0.0041224i,0.010452-0.010811i,-0.00070577-0.01104i,-0.0083657-0.0083789i,-0.0060759-0.0029274i,0.0027737+0.0026224i,0.011352+0.0066103i,0.015365+0.0098293i,0.011815+0.011148i,0.0042514+0.011828i
0.045769-0.12644i,0.011521-0.25282i,-0.10958-0.3036i,-0.1834-0.22339i,-0.11929-0.15222i,-0.070641-0.15554i,-0.077528-0.10993i,-0.044395-0.02778i,-0.00472+0.0058787i,0.0026955+0.011385i,0.00018801+0.0055163i,-0.0063194-0.0033609i,-0.0046252+0.0021433i,0.0057517+0.0077598i,0.010732+0.0043733i,0.012209-0.0042228i,0.010022-0.013439i,0.0036668-0.016833i,-0.0032868-0.016143i,-0.013862-0.016139i,-0.027262-0.016275i,-0.033131-0.01395i,-0.027384-0.010143i
0.13406+0.072775i,0.28439+0.085611i,0.36043+0.023525i,0.27158-0.047149i,0.15222-0.049561i,0.13143-0.045148i,0.1039-0.058937i,0.040355-0.026593i,0.0246+0.010092i,0.03153+0.0063564i,0.028003-0.0041444i,0.020394-0.0079307i,0.0064999-0.0034174i,-0.003078+0.0072992i,0.00040766+0.01182i,0.0093779+0.011403i,0.01607+0.0099331i,0.015026+0.0054978i,0.009588+0.0007113i,0.010039-0.0024154i,0.016361-0.0073369i,0.020394-0.013651i,0.018378-0.015054i
-0.10496+0.11997i,-0.17472+0.23161i,-0.1608+0.2627i,-0.074583+0.17075i,-0.0087321+0.093692i,0.021015+0.09335i,0.035404+0.072788i,0.019643+0.026492i,3.7392e-05+0.014987i,0.001681+0.02018i,0.0083074+0.019207i,0.01255+0.014283i,0.009383+0.0036384i,0.0005709-0.0064185i,-0.0047043-0.0072852i,-0.0059961-3.0739e-05i,-0.0041284+0.0070283i,-0.00049075+0.0076632i,0.00092842+0.0038269i,0.0027854+0.0030581i,0.009051+0.0060135i,0.01441+0.0082876i,0.013205+0.0078937i
-0.067084-0.11763i,-0.10827-0.18627i,-0.071708-0.15476i,0.020918-0.045026i,0.045326+0.031344i,-0.011001+0.060762i,-0.03187+0.058692i,-0.013846+0.015041i,-0.020726-0.018932i,-0.034519-0.012177i,-0.031031+0.0073195i,-0.01448+0.019575i,0.0039642+0.015669i,0.011882+0.0024952i,0.0084471-0.0066568i,0.00022207-0.0090463i,-0.0063705-0.0063331i,-0.0082682+0.00078504i,-0.0067298+0.010267i,-0.0049898+0.018283i,-0.004487+0.02437i,-0.0027704+0.023408i,-0.0011815+0.015799i
0.091336-0.050051i,0.08989-0.072505i,-0.02626-0.036168i,-0.15296+0.016522i,-0.17855-0.0065579i,-0.15037-0.06011i,-0.11425-0.049374i,-0.062013-0.01471i,-0.029244-0.0097646i,-0.026446-0.0061483i,-0.02541+0.0012521i,-0.024321+0.0071983i,-0.015776+0.016544i,0.00087122+0.019672i,0.0080472+0.012564i,0.004995+3.7593e-05i,0.0012551-0.010996i,-0.0020082-0.01615i,-0.0046991-0.019135i,-0.007616-0.023239i,-0.013076-0.024764i,-0.017304-0.019635i,-0.014367-0.0095948i
0.062696+0.083815i,0.15074+0.055912i,0.20803-0.088i,0.17295-0.19887i,0.11404-0.16802i,0.09088-0.11985i,0.050609-0.10026i,0.0025157-0.049694i,-0.001101-0.0074108i,0.0097021-0.0079925i,0.0088852-0.019179i,0.0044154-0.023705i,-0.0031127-0.015662i,-0.0077647-0.00074592i,-0.0048948+0.0081268i,0.0030207+0.0098084i,0.010496+0.0081812i,0.011239+0.0049809i,0.0060673+0.0027666i,0.0020632+0.0051735i,0.003432+0.0079672i,0.0067967+0.0052955i,0.0057355+0.0014287i
-0.10164+0.077223i,-0.14048+0.21358i,-0.083596+0.34741i,0.0024914+0.34633i,0.033178+0.24968i,0.049667+0.17719i,0.069892+0.10512i,0.054713+0.036817i,0.03765+0.018517i,0.044341+0.0094154i,0.040513-0.004699i,0.031085-0.0080088i,0.020701-0.015218i,0.0028839-0.021346i,-0.0062707-0.016735i,-0.004913-0.0048663i,-0.0023927+0.0061317i,0.0025791+0.007486i,0.0075513+0.00065943i,0.0079468-0.009088i,0.0045115-0.013085i,0.00030353-0.0073723i,-0.00094914-0.00169i
-0.052783-0.1491i,-0.14605-0.27885i,-0.2195-0.33847i,-0.17751-0.29332i,-0.082549-0.2038i,-0.037989-0.1046i,-0.014645-0.02288i,0.01456+0.0028372i,0.020899-0.00090656i,0.013653+0.0080676i,0.013903+0.016417i,0.013106+0.013785i,0.012628+0.0051595i,0.012106-0.0085144i,0.0034705-0.015926i,-0.0075787-0.013724i,-0.011908-0.0098663i,-0.010721-0.0028326i,-0.0078901+0.010275i,-0.0025935+0.02328i,0.0052895+0.028266i,0.0088575+0.021974i,0.0053926+0.01142i
0.15783+0.016561i,0.29115+0.035464i,0.33427+0.081437i,0.24933+0.11732i,0.12184+0.075099i,0.011609+0.0056038i,-0.042866+0.0039743i,-0.024178+0.024642i,-0.00062426+0.015381i,-0.0066932+0.015265i,-0.010863+0.027961i,-0.0078534+0.03152i,0.0009477+0.031517i,0.014534+0.025789i,0.019717+0.010971i,0.015171-0.0053761i,0.0062316-0.018786i,-0.0039021-0.024888i,-0.010442-0.026821i,-0.01527-0.02884i,-0.020757-0.030139i,-0.021808-0.026786i,-0.016419-0.018863i
-0.053579+0.10597i,-0.12652+0.13685i,-0.21254+0.052142i,-0.25658-0.051374i,-0.20879-0.050129i,-0.12334-0.025708i,-0.091418-0.027063i,-0.087245-0.0043399i,-0.06037+0.025261i,-0.0345+0.029057i,-0.025815+0.021164i,-0.020796+0.011748i,-0.014428+0.011974i,-0.00088043+0.020754i,0.013294+0.01909i,0.018995+0.011038i,0.021178+0.0067994i,0.018687+0.0034862i,0.012593+0.0020142i,0.012726+0.0022119i,0.022764+6.7776e-05i,0.03033-0.0044773i,0.024279-0.0057112i
-0.060249-0.038378i,-0.00735-0.03319i,0.1755+0.018269i,0.32928+0.071153i,0.30813+0.1042i,0.22074+0.10952i,0.14122+0.03898i,0.039472-0.027924i,-0.020215-0.023876i,-0.016635-0.014489i,-0.0034676-0.018763i,0.0096041-0.015403i,0.012986-0.014415i,0.0020048-0.012168i,-0.0037391-0.002723i,0.00016044+0.0096371i,0.0073844+0.020239i,0.013119+0.019378i,0.013123+0.010462i,0.0073227+0.0078038i,-0.0012236+0.017016i,-0.0062412+0.028374i,-0.0047585+0.027064i
0.0044634-0.075216i,-0.11081-0.081657i,-0.30222-1.757e-05i,-0.38454+0.079421i,-0.28441+0.047907i,-0.15318-0.017255i,-0.058847-0.026873i,0.0052983-0.027582i,0.015433-0.033263i,0.0079748-0.022249i,0.0078803-0.008281i,0.0059334+0.0026907i,0.0058067+0.0019695i,-0.0017318-0.0073052i,-0.013721-0.0037387i,-0.017651+0.0064223i,-0.018221+0.0078508i,-0.015671+0.0090751i,-0.009635+0.015329i,-0.0055245+0.017725i,-0.0054778+0.010436i,-0.0057143+0.00082741i,-0.0036499-0.0024781i
0.12515+0.013302i,0.26293-0.070867i,0.34539-0.25108i,0.27718-0.37958i,0.11886-0.35531i,0.00073458-0.24361i,-0.021221-0.10914i,0.013756-0.022984i,0.024597-0.012501i,0.0019363-0.0066741i,-0.0083024+0.0097207i,-0.0084294+0.012542i,-0.007064+0.011975i,-0.0012354+0.0059648i,-0.0040782-0.0059517i,-0.014474-0.016547i,-0.02093-0.023575i,-0.022594-0.024171i,-0.019543-0.021109i,-0.014586-0.01645i,-0.0094227-0.0084145i,-0.0047478-0.0018476i,-0.0018176-0.00047005i
-0.090825+0.12896i,-0.15501+0.2973i,-0.16344+0.46265i,-0.1147+0.49811i,-0.079132+0.39821i,-0.066614+0.27448i,-0.047917+0.17457i,-0.016545+0.10556i,0.018031+0.058257i,0.026365+0.023713i,0.010668+0.0076843i,-0.0048855+0.0029167i,-0.0070836+0.0055274i,0.0061859+0.0064873i,0.017995-0.0038677i,0.019834-0.016144i,0.018834-0.020837i,0.012801-0.020737i,0.0015709-0.019193i,-0.0085224-0.018702i,-0.011838-0.022648i,-0.0096301-0.025531i,-0.0084668-0.018984i
-0.068808-0.1504i,-0.11696-0.30376i,-0.11454-0.43249i,-0.048671-0.41353i,0.05668-0.2431i,0.13113-0.098992i,0.099655-0.067965i,0.014868-0.052038i,-0.01351-0.0087713i,0.0056373+0.0029849i,0.012614-0.011213i,0.014958-0.016757i,0.018209-0.014375i,0.018596-0.0072317i,0.024849-0.0029336i,0.031112+0.0018407i,0.035087+0.010091i,0.035474+0.010039i,0.029349+0.0029737i,0.029676+0.0012335i,0.03412+0.0063061i,0.028466+0.013899i,0.0157+0.01882i
0.11482+0.0088395i,0.19804+0.092447i,0.23533+0.24278i,0.24214+0.30471i,0.22438+0.17837i,0.15244+0.025101i,0.067364-0.028879i,0.018628-0.034632i,0.0021088-0.025842i,0.010865-0.0052233i,0.027451+0.0087546i,0.0322+0.015294i,0.026356+0.012608i,0.012918+0.0085489i,0.0016209+0.015901i,-0.00074567+0.023035i,-0.00052664+0.02159i,-0.00060153+0.017842i,-0.0023082+0.01589i,-0.0109+0.01752i,-0.02299+0.019343i,-0.026586+0.014936i,-0.019334+0.0063699i
-0.0058235+0.046605i,-0.067712-0.021523i,-0.20253-0.18481i,-0.36381-0.28885i,-0.43844-0.24819i,-0.36763-0.15789i,-0.2257-0.071587i,-0.10346-0.0026825i,-0.047427+0.027263i,-0.037114+0.045119i,-0.025058+0.054263i,-0.014942+0.040146i,-0.0094785+0.021071i,-0.0065969+0.0052499i,-0.016718-0.0020882i,-0.030181-0.00017088i,-0.036048+0.0011117i,-0.030449+0.0027791i,-0.015269+0.0033161i,0.0016406-0.0035357i,0.017094-0.015128i,0.025575-0.022682i,0.02355-0.020816i
-0.046001+0.048991i,0.04934+0.15198i,0.25805+0.24453i,0.39486+0.25253i,0.31755+0.23824i,0.1509+0.24923i,0.070665+0.20119i,0.04155+0.099322i,0.0044083+0.032615i,-0.017089+0.010912i,-0.019109+0.0042325i,-0.01557+0.0021084i,-0.01291+0.0031952i,-0.0062305+0.0036037i,0.00046208-0.0064803i,-0.0025236-0.019719i,-0.0092795-0.023389i,-0.01549-0.019167i,-0.020217-0.010597i,-0.022319+0.0035117i,-0.018708+0.021718i,-0.0089225+0.028128i,-0.00073466+0.017546i
-0.073983-0.11148i,-0.25193-0.168i,-0.46061-0.10293i,-0.4636+0.059968i,-0.23304+0.14127i,-0.03146+0.080588i,0.0050554-0.0045898i,-0.0093237-0.027224i,-0.0013753-0.017551i,-0.00049261-0.020249i,-0.010993-0.02161i,-0.0093145-0.014023i,0.0010192-0.010033i,0.012394-0.0096639i,0.028369-0.01208i,0.043499-0.013696i,0.048755-0.011619i,0.042926-0.010671i,0.031427-0.014135i,0.020655-0.022248i,0.0083089-0.02904i,-0.0057846-0.022511i,-0.012018-0.0055285i
0.1559+0.0035372i,0.32602-0.054313i,0.45658-0.21099i,0.42355-0.4063i,0.28192-0.5034i,0.18214-0.45258i,0.11164-0.3043i,0.040156-0.15991i,0.011683-0.07894i,0.011434-0.044104i,0.011423-0.020261i,0.015154+0.0011205i,0.017992+0.012983i,0.013649+0.020001i,0.010138+0.027706i,0.012253+0.02738i,0.016239+0.01892i,0.016843+0.0079068i,0.0096538+0.0022964i,0.0046376+0.0079304i,0.0088657+0.015373i,0.011227+0.013997i,0.0050212+0.0057995i
-0.082129+0.118i,-0.15815+0.22199i,-0.22531+0.31762i,-0.24096+0.35073i,-0.24714+0.27367i,-0.26773+0.15718i,-0.21294+0.10138i,-0.092556+0.077266i,-0.014761+0.047937i,0.008487+0.042511i,0.014023+0.041428i,0.0067218+0.027548i,-2.822e-05+0.0095305i,-0.0083867-0.0097795i,-0.028602-0.015772i,-0.042827-0.0044304i,-0.041459+0.005967i,-0.03139+0.0080179i,-0.018791+0.0045971i,-0.015422-0.0035723i,-0.022102-0.011314i,-0.023584-0.011164i,-0.014326-0.0054199i
-0.021049-0.091037i,0.031216-0.17491i,0.12763-0.2468i,0.13238-0.22615i,0.057025-0.061923i,0.046276+0.10298i,0.073903+0.10738i,0.050024+0.045931i,0.01755+0.028491i,0.017829+0.013729i,0.013168-0.013919i,-0.00040907-0.01971i,-0.0010433-0.0059332i,0.008004+0.00065262i,0.0074123-0.0052179i,-0.0076286-0.0088928i,-0.021077-0.0049556i,-0.024874+0.0012666i,-0.019567+0.007228i,-0.002244+0.01141i,0.021014+0.011448i,0.031797+0.0048996i,0.026365-0.0026584i
0.011089+0.00097577i,-0.054471+0.11032i,-0.099335+0.30654i,0.038552+0.42694i,0.27395+0.36948i,0.33785+0.23056i,0.21673+0.12088i,0.090763+0.04789i,0.031077+0.011108i,0.011978+0.00088305i,0.0099832-0.0017585i,0.0086017-0.0034258i,0.0032165-0.0041179i,0.0079233-0.0046269i,0.026587-0.011906i,0.041088-0.023759i,0.041897-0.025375i,0.033371-0.02093i,0.019243-0.016227i,0.00048123-0.004571i,-0.01846+0.011797i,-0.02576+0.026079i,-0.020885+0.032479i
0.059719+0.0002425i,0.07333-0.13255i,-0.039454-0.32855i,-0.23247-0.43176i,-0.311-0.43796i,-0.2418-0.40521i,-0.16011-0.29446i,-0.095721-0.13326i,-0.047016-0.035259i,-0.031787+0.0054373i,-0.013273+0.031769i,0.010651+0.031997i,0.016454+0.023362i,0.017183+0.027976i,0.024552+0.032957i,0.034909+0.026487i,0.041528+0.0080388i,0.039431-0.0053827i,0.032732-0.011913i,0.027613-0.025985i,0.023426-0.045323i,0.015147-0.057204i,0.0022719-0.054874i
-0.06777+0.096466i,-0.036283+0.21014i,0.10216+0.23905i,0.1779+0.1184i,0.032257+0.023414i,-0.14927+0.07668i,-0.14301+0.14233i,-0.061379+0.10498i,-0.03282+0.057763i,-0.021156+0.055475i,-0.0088332+0.051812i,-0.0031158+0.03438i,-0.004939+0.0098277i,-0.022284-0.0095768i,-0.044867-0.010252i,-0.054827+0.0041623i,-0.050056+0.02004i,-0.035741+0.021085i,-0.025049+0.015237i,-0.019388+0.022063i,-0.0081691+0.035536i,0.0081459+0.037034i,0.01695+0.027925i
-0.028263-0.15535i,-0.071-0.28074i,-0.1168-0.28072i,-0.1408-0.068393i,-0.13638+0.18533i,-0.10662+0.23637i,-0.074954+0.11585i,-0.044857+0.023359i,-0.007539-0.002849i,0.01185-0.020504i,0.0012523-0.028044i,-0.0061195-0.016368i,0.0084943-0.0061428i,0.021122-0.0085405i,0.013226-0.012286i,-0.0047887-0.0075645i,-0.018869+0.0011236i,-0.026386+0.007916i,-0.023534+0.0095899i,-0.013742+0.0019171i,-0.010553-0.0086738i,-0.014988-0.012424i,-0.015788-0.014531i
0.12093+0.072662i,0.21854+0.17163i,0.29106+0.24278i,0.36214+0.13651i,0.45466-0.092019i,0.46844-0.21422i,0.33181-0.18918i,0.15444-0.11435i,0.057014-0.059946i,0.023109-0.042071i,0.0039912-0.029109i,-0.0019804-0.0062645i,0.0036925+0.0069378i,0.014863+0.003492i,0.02739-0.0080973i,0.034027-0.018726i,0.031755-0.023853i,0.019933-0.021969i,0.0035464-0.01005i,-0.0022008+0.010747i,0.0071887+0.030331i,0.020255+0.039813i,0.029098+0.042564i
