-0.0047507-0.00055508i,-0.002901-0.0001321i,-0.0028663+0.0011309i,-0.0016046+0.0013205i,-0.00090654+0.0018024i,0.00036185+0.001409i,0.0018185+0.00079642i,0.0018033+0.00088604i,0.0016364+0.00092796i,0.0017365+0.00028776i,0.0015883-0.00017317i,0.0014525-0.00064519i,0.00019876-0.00092307i,-0.00048335-0.00043511i,-0.0004142+5.3336e-05i,-0.00025026-8.5449e-05i,0.00027385-0.00034089i,0.00041681-0.00036371i,0.00032861-0.0002864i,-0.00030205+0.00017696i,-0.00071245-0.00061808i,-5.3243e-05-0.0010762i,0.00073607-0.00040737i
0.0010716+0.16132i,-0.042841+0.38421i,-0.057546+0.5589i,-0.0060056+0.473i,0.025657+0.20924i,-0.0013264+0.019376i,0.0027166-0.036272i,0.042625-0.044775i,0.053527-0.048831i,0.031222-0.034049i,0.012743-0.0078555i,0.0066481+0.009049i,0.0032678+0.013394i,0.0020682+0.0088666i,0.0015822+0.0019772i,0.00061399-0.00033023i,0.004866+0.00060666i,0.014684+0.00092635i,0.022467-0.0012207i,0.020743-0.0056382i,0.012982-0.010262i,0.0067054-0.012884i,0.0046236-0.012607i
-0.13147+0.048941i,-0.25974+0.11934i,-0.29399+0.13205i,-0.19854+0.049105i,-0.10805-0.024116i,-0.078758-0.0060674i,-0.036433+0.04779i,0.0027399+0.051382i,0.0029332+0.025794i,0.00058722+0.012707i,0.010401+0.0077942i,0.014388-0.0039933i,0.00974-0.017538i,0.0063922-0.019763i,0.0041106-0.013782i,-0.00069847-0.0078047i,-0.0024443-0.0030777i,0.00071407+0.00065361i,0.0050637+0.0025715i,0.0078484+0.0027152i,0.0084861+0.0028658i,0.0083943+0.0053287i,0.010063+0.0096107i
-0.069564-0.12982i,-0.11788-0.22312i,-0.13259-0.20534i,-0.091643-0.040715i,-0.023009+0.096175i,0.024705+0.10265i,0.0042032+0.060823i,-0.043201+0.045053i,-0.045693+0.046966i,-0.014449+0.029196i,-0.00073506-0.00080173i,-0.0075813-0.013559i,-0.010668-0.014006i,-0.01031-0.012913i,-0.011037-0.0083779i,-0.011542-0.0044874i,-0.014537-0.0034599i,-0.018809-0.0045987i,-0.018977-0.0053937i,-0.014177-0.0021578i,-0.0096069+0.0023896i,-0.0074752+0.0066386i,-0.0057945+0.011063i
0.053228-0.15006i,0.072513-0.36467i,-0.019324-0.51464i,-0.14637-0.41351i,-0.12182-0.19549i,-0.010085-0.08992i,0.016985-0.06354i,0.0097005-0.016306i,0.02+0.0133i,0.016953+0.0069534i,0.0067479-0.0024308i,0.0037926-0.0047424i,0.0075156+0.0019334i,0.011654+0.0065473i,0.012497+0.0017617i,0.011729-0.0045055i,0.0064075-0.0055044i,-0.0020467+0.001814i,-0.0065238+0.012261i,-0.0054687+0.016238i,-0.0015323+0.01211i,0.0010431+0.005016i,-0.0021634-0.0019497i
0.15178+0.096051i,0.35885+0.1526i,0.52433+0.12534i,0.46875-0.013571i,0.22604-0.13264i,0.0085753-0.13207i,-0.063725-0.083589i,-0.05422-0.064524i,-0.03939-0.053403i,-0.030633-0.023885i,-0.018213+0.0063725i,-0.0013984+0.022305i,0.0086767+0.026793i,0.0091762+0.02302i,0.0077793+0.012228i,0.0074119+0.0031118i,0.007245-0.00074883i,0.0065513-0.0030195i,0.0042369-0.0036613i,-0.00053995-0.0011369i,-0.0062677+0.0014344i,-0.0081091-0.00011869i,-0.0046784-0.0050579i
-0.017405+0.21558i,-0.053223+0.46879i,-0.078645+0.62991i,-0.088048+0.5064i,-0.097403+0.2652i,-0.077115+0.12119i,-0.013907+0.038893i,0.01408-0.02628i,-0.0045228-0.038734i,-0.010892-0.013028i,-0.0015341+0.0026989i,-0.0034204+0.0022483i,-0.01256-0.0014895i,-0.013542-0.0049212i,-0.0095053-0.0060431i,-0.005916-0.0047166i,0.0012067-0.0036343i,0.01299-0.0070952i,0.018694-0.013463i,0.013814-0.017892i,0.0056465-0.017422i,0.001468-0.013016i,0.0035477-0.010209i
-0.12123-0.0386i,-0.25234-0.086445i,-0.27765-0.13982i,-0.14494-0.15002i,0.012708-0.086619i,0.095478+0.0048305i,0.10684+0.054164i,0.075912+0.059055i,0.042786+0.048376i,0.027807+0.022621i,0.019152-0.0018756i,0.010298-0.014224i,7.3039e-05-0.019683i,-0.0057541-0.012103i,-0.0022496+0.0028985i,0.0035525+0.01104i,0.0034316+0.010139i,-0.0031186+0.0059373i,-0.0095734+0.0024184i,-0.0084044-0.00062187i,-0.00303-0.00093595i,0.0027808+0.0018864i,0.0085411+0.0062003i
-0.075137-0.16711i,-0.18381-0.28261i,-0.24657-0.23329i,-0.14555-0.025466i,0.028507+0.06343i,0.078168-0.011563i,0.026446-0.041832i,0.013696-0.012693i,0.033635-0.010969i,0.029227-0.023894i,0.011687-0.024358i,0.0055266-0.017641i,0.011302-0.01253i,0.010507-0.010113i,0.002676-0.0042571i,-0.0020703+0.0020047i,-0.0059395+0.0030041i,-0.0096743+0.0034466i,-0.010593+0.0052605i,-0.0075228+0.0057144i,-0.0036104+0.0037501i,-0.0042486+0.002975i,-0.0072707+0.0074162i
0.079394-0.1056i,0.12708-0.27036i,0.050949-0.44015i,-0.12202-0.43003i,-0.21458-0.25078i,-0.19047-0.097426i,-0.13639-0.026441i,-0.075194+0.004642i,-0.030621+0.0006293i,-0.020928-0.0031627i,-0.01309+0.0061165i,0.0022941+0.0072022i,0.011618+0.0085345i,0.011868+0.0093046i,0.0063514+6.5977e-05i,0.0018693-0.0088822i,0.0014074-0.0078467i,0.0024021+1.8197e-05i,0.0056403+0.0079653i,0.010011+0.011464i,0.010619+0.0087602i,0.005066+0.0028078i,-0.0057423-0.0034135i
0.18231+0.14912i,0.47318+0.28478i,0.74354+0.31022i,0.69805+0.17366i,0.37326+0.057339i,0.10971+0.054143i,0.014233+0.038097i,-0.033567+0.00059597i,-0.053123+0.009465i,-0.030284+0.027304i,-0.014318+0.02795i,-0.014188+0.031213i,-0.013256+0.032679i,-0.010529+0.024746i,-0.0072499+0.015002i,-0.0052654+0.0074924i,-0.00018534+0.00071186i,0.0095587-0.0073508i,0.013133-0.015044i,0.0073753-0.015152i,0.00058702-0.0073665i,-0.0016284-0.0017714i,-0.00020352-0.0045031i
-0.073666+0.15261i,-0.15784+0.33795i,-0.23344+0.49044i,-0.21593+0.46874i,-0.083122+0.30467i,0.070565+0.12709i,0.1308+0.0099712i,0.098388-0.017221i,0.059317+0.0061607i,0.040442+0.010686i,0.018503-0.0032002i,-0.0068076-0.0068948i,-0.017959-0.0031984i,-0.012505-0.0022882i,-0.0047672-0.002097i,-0.0010125-0.0027237i,0.0021406-0.0030766i,0.0071855-0.0022139i,0.0098081-0.003712i,0.0057425-0.0071466i,0.0016434-0.0086706i,0.0042236-0.0074672i,0.0090798-0.0064875i
-0.15194-0.088275i,-0.32252-0.16697i,-0.38112-0.22109i,-0.23929-0.23052i,-0.08399-0.2067i,-0.04102-0.1505i,-0.029456-0.076733i,-0.0077926-0.036114i,0.0038419-0.033296i,0.0032114-0.038881i,0.0015701-0.041027i,0.0035077-0.040458i,0.0021495-0.041164i,-0.002735-0.035692i,0.00099285-0.02129i,0.0095675-0.0079673i,0.00739-0.00058857i,-0.0051842+0.0049205i,-0.013935+0.01121i,-0.012703+0.014345i,-0.0060011+0.012988i,0.001682+0.0086592i,0.0091198+0.0064942i
-0.040769-0.10363i,-0.16708-0.13998i,-0.29243-0.029674i,-0.27385+0.15775i,-0.16722+0.19894i,-0.13378+0.11958i,-0.11837+0.078772i,-0.056802+0.039733i,-0.027689-0.0079607i,-0.023593-0.010235i,-0.00484-0.0037217i,0.0082016-0.010496i,0.012973-0.010761i,0.0095269-0.006199i,-0.0031153-0.0007869i,-0.0099064+0.0038699i,-0.0092858+0.0059296i,-0.0081987+0.0090344i,-0.0059644+0.011552i,-0.0024095+0.010505i,-0.0012818+0.0078795i,-0.0042315+0.0052979i,-0.0076572+0.0077328i
0.14649-0.062884i,0.27128-0.25085i,0.24535-0.50351i,0.015802-0.55558i,-0.13728-0.31709i,-0.082739-0.055975i,-0.015627+0.045247i,-0.012101+0.067311i,-0.010899+0.067474i,-0.0019177+0.051197i,0.01131+0.037469i,0.019542+0.026152i,0.014869+0.025088i,0.011306+0.027694i,0.0072468+0.018412i,-0.00014201+0.0091891i,-0.0022805+0.0044713i,-0.0021268+0.0013018i,-0.0024597-0.0010472i,-0.00068741-0.0046734i,-0.00022476-0.0055242i,-0.0019491-0.0029151i,-0.0069609-0.0029308i
0.13878+0.12124i,0.4075+0.22169i,0.70512+0.2264i,0.7474+0.086613i,0.51623-0.06439i,0.28472-0.12572i,0.15502-0.13687i,0.072638-0.10572i,0.039743-0.05284i,0.033664-0.022519i,0.022613-0.0048347i,0.014832+0.011141i,0.013903+0.012755i,0.017488+0.0081i,0.019357+0.0072129i,0.013653+0.0066791i,0.010537+0.0023254i,0.013247-0.0085986i,0.01008-0.019752i,0.00062728-0.021813i,-0.0062722-0.016328i,-0.0054743-0.0091779i,-0.00030867-0.0064833i
-0.14509+0.077753i,-0.31933+0.21664i,-0.46563+0.35358i,-0.43053+0.35871i,-0.25111+0.21949i,-0.10945+0.072724i,-0.040842+0.0067305i,-0.0027617-0.016024i,0.0044588-0.026779i,-0.0097961-0.025866i,-0.022778-0.019785i,-0.028591-0.016201i,-0.032259-0.015995i,-0.033803-0.01572i,-0.024902-0.015786i,-0.010835-0.018971i,-0.0054258-0.01724i,-0.0045806-0.0069265i,0.00077947+0.0023152i,0.0060295+0.0022306i,0.0068076-0.0026934i,0.0054089-0.0051339i,0.0066302-0.0040889i
-0.097131-0.045401i,-0.18695-0.041064i,-0.16861-0.021332i,-0.030349-0.046707i,0.022298-0.063487i,-0.045554+0.0050519i,-0.080357+0.066463i,-0.076315+0.049975i,-0.066198+0.02627i,-0.038324+0.013027i,-0.020782-0.0040897i,-0.017312-0.010343i,-0.013981-0.013227i,-0.013087-0.0164i,-0.0089378-0.014039i,-0.0037628-0.012826i,-0.0046257-0.010754i,-0.0067826-0.0031052i,-0.00426+0.006702i,0.0047165+0.013072i,0.012273+0.012342i,0.010837+0.0062876i,0.0072156+0.0010966i
0.014935-0.05642i,-0.058958-0.085545i,-0.17427+0.0092419i,-0.17868+0.18596i,-0.043225+0.22722i,0.054968+0.11514i,0.061166+0.048763i,0.072409+0.051549i,0.079514+0.041962i,0.058622+0.031726i,0.041066+0.029966i,0.033509+0.032873i,0.037376+0.041068i,0.038554+0.040498i,0.021478+0.03171i,0.0046977+0.024645i,0.0024813+0.019682i,0.0059902+0.013968i,0.004745+0.0080724i,0.0022552+0.0067123i,0.003521+0.0077267i,0.0026892+0.0060738i,-0.0013287+0.0067419i
0.117-0.075644i,0.22994-0.32907i,0.21104-0.66962i,0.0043428-0.75397i,-0.14269-0.50842i,-0.10456-0.25063i,-0.048046-0.13039i,-0.024669-0.056322i,0.0039923-0.020777i,0.011187-0.020406i,0.0095173-0.013283i,0.016956-0.0084852i,0.016743-0.012447i,0.011675-0.018485i,0.0096535-0.01647i,0.010727-0.0031491i,0.013434+0.0015788i,0.0092093-0.0070464i,-0.00076856-0.013949i,-0.0097688-0.011375i,-0.012811-0.0026789i,-0.0083049+0.0027077i,-0.0074441+0.0025256i
0.032827+0.10118i,0.16314+0.23341i,0.37933+0.31946i,0.4881+0.25662i,0.35938+0.12578i,0.15797+0.037381i,0.052727-0.030956i,-0.0075483-0.082382i,-0.049985-0.070689i,-0.042457-0.030901i,-0.019988-0.017664i,-0.017264-0.022025i,-0.023558-0.021552i,-0.020787-0.0092051i,-0.0071578+0.0043752i,0.004359+0.0031113i,0.0074759-0.0016773i,0.0076051-0.0018868i,0.0050473-0.0020638i,-0.0037763-0.0014662i,-0.01091-0.0008729i,-0.0084584-0.00098869i,-4.5124e-05-0.0024423i
-0.089493+0.044946i,-0.19715+0.17439i,-0.27765+0.32727i,-0.25364+0.38474i,-0.14082+0.33379i,-0.026763+0.24998i,0.01864+0.17286i,-0.00037106+0.11841i,-0.024853+0.092713i,-0.026768+0.065019i,-0.031187+0.02839i,-0.04841+0.0063322i,-0.064405+0.0075895i,-0.064802+0.017314i,-0.049223+0.014447i,-0.032574+0.001832i,-0.025629-0.00062301i,-0.018726+0.0091866i,-0.004511+0.013308i,0.0064209+0.0038263i,0.0060077-0.0058815i,0.00010918-0.006494i,-0.0032753-0.0026649i
0.018959-0.024213i,0.063196+0.01004i,0.16709+0.062854i,0.24611+0.022725i,0.17899-0.092881i,0.049289-0.12388i,-0.0023306-0.074655i,0.0045341-0.037404i,0.02185-0.022144i,0.035664-0.021331i,0.032163-0.019303i,0.034262-0.007184i,0.055405-0.0060297i,0.067497-0.015924i,0.051835-0.020404i,0.023575-0.013098i,0.0078849-0.0030604i,0.0070464+0.00035774i,0.010067+0.00064732i,0.013401-0.0010767i,0.01244-0.0061685i,0.0059387-0.0083153i,0.00090644-0.0096704i
-0.02985-0.047891i,-0.17417-0.10829i,-0.41437-0.069523i,-0.50676+0.093983i,-0.33406+0.15153i,-0.13509+0.039093i,-0.036471-0.030585i,0.041545-0.036891i,0.066423-0.060135i,0.034566-0.049234i,0.026959-0.010426i,0.039612+0.0082044i,0.043932+0.011562i,0.031474+0.0054118i,0.012558+0.00085442i,0.0078246+0.0043746i,0.0093989+0.00399i,0.003336-0.0019643i,-0.006662-0.0060084i,-0.010485-0.005005i,-0.004092-0.0018554i,0.0042197-0.00020959i,0.0073151+0.0031336i
0.011127-0.0196i,0.023556-0.17513i,-0.051502-0.42355i,-0.2107-0.52413i,-0.26341-0.3369i,-0.15579-0.095453i,-0.070278-0.0092807i,-0.072304+0.0043397i,-0.069788+0.02086i,-0.044439+0.015845i,-0.02403-0.0052454i,-0.015349-0.025788i,-0.02527-0.039105i,-0.034319-0.039071i,-0.026153-0.029241i,-0.013098-0.019165i,-0.0047971-0.014613i,-0.0031542-0.013646i,-0.0039147-0.010644i,-0.0028584-0.0028376i,-0.00045498+0.0041166i,0.0029852+0.0043762i,0.0030511+0.00066772i
0.0021801+0.078106i,0.062866+0.19521i,0.2131+0.26034i,0.34215+0.16209i,0.31484+0.022652i,0.19577-0.013152i,0.11199+3.5768e-05i,0.060457+0.0047384i,0.029528+0.022792i,0.028903+0.032993i,0.022306+0.023304i,-0.00057018+0.022438i,-0.016229+0.041408i,-0.014057+0.067289i,-0.0010626+0.067375i,0.0033394+0.037567i,-0.0012523+0.018546i,-9.6564e-06+0.019603i,0.0044681+0.020665i,0.0053064+0.017839i,0.0035955+0.013848i,0.0014842+0.0087694i,0.0052045+0.0049348i
0.03429-0.044785i,0.08157-0.10737i,0.13007-0.19172i,0.096132-0.21905i,-0.0074039-0.13623i,-0.064926-0.021965i,-0.044315+0.040324i,0.0063778+0.047564i,0.034948+0.019493i,0.021616-0.0064435i,-0.0015202-0.0073061i,-0.011235+0.00096097i,-0.013621-0.0011461i,-0.014672-0.012556i,-0.016659-0.014455i,-0.014401-0.0049926i,-0.0095308-0.0012074i,-0.0064374-0.0058112i,-0.002149-0.010969i,0.0003918-0.012396i,-0.0013918-0.008621i,-0.0047432-0.0025296i,-0.0094767+0.0034104i
0.028263-0.0077767i,0.077707+0.016633i,0.18777+0.063245i,0.2857+0.048178i,0.21756-0.037698i,0.05054-0.067381i,-0.032876-0.047955i,-0.049845-0.056566i,-0.060174-0.05845i,-0.040893-0.035008i,-0.0053063-0.020236i,0.027499-0.014685i,0.058705-0.021845i,0.069229-0.039798i,0.050995-0.044955i,0.027149-0.032552i,0.01717-0.019272i,0.011862-0.013159i,0.0045508-0.0067538i,-0.00043828-0.0021017i,-0.0048076-0.002784i,-0.0061118-0.0025775i,-0.0045034-0.0041238i
-0.06046-0.0029422i,-0.18136+0.034391i,-0.30842+0.15983i,-0.25126+0.31962i,-0.012205+0.299i,0.12767+0.11043i,0.092792+0.0042333i,0.041507+0.011661i,0.019625+0.031833i,0.002941+0.041707i,-0.0060716+0.036715i,-0.017013+0.021619i,-0.032601+0.016201i,-0.044779+0.018044i,-0.039694+0.017946i,-0.019816+0.011769i,-0.0093012+0.0026207i,-0.011378-0.00018742i,-0.016007-0.00028433i,-0.017328-0.0011493i,-0.011289+0.00050366i,-0.0034592+0.00049274i,0.00058838+0.00077369i
0.031213+0.051368i,0.10165+0.10982i,0.14861+0.13244i,0.090522+0.078228i,0.0077186+0.014103i,-0.010783-0.016422i,-0.010314-0.013713i,-0.0053178+0.029429i,0.027474+0.04941i,0.040533+0.016584i,0.018735-0.013158i,-0.0015508-0.018187i,-0.0054386-0.012328i,0.0051375-0.0050907i,0.014673-0.0029161i,0.012263-0.0021231i,0.012053+0.0032052i,0.020884+0.0069308i,0.027992+0.0043344i,0.026721+0.00080048i,0.01774-0.00059701i,0.0076731-0.00086798i,0.0018619-0.0031662i
-0.027781+0.0027432i,-0.092701-0.01214i,-0.16891-0.015163i,-0.1888+0.0026747i,-0.15788+0.0348i,-0.11109+0.05005i,-0.059537+0.026438i,-0.01588-0.024247i,-0.0049593-0.058791i,-0.0041998-0.046978i,0.007022-0.019519i,0.0075853+0.00050903i,-0.0018957+0.024215i,0.0016689+0.045172i,0.014832+0.042226i,0.015382+0.023609i,0.004324+0.014442i,-0.0024222+0.014719i,-0.003378+0.013135i,-0.0014808+0.0078779i,0.0017747+0.00058071i,0.0016091-0.0041868i,0.0027719-0.0051847i
0.018809-0.066262i,0.017414-0.19807i,-0.047289-0.33888i,-0.15416-0.3034i,-0.17726-0.10332i,-0.087342+0.03251i,-0.012732+0.02118i,-0.018991-0.013589i,-0.04148-0.0018788i,-0.039349+0.011298i,-0.019616+0.0043209i,0.0012772-0.013545i,0.0063823-0.037208i,-0.0088346-0.051716i,-0.027805-0.041553i,-0.026618-0.02267i,-0.014152-0.019277i,-0.010702-0.026681i,-0.0137-0.028851i,-0.014021-0.022047i,-0.0094887-0.011921i,-0.0024029-0.0053077i,-0.0011509-8.6533e-05i
-0.027478+0.042458i,-0.073235+0.10896i,-0.078199+0.1525i,-0.022174+0.092224i,0.026556-0.030178i,0.020922-0.096029i,-0.0078734-0.079592i,-0.030346-0.029747i,-0.021086+0.016615i,0.011746+0.029925i,0.024951+0.021404i,0.024683+0.018496i,0.02954+0.017113i,0.02521+0.012405i,0.012221+0.0093238i,0.0037293+0.010646i,0.0032215+0.012316i,0.0037261+0.013285i,0.0029267+0.014444i,0.0031205+0.012442i,0.00069473+0.008039i,-0.001924+0.0045443i,-0.00015929+0.0031685i
0.042579-0.051382i,0.13445-0.10309i,0.26042-0.16486i,0.27158-0.19065i,0.15461-0.1409i,0.066862-0.055211i,0.054681-0.0065043i,0.068565-0.011556i,0.06231-0.034196i,0.030915-0.036242i,-0.00075896-0.018137i,-0.018766-0.001984i,-0.0283+0.0035456i,-0.027187+0.0085722i,-0.013304+0.015654i,0.0012601+0.01159i,0.0061433+0.0020258i,0.0053839-0.00017528i,0.0042993-0.00089751i,0.0035404-0.0013719i,0.0070463+0.00072159i,0.0097586+0.0024186i,0.0057193+0.0024272i
0.071699+0.055001i,0.16981+0.14606i,0.22971+0.22914i,0.18015+0.21194i,0.069671+0.14083i,0.018641+0.1356i,0.057791+0.12808i,0.064041+0.058738i,0.010338+0.0017516i,-0.024063-0.016258i,-0.023398-0.022276i,-0.015257-0.018738i,-0.0028614-0.0084013i,0.014247-0.0038663i,0.022403-0.012154i,0.017537-0.016908i,0.014797-0.0043556i,0.022395+0.0068747i,0.030266+0.0047202i,0.027456-0.0016989i,0.013967-0.0028456i,0.0017143+0.0015107i,-0.0033868+0.00096379i
-0.1012-0.010669i,-0.27294-0.051229i,-0.43411-0.089949i,-0.39302-0.086063i,-0.19975-0.085751i,-0.078531-0.12i,-0.065148-0.10934i,-0.057142-0.04762i,-0.033204+0.0057953i,-0.010199+0.028625i,0.002333+0.02026i,-0.0012541+0.0036125i,-0.0059744-0.003231i,-0.0067467-0.0073971i,-0.010623-0.0098891i,-0.019221-0.0067439i,-0.026027-0.0011649i,-0.027462+0.0039575i,-0.026561+0.0094819i,-0.021111+0.012282i,-0.012281+0.0084391i,-0.0062964-0.00042386i,-0.0045548-0.0050634i
0.016609+0.024669i,0.06324+0.086814i,0.14191+0.14695i,0.19119+0.11689i,0.14674-0.00010038i,0.025924-0.091644i,-0.048591-0.073752i,-0.016399-0.020461i,0.03999-0.0089382i,0.0554-0.014317i,0.044449-0.012304i,0.032157-0.0075648i,0.022883-0.0082636i,0.0056392-0.012219i,-0.011769-0.005307i,-0.0079984+0.0035343i,0.0030375-0.0022272i,3.9589e-05-0.014645i,-0.012319-0.017253i,-0.018182-0.0062168i,-0.012678+0.006844i,-0.0040198+0.0093639i,0.0030606+0.0046407i
-0.052698-0.011198i,-0.14696-0.054719i,-0.23819-0.069023i,-0.22928-0.025123i,-0.13793+0.035442i,-0.059753+0.090687i,-0.030163+0.11414i,-0.01349+0.081577i,-0.0035914+0.023755i,-0.002943-0.0053697i,0.0055798-0.0028741i,0.014088-0.00012288i,0.0095557+0.00069162i,0.0071556+0.0093561i,0.013688+0.011752i,0.014259+0.0054086i,0.0075742+0.0017451i,0.0037422+0.0040585i,0.0075482+0.004974i,0.009768-0.002116i,0.0047593-0.0083258i,0.00034046-0.0058458i,0.00024969+0.00095524i
0.1138-0.12031i,0.29245-0.2886i,0.43446-0.45549i,0.37392-0.43266i,0.23827-0.20076i,0.20148-0.024574i,0.16125-0.028983i,0.051583-0.04601i,-0.022554-0.0061356i,-0.031271+0.017406i,-0.02343+0.0083165i,-0.015976+0.00085586i,-0.0033009+0.009209i,0.011628+0.017987i,0.017722+0.01137i,0.011035-0.0053651i,0.0033282-0.011782i,0.0066331-0.0066345i,0.012038-0.0058687i,0.011529-0.0075181i,0.0095319-0.0068773i,0.0081506-0.0064903i,0.0059151-0.0080458i
-0.0023562+0.16132i,-0.059917+0.38621i,-0.13943+0.58196i,-0.12694+0.56491i,-0.0515+0.34356i,-0.041967+0.11823i,-0.047518+0.029308i,-0.005846+0.026623i,0.036632+0.030619i,0.044768+0.023302i,0.030441+0.0088883i,0.011164-0.004479i,-0.0043428-0.016395i,-0.0167-0.026233i,-0.020559-0.018516i,-0.010761+0.0036878i,5.8257e-05+0.015477i,0.0032891+0.011546i,0.0036819+0.0045481i,-0.00021426-0.00061868i,-0.0083098-0.0016749i,-0.010889+0.001613i,-0.0049549+0.006449i
-0.090963-0.056735i,-0.16241-0.14334i,-0.163-0.23075i,-0.13858-0.25063i,-0.16664-0.20554i,-0.18453-0.14152i,-0.15881-0.082971i,-0.11163-0.039966i,-0.057957-0.025731i,-0.022647-0.030341i,-0.010921-0.01899i,-0.00012969+0.00078103i,0.013127+0.0058683i,0.018326+0.005571i,0.014189+0.0052535i,0.0075032+0.0014919i,0.0028952-0.0038761i,-0.0022126-0.0047845i,-0.0056025+0.0036142i,-0.00039573+0.012339i,0.0090136+0.010418i,0.009105+0.00050079i,-0.00014435-0.0068162i
0.097951+0.039946i,0.22207+0.12523i,0.3208+0.22075i,0.32266+0.21352i,0.26284+0.12601i,0.21821+0.062613i,0.19764+0.0085024i,0.12299-0.046458i,0.018005-0.045197i,-0.021689-0.0067671i,-0.011617+0.0052519i,-0.008908+0.0066897i,-0.019241+0.022614i,-0.024467+0.032914i,-0.012223+0.022327i,0.0038198+0.0018959i,0.007088-0.0072928i,0.0033571-0.0042863i,-0.0016035-0.004132i,-0.0085432-0.0042664i,-0.0097413+0.00073337i,-0.0021139+0.0052926i,0.0063299+0.0057701i
-0.12401-0.092118i,-0.31973-0.24889i,-0.52424-0.35611i,-0.53408-0.24869i,-0.325-0.059147i,-0.10087-0.00059837i,-0.018704-0.015062i,-0.0080283+0.0094827i,0.0082014+0.044824i,0.013106+0.052526i,0.0074061+0.04398i,0.0081618+0.024546i,0.020838-0.0030006i,0.030266-0.025312i,0.01424-0.029002i,-0.0095906-0.014205i,-0.0099096-0.0019861i,0.0041523-0.0061293i,0.013261-0.017558i,0.013135-0.025319i,0.0044186-0.024241i,-0.006461-0.014225i,-0.014255-0.00033873i
0.1948-0.0011607i,0.41699+0.024676i,0.53989+0.022646i,0.4053-0.042276i,0.14471-0.075259i,-0.03722-0.015615i,-0.06793+0.029309i,-0.029578+0.0010349i,-0.0025719-0.038183i,0.011303-0.04984i,0.010519-0.0441i,-0.0052077-0.025399i,-0.023948-0.0022112i,-0.036524+0.016832i,-0.027138+0.025963i,-0.0039106+0.019349i,0.0065641+0.011327i,0.005912+0.013781i,0.003428+0.022286i,0.0019778+0.028462i,0.0034362+0.026328i,0.0075711+0.016116i,0.012424-0.00066557i
-0.15878+0.18667i,-0.32394+0.37219i,-0.37085+0.46032i,-0.24678+0.36106i,-0.14194+0.20956i,-0.11966+0.15196i,-0.072408+0.16247i,-0.0012219+0.11963i,0.013303+0.028981i,-0.0094564-0.017662i,-0.0072833-0.02373i,0.0070433-0.037035i,0.0057344-0.055232i,-0.002704-0.054059i,-0.0068713-0.029028i,-0.0029416-0.0044111i,-0.0055991-0.00056039i,-0.017718-0.00045837i,-0.018487+0.0028358i,-0.0091244-0.0030508i,-0.00089861-0.0073394i,0.0037755-0.0043688i,0.0061583+0.00083922i
0.036198-0.23355i,0.11375-0.47296i,0.18278-0.62028i,0.14554-0.55081i,0.087895-0.38134i,0.10447-0.27382i,0.090987-0.21378i,0.023629-0.10902i,-0.0029906-0.0017671i,0.0057969+0.025163i,-0.0029907+0.010611i,-0.0082421+0.017447i,0.01602+0.044202i,0.045559+0.049367i,0.044992+0.016358i,0.016157-0.011802i,0.003348-0.0077694i,0.016839-0.00017962i,0.026673-0.0028619i,0.024025-0.0020439i,0.016838-0.0031348i,0.0063984-0.010785i,-0.0057078-0.015847i
0.022928+0.14506i,-0.0080201+0.30008i,-0.063702+0.39653i,-0.025632+0.31276i,0.06181+0.11691i,0.066188-0.0081622i,0.030524-0.035516i,0.021218-0.038244i,0.034389-0.028015i,0.053605-0.0068453i,0.049317-0.0013926i,0.01736-0.011264i,-0.013524-0.030245i,-0.030634-0.04188i,-0.026286-0.025697i,-0.0064095-0.0039643i,0.0021616+0.001878i,-0.007052+0.0014066i,-0.021769+0.00019984i,-0.028863-0.0011837i,-0.024803+0.00053746i,-0.015732+0.0068704i,-0.0016145+0.013164i
-0.030529-0.11509i,-0.055086-0.20199i,-0.062738-0.22832i,-0.053069-0.11762i,-0.036474+0.025773i,-0.043869+0.05814i,-0.064755+0.020635i,-0.062538-0.01253i,-0.047436-0.024982i,-0.03374-0.021728i,-0.010574-0.0075621i,0.017925+0.010016i,0.034031+0.023157i,0.033302+0.031499i,0.02459+0.026747i,0.018433+0.0070969i,0.015489-0.01235i,0.013629-0.022142i,0.01514-0.018802i,0.017216-0.0078002i,0.013388+0.00051938i,0.0056104+0.0046913i,-0.0040521+0.0056035i
0.058478+0.19823i,0.14971+0.34483i,0.22116+0.38758i,0.18256+0.27069i,0.070098+0.1327i,0.022998+0.098764i,0.05298+0.093156i,0.053385+0.059377i,0.0067768+0.038614i,-0.01574+0.031796i,-0.0088136+0.0056312i,-0.011676-0.021031i,-0.027941-0.019269i,-0.033007-0.0029299i,-0.016351+0.0062241i,-0.00041168+0.0032408i,-0.0018661+0.0070021i,-0.0038614+0.025966i,0.0041954+0.035834i,0.0091064+0.026165i,0.011591+0.011588i,0.016311-0.0022872i,0.019696-0.016184i
