-0.00027181-0.0028781i,-0.0010589-0.0028905i,-0.0021333-0.0018843i,-0.00080254-0.00022276i,0.00026838+0.0017676i,0.00015593+0.0037284i,0.0008375+0.0034169i,0.0012281+0.0019046i,0.0010415+0.0004834i,0.0012827-0.0011065i,0.0011558-0.0011063i,0.00017678-0.00044776i,-0.00028042-0.00059338i,0.00025825-0.00040274i,-2.2606e-05+2.9466e-05i,-2.7804e-05+0.00028528i,0.00019247+8.3282e-05i,-9.844e-07-0.00048562i,-0.00058342-0.00034096i,-0.00060228-0.00045573i,0.0002206-0.00087457i,-4.6873e-05-0.00038666i,0.00020599+8.8175e-05i
-0.39046-0.5054i,-0.58435-0.50194i,-0.57812-0.25544i,-0.39773-0.015564i,-0.21585+0.098399i,-0.10341+0.12436i,-0.031208+0.078538i,-0.00761+0.013687i,-0.010865-0.00016005i,-0.0067677+0.0082565i,-0.015121+0.0069056i,-0.023971+0.0071516i,-0.017151+0.0037606i,-0.010821-0.0027906i,-0.0059674-0.0048587i,-0.0034552-0.0011223i,-0.0062287+0.0088191i,-0.0068598+0.018369i,-0.0032877+0.020697i,0.00039968+0.020126i,0.0063889+0.020807i,0.013745+0.015178i,0.010181+0.0025409i
0.34611+0.34537i,0.42811+0.20367i,0.3019-0.099743i,0.09109-0.26064i,-0.013488-0.24395i,-0.0224-0.19035i,-0.032021-0.10884i,-0.032016-0.021285i,-0.017614+0.012067i,-0.016335-0.0010514i,-0.025555-0.021096i,-0.028028-0.023201i,-0.013382-0.020372i,0.00025933-0.027302i,0.00040477-0.029469i,-0.00048591-0.025254i,0.0015494-0.021231i,0.0017508-0.014747i,-0.00017453-0.0096337i,-0.0034917-0.0064556i,-0.0075743-0.0039365i,-0.0081093-0.0059476i,-0.0050689-0.010844i
-0.15906-0.25133i,-0.12386-0.26017i,-0.015909-0.15823i,0.051847-0.09837i,0.017494-0.096012i,-0.026985-0.065413i,-0.0036667-0.044143i,0.021188-0.053075i,0.016539-0.053315i,0.01135-0.038939i,0.01548-0.029908i,0.018156-0.026807i,0.01731-0.015604i,0.02172-0.00014402i,0.031022+0.0066169i,0.032797+0.0086184i,0.020105+0.01247i,0.0027308+0.017292i,-0.0050465+0.018005i,-0.0058623+0.010115i,-0.0068372+0.0026506i,-0.00091951+0.002011i,0.009753-0.0021766i
0.35105+0.21364i,0.46174+0.20675i,0.41733+0.080506i,0.28576-0.029925i,0.181-0.069155i,0.10611-0.067705i,0.053094-0.029648i,0.032056-0.00036727i,0.01602+0.0034082i,0.0123+0.0023914i,0.024139-0.0059745i,0.023161-0.011074i,0.014519-0.002046i,0.010657+0.0067598i,0.003192+0.010089i,-0.006711+0.010371i,-0.0090589+0.0032973i,-0.0060108-0.0074904i,-0.0013379-0.012821i,0.00411-0.013172i,0.0030011-0.012629i,-0.0014382-0.0067695i,0.0039236+0.0037134i
-0.31956-0.05955i,-0.33999+0.15162i,-0.19856+0.34306i,-0.018091+0.29136i,0.081316+0.12047i,0.10234+0.010677i,0.08332-0.019005i,0.054536-0.007654i,0.045393+0.0076332i,0.043611+0.01127i,0.038428+0.016036i,0.030475+0.016577i,0.011015+0.013921i,-0.0052303+0.020806i,-0.0065151+0.023164i,-0.0059216+0.013665i,-0.0084437+0.0043065i,-0.010338-0.0033742i,-0.012503-0.0065064i,-0.0093504-0.0044899i,-0.00024883-0.0045869i,0.0031121-0.0028387i,-0.0020331+0.0076421i
0.06274+0.14621i,-0.080962+0.066505i,-0.23503-0.055639i,-0.23373-0.043303i,-0.12071+0.037999i,-0.034709+0.059352i,-0.030114+0.049105i,-0.042406+0.054116i,-0.034862+0.055815i,-0.024403+0.050382i,-0.018826+0.04753i,-0.012613+0.037151i,-0.0085185+0.017197i,-0.014727+0.00058964i,-0.024073-0.0049908i,-0.023545-0.0057604i,-0.012949-0.0060219i,-0.00054464-0.0017712i,0.0061124+0.0045279i,0.0094739+0.007571i,0.011802+0.0020653i,0.0066515-0.010054i,-0.0052186-0.017119i
-0.20733-0.064475i,-0.19588-0.084443i,-0.088329-0.081054i,-0.0046899-0.081149i,0.030699-0.071479i,0.050326-0.059853i,0.031856-0.062322i,-0.004904-0.041992i,-0.013257-0.016742i,-0.018647-0.013886i,-0.030761-0.006017i,-0.025326+0.0036964i,-0.017475-0.003244i,-0.017229-0.011699i,-0.0063775-0.013464i,0.015043-0.01609i,0.028341-0.015361i,0.026861-0.0078733i,0.01794-0.00050901i,0.0063041+0.0062896i,0.00095794+0.011112i,0.0051035+0.0068407i,0.0041353-0.0048844i
0.1545-0.11893i,0.12395-0.26385i,0.049129-0.3298i,-0.036089-0.23433i,-0.1233-0.077697i,-0.14985+0.027965i,-0.087699+0.031814i,-0.042266-0.027452i,-0.053209-0.043298i,-0.052035-0.017753i,-0.037909-0.0080688i,-0.026451-0.0041306i,-0.0052682+0.0024243i,0.00918-0.00094882i,0.0038956-0.0019015i,-0.0055941+0.0075246i,-0.012661+0.015334i,-0.018451+0.014411i,-0.015774+0.0096551i,-0.0086897+0.007468i,-0.0039013+0.0093012i,0.0046704+0.010715i,0.015153+0.0039233i
-0.0016536-0.11516i,0.16208-0.061689i,0.31701+0.048442i,0.3242+0.04094i,0.23662-0.047009i,0.16881-0.071348i,0.12901-0.049261i,0.087004-0.02857i,0.058589-0.026823i,0.042459-0.049191i,0.017769-0.063761i,-0.0053134-0.048833i,-0.0095202-0.02693i,-0.00090061-0.015483i,0.0092531-0.0079119i,0.015879+0.00087856i,0.015163+0.0049983i,0.0070225+0.0014616i,-0.0034819-0.0031415i,-0.0085409-0.007509i,-0.0069777-0.008338i,-0.00173+0.0004398i,0.0062598+0.011824i
0.10962+0.066112i,0.028406+0.10033i,-0.12608+0.11104i,-0.17283+0.085759i,-0.13786+0.0083239i,-0.12434-0.039397i,-0.075735-0.008296i,0.0041525+0.0062864i,0.031126-0.0098685i,0.028184-0.004208i,0.034951+0.0025319i,0.031436-0.00053092i,0.019926+0.0067255i,0.01391+0.01516i,0.00054038+0.015413i,-0.023054+0.015744i,-0.036166+0.01684i,-0.029237+0.015596i,-0.016101+0.011674i,-0.006296+0.0060976i,-0.0038979+0.00031393i,-0.0096056-0.00067807i,-0.011937+0.0028734i
-0.0068714+0.128i,0.089518+0.13495i,0.13585+0.049318i,0.13473-0.023531i,0.19444-0.032635i,0.21107-0.047501i,0.10298-0.035451i,0.018861+0.028931i,0.025704+0.05471i,0.040969+0.02896i,0.03646+0.0071136i,0.021575-0.003764i,-0.0014596-0.0078169i,-0.014589-0.0013908i,-0.0080348+0.0015033i,0.0067769-0.01246i,0.0194-0.029323i,0.025012-0.034122i,0.02052-0.029424i,0.010838-0.019821i,0.0039189-0.01169i,-0.0033882-0.0095832i,-0.012827-0.0080476i
-0.0096368+0.10542i,-0.11279+0.13769i,-0.16365+0.067143i,-0.13057-0.0026783i,-0.097201+0.0048337i,-0.071644+0.0068617i,-0.04765-0.018307i,-0.04194-0.023272i,-0.040908+0.0015086i,-0.030512+0.035834i,-0.0072668+0.056409i,0.015373+0.047686i,0.017164+0.027502i,0.0070115+0.016612i,-0.0021546+0.0094198i,-0.011399+0.003291i,-0.021062+0.0049448i,-0.023805+0.011173i,-0.015852+0.014462i,-0.004045+0.013823i,0.0042384+0.010427i,0.0081229+0.0012328i,0.0074932-0.012443i
-0.1364-0.080951i,-0.068675-0.11448i,0.12054-0.10561i,0.21117-0.042062i,0.16357+0.074809i,0.1389+0.1451i,0.10886+0.087826i,0.022651+0.020177i,-0.027187+0.016517i,-0.025194+0.014866i,-0.029343+0.0065043i,-0.03318+0.0060633i,-0.0243-0.0036388i,-0.017832-0.014943i,-0.0083295-0.012135i,0.016148-0.0042749i,0.037703-0.0010109i,0.038305+0.0016692i,0.024474+0.0026844i,0.010567+0.0012638i,0.005983+0.0023333i,0.014331+0.0031167i,0.024394+0.0013076i
-0.093051-0.069249i,-0.18601+0.014091i,-0.2042+0.15941i,-0.14453+0.17573i,-0.12402+0.057243i,-0.11565-0.0035375i,-0.032119-0.0021511i,0.033122-0.029634i,0.018934-0.049287i,-0.014927-0.035327i,-0.032008-0.012586i,-0.023617+0.0053429i,-0.0050438+0.0084345i,-0.00018099+0.0013391i,-0.0073566-0.0027486i,-0.018414+0.0050801i,-0.025625+0.01574i,-0.024288+0.015468i,-0.017393+0.008388i,-0.010968+0.0029769i,-0.0072936+0.0024908i,-0.0029813+0.0077829i,0.0012794+0.013085i
0.034634-0.1652i,0.046067-0.31421i,-0.015297-0.30929i,-0.08118-0.15967i,-0.085061-0.045388i,-0.087559+0.0074931i,-0.073697+0.046273i,-0.023839+0.036983i,-0.00018824-0.00070187i,0.0013034-0.021924i,-0.004343-0.038847i,-0.016915-0.041678i,-0.012664-0.027235i,0.00024211-0.018008i,0.0036286-0.011453i,0.004884-0.004423i,0.0078168-0.0037914i,0.0078774-0.0087603i,0.0037099-0.011497i,-0.0018197-0.0086212i,-0.0043516-0.0050222i,-0.0076274+0.0010538i,-0.010803+0.010247i
0.216+0.049372i,0.23898+0.072738i,0.13195+0.030225i,0.033544-0.06668i,0.015577-0.15751i,-0.00056682-0.19391i,-0.03081-0.12373i,-0.013266-0.020422i,0.026723+0.0068578i,0.033649-0.010679i,0.028302-0.018674i,0.022479-0.015142i,0.010861-0.00048608i,0.0085194+0.012172i,0.0075336+0.0059782i,-0.0098434-0.0053659i,-0.028431-0.0040112i,-0.029809+0.0030218i,-0.019019+0.0059964i,-0.0079534+0.0040189i,-0.005037+1.9044e-06i,-0.011707-0.0020702i,-0.018727-0.003249i
0.073264+0.038749i,0.1812-0.04731i,0.22973-0.19174i,0.16174-0.20432i,0.08311-0.079496i,0.052199-0.0075641i,0.0098887-0.017142i,-0.027329-0.014452i,-0.026367+0.0075715i,-0.0010688+0.022038i,0.024874+0.015623i,0.027625-0.00033844i,0.015128-0.0046018i,0.0075874+0.00087475i,0.0079104+0.0038474i,0.015632-0.0020143i,0.024773-0.0085865i,0.027571-0.0057211i,0.024862+0.00011882i,0.018815+0.00022077i,0.012972-0.0038347i,0.0097094-0.012104i,0.0074749-0.021535i
-0.010357+0.23644i,0.072281+0.45933i,0.22034+0.51387i,0.30432+0.33028i,0.28564+0.12288i,0.24318+0.026668i,0.16443-0.016845i,0.059993-0.0071169i,0.021752+0.026017i,0.020388+0.023081i,0.012825+0.022394i,0.011601+0.027694i,0.00018093+0.016436i,-0.014275+0.011262i,-0.011435+0.011114i,-0.0047496+0.0035666i,-0.0057281-0.0039134i,-0.008103-0.0079451i,-0.0049582-0.0077768i,0.00070239-0.0042162i,0.0054526-0.0015225i,0.0098355-0.0029939i,0.013129-0.0062522i
-0.28461+0.0010337i,-0.4542+0.0262i,-0.44302+0.09608i,-0.29704+0.15084i,-0.20242+0.15249i,-0.14604+0.13953i,-0.049204+0.088598i,0.0014443-0.0047076i,-0.026137-0.04039i,-0.044225-0.0044754i,-0.03323+0.023812i,-0.019714+0.021155i,-0.007641+0.0046682i,-0.0069917-0.0071362i,-0.012223-0.0021097i,-0.0046577+0.0081074i,0.0052658+0.010965i,0.0032453+0.009168i,-0.0032234+0.0076299i,-0.0043334+0.0059508i,0.0015864+0.003606i,0.0094271+0.0042712i,0.014702+0.008436i
-0.075086-0.11159i,-0.16712-0.099592i,-0.21708+0.0039001i,-0.15154+0.078238i,-0.042862+0.062477i,-0.013044+0.032668i,-0.037222+0.038422i,-0.036729+0.052992i,-0.0084459+0.041162i,0.0018095+0.0036443i,-0.017919-0.014749i,-0.028364-0.0058659i,-0.019852-0.0014052i,-0.010306-0.0065873i,-0.0050361-0.011865i,-0.0075459-0.010613i,-0.01159-0.0041306i,-0.010312-0.00018119i,-0.0080194+0.0017217i,-0.0067276+0.0037561i,-0.0076238+0.0072559i,-0.0081298+0.013986i,-0.0052429+0.019361i
0.016473-0.26762i,-0.069601-0.53127i,-0.22249-0.62507i,-0.30167-0.45148i,-0.27233-0.25529i,-0.22252-0.15573i,-0.13427-0.079539i,-0.028966-0.060427i,-0.0075912-0.069858i,-0.025525-0.04125i,-0.01947-0.023049i,-0.0072596-0.022525i,0.008947-0.012757i,0.01997-0.008106i,0.014336-0.0079554i,0.0053003-0.0046964i,0.0028708+0.0001161i,0.0054769+0.0055677i,0.0066495+0.0055774i,0.0048145+0.003052i,0.001568+0.0027356i,-0.004176+0.0010965i,-0.013653-0.0025335i
0.33708-0.015613i,0.62636-0.058149i,0.7216-0.1451i,0.53648-0.1894i,0.32406-0.13522i,0.20575-0.099678i,0.069041-0.089265i,-0.028758-0.010007i,-0.0051124+0.045376i,0.036837+0.0087426i,0.03474-0.032141i,0.016828-0.032433i,-0.0011479-0.014575i,-0.0052541+0.00034518i,0.0035133+0.0018707i,0.0076165-0.0073533i,0.0044479-0.016874i,0.00097901-0.021057i,0.0010044-0.019121i,0.00078517-0.01155i,-0.0025419-0.005744i,-0.0050073-0.0060846i,-0.0048819-0.011135i
0.040838+0.20352i,0.11023+0.33722i,0.17626+0.31725i,0.17043+0.14549i,0.11523-0.01025i,0.099187-0.074408i,0.12296-0.087238i,0.11419-0.095341i,0.051488-0.082537i,0.00544-0.030576i,0.014526+0.0093381i,0.030036+0.012589i,0.022877+0.0058883i,0.0097279+0.0051415i,0.0048281+0.010746i,0.0070288+0.014012i,0.0045817+0.011843i,-0.0020923+0.011489i,-0.0028384+0.010942i,0.0013056+0.0053029i,0.0049408-0.0023288i,0.007091-0.0091705i,0.0076462-0.012467i
-0.046133+0.23992i,-0.01958+0.4725i,0.083268+0.5765i,0.16589+0.45604i,0.15771+0.29312i,0.11315+0.19946i,0.040971+0.11247i,-0.036593+0.072315i,-0.028778+0.075054i,0.019679+0.046197i,0.025654+0.019801i,0.0098227+0.014665i,-0.0066589+0.0072447i,-0.016132+0.0058457i,-0.013225+0.0083551i,-0.0059404+0.0062572i,0.0022346-0.00016797i,0.007006-0.0064637i,0.0045659-0.0055559i,-0.00098825-0.0012442i,-0.002348+0.0019498i,0.0044515+0.0042072i,0.017097+0.0059676i
-0.34587+0.0035205i,-0.69932+0.03908i,-0.83162+0.12755i,-0.58152+0.16803i,-0.26518+0.098762i,-0.10082+0.051251i,0.016915+0.056832i,0.086478+0.0040405i,0.046186-0.046845i,-0.014966-0.014105i,-0.027368+0.0307i,-0.011621+0.03717i,0.0067973+0.020439i,0.0085499+0.0028377i,-0.0023018+0.00056835i,-0.0072263+0.0082612i,-0.0038748+0.012214i,0.00028225+0.011816i,0.0018396+0.0099626i,0.0023381+0.0068592i,0.0032799+0.0042724i,0.0025221+0.0039315i,-0.0031036+0.0082366i
-0.030514-0.30622i,-0.068577-0.558i,-0.12286-0.62614i,-0.16884-0.39864i,-0.16434-0.11086i,-0.15131+0.0039267i,-0.17012+0.0064347i,-0.15542+0.030594i,-0.080477+0.054939i,-0.016318+0.027984i,-0.011381-0.0097024i,-0.023587-0.017419i,-0.017316-0.010068i,-0.0051969-0.0070081i,-0.00016744-0.010587i,0.00024484-0.014484i,0.0027833-0.015072i,0.0039151-0.015531i,0.0011163-0.013012i,-0.0028797-0.0056976i,-0.0068361+0.00077976i,-0.0075696+0.0053992i,-0.0045942+0.0077383i
0.11259-0.18071i,0.18571-0.34863i,0.16951-0.41253i,0.10189-0.32199i,0.081874-0.22249i,0.096977-0.16031i,0.12119-0.091807i,0.13178-0.065085i,0.074265-0.070488i,-0.0024135-0.042034i,-0.024156-0.010153i,-0.01421-0.0012376i,-0.0032719+0.0017416i,0.0035665+0.0012097i,0.0060085-0.00017607i,0.0045925+0.0021201i,-0.0020475+0.0094018i,-0.0063014+0.017322i,-0.0024227+0.015235i,0.0031967+0.0049131i,0.0036371-0.0026172i,-0.0032663-0.0054316i,-0.015039-0.0055695i
0.32427+0.042282i,0.65884+0.030728i,0.78818-0.043743i,0.52579-0.11097i,0.16942-0.084268i,0.0058545-0.055044i,-0.059625-0.074939i,-0.099705-0.038959i,-0.059123+0.014283i,0.0050624+0.0011234i,0.022712-0.032515i,0.0084384-0.038096i,-0.0073151-0.020962i,-0.0067-0.0042278i,0.0023934+0.0006104i,0.0071755-0.0010434i,0.01039-0.0042293i,0.01058-0.0080969i,0.0050676-0.0092338i,-0.00099443-0.0074253i,-0.0030271-0.0068412i,0.00092709-0.0079049i,0.0095312-0.010299i
0.0053594+0.32399i,0.0043049+0.66005i,0.038838+0.81411i,0.13897+0.60443i,0.22858+0.2835i,0.24157+0.1327i,0.22855+0.10103i,0.1921+0.045771i,0.10676-0.013845i,0.030875-0.014362i,0.014459+0.013366i,0.022562+0.021854i,0.019588+0.013528i,0.010824+0.0083205i,0.0052226+0.013381i,0.0015613+0.018727i,-0.0034916+0.015146i,-0.0051124+0.0075102i,-0.0014249+0.0040906i,0.0016342+0.0016748i,0.0023474-0.0027167i,0.00055177-0.0052381i,-0.0026178-0.0043386i
-0.18854+0.091003i,-0.35278+0.16967i,-0.41619+0.17159i,-0.34389+0.11303i,-0.25782+0.07248i,-0.20862+0.047175i,-0.1766+0.015123i,-0.14503+0.012184i,-0.074428+0.032597i,0.00015138+0.022903i,0.024234-4.0307e-05i,0.018737-0.0092589i,0.011217-0.0080442i,0.0061333-0.00074609i,0.0010235+0.0011815i,-0.0033188-0.0029855i,-0.0019738-0.0073637i,-0.001108-0.0081426i,-0.0047223-0.0040901i,-0.0058682+0.0019492i,-0.0028247+0.0064319i,0.0040117+0.0069773i,0.013315+0.0043198i
-0.2662-0.073112i,-0.52499-0.1103i,-0.60338-0.056464i,-0.36183+0.06162i,-0.052681+0.11839i,0.08211+0.11553i,0.10814+0.11258i,0.11138+0.075244i,0.068936+0.025422i,0.01003+0.021345i,-0.014993+0.040473i,-0.01199+0.041269i,-0.005626+0.022473i,-0.0086105+0.0066769i,-0.01254+0.0022041i,-0.011249+0.0032297i,-0.0082513+0.0080682i,-0.0026564+0.014085i,0.0039349+0.013051i,0.0088381+0.0064258i,0.0089291+0.0024781i,0.0028737+0.0025382i,-0.0078342+0.0060281i
0.022369-0.31317i,0.067741-0.65539i,0.058719-0.84939i,-0.075334-0.69242i,-0.20521-0.39385i,-0.21712-0.23384i,-0.18996-0.17977i,-0.15553-0.10483i,-0.090156-0.024642i,-0.029644+0.00099282i,-0.010856-0.011965i,-0.013477-0.0175i,-0.011893-0.0079554i,-0.0065289-0.0029509i,-0.0015003-0.0080254i,0.0032308-0.012149i,0.0078593-0.010937i,0.0081096-0.0099243i,0.001126-0.010079i,-0.0048957-0.0083113i,-0.0051181-0.0042804i,-0.0020831-0.00060034i,0.0033364-0.00063778i
0.22823-0.039489i,0.44874-0.017481i,0.55844+0.059495i,0.46975+0.11633i,0.32828+0.11929i,0.23585+0.11741i,0.18339+0.10676i,0.13535+0.065754i,0.062452+0.019691i,-0.0012805+0.0067887i,-0.020019+0.013929i,-0.015497+0.015851i,-0.010236+0.0090141i,-0.0057134+0.00064796i,-0.0010975+0.001925i,0.0015581+0.0068179i,-0.0025869+0.0057006i,-0.0061588+0.0007198i,-0.0037472-0.0023697i,-0.0021309-0.0027545i,-0.0031825-0.0026468i,-0.0071315-0.0013702i,-0.012632+0.00026664i
0.1689+0.10302i,0.32308+0.1791i,0.3554+0.13735i,0.184-0.033329i,-0.027125-0.15224i,-0.1057-0.15942i,-0.10045-0.13353i,-0.088742-0.091284i,-0.054983-0.046432i,-0.012251-0.03397i,0.0090315-0.043499i,0.011749-0.044352i,0.0098179-0.02882i,0.011095-0.011704i,0.011381-0.003109i,0.0089732+0.00085979i,0.0037874+0.0023586i,-0.0033271+0.0031794i,-0.0075415+0.0043947i,-0.0061759+0.0045286i,-0.0017676+0.0031995i,0.0026183-0.00056845i,0.0078621-0.0060774i
-0.051019+0.26562i,-0.13029+0.56484i,-0.13992+0.75592i,-0.0031361+0.66182i,0.13284+0.43454i,0.1416+0.28306i,0.11065+0.20809i,0.090778+0.1323i,0.055548+0.057826i,0.019655+0.021157i,0.0068414+0.01731i,0.0070023+0.016057i,0.004265+0.0054546i,-0.0011312-0.00086308i,-0.006648+0.0021756i,-0.0092271+0.007214i,-0.0056799+0.0091433i,0.0035125+0.0087021i,0.011554+0.008007i,0.012195+0.0047358i,0.0082458-0.00099542i,0.0030958-0.0038787i,-0.002893-0.0015934i
-0.23363-0.015107i,-0.46751-0.10384i,-0.58522-0.23417i,-0.48138-0.29016i,-0.30717-0.26343i,-0.19265-0.224i,-0.13728-0.17685i,-0.097185-0.11424i,-0.043339-0.052927i,0.0034233-0.0216i,0.021103-0.015177i,0.021866-0.010717i,0.016744-0.00077368i,0.0073644+0.0076979i,-0.00040121+0.0054015i,-0.0029844-0.0030502i,-0.00015465-0.0080344i,0.003091-0.0092417i,0.0018946-0.0079377i,-0.00025643-0.0045814i,-0.00028067-0.0014439i,0.0026315+0.00037184i,0.0079618-0.00078089i
-0.10235-0.13135i,-0.16174-0.22993i,-0.13993-0.19069i,-0.038045+0.0062837i,0.050419+0.15968i,0.073416+0.17539i,0.062713+0.13369i,0.048778+0.091377i,0.02369+0.05859i,0.00011734+0.046868i,-0.0077919+0.048577i,-0.0069113+0.043251i,-0.0057715+0.025207i,-0.0064525+0.0078204i,-0.0067269+0.00076668i,-0.0053812-0.00068314i,-0.0062745-0.0011471i,-0.0070552-0.0016596i,-0.0055061-0.0018973i,-0.003492-0.0015849i,-0.0015108-0.00042641i,-0.0019961+0.0029309i,-0.00506+0.0064856i
0.075826-0.20344i,0.17164-0.4323i,0.20086-0.59328i,0.091146-0.55971i,-0.020979-0.40907i,-0.03686-0.27495i,-0.03038-0.19131i,-0.034592-0.12523i,-0.028941-0.065224i,-0.01666-0.027496i,-0.0086682-0.016049i,-0.0045885-0.012591i,-0.00067589-0.0064973i,0.0017116-0.0026496i,0.0041393-0.0035466i,0.0086631-0.0054378i,0.0071186-0.0031628i,-0.0010455+0.0022734i,-0.006581+0.0050355i,-0.0054626+0.0038407i,-0.0026224+0.0015886i,-0.00083027+1.8212e-05i,0.0017032-0.00086159i
0.20563+0.043993i,0.41678+0.17369i,0.51663+0.33107i,0.40561+0.3758i,0.22022+0.31177i,0.099906+0.23884i,0.060481+0.17623i,0.041814+0.11377i,0.0086704+0.057181i,-0.021504+0.025314i,-0.032203+0.016354i,-0.028628+0.010322i,-0.019258-0.00033906i,-0.0087384-0.0089317i,-0.0016778-0.0076001i,0.00051936-0.00038069i,0.00075047+0.0036745i,0.0039329+0.0038676i,0.007345+0.0033786i,0.0047005+0.0028929i,-0.00036447+0.00052724i,-0.0045794-0.0022947i,-0.0085366-0.0017382i
0.026382+0.13584i,0.013528+0.23474i,-0.030612+0.19546i,-0.049857-0.0014815i,-0.033957-0.15616i,-0.026094-0.17574i,-0.03057-0.13683i,-0.023794-0.098238i,-0.0059971-0.070205i,0.0037527-0.053779i,0.006297-0.044634i,0.0082717-0.035649i,0.0077093-0.019598i,0.0054809-0.0034074i,0.0034069+0.0028379i,0.0011483+0.0020028i,-0.00012504-0.0016124i,0.00077799-0.0057856i,0.0029112-0.0064654i,0.0039084-0.0028085i,0.0028211+0.00017357i,0.002387-0.0022736i,0.0038274-0.0078381i
-0.094707+0.13094i,-0.18783+0.27678i,-0.21783+0.39283i,-0.13311+0.40087i,-0.046543+0.31044i,-0.026119+0.19228i,-0.018394+0.11698i,-0.0044598+0.078103i,0.0032413+0.043988i,0.0053406+0.018721i,0.0063956+0.010843i,0.0068354+0.0087506i,0.0044925+0.0042848i,0.0028983+0.0011413i,0.0011473+0.0012277i,-0.0036826+0.0027045i,-0.0069395+0.0019538i,-0.0069315-0.00059618i,-0.0052994-0.0027528i,-0.00316-0.0036997i,0.00033882-0.003043i,0.0026729-0.0021986i,0.0012023-0.00056725i
-0.15424-0.06827i,-0.30953-0.2047i,-0.36987-0.3507i,-0.26073-0.37515i,-0.09275-0.29401i,0.0039967-0.21214i,0.01592-0.156i,0.0082424-0.10549i,0.016194-0.057407i,0.027369-0.027582i,0.031247-0.014215i,0.028747-0.0074927i,0.01817-0.0023309i,0.0037598+0.0025221i,-0.0013508+0.0016934i,0.0010752-0.003257i,0.0023471-0.0036449i,-0.0010396+0.00077859i,-0.0049315+0.0043226i,-0.0040644+0.0025021i,-0.00033673-0.00032916i,0.0048199-0.0013659i,0.0098113-0.0021108i
0.0088743-0.12218i,0.06606-0.20377i,0.1249-0.16316i,0.099668+0.0018584i,0.027387+0.12078i,0.0078739+0.12906i,0.020765+0.097669i,0.012723+0.073107i,-0.0056238+0.054947i,-0.013703+0.043387i,-0.015472+0.03906i,-0.014965+0.033593i,-0.010312+0.019243i,-0.0055316+0.0037973i,-0.0030068-0.0018212i,-0.00078641-0.0014374i,0.00079718-0.00011397i,0.0013676+0.0014234i,0.00010317+0.0040092i,-0.0026036+0.0063041i,-0.0034885+0.0049306i,-0.002975+0.0037808i,-0.003432+0.0049622i
0.083339-0.07398i,0.17006-0.14638i,0.2067-0.21425i,0.15887-0.24185i,0.10601-0.19683i,0.075952-0.11369i,0.046133-0.067839i,0.025058-0.054535i,0.012932-0.037859i,0.0017744-0.018219i,-0.0058929-0.0073877i,-0.0070567-0.0034506i,-0.0046466-0.00081979i,-0.0033234-0.00020966i,-0.0022372-0.00038216i,0.00097698+7.2923e-05i,0.0037471+0.00024285i,0.0048564-0.0020778i,0.0062322-0.0037624i,0.0073757-0.0017428i,0.0055036+0.0017986i,0.0015136+0.0028257i,-0.0010243+0.0001854i
0.10544+0.071494i,0.20803+0.19774i,0.23734+0.32179i,0.14355+0.32637i,0.014937+0.23182i,-0.048335+0.14357i,-0.044239+0.096601i,-0.029484+0.065494i,-0.024877+0.03464i,-0.025905+0.012972i,-0.02768+0.0037148i,-0.024166+0.0015635i,-0.013992+0.00059703i,-0.0036777-0.00045819i,0.00055291+0.0017784i,-0.00033675+0.0048184i,-0.0023117+0.0044488i,-0.0034517+0.00061324i,-0.0029055-0.0041991i,-0.0017403-0.0060641i,-0.00046271-0.0044714i,-0.0010141-0.0023147i,-0.0048347-0.00060688i
-0.033583+0.086125i,-0.11146+0.15058i,-0.1656+0.12155i,-0.10624+0.0049786i,-0.0061914-0.07184i,0.021353-0.081521i,0.0061603-0.07493i,0.0064614-0.063815i,0.015613-0.048665i,0.017465-0.039237i,0.015856-0.035705i,0.013951-0.029254i,0.0099914-0.01718i,0.0051265-0.0065335i,0.0017995-0.0023282i,0.00037014-0.001003i,-0.00058884+0.0006219i,-0.0020768+0.00077035i,-0.0034185-0.00032288i,-0.0027889-0.0017561i,-0.00058461-0.0037286i,0.0030973-0.0055631i,0.007353-0.0070454i
-0.077126+0.026184i,-0.14807+0.046319i,-0.17527+0.078872i,-0.14417+0.11356i,-0.10551+0.095964i,-0.063464+0.040535i,-0.026864+0.017988i,-0.014183+0.022661i,-0.0088336+0.02127i,0.0010194+0.012204i,0.0076717+0.0074013i,0.0070135+0.0058736i,0.0026482+0.0025572i,0.00059844+0.0003739i,-0.00049117+0.00095174i,-0.0015561+0.0013909i,-0.0014481+0.00091657i,-0.0011427+0.0029077i,-0.001953+0.0071307i,-0.0040749+0.0087418i,-0.0045143+0.0056486i,-0.0019636+0.0016531i,-0.00035172-0.00056646i
-0.062984-0.065511i,-0.11454-0.16545i,-0.11598-0.25183i,-0.04448-0.23733i,0.043957-0.14554i,0.079557-0.072963i,0.064152-0.051287i,0.04305-0.040454i,0.030677-0.020545i,0.025205-0.0039122i,0.02255+0.003756i,0.018173+0.0042091i,0.010817+0.00028896i,0.0032298-0.0029179i,-0.00075642-0.0037341i,-0.00079177-0.0028066i,0.0015283-0.0014519i,0.0039732-0.001398i,0.0067611-0.0015974i,0.0078504-8.2923e-05i,0.0062656+0.00097433i,0.0046209+0.0020367i,0.0055074+0.0018106i
