-0.0002043+0.0013338i,0.00093505+0.00022439i,0.00029768+0.00067043i,0.00028839+0.00099021i,0.00075853+0.00092014i,0.0014318+0.0013037i,0.001874+0.00086869i,0.00090601+0.00026596i,6.9971e-05+0.00017869i,0.00018809+0.00041112i,4.1635e-05+0.00020935i,6.408e-05-0.00095663i,0.00020455-0.0011763i,0.00031189-0.00047593i,0.00020349+9.0236e-05i,2.4946e-05+0.00075664i,0.00051839+0.00088848i,0.0013312-5.2937e-05i,0.0016051-0.00076699i,0.00093085-0.00036682i,-0.00016711+0.00020434i,-0.00014722-0.00020349i,0.00022273-8.9705e-05i
0.29411-0.13425i,0.51158-0.23768i,0.54688-0.24965i,0.34426-0.18169i,0.11312-0.15208i,-0.0040923-0.15367i,-0.039687-0.12387i,-0.038062-0.078736i,-0.017652-0.04741i,0.007055-0.031841i,0.0218-0.019888i,0.017494+0.0026658i,0.011888+0.030592i,0.018565+0.044978i,0.031495+0.034757i,0.037846+0.0053758i,0.031874-0.020864i,0.01927-0.027051i,0.0066693-0.015818i,0.0013888+9.3225e-05i,0.005424+0.010765i,0.010665+0.014101i,0.011415+0.0071965i
-0.32239+0.28564i,-0.55169+0.48648i,-0.59028+0.50702i,-0.37489+0.34602i,-0.10994+0.17334i,0.01332+0.070977i,0.013937+0.04075i,0.0042979+0.040944i,0.0023625+0.028825i,-0.017718+0.025066i,-0.027862+0.042085i,-0.014135+0.041503i,-0.0077685+0.0080221i,-0.021467-0.026147i,-0.035816-0.034292i,-0.035807-0.024866i,-0.02961-0.018003i,-0.025459-0.015852i,-0.019611-0.011374i,-0.010751-0.0076447i,-0.0061146-0.0099188i,-0.0083312-0.0099213i,-0.0077489+0.0015028i
0.092694-0.27555i,0.22295-0.4715i,0.31315-0.5329i,0.25503-0.42426i,0.14011-0.2326i,0.10334-0.098369i,0.088752-0.076603i,0.04691-0.066778i,0.027973-0.034569i,0.027776-0.03235i,0.0033331-0.045737i,-0.025641-0.038149i,-0.026359-0.010462i,-0.0011792+0.018605i,0.02696+0.032041i,0.041214+0.026389i,0.041469+0.011936i,0.032358+0.0010525i,0.019992-0.0021832i,0.0087804+0.0011104i,0.0031523+0.0098557i,0.0041871+0.016831i,0.0045902+0.014427i
-0.046241+0.051535i,-0.13834+0.14545i,-0.17969+0.27853i,-0.10147+0.34236i,-0.041765+0.27386i,-0.044559+0.18979i,-0.017673+0.14051i,0.0075684+0.081628i,0.00013336+0.035749i,-0.0054926+0.017346i,0.0018351+0.0085783i,0.016562+0.0040599i,0.022779-0.0086429i,0.0076754-0.026464i,-0.011687-0.034862i,-0.018639-0.034406i,-0.017177-0.031607i,-0.016473-0.026217i,-0.01721-0.013238i,-0.012371+0.0024728i,-0.0031859+0.0093687i,0.00027599+0.0083i,-0.001237+0.010547i
0.22111+0.0053594i,0.34935-0.045504i,0.26237-0.11763i,0.01534-0.14379i,-0.11301-0.11918i,-0.10476-0.087783i,-0.079066-0.046325i,-0.042002-0.0061628i,-0.0015311+0.0065066i,0.028133+0.0041302i,0.039515-0.0052728i,0.025598-0.011214i,0.0063536+0.0012259i,0.00035581+0.020179i,0.0083387+0.030734i,0.021082+0.029254i,0.028828+0.019113i,0.027739+0.0055219i,0.0198-0.0077005i,0.0077376-0.01238i,-0.005381-0.0044141i,-0.012611+0.0065984i,-0.01249+0.0063191i
-0.25864+0.11535i,-0.38723+0.16852i,-0.31983+0.092999i,-0.11943-0.046865i,0.013628-0.10218i,0.03066-0.077226i,-0.0056643-0.046549i,-0.036063-0.025142i,-0.037431-0.0066488i,-0.034943+0.0073566i,-0.034451+0.02488i,-0.023068+0.03396i,-0.0017091+0.018702i,0.013992-0.01067i,0.012354-0.029449i,0.0048219-0.026961i,0.0011313-0.015709i,0.002164-0.007701i,0.001621-0.0052644i,-0.0029661-0.0075507i,-0.0044397-0.014903i,-0.003229-0.023263i,-0.0054745-0.019935i
0.076158-0.13909i,0.17987-0.17422i,0.28155-0.10943i,0.27548-0.027834i,0.15676+0.0022523i,0.048939+0.013504i,0.023653+0.021298i,0.024443+0.018331i,0.015041+0.013314i,0.012018+0.0078471i,0.013385-0.0071694i,0.0066598-0.021621i,-0.0082057-0.01132i,-0.016478+0.020282i,-0.011211+0.042252i,-0.0039212+0.044052i,0.00073567+0.038997i,0.0076968+0.034183i,0.018673+0.027066i,0.027265+0.017289i,0.024661+0.013625i,0.01756+0.016875i,0.016488+0.012035i
0.0024623-0.026514i,-0.10989-0.010262i,-0.25473+0.07885i,-0.27404+0.16677i,-0.17012+0.13945i,-0.094248+0.033941i,-0.080733-0.022466i,-0.06105-0.026356i,-0.037999-0.023511i,-0.029795-0.015524i,-0.025002-0.0020695i,-0.012639+0.0069325i,0.0042704-0.00047939i,0.012318-0.021602i,0.011499-0.036443i,0.0044814-0.036358i,-0.0097292-0.027308i,-0.022496-0.016352i,-0.028629-0.009121i,-0.026094-0.0044772i,-0.012517-0.0031375i,0.0014289-0.0044954i,0.0052677-0.0023785i
0.13298+0.066951i,0.24405+0.0056578i,0.25985-0.16982i,0.1627-0.30952i,0.079672-0.29612i,0.068997-0.21009i,0.043577-0.13729i,0.00228-0.072788i,-0.0020955-0.03675i,0.0079449-0.029264i,0.017531-0.020835i,0.024437-0.013032i,0.01605-0.0054115i,0.0033499+0.006064i,-0.0051241+0.015976i,-0.01111+0.018718i,-0.013993+0.014969i,-0.01116+0.014039i,0.0035843+0.019248i,0.018988+0.020733i,0.016528+0.013818i,0.0042653+0.0079919i,0.0010437+0.0060827i
-0.17336+0.066517i,-0.20909+0.16714i,-0.087051+0.27021i,0.10052+0.30085i,0.18498+0.26733i,0.17711+0.21629i,0.15811+0.12813i,0.11484+0.043066i,0.056268+0.014738i,0.018699+0.013735i,-0.0045099+0.010911i,-0.016534+0.0081796i,-0.0090973+0.0059654i,0.0092663+0.0021104i,0.022064-0.0055982i,0.021595-0.014225i,0.013587-0.020621i,0.0038944-0.023864i,-0.0070727-0.023563i,-0.012493-0.022551i,-0.0034532-0.018477i,0.010426-0.012187i,0.012642-0.0078079i
-0.018794-0.1244i,-0.0683-0.16737i,-0.14493-0.11345i,-0.19652-0.012285i,-0.18922+0.036859i,-0.16018+0.04711i,-0.11936+0.069897i,-0.06146+0.069738i,-0.014124+0.03738i,0.0083775+0.011186i,0.018157+0.0052404i,0.021379+0.00571i,0.0093763+0.0027714i,-0.01208+0.0052147i,-0.023779+0.0092002i,-0.023642+0.0049801i,-0.019911-0.00037802i,-0.016456+0.0038562i,-0.0096308+0.019434i,0.0019101+0.034542i,0.0055218+0.036317i,0.00038015+0.027923i,-0.0012305+0.018444i
0.11226-0.045947i,0.1312-0.1045i,0.04049-0.15812i,-0.081897-0.1608i,-0.12275-0.11482i,-0.107-0.074543i,-0.084935-0.046039i,-0.06124-0.016686i,-0.041991+0.00088796i,-0.031616+0.0028741i,-0.023986-0.0033391i,-0.012958-0.006807i,0.005265-0.0063827i,0.022065-0.0086453i,0.03109-0.010824i,0.03052-0.012595i,0.020896-0.016443i,0.010138-0.023209i,0.0021911-0.033418i,-0.0019033-0.040528i,-0.00012572-0.034641i,0.0052529-0.020885i,0.0051539-0.010177i
0.041743+0.11887i,0.13626+0.14805i,0.26993+0.06403i,0.32634-0.06352i,0.26928-0.10923i,0.18458-0.094845i,0.094037-0.085715i,0.022644-0.068516i,0.0060265-0.04113i,0.015773-0.025181i,0.015335-0.009611i,0.0036445+0.0077376i,-0.011582+0.015179i,-0.022534+0.012596i,-0.024632+0.0083154i,-0.01639+0.0046063i,-0.0022062+0.00020064i,0.0071608+0.0034747i,0.0075881+0.018738i,0.0038093+0.031264i,-0.00064182+0.02589i,-0.0041631+0.010808i,-0.0029146+0.00090854i
-0.15166+0.040872i,-0.25243+0.15674i,-0.26513+0.30897i,-0.18499+0.35628i,-0.11706+0.27351i,-0.084157+0.18617i,-0.028641+0.13891i,0.014594+0.0902i,0.0052038+0.049216i,-0.010456+0.033241i,-0.0071306+0.017323i,-0.0032662-0.0031719i,-0.001056-0.012781i,0.0065332-0.0093007i,0.015261-0.0032193i,0.01892+0.0019486i,0.019858+0.0053129i,0.022622+0.002135i,0.027674-0.013062i,0.029617-0.030677i,0.027049-0.02981i,0.022137-0.01511i,0.015119-0.0047459i
-0.0087352-0.17939i,-0.045674-0.34952i,-0.10412-0.4341i,-0.12565-0.36202i,-0.085454-0.23837i,-0.042811-0.15791i,-0.036501-0.10989i,-0.029066-0.065425i,-0.0007329-0.034954i,0.015866-0.02252i,0.0098479-0.01285i,0.0023187-0.0061884i,0.00022654-0.0099162i,-0.0023942-0.016376i,-0.004333-0.018208i,-0.007568-0.014651i,-0.013309-0.0025477i,-0.019675+0.013373i,-0.025585+0.028578i,-0.025442+0.037565i,-0.018875+0.032544i,-0.011357+0.018495i,-0.0057172+0.0072061i
0.16785+0.037616i,0.2886+0.086202i,0.3261+0.1093i,0.2742+0.078663i,0.19936+0.02328i,0.12111-0.012403i,0.048786-0.0090941i,0.002453+0.0059342i,-0.0233+0.006874i,-0.031503+0.0013878i,-0.016434-0.0034698i,0.0063062-0.0051772i,0.019874+0.0030725i,0.025188+0.015624i,0.026782+0.023416i,0.025495+0.02194i,0.019745+0.012679i,0.017533+0.0037455i,0.027259-0.0048571i,0.036582-0.01359i,0.031683-0.015535i,0.018945-0.0086406i,0.0077569-0.0023244i
-0.061209+0.10953i,-0.07637+0.17491i,-0.050202+0.17674i,-0.02066+0.15785i,-0.0025864+0.16785i,0.03305+0.1585i,0.066974+0.093887i,0.065179+0.031294i,0.048329+0.012095i,0.038947+0.011614i,0.025105+0.011719i,0.0042245+0.0093095i,-0.013176+0.0012862i,-0.023292-0.0077272i,-0.026679-0.011152i,-0.022996-0.0089715i,-0.014206-0.0038429i,-0.011956+0.0003394i,-0.02391+0.0035397i,-0.036865+0.0064015i,-0.035002+0.0040397i,-0.021885-0.0015505i,-0.0091477-0.004536i
-0.1173-0.019476i,-0.22469-0.0016503i,-0.28356+0.036377i,-0.24621+0.033334i,-0.17213-0.013692i,-0.13138-0.035182i,-0.10941-0.0062058i,-0.077149+0.021581i,-0.046768+0.013905i,-0.031828+7.0513e-05i,-0.018297+0.0021377i,-0.00048658+0.0068763i,0.011632+0.0077102i,0.01542+0.0091837i,0.013785+0.010152i,0.0076514+0.0099465i,0.001208+0.012079i,0.0050003+0.014721i,0.021849+0.012229i,0.039801+0.0045411i,0.042286-0.00076679i,0.029711-0.0018409i,0.015016-0.0018511i
0.050003-0.1738i,0.10286-0.32332i,0.15427-0.38586i,0.15101-0.31479i,0.091275-0.19296i,0.04669-0.098019i,0.035486-0.050494i,0.03033-0.028462i,0.023949-0.0048217i,0.020761+0.0048354i,0.0097392-0.0056644i,-0.0041415-0.013309i,-0.0053148-0.012584i,0.0014837-0.013544i,0.0055882-0.018753i,0.0026888-0.023998i,-0.0070563-0.02362i,-0.019169-0.019975i,-0.030898-0.018294i,-0.037055-0.014818i,-0.031329-0.0076945i,-0.018435-0.0024071i,-0.0070758-0.0013852i
0.131+0.12537i,0.2006+0.25485i,0.17393+0.33996i,0.10961+0.31507i,0.098994+0.21188i,0.087226+0.093316i,0.032634+0.013879i,-0.013882-0.010272i,-0.027217-0.011435i,-0.020964-0.0084118i,-0.0052927-0.0024602i,0.0025457+0.003258i,-0.003602+0.011204i,-0.011343+0.020779i,-0.01156+0.026451i,-0.0036946+0.023898i,0.0050117+0.013594i,0.011252+0.0069138i,0.018706+0.011893i,0.024299+0.017712i,0.02037+0.014483i,0.00882+0.0090151i,-0.00035412+0.0061714i
-0.11306+0.051528i,-0.17561+0.028548i,-0.18118-0.056744i,-0.16314-0.1318i,-0.1613-0.12156i,-0.12725-0.04268i,-0.045896+0.021879i,0.011992+0.033306i,0.018981+0.024356i,0.013778+0.023925i,0.014394+0.020265i,0.012442+0.0034697i,0.0075748-0.016155i,0.0032363-0.029144i,0.00070791-0.033663i,-2.1647e-05-0.029447i,0.0021506-0.020893i,0.0063594-0.018695i,0.0057785-0.029082i,-0.000618-0.041875i,-0.0048565-0.040624i,-0.003436-0.027629i,0.00074972-0.014862i
-0.064952-0.060053i,-0.10122-0.05699i,-0.063926-0.014636i,0.043296+0.012386i,0.12512-0.0053542i,0.12139-0.041982i,0.065192-0.057224i,0.02157-0.042971i,0.0098537-0.024354i,0.0037012-0.016563i,-0.0054166-0.0072378i,-0.0054081+0.0043972i,0.0014688+0.010331i,0.0082624+0.013326i,0.011539+0.012437i,0.0079944+0.008052i,0.0018856+0.0039645i,-0.0010842+0.0069977i,0.0015314+0.021973i,0.0083472+0.035429i,0.011332+0.032577i,0.007997+0.019401i,0.0027489+0.0082771i
0.085688-0.11318i,0.14968-0.18631i,0.16822-0.17771i,0.12378-0.093653i,0.063247-0.031148i,0.011887-0.001161i,-0.019749+0.033836i,-0.021366+0.049472i,-0.016765+0.037385i,-0.015895+0.020337i,-0.011555+0.0042564i,-0.0057227-0.0033911i,0.0024442-0.0010669i,0.011812-0.00065975i,0.0178-0.0028316i,0.019824-0.0068108i,0.017595-0.010776i,0.014353-0.013889i,0.012884-0.019848i,0.0094811-0.024833i,0.0034906-0.019944i,-0.001024-0.0081792i,-0.0011695-0.00063943i
0.071066+0.13781i,0.073749+0.23168i,-0.0068801+0.24941i,-0.090891+0.20256i,-0.07732+0.16379i,-0.0075178+0.11027i,0.022184+0.027359i,0.0032326-0.013357i,-0.0095889-0.0084051i,-0.0020771-0.0030289i,0.0048092-0.0020575i,0.0018117-0.002747i,-0.0091776-0.0032457i,-0.020745+0.0035397i,-0.024476+0.013789i,-0.016907+0.019895i,-0.0037242+0.016329i,0.0023118+0.0091788i,-0.0055658+0.0099694i,-0.015472+0.013017i,-0.015817+0.0085385i,-0.012827+0.0020436i,-0.010242+0.00059363i
-0.10977-0.00079064i,-0.13807-0.035105i,-0.047083-0.11013i,0.063025-0.18908i,0.059354-0.21095i,-0.00027651-0.15125i,-0.026143-0.066064i,-0.017126-0.025019i,-0.0041463-0.021592i,-0.00017101-0.018433i,0.0036399-0.0078414i,0.009238+0.00012051i,0.01408+0.00089086i,0.018348-0.0056062i,0.018274-0.015883i,0.012217-0.018957i,0.0064561-0.010385i,0.010313-0.0016671i,0.024012-0.0046029i,0.033649-0.013917i,0.03035-0.016472i,0.020001-0.012672i,0.010851-0.0080052i
-0.026975-0.060922i,-0.0529-0.04503i,-0.074547+0.058714i,-0.053309+0.17867i,0.0029873+0.21361i,0.045921+0.16782i,0.062732+0.09869i,0.052092+0.048251i,0.031308+0.033151i,0.022197+0.026737i,0.013182+0.0098483i,0.00059438-0.00080078i,-0.0050815-0.0022801i,-0.0058986-0.00091013i,-0.0038729+0.0024592i,-8.7125e-05+0.0027104i,0.0025622-0.0013185i,-0.0028533-0.0050271i,-0.01942-0.0019747i,-0.032123+0.0063882i,-0.028724+0.0095765i,-0.017053+0.0054787i,-0.010573-0.00044638i
0.089831-0.067924i,0.13756-0.13806i,0.10313-0.18079i,0.0084399-0.16427i,-0.053503-0.12738i,-0.082427-0.099774i,-0.10109-0.064995i,-0.079648-0.027565i,-0.041163-0.01305i,-0.020426-0.010526i,-0.0096023-0.0038364i,-0.0032926+0.00058694i,-0.00072859+0.0041166i,0.0035671+0.0075365i,0.0085914+0.008173i,0.010358+0.0079612i,0.006649+0.0083235i,0.0064066+0.01034i,0.017851+0.010334i,0.027378+0.0056065i,0.021693+0.0023554i,0.010141+0.0055006i,0.0051641+0.0078673i
0.022958+0.13307i,0.036306+0.22042i,0.04443+0.18944i,0.024739+0.058742i,-0.016524-0.0087835i,-0.014414+0.007125i,0.020099+0.021308i,0.018709+0.015746i,-0.0016318+0.015069i,-0.0036036+0.020533i,0.004953+0.017941i,0.010704+0.00749i,0.0064298-0.0032951i,-0.0066784-0.0090407i,-0.018365-0.0069407i,-0.019067-0.0018672i,-0.0086456-8.0172e-05i,-0.00068613-0.0060105i,-0.0082343-0.017171i,-0.020643-0.025286i,-0.019808-0.025394i,-0.0094651-0.019487i,-0.0028026-0.01248i
-0.11504-0.032904i,-0.1612-0.047291i,-0.089574-0.017555i,0.058463+0.010863i,0.13519-0.030665i,0.099797-0.080942i,0.040572-0.076204i,0.025627-0.044463i,0.036085-0.024013i,0.030688-0.019255i,0.0098282-0.012529i,-0.0039988-0.00098303i,-0.0026992+0.0055842i,0.0078503+0.0033004i,0.016278-0.0058935i,0.012902-0.012816i,0.00064804-0.010748i,-0.0059552+0.0016734i,0.0021047+0.01991i,0.014239+0.031476i,0.014367+0.028813i,0.0068973+0.018378i,0.0033236+0.0092128i
0.025361-0.077134i,0.0024231-0.11908i,-0.089399-0.090335i,-0.16384+0.0030061i,-0.14122+0.070424i,-0.089995+0.0842i,-0.066273+0.082616i,-0.055901+0.07335i,-0.049477+0.057341i,-0.038293+0.04169i,-0.022524+0.020466i,-0.011317+0.0017579i,-0.0023155-0.0039228i,0.0037797-0.0046039i,0.0049117-0.0038611i,0.0064856-0.00098742i,0.011032-0.0011803i,0.010946-0.0098271i,-1.5046e-05-0.024656i,-0.011607-0.033524i,-0.011489-0.028327i,-0.0053332-0.015522i,-0.0022314-0.0064608i
0.094987-0.00089639i,0.18754-0.030052i,0.24097-0.1081i,0.1932-0.1766i,0.11265-0.16967i,0.079655-0.14584i,0.057552-0.13631i,0.025596-0.097076i,0.01616-0.050788i,0.018532-0.030965i,0.013242-0.020947i,0.0051848-0.011721i,-0.0027277-0.0021522i,-0.0063794+0.0096349i,-0.0040793+0.015141i,-0.0024756+0.010147i,-0.0075194+0.00070743i,-0.013006-0.00055933i,-0.0090034+0.012384i,-0.00063757+0.024191i,0.00059033+0.022503i,-0.0037994+0.016257i,-0.0023078+0.013372i
-0.041902+0.11852i,-0.068165+0.24196i,-0.045407+0.30586i,0.023707+0.24867i,0.05553+0.15092i,0.03661+0.10963i,0.019734+0.094343i,0.0090487+0.051594i,-0.0051872+0.014992i,-0.0077987+0.0083985i,0.0026205+0.009117i,0.010141+0.0056266i,0.0089521-0.0010487i,0.0014594-0.010116i,-0.0057112-0.015232i,-0.0051863-0.011045i,0.0051581-0.0035047i,0.016882-0.0041749i,0.01964-0.017185i,0.014678-0.028376i,0.010429-0.027135i,0.0084118-0.020768i,0.0046767-0.014318i
-0.091592-0.094537i,-0.17851-0.16891i,-0.21362-0.15624i,-0.16075-0.05798i,-0.071261+0.0078659i,-0.0064422+0.016507i,0.025951+0.020106i,0.043258+0.03097i,0.049871+0.035096i,0.042895+0.023754i,0.023354+0.0080294i,0.0066549-0.00093374i,0.003427-0.0051197i,0.0074994-0.0062012i,0.011957-0.0053619i,0.011151-0.0079307i,0.0034706-0.013369i,-0.0080608-0.010599i,-0.016914+0.0075442i,-0.019631+0.025865i,-0.016345+0.026899i,-0.010843+0.016795i,-0.0072816+0.0090255i
0.085278-0.047057i,0.14931-0.10346i,0.12728-0.14948i,0.017731-0.1335i,-0.067755-0.062064i,-0.099609-0.015633i,-0.11707-0.007642i,-0.10988-0.0013864i,-0.083767-0.00027763i,-0.060497-3.7618e-06i,-0.036225+0.0034791i,-0.014452+0.004035i,-0.00068675+0.005298i,0.0060352+0.006807i,0.007464+0.0064011i,0.0065136+0.0091975i,0.0060738+0.014826i,0.010551+0.01253i,0.018608-0.0043188i,0.021168-0.019887i,0.016304-0.017744i,0.011411-0.0048815i,0.009373+0.0019918i
0.042122+0.062332i,0.11245+0.13238i,0.19543+0.14614i,0.22084+0.057612i,0.16929-0.040529i,0.11945-0.051337i,0.10551-0.02359i,0.081596-0.012173i,0.052805-0.0038224i,0.03917+0.00085983i,0.027279-1.207e-05i,0.015868+0.001811i,0.0050346+0.0031771i,-0.0057894+0.0035024i,-0.010263+0.0043898i,-0.0082369-0.00078921i,-0.0066129-0.012872i,-0.010709-0.016824i,-0.018709-0.0048877i,-0.024035+0.0093234i,-0.022491+0.012215i,-0.018188+0.0067649i,-0.012086+0.0029584i
-0.088012+0.049643i,-0.2036+0.10338i,-0.2859+0.15809i,-0.24644+0.18512i,-0.14636+0.16174i,-0.096349+0.097148i,-0.081681+0.045007i,-0.047074+0.019922i,-0.012946+0.00045433i,-0.0033058-0.010154i,-0.0028569-0.0082926i,-0.0038879-0.0050454i,-0.0036637-0.0042603i,0.00056176-0.0063178i,0.0040336-0.0098096i,0.0043303-0.0069357i,0.0042908+0.0023561i,0.0096359+0.0074595i,0.019559+0.0023925i,0.024181-0.0077893i,0.01938-0.012307i,0.012383-0.010711i,0.0063311-0.010005i
-0.015413-0.12016i,-0.014056-0.25325i,0.0082359-0.33146i,0.022495-0.29159i,0.023729-0.19609i,0.023165-0.10396i,0.015375-0.022717i,0.007673+0.030024i,0.0069549+0.047325i,0.0088673+0.039263i,0.0072247+0.019668i,0.0028834+0.0053471i,0.0036698+0.00036559i,0.0063296-0.00094056i,0.0061153-0.0012111i,0.0058033-0.0043161i,0.0064586-0.010662i,0.0010186-0.014671i,-0.012402-0.011443i,-0.020681-0.0019231i,-0.017731+0.0046408i,-0.0093738+0.0052422i,-0.0028109+0.0053018i
0.10219+0.036693i,0.20799+0.081033i,0.24596+0.09462i,0.15527+0.062984i,0.036378+0.036633i,-0.0086218+0.006516i,-0.014147-0.041056i,-0.024216-0.056494i,-0.022799-0.042636i,-0.013464-0.03122i,-0.007072-0.02034i,-0.0033531-0.010991i,-0.0050926-0.0014717i,-0.0056563+0.0078791i,-0.001519+0.011367i,-0.0013618+0.011374i,-0.0059268+0.012546i,-0.0037219+0.014195i,0.010068+0.01124i,0.022105+0.0046692i,0.021798+0.0015315i,0.014056+0.0045522i,0.0089603+0.0059652i
-0.04746+0.057435i,-0.10632+0.14054i,-0.10292+0.21637i,0.0059667+0.18919i,0.096581+0.084276i,0.085698+0.044477i,0.053438+0.071514i,0.045457+0.067018i,0.036677+0.039241i,0.027238+0.025125i,0.021279+0.018405i,0.014154+0.013461i,0.007184+0.0060749i,-0.0007764-0.0027457i,-0.0053297-0.0069673i,-0.00031007-0.0084233i,0.0080894-0.010546i,0.0069758-0.013771i,-0.0060849-0.011602i,-0.01843-0.0041004i,-0.019724-0.00073591i,-0.014753-0.0049174i,-0.010895-0.0067031i
-0.052381-0.036491i,-0.12638-0.1175i,-0.21729-0.19159i,-0.27046-0.15766i,-0.2406-0.057101i,-0.15736-0.019476i,-0.087943-0.028118i,-0.045313-0.014884i,-0.012839+0.0018299i,0.0039415+0.0028149i,0.0053592-0.002233i,0.0031981-0.011067i,0.0015119-0.014756i,0.0025855-0.0095389i,0.0038948-0.003178i,-0.00037526+0.001934i,-0.005949+0.0059442i,-0.0049948+0.0090384i,0.0032851+0.0099212i,0.013178+0.0064362i,0.017468+0.0029738i,0.015833+0.0026494i,0.011338+0.0012009i
0.054349-0.063185i,0.15977-0.10884i,0.27049-0.11433i,0.29751-0.082883i,0.23999-0.057804i,0.14084-0.038641i,0.047786-0.011702i,0.0020294+0.0070962i,-0.012871+0.012155i,-0.01857+0.012625i,-0.01637+0.010531i,-0.0093822+0.011541i,0.00018742+0.01362i,0.0059518+0.0077431i,0.0051591-0.0017726i,0.003632-0.0072452i,0.0038792-0.0070665i,0.0031763-0.007526i,-0.0031095-0.010589i,-0.012972-0.0087338i,-0.016367-0.0011383i,-0.011821+0.0043518i,-0.0061046+0.0060546i
0.023375+0.082969i,0.036558+0.19589i,0.018064+0.24584i,-0.044016+0.15631i,-0.1008+0.052167i,-0.071495+0.015222i,0.003451-0.0082793i,0.029101-0.027369i,0.022301-0.026164i,0.019825-0.019905i,0.016875-0.015058i,0.010212-0.011566i,0.00070214-0.0093088i,-0.0055496-0.0037402i,-0.0045368+0.0026374i,-0.0034469+0.0031402i,-0.0062705-0.0013904i,-0.0068353-0.0014117i,0.00033322+0.0050229i,0.010269+0.008523i,0.012183+0.0063561i,0.0058704+0.0033924i,0.0007788+0.0017326i
-0.075641-0.02649i,-0.19371-0.052331i,-0.2558-0.025441i,-0.14514+0.051323i,0.018433+0.076246i,0.051555+0.048469i,0.0091+0.04885i,0.0088059+0.055941i,0.021853+0.036393i,0.015251+0.017061i,0.0062997+0.0092645i,-0.0013062+0.0067064i,-0.0026988+0.0054216i,0.0018522-2.4146e-05i,0.005098-0.0054484i,0.0084574-0.0047025i,0.011639-0.0020259i,0.010608-0.0033305i,0.0040721-0.0083534i,-0.0046573-0.012284i,-0.0094595-0.013435i,-0.0085974-0.014711i,-0.006416-0.014484i
0.036805-0.040685i,0.10942-0.13423i,0.15067-0.25475i,0.075015-0.29811i,-0.037706-0.22182i,-0.053089-0.11241i,-0.016289-0.050471i,-0.0092895-0.019705i,-0.009338+0.0045769i,0.0008546+0.013589i,0.0083689+0.006236i,0.011387-0.0064284i,0.0091155-0.012658i,0.0029638-0.0089271i,-0.0044018-0.0023972i,-0.010288+0.0004638i,-0.010092-0.00036139i,-0.0062289-0.00041229i,-0.00065329+0.0051941i,0.0082986+0.012428i,0.015338+0.01517i,0.015442+0.014475i,0.012424+0.01041i
0.027722+0.019467i,0.077806+0.095231i,0.12079+0.21492i,0.13881+0.28154i,0.13879+0.23614i,0.10229+0.14029i,0.045347+0.067924i,0.014033+0.030888i,0.0048361+0.0071175i,-0.0035143-0.0074385i,-0.0097792-0.0076703i,-0.011411+0.00027177i,-0.0084951+0.0070489i,-0.0003973+0.005199i,0.0072189-0.0026811i,0.009007-0.0062011i,0.0047877-0.0032486i,0.00024225-0.001356i,-0.0016015-0.0046046i,-0.0055266-0.0086437i,-0.0098276-0.0095308i,-0.0094178-0.0076371i,-0.0064616-0.0055134i
-0.039386+0.041446i,-0.10435+0.089461i,-0.14968+0.068297i,-0.13915-0.044918i,-0.11877-0.12042i,-0.097599-0.080343i,-0.045691-0.01597i,-0.0050053-0.0033145i,0.004884-0.0063052i,0.009616-0.00099622i,0.013891+0.0023695i,0.015238+0.00089747i,0.010972-0.0049362i,0.0029796-0.0055987i,-0.0016391+0.00023728i,-0.0005054+0.0017201i,0.0024238-0.0018389i,0.0018652-0.0029731i,0.00027261+0.0032312i,0.0019717+0.01053i,0.0038229+0.012043i,0.0010663+0.0088587i,-0.00096978+0.0051278i
-0.017719-0.084495i,-0.063311-0.191i,-0.11903-0.22006i,-0.11687-0.079299i,-0.044938+0.070874i,0.0048185+0.071158i,-0.0097479+0.025649i,-0.014698+0.024542i,0.0050477+0.020832i,0.012519+0.0036416i,0.0052632-0.0060466i,-0.0036275-0.0063813i,-0.00442-0.00090932i,-0.00028183+0.0022677i,0.0027523+0.0016971i,0.0027828+0.0015981i,0.00097068+0.0015462i,0.00095922-0.0011214i,0.0018165-0.0075923i,0.001209-0.014021i,0.0027232-0.01592i,0.0063238-0.013781i,0.0067137-0.010472i
0.071063+0.035698i,0.20167+0.068291i,0.33791+0.044934i,0.32509-0.064332i,0.16741-0.14626i,0.047554-0.11439i,0.023904-0.06061i,0.015018-0.044756i,-0.0031864-0.028224i,-0.009501-0.0058076i,-0.0027525+0.0031466i,0.0064888+0.0028764i,0.00903-0.00043454i,0.0026178-0.0043272i,-0.0053114-0.0068917i,-0.0076301-0.0081452i,-0.0050454-0.0063325i,-0.0018207-0.0015804i,-0.0011837+0.0056057i,-0.0021315+0.01415i,-0.0039572+0.020037i,-0.0059031+0.021334i,-0.0048031+0.018297i
-0.04758+0.019274i,-0.1321+0.079229i,-0.23637+0.16626i,-0.26042+0.22251i,-0.17092+0.20431i,-0.066187+0.1349i,-0.011893+0.07103i,0.012466+0.037693i,0.026061+0.014146i,0.024205-0.0069902i,0.011226-0.013751i,-0.0034378-0.007301i,-0.0090745+0.0024671i,-0.0013331+0.0071335i,0.010117+0.006082i,0.014019+0.0035102i,0.0093711+0.00033911i,0.0044084-0.0022931i,0.0035776-0.0054537i,0.0044952-0.01148i,0.0043439-0.016351i,0.0032697-0.016197i,0.0013322-0.012545i
