-0.001954+0.0017859i,-0.0031859+0.0024146i,-0.0032862+0.0028141i,-0.0022847+0.0013951i,-0.0021847+0.001093i,-0.0022251+0.0015992i,-0.0012397+0.0015872i,0.00016276+0.001504i,0.00073512+0.00072103i,0.00085895-0.00010661i,0.00091816-0.00018253i,0.00030794+0.00030508i,0.00066565+5.9944e-05i,0.0010062-7.7662e-06i,-0.00017171+0.00022163i,-0.00072176+0.00027865i,-0.00022817-0.00010134i,0.00022304-0.00058418i,0.00045403+0.00027895i,0.00038977+0.00059244i,0.0005978-0.00016712i,0.00043276+4.791e-05i,-0.00034568+0.00026551i
0.17947+0.35075i,0.16672+0.404i,0.016135+0.34504i,-0.081485+0.24664i,-0.020373+0.15062i,0.062597+0.10436i,0.080653+0.10687i,0.05144+0.10492i,0.014093+0.090367i,-0.0017748+0.085846i,0.010644+0.078128i,0.035183+0.053097i,0.046418+0.023556i,0.032443+0.00099833i,0.010879-0.0064158i,0.0028005-0.0035593i,0.0075725-0.0053676i,0.010114-0.015992i,0.0010735-0.021367i,-0.0080332-0.013002i,-0.010767-0.00456i,-0.01617-0.0027367i,-0.023567-0.00044341i
-0.017032+0.21436i,-0.14869+0.099407i,-0.28319-0.099942i,-0.27103-0.15927i,-0.18061-0.11259i,-0.14504-0.099716i,-0.13499-0.084175i,-0.087465-0.052884i,-0.046902-0.033213i,-0.046468-0.015581i,-0.062774+0.005901i,-0.066008+0.02115i,-0.051832+0.018267i,-0.032631+0.0093158i,-0.019632+0.0061707i,-0.016564+0.0037942i,-0.016238+0.0030292i,-0.0097291+0.0055008i,-0.0035788+0.0057619i,-0.004716+0.0026623i,-0.0088955-0.0035842i,-0.010238-0.013816i,-0.0082547-0.024053i
-0.086804+0.3013i,0.13575+0.34978i,0.35309+0.2139i,0.30134+0.054688i,0.13003+0.0028978i,0.070845+0.0043747i,0.062971-0.032603i,0.017752-0.057207i,-0.024705-0.040336i,-0.046079-0.023722i,-0.044901-0.012931i,-0.018423-0.0023837i,0.0040681-0.00068937i,0.0079772-0.0020501i,0.0067164-0.0019342i,0.010529-0.0049847i,0.0163-0.0060146i,0.016623-0.0062667i,0.009713-0.0095317i,0.0013733-0.012397i,-0.00018413-0.014475i,0.0037093-0.013944i,0.0089936-0.0082082i
-0.41215+0.33328i,-0.46926+0.52481i,-0.34454+0.53434i,-0.16494+0.3366i,-0.017955+0.11198i,0.068346+0.00059724i,0.096851+0.0010579i,0.09471+0.014494i,0.071026-0.0022489i,0.038444-0.02862i,0.008345-0.039235i,-0.0030474-0.026879i,0.010048-0.018317i,0.015678-0.023474i,0.0017761-0.022148i,-0.0061513-0.0081581i,-0.0028591+0.0016487i,0.0015194-0.0010297i,0.0016883-0.0079809i,0.00070609-0.011724i,0.0033003-0.014122i,0.0038292-0.013865i,-0.00045338-0.0035927i
-0.40431-0.14076i,-0.57949-0.23869i,-0.56682-0.26284i,-0.3624-0.18334i,-0.15392-0.080466i,-0.095346-0.014407i,-0.11646+0.031022i,-0.092557+0.047642i,-0.04906+0.015977i,-0.035054-0.01547i,-0.036207-0.015578i,-0.0402+0.0043726i,-0.035+0.024741i,-0.015677+0.025435i,-0.00075996+0.0115i,-0.0063121+0.0027908i,-0.018138+0.0075874i,-0.016108+0.017276i,-0.0038235+0.017233i,0.0049171+0.0082959i,0.010977+0.00080448i,0.017716-0.0085801i,0.014626-0.021465i
-0.075277-0.33213i,0.08626-0.37448i,0.31019-0.32098i,0.32867-0.22142i,0.21036-0.097009i,0.15509-0.042465i,0.11005-0.064045i,0.051601-0.05076i,0.039334-0.011072i,0.049532-0.0093949i,0.04737-0.031978i,0.031158-0.040746i,0.016023-0.023606i,0.013079-0.0038996i,0.01397-0.0030823i,0.01334-0.014948i,0.0090669-0.024569i,-0.00059344-0.024556i,-0.0073523-0.016509i,-0.0025113-0.008598i,0.010652-0.0029149i,0.023567+0.0049407i,0.030389+0.0097394i
-0.13973-0.10381i,-0.21552+0.1006i,-0.19456+0.40107i,-0.073108+0.4578i,0.010007+0.28307i,0.013845+0.14629i,0.016717+0.08399i,0.028012+0.047803i,0.043273+0.020332i,0.05574-0.0092362i,0.046852-0.024247i,0.025998-0.02713i,0.0088295-0.028508i,0.00028546-0.022406i,-0.0025602-0.0088658i,-0.0016883+0.0062797i,0.00068992+0.012751i,0.00042997+0.0090143i,0.0010586+0.0052982i,0.0072734+0.0060836i,0.012189+0.01099i,0.012932+0.020884i,0.013111+0.032597i
0.19962-0.39818i,0.029499-0.57343i,-0.26693-0.52134i,-0.34961-0.26124i,-0.18864-0.018136i,-0.060753+0.074427i,-0.037275+0.10119i,-0.033425+0.11517i,-0.022833+0.11579i,-0.0049979+0.11374i,0.016003+0.10142i,0.020294+0.073518i,0.0060659+0.051847i,-0.0036889+0.038395i,-0.0016684+0.017938i,-0.0061423+0.00094297i,-0.013987-0.0022996i,-0.011658-1.1642e-05i,-0.0047043+0.0027383i,-0.0018277+0.0098182i,-0.0018219+0.018495i,-0.0061067+0.0166i,-0.017381+0.0038673i
0.6202-0.13771i,0.76743-0.31107i,0.60704-0.41837i,0.27396-0.3115i,0.036254-0.10273i,-0.015751-0.025208i,-0.024078-0.062659i,-0.053496-0.063435i,-0.054913-0.016802i,-0.029794+0.017925i,-0.0094885+0.022698i,0.003556+0.0088327i,0.0061758+0.00036924i,0.00096834+0.0055887i,0.00052815+0.0090454i,0.0035887-0.0053877i,0.0015349-0.02804i,-0.010394-0.034889i,-0.021998-0.019963i,-0.021509+0.00010002i,-0.016765+0.012059i,-0.011183+0.017804i,0.00032177+0.01596i
0.16817+0.51816i,0.21347+0.75825i,0.1917+0.76533i,0.11851+0.52117i,0.0020552+0.26862i,-0.072441+0.18185i,-0.054372+0.1425i,-0.036882+0.072788i,-0.047393+0.028106i,-0.051128+0.0089534i,-0.054057+0.0059795i,-0.045416+0.010489i,-0.031371-0.0042011i,-0.027123-0.014804i,-0.015833+0.00076132i,0.0076+0.02078i,0.027297+0.028432i,0.033656+0.022798i,0.027035+0.01072i,0.011356+0.0014153i,-0.0038656-0.0019999i,-0.009635+0.0027644i,0.00033121+0.014363i
0.078885+0.18693i,-0.01632-0.023812i,-0.25223-0.27376i,-0.39008-0.27605i,-0.30828-0.14665i,-0.15975-0.082541i,-0.052475-0.042081i,0.0063079-0.018347i,0.0074939-0.0013746i,-0.004296+0.029484i,-0.0025345+0.03799i,-0.0010485+0.032049i,0.0038097+0.027778i,0.0036285+0.011291i,-0.0090528-0.0043995i,-0.021416-0.0056818i,-0.022937-0.0024287i,-0.017248-0.0070431i,-0.017596-0.011593i,-0.021638-0.0055275i,-0.023924-0.002557i,-0.03188-0.0086667i,-0.044104-0.0091772i
0.17781+0.37322i,0.37724+0.28857i,0.40652-0.026897i,0.20452-0.21975i,0.020052-0.16101i,-0.011783-0.065646i,-0.0127-0.053121i,-0.038731-0.067731i,-0.071169-0.064884i,-0.072791-0.042023i,-0.040802-0.029561i,-0.016113-0.026968i,-0.0024637-0.019342i,0.0056613-0.013485i,0.0021065-0.0095776i,-0.0040151-0.011238i,-0.0099108-0.018153i,-0.014066-0.013461i,-0.012162-0.0018182i,-0.0081464-0.0015055i,-0.0033447-0.010382i,0.0030533-0.016361i,0.010215-0.019134i
-0.59111+0.53597i,-0.52424+0.86149i,-0.11744+0.81314i,0.17379+0.38575i,0.12426+0.034272i,-0.003707-0.0043873i,-0.011683+0.058528i,0.030517+0.04684i,0.041813-0.015092i,0.011867-0.053493i,-0.026425-0.042059i,-0.044084-0.014079i,-0.043207-0.0019528i,-0.030087+0.00083703i,-0.0096107+0.0064259i,0.014521+0.014099i,0.037619+0.021702i,0.049734+0.020082i,0.04424+0.0024099i,0.027731-0.01522i,0.016393-0.021989i,0.015852-0.019428i,0.023108-0.010229i
-0.54025-0.42057i,-0.69414-0.59469i,-0.61165-0.52152i,-0.37221-0.28828i,-0.17229-0.1445i,-0.09481-0.10503i,-0.045599-0.066074i,0.032287-0.043115i,0.070271-0.042716i,0.070001-0.026732i,0.064196-0.023408i,0.039778-0.031067i,0.021239-0.020807i,0.014846-0.011173i,-0.0037567-0.0094765i,-0.025654-0.0012766i,-0.039392+0.0055559i,-0.047137+0.0022744i,-0.042498+0.00062949i,-0.024269+0.0047827i,-0.0044475+0.0066676i,-0.0027636+0.0083939i,-0.018016+0.020364i
0.25657-0.26263i,0.43055-0.24877i,0.44502-0.1833i,0.30221-0.12726i,0.22055-0.064434i,0.22213-0.031095i,0.17646-0.02794i,0.086361-0.0043689i,0.026033+0.028655i,0.016445+0.040164i,0.038052+0.022358i,0.046049-0.0086803i,0.030027-0.020991i,0.014476-0.020088i,0.0077844-0.019938i,0.0026899-0.02047i,-0.0041677-0.018718i,-0.00088244-0.0070131i,0.01425+0.005412i,0.023118+0.0062507i,0.023084+0.0030392i,0.023137-0.0027213i,0.019404-0.013453i
-0.28952-0.039676i,-0.38611+0.19405i,-0.19239+0.34978i,0.07039+0.22709i,0.087341+0.05707i,-0.030887+0.057636i,-0.061206+0.12259i,0.00042668+0.11816i,0.046979+0.038767i,0.014207-0.0066555i,-0.023454+0.029096i,-0.021256+0.056872i,-0.022352+0.051115i,-0.018408+0.044985i,-0.00042984+0.0299i,0.01473+0.0092023i,0.027842-0.0013842i,0.032224-0.0047775i,0.022514-0.0062933i,0.011313-0.0029876i,0.0046487+0.006846i,0.0035817+0.013846i,0.0069762+0.010714i
0.039638-0.72148i,-0.16914-0.94554i,-0.31294-0.67866i,-0.20444-0.20061i,-0.042586+0.035641i,-0.023661+0.037878i,-0.055499+0.019313i,-0.049023+0.029492i,-0.0151+0.050671i,0.016763+0.040681i,0.014618+0.0036077i,-0.0018343-0.018197i,-0.0029573-0.024211i,-0.0038095-0.019339i,-0.010468-0.0016825i,-0.015398+0.01585i,-0.02675+0.018643i,-0.04478+0.014929i,-0.04696+0.019513i,-0.031774+0.025369i,-0.021356+0.027392i,-0.02198+0.033578i,-0.022082+0.040921i
1.0303+0.13364i,1.2735+0.037641i,0.93852-0.051741i,0.38168-0.0214i,0.10319+0.043433i,0.09977+0.019102i,0.10106-0.046521i,0.028105-0.034876i,-0.022727+0.026912i,-0.015702+0.04911i,0.0085411+0.028267i,0.026664+0.0016406i,0.022311-0.013946i,0.003683-0.016042i,-0.00057256-0.011027i,0.0020349-0.011197i,0.0073506-0.014044i,0.023973-0.016682i,0.032631-0.01818i,0.019894-0.013496i,8.0107e-06-0.010799i,-0.012276-0.016278i,-0.015099-0.022507i
-0.29731+0.69339i,-0.42445+0.85618i,-0.38641+0.64323i,-0.24503+0.27818i,-0.174+0.10179i,-0.14901+0.13943i,-0.082854+0.18631i,-0.018384+0.11353i,-0.023676+0.00030579i,-0.064104-0.027852i,-0.063124+0.019279i,-0.028712+0.059736i,-0.0010018+0.063599i,0.01558+0.046646i,0.014556+0.024292i,0.0097685+0.0039996i,0.011412-0.0072047i,0.0050434-0.003214i,-0.0064679+0.0073359i,-0.011383+0.010707i,-0.00895+0.004894i,-0.0054457-0.0032154i,-0.0040255-0.0089429i
-0.45002-0.28068i,-0.5009-0.45378i,-0.34503-0.38658i,-0.11225-0.18993i,-0.010044-0.13978i,-0.062527-0.16722i,-0.11579-0.13644i,-0.10117-0.064037i,-0.03599-0.0078016i,0.013157-0.023709i,-0.015399-0.058942i,-0.05689-0.049063i,-0.053479-0.027987i,-0.040771-0.012959i,-0.028571+0.0062055i,-0.01252+0.020852i,-0.0077768+0.024441i,-0.016535+0.019565i,-0.021198+0.012741i,-0.017998+0.0054996i,-0.018362+4.3475e-05i,-0.017724+0.0036357i,-0.0053487+0.0086943i
0.30851+0.16822i,0.63083+0.15073i,0.61215+0.014374i,0.266-0.063248i,0.013773-0.013813i,-0.0091369+0.018542i,0.026034-0.025863i,0.0036619-0.074933i,-0.041536-0.055584i,-0.014928-0.0024079i,0.046575-0.0069459i,0.057955-0.039327i,0.035371-0.036476i,0.015852-0.016885i,0.0044835-0.0023853i,5.9682e-05+0.0069524i,0.0080011+0.0060473i,0.02622-0.014374i,0.030729-0.037965i,0.019417-0.038153i,0.013107-0.026167i,0.011963-0.020561i,0.0087993-0.012607i
-0.88591+0.15948i,-1.0825+0.51062i,-0.82778+0.57362i,-0.39413+0.27031i,-0.12905-0.0061152i,-0.022274-0.027002i,0.064605+0.050067i,0.11716+0.033004i,0.078511-0.033052i,0.016998-0.028963i,0.01215+0.01104i,0.028488+0.02559i,0.034114+0.020914i,0.030106+0.0054727i,0.011821-0.0067876i,-0.0044736-0.008916i,-0.012666-0.0033277i,-0.016183+0.016834i,-0.0088822+0.033801i,0.0039069+0.028246i,0.015201+0.015372i,0.019794+0.0089076i,0.010034+0.0086304i
-0.39724-1.1457i,-0.50909-1.2045i,-0.26264-0.79398i,0.070149-0.3986i,0.1281-0.27411i,-0.018635-0.23308i,-0.1216-0.13636i,-0.078546-0.022031i,0.017443+0.0069979i,0.020632-0.025559i,-0.039164-0.01813i,-0.071208+0.014595i,-0.074253+0.033373i,-0.06189+0.038537i,-0.042324+0.026795i,-0.024916+0.015118i,-0.0087811+0.0079714i,-0.0011107-0.0043586i,-0.0027667-0.011792i,-0.0084412-0.0067915i,-0.014408+0.0097347i,-0.012705+0.021123i,-0.0032166+0.0099091i
0.75598-0.51911i,0.77798-0.54742i,0.48057-0.32777i,0.18966-0.056296i,0.10656+0.1033i,0.11452+0.12595i,0.095246+0.06769i,0.017691+0.0074047i,-0.052025+0.021152i,-0.025309+0.058123i,0.037137+0.02281i,0.046328-0.04267i,0.024274-0.066159i,0.0085149-0.054768i,0.0022579-0.032539i,-0.00074098-0.011369i,0.0013302+0.0016778i,0.0091883-5.4558e-05i,0.011568-0.010284i,0.0090324-0.011347i,0.0065962-0.0031142i,0.0065625+0.0052413i,0.0089981+0.01312i
0.33973-0.063624i,0.082767+0.079495i,-0.12936+0.26052i,-0.085198+0.2576i,-0.0097645+0.086491i,-0.029036-0.04442i,-0.043307-0.048619i,0.0040067-0.008485i,0.04152-0.015i,0.010956-0.036945i,-0.01718-0.016298i,-0.0019499+0.0014953i,0.0046651-0.014661i,-0.007127-0.030758i,-0.014134-0.034191i,-0.017813-0.031177i,-0.021176-0.015604i,-0.013276+0.012271i,0.0049684+0.030142i,0.011152+0.023922i,-0.00061088+0.011444i,-0.017188+0.012624i,-0.029947+0.021172i
0.67541-0.2549i,0.55551-0.51927i,0.26737-0.52672i,0.097974-0.29049i,0.063595-0.081976i,0.062381-0.0053282i,0.036899+0.021698i,0.0065703+0.05997i,0.013832+0.055374i,0.00030324+0.0029638i,-0.041001-0.0012925i,-0.044807+0.037452i,-0.016671+0.057754i,0.0083569+0.048261i,0.012275+0.022921i,0.0033285+0.0060041i,0.00022305-0.0053508i,-0.0073477-0.022228i,-0.025861-0.027373i,-0.037288-0.013011i,-0.032672+0.0011016i,-0.020978-0.0023615i,-0.013723-0.020049i
0.56044+0.74892i,0.52811+0.59346i,0.20722+0.33688i,-0.026566+0.23352i,-0.039807+0.18359i,0.0014363+0.11669i,0.0039786+0.047845i,-0.045789+0.00018831i,-0.072904+0.02061i,-0.020697+0.030753i,0.0065691-0.021996i,-0.020027-0.064343i,-0.034341-0.071316i,-0.023083-0.054969i,0.0030924-0.031006i,0.019682-0.022775i,0.016314-0.011635i,0.011769+0.010725i,0.010236+0.02037i,0.0088788+0.011256i,0.010512-0.0084092i,0.01599-0.019664i,0.030087-0.013005i
-0.076705+0.57639i,0.034879+0.36036i,0.063512+0.044683i,-0.0050165-0.04418i,-0.087525-0.022504i,-0.17838-0.035886i,-0.20931-0.035362i,-0.13458-0.036833i,-0.054546-0.055816i,-0.019391-0.05347i,0.0097423-0.035835i,0.033034-0.025173i,0.026652-0.012035i,0.010092+0.0061421i,0.0098383+0.011481i,0.018491+0.0029074i,0.017291-0.001688i,0.013361-0.0011804i,0.01772-0.0041951i,0.01357-0.008121i,-0.0018465-0.0056655i,-0.019069+0.0032672i,-0.034102+0.015551i
-0.21405+0.43933i,-0.024829+0.4235i,0.068338+0.20892i,0.035431+0.048703i,0.11159+0.021429i,0.27108-0.015576i,0.30604-0.067063i,0.20256-0.059658i,0.10534-0.002769i,0.087256+0.037605i,0.084693+0.031804i,0.060304+0.027256i,0.051506+0.031111i,0.045595+0.016364i,0.018933+0.011059i,-0.0015247+0.024553i,-0.0063117+0.024343i,-0.013903+0.0079544i,-0.029559-0.0016726i,-0.03049+0.0017432i,-0.0058933+0.0038709i,0.015379-0.0085121i,0.010511-0.019953i
-0.94755+0.39387i,-0.86501+0.6113i,-0.43646+0.51959i,-0.1296+0.19115i,-0.16298-0.0020617i,-0.27479+0.077439i,-0.2239+0.18036i,-0.096243+0.123i,-0.054847+0.033846i,-0.052103+0.035367i,-0.024703+0.051003i,-0.018872+0.036465i,-0.037797+0.039418i,-0.029205+0.066857i,0.0032868+0.070921i,0.011589+0.039285i,-0.0073398+0.014342i,-0.015658+0.018634i,-0.00047571+0.026631i,0.014233+0.021062i,0.014928+0.018932i,0.022676+0.027054i,0.044695+0.023089i
-0.39889-1.0241i,-0.38371-1.2065i,-0.25356-0.98284i,-0.088477-0.53669i,0.064216-0.23661i,0.074112-0.14752i,0.0043123-0.057476i,0.020033+0.029924i,0.045945+0.018126i,0.017064+0.0089555i,0.029096+0.023057i,0.055251+0.00021928i,0.03499-0.019934i,0.0012599-0.018246i,-0.014372-0.004444i,-0.0017697+0.014517i,0.017561+0.0093186i,0.011051-0.015634i,-0.009668-0.023514i,-0.019713-0.0073692i,-0.024778+0.010736i,-0.031687+0.0188i,-0.030696+0.018798i
0.57631-0.22258i,0.73379+0.085643i,0.63405+0.35105i,0.34028+0.39172i,0.097404+0.42969i,0.046108+0.503i,0.097629+0.42782i,0.11144+0.2457i,0.084633+0.13128i,0.085003+0.093832i,0.087481+0.06097i,0.049013+0.031695i,-0.0093896+0.016048i,-0.063275+0.0024775i,-0.10705+0.0022052i,-0.12233+0.021783i,-0.094229+0.038118i,-0.047377+0.038717i,-0.015948+0.033543i,-0.00169+0.020753i,-0.00040886-0.0034533i,-0.010828-0.024328i,-0.016971-0.023551i
-0.13663-0.16394i,-0.34336+0.02498i,-0.28157+0.11574i,-0.089373-0.032519i,-0.085893-0.18874i,-0.23469-0.16578i,-0.32858-0.03354i,-0.27265+0.060854i,-0.17139+0.057368i,-0.14259+0.03659i,-0.12141+0.070815i,-0.058792+0.10028i,-0.00049717+0.088186i,0.025156+0.056861i,0.012486+0.011981i,-0.019131-0.032004i,-0.035821-0.047848i,-0.027249-0.0381i,-0.012717-0.033787i,-0.011392-0.035778i,-0.011056-0.017055i,0.0028443+0.022212i,0.021987+0.052741i
0.72287-0.37893i,0.49935-0.69642i,0.090719-0.58981i,-0.039505-0.10597i,0.12126+0.33584i,0.29973+0.50225i,0.30422+0.37819i,0.14886+0.19507i,0.0774+0.13137i,0.12873+0.05136i,0.10871-0.054365i,0.037074-0.067087i,0.020873-0.037716i,0.028664-0.03655i,0.014866-0.044424i,-0.0019227-0.024054i,0.019773+0.0060839i,0.045464-0.0073421i,0.032095-0.040633i,0.021326-0.047907i,0.027382-0.048783i,0.021228-0.053179i,0.012514-0.047374i
0.68628+0.67065i,0.80281+0.60396i,0.5746+0.37564i,0.13868+0.21824i,-0.27677+0.20824i,-0.46886+0.31025i,-0.32158+0.29923i,-0.12499+0.07725i,-0.10974-0.036371i,-0.074439+0.023597i,-0.020413+0.018479i,-0.055536-0.0027307i,-0.065885+0.0099643i,-0.028558-0.039592i,-0.0028111-0.12618i,-0.00073662-0.17221i,-0.012852-0.13566i,-0.0051719-0.054926i,0.020592-0.0024142i,0.03272+0.019111i,0.032333+0.031828i,0.033381+0.038468i,0.034258+0.034551i
-2.3218+7.3409i,0.043194+7.2605i,3.0128+6.0147i,4.11+2.5595i,3.5585-0.72624i,1.7702-2.4074i,0.0023087-1.9158i,-0.67212-0.61419i,-0.11403+0.21604i,0.81976-0.07634i,0.87669-0.88583i,0.30923-1.3412i,-0.29501-1.8324i,-1.0027-2.5019i,-1.2916-2.4869i,-0.83158-1.4577i,-0.29298-0.40304i,-0.31767+0.082115i,-0.68776+0.36032i,-0.67007+0.66063i,-0.14335+0.76723i,0.37945+0.48773i,0.45716+0.021173i
-0.28872+0.15859i,-0.15936+0.13298i,-0.024465+0.058909i,0.027248-0.031889i,0.053676-0.17082i,0.044934-0.29106i,-0.024896-0.283i,-0.07853-0.16879i,-0.054988-0.050645i,-0.014308-0.016249i,-0.039699+0.002097i,-0.068706+0.069324i,-0.058763+0.11191i,-0.046888+0.10405i,-0.029116+0.079182i,-0.011114+0.044815i,-0.016955+0.013449i,-0.018924+0.0086817i,0.0041949+0.011979i,0.020334+0.0008423i,0.014266-0.0093796i,-0.0022441-0.016983i,-0.023008-0.027064i
-0.73544-0.071006i,-0.69641-0.046091i,-0.34884-0.059526i,-0.017324-0.11461i,0.12655-0.11637i,0.16193-0.072132i,0.1188-0.052247i,0.03948-0.032538i,-0.01085-0.018918i,-0.02887-0.0044324i,-0.0048164+0.0037076i,0.030586-0.027208i,0.019132-0.041258i,-0.011274-0.00018258i,-0.030638+0.030816i,-0.048263+0.029258i,-0.043986+0.025506i,-0.011868+0.026769i,0.019284+0.02205i,0.025154+0.016123i,0.016192+0.02801i,0.020771+0.047692i,0.032607+0.057434i
-0.13471-0.82716i,-0.19109-0.73098i,-0.19937-0.32801i,-0.12629-0.041911i,-0.11301-0.10583i,-0.25898-0.30577i,-0.35511-0.35504i,-0.2637-0.24142i,-0.13869-0.11048i,-0.090491-0.023053i,-0.063263+0.036272i,-0.017364+0.052588i,0.020046+0.027395i,0.040669+0.012228i,0.070272+0.017622i,0.09129+0.0072694i,0.075613-0.012166i,0.042041-0.01738i,0.012442-0.017954i,-0.012165-0.018309i,-0.034911-0.014056i,-0.059826-0.0018021i,-0.069512+0.026599i
0.46845+0.25571i,0.73478+0.42752i,0.79888+0.25365i,0.4992-0.04007i,0.14039-0.027929i,0.047831+0.11782i,0.057678+0.11472i,0.010875+0.064412i,-0.032683+0.05411i,-0.03476+0.046848i,-0.016788+0.038389i,0.01027+0.048478i,0.053947+0.069351i,0.10794+0.062375i,0.11901+0.024217i,0.067655-0.0021048i,0.011855+0.0026185i,-0.0029886+0.015194i,0.0082402+0.011252i,0.009029-0.0024988i,0.0002017-0.0092484i,0.0075884-0.0066901i,0.023015-0.0076924i
-0.11404-0.10891i,-0.5609-0.027876i,-0.77713+0.16111i,-0.50317+0.25935i,-0.057765+0.16435i,0.22408+0.0038166i,0.26746-0.075648i,0.19349-0.056226i,0.13968-0.063707i,0.059806-0.11947i,-0.044577-0.1045i,-0.076081-0.039334i,-0.040913-0.015062i,-0.001297-0.016342i,0.019161-0.012188i,0.024551-0.013741i,0.01958-0.021121i,0.0038255-0.016418i,-0.012375-0.0028155i,-0.014951+0.0017299i,-0.0092172-0.0047102i,-0.0065035-0.0085699i,-0.0057034-0.005315i
0.79059-0.018544i,0.87136-0.34726i,0.64247-0.50297i,0.33239-0.39397i,0.029281-0.23791i,-0.2359-0.084366i,-0.29266+0.023551i,-0.20194+0.02048i,-0.1226+0.025466i,-0.043092+0.04301i,-0.0029879+0.018281i,-0.017683+0.016169i,-0.015184+0.044774i,0.023892+0.055838i,0.068037+0.031084i,0.074289-0.0065037i,0.042123-0.01531i,0.013719-0.0062293i,0.0053004-0.0031268i,0.0052864-0.0040093i,0.0049545-0.013576i,0.0011585-0.026266i,8.7503e-05-0.035161i
-0.15311+0.72453i,-0.009288+0.77499i,0.055149+0.52166i,-0.024046+0.26967i,0.02878+0.19638i,0.25522+0.12897i,0.34555+0.00020112i,0.22221-0.058123i,0.097225-0.041722i,0.060173-0.03602i,0.053225-0.056799i,0.042768-0.084338i,0.029653-0.10575i,0.015352-0.10098i,0.011764-0.066014i,0.015644-0.027063i,0.010949+0.0053043i,0.011497+0.034215i,0.025105+0.046179i,0.038961+0.035659i,0.051434+0.017367i,0.056773-0.0016395i,0.047141-0.0093207i
-0.40793+0.12609i,-0.38626+0.19602i,-0.19602+0.19075i,0.02138+0.0096001i,0.05869-0.2302i,-0.05701-0.29287i,-0.094859-0.18839i,-0.029385-0.099879i,0.014074-0.056618i,0.018965-0.017168i,0.014884+0.016092i,0.021822+0.041558i,0.043111+0.048033i,0.0542+0.037326i,0.048385+0.022495i,0.029999+0.0058697i,0.0019841-0.010902i,-0.021132-0.01831i,-0.024609-0.010517i,-0.0072576+0.0024363i,0.010519+0.0069713i,0.0082501+0.0029195i,-0.01336-0.0045483i
-0.18109+0.017502i,-0.0059241-0.14031i,0.10941-0.39717i,7.4726e-05-0.42337i,-0.11598-0.18768i,-0.10665+0.0096758i,-0.08105+0.085711i,-0.063137+0.10672i,-0.045413+0.099348i,-0.02219+0.089001i,0.0093204+0.057096i,0.014836+0.019297i,0.0099122+0.013408i,0.021369+0.010121i,0.036626+0.00056339i,0.042783-0.00071393i,0.034221+0.0036649i,0.021354+0.011617i,0.015744+0.017773i,0.014675+0.024664i,0.018566+0.031945i,0.032435+0.02044i,0.041792-0.011456i
-0.3569-0.65679i,-0.49153-0.39824i,-0.32383+0.1005i,0.037034+0.28073i,0.23601+0.12558i,0.19065-0.013251i,0.090392-0.044014i,0.052856-0.036474i,0.055425-0.038206i,0.029021-0.045712i,-0.01309-0.025746i,-0.027289-0.0019352i,-0.024565-0.0019438i,-0.015187-0.0035276i,0.0012028-0.0051117i,0.010418-0.017114i,0.010861-0.02986i,0.010549-0.035986i,0.0090493-0.033218i,0.0065394-0.027885i,-0.0038619-0.021254i,-0.021508-0.0033359i,-0.026246+0.01985i
0.74728-0.4149i,0.84157-0.63363i,0.56087-0.70475i,0.14292-0.51829i,-0.095275-0.24011i,-0.11277-0.096934i,-0.058657-0.064706i,-0.027949-0.032187i,-0.025124+0.021174i,-0.015471+0.049952i,0.0076491+0.039704i,0.025457+0.020609i,0.029589+0.009258i,0.022687+0.00043072i,0.01797+0.00027194i,0.018173+0.010677i,0.015415+0.020883i,0.010646+0.02213i,0.006698+0.015556i,-0.00081569+0.011965i,-0.012091+0.0097542i,-0.019457+0.0030251i,-0.020545-0.0040898i
0.12087+0.40363i,0.019019+0.62687i,-0.038935+0.63989i,-0.037595+0.43008i,-0.017909+0.21099i,0.024456+0.063124i,0.028845-0.032743i,-0.0085948-0.052186i,-0.036573-0.047521i,-0.057117-0.042598i,-0.061499-0.010666i,-0.038138+0.012857i,-0.0082957+0.0069627i,0.019015+0.0028872i,0.036188+0.009307i,0.03113+0.0096154i,0.016352+0.0076116i,0.0095184+0.010205i,0.011893+0.0081668i,0.015942-0.007163i,0.014591-0.030746i,-0.0024017-0.045668i,-0.027225-0.036651i
0.22636-0.02051i,0.055019-0.19677i,-0.069388-0.24693i,-0.0083645-0.21682i,0.012848-0.1722i,-0.030126-0.033399i,-0.015151+0.080791i,0.0058619+0.082158i,0.017969+0.05792i,0.031521+0.019458i,0.0094964-0.0075361i,-0.012624+0.0081662i,-0.0058798+0.028596i,-0.00069305+0.030136i,-0.0085276+0.014995i,-0.015953+0.00059734i,-0.013926-0.0028124i,-0.0086843-0.006103i,-0.004151-0.010808i,0.0039132-0.0066294i,0.015463+0.00499i,0.02225+0.011177i,0.015936+0.0060491i
-0.099453+0.41626i,0.0026739+0.16064i,-0.030525-0.17486i,-0.14634-0.20807i,-0.14111-0.10462i,-0.093308-0.10841i,-0.075351-0.13424i,-0.063487-0.11929i,-0.057874-0.077603i,-0.024573-0.03617i,0.0053652-0.044213i,-0.0066298-0.062549i,-0.018554-0.052663i,-0.0081914-0.034382i,0.014151-0.016699i,0.028632-0.0086504i,0.019989-0.0044434i,0.0028919+0.001417i,-0.0056796+0.0034645i,-0.0030782-0.00076064i,0.0025336-0.017583i,0.0037676-0.036313i,0.0065329-0.041975i
