0.0010756-0.00043524i,0.00060728-0.00020601i,-0.00087196+0.00053246i,-0.00075884+0.00089681i,0.00022592+0.00055176i,0.00017571+0.00035722i,0.00037371+0.0006903i,0.00023404+0.00072249i,-0.00024712+0.00044239i,0.00064769+0.00021168i,0.00045058-0.00090688i,-0.00079594-0.0016872i,-0.00084328-0.0013633i,-5.0717e-05-0.0011714i,1.5827e-06-0.00059943i,-0.00019209+0.00033213i,-0.00078617+0.0009749i,-0.00062725+0.00095744i,0.00051732+0.00051051i,2.8429e-05-0.00023252i,-0.00049291-0.00032431i,-0.00041126+0.00028875i,-0.00028547+0.0001955i
-0.067771+0.54833i,-0.12325+0.52436i,-0.16361+0.3503i,-0.12263+0.23673i,-0.056636+0.21849i,-0.054358+0.2171i,-0.074184+0.189i,-0.06158+0.14229i,-0.027002+0.098325i,0.0086469+0.047875i,0.032325-0.003258i,0.047722-0.029074i,0.050119-0.033553i,0.033049-0.028883i,0.013701-0.019836i,0.003322-0.017073i,-0.0020135-0.020265i,-0.0013264-0.019971i,0.0064437-0.015367i,0.015702-0.0090686i,0.023741-0.0013252i,0.03204+0.00091701i,0.030645-0.005294i
-0.52802-0.18494i,-0.48129-0.19496i,-0.28034-0.15478i,-0.16024-0.11055i,-0.1517-0.088108i,-0.14004-0.04045i,-0.07357+0.021301i,0.015961+0.018078i,0.049296-0.032502i,0.026437-0.031059i,0.017375+0.024105i,0.031452+0.065382i,0.037887+0.063367i,0.026144+0.036782i,0.0095413+0.015286i,0.0039637+0.007581i,0.0054611+0.0060562i,0.0048265+0.0069158i,0.0012861+0.010684i,-0.0036908+0.01418i,-0.0094274+0.01908i,-0.010687+0.029381i,-0.0045276+0.034525i
0.33979-0.53137i,0.40151-0.54686i,0.37557-0.3795i,0.28785-0.21099i,0.18331-0.14038i,0.086116-0.14178i,0.0043663-0.14682i,-0.060591-0.10514i,-0.078423-0.043351i,-0.052976-0.010138i,-0.04204-0.0021659i,-0.058849+0.011485i,-0.057103+0.030657i,-0.027525+0.029761i,-0.0045935+0.012442i,0.0037235+0.0034145i,0.0096101+0.0072031i,0.012316+0.013924i,0.009727+0.017938i,0.0022902+0.016757i,-0.01294+0.011782i,-0.026831+0.013058i,-0.024378+0.017541i
0.46755+0.44257i,0.47814+0.42941i,0.34283+0.26341i,0.246+0.092827i,0.21918+0.0058652i,0.17051-0.057622i,0.053548-0.091354i,-0.028305-0.037922i,-0.0023826+0.023993i,0.038221+0.0057736i,0.022502-0.041088i,-0.0081537-0.059287i,-0.025637-0.053922i,-0.029404-0.035437i,-0.019024-0.017965i,-0.012797-0.011294i,-0.017077-0.0082997i,-0.017749-0.0063172i,-0.012918-0.0066294i,-0.007102-0.0093012i,-0.0022727-0.017214i,-0.0048013-0.027997i,-0.011684-0.030627i
-0.52884+0.40926i,-0.51141+0.4872i,-0.34208+0.39511i,-0.20202+0.26324i,-0.1539+0.18845i,-0.10886+0.16366i,-0.026104+0.10757i,0.014963+0.0051345i,0.0012427-0.047803i,0.0020559-0.021186i,0.043063+0.0063281i,0.080792-0.0079942i,0.074708-0.028011i,0.042631-0.019423i,0.018032+0.00021533i,0.0065282+0.0070545i,-0.0026217+0.0038059i,-0.013259-0.00048418i,-0.020876-0.00027536i,-0.019291+0.0025258i,-0.0059471-0.00033007i,0.0097255-0.0090675i,0.014994-0.01359i
-0.27609-0.60427i,-0.30618-0.55691i,-0.13009-0.28001i,0.05833-0.020352i,0.087091+0.10317i,0.058098+0.13813i,0.07134+0.10535i,0.05967+0.032888i,-0.0018059+0.010036i,-0.028632+0.030227i,-0.020718+0.034956i,-0.014261+0.041393i,0.0050069+0.048223i,0.021253+0.030367i,0.015808+0.011293i,0.012411+0.0075638i,0.020464+0.0060212i,0.027016+0.0027496i,0.022557-0.00042397i,0.010057-0.0018092i,0.0015119+0.0032916i,0.003239+0.014127i,0.01172+0.019913i
0.67559-0.1727i,0.68276-0.27652i,0.45181-0.19749i,0.23788-0.061655i,0.15152-0.083597i,0.088724-0.16186i,0.038925-0.14852i,0.049464-0.096398i,0.064067-0.076045i,0.031003-0.070572i,-0.025021-0.047889i,-0.066046-0.0054517i,-0.074333+0.028589i,-0.058984+0.034947i,-0.035622+0.023647i,-0.017242+0.012496i,-0.0042422+0.0068818i,0.0048833+0.0014041i,0.0077745-0.0055085i,0.0058081-0.010291i,-0.0013121-0.0088328i,-0.012253-0.0003037i,-0.017864+0.009785i
0.054319+0.69429i,0.16519+0.7529i,0.092759+0.55776i,-0.095116+0.33214i,-0.15441+0.20202i,-0.097406+0.083975i,-0.062411-0.011556i,-0.052527-0.036723i,-0.030758-0.032811i,0.0031293-0.020744i,0.039592-0.019988i,0.042165-0.043758i,0.0096898-0.051812i,-0.0064833-0.032295i,-0.00059201-0.011358i,-0.00074967+7.7557e-05i,-0.016637+0.0089949i,-0.031382+0.01747i,-0.029329+0.019202i,-0.016203+0.014264i,-0.0036094+0.0047307i,-0.0012381-0.0081957i,-0.0073066-0.013303i
-0.64773-0.044003i,-0.68747+0.14663i,-0.45396+0.23149i,-0.16832+0.15561i,0.023587+0.084855i,0.14787+0.081361i,0.18381+0.070187i,0.13412+0.06533i,0.080182+0.085404i,0.055799+0.081928i,0.043886+0.050166i,0.046155+0.010085i,0.055893-0.03404i,0.042259-0.056529i,0.012224-0.042352i,-0.005149-0.016893i,-0.0094664-0.00088889i,-0.008222+0.0045101i,-0.0055255+0.0011917i,-0.0050579-0.0023686i,0.0009389-0.001967i,0.013375-0.0068436i,0.018971-0.016105i
0.17125-0.5973i,-0.040267-0.67037i,-0.15527-0.50233i,-0.070095-0.30268i,0.011288-0.19996i,0.026456-0.12461i,0.063508-0.049666i,0.08919-0.035057i,0.057177-0.054031i,-0.0024076-0.044197i,-0.036779-0.0026351i,-0.026474+0.036336i,-0.0040656+0.049242i,0.0005069+0.042251i,-0.0077815+0.029007i,-0.0098669+0.014632i,0.0019395-0.0056393i,0.013759-0.02832i,0.011264-0.037717i,-0.00038703-0.027704i,-0.0051368-0.0065691i,0.0025795+0.010575i,0.012294+0.016219i
0.47507+0.27798i,0.5085+0.06019i,0.2674-0.058968i,0.0082449+0.067091i,-0.097402+0.20372i,-0.14671+0.24287i,-0.15992+0.23465i,-0.10986+0.16038i,-0.074613+0.058449i,-0.046145+0.0074042i,-0.0032027-0.015045i,0.00083499-0.016662i,-0.013549+0.025128i,0.00027499+0.05518i,0.016027+0.036318i,0.0089739+0.0065622i,-0.0037394-0.0062318i,-0.0080824-0.0056914i,-0.00296-0.0008979i,0.0074074+0.0020138i,0.0073107+0.0031561i,-0.0040629+0.010506i,-0.010116+0.024522i
-0.34007+0.39985i,-0.08925+0.55833i,0.10504+0.4745i,0.037152+0.28237i,-0.038689+0.16295i,-0.022516+0.11233i,-0.019586+0.10308i,-0.0038594+0.10737i,0.039407+0.074247i,0.05272+0.027603i,0.036933+0.0002592i,0.015197-0.017282i,-0.0019081-0.03126i,-0.0091715-0.035822i,-0.0093691-0.025949i,-0.00815-0.0092462i,-0.0081882+0.0096221i,-0.0018557+0.025437i,0.0095644+0.025712i,0.013693+0.012183i,0.0073964+0.00025624i,-0.0045165-0.0042022i,-0.016987-0.0056843i
-0.1806-0.39715i,-0.28607-0.18834i,-0.19919+0.018442i,-0.065265-0.030582i,-0.049484-0.16134i,-0.055709-0.2173i,-0.05334-0.22536i,-0.067878-0.16645i,-0.057726-0.081123i,-0.044964-0.029176i,-0.040024+0.010279i,-0.019955+0.016713i,-0.0155-0.015084i,-0.030454-0.027787i,-0.028067-0.012355i,-0.0082297+0.00074974i,0.0052547+0.00016728i,0.0073866-0.0036475i,0.0045269-0.0014152i,-0.0020219+0.0036004i,-0.0041177+0.0057996i,0.00065444-0.0013309i,-0.00029524-0.014952i
0.36673-0.096571i,0.088803-0.30444i,-0.2453-0.35317i,-0.22731-0.21635i,0.019305-0.08623i,0.12047-0.066901i,0.051218-0.094321i,-0.03247-0.066927i,-0.04073+0.0051743i,-0.0046926+0.027141i,0.0074558+0.0096028i,0.0058404+0.014064i,0.014739+0.033324i,0.026024+0.036744i,0.027274+0.018006i,0.014269-0.0055766i,-0.0033792-0.017171i,-0.015645-0.015084i,-0.016607-0.0057978i,-0.0094922-0.0002937i,-0.0040076+0.00099704i,0.00079136+0.0028005i,0.011121+0.0034632i
-0.14684+0.43166i,-0.071977+0.26833i,-0.063279-0.0071524i,-0.081189-0.082768i,-0.026769+0.0012118i,0.05879+0.046844i,0.1071+0.034127i,0.1103-0.020299i,0.07524-0.060784i,0.042079-0.046068i,0.02601-0.020463i,0.016705-0.002497i,0.022866+0.0095509i,0.031848+0.0080363i,0.021847+0.0028076i,0.0041695+0.0055386i,-0.00060705+0.013426i,0.0030865+0.015878i,0.00015801+0.0097452i,-0.0049948+0.00050887i,-0.0075167-0.0025489i,-0.0055678+0.0046432i,0.0043537+0.010479i
-0.275-0.23092i,-0.012135-0.075586i,0.3222+0.025984i,0.32968+0.022828i,0.097903+0.035416i,-0.029961+0.081953i,0.00028919+0.06388i,0.033123-0.012083i,-0.006151-0.055738i,-0.040149-0.032609i,-0.029082-0.0099162i,-0.025352-0.019036i,-0.036579-0.026028i,-0.039823-0.017665i,-0.026513-5.705e-05i,-0.0024403+0.011374i,0.014616+0.0086976i,0.017889-0.0003179i,0.0097909-0.0073396i,0.0024634-0.0045011i,0.0047084-2.4634e-05i,0.0044738-0.0021378i,-0.0087694-0.00092229i
0.42464-0.32895i,0.35155-0.2769i,0.27613-0.077453i,0.25284+0.0084946i,0.19786-0.052719i,0.11219-0.095683i,0.051319-0.059036i,0.041175+0.010503i,0.06592+0.038145i,0.061369+0.013326i,0.028796-0.0043258i,-0.00076699-0.0023578i,-0.028276+0.0064309i,-0.039327+0.014421i,-0.029174+0.010635i,-0.019571-1.7152e-05i,-0.020659-0.0032325i,-0.020281+0.00011323i,-0.011185+0.000174i,-0.0010792-0.00030667i,0.0049887-0.000236i,0.0028641-0.0013988i,-0.0048186+0.00082752i
0.089657+0.53061i,-0.058011+0.45199i,-0.32177+0.33259i,-0.38625+0.29037i,-0.21741+0.2152i,-0.074949+0.09734i,-0.030217+0.047622i,-0.0062365+0.051883i,0.0081462+0.044807i,0.0102+0.033417i,0.022235+0.034158i,0.040853+0.028405i,0.042019+0.014802i,0.030362+0.0068874i,0.014279+0.0015938i,-0.0056823+0.0019439i,-0.019657+0.0078632i,-0.020854+0.012336i,-0.010818+0.011758i,-0.0021485+0.0038121i,-0.003267+0.0019225i,-0.0011854+0.0062446i,0.0097758+0.0002899i
-0.52325+0.1084i,-0.43666+0.1872i,-0.29941+0.13136i,-0.22495+0.10636i,-0.10484+0.21661i,0.063622+0.28622i,0.13826+0.21411i,0.087313+0.11296i,0.0069035+0.06689i,-0.034852+0.045107i,-0.048092+0.01691i,-0.042288-0.0029664i,-0.013514-0.014344i,0.010396-0.022134i,0.015304-0.01774i,0.013335-0.012311i,0.0092876-0.018223i,0.0041825-0.024035i,0.00037235-0.020518i,-0.00087032-0.011094i,-0.00011199-0.0025312i,-7.5679e-05-0.00034696i,-0.0016765-0.0044869i
0.1297-0.67826i,0.066289-0.70042i,0.09196-0.56636i,0.14463-0.42834i,0.13606-0.29913i,0.10869-0.17399i,0.094476-0.081295i,0.088432-0.054588i,0.066033-0.084771i,0.013954-0.098475i,-0.028488-0.066348i,-0.039786-0.028573i,-0.034088-0.0083947i,-0.021148-0.0011512i,-0.0053022-0.001272i,0.0050097-0.0075121i,0.0085384-0.015482i,0.0086502-0.019386i,0.0034333-0.016493i,-0.0020093-0.0075463i,-0.0026091-0.00052244i,-0.0037631+0.0043338i,-0.002888+0.013349i
0.44174+0.26791i,0.32159+0.097221i,0.10749+0.0082314i,0.0064163+0.047714i,-0.062425+0.055419i,-0.17321+0.030794i,-0.23003+0.049222i,-0.18398+0.06779i,-0.1009+0.056682i,-0.019711+0.045944i,0.046313+0.030087i,0.06067+0.0016781i,0.028524-0.0062868i,0.001616+0.0077741i,-0.006124+0.015966i,-0.0032884+0.019312i,0.0065228+0.02549i,0.016451+0.027791i,0.020747+0.018735i,0.014574+0.0050787i,0.0046778+0.0006574i,0.0019239+0.0032141i,0.0031926+0.0059394i
-0.32578+0.55713i,-0.063512+0.67162i,0.091718+0.55747i,0.0056146+0.39811i,-0.067399+0.31092i,-0.057212+0.24137i,-0.069916+0.17096i,-0.07195+0.14994i,-0.02172+0.14394i,0.017008+0.10193i,0.013943+0.051855i,0.0068593+0.021831i,0.0096108+0.0074431i,0.0067352+0.006518i,0.00022207+0.013395i,-0.0029931+0.017153i,-0.0041386+0.019238i,0.0003998+0.020636i,0.0087828+0.012367i,0.011334-0.0011704i,0.0076911-0.0098322i,4.7e-05-0.013435i,-0.011311-0.016733i
-0.18448-0.65877i,-0.16216-0.55921i,-0.088408-0.37927i,-0.12546-0.30521i,-0.17366-0.2588i,-0.10569-0.2028i,-0.019044-0.18057i,0.0050536-0.1676i,-0.0046203-0.15123i,-0.037655-0.12903i,-0.06586-0.074868i,-0.047989-0.013061i,-0.013417+0.011703i,0.0025945+0.0078325i,0.0094478-0.0011512i,0.0076519-0.011471i,-0.0079876-0.021407i,-0.026625-0.020694i,-0.030374-0.0047654i,-0.018202+0.0086934i,-0.0077269+0.0091191i,-0.0031797+0.0057135i,0.00085343-0.00016631i
0.44328-0.18762i,0.04387-0.40032i,-0.36294-0.47748i,-0.37134-0.39008i,-0.1635-0.23308i,-0.020413-0.13028i,0.0069146-0.10661i,-0.029855-0.085253i,-0.042186-0.039289i,-0.0080082-0.017838i,0.022986-0.019533i,0.023395-0.017618i,0.0029512-0.010421i,-0.01187-0.0047583i,-0.01012-0.0044366i,-0.0029354-0.0071291i,-0.0021273-0.012697i,-0.011988-0.015893i,-0.02069-0.010908i,-0.017191-0.0034072i,-0.0095953+0.0025805i,-0.0016859+0.0068235i,0.011599+0.0083707i
-0.073046+0.82341i,0.038095+0.69376i,0.01482+0.28673i,-0.035957+0.039866i,0.010156+0.048678i,0.062775+0.10719i,0.054391+0.11087i,0.030505+0.086882i,0.025425+0.071934i,0.033959+0.068155i,0.033452+0.054022i,0.015404+0.025884i,-0.0038196-0.0018974i,-0.017311-0.014263i,-0.027052-0.002797i,-0.021351+0.019257i,0.0022748+0.027954i,0.026689+0.016511i,0.028712-0.005069i,0.013329-0.01809i,0.0036951-0.017188i,0.0010068-0.010879i,-0.0016171-0.00065467i
-0.41587-0.44239i,-0.015526-0.3445i,0.49765-0.2651i,0.52057-0.24144i,0.16825-0.12302i,-0.053185+0.03132i,-0.045714+0.062379i,-0.015918-0.0010276i,-0.047092-0.0405i,-0.068178-0.023993i,-0.049425-0.0037938i,-0.019436+3.7977e-05i,0.013074-0.0035958i,0.030531-0.012394i,0.022098-0.012296i,0.0089541-0.0038028i,0.0083403+0.00052577i,0.016293-0.00034211i,0.022511-0.0028343i,0.022048+0.00054781i,0.019607+0.0054803i,0.017012+0.0021422i,0.0072355-0.0059253i
0.47542-0.67848i,0.36867-0.72161i,0.39599-0.48488i,0.49641-0.32195i,0.37668-0.34049i,0.15365-0.31689i,0.041692-0.20194i,0.037143-0.089771i,0.061762-0.034222i,0.052817-0.031214i,0.020655-0.02989i,0.0051829-0.015444i,0.0060436+0.0073199i,0.018234+0.024566i,0.025661+0.013308i,0.0098455-0.0099258i,-0.017132-0.015803i,-0.039007-0.0057577i,-0.038859+0.0023225i,-0.024219+0.0039002i,-0.01467+0.0074304i,-0.0077694+0.0118i,0.0011848+0.0099757i
0.49356+0.91092i,0.52053+0.87001i,0.26826+0.59351i,0.083166+0.32709i,0.071786+0.11788i,0.041489-0.025319i,-0.02575-0.033113i,-0.036097+0.017503i,-0.0076186+0.034723i,0.00030099+0.046945i,-0.0031008+0.069398i,-0.0063863+0.07308i,-0.022792+0.067056i,-0.032778+0.062133i,-0.025863+0.049675i,-0.014709+0.038035i,-0.0048677+0.028495i,-0.0035882+0.010922i,-0.0094519-0.0053357i,-0.017022-0.012079i,-0.025494-0.009216i,-0.027259+0.0071071i,-0.016243+0.024167i
-0.5871+0.22506i,-0.36381+0.36447i,-0.15019+0.36128i,-0.14708+0.34879i,-0.12439+0.41134i,-0.023207+0.429i,0.017512+0.31828i,-0.038096+0.17662i,-0.10197+0.10605i,-0.092832+0.06909i,-0.059741+0.025973i,-0.036672+0.0063387i,-0.013025-0.0065608i,-0.014871-0.019717i,-0.022549-0.0090409i,-0.0078913-7.4823e-05i,0.012157-0.011144i,0.031777-0.025682i,0.043782-0.029326i,0.043371-0.023548i,0.036437-0.024257i,0.021567-0.028258i,0.00064405-0.023434i
-0.19224-0.878i,-0.44747-0.73555i,-0.32693-0.32006i,-0.014495-0.13775i,0.085377-0.22528i,0.029938-0.26671i,0.016242-0.21338i,0.037583-0.16819i,0.045133-0.15843i,0.022192-0.1636i,-0.015887-0.1407i,-0.026837-0.094348i,-0.0073569-0.066957i,0.01355-0.055075i,0.018723-0.048996i,0.0038052-0.043981i,-0.0092383-0.026894i,-0.0047075-0.0046916i,0.0038208+0.007947i,0.010125+0.0092585i,0.01621+0.005987i,0.016615-0.0039139i,0.0096163-0.017576i
0.83646+0.4369i,0.82892+0.32467i,0.5774+0.19659i,0.39825+0.080631i,0.23278-0.09509i,-0.00064693-0.24853i,-0.13728-0.25319i,-0.10817-0.18163i,-0.034714-0.1279i,-0.00023395-0.070955i,0.019175-0.020316i,0.02084-0.0036231i,0.0086569+0.01557i,0.020935+0.028209i,0.032019+0.017081i,0.027492+0.017081i,0.025505+0.02867i,0.01762+0.03451i,0.0023276+0.036189i,-0.015005+0.033501i,-0.02633+0.036031i,-0.018693+0.044758i,0.0048675+0.040512i
-0.071664+0.56595i,0.33786+0.46346i,0.41784+0.18668i,0.21271+0.18105i,0.18477+0.33575i,0.25703+0.30686i,0.18737+0.17381i,0.077259+0.12378i,0.03344+0.13817i,0.037349+0.12536i,0.039719+0.068427i,0.026183+0.030508i,0.01654+0.029683i,0.0012333+0.038397i,-0.0092376+0.049566i,-3.2285e-05+0.046319i,0.0082905+0.027905i,0.011493+0.012407i,0.014926-0.0020113i,0.011518-0.016815i,-0.0013875-0.024018i,-0.011552-0.016799i,-0.01071+0.0017163i
-0.57452-0.51225i,-0.81828-0.20067i,-0.69647+0.14525i,-0.44121+0.22289i,-0.25152+0.12635i,-0.064786+0.053691i,0.092035+0.023768i,0.12556-0.0043148i,0.076458-0.026108i,0.026734-0.029133i,0.003482-0.012809i,-0.00067344+0.0040179i,-0.0055571+0.0065172i,-0.013406+0.010787i,-0.016919+0.01055i,-0.032895+0.0025783i,-0.048984+0.0086467i,-0.042722+0.012541i,-0.028659-0.00017312i,-0.013802-0.013126i,0.00078828-0.027459i,-0.00045535-0.042179i,-0.016906-0.039454i
0.48757+0.22139i,0.26362+0.23864i,-0.019365+0.2837i,-0.1073+0.22638i,-0.091963+0.09005i,-0.10192+0.030978i,-0.09753+0.047625i,-0.062445+0.0588i,-0.035809+0.039455i,-0.021993+0.031092i,-0.0077441+0.037964i,-0.01825+0.03609i,-0.039113+0.039777i,-0.027361+0.032565i,-0.0097551+0.0057711i,-0.0079454-0.010725i,-0.013173-0.018886i,-0.028434-0.019421i,-0.035002-2.8048e-06i,-0.01909+0.018678i,0.0015709+0.023729i,0.012792+0.0257i,0.013281+0.019176i
0.060033+0.32757i,0.32924-0.035523i,0.22895-0.41965i,0.012211-0.37608i,0.074091-0.11017i,0.16616-0.0075945i,0.070701+0.025679i,-0.0051449+0.086336i,0.0078013+0.09536i,0.014772+0.052802i,-0.0030509+0.0059966i,-0.017946-0.019976i,-0.01909-0.024026i,-0.017332-0.01454i,-0.0039395-0.00045451i,0.017995-0.0050244i,0.019425-0.025974i,0.0073006-0.031017i,0.0042249-0.018729i,0.0048843-0.0059804i,0.0022471+0.0077638i,0.0050714+0.019915i,0.015642+0.019301i
-0.42846-0.45753i,-0.50776-0.2716i,-0.3756-0.16587i,-0.23916-0.16603i,-0.21094-0.069236i,-0.16617+0.069774i,-0.081063+0.086032i,-0.056091+0.018944i,-0.06836-0.022017i,-0.053174-0.024557i,-0.0090684-0.024182i,0.03791-0.049919i,0.042468-0.083439i,0.016519-0.070925i,0.0070199-0.030858i,0.0085934-0.0059423i,0.017171+0.01235i,0.038166+0.017325i,0.03781+0.0008635i,0.015994-0.0098133i,0.0045407-0.014827i,-0.0034229-0.030794i,-0.016452-0.038393i
0.56318+0.47117i,0.60135+0.67277i,0.71029+0.59006i,0.66319+0.23123i,0.34239+0.012113i,0.093167+0.012317i,0.0092495-0.01523i,-0.040344-0.056138i,-0.034506-0.031248i,0.004984+0.0048149i,0.027534+0.032271i,0.042097+0.048485i,0.044618+0.041195i,0.029089+0.019315i,0.0033743+0.0086582i,-0.0029303+0.017371i,0.013923+0.018066i,0.021302+0.0017688i,0.011633-0.010794i,0.00022997-0.012255i,-0.005984-0.010981i,-0.0090426-0.0076438i,-0.010341+0.00016619i
-0.080847+0.49274i,0.28075+0.13566i,0.44563-0.23374i,0.32216-0.23795i,0.17309-0.15862i,0.077284-0.25768i,-0.034564-0.32297i,-0.073546-0.22636i,-0.033213-0.10361i,-0.0090614-0.041782i,-0.020668-0.010055i,-0.021376+0.038519i,0.014121+0.074143i,0.038682+0.06114i,0.027842+0.038275i,0.0092028+0.026899i,-0.013594+0.016353i,-0.0341+0.014661i,-0.027711+0.015524i,-0.012982+0.006947i,-0.011869+0.0081125i,0.00067503+0.023901i,0.025529+0.028872i
-0.70716-0.86861i,-0.91435-0.71395i,-0.86863-0.25582i,-0.62076+0.14184i,-0.34347+0.25338i,-0.16128+0.21749i,-0.029737+0.16476i,0.036328+0.097832i,0.0082223+0.052882i,-0.014757+0.03238i,-0.0088221-0.002202i,-0.024243-0.02464i,-0.036376-0.013523i,-0.020359-0.0031582i,-0.007224-0.017171i,-0.023978-0.025558i,-0.041435-0.0015223i,-0.032064+0.030079i,-0.013395+0.041175i,0.001262+0.033205i,0.012495+0.018644i,0.016081+0.0045087i,0.011427-0.010965i
0.66601+0.060209i,0.39373+0.36919i,0.14094+0.67265i,0.11951+0.54994i,0.15818+0.22307i,0.19557+0.11873i,0.24713+0.12708i,0.21342+0.059226i,0.11085+0.010449i,0.041349+0.026397i,0.013195+0.041961i,-0.012729+0.034065i,-0.038766+0.027797i,-0.041983+0.026764i,-0.02578+0.013607i,-0.011496-0.011665i,-0.0088021-0.034948i,-0.017906-0.044092i,-0.026687-0.029784i,-0.023253-0.0093824i,-0.015925-0.0088378i,-0.021155-0.013373i,-0.029499-0.004953i
0.18948+1.0751i,0.5765+0.91507i,0.59773+0.40184i,0.31207+0.035745i,0.11155-0.033096i,0.066189-0.010875i,0.048531-0.01335i,0.012343-0.013535i,-0.030323-0.00010339i,-0.048288+0.025206i,-0.02818+0.031076i,-0.0033823+0.0083617i,0.0025095-0.01189i,-0.0052028-0.013951i,-0.0029491+6.0914e-05i,0.018123+0.004175i,0.024948-0.013528i,0.0088485-0.027733i,-0.0042582-0.027493i,-0.0087895-0.02304i,-0.013303-0.016835i,-0.016182-0.0077042i,-0.012879+0.0022765i
-0.7519-0.55774i,-0.67437-0.49014i,-0.41296-0.50179i,-0.29157-0.43274i,-0.26846-0.098387i,-0.21329+0.24489i,-0.12595+0.3721i,-0.026517+0.31062i,0.023892+0.16566i,0.030488+0.058712i,0.050815+0.0033693i,0.054543-0.039263i,0.026083-0.058039i,0.0028757-0.052904i,-0.0044184-0.037091i,0.0028586-0.010037i,0.024837+0.012557i,0.046197+0.011882i,0.042865-0.0022392i,0.02837-0.0050601i,0.027772-0.0028574i,0.027535-0.013863i,0.01666-0.024834i
0.23163-0.69784i,-0.27819-0.82565i,-0.48565-0.61087i,-0.30134-0.36792i,-0.20014-0.25154i,-0.29938-0.10784i,-0.33117+0.086871i,-0.20301+0.14918i,-0.06993+0.060024i,-0.032921-0.0031757i,-0.02136+0.023662i,0.010567+0.047825i,0.033924+0.031891i,0.042571+0.012721i,0.040569+0.0062096i,0.02882+0.0050076i,0.01627+0.0012297i,0.0037079-0.0037679i,-0.0085217-0.0018909i,-0.011207+0.0068263i,-0.00091871+0.013239i,0.016957+0.010813i,0.027409+0.00072084i
0.05276+0.63065i,0.1067+0.40976i,0.053802+0.25636i,0.12426+0.26391i,0.2439+0.1309i,0.1859-0.13227i,0.031856-0.25856i,-0.06396-0.18605i,-0.074199-0.052404i,-0.051417+0.012727i,-0.047223+0.020353i,-0.035205+0.029176i,-0.0020891+0.03259i,0.018474+0.022155i,0.012524+0.012455i,-0.0077274+0.012807i,-0.023486+0.023698i,-0.024054+0.036942i,-0.012018+0.040823i,-0.0060421+0.028134i,-0.0116+0.017269i,-0.0098234+0.018658i,0.0030642+0.016172i
-0.050973-0.39852i,0.42887-0.14473i,0.72952+0.03763i,0.60445+0.045199i,0.3871-0.011904i,0.29998-0.11909i,0.21029-0.21531i,0.088682-0.1877i,0.052206-0.076953i,0.079646-0.016574i,0.071251-0.016107i,0.02833-0.012564i,-0.004477+0.0036723i,-0.023517+0.017138i,-0.036783+0.019722i,-0.041604+0.018153i,-0.032177+0.017235i,-0.015767+0.008106i,-0.0058179-0.0032225i,-0.0029546-0.0069469i,-0.011046-0.0054718i,-0.024933+0.0067714i,-0.022908+0.024664i
0.78676-0.48748i,0.66668-0.55397i,0.49048-0.43451i,0.28178-0.31391i,0.013924-0.18955i,-0.11248-0.024643i,-0.055396+0.049839i,-0.0062393+0.01304i,-0.026864-0.014005i,-0.03854+0.018323i,-0.011228+0.048696i,0.015173+0.037571i,0.019762+0.015834i,0.015991+0.010503i,0.019347+0.016445i,0.027657+0.0082249i,0.020626-0.014157i,-0.0029457-0.02544i,-0.019506-0.020561i,-0.018701-0.012091i,-0.013116-0.0079266i,-0.013817-0.0046747i,-0.019291+0.003123i
-0.39799+1.0494i,-0.53722+0.99799i,-0.54805+0.74651i,-0.31207+0.54372i,-0.018206+0.4177i,0.14555+0.34872i,0.18281+0.26943i,0.12407+0.15145i,0.011548+0.082828i,-0.054561+0.065117i,-0.062833+0.028352i,-0.055047-0.01021i,-0.036162-0.027i,-0.016906-0.03766i,-0.013576-0.039966i,-0.01563-0.024942i,-0.0069982-0.007639i,0.012049-0.0028416i,0.024761-0.0058163i,0.025361-0.010307i,0.023665-0.022663i,0.012566-0.042008i,-0.011395-0.045145i
-0.61232-0.13387i,-0.48019+0.19164i,-0.26433+0.3859i,-0.14529+0.39272i,-0.082658+0.35219i,-0.036448+0.38311i,0.064475+0.40395i,0.15508+0.23762i,0.078135+0.025477i,-0.031632-0.015081i,-0.018742+0.020827i,0.014292+0.018699i,0.0016018+0.012852i,-0.017772+0.0061858i,-0.033868-0.018546i,-0.049191-0.035151i,-0.049916-0.029165i,-0.033006-0.015516i,-0.014563-0.0038927i,0.0012193+0.0096095i,0.018785+0.012215i,0.027208-0.00019453i,0.021361-0.0096313i
0.81174-1.0176i,0.48961-1.2621i,0.060381-0.90313i,-0.079871-0.38146i,-0.095826-0.1732i,-0.22696-0.12384i,-0.2782-0.032428i,-0.1647+0.024064i,-0.05248+0.029984i,0.0011603+0.037888i,0.028969+0.046467i,0.051115+0.045397i,0.06691+0.028333i,0.059352+0.008351i,0.04682-0.0011769i,0.038386-0.0091324i,0.018213-0.005547i,-0.0051929+0.015756i,-0.012006+0.029725i,-0.006075+0.033363i,-0.00016968+0.045037i,0.013076+0.052437i,0.025161+0.035422i
