0.00062693-4.4096e-05i,-4.9175e-05+0.0002769i,-0.00028133+0.0011656i,-7.4121e-05-0.00012712i,-0.00065432-0.0011344i,-0.00085842+1.2812e-05i,-0.00053163+0.00045398i,-0.00010848+0.00049879i,0.00063564+7.3185e-05i,0.00079771-0.00070219i,0.00018369-0.0012112i,-0.00013522-0.00034562i,-0.0004489+0.001022i,-0.0010241+0.00087873i,-0.00094209+0.00080049i,0.00010437+0.00087439i,0.00061008+0.00074538i,0.00046178+0.00058637i,0.00021503+0.0002874i,-0.00010842+0.00036038i,-0.00050055+0.0007383i,-0.00086889+0.00012159i,-0.00038566-0.00043565i
-0.00022704-0.0011342i,-0.0014167-0.00034815i,-0.0021793+0.00013457i,-0.0012191+2.625e-05i,-0.0005016-0.00074012i,-0.00046063-5.5428e-05i,-0.00035854+0.00010447i,0.00010597-0.00035744i,0.00036246-0.00026779i,0.00032283-0.00061656i,0.00047847-0.00043488i,0.00059546+0.00014986i,0.0002158+9.8373e-05i,0.00057225-0.00088222i,0.00084006-0.00078565i,0.00073449+6.3963e-05i,0.00055422+0.00031945i,4.9203e-06+0.00016196i,-0.0002894-0.00019887i,-0.00033833-0.00054186i,0.00027471-0.00084824i,0.0006938-0.00075276i,0.00039937-0.00032311i
0.0012365-0.001733i,0.00041978-0.0042634i,-0.00017391-0.0059021i,-0.00026207-0.0042994i,0.00051453-0.0017342i,0.0016215+0.00020877i,0.0016046+0.00069335i,0.0013528+0.00030091i,0.00084041+0.00054132i,0.00061918+0.00035751i,0.001138+0.00021438i,0.00119+0.00026106i,9.7627e-05+0.0002841i,-0.00092314+0.00032697i,-0.0004508+0.00070546i,5.6432e-05+0.00042467i,0.00015289+0.00036702i,-0.00040194+0.00071188i,-0.00074883+0.0004569i,-0.00054593-0.0003814i,-0.00033162-0.00092333i,5.4846e-05-0.00014068i,-0.00035028+0.00093452i
0.00093-0.00046834i,5.1909e-05-0.0014073i,0.00065203-0.0016138i,0.0014106-0.0014797i,0.00034835-0.0017465i,-0.0006803-0.000385i,-0.0008468+0.00011346i,-0.0006596-0.00043774i,0.00033083-0.00059811i,0.0010208-0.00085865i,0.00076333-0.001239i,-0.0003569-0.00094905i,-0.0013194+0.00015244i,-0.0013723+0.00077977i,-0.000586+0.00042263i,0.00031981+0.00049582i,-0.00018827+0.00057252i,-0.0011428+0.0010033i,-0.0011432+0.0012135i,-0.00029236+0.00074015i,0.0004038+4.3079e-05i,0.00067318-0.00049001i,0.00038481-0.00071442i
0.00025302-0.00094981i,0.0005968-0.0029628i,0.001204-0.0038322i,0.0019949-0.0033312i,0.0024031-0.0022344i,0.0014517-0.0012064i,-0.00013734-0.0001633i,-0.00059461+0.00043753i,-2.8141e-05+0.00052016i,0.0007742+5.7676e-05i,0.0011473-9.0567e-05i,0.0010106+8.0204e-05i,0.0002677-0.00012194i,-0.00041691-0.00053774i,-0.00021527-0.00068547i,0.00010876-9.8817e-05i,-0.00020803+0.00056191i,-0.00030743+0.00044902i,-0.00010383+0.00029206i,-0.00035346+0.001015i,-0.00057139+0.00087102i,-0.00056512+0.00073926i,-0.0003925+0.00062176i
0.00043892-0.0017109i,0.0012383-0.0021024i,0.002457-0.0010518i,0.0018935-0.00069823i,0.00036456-0.0010338i,0.0010196+0.00015364i,0.00050522+0.0010622i,-0.00019203+0.00052783i,0.00055888+0.00033832i,0.00056669+0.00010024i,5.1121e-05-0.00061187i,-0.00053808-0.00035404i,-0.00069492-0.00013657i,-0.00036744+0.00047983i,0.00010981+0.00081179i,0.00036413-5.0948e-05i,0.0004675-8.0185e-05i,0.0002789+9.8697e-05i,0.0003837-0.00024436i,0.00013123-0.00027967i,0.00020838+7.4154e-05i,0.00074346+9.9916e-05i,0.00090978+0.00010626i
-0.00013213+0.00069556i,-0.0011311+0.00027073i,-0.0010468+0.0010736i,0.00067947+0.0013123i,0.0012334-0.00011979i,0.00020308-0.00085209i,-0.00020583-0.00032938i,-0.00012858+0.00012743i,7.2249e-05+0.00016427i,0.00015968-0.00018664i,-0.00013496-0.00017509i,-0.00045294+0.000106i,-0.00055062-9.4995e-05i,-0.00068241-0.0012339i,-0.00052655-0.00091404i,-0.00050604-0.00024707i,-0.00034398-0.00025801i,0.00022145+2.3996e-05i,0.00020603+0.00015134i,-0.0003845+0.00013122i,-0.00044419+0.00010668i,-9.6959e-08-0.00018957i,-0.0002509-0.00010827i
0.00036629-0.0013213i,-0.00063055-0.0020517i,-0.00012247-0.0032257i,0.00041713-0.0034758i,0.00050269-0.0020893i,0.00043677-0.00033433i,0.00029959+0.00016181i,6.9333e-06+0.00033141i,-0.00059727+0.00081393i,-0.00051852+0.00066941i,0.00034022+0.00017222i,0.0006364-0.00038785i,7.4296e-05-0.00027917i,0.00017192+0.00034935i,-0.00044697+0.00035338i,-0.00045875+7.2108e-05i,-7.4671e-07+7.3833e-05i,-0.00051917+0.000251i,-8.7394e-05-0.00010122i,0.00028561+0.00036415i,0.00028478+0.00069542i,0.0005645+0.00041539i,0.00012099+0.00031873i
-0.0022771-0.0027761i,-0.0014335-0.0027774i,-0.00073114-0.0017778i,-0.00015706-0.0012289i,-0.00040335+1.4489e-05i,-0.00047885+0.0011714i,0.00039608+0.0012477i,0.00061139+0.00080634i,0.00037262+0.00024964i,0.00038215+0.00028679i,0.00038499+0.00066722i,0.00067475+0.00016675i,0.00078208-2.2451e-06i,0.00051327+0.00071503i,0.00013423+0.0016804i,-8.0755e-05+0.0019763i,0.00030549+0.0017428i,0.00061782+0.0007693i,0.00026663-8.0537e-05i,-7.4775e-06-0.00038993i,-9.2231e-05-0.00046959i,0.00019349-0.00036518i,0.00024882-0.00078393i
0.00065669-0.0030363i,-0.00020998-0.00418i,-0.00056789-0.0043349i,-0.00084124-0.0036409i,-0.0016147-0.0019601i,-0.0017857-7.9728e-05i,-0.00083001+0.00054028i,-0.00010216+0.00062777i,-0.00012861+6.0328e-05i,-0.00049595+0.00021041i,-0.00096122+0.00010243i,-0.000435-0.00041915i,0.00050539-1.5802e-05i,-6.9139e-05+0.00070892i,-0.00023264+0.00056527i,0.00045732+0.00041424i,-4.3379e-05+0.0010246i,-0.00030237+0.000743i,-0.00028059-8.7039e-05i,-0.0003463-0.00029265i,0.00036767+0.00012471i,0.00029084+0.00054768i,0.00033077+0.00070869i
0.0013994-0.00079596i,0.0022356-0.002881i,0.0027052-0.0036004i,0.0017261-0.0029123i,0.0002247-0.0014971i,0.00025607-0.00066878i,0.0011309-0.0004315i,0.00070725-3.623e-05i,0.00019355+0.00056141i,0.00048095+0.00033738i,0.0006539-0.00045246i,0.00045371-0.00029424i,-0.00020768-0.00034652i,-0.0003064-0.00056927i,0.00056-0.00067015i,0.00038602-0.00049326i,-0.00036224-0.00019472i,-0.00014231-0.00015551i,2.3298e-05+0.00021245i,0.00011444-2.7296e-05i,9.605e-05-0.00019261i,-0.00024078+0.00039171i,-0.00026451+0.00038347i
