-0.0014159-0.001413i,-0.00059352-0.0023187i,-0.0019463-0.0020589i,-0.0021628-0.00078168i,-0.0015109+0.0011144i,-0.00022091+0.0017408i,0.00040952+0.0011123i,0.00058912+0.00033694i,0.00062497+0.00071081i,0.00023502+0.0010798i,0.00055337+0.00058717i,0.00057872-0.00041669i,7.3296e-05-0.0010165i,-2.8975e-05-0.0012398i,0.00040909-0.00093369i,0.00051769-0.00017692i,0.00040481-0.00023499i,-0.00010651-0.00058013i,-0.00035325-0.00030338i,-0.00057584-0.00055819i,-0.00045933-0.00022689i,0.00017853+0.00054827i,0.00024958+0.00060503i
0.031915-0.065687i,0.081868-0.041036i,0.10407+0.017479i,0.1525+0.034342i,0.21754-0.010916i,0.2029-0.052992i,0.12738-0.063996i,0.063018-0.055374i,0.023733-0.03432i,0.0087272-0.01273i,0.0089971-0.0020373i,0.0076273+0.00012059i,0.003233+0.00039141i,0.0015493+0.0021617i,0.00397+0.0014282i,0.0064983-0.0051085i,0.0043135-0.010715i,0.0016742-0.008824i,0.0020038-0.000975i,0.0022541+0.004278i,0.0030413+0.0042317i,0.0040587+0.0043355i,0.0040476+0.0037555i
0.08781-0.02283i,0.038832-0.10758i,-0.10394-0.1579i,-0.22123-0.15648i,-0.25583-0.14811i,-0.23491-0.11405i,-0.17758-0.048992i,-0.10847-0.011245i,-0.056484-0.00069149i,-0.02201+0.0037426i,-0.0031675-0.00094876i,0.0019151-0.0049661i,0.0034002-0.0019841i,0.0049237+0.0029753i,0.0083898+0.0036121i,0.012079-0.0018878i,0.013315-0.0083921i,0.01084-0.010938i,0.0063267-0.0084423i,0.0034714-0.0049171i,0.0015054-0.0035655i,0.0018732-0.0034441i,0.0031438-0.0035613i
0.037878+0.088222i,-0.05654+0.029197i,-0.15659-0.023424i,-0.15666+0.036585i,-0.083586+0.15875i,-0.012546+0.19761i,0.021551+0.14866i,0.026189+0.087115i,0.021048+0.038702i,0.012451+0.0071489i,0.0031228-0.0035762i,-0.00024328-0.0018582i,0.00237+0.0017825i,0.0050318+0.0019244i,0.0056421+0.00044001i,0.0064376+0.00092876i,0.008594+0.0025483i,0.0082789+0.005485i,0.005579+0.0089631i,0.0055562+0.0093386i,0.0050423+0.0054653i,-0.00085162+0.0016977i,-0.0048187+0.0011966i
-0.027606+0.099214i,-0.057376+0.083968i,-0.042877-0.027439i,0.002259-0.15114i,0.048247-0.18979i,0.061879-0.16642i,0.036142-0.11936i,0.015458-0.071866i,0.0092876-0.043414i,-0.0002614-0.024061i,-0.0034422-0.0064102i,0.0027483+0.0029748i,0.0069943+0.0043718i,0.0023288+0.001271i,-0.0052348+0.0015585i,-0.0055944+0.0092604i,-0.00030891+0.015027i,0.0049+0.011416i,0.0075268+0.00054815i,0.0055093-0.0087582i,0.0026228-0.0084629i,0.0021465-0.0019102i,0.0017143+0.0014122i
-0.061429-0.042674i,0.0054782-0.033929i,0.079218-0.033131i,0.0189-0.016524i,-0.10257+0.032281i,-0.13383+0.070279i,-0.086588+0.064455i,-0.03994+0.038947i,-0.012467+0.018901i,0.0029186+0.011625i,0.010034+0.0082213i,0.0099352+0.0019031i,0.0044048-0.0014327i,-0.0008744+0.0010072i,-0.0026039+0.0053266i,-0.0023068+0.0069168i,-0.0049836+0.0063684i,-0.010459+0.0029906i,-0.015854-0.0025275i,-0.017966-0.0026878i,-0.012655+0.0021209i,-0.00436+0.0031847i,-0.00057649+0.00064793i
-0.058064-0.17672i,0.044318-0.20191i,0.21427-0.14298i,0.32383-0.048109i,0.32428+0.0029986i,0.24862+0.00345i,0.15287-0.01892i,0.081186-0.028914i,0.039961-0.021913i,0.020034-0.013758i,0.011059-0.0072755i,0.0024713-0.0023514i,-0.0052453+0.0023199i,-0.0036096+0.0039329i,0.0013588-0.0010294i,-0.0021046-0.0074467i,-0.010695-0.0095555i,-0.013519-0.0057944i,-0.0066012-0.0013722i,0.0010646+0.00076362i,0.0038898+0.0030105i,0.0048205+0.0038707i,0.0050893+0.0022164i
0.010341-0.090338i,0.016535-0.10401i,0.025428-0.099133i,0.017074-0.14822i,-0.047027-0.22052i,-0.11824-0.18926i,-0.12426-0.092284i,-0.088168-0.036638i,-0.053851-0.010738i,-0.025664+0.0067209i,-0.0093868+0.0091821i,-0.0035947+0.0077431i,0.00019221+0.0057824i,0.0025083+0.0023551i,0.0033931-0.00092833i,0.0014132-0.0070334i,-0.0026114-0.014321i,-0.0049456-0.01908i,-0.0041711-0.017517i,-0.0010578-0.010885i,0.00096604-0.0052396i,0.0022075-0.0031783i,0.0014893-0.0046419i
0.13854+0.11955i,0.10315+0.20585i,-0.019251+0.29166i,-0.10455+0.33265i,-0.10924+0.32859i,-0.052998+0.28575i,0.011658+0.2024i,0.028126+0.11555i,0.018728+0.060191i,0.012714+0.02947i,0.0047719+0.013937i,0.0015965+0.0070778i,0.0043997+0.0021668i,0.006334-5.3128e-05i,0.0058484-0.0020183i,0.0049179-0.0065519i,0.0063571-0.010211i,0.0077704-0.007046i,0.009059+0.0020425i,0.011312+0.0056728i,0.0090008+0.0020906i,0.0012779-0.0014697i,-0.0035611+0.00030314i
0.15022+0.17668i,0.16035+0.24518i,0.10412+0.25149i,0.10687+0.17769i,0.17959+0.059616i,0.18658-0.055914i,0.11616-0.10572i,0.057955-0.088087i,0.025815-0.059021i,0.003412-0.033391i,-0.0027136-0.010609i,0.0008025-0.00019287i,0.0043374+0.00096817i,0.0022487-0.0013421i,-0.002154-0.0003235i,0.0012925+0.0044658i,0.011919+0.0062902i,0.020402+0.0018164i,0.020943-0.004009i,0.013985-0.0078481i,0.0027943-0.0082186i,-0.0042525-0.0034647i,-0.0034052+2.0173e-05i
-0.063668+0.036329i,-0.099523+0.009525i,-0.15136-0.035887i,-0.21784-0.053919i,-0.24969-0.03484i,-0.23486-0.0038769i,-0.18089+0.019022i,-0.10574+0.015562i,-0.050108+0.00056378i,-0.018757-0.0028494i,-0.00097289-0.0047864i,0.004237-0.0090404i,0.0037339-0.0084433i,0.00078285-0.0032636i,0.00030054+0.0022307i,0.0062395+0.0047144i,0.010717+0.0071484i,0.0072249+0.007219i,-0.0026347+0.0040807i,-0.0098454+0.0059039i,-0.0074047+0.0088031i,-0.0018181+0.0061398i,-0.00012871+0.0030156i
-0.27076-0.096746i,-0.35972-0.15625i,-0.29016-0.16112i,-0.12951-0.044369i,0.015552+0.095424i,0.094007+0.1332i,0.099521+0.093965i,0.07061+0.048082i,0.041972+0.013884i,0.02097-0.0060488i,0.0071261-0.009783i,-0.0021285-0.0065859i,-0.0066005-0.0012252i,-0.0022487+0.0017818i,0.0043418-0.0018082i,0.0017165-0.0052843i,-0.0055763-0.00063491i,-0.0086103+0.00824i,-0.0055676+0.0124i,-0.0019702+0.011145i,0.00033201+0.009786i,0.0038204+0.0065152i,0.0067084+0.0009639i
-0.17136-0.10266i,-0.23349-0.15901i,-0.17163-0.24808i,-0.062104-0.33374i,-0.034983-0.34795i,-0.064255-0.26408i,-0.068255-0.14779i,-0.042932-0.068226i,-0.023026-0.024101i,-0.011706+0.0034079i,0.0010873+0.014084i,0.007474+0.013856i,0.0063911+0.010082i,0.0046669+0.0039459i,0.0031809-0.00113i,-0.0011753-0.0025157i,-0.010122-0.0032059i,-0.015613-0.0075801i,-0.013441-0.011688i,-0.0066381-0.0085725i,0.0019595-0.0034058i,0.006342-0.0024867i,0.0043096-0.0040124i
0.17341-0.061702i,0.23458-0.074532i,0.15755-0.069703i,-0.031205-0.034889i,-0.16904+0.054374i,-0.15442+0.14455i,-0.068424+0.14674i,-0.019063+0.097888i,0.0055716+0.063196i,0.023906+0.037392i,0.024738+0.017996i,0.01866+0.0081162i,0.01154+0.0040475i,0.0047196+0.0074863i,0.00088006+0.010476i,-0.0015874+0.0039515i,-0.0066689-0.0056799i,-0.01272-0.0084803i,-0.01018-0.0051902i,-0.0035169-0.0050387i,-0.0019002-0.0077209i,-0.0036808-0.0065951i,-0.004197-0.0010283i
0.34583-0.054537i,0.52104-0.093107i,0.54194-0.042897i,0.45524+0.042481i,0.37452+0.049803i,0.28666-0.032252i,0.16937-0.091377i,0.081497-0.076784i,0.040134-0.049124i,0.012637-0.031957i,-0.0033197-0.011892i,-0.0045342+0.0028314i,-2.3004e-05+0.0078001i,0.0037058+0.010698i,0.0037429+0.013282i,0.0044719+0.01059i,0.0085165-0.00023844i,0.012541-0.011866i,0.012987-0.015751i,0.0080771-0.012993i,-0.0024116-0.005495i,-0.0091729+0.0032463i,-0.0074188+0.0065509i
0.096451+0.0302i,0.16062-0.011059i,0.19614-0.052261i,0.16344-0.10956i,0.042743-0.16392i,-0.10339-0.14284i,-0.157-0.074447i,-0.12023-0.040207i,-0.07654-0.028489i,-0.044123-0.010155i,-0.01975-0.00011567i,-0.0070198+0.0013083i,-0.00080297+0.0013783i,-0.0026334-0.00063277i,-0.0047474-0.00017401i,0.0043583+0.00015438i,0.016098-0.0047325i,0.017194-0.011004i,0.0087454-0.012399i,0.0023511-0.0061213i,0.0025296+0.00010948i,0.0032568+0.0023469i,0.0025301+0.0018931i
-0.23062+0.20598i,-0.31888+0.33534i,-0.2803+0.37741i,-0.16554+0.33738i,-0.059467+0.29419i,0.026125+0.25612i,0.067817+0.18187i,0.051675+0.092911i,0.021001+0.034105i,0.005115+0.0032325i,-0.0035906-0.0093982i,-0.0099142-0.0097177i,-0.01194-0.0074094i,-0.0096208-0.0054972i,-0.0068458-0.0061154i,-0.0044837-0.0078359i,0.0019025-0.0035763i,0.012631+0.0063354i,0.016324+0.012788i,0.0094128+0.010653i,0.0028162+0.0053954i,0.00058582+0.00070583i,-0.00030597-0.0050065i
-0.22556+0.19587i,-0.29251+0.37369i,-0.21492+0.40656i,-0.045577+0.25283i,0.066929+0.048049i,0.079596-0.076073i,0.059657-0.097782i,0.041376-0.070862i,0.01873-0.037097i,-0.00093634-0.0055644i,-0.0033845+0.01029i,-0.0037512+0.0087602i,-0.0073914+0.0043495i,-0.0045846-0.0036111i,-0.0020758-0.013163i,-0.0052681-0.0094056i,-0.0075827+0.0032734i,-0.0023198+0.0063142i,0.0052072-8.9281e-05i,0.0091975-0.0005558i,0.010483+0.0028904i,0.0091116+0.0016899i,0.0065823-0.0005551i
0.013081-0.10517i,-0.038359-0.11494i,-0.1468-0.11279i,-0.26096-0.086764i,-0.29484-0.011956i,-0.24126+0.065468i,-0.14592+0.084599i,-0.057982+0.062351i,-5.9332e-05+0.044313i,0.032543+0.031762i,0.038111+0.016567i,0.029539+0.0068598i,0.019734+0.0038858i,0.01038+0.004568i,0.0054663+0.0043603i,0.001703+0.00074578i,-0.0062283+0.0019708i,-0.01531+0.007257i,-0.017124+0.0080057i,-0.013557+0.0028258i,-0.0090604-0.0040755i,-0.0045456-0.0067419i,-0.00095571-0.0062171i
0.12202-0.33321i,0.060307-0.52048i,-0.079685-0.45031i,-0.12952-0.15754i,-0.031104+0.045714i,0.070204+0.05721i,0.076563+0.024412i,0.056173+0.015296i,0.04898-0.0013416i,0.029478-0.018637i,0.010655-0.016381i,0.0089466-0.010695i,0.015589-0.0077781i,0.023107+0.0014982i,0.025682+0.0084343i,0.019405+0.0047072i,0.0071559-0.002303i,-0.0024817-0.0029342i,-0.0033746+0.0037274i,-0.0022662+0.0082555i,-0.0064721+0.0097883i,-0.0092875+0.01111i,-0.0080074+0.011532i
0.032378-0.16386i,0.0082731-0.35355i,0.0031686-0.42845i,0.049302-0.36244i,0.046676-0.28251i,-0.049981-0.21125i,-0.10948-0.11862i,-0.084449-0.053231i,-0.058602-0.026318i,-0.044665-0.00263i,-0.024588+0.011064i,-0.0081234+0.0097029i,0.00046757+0.004393i,6.198e-05-0.0007493i,0.00011869-0.0029348i,0.0084141-0.0060508i,0.011429-0.015273i,0.0043627-0.023886i,-0.002029-0.024188i,-0.0012516-0.016703i,0.0026756-0.0088983i,0.0054045-0.0029721i,0.0089062+0.0017006i
-0.00086263+0.20669i,0.065839+0.2173i,0.10998+0.07159i,0.053673-0.084179i,-0.034658-0.056451i,-0.039749+0.064139i,-0.0088316+0.087303i,-0.020069+0.046728i,-0.031147+0.025872i,-0.018544+0.010293i,-0.0088909-0.00076866i,-0.0061834+0.0028838i,-0.0080908+0.010355i,-0.012805+0.01616i,-0.012862+0.017702i,-0.0056374+0.0089443i,0.0036829-0.0048425i,0.0074596-0.010287i,0.0049269-0.0060993i,-0.00013602-0.0043439i,-0.0031201-0.0061795i,-0.0042471-0.0088893i,-0.0067992-0.01325i
0.10246+0.2786i,0.30684+0.43349i,0.44688+0.39334i,0.37784+0.21633i,0.24093+0.076749i,0.1689-0.019199i,0.10874-0.076583i,0.044464-0.066936i,0.0037137-0.036993i,-0.018377-0.013964i,-0.021785+0.0040972i,-0.01713+0.012005i,-0.014132+0.013392i,-0.006813+0.0056295i,-0.00065509-0.0024898i,0.0014698+0.0011403i,0.0067626+0.0067708i,0.017714+0.0011948i,0.024054-0.008737i,0.021792-0.0085477i,0.014611-0.003579i,0.0055074-0.0003546i,-0.0011779+0.0020538i
0.078406-0.022975i,0.19347+0.021085i,0.29532+0.040676i,0.25463+0.0045895i,0.083808-0.022836i,-0.049258-0.0077454i,-0.065542+0.0003324i,-0.032827-0.0093196i,0.00030521-0.0018816i,0.027983+0.016526i,0.034856+0.021235i,0.022725+0.018292i,0.011489+0.01247i,0.0028059+0.0029715i,-0.0064312-0.0023251i,-0.0090704+0.0012948i,-0.0011503+0.0095958i,0.0067522+0.012388i,0.0025109+0.0035274i,-0.007482-0.0031128i,-0.0049679-0.00064177i,0.0059911-0.00045528i,0.011727-0.004808i
-0.13416-0.20948i,-0.31106-0.20868i,-0.39879-0.046372i,-0.30085+0.12187i,-0.13267+0.15024i,-0.036402+0.11897i,0.005656+0.091352i,0.040316+0.045978i,0.057964-0.0025448i,0.049251-0.02946i,0.028227-0.028778i,0.01697-0.02335i,0.01621-0.023385i,0.019927-0.014894i,0.024706-0.0053206i,0.018428-0.0015209i,0.0055652+0.0038798i,-0.0010695+0.014447i,0.00075527+0.023724i,0.0051943+0.023664i,0.0016837+0.017669i,-0.0037496+0.0105i,-0.0030143+0.0039434i
-0.18756-0.039046i,-0.39874+0.049206i,-0.45736+0.22655i,-0.2694+0.29111i,-0.079477+0.15695i,-0.040828+0.021451i,-0.025192-0.0034904i,0.0035903-0.0094902i,-0.0043327-0.021408i,-0.027515-0.010502i,-0.033335+0.00041509i,-0.027517-0.0024106i,-0.017719-0.0061793i,-0.0071888-0.0083464i,-0.0013641-0.012954i,-0.00059604-0.018138i,-0.003783-0.016156i,-0.0068059-0.011687i,-0.0045608-0.012407i,-0.0027431-0.0119i,-0.0031481-0.0059045i,-7.59e-05+0.003591i,0.005619+0.010555i
0.031801+0.15057i,0.029123+0.15104i,0.00090286+0.064835i,-0.01552-0.04328i,-0.02222-0.06836i,-0.033551-0.023867i,-0.037604+0.0061178i,-0.035683+0.013646i,-0.03349+0.027799i,-0.023642+0.030816i,-0.014813+0.018648i,-0.0071142+0.013572i,-0.00075979+0.016596i,-0.0024494+0.0232i,-0.0054908+0.026575i,-0.0058657+0.015112i,-0.010762-0.0041854i,-0.017921-0.01116i,-0.018633-0.0046508i,-0.015112-0.0025833i,-0.01158-0.0058177i,-0.0078642-0.0073831i,-0.004315-0.0084588i
0.18085+0.059936i,0.29075-0.092539i,0.19371-0.28558i,-0.017746-0.29141i,-0.073728-0.14721i,-0.0031291-0.070522i,0.0046777-0.050887i,-0.02041-0.0041437i,-0.016042+0.021906i,-0.012401+0.016736i,-0.0093516+0.0079962i,-0.0038552-0.00050651i,-0.0045169-0.0014314i,-0.0052171-0.0019495i,0.0011189-0.0037807i,0.010709-0.0028776i,0.013043-0.0023624i,0.011398-0.0049892i,0.014926-0.0068548i,0.017713-0.0065501i,0.0089283-0.0074885i,-0.004824-0.0052318i,-0.012337+0.00035646i
0.058223-0.16122i,0.11322-0.31925i,0.11353-0.39719i,0.064499-0.27223i,0.034495-0.094677i,0.010569-0.030915i,-0.015023-0.020583i,-0.0067982-0.013227i,0.0096511-0.0074877i,0.022815+0.0026961i,0.029586+0.0053346i,0.017385+0.0069849i,0.0029071+0.013465i,-0.0072284+0.01251i,-0.014331+0.0049155i,-0.009131-0.00066019i,0.005924-0.0037924i,0.01544-0.0097657i,0.010785-0.015808i,0.0032827-0.013259i,0.0061387-0.0057442i,0.011779-0.0029324i,0.010035-0.001732i
-0.13678-0.15145i,-0.18831-0.15982i,-0.10236-0.14585i,0.011476-0.13135i,0.019275-0.078257i,-0.0097275-0.0081396i,-0.012326+0.0044072i,-0.01001-0.018988i,0.0021192-0.038886i,0.014122-0.047458i,0.015828-0.03542i,0.021155-0.018478i,0.028301-0.014716i,0.032797-0.014598i,0.032868-0.010252i,0.023779-0.001445i,0.015304+0.0060161i,0.011978+0.011654i,0.0097901+0.019146i,0.010348+0.018726i,0.0089438+0.0073217i,0.0047155-0.0044896i,0.0034784-0.010057i
-0.053767+0.086976i,-0.046221+0.25438i,0.048474+0.36674i,0.082408+0.28849i,0.0071271+0.15045i,-0.038981+0.10321i,-0.01417+0.071691i,0.0021378+0.0095796i,-0.014889-0.021093i,-0.032154-0.011721i,-0.030656+0.0032321i,-0.021266+0.0019306i,-0.015741-0.0078245i,-0.0067241-0.015702i,-0.0001504-0.021423i,0.00021057-0.018702i,0.0050934-0.0079245i,0.012785-0.0036874i,0.013244-0.0087472i,0.0030223-0.0073614i,-0.0045925+0.0036855i,-0.00087549+0.010393i,0.0036075+0.0068353i
0.17247+0.17337i,0.3549+0.26676i,0.47214+0.31219i,0.40844+0.24157i,0.23285+0.11526i,0.10537+0.029997i,0.055539-0.026804i,0.021047-0.037191i,0.0006235-0.0064468i,-0.0027639+0.016761i,-0.0060159+0.023103i,-0.0061566+0.02548i,-0.0026975+0.027058i,-0.0011441+0.030655i,0.0012335+0.031751i,0.0014042+0.021474i,-0.0067191+0.0065732i,-0.017204+0.0007871i,-0.020938+0.0029009i,-0.0176+0.0048359i,-0.0099834+0.0064873i,-0.00055351+0.0075599i,0.0060002+0.0043414i
0.12977+0.02773i,0.18428-0.048379i,0.10126-0.13014i,-0.012419-0.16376i,-0.049783-0.15391i,-0.073142-0.11739i,-0.071289-0.053772i,-0.024634-0.0050157i,0.0069116+0.014988i,0.0087808+0.018851i,0.0028314+0.010838i,-0.0039054-0.00033481i,-0.012866-0.003392i,-0.015691+0.001478i,-0.0048394+0.0036561i,0.0037572+0.00027517i,-0.0015677+0.0029757i,-0.0047946+0.010364i,0.0033332+0.0088618i,0.0075071+0.00059184i,-0.00072841-0.0041283i,-0.00598-0.0020132i,-0.0026729+0.0011386i
-0.13794-0.048507i,-0.35221-0.023161i,-0.5486+0.069317i,-0.49028+0.14452i,-0.26401+0.13718i,-0.099049+0.085559i,-0.013462+0.05993i,0.035986+0.040949i,0.048103+0.015123i,0.042783+0.0028438i,0.027028-0.0028598i,0.0032105+0.00094484i,-0.0098773+0.012171i,-0.017639+0.017645i,-0.024023+0.017256i,-0.019854+0.015609i,-0.0094406+0.0088681i,-0.0017151-0.003663i,0.0017897-0.013431i,0.0037058-0.017394i,0.0041126-0.01661i,-0.00047771-0.011277i,-0.0052646-0.0041433i
-0.22141-0.001408i,-0.38861+0.1127i,-0.37935+0.21607i,-0.16105+0.19546i,0.015902+0.06691i,0.028074-0.021468i,0.00081732-0.018043i,-0.0048692-0.014709i,-0.010761-0.03132i,-0.017605-0.040011i,-0.01424-0.032505i,0.0053529-0.01875i,0.029239-0.019193i,0.039201-0.028431i,0.03378-0.028669i,0.025931-0.020298i,0.01989-0.013329i,0.012059-0.0065064i,0.0078452+0.00070572i,0.0079999-0.0027308i,0.0071001-0.0098957i,0.0054947-0.0077447i,0.0070142-0.00097343i
-0.045067-0.022932i,-0.056962-0.1045i,-0.0025631-0.25519i,0.0092936-0.30281i,-0.050952-0.17197i,-0.083324-0.029318i,-0.079954+0.026882i,-0.066834+0.037957i,-0.055699+0.031732i,-0.049882+0.028384i,-0.034447+0.023974i,-0.016113+0.0024092i,-0.0074526-0.02254i,-0.0050195-0.040071i,-0.0083428-0.046484i,-0.012213-0.039016i,-0.0057199-0.030072i,0.006086-0.027742i,0.011583-0.022276i,0.012006-0.0065212i,0.013018+0.0046568i,0.013588+0.00076276i,0.0098549-0.0069801i
0.14296-0.11165i,0.22025-0.3653i,0.1935-0.52309i,0.075107-0.36487i,0.03711-0.10767i,0.079436-0.021629i,0.052427-0.045238i,0.002112-0.043025i,0.00098165-0.016206i,0.01613-0.0041247i,0.01851-0.0046474i,0.0065402-9.7431e-05i,-0.0019123+0.017049i,0.0050766+0.031444i,0.01643+0.030782i,0.019634+0.020376i,0.01025+0.010426i,-0.0031614+0.0059412i,-0.0081592+0.0056085i,-0.0044814+0.0077748i,-0.0001731+0.011888i,0.00010018+0.016331i,-0.0030254+0.017766i
0.15876-0.12028i,0.31999-0.27964i,0.37374-0.32138i,0.28017-0.2162i,0.15094-0.13572i,0.038005-0.14183i,-0.036588-0.14004i,-0.040194-0.095342i,-0.015555-0.056018i,-0.0042046-0.03384i,-0.00020884-0.02389i,-0.0028453-0.015332i,-0.006122+0.0078348i,0.0036426+0.029374i,0.017698+0.026594i,0.021114+0.010168i,0.018781+0.0073473i,0.020519+0.015744i,0.019898+0.017317i,0.0094861+0.01435i,0.00088343+0.016735i,0.0039916+0.017755i,0.0092336+0.010108i
0.05447+0.031831i,0.19908+0.16316i,0.28992+0.2634i,0.21334+0.18819i,0.062075+0.085823i,0.0047526+0.093294i,0.051351+0.073685i,0.074991+0.0052973i,0.057166-0.011486i,0.04909+0.0030579i,0.04061+0.0089561i,0.025384+0.011715i,0.010274+0.01696i,-0.0023945+0.028007i,-0.0037441+0.037823i,0.0029917+0.037475i,0.0072421+0.026426i,0.0074024+0.012535i,0.0066471+0.00098107i,0.0065114-0.0092933i,0.0019046-0.017776i,-0.0083587-0.019329i,-0.013365-0.015483i
-0.0072568+0.21326i,0.058909+0.55865i,0.14532+0.75302i,0.15234+0.57619i,0.095215+0.28316i,0.088588+0.12284i,0.12312+0.046412i,0.10933+0.0054987i,0.06468-0.012667i,0.026629-0.021327i,0.012903-0.013226i,0.023226-0.0096133i,0.021852-0.023289i,0.005373-0.033472i,-0.0042264-0.029457i,-0.0024598-0.021357i,-0.00040703-0.014375i,-0.0022561-0.0060243i,-0.0015149-0.0035581i,-0.0071475-0.011446i,-0.016992-0.0146i,-0.015297-0.0068807i,-0.0058754+0.00060873i
-0.050588+0.17427i,-0.14935+0.32572i,-0.15987+0.35316i,-0.077402+0.21789i,-0.069224+0.085736i,-0.11574+0.075292i,-0.085095+0.1165i,-0.027481+0.10505i,-0.02647+0.070466i,-0.04509+0.060584i,-0.041153+0.053423i,-0.024638+0.029977i,-0.016234-0.0050095i,-0.022702-0.032293i,-0.035602-0.0356i,-0.04155-0.019905i,-0.035354-0.0093051i,-0.025877-0.011337i,-0.017445-0.0091104i,-0.0037699+0.00080845i,0.010499+0.0047984i,0.016051-0.00047531i,0.013488-0.0054655i
-0.15538-0.041726i,-0.47624-0.18321i,-0.73813-0.27817i,-0.64335-0.19713i,-0.33277-0.045167i,-0.15191+0.046038i,-0.10992+0.093744i,-0.074128+0.10323i,-0.03303+0.075206i,-0.0058569+0.040798i,0.0016277+0.018407i,-0.0024139+0.0141i,0.0036463+0.010069i,0.018862-0.0042618i,0.028459-0.017648i,0.02807-0.018733i,0.01708-0.011327i,0.0015354-0.0033378i,-0.0040685+0.0036158i,0.0045028+0.0035126i,0.011413-0.00030255i,0.010664+0.00025016i,0.0072361+0.0014442i
-0.15086-0.1929i,-0.35117-0.38669i,-0.50032-0.38169i,-0.41072-0.18945i,-0.18797-0.098478i,-0.10767-0.13933i,-0.14011-0.11361i,-0.1152-0.056571i,-0.062315-0.047099i,-0.035765-0.052567i,-0.028832-0.049862i,-0.027382-0.029424i,-0.0090584+0.0026642i,0.018728+0.017997i,0.027286+0.0075388i,0.014126-0.011378i,0.0055307-0.017996i,0.012834-0.014161i,0.01872-0.010688i,0.013465-0.0043086i,0.0086974+0.0055942i,0.0082276+0.010047i,0.0054539+0.0071629i
0.053445-0.21448i,0.2653-0.41948i,0.4467-0.51042i,0.40181-0.41696i,0.18745-0.27203i,0.014351-0.18791i,-0.054898-0.16903i,-0.066301-0.14597i,-0.046642-0.094576i,-0.014195-0.047648i,0.0035634-0.024029i,0.0088864-0.0062181i,0.021071+0.016215i,0.03793+0.038786i,0.052989+0.052261i,0.058528+0.045251i,0.049873+0.02566i,0.038036+0.0087982i,0.030504-0.0033718i,0.022298-0.0095186i,0.012977-0.0070881i,0.0094977+0.00083254i,0.01123+0.0046108i
0.22266-0.053976i,0.52781-0.14047i,0.66089-0.34341i,0.44078-0.4309i,0.16458-0.27937i,0.085912-0.13923i,0.083504-0.12986i,0.058058-0.11483i,0.041996-0.07088i,0.034655-0.041205i,0.035696-0.02341i,0.033905-0.024005i,0.0080704-0.020481i,-0.013008+0.0021031i,-0.0078275+0.0079991i,0.0076646-0.01172i,0.015883-0.028442i,0.016667-0.025795i,0.016743-0.01631i,0.0077669-0.0091027i,-0.0037395-0.0021283i,-0.005997-0.0009367i,-0.0065955-0.004402i
0.19366+0.1984i,0.27269+0.40214i,0.27415+0.45246i,0.18112+0.32773i,0.083085+0.19394i,0.089025+0.093038i,0.13794+0.022649i,0.13762-0.0036423i,0.08767-0.0042556i,0.031793+0.0139i,0.0070007+0.026533i,-0.0048996+0.017503i,-0.022502+0.0095664i,-0.037835+0.009254i,-0.046891+0.019872i,-0.045624+0.038579i,-0.03849+0.043536i,-0.034084+0.035706i,-0.026675+0.031871i,-0.012854+0.028689i,-0.0073398+0.023032i,-0.013091+0.024199i,-0.015557+0.027326i
-0.018011+0.24724i,-0.0869+0.47929i,-0.02795+0.66547i,0.13201+0.57624i,0.17571+0.29129i,0.11364+0.13119i,0.092934+0.11598i,0.093331+0.095813i,0.067697+0.064612i,0.038734+0.051042i,0.023421+0.043209i,0.015441+0.023884i,0.00037892-0.011454i,-0.01753-0.042967i,-0.019042-0.047046i,-0.00035743-0.022859i,0.017883+0.0053605i,0.02024+0.022949i,0.016139+0.029579i,0.0141+0.020445i,0.011218+0.0062446i,0.013495-0.0002244i,0.016821-0.0063143i
-0.26647-0.0064928i,-0.40107-0.016676i,-0.37049+0.059843i,-0.19658+0.095607i,-0.046342+0.028321i,-0.0068061+0.021996i,-0.0048344+0.085345i,0.0087354+0.097128i,0.018657+0.057914i,0.014876+0.013457i,0.0047358-0.011568i,0.0013806-0.014943i,0.0049746-0.0096596i,0.0085688-0.00341i,0.0018272-0.0048326i,-0.016414-0.0099304i,-0.02137-0.013631i,-0.011425-0.017416i,-0.0071284-0.017944i,-0.0076414-0.016511i,-0.0081032-0.019473i,-0.01451-0.02452i,-0.020291-0.023983i
-0.21888-0.24433i,-0.32866-0.3726i,-0.39882-0.33639i,-0.3423-0.16439i,-0.17408-0.051126i,-0.072496-0.039206i,-0.089633-0.027716i,-0.10727-0.0012269i,-0.080803+0.008058i,-0.049928-0.0053445i,-0.031272-0.015423i,0.0022441-0.0061949i,0.054323-0.0013513i,0.091864-0.007195i,0.099892-0.0095542i,0.079104-0.010308i,0.043447-0.010067i,0.016714-0.0070136i,0.0061031-0.0035049i,0.0051324+0.00086299i,0.0050063+0.0072775i,0.0080313+0.015296i,0.015077+0.016516i
