-0.0026545+0.00037581i,-0.0021076-0.00067214i,-0.002728-0.00089494i,-0.0032763-0.00024087i,-0.0026271+0.00011717i,-0.0011973+0.00089839i,-0.00035317+0.0016162i,0.00018378+0.0012149i,0.00093868+0.00022405i,0.0009788-0.00020818i,0.00035458-0.0007116i,0.00029285-0.00052016i,0.00047072-2.3536e-05i,-2.7791e-05-0.00021235i,-0.00027632-0.00064011i,-0.00036323-0.00013569i,-6.4174e-05+1.4853e-05i,0.00076504+7.6008e-05i,0.001002+0.0004979i,0.00075057+0.00030109i,0.00058946+0.00053158i,9.9584e-05+0.00067434i,-0.00069544+0.00054549i
-0.068591+0.0049927i,-0.19115+0.071827i,-0.24371+0.24029i,-0.11182+0.393i,0.05079+0.37351i,0.066105+0.21327i,-0.037809+0.044401i,-0.21299-0.058844i,-0.36003-0.036052i,-0.33574+0.049315i,-0.19528+0.041443i,-0.10433-0.043788i,-0.079724-0.064541i,-0.031467-0.02189i,0.034411-0.017081i,0.04752-0.057413i,0.018603-0.082204i,0.0010538-0.082826i,0.0019318-0.072254i,0.0036481-0.037093i,0.0069262+0.010832i,0.018003+0.042432i,0.034293+0.044988i
0.097192-0.059708i,0.2361-0.22181i,0.34605-0.36446i,0.3757-0.30082i,0.36703-0.11251i,0.3184+0.0020413i,0.22067+0.070308i,0.14347+0.19553i,0.13222+0.27829i,0.13898+0.20396i,0.099552+0.070203i,0.036994+0.0067526i,0.008737+0.001927i,0.010662-0.0087571i,0.0018217-0.02896i,-0.019015-0.027674i,-0.02098-0.0013943i,-0.0007173+0.031568i,0.026111+0.049685i,0.048661+0.042707i,0.059366+0.015464i,0.053112-0.016477i,0.030482-0.029645i
-0.024983+0.11878i,0.0066819+0.28848i,0.056329+0.37141i,0.056279+0.2635i,0.041815+0.10668i,0.061242-0.0014144i,0.0714-0.04802i,0.11759-0.024107i,0.21537-0.022273i,0.20829-0.061687i,0.11281-0.04548i,0.059826-0.0093082i,0.028912-0.019253i,-0.013277-0.018666i,-0.023961+0.017361i,0.012459+0.040152i,0.058689+0.030203i,0.087203+0.018369i,0.098717+0.02779i,0.099384+0.034606i,0.078222+0.0022139i,0.021901-0.043274i,-0.040352-0.045799i
-0.12785-0.082596i,-0.37738-0.118i,-0.58585-0.020405i,-0.48435+0.11784i,-0.24872+0.075019i,-0.20517-0.062346i,-0.24926-0.054696i,-0.18739+0.0044213i,-0.10974-0.026295i,-0.080506-0.044357i,-0.036867-0.010428i,0.0036908-0.00027813i,0.0059972-0.0071989i,0.00063175-0.0044817i,0.0052381-0.007147i,0.0047205-0.015401i,-0.0031522-0.018679i,-0.0083688-0.024305i,-0.012814-0.028893i,-0.013561-0.016265i,-0.0058356+0.01481i,0.0093582+0.047626i,0.023605+0.06021i
0.17065+0.0050222i,0.39952-0.092976i,0.51376-0.23788i,0.32392-0.29154i,0.02402-0.19979i,-0.11509-0.071251i,-0.11705-0.03164i,-0.082972-0.053276i,-0.061335-0.049865i,-0.069513-0.019063i,-0.082778+0.010076i,-0.065928+0.034999i,-0.020846+0.041106i,0.014033+0.024222i,0.020505-0.0017974i,0.010432-0.025554i,0.0022512-0.044681i,-0.0025292-0.060851i,-0.0085539-0.067485i,-0.0058894-0.056765i,0.013336-0.029798i,0.044568-0.0046834i,0.07209+0.0035482i
-0.089785+0.15105i,-0.10778+0.38542i,0.009781+0.51076i,0.16044+0.33041i,0.18274+0.089517i,0.13987+0.024557i,0.099797+0.023106i,0.01882+0.007928i,-0.016826+0.0068835i,0.017115-0.0013956i,0.02902+0.0057568i,0.028564+0.038559i,0.036261+0.045254i,0.023162+0.020074i,-0.011257+0.0043451i,-0.042269+0.013451i,-0.0542+0.022343i,-0.052373+0.0092786i,-0.048279-0.012886i,-0.040612-0.02068i,-0.024558-0.016061i,-0.0024282-0.016536i,0.016886-0.025299i
-0.030657-0.21087i,-0.18897-0.46897i,-0.37868-0.59022i,-0.38618-0.42668i,-0.21974-0.24259i,-0.09798-0.23748i,-0.087612-0.23901i,-0.095165-0.13798i,-0.077296-0.019816i,-0.036627+0.031734i,0.0066505+0.0093416i,0.025215-0.029176i,0.029336-0.035522i,0.032531-0.020118i,0.038313-0.0053262i,0.042613-0.0076708i,0.032143-0.018906i,0.014078-0.017277i,0.0061194-0.0062529i,0.0042897-0.0017393i,-0.0091656-0.0062066i,-0.034121-0.010102i,-0.047559-0.0073375i
0.1916+0.12585i,0.48137+0.18809i,0.67828+0.18369i,0.58239+0.15238i,0.3524+0.13555i,0.15726+0.090361i,0.0019214+0.038242i,-0.057807+0.042991i,-0.026488+0.038845i,-0.0096371+0.0033808i,-0.02465-0.013404i,-0.03843-0.016777i,-0.041146-0.016636i,-0.021969-0.0096975i,0.0062751-0.0080494i,0.015987-0.010263i,0.0078331-0.0033667i,-0.00089501+0.013826i,0.0038959+0.025112i,0.014118+0.011689i,0.004093-0.013055i,-0.024225-0.013253i,-0.041132+0.013881i
-0.24922+0.050884i,-0.50885+0.24118i,-0.58647+0.41096i,-0.36279+0.3395i,-0.13372+0.14563i,-0.052268+0.10175i,0.052441+0.1234i,0.16372+0.04748i,0.15779-0.01374i,0.091574+0.0016085i,0.032299+0.025566i,-0.0069007+0.040161i,-0.014563+0.035741i,-0.019118+0.0096544i,-0.035385-0.0063184i,-0.039734+0.00054521i,-0.024925+0.012131i,-0.005669+0.012621i,-0.00011646+0.0074199i,-0.0078354+0.011691i,-0.0097997+0.024074i,0.0024577+0.03174i,0.01715+0.026227i
0.13377-0.2344i,0.15408-0.56602i,0.028794-0.78738i,-0.15943-0.63869i,-0.17945-0.32502i,-0.06927-0.1583i,-0.044796-0.10219i,-0.082823-0.082908i,-0.087696-0.097784i,-0.064048-0.078284i,-0.021032-0.026229i,0.015788+0.0002049i,0.014973+0.012269i,0.0058387+0.026164i,0.0085422+0.026756i,0.0034278+0.017892i,-0.011974+0.0093401i,-0.024233-0.003161i,-0.031453-0.015871i,-0.033585-0.020633i,-0.030128-0.015827i,-0.017916-0.0099167i,-0.00061557-0.012765i
0.085941+0.2907i,0.30058+0.55981i,0.48131+0.64398i,0.39885+0.39682i,0.15428+0.1144i,0.045243+0.029797i,0.096504+0.014439i,0.084126-0.0098975i,-0.017038-0.017608i,-0.063217-0.029237i,-0.043541-0.052368i,-0.018915-0.057036i,0.00049335-0.041223i,0.0073121-0.028201i,0.0019768-0.013742i,0.0075833+0.0015638i,0.017686+0.0044698i,0.0086631+0.0052229i,-0.007443+0.014975i,-0.0056132+0.025441i,0.013011+0.026082i,0.026849+0.011842i,0.021098-0.010221i
-0.27348-0.13306i,-0.60605-0.16026i,-0.79858-0.075391i,-0.64659+0.070122i,-0.39849+0.12049i,-0.27778+0.070134i,-0.195+0.043096i,-0.072527+0.059652i,0.032688+0.092105i,0.063591+0.093253i,0.024224+0.052808i,-0.029182+0.021081i,-0.0449+0.0014749i,-0.03709-0.012196i,-0.030215-0.013607i,-0.029139-0.012321i,-0.023778-0.0053581i,0.0081005+0.011353i,0.048509+0.015689i,0.055117+0.0025469i,0.033539-0.0062787i,0.012503+0.00021169i,0.0038197+0.010194i
0.30494-0.1177i,0.58501-0.33054i,0.71947-0.4936i,0.57708-0.40515i,0.38372-0.15596i,0.29876-0.0027732i,0.20278-0.0037686i,0.085397-0.015871i,0.026976+0.0046924i,0.0073228+0.029179i,0.0092927+0.057873i,0.024565+0.059059i,0.015696+0.033703i,-0.0033261+0.023833i,0.0037291+0.028934i,0.03001+0.027734i,0.048206+0.019455i,0.04694+0.011522i,0.035658+0.0060697i,0.024938+0.0021493i,0.013865-0.0025389i,0.0059614-0.0029165i,0.0013809+0.0041065i
-0.11674+0.29152i,-0.17529+0.61295i,-0.17314+0.81644i,-0.095807+0.69435i,-0.033101+0.39624i,-0.027887+0.16292i,-0.015175+0.021373i,0.017428-0.062602i,0.050466-0.10179i,0.044293-0.11449i,0.0082658-0.089504i,-0.0044342-0.046195i,-0.003009-0.013878i,0.0013054+0.010962i,0.013794+0.014167i,0.018498+0.0013904i,0.023344-0.0083003i,0.032072-0.021251i,0.027908-0.026033i,0.018001-0.0096995i,0.021203+0.01021i,0.029068+0.014393i,0.025687+0.010729i
-0.13754-0.28361i,-0.30876-0.53159i,-0.40335-0.62772i,-0.27143-0.43873i,-0.030842-0.20912i,0.058649-0.1272i,-0.00084442-0.02481i,-0.027624+0.099779i,-0.02788+0.10701i,-0.033499+0.073994i,-0.0076157+0.056199i,0.018219+0.030304i,0.031316+0.020737i,0.040807+0.0094255i,0.023382-0.013997i,-0.0048272-0.020708i,-0.022555-0.017678i,-0.039609-0.0076205i,-0.045868+0.014528i,-0.033427+0.024195i,-0.019826+0.01353i,-0.016356-0.00068055i,-0.015365-0.00218i
0.2943+0.10733i,0.5724+0.15756i,0.72044+0.10993i,0.52649-0.05903i,0.18486-0.13191i,0.022138-0.043566i,0.039601-0.025636i,0.038163-0.077576i,-0.0050669-0.037714i,-0.0073381+0.026468i,0.00037284+0.02907i,-0.0088653+0.021412i,-0.0083826+0.019525i,-0.0082793+0.013606i,-0.010399+0.019738i,-0.0036926+0.022422i,0.0013717+0.0046393i,0.0055157-0.024152i,0.01236-0.049206i,0.014758-0.056701i,0.0096616-0.046282i,0.00087441-0.025349i,-0.0031347-0.005077i
-0.2577+0.145i,-0.49863+0.27218i,-0.6404+0.33861i,-0.49885+0.2559i,-0.22728+0.063066i,-0.072166-0.073578i,-0.029253-0.059808i,0.009117-0.017176i,0.057287-0.044158i,0.07443-0.085881i,0.055907-0.085851i,0.035758-0.061546i,0.024353-0.045121i,0.013687-0.031374i,0.015748-0.01413i,0.020819-0.0051578i,0.011839+0.0013101i,-0.0037029+0.0054413i,-0.017638+0.0010999i,-0.027099+0.0010893i,-0.02989+0.0097117i,-0.022222+0.019543i,-0.0040083+0.020398i
0.055523-0.24482i,0.13119-0.45186i,0.17494-0.54055i,0.089831-0.39564i,-0.0083864-0.17931i,-0.00069655-0.10286i,-0.021672-0.1389i,-0.098032-0.11016i,-0.11265-0.016435i,-0.079932+0.015902i,-0.070806-0.0050794i,-0.075583-0.014557i,-0.059641-0.0073548i,-0.025105-0.0060261i,0.0011351-0.028767i,0.0009979-0.059265i,-0.0059846-0.063089i,-0.0020055-0.039583i,0.0045015-0.016772i,0.010118-0.010041i,0.0092816-0.013235i,-0.00096581-0.017383i,-0.012496-0.0163i
0.15305+0.1909i,0.24048+0.40049i,0.28879+0.58297i,0.28424+0.56173i,0.15793+0.36352i,-0.076386+0.1849i,-0.19181+0.14237i,-0.12943+0.1194i,-0.074896+0.03036i,-0.098583-0.0091639i,-0.099172+0.026162i,-0.05972+0.048945i,-0.029788+0.037227i,-0.01857+0.0076631i,-0.035632-0.0080837i,-0.064295+0.017642i,-0.067517+0.050964i,-0.044573+0.059066i,-0.01345+0.053331i,0.0072711+0.041086i,0.0095649+0.025143i,0.0030142+0.013039i,-0.00084139+0.0029619i
-0.18593-0.017475i,-0.30426-0.12445i,-0.31889-0.28773i,-0.18588-0.33526i,-0.0095237-0.20505i,0.10172-0.038737i,0.13531+0.048433i,0.11786+0.068716i,0.088128+0.076585i,0.086762+0.074383i,0.092405+0.052149i,0.083662+0.033975i,0.063968+0.020472i,0.026428+0.012085i,-0.0055779+0.029637i,-0.0029369+0.053269i,0.013607+0.054432i,0.022231+0.040739i,0.021924+0.0221i,0.013847+0.0073827i,0.0079162+0.0062784i,0.0084649+0.011651i,0.0064578+0.014999i
0.10547-0.12397i,0.21111-0.15713i,0.27692-0.12126i,0.17254-0.07128i,-0.011418+0.0018278i,-0.060085+0.12383i,0.0090168+0.14692i,0.043678+0.06248i,0.038739+0.01299i,0.04417+0.0040584i,0.051315-0.014825i,0.050536-0.036151i,0.036763-0.036108i,0.01877-0.007918i,0.027386+0.024487i,0.058154+0.034238i,0.067465+0.024825i,0.040043+0.011892i,0.003678+0.0042211i,-0.0096061+0.0044137i,0.0046927+0.0015344i,0.02653-0.01317i,0.032876-0.029403i
0.038107+0.13164i,-0.033883+0.1811i,-0.18408+0.14289i,-0.24321-0.002591i,-0.11724-0.18759i,0.05191-0.32422i,0.12271-0.3353i,0.091275-0.25047i,0.024123-0.16556i,-0.023141-0.11002i,-0.043865-0.073904i,-0.058471-0.057756i,-0.064267-0.04581i,-0.039736-0.027116i,0.0038366-0.030913i,0.027503-0.067849i,0.03156-0.093291i,0.03336-0.079088i,0.02818-0.04488i,0.017577-0.019707i,0.0052178-0.010975i,-0.010206-0.0067285i,-0.020894+0.0033662i
-0.12417-0.010081i,-0.13769-0.037683i,-0.10635-0.031373i,-0.094196+0.10862i,-0.093592+0.28149i,-0.082624+0.28144i,-0.086283+0.15697i,-0.072522+0.076689i,-0.017831+0.058929i,0.0092389+0.039696i,-0.016786+0.028185i,-0.037368+0.041363i,-0.027707+0.043262i,-0.011601+0.016842i,-0.012122-0.010698i,-0.030408-0.020645i,-0.045574-0.026912i,-0.042462-0.03947i,-0.02938-0.041964i,-0.017801-0.028652i,-0.015042-0.013422i,-0.020456+0.0012923i,-0.019166+0.013877i
0.072934-0.088987i,0.098042-0.064716i,0.13571+0.018546i,0.16747+0.0065436i,0.10846-0.12992i,-0.02166-0.21071i,-0.089543-0.15852i,-0.067682-0.082991i,-0.060714-0.044472i,-0.068787+0.0053963i,-0.029635+0.046975i,0.008172+0.053894i,0.013112+0.053488i,0.0082009+0.039833i,-0.0062214+0.018834i,-0.019851+0.018585i,-0.022654+0.027562i,-0.012604+0.026045i,0.0053728+0.012476i,0.0095852+0.0020435i,0.0041875+0.013723i,0.0094368+0.036349i,0.02441+0.04379i
0.05995+0.11831i,0.061557+0.14305i,0.03878+0.1485i,0.062131+0.20046i,0.15331+0.28792i,0.21833+0.31192i,0.1663+0.25122i,0.08046+0.18151i,0.077224+0.11775i,0.095195+0.040235i,0.074012-0.0095211i,0.058385-0.020887i,0.054533-0.019105i,0.038184-0.0051293i,0.021059+0.014388i,0.014417+0.027498i,0.0040177+0.033808i,-0.01934+0.033427i,-0.031057+0.029989i,-0.018274+0.020647i,-0.00276-0.0021566i,0.0035412-0.030731i,0.0012675-0.047458i
-0.13123-0.023802i,-0.13158-0.039768i,-0.067083-0.071766i,-0.012868-0.13198i,-0.052714-0.20229i,-0.1427-0.17559i,-0.10979-0.066027i,-0.01051-0.029556i,0.002986-0.043318i,-0.010439-0.024044i,0.0047527-0.013265i,0.010118-0.029001i,0.0052567-0.03055i,0.0048163-0.015769i,0.0049253-0.0046604i,0.010995+0.00015468i,0.029874+0.011024i,0.05036+0.02863i,0.056501+0.032446i,0.042677+0.024934i,0.021865+0.022627i,0.0074449+0.021561i,-0.0045147+0.018929i
0.10214-0.099879i,0.13652-0.12316i,0.1256-0.13451i,0.05995-0.13909i,0.036981-0.10577i,0.10573-0.097143i,0.1088-0.10681i,0.029233-0.046051i,-0.001807+0.018636i,0.0066563+0.01144i,-0.0072088-0.005179i,-0.030346-0.0016564i,-0.036262-0.0054017i,-0.023055-0.012446i,-0.013278-0.015014i,-0.021065-0.016283i,-0.03041-0.019507i,-0.027689-0.020188i,-0.017775-0.015089i,-0.0069415-0.013276i,-0.001143-0.018683i,-0.0077756-0.019122i,-0.016162-0.0062352i
0.013923+0.13941i,-0.017914+0.17623i,-0.029699+0.15852i,-0.0085077+0.081421i,-0.044894+0.036566i,-0.10769+0.068446i,-0.067114+0.052316i,0.003596-0.045394i,-0.017444-0.087128i,-0.05713-0.044981i,-0.058225-0.012091i,-0.042435-0.0019327i,-0.029054-0.0019009i,-0.023402-0.0054682i,-0.0071854-0.00018719i,0.018857+0.004953i,0.041667+0.0033197i,0.056112-0.0096784i,0.047623-0.025393i,0.028953-0.021683i,0.026454-0.0055743i,0.036637+0.0047734i,0.044491+0.0046493i
-0.11675-0.063377i,-0.13564-0.14743i,-0.19113-0.19844i,-0.26109-0.13831i,-0.2013-0.085495i,-0.080345-0.14153i,-0.082114-0.17017i,-0.11386-0.063103i,-0.040989+0.033277i,0.018402+0.02485i,0.0075737+0.010251i,0.0053624+0.027414i,0.023727+0.036182i,0.02716+0.023129i,0.015707+0.007462i,0.0032078-6.8753e-05i,-0.01612-0.010736i,-0.04152-0.019993i,-0.052039-0.01607i,-0.045271-0.011138i,-0.039955-0.015446i,-0.042797-0.02034i,-0.041393-0.018678i
0.10411-0.026134i,0.16458+0.073796i,0.26009+0.2056i,0.35793+0.23769i,0.34896+0.21148i,0.24158+0.21537i,0.15981+0.18486i,0.10795+0.066242i,0.035931-0.030401i,-0.014855-0.035175i,-0.01673-0.013556i,-0.010707-0.0079226i,-0.012511+0.0023797i,-0.0053992+0.014229i,0.0096635+0.0075086i,0.024861-0.0085658i,0.033694-0.015279i,0.030286-0.010207i,0.020775-0.0017678i,0.012804+0.0084287i,0.0096013+0.019736i,0.011035+0.022726i,0.0099593+0.016355i
-0.024394+0.08893i,-0.13087+0.039962i,-0.29583-0.030049i,-0.39915-0.017551i,-0.36871+0.0024254i,-0.29396-0.060349i,-0.24785-0.057607i,-0.15455+0.035275i,-0.030833+0.059529i,0.029522+0.020228i,0.038203-0.00041658i,0.038282-0.0051117i,0.033867-0.011726i,0.018228-0.01484i,-0.011845-0.010942i,-0.044517-0.0033286i,-0.066182+0.0070337i,-0.069744+0.019812i,-0.049686+0.029883i,-0.021872+0.026604i,-0.0065073+0.018483i,-0.00045685+0.018233i,0.0061712+0.020109i
-0.05269-0.034694i,0.08313-0.03002i,0.33472-0.030419i,0.51948-0.099002i,0.50345-0.14114i,0.39853-0.035413i,0.33185+0.050803i,0.21974+0.022535i,0.063236+0.013588i,-4.3442e-05+0.0384i,0.0087823+0.019684i,0.00099258-0.0094106i,-0.012051-0.011934i,-0.012022-0.0030698i,-0.0078179+0.0067961i,0.00076763+0.013663i,0.019083+0.019148i,0.040602+0.020197i,0.047193+0.0062204i,0.034842-0.010486i,0.019354-0.014775i,0.013306-0.01636i,0.0069176-0.022029i
0.05455-0.048534i,-0.061408-0.018393i,-0.30785+0.04577i,-0.51489+0.1154i,-0.52981+0.12177i,-0.41815+0.022989i,-0.30288-0.054192i,-0.18038-0.032324i,-0.057012+0.00020813i,-0.0013177+0.010217i,0.004134+0.020654i,0.001566+0.013708i,-0.010277-0.0048437i,-0.019923-0.0093503i,-0.01626+0.0057447i,-0.011085+0.0226i,-0.01179+0.021337i,-0.01396+0.0058814i,-0.015413-0.004502i,-0.013863-0.0020645i,-0.011015-0.00077477i,-0.014059-0.0029844i,-0.017722+0.0011112i
0.021115+0.086241i,0.1082+0.029854i,0.28237-0.13109i,0.39656-0.2963i,0.34842-0.3122i,0.27638-0.18146i,0.24544-0.071868i,0.16289-0.045386i,0.05746-0.024656i,0.0097616-0.0069539i,-0.0067892-0.0048466i,-0.013742+0.0049515i,-0.0073816+0.010771i,0.004512+0.005493i,0.028648-0.0061857i,0.053538-0.024149i,0.05888-0.035254i,0.051323-0.034141i,0.036078-0.027501i,0.016036-0.017262i,0.002349-0.0047481i,-0.0045926+0.0076023i,-0.0063653+0.018522i
-0.097224-0.040889i,-0.16955+0.019399i,-0.28417+0.21328i,-0.35527+0.42966i,-0.31633+0.45344i,-0.27192+0.29398i,-0.25093+0.12591i,-0.16756+0.025075i,-0.067188-0.033942i,-0.031894-0.04277i,-0.018962-0.010191i,-0.00046165+0.013067i,0.0045253+0.026641i,0.0030328+0.034615i,-0.0036933+0.0232i,-0.014068+0.008735i,-0.025195+0.00070647i,-0.0347-6.209e-05i,-0.026167+0.0083482i,-0.002063+0.01208i,0.015161+0.0059997i,0.020254-0.00038113i,0.026315-0.0055853i
0.1158-0.034832i,0.18488-0.092784i,0.2479-0.22774i,0.27645-0.3348i,0.27132-0.26698i,0.26863-0.11823i,0.25424-0.029223i,0.17469-0.0013512i,0.070331-0.0023124i,0.012945-0.017048i,-0.0042393-0.026599i,-0.0087568-0.020786i,-0.0023449-0.013145i,0.0053471-0.015161i,0.0014488-0.023607i,-0.0089798-0.027134i,-0.0080825-0.01422i,0.0041099+0.0030372i,0.011098+0.0053216i,0.0052175+0.00023178i,-0.0050578+0.0024673i,-0.0047771+0.0060144i,-0.0039173+0.0015944i
-0.059519+0.11331i,-0.11261+0.19236i,-0.1331+0.30415i,-0.092633+0.37409i,-0.035556+0.30537i,-0.022589+0.14808i,-0.053693+0.024602i,-0.052511-0.023464i,-0.0051389-0.015129i,0.02126+0.003449i,0.010784+0.0041304i,0.00263-0.0025884i,0.010623-0.0020909i,0.015867+0.0054164i,0.0070941+0.018767i,-0.0024687+0.032899i,-0.0054273+0.033433i,-0.0084793+0.019671i,-0.012234+0.0083468i,-0.0080794+0.0037809i,0.004309-0.00058896i,0.0099833-0.0054488i,0.0022879-0.0066964i
-0.033956-0.11222i,-0.0001813-0.21154i,0.043938-0.31826i,0.073083-0.38724i,0.075657-0.38117i,0.062822-0.29401i,0.04833-0.17012i,0.023542-0.055634i,0.002629+0.0045849i,0.0073658+0.0039618i,0.010317-0.013742i,-0.0037141-0.019091i,-0.01552-0.023545i,-0.020322-0.032554i,-0.021606-0.031773i,-0.016298-0.019839i,-0.00045568-0.0088623i,0.014788-0.0033857i,0.013917-0.0029646i,0.00056782-0.0027088i,-0.01139+0.00086613i,-0.014769+0.0060343i,-0.01084+0.015291i
0.084586+0.040458i,0.085261+0.12749i,0.038859+0.20856i,-0.03658+0.21368i,-0.089944+0.14333i,-0.11799+0.069457i,-0.12187+0.02534i,-0.072602+0.00053503i,-0.0035549-0.0053324i,0.022704+0.0063629i,0.018793+0.019367i,0.020013+0.017736i,0.022296+0.0073353i,0.019235+0.0043469i,0.023549+0.0053359i,0.029851-0.0025567i,0.018125-0.017632i,-0.0016794-0.025993i,-0.0063593-0.021812i,-0.00013213-0.017385i,0.0029345-0.021221i,0.0014245-0.024186i,0.0031886-0.024499i
-0.067743+0.031137i,-0.10254-0.038989i,-0.098936-0.13816i,-0.049728-0.18803i,-0.019746-0.14985i,-0.046502-0.063712i,-0.060556+0.032514i,-0.055803+0.08656i,-0.068556+0.074762i,-0.067036+0.039446i,-0.042547+0.016908i,-0.021671+0.012733i,-0.014602+0.015284i,-0.017089+0.01404i,-0.021901+0.012547i,-0.020362+0.014794i,-0.00806+0.016422i,0.006836+0.011207i,0.012093+0.0037022i,0.0075176+0.0066438i,0.00087796+0.018357i,-0.002062+0.026468i,-0.0020061+0.025922i
0.0029886-0.043708i,0.052363-0.0067627i,0.060462+0.074238i,-0.013267+0.16239i,-0.060647+0.20957i,0.0078185+0.17662i,0.073022+0.092015i,0.074773+0.016269i,0.052997-0.023569i,0.023524-0.018198i,0.013451+0.0041599i,0.016516+0.0080822i,0.013792+0.0044499i,0.014986+0.0056715i,0.022776-0.0010489i,0.024485-0.014342i,0.011637-0.018562i,-0.00084657-0.010718i,-0.00034514-0.0016045i,0.0070924-0.0010899i,0.014089-0.0085156i,0.015594-0.017365i,0.0082353-0.022312i
0.028033+0.027245i,-0.011168+0.041536i,-0.008254+0.022415i,0.060511-0.054521i,0.069955-0.10955i,0.0092795-0.07568i,-0.012815-0.018592i,-0.0089397+0.017161i,-0.010469+0.037565i,-0.010942+0.037397i,-0.018914+0.029154i,-0.022899+0.026623i,-0.017433+0.02371i,-0.01436+0.022909i,-0.016109+0.028408i,-0.014098+0.035444i,-0.0045161+0.036674i,0.0046093+0.029666i,0.0067513+0.018465i,0.0059499+0.011584i,0.0062251+0.012647i,0.0086413+0.016495i,0.013686+0.019687i
-0.026926+0.018959i,-0.02647-0.020927i,-0.070948+0.0012243i,-0.11787+0.12214i,-0.070042+0.17589i,0.020502+0.10025i,0.069433+0.0055895i,0.075377-0.05507i,0.052719-0.070761i,0.032306-0.056663i,0.028021-0.048523i,0.020469-0.044895i,0.011395-0.033071i,0.0091348-0.024458i,0.008729-0.027957i,0.0045932-0.035617i,-0.0026523-0.033677i,-0.0097417-0.02139i,-0.013567-0.0097171i,-0.015404-0.0059916i,-0.019292-0.0081682i,-0.023889-0.012028i,-0.027218-0.014352i
0.00014448-0.025424i,0.054558+0.0056293i,0.13591-0.043756i,0.15363-0.17144i,0.086866-0.1965i,0.0025392-0.12893i,-0.056946-0.088472i,-0.072929-0.054411i,-0.035439-0.019737i,0.0052182-0.0066445i,0.0082975+0.0062927i,0.00062716+0.016668i,-0.00087806+0.013344i,-0.0013809+0.011725i,-0.0012232+0.022567i,0.00012041+0.035227i,0.0013133+0.033978i,0.0012598+0.022866i,-0.0016142+0.014292i,-0.0043723+0.01301i,0.00086781+0.01744i,0.010007+0.023018i,0.015387+0.024611i
0.023497+0.0029815i,-0.061915+0.020172i,-0.13876+0.11285i,-0.11045+0.22499i,-0.021615+0.22364i,0.050347+0.13946i,0.081816+0.079502i,0.066221+0.041408i,0.018468+0.022007i,-0.011347+0.010543i,-0.015704-0.023204i,-0.020768-0.0455i,-0.020047-0.036147i,-0.0081537-0.029856i,-7.6839e-05-0.04109i,-0.0025841-0.053141i,-0.0066634-0.048748i,-0.0042505-0.032704i,0.0038291-0.017541i,0.010697-0.010559i,0.009853-0.011876i,0.0035212-0.013093i,-0.0013227-0.011809i
0.0024457+0.032794i,0.080308-0.045732i,0.13612-0.19078i,0.10978-0.29685i,0.058771-0.28137i,0.0039412-0.20075i,-0.069213-0.12973i,-0.10003-0.06643i,-0.067555-0.030592i,-0.033575-0.012782i,-0.011141+0.019283i,0.0087883+0.039839i,0.01542+0.036963i,0.01265+0.031914i,0.0076464+0.035991i,0.008464+0.046238i,0.015912+0.044344i,0.01738+0.026019i,0.010362+0.0036993i,0.0033548-0.01034i,0.0024117-0.010659i,0.0077888-0.0056342i,0.014506-0.00095288i
-0.053533-0.013212i,-0.083325+0.10761i,-0.067037+0.28192i,-0.00012137+0.36114i,0.041132+0.2944i,0.054348+0.19539i,0.088782+0.13793i,0.103+0.088983i,0.070123+0.049145i,0.02888+0.028024i,-0.0047312+0.0077816i,-0.024718-0.0026987i,-0.021554+0.0003696i,-0.010345-0.0048362i,-0.0087308-0.025183i,-0.016253-0.044412i,-0.018693-0.044613i,-0.0097634-0.031548i,-0.00012428-0.019787i,0.0017697-0.01073i,-0.0024357-0.0048301i,-0.0097581-0.0052186i,-0.018472-0.0095836i
0.0599-0.036939i,0.027174-0.16106i,-0.061212-0.31616i,-0.1396-0.37717i,-0.13929-0.31927i,-0.11449-0.23717i,-0.11953-0.16069i,-0.10216-0.079959i,-0.056818-0.033622i,-0.022516-0.015922i,0.0064529+0.0099416i,0.034629+0.025016i,0.03982+0.017084i,0.024136+0.015788i,0.015522+0.035224i,0.023542+0.052125i,0.028947+0.045797i,0.016365+0.028199i,-0.0031451+0.020652i,-0.0095452+0.021086i,-0.0049143+0.020558i,0.00080589+0.01992i,0.0063933+0.022253i
-0.013208+0.090457i,0.073072+0.18233i,0.20306+0.27053i,0.2574+0.27506i,0.18745+0.20462i,0.10276+0.15099i,0.090485+0.12011i,0.096929+0.067248i,0.077055+0.016544i,0.047639-0.010635i,0.012333-0.022639i,-0.018536-0.019846i,-0.024914-0.016075i,-0.020793-0.024779i,-0.023856-0.039256i,-0.033328-0.047301i,-0.036951-0.041468i,-0.024222-0.024733i,-0.0029729-0.010471i,0.011423-0.0063859i,0.011212-0.009503i,6.0407e-06-0.011908i,-0.012723-0.010505i
-0.054586-0.087766i,-0.1725-0.13218i,-0.32635-0.16667i,-0.40039-0.17126i,-0.33684-0.14249i,-0.213-0.12017i,-0.12463-0.10455i,-0.072925-0.061751i,-0.028863-0.011009i,0.0023844+0.010796i,0.023936+0.0063453i,0.037771-0.0095771i,0.029284-0.021081i,0.01592-0.0067676i,0.023286+0.023097i,0.040282+0.038485i,0.040886+0.037266i,0.024134+0.031078i,0.0060359+0.023788i,-0.0026278+0.017823i,-0.00083894+0.014428i,0.0084294+0.012703i,0.020579+0.0093936i
