-0.001223-0.00031605i,0.00029728-0.0013666i,0.00070859-0.00028537i,0.001096+0.0015366i,0.0011808+0.002714i,0.00090916+0.0022318i,0.0010709+0.0014324i,0.0008631+0.0012789i,0.00058865+0.0012709i,0.00060668+0.00079512i,0.00018154+0.00018045i,0.00072738-0.00021525i,0.00097333-0.00027548i,0.00053142+0.00016805i,0.0002828+0.00087474i,-6.5981e-05+0.0011715i,-9.0702e-05+0.0007094i,0.00011046-0.00013449i,0.00033064-0.00047223i,0.00049505-0.00039116i,-0.00034244-0.0004204i,-0.00074025-0.00098377i,0.00011595-0.0012392i
-0.08773-0.3874i,-0.082841-0.47458i,-0.039901-0.35736i,0.01596-0.198i,0.036709-0.13144i,-0.0020849-0.081157i,-0.02314-0.013169i,-0.0022701+0.016667i,0.011654+0.0089671i,0.0077024-0.0063475i,0.0005389-0.01703i,-0.00029148-0.017181i,0.0081536-0.010602i,0.019439-0.0041054i,0.028944-0.0023205i,0.034394-0.0070661i,0.031412-0.014868i,0.019308-0.020124i,0.0051296-0.017918i,-0.0038956-0.0089708i,-0.0074954-0.0011146i,-0.0096623-0.0008572i,-0.011767-0.0036592i
0.10298+0.30321i,0.15297+0.42579i,0.14246+0.34407i,0.065961+0.18568i,0.0026595+0.11534i,0.0097766+0.073116i,0.022564+0.011065i,-7.5714e-05-0.01916i,-0.015745-0.0097629i,-0.0095216+0.0065684i,0.0041341+0.015471i,0.011747+0.012413i,0.0041344+0.0042821i,-0.012843+0.0038406i,-0.02782+0.012112i,-0.035535+0.020704i,-0.032592+0.0255i,-0.020011+0.026094i,-0.0065789+0.022047i,0.0024529+0.015896i,0.0071961+0.008373i,0.0084508+0.0038805i,0.0088211+0.007226i
-0.23072-0.32948i,-0.3276-0.39515i,-0.26157-0.25738i,-0.086834-0.11636i,0.011417-0.09538i,-0.0045784-0.071243i,-0.017892-0.0085342i,0.0055822+0.017461i,0.015566+0.0038796i,0.0049574-0.007403i,-0.0057359-0.0045688i,-0.0034384+0.0065594i,0.010291+0.0093963i,0.022062-0.0014664i,0.027155-0.016043i,0.028456-0.026352i,0.025139-0.029745i,0.016345-0.027815i,0.0057733-0.022637i,-0.0035851-0.015785i,-0.0086038-0.0079792i,-0.0084904-0.0039181i,-0.0082742-0.0057587i
0.38161+0.17129i,0.45509+0.16468i,0.28311+0.074957i,0.046972+0.033272i,-0.039245+0.057388i,-0.01253+0.045155i,0.0059504+0.00074747i,-0.0048453-0.01704i,-0.0075732-0.0088195i,0.0025613+0.00020288i,0.0057713+0.002892i,-0.0013336+0.0024963i,-0.010939+0.0038783i,-0.017367+0.0051519i,-0.021621+0.0080731i,-0.02437+0.015083i,-0.022058+0.020962i,-0.01359+0.022078i,-0.0021883+0.01816i,0.0074926+0.0096311i,0.010025+0.0021528i,0.005488+0.0023704i,0.0011312+0.0064398i
-0.28765+0.007518i,-0.34859-0.0069224i,-0.1996-0.015812i,0.0082833-0.04582i,0.084061-0.084174i,0.051339-0.069712i,0.016498-0.016774i,0.015321+0.013166i,0.016399+0.012772i,0.0046826+0.0055399i,-0.0053282-0.001824i,-0.0083515-0.0069624i,-0.0018279-0.0077822i,0.012311-0.0097086i,0.024583-0.015601i,0.029593-0.022099i,0.025113-0.023924i,0.014087-0.020943i,0.0030242-0.015203i,-0.0039191-0.0082645i,-0.0052975-0.00361i,-0.00078685-0.0047898i,0.0035384-0.010086i
0.25668-0.0081808i,0.34376-0.0091237i,0.23366-0.020463i,0.023598+0.0055252i,-0.084156+0.063724i,-0.067443+0.067323i,-0.033293+0.023012i,-0.023503+0.00087009i,-0.016016+0.0016891i,-0.0029349+0.0021766i,0.008208-0.00077264i,0.010384-0.0046798i,-0.00026684-0.0034229i,-0.014873+0.0076685i,-0.024394+0.020154i,-0.028605+0.02709i,-0.026021+0.028616i,-0.015982+0.025618i,-0.0051066+0.020197i,0.0028664+0.01399i,0.0077432+0.007598i,0.0066678+0.0056169i,0.0038525+0.0079391i
-0.34916+0.10685i,-0.39738+0.18951i,-0.22271+0.17591i,0.0035444+0.061572i,0.092702-0.043943i,0.067841-0.058495i,0.034641-0.02446i,0.020346-0.0052913i,0.011047-0.0013943i,0.00063141+0.0022228i,-0.0042397+0.0089158i,0.00085014+0.0115i,0.0096075+0.0043637i,0.013716-0.0074847i,0.014473-0.016357i,0.016008-0.021569i,0.015617-0.023388i,0.010219-0.021098i,0.0023788-0.017856i,-0.0059087-0.013756i,-0.010542-0.0081994i,-0.0076655-0.0043059i,-0.002121-0.0023201i
0.19284-0.28758i,0.1976-0.36134i,0.063117-0.26286i,-0.080658-0.09736i,-0.12982+0.0027856i,-0.10173+0.030574i,-0.053793+0.021361i,-0.023336+0.006153i,-0.0088499-0.0013075i,-0.00042547-0.0042052i,0.0012625-0.0025562i,6.9588e-05+0.0038281i,-0.00077143+0.0097757i,-0.0057786+0.01395i,-0.013877+0.0177i,-0.019474+0.021899i,-0.018653+0.02333i,-0.011515+0.018781i,-0.0010378+0.013508i,0.0090721+0.010391i,0.012221+0.0069864i,0.007439+0.0040466i,0.00016387+0.0034066i
-0.020219+0.22501i,-0.030332+0.26178i,0.026518+0.18273i,0.12575+0.05628i,0.16858-0.032808i,0.13394-0.056883i,0.075095-0.039923i,0.035777-0.018709i,0.017383-0.0051859i,0.0088449+0.0026281i,0.00085776+0.0022861i,-0.0044988+0.00040144i,-0.00085781-0.0013629i,0.0095056-0.0072356i,0.019014-0.015973i,0.022553-0.023469i,0.020057-0.025532i,0.012666-0.020941i,0.0033021-0.01281i,-0.0065556-0.0073204i,-0.013573-0.0046545i,-0.013459-0.002104i,-0.0083169-0.0016273i
0.071031-0.18009i,0.088294-0.24232i,0.021838-0.20014i,-0.08539-0.080329i,-0.12875+0.025215i,-0.10419+0.054546i,-0.061165+0.041566i,-0.025508+0.024004i,-0.0089251+0.0098651i,-0.0058858+0.0015386i,-0.003876-0.0016238i,-0.0018869-0.0017386i,-0.0046066+0.00207i,-0.0095664+0.0086958i,-0.011601+0.017209i,-0.011097+0.022464i,-0.009466+0.021533i,-0.0068126+0.017102i,-0.0025017+0.013662i,0.0044936+0.01181i,0.012778+0.0069491i,0.014663+0.00081268i,0.0086535-0.0022057i
-0.0062297+0.29874i,0.028567+0.37725i,0.08065+0.27885i,0.11649+0.10796i,0.11756-0.0039941i,0.092906-0.037789i,0.05572-0.034196i,0.023438-0.021182i,0.0078888-0.01001i,0.0046441-0.0041539i,0.0057691-0.0033061i,0.0048421-0.0064521i,0.0042691-0.011362i,0.006834-0.016691i,0.0088357-0.020733i,0.010011-0.02263i,0.0099306-0.020808i,0.0068787-0.015655i,0.00090286-0.012769i,-0.0079505-0.014168i,-0.015822-0.012808i,-0.016606-0.0062129i,-0.0092254-0.00095562i
-0.19416-0.20279i,-0.22184-0.24929i,-0.18197-0.18718i,-0.14481-0.087123i,-0.13063-0.017773i,-0.10759+0.016103i,-0.066473+0.0206i,-0.028469+0.015307i,-0.0074326+0.008323i,-0.0038404+0.0038651i,-0.003663+0.0076125i,0.0018895+0.010358i,0.0049985+0.0082335i,0.0013982+0.0097493i,-0.0045995+0.014164i,-0.01022+0.018523i,-0.012736+0.0201i,-0.0088464+0.017394i,0.00075743+0.013192i,0.012348+0.0098535i,0.022026+0.0079055i,0.024702+0.004991i,0.019462+0.0031688i
0.14713+0.0371i,0.15451+0.083477i,0.13445+0.082356i,0.128+0.02166i,0.11565-0.035974i,0.087157-0.049542i,0.055146-0.033349i,0.028934-0.017317i,0.014946-0.0068042i,0.011636-0.003331i,0.0061619-0.0057112i,-0.00069805-0.0044983i,-0.00044483-0.0020309i,0.0031543-0.0062765i,0.0031122-0.014218i,0.0012994-0.019357i,0.00078144-0.018553i,0.00074902-0.013893i,-0.00077801-0.0093296i,-0.0078336-0.0081863i,-0.018175-0.0082445i,-0.023296-0.0040274i,-0.020039+0.00026187i
-0.066645-0.11197i,-0.10207-0.17219i,-0.099373-0.13817i,-0.071475-0.040761i,-0.04767+0.022321i,-0.043593+0.032785i,-0.037358+0.024336i,-0.020812+0.016876i,-0.010469+0.01315i,-0.0082158+0.013602i,-0.0052557+0.016086i,-0.0014996+0.015259i,-0.0018713+0.013734i,-0.0038004+0.015907i,-0.0021329+0.019602i,-0.00046153+0.019376i,-0.0016779+0.015288i,-0.0018151+0.012013i,0.0011571+0.012213i,0.0089083+0.015862i,0.018008+0.015488i,0.021855+0.0089425i,0.01858+0.0025656i
0.20423+0.078992i,0.2515+0.11765i,0.18058+0.096294i,0.080713+0.038425i,0.032499-0.0046128i,0.027536-0.016516i,0.029443-0.0089529i,0.018288-0.0064735i,0.0032979-0.0085996i,-0.0022404-0.01022i,-0.0035323-0.014741i,-0.0068433-0.015835i,-0.0075207-0.013947i,-0.005504-0.015472i,-0.0049546-0.016658i,-0.0014-0.015843i,0.0050934-0.014949i,0.0054479-0.013394i,-0.0024889-0.013893i,-0.014889-0.016097i,-0.02539-0.016423i,-0.029195-0.012717i,-0.024917-0.0077998i
-0.17578+0.093781i,-0.19197+0.070121i,-0.12481+0.0083584i,-0.052078-0.016353i,-0.0199+0.00052214i,-0.01613+0.0073018i,-0.02359-0.0019092i,-0.017987-0.0025265i,-0.0056456+0.0001555i,-0.0013318+0.003989i,0.0024588+0.011493i,0.0078769+0.013711i,0.0085566+0.010413i,0.0066661+0.01002i,0.0054319+0.011941i,0.0040379+0.014052i,0.0025092+0.015198i,0.0031076+0.01185i,0.0050446+0.0083788i,0.011024+0.0085354i,0.021182+0.010524i,0.026173+0.010434i,0.022313+0.0085989i
0.0075038-0.055491i,0.038361-0.026381i,0.041521+0.0090764i,0.016539-0.0083715i,-0.0032785-0.042226i,0.0015332-0.032915i,0.020154-0.0064709i,0.024359+0.0012011i,0.017581-0.0025029i,0.0106-0.0084378i,0.00096141-0.012932i,-0.0043318-0.014626i,-0.0026261-0.014348i,-0.00044531-0.013685i,-0.00091291-0.014155i,-0.0026304-0.013194i,-0.003818-0.009948i,-0.0034721-0.0072627i,-0.0019443-0.0096367i,-0.0058252-0.01525i,-0.01569-0.017623i,-0.021491-0.014546i,-0.019359-0.0094791i
-0.082108-0.019426i,-0.11631-0.035364i,-0.064567-0.040164i,0.017465-0.01157i,0.048349+0.026465i,0.029072+0.023647i,-0.0019234-7.0372e-06i,-0.011399-0.00015616i,-0.0023431+0.010816i,0.0053455+0.015187i,0.0095232+0.017273i,0.011552+0.019062i,0.0096407+0.018826i,0.0092797+0.017649i,0.0098323+0.014638i,0.0063021+0.0098597i,0.00089929+0.0063715i,-0.0016659+0.0067968i,0.0021687+0.012112i,0.012179+0.018534i,0.022289+0.020344i,0.025979+0.016653i,0.022168+0.01102i
0.10745-0.10951i,0.1184-0.094954i,0.062493-0.033122i,-0.016787-0.013315i,-0.057671-0.033139i,-0.045867-0.024433i,-0.0095303+0.0055212i,0.0062929+0.011786i,-0.0018583+0.0041027i,-0.0089965-0.0013382i,-0.013036-0.0071337i,-0.015626-0.010035i,-0.013276-0.0094884i,-0.0093645-0.010039i,-0.0072016-0.010094i,-0.0058984-0.0090803i,-0.0051903-0.0086389i,-0.0060545-0.0073942i,-0.0090952-0.0064322i,-0.01377-0.0088545i,-0.019708-0.012558i,-0.021507-0.012433i,-0.016508-0.0095599i
0.057954+0.10609i,0.054692+0.083532i,0.039645+0.020988i,0.05149+0.0079442i,0.06915+0.023125i,0.041504+0.0092367i,-0.0041998-0.012015i,-0.017967-0.013302i,-0.0083722-0.0067748i,0.00064943-0.0015407i,0.0072872+0.0043941i,0.010551+0.0085209i,0.0089194+0.010209i,0.0047411+0.011494i,0.0020931+0.010324i,0.0031003+0.0083405i,0.0039328+0.0063036i,0.0036698+0.0035275i,0.0024357+0.0054148i,0.0043359+0.01208i,0.011338+0.017303i,0.013761+0.016753i,0.0094692+0.012445i
-0.030977+0.025861i,-0.013744+0.036173i,-0.008415+0.031431i,-0.037485-0.015231i,-0.0637-0.060888i,-0.04239-0.047705i,-0.0022839-0.011152i,0.012388+0.00022514i,0.0053844-0.0034137i,-0.0031124-0.0044694i,-0.0084451-0.0055526i,-0.010998-0.0097593i,-0.010209-0.014112i,-0.0089599-0.016565i,-0.0086118-0.015699i,-0.0079161-0.010971i,-0.0059337-0.0052308i,-0.0026546-0.0032961i,-0.0019538-0.0094394i,-0.0079378-0.01833i,-0.016132-0.021654i,-0.016294-0.018762i,-0.010298-0.01357i
-0.05085+0.039586i,-0.053967+0.028785i,-0.017367-0.0015285i,0.047625+0.01689i,0.085164+0.062324i,0.063787+0.052917i,0.018739+0.012645i,0.0029318-0.0018762i,0.01263-1.4145e-05i,0.017692+0.00085249i,0.015589+0.0041083i,0.014929+0.0091408i,0.012517+0.010784i,0.0096057+0.010497i,0.0082256+0.0090648i,0.0068183+0.0055781i,0.0044977+0.0026883i,0.0043737+0.0033735i,0.0079501+0.0069805i,0.013226+0.011333i,0.01644+0.013472i,0.013728+0.01188i,0.0071804+0.0087193i
-0.064129-0.082003i,-0.05271-0.063673i,-0.037365-0.02221i,-0.063053-0.031565i,-0.087156-0.063601i,-0.060461-0.044101i,-0.011688-0.0037623i,0.0056297+0.010229i,-0.0023608+0.011473i,-0.0087826+0.010786i,-0.0097098+0.0053123i,-0.0080198-0.0020057i,-0.0053384-0.0074569i,-0.0025691-0.009868i,-0.0020723-0.0084553i,-0.0045825-0.0049698i,-0.0062448-0.0019348i,-0.0049916-6.6768e-05i,-0.0032753-0.0024688i,-0.0049005-0.010123i,-0.0085225-0.015146i,-0.0065704-0.012948i,-0.00031853-0.0084584i
0.072714-0.052403i,0.060604-0.063298i,0.040107-0.045692i,0.054856+0.0049586i,0.065081+0.05162i,0.038405+0.048417i,0.006818+0.017592i,-0.00098492+0.0015208i,0.0034582-0.0039032i,0.0046542-0.0068561i,0.0040459-0.0030766i,0.0038758+0.0050749i,0.0044563+0.012753i,0.0050675+0.017343i,0.0062141+0.017826i,0.0075836+0.013091i,0.0074341+0.005775i,0.004557+0.0023377i,0.0026026+0.0068437i,0.0064422+0.015271i,0.010553+0.017687i,0.0070055+0.013903i,-7.0492e-05+0.0093414i
0.036384+0.029261i,0.037989+0.037157i,0.020584+0.023116i,-0.022718-0.034183i,-0.050063-0.093435i,-0.039851-0.086969i,-0.018242-0.039661i,-0.0084453-0.010998i,-0.010732-0.0014846i,-0.01148+0.0036277i,-0.0088177+0.0026547i,-0.0084526-0.0036166i,-0.0087799-0.0076263i,-0.0093019-0.0095657i,-0.010345-0.010469i,-0.010578-0.0074166i,-0.0083225-0.0033512i,-0.0052011-0.001029i,-0.0049804-0.003147i,-0.0083157-0.0097617i,-0.010163-0.012766i,-0.005638-0.0098777i,0.00058952-0.0058279i
0.020042+0.035024i,0.0080216+0.03063i,0.0083084+0.022441i,0.050353+0.0482i,0.081837+0.081394i,0.060714+0.066287i,0.023981+0.025481i,0.0097428+0.0018271i,0.010662-0.0066726i,0.0089599-0.0084459i,0.0069796-0.0041975i,0.0078964+0.0022833i,0.0071334+0.0064482i,0.0057383+0.0076743i,0.0054306+0.0068529i,0.0059865+0.0045169i,0.0047187+0.0021067i,0.0022581-0.00011788i,0.0013895+0.0021718i,0.003358+0.0096997i,0.0049954+0.013343i,0.001282+0.0084842i,-0.0048718+0.0035251i
-0.063872+0.047451i,-0.051054+0.050057i,-0.030988+0.030073i,-0.045588-0.014264i,-0.060944-0.055746i,-0.038428-0.057361i,-0.012071-0.032984i,-0.0063685-0.0084231i,-0.0055881+0.0069976i,-0.0015593+0.011694i,0.0013877+0.0081781i,0.0013197+0.0009697i,-0.00013209-0.0078952i,-0.0017441-0.01598i,-0.0036664-0.018375i,-0.0055055-0.015187i,-0.0055844-0.0091407i,-0.0019975-0.0046281i,-2.6659e-05-0.0067867i,-0.0043721-0.013261i,-0.0074956-0.01487i,-0.0026818-0.0087417i,0.0045824-0.0035756i
-0.035687-0.058235i,-0.024264-0.061961i,-0.005951-0.042972i,0.020375+0.0011668i,0.0363+0.049861i,0.024223+0.061022i,0.011475+0.041083i,0.010183+0.018074i,0.0084927+0.0028096i,0.004505-0.0036281i,0.00082115-0.0028099i,0.0013565+0.0015474i,0.0051141+0.0054835i,0.0088208+0.0090429i,0.010618+0.011226i,0.0099479+0.0087489i,0.0067107+0.0056111i,0.0022321+0.0041659i,0.0017244+0.0064001i,0.006883+0.011047i,0.0098207+0.01004i,0.0051699+0.0050506i,0.00052508+0.003329i
0.018722-0.016299i,0.028995-0.0096625i,0.023247-0.013439i,-0.006336-0.044165i,-0.0314-0.079537i,-0.031124-0.072103i,-0.019703-0.036226i,-0.010531-0.0095521i,-0.0038579+0.0029196i,0.00063809+0.0055962i,0.0017114+0.003115i,-0.00065434+0.00027476i,-0.0039288-0.0025256i,-0.0073702-0.0056141i,-0.0095123-0.0071552i,-0.0090039-0.0055648i,-0.0055219-0.0029434i,-0.0022271-0.00070671i,-0.0015736-0.0016978i,-0.0027459-0.0082067i,-0.0036087-0.011561i,-0.00082773-0.0070778i,0.0016668-0.0028217i
0.033351-0.022908i,0.029641-0.022142i,0.02895-0.01322i,0.045605+0.0051561i,0.049846+0.031384i,0.032087+0.038972i,0.017108+0.025425i,0.012103+0.010747i,0.006329-0.00031506i,-0.0011839-0.0059106i,-0.0050405-0.0061047i,-0.0041343-0.003797i,-0.00067236+0.00069606i,0.0019593+0.0073449i,0.0037043+0.011822i,0.0045719+0.012221i,0.0023518+0.0094034i,-0.00097941+0.0062532i,-0.0023253+0.0088121i,0.0012369+0.015421i,0.0062854+0.016667i,0.0052503+0.010863i,0.00199+0.0049056i
0.024614+0.051262i,0.013655+0.062161i,0.0022371+0.052929i,-0.0088435+0.023431i,-0.012418-0.015988i,-0.0090034-0.038157i,-0.0081084-0.03125i,-0.0045595-0.01547i,0.00092255-0.0046477i,0.0039852+4.8026e-05i,0.0061643+0.0020915i,0.0063977+0.0030495i,0.0022813+0.00064172i,-0.0032395-0.0052835i,-0.0075264-0.010936i,-0.0099583-0.011892i,-0.0080115-0.0090407i,-0.0028735-0.0062942i,-0.0018359-0.0074801i,-0.0061763-0.011087i,-0.0089356-0.011199i,-0.0071697-0.0064782i,-0.0054869-0.0041473i
-0.030488+0.0040484i,-0.035145-0.018321i,-0.030154-0.028843i,-0.017479-0.015236i,-0.0037724+0.011039i,0.0045984+0.027182i,0.008477+0.022453i,0.005838+0.010758i,4.1184e-05+0.0028666i,-0.0040108-0.00015742i,-0.0057751-0.0017304i,-0.0052086-0.0022201i,-0.00098554+0.0012314i,0.0058517+0.0063358i,0.0095833+0.0089204i,0.0081085+0.0074684i,0.0041644+0.004422i,0.00052494+0.002395i,0.00013854+0.0037096i,0.0025341+0.0089561i,0.0041907+0.010964i,0.003967+0.0070236i,0.0061136+0.0050051i
-0.012523+0.0077799i,-0.003296+0.012248i,0.0020285+0.015872i,0.00075651+0.0098846i,-0.0034639-0.0097456i,-0.0069886-0.022076i,-0.0062171-0.020495i,-0.00029958-0.012666i,0.0049901-0.0049811i,0.006212+0.0020753i,0.006975+0.008251i,0.0071423+0.0097436i,0.0029003+0.0046887i,-0.0030935-0.0038748i,-0.0057065-0.0094476i,-0.0043075-0.010447i,-0.0020798-0.0078035i,0.00019829-0.0034818i,0.0021416-0.0050445i,0.0001043-0.014215i,-0.0049674-0.01933i,-0.0080275-0.014716i,-0.0099062-0.0080478i
-0.011704-0.036455i,-0.0029696-0.050702i,0.0030429-0.061991i,0.00069052-0.0557i,-0.0018417-0.027771i,-0.0024866-0.0010599i,-0.0035312+0.011396i,-0.0051397+0.012255i,-0.0072522+0.0084192i,-0.0083018+0.0026194i,-0.010117-0.0038688i,-0.0097506-0.0068309i,-0.0034296-0.0042186i,0.0043633+0.0015846i,0.0091665+0.0070286i,0.0095268+0.0088804i,0.0051901+0.0058927i,0.00017643+0.0027541i,-0.00015126+0.0053173i,0.005559+0.012219i,0.010829+0.015045i,0.011601+0.010219i,0.011005+0.006247i
0.029463+0.0064159i,0.043755+0.04326i,0.054659+0.064629i,0.055804+0.050197i,0.040076+0.018565i,0.019906-0.0052973i,0.01051-0.013712i,0.0095997-0.011712i,0.010122-0.0076144i,0.0088795-0.0036041i,0.010212+0.0014723i,0.011645+0.0052056i,0.0068732+0.0022641i,-0.0012699-0.0046483i,-0.0065944-0.0079668i,-0.0077064-0.0059821i,-0.0059521-0.0012782i,-0.0025159+0.0015302i,-0.00069852-0.0011061i,-0.0026327-0.0079638i,-0.0052108-0.011848i,-0.0071271-0.0094204i,-0.0097227-0.0078155i
-0.012446-0.0065659i,-0.032151-0.018224i,-0.040377-0.03276i,-0.038932-0.035457i,-0.029676-0.021511i,-0.015354-0.0013562i,-0.0073559+0.011547i,-0.0061104+0.012617i,-0.0055689+0.0076243i,-0.0046665+0.00034217i,-0.006478-0.007396i,-0.0090325-0.0095377i,-0.0053245-0.0035834i,0.0029587+0.0038693i,0.0066223+0.0072281i,0.004245+0.0066561i,0.00064284+0.0025628i,-0.0019474-0.0012625i,-0.0025876+0.0020175i,-6.8897e-05+0.012481i,0.004122+0.020177i,0.0079386+0.017792i,0.011767+0.012184i
0.016714+0.018568i,0.023039+0.034512i,0.034254+0.051743i,0.046363+0.04558i,0.04245+0.01921i,0.024596-0.0017919i,0.014241-0.0084994i,0.013651-0.0079513i,0.011981-0.0055818i,0.0093928+0.00036405i,0.0099986+0.0087948i,0.011024+0.011657i,0.0054783+0.0074506i,-0.0045831+0.00015293i,-0.0094838-0.006198i,-0.0087631-0.0077696i,-0.0046489-0.0038725i,4.3218e-06-6.7485e-06i,0.0011693-0.0039147i,-0.0031892-0.013691i,-0.0095309-0.019849i,-0.012449-0.016177i,-0.012129-0.009187i
-0.025411-0.0078165i,-0.047588-0.047318i,-0.067885-0.072756i,-0.070327-0.061871i,-0.052419-0.034017i,-0.032214-0.0091468i,-0.023357+0.0053748i,-0.018338+0.010693i,-0.011541+0.010033i,-0.0096268+0.0043162i,-0.013439-0.003147i,-0.014569-0.0066941i,-0.0079467-0.0044785i,0.00092442+0.00069906i,0.0063215+0.0040968i,0.0074192+0.003578i,0.0048092+0.00024009i,0.00013481-0.002204i,-0.0018401+0.0014875i,0.0024415+0.0097816i,0.0078448+0.015158i,0.0088893+0.012745i,0.0077442+0.0087224i
0.028345+0.0051051i,0.070334+0.015934i,0.094331+0.023822i,0.086053+0.019344i,0.059334+0.0063491i,0.03283-0.0099326i,0.019649-0.019244i,0.014115-0.01696i,0.0070774-0.010493i,0.004957-0.0026744i,0.0081781+0.0056357i,0.011316+0.0081028i,0.007537+0.0033353i,-0.0011858-0.0025499i,-0.0053212-0.0050228i,-0.0044639-0.0033324i,-0.0024055+0.0013165i,0.00020252+0.0034373i,0.0022125-0.0022675i,0.00075232-0.012511i,-0.0024425-0.019797i,-0.0040736-0.018967i,-0.0060748-0.014156i
-0.026602-0.0018084i,-0.045111-0.0054787i,-0.060245-0.024976i,-0.066479-0.031966i,-0.055263-0.016314i,-0.031466+0.0040499i,-0.017473+0.013684i,-0.011658+0.01153i,-0.0045611+0.0057606i,-0.0017178-0.0010791i,-0.0061937-0.0068511i,-0.0088132-0.0074416i,-0.0035522-0.0031505i,0.0051154+0.0025329i,0.0098754+0.0065881i,0.0077859+0.0060271i,0.0027352+0.0013348i,-0.00032889-0.0022773i,-0.00075149+0.0028374i,0.0039601+0.01432i,0.0094962+0.021882i,0.0092032+0.019874i,0.008024+0.012725i
0.013535-0.0067828i,0.044673+0.018682i,0.080552+0.035195i,0.088901+0.020527i,0.063731-0.0041493i,0.034712-0.014434i,0.025663-0.013873i,0.022375-0.0087516i,0.013725-0.0030648i,0.0084605+0.0035254i,0.010718+0.0091326i,0.011537+0.0093347i,0.0057466+0.005995i,-0.0036539+0.0020308i,-0.0097023-0.0016957i,-0.0097583-0.002116i,-0.0052359+0.0005135i,0.00027652+0.0018669i,0.00088803-0.0020825i,-0.0035486-0.011413i,-0.0071886-0.017312i,-0.0061102-0.014797i,-0.0034705-0.0095019i
-0.023706-0.0040932i,-0.073201-0.0036141i,-0.10257+0.0015189i,-0.084972+0.010723i,-0.0492+0.018471i,-0.026537+0.024612i,-0.020079+0.026487i,-0.013508+0.02017i,-0.0054995+0.010767i,-0.0053642+0.0026134i,-0.009437-0.0031395i,-0.010021-0.0051324i,-0.0047149-0.0032457i,0.003029+2.2572e-05i,0.0070843+0.0012756i,0.0059828-9.8347e-05i,0.0024725-0.0026787i,-0.0014739-0.0033046i,-0.0029703+0.0018333i,0.000379+0.012031i,0.0042224+0.019801i,0.0029484+0.01925i,0.00074671+0.013882i
0.035078-0.019385i,0.060342-0.036358i,0.074273-0.029973i,0.06688-0.019867i,0.044851-0.024619i,0.022625-0.032538i,0.010923-0.029746i,0.0057861-0.016706i,0.0017925-0.0057093i,0.0014423-3.8456e-05i,0.0047663+0.0028733i,0.0059114+0.0048303i,0.0015534+0.0035457i,-0.0044007-0.0010186i,-0.0068648-0.0046116i,-0.0059853-0.0051432i,-0.0034327-0.0023354i,-0.00030238+0.00016228i,1.3078e-05-0.0043972i,-0.0037129-0.015641i,-0.0074757-0.022859i,-0.0065475-0.020571i,-0.0040136-0.014789i
-0.0058595+0.02437i,-0.027021+0.020628i,-0.058067+0.011264i,-0.063521+0.014042i,-0.039328+0.024065i,-0.016622+0.025253i,-0.011616+0.017453i,-0.010067+0.0075336i,-0.0048604+0.00034482i,-0.0013925-0.0038821i,-0.0023887-0.0049895i,-0.0023529-0.0058671i,0.0015047-0.0061066i,0.0070169-0.0025169i,0.011426+0.0020453i,0.010493+0.002789i,0.0049657-2.7853e-05i,-0.0012433-0.0011987i,-0.0029265+0.0023574i,0.0022664+0.011372i,0.0065785+0.018583i,0.0062088+0.017031i,0.0040999+0.011179i
0.0043274+0.00056377i,0.049898-0.010716i,0.084145-0.031488i,0.069993-0.047583i,0.033136-0.05046i,0.015439-0.042267i,0.015364-0.029608i,0.013015-0.01723i,0.0065694-0.0068218i,0.0037055+0.0020208i,0.0042111+0.0071579i,0.0042392+0.0083896i,0.0010812+0.0082826i,-0.004843+0.0057545i,-0.0085195+0.0028831i,-0.0076956+0.0025828i,-0.0039086+0.0034386i,0.0012687+0.0027075i,0.0030102-0.0022861i,-0.0017622-0.011102i,-0.005184-0.01814i,-0.0026573-0.01752i,-0.00045265-0.011539i
-0.030464+0.019563i,-0.044578+0.053273i,-0.043391+0.061796i,-0.023897+0.044306i,-0.0063235+0.033792i,-0.0016763+0.034553i,-0.0019358+0.029577i,-0.00055625+0.016788i,0.00019756+0.0070553i,-0.0018524+0.0036249i,-0.003228+0.00061792i,-0.0021046-0.0023966i,0.0013595-0.0034085i,0.0050343-0.0026284i,0.0063662-0.0016162i,0.0045929-0.00044374i,0.0020002+0.00022558i,-0.0011927+0.00040531i,-0.0018783+0.0047808i,0.0026833+0.014083i,0.0055527+0.021211i,0.003346+0.020434i,0.00086965+0.014637i
-0.0099005-0.043035i,-0.0063434-0.050856i,0.015031-0.042832i,0.024645-0.033971i,0.011188-0.037279i,-0.0034148-0.036344i,-0.0045905-0.02137i,-0.00063789-0.0061839i,-0.00011372-0.00025353i,-0.0023491-3.9001e-05i,-0.0033419+0.0016725i,-0.0031522+0.0050563i,-0.0033945+0.005642i,-0.0050289+0.0036023i,-0.0066851+2.1277e-05i,-0.0066426-0.0021938i,-0.0039506-0.0015493i,0.00032688-0.00072466i,0.0010686-0.0040286i,-0.0026786-0.012113i,-0.0054144-0.018952i,-0.0041801-0.01823i,-0.0030252-0.012633i
