-0.0028823+0.0003653i,-0.0017036-0.00074621i,-0.0021258-0.0004003i,-0.0010897-0.0003416i,0.00078962+0.00041247i,0.00083783+0.00086068i,0.00080214+0.0013967i,0.001689+0.0015496i,0.0026177+0.00060616i,0.0022365-9.9184e-05i,0.0010561-2.1157e-05i,0.0011857-1.4346e-06i,0.00075676-0.00016709i,0.0002675-0.000179i,0.00024627+5.6873e-05i,-4.4228e-05+0.00055695i,-0.00028345+0.00026345i,0.00017068+8.6539e-05i,0.00047982+0.00011468i,0.00033854+0.00013192i,0.00061256+0.00025208i,0.00073072+0.00018035i,0.00074383-0.00012239i
-0.80186+9.0813i,0.41761+9.0534i,4.3479+9.1276i,6.7219+5.5746i,6.2264+1.299i,3.8091-1.3679i,1.4029-1.3784i,0.46515-0.15652i,0.84174+0.54549i,1.3384+0.028097i,0.83597-1.0776i,-0.32347-1.5713i,-1.2922-1.1455i,-1.7814-0.25102i,-1.7447+0.45353i,-1.2839+0.68112i,-0.62011+0.58292i,-0.057771+0.43211i,0.26962+0.38276i,0.35488+0.43721i,0.32963+0.55115i,0.31832+0.623i,0.26975+0.53675i
0.066289+0.19207i,0.11906+0.23934i,0.031824+0.16513i,-0.26675-0.024346i,-0.54054-0.20073i,-0.51307-0.28665i,-0.28097-0.33315i,-0.10779-0.32334i,-0.051067-0.18239i,-0.029449-0.0052925i,-0.0025823+0.070674i,0.051427+0.078892i,0.10682+0.061279i,0.11117+0.025969i,0.08246-0.0076131i,0.05762-0.034722i,0.026073-0.051375i,-0.036312-0.037098i,-0.096958+0.016164i,-0.084899+0.057953i,-0.011877+0.039773i,0.043378-0.010789i,0.059266-0.02987i
-0.022162+0.00084634i,-0.09892-0.037255i,-0.18621-0.044602i,-0.19095-0.010503i,-0.16389+0.010402i,-0.20972+0.071311i,-0.2452+0.21879i,-0.17532+0.35521i,-0.059541+0.41942i,0.033955+0.36394i,0.076732+0.20605i,0.085006+0.087373i,0.092049+0.04046i,0.060804+0.015078i,0.0042599+0.0088382i,-0.010076+0.011904i,0.0051965+0.013854i,-0.00021232+0.0050036i,-0.033879-0.024785i,-0.060251-0.061103i,-0.055853-0.079028i,-0.045424-0.067226i,-0.04903-0.026128i
0.048804-0.012836i,0.12987-0.088797i,0.22038-0.23324i,0.2349-0.38763i,0.14209-0.45766i,0.017348-0.39279i,-0.06837-0.27303i,-0.16353-0.16532i,-0.24937-0.039635i,-0.17019+0.058373i,-0.022257+0.033379i,-0.0043944-0.03522i,-0.028601-0.0366i,0.001225-0.030755i,0.019538-0.043759i,0.00070661-0.034025i,-0.018058-0.021473i,-0.017511-0.035862i,-0.0061315-0.061398i,0.00074196-0.059578i,0.012657-0.028077i,0.037329-0.015429i,0.042779-0.033788i
-0.00024555+0.095549i,0.02917+0.2162i,0.080235+0.37539i,0.16756+0.50002i,0.30225+0.55733i,0.44389+0.57286i,0.52284+0.55356i,0.50152+0.52257i,0.43385+0.49116i,0.35758+0.38262i,0.22349+0.20163i,0.069138+0.079906i,0.0088197+0.049969i,0.035381+0.036009i,0.072352+0.014996i,0.10004+0.010408i,0.13257+0.039645i,0.16169+0.088447i,0.14728+0.10087i,0.082556+0.055181i,0.010015-0.00023064i,-0.040103-0.01614i,-0.053782+0.0035466i
-0.057552-0.0060129i,-0.14444-0.025118i,-0.23445-0.018574i,-0.24295+0.024334i,-0.18836+0.02366i,-0.19398-0.062202i,-0.19077-0.15126i,-0.081403-0.24542i,0.032721-0.2989i,0.080706-0.22859i,0.068158-0.092069i,0.031689+0.022954i,0.017797+0.066397i,0.0095725+0.049511i,-0.0083875+0.025978i,-0.011161-0.017668i,-0.014977-0.10128i,-0.055775-0.16339i,-0.11236-0.15302i,-0.12712-0.095579i,-0.09015-0.042281i,-0.035655-0.0186i,0.0075865-0.010147i
0.023518-0.02614i,0.036752-0.086451i,-0.034326-0.10398i,-0.21303+0.049313i,-0.30563+0.34041i,-0.17188+0.51101i,-0.046169+0.48511i,-0.067293+0.5149i,-0.038961+0.56968i,0.05011+0.41612i,0.039853+0.21029i,0.0059993+0.15285i,0.03951+0.13758i,0.067144+0.073261i,0.039343+0.014485i,-0.018953+0.018983i,-0.052273+0.051886i,-0.046357+0.043807i,-0.041294+0.014746i,-0.047444+0.0084901i,-0.038632+0.020275i,-0.017773+0.031939i,-0.0063272+0.029623i
0.021969+0.059731i,0.058056+0.1351i,0.11017+0.19337i,0.18613+0.15416i,0.29249+0.040438i,0.37548-0.077454i,0.39356-0.16781i,0.41951-0.23946i,0.45185-0.31413i,0.37274-0.32837i,0.21843-0.24429i,0.10785-0.1565i,0.039886-0.12449i,-0.013376-0.090288i,-0.033682-0.0034997i,-0.011174+0.083972i,-0.012872+0.10891i,-0.087568+0.11303i,-0.14919+0.13664i,-0.12557+0.13686i,-0.064669+0.092719i,-0.025014+0.040783i,-0.0088895+0.020942i
-0.048659-0.013293i,-0.12267-0.079005i,-0.21038-0.21781i,-0.2689-0.36417i,-0.29064-0.40271i,-0.29724-0.35153i,-0.28913-0.33068i,-0.29675-0.35547i,-0.3054-0.30636i,-0.22156-0.18215i,-0.094684-0.083214i,-0.021034-0.018563i,-0.00082778+0.020876i,-0.00064034+0.036886i,0.027596+0.046788i,0.071895+0.048275i,0.096426+0.066774i,0.12158+0.12258i,0.14451+0.15883i,0.13068+0.12334i,0.077607+0.039588i,0.012683-0.025444i,-0.02193-0.032264i
0.025034-0.02425i,0.080861-0.069869i,0.15542-0.1072i,0.19378-0.13108i,0.15095-0.17838i,0.032868-0.21773i,-0.10625-0.17125i,-0.13039-0.025106i,-0.02045+0.098146i,0.06093+0.095463i,0.082301+0.052021i,0.13128+0.03131i,0.18296-0.00090778i,0.17203-0.033123i,0.13207-0.032073i,0.11787-0.011402i,0.12623+0.0057371i,0.12392+0.010851i,0.091307+0.01378i,0.043573+0.014586i,-0.0022458+0.00082391i,-0.030728-0.0048199i,-0.016532+0.0076138i
0.024377+0.043518i,0.072176+0.10727i,0.15519+0.17328i,0.24589+0.16231i,0.28098+0.10422i,0.2797+0.07242i,0.29937+0.045157i,0.25817-0.015067i,0.12514-0.072974i,0.03398-0.0797i,0.022691-0.06922i,0.012769-0.073251i,-0.011653-0.081417i,-0.011087-0.081609i,0.023228-0.087497i,0.044259-0.11211i,0.034209-0.12202i,0.028682-0.088991i,0.030969-0.023714i,0.020315+0.032198i,-0.0064963+0.042476i,-0.034409+0.022123i,-0.037641-0.013818i
-0.047243+0.0014391i,-0.095648-0.025966i,-0.15188-0.05656i,-0.1384-0.013044i,-0.027925+0.096206i,0.044168+0.13586i,-0.0049138+0.088087i,-0.065365+0.027772i,-0.065957-0.014335i,-0.051863-0.03269i,-0.048062-0.014795i,-0.040578+0.01478i,-0.041195+0.013971i,-0.05542-0.015516i,-0.074906-0.035201i,-0.090092-0.020826i,-0.089146+0.0074923i,-0.060917+0.027033i,-0.010504+0.046608i,0.031616+0.06454i,0.042011+0.061511i,0.023283+0.040809i,-0.015802+0.01851i
0.014847-0.0025316i,0.059732-0.0022711i,0.10891+0.025316i,0.067348+0.063368i,-0.076252+0.058906i,-0.16162+0.0078287i,-0.13551-0.049858i,-0.10681-0.084883i,-0.099001-0.094334i,-0.072847-0.073053i,-0.042617-0.030387i,-0.023341+0.012838i,-0.0055346+0.048162i,0.01464+0.066781i,0.041724+0.06433i,0.073358+0.048771i,0.093673+0.042142i,0.11314+0.043497i,0.13206+0.019546i,0.11925-0.022506i,0.075524-0.040529i,0.040107-0.022524i,0.032693+0.017122i
0.0091158+0.027965i,-0.0014226+0.070388i,-0.013225+0.13905i,0.018112+0.1811i,0.10283+0.18997i,0.17545+0.21635i,0.1707+0.23917i,0.10203+0.22012i,0.05097+0.15837i,0.041232+0.068815i,0.027643-0.0024173i,0.01001-0.031762i,0.0067211-0.048839i,0.0043965-0.06729i,0.0001612-0.086604i,-0.0049549-0.11207i,-0.016844-0.13955i,-0.037442-0.1684i,-0.063459-0.17598i,-0.073182-0.12733i,-0.058079-0.054326i,-0.03825-0.013473i,-0.021208-0.0076314i
-0.0041268+0.010922i,-0.027084-0.036938i,-0.086843-0.14562i,-0.17578-0.26221i,-0.2645-0.31668i,-0.31676-0.28773i,-0.25795-0.1993i,-0.094286-0.15985i,0.022067-0.16972i,0.036588-0.12283i,0.033685-0.047661i,0.040013-0.0085082i,0.035259+0.0027407i,0.010103+0.0020392i,-0.029943+0.0075995i,-0.054865+0.025245i,-0.054068+0.036807i,-0.046819+0.045563i,-0.038387+0.048288i,-0.027652+0.027473i,-0.019862+0.00572i,-0.011713+0.0058875i,-0.0080683+0.0063027i
0.012042+0.012854i,0.054613+0.037933i,0.15145+0.078575i,0.23888+0.095312i,0.23683+0.049008i,0.14444-0.05869i,0.040842-0.19024i,-0.018416-0.24848i,-0.032619-0.189i,-0.022706-0.097504i,-0.010162-0.047641i,-0.001412-0.036915i,-0.0045788-0.033884i,-0.0041098-0.01622i,0.020143+0.00212i,0.045544-0.0022083i,0.045056-0.015946i,0.027354-0.023848i,0.0074973-0.029323i,-0.0074618-0.02169i,-0.0068744+0.00097665i,-0.00056306+0.019588i,-0.012071+0.039342i
-0.012747-0.0040253i,-0.058967+0.008518i,-0.10871+0.066262i,-0.04793+0.10809i,0.11293+0.034741i,0.18434-0.065148i,0.096987-0.019963i,-0.005394+0.12037i,-0.018446+0.18002i,0.020254+0.1247i,0.04183+0.051531i,0.028297+0.032266i,0.018626+0.037576i,0.020538+0.019306i,0.022475-0.0094775i,0.02531-0.025481i,0.032324-0.022763i,0.048576-0.0059056i,0.062775+0.0071893i,0.05985+0.001241i,0.038411-0.019661i,0.020559-0.028445i,0.034567-0.018402i
0.022323-0.0015535i,0.042981-0.040542i,0.013683-0.084634i,-0.067246-0.0028428i,-0.088586+0.19514i,-0.025818+0.24857i,0.03047+0.12496i,0.084382+0.036295i,0.13114+0.010021i,0.10495+0.0015167i,0.058036+0.032803i,0.065856+0.056348i,0.080642+0.028618i,0.055786-0.002152i,0.017612-0.0038697i,0.0015566+0.00464i,0.010372-0.0081525i,0.015085-0.045343i,0.0034911-0.071889i,-0.012076-0.065976i,-0.023366-0.045045i,-0.030318-0.033094i,-0.033719-0.03465i
-0.0052567+0.032782i,0.009011+0.086173i,0.061741+0.12568i,0.095748+0.083219i,0.076828-0.02441i,0.082187-0.12087i,0.095442-0.18689i,0.036395-0.21825i,-0.040805-0.19529i,-0.06533-0.13421i,-0.051473-0.072189i,-0.031813-0.040766i,-0.022122-0.030205i,-0.010501-0.0096787i,0.01805+0.02039i,0.048159+0.040339i,0.0536+0.051412i,0.043599+0.065886i,0.04155+0.069479i,0.038874+0.045181i,0.022227+0.02068i,0.0027695+0.022421i,-0.003747+0.034078i
-0.022536-0.027445i,-0.096972-0.062764i,-0.23636-0.050409i,-0.36275+0.068347i,-0.3688+0.26062i,-0.24769+0.39624i,-0.12649+0.38478i,-0.12276+0.30205i,-0.14598+0.23122i,-0.089979+0.13553i,-0.042877+0.027022i,-0.046845-0.010042i,-0.036762-0.0044531i,-0.01589-0.020437i,-0.0015937-0.046165i,0.0067764-0.067324i,0.0055732-0.077433i,0.0058892-0.070247i,0.016151-0.053784i,0.024177-0.036215i,0.016861-0.026748i,0.0014861-0.024294i,-0.006798-0.016866i
0.051125+0.00049382i,0.12882-0.053296i,0.17558-0.18617i,0.11027-0.32845i,-0.010489-0.36467i,-0.081509-0.28674i,-0.06784-0.20064i,0.007814-0.17388i,0.06831-0.15501i,0.054735-0.087839i,0.015127+0.0014378i,0.0049917+0.054149i,0.0090216+0.068207i,0.0058248+0.062083i,-0.017582+0.042047i,-0.04389+0.03768i,-0.032612+0.05045i,0.0078304+0.052648i,0.042854+0.036841i,0.059583+0.0072843i,0.057477-0.017822i,0.047378-0.020495i,0.039715-0.012461i
-0.022112+0.045125i,-0.024778+0.12688i,0.022233+0.18596i,0.056634+0.11879i,-0.024092-0.0045763i,-0.10009-0.051715i,-0.04309-0.057511i,0.005026-0.090743i,-0.026568-0.10418i,-0.03339-0.081961i,-0.0066471-0.074886i,0.012749-0.07072i,0.031938-0.059516i,0.039863-0.052895i,0.033432-0.030413i,0.028819-0.0047443i,0.017221-0.0013048i,-0.0052206-0.010288i,-0.021481-0.01097i,-0.026045-0.00036692i,-0.023765+0.001046i,-0.029695-0.010989i,-0.04255-0.012266i
-0.018348-0.042787i,-0.061958-0.097407i,-0.086398-0.12816i,-0.011512-0.11208i,0.12163-0.11369i,0.1336-0.14708i,0.013514-0.11215i,-0.04069-0.043116i,-0.0058653-0.032094i,0.027612-0.029095i,0.045255-0.018681i,0.027125-0.02323i,-0.013171-0.015459i,-0.025832-0.0027907i,-0.010116-0.0083117i,0.0030374-0.021767i,0.0062593-0.018908i,0.012272+0.0098421i,0.025115+0.043446i,0.041388+0.054902i,0.046031+0.038864i,0.037529+0.019711i,0.03291+0.011293i
0.048674+0.0033029i,0.12816+0.012853i,0.19432+0.016711i,0.17235+0.00059421i,0.074081-0.05029i,0.013324-0.11058i,0.029915-0.1453i,0.047573-0.11856i,0.040659-0.043561i,0.014149+0.0071036i,-0.013256+0.030299i,-0.0071884+0.048489i,0.016361+0.046163i,0.022808+0.02536i,0.01248+0.0092213i,0.0084843+0.0066626i,0.021354+0.0040075i,0.034236-0.012162i,0.034418-0.028577i,0.025889-0.023435i,0.019968-0.002402i,0.018795+0.0074013i,0.008827+0.0021155i
-0.041177+0.04407i,-0.097641+0.11139i,-0.13731+0.20183i,-0.057829+0.25998i,0.13424+0.23081i,0.2777+0.13432i,0.26581+0.058735i,0.18801+0.031178i,0.13163+0.012393i,0.086636-0.0017199i,0.058586-0.0053917i,0.044674-0.01171i,0.028677-0.013138i,0.016597-0.0052107i,0.013019+0.00065503i,0.0037665-0.0056059i,-0.015989-0.013099i,-0.031754-0.0052735i,-0.038861+0.010614i,-0.034763+0.017782i,-0.019608+0.014213i,-0.0036369+0.011275i,0.0086363+0.0093718i
-0.020816-0.040269i,-0.044365-0.11012i,-0.094754-0.18556i,-0.18772-0.18211i,-0.26662-0.081103i,-0.24999+0.014083i,-0.18434+0.020501i,-0.14509-0.01412i,-0.10967-0.016439i,-0.05361-0.0020435i,-0.015279-0.0023039i,-0.010373-0.0099614i,-0.018325-0.020446i,-0.01709-0.021964i,0.0012228-0.0094448i,0.027643-0.0026561i,0.040258-0.010681i,0.032285-0.021982i,0.015587-0.025333i,-0.0021656-0.013213i,-0.013199+0.0034706i,-0.01801+0.0051091i,-0.022806-0.0014398i
0.02083+0.010196i,0.048522+0.034724i,0.068322+0.08261i,0.092472+0.11228i,0.14061+0.10919i,0.18387+0.11314i,0.19094+0.11557i,0.16594+0.098999i,0.1137+0.065984i,0.047458+0.025176i,-0.0013949+0.010453i,-0.011672+0.02434i,0.0028843+0.037686i,0.011242+0.031771i,-0.0031632+0.011298i,-0.028804+0.0064083i,-0.036585+0.02605i,-0.021329+0.043782i,-0.00069193+0.046488i,0.013323+0.037301i,0.016586+0.025973i,0.017165+0.02858i,0.02801+0.034774i
-0.0090009+0.015356i,-0.035863-0.022767i,-0.10191-0.13457i,-0.20302-0.2415i,-0.28587-0.20534i,-0.28678-0.060551i,-0.20963+0.047406i,-0.14073+0.045449i,-0.12369-0.0027471i,-0.10097-0.0094822i,-0.039138-0.0090205i,0.0048094-0.036296i,0.010708-0.056806i,0.012218-0.049646i,0.026353-0.027088i,0.05281-0.016636i,0.070264-0.02878i,0.060673-0.04571i,0.034175-0.053123i,0.0054068-0.047998i,-0.017132-0.032308i,-0.02949-0.021108i,-0.036267-0.015043i
-0.0028036+0.0036035i,0.061364+0.018109i,0.23377+0.038121i,0.40891+0.010793i,0.39177-0.055757i,0.22117-0.092535i,0.094589-0.10334i,0.07136-0.093378i,0.091571-0.051651i,0.091884-0.017734i,0.055995-0.0037647i,0.022965+0.0078152i,0.0037016+0.013209i,-0.014506+0.0089335i,-0.033155-0.0022197i,-0.051097-0.0082433i,-0.059915+0.0019721i,-0.045624+0.01862i,-0.017107+0.026694i,0.0015747+0.02093i,0.0030215+0.010076i,-0.0015662+0.0074068i,0.0023139+0.0099399i
-0.010882-0.0052026i,-0.060728+0.010778i,-0.14475+0.092662i,-0.15854+0.17232i,-0.073572+0.11052i,-0.020379-0.017378i,-0.037094-0.035953i,-0.05327-0.0042352i,-0.068205-0.02885i,-0.069699-0.046155i,-0.029618-0.028343i,0.0085901-0.013853i,0.026602-0.0013969i,0.038678+0.0036158i,0.042537+0.001539i,0.037865+0.005586i,0.030738+0.014266i,0.02694+0.018607i,0.022374+0.014389i,0.014893+0.011752i,0.012811+0.014183i,0.012418+0.010656i,0.002371+0.0068812i
0.035359+0.0067513i,0.10568-0.033269i,0.183-0.11978i,0.20666-0.13264i,0.18994-0.016172i,0.1529+0.043982i,0.06881-0.014689i,0.00083702-0.024937i,0.021597+0.025664i,0.044858+0.027579i,0.028266+0.015469i,0.031389+0.021876i,0.042167+0.01494i,0.032092+0.0093877i,0.019297+0.012354i,0.011644+0.013197i,0.0097662+0.013694i,0.011315+0.014027i,0.011439+0.015474i,0.011849+0.0097989i,0.0045325-0.0060892i,-0.0082047-0.012497i,-0.0094198-0.0085043i
-0.025911+0.046721i,-0.043476+0.16712i,-0.026003+0.35899i,0.02168+0.45536i,0.03824+0.32093i,0.048902+0.10504i,0.088326-0.018612i,0.098969-0.085931i,0.054106-0.1072i,0.017319-0.062097i,0.013862-0.01789i,0.0031424-0.0097444i,-0.019664-0.019421i,-0.03226-0.029059i,-0.026218-0.026869i,-0.0074788-0.0314i,0.0049446-0.044112i,0.008493-0.041193i,0.013464-0.024194i,0.017886-0.010101i,0.019704-0.0079304i,0.012972-0.018758i,-0.0017486-0.027422i
-0.022884-0.039072i,-0.12459-0.12156i,-0.32678-0.17626i,-0.487-0.076395i,-0.40221+0.13333i,-0.17747+0.23033i,-0.092676+0.17751i,-0.11584+0.14958i,-0.074034+0.13495i,-0.010749+0.062165i,-0.0039264+0.017223i,-0.0014332+0.031325i,0.017812+0.054079i,0.02767+0.057379i,0.018566+0.039953i,-0.0097426+0.02825i,-0.038584+0.031993i,-0.051353+0.038373i,-0.047001+0.039133i,-0.0353+0.032388i,-0.027022+0.030662i,-0.015455+0.043064i,0.0041227+0.052427i
0.053487+0.006546i,0.15378-0.011557i,0.25253-0.088094i,0.20436-0.20239i,0.011364-0.23478i,-0.092958-0.12963i,-0.0059847-0.058446i,0.069433-0.10808i,0.03702-0.12414i,0.004505-0.06886i,0.005549-0.032469i,0.0055754-0.026175i,-0.0016539-0.026921i,-0.0030013-0.014979i,0.015778+0.0032235i,0.048935-0.0024416i,0.070817-0.020843i,0.067774-0.026288i,0.047929-0.020956i,0.027943-0.017892i,0.014715-0.02491i,0.00020962-0.03951i,-0.016822-0.045807i
-0.036385+0.042146i,-0.10713+0.10364i,-0.2033+0.16027i,-0.27214+0.15708i,-0.27253+0.12269i,-0.21761+0.11658i,-0.12931+0.14011i,-0.042403+0.14821i,0.0074494+0.12139i,0.015252+0.083394i,0.0018093+0.056506i,-0.0049364+0.043423i,0.0040259+0.021026i,0.00024775-0.02095i,-0.030946-0.049633i,-0.057787-0.044261i,-0.059021-0.02502i,-0.051499-0.011506i,-0.046407+0.0046316i,-0.035652+0.025163i,-0.013116+0.040792i,0.017658+0.04577i,0.043273+0.035802i
-0.0045119-0.054203i,-0.0097617-0.15605i,0.013542-0.3217i,0.042004-0.48296i,0.01169-0.52831i,-0.054914-0.43154i,-0.07017-0.29085i,-0.032326-0.22121i,-0.0148-0.19484i,-0.011852-0.13387i,0.0044052-0.071621i,0.0070684-0.045184i,-0.0087446-0.021629i,-0.0070682+0.017097i,0.023723+0.037839i,0.046528+0.024453i,0.042281+0.0034837i,0.029924-0.007254i,0.018821-0.012823i,0.0052835-0.01676i,-0.015552-0.02043i,-0.043376-0.019466i,-0.063251-0.0052102i
0.045456+0.0098885i,0.1165+0.0261i,0.19423+0.060322i,0.23096+0.083071i,0.20114+0.05097i,0.1186+0.011376i,0.040603+0.027777i,0.0039216+0.085014i,0.00041416+0.12117i,0.0091659+0.10505i,0.017078+0.069763i,0.028599+0.052049i,0.041515+0.035197i,0.02754+0.012937i,-0.0010413+0.015026i,-0.00097142+0.037713i,0.015137+0.050837i,0.014766+0.044066i,0.0053159+0.028783i,0.0088576+0.017452i,0.027269+0.0078035i,0.046131-0.0032609i,0.055455-0.014883i
-0.014471+0.035456i,-0.011227+0.075073i,0.048896+0.080731i,0.17824-0.017446i,0.26195-0.18211i,0.1929-0.26462i,0.076072-0.21447i,0.040417-0.15151i,0.041218-0.13077i,0.0085263-0.099328i,-0.026632-0.0537i,-0.036569-0.023682i,-0.029173-0.012101i,-0.0031419-0.023196i,0.023271-0.054135i,0.025157-0.081403i,0.018592-0.087179i,0.020403-0.074353i,0.017119-0.055177i,-0.0045298-0.036488i,-0.036298-0.012759i,-0.056705+0.016281i,-0.055653+0.036626i
-0.019199-0.019643i,-0.060151-0.013792i,-0.088714+0.079622i,-0.030342+0.27113i,0.11752+0.37824i,0.20548+0.25671i,0.12368+0.085352i,0.0034384+0.053989i,-0.02328+0.089384i,0.00845+0.076081i,0.033565+0.036665i,0.042234+0.015751i,0.039327+0.008734i,0.016316+0.018097i,-0.0086922+0.049803i,-0.015344+0.07738i,-0.021719+0.078841i,-0.030768+0.06285i,-0.028761+0.03989i,-0.014419+0.01536i,0.0059837-0.01102i,0.016312-0.036181i,0.012428-0.04599i
0.030255-0.010089i,0.06804-0.04789i,0.085018-0.1119i,0.053175-0.15214i,0.031539-0.098326i,0.072437-0.0054086i,0.10419+0.013131i,0.088683-0.02447i,0.053825-0.052365i,0.015447-0.042594i,-0.0090512-0.0060573i,-0.018753+0.02386i,-0.017532+0.032962i,-0.0077766+0.02155i,-0.0046983-0.0022929i,-0.0049552-0.01605i,0.010174-0.015152i,0.032654-0.016365i,0.036928-0.018134i,0.019447-0.0049806i,0.0015257+0.020206i,-0.003539+0.040035i,0.00015084+0.045015i
0.00085404+0.043619i,0.0037886+0.12732i,0.00808+0.27139i,0.011695+0.42983i,0.010106+0.49774i,0.0079314+0.3947i,-0.010083+0.2007i,-0.047367+0.095066i,-0.044788+0.0787i,-0.0090709+0.041721i,-0.0001345-0.013807i,-0.0054119-0.044684i,-0.0047074-0.051755i,0.0025098-0.043881i,0.019505-0.034404i,0.031112-0.034554i,0.021371-0.031732i,-0.0002702-0.010535i,-0.010379+0.012244i,-0.0046714+0.008821i,-0.0026752-0.014757i,-0.0094306-0.035964i,-0.013966-0.042608i
-0.039585-0.015588i,-0.12359-0.058567i,-0.26441-0.12577i,-0.39457-0.17311i,-0.40324-0.15732i,-0.26628-0.078052i,-0.066656-0.042234i,0.049474-0.097372i,0.040542-0.11612i,0.012334-0.057951i,0.020084+0.00040862i,0.035793+0.030048i,0.038203+0.038918i,0.017957+0.033707i,-0.018496+0.035362i,-0.041605+0.043429i,-0.036443+0.033848i,-0.014043+0.0032207i,0.0034113-0.021754i,0.008957-0.016682i,0.014346+0.0040683i,0.021656+0.01457i,0.019455+0.013984i
0.031077-0.020151i,0.091547-0.064977i,0.15065-0.11002i,0.12501-0.08565i,0.0096438+0.027748i,-0.074251+0.11019i,-0.082286+0.1075i,-0.064853+0.082164i,-0.046429+0.053122i,-0.037104+0.025064i,-0.038575+0.007889i,-0.043907-0.0034918i,-0.040648-0.005252i,-0.015927-0.0047294i,0.013591-0.020004i,0.026124-0.034378i,0.021911-0.020475i,0.0092117+0.012709i,0.0010029+0.028924i,-0.0031231+0.010446i,-0.015594-0.015127i,-0.027306-0.021317i,-0.024449-0.013049i
0.0035067+0.034364i,0.01069+0.08402i,0.0028965+0.087608i,-0.067382-0.043627i,-0.19529-0.22027i,-0.24551-0.25625i,-0.14893-0.17847i,-0.031371-0.11478i,0.0094182-0.06424i,0.023749-0.01496i,0.043929+0.0014494i,0.059335-1.5912e-05i,0.059309-0.008048i,0.04153-0.011144i,0.034547+0.0058191i,0.045861+0.01714i,0.049852+0.0011183i,0.036764-0.028032i,0.014723-0.038862i,-0.0018127-0.022865i,-0.0020825-0.0029676i,0.0093141+0.0074425i,0.018887+0.0064925i
-0.034439-0.0062482i,-0.081326-0.021478i,-0.10145-0.022872i,-0.0099989-0.006885i,0.14058-0.036548i,0.18228-0.099452i,0.12233-0.078647i,0.080129-0.017391i,0.046227-0.022089i,-0.006051-0.028828i,-0.031585+0.0044156i,-0.032336+0.029761i,-0.026108+0.037445i,-0.019835+0.023632i,-0.039824-0.0066132i,-0.075239-0.01994i,-0.085347-0.0045052i,-0.062316+0.018113i,-0.031548+0.022081i,-0.016447+0.0097824i,-0.016393+0.0041315i,-0.017373+0.0072305i,-0.013178+0.0085556i
0.025157-0.026846i,0.063545-0.080401i,0.084687-0.16682i,0.023468-0.24098i,-0.068887-0.23019i,-0.080603-0.12538i,-0.052106-0.032551i,-0.045924+0.012098i,-0.011408+0.046249i,0.029483+0.036949i,0.024231+0.0017948i,0.0097837-0.010117i,0.007725-0.0068822i,0.016611+0.0083395i,0.051987+0.028223i,0.094054+0.028254i,0.099986+0.0091463i,0.068926-0.0086954i,0.038487-0.012515i,0.029465-0.0081799i,0.029132-0.010001i,0.023223-0.0147i,0.011783-0.013558i
0.00907+0.040535i,0.047828+0.11195i,0.15079+0.20651i,0.32185+0.20432i,0.42732+0.053292i,0.34919-0.10602i,0.19476-0.13321i,0.095202-0.093495i,0.020542-0.070241i,-0.029406-0.040389i,-0.024403-0.0092361i,-0.0078138+0.0046153i,-0.0039952+0.0047424i,-0.012999-0.0064441i,-0.041921-0.0097725i,-0.068459+0.0041671i,-0.063833+0.018324i,-0.035351+0.021038i,-0.012599+0.015115i,-0.0063477+0.0076082i,-0.010284+0.004628i,-0.016175+0.011119i,-0.0099315+0.019645i
-0.036536+0.0032393i,-0.11663-0.0012189i,-0.2404+0.018361i,-0.30403+0.12119i,-0.18426+0.26983i,0.020911+0.31424i,0.086146+0.23274i,0.047669+0.15939i,0.048845+0.1178i,0.059092+0.059361i,0.031495+0.017487i,-1.3147e-05+0.0065729i,-0.010396+0.0033065i,0.00010948-0.0016323i,0.020111-0.021336i,0.032716-0.050154i,0.031521-0.064468i,0.025602-0.057292i,0.02615-0.039694i,0.027206-0.024801i,0.022417-0.018091i,0.011165-0.018483i,-0.0021636-0.01575i
0.018306-0.026844i,0.070938-0.083005i,0.15528-0.17272i,0.18316-0.25047i,0.0758-0.23216i,-0.074461-0.13042i,-0.10665-0.07446i,-0.07102-0.092177i,-0.069096-0.086753i,-0.059195-0.041385i,-0.022539-0.019799i,0.0048334-0.021382i,0.008214-0.013128i,-0.003007+0.012449i,-0.011731+0.050099i,-0.010269+0.081945i,-0.0064145+0.088895i,-0.0078339+0.073524i,-0.012097+0.051127i,-0.012594+0.029482i,-0.0097111+0.01391i,-0.0042028+0.010159i,0.0041921+0.0099452i
0.019586+0.031257i,0.03245+0.10048i,0.042839+0.23221i,0.083744+0.36037i,0.1745+0.35643i,0.22294+0.21272i,0.165+0.084103i,0.079289+0.052187i,0.03801+0.042825i,0.025305+0.023832i,0.018908+0.025322i,0.013365+0.028834i,0.0089284+0.012582i,0.0082734-0.016834i,0.0080984-0.048336i,0.010257-0.072001i,0.014935-0.077794i,0.020026-0.067154i,0.019026-0.049425i,0.0087065-0.02829i,-0.0030993-0.012694i,-0.015054-0.0091567i,-0.025747-0.0052653i
