-0.0033714+0.00054645i,-0.0022557+0.00062755i,-0.002243+0.00094997i,-0.0018654+0.00042731i,-0.0012419+0.00075746i,-0.00014384+0.00093548i,0.00058441+0.00082174i,0.0005492+0.00056255i,0.00081394+0.00035284i,0.0012451+0.00064137i,0.00022337+0.000503i,-0.00063006+0.0001514i,-4.4692e-05+0.00055631i,-5.1368e-05+0.00057953i,-0.00014248+0.00012385i,-5.5609e-05-0.00035253i,-3.7472e-05-0.00064941i,8.7736e-05-0.00051744i,-0.00055819-0.0007148i,-0.0011427-0.00087598i,-0.00067241+3.851e-05i,-0.00014901-5.6488e-05i,0.00030189-0.00022087i
-0.085915+0.15744i,-0.0088029+0.27498i,0.063069+0.26095i,0.085399+0.17851i,0.10709+0.12987i,0.11057+0.072937i,0.06185-0.00022236i,0.0026082-0.040429i,-0.03952-0.057636i,-0.04411-0.059226i,-0.016978-0.046599i,7.8968e-05-0.033061i,0.0057908-0.017059i,0.016957-0.0098885i,0.015833-0.016903i,-0.0030104-0.021471i,-0.021379-0.016562i,-0.031727-0.0054195i,-0.031612+0.0043277i,-0.020019+0.0018349i,-0.0064229-0.0087297i,0.00069951-0.013483i,0.0075734-0.0077353i
-0.04274-0.19362i,-0.17706-0.2283i,-0.18026-0.15859i,-0.040289-0.08279i,0.06595-0.077182i,0.077852-0.10055i,0.05813-0.12007i,0.024561-0.11546i,-0.020903-0.070545i,-0.057152-0.025851i,-0.062546-0.0022342i,-0.030262+0.024536i,0.012295+0.035633i,0.020309+0.013719i,-0.0053249+0.0028018i,-0.022361+0.020055i,-0.016987+0.037664i,-0.00028597+0.043521i,0.018717+0.031768i,0.021916+0.0039029i,0.0056675-0.010489i,-0.0056878-0.00028621i,-0.007201+0.0057239i
0.17821+0.11967i,0.3254+0.03704i,0.33291-0.057988i,0.23411-0.064495i,0.14766-0.021515i,0.077638-0.029429i,-0.02895-0.041111i,-0.099212+0.013734i,-0.055665+0.077561i,0.019161+0.094639i,0.045084+0.07051i,0.034414+0.033434i,0.014859+0.0038508i,-0.0027785-0.0070116i,-0.0077146+0.0029423i,0.0069441+0.017405i,0.032346+0.019176i,0.051979+0.004729i,0.046417-0.010201i,0.018001-0.0042796i,-0.0046466+0.015585i,-0.0060546+0.028719i,0.0011129+0.028527i
-0.23199+0.030766i,-0.28688+0.1807i,-0.21903+0.21757i,-0.14192+0.091562i,-0.12293-0.026254i,-0.08109-0.020993i,0.017885+0.026792i,0.086098+0.032056i,0.089445+0.01447i,0.085194+0.0021002i,0.076064+0.0013141i,0.044548+0.021476i,0.023037+0.046542i,0.023617+0.045136i,0.021435+0.02056i,0.009629+0.0024893i,0.0023443-0.0084115i,0.0022772-0.021784i,0.0045368-0.025962i,0.0061066-0.014995i,0.0041526-0.0025102i,0.0022604+0.0006278i,0.007025-0.006577i
0.16572-0.18711i,0.089537-0.33902i,-0.071307-0.31162i,-0.18203-0.13487i,-0.17688-0.017149i,-0.13146-0.00029957i,-0.082333-0.016502i,-0.019663-0.048395i,0.020762-0.076521i,0.0090768-0.080806i,-0.02549-0.052042i,-0.035556-0.010012i,-0.020807+0.011738i,-0.011322+0.0158i,-0.0096448+0.021412i,-0.00065159+0.030125i,0.0090662+0.031728i,0.0070421+0.02949i,0.0025282+0.028583i,0.0044595+0.02587i,0.01026+0.017477i,0.0082888-0.0026531i,-0.010287-0.018014i
-0.0062383+0.27526i,0.14235+0.36723i,0.24248+0.2776i,0.21794+0.095262i,0.13893+0.0078984i,0.11077+0.023969i,0.12718+0.044919i,0.11217+0.025669i,0.02877-0.002958i,-0.040876+0.015148i,-0.034682+0.03013i,-0.022205+0.0042555i,-0.030051-0.0084939i,-0.02168-0.0031866i,0.00081752-0.0095499i,0.015278-0.02909i,0.015144-0.046053i,0.014319-0.047005i,0.018353-0.041538i,0.019918-0.037105i,0.015251-0.03177i,0.0014818-0.017468i,-0.0087774+0.0087545i
-0.19182-0.22726i,-0.36848-0.21607i,-0.37081-0.10793i,-0.20332-0.015946i,-0.055622-0.00072503i,0.010324-0.037865i,0.014941-0.098934i,-0.04018-0.11636i,-0.072531-0.052605i,-0.041795+0.0070244i,-0.016039+0.015661i,-0.015543+0.018241i,-0.012379+0.023982i,-0.0083062+0.021217i,-0.013427+0.014729i,-0.022973+0.0083401i,-0.03067+0.0046076i,-0.036879+0.0012983i,-0.038711-0.0038864i,-0.03026-0.0094829i,-0.010448-0.01342i,0.01196-0.016228i,0.0263-0.01613i
0.31917+0.059354i,0.47052-0.063691i,0.43155-0.14101i,0.27131-0.083096i,0.13946-0.0041113i,0.0077993+0.010236i,-0.11376+0.050804i,-0.11043+0.12727i,-0.010863+0.12666i,0.045632+0.053546i,0.035752+0.0065395i,0.018199-0.0058868i,0.0082919-0.014328i,0.0035323-0.014273i,0.0052081-0.010219i,0.0064628-0.011143i,0.0079492-0.013436i,0.006732-0.015406i,-0.001683-0.0088224i,-0.010887+0.0035147i,-0.017979+0.0070503i,-0.025254+0.0024233i,-0.029167-0.0041528i
-0.29788+0.16658i,-0.3328+0.3603i,-0.22365+0.39731i,-0.092294+0.24696i,-0.030609+0.10867i,0.030852+0.075328i,0.10671+0.055536i,0.12334+0.0092504i,0.071222-0.017978i,0.014204-0.010694i,-0.0027924+0.012825i,0.006577+0.026958i,0.016105+0.023663i,0.021658+0.011776i,0.020254-0.001127i,0.0060545-0.003314i,-0.014188+0.0053505i,-0.026288+0.015373i,-0.021573+0.025014i,-0.0048537+0.031328i,0.006621+0.029471i,0.0078714+0.021187i,0.0059856+0.011087i
0.13889-0.35445i,0.036853-0.53428i,-0.1178-0.48362i,-0.19561-0.24737i,-0.16602-0.077667i,-0.13099-0.046232i,-0.12128-0.062091i,-0.09298-0.084326i,-0.054212-0.090298i,-0.031469-0.065523i,-0.029224-0.035649i,-0.028187-0.015983i,-0.017807-0.0054539i,-0.0064931-0.0042317i,-0.001807-0.0081281i,-0.0013895-0.0073472i,0.0068936+0.0036758i,0.019858+0.01702i,0.02391+0.019188i,0.016272+0.011016i,0.0064522+0.0043029i,0.0052434+0.0023791i,0.0076138+0.001829i
0.11667+0.38075i,0.2997+0.46968i,0.38473+0.33021i,0.30955+0.057357i,0.20049-0.11231i,0.15206-0.11967i,0.11317-0.04576i,0.052022+0.052287i,0.0031038+0.10755i,-0.00080752+0.096214i,0.025377+0.054912i,0.03026+0.019788i,0.021118+0.0030183i,0.015894-0.013314i,-0.00081231-0.02172i,-0.017607-0.008611i,-0.018892+0.0039346i,-0.0085185+0.0022192i,0.0026975-0.0044409i,0.0028887-0.0079849i,-0.0058748-0.0033922i,-0.0083533+0.0057957i,-2.02e-05+0.0065131i
-0.35062-0.25066i,-0.57126-0.2297i,-0.57394-0.094961i,-0.37422+0.03749i,-0.22124+0.073318i,-0.16246+0.046574i,-0.1102-0.0071444i,-0.060908-0.054351i,-0.014552-0.0485i,0.01314-0.030289i,-0.0022208-0.025814i,-0.016857-0.011168i,-0.016361-0.0045929i,-0.028439-0.0022752i,-0.031877+0.019671i,-0.0035399+0.041809i,0.033398+0.040559i,0.050019+0.021987i,0.040045-0.00017345i,0.015288-0.010587i,-0.0014733-8.0783e-05i,-0.00081099+0.013381i,-0.00042261+0.014601i
0.45416-0.022502i,0.64743-0.15831i,0.60798-0.25064i,0.40573-0.20792i,0.25913-0.12224i,0.13037-0.08628i,-0.0045162-0.016826i,-0.026474+0.066395i,0.02415+0.058732i,0.043657+0.020308i,0.038935+0.014682i,0.029602+0.01627i,0.013046+0.02236i,0.0058706+0.030503i,0.016588+0.020222i,0.028679-0.0090795i,0.028346-0.042134i,0.016188-0.059975i,0.0065023-0.048538i,0.010345-0.022209i,0.013316-0.0091806i,0.0054369-0.005254i,9.7205e-06+0.0026557i
-0.36066+0.30462i,-0.44414+0.53085i,-0.34731+0.58333i,-0.18236+0.42135i,-0.10202+0.25891i,-0.029885+0.18419i,0.057291+0.062865i,0.030816-0.065885i,-0.055838-0.064878i,-0.066532-0.004547i,-0.035914+0.020752i,-0.021546+0.027437i,-0.0046803+0.032478i,0.015294+0.027784i,0.019424+0.012977i,0.0056498-0.0023286i,-0.018584-0.004435i,-0.03191+0.0043011i,-0.027047+0.0062007i,-0.017974-0.00050767i,-0.0099054-0.0095804i,-0.0051461-0.020766i,-0.0024413-0.027971i
0.12188-0.47309i,0.069831-0.71605i,-0.051901-0.6939i,-0.12873-0.42093i,-0.099821-0.21641i,-0.076015-0.17132i,-0.091265-0.1076i,-0.04407-0.018531i,0.025341-0.0054074i,0.025897-0.023095i,-0.0010044-0.014231i,-0.0082747+0.0057062i,-0.0024893+0.015498i,0.0067474+0.011536i,0.0079051-0.001918i,-0.0085568-0.013612i,-0.025069-0.0092582i,-0.027044+0.0066635i,-0.019237+0.021764i,-0.0095582+0.028375i,-0.0076326+0.022785i,-0.015641+0.015806i,-0.020531+0.015987i
0.18131+0.46169i,0.34424+0.64681i,0.4154+0.54684i,0.29925+0.22663i,0.13196+0.062179i,0.11628+0.088644i,0.18402+0.056394i,0.14574-0.023476i,0.042284-0.02691i,-0.0020849+0.0099494i,0.01251+0.018172i,0.030545-0.00031887i,0.029458-0.018821i,0.016142-0.026789i,-0.0017137-0.017133i,-0.01424+0.0083668i,-0.015707+0.028481i,-0.0136+0.028157i,-0.011446+0.015981i,-0.0068862+0.0084748i,0.0046104+0.0097662i,0.020024+0.012976i,0.025314+0.010231i
-0.42294-0.28156i,-0.67551-0.38324i,-0.72547-0.29693i,-0.49349-0.090659i,-0.23437-0.031361i,-0.15394-0.098769i,-0.15199-0.087856i,-0.09868-0.038234i,-0.037212-0.035857i,-0.022419-0.043843i,-0.033056-0.036669i,-0.044415-0.0273i,-0.042849-0.019138i,-0.029934-0.011592i,-0.018982-0.0073231i,-0.0061937-0.0048805i,0.013078-0.0030654i,0.022161+0.0019463i,0.01457+0.0073675i,0.0056941+0.0040115i,0.0034668-0.0048487i,0.0026415-0.010432i,0.0020953-0.010002i
0.50603-0.0034926i,0.79612-0.014703i,0.85899-0.074623i,0.62453-0.12585i,0.3627-0.061244i,0.23553+0.045747i,0.14507+0.083102i,0.065652+0.10014i,0.043536+0.10895i,0.053514+0.08209i,0.052944+0.047425i,0.040171+0.024535i,0.024889+0.0076739i,0.01073-0.0042483i,-0.00024745-0.0025873i,-0.002797+0.0056057i,0.0030073+0.0003116i,0.009893-0.017303i,0.012885-0.029722i,0.0065408-0.030801i,-0.0081741-0.023491i,-0.020286-0.011667i,-0.022246-0.0043485i
-0.4034+0.27146i,-0.66545+0.41534i,-0.71496+0.5053i,-0.47539+0.4519i,-0.24771+0.23674i,-0.19641+0.035731i,-0.16024-0.026106i,-0.087282-0.021076i,-0.029341-0.0053502i,-0.00066422-0.003969i,-0.0088236-0.0097083i,-0.027963+0.0075011i,-0.032766+0.026156i,-0.026064+0.026544i,-0.0090659+0.018791i,0.0092233+0.0091882i,0.015446+0.0038419i,0.015561+0.0068767i,0.013794+0.0078003i,0.0049812+0.0035948i,-0.0057349+0.0039516i,-0.0092117+0.0051548i,-0.0089103+0.0035829i
0.19179-0.41723i,0.39044-0.65226i,0.44672-0.73631i,0.28304-0.54928i,0.15089-0.23032i,0.13366-0.031177i,0.076947+0.025011i,0.015134+0.038821i,0.011563+0.014359i,0.0073446-0.0093922i,0.0021914+0.0052103i,0.015212+0.018843i,0.022735+0.025711i,0.023846+0.0328i,0.025763+0.021142i,0.023353-0.0032521i,0.0204-0.02743i,0.017225-0.048074i,0.010139-0.049497i,0.0062003-0.027222i,0.005543-0.0038691i,0.0023056+0.0072245i,-0.00081225+0.014309i
0.052957+0.40881i,-0.044618+0.69497i,-0.10505+0.76475i,-0.098667+0.46981i,-0.15643+0.11717i,-0.19718-0.0097599i,-0.10443-0.022141i,-0.041428-0.044439i,-0.080224-0.020046i,-0.084264+0.030102i,-0.038968+0.025863i,-0.01362+0.00075788i,-0.0013007-0.0095386i,0.0066603-0.018884i,0.0019274-0.023794i,-0.013444-0.018992i,-0.035533-0.0045689i,-0.053092+0.019506i,-0.049834+0.037319i,-0.030041+0.033359i,-0.0080477+0.016842i,0.0099729+0.0012983i,0.019356-0.010253i
-0.23144-0.29009i,-0.26241-0.60572i,-0.25083-0.73802i,-0.16198-0.48725i,0.044358-0.16591i,0.18439-0.059816i,0.12412-0.051866i,0.03878-0.020013i,0.034821-0.0049041i,0.032822-0.0098784i,0.010764+0.0051427i,0.0053836+0.020868i,0.010663+0.016657i,0.0080996+0.0081467i,-0.0036276+0.0059681i,-0.012223+0.0079076i,-0.0064972+0.006786i,0.0036745+0.00059569i,0.007567+0.00098859i,0.01043+0.0082927i,0.011145+0.011482i,0.0054881+0.010655i,-0.0012957+0.0080623i
0.28382+0.10492i,0.43341+0.38179i,0.48665+0.53311i,0.34573+0.33427i,0.060505+0.055934i,-0.13326-0.015605i,-0.10179-0.014507i,-0.022331-0.056281i,-0.013378-0.062784i,-0.0088558-0.028069i,0.013569-0.0134i,0.020835-0.019195i,0.013985-0.02637i,0.0036856-0.026235i,-0.0035989-0.0068897i,-0.0061101+0.022969i,-0.0092348+0.050026i,-0.005726+0.062959i,0.0069393+0.047245i,0.013317+0.018564i,0.012951-0.00075074i,0.015922-0.010013i,0.013847-0.013059i
-0.23104+0.046499i,-0.47098-0.13521i,-0.59915-0.23891i,-0.42353-0.069137i,-0.062661+0.11842i,0.15739+0.069018i,0.1092-0.016518i,0.015844+0.00077394i,0.020027+0.004794i,0.027173-0.030592i,-0.0054675-0.029871i,-0.029202+0.0023528i,-0.030191+0.023917i,-0.016774+0.027167i,0.0027768+0.015082i,0.021963-0.0038619i,0.046742-0.022626i,0.060523-0.04218i,0.041464-0.050128i,0.014045-0.038551i,0.0006088-0.024104i,-0.010947-0.014032i,-0.018147-0.0046533i
0.12788-0.1018i,0.4148-0.013672i,0.61933+0.061529i,0.46023-0.011116i,0.067756-0.0785i,-0.1778-0.00058617i,-0.14216+0.062021i,-0.031808+0.023397i,-0.012333-0.0041511i,-0.022819+0.018758i,-0.0058378+0.025593i,0.0090684+0.0057064i,0.007106-0.0084672i,0.0021675-0.010417i,-0.0015695-0.0044627i,-0.0060475+0.0015452i,-0.017339-0.002628i,-0.024651-0.006794i,-0.01681-0.0046902i,-0.01194-0.0056873i,-0.015772-0.0042811i,-0.011583+0.0070574i,0.0044466+0.015713i
-0.027591+0.089821i,-0.30793+0.10512i,-0.54556+0.098142i,-0.44782+0.11482i,-0.10967+0.093149i,0.13693+0.00084222i,0.1531-0.036277i,0.086221+0.02785i,0.07679+0.069286i,0.077901+0.031175i,0.03951-0.0094369i,-0.0061431-0.010959i,-0.025732+0.0031076i,-0.021454+0.0053601i,-0.0098364-0.011198i,-0.0022597-0.031642i,-0.00092501-0.038776i,-0.0050786-0.028539i,-0.010698-0.010093i,-0.01332+0.0057452i,-0.011959+0.016386i,-0.0096627+0.013962i,-0.01091+0.00094367i
-0.0042932-0.035693i,0.22134-0.14824i,0.44374-0.23347i,0.40191-0.2487i,0.13845-0.18648i,-0.080289-0.050983i,-0.087718+0.027226i,-0.011534-0.015428i,-0.0083938-0.05142i,-0.025802-0.014904i,-0.008411+0.022821i,0.01926+0.028921i,0.03592+0.021052i,0.029743+0.013985i,0.0052436+0.018226i,-0.013725+0.029208i,-0.019376+0.030291i,-0.018218+0.019292i,-0.0080174+0.0090837i,0.0053867+0.0045126i,0.0087596+0.0034528i,0.0071033+0.0093945i,0.0092926+0.018207i
-0.0066901-0.022276i,-0.14588+0.12012i,-0.31516+0.202i,-0.31538+0.15417i,-0.1089+0.047561i,0.081421-0.083646i,0.066501-0.13584i,-0.032962-0.059078i,-0.043203+0.016045i,-0.0059501+0.0040926i,0.001471-0.023424i,-0.008627-0.019956i,-0.0077754-0.0078984i,0.0061822-0.0069432i,0.014902-0.019439i,0.012003-0.027085i,0.00996-0.014254i,0.0081723+0.0061892i,-0.0019539+0.015024i,-0.0092894+0.015203i,-0.0055401+0.011122i,-0.0049182-0.0020867i,-0.012772-0.014846i
0.049613+0.031104i,0.098793-0.090622i,0.22657-0.14486i,0.30295-0.069137i,0.17808+0.034299i,-0.01238+0.12412i,-0.074858+0.14974i,-0.050818+0.090488i,-0.058614+0.041566i,-0.069255+0.056265i,-0.037801+0.072236i,0.0052985+0.059455i,0.028274+0.036298i,0.022266+0.021795i,0.005306+0.027329i,-9.5206e-05+0.037239i,0.0025809+0.030813i,0.006273+0.013575i,0.0093879+0.0020929i,0.010966-0.0016768i,0.010915-0.0046963i,0.012226-0.00094676i,0.018415+0.0074216i
-0.070448+0.0015501i,-0.058984+0.068987i,-0.16227+0.097013i,-0.30494+0.047625i,-0.25932-0.032028i,-0.093832-0.1244i,-0.029348-0.16188i,-0.046492-0.091029i,-0.014176-0.017715i,0.025663-0.013377i,0.01738-0.029133i,-0.0095342-0.03318i,-0.030729-0.026382i,-0.024231-0.018716i,0.0040637-0.023483i,0.015907-0.03056i,0.0088723-0.021345i,0.001175-0.0037687i,-9.4531e-05+0.0047448i,0.0025287+0.0049692i,0.0014171+0.001091i,-0.0034521-0.0097896i,-0.014188-0.021153i
0.061386-0.035173i,0.029804-0.023945i,0.097581+0.01138i,0.22835+0.075809i,0.20695+0.15442i,0.068931+0.22935i,0.036343+0.25221i,0.085634+0.15782i,0.069477+0.044332i,0.023291+0.01682i,0.013029+0.029522i,0.013445+0.034012i,0.0069018+0.02993i,-0.0075441+0.023364i,-0.021409+0.026335i,-0.016137+0.031049i,-0.0022893+0.017532i,0.0061189-0.0043646i,0.0084265-0.015628i,0.0050692-0.017177i,0.00061116-0.014341i,-0.0018591-0.0033821i,0.0038078+0.010218i
-0.016565+0.054732i,-0.003411-0.020849i,-0.07806-0.12798i,-0.23127-0.22196i,-0.26331-0.28161i,-0.11756-0.30565i,-0.0024979-0.30477i,0.0080331-0.24181i,0.010153-0.1554i,0.014444-0.11119i,-9.9024e-05-0.083304i,-0.015654-0.056789i,-0.019661-0.037631i,-0.0050422-0.023157i,0.013583-0.025757i,0.011493-0.035444i,-0.0036849-0.030005i,-0.011853-0.014213i,-0.0091478-0.0045646i,-0.009119-0.0054017i,-0.014748-0.0040335i,-0.01532+0.0010869i,-0.011539+0.0028461i
-0.027333-0.051192i,-0.0047108+0.051424i,0.10797+0.1976i,0.29625+0.28339i,0.34757+0.28103i,0.191+0.26918i,0.057562+0.25537i,0.035721+0.17734i,0.022795+0.084842i,0.0002253+0.048749i,-0.0011147+0.037616i,0.0073277+0.028188i,0.013267+0.020105i,-0.0013624+0.012889i,-0.026836+0.02267i,-0.025399+0.037526i,-0.0002781+0.03166i,0.01543+0.014138i,0.011153+0.0036275i,0.0047235+0.005759i,0.0064241+0.010876i,0.0086985+0.0097268i,0.011188+0.003018i
0.060027+0.013632i,0.019556-0.10012i,-0.1052-0.27218i,-0.26203-0.35812i,-0.2612-0.32209i,-0.10565-0.30282i,-0.016856-0.302i,-0.03444-0.211i,-0.040152-0.080277i,-0.015784-0.023542i,-0.0094604-0.02142i,-0.015354-0.02101i,-0.010968-0.013281i,0.010477-0.0097071i,0.029789-0.024358i,0.020059-0.041764i,-0.0065223-0.03951i,-0.020336-0.026068i,-0.015764-0.014847i,-0.0074192-0.0081709i,-0.0025-0.0030122i,0.0016971+0.00094593i,0.0016388+0.0019202i
-0.072924+0.047341i,-0.013374+0.16102i,0.13355+0.32854i,0.2797+0.41018i,0.26228+0.365i,0.090502+0.30964i,-0.05648+0.28642i,-0.07743+0.22992i,-0.036707+0.146i,-0.0070102+0.091993i,0.0073913+0.06935i,0.014753+0.053589i,0.011388+0.035485i,-0.0052788+0.023282i,-0.02213+0.030454i,-0.017687+0.046195i,0.002915+0.048907i,0.013312+0.037547i,0.0072571+0.02515i,0.004669+0.021883i,0.011129+0.01861i,0.011863+0.0071087i,0.0065823-0.0022941i
0.047723-0.088178i,-0.033911-0.19611i,-0.20164-0.32905i,-0.33922-0.38335i,-0.30448-0.3322i,-0.12313-0.25042i,0.033364-0.1856i,0.05637-0.10176i,0.018197-0.021099i,0.0037714+0.001022i,0.0018177-0.0091257i,0.0033964-0.01031i,0.016393-0.0069525i,0.030512-0.016063i,0.035703-0.036079i,0.022174-0.051403i,-0.0032332-0.049469i,-0.01825-0.03179i,-0.014721-0.012723i,-0.0087766-0.0073616i,-0.012758-0.0082608i,-0.013545-0.0016708i,-0.0079968+0.0073062i
0.0076634+0.11549i,0.089486+0.20543i,0.21069+0.30103i,0.26283+0.33863i,0.18661+0.28007i,0.02773+0.17844i,-0.08594+0.1184i,-0.071711+0.066485i,-0.017392-0.00077821i,-0.00827-0.018511i,-0.0053309+0.0081114i,0.0065056+0.023946i,0.0028043+0.020004i,-0.013143+0.019457i,-0.023019+0.036432i,-0.009829+0.055824i,0.014154+0.057828i,0.027755+0.042845i,0.024722+0.024224i,0.015304+0.014223i,0.0108+0.0095205i,0.0048293+0.0026361i,-0.0034829-0.0022754i
-0.04799-0.1077i,-0.12372-0.16943i,-0.18606-0.25262i,-0.17425-0.32985i,-0.10398-0.30818i,0.011828-0.19345i,0.12165-0.10595i,0.1277-0.072295i,0.061788-0.043537i,0.024305-0.025484i,0.009861-0.030227i,-0.0042816-0.035218i,-0.0041651-0.029699i,0.0093863-0.027881i,0.017877-0.043172i,0.0088216-0.063236i,-0.0082467-0.067766i,-0.017217-0.056864i,-0.014828-0.039715i,-0.013373-0.028333i,-0.019838-0.020312i,-0.020755-0.0052178i,-0.010519+0.008423i
0.095836+0.069075i,0.16388+0.10428i,0.20026+0.18187i,0.17851+0.28059i,0.11563+0.25992i,0.010917+0.12098i,-0.086305-0.004805i,-0.092166-0.065797i,-0.038923-0.082818i,-0.0092212-0.064497i,-0.0066276-0.02623i,-0.012249+0.0026523i,-0.02323+0.01804i,-0.03252+0.031897i,-0.032417+0.05033i,-0.019612+0.066189i,-0.0010895+0.066796i,0.0087888+0.051015i,0.0086025+0.028679i,0.010154+0.013925i,0.017106+0.0061159i,0.020873-0.0047734i,0.01786-0.014462i
-0.10497-0.0183i,-0.13843-0.041323i,-0.13006-0.1307i,-0.094027-0.2404i,-0.042739-0.20393i,0.026234-0.055187i,0.080337+0.040464i,0.063043+0.063173i,0.023354+0.070092i,0.019625+0.059055i,0.020527+0.023362i,0.0076801-0.0053811i,0.0030134-0.012918i,0.014271-0.020308i,0.021413-0.041514i,0.01141-0.061604i,-0.0044762-0.061965i,-0.011346-0.047219i,-0.0094596-0.029442i,-0.008749-0.015697i,-0.012929-0.0068406i,-0.014546+0.00095478i,-0.010891+0.0030099i
0.085465-0.033006i,0.084959-0.019158i,0.031405+0.086056i,-0.027848+0.23249i,-0.055504+0.24184i,-0.052643+0.10485i,-0.05415-0.011063i,-0.04558-0.035525i,-0.022946-0.019276i,-0.012097-0.0081017i,-0.0079438+0.0058221i,-0.0020657+0.025586i,0.0004583+0.033819i,-0.0043397+0.037173i,-0.011082+0.049803i,-0.0073804+0.065035i,0.0065713+0.066358i,0.015686+0.050031i,0.016025+0.028951i,0.017088+0.013723i,0.021781+0.0061761i,0.022243-0.00051239i,0.013435-0.0045007i
-0.049593+0.066527i,-0.035491+0.050005i,0.013507-0.062864i,0.045696-0.20701i,0.048608-0.22776i,0.035492-0.108i,0.018957+0.016118i,0.0048874+0.07575i,-0.0026385+0.082034i,-0.0047591+0.067689i,-0.0016869+0.047279i,0.0093467+0.015964i,0.022278-0.014027i,0.028991-0.03479i,0.029891-0.052543i,0.024394-0.065902i,0.012874-0.066848i,0.0021784-0.051411i,-0.0047625-0.028159i,-0.011911-0.0083833i,-0.020643+0.0054314i,-0.025381+0.016062i,-0.020837+0.021895i
0.0096025-0.083146i,-0.021422-0.056319i,-0.067483+0.072163i,-0.071265+0.1976i,-0.035677+0.17208i,-0.015615+0.051142i,0.001654-0.012947i,0.026372-0.020541i,0.020175-0.018259i,-0.0022088-0.018914i,-0.010014-0.013369i,-0.0073925+0.007057i,-0.0044145+0.022388i,-0.012162+0.0285i,-0.025591+0.041413i,-0.028432+0.056386i,-0.022067+0.057707i,-0.014752+0.042145i,-0.0084026+0.02359i,-0.0012976+0.012602i,0.0095047+0.0045847i,0.017947-0.0042328i,0.015838-0.010505i
0.0495+0.07629i,0.10548+0.039948i,0.16344-0.10741i,0.17072-0.25343i,0.11452-0.25621i,0.038821-0.16621i,-0.029924-0.092685i,-0.05626-0.049215i,-0.033306-0.028317i,-0.010813-0.014068i,-0.0059416-0.0026755i,-0.0053599-0.0095248i,-0.005678-0.019433i,0.0015685-0.025047i,0.015348-0.038057i,0.02129-0.050337i,0.015988-0.046855i,0.0080433-0.028061i,0.0020202-0.0087318i,-0.0032137-0.0014078i,-0.011385+0.0005628i,-0.017734+0.0044659i,-0.014302+0.0083827i
-0.092305-0.04373i,-0.14738+0.0045695i,-0.16314+0.14019i,-0.13206+0.24422i,-0.095382+0.2258i,-0.053757+0.1715i,0.0091057+0.12115i,0.043588+0.058221i,0.03524+0.0095037i,0.02627-0.016564i,0.017522-0.02565i,0.0024607-0.010486i,-0.0062174+0.0094561i,-0.016656+0.020975i,-0.031955+0.036265i,-0.038207+0.051707i,-0.033129+0.051632i,-0.02218+0.036918i,-0.011593+0.018323i,-0.0020599+0.0024153i,0.0089241-0.0099427i,0.015323-0.017618i,0.013823-0.02107i
0.11506-0.013909i,0.15896-0.090506i,0.11796-0.20993i,0.027236-0.24373i,-0.01159-0.15914i,-0.0072517-0.10695i,-0.022726-0.11596i,-0.044663-0.1053i,-0.037922-0.071317i,-0.018311-0.036521i,-0.0062266-0.013266i,-0.0031463-0.0071231i,-0.0038807-0.0058722i,0.007938-0.0098786i,0.02989-0.026609i,0.043035-0.04359i,0.045481-0.046388i,0.038245-0.035027i,0.024007-0.019094i,0.0097637-0.0063278i,-0.0027062+0.0018709i,-0.0090232+0.0083405i,-0.0075866+0.011274i
-0.1077+0.074149i,-0.13872+0.17126i,-0.10541+0.26191i,-0.060994+0.27179i,-0.049087+0.2204i,-0.028704+0.18248i,0.0093687+0.15645i,0.025058+0.11217i,0.015402+0.070117i,0.0090631+0.045699i,0.0091187+0.032213i,0.0069835+0.025787i,0.003328+0.018796i,-0.0071513+0.01659i,-0.025524+0.028709i,-0.037908+0.041074i,-0.037998+0.036312i,-0.027743+0.018906i,-0.012568+0.0045707i,-0.0015992-0.0018573i,0.0028723-0.0034454i,0.0033984-0.0026837i,-0.00037342-0.0027479i
0.064039-0.12007i,0.058912-0.21075i,0.02452-0.24615i,0.01879-0.20689i,0.049328-0.16803i,0.065325-0.16446i,0.046378-0.15561i,0.018531-0.1068i,-0.0014819-0.046975i,-0.014099-0.012721i,-0.015551-0.0034905i,-0.010973-0.0056197i,-0.00077579-0.0049406i,0.018557-0.0055579i,0.039655-0.020635i,0.050535-0.037683i,0.046262-0.038864i,0.030997-0.027309i,0.012992-0.015003i,0.0011043-0.0027188i,-0.0025879+0.01021i,-0.0013116+0.017264i,0.00058738+0.017774i
0.010723+0.14542i,0.059027+0.22199i,0.11867+0.23178i,0.14772+0.15502i,0.11908+0.057342i,0.040324+0.032392i,-0.023151+0.057307i,-0.030256+0.063979i,-0.0041882+0.054105i,0.013977+0.045021i,0.0153+0.037213i,0.01442+0.028808i,0.0091521+0.01647i,-0.0087903+0.0074552i,-0.034143+0.013237i,-0.051942+0.027599i,-0.052644+0.034685i,-0.04079+0.028464i,-0.02579+0.017133i,-0.015177+0.0087753i,-0.0094422+0.002889i,-0.0065044-0.0020098i,-0.0051116-0.0029134i
