0.0033669+0.0015915i,0.0041021-0.00051978i,0.0012885-0.0049363i,-0.0014902-0.0044498i,-0.0034165-0.0012472i,-0.0034624+0.00053933i,-0.00075834+0.00083509i,0.0010548+0.00010311i,0.0014366+7.6062e-05i,0.00081089-0.0002895i,-0.00028428-0.00090688i,-0.0010308-0.00053243i,-0.0011249+0.00059115i,-0.00092425+0.0013264i,-0.0018042+0.0010825i,-0.0020323+0.00053041i,-0.00060704-9.7418e-05i,0.00091251-7.1314e-05i,0.00060975+0.00073729i,-0.00044479+0.00044916i,-0.00045021-0.00011087i,-4.061e-05-0.00046181i,-2.956e-05-0.00079211i
0.3588-0.035987i,0.28298-0.04773i,0.16159-0.022814i,0.1372-0.00052784i,0.12257+0.0037059i,0.082761+0.016858i,0.047464+0.010215i,-0.0018905-0.013985i,-0.036035-0.01142i,-0.033161-0.0013518i,-0.03362-0.0021761i,-0.045672-0.0022473i,-0.04264+3.2708e-05i,-0.021821+0.0050186i,-0.0029138+0.010399i,0.0022442+0.013445i,0.00095164+0.015986i,0.0028235+0.016371i,0.0055026+0.010777i,0.0082248+0.0026811i,0.012104-0.0035404i,0.011861-0.0071215i,0.008349-0.0067004i
-0.027232+0.34154i,-0.056187+0.23823i,-0.1527+0.094875i,-0.24812+0.1004i,-0.21264+0.1513i,-0.094648+0.1259i,-0.017515+0.071191i,0.0018309+0.0327i,-0.0023779+0.017247i,-0.00024797+0.0086526i,0.0027273-0.0084171i,-0.0043444-0.026607i,-0.0090788-0.029139i,-0.0051665-0.013547i,0.0015595+0.00064732i,0.0011269+0.0038023i,-0.0058636+0.0049978i,-0.011022+0.0080124i,-0.0092486+0.010712i,-0.0022318+0.010702i,0.0034999+0.0088332i,0.0052705+0.0072904i,0.0056136+0.0059616i
-0.33073-0.071161i,-0.21953-0.049508i,-0.047777-0.004076i,0.0046765+0.016953i,-0.03329+0.0033344i,-0.062243-0.0031689i,-0.043679+0.001028i,0.0056318-0.01831i,0.022929-0.047339i,0.010151-0.039778i,0.017137-0.018682i,0.038538-0.011222i,0.046627-0.0078502i,0.032043-0.0069894i,0.009287-0.0080857i,-0.0038629-0.010094i,-0.010119-0.0127i,-0.013333-0.013423i,-0.012676-0.0092141i,-0.011144-0.00070555i,-0.010009+0.0071388i,-0.0080238+0.010794i,-0.006674+0.0083286i
0.14261-0.32377i,0.16026-0.22899i,0.13464-0.12869i,0.083576-0.16755i,0.033823-0.18996i,-0.017044-0.11648i,-0.049662-0.042198i,-0.059196-0.0037771i,-0.050447+0.010115i,-0.03717+0.011615i,-0.02708+0.01871i,-0.013484+0.03357i,0.0013938+0.040644i,0.0093127+0.028062i,0.0059901+0.0096196i,0.00057566+0.00051458i,0.00062083-0.0054395i,0.0015345-0.012398i,-0.00056368-0.015478i,-0.0047578-0.014492i,-0.0081774-0.013029i,-0.01042-0.0098815i,-0.01144-0.0040343i
0.30066+0.19933i,0.14522+0.19635i,-0.071267+0.15196i,-0.12031+0.12182i,-0.049287+0.092244i,0.026931+0.02585i,0.044204-0.02726i,0.028906-0.018051i,0.033249+0.010668i,0.032913+0.0081164i,0.0064483-0.0016538i,-0.026852+0.0033428i,-0.044551+0.01382i,-0.03379+0.019365i,-0.010669+0.014447i,0.0019944+0.0059156i,0.0067994+0.001524i,0.011741+0.0015091i,0.015327+0.00021527i,0.012655-0.0061221i,0.0076425-0.010812i,0.0044291-0.011057i,0.0037444-0.0095374i
-0.26517+0.30229i,-0.25945+0.18832i,-0.15017+0.031748i,-0.013027+0.013442i,0.067241+0.036454i,0.071273+0.0057248i,0.059451-0.049502i,0.04699-0.095732i,0.021974-0.094465i,0.012712-0.062741i,0.013714-0.052744i,0.00084722-0.060466i,-0.019994-0.054594i,-0.029584-0.028773i,-0.02139-0.0064921i,-0.009635+0.00043946i,-0.0023791+0.0045279i,0.0026483+0.010839i,0.0063013+0.015449i,0.0095832+0.014832i,0.012174+0.010838i,0.012414+0.0043154i,0.0088875-0.0023834i
-0.2726-0.3549i,-0.14185-0.41037i,0.049895-0.38813i,0.064659-0.33213i,-0.025309-0.2167i,-0.030579-0.054003i,0.02443+0.042388i,0.038317+0.049046i,0.011087+0.035931i,-0.0031423+0.030554i,0.0072386+0.018889i,0.024904-0.00012522i,0.03306-0.019422i,0.020679-0.024831i,0.0053275-0.013939i,0.001342-0.0043664i,-0.00089937-0.00059881i,-0.0061533+0.0030156i,-0.0095042+0.0075376i,-0.0076716+0.01206i,-0.0044924+0.011768i,-0.0034161+0.0091113i,-0.0026436+0.0091946i
0.4146-0.27331i,0.44207-0.1698i,0.29393+0.032807i,0.10369+0.12851i,0.020914+0.088321i,0.012729+0.034343i,0.031879+0.037127i,0.073278+0.049362i,0.087761+0.022814i,0.056589+0.0011695i,0.031028+0.013627i,0.030605+0.033192i,0.037283+0.036455i,0.035536+0.018877i,0.022783+0.00061888i,0.010497-0.0043826i,0.0017695-0.0043844i,-0.0051999-0.0046889i,-0.0088299-0.0058796i,-0.010953-0.0072887i,-0.010673-0.0070305i,-0.0081765-0.0038172i,-0.0056735+0.0014517i
0.25537+0.49385i,0.19525+0.56777i,0.090801+0.46809i,0.095724+0.26885i,0.10447+0.10529i,0.020735+0.016175i,-0.066414-0.01474i,-0.088502-0.020704i,-0.067025-0.023819i,-0.04178-0.023298i,-0.031725-0.019476i,-0.035979-0.0069358i,-0.040282+0.010186i,-0.028996+0.015766i,-0.012379+0.0085416i,-0.0040259+0.0010921i,0.0011356-0.0028112i,0.0073761-0.0048689i,0.010637-0.0058329i,0.0076866-0.005753i,0.0053787-0.0055598i,0.0047434-0.0082911i,-0.00034136-0.012089i
-0.53189+0.22218i,-0.59465+0.155i,-0.48225-0.038837i,-0.30204-0.15714i,-0.14977-0.12212i,-0.052853-0.030571i,-0.018815+0.032543i,-0.01739+0.07977i,-0.0047673+0.10246i,0.0083547+0.073871i,0.0053714+0.03132i,-0.0047574-0.0050517i,-0.022185-0.028208i,-0.031842-0.021747i,-0.02173-0.0069205i,-0.0083592-0.0034002i,-0.00067666-0.0034198i,0.0017776+0.0002444i,0.0021554+0.0056197i,0.0053281+0.0072446i,0.0081027+0.0069928i,0.0097122+0.0059305i,0.0095556+2.6048e-05i
-0.20741-0.57573i,-0.21665-0.64741i,-0.10067-0.48581i,0.0043123-0.21256i,0.034426-0.031148i,0.065595+0.0076819i,0.10944-0.0017412i,0.12403-0.020791i,0.0963-0.035445i,0.060721-0.030451i,0.046012-0.022016i,0.042269-0.02354i,0.035708-0.03178i,0.020173-0.032582i,0.006224-0.018737i,0.0036097-0.0018368i,0.0025477+0.0085024i,-0.005107+0.014165i,-0.014919+0.015564i,-0.016861+0.012959i,-0.011295+0.010419i,-0.0015027+0.010549i,0.010022+0.0097055i
0.6057-0.18366i,0.72225-0.21559i,0.65253-0.093227i,0.49537+0.032128i,0.32694+0.038581i,0.15072+0.016135i,0.018681+0.010509i,-0.050566-0.0044889i,-0.074988-0.01495i,-0.055704-0.012681i,-0.031443-0.0078275i,-0.014559+0.012981i,0.017681+0.026941i,0.037912+0.010645i,0.030286-0.0040236i,0.019315-0.0011298i,0.010739+0.0026227i,-0.0010416-0.00058274i,-0.0097936-0.0052371i,-0.011524-0.0045913i,-0.010698-0.0018259i,-0.011604+0.0015281i,-0.011719+0.0087221i
0.17445+0.60053i,0.26197+0.69189i,0.17002+0.54133i,-0.024516+0.2912i,-0.11526+0.13437i,-0.084707+0.08229i,-0.044641+0.077459i,-0.013495+0.088294i,0.020908+0.081986i,0.025972+0.060417i,0.0075412+0.046993i,-0.0043749+0.042834i,-0.002343+0.041877i,0.0035587+0.033953i,-0.00084482+0.018995i,-0.011316+0.0057356i,-0.017477-0.0062132i,-0.015596-0.01852i,-0.0068402-0.026294i,-0.00032713-0.024011i,0.00017167-0.01595i,-0.0050569-0.0074866i,-0.012569+0.0016529i
-0.60149+0.13667i,-0.70939+0.28141i,-0.61519+0.3165i,-0.41006+0.25357i,-0.22703+0.1606i,-0.11559+0.052976i,-0.057438-0.033901i,-0.024176-0.064202i,-0.0067697-0.058367i,-0.0031786-0.038305i,0.003856-0.023098i,0.00072489-0.025691i,-0.021605-0.019745i,-0.030489+0.0036602i,-0.023786+0.017064i,-0.018194+0.015871i,-0.012436+0.011567i,-0.0034845+0.0071004i,0.0035199+0.0033246i,0.0017199+0.00034752i,-0.0011994-0.00073192i,0.0030032-0.0046852i,0.0057708-0.013219i
-0.10801-0.57405i,-0.28629-0.6455i,-0.28426-0.52427i,-0.094074-0.35445i,0.046085-0.22588i,0.032321-0.12869i,-0.042987-0.04968i,-0.099156+0.012719i,-0.1038+0.046349i,-0.07146+0.030205i,-0.045036+0.0018174i,-0.028478-0.0064285i,-0.017566-0.011492i,-0.014478-0.013001i,-0.0034807-0.0097072i,0.013599-0.0086676i,0.024201-0.0060204i,0.028008-0.0037338i,0.022868-0.0023421i,0.011878-0.00070716i,0.0026625-0.00019617i,2.6475e-05+0.00081737i,0.0033073-0.00043739i
0.55393-0.091334i,0.59569-0.32169i,0.40144-0.39532i,0.15392-0.24278i,0.035659-0.071871i,0.043878+0.01447i,0.074229+0.042052i,0.0851+0.032972i,0.08176+0.01048i,0.063835-0.0021199i,0.038882-0.0016099i,0.022963-0.0012245i,0.017365-0.005797i,0.010693-0.011946i,0.0016984-0.01717i,-0.0034823-0.018229i,-0.0052047-0.014748i,-0.006529-0.012243i,-0.0055614-0.012992i,-0.00096015-0.013755i,0.00043132-0.01057i,-0.0025786+0.0010582i,-0.0029027+0.015043i
0.04825+0.48937i,0.28966+0.52162i,0.37027+0.3836i,0.21525+0.27935i,0.07289+0.25568i,0.045096+0.17754i,0.049256+0.043944i,0.033576-0.064472i,0.0016934-0.094639i,-0.0049503-0.059999i,0.005785-0.036708i,-0.0038015-0.025515i,-0.0077721-0.002982i,0.0015298+0.0056971i,8.6847e-05+0.0057005i,-0.0053108+0.010907i,-0.0087625+0.012666i,-0.0085172+0.010743i,-0.0006433+0.0099579i,0.0058927+0.0074488i,0.0058253+0.001741i,-0.00018053-0.0027135i,-0.0078793-0.0029937i
-0.43591-0.0029166i,-0.44188+0.2371i,-0.25245+0.3291i,-0.090813+0.14651i,-0.077346-0.046167i,-0.081731-0.071125i,-0.054606-0.026447i,-0.037064+0.028971i,-0.022848+0.064828i,-0.016656+0.053894i,-0.018346+0.037233i,-0.0083906+0.032777i,0.002613+0.024506i,0.0069401+0.013489i,0.010056+0.0035573i,0.011647-0.0059226i,0.011834-0.011923i,0.017024-0.011524i,0.022657-0.0071051i,0.018893-0.0032196i,0.0084467-0.0028655i,-0.0013233-0.0078231i,-0.0077654-0.014923i
0.058009-0.37555i,-0.19217-0.36239i,-0.38408-0.19928i,-0.35952-0.086431i,-0.22511-0.08436i,-0.12908-0.074613i,-0.057301-0.030065i,0.0032397-0.00029985i,0.031352-0.0027097i,0.025908-0.0094743i,0.022714-0.0014779i,0.026222-0.0083816i,0.0080102-0.022053i,-0.01319-0.015086i,-0.015047-0.006239i,-0.010143-0.0067306i,-0.0047876-0.0078184i,-0.00078952-0.0074792i,-0.00035717-0.0040196i,-0.001849-0.00012568i,-0.0019472+0.00062489i,0.0030348+0.00044446i,0.0094284-0.0011525i
0.31316+0.087723i,0.25721-0.16348i,0.070491-0.32127i,0.0073079-0.22029i,0.097949-0.026169i,0.14988+0.046741i,0.087681+0.036078i,-0.0042179+0.021209i,-0.043927+0.017288i,-0.025068+0.0066829i,-0.011927-0.017384i,-0.024888-0.028249i,-0.029228-0.022501i,-0.019379-0.011634i,-0.0073995+0.0031416i,0.0030838+0.015686i,0.0085809+0.023336i,0.010802+0.029673i,0.01259+0.031278i,0.014646+0.024551i,0.015179+0.013626i,0.012339+0.0056684i,0.010334+0.0031535i
-0.15019+0.24452i,0.079417+0.15253i,0.24285-0.10035i,0.19247-0.23909i,0.064875-0.17757i,0.017286-0.055091i,0.029679+0.01447i,0.050558+0.035352i,0.055967+0.036339i,0.038906+0.028518i,0.01963+0.022751i,0.020188+0.020966i,0.033454+0.0096799i,0.032497-0.0060529i,0.019381-0.012649i,0.013575-0.0119i,0.014377-0.0067718i,0.014952+0.0014532i,0.014501+0.0077218i,0.011922+0.0082836i,0.0048249+0.0040323i,-0.0055544-0.00051968i,-0.011277+0.00018681i
-0.16533-0.20678i,-0.072873-0.0079032i,0.15759+0.11221i,0.2038+0.053469i,0.020065+0.0038467i,-0.12142+0.018835i,-0.12067+0.0034917i,-0.0815-0.038662i,-0.053418-0.052283i,-0.026191-0.031757i,0.0044303-0.011112i,0.025447-0.0023626i,0.030243+0.0060665i,0.023891+0.005768i,0.0099559-0.0029554i,-0.00076873-0.007584i,-0.0065872-0.0094352i,-0.015275-0.0079659i,-0.024738+0.0003396i,-0.026851+0.0094035i,-0.021002+0.010217i,-0.013404+0.0051361i,-0.0068637+0.00099101i
0.26105-0.13926i,0.13229-0.11167i,0.071278+0.087309i,0.15515+0.17636i,0.19118+0.052987i,0.11497-0.049847i,0.01828-0.03795i,-0.044114+0.014856i,-0.055914+0.047661i,-0.03291+0.036608i,-0.022421+0.013612i,-0.032934+0.015871i,-0.034319+0.030431i,-0.018259+0.031546i,-5.3333e-05+0.022524i,0.0076305+0.015866i,0.0063545+0.014919i,0.0018191+0.016286i,-0.0043282+0.016032i,-0.0049969+0.010336i,0.0012319+0.0012298i,0.0063974-0.0054442i,0.0087096-0.0076947i
0.07177+0.2643i,0.071906+0.16581i,-0.077701+0.080092i,-0.152+0.084115i,-0.058212+0.061246i,0.036845-0.013808i,0.073408-0.056443i,0.069124-0.057363i,0.044724-0.0343i,0.02396-0.0055286i,0.010111+0.0078612i,0.0001597+0.0015559i,-0.012709-0.012082i,-0.018991-0.011823i,-0.013609-0.003074i,-0.0088991+0.0039502i,-0.002974+0.010659i,0.0059625+0.0092393i,0.0080012-0.00038978i,0.0030352-0.0067158i,0.0020446-0.0068999i,0.0039457-0.0059243i,0.0023089-0.0042883i
-0.25441+0.041678i,-0.18166+0.10311i,-0.094759+0.024637i,-0.071839-0.019791i,-0.053636+0.086448i,-0.014748+0.16867i,-0.010572+0.12919i,-0.042015+0.051577i,-0.069958+0.016i,-0.057858+0.017646i,-0.022935+0.0038241i,-0.0066698-0.022321i,-0.0041115-0.031216i,-0.0029011-0.02394i,-0.0056263-0.0098905i,-0.010723-0.0005368i,-0.017425+0.0042385i,-0.021596+0.0092802i,-0.019499+0.012318i,-0.01383+0.013445i,-0.0063986+0.013946i,0.0008559+0.013623i,0.0037908+0.0099126i
0.0079141-0.25471i,-0.03685-0.22126i,0.073-0.14768i,0.17596-0.12449i,0.13117-0.12594i,0.048232-0.065318i,0.025884+0.022917i,0.039597+0.054947i,0.042679+0.036931i,0.02487+0.017673i,0.0060579+0.015372i,0.0077631+0.025638i,0.029308+0.028748i,0.040538+0.016902i,0.032174+0.00029966i,0.018342-0.012245i,0.00057065-0.013314i,-0.014206-0.0015108i,-0.015794+0.0071549i,-0.0090581+0.0015203i,-0.0035862-0.0067698i,0.0019351-0.0060465i,0.0081011-0.0038211i
0.21539+0.023636i,0.20886-0.058927i,0.19557+0.018176i,0.20753+0.11562i,0.15076+0.052118i,0.038381-0.083705i,-0.020415-0.1665i,-0.025019-0.19177i,-0.021962-0.16659i,-0.013307-0.10475i,-0.00048927-0.048043i,0.0024608-0.016013i,-0.0016785+0.0013149i,-0.0024983+0.0070898i,-0.00041241+0.0058792i,0.0049671+0.0016156i,0.0095113-0.0094582i,0.004598-0.022665i,-0.0045304-0.027839i,-0.0077516-0.023478i,-0.007004-0.017019i,-0.0069018-0.010858i,-0.0058178-0.0035211i
-0.022721+0.20399i,0.11716+0.24555i,0.10285+0.26957i,0.020278+0.29012i,0.03408+0.22909i,0.054436+0.098129i,-0.0045503+0.0016234i,-0.06891-0.014957i,-0.078459+0.012284i,-0.04663+0.020542i,-0.024287-0.0028527i,-0.03157-0.014996i,-0.044699-0.0031339i,-0.04346+0.013354i,-0.026225+0.02292i,-0.0064075+0.021457i,0.0019974+0.0071039i,0.0015555-0.012392i,-3.3534e-06-0.018452i,0.0025902-0.0076778i,0.0079281+0.0033103i,0.0049789+0.0081591i,-0.0029461+0.01237i
-0.1372-0.054624i,-0.18046+0.12469i,-0.22286+0.20987i,-0.29049+0.19321i,-0.26649+0.1661i,-0.10268+0.14042i,0.074936+0.1093i,0.15381+0.060426i,0.12512+0.010173i,0.060831+4.4288e-05i,0.034246+0.0072066i,0.032622-0.0050205i,0.027168-0.017877i,0.021181-0.017816i,0.012821-0.014614i,0.00078509-0.0094945i,-0.0054001+0.0010302i,0.00091214+0.010005i,0.0079899+0.0085201i,0.0046989+0.0011932i,-0.00093514-0.0022977i,-0.00087243-0.0029958i,0.0021543-0.0059625i
0.021464-0.079745i,-0.19995-0.094225i,-0.30981-0.032808i,-0.23788+0.018665i,-0.11569+0.046308i,-0.023581+0.068604i,0.044042+0.051686i,0.062487-0.0022408i,0.020297-0.035778i,-0.011298-0.02358i,-0.002148-0.011448i,0.0058273-0.020662i,0.0034307-0.02937i,0.0028554-0.031322i,-0.0011335-0.027255i,-0.0024172-0.017634i,0.0030715-0.0076349i,0.0081507+0.0050822i,0.0091193+0.013971i,0.004856+0.011054i,-0.00029988+0.0036439i,-0.0011397-0.0014538i,0.00038242-0.0034876i
0.032354+0.045763i,0.053182-0.11322i,-0.020958-0.21132i,-0.051991-0.20606i,0.015628-0.1558i,0.035228-0.081663i,-0.010619+0.029712i,-0.0082443+0.12085i,0.038606+0.11877i,0.040369+0.060793i,0.0063236+0.032445i,-0.0063578+0.036853i,-0.0034133+0.04009i,-0.0023381+0.037327i,0.0029964+0.028732i,0.010991+0.014218i,0.011763+0.001314i,0.0029128-0.0027252i,-0.00037976+0.0022199i,0.011302+0.004816i,0.020288+0.0021045i,0.018133+0.0029889i,0.011599+0.0064052i
-0.002109-0.041045i,0.13692-0.047544i,0.17601-0.10717i,0.07245-0.079876i,-0.039178+0.033716i,-0.066029+0.092788i,-0.054863+0.07638i,-0.032508+0.027424i,-0.011564-0.019384i,-0.0033966-0.029336i,0.0099102-0.013847i,0.021903-0.007837i,0.018456-0.0052759i,0.013641+0.0016448i,0.0086067+0.0025918i,-0.00074451+0.00543i,-0.0064376+0.012154i,-0.0081884+0.012022i,-0.0096971+0.0083438i,-0.0091268+0.0070414i,-0.0082112+0.0048652i,-0.0096177+0.00073434i,-0.011694-0.0017475i
0.028184+0.0024868i,-0.010728+0.090979i,0.036259+0.098247i,0.06593+0.031314i,0.028253-0.023461i,-0.012145-0.044056i,-0.055407-0.074533i,-0.11588-0.073975i,-0.12658-0.021912i,-0.070628+0.0080579i,-0.02912-0.0046997i,-0.030346-0.017279i,-0.037903-0.021737i,-0.040716-0.024606i,-0.038299-0.018067i,-0.027122-0.006807i,-0.014835-0.0020092i,-0.0090553-0.0015087i,-0.013116+0.0019303i,-0.019797+0.0081268i,-0.02131+0.011413i,-0.019682+0.0082699i,-0.017153+0.0012219i
-0.018174+0.056607i,-0.11167+0.040753i,-0.18241+0.085799i,-0.20482+0.03889i,-0.19665-0.090284i,-0.15381-0.15349i,-0.07172-0.1245i,0.014294-0.073311i,0.058662-0.043544i,0.047821-0.023912i,0.025441+0.00029089i,0.021578+0.011415i,0.017597+0.0039259i,0.0093348-0.00038306i,0.012634-0.00033304i,0.01497-0.0074837i,0.0044536-0.015372i,-0.0094508-0.01726i,-0.0176-0.017493i,-0.014377-0.017152i,-0.0018437-0.017093i,0.011351-0.017233i,0.017543-0.014395i
-0.039961-0.076439i,0.002671-0.13699i,-0.077722-0.103i,-0.11939+0.022444i,-0.025694+0.13248i,0.080273+0.16936i,0.1216+0.13391i,0.10322+0.051295i,0.046447-0.013185i,0.0098313-0.02464i,0.015172-0.022302i,0.029682-0.035686i,0.036483-0.046068i,0.042557-0.043737i,0.04125-0.032466i,0.031463-0.014318i,0.022591+0.0025781i,0.013025+0.0088513i,0.0031604+0.0013315i,-0.0011122-0.0091286i,-0.00093365-0.011615i,0.0011023-0.0077153i,0.0051137-0.00090313i
0.072148+0.0060119i,0.067397+0.053474i,0.052796-0.078317i,0.049986-0.20137i,0.076774-0.14446i,0.10727-0.029194i,0.092032+0.032345i,0.043834+0.066966i,0.014377+0.080589i,0.0012709+0.05292i,-0.01684+0.027737i,-0.024174+0.030019i,-0.014545+0.025866i,-0.010019+0.011173i,-0.01295+0.0080818i,-0.0097177+0.014312i,-0.00076885+0.015804i,0.010162+0.0063389i,0.01742-0.0042621i,0.018043-0.0024988i,0.014477+0.0082807i,0.0095665+0.016427i,0.0048904+0.016231i
0.0094237+0.12756i,-0.049834+0.064295i,-0.006147-0.057607i,-0.007609-0.15452i,-0.13624-0.15381i,-0.25054-0.088576i,-0.23327-0.050925i,-0.13894-0.059754i,-0.062968-0.064418i,-0.029099-0.030843i,-0.012666+0.012558i,0.00049782+0.036154i,0.010215+0.048538i,0.014539+0.052173i,0.0069757+0.038181i,-0.010366+0.015839i,-0.027428-0.0021308i,-0.034149-0.0096581i,-0.022693-0.0090076i,-0.0031614-0.0080257i,0.0087369-0.010585i,0.0097248-0.015149i,0.0026667-0.016212i
-0.18003-0.14078i,-0.10921-0.25117i,0.020893-0.16186i,0.15562-0.022012i,0.20987-0.011619i,0.14327-0.057465i,0.041026-0.054778i,-0.0094503-0.021851i,-0.014311+0.0011144i,0.004648+0.0041312i,0.020441-0.019459i,0.0099247-0.040296i,0.0028103-0.03139i,0.0083217-0.022235i,0.0066535-0.02386i,0.0024074-0.024989i,0.0019821-0.023229i,0.0010154-0.015059i,-0.00040144-0.0040196i,-7.3318e-05+0.0020357i,-0.0028406+0.0034196i,-0.0080137+0.003376i,-0.0072501+0.0068929i
0.18415-0.18378i,0.29421-0.085227i,0.2547+0.026285i,0.188+0.073854i,0.18596+0.020386i,0.20783-0.064854i,0.21684-0.081454i,0.20411-0.045262i,0.16879-0.013696i,0.11121-0.010783i,0.053433-0.017036i,0.023961-0.018485i,0.0051449-0.021867i,-0.015713-0.012472i,-0.013816+0.0053005i,0.0097818+0.010276i,0.033263+0.00055883i,0.043255-0.014535i,0.03236-0.019996i,0.012267-0.00826i,0.0011969+0.010358i,0.0014065+0.022182i,0.0050157+0.022529i
0.30914+0.25237i,0.24733+0.35134i,0.124+0.29285i,-0.023312+0.21949i,-0.094973+0.25629i,-0.046308+0.27507i,0.020246+0.18202i,0.018943+0.066018i,-0.020443+0.0088787i,-0.038991+0.0083082i,-0.026501+0.028365i,-0.0088587+0.038636i,-0.0025897+0.036238i,-2.1347e-05+0.026526i,0.0026022+0.019933i,0.003862+0.025064i,0.0049223+0.032383i,0.0055293+0.031795i,0.0050063+0.023693i,0.0041449+0.012163i,0.0024662-0.0014205i,-0.0023417-0.014303i,-0.010573-0.017408i
-0.43217+0.25777i,-0.55971+0.15633i,-0.48913+0.084947i,-0.34036+0.034012i,-0.22147-0.017425i,-0.12964+0.022203i,-0.057225+0.11849i,-0.0090552+0.15255i,-0.0025232+0.11209i,-0.019004+0.06144i,-0.028862+0.036783i,-0.032392+0.033849i,-0.024671+0.02807i,-0.014497+0.0031448i,-0.02283-0.017597i,-0.038079-0.010563i,-0.039216+0.014213i,-0.023743+0.039251i,-0.0020153+0.045022i,0.011232+0.027136i,0.012432+0.0056155i,0.0090666-0.0090918i,0.0029415-0.016859i
-0.25789-0.39155i,-0.18912-0.3822i,-0.15392-0.2636i,-0.14638-0.1703i,-0.1322-0.12931i,-0.13517-0.11018i,-0.11787-0.062081i,-0.057102-0.013877i,-0.0027087-0.019049i,0.0082666-0.035067i,0.0049312-0.032255i,-0.00086766-0.03557i,-0.013939-0.031894i,-0.01274-0.014277i,-0.001869-0.011837i,-0.0035131-0.022298i,-0.012631-0.030134i,-0.021315-0.03034i,-0.025839-0.018295i,-0.019391+0.0012119i,-0.0028023+0.018467i,0.015639+0.024793i,0.022626+0.014337i
0.67894-0.31959i,0.70597-0.36498i,0.46522-0.3597i,0.24332-0.22916i,0.19432-0.044788i,0.1576+0.027885i,0.014877+0.017441i,-0.10307+0.041766i,-0.087442+0.084691i,-0.015011+0.068493i,0.013186+0.012694i,0.0067053-0.021207i,0.004598-0.023209i,0.013735-0.015746i,0.029928-0.01574i,0.033345-0.027518i,0.014297-0.038968i,-0.01606-0.04023i,-0.038796-0.028661i,-0.038872-0.008509i,-0.027908+0.0059987i,-0.020189+0.016059i,-0.0094459+0.021738i
0.049888+0.60758i,-0.061948+0.54192i,-0.10497+0.30458i,-0.10255+0.12576i,-0.10261+0.059401i,-0.070624+0.033679i,-0.030435-0.002813i,-0.024251-0.026576i,-0.01845-0.013999i,-0.0063649-0.0067914i,-0.0098329-0.0067822i,-0.0016328+0.00023263i,0.014771-0.0072327i,0.0084778-0.013961i,-0.004622+0.00012722i,0.00070199+0.016063i,0.016469+0.018138i,0.024027+0.0066833i,0.015929-0.010837i,7.3652e-05-0.023164i,-0.015854-0.027749i,-0.028018-0.025886i,-0.027333-0.017715i
-0.68538+0.20088i,-0.56447+0.26822i,-0.25669+0.24647i,-0.095997+0.12226i,-0.12204+0.049861i,-0.11216+0.063488i,-0.026773+0.012215i,-0.0077878-0.088211i,-0.066664-0.11655i,-0.0928-0.070203i,-0.062331-0.028904i,-0.032827-0.011642i,-0.013126+0.0010278i,0.0057692+0.0039232i,0.0089684+0.0069508i,0.009665+0.016531i,0.022514+0.015648i,0.036998+0.0011985i,0.040458-0.011333i,0.032036-0.011685i,0.026008-0.0094884i,0.021283-0.016389i,0.0071643-0.019859i
0.10397-0.89201i,0.14086-0.96488i,0.085176-0.81425i,0.0028374-0.61201i,0.011202-0.44267i,0.069665-0.29195i,0.10129-0.14889i,0.11842-0.041892i,0.12265+0.0072i,0.10582+0.011106i,0.076479+0.00049505i,0.039261+0.0058462i,0.017322+0.024847i,0.017992+0.019204i,0.01705-0.0088804i,0.00035187-0.022452i,-0.016973-0.01013i,-0.015673+0.0090706i,0.0031636+0.014257i,0.020403+0.010223i,0.029079+0.0096992i,0.03846+0.0097399i,0.041332+0.0030334i
0.63057+0.12035i,0.43383+0.037414i,0.10939-0.074399i,-0.064097-0.10613i,-0.10199-0.057645i,-0.084296+0.0035905i,-0.026144+0.039023i,0.03563+0.038794i,0.077004+0.019105i,0.091117-0.0026202i,0.082105-0.018462i,0.05412-0.03409i,0.01285-0.026487i,-0.0028774+0.0088483i,0.0059927+0.024672i,0.0042214+0.019194i,-0.0032139+0.023304i,-0.005914+0.032985i,-0.0078101+0.029178i,-0.014239+0.013378i,-0.024564+0.0067471i,-0.024757+0.012004i,-0.011317+0.01243i
-0.048404+0.84034i,0.24137+0.84001i,0.46828+0.52433i,0.45536+0.18695i,0.29757+0.09836i,0.15144+0.17079i,0.054426+0.19536i,-0.039153+0.1556i,-0.1035+0.12508i,-0.092917+0.10198i,-0.056809+0.05833i,-0.040651+0.014109i,-0.034922-0.0051115i,-0.022517+0.0042807i,0.0014687+0.02317i,0.024912+0.020792i,0.030201-1.6853e-05i,0.017535-0.011334i,0.0028004-0.00087302i,4.549e-05+0.013673i,0.00041813+0.013521i,-0.0098224+0.011326i,-0.0156+0.019449i
-0.55597-0.58838i,-0.40766-0.62647i,-0.052683-0.55923i,0.17671-0.46924i,0.14666-0.35208i,0.025386-0.20079i,-0.025902-0.072838i,-0.035176-0.024642i,-0.047369-0.015289i,-0.046722+0.0067657i,-0.023771+0.034998i,0.012972+0.043511i,0.028775+0.02023i,0.0083577-0.0022963i,-0.011636-0.0024982i,-0.017108-0.0027083i,-0.023758-0.0088215i,-0.028714-0.015263i,-0.022169-0.017092i,-0.0049298-0.011736i,0.010368-0.010506i,0.015967-0.015546i,0.010211-0.018358i
