-0.0029124-0.00050518i,-0.0020805-0.0023784i,-0.0021753-0.0030663i,-0.0024979-0.0022025i,-0.0020361-0.00062273i,-0.0019314+0.00063261i,-0.0014769+0.0012424i,0.00056485+0.0010003i,0.0015829+0.00045976i,0.00028204-0.00019834i,-0.00045282-0.00085566i,-0.00010234-0.00088238i,-0.00068092-0.00028967i,-0.0013388+0.00079537i,-9.767e-05+0.0016558i,0.00088207+0.00092059i,0.00011147-8.9997e-05i,-0.00038053-0.00038544i,0.00043665-0.00068448i,0.0009211-0.00094764i,0.00060704-0.00050529i,-0.00027056-0.0002833i,0.00010952-0.0002357i
-0.0003335-0.0012481i,0.012841-0.01517i,0.035555-0.0036379i,0.071439+0.067477i,0.10807+0.16016i,0.086963+0.1799i,0.022541+0.11171i,-0.0087052+0.044008i,-3.2804e-05+0.010665i,0.0096806-0.011274i,0.0059367-0.023211i,0.0019593-0.022104i,0.0038645-0.017924i,0.0055152-0.013415i,0.0056047-0.0067225i,0.0046772-0.0026481i,0.0010371-0.0024414i,-0.0013139-0.0046589i,-0.0013465-0.007933i,-0.0032631-0.0086147i,-0.0069457-0.0032938i,-0.0095217+0.0031227i,-0.0086455+0.003195i
-0.0018197+0.0045967i,-0.0034893+0.025294i,-0.020328+0.026093i,-0.064506-0.017175i,-0.096546-0.077678i,-0.067109-0.10018i,-0.020865-0.058886i,-0.0075567-0.0022995i,-0.0015097+0.023489i,0.012335+0.021076i,0.01878+0.011616i,0.013959+0.0044586i,0.0066932-0.00085811i,0.0010836-0.0032425i,-0.0031451-0.0035124i,-0.0058294-0.0025508i,-0.00427+0.00064686i,-0.00017894+0.0062821i,0.003038+0.010352i,0.0090997+0.0064896i,0.019094-0.0059496i,0.024861-0.016685i,0.021226-0.014384i
-0.0032651-0.011124i,-0.020074-0.021599i,-0.018325-0.0096994i,0.022006+0.040757i,0.05111+0.10412i,0.027099+0.12607i,-0.0034068+0.091372i,-0.0039325+0.049402i,0.006824+0.025608i,0.012979+0.0093723i,0.011139-0.0018403i,0.0087492-0.0036638i,0.011035-0.0010557i,0.013753-0.001114i,0.013448-0.0031299i,0.010163-0.0023469i,0.006786-0.00024335i,0.003411-0.002624i,-0.0022603-0.0063085i,-0.012451-0.004705i,-0.023707+0.00198i,-0.026538+0.0088613i,-0.019673+0.0086704i
0.010101+0.0021644i,0.028086-0.0056054i,0.018531-0.031254i,-0.037375-0.063909i,-0.076449-0.090418i,-0.046063-0.086946i,-0.0059887-0.048391i,-0.0035803-0.0089126i,-0.010441+0.010776i,-0.0053503+0.017303i,0.0040894+0.016263i,0.0064191+0.016055i,0.0046337+0.020234i,0.0034774+0.018231i,0.00057099+0.011347i,-0.002605+0.0068865i,-0.00080905+0.0044701i,0.0042089+0.0051669i,0.0079582+0.0089131i,0.012888+0.010837i,0.020526+0.0073819i,0.024313+0.00079997i,0.018543-0.00037185i
-0.014887+0.0043802i,-0.024376+0.022983i,-0.0095739+0.034578i,0.027171+0.02019i,0.036141+0.0091546i,0.0050844+0.014784i,-0.0084534+0.0026357i,-0.0015436-0.022117i,-0.0088478-0.02419i,-0.019151-0.0070097i,-0.020328+0.0033549i,-0.016564+0.0048635i,-0.010606+0.005502i,-0.0035186+0.0041969i,0.0020604+0.00039357i,0.0038682-0.0024894i,0.0012213-0.0042565i,-0.0027147-0.0087261i,-0.0060543-0.015142i,-0.011172-0.017041i,-0.017897-0.0092004i,-0.020226+0.0031392i,-0.014428+0.0071651i
0.010406-0.014752i,0.0031538-0.041347i,-0.013279-0.054905i,-0.020064-0.044887i,-0.0019602-0.044165i,0.02058-0.050331i,0.015848-0.03678i,-0.001838-0.022833i,-0.011682-0.018476i,-0.013186-0.012972i,-0.010986-0.0074206i,-0.008952-0.002908i,-0.0065046+0.00094984i,-0.0039522+0.0031385i,-0.0031371+0.005036i,-0.006026+0.0043619i,-0.010541+0.0037295i,-0.011268+0.0066777i,-0.0068808+0.01129i,0.001036+0.011336i,0.0093541+0.0017412i,0.013302-0.0085826i,0.010406-0.0089753i
0.0033444+0.029608i,0.030474+0.049593i,0.057396+0.050567i,0.052689+0.035631i,0.01911+0.034543i,-0.0082998+0.025629i,-0.014642-0.0058065i,-0.011801-0.025547i,-0.0081272-0.025806i,-0.0082857-0.017301i,-0.011803-0.010209i,-0.015906-0.0092296i,-0.019309-0.010242i,-0.017623-0.0095295i,-0.01088-0.0089818i,-0.0046313-0.0082067i,-0.0022922-0.0065901i,-0.0028568-0.0069764i,-0.0045029-0.0095088i,-0.009619-0.0080809i,-0.01966+0.0007853i,-0.02407+0.010135i,-0.018238+0.0091405i
-0.026281-0.014918i,-0.057393-0.011928i,-0.065368+0.01074i,-0.022613+0.026579i,0.032584+0.013473i,0.049745+0.006405i,0.035626+0.017799i,0.021853+0.014136i,0.01587-0.0035568i,0.0090698-0.017353i,0.0017812-0.02159i,-0.00053833-0.020169i,0.00072539-0.017088i,0.0033871-0.010948i,0.0046263-0.0035159i,0.0019008+0.00091773i,6.4505e-05+0.0023503i,0.0019013+0.004198i,0.0061077+0.0068155i,0.01643+0.0045736i,0.028427-0.0050925i,0.029168-0.013386i,0.018607-0.0098233i
0.031716-0.0080423i,0.053575-0.029703i,0.042725-0.042344i,-0.0025123-0.010008i,-0.038427+0.037936i,-0.037021+0.041798i,-0.014028+0.020234i,0.0070923+0.014058i,0.018717+0.010668i,0.019813+0.0025818i,0.015466-0.0034126i,0.009185-0.0059721i,0.0027502-0.0035621i,-0.00070486-0.0015878i,-0.00034956-0.0041296i,0.0022704-0.0076409i,0.0050873-0.010856i,0.0048008-0.014314i,-0.00056457-0.017956i,-0.010635-0.017491i,-0.021456-0.010382i,-0.02412-0.0020905i,-0.016955+0.00035859i
-0.021834+0.029886i,-0.026916+0.062652i,-0.013181+0.066835i,0.0017947+0.020331i,0.0065991-0.024296i,0.016541-0.020486i,0.024442-0.0044654i,0.020925-0.0026863i,0.012359-0.00094217i,0.0059695+0.002488i,0.0044551+0.0012059i,0.0074444-0.0044438i,0.010481-0.0078641i,0.012146-0.0048368i,0.012111-0.00093481i,0.0085487-0.00010986i,0.0059504+0.00097104i,0.0059664+0.0048609i,0.0068179+0.008739i,0.011612+0.0062447i,0.019211-0.0031867i,0.021203-0.01053i,0.016632-0.0091907i
-0.009324-0.03873i,-0.033361-0.066515i,-0.059604-0.060091i,-0.059904-0.016582i,-0.047291+0.01299i,-0.041752+0.0095196i,-0.025958+0.0029828i,-0.0066472+0.0038191i,0.00059159+0.0067918i,0.0030233+0.0095482i,0.0059729+0.0089105i,0.0076838+0.0081065i,0.0074179+0.0088546i,0.0037476+0.0090698i,0.00026103+0.0065728i,-0.0012132+0.0017482i,-0.0018633-0.0012007i,-0.0017591-0.0036068i,-0.0035447-0.0046321i,-0.011191+0.0021246i,-0.019741+0.015044i,-0.021602+0.020587i,-0.017812+0.013215i
0.030986+0.024097i,0.069831+0.025627i,0.083084-0.0068617i,0.046858-0.05235i,0.0062957-0.06655i,-0.0040049-0.046402i,-0.011629-0.024328i,-0.023108-0.012473i,-0.025324-0.0010711i,-0.018815+0.0079427i,-0.009013+0.0096857i,-0.0034139+0.0067943i,-0.0014526+0.0044965i,0.00045321+0.0046131i,0.0020708+0.0050196i,0.0023274+0.00482i,0.0015336+0.0059926i,0.0012712+0.0096688i,0.0049819+0.012291i,0.013772+0.0064552i,0.023014-0.007069i,0.024877-0.015193i,0.019533-0.011954i
-0.043564+0.0073886i,-0.072001+0.03422i,-0.054985+0.062549i,0.00604+0.058362i,0.038731+0.030405i,0.023927+0.014066i,0.0084176+0.011673i,0.0023061+0.0077633i,-0.0052647+0.0016321i,-0.010514-0.0026333i,-0.011073-0.0029253i,-0.0073477-0.00049775i,-0.0037405-0.00074451i,-0.0039729-0.0019298i,-0.0057129-0.0016337i,-0.0058695-1.7041e-05i,-0.0060145+0.0017904i,-0.006588+0.0013747i,-0.0079459+0.00084173i,-0.013657+0.0055151i,-0.021283+0.015654i,-0.023204+0.021693i,-0.018205+0.017931i
0.024536-0.040076i,0.028142-0.082071i,0.00063486-0.089842i,-0.024167-0.042701i,-0.014058+0.0029858i,-0.00065847+0.012112i,-0.0025594+0.0088432i,-0.00064791+0.0074169i,0.0039866+0.00051546i,0.0035483-0.0058907i,-0.00066282-0.0058422i,-0.0046994-0.0017178i,-0.0040776+0.00065352i,-0.0021203-0.0017149i,-0.0024489-0.0026126i,-0.0023991-0.00094756i,-0.001125-0.00062194i,-0.00025218-4.0621e-05i,0.0018294+0.00014785i,0.0077158-0.0056802i,0.014326-0.016515i,0.016486-0.021691i,0.014451-0.01604i
0.010948+0.047453i,0.041228+0.081787i,0.069669+0.073224i,0.064542+0.030434i,0.039559+0.011131i,0.031283+0.0078931i,0.032522-0.0042504i,0.023348-0.01293i,0.013617-0.014564i,0.0061528-0.013011i,-0.00092682-0.0085165i,-0.006919-0.0060365i,-0.0098849-0.0058439i,-0.0077673-0.007865i,-0.0055303-0.0099461i,-0.0053764-0.0089648i,-0.0040881-0.0090069i,-0.0040239-0.012473i,-0.0082363-0.014055i,-0.013588-0.0058016i,-0.016089+0.0094664i,-0.015046+0.018541i,-0.011969+0.015403i
-0.042671-0.022261i,-0.089929-0.022692i,-0.10728+0.0096693i,-0.074241+0.048061i,-0.033927+0.055068i,-0.015119+0.038062i,-0.0038176+0.017574i,0.0087179-0.0011631i,0.013282-0.011808i,0.01119-0.013006i,0.0089585-0.010388i,0.0072332-0.0063486i,0.0071968-0.001405i,0.0093552+0.003753i,0.010285+0.0039455i,0.0066362-0.00090979i,0.0015374-0.0032727i,2.3885e-05-0.00096253i,0.0027685-0.00036323i,0.0067748-0.0094118i,0.0093357-0.023957i,0.0089181-0.030196i,0.0053494-0.023423i
0.051973-0.016353i,0.084202-0.050504i,0.068772-0.081303i,0.010995-0.079933i,-0.026514-0.058644i,-0.024035-0.040198i,-0.014971-0.02642i,-0.010999-0.012415i,-0.0060797-0.0025721i,-0.0025934+0.0023752i,-0.00094751+0.0015224i,-0.0021005-0.0026497i,-0.0034188-0.002038i,-0.0014432+0.00083834i,0.001983-0.00020447i,0.0031941-0.0030143i,0.0025402-0.0039354i,0.0014081-0.0033019i,-0.0013174-0.0016581i,-0.0062893+0.0050585i,-0.011944+0.015991i,-0.014028+0.021933i,-0.011601+0.01875i
-0.025563+0.046096i,-0.02489+0.092254i,-0.002348+0.10313i,0.023864+0.059053i,0.025254+0.013936i,0.0089941+0.0038288i,0.0023064+0.0055594i,0.0002675+0.0044407i,-0.0036628+0.0058732i,-0.0055815+0.0058924i,-0.0024065+0.0018416i,0.0043563-0.0024954i,0.0089711-0.0037691i,0.010039+6.2635e-05i,0.0098709+0.0046215i,0.0081474+0.0055282i,0.006537+0.0066105i,0.006049+0.008102i,0.0085781+0.0052783i,0.013018-0.0042923i,0.013152-0.017012i,0.008929-0.021695i,0.0056737-0.016299i
-0.023685-0.051791i,-0.053791-0.087006i,-0.078803-0.089943i,-0.074578-0.058218i,-0.054087-0.031311i,-0.038359-0.020206i,-0.025402-0.0008091i,-0.010233+0.015591i,-0.00229+0.016569i,-0.0031751+0.010589i,-0.0054144+0.005698i,-0.0055748+0.0041231i,-0.0059578+0.0022593i,-0.0074619-0.00031705i,-0.0066463-0.00056051i,-0.0032167-0.00041034i,-0.00046856-0.00037386i,5.4021e-05+0.00013435i,-0.0017814+0.0038282i,-0.0034291+0.012785i,-0.00229+0.023178i,0.00040681+0.026502i,0.0020348+0.02065i
0.045602+0.01907i,0.093036+0.022666i,0.11971+0.0044639i,0.10043-0.02424i,0.060231-0.029117i,0.035501-0.0090369i,0.022053+0.0033901i,0.011514+0.007082i,0.004407+0.0078174i,-0.0012501+0.0037734i,-0.0042612+0.00092768i,-0.002322+0.0001508i,-0.00089546-0.0018903i,-0.0036686-0.0016023i,-0.0045609+0.001964i,-0.0017719+0.0038335i,-0.00076722+0.0032448i,-0.0010856+0.0029679i,0.00061641+0.0002897i,0.0036818-0.0089353i,0.0047382-0.020334i,0.0042985-0.024386i,0.0049722-0.019815i
-0.048267+0.020045i,-0.085153+0.048926i,-0.088176+0.083332i,-0.046092+0.097219i,-0.0048632+0.077728i,0.0068825+0.049904i,0.010591+0.028204i,0.0090395+0.01029i,0.0022035-0.00096463i,-0.00039806-0.0065921i,-0.00095892-0.0050141i,-0.00082767+0.0011771i,9.4672e-05+0.0025157i,-0.0020003-0.0010685i,-0.0051711-0.0050865i,-0.0055229-0.007685i,-0.0044279-0.0093654i,-0.0027517-0.0087692i,-0.0016092-0.0032817i,-0.0010186+0.007358i,0.00132+0.01879i,0.0039076+0.021674i,0.0027444+0.015107i
0.023384-0.049283i,0.033131-0.09443i,0.013237-0.11555i,-0.01963-0.076704i,-0.018373-0.018072i,0.00013972-0.0017496i,0.0013414-0.010821i,-0.0049531-0.011576i,-0.0054998-0.0080665i,-0.00080208-0.006703i,0.0015183-0.0057977i,0.00028157-0.0024755i,0.0030115+0.0027987i,0.006675+0.0031816i,0.0064201+0.00028475i,0.0039988-0.00083586i,0.00079319-0.0010124i,-0.0033832-0.00188i,-0.0060223-0.0059767i,-0.0082938-0.014328i,-0.010614-0.022579i,-0.010047-0.023739i,-0.0075721-0.016773i
0.017492+0.049274i,0.043966+0.093819i,0.073121+0.10487i,0.074526+0.067655i,0.044687+0.03047i,0.023964+0.012156i,0.012473-0.0038798i,-0.0036461-0.01386i,-0.0099357-0.01211i,-0.0045984-0.0074408i,5.3205e-06-0.0062567i,-0.00038273-0.0060943i,-0.00015556-0.0044786i,0.0039602-0.0041192i,0.0045539-0.0047703i,0.0015704-0.0046388i,-0.00011263-0.0035188i,0.00012751-0.0029987i,0.0017529-0.00052245i,0.0032672+0.0050836i,0.0043359+0.012494i,0.0034772+0.017982i,0.0013611+0.016619i
-0.051877-0.018596i,-0.10271-0.032076i,-0.13076-0.019906i,-0.10672+0.002528i,-0.065633-0.0017187i,-0.044574-0.011861i,-0.031917-0.0072133i,-0.016373-0.0051603i,-0.0063121-0.0085807i,-0.0024277-0.0074289i,-0.0024829-0.00464i,-0.0038157-0.0021752i,-0.001937+0.0014i,0.0028342+0.0041848i,0.0053194+0.0049779i,0.0047448+0.0062777i,0.0032958+0.0089284i,0.0010759+0.0098244i,-0.0015448+0.0050436i,-0.0064205-0.0057409i,-0.011363-0.01558i,-0.011584-0.016787i,-0.0074726-0.011749i
0.049952-0.021269i,0.096543-0.049407i,0.10462-0.082854i,0.060082-0.096242i,0.018121-0.082046i,0.00012692-0.052954i,-0.0044819-0.025553i,-0.0013579-0.01138i,0.0015564-0.0085464i,-0.00058758-0.0067525i,-0.0036993-0.0050955i,-0.0059989-0.0052895i,-0.0075438-0.0025383i,-0.0073631+0.0023177i,-0.0053261+0.0047934i,-0.0015719+0.0035497i,0.0011789+0.00102i,0.0014974-0.0015745i,0.0027345-0.0013359i,0.0084841+0.0032019i,0.012984+0.0090565i,0.010966+0.01238i,0.0065112+0.010392i
-0.018668+0.046477i,-0.032399+0.097702i,-0.024598+0.11469i,-0.0040336+0.076175i,-0.0032305+0.036449i,-0.010027+0.024824i,0.00068273+0.02023i,0.011951+0.0081659i,0.009753-0.0018119i,0.0020784-0.0029301i,-0.0012718-7.6447e-05i,-0.00066826+0.0018853i,-0.0024193+0.002444i,-0.0049876+0.0039436i,-0.005576+0.0051563i,-0.0048095+0.0040992i,-0.0016894+0.0024271i,0.0022223+0.00071433i,0.0014328-0.0017666i,-0.0038661-0.0049137i,-0.0074079-0.0099808i,-0.0076716-0.013845i,-0.0054248-0.01329i
-0.019621-0.048234i,-0.044605-0.095203i,-0.059631-0.10786i,-0.050519-0.069224i,-0.031226-0.024433i,-0.010745-0.0040152i,0.0032045+0.001069i,0.01134+0.0011244i,0.01401+0.00060298i,0.0097263+0.00088011i,0.0045583-0.00033549i,0.00098849-0.0024026i,-0.0013689-0.0036643i,-0.0015929-0.0042967i,-0.0010361-0.0056784i,-0.0024702-0.0081311i,-0.0042397-0.0080837i,-0.0043968-0.0046903i,-0.0010295-0.00045748i,0.0063129+0.0041536i,0.012805+0.0080859i,0.013336+0.0097754i,0.0090034+0.0089712i
0.046438+0.021969i,0.096199+0.039255i,0.12041+0.049891i,0.10075+0.047472i,0.068923+0.042322i,0.046148+0.035387i,0.028842+0.016161i,0.013243+0.0042631i,0.0062533+0.0070093i,0.0058885+0.007794i,0.0059061+0.0030839i,0.0051814-0.0021305i,0.0040301-0.0037743i,0.0035516-0.0035841i,0.0017539-0.0039612i,-0.00098593-0.0040264i,-0.0010504-0.003706i,0.00049506-0.0036314i,-0.0010256-0.0039592i,-0.005666-0.0052187i,-0.009713-0.0080145i,-0.010067-0.0105i,-0.0068049-0.010092i
-0.051061+0.022909i,-0.095856+0.045853i,-0.11425+0.065113i,-0.080456+0.070555i,-0.026805+0.057163i,0.00021508+0.029593i,0.002381+0.010646i,-0.0022296+0.0061869i,-0.0032293+0.0073442i,-0.00052466+0.0068388i,0.0010398+0.0028666i,0.0019802-0.00039172i,0.003938-0.0032775i,0.0062652-0.0074292i,0.006888-0.010184i,0.0049202-0.0094573i,0.00049412-0.0046238i,-0.0025061+0.0028604i,-0.00030769+0.0078934i,0.0054591+0.0077796i,0.0087393+0.0080752i,0.0082736+0.010136i,0.0066699+0.010035i
0.015293-0.046408i,0.032362-0.091286i,0.038423-0.11385i,0.023884-0.092261i,0.0076094-0.054178i,0.0027662-0.035537i,-0.0052399-0.024254i,-0.01261-0.0082852i,-0.013119+0.0016928i,-0.010111+0.0036125i,-0.0067987+0.0010047i,-0.0042751-0.0011285i,-0.0013858+0.0016419i,0.0025255+0.0050058i,0.0057112+0.006737i,0.0062698+0.0062872i,0.0035479+0.002608i,-0.00034866-0.00077579i,-0.0042391-0.0027689i,-0.0090236-0.0033063i,-0.014188-0.0050529i,-0.015511-0.0079913i,-0.012172-0.0085441i
0.019128+0.043481i,0.034939+0.084406i,0.043156+0.098553i,0.034419+0.058888i,0.0078829+0.0049272i,-0.0096786-0.011608i,-0.0077831-0.0054419i,-0.0062189-0.0034617i,-0.011703-0.0055534i,-0.014748-0.0049262i,-0.010736-0.0022226i,-0.0047827-0.0018672i,-0.0026579-0.0012107i,-0.0016329+0.0021711i,0.00063697+0.0043232i,0.0019221+0.0040924i,0.0022695+0.004555i,0.0018878+0.0071741i,0.0027166+0.0070074i,0.0056833+0.0032308i,0.0085276+0.001325i,0.0085265+0.0028964i,0.0065877+0.0041053i
-0.044209-0.018662i,-0.084209-0.041495i,-0.10836-0.055866i,-0.095884-0.05038i,-0.066742-0.039571i,-0.046617-0.025546i,-0.026802-0.010062i,-0.0089061-0.0091817i,-0.0063387-0.017326i,-0.011169-0.015582i,-0.0097487-0.006363i,-0.0051312-0.00071155i,-0.0037732+0.0024237i,-0.0036678+0.0066i,-0.0018167+0.0078893i,-0.00078151+0.0048281i,-0.0026203+0.00043439i,-0.0051532-0.0042632i,-0.0083311-0.0069463i,-0.011158-0.0062284i,-0.013054-0.0055531i,-0.013188-0.0071283i,-0.010929-0.0069069i
0.040699-0.014651i,0.083043-0.027232i,0.10062-0.036053i,0.070354-0.033209i,0.030182-0.014171i,0.011516+0.0022806i,0.007669+0.0019709i,0.0077202-0.0074348i,0.0057571-0.015622i,0.0023814-0.01669i,0.0012549-0.011568i,0.0015203-0.005568i,-0.0012825-0.0024186i,-0.005876-0.00069039i,-0.005908-4.7481e-05i,-0.002439-0.0012617i,0.00055736-0.0018765i,0.0023165-0.0029185i,0.0037735-0.0043304i,0.007544-0.0031737i,0.011874-0.0012184i,0.01354+0.00091791i,0.011575+0.0027977i
-0.0185+0.042135i,-0.04061+0.080334i,-0.047437+0.10097i,-0.025772+0.088327i,-0.0043303+0.066632i,0.0065471+0.045639i,0.012674+0.022074i,0.013327+0.0012202i,0.013423-0.0099883i,0.012013-0.01184i,0.0066172-0.0085628i,0.0031809-0.0041808i,0.0015422-0.0045812i,-0.0024091-0.0067585i,-0.0052712-0.0066437i,-0.0053853-0.0052485i,-0.0043178-0.0051782i,-0.0032156-0.0055597i,-0.0027808-0.0041117i,-0.0033596-0.00068324i,-0.0050984+0.00048393i,-0.0061458-0.0015606i,-0.0051548-0.0023935i
-0.015833-0.034214i,-0.023173-0.073637i,-0.0191-0.085243i,-0.0016912-0.048628i,0.017528-0.007782i,0.025643+0.0060771i,0.018062+0.004732i,0.011638+0.0041933i,0.015768+0.0052214i,0.017259+0.0019286i,0.0097335-0.001586i,0.0034909-0.0025362i,0.0034964-0.0047739i,0.0040546-0.0080235i,0.0035126-0.0076213i,0.003116-0.0059419i,0.003049-0.0049235i,0.004384-0.0024276i,0.008086-0.0018717i,0.010914-0.0038879i,0.011523-0.0035516i,0.011457-0.00046591i,0.010198+0.001301i
0.035409+0.013398i,0.06902+0.038711i,0.08215+0.055729i,0.066618+0.047878i,0.046246+0.025743i,0.031363+0.0083558i,0.019337+0.0027722i,0.011256+0.0086961i,0.010717+0.016312i,0.011122+0.015648i,0.0060944+0.0093244i,0.0018833+0.0041155i,0.0026767+0.00087435i,0.0042837-0.002057i,0.0033706-0.0022317i,0.0015621-0.00042692i,-0.0002851+0.00072882i,-0.0018188+0.0028386i,-0.001286+0.0043248i,-0.0011901+0.0038823i,-0.0050254+0.0032336i,-0.0093949+0.0014551i,-0.009296-0.00082049i
-0.037137+0.0084467i,-0.075825+0.01408i,-0.096435+0.0065602i,-0.077568-0.0065037i,-0.045535-0.017059i,-0.024665-0.019383i,-0.01269-0.0072731i,-0.004724+0.0081255i,-0.0019033+0.016608i,-0.001865+0.016951i,-0.0016689+0.010612i,-0.0015967+0.0048346i,0.001383+0.0035739i,0.0071113+0.0021643i,0.0097745-7.8646e-05i,0.00814-0.00068662i,0.0047598+0.00038412i,0.0021071+0.0018543i,0.001439+0.00083642i,0.00217-0.0021745i,0.0035996-0.0033837i,0.0046237-0.001073i,0.0039253+0.0020718i
0.011973-0.033169i,0.033965-0.063267i,0.044521-0.077608i,0.023104-0.068686i,-0.010708-0.052195i,-0.022962-0.034054i,-0.017241-0.015028i,-0.011506-0.0014518i,-0.012488+0.005497i,-0.013774+0.0064957i,-0.010113+0.0027348i,-0.0063838+0.0014922i,-0.0030574+0.0053153i,0.0014496+0.0085638i,0.0034087+0.0077599i,0.0020638+0.0052955i,0.001216+0.0035411i,0.0013422+0.0028204i,-0.00035602+0.0034279i,-0.002993+0.0051572i,-0.0054675+0.0047111i,-0.0081329+0.0020614i,-0.0085664+0.0009304i
0.012839+0.032357i,0.015629+0.066114i,0.0054821+0.07908i,-0.0094896+0.052328i,-0.020545+0.018151i,-0.024084+0.0082071i,-0.017991+0.0073089i,-0.014138-0.00033506i,-0.017568-0.0071051i,-0.017409-0.0084633i,-0.01071-0.0084458i,-0.0062758-0.0060001i,-0.004457-0.0003967i,-0.0021986+0.0038574i,-0.0009387+0.0028699i,-0.00063602+9.7989e-05i,0.00030938-0.00080334i,0.00050704-0.0020672i,-0.0011943-0.0034415i,-0.00078118-0.0033734i,0.0031979-0.0022015i,0.0060895-0.0011821i,0.0050359-0.00095248i
-0.025488-0.01178i,-0.049596-0.033925i,-0.054729-0.047966i,-0.037893-0.031781i,-0.016419-0.0019027i,-0.0081324+0.011774i,-0.0084387+0.0081273i,-0.0089273-0.002995i,-0.011411-0.013971i,-0.011551-0.018177i,-0.0091456-0.015649i,-0.0074274-0.010143i,-0.0072873-0.0031364i,-0.0067708+0.0017902i,-0.0047973+0.0025748i,-0.0039546+0.0015396i,-0.0032386-0.00037912i,-0.0023313-0.0019445i,-0.0018958-0.0011919i,-0.0010954+0.00094429i,-0.001928+0.00090514i,-0.0034457-0.00097286i,-0.0029862-0.0021746i
0.026528-0.010783i,0.060863-0.010329i,0.079968+0.0012663i,0.068333+0.015428i,0.051355+0.025905i,0.038084+0.023318i,0.022001+0.0087019i,0.0075693-0.0039645i,0.0017229-0.01291i,0.0020638-0.016545i,0.0021693-0.012945i,0.00057416-0.0080633i,-0.003726-0.0049048i,-0.0057133-0.0022382i,-0.0028231-2.4061e-05i,-2.8401e-05+0.00071686i,0.00040172-0.00013507i,-0.00023821-0.0010958i,0.00016888-0.0019024i,0.0017433-0.0029226i,0.0033789-0.0031932i,0.0048-0.0017583i,0.0043215-0.0013912i
-0.016545+0.025077i,-0.036489+0.045982i,-0.044832+0.052145i,-0.022469+0.038395i,0.006698+0.024742i,0.019605+0.013049i,0.018261+0.0021294i,0.01238-0.002957i,0.012181-0.0050573i,0.015139-0.0040701i,0.013122-0.001266i,0.0065916-0.0016793i,0.00028677-0.0041219i,-0.0019582-0.0041007i,-0.0011168-0.0030544i,-0.00119-0.0014362i,-0.0018864+0.00079573i,-0.0013109+0.002271i,0.00017214+0.0020361i,-0.00037427+0.0012124i,-0.0030944+0.0011506i,-0.004291+0.00032305i,-0.0034728+0.00026641i
-0.0082363-0.02441i,-0.007727-0.052341i,0.0031709-0.062122i,0.01126-0.045524i,0.0094141-0.029806i,0.0075876-0.023452i,0.0064645-0.016074i,0.0082389-0.0057114i,0.014072+0.0038526i,0.017278+0.0090006i,0.01528+0.0073294i,0.010059+0.0013334i,0.0064124-0.0033867i,0.0060683-0.0042021i,0.0051985-0.0033724i,0.0028796-0.002999i,0.00084619-0.0020957i,-0.00028643-0.00067937i,0.0004431-0.00015491i,0.0018998-0.001231i,0.0030741-0.0018892i,0.0040063-0.00038042i,0.003498+0.0015189i
0.024558+0.014268i,0.040666+0.031233i,0.035269+0.041984i,0.0080164+0.02577i,-0.012854-0.0021407i,-0.016798-0.013178i,-0.0092827-0.0087282i,-0.00029312-0.0012465i,0.0055862+0.0085776i,0.008461+0.01601i,0.0085375+0.01287i,0.0069406+0.00491i,0.0051708-0.00054638i,0.0033747-0.0028134i,0.0012125-0.0028147i,-0.0020941-0.0022613i,-0.0042195-0.0013802i,-0.003196-0.00085512i,-0.0018144-0.00055349i,-0.0018512+0.0015538i,-0.002873+0.0027053i,-0.0048416+0.0012713i,-0.00475-0.00028869i
-0.023398+0.0092092i,-0.046002+0.0085597i,-0.058946-0.0051097i,-0.053648-0.01548i,-0.045851-0.012681i,-0.036613-0.0064657i,-0.021914+2.4643e-05i,-0.010514+0.0037691i,-0.0073782+0.0075461i,-0.0087299+0.01136i,-0.0078005+0.01016i,-0.0023508+0.0061709i,0.002911+0.0038154i,0.0049087+0.002191i,0.005445+0.00017133i,0.0040701-0.0015286i,0.0016466-0.0024835i,0.0013283-0.00383i,0.0019604-0.0048145i,0.0021243-0.0044609i,0.0022277-0.004264i,0.0021939-0.0028821i,0.002148-0.00037473i
0.009021-0.016929i,0.024946-0.030854i,0.038101-0.028189i,0.027425-0.01467i,0.0037456-0.0033799i,-0.0070607+0.005647i,-0.006629+0.007394i,-0.0073316+0.0026863i,-0.012926-0.00067007i,-0.019743-0.00064919i,-0.018735+0.0016567i,-0.01017+0.0038253i,-0.0031462+0.0049193i,-0.00027818+0.0053456i,0.00051077+0.0047783i,0.00064054+0.0022305i,0.00031878-0.00091904i,-0.0008006-0.0011921i,-0.0018002-0.00049609i,-0.0020542+0.00066388i,-0.0024613+0.0014982i,-0.0034088+1.244e-05i,-0.0032951-0.0011193i
0.0062191+0.016723i,0.0030624+0.0345i,-0.0052235+0.042986i,-0.0016141+0.034954i,0.01075+0.02453i,0.013724+0.021076i,0.010204+0.014708i,0.0031797+0.0018896i,-0.0088112-0.011052i,-0.02022-0.016009i,-0.021377-0.010148i,-0.013241-0.0012762i,-0.0063738+0.0029466i,-0.0029457+0.0037312i,0.00029813+0.0029322i,0.0037611+0.0011817i,0.0054587-0.00013296i,0.0048477-0.00081086i,0.0038188-0.0024147i,0.0023417-0.0040839i,0.001055-0.0039871i,0.0014018-0.0027523i,0.0015727-0.0022451i
