-0.0022145-0.00024283i,-0.0011821+0.00056021i,0.0020216-0.00085032i,0.0016494-0.0025391i,-0.00045321-0.0028418i,-0.00073333-0.0015516i,-0.00057014-6.0183e-05i,-0.00014692+0.0011246i,5.2961e-05+0.0016389i,0.00050625+0.00096513i,0.00065501+0.0001162i,0.00066377-0.00064418i,0.0007159-0.00076126i,-8.8227e-05-0.00088841i,0.00033918-0.0013206i,0.0014175-0.0010793i,0.0012573-0.00024109i,-6.6862e-05-4.94e-06i,-0.0012753-0.00090017i,-0.00068187-0.00081665i,0.00022955+1.7549e-05i,0.00034588+0.000744i,0.00066654+0.0014211i
0.0025084+0.0023761i,0.0008057+0.0029632i,0.00073969+0.0015156i,0.00058238-0.0018161i,-0.0004038-0.0037949i,-0.0013693-0.0025762i,-0.0024428-0.00053576i,-0.0027989+0.00016584i,-0.0016316-0.00021191i,-0.0011515-0.0011761i,-0.0014041-0.0012075i,-0.0013186-0.00043272i,-0.00061684+3.1825e-05i,-0.00078595+0.00075467i,-0.0010004+0.0011279i,-0.00030602+0.00080026i,0.00027961+0.00067895i,0.00014692+0.00020694i,-0.00011234-0.00076487i,0.00075323-0.0011511i,0.0012508-0.0015753i,0.0012888-0.0012757i,0.00065413-0.00021741i
0.00099236+0.002583i,0.0012855+0.0027945i,0.001992+0.00030136i,0.0020868-0.0015519i,0.0012912-0.001716i,-0.00037443-0.00078615i,-0.0016328-0.00048053i,-0.0011654-0.00070433i,0.00040385-0.00061048i,0.0010122-0.00045251i,0.00073919-0.00026056i,0.00051448+0.00036675i,0.00015764+0.00084802i,-0.0002733+0.00012512i,-0.00010369+0.00016047i,1.7193e-05+0.00091831i,-0.00049794+0.00040031i,0.00012882-0.00023083i,0.0007586-0.00039725i,0.00060368-0.00052931i,0.00018096-0.0005617i,-0.00064302-0.00043461i,-0.00034167+0.00069637i
-0.0011917-0.0010368i,-0.0010174+0.00070414i,0.00080298+0.00035661i,0.00098013-0.0014596i,0.00047208-0.0018214i,0.0004133-0.00073858i,0.00012641+0.0011933i,-0.00013591+0.0028856i,0.0012236+0.0025067i,0.00078175+0.00070179i,-0.0012029-0.00032641i,-0.0011386-0.00017926i,1.0576e-05-0.00053321i,0.00013418-0.00045762i,-0.00073164-0.00013295i,-9.5773e-05-0.00066892i,0.00072192-0.0004996i,0.00084054+0.0001374i,0.00040693+0.00067466i,2.4852e-05+0.00055938i,-0.00081824+0.00036715i,-0.0015178+0.00046016i,-0.0011627-0.0001106i
-0.0011682+0.0034046i,-0.00035082+0.0026862i,2.9937e-05+0.0019366i,0.00025343+0.00093504i,-6.9769e-05+0.0009932i,-0.00086824+0.00086144i,-0.00026271+0.00096396i,0.00065525+0.0016073i,3.0606e-06+0.0011649i,-0.00014332+0.00058574i,0.00049694+0.00045338i,0.0011071-0.00073241i,0.00083938-0.0016276i,0.00018976-0.0011542i,0.00039801-0.00046705i,0.00018872-9.7202e-05i,-0.00035006+0.00031112i,-0.00095902-8.8335e-05i,-0.00051552-0.00040329i,-7.766e-06+0.00010649i,-0.00047379-0.00041982i,-0.00020622-0.00048737i,0.00019251+0.0004117i
-0.0047883+0.0012579i,-0.0022448+0.0023445i,-0.00040897+0.0022854i,0.00083639+0.0013664i,0.0013613-9.0771e-05i,0.0011965-0.00042119i,0.0012786-0.00084722i,0.002386-0.0012044i,0.0024042-0.0006411i,0.0013253-6.0968e-05i,0.00042244+0.00091669i,0.00093406+0.0016531i,0.0013878+0.001668i,0.0010522+0.001649i,0.00093357+0.0014116i,0.00066261+0.0010628i,5.9975e-05+0.00049436i,-0.00011348-0.00096695i,0.00062656-0.0012285i,0.00070062-0.00024974i,-4.8754e-05+0.00015815i,0.00016261+0.00025234i,0.0010041+0.00028849i
-0.00024307-7.5921e-05i,-0.0018535+0.0007361i,-0.00053968+0.0014081i,0.0011956-0.00080288i,0.00071728-0.0022737i,0.00018113-0.0015615i,0.0010991-0.0002524i,0.0015611+0.00044436i,0.0011784+0.0012198i,0.00030157+0.0013879i,0.00019724+0.00094845i,0.00089825+0.0010094i,0.00057346+0.00064262i,-0.00010667+0.0003931i,0.00071655+0.00037048i,0.0013348+0.00010556i,0.00086995-0.00012504i,0.00075989-0.00053077i,0.00041648-0.00062181i,-2.8314e-05-0.00047733i,-0.00030028-0.00011021i,-0.00097115+0.00011158i,-0.00086299+2.4568e-07i
-0.0013507+0.0044216i,-0.00099902+0.0033563i,-0.00053336+0.0021527i,0.00021812+0.0007432i,0.00032843-0.00038166i,-0.0012624+0.00031811i,-0.0026434+0.00059156i,-0.0026417-0.00015746i,-0.0017458-0.00086494i,-0.00025521-0.0012947i,0.00054445-0.0019717i,7.7938e-06-0.0023375i,9.3136e-05-0.0016799i,0.00014762-0.00055433i,1.773e-05-0.00010607i,-0.00018195-0.00051127i,-0.00069038+2.0849e-05i,2.2771e-05+0.0003833i,0.00071847-0.00018946i,0.00034643-0.0010779i,5.9154e-05-0.0015179i,0.00041-0.0012968i,0.00083268-0.00050614i
-0.0013868+5.5318e-05i,-0.0004437+0.00078439i,0.00075776-3.3755e-05i,0.00065169-0.0018519i,0.00084301-0.0037772i,0.00080714-0.0038442i,-4.5393e-05-0.0021836i,-0.0001738-0.00089336i,0.00044923-0.00065769i,0.0013407-0.00074271i,0.0010216-0.00049916i,0.00015753+0.00029355i,-0.00061958+0.00075815i,-0.00068423-0.00010225i,-0.00042706-0.00048387i,-0.00093013-9.476e-06i,-0.001584+0.00013013i,-0.0013547+0.00034186i,-0.00056181+0.00059819i,-0.00012576-5.1105e-05i,0.00034097-0.00069696i,0.00017013-0.00025715i,0.0003041+0.00014063i
0.0031104+0.0038358i,0.0027578+0.0033076i,0.0038508+0.00070725i,0.0036377-0.0023982i,0.0019731-0.003391i,0.00084298-0.0029153i,0.00030834-0.00049829i,-3.76e-05+0.002252i,-0.00013204+0.0026356i,-0.00058273+0.00094042i,-0.0014538+1.2661e-05i,-0.0022844+0.00018014i,-0.0016384+0.00051474i,-0.0001604-0.000253i,0.00087466-0.0018147i,0.0013207-0.001969i,0.00097898-0.0010175i,0.00036471-0.00064198i,-0.00027904-0.0010636i,-0.00052939-0.0011041i,-0.00043859-0.00090629i,-0.00038801-0.00071998i,-0.00093917-0.00054311i
-0.0032299+0.0032324i,-0.0016743+0.0044319i,0.0004651+0.0026341i,0.0013774+0.0013416i,0.00088087+0.0015351i,-0.00073843+0.0021149i,-0.0029618+0.0022106i,-0.0036509+0.00091449i,-0.002144-0.00051147i,-0.00011931-0.00090131i,0.00042426-0.00056223i,-0.00028151-0.00045235i,7.5306e-05-0.00096507i,0.00041953-0.0013704i,0.0006747-0.0013685i,0.0014426-0.00069229i,0.0014472-0.00024661i,0.00019769-0.00024225i,-0.00080399-0.00089353i,0.00015662-0.0011246i,0.00074555-0.00034099i,0.00039492-1.024e-05i,-3.6534e-05-3.0798e-05i
