0.00095525+0.00088787i,0.0024978+0.00021212i,0.0036573-0.0020432i,0.004173-0.0040865i,0.002247-0.0038959i,-0.00017967-0.00048419i,0.00073274+0.0023816i,0.0027992+0.0021949i,0.0026952+0.00084102i,0.0016637-0.00029765i,0.0012306-0.00080999i,0.00057127-0.0012741i,-0.00054418-0.0011488i,-0.00026381-0.00047415i,-0.00014589-0.00021782i,-0.00052212-0.00014226i,-0.00012809+9.6327e-05i,0.00058095+3.3909e-05i,0.00071025-0.0004992i,1.5797e-05-0.00062942i,-0.00057014-0.00055526i,-0.00063588-0.00013054i,-0.00082272-0.00019796i
0.0017817+0.1143i,-0.043928+0.19486i,-0.10805+0.19644i,-0.1312+0.10928i,-0.11827+0.028878i,-0.11149+0.0083461i,-0.098936+0.01338i,-0.067903+0.0066374i,-0.033874-0.0039678i,-0.010135-0.0056489i,0.0020603-0.0033174i,0.0074262+0.0013308i,0.011014+0.0085298i,0.011824+0.011793i,0.0091889+0.0097652i,0.0064266+0.0080534i,0.0060597+0.0073112i,0.0059236+0.0053634i,0.0030142+0.0012621i,-0.00059938-0.0028214i,-0.0032557-0.0028526i,-0.0026706+0.00031036i,0.0002363+0.0015798i
-0.11985+0.034669i,-0.22055+0.024665i,-0.24679-0.01056i,-0.16536-0.02412i,-0.054613-0.0010945i,0.015692+0.03612i,0.039414+0.063067i,0.03663+0.061669i,0.027045+0.038364i,0.020993+0.014804i,0.015864+0.0037195i,0.0085852+0.003019i,-7.2334e-05+0.0048866i,-0.0062373+0.0043229i,-0.0067657+0.0027843i,-0.0045723+0.0021599i,-0.0029071+0.0035339i,-0.0024245+0.0041307i,-0.0034931+0.0029588i,-0.0042113+0.0029087i,-0.0036942+0.0035127i,-0.00039547+0.0037105i,0.0012309+0.0035858i
-0.063032-0.11883i,-0.066612-0.23067i,-0.0066409-0.27767i,0.068972-0.22469i,0.08351-0.15563i,0.039844-0.12165i,0.00019239-0.089629i,-0.0028421-0.049672i,0.0036019-0.02056i,-0.0030479-0.0048566i,-0.0091528+0.0031618i,-0.010029+0.0037445i,-0.012856-0.0008991i,-0.014527-0.0018394i,-0.011923+0.00035101i,-0.0088303+0.00096617i,-0.0068378+0.00059691i,-0.0033904+0.0015759i,0.0011076+0.0014716i,0.0026671-0.00082354i,0.00054385-0.0017477i,-0.0017155-0.0010188i,-0.0013702-0.00033968i
0.10795-0.096998i,0.21617-0.14095i,0.26578-0.1191i,0.20911-0.049898i,0.11012+0.016255i,0.028142+0.055213i,-0.020361+0.059088i,-0.03228+0.038949i,-0.026044+0.016902i,-0.018743+0.0074656i,-0.011702+0.0033289i,-0.0043989-0.0047041i,0.001888-0.011694i,0.00527-0.010773i,0.0051538-0.0057316i,0.0044817-0.0022792i,0.0048153-0.0018097i,0.003694-0.0020787i,0.00041057-0.0022991i,-0.0017672-0.0030007i,-0.0015064-0.0035949i,-0.0005825-0.0024116i,-0.0011929-0.0013812i
0.13193+0.09287i,0.21289+0.20756i,0.22156+0.29039i,0.16023+0.26863i,0.10835+0.16663i,0.099657+0.0602i,0.090956-0.002499i,0.059016-0.020999i,0.02823-0.020596i,0.011755-0.018129i,0.0055231-0.015167i,0.0040123-0.010871i,0.0050952-0.0059582i,0.0054422-0.00525i,0.0019345-0.0058857i,-5.2378e-05-0.0037966i,0.0015935-0.001092i,0.0029966+0.00090687i,0.0030727+0.0025093i,0.0020495+0.0026513i,0.0017354+0.0014545i,0.0022668+0.00056012i,0.002441+0.0012018i
-0.063475+0.15418i,-0.13812+0.26277i,-0.1741+0.28234i,-0.13953+0.19464i,-0.11082+0.089686i,-0.12052+0.029354i,-0.10776+0.0058446i,-0.060047-0.0052638i,-0.021223-0.01173i,-0.0048598-0.011407i,0.0025539-0.0044381i,0.0064422+0.0048897i,0.0052413+0.010906i,0.0034062+0.010915i,0.0020865+0.0086201i,5.0026e-05+0.0075807i,-0.0006802+0.0088049i,0.0002898+0.0084788i,0.0022863+0.0053284i,0.0036385+0.0013356i,0.0036779+0.00010395i,0.003139+0.0022786i,0.0023351+0.002341i
-0.17753-0.026994i,-0.31999-0.07018i,-0.37908-0.104i,-0.29866-0.096203i,-0.15667-0.050856i,-0.049668+0.023754i,0.0047727+0.07955i,0.025332+0.076775i,0.024881+0.044761i,0.015827+0.020524i,0.0086128+0.0095474i,0.0036602+0.0027452i,-4.9797e-05-0.0025932i,-0.00070867-0.0037811i,0.0025862-0.0031979i,0.0055545-0.0025064i,0.0041787-8.9048e-05i,0.001134+0.0024178i,-0.0018265+0.0025095i,-0.003745+0.0016004i,-0.0036002+0.00094762i,-0.0023777+0.0015297i,-0.0026875+0.0026414i
-0.008912-0.18616i,0.0046021-0.32118i,0.036212-0.35236i,0.060907-0.25495i,0.060744-0.16911i,0.0394-0.15973i,0.012485-0.13502i,0.0040967-0.07256i,0.006996-0.025788i,0.003143-0.0066209i,-0.0044399-0.00052113i,-0.0081658-0.00023101i,-0.0077879-0.0028452i,-0.0068804-0.0030256i,-0.0064383-2.5489e-05i,-0.0045443+0.00098045i,-0.0028786-0.00056508i,-0.0017799-0.0015905i,0.00035782-0.00067102i,0.0012461+0.0011489i,-0.0001029+0.0019494i,-0.0013414+0.0018114i,0.00012589+0.0012899i
0.18192-0.061625i,0.33285-0.11086i,0.40332-0.13566i,0.3412-0.11386i,0.20737-0.054729i,0.069016+0.00096507i,-0.024393+0.021359i,-0.046846+0.022613i,-0.03129+0.016371i,-0.016081+0.0098545i,-0.0062379+0.0056035i,0.0026007+0.0014066i,0.0088368+0.00025146i,0.0093499+0.0023073i,0.0065652+0.0072192i,0.0052761+0.011283i,0.0055189+0.010914i,0.0049955+0.006632i,0.0036888+0.00073477i,0.0010495-0.0045667i,-0.0014376-0.0085577i,-0.0013686-0.0091705i,-0.0021168-0.0057634i
0.10144+0.17237i,0.17986+0.31617i,0.19487+0.37632i,0.13666+0.29562i,0.10084+0.16377i,0.12361+0.076979i,0.12943+0.028602i,0.087429+0.00091777i,0.042311-0.0075013i,0.018247-0.010914i,0.008003-0.011083i,0.0034813-0.0081464i,0.00015412-0.0067057i,-0.0029118-0.0072167i,-0.0041367-0.0091178i,-0.0028966-0.007171i,0.00052677-0.002547i,0.0034319+0.00041368i,0.0024442+0.0011457i,0.00071584+0.00075008i,9.4041e-05+0.000869i,-0.00077845+0.0026575i,0.00034465+0.004944i
-0.13789+0.14303i,-0.2289+0.28335i,-0.22537+0.36464i,-0.12882+0.32578i,-0.076853+0.21178i,-0.088333+0.092866i,-0.069763+0.01824i,-0.029867-0.0092917i,-0.0094171-0.016464i,-0.0076545-0.013904i,-0.0080831-0.0054968i,-0.0072753+0.0011747i,-0.0087369+0.0027549i,-0.01034+0.0020252i,-0.011461+0.0013146i,-0.011822+0.0021815i,-0.011459+0.0034159i,-0.0081305+0.0045038i,-0.00088588+0.0049742i,0.007636+0.0035811i,0.012689+0.001506i,0.01211+0.00090768i,0.0081125-0.00011968i
-0.17623-0.10637i,-0.34367-0.18441i,-0.40913-0.21643i,-0.29766-0.18003i,-0.13507-0.095036i,-0.053816+0.011672i,-0.02388+0.084682i,0.003853+0.083274i,0.013464+0.048576i,0.011713+0.025366i,0.009873+0.013157i,0.0097155+0.0047842i,0.0118-0.00092336i,0.014384-0.0037245i,0.015634-0.0019332i,0.014896+0.0013382i,0.012772+0.0039714i,0.01004+0.0036264i,0.006054+0.0009637i,0.0013598-0.0018834i,-0.0018663-0.0030656i,-0.0043785-0.0014564i,-0.0070938+0.00052516i
0.058035-0.18834i,0.066785-0.34756i,0.016207-0.38162i,-0.064011-0.2561i,-0.088533-0.16237i,-0.045959-0.1544i,-0.015114-0.11998i,-0.0077691-0.051966i,0.0032326-0.010334i,0.011438-0.00079561i,0.010502-0.0031195i,0.0059506-0.0053386i,0.0033011-0.005691i,0.0018153-0.0056721i,0.0013945-0.0039355i,0.001744-0.0035041i,0.0018421-0.0044747i,0.0013333-0.0033904i,-0.00031514-0.00023318i,-0.00089408+0.0033406i,-0.00040011+0.0044947i,-3.5275e-05+0.0038738i,0.00054492+0.00297i
0.20417+0.0051641i,0.40181-0.03133i,0.51618-0.077383i,0.45112-0.073677i,0.28651-0.02483i,0.11291-0.0018601i,-0.0039821+0.00081804i,-0.036574+0.015367i,-0.025162+0.018331i,-0.013634+0.01014i,-0.0073378+0.0074854i,-0.0021505+0.0061995i,-0.0014919+0.0068985i,-0.002098+0.01045i,-0.0026728+0.013111i,-0.0036269+0.01498i,-0.0046732+0.016035i,-0.0045147+0.013826i,-0.0015347+0.0084197i,0.0013827+0.001749i,0.0014327-0.0041769i,-0.00090664-0.0065092i,-0.0036841-0.0072074i
0.039879+0.19128i,0.1096+0.33757i,0.16483+0.3438i,0.15006+0.15843i,0.12639-0.0038053i,0.14615-0.01666i,0.14687-1.4105e-06i,0.097326-0.012022i,0.038178-0.015218i,0.0028746-0.0048118i,-0.0034946+0.0022052i,0.0012779+0.00017703i,0.0026383-0.0047771i,0.0006247-0.006521i,-0.0017957-0.0059243i,-0.0008069-0.0043142i,0.0023018-0.0017309i,0.0046397-0.0015866i,0.0039305-0.0020836i,0.0020606+0.00028931i,0.0032611+0.0036251i,0.0046937+0.0056808i,0.0045751+0.006518i
-0.16422+0.096635i,-0.27854+0.25822i,-0.29632+0.4211i,-0.19424+0.4452i,-0.1046+0.31934i,-0.071373+0.16023i,-0.038393+0.057412i,-0.019981+0.009662i,-0.01636-0.0078582i,-0.011132-0.01123i,-0.0098651-0.0069799i,-0.0082898-3.2161e-05i,-0.0044118+0.00042081i,-0.0046484-0.0021309i,-0.0091385-0.00078742i,-0.012742+0.0032341i,-0.0117+0.0042524i,-0.0059634+0.0032537i,0.0010314+0.0024832i,0.0057679-7.9623e-05i,0.0086922-0.0036465i,0.0099389-0.0065354i,0.0080445-0.0067551i
-0.12548-0.13288i,-0.27349-0.21264i,-0.31242-0.22273i,-0.13909-0.13584i,0.040511-0.020896i,0.050164+0.06284i,0.011198+0.11072i,0.01854+0.10182i,0.023496+0.052998i,0.013762+0.014983i,0.0055865+0.0019445i,0.0031216+0.0046009i,0.0079132+0.0069713i,0.012176+0.0016719i,0.013068-0.0020023i,0.012963+0.00093225i,0.012907+0.0061673i,0.013594+0.0084251i,0.011063+0.0048635i,0.0042097+0.00059076i,-0.00313+0.0019249i,-0.0077386+0.0058663i,-0.0097882+0.0059199i
0.073707-0.14294i,0.04704-0.32448i,-0.070105-0.42832i,-0.21197-0.34689i,-0.23713-0.22308i,-0.14753-0.15013i,-0.071318-0.078205i,-0.034513-0.02032i,-0.0092549+0.0028504i,0.0071277+0.0056642i,0.011717-0.0029852i,0.0055436-0.012601i,-0.0017978-0.013309i,-0.001972-0.0098833i,-0.00082111-0.01045i,-0.0031872-0.012647i,-0.0054438-0.011393i,-0.0067019-0.0063685i,-0.0045958-0.00041526i,0.0028238+0.0026808i,0.0094546+0.0016113i,0.0087884-0.00050157i,0.0043173-0.0004625i
0.15557+0.032836i,0.355-0.0015419i,0.47535-0.011417i,0.37694+0.060414i,0.18415+0.13296i,0.056146+0.10953i,-0.013009+0.053079i,-0.037547+0.041806i,-0.024415+0.033991i,-0.011525+0.016512i,-0.0030096+0.0059975i,0.0018119-0.00086825i,-0.0010281-0.00058659i,-0.0022389+0.0068005i,-0.0019016+0.013447i,-0.0028091+0.016568i,-0.0041768+0.017841i,-0.005516+0.016854i,-0.0031716+0.013026i,0.0014398+0.0078219i,0.0023835+0.0012611i,-0.00010727-0.0027666i,-0.00034862-0.0050864i
0.021824+0.12194i,0.15279+0.24457i,0.29608+0.22299i,0.33313-0.0097863i,0.27666-0.19048i,0.19541-0.15743i,0.13023-0.078319i,0.07125-0.054236i,0.014693-0.039756i,-0.017028-0.013949i,-0.013739+0.0092318i,0.0061613+0.015175i,0.017043+0.0079004i,0.012412-0.00043388i,0.0048067-0.0018594i,0.0065012+0.00044578i,0.012793-6.9153e-05i,0.014469-0.0029237i,0.0096935-0.0032243i,0.0056588+0.0034427i,0.0099477+0.010125i,0.015914+0.007205i,0.01383+0.0030941i
-0.098119+0.071367i,-0.23298+0.26151i,-0.32291+0.4272i,-0.29518+0.39775i,-0.22502+0.24718i,-0.15592+0.13128i,-0.090531+0.068499i,-0.056421+0.020778i,-0.038025-0.0024333i,-0.01975-0.0043122i,-0.012528+0.0015352i,-0.0086442+0.01034i,-0.0047536+0.0093773i,-0.0062507+0.0020673i,-0.010584+0.00020843i,-0.01222+0.0035426i,-0.0097041+0.0054826i,-0.0065577+0.002957i,-0.004982-0.0015014i,-0.0057477-0.0034056i,-0.0070338-0.0037112i,-0.0056046-0.0024597i,-0.0022279-0.0012762i
-0.078952-0.039468i,-0.23413-0.064348i,-0.26569+0.0058742i,-0.037222+0.15595i,0.19007+0.21604i,0.18428+0.17535i,0.094764+0.14993i,0.064613+0.12077i,0.056173+0.053041i,0.031097-0.003412i,0.0015639-0.018506i,-0.015178-0.0088015i,-0.012378+0.001875i,0.0018764+0.00029366i,0.011241-0.0064428i,0.0099832-0.0047018i,0.0065665+0.0051323i,0.0074271+0.012942i,0.0070546+0.01169i,0.00079782+0.006828i,-0.0057409+0.0099843i,-0.0047857+0.016396i,-0.0013376+0.015019i
-0.016717-0.10278i,-0.062408-0.32233i,-0.14475-0.5165i,-0.21575-0.50021i,-0.19953-0.34186i,-0.13468-0.20123i,-0.084297-0.10144i,-0.038803-0.044085i,-0.01031-0.020428i,-0.0012979-0.0063954i,0.0042392-0.0087948i,0.002086-0.018179i,-0.0020434-0.017212i,-0.00030341-0.010635i,0.0013483-0.0079228i,-0.0023596-0.0093657i,-0.0068887-0.0090481i,-0.0059188-0.0055136i,0.0010657-0.0024374i,0.010474-0.0040671i,0.014038-0.0094886i,0.0093489-0.01099i,0.0056703-0.0071973i
0.078776-0.058267i,0.22011-0.11927i,0.25573-0.11025i,0.085849+0.03047i,-0.080771+0.18273i,-0.094584+0.1977i,-0.080011+0.12348i,-0.077815+0.079239i,-0.041723+0.057041i,-0.0030908+0.029573i,0.014475+0.0090423i,0.01751-0.0047707i,0.011793-0.0049303i,0.0077603+0.0071488i,0.0095517+0.017793i,0.010909+0.021022i,0.0065667+0.01737i,-0.0012616+0.012344i,-0.0047157+0.0084582i,-0.002353+0.0046863i,-0.0012628+0.0016603i,-0.0029604+0.0012131i,-0.0025051+0.0020963i
0.12059+0.046966i,0.31809+0.15246i,0.52596+0.17255i,0.57878+0.019103i,0.44168-0.13475i,0.24256-0.14462i,0.11168-0.089937i,0.054806-0.054815i,0.016842-0.038966i,-0.012881-0.019067i,-0.013239+0.0052026i,0.0021319+0.01508i,0.0072228+0.0077697i,0.0019444-0.0018432i,-0.00021071-0.0049525i,0.0062954-0.0062356i,0.014645-0.0080795i,0.016084-0.0076508i,0.0090728-0.0029563i,0.0031261+0.0074424i,0.0062556+0.014178i,0.010794+0.0094164i,0.0079321+0.0032615i
-0.012281+0.13796i,-0.086974+0.29803i,-0.14404+0.35275i,-0.16072+0.19369i,-0.19933+0.015784i,-0.22161-0.0035117i,-0.16936+0.023622i,-0.10822+0.0075268i,-0.068111+0.0010589i,-0.034007+0.011185i,-0.013056+0.01722i,-0.0021031+0.016506i,-0.00067509+0.0062727i,-0.0069801-0.00084215i,-0.013129+0.0015945i,-0.015855+0.006255i,-0.012503+0.0084208i,-0.0053426+0.0049661i,-0.001186-0.0028109i,-0.0027155-0.0062449i,-0.0060184-0.001699i,-0.0067579+0.0050527i,-0.0052955+0.0072477i
-0.15112+0.065916i,-0.33068+0.13956i,-0.39854+0.30599i,-0.2052+0.4674i,0.067082+0.43087i,0.16044+0.25606i,0.11635+0.14781i,0.080597+0.1006i,0.063102+0.040996i,0.034872-0.0087879i,0.0054406-0.025083i,-0.0074397-0.018675i,0.0016378-0.0088355i,0.017113-0.0076465i,0.021913-0.010862i,0.016631-0.0056635i,0.011073+0.0084462i,0.0089026+0.01781i,0.0078852+0.015051i,0.0026974+0.0049704i,-0.002289+0.0010254i,0.001807+0.0048835i,0.0070862+0.0078645i
-0.098066-0.14848i,-0.1528-0.32148i,-0.15954-0.42415i,-0.090583-0.38323i,-0.020256-0.31022i,-0.026836-0.26498i,-0.046974-0.19358i,-0.020822-0.1196i,-0.0028052-0.078387i,-0.012566-0.046987i,-0.021037-0.022498i,-0.020887-0.0081362i,-0.011391+0.0007533i,-0.0030158+0.0031184i,-0.0017725+0.0022652i,-0.0028574+0.0010573i,-0.0031842-9.6543e-05i,-4.2751e-06+0.0011158i,0.0033898+0.0037314i,0.0052845+0.0028646i,0.0017198-0.00075645i,-0.00772-0.00096614i,-0.011442+0.001633i
0.10466-0.1534i,0.16309-0.29066i,0.064252-0.38075i,-0.1613-0.28258i,-0.25559-0.041237i,-0.1844+0.11297i,-0.13263+0.11349i,-0.1053+0.082102i,-0.044683+0.063358i,0.0058204+0.035705i,0.022966+0.011208i,0.021168-0.0016637i,0.0081571+0.0007357i,0.0017604+0.014931i,0.0098459+0.02402i,0.016676+0.020342i,0.01239+0.010546i,0.00053656+0.0033029i,-0.010023+0.0022577i,-0.0098574+0.0020335i,-0.0055917+0.00053649i,-0.0058764+0.0025814i,-0.0081514+0.0071801i
0.18821+0.091853i,0.35441+0.17403i,0.49086+0.19641i,0.49804+0.13564i,0.38464+0.053494i,0.25079-0.0028422i,0.14559-0.012181i,0.082706+0.013227i,0.056469+0.017145i,0.036306+0.002183i,0.025289-0.0055988i,0.022835-0.01622i,0.013226-0.02554i,0.0021727-0.024973i,-0.0041199-0.019549i,-0.0058436-0.014329i,-0.0010957-0.0096797i,0.00425-0.0064448i,0.0026287-0.0063028i,-0.0035299-0.0030606i,-0.0062971+0.00029834i,-0.007008-0.0042928i,-0.0080915-0.0090821i
-0.034441+0.1878i,0.0073462+0.2918i,0.14508+0.25762i,0.21858+0.062278i,0.080979-0.083605i,-0.096474-0.059986i,-0.12092-0.018861i,-0.084063-0.028404i,-0.067882-0.013247i,-0.040778+0.017971i,-0.011792+0.027925i,0.0056488+0.026877i,0.013915+0.01511i,0.0078354+0.0046378i,-0.0036332+0.010496i,-0.0068941+0.022287i,-0.0023509+0.027653i,0.0055073+0.022839i,0.013218+0.010252i,0.016102-0.00167i,0.015387-0.0044566i,0.013236-0.00043155i,0.0070537+0.00164i
-0.20911+0.0040184i,-0.35182+0.072995i,-0.39967+0.23269i,-0.28969+0.34979i,-0.11037+0.30355i,0.0099847+0.16607i,0.036464+0.071403i,0.019047+0.031647i,0.0024183+0.0075482i,-0.0092615-0.0053231i,-0.016642+0.0026425i,-0.0091265+0.0181i,0.0087637+0.023555i,0.02153+0.015688i,0.026047+0.0017636i,0.026648-0.0065361i,0.023343-0.0043005i,0.018388+0.0018499i,0.017152+0.0030425i,0.012836-0.0046583i,0.0039163-0.012109i,0.0027978-0.010775i,0.0070636-0.0056095i
-0.022349-0.17189i,-0.065608-0.19547i,-0.10281-0.059062i,-0.039834+0.082737i,0.038152+0.0017994i,0.0011997-0.16712i,-0.047488-0.18714i,-0.020228-0.1269i,0.0010606-0.09305i,-0.016555-0.061703i,-0.032743-0.029511i,-0.038923-0.0086315i,-0.03422+0.0031145i,-0.024567+0.0060417i,-0.019036+0.005126i,-0.017213+0.005234i,-0.017443+0.0037026i,-0.019232+0.0016804i,-0.019628+0.0051944i,-0.014843+0.012893i,-0.0090601+0.018077i,-0.010606+0.01739i,-0.015381+0.012434i
0.16923-0.053673i,0.19296-0.15459i,0.075508-0.29037i,-0.093461-0.30938i,-0.13881-0.16625i,-0.091142-0.014022i,-0.066861+0.055545i,-0.040901+0.069841i,0.0069764+0.049211i,0.031842+0.011411i,0.029653-0.012255i,0.02019-0.021269i,0.0058531-0.020822i,-0.0029459-0.0066217i,0.0022603+0.012617i,0.011456+0.023469i,0.013856+0.024412i,0.010514+0.019027i,0.0064013+0.013777i,0.0057611+0.0088566i,0.0055758+0.0004089i,0.00079479-0.0038735i,-0.0051575-0.0012317i
0.041936+0.16117i,0.051183+0.1751i,0.017129+0.10448i,-0.026094+0.045644i,0.034356+0.041598i,0.16061+0.026092i,0.18565+0.001338i,0.12794+0.018125i,0.084074+0.030734i,0.058893+0.012162i,0.043597-0.0090041i,0.035523-0.022603i,0.028931-0.02776i,0.019851-0.026396i,0.0032605-0.021341i,-0.011667-0.013658i,-0.012575-0.0059411i,-0.0026127-0.0029948i,0.0035341-0.0098214i,-0.0008275-0.014949i,-0.0057155-0.010664i,-0.0050605-0.0091992i,-0.0031217-0.013855i
-0.1386+0.065873i,-0.089299+0.11339i,0.094024+0.10465i,0.24958+0.01419i,0.22035-0.044597i,0.085699-0.030915i,0.0093662-0.03126i,-0.024389-0.043653i,-0.041739-0.017132i,-0.02657+0.012938i,-0.013064+0.023074i,-0.008069+0.034563i,0.0023713+0.038171i,0.0043953+0.0294i,-0.0020941+0.022856i,-0.0038302+0.019093i,-0.0020137+0.015745i,-0.001931+0.014595i,-0.0003359+0.014221i,0.0050588+0.0074878i,0.0095859-0.0030004i,0.0084248-0.0075378i,0.0036154-0.0051765i
-0.063151-0.16274i,-0.07959-0.2006i,-0.024542-0.19756i,0.051504-0.16901i,0.040565-0.082265i,0.00089031+0.020303i,-0.0074454+0.058764i,-0.021793+0.038338i,-0.033595+0.016252i,-0.030387+0.012969i,-0.025293+0.023758i,-0.016156+0.033108i,-0.0091001+0.031054i,-0.00033684+0.024128i,0.015124+0.01086i,0.023346-0.0074441i,0.019143-0.017157i,0.012196-0.017851i,0.010282-0.01804i,0.009315-0.017061i,0.0036632-0.011666i,0.00018818-0.0033087i,0.0027278+0.0012096i
0.14649-0.062808i,0.15444-0.050443i,0.12167+0.08607i,0.10653+0.25205i,0.066512+0.21835i,-0.018663+0.069235i,-0.054453+0.010808i,-0.019819+0.0050372i,-0.0001077-0.0076644i,-0.0046433-0.0028565i,0.0019805-0.0028478i,0.0015602-0.021265i,-0.011232-0.03149i,-0.020241-0.025993i,-0.021281-0.013164i,-0.016457+0.0025666i,-0.011222+0.012219i,-0.012086+0.010449i,-0.015509+0.0066834i,-0.011189+0.0048985i,0.0015124+0.0016044i,0.0075176-0.0042082i,0.002542-0.0066056i
0.097417+0.16376i,0.18979+0.23828i,0.26104+0.30141i,0.23966+0.29253i,0.15633+0.17009i,0.069031+0.060765i,0.02161+0.042579i,0.030916+0.032233i,0.041+0.0010897i,0.026586-0.018504i,0.0090665-0.024528i,0.0024624-0.021179i,0.0035729-0.017847i,-0.0030144-0.014154i,-0.013293+0.0016352i,-0.01302+0.019054i,-0.0032034+0.023581i,0.0098203+0.020186i,0.020962+0.016514i,0.022886+0.01218i,0.013015+0.0068575i,0.0010952+0.0048668i,-0.0035121+0.0047098i
-0.15311+0.095499i,-0.2219+0.17119i,-0.32621+0.21618i,-0.38967+0.15891i,-0.26237+0.054531i,-0.043304-0.0047312i,0.065534-0.024517i,0.062818-0.024468i,0.028867-0.029333i,-0.0065966-0.034052i,-0.022284-0.01449i,-0.011262+0.01278i,0.010528+0.023444i,0.022535+0.015816i,0.01753+0.0027023i,0.0033895-0.005135i,-0.0055806-0.0057939i,-0.0026647-0.0063258i,0.00059774-0.011287i,-0.00084455-0.011866i,0.0033961-0.0060017i,0.010644-0.0031444i,0.010504-0.0054082i
-0.13385-0.114i,-0.31923-0.091486i,-0.51437-0.062982i,-0.47474-0.051972i,-0.20004-0.011849i,-0.0096304+0.011739i,-0.0013808+0.02278i,-0.028222+0.056225i,-0.01022+0.068005i,0.016999+0.036673i,0.016071+0.001115i,-0.0022748-0.008962i,-0.012769-0.001669i,-0.010943-0.00097627i,-0.0077131-0.010288i,-0.0047595-0.021345i,0.00025624-0.025855i,-0.00031488-0.019152i,-0.0056815-0.0070702i,-0.0089646-0.0020678i,-0.013181-0.0069779i,-0.017605-0.011002i,-0.01463-0.0090723i
0.10132-0.12511i,0.072566-0.33259i,0.097834-0.59609i,0.18428-0.67508i,0.15581-0.45615i,0.038444-0.1636i,-0.034653+0.006715i,-0.035566+0.05371i,0.0040443+0.042308i,0.035977+0.021098i,0.036345+0.0044889i,0.014491-0.013779i,-0.014-0.022017i,-0.027258-0.009618i,-0.018964+0.0036927i,-0.0072271+0.0070452i,-0.003701+0.0060743i,-0.0010517+0.00035168i,0.0047218-0.0094908i,0.0098946-0.013906i,0.017318-0.0072641i,0.023956+0.00057237i,0.021309+0.0030682i
0.11876+0.03738i,0.32727-0.14998i,0.57152-0.34899i,0.58905-0.30683i,0.33924-0.088131i,0.098126+0.07092i,-0.0060923+0.059362i,-0.058172-0.022005i,-0.088471-0.033537i,-0.059986+0.016326i,0.0013381+0.039873i,0.038168+0.017142i,0.03626-0.012261i,0.021246-0.025918i,0.016135-0.026269i,0.022435-0.016679i,0.029338-0.0045816i,0.030266+0.0015166i,0.026904+0.00048808i,0.02075-0.0061609i,0.012286-0.016239i,0.0054296-0.020438i,0.0034817-0.014821i
-0.014729+0.10218i,0.24319+0.3259i,0.58766+0.63283i,0.68919+0.72062i,0.47953+0.47944i,0.21739+0.1922i,0.088931+0.048942i,0.050876-0.011192i,0.016116-0.024132i,-0.019772-0.0070751i,-0.035895+0.0037375i,-0.02647+0.011074i,-0.00043807+0.0078166i,0.0098441-0.006192i,-0.001939-0.010922i,-0.012061-0.010828i,-0.0091139-0.015308i,0.0025895-0.016987i,0.013395-0.0092514i,0.014479+0.0044654i,0.0078165+0.020085i,0.0022375+0.030398i,-0.0039517+0.027204i
-0.032738+0.02688i,-0.096439+0.38425i,-0.19083+0.83236i,-0.20714+0.88498i,-0.16839+0.51522i,-0.15583+0.20792i,-0.084847+0.12345i,0.039693+0.06282i,0.074847-0.031952i,0.012739-0.07293i,-0.043131-0.045088i,-0.048883+0.00032772i,-0.024134+0.023908i,0.0032283+0.025265i,0.022194+0.02105i,0.031759+0.01944i,0.032344+0.023152i,0.028809+0.025055i,0.021373+0.017814i,0.016076+0.0029053i,0.017183-0.015944i,0.014616-0.026469i,0.0066455-0.020478i
-0.047319+0.015048i,-0.46287+0.035252i,-0.99812+0.040697i,-1.1032+0.07922i,-0.6833+0.10185i,-0.28039+0.043867i,-0.15028+0.041595i,-0.093424+0.10372i,-0.022295+0.09312i,0.01449+0.026964i,0.025718-0.019791i,0.018965-0.041542i,-0.0017251-0.036948i,-0.012906-0.022773i,-0.014909-0.017816i,-0.011923-0.015626i,0.00090574-0.013541i,0.01098-0.010526i,0.014901-0.006665i,0.014014-0.0036574i,0.0053752+0.0024366i,-0.0015888+0.0076449i,-0.0020841+0.0004908i
-0.097259-0.028081i,-0.27401-0.39345i,-0.43275-0.81591i,-0.43188-0.86851i,-0.29623-0.59631i,-0.20258-0.37582i,-0.22002-0.24699i,-0.19201-0.10483i,-0.079675-0.006755i,0.012623+0.017935i,0.047848+0.0093097i,0.039934-0.0078904i,0.017335-0.015682i,0.0025725-0.011443i,-0.0061504+0.0011661i,-0.010656+0.016127i,-0.015014+0.026862i,-0.01552+0.027432i,-0.0057208+0.018633i,0.010585+0.010418i,0.030957+0.0048382i,0.042011-0.0021678i,0.034092-0.0040179i
0.021468-0.14434i,0.38075-0.42265i,0.78153-0.74698i,0.78198-0.83675i,0.45523-0.5637i,0.20691-0.22085i,0.092072-0.12795i,-0.019023-0.1615i,-0.079474-0.12349i,-0.054597-0.040304i,-0.013328+0.01925i,0.015734+0.036226i,0.02565+0.017609i,0.024973-0.0074615i,0.026358-0.026562i,0.029114-0.039835i,0.036055-0.041539i,0.042246-0.030064i,0.036917-0.015469i,0.015803-0.0048056i,-0.011989+0.0037424i,-0.027408+0.010265i,-0.020612+0.010496i
