-0.0033492-0.0031019i,-0.003661-0.0028496i,-0.0034954+0.00032721i,-0.0028495+0.0031144i,-0.002081+0.0038156i,-0.00095213+0.0031966i,-0.0001389+0.0020612i,8.5846e-05+0.0020419i,0.00054642+0.002389i,0.0011845+0.0015316i,0.0011943+0.00034973i,0.00029266-0.0004387i,0.00045166-0.0013i,0.00082584-0.0012696i,0.00052738+0.00035392i,0.00077297+0.0011102i,0.00071657+0.00027664i,-0.00049661-0.0011007i,-0.0010912-0.0019414i,-0.0004817-0.001283i,-0.00011276-0.0002725i,-1.6595e-05-0.00042766i,-1.5784e-05-0.00092716i
-0.0049842-0.15624i,0.27852-0.28239i,0.54771-0.34546i,0.51001-0.31513i,0.27089-0.22667i,0.084211-0.16143i,-0.01037-0.16492i,-0.04979-0.15052i,-0.036991-0.091373i,-0.010901-0.050788i,-0.013774-0.038128i,-0.024268-0.029808i,-0.022344-0.022575i,-0.014113-0.014371i,-0.0045079-0.0030386i,0.0062976+0.0065009i,0.014286+0.0087547i,0.015232+0.0011811i,0.013016-0.0077244i,0.007964-0.009168i,0.0027804-0.0071126i,0.0031724-0.0064095i,0.0073139-0.0068924i
0.0012276+0.038675i,-0.18257+0.22678i,-0.38693+0.34891i,-0.39044+0.28576i,-0.23182+0.15629i,-0.086651+0.11037i,0.013787+0.13146i,0.057288+0.11349i,0.035399+0.058648i,0.0040309+0.028176i,0.0049921+0.018126i,0.015865+0.0073558i,0.0094524+0.0023271i,-0.0018799+0.0028869i,-0.0057239-0.0023366i,-0.0072961-0.011977i,-0.010568-0.014071i,-0.010943-0.0086067i,-0.0076151-0.0040436i,-0.0041246-0.0037287i,-0.0010476-0.0017178i,0.00037226+0.0047259i,-0.0010497+0.0099331i
0.060062-0.064272i,0.11747-0.28444i,0.19123-0.45662i,0.19882-0.38536i,0.13366-0.19008i,0.048973-0.097255i,-0.041631-0.093987i,-0.079416-0.067222i,-0.05153-0.029904i,-0.020596-0.016778i,-0.013715-0.0064895i,-0.013476+0.0090192i,-0.0058299+0.017373i,0.0058715+0.018183i,0.012181+0.015887i,0.012351+0.011654i,0.01009+0.0083015i,0.0040688+0.0073895i,-0.0039378+0.0089428i,-0.0076357+0.0092935i,-0.0056438+0.0055146i,-0.0010759-0.0015811i,0.0029274-0.0095049i
-0.03707+0.16183i,-0.00077499+0.39349i,0.0026184+0.58381i,-0.030737+0.53138i,-0.038085+0.32356i,0.010523+0.17546i,0.079072+0.11126i,0.094181+0.061439i,0.053377+0.025117i,0.017185+0.009495i,0.0053858-0.0057748i,0.0019457-0.019181i,0.0023745-0.020988i,0.0023327-0.01845i,-0.002424-0.015446i,-0.0087249-0.0087802i,-0.0096577-0.0014597i,-0.0018586+0.0019233i,0.00679+0.0031219i,0.0077042+0.0043541i,0.0035106+0.0029853i,-0.00178+0.0022389i,-0.0066034+0.0077055i
-0.070728-0.19017i,-0.1562-0.37789i,-0.14795-0.53258i,-0.040501-0.51119i,0.015536-0.35627i,-0.02684-0.20813i,-0.088148-0.11489i,-0.09437-0.054151i,-0.048882-0.01831i,-0.0095675-0.0078159i,0.0027848-0.0008738i,0.0087326+0.0079892i,0.011041+0.0058957i,0.0070462+0.0010781i,0.0058693+0.0016018i,0.0094735+0.0019671i,0.01064+0.0013448i,0.0063052-0.0010665i,0.0020341-0.0058208i,0.0013623-0.0076576i,0.00053294-0.0062896i,-7.8661e-05-0.0056528i,0.001569-0.0076362i
0.18573+0.094059i,0.31657+0.19065i,0.3215+0.30407i,0.18635+0.3299i,0.07819+0.24573i,0.065723+0.1424i,0.08424+0.078423i,0.071009+0.047124i,0.03087+0.028303i,-0.00098352+0.017085i,-0.016837+0.010489i,-0.022907+0.005058i,-0.021586+0.0044872i,-0.016181+0.0064679i,-0.0097791+0.0055465i,-0.0054809+0.0016106i,-0.0040625-0.001639i,-0.0039544-0.003039i,-0.0037658-0.0024678i,-0.0031843-0.0012494i,-0.0014037+0.0015502i,0.00018955+0.0065323i,0.0007788+0.010319i
-0.19389+0.067107i,-0.33862+0.052954i,-0.40914-0.048681i,-0.33696-0.12437i,-0.2114-0.091417i,-0.14167-0.04152i,-0.12176-0.020966i,-0.08915-0.011663i,-0.040042-0.012149i,-0.0045595-0.019557i,0.015137-0.024275i,0.023187-0.022399i,0.021219-0.013888i,0.01853-0.0058186i,0.015858-0.0035972i,0.010556-0.0040951i,0.0057045-0.0025869i,0.0028561+0.0031865i,-0.0014235+0.0075792i,-0.00657+0.0061851i,-0.008113+0.0010741i,-0.0068943-0.0054011i,-0.0068251-0.010537i
0.079753-0.1512i,0.19715-0.15598i,0.33224-0.035137i,0.34639+0.077139i,0.23959+0.069576i,0.15477+0.018782i,0.12214-0.010441i,0.080248-0.015768i,0.02508-0.0019967i,-0.0039615+0.016877i,-0.010418+0.024667i,-0.014765+0.024724i,-0.012963+0.01958i,-0.0074337+0.0093966i,-0.0058348+0.00017458i,-0.0068593-0.0021327i,-0.0070291+2.8123e-06i,-0.0018628-0.00010516i,0.0064855-0.0014976i,0.010509-0.0023199i,0.0097388-0.0016962i,0.0082209+0.0016645i,0.0064437+0.0068753i
0.063019+0.11572i,-0.011014+0.13243i,-0.14753+0.071428i,-0.18177-0.013102i,-0.11028-0.036888i,-0.078872-0.013352i,-0.095334+0.0053357i,-0.090556+0.005425i,-0.055864-0.0060898i,-0.027214-0.023072i,-0.017788-0.034411i,-0.010566-0.033138i,-0.0023307-0.024722i,-0.00095437-0.014924i,-0.0017877-0.0046904i,0.0012985+0.002403i,0.0057754+0.0031444i,0.0045336+0.00080277i,-0.00050646+0.00061664i,-0.0024566+0.0023427i,-0.0038222+0.0025164i,-0.0064656+0.00097815i,-0.007837-0.0018438i
-0.097101+0.0013873i,-0.048784-0.050683i,0.047938-0.10224i,0.062868-0.086826i,0.012363-0.047799i,0.012951-0.032949i,0.046295-0.033092i,0.045392-0.021786i,0.027451+0.0019109i,0.021362+0.017394i,0.023739+0.024433i,0.022538+0.025839i,0.015125+0.023028i,0.0083094+0.01894i,0.0049697+0.012886i,0.0024134+0.0061812i,-0.00016575+0.0021884i,-0.0016837+7.3872e-05i,-0.0017613-0.0023801i,-0.00082484-0.0052878i,0.0017593-0.0065744i,0.0051294-0.0047389i,0.0076011-0.0014609i
0.015791-0.072511i,-0.023175+0.00011922i,-0.098968+0.099839i,-0.1251+0.11095i,-0.072721+0.069571i,-0.038512+0.046022i,-0.040005+0.040651i,-0.029322+0.019517i,-0.018214-0.013014i,-0.021734-0.024994i,-0.024787-0.022419i,-0.021944-0.021871i,-0.016349-0.017916i,-0.0079974-0.009723i,0.00091868-0.0041947i,0.0050918-0.0035686i,0.0033627-0.0031532i,0.0013+0.0012294i,0.00080324+0.0062753i,-7.5513e-05+0.0066261i,-0.0012129+0.0047054i,-0.0032545+0.002954i,-0.0064123+0.00031048i
0.080519+0.039951i,0.1035-0.0039208i,0.13843-0.059085i,0.16013-0.041955i,0.11954+0.0023848i,0.074199-0.010424i,0.056915-0.046214i,0.043144-0.050676i,0.027577-0.030742i,0.024578-0.014657i,0.029428-0.0091371i,0.027378-0.0031651i,0.018601+0.0032488i,0.0094321+0.0027124i,0.0016775-0.0018922i,-0.0039422-0.0017643i,-0.0056651+0.00078867i,-0.0023031+0.00074985i,0.0021366-0.0003321i,0.0033165-0.0016514i,0.0031016-0.0016805i,0.0032604-0.0013475i,0.0059775-0.00074673i
-0.076024+0.051246i,-0.075041+0.074639i,-0.054262+0.079571i,-0.045905+0.032927i,-0.03962-0.017561i,-0.03474-0.0025107i,-0.037921+0.02506i,-0.038886+0.020043i,-0.032261+0.0040641i,-0.024618+5.0983e-05i,-0.022569+0.004678i,-0.021908+0.0062711i,-0.017547+0.0031954i,-0.011966+0.0023909i,-0.0069599+0.0032112i,-0.0017683+0.0022569i,0.0024243+0.0014417i,0.0031823+0.0010014i,0.0013504+0.00037685i,0.00040837+0.0010655i,0.00019632+0.0033727i,-0.0015331+0.0045452i,-0.0047559+0.0035579i
-3.1591e-05-0.10478i,-0.012763-0.14996i,-0.035367-0.17075i,-0.034678-0.14131i,-0.012433-0.082808i,0.007782-0.049892i,0.022095-0.038743i,0.030626-0.020327i,0.035643-0.0037498i,0.032212-0.0056479i,0.024436-0.011786i,0.020227-0.010926i,0.015507-0.006665i,0.0084803-0.0012132i,0.0042985+0.0033653i,0.0019226+0.0047546i,-0.0010827+0.0034684i,-0.0035953+0.00063093i,-0.0044094-0.0028217i,-0.0013493-0.004817i,0.0021656-0.0055757i,0.0029889-0.0059211i,0.0045197-0.0050783i
0.071607+0.066379i,0.088803+0.12402i,0.0659+0.16932i,0.016836+0.17362i,-0.0098005+0.13188i,-0.0053631+0.086505i,0.0011439+0.060622i,0.0040777+0.038736i,0.0053055+0.018149i,0.0015594+0.010983i,-0.0013614+0.01526i,-0.0019944+0.014094i,-0.0029198+0.0063685i,-0.0016796+0.00069527i,0.0016727-0.0019812i,0.0019751-0.0039865i,-0.00044436-0.0044981i,-0.00093637-0.0017661i,-0.00075191+0.0028345i,-0.0017154+0.0053574i,-0.0018419+0.0050532i,-0.00084171+0.0054277i,-0.00059799+0.0071413i
-0.081568+0.014862i,-0.10496-0.0027692i,-0.072504-0.030649i,-0.013014-0.041628i,0.014141-0.031671i,0.0086609-0.037359i,0.0042178-0.048773i,0.011787-0.03978i,0.017296-0.023326i,0.01474-0.014619i,0.0083788-0.013606i,0.0050618-0.012901i,0.0066884-0.0090712i,0.0069232-0.0060635i,0.00491-0.0051546i,0.0031884-0.003557i,0.0021547+0.00028848i,0.003279+0.0027844i,0.0040325+0.0014244i,0.00058064-0.001408i,-0.0023211-0.0030549i,-0.0018758-0.0033105i,-0.00048387-0.0042753i
0.036756-0.066654i,0.074744-0.077148i,0.1047-0.053727i,0.10287-0.031788i,0.071427-0.023137i,0.035563+0.002243i,0.0088901+0.027255i,-0.0089411+0.030888i,-0.013886+0.024804i,-0.0072358+0.018446i,0.00037686+0.014241i,0.0012993+0.011213i,-0.0041384+0.0066331i,-0.010274+0.0044353i,-0.012185+0.0057513i,-0.0092744+0.0057877i,-0.0047607+0.0034785i,-0.0019333+0.0011619i,-5.5054e-05+2.5948e-05i,0.0020015-1.7658e-05i,0.0034767+0.0018813i,0.0032818+0.0038503i,0.0021477+0.0044937i
0.020853+0.050073i,-0.015285+0.059049i,-0.083559+0.031958i,-0.11729+0.0021654i,-0.092916-0.0044748i,-0.053092-0.0070114i,-0.02598-0.011443i,-0.0092635-0.0033662i,0.0031933+0.0062701i,0.0062487+0.0027694i,-4.5122e-05-0.0036608i,-0.0025483-0.004239i,0.0034428-0.0042105i,0.0088303-0.005036i,0.0085334-0.0057343i,0.0043778-0.0065092i,0.0020607-0.0051225i,0.0015978-0.0027228i,0.00029608-0.0015639i,-0.0018355-0.0016278i,-0.0033508-0.0023018i,-0.0040117-0.0025515i,-0.0038475-0.0020124i
-0.043236+0.0035115i,-0.026305+0.0015825i,0.013363+0.0096818i,0.022856+0.024939i,0.014091+0.026393i,0.017977+0.021142i,0.018459+0.019904i,0.0063989+0.019531i,-0.0024715+0.019995i,-0.0017305+0.016998i,0.0015433+0.010289i,0.0024384+0.0080096i,0.00018847+0.012221i,-0.00047147+0.014133i,0.0010181+0.01258i,0.0023474+0.0099965i,0.001329+0.0063427i,-0.0016397+0.0051078i,-0.0030799+0.0057699i,-0.0022715+0.0042195i,-0.00061208+0.0013803i,0.00069138+0.00074843i,0.0015524+0.0028636i
0.018399-0.036921i,0.01708-0.016979i,0.010194+0.021249i,0.016485+0.038008i,0.020972+0.026895i,0.0049208+0.0022878i,-0.012541-0.016984i,-0.012933-0.023517i,-0.0062111-0.020143i,-0.0038092-0.011338i,-0.0032296-0.0037799i,-0.00095563-0.0029766i,0.0007631-0.010299i,0.00025031-0.017321i,-0.0031443-0.016494i,-0.0054493-0.010834i,-0.0035843-0.0056734i,0.00035038-0.0024279i,0.0033935+0.00054142i,0.0039597+0.0014068i,0.0020349+0.0010623i,-4.3165e-05+0.00025333i,-0.00021846-0.0014762i
0.031391+0.020334i,0.035217-0.004187i,0.037932-0.050181i,0.041083-0.070192i,0.030903-0.051558i,0.016489-0.021051i,0.0041023-0.00090867i,-0.0063217+0.0073301i,-0.01082+0.010751i,-0.0050013+0.011481i,0.0029528+0.0086624i,0.0038316+0.0061318i,0.0030015+0.0093227i,0.0053935+0.014183i,0.0077098+0.012452i,0.0069181+0.0062282i,0.0023995+0.0022918i,-0.0019038+0.0019113i,-0.0031369+0.0020791i,-0.0023242+0.00088829i,-0.0012924+1.0236e-05i,0.00010524-0.00055832i,0.001463-0.00011964i
-0.038728+0.013051i,-0.048118+0.021288i,-0.05499+0.029344i,-0.062425+0.021734i,-0.055382+0.0032796i,-0.037705-0.0017174i,-0.021479-0.0027805i,-0.01318-0.0092664i,-0.012142-0.01136i,-0.011639-0.0075383i,-0.0086521-0.0044804i,-0.0076329-0.0036729i,-0.011034-0.0028041i,-0.012857-0.0019956i,-0.011151-0.0023406i,-0.0089185-0.0016473i,-0.0058905+0.00049131i,-0.0019321+0.00045844i,-6.6571e-05-0.0013823i,0.00025467-0.002547i,0.00012602-0.0023072i,-0.0017874-0.0012022i,-0.0036277-0.00066572i
0.010608-0.039836i,0.012124-0.040887i,0.0043697-0.027706i,-0.0014535-0.0064518i,0.004179+0.011455i,0.017008+0.012138i,0.022475+0.0025482i,0.015631-0.002049i,0.0079516-0.0010248i,0.0045723-0.00084437i,0.0022103-0.00079311i,0.0037171+0.00024002i,0.0093741+0.00066676i,0.012904+0.00012797i,0.010043-0.00085955i,0.0045763-0.0011002i,0.0021608+0.0009485i,0.00044299+0.0035401i,-0.0016638+0.0058789i,-0.0024443+0.0060896i,-0.00067154+0.0029396i,0.0016561+0.0013861i,0.0025509+0.001428i
0.032541+0.031514i,0.045553+0.045815i,0.055435+0.055363i,0.052377+0.056258i,0.03331+0.042053i,0.011246+0.015749i,-0.002846-0.005654i,-0.0059809-0.013299i,-0.0052589-0.010776i,-0.0071878-0.0029891i,-0.0082106+0.0047144i,-0.0071958+0.0066419i,-0.0081606+0.0051419i,-0.0091195+0.0050708i,-0.0071684+0.0047892i,-0.0042562+0.0024745i,-0.0025022-0.0033048i,-0.0019452-0.0082226i,-0.00098953-0.0083143i,0.00085018-0.0056508i,0.00044028-0.0041121i,-0.0014911-0.0029851i,-0.0022005-5.3068e-06i
-0.037515-0.0064442i,-0.049755-0.026186i,-0.042418-0.051159i,-0.017647-0.064122i,0.003318-0.054086i,0.0096222-0.0318i,0.0076557-0.011685i,0.0072583-0.0012269i,0.0059996-0.0024341i,0.0026543-0.0049149i,0.0026143-0.0034338i,0.0037233-0.0048712i,0.0020896-0.0075332i,0.00030277-0.004818i,0.0023204-0.001567i,0.0029515-0.0016358i,-0.00087809-0.00096434i,-0.0025211+0.0013876i,-0.0010559+0.0030223i,0.00044413+0.0026033i,0.0005337+0.00082065i,0.00048486-0.00068137i,0.00052112-0.002375i
0.0095488-0.022864i,0.016662-0.015793i,0.011885+0.0035336i,-0.0014534+0.014245i,-0.011672+0.013526i,-0.013538+0.011342i,-0.0056424+0.0082503i,0.0050037+0.0011515i,0.0083922-0.0041795i,0.0060444-0.0029724i,0.0032063-0.00070195i,0.002225+0.00025268i,0.0027636+0.00085865i,0.0025858-0.00089119i,0.0016214-0.0046884i,-0.00083503-0.0056738i,-0.0031556-0.0030193i,-0.0031835-0.00064145i,-0.0029075-0.00024447i,-0.0036343-0.0013483i,-0.0033266-0.0016723i,-0.0026734-3.4096e-05i,-0.0018804+0.00099922i
0.011337+0.021971i,8.936e-05+0.032705i,-0.017907+0.033856i,-0.029446+0.028229i,-0.024238+0.019259i,-0.0060364+0.0099947i,0.0087064+0.0020187i,0.011587-0.00050152i,0.0082383+6.0942e-05i,0.0026347-0.0028759i,-0.0037539-0.005551i,-0.0058135-0.0032409i,-0.0036107+0.00034673i,-0.0025708+0.0013099i,-0.0032006+0.00078809i,-0.0020102+0.00020954i,0.0023875-0.0008912i,0.006083-0.0025168i,0.0049667-0.0013241i,0.0022887+0.0011013i,0.0018327+0.00094234i,0.0017832-0.0018879i,0.00082853-0.0026752i
-0.012991+0.0022021i,0.00078031-0.0027269i,0.03144-0.00010773i,0.047833+0.012539i,0.039155+0.020368i,0.02376+0.015268i,0.0096382+0.0061932i,0.00029107+0.0034265i,0.00059526+0.0035699i,0.0020143+0.00013034i,-0.0004075-0.00085507i,-0.00053769+0.0012804i,-0.00025446-0.00088125i,-0.0018496-0.002942i,-0.0033335-0.0012326i,-0.0024254-0.00063059i,-0.0014547-0.0028277i,-0.0018576-0.0043043i,-0.0011955-0.0035896i,2.3144e-05-0.0026176i,5.9852e-05-0.0013718i,-0.0001891-0.0003047i,-0.0001594-0.00033176i
-0.00047142-0.012566i,-0.0047377-0.015607i,-0.014647-0.016152i,-0.013091-0.020016i,0.00080367-0.023906i,0.0056612-0.020022i,0.00042303-0.007111i,0.0014567+0.0062517i,0.0075388+0.010179i,0.0077424+0.0059631i,0.005247+0.0030067i,0.0063479+0.0018799i,0.0087975+0.0011136i,0.010576+0.0016902i,0.01242+0.0021575i,0.01123+0.0010577i,0.0051442-3.1785e-05i,-0.00064024+0.0016925i,-0.0022778+0.0028468i,-0.00073812+0.00066546i,0.00015523-0.0010026i,0.00085297-0.00085201i,0.001345+0.000303i
0.0080262+0.0073093i,0.0037711+0.0063179i,-0.0025478-0.00173i,-0.0075438-0.0082107i,-0.012117-0.0092054i,-0.013072-0.0037759i,-0.0079521+0.0040588i,-0.0014697+0.0065793i,0.002407+0.0045968i,0.003305+0.0018006i,0.0019867-0.00023519i,0.00042464-0.00082416i,-0.0013133-0.00033819i,-0.0039123-0.0028834i,-0.0046244-0.0065856i,-0.0031746-0.0070321i,-0.00065408-0.0039595i,0.0015215-0.0016561i,0.0022954-0.0027218i,0.00068018-0.0036737i,-0.00077354-0.0029748i,4.0653e-05-0.0024665i,0.00046251-0.0013736i
-0.0093391+0.0064214i,-0.0098241+0.017067i,-0.011771+0.032174i,-0.016827+0.035004i,-0.017065+0.02304i,-0.010754+0.010776i,-0.0039902+0.0031466i,-0.0023938-0.00092666i,-0.0012595-0.00072928i,0.0026727-0.0017957i,0.0024722-0.0054532i,-0.0014902-0.0050745i,-0.00038623-0.0028973i,0.0027924-0.0034766i,0.0021968-0.0043141i,0.0012993-0.0034011i,0.0034239-0.0016627i,0.0052333-0.00065331i,0.0036595-2.209e-05i,0.0012151+0.00079087i,0.0004847+0.00051606i,0.00068815-0.00082443i,0.001521-0.0013586i
0.011164-0.0071686i,0.01896-0.014616i,0.029381-0.019682i,0.03486-0.012176i,0.027592+0.0044627i,0.015182+0.010582i,0.0029096+0.0043885i,-0.007735+0.0020706i,-0.0089349+0.0069371i,-0.0033041+0.0079099i,-5.884e-06+0.0063823i,0.00051532+0.0081246i,0.00062819+0.012049i,-0.0011223+0.013816i,-0.0031775+0.013022i,-0.0020424+0.0098738i,-0.00083506+0.0043209i,-0.0023734-0.00043726i,-0.0042294-0.0021091i,-0.0036712-0.0017385i,-0.0020669+8.4019e-05i,-0.0011316+0.00083369i,-0.0011579+0.00073307i
0.0036067+0.0048485i,0.000412+0.0060552i,-0.0027438+0.0017889i,-0.0016624-0.002687i,0.0037416-0.005559i,0.0076083-0.0069887i,0.0038069-0.0052715i,-0.00138-0.00034829i,-0.0033494+0.0023364i,-0.0045298+8.2741e-05i,-0.004246-0.00092293i,-0.0023415-7.1002e-05i,-4.8978e-05-0.00099503i,0.0035503-0.0017044i,0.0077805-0.0027219i,0.00843-0.003585i,0.0056585-0.0018399i,0.0031919+0.002044i,0.0027303+0.0038738i,0.0033178+0.0021561i,0.0026797+0.0002834i,0.0021345-0.00030444i,0.002111-0.00075202i
-0.008282-0.0053394i,-0.015426-0.0096372i,-0.021063-0.01254i,-0.01981-0.013949i,-0.011253-0.014283i,-0.0050497-0.011629i,-0.0026965-0.0061987i,-0.00012777-0.0033174i,0.00085495-0.0017101i,0.0026897+0.0022724i,0.0065532+0.0032452i,0.0071336+0.00019495i,0.0051585-6.8899e-05i,0.0044424+0.0019925i,0.0051542+0.0019675i,0.0043732+0.00037475i,0.0024478+0.00046796i,0.0016056+0.00043579i,0.0016939-0.0016969i,0.0013879-0.0024359i,0.00080016-0.0017664i,0.00030891-0.00045358i,0.00032471+0.0010699i
0.0079574-0.0035134i,0.015455+0.0075323i,0.016207+0.022784i,0.0054009+0.027581i,-0.0073574+0.018623i,-0.010259+0.0086243i,-0.0050932-0.00032128i,-0.0035099-0.0096198i,-0.0068279-0.010722i,-0.0091295-0.0045494i,-0.0094245-0.00023052i,-0.010455+0.00076057i,-0.01099+0.00063382i,-0.01025-0.00011109i,-0.010997-0.0018234i,-0.0097957-0.002505i,-0.0054416-0.001016i,-0.00092892-0.00056926i,0.0018928-0.00081236i,0.001509-0.00043216i,-0.00013529-0.00094752i,-0.0012405-0.00098967i,-0.0014351-0.00075971i
0.0035453+0.0058792i,0.0049422+0.0054195i,0.0099746+0.00081225i,0.013226+0.00041354i,0.010776+0.0075948i,0.0073126+0.010805i,0.0055877+0.0048138i,0.0030143-0.0017417i,0.00039073-0.004222i,0.0010472-0.0063949i,0.0025559-0.0083074i,0.001854-0.0066203i,0.00059993-0.0026394i,0.00061407+0.00068473i,0.0014194+0.0020001i,0.00074582+0.0011907i,-0.00090882+0.00076657i,-0.0026084+0.0012629i,-0.0031866+0.0020474i,-0.0022652+0.0019339i,-0.00089207+0.00073233i,-9.1198e-05+0.00038627i,0.00054484-0.00026168i
-0.0069323+0.000224i,-0.0065238-0.0062107i,-0.00071636-0.01241i,0.0063612-0.012012i,0.011692-0.0056799i,0.013295-1.2732e-05i,0.0090039+0.0014931i,0.0042296+0.001749i,0.0024621+0.0024021i,-0.00020077+0.0040472i,-0.0026435+0.0071779i,-0.0022325+0.0072379i,-0.00075066+0.0049735i,-0.0010799+0.0051431i,-0.0010226+0.0054433i,-0.00062331+0.0048442i,-4.3205e-05+0.0039557i,0.0022035+0.002461i,0.0038063+0.0010446i,0.0040948+0.0004624i,0.0033138+0.00056249i,0.0015085+0.00035425i,5.4592e-06+0.00082303i
-0.0063267-0.002085i,-0.011035+0.0029642i,-0.020462+0.0081573i,-0.019986+0.0066806i,-0.0064982-0.00062396i,0.0052354-0.0065746i,0.008557-0.0084624i,0.010295-0.0076633i,0.0089266-0.0084957i,0.0022904-0.010261i,-0.0018598-0.01055i,-0.0010773-0.01036i,-0.00061839-0.0093149i,-0.00082327-0.0077964i,0.00012508-0.0080264i,-0.00040992-0.0080237i,-0.0023572-0.0065377i,-0.0019873-0.0038934i,-0.00041123-0.0010496i,0.00037776+0.00069856i,-0.00033074+0.00060542i,-0.0020427-0.00040037i,-0.0023049-0.00063635i
0.0043654+0.0054525i,0.0084958+0.0085629i,0.01395+0.014363i,0.012834+0.015032i,0.0044794+0.0076057i,-0.0016851-4.3802e-05i,-0.00055972-0.0016189i,0.0040919-0.0021955i,0.0077424-0.0029423i,0.010844-0.00125i,0.010421-0.00027856i,0.0059418-0.00018682i,0.0015077-0.00058578i,0.00029529-0.00099057i,0.00053661-0.00021744i,0.00071114-4.8014e-05i,0.0013292-0.0014035i,0.00061532-0.0028864i,-0.0011001-0.0029136i,-0.0013331-0.0016463i,-0.00031082-0.00049852i,0.00048795+8.9325e-05i,0.0014378+0.00081437i
0.0008954+0.0034112i,0.0031301+0.0032542i,0.0084502+0.0029022i,0.0094151+0.0022092i,0.0033148+0.0040319i,-0.0022301+0.0071234i,-0.0028501+0.0070363i,-0.0026331+0.0050697i,-0.0024823+0.0030622i,-0.0026507+0.00057945i,-0.0048628-0.0013061i,-0.0061318-0.0020521i,-0.0061535-0.0026413i,-0.006843-0.0026682i,-0.0066243-0.002901i,-0.0054454-0.0036469i,-0.0043055-0.0022098i,-0.0028854+0.00022193i,-0.00091434+0.0016812i,-1.3827e-05+0.0029208i,-0.00054285+0.0027817i,-0.0005416+0.0020477i,-0.00071171+0.0019269i
-0.0020035-0.0014295i,-5.3349e-06-0.0062085i,0.0024854-0.01109i,0.0056876-0.010483i,0.0077444-0.0032159i,0.0073773+0.0028893i,0.0051594+0.0055529i,0.0043284+0.0052726i,0.007123+0.0017416i,0.0097737-0.0040525i,0.009776-0.006173i,0.0088499-0.003106i,0.0078351-0.00065884i,0.0052608-0.00019484i,0.0037018-0.00076382i,0.0043522-0.00083563i,0.0050229+0.00015073i,0.0042573-0.00012717i,0.0019747-0.0016392i,0.00043972-0.0024739i,0.00038616-0.0022261i,0.00059692-0.0025419i,0.0011751-0.002693i
0.0020108+0.0016913i,-0.0028535+0.006309i,-0.0098238+0.0083289i,-0.012612+0.0055295i,-0.0056566+0.0013373i,0.0025913+0.00023744i,0.0058595+0.0010127i,0.0069681+0.0033294i,0.0068954+0.0067305i,0.0045071+0.0082501i,0.0019396+0.0079471i,0.00075489+0.0058274i,0.00035566+0.0034453i,0.00021565+0.004347i,0.00036403+0.0047304i,0.00032247+0.0023952i,0.00086426+0.00040553i,0.0020216-0.0016349i,0.0020463-0.0034081i,0.0014496-0.0022583i,0.00037893+0.00034543i,-0.00090172+0.0014943i,-0.00073256+0.0017793i
-0.00028296+0.0031377i,-0.00086027+0.0058265i,-0.00052531+0.0099925i,0.00053849+0.010289i,0.0020246+0.0042565i,0.0015438-0.0022952i,-0.00057293-0.0038136i,-0.0027591-0.0029784i,-0.0034005-0.0029718i,-0.0030735-0.0037344i,-0.001818-0.0053183i,-0.00050332-0.0077088i,-3.9635e-05-0.0090207i,0.0006659-0.0082594i,0.0026647-0.00576i,0.0052239-0.0035828i,0.0052187-0.0027706i,0.0021581-0.001193i,-0.00065352+0.00080426i,-0.0019643+0.0013014i,-0.0015922+0.00061475i,-0.0012726+0.00020593i,-0.0015932+6.0243e-05i
0.0029028+0.00091665i,0.0099588-0.00089561i,0.018783-0.0022033i,0.017944-0.0012504i,0.0074696-2.9667e-05i,-0.0018032+1.9266e-05i,-0.0048882+0.00019428i,-0.0042552+3.2246e-05i,-0.0010269+0.00052261i,0.0044088+0.0019103i,0.0072634+0.0027145i,0.0046234+0.0037974i,0.00040101+0.0047019i,-0.00067962+0.004491i,0.00038235+0.0030645i,-0.00010654+0.0015653i,-0.0020902+0.0025042i,-0.00151+0.0037593i,0.00074813+0.0026084i,0.0025798+0.00054663i,0.0028645-0.00067059i,0.0024074-0.00044561i,0.0021531+0.00013939i
0.0015439-0.0055001i,-4.3971e-05-0.0067781i,-0.0036844-0.010518i,-0.0048349-0.010609i,-0.0044475-0.0039528i,-0.0019349+0.0038453i,0.0012508+0.006087i,0.0009804+0.0046825i,-0.0015946+0.0046949i,-0.0046103+0.0048358i,-0.0067579+0.0044039i,-0.0068041+0.0047176i,-0.0057389+0.0047685i,-0.0057981+0.003426i,-0.0051444+0.0014133i,-0.0027997+0.0002449i,-0.00024661+0.00052709i,0.0019271+0.0017007i,0.0026514+0.0019427i,0.001592+0.00082277i,-0.00030105-0.00077423i,-0.0016008-0.0015813i,-0.0012787-0.001097i
0.0012046+0.0030216i,5.6984e-07+0.0050461i,-0.0029224+0.0069658i,-0.0049706+0.0077488i,-0.0020183+0.0064216i,0.0025079+0.0037913i,0.0024907+0.00094168i,0.00042932-0.0022636i,-0.00042731-0.0050764i,1.9924e-05-0.0071116i,0.0021716-0.0070635i,0.0051812-0.0062668i,0.0070046-0.0053518i,0.0067778-0.0028014i,0.0052443+0.00046536i,0.0032231+0.0024659i,0.0020899+0.0026395i,0.0018554+0.0020258i,0.00086614+0.00044956i,-0.00043205-0.00012953i,-0.0014772+0.00054423i,-0.001637+0.00087312i,-0.00073198+0.00040735i
