0.0012383+0.0019382i,0.0022672+0.0015783i,0.00087395-0.00012582i,-0.00072324-0.000952i,-0.0013232-0.00057195i,-0.0017232+0.0012558i,-0.0015823+0.0022311i,0.00017643+0.0011248i,0.0014547+0.00022565i,0.0012285-0.00049311i,0.00085558-0.00079035i,0.00033826-0.00075245i,0.00043368-0.00092881i,0.00021171-0.001199i,0.0001078-0.0015289i,0.00025253-0.00071619i,0.00026421-0.00050824i,0.00051587-0.0013158i,0.00016156-0.001195i,-6.7776e-05-0.00079443i,0.00018233-6.2006e-05i,0.00027419+0.00064805i,-0.00054364+0.00076215i
0.068887-0.025303i,0.10864-0.068814i,0.090971-0.096088i,0.043197-0.08619i,0.035821-0.080743i,0.03184-0.067464i,0.0034608-0.032993i,-0.012662-0.0053955i,-0.011083+0.0031816i,-0.0058689+0.0017115i,0.0040496-0.00086496i,0.014365-0.0041836i,0.017107-0.0071041i,0.013983-0.0062399i,0.0067078-0.0032642i,-0.0018018-0.0012662i,-0.0045175-0.00027439i,-0.00026965-0.002109i,0.0039159-0.0053929i,0.0045372-0.005727i,0.0065403-0.0058349i,0.010033-0.0081412i,0.0099816-0.0097306i
0.02576-0.017952i,0.071402-0.05057i,0.069466-0.078765i,-0.02359-0.043856i,-0.10513+0.027995i,-0.096687+0.039724i,-0.049956+0.006218i,-0.02872-0.0060667i,-0.013775+0.0066456i,0.0018808+0.011171i,0.0028006+0.0019888i,-0.0058381-0.0038293i,-0.014041-0.0022171i,-0.016762+0.0041426i,-0.010596+0.0076291i,-0.0048498+0.0029177i,-0.0040642-0.0046491i,-0.0057677-0.0092418i,-0.008219-0.0076359i,-0.0070169-0.0014247i,-0.0034128+0.0044819i,0.00048777+0.0063627i,0.0039937+0.0040142i
0.020939+0.037265i,0.036113+0.016124i,0.066203-0.03742i,0.074065-0.049994i,0.064357+0.0057328i,0.051564+0.029129i,0.013373+0.0043355i,-0.014153-0.0043433i,-0.0077958-0.0023892i,0.0024175-0.0092447i,0.00012708-0.0054479i,-0.0040931+0.0076422i,-0.004417+0.016355i,-0.0010564+0.018052i,0.0017843+0.011258i,0.00072735+0.00055385i,-0.0026521-0.0040783i,-0.0013768-0.0012861i,0.0027469+0.0020868i,0.0048725+0.0038216i,0.0069075+0.0068823i,0.010545+0.01015i,0.01191+0.0082085i
0.040933+0.010022i,0.065964-0.021187i,0.063141-0.055308i,0.015172-0.10547i,-0.041036-0.15594i,-0.047578-0.1345i,-0.03182-0.069758i,-0.024037-0.02425i,-0.019173-0.0041929i,-0.013672+0.000808i,-0.00568-0.0019475i,0.0036522-0.0066803i,0.0069548-0.013936i,0.00084684-0.015898i,-0.0044795-0.010535i,-0.0031903-0.0070386i,0.0016645-0.0079306i,0.0061195-0.010621i,0.0052267-0.013912i,-0.00031664-0.013441i,-0.0042297-0.0070933i,-0.0031845-0.00046463i,0.00047599+0.0014762i
-0.033761-0.015685i,0.016857-0.048937i,0.051234-0.040225i,0.006975+0.012799i,-0.0598+0.048236i,-0.078726+0.04696i,-0.051161+0.02368i,-0.021307+0.008207i,-0.0028418+0.0079422i,0.0068329+0.0052635i,0.0012097-0.002378i,-0.0091812-0.0044614i,-0.013295-0.0016011i,-0.012681+0.0016198i,-0.0063762+0.0044892i,0.0019712+0.002572i,0.0042599-0.0030455i,-3.5733e-05-0.007146i,-0.0043181-0.0059858i,-0.0069576-0.0017918i,-0.011656+0.0029757i,-0.014057+0.0088619i,-0.0093006+0.011146i
-0.014867+0.034198i,0.045509+0.018562i,0.12104-0.033219i,0.17497-0.068066i,0.20622-0.053049i,0.17796-0.033894i,0.095755-0.034531i,0.024476-0.027709i,0.0012815-0.01469i,0.0028773-0.010887i,0.0017454-0.0076311i,-0.00017745+0.0032523i,0.0044846+0.010152i,0.011122+0.0045884i,0.011742-0.001393i,0.0090034-0.0028925i,0.00822-0.0017446i,0.0086075+0.0014046i,0.0090653+0.0030119i,0.0069+0.0008181i,0.0018033-0.0020782i,-0.0011418+0.00048184i,0.00057212+0.0040973i
0.048653-0.043506i,0.10252-0.042805i,0.10539-0.063833i,0.043551-0.12647i,-0.00016842-0.17055i,-0.011204-0.16155i,-0.024697-0.10452i,-0.027813-0.041683i,-0.01929-0.0047968i,-0.0079968+0.0023306i,0.0036196-0.0060199i,0.0093223-0.012135i,0.010208-0.012554i,0.0077804-0.011507i,0.0032106-0.0065244i,0.0021672-0.00074384i,0.0056505+0.00040074i,0.0095175-0.0039444i,0.0091646-0.0090112i,0.0034659-0.011953i,-0.0031853-0.014474i,-0.0078152-0.014589i,-0.0070291-0.0092197i
-0.0173-0.04721i,0.0093507-0.040445i,0.053843+0.034534i,0.051348+0.13356i,-0.0043089+0.18772i,-0.017054+0.15394i,-0.0041252+0.070669i,-0.009913+0.02184i,-0.0043138+0.013363i,0.008518+0.0066207i,0.0045595-0.0051344i,-0.011675-0.0072567i,-0.018871+0.0037278i,-0.0079001+0.014537i,0.0042933+0.015375i,0.0070029+0.010453i,0.0060503+0.0051926i,0.0040848+0.0029932i,0.00052579+0.0025878i,-0.0019705-0.00019606i,-0.0042858-0.0047627i,-0.0080336-0.0052903i,-0.0088249-0.0010951i
0.053188+0.077709i,0.11975+0.087393i,0.17833+0.076135i,0.23215+0.072832i,0.26788+0.075072i,0.2294+0.062128i,0.1315+0.021481i,0.050078-0.006891i,0.0096522-0.013095i,-0.00094354-0.010902i,0.0026131-0.0037956i,0.0051164+0.0015415i,0.0058504+0.0067544i,0.0080922+0.010139i,0.0073626+0.0091881i,0.0052572+0.0081873i,0.0055401+0.0080784i,0.0070782+0.0073359i,0.0080106+0.0047348i,0.0081312-0.00067007i,0.0092855-0.0067127i,0.011098-0.0091871i,0.01005-0.0057175i
0.092371+0.0084754i,0.16322+0.011648i,0.11734-0.019979i,-0.015736-0.072487i,-0.079954-0.088752i,-0.045368-0.071655i,-0.0095195-0.056612i,-0.020655-0.040316i,-0.026496-0.0098974i,-0.0055993+0.0078158i,0.012756-0.0013413i,0.015495-0.014213i,0.0076309-0.014241i,-0.0017613-0.0047623i,-0.0041315+0.0046115i,-0.0010372+0.0083685i,0.0021938+0.0081983i,0.0024236+0.0028629i,9.4232e-06-0.0045498i,0.0010399-0.0066137i,0.0062753-0.0084669i,0.0083182-0.01265i,0.0050113-0.01175i
-0.08938+0.049438i,-0.074261+0.090037i,-0.055436+0.13671i,-0.098085+0.20337i,-0.14208+0.25795i,-0.10628+0.21878i,-0.040634+0.11088i,-0.0075782+0.037002i,0.0087608+0.014404i,0.0204+0.00029748i,0.01588-0.0096996i,-0.00049735-0.010778i,-0.016069-0.0046965i,-0.016347+0.0054067i,-0.0060572+0.0066808i,-0.0021812+0.0048654i,-0.0028409+0.0080193i,-0.0024973+0.010586i,-0.0020782+0.0089081i,0.00092204+0.0038879i,0.0075154+3.9564e-05i,0.011579+0.00044868i,0.0081536+0.0025755i
-0.01628+0.17515i,0.044583+0.24418i,0.13375+0.19534i,0.17869+0.093569i,0.15835+0.06696i,0.1225+0.080486i,0.08221+0.049503i,0.038529+0.0019576i,0.0069344-0.017359i,-0.0013672-0.010254i,0.0084025-0.00013602i,0.015973-0.00046316i,0.010682-0.0056306i,-0.0015577-0.0073134i,-0.01061-0.0022116i,-0.012613+0.0056388i,-0.0088754+0.010712i,-0.0015707+0.008657i,0.0038999+0.0019348i,0.0065197+2.988e-05i,0.012013+0.003657i,0.019469+0.0059669i,0.019335+0.0045251i
-0.01093-0.03457i,0.039489-0.050551i,0.041776-0.086184i,-0.056688-0.16037i,-0.16291-0.19841i,-0.14997-0.13292i,-0.06565-0.054188i,-0.02473-0.024943i,-0.018938-0.00011929i,0.0021808+0.021144i,0.02193+0.015811i,0.023104-0.00013899i,0.013868-0.010162i,0.0033841-0.00687i,-0.00016222+0.0038065i,-0.00061766+0.0081001i,-0.0029254+0.004712i,-0.0030668-0.0017945i,-0.0025182-0.0063984i,-0.0018199-0.0016394i,0.0025904+0.0073999i,0.0075756+0.010915i,0.0087596+0.0075776i
-0.23401-0.017128i,-0.23845+0.013812i,-0.17138+0.058825i,-0.14873+0.10317i,-0.16507+0.14874i,-0.13699+0.16164i,-0.060437+0.10847i,-0.0068913+0.050817i,0.01525+0.026374i,0.022087+0.015938i,0.014501+0.012239i,0.0067292+0.009182i,0.0025649+0.0034795i,0.002205+0.00081552i,0.0055793-0.0011777i,0.0016046-0.0049847i,-0.0072053-0.005448i,-0.0097444+0.00036754i,-0.0062303+0.0059177i,-0.0025002+0.0078451i,-0.0010908+0.011883i,-0.00054405+0.019789i,0.00099717+0.021373i
-0.031687+0.07329i,0.067457+0.17583i,0.195+0.17792i,0.25492+0.045072i,0.22674-0.065657i,0.15146-0.063029i,0.077543-0.0221i,0.031418-0.01613i,0.00045892-0.015544i,-0.011534+0.0072546i,0.00021972+0.023385i,0.015008+0.019849i,0.017381+0.0095916i,0.005949-0.00034512i,-0.010503-0.0002687i,-0.018104+0.0048446i,-0.014329+0.0050923i,-0.0020373+0.003609i,0.0077015+0.00014668i,0.0036837-0.00036372i,-0.005389+0.0074746i,-0.0079161+0.017499i,-0.0019096+0.021074i
0.039293-0.22012i,0.11585-0.20762i,0.13832-0.14291i,0.052465-0.15059i,-0.085616-0.18458i,-0.14869-0.14271i,-0.10335-0.070361i,-0.05161-0.028389i,-0.036111-0.0018348i,-0.022865+0.018021i,-0.0088119+0.019164i,-0.0022445+0.015289i,0.0016498+0.016282i,0.00048884+0.019298i,-0.0013604+0.020754i,9.495e-05+0.013263i,0.0021551+0.00071313i,0.0017298-0.006849i,-0.00081425-0.0074671i,-0.0048679-0.0041771i,-0.012344-0.00029559i,-0.020355+0.004622i,-0.019977+0.009322i
-0.13551-0.083796i,-0.15335+0.033973i,-0.094477+0.14631i,-0.012881+0.17962i,0.025261+0.19921i,0.020197+0.20011i,0.0086592+0.14083i,0.00073279+0.075264i,-0.0091455+0.037887i,-0.023409+0.021478i,-0.028857+0.017062i,-0.023327+0.013916i,-0.015525+0.010347i,-0.006573+0.0075565i,-0.0015865+0.001153i,-0.0010576-0.0074106i,-0.00197-0.0097891i,-0.0028794-0.0021265i,-0.0016004+0.0055806i,-0.0028211+0.0015185i,-0.010726-0.0065502i,-0.020424-0.0050408i,-0.02292+0.0045603i
0.15871+0.12038i,0.22111+0.3158i,0.226+0.36847i,0.20917+0.20165i,0.17752-0.0055553i,0.12368-0.090911i,0.071928-0.073541i,0.039701-0.050933i,0.012418-0.043208i,-0.010192-0.021286i,-0.0077315+0.0017953i,0.0016939+0.0094852i,0.00033354+0.008226i,-0.010274-0.00026043i,-0.02316-0.0057235i,-0.023369-0.0027115i,-0.013808+0.00077707i,-0.0041882+0.0011959i,0.0031643-0.00097785i,0.0026139-0.0042526i,-0.0039285-0.0089648i,-0.010841-0.01413i,-0.015263-0.013476i
0.098185-0.11482i,0.058725-0.029435i,-0.00060514+0.058484i,-0.059877+0.067371i,-0.14759+0.048059i,-0.18167+0.040887i,-0.12027+0.018179i,-0.066004-0.017623i,-0.048636-0.034381i,-0.030958-0.036157i,-0.018733-0.028803i,-0.01776-0.012108i,-0.017991+0.000508i,-0.01289+0.0039046i,-0.0030233+0.00042723i,0.0045021-0.0034477i,0.0072671-0.0025989i,0.0047684-0.0010473i,0.00053145+0.00029514i,0.0015642-0.002622i,0.0033462-0.011472i,-0.0015978-0.020498i,-0.010803-0.019444i
-0.20651+0.12442i,-0.36207+0.29311i,-0.30743+0.33897i,-0.10737+0.25276i,0.0079953+0.17674i,0.034707+0.15267i,0.035869+0.11256i,0.022842+0.063361i,0.0093206+0.030517i,-0.010132+0.0087388i,-0.021151+0.0034806i,-0.013754-0.002923i,-0.0062595-0.013941i,0.00069025-0.016919i,0.0068586-0.017125i,0.0075346-0.013546i,0.0043486-0.008375i,0.00090006-0.0028182i,0.0015766+0.001495i,0.0041619-0.0012114i,0.007533-0.0082212i,0.010065-0.013498i,0.0073382-0.013565i
-0.02949+0.17588i,-0.13404+0.29732i,-0.18005+0.28969i,-0.14317+0.13428i,-0.096871-0.051876i,-0.079725-0.11404i,-0.039593-0.076547i,0.020982-0.057469i,0.043128-0.057724i,0.038145-0.034203i,0.032957-0.010729i,0.023289-0.004657i,0.013012-0.0041553i,0.0063497-0.0062549i,0.00222-0.0044243i,0.00038692+0.0018641i,-0.0011715+0.005081i,-0.0032392+0.0036989i,-0.0030898+0.00061458i,-0.00075541+0.00013685i,0.0053569+0.0011167i,0.011468-0.0033083i,0.0085268-0.010384i
-0.20572-0.24888i,-0.42567-0.28617i,-0.4337-0.17658i,-0.27647-0.046598i,-0.18626+0.0015194i,-0.14838+0.029878i,-0.073181+0.048847i,-0.026819+0.023301i,-0.01716+0.0001038i,-0.0049137-0.011934i,-0.0069591-0.018346i,-0.014405-0.004776i,-0.0059501+0.010484i,0.010474+0.016023i,0.022498+0.015232i,0.021127+0.0097883i,0.012471+0.0046625i,0.0042813+0.0027264i,-0.0024021+0.0033347i,-0.0021667+0.0033628i,0.0034527+0.0031393i,0.0089817+0.0045591i,0.0094135+0.0048428i
-0.33148-0.15606i,-0.50457-0.14375i,-0.3754-0.038433i,-0.080826+0.0079738i,0.055276-0.03511i,0.01866-0.036624i,-0.01269+0.0090042i,0.012692+0.041455i,0.027496+0.040961i,0.0071894+0.030066i,-0.0038239+0.025634i,0.010385+0.0085539i,0.020146-0.011739i,0.017267-0.0090777i,0.010667+0.005455i,0.0029157+0.012915i,-0.0027248+0.0093856i,-0.0039277+0.0025798i,-0.0022128-0.0026966i,-0.0016474-0.0053192i,-0.0025317-0.00054274i,0.00096656+0.0065801i,0.0078351+0.0053775i
0.081773-0.30715i,-0.003458-0.44252i,-0.10934-0.36538i,-0.11574-0.21844i,-0.029633-0.17656i,0.0041373-0.14759i,-0.0013964-0.069695i,0.016084-0.029553i,0.024655-0.023007i,0.026858-0.0096648i,0.027708-0.0085585i,0.010003-0.0091279i,-0.0075107+0.0062757i,-0.014517+0.017558i,-0.017894+0.019129i,-0.015923+0.015886i,-0.010522+0.0086967i,-0.0064907+0.0026113i,-0.0036793-0.0029819i,-0.0021831-0.0044628i,-0.00453+0.00044453i,-0.008217+0.0062151i,-0.0080096+0.0071389i
0.18871-0.5407i,0.058247-0.72147i,-0.0913-0.49595i,-0.083029-0.12891i,-0.018451+0.0038599i,-0.037901-0.021225i,-0.064024-0.0047057i,-0.051317+0.035604i,-0.032942+0.040232i,-0.023129+0.017212i,-0.024104+0.00074751i,-0.023274+0.0075302i,-0.013495+0.020969i,-0.0074204+0.027578i,-0.007486+0.024796i,-0.0073261+0.013828i,-0.0036438+0.0031683i,-0.00040891-0.00040971i,0.00061849+0.0012102i,0.0025035-0.00013851i,0.00094323-0.0066109i,-0.004177-0.0071221i,-0.0035673+0.0012328i
0.35822-0.13886i,0.41782-0.14793i,0.34656-0.032773i,0.27226+0.079459i,0.22816+0.11439i,0.12052+0.10324i,0.014956+0.087707i,-0.0037286+0.066337i,0.002104+0.03614i,-0.0062077+0.020518i,0.0046923+0.018804i,0.02444+0.0031593i,0.017638-0.014057i,-0.0058829-0.014785i,-0.021826-0.008991i,-0.02271-0.0029943i,-0.01485+0.0022389i,-0.0061875+0.0025046i,0.0023841-0.00015326i,0.0059199-0.0027351i,0.0019544-0.0054355i,-0.0040993-0.0087893i,-0.0064554-0.0094772i
0.61027+0.044562i,0.65133-0.14754i,0.31961-0.2751i,-0.0062582-0.22137i,-0.038036-0.1312i,0.06079-0.12935i,0.075577-0.12366i,0.032332-0.077503i,0.0089518-0.039289i,0.0099712-0.018159i,0.01086-0.0081261i,-0.0032848+0.0017926i,-0.018543+0.011297i,-0.024484+0.0059849i,-0.024642-0.0091574i,-0.018916-0.016405i,-0.0093465-0.011421i,-0.0025578-0.0022975i,-0.0015446+0.003813i,0.0010689+0.0047536i,0.0051628-0.00066017i,0.0033888-0.0068716i,-0.0027319-0.0047957i
0.39645+0.27365i,0.38289+0.23598i,0.14655+0.1875i,-0.058865+0.23564i,-0.13706+0.26602i,-0.1847+0.18999i,-0.19157+0.096007i,-0.13858+0.04943i,-0.08158+0.025704i,-0.051247+0.012522i,-0.03351+0.011613i,-0.015727+0.003798i,-0.0067705-0.0089644i,-0.0031991-0.01134i,0.0042527-0.010795i,0.0077308-0.010931i,0.0031011-0.0089256i,-0.0031212-0.005686i,-0.006849+0.00043476i,-0.0059432+0.0031989i,0.0023233-0.0014773i,0.010934-0.0097404i,0.0097402-0.013i
0.1264+0.59283i,0.21997+0.69603i,0.21898+0.52315i,0.15912+0.26565i,0.14126+0.12781i,0.14964+0.087645i,0.11138+0.071156i,0.058896+0.046981i,0.02748+0.016603i,0.0031155-0.0014018i,-0.0067569-0.0013204i,-0.0013257+0.0025699i,0.0017547-0.00038233i,-0.00046732-0.0088574i,0.0013614-0.01195i,0.0040762-0.0076079i,0.00032074-0.0012552i,-0.0043286+0.0025373i,-0.0067956+0.00097476i,-0.0060468-0.00080317i,0.0011508+0.00022791i,0.0083719-8.4602e-05i,0.0074586-0.0051054i
-0.19821+0.44205i,-0.21198+0.28772i,-0.24589-0.075502i,-0.3242-0.27293i,-0.35391-0.24052i,-0.25038-0.18445i,-0.098381-0.15344i,-0.0095261-0.11682i,0.014457-0.078528i,0.010191-0.043471i,0.00079603-0.012556i,0.0025406+0.010267i,0.013582+0.017042i,0.023279+0.012676i,0.026646+0.0080371i,0.022119+0.0039948i,0.014907-0.00091624i,0.0074116-0.0043205i,-4.0026e-06-0.0040304i,-0.0025071-0.0013468i,0.0014575+0.0023675i,0.0091723+0.0064023i,0.014589+0.0065551i
-0.4029+0.26619i,-0.4282+0.27523i,-0.26552+0.21617i,-0.079291+0.17738i,-0.0093931+0.19328i,-0.031337+0.21794i,-0.0797+0.17083i,-0.094867+0.09158i,-0.071436+0.037628i,-0.039263+0.0037072i,-0.018881-0.018346i,-0.012866-0.034754i,-0.015098-0.03479i,-0.0092905-0.013586i,0.0023691+0.0095284i,0.0073224+0.016858i,0.0047455+0.0079862i,-0.0018682-0.0057992i,-0.0071576-0.012769i,-0.0072952-0.0094891i,-0.003603-0.0014017i,0.00055087+0.0043077i,0.0039692+0.0044305i
-0.46167-0.088212i,-0.41736-0.091867i,-0.25531-0.056472i,-0.1139-0.099777i,-0.015782-0.25681i,0.030183-0.32231i,0.044965-0.19847i,0.063999-0.060021i,0.068328-0.015602i,0.041468-0.018975i,0.0069794-0.016896i,-0.0079601+0.011449i,-0.0051645+0.035947i,-0.0098802+0.037502i,-0.01888+0.03324i,-0.016388+0.026155i,-0.0089065+0.017465i,-0.0021325+0.013273i,0.0031349+0.0084313i,0.0019283+0.0029736i,-0.0031311+0.0039817i,-0.0039668+0.010407i,0.0018707+0.013487i
-0.32625-0.40211i,-0.26439-0.54914i,-0.12548-0.54943i,-0.073002-0.34944i,-0.13021-0.046231i,-0.17607+0.12953i,-0.12511+0.10631i,-0.044705+0.025371i,-0.0066112-0.010428i,0.013333-0.0019259i,0.028313+0.0096528i,0.025626+0.0065026i,0.013512+0.0034372i,0.0065225+0.0075974i,-0.0017154+0.010495i,-0.0089614+0.01168i,-0.00081514+0.0097422i,0.010172+0.0025176i,0.010185-0.00044251i,0.0057917+0.0027821i,0.001058+0.0039631i,-0.0026733+0.004991i,-0.0010199+0.011995i
0.14513-0.3097i,0.30274-0.23183i,0.37378-0.061435i,0.38622+0.014417i,0.41316-0.03818i,0.36158-0.087211i,0.17811-0.057614i,0.022818+0.0026952i,-0.019533+0.026126i,-0.019907+0.011296i,-0.017231-0.011627i,-0.020444-0.031686i,-0.030947-0.033426i,-0.040363-0.019526i,-0.043137-0.0068338i,-0.03383+0.0020224i,-0.019504+0.0060467i,-0.011974+0.0031069i,-0.010393-0.0029927i,-0.011214-0.0084062i,-0.013849-0.010468i,-0.018875-0.0073992i,-0.022266-0.00036984i
0.25539-0.3233i,0.23136-0.28442i,-0.011916-0.15145i,-0.26526-0.041681i,-0.36441-0.051203i,-0.33708-0.12299i,-0.21792-0.11162i,-0.072074-0.052124i,0.0010298-0.028041i,0.0064707-0.013481i,-0.00035531+0.0047359i,-0.00045579+0.023317i,0.0058818+0.027502i,0.002392+0.0085626i,-0.0062345-0.010219i,-0.010471-0.016735i,-0.013671-0.007532i,-0.011841+0.010772i,-0.0070516+0.018839i,-0.0048448+0.012452i,-0.0044883+0.0026923i,-0.0038093-0.0018584i,-0.0021449-0.001444i
0.27163+0.070673i,0.39179+0.14489i,0.44304+0.096846i,0.403+0.10691i,0.33281+0.28746i,0.2778+0.39849i,0.18093+0.27914i,0.05637+0.11929i,-0.00027141+0.051821i,0.0040607+0.0255i,0.016009+0.0032961i,0.013683-0.020265i,-0.00052074-0.030387i,0.0021141-0.030182i,0.0078222-0.033319i,0.00021121-0.025837i,-0.0033627-0.010981i,-0.0031467-0.0078287i,-0.0049708-0.0098378i,-0.0034836-0.007814i,0.0022602-0.008447i,0.0036306-0.012078i,-0.0028656-0.0058891i
0.21329+0.37094i,0.26462+0.59059i,0.25758+0.53988i,0.17907+0.21249i,0.07273-0.16826i,-0.01678-0.35614i,-0.063538-0.28089i,-0.046789-0.13547i,-0.023208-0.071209i,-0.032799-0.046853i,-0.027545-0.022864i,-0.0039523-0.014999i,0.0028377-0.016162i,-0.0020991-0.0088779i,0.0016067+0.0024459i,0.0066682+0.0041987i,0.00078868-0.0013069i,-0.0054411-0.00451i,-0.0072875-0.0078203i,-0.010209-0.010231i,-0.0090582-0.0090318i,-0.0055127-0.0081899i,-0.0090593-0.0098595i
-0.20801+0.045198i,-0.49314+0.05524i,-0.67053+0.0030729i,-0.66972+0.045301i,-0.54153+0.22212i,-0.35003+0.32384i,-0.1594+0.23491i,-0.04094+0.091557i,0.0055901+0.020532i,0.029875+0.0022454i,0.03428+0.00099142i,0.02431+0.013107i,0.024242+0.017033i,0.032648+0.0094871i,0.035455+0.0019018i,0.024321-0.0053895i,0.0078312-0.0082648i,-0.00035944-0.0015173i,0.00072118+0.0057612i,0.0053445+0.0065916i,0.010352+0.0061527i,0.017181+0.0034456i,0.018976-0.0032577i
-0.22003+0.007057i,-0.22213+0.08217i,0.10089+0.12061i,0.41597+0.039067i,0.45158-0.068149i,0.3406-0.094179i,0.1929-0.060747i,0.076091-0.011094i,0.042782+0.0056224i,0.026072-0.0064943i,0.008209-0.0032167i,0.0074855-0.0018761i,0.0049874-0.0045628i,0.0015002+0.004508i,-0.0010938+0.014686i,0.00082719+0.019189i,0.0094278+0.01178i,0.01031-0.0024147i,0.0019709-0.0085258i,-0.0074811-0.0056831i,-0.011599+0.00076228i,-0.0097525+0.0066639i,-0.0067201+0.010063i
-0.12448-0.14513i,-0.29233-0.14479i,-0.35182+0.045329i,-0.30527+0.14339i,-0.30491+0.002498i,-0.36429-0.11011i,-0.29862-0.072995i,-0.13805-0.035502i,-0.056534-0.03187i,-0.036519-0.0046268i,-0.012892+0.019108i,0.0052064+0.019459i,0.0074766+0.012246i,-0.0038848+0.015513i,-0.010098+0.024852i,-0.0056028+0.018554i,-0.0037845+0.0077951i,-0.0017912+0.0062252i,0.00063341+0.0052263i,-0.0039569+0.00095936i,-0.01203-0.0015092i,-0.013619-0.00024872i,-0.0097303-0.0045799i
0.11884-0.48154i,-0.089483-0.77124i,-0.32048-0.7567i,-0.31746-0.43882i,-0.076719-0.068256i,0.1441+0.10678i,0.16281+0.090831i,0.084031+0.065385i,0.068338+0.067365i,0.072685+0.031535i,0.025617+0.0024578i,-0.019799+0.018323i,-0.019051+0.038442i,-0.0086596+0.027212i,-0.018624+0.005175i,-0.026643+0.0049891i,-0.015948+0.012845i,-0.0049449+0.012473i,-0.0008255+0.0090221i,0.0024346+0.0015194i,0.0020222-0.0094936i,0.0013445-0.013104i,0.0091341-0.0079828i
0.52332-0.10159i,0.72545-0.16504i,0.73468-0.06994i,0.55127-0.0074098i,0.2513-0.1129i,-0.027916-0.20666i,-0.13214-0.15378i,-0.085626-0.078711i,-0.044804-0.061888i,-0.050379-0.038758i,-0.031957-0.013019i,-0.0010858-0.024198i,-0.0066894-0.030133i,-0.018514-0.0091329i,-0.010166+0.0040304i,0.00026956+0.0046642i,0.0055825+0.0052327i,0.0036112+0.00022683i,-0.0052598-0.0070318i,-0.010975-0.0091958i,-0.011651-0.0096067i,-0.010884-0.0073331i,-0.0081625+0.00075407i
0.27153+0.32488i,0.19375+0.27186i,-0.14542+0.26166i,-0.33066+0.34946i,-0.17657+0.37554i,0.0054237+0.26159i,0.04373+0.11919i,0.0035158+0.038426i,-0.031546+0.030989i,-0.013401+0.033602i,0.0046774+0.011518i,-0.0058699+0.0062273i,-0.011922+0.0071897i,-0.010553-0.0091112i,-0.0079254-0.021063i,-0.0126-0.020911i,-0.023241-0.007807i,-0.01948+0.0097756i,-0.0044709+0.016481i,0.010654+0.0092254i,0.020633-0.008038i,0.019298-0.02152i,0.01161-0.02146i
0.26653+0.37483i,0.42643+0.14278i,0.37056-0.31802i,0.1705-0.56677i,0.047086-0.44711i,0.053243-0.27678i,0.046048-0.17562i,0.041398-0.071204i,0.07796-0.01429i,0.071666-0.013476i,0.030068-0.010344i,0.0020329-0.0011058i,-0.0077607+0.0045901i,-0.0051484+0.001137i,-0.0076324-0.0010798i,-0.010496+0.0060238i,-0.0064103+0.0050297i,-0.0041871-0.0022628i,-0.0029468-0.0007337i,0.0017861+0.0072725i,0.011155+0.011521i,0.021091+0.011066i,0.024568+0.012904i
-0.11066+0.56229i,0.12074+0.68132i,0.33317+0.61806i,0.30866+0.43485i,0.063143+0.25073i,-0.11646+0.17697i,-0.09977+0.11589i,-0.049084-0.0047676i,-0.06798-0.065059i,-0.065269-0.032146i,-0.0083692-0.011591i,0.026304-0.04067i,0.0087948-0.056035i,0.00093571-0.024393i,0.025154+0.00098559i,0.030932-0.0079185i,0.011897-0.015802i,-0.0023135-0.0096974i,-0.011354+0.00022505i,-0.017161+0.01265i,-0.01152+0.026316i,0.0013931+0.033824i,0.0050102+0.030525i
-0.88016+0.2578i,-0.9714+0.37458i,-0.85637+0.34973i,-0.55563+0.27446i,-0.14368+0.17881i,0.11316+0.04476i,0.12549-0.0077352i,0.07327+0.04855i,0.050621+0.082946i,0.023773+0.066227i,-0.0064739+0.062739i,-0.0044978+0.078076i,0.023857+0.06077i,0.022112+0.019441i,-0.007795+0.0063134i,-0.02036+0.011566i,-0.016089+0.0090584i,-0.010824+0.0079624i,-0.0047318+0.01129i,-0.00070302+0.0094241i,-0.0020346+0.0046841i,-0.0042307+0.0038645i,-0.0036401+0.00022423i
-0.32845-0.44722i,-0.10211-0.50918i,0.23876-0.57954i,0.31935-0.59163i,0.098463-0.41472i,-0.085269-0.14399i,-0.072085-0.0046666i,0.025846-0.021349i,0.063197-0.06715i,0.028451-0.054017i,0.0072217-0.023593i,0.0023935-0.0275i,-0.0088002-0.017541i,-0.01007+0.012257i,-0.0080981+0.024394i,-0.001877+0.020149i,0.0078011+0.004324i,0.0024608-0.0093784i,-0.012691-0.0092205i,-0.026362-0.0016146i,-0.033896+0.011874i,-0.030666+0.02675i,-0.017421+0.034117i
-0.11046-0.44916i,-0.15218-0.19184i,-0.10785+0.2693i,0.042484+0.51857i,0.15972+0.36753i,0.15623+0.1194i,0.096283-0.016379i,-0.0017579-0.064137i,-0.079242-0.054638i,-0.07952-0.040289i,-0.048764-0.031988i,-0.020772-0.01394i,-0.0076025-0.002986i,-0.0045885+0.0021294i,0.0040523+0.0019382i,0.0079665-0.0040585i,0.0078634-0.0019374i,0.010711+0.00046735i,0.0071295-0.0076062i,-0.0068505-0.020954i,-0.02814-0.029128i,-0.044803-0.01929i,-0.041402+0.0012775i
