0.00016128+0.0031118i,0.0014531+0.003778i,0.00074263+0.0013923i,-0.00031272-0.00037474i,-0.001198+0.00018679i,-0.0017999+0.0023243i,-0.00096255+0.003444i,0.00011904+0.0027944i,0.001524+0.001412i,0.0014349+9.0396e-05i,-0.00015074+0.00020687i,-0.00021517+0.00025873i,0.00032516+7.9811e-05i,0.00059222+0.00011728i,0.00076977-0.00025939i,0.00042355-0.0005156i,-2.1728e-05-0.00022332i,-0.00030496-0.00018755i,9.3308e-05-0.00035154i,7.9479e-05+1.3497e-05i,-0.00030729+0.00064004i,-3.3576e-05+0.00037527i,0.00033681-0.00037999i
-0.0038083+0.0020379i,-0.0095049+0.0049235i,-0.015296+0.00036894i,-0.019835-0.011751i,-0.018833-0.017136i,-0.00993-0.0098791i,0.00078813-0.0050673i,0.0048535-0.0085888i,0.0044996-0.010661i,0.0036855-0.0078181i,0.0035899-0.0036031i,0.0051624-0.0015449i,0.0064773-0.0028091i,0.0056865-0.0041463i,0.0034547-0.0026575i,0.0017797+3.7913e-05i,0.00035416+0.00038506i,-0.0020364-0.0008817i,-0.0036076-0.0009983i,-0.0024646+0.00062426i,-0.0010214+0.0011867i,-0.0026997-0.00058544i,-0.0048246-0.0022751i
-0.0053691+0.0016344i,-0.0072499-0.0025596i,0.00079554-0.017084i,0.014518-0.035871i,0.018933-0.042239i,0.014972-0.036675i,0.01206-0.026511i,0.008175-0.015296i,0.003426-0.0083717i,0.00088534-0.0044165i,0.0017548-0.000211i,0.0055938+0.00032652i,0.0072512-0.0053507i,0.0044091-0.0082992i,0.0014661-0.0045876i,-0.00046323-0.00040771i,-0.0022353+0.00099953i,-0.0028167-0.0013856i,-0.0017793-0.0049185i,0.00012819-0.0062765i,0.0010201-0.0072081i,0.00084694-0.0077228i,0.00030126-0.0054859i
-0.0058658-0.0030237i,-0.0073958-0.0062889i,0.0048529-0.013001i,0.023364-0.016341i,0.027016-0.016203i,0.016069-0.013529i,0.008607-0.0069551i,0.0064038+0.00053049i,0.0035533+0.0032627i,0.0003449+0.00083828i,-0.0015054+0.00037106i,-0.0018995+0.0019767i,-0.00061176+0.0022502i,0.0011693+0.0025514i,0.0019663+0.0032439i,0.0019334+0.002894i,0.0028124+0.0014217i,0.0045944-0.0012197i,0.0042052-0.0040905i,0.0011897-0.0054558i,-0.00055284-0.0050647i,0.0013737-0.0036922i,0.0038476-0.0026876i
-0.0023385-0.0026993i,0.0020231+0.0011166i,0.01186+0.014878i,0.018146+0.033672i,0.013625+0.040948i,0.0067459+0.032781i,0.001548+0.019109i,-0.001203+0.010787i,-0.00094208+0.007753i,-0.00099474+0.0058937i,-0.0035686+0.0049912i,-0.0056994+0.0080448i,-0.0026345+0.013228i,0.0021235+0.014263i,0.0037807+0.010834i,0.0039089+0.0054623i,0.0055857+0.00077597i,0.0088027-0.00029927i,0.0090376-0.00078909i,0.0044378-0.00067571i,0.00070598-0.00045539i,0.0012576-0.00084917i,0.0021798-0.00071018i
-0.0021487+0.00023657i,0.002557+0.0098656i,0.004283+0.032129i,-0.00076894+0.051292i,-0.0033909+0.050683i,-0.0021882+0.036824i,-0.0056889+0.023241i,-0.0096405+0.013657i,-0.0063792+0.0092291i,-0.00058659+0.0063557i,0.00087326+0.0033642i,-0.00083481+0.0029796i,-0.00052728+0.0050228i,0.00094075+0.0059257i,0.00035769+0.0044778i,0.00060453+0.002714i,0.0030049+0.0030409i,0.0066363+0.003904i,0.0097036+0.0029009i,0.0096736+0.00090374i,0.0069525-0.00015125i,0.0029867+0.00074789i,0.0003894+0.0025074i
-0.0041681+0.0062416i,-0.013687+0.013098i,-0.027361+0.0156i,-0.037714+0.0066432i,-0.035972-0.0021092i,-0.023678-0.0020179i,-0.011933+0.00043753i,-0.0047337+0.00022259i,0.00071524-0.0018853i,0.0041661-0.0032893i,0.0045519-0.0050239i,0.0018753-0.0068877i,-0.0033574-0.0068768i,-0.0073597-0.0059387i,-0.0062611-0.0049173i,-0.0031592-0.0023403i,-0.0014225+0.0025228i,-0.0023246+0.0068384i,-0.0019372+0.0078466i,0.002053+0.0053854i,0.0045486+0.0026378i,0.0022683+0.002681i,-0.00089704+0.0047936i
-0.013031+0.0031779i,-0.029648+0.0012855i,-0.046815-0.01377i,-0.053093-0.033951i,-0.045112-0.037999i,-0.030202-0.026193i,-0.014142-0.016113i,-0.0055059-0.014086i,-0.0058781-0.01325i,-0.0068829-0.011626i,-0.0065381-0.010312i,-0.0068271-0.0098463i,-0.0099226-0.0098156i,-0.012238-0.0071153i,-0.0092788-0.0026677i,-0.0041176+0.00029113i,-0.0025682+0.0016384i,-0.0050433+0.0035024i,-0.0065468+0.0056842i,-0.0042156+0.0048701i,-0.0017048+0.0022743i,-0.0026337+0.00058076i,-0.0027644+0.0002286i
-0.010141-0.005489i,-0.013832-0.014233i,-0.0065498-0.026182i,0.0040768-0.03102i,0.0038378-0.02253i,0.00052948-0.012344i,0.00050259-0.0091269i,-0.0026221-0.004951i,-0.0075972+0.0023247i,-0.0082761+0.0069547i,-0.0058601+0.0055219i,-0.0029381+0.0019124i,-0.00074612-0.00069468i,0.0011577-0.00050066i,0.003623+0.0021334i,0.0041277+0.0028578i,0.002201+0.00010191i,-0.00093588-0.0027228i,-0.0047011-0.0010368i,-0.0074128+0.0038996i,-0.0067763+0.0053918i,-0.0052785+0.0014776i,-0.0046571-0.0020628i
-0.0029335-0.0089374i,0.01118-0.014521i,0.040209-0.014555i,0.063247-0.0065172i,0.061495-0.00027238i,0.042773-0.003711i,0.022723-0.0051649i,0.011684+0.00086325i,0.010097+0.0070803i,0.010911+0.0091885i,0.010583+0.0086607i,0.012409+0.0050476i,0.015936-5.4597e-05i,0.016881-0.0022411i,0.013038-0.0014385i,0.0091584-0.0011349i,0.0084325-0.0041936i,0.0069221-0.0088334i,0.0017946-0.010471i,-0.0040198-0.0080155i,-0.0056416-0.0033512i,-0.0036124-0.0014963i,-0.0019649-0.0025569i
0.0042455+0.0028407i,0.011968+0.010032i,0.025742+0.019946i,0.032396+0.01918i,0.022492+0.0052526i,0.0073768-0.0011234i,0.0018367+0.0020935i,0.0036888+3.311e-05i,0.0071747-0.0068633i,0.0088982-0.0091517i,0.010162-0.0064207i,0.010756-0.0030133i,0.010121-0.0020432i,0.0080266-0.0015111i,0.0036885+0.00013142i,0.00064868+0.0013681i,0.0032325+0.00045247i,0.0070749-0.0029127i,0.0072867-0.00983i,0.0042011-0.014478i,0.0014335-0.011986i,0.0013074-0.0070185i,0.0013957-0.0030235i
-0.0052842+0.010848i,-0.015123+0.028408i,-0.029022+0.048233i,-0.041705+0.052661i,-0.039976+0.041962i,-0.028141+0.033138i,-0.017434+0.026854i,-0.013109+0.014548i,-0.013591+0.0015417i,-0.013085-0.0064373i,-0.010905-0.0074257i,-0.0081687-0.0021702i,-0.007044+0.0050948i,-0.0071157+0.008851i,-0.0057706+0.0080822i,-0.0037838+0.0056924i,-0.0015193+0.0050314i,0.0012615+0.0055773i,0.004296+0.0029453i,0.0053864-0.0019635i,0.0025512-0.004574i,0.00023436-0.001653i,0.0023601+0.0021261i
-0.012998+0.0034191i,-0.029263+0.011287i,-0.045126+0.02167i,-0.044351+0.033424i,-0.028105+0.041449i,-0.010797+0.036424i,-0.0030961+0.022879i,-0.0042026+0.014735i,-0.0085014+0.013021i,-0.011322+0.009855i,-0.01108+0.0070418i,-0.011423+0.0070406i,-0.010416+0.0090236i,-0.0065368+0.0090259i,-0.0020341+0.0053431i,0.0012748+0.0016098i,0.0023863+0.0027228i,0.0035681+0.0073257i,0.0068475+0.0094476i,0.0082601+0.0079639i,0.0055157+0.0037324i,0.00067942+0.0011801i,-0.0020601+0.0015524i
-0.014737-0.0049691i,-0.021708-0.019869i,-0.019131-0.036795i,-0.0063978-0.040571i,0.0049376-0.028635i,0.0043654-0.024173i,-0.0026147-0.0262i,-0.0027375-0.016399i,0.0042592-0.0025135i,0.0088536+0.0036794i,0.0062349+0.0047711i,0.00091865+0.0033297i,-0.0030226-5.3919e-05i,-0.0032923-0.0016127i,-0.00044902-0.0022315i,0.0023996-0.0028968i,0.0034715-0.0024541i,0.0034933-0.00056342i,0.004689+0.0032864i,0.0063029+0.0050065i,0.004769+0.0032716i,-0.00021906+0.00065677i,-0.00352-0.00068529i
-0.0034995-0.0065271i,-0.00091759-0.020157i,0.0037676-0.040988i,-0.0046778-0.058821i,-0.024368-0.062317i,-0.032794-0.048792i,-0.021962-0.033336i,-0.0060243-0.024765i,0.0041847-0.018653i,0.0080723-0.012965i,0.0090684-0.008939i,0.0088286-0.0090787i,0.0059533-0.010496i,0.0033333-0.0081981i,0.00468-0.003888i,0.0070678-0.0024238i,0.0069139-0.0048174i,0.0016297-0.0075623i,-0.0067775-0.0055892i,-0.009973-0.00033219i,-0.0058201+0.0015048i,-0.0020356-0.0019019i,-0.0030735-0.0030152i
0.00046659+0.0023058i,0.0071628+0.011253i,0.013175+0.017925i,0.00050647+0.012415i,-0.02033+0.002606i,-0.020044-0.001428i,-0.0054459-0.0037631i,-0.00036137-0.0067346i,-0.0051766-0.0059288i,-0.0072079-0.0036294i,-0.0058147-0.0052681i,-0.0020445-0.0071732i,0.0026372-0.0066138i,0.0051083-0.0039065i,0.0049686+0.00020028i,0.0043143+0.0023482i,0.0042594+0.0026599i,0.0027926+0.0024093i,-0.0011146+0.00049195i,-0.0032243-0.0021797i,-0.00034034-0.0051496i,0.0041162-0.0070824i,0.0052059-0.0068821i
-0.0048949+0.0048296i,-1.2499e-05+0.018035i,0.018229+0.035622i,0.044414+0.039725i,0.057252+0.028601i,0.04765+0.023004i,0.028013+0.025651i,0.011768+0.026196i,0.0021389+0.020299i,-0.0029908+0.012363i,-0.0053066+0.0081442i,-0.0047084+0.0072306i,-0.00099661+0.0076056i,0.0007554+0.0070082i,-0.0012547+0.0076871i,-0.0030254+0.0097897i,-0.00116+0.0099764i,0.0029858+0.0082156i,0.0044255+0.0041391i,0.0013383-0.00067616i,-0.0014617-0.0018331i,0.00015454-0.00021516i,0.0022697-0.00034109i
-0.0088735-0.0011016i,-0.014614-0.00032685i,-0.0048232+0.00042916i,0.028859-0.0014456i,0.061791-0.0017883i,0.062102+0.0072905i,0.041478+0.020898i,0.024159+0.02344i,0.014113+0.012997i,0.0072521+0.0014478i,0.0035043-0.0020066i,0.0025058+0.0017102i,0.0012973+0.0050139i,-0.0012162+0.0058086i,-0.0034301+0.0059062i,-0.002287+0.0073948i,0.0023349+0.0077995i,0.005365+0.0042976i,0.0065549-0.00040413i,0.0061797-0.0017958i,0.0028248+0.0023627i,0.00029506+0.0079696i,0.00017885+0.0085558i
-0.0077965+0.0012513i,-0.02185+0.0037533i,-0.040213+0.0085198i,-0.050568+0.018802i,-0.043938+0.026296i,-0.031158+0.018639i,-0.021215+0.0035473i,-0.012107-0.0061388i,-0.0071354-0.0098391i,-0.005238-0.0090583i,-0.002056-0.0073469i,-0.0011637-0.0070908i,-0.0040442-0.0045197i,-0.0045912-0.0023122i,-0.0040366-0.0023226i,-0.0039016-0.0040139i,-0.0026811-0.0054913i,-0.00070892-0.0041335i,0.0020318-0.00080067i,0.0036854+0.0024574i,0.0021247+0.0037002i,-0.00040556+0.0044069i,-0.001537+0.0054025i
-0.0067788+0.0047234i,-0.016116+0.011132i,-0.032962+0.025136i,-0.063452+0.052526i,-0.093203+0.075964i,-0.091002+0.060452i,-0.067229+0.018301i,-0.045347-0.0060801i,-0.02319-0.0024292i,-0.0042093+0.0051703i,0.0032515+0.003643i,0.0019777-0.00032183i,-0.00095908-0.0030448i,-0.00041172-0.0048572i,0.0013045-0.0068683i,0.0013727-0.0096697i,-0.00043217-0.011164i,-0.0038638-0.0092612i,-0.0089551-0.0040862i,-0.01234-0.00044975i,-0.012093-0.00052493i,-0.01198-0.0020932i,-0.010599-0.0024261i
-0.011104-0.0021996i,-0.0087384-0.013499i,-0.0039335-0.027194i,-0.0066084-0.033814i,-0.020159-0.028676i,-0.029005-0.017895i,-0.025789-0.011875i,-0.016468-0.005409i,-0.0034524+0.00019811i,0.0048195-0.00052068i,0.0064204+0.00042854i,0.0074548+0.0018355i,0.0076898-0.00092194i,0.0070931-0.0033611i,0.0075921-0.0041936i,0.0070702-0.0024207i,0.0072917+0.0019538i,0.007892+0.0039515i,0.0065173+0.0017677i,0.0041146-0.001487i,-0.00011083-0.0049248i,-0.0047262-0.0068217i,-0.0063909-0.004923i
-0.0097901-0.010792i,-0.0073893-0.029879i,0.011795-0.068011i,0.021763-0.12087i,0.016302-0.14917i,0.011603-0.11832i,0.014777-0.056965i,0.015003-0.019795i,0.0053488-0.0085668i,-0.0047856-0.0045753i,-0.0066768-0.00045997i,-0.0019903+0.002307i,0.0021068+0.0032295i,0.0042222+0.0053923i,0.0062205+0.0081424i,0.007786+0.0096308i,0.0094711+0.0087833i,0.009616+0.0036772i,0.0077763-0.0034563i,0.0054307-0.0092468i,0.0024312-0.012578i,-0.00041103-0.011351i,-0.00091155-0.0069974i
0.0052921-0.0081194i,0.017156+0.0060215i,0.033139+0.020239i,0.043885+0.0096423i,0.045734-0.019071i,0.046354-0.030945i,0.043732-0.018215i,0.029611-0.003431i,0.0098238+0.0028736i,-0.0027071+0.0064099i,-0.0059735+0.0071837i,-0.0049131+0.0056763i,-0.0021106+0.0068691i,-0.00047888+0.01052i,0.0014308+0.012966i,0.0051382+0.012784i,0.007237+0.0082347i,0.0057549+0.0010456i,0.0035627-0.0055986i,0.0023313-0.0083392i,0.0030381-0.0054274i,0.0049802-0.0031889i,0.0053904-0.0030776i
0.0061085+0.018026i,0.01414+0.055188i,0.030096+0.1129i,0.067421+0.15428i,0.095682+0.14784i,0.088757+0.10174i,0.061474+0.045988i,0.034856+0.0099376i,0.019354-0.00089233i,0.011654-0.0018336i,0.002877-0.0026914i,-0.0058864-0.0031503i,-0.0084903-0.001896i,-0.0082048+0.0016773i,-0.0078424+0.0041063i,-0.0082587+0.0016113i,-0.0089273+3.0436e-05i,-0.0049074+0.0059664i,0.0040725+0.014846i,0.012967+0.018259i,0.016931+0.012764i,0.015079+0.0044918i,0.0091383+0.00073586i
-0.02097+0.016873i,-0.050887+0.027843i,-0.075366+0.036625i,-0.059928+0.056331i,-0.011327+0.07789i,0.0070969+0.068463i,-0.010461+0.031628i,-0.020782+0.0032763i,-0.011872-0.005262i,-0.0034539-0.0068225i,-0.0064227-0.0052373i,-0.0086308-0.00099274i,-0.0070186+0.0012676i,-0.0073733+4.5507e-05i,-0.007802-0.0023632i,-0.0077049-0.0039637i,-0.005075-0.0036476i,-0.001113-0.0019911i,-0.00087907+0.0013494i,-0.0018848+0.0048468i,-0.00080172+0.0049422i,-0.0013489+0.0014044i,-0.0036612-0.0011313i
-0.041271-0.017721i,-0.090395-0.052916i,-0.13573-0.099424i,-0.17591-0.10752i,-0.19387-0.062922i,-0.15877-0.0086197i,-0.10198+0.024332i,-0.056179+0.029976i,-0.027292+0.022334i,-0.012273+0.012314i,-0.00093371+0.0035571i,0.0066761-0.0014095i,0.0074106-0.0046601i,0.0039961-0.0063555i,0.00070462-0.0058699i,0.0025834-0.0027633i,0.0072747-0.00052835i,0.0064213-0.0022838i,-0.00061889-0.0032452i,-0.0064169-0.00072308i,-0.0080447+0.005049i,-0.0050374+0.010052i,-0.0018619+0.0092866i
0.00049137-0.033385i,0.022105-0.075912i,0.036469-0.10224i,-0.0019118-0.094004i,-0.071607-0.060002i,-0.087003-0.016219i,-0.042759+0.010068i,-0.0050255+0.016144i,0.0030344+0.012673i,0.0022543+0.0040569i,0.0058382-0.0081766i,0.0071485-0.015651i,0.0040961-0.014455i,0.0034356-0.01082i,0.0057268-0.0072541i,0.008011-0.0040777i,0.007378-0.0031636i,-0.00078575-0.0028942i,-0.012224-0.0017773i,-0.016664+1.5205e-05i,-0.014122+0.0012769i,-0.0083842+0.0022776i,-0.0015496+0.0018335i
0.044553-0.0043796i,0.1245+0.012682i,0.20548+0.029009i,0.23634+0.0027937i,0.20409-0.045544i,0.12752-0.05852i,0.063933-0.04462i,0.03336-0.033478i,0.013573-0.02805i,0.0013957-0.022143i,-0.0024716-0.014503i,-0.0046696-0.0070347i,-0.0044931-0.0011926i,-0.00041518+0.0025393i,0.0043726+0.0043274i,0.0058859+0.0059002i,0.0066438+0.0083136i,0.0093318+0.0051379i,0.0094479-0.007035i,0.0030219-0.016932i,-0.0068261-0.016617i,-0.012764-0.01217i,-0.0094512-0.0084563i
0.0086434+0.048593i,0.012722+0.12189i,0.031623+0.16282i,0.07453+0.10407i,0.10997-0.003047i,0.094377-0.073587i,0.045782-0.076295i,0.0093085-0.047955i,-0.0023346-0.025377i,-0.001091-0.0096372i,0.0014731+0.0049548i,0.0045023+0.015367i,0.0062462+0.01494i,0.0064663+0.010228i,0.0047021+0.0073809i,2.2936e-05+0.0047979i,-0.00017387+0.0030477i,0.0083152+0.0017209i,0.018361+0.0010816i,0.020603+0.00061525i,0.016277-0.00021131i,0.0087136+0.00015899i,0.0010419+0.0040689i
-0.068562+0.038109i,-0.17582+0.077539i,-0.26208+0.11574i,-0.24766+0.14883i,-0.175+0.14261i,-0.099853+0.087931i,-0.052041+0.032586i,-0.026224+0.013625i,-0.00048822+0.016209i,0.015162+0.017604i,0.016687+0.017307i,0.015513+0.013588i,0.01335+0.0064491i,0.0088523+0.0040887i,0.0056443+0.0044847i,0.0031577+0.0019778i,0.00053239-0.003946i,-0.0018363-0.00791i,-0.00097299-0.0081955i,0.0040444-0.010658i,0.00731-0.013133i,0.006575-0.01213i,0.004471-0.0073217i
-0.061146-0.049915i,-0.12038-0.11837i,-0.1746-0.14507i,-0.17454-0.050237i,-0.10845+0.082404i,-0.039083+0.13068i,-0.010377+0.096319i,-0.0020403+0.050667i,0.0089446+0.027917i,0.015577+0.016079i,0.011166+0.0048612i,0.0032375-0.0021455i,-0.0020217-0.0026666i,-0.0026253-0.0012308i,0.00011731+0.00069984i,0.0033991+0.0029636i,0.0036975+0.0069908i,0.0041317+0.012883i,0.0080299+0.014972i,0.0089127+0.011267i,0.0044093+0.0044473i,0.00010911-0.0013201i,-0.0025302-0.0026874i
0.034582-0.08926i,0.11771-0.19236i,0.19129-0.28246i,0.16097-0.29335i,0.084749-0.20859i,0.055368-0.09293i,0.050824-0.020873i,0.029779-0.00018576i,-0.0030443+0.0016506i,-0.023576-0.0012732i,-0.026287-0.0056233i,-0.020936-0.0059892i,-0.015189-0.0027423i,-0.012117-0.00083605i,-0.0093425+0.00053617i,-0.0022164-5.0726e-05i,0.0042521-0.0020013i,0.0022851+0.0015768i,-0.0065921+0.011449i,-0.011181+0.017807i,-0.0070648+0.015629i,-0.0033023+0.010828i,-0.0051203+0.0070868i
0.083294+0.01446i,0.18438+0.043089i,0.26532+0.04292i,0.21535-0.037599i,0.064599-0.11466i,-0.025645-0.099777i,-0.017441-0.05465i,-0.0030177-0.032448i,-0.019762-0.016203i,-0.032713-0.0017428i,-0.027786+0.0047358i,-0.017982+0.0075992i,-0.010563+0.0073429i,-0.0070559+0.0070227i,-0.004665+0.0092771i,0.00010124+0.012191i,0.0047187+0.0095567i,0.006036-0.00025463i,0.0031754-0.0099678i,0.00017565-0.012622i,-0.000135-0.010352i,-0.00012113-0.0098601i,-0.00040155-0.0089258i
0.00090034+0.12951i,-0.014933+0.29539i,-0.030934+0.42413i,-0.0021361+0.38953i,0.017385+0.2357i,-0.016976+0.10685i,-0.033928+0.045274i,-0.01689+0.014837i,0.0027877-0.0045055i,0.014127-0.009861i,0.015839-0.0036589i,0.013283+0.00093284i,0.010802-0.0017767i,0.0078947-0.0059698i,0.0036921-0.0074779i,-0.00087948-0.0054277i,-0.003601-0.00031848i,-0.0029115+0.0051931i,0.0010374+0.010635i,0.0043923+0.01226i,0.0037599+0.0083145i,0.0020004+0.0022961i,0.0014111-0.0030875i
-0.10584+0.041823i,-0.235+0.098833i,-0.31042+0.14902i,-0.21162+0.17352i,-0.033318+0.14829i,0.032295+0.06906i,0.0043756+0.019242i,-0.0017969+0.011178i,0.019851-0.0056728i,0.028124-0.023807i,0.020078-0.02382i,0.0099405-0.015632i,0.0047245-0.0097756i,0.0034891-0.007923i,0.00068939-0.0087255i,-0.0012831-0.008892i,0.0012108-0.009107i,0.00087295-0.013651i,-0.0049951-0.020224i,-0.0061567-0.019334i,0.0001597-0.012868i,0.0047078-0.0089211i,0.0051801-0.0071269i
-0.10519-0.13556i,-0.2086-0.30828i,-0.25839-0.42061i,-0.22639-0.35431i,-0.14488-0.20541i,-0.054924-0.10426i,-0.025301-0.050145i,-0.026301-0.013057i,-0.012976+0.010375i,-0.0028099+0.015327i,-0.0040131+0.0085413i,-0.0069164+0.0020537i,-0.0046692+0.0019721i,0.0026761+0.0031784i,0.0078674+0.0023325i,0.0078785+0.0022158i,0.0058412+0.0053018i,0.0083376+0.0073825i,0.011774+0.0064583i,0.0084794+0.0057955i,0.0009072+0.0052177i,-2.6419e-05+0.0053321i,0.0057623+0.0063058i
0.057471-0.10148i,0.14115-0.23806i,0.17216-0.33992i,0.068067-0.29727i,-0.055597-0.15937i,-0.056975-0.041017i,-0.0070785-0.00050262i,-0.000966+0.0099705i,-0.0096672+0.026585i,-0.0063643+0.027979i,-0.0028357+0.014047i,-0.00076881+0.0010989i,-0.0010805-0.0028579i,-3.2927e-05-0.00048134i,0.0060551-0.0025289i,0.011468-0.0074022i,0.010333-0.0074424i,0.0012508-0.0010011i,-0.011473+0.0061804i,-0.022276+0.0094008i,-0.02151+0.011987i,-0.010558+0.01483i,-0.0044987+0.014648i
0.16049+0.08876i,0.35695+0.20639i,0.47914+0.26582i,0.40802+0.20134i,0.23456+0.13031i,0.10476+0.0973i,0.063914+0.042973i,0.041229-0.0069527i,0.0043652-0.019518i,-0.016118-0.015623i,-0.014593-0.011757i,-0.0077311-0.0088876i,-0.0076291-0.0055713i,-0.0096756+0.0043084i,-0.0057792+0.016041i,-0.0002702+0.021611i,0.0042304+0.022453i,0.012104+0.01385i,0.021564-0.004722i,0.024577-0.01857i,0.014305-0.019034i,-0.0013061-0.011381i,-0.0079969-0.0037298i
-0.003959+0.11925i,0.0035536+0.29417i,0.061572+0.41372i,0.14785+0.31308i,0.16436+0.11177i,0.094784+0.011766i,0.031078+0.0012744i,0.008873-0.011438i,-0.0050716-0.024337i,-0.011786-0.016031i,-0.0049749-0.00078372i,0.0055843+0.0061216i,0.012367+0.002978i,0.011747+0.0025345i,0.011101+0.0080897i,0.013022+0.0083419i,0.010548+0.0044387i,0.0058089+0.0065162i,0.0026052+0.014498i,-0.0010287+0.014447i,-0.0051365+0.0028515i,-0.011249-0.0048281i,-0.015479-0.0042569i
-0.2308-0.0035671i,-0.47997-0.0013122i,-0.61687+0.042181i,-0.50208+0.074684i,-0.30565+0.0045844i,-0.18323-0.065763i,-0.10323-0.033759i,-0.029913+0.0088309i,0.019884+0.0074201i,0.039555-0.0017943i,0.037731-0.0033723i,0.027321-0.0027395i,0.01977-0.0053946i,0.0097426-0.010282i,-0.00074389-0.010894i,-0.0044676-0.012273i,-0.00454-0.020425i,-0.0080959-0.026819i,-0.012788-0.028478i,-0.0083862-0.027155i,-0.0013933-0.0221i,-0.00055333-0.018721i,-0.0019205-0.01701i
-0.092-0.096873i,-0.21288-0.21327i,-0.3385-0.27105i,-0.35092-0.14381i,-0.23706+0.042316i,-0.12697+0.084038i,-0.076536+0.038533i,-0.041429+0.020874i,-0.0017611+0.01488i,0.014522-6.1001e-05i,0.0039905-0.0069232i,-0.0079347-0.00030177i,-0.011305+0.008443i,-0.011807+0.010116i,-0.017143+0.011301i,-0.022815+0.017897i,-0.02028+0.022224i,-0.0082494+0.022171i,0.0093835+0.02066i,0.018959+0.016015i,0.01578+0.0062127i,0.011562-0.003749i,0.010384-0.0072945i
0.20602-0.10044i,0.40932-0.22238i,0.4997-0.33398i,0.39561-0.32066i,0.27857-0.1637i,0.22745-0.026039i,0.12953+0.0038292i,0.019422+0.012011i,-0.027439+0.032679i,-0.035719+0.038377i,-0.029628+0.03229i,-0.017083+0.023053i,-0.0080504+0.015713i,-0.00060906+0.010261i,0.0077383+0.0034568i,0.01957-0.00059917i,0.030703+0.0007601i,0.024301-0.0011218i,-0.0016898-0.0053183i,-0.019532-0.0045486i,-0.012309-0.0020373i,0.00094271-0.0011649i,0.0043407-2.4356e-06i
0.11569+0.01065i,0.26786+0.0093332i,0.38348-0.028532i,0.31017-0.11778i,0.1224-0.1857i,0.031643-0.15819i,0.042273-0.093688i,0.035767-0.046198i,0.0034672-0.0094301i,-0.010105+0.0096688i,-0.0057359+0.0062407i,-0.0017237-0.0046978i,-0.0025741-0.010997i,-0.0041697-0.010988i,-0.0041449-0.010169i,-0.0033588-0.0087334i,0.0032838-0.0052i,0.018997-0.0063823i,0.035236-0.014945i,0.040757-0.015904i,0.03561-0.0058001i,0.027288+0.00049544i,0.016547+0.00125i
-0.17187+0.18179i,-0.2853+0.37312i,-0.26715+0.49232i,-0.15506+0.43408i,-0.14232+0.2915i,-0.18542+0.18756i,-0.1218+0.095572i,-0.033271-0.001668i,-0.0086758-0.050244i,-0.0069347-0.051769i,-0.0078885-0.038393i,-0.0089354-0.02011i,-0.0042223-0.0063533i,0.0048154+0.0028052i,0.012199+0.0073766i,0.0083804+0.0058655i,-0.0062996+0.007236i,-0.016999+0.021032i,-0.014448+0.040898i,-0.0064787+0.04464i,-0.0038605+0.031259i,-0.0054424+0.019883i,-0.0050769+0.014567i
-0.10877+0.074582i,-0.20703+0.19364i,-0.22794+0.2951i,-0.10306+0.27717i,0.051189+0.18106i,0.094546+0.11009i,0.055487+0.07763i,0.020159+0.039009i,0.008526+0.0014223i,0.010121-0.011442i,0.012605-0.0052575i,0.013895+0.0056644i,0.015849+0.010307i,0.015752+0.006725i,0.015161+0.0030187i,0.016497+0.0018754i,0.016333-0.0016333i,0.0097024-0.010789i,-0.0013203-0.023306i,-0.009756-0.025154i,-0.013494-0.0089598i,-0.013609+0.0071393i,-0.010935+0.0096351i
0.08504-0.21685i,0.1133-0.40332i,0.044853-0.45141i,-0.055325-0.34236i,-0.058578-0.26601i,-0.012215-0.24443i,-0.0039499-0.1586i,0.0060888-0.043178i,0.031184+0.0088545i,0.040285+0.012335i,0.031817+0.0034046i,0.013399-0.0059049i,-0.0039969-0.0062056i,-0.01771+0.0017404i,-0.027332+0.012583i,-0.028851+0.018952i,-0.024344+0.017726i,-0.015338+0.016852i,-0.0066932+0.021299i,-0.0061783+0.024226i,-0.012489+0.018917i,-0.014168+0.010573i,-0.0092179+0.007791i
0.0038514-0.11001i,-0.027485-0.23534i,-0.10275-0.2965i,-0.1603-0.18221i,-0.14945-0.0043124i,-0.11926+0.060279i,-0.097352+0.042275i,-0.056627+0.031618i,-0.016685+0.024791i,-0.0081923+0.01685i,-0.016766+0.01038i,-0.022383+0.00365i,-0.022731+0.0026082i,-0.017917+0.0055613i,-0.0073571+0.0070299i,0.0088817+0.0069081i,0.023873+0.0011891i,0.015953-0.011258i,-0.019004-0.0217i,-0.044903-0.0258i,-0.041813-0.027155i,-0.028897-0.027138i,-0.020844-0.022286i
-0.054391+0.22425i,-0.069184+0.39304i,-0.0087591+0.38227i,0.086952+0.20923i,0.13482+0.10899i,0.14697+0.12007i,0.12698+0.1095i,0.064732+0.064327i,0.0086836+0.0381i,-0.017417+0.028992i,-0.017266+0.022648i,-0.0028005+0.0081398i,0.0041253-0.0086367i,0.0048901-0.020863i,0.0012141-0.032175i,-0.0088111-0.035781i,-0.0087491-0.026893i,0.012761-0.017356i,0.044261-0.02293i,0.058269-0.033573i,0.04311-0.033761i,0.019209-0.026072i,0.0055157-0.018517i
