-0.0017477+0.0015312i,-0.00015554+0.00056214i,-0.00020457-0.00058604i,0.00016326-0.0010037i,-0.00054933+0.00018084i,-0.0020438+0.0011172i,-0.0022711+0.0020364i,-0.00098473+0.0025008i,0.00026145+0.0015291i,0.00073742+0.00065518i,0.0018207-7.7922e-05i,0.002093-0.00023158i,0.00087746-8.3879e-05i,0.00015581+6.6835e-05i,-0.00056737+4.8695e-05i,-0.00050968-0.00027492i,0.00014817-0.00035347i,9.2829e-05-0.00041878i,0.00034597+0.00013752i,0.00088472+0.00059053i,0.0007514+0.0006914i,9.8853e-05+0.00040664i,0.00017704+0.0002477i
-0.00015987+0.0019879i,-0.00032909+0.0061804i,-0.0090013+0.0062913i,-0.020054+0.0037255i,-0.01752-0.0022255i,-0.0080001-0.0070659i,0.0008254-0.0047273i,0.012543+0.00010097i,0.017565+0.0031771i,0.011024+0.0041154i,0.0017154+0.004289i,-0.0038226+0.0033414i,-0.0034607+0.0021772i,-0.0020106+0.00084178i,-0.0040925-0.0019932i,-0.0064844-0.0041672i,-0.0050248-0.0036419i,-0.00058756-0.0029262i,0.0024621-0.002884i,0.0013477-0.0027302i,-0.0022935-0.0019111i,-0.0040441-8.2983e-05i,-0.0027191-0.00012646i
-0.0027819-0.001229i,0.00078801-0.003132i,0.0059328-0.007448i,0.0091311-0.0046858i,0.0072191+0.0082163i,0.0010606+0.012487i,-0.0021359+0.0093772i,-0.0012869+0.0075215i,0.0024426+0.0039033i,0.0086821-0.0027226i,0.013626-0.0090761i,0.012558-0.010913i,0.0073499-0.0068685i,0.0037228-0.0011079i,0.0045689+0.0014363i,0.0059388-0.00067008i,0.0032689-0.0031264i,-0.0029374-0.0014881i,-0.0057917+0.0014119i,-0.0045067+0.0011742i,-0.0029336-0.0012372i,-0.0017621-0.0029853i,-0.0022353-0.0024307i
0.0027799+0.0031393i,-0.00084905+0.0077274i,-0.006109+0.0085316i,-0.010971+0.0031714i,-0.0052144+0.0020214i,0.00747+0.007365i,0.015982+0.012565i,0.021036+0.013985i,0.02029+0.012098i,0.015207+0.0083809i,0.011403+0.0051311i,0.0085919+0.004009i,0.0057313+0.0030239i,0.0034781+0.0004879i,0.00066385-0.0021539i,-0.00296-0.0035596i,-0.0051218-0.0031909i,-0.0039633-0.0011492i,-0.0021258+0.00037973i,-0.0010684+0.0014274i,0.00010516+0.0045351i,0.0018245+0.0067615i,0.0028122+0.0054303i
0.00097124+1.6319e-05i,-0.00010006-0.00090447i,0.0031824-0.0032055i,0.0065723-0.004265i,0.0019081+0.0020514i,-0.004192+0.0078378i,-0.0070893+0.0086726i,-0.0088644+0.006366i,-0.006232+0.003845i,-0.0017331+0.0018949i,-0.0020631+0.00018531i,-0.0076951-8.7848e-05i,-0.0092272+0.0017284i,-0.0041874+0.0036911i,0.00016785+0.0049697i,0.002828+0.0063993i,0.0048942+0.0060076i,0.0043842+0.0026546i,0.0012412-9.8204e-05i,-0.0018138-0.00022512i,-0.0018023-0.00080041i,-0.00036597-0.0014214i,-0.00047902-0.00090404i
-0.0028198-0.00037574i,-0.0065232+0.0015281i,-0.0099092+0.0024954i,-0.011011-0.00209i,-0.0098406-0.0075014i,-0.0021267-0.007102i,0.0041588-0.0012524i,0.0039544+0.0076121i,0.00096628+0.013068i,-0.0013272+0.011565i,-0.0015449+0.0062439i,-0.0012539+0.00037518i,-0.001478-0.0027768i,-0.00091332-0.0034176i,-0.00057753-0.0048114i,-0.001276-0.0054832i,-0.0013833-0.0040617i,-0.00019098-0.0026461i,0.0020406-0.0011674i,0.0038896-0.00031955i,0.0032533-0.0018339i,0.00024918-0.0029918i,-0.00081664-0.0030626i
0.000389-0.002738i,-0.0014397-0.0065936i,-0.00011696-0.0054272i,0.0018258+0.0010178i,-0.0046222+0.0060084i,-0.011177+0.0088117i,-0.01463+0.0085898i,-0.016966+0.0047235i,-0.014966+0.002844i,-0.0074435+0.0051939i,0.0022289+0.0070286i,0.0072151+0.0062878i,0.0052566+0.0039193i,0.00078715+0.0026086i,1.8375e-05+0.0035481i,0.0036145+0.0048748i,0.0040023+0.0030848i,-0.00012226+0.00062848i,-0.0035201+0.00034587i,-0.0029814-0.00035218i,-0.00094685-0.0006357i,-0.00069848-0.00015751i,-0.0016262+0.00019239i
0.0029746+0.001792i,-0.00040702+0.00024037i,-0.0067485-0.00037367i,-0.0099317-0.0015134i,-0.008813-0.0041982i,-0.0080206-0.00014046i,-0.0069939+0.0068208i,-0.0050548+0.0082975i,-0.0052874+0.0069227i,-0.0065934+0.008229i,-0.0065222+0.010611i,-0.0042991+0.010565i,-0.000609+0.0083586i,0.0021201+0.0052345i,0.0016397+0.0012306i,-0.00068449-0.0024995i,-0.00065173-0.002849i,0.00093814-0.0011629i,0.001248-0.00041952i,6.3578e-05+0.00032861i,-0.0015727+0.0021397i,-0.0013296+0.0038881i,9.2887e-05+0.0032355i
0.00055283-0.0036783i,0.0011185-0.0035622i,0.0012565-0.0020616i,0.0017866+0.0035692i,-0.00067318+0.0078138i,-0.0056098+0.0080494i,-0.0090888+0.0038186i,-0.0092264-0.003657i,-0.0074704-0.0065228i,-0.0071997-0.0037516i,-0.0077702-0.001992i,-0.0091692-0.0037931i,-0.009327-0.00523i,-0.0071324-0.0032304i,-0.0057457-7.8856e-05i,-0.0043351+0.0024942i,-0.0027148+0.003002i,-0.0011226+0.0010254i,-0.00049068-0.0013234i,-0.0012384-0.0031636i,-0.001383-0.0041586i,-0.0017887-0.0041135i,-0.0018179-0.002221i
-0.0045462+0.0027587i,-0.0036951+0.0012974i,-0.0041145-0.00032447i,-0.0029638-0.0041101i,0.0032283-0.0079051i,0.0076056-0.0053001i,0.0079581-0.00018856i,0.005494+0.00059343i,0.00087953-0.0014743i,-0.0026788-0.0019535i,-0.0016884-0.0023788i,0.0015709-0.0031262i,0.0038895-0.0029045i,0.0051798-0.0034288i,0.0051115-0.0039056i,0.0027823-0.0042823i,0.00054642-0.0040968i,0.0011233-0.0021045i,0.0015272+0.00035524i,0.0022131+0.00226i,0.0036183+0.0020321i,0.0030108-0.00027423i,0.0015472-0.0018663i
0.00071428+0.0040422i,0.0026927+0.0029585i,0.0050842+0.0032007i,0.002247+0.0040034i,-0.0026339+0.0045399i,-0.0059586+0.0034599i,-0.0063491-0.00052098i,-0.0033447-0.007192i,-0.0011129-0.010441i,-0.0015562-0.0081863i,-0.002753-0.0031733i,-0.0035889+0.0018271i,-0.0044619+0.0031649i,-0.0040933+0.0010968i,-0.0029587+0.0010103i,-0.0012488+0.0033335i,0.00027217+0.003527i,-0.00029865+0.001828i,-0.0014991+8.2753e-05i,-0.0016738-0.00037131i,-0.0021373+0.0004537i,-0.0021745+0.00083574i,-0.001705+0.00031603i
0.0010616-0.0019903i,-0.00039362-0.00077363i,-0.0040247-0.0022854i,-0.0040607-0.0059847i,0.00064536-0.0061821i,0.0035302-0.0034498i,0.0041595-0.00041349i,0.0044539+0.00068435i,0.0032995-0.00105i,-0.0017815-0.0034347i,-0.0064708-0.0040029i,-0.0067763-0.0035736i,-0.0037061-0.0022435i,-0.00024132-4.5003e-05i,-0.00048913-0.00022362i,-0.0011507-0.0021732i,0.00033176-0.0019563i,0.0018068-0.00052837i,0.0027806-3.1016e-05i,0.0025499-0.00067715i,0.0015508-0.0011132i,0.0014596-0.001162i,0.0011468-0.00086733i
-0.0014965-0.0039332i,-0.003131-0.0020356i,-0.003283-0.0011224i,-0.0046289+0.0031488i,-0.008124+0.0062334i,-0.0093542+0.0041559i,-0.0066642+0.0021563i,-0.0016178-0.00048756i,0.00057558-0.0033466i,-0.00020791-0.0048766i,-2.9487e-06-0.0062509i,0.001085-0.008239i,0.00052464-0.0087764i,-0.0010407-0.0066307i,-0.0021318-0.0042325i,-0.0033125-0.0030261i,-0.0030843-0.0022831i,-0.0018505-0.0021476i,-0.00042249-0.0019486i,0.0010957-0.0018696i,0.0015116-0.0031408i,0.0008192-0.0040547i,0.00015926-0.0030507i
0.00010335+0.0003966i,-0.00058073-0.00016019i,-0.0007908-0.00084095i,-6.4933e-05-0.001934i,0.0026262-0.00048117i,0.0038096+0.0044852i,0.0024637+0.010276i,0.0022479+0.011114i,0.0019046+0.0059552i,0.00045464+0.00043986i,0.00068481-0.00058466i,0.0036163+0.002276i,0.0060656+0.0041868i,0.0057947+0.003628i,0.0035472+0.0019545i,0.0017879-2.1395e-06i,0.0016923-0.00042657i,0.0015306+0.00082827i,-0.00022384+0.0018272i,-0.0022262+0.0030691i,-0.0019021+0.0044159i,-7.6979e-06+0.0038652i,0.0014256+0.0027094i
0.00013299+0.0016437i,-0.0013531+0.0015289i,-0.0027365+0.0015125i,-0.004062+0.0030897i,-0.0063516+0.0049161i,-0.0068259+0.0047189i,-0.003632+0.0044434i,0.0015946+0.0027105i,0.0040678-0.0009516i,0.0030507-0.0033772i,0.0008179-0.0026784i,-0.0021771-0.00072955i,-0.0045556-0.00039417i,-0.0036127-0.0008533i,-0.0017573+0.00023099i,-0.0015719+0.0013307i,-0.0014876+0.00072498i,-0.0023369+2.8607e-05i,-0.0032948-0.00016316i,-0.0027473-0.0018552i,-0.0029859-0.003048i,-0.0037752-0.0018537i,-0.0029029-0.00010117i
-0.0024067-0.004214i,-0.0042031-0.0042518i,-0.0053095-0.004017i,-0.0035002-0.0027112i,0.0012377+0.00045954i,0.0055881+0.0036373i,0.0052394+0.0049803i,0.0039393+0.0044194i,0.0031719+0.0013505i,0.0024713-0.0018337i,0.0017664-0.0032464i,0.0010512-0.0034045i,0.0012709-0.0019361i,0.0024631-0.00096439i,0.0028527-0.0019225i,0.0026974-0.0025909i,0.0024516-0.0012771i,0.0030092+0.00012273i,0.0028334+0.0017717i,0.0028721+0.002744i,0.0038605+0.002597i,0.0045051+0.0015442i,0.0039975+0.00026595i
0.00017503+0.0011488i,-0.00097603+0.00013694i,-0.0017823+0.00040574i,-0.0039046+0.00019769i,-0.0063317-0.00053741i,-0.0072086-0.0017083i,-0.0066135-0.0027021i,-0.0049453-0.0031973i,-0.0018463-0.0043725i,0.00066876-0.0042603i,0.0022968-0.003103i,0.0038688-0.0017882i,0.0042524-0.00051007i,0.0036225-0.0016626i,0.002786-0.00312i,0.0019921-0.0031889i,0.0019611-0.002624i,0.0011456-0.00257i,2.7436e-05-0.0025668i,0.00074202-0.0022154i,0.0013934-0.0032273i,0.0006845-0.0033256i,-0.00023439-0.0013642i
-0.004118-0.0018525i,-0.003838-0.00065436i,-0.0039694+0.00033452i,-0.0026039+0.0016035i,-0.0024064+0.0048957i,-0.0036405+0.0065989i,-0.0060266+0.0047308i,-0.0071071+0.0037502i,-0.0034619+0.0023756i,0.00057686+0.00037462i,0.00039065+0.00069685i,-0.0014008+0.0030067i,-0.0014441+0.0048009i,-0.0008188+0.0046629i,-0.001304+0.0034173i,-0.0021632+0.0017837i,-0.0029855+0.001736i,-0.0034914+0.00166i,-0.0032823+0.00064323i,-0.0036478+0.0011473i,-0.0040482+0.0022976i,-0.0026748+0.0027286i,-0.00054602+0.0017433i
-0.0014484-0.00085454i,-0.00048117-0.0020291i,-0.0022681-0.0028495i,-0.005002-0.0021107i,-0.0060999+0.00039241i,-0.0052583+0.0011801i,-0.0032984+0.00034203i,-0.0013175+0.0005879i,0.0012259+0.001078i,0.003212+0.0013703i,0.0021159+0.00064879i,-0.00070539-0.00079786i,-0.0018041-0.0024087i,-0.0015832-0.0020238i,-0.0010734-0.00035283i,-5.5391e-05+0.00028417i,0.00087253-0.00077131i,0.00053504-0.0021222i,-0.00024216-0.0021838i,0.00053395-0.0023294i,0.0021522-0.003148i,0.0016876-0.002505i,5.0337e-05-0.00094851i
0.002977+0.00029709i,0.0021331-0.00089241i,2.9425e-05-0.0033238i,-0.002291-0.0023098i,-0.0022281+0.0010802i,-0.0014422+0.0049378i,-0.00070275+0.0065146i,0.0001141+0.0051268i,0.0021013+0.0034369i,0.0023233+0.0010948i,0.0022219-0.00051891i,0.003963+0.00047907i,0.0042413+0.0016768i,0.0030823+0.0014645i,0.0028503+0.0003721i,0.0017356-0.00071999i,-0.00012154-0.00034199i,-0.0012253+0.0012385i,-0.00061572+0.0022833i,0.00013881+0.0033777i,-0.00032339+0.003542i,0.00035735+0.0035474i,0.0010879+0.0032273i
0.00012577-0.0011833i,2.6221e-05-0.00095903i,-0.00059564-0.0013993i,-0.0018223-0.0032918i,-0.0024115-0.0042772i,-0.00075986-0.0026424i,0.0023794-0.0009873i,0.0034531-0.0015668i,0.0035637-0.0010741i,0.0026081+0.00037011i,0.0018938+0.001128i,0.0019451+0.0016861i,0.0015298+0.0017128i,0.0012125+0.00089822i,0.0012935-0.00054693i,0.002382-0.00097941i,0.0039426-0.00081817i,0.0048893-0.0017513i,0.0045515-0.0025354i,0.002566-0.0018754i,0.00073081-0.0016095i,-0.00036813-0.0011499i,-0.00099739+0.00016898i
-0.0047965-0.0007462i,-0.005712-0.00028598i,-0.0061529+0.0014694i,-0.0045158+0.0014562i,-0.003303+0.00080827i,-0.0023118+0.00071286i,-0.00074685+0.00090731i,-0.00017734+0.00025676i,-0.00023505+0.00042881i,0.00067991+0.00055209i,0.00060345-0.00052897i,-0.0010724-0.0012147i,-0.0014206-0.0013734i,-0.00049779-0.0011797i,-0.00022435-0.0011872i,-0.0010629-0.0010093i,-0.003141-0.0011622i,-0.0039947-0.00075218i,-0.002881-0.00025785i,-0.0023101-0.00035708i,-0.0031567-0.0001313i,-0.0029403+0.001212i,-0.0013156+0.0016867i
0.00060443+0.0045218i,0.00023969+0.0020344i,0.0017304+0.0002473i,0.0010535-0.0023513i,-0.00071215-0.0033824i,-0.0018027-0.0016989i,-0.0026242+0.0004141i,-0.0021091+0.0010926i,-0.00048352+0.0024508i,-7.2631e-05+0.0026265i,-0.0002228+0.00041484i,-0.00017455-0.0014389i,-0.00010175-0.0017171i,-0.00028606-0.0017241i,0.00029352-0.001471i,0.0012566-3.6572e-05i,0.0026333+0.0012304i,0.0034549+0.0018277i,0.002082+0.0013769i,0.0017509+0.00041856i,0.0030284+0.00028861i,0.0030299+6.0838e-05i,0.0014039-0.0004986i
-0.00014922+0.0019967i,-0.0013363+0.0017773i,-0.00090603+0.0031306i,0.000394+0.0024352i,-0.00048258+0.0012424i,-0.003366+0.0026131i,-0.0053538+0.0052035i,-0.0046498+0.0062133i,-0.0032681+0.0055168i,-0.0020211+0.003996i,-0.0012085+0.0032021i,-0.0013483+0.0035417i,-0.00070269+0.0041626i,0.00026776+0.0039876i,0.00022563+0.0022541i,-0.00050689-0.00014274i,-0.0020567-0.001015i,-0.0029865-0.001132i,-0.0020527-0.00040126i,-0.00073201-0.00013816i,-0.0013341-0.0010972i,-0.0021229-0.0011992i,-0.00096878-0.0011262i
0.0029338-0.0027209i,0.00058737-0.0045474i,-0.0011993-0.0050881i,-0.0020478-0.002925i,-0.0021286-0.00097955i,-0.0017769+0.0021045i,-0.0013357+0.005181i,-0.00039589+0.0053046i,-0.0001256+0.0038643i,-0.0014021+0.0027552i,-0.002956+0.0023243i,-0.00268+0.0026359i,-0.0015464+0.0014755i,-0.00020132+0.00037988i,0.0015827+0.00069205i,0.0023547+0.00097837i,0.0024473+0.0019043i,0.0025534+0.0022758i,0.0023229+0.0022184i,0.0011256+0.0011701i,-0.00019012-0.00043546i,-0.001456-0.0025009i,-0.0021017-0.002641i
-0.00069844+0.00021591i,-0.00093606-0.00099752i,-0.0029159-0.0010513i,-0.0040192-0.00052324i,-0.0034659-0.0009326i,-0.003244+0.0002697i,-0.0023988+0.0015793i,-0.00098716+0.0013877i,-0.00077754+0.0011575i,-0.000977+0.00084612i,-0.00045257+4.9853e-06i,0.00024831-0.00077706i,0.00024725-0.0012244i,9.916e-05-0.0014331i,-1.1543e-05-0.0011986i,-0.001118-0.00081606i,-0.0024208-0.00093921i,-0.0030721-0.0015562i,-0.0019234-0.001249i,-0.00044798-0.00092906i,-0.00041833-0.00085169i,-0.00057625-2.4776e-05i,-0.00077784+0.00062219i
-0.00078619+0.00095184i,-0.00027976+0.00048792i,-0.0015053+0.00071244i,-0.0028689+0.0015689i,-0.0017224+0.0025629i,-0.0014611+0.0032834i,-0.00053161+0.0020472i,0.00036155+0.00011902i,-0.00053746-0.00032668i,-0.00073183-0.00032953i,-0.00076092-0.0011891i,-0.00087324-0.001859i,-2.4623e-05-0.0016945i,0.00052622-0.0012662i,-0.00051047-0.00085039i,-0.0011264+0.00013125i,0.0001847+0.0018151i,0.00084078+0.0021482i,0.00037943+0.0011349i,-7.9815e-05+0.00093763i,-0.00071435+0.0012708i,-0.00012393+0.00083425i,0.0012391-0.00050727i
-0.0010089-0.002868i,-0.0016608-0.002683i,-0.0039757-0.0019758i,-0.0049226-9.6736e-05i,-0.0016866+0.00053219i,0.00049709-0.0011623i,-0.00078956-0.0029563i,-0.0023697-0.0046142i,-0.0030108-0.0041288i,-0.0032901-0.0027991i,-0.0031805-0.0024272i,-0.0025577-0.0014622i,-0.0023647+0.00063614i,-0.0026723+0.0015233i,-0.0017285+0.00073314i,-0.0011613-0.00075369i,-0.0012072-0.00237i,-0.0010364-0.0019449i,-0.00051504+0.00011266i,-0.00015492+0.00071221i,-0.00016831-0.00020926i,0.00019215-0.0010224i,0.00018475-0.0015029i
0.0025508+0.0012286i,0.0018501+0.00028242i,-0.00027178-0.001056i,-0.0021964-0.00059461i,-0.0025656+0.0016624i,-0.003346+0.0021072i,-0.0037754+0.00074354i,-0.0043283-0.00026977i,-0.0036223-0.00029168i,-0.0018395-0.00077337i,-0.001007-0.001671i,-0.0011484-0.00095326i,-0.0016108-0.00062862i,-0.00056202-0.0002667i,0.00057065+0.00054233i,0.00060907+0.0013457i,-4.6968e-05+0.0021892i,-0.00094034+0.0023107i,-0.0010122+0.0018275i,-0.00027619+0.00034064i,0.00014996-0.001255i,-0.00030615-0.0015935i,-0.0011604-0.00086417i
-0.00010979-0.00052685i,-0.0011667+0.00023473i,-0.001437+0.00072173i,-0.0009386+0.00020027i,-0.00053242+0.00073128i,-0.0011109+0.0017702i,-0.001628+0.002422i,-0.00047105+0.0020337i,0.0006558+0.00063333i,-0.00052542+0.00018608i,-0.0012042+0.00040503i,-5.3177e-05+0.00031001i,9.4324e-05+0.00079599i,0.00015626+0.00095443i,-2.2857e-05+0.00021333i,-0.0012389-0.00010263i,-0.0016381-0.00083827i,-0.0013525-0.0010872i,-0.00128-5.349e-05i,-0.00083363+0.0010326i,-0.00034958+0.0011492i,0.00044875+0.0010636i,0.0005499+0.001057i
-0.0015894-0.00031598i,-0.0027301-0.0010946i,-0.0033039-0.0019249i,-0.0033892-0.0012069i,-0.0028545+0.002102i,-0.0013043+0.0047603i,0.00043757+0.0056653i,0.0020641+0.0042074i,0.0017019+0.0015966i,-6.9564e-05+0.00041998i,-0.00047004-0.00056891i,0.00035402-0.00036707i,0.00056327+0.00070921i,0.00053361+6.955e-05i,0.00047772-0.0005196i,0.00016371-0.00026669i,0.00025443+0.00032462i,0.0014071+3.8359e-05i,0.0010746-0.00080553i,-0.0002213-0.001125i,-0.00057406-0.00094069i,0.00011654+0.0004969i,0.00024345+0.0015496i
0.0019715-0.0029484i,0.00050818-0.0019833i,-0.00043811-0.0023144i,-0.0013314-0.0011979i,-0.001798+0.00032546i,-0.00035368+0.0019709i,0.0023673+0.0027721i,0.0044101+0.00082783i,0.0033917-0.0017867i,0.00049879-0.0028251i,-0.00063255-0.0020122i,-0.0012446-0.0013653i,-0.0021695-0.00089678i,-0.0021968-0.00016021i,-0.0015242-0.00034813i,-0.00093665-0.00086572i,-0.001362-0.00088911i,-0.0010577-0.00068953i,-0.0012355-0.0002755i,-0.0012871+0.00088551i,-0.00014894+0.00085348i,0.00071985-0.00045876i,0.00050071-0.00037098i
0.00065745-0.00096139i,-0.0019492-0.0010283i,-0.0040527-0.00087697i,-0.0044888-0.00099629i,-0.0039283-0.00017818i,-0.0026804+0.0016168i,-0.00080743+0.00068515i,0.00027071-0.0022609i,7.7928e-05-0.0040256i,-0.00016456-0.0032285i,0.00088127-0.00093492i,0.00080528+0.00020446i,-5.3746e-05+5.1622e-05i,0.0008727-0.00070182i,0.001366-0.0013499i,3.5811e-05-0.002365i,-0.00084478-0.002731i,-0.0004022-0.0024121i,0.00029758-0.0010001i,0.001215+0.00022273i,0.0014354-0.00056488i,0.00050437-0.000826i,-0.00046967-8.8468e-05i
-0.0016651-0.0022598i,-0.0027855-0.0034985i,-0.0031672-0.0020784i,-0.0025586+0.0011237i,-0.002141+0.0026191i,-0.0011814+0.0025763i,-0.0013493+0.0020524i,-0.0017282+0.0012164i,-0.0013678-0.00013349i,-0.0014588-0.00033211i,-0.0016638+0.0010935i,-0.00096748+0.0014492i,0.00046345+0.00088762i,0.00096036+0.00027511i,0.0001871-0.00087461i,-0.0016405-0.0012634i,-0.0031497-0.001235i,-0.0029519-0.00072099i,-0.0022579-0.00058157i,-0.0015749-0.0005016i,-0.0011874+4.5355e-05i,-0.0011333+0.00042879i,-0.00072959+0.00045423i
0.00062502+0.0017311i,0.00088838-0.00051988i,-0.00024458-0.0016249i,-0.0020716-0.0013816i,-0.0029011-0.001523i,-0.0038944-0.0011303i,-0.0037032+0.0009919i,-0.0023129+0.0019854i,-0.001374+0.00019951i,-0.0012936-0.0011228i,-0.001081-0.0012752i,-0.00025872-0.00024349i,0.00018886+0.00051955i,0.00054852-0.00024994i,0.00047188-0.00074196i,0.00073965-0.00053291i,0.0014981+0.00056892i,0.0023151+0.0017428i,0.0035079+0.0024456i,0.0028719+0.0017257i,0.00097913-0.00017257i,0.00046106-5.7337e-05i,0.0005529+0.00086276i
0.00042319+0.00047796i,0.0011871+0.00096828i,0.00073264+0.00073631i,-0.00082207+0.0016953i,-0.0020914+0.0028002i,-0.0025342+0.0045372i,-0.0021824+0.0057969i,-0.00045907+0.0047503i,0.0014633+0.0022842i,0.0014463+6.7409e-05i,0.00072555-0.00095427i,0.00051336-0.00053835i,0.00078939-0.0008205i,0.00066554-0.0011881i,0.00028688-0.00029696i,-0.00043693+0.00087289i,-0.00088839+0.00013735i,-0.0004166-0.0013584i,-0.00043331-0.0018029i,-0.0013243-0.00093845i,-0.0015361+3.3233e-05i,-0.00053314+0.00043313i,-1.9281e-05+0.00015597i
0.00074782-0.0016535i,-0.00023492-0.0012747i,-0.0019793-0.0021214i,-0.0025021-0.0024613i,-0.00082047-0.0021443i,0.00048913+0.00017914i,0.0016847+0.0028912i,0.0026936+0.0019736i,0.003295-0.00037803i,0.0024446-0.0010867i,-0.00021089-0.00066586i,-0.00095011+0.0005198i,0.00016465+0.0021597i,0.00067899+0.0020298i,0.00080946+0.00047861i,0.001654-0.00022509i,0.0023274+0.00011741i,0.0025241+0.00035703i,0.002105+0.00038493i,0.0010968+0.0008278i,-0.00013965+0.0019016i,-0.001524+0.0017536i,-0.0022696+0.0010013i
0.00024287+0.0031852i,-0.00062411+0.0020324i,-0.0016299+0.00063019i,-0.0032986+0.0011726i,-0.0034315+0.0019355i,-0.0019368+0.002689i,0.00012308+0.0037876i,0.0010502+0.0031258i,0.0015254+0.00058356i,0.00067876-0.0020666i,-0.00049511-0.0027692i,-0.0004247-0.0010718i,-0.00012675+0.0011863i,0.00060753+0.001522i,7.3919e-05-0.00065173i,-0.0011214-0.0031888i,-0.0016388-0.0035803i,-0.0012472-0.0029929i,-0.001498-0.0025954i,-0.0010027-0.0016662i,0.00063941-0.00066463i,0.00098997-0.0003986i,5.5689e-05-3.0319e-05i
0.00046072+0.00022375i,-0.00035526-0.00037636i,-0.0008397-0.0015835i,-0.0011901-0.0029809i,-0.0018407-0.001236i,-0.0020518+0.0011147i,-0.00096423+0.0012176i,0.0013848-0.00047685i,0.0026885-0.0012833i,0.0018556-0.00073379i,0.00038368-0.00030559i,-0.00042715-0.00083833i,-0.00053011-0.00059345i,-0.00034466+0.00033252i,-0.00014668+0.00025095i,-0.00041704+0.00027333i,-0.00036627+0.0015764i,-7.1167e-05+0.0030256i,-6.7652e-05+0.0039613i,-8.3947e-05+0.0029672i,-0.00046386+0.0010801i,-0.00051795+1.586e-06i,-0.0003192-0.0006277i
-0.0021042-0.0022366i,-0.0027707-0.0011604i,-0.0045181-0.00060937i,-0.0056091+0.0012511i,-0.0052803+0.0029714i,-0.0039643+0.0017393i,-0.0035418+0.00093704i,-0.0030013+0.00021806i,-0.0015482-0.00027588i,-0.00070566+8.1847e-05i,-0.00085485+0.00029877i,-0.00075078+2.7206e-05i,-0.00017553-0.00083765i,-1.8356e-05-0.00046185i,-0.0004079+0.00028173i,-0.00049888-0.00031146i,-4.8331e-06-0.0011484i,0.00031383-0.0013188i,0.00048831-0.0013779i,0.00082826-0.00086304i,0.00098316+5.4978e-06i,0.00070157+1.5732e-05i,0.00018082-0.0004073i
-0.00063632-0.0040534i,-0.0020001-0.0048464i,-0.0033439-0.0030378i,-0.0029095-0.00058976i,-0.0019312+0.0006895i,-0.0020987+0.00087987i,-0.0031211+0.0010196i,-0.0030109+0.0020953i,-0.0017075+0.0028607i,-0.00017849+0.0022243i,-0.00045349+0.0012413i,-0.0017923+0.0011061i,-0.0018223+0.0011854i,-0.001136+0.00098998i,-0.00055937+0.00089024i,0.00019625+0.00092561i,0.0015999+0.0010189i,0.0018644+0.00085579i,0.001613+0.00037118i,0.0011488+0.00035857i,-0.00012288+0.00057304i,-0.00076198+0.0010437i,-0.0012742+0.0012809i
-0.0011119+0.0012371i,-0.0007813+0.00085597i,-0.00061737+0.0019539i,-0.00071391+0.0013428i,-0.00058539+0.00065103i,-0.0005353+0.001272i,-0.0014253+0.0035572i,-0.0017857+0.0049733i,-0.0010207+0.0035912i,-0.00026475+0.001228i,-0.00089316-0.00083754i,-0.0019576-0.0019555i,-0.0014783-0.0019512i,0.00028399-0.0019863i,0.0019464-0.0024776i,0.0021045-0.0024266i,0.0019184-0.0024772i,0.001753-0.0037774i,0.0013921-0.0046793i,0.00086994-0.0043488i,0.00086149-0.0024765i,0.000655+0.000141i,0.00011492+0.0015043i
-0.001288-0.00070536i,-0.0013783-0.0018857i,-0.0014956-0.00060014i,-0.0020429+0.00076405i,-0.0022118+0.0013815i,-0.0015913+0.0028141i,-0.00042437+0.0043998i,0.0012911+0.0040244i,0.0019422+0.0024168i,0.0012272+0.0015962i,0.0010923+0.0002801i,0.0014054-0.0016159i,0.0016775-0.0016637i,0.0015306-0.0012861i,0.0014635-0.00090357i,0.00044142+0.000495i,-0.00076982+0.0016102i,-0.0014455+0.0017207i,-0.0027091+0.00093837i,-0.0023766+0.00081996i,-0.00054315+0.0012519i,0.00083571+0.00098977i,0.0015002+0.00051625i
0.0015075-0.0003992i,0.0017759-0.0011898i,-3.4284e-05-0.0012523i,-0.0016121-0.00071823i,-0.0013579-0.00060559i,-0.00070947+0.00072802i,-0.00040728+0.0019834i,0.00072832+0.00096886i,0.0014063-0.00033239i,0.00097692+5.4405e-05i,0.0010092+0.00042489i,0.0010122-0.0003033i,0.0003734-0.0014637i,-8.4432e-06-0.0018616i,0.00058945-0.0011881i,0.00093078+0.00026258i,-9.0406e-05+0.0014571i,-0.00018185+0.0014898i,0.00053369+0.00067597i,0.00031092+0.00035681i,0.00013387+0.00023775i,0.0010829-0.00086212i,0.0020448-0.0014349i
