-0.002105-0.00029395i,-0.0016117+0.00066491i,-0.0016353+0.0011186i,-0.0014189+0.0014209i,-0.0011408+0.0026294i,-0.00027196+0.0034339i,8.3932e-05+0.0030054i,0.00050714+0.0024034i,0.0011622+0.0017567i,0.0019301+0.00092097i,0.0016047-0.00076956i,0.00060144-0.0015688i,2.8842e-05-0.00079864i,0.0001475-0.00041051i,0.00016549-0.00038029i,-9.3667e-05-0.00017788i,0.00014319+0.00030814i,0.00070249+0.00064261i,0.00095668+0.00056541i,0.00067687-0.00027002i,-0.00030442-0.00051809i,-0.00069744-0.00034015i,-0.0004426-0.00027241i
-0.10476-0.014522i,-0.03917-0.027138i,-0.01257-0.023128i,-0.0035158-0.0083516i,0.0027318-0.0052906i,0.0021099-0.0054194i,0.0041274-0.0018134i,0.0052923+0.0014077i,0.0035572+0.0074107i,0.0034689+0.012611i,0.0019856+0.012095i,-0.00051463+0.0081289i,-0.0016013+0.0037729i,-0.0017608+0.0013684i,-0.0015688+0.0016752i,-0.00026894+0.0020428i,0.00076065+0.0023884i,0.00011437+0.0023584i,-0.00064008+0.0015039i,0.00036915+0.00013922i,0.0002816-0.0015319i,-0.0011397-0.0023215i,-0.00053807-0.0012788i
0.0137+0.12553i,-0.018437+0.067869i,-0.02319+0.036611i,-0.013232+0.015538i,-0.012561+0.0021722i,-0.013558-0.0028621i,-0.01215-0.0043782i,-0.0063679-0.0033001i,0.0047434-0.0040771i,0.011476-0.0064077i,0.011195-0.0065325i,0.0073482-0.0049364i,0.0035171-0.0026357i,0.0033266+0.00059335i,0.0039041+0.0013419i,0.0032439-0.0011747i,0.0024771-0.0026649i,0.0017759-0.0027615i,3.8955e-05-0.0020646i,-0.002123-0.00019714i,-0.0024733+0.0022742i,-0.0011622+0.0036365i,-0.00043054+0.0021968i
0.1275-0.052034i,0.086246-0.010205i,0.055622+0.0068418i,0.027686+0.0066976i,0.0064999+0.0075389i,-0.0037474+0.0096229i,-0.0063989+0.010019i,-0.005223+0.0050055i,-0.006314-0.0031086i,-0.0087664-0.0080307i,-0.0081655-0.0093628i,-0.0057473-0.0070241i,-0.002144-0.0033846i,0.00088527-0.0037015i,0.00032148-0.0050441i,-0.0024013-0.0046059i,-0.0043027-0.0041037i,-0.0037148-0.0033368i,-0.0028312-0.0014546i,-0.001041+0.0003384i,0.0024895+0.00081807i,0.0048621-0.00019825i,0.0038589-0.00086846i
-0.092912-0.12085i,-0.045968-0.099924i,-0.022365-0.079375i,-0.017166-0.04768i,-0.0098091-0.018249i,-0.0027706-0.0047477i,0.00040989-0.001933i,9.9311e-05+0.00039023i,-0.0036541+0.0067884i,-0.0061208+0.011747i,-0.0060924+0.011227i,-0.0044622+0.0072871i,-0.0023054+0.0024952i,-0.00305+0.0012802i,-0.0038631+0.0033891i,-0.0021122+0.005464i,-0.00049479+0.0057104i,0.0008257+0.004287i,0.0020291+0.0021382i,0.0012806-0.00023802i,-0.0017847-0.0016931i,-0.0034537-0.0023676i,-0.0034246-0.0022314i
-0.090204+0.14772i,-0.07935+0.093449i,-0.069014+0.0624i,-0.046303+0.044863i,-0.02225+0.019864i,-0.011259+0.0017186i,-0.0081583-0.0031016i,-0.0035327-0.00031452i,0.0065304+0.0033044i,0.014175+0.0032847i,0.014484+0.0014933i,0.0088191+8.0588e-05i,0.0020773+0.00044979i,0.00099395+0.0023562i,0.0036165+0.0027268i,0.0043933+0.00063942i,0.0037361-0.0015013i,0.002447-0.0022969i,0.0010707-0.0011125i,-1.2392e-05+0.0012865i,-0.00071341+0.0043736i,-0.00071531+0.0062703i,0.0012045+0.00586i
0.18932+0.039557i,0.14228+0.037813i,0.10685+0.032202i,0.071158+0.010772i,0.026976-0.0038123i,-0.0018145-0.0022213i,-0.0062641+0.0024743i,-0.0020316+3.3414e-05i,-0.0014804-0.0092131i,-0.0029287-0.014963i,-0.0038198-0.013685i,-0.0039338-0.0067872i,-0.0019279-0.00063141i,0.0011363-0.0010866i,0.00050727-0.0047371i,-0.0017391-0.0059104i,-0.0027214-0.0040757i,-0.0026359-0.0021202i,-0.0012543-0.00067979i,0.00055717-0.00035988i,0.0019449-0.0017682i,0.0031553-0.0025612i,0.0036085-0.002732i
-0.030117-0.19662i,-0.018886-0.15731i,-0.015375-0.12606i,-0.027879-0.086972i,-0.03063-0.03609i,-0.016664-0.0040107i,-0.004562+0.0018486i,-0.0058117+0.0013401i,-0.012003+0.0050618i,-0.013697+0.0086826i,-0.01025+0.0094106i,-0.002853+0.007032i,0.0035022+0.0016825i,0.0015013-0.0014325i,-0.0025463+0.0006248i,-0.0039856+0.0030727i,-0.0043104+0.002977i,-0.0042282+0.0022165i,-0.0037749+0.002116i,-0.0032136+0.0030619i,-0.0029534+0.0026274i,-0.0031109+0.00063129i,-0.0043205-8.8718e-05i
-0.1788+0.10465i,-0.14366+0.087897i,-0.11223+0.072622i,-0.072901+0.064168i,-0.025315+0.043269i,-0.002578+0.0143i,-0.0026925+0.0021047i,0.00050109+0.0048135i,0.0095466+0.0083936i,0.014917+0.0081623i,0.013272+0.0037935i,0.0065853-0.0016168i,-0.000922-0.0039332i,-0.0035491-0.0017791i,-0.00066178+0.00073932i,0.0029066+0.00090034i,0.0044564+0.0014476i,0.0042146+0.0029468i,0.003229+0.0034618i,0.0027967+0.002113i,0.0030224+0.00060461i,0.0026322+0.0010063i,0.002235+0.0022421i
0.17514+0.13949i,0.15197+0.098739i,0.13017+0.069154i,0.10768+0.031065i,0.055868-0.0084127i,0.0091341-0.015923i,-0.0027844-0.0069089i,0.00011207-0.0066954i,0.0013015-0.012652i,0.00060229-0.015374i,-0.0022535-0.011984i,-0.0051376-0.0030928i,-0.0034601+0.0044872i,0.00059321+0.003692i,0.00082282-0.00067273i,-0.0013236-0.0026583i,-0.0015626-0.0042545i,-0.00026037-0.0067511i,0.00085167-0.0067124i,-0.0012735-0.0033539i,-0.0033241-9.1738e-05i,-0.0023492+0.00074076i,-0.00013986-0.00070708i
0.081032-0.20206i,0.045481-0.18037i,0.01937-0.15433i,-0.012253-0.12196i,-0.035138-0.06099i,-0.02975-0.013194i,-0.018055-0.0020007i,-0.016101-0.0011981i,-0.016297+0.0039126i,-0.01418+0.0066313i,-0.0090222+0.0066364i,-0.00081684+0.0052792i,0.0056886+0.0012566i,0.0051638-0.0024797i,0.002231-0.0018095i,0.00064469+0.00036535i,-0.002254+0.0014287i,-0.0057754+0.0017514i,-0.0064744+0.0022743i,-0.0034484+0.0017056i,0.00019077+0.0010531i,0.0015095+0.00083979i,0.00077923+0.00027411i
-0.23132+0.016352i,-0.18728+0.038357i,-0.14535+0.054006i,-0.10343+0.071146i,-0.043721+0.063081i,-0.0031557+0.031886i,0.0037893+0.012342i,0.0026416+0.0099402i,0.007091+0.010885i,0.011409+0.010308i,0.011422+0.0045106i,0.006032-0.0042157i,-0.0014364-0.0081098i,-0.0050965-0.0049941i,-0.004744-0.0019819i,-0.0035378-0.0013543i,-0.00093937+0.0003049i,0.0026889+0.0026987i,0.0037365+0.0034425i,0.0020065+0.0026248i,0.00021081+0.00095134i,-0.00051507-0.00015079i,-0.00052034-0.00041008i
0.09993+0.22075i,0.12092+0.1598i,0.11947+0.10522i,0.11202+0.060376i,0.075787+0.010919i,0.028083-0.012746i,0.0079419-0.01199i,0.0058179-0.013613i,0.002831-0.016426i,0.0015916-0.014721i,-0.00098008-0.011261i,-0.005415-0.0038637i,-0.0047947+0.0046338i,-0.0005101+0.0070752i,0.0017498+0.0050213i,0.0023679+0.0035646i,0.0023901+0.0019651i,0.0023533-0.0016251i,0.0030043-0.0040228i,0.0033111-0.0031543i,0.0025985-0.0010724i,0.00135+0.00082388i,-0.00015192+0.0014843i
0.15346-0.16177i,0.095033-0.16114i,0.04443-0.13916i,0.0044798-0.12017i,-0.030743-0.073821i,-0.03351-0.02284i,-0.019902-0.0060834i,-0.016386-0.0038602i,-0.015217+0.0023597i,-0.012831+0.0056559i,-0.0090036+0.0073086i,-0.0010738+0.0082301i,0.0055718+0.0033261i,0.0057607-0.0021561i,0.0030303-0.0043628i,0.0014016-0.006049i,-0.00083984-0.0052094i,-0.0041426-0.0026971i,-0.0063181-0.0020255i,-0.0071422-0.0017701i,-0.0057797-0.00075619i,-0.0022869+0.00037515i,3.6862e-05+0.00059939i
-0.21311-0.08379i,-0.17962-0.026168i,-0.13344+0.015404i,-0.10534+0.041697i,-0.059026+0.052489i,-0.017127+0.035944i,-0.0034796+0.018184i,0.004013+0.012481i,0.01076+0.009354i,0.011567+0.0070715i,0.011477+0.0031796i,0.0080913-0.0031902i,0.0012921-0.0060279i,-0.003331-0.0039325i,-0.0052868-0.00060441i,-0.006618+0.0020474i,-0.006835+0.0040089i,-0.0055083+0.0067637i,-0.0028202+0.0092016i,0.0013352+0.0092166i,0.0039539+0.0079336i,0.0029109+0.00441i,0.0012527+0.00036148i
0.011332+0.22902i,0.047746+0.17068i,0.062822+0.10368i,0.071919+0.065285i,0.057193+0.025435i,0.025975-0.0010682i,0.010694-0.0061531i,0.0081976-0.010448i,0.0036477-0.014222i,0.00046443-0.012889i,-0.0035736-0.012478i,-0.009548-0.0090095i,-0.0089337-0.0017447i,-0.0032706+0.0014224i,0.00083153+0.0019356i,0.0039337+0.0030655i,0.0063529+0.0030054i,0.0074392+0.0011929i,0.0072265-0.0021662i,0.0046386-0.006228i,0.0011968-0.0073617i,-0.00025305-0.0045566i,-0.00054614-0.0021751i
0.21971-0.081291i,0.14933-0.099883i,0.071166-0.0859i,0.029908-0.083416i,-0.0053445-0.068181i,-0.0229-0.031852i,-0.018777-0.010304i,-0.014645-0.0040768i,-0.010908+0.00060014i,-0.0073719+0.0024041i,-0.0071175+0.0069219i,-0.0037505+0.010451i,0.0017982+0.0059347i,0.0028363+0.00019329i,0.00056514-0.0023563i,-0.0013469-0.0042956i,-0.004035-0.0071918i,-0.0065851-0.0091547i,-0.0077591-0.006575i,-0.0081036-0.00081347i,-0.0067937+0.003564i,-0.0035708+0.0048401i,-0.00055321+0.0045119i
-0.16869-0.1582i,-0.14632-0.10209i,-0.092215-0.040057i,-0.069719-0.0023588i,-0.052263+0.022381i,-0.023319+0.025621i,-0.006842+0.015272i,0.0015881+0.010387i,0.0077208+0.0058667i,0.0088212+0.0028191i,0.010889+0.0015083i,0.011106-0.0027891i,0.0054416-0.0057391i,0.00059587-0.0047373i,-0.00093542-0.0024336i,-0.0026971+0.0010112i,-0.0041061+0.0058579i,-0.0040094+0.0086063i,-0.0023598+0.0077589i,0.00064803+0.0050456i,0.0032358+0.0023867i,0.0043949-1.415e-05i,0.005114-0.0022968i
-0.081065+0.22424i,-0.030115+0.16975i,-0.0047407+0.082861i,0.0082013+0.04922i,0.024287+0.027753i,0.019673+0.0037042i,0.0083066-0.004392i,0.0045131-0.0089725i,0.00070246-0.010749i,-0.00030123-0.0086809i,-0.002231-0.010713i,-0.0072423-0.0087963i,-0.0068942-0.0014819i,-0.0026417+0.0021232i,-0.00024972+0.0015495i,0.00095904+0.00092686i,0.0029759-0.00083736i,0.0048404-0.0025481i,0.0044654-0.001392i,0.0020766+0.00058272i,5.3474e-05+0.00053301i,-0.0018664-0.0014444i,-0.0038791-0.0019888i
0.22893-0.0057285i,0.17515-0.023056i,0.088475-0.010486i,0.0509-0.011418i,0.02383-0.022576i,-0.0021906-0.015477i,-0.0084004-0.0046167i,-0.0080182+0.00070318i,-0.0066887+0.004062i,-0.0051526+0.0038633i,-0.0066222+0.0065165i,-0.0045517+0.0094268i,0.00042107+0.0050243i,0.0025189-0.00079246i,0.0022645-0.002371i,0.00043342-0.0018673i,-0.0030008-0.0017066i,-0.0044627-0.0017411i,-0.0022058-0.0032148i,0.0012271-0.0047672i,0.0022877-0.0035344i,0.0012861+0.0011356i,0.0019296+0.0050156i
-0.1067-0.21571i,-0.086904-0.15823i,-0.031893-0.086667i,-0.020652-0.053336i,-0.031093-0.023107i,-0.019985+0.00092367i,-0.0025117+0.0059399i,0.0075113+0.0058627i,0.011767+0.0028464i,0.010369+0.0012452i,0.011393+0.0021336i,0.011892-0.0011288i,0.0057967-0.0036754i,-0.0014973-0.0025609i,-0.0043628-0.0023885i,-0.004638-0.0031171i,-0.003618-0.0022856i,-0.0030262+1.1504e-05i,-0.0052463+0.0035125i,-0.0072507+0.0059141i,-0.0051484+0.005346i,-0.00074773+0.0016541i,0.002134-0.0022472i
-0.15632+0.17379i,-0.12084+0.14358i,-0.083082+0.063401i,-0.060638+0.039965i,-0.027783+0.045724i,-0.0057154+0.025892i,-0.0040947+0.0048565i,-0.0029444-0.0056079i,-0.0026291-0.010431i,-0.002324-0.010201i,-0.00294-0.01266i,-0.0071375-0.011184i,-0.0064491-0.0034498i,-0.0017457+0.00093879i,0.00065933+0.0023153i,1.7941e-05+0.0025211i,-0.0017764+0.0022353i,-0.0024409+0.0038335i,0.00046857+0.0053113i,0.0061954+0.0041061i,0.0071993+0.0014138i,0.0017763+0.00051396i,-0.0023244+0.0011874i
0.24116+0.065333i,0.1953+0.049585i,0.1023+0.053296i,0.063972+0.042495i,0.04139+0.008372i,0.010705-0.0033904i,-0.0016388+0.0066124i,-0.0051122+0.011259i,-0.0068699+0.011556i,-0.0065868+0.0092432i,-0.0088369+0.0087017i,-0.0058827+0.010942i,0.00053381+0.0073137i,0.0031679-0.00019283i,0.0024607-0.0047488i,0.0023378-0.0052471i,0.0035848-0.0037553i,0.003772-0.0036643i,0.0011162-0.0052323i,-0.0045207-0.0048878i,-0.0063848-0.0019999i,-0.0023095+0.0013367i,0.0016746+0.0036388i
-0.036956-0.25203i,-0.034468-0.21529i,0.0017676-0.13619i,0.0011964-0.091806i,-0.031463-0.054579i,-0.03119-0.014032i,-0.0078117+0.0017328i,0.0078341+0.0041427i,0.01535+0.0049999i,0.017363+0.005123i,0.018528+0.0043112i,0.016824-0.0010741i,0.0087636-0.0067851i,0.0011845-0.0063521i,-0.0032876-0.0026537i,-0.005189-0.00069339i,-0.0068399-0.001227i,-0.010254+6.8915e-05i,-0.0095498+0.0035037i,-0.0024608+0.0044285i,0.0032127+0.0027013i,0.0038072-0.00035856i,0.00352-0.0031509i
-0.20765+0.14953i,-0.17448+0.1281i,-0.12652+0.053476i,-0.097145+0.028688i,-0.05561+0.037406i,-0.020517+0.021055i,-0.012121+0.0013875i,-0.0088189-0.0064783i,-0.0036369-0.01278i,-0.0016484-0.016764i,-0.0032869-0.018586i,-0.0081856-0.015206i,-0.0085072-0.0069779i,-0.0030539-0.0011784i,0.0020888+8.3466e-05i,0.0046687-0.00017395i,0.0052355+0.00083843i,0.0051208+0.0020332i,0.0032535+0.00076596i,-0.0020042-0.0022295i,-0.0058095-0.0033102i,-0.0058284-0.0019391i,-0.0044919-0.00024746i
0.21453+0.13532i,0.20224+0.10982i,0.12348+0.087048i,0.076617+0.063385i,0.057066+0.017034i,0.020371-0.0084792i,-0.0031926+0.00040432i,-0.0069925+0.007889i,-0.01143+0.0094952i,-0.013049+0.012445i,-0.010878+0.01415i,-0.004681+0.014343i,0.0031824+0.011028i,0.0049302+0.0052768i,0.00033435-0.00030795i,-0.0039363-0.004274i,-0.0040927-0.0063175i,-0.0025001-0.0070896i,0.00023794-0.0038579i,0.0052892+0.0028943i,0.0081574+0.0072041i,0.0063945+0.0064005i,0.0041468+0.0033862i
0.021073-0.26523i,0.004907-0.23769i,0.01892-0.16229i,0.01358-0.11402i,-0.022036-0.071395i,-0.026749-0.0235i,-0.0051215-0.0016852i,0.0063412+0.0047262i,0.012551+0.010219i,0.017862+0.010152i,0.019008+0.0047222i,0.015637-0.0034541i,0.008492-0.0098009i,0.0032275-0.010611i,0.0017938-0.0072857i,0.0014587-0.0017814i,-0.00045087+0.0028931i,-0.0033549+0.0046303i,-0.0047879+0.0010486i,-0.0052056-0.0073041i,-0.0054037-0.012049i,-0.003291-0.0090242i,-0.00013517-0.0044117i
-0.23283+0.073117i,-0.2042+0.097332i,-0.14285+0.060633i,-0.097824+0.034627i,-0.046164+0.039672i,-0.0090786+0.022432i,-0.0045406+0.00026577i,0.00031405-0.0077347i,0.0070723-0.016756i,0.0022387-0.022794i,-0.0058375-0.019395i,-0.011155-0.010494i,-0.01242-0.0019248i,-0.009793+0.0020845i,-0.0056713+0.001382i,-0.0025403-0.0010051i,0.00020337-0.0022854i,0.0034278-0.0019628i,0.0044841+0.0026809i,0.002939+0.011202i,0.0024341+0.015754i,0.0026188+0.01089i,0.00075529+0.0030841i
0.19394+0.17109i,0.20015+0.12588i,0.14765+0.077647i,0.096982+0.042846i,0.058811+0.0044747i,0.017196-0.015589i,-0.0072964-0.0067819i,-0.01295+0.0001579i,-0.018093-0.00019938i,-0.018355+0.0032319i,-0.011616+0.0076446i,-0.0037092+0.0093981i,0.003468+0.0082586i,0.0065343+0.0047141i,0.0042679+0.0028034i,0.001631+0.002885i,0.00044549+0.002862i,-0.0010181+0.0010414i,-0.0002825-0.0024557i,0.0043967-0.0074235i,0.0071149-0.011562i,0.0040274-0.010112i,-0.00011961-0.0039383i
0.090634-0.21493i,0.0245-0.2136i,-0.0099391-0.14837i,-0.013812-0.086013i,-0.024946-0.043601i,-0.021319-0.0069018i,-0.0032346+0.009813i,0.0052456+0.013195i,0.010248+0.018482i,0.017108+0.015756i,0.016935+0.0038656i,0.010691-0.0054157i,0.0050584-0.0083146i,0.0025663-0.0090118i,0.0014553-0.009452i,-1.9461e-05-0.0086603i,-0.00055514-0.0060703i,-0.0011054-0.0013487i,-0.0040519+0.0038358i,-0.0094645+0.0073633i,-0.012313+0.0094489i,-0.0079607+0.0096966i,-0.001272+0.0063451i
-0.21812+0.022177i,-0.18085+0.08345i,-0.1036+0.088441i,-0.051904+0.062115i,-0.02016+0.049381i,0.0034138+0.027071i,0.008091-0.00061745i,0.010792-0.009017i,0.019527-0.015489i,0.017255-0.022098i,0.0071219-0.017838i,0.0001202-0.0087594i,-0.0027292-0.0032526i,-0.0038966-0.00030412i,-0.0056155+0.0027405i,-0.0059715+0.0054171i,-0.0042334+0.0065054i,-0.00059173+0.0047477i,0.0056164+0.001433i,0.011301-0.00077562i,0.014393-0.0020523i,0.012825-0.0040674i,0.0072385-0.0051591i
0.10364+0.17i,0.15246+0.086355i,0.12354+0.0065623i,0.063413-0.015976i,0.029763-0.023563i,0.0045658-0.023623i,-0.012187-0.0085686i,-0.013228-0.0032049i,-0.015653-0.0064851i,-0.017596-0.003387i,-0.011422+0.0010248i,-0.0051183+0.0015081i,-0.0022334+0.0014945i,0.00062865+0.0014672i,0.003836-0.00096979i,0.0054131-0.0051364i,0.0048677-0.0062688i,0.00051011-0.0032763i,-0.0070494+3.4613e-05i,-0.013878+0.0016855i,-0.01765+0.0008703i,-0.015257+0.00011645i,-0.0094154+0.00031644i
0.12093-0.15137i,0.013798-0.14962i,-0.057884-0.094291i,-0.066969-0.041387i,-0.06449-0.0095745i,-0.049321+0.011283i,-0.018323+0.019198i,-0.0020714+0.02033i,0.0028825+0.024335i,0.008992+0.023541i,0.0097202+0.016309i,0.0060912+0.009642i,0.0054579+0.0048425i,0.006631+0.00056017i,0.0046627-0.0023185i,-0.0010624-0.0014793i,-0.005321+0.00081019i,-0.0037777+0.0012801i,0.0039501+0.00059638i,0.013378+0.001485i,0.016879+0.0036129i,0.01279+0.0034812i,0.0072248+0.0025914i
-0.14504-0.071042i,-0.09723+0.033607i,-0.012649+0.077036i,0.023728+0.052405i,0.022392+0.031899i,0.019958+0.024722i,0.016808+0.0098855i,0.016858-0.00039949i,0.022834-0.0038536i,0.022067-0.0080281i,0.014738-0.0093199i,0.008696-0.0072402i,0.0029236-0.0063603i,-0.0027306-0.0049625i,-0.0034072-0.0015811i,0.001159+0.00048182i,0.0055318+0.00056771i,0.0042917-6.672e-05i,-0.0033434-0.00077617i,-0.013177-0.0038567i,-0.016614-0.0067507i,-0.011692-0.0055663i,-0.0057583-0.0031529i
0.0023604+0.12841i,0.058742+0.037941i,0.05376-0.065599i,0.0065545-0.094048i,-0.014747-0.068756i,-0.013205-0.04907i,-0.015582-0.029799i,-0.01214-0.014011i,-0.0095272-0.012479i,-0.013284-0.010907i,-0.013489-0.0058916i,-0.010362-0.0028098i,-0.0057214+0.00062527i,8.2125e-05+0.0043107i,0.0045903+0.0035255i,0.0036704-0.0027499i,-0.002813-0.0070615i,-0.0067925-0.0039355i,-0.0020009+0.004265i,0.0096655+0.013385i,0.0159+0.016136i,0.012958+0.011075i,0.0075253+0.0051604i
0.14123-0.037094i,0.010378-0.049276i,-0.086447+0.01071i,-0.081415+0.059157i,-0.058314+0.046533i,-0.051827+0.031441i,-0.032552+0.032237i,-0.013453+0.02622i,-0.011608+0.02167i,-0.010922+0.022897i,-0.0057333+0.020227i,-0.0014601+0.014261i,0.0029639+0.0067513i,0.0058211-0.0010828i,0.004245-0.0033915i,0.00096321+0.0012522i,0.00051773+0.0067207i,0.0019224+0.0055944i,0.00088201-0.0047643i,-0.0039884-0.018418i,-0.0070958-0.023468i,-0.0059584-0.017558i,-0.0046083-0.010476i
-0.035948-0.11975i,0.010342-0.028163i,0.092411+0.019058i,0.11069-0.0041902i,0.069474-0.010334i,0.041913+0.0083299i,0.033692+0.0068812i,0.023855+0.0017013i,0.019879+0.0040093i,0.0193+0.002114i,0.014834-0.0034392i,0.0095538-0.0056125i,0.0040481-0.0058624i,-0.004011-0.0041319i,-0.0078972+0.0004963i,-0.0042307+0.00073425i,-0.00052848-0.0051189i,-0.002727-0.0055911i,-0.006922+0.0064788i,-0.0078811+0.022143i,-0.0063939+0.027202i,-0.0042592+0.020559i,-0.0026934+0.012709i
-0.094393+0.066565i,-0.038991-0.015384i,-0.041927-0.11091i,-0.071693-0.11362i,-0.057731-0.070199i,-0.027299-0.048707i,-0.019303-0.033905i,-0.013324-0.017367i,-0.0057773-0.015281i,-0.0069439-0.018142i,-0.01016-0.014713i,-0.0099798-0.0087614i,-0.0048812-0.0021668i,0.0042789+0.0027868i,0.010933+0.0036179i,0.0086397+0.0023525i,0.0016473+0.0024337i,-0.0011831+0.0018977i,0.0031618-0.0055183i,0.009684-0.01752i,0.01253-0.022316i,0.010736-0.016287i,0.0077834-0.0089054i
0.1193+0.095777i,0.040728+0.093496i,-0.039323+0.12665i,-0.043033+0.13493i,-0.025049+0.08914i,-0.028853+0.042704i,-0.022935+0.029009i,-0.010592+0.021199i,-0.010296+0.011295i,-0.012591+0.0097269i,-0.0082604+0.010732i,-0.0027456+0.008965i,0.00028639+0.0040831i,-0.0019067-0.0042775i,-0.0083238-0.0095671i,-0.0092445-0.0076814i,-0.0038015-0.0039666i,-7.5965e-05-0.00228i,-0.0041579+0.0036037i,-0.013272+0.013807i,-0.01693+0.017133i,-0.013334+0.011265i,-0.0089615+0.0043374i
0.047521-0.15729i,0.06759-0.10494i,0.13457-0.057588i,0.14459-0.055096i,0.084934-0.044139i,0.040858-0.0077948i,0.030071+0.0060382i,0.020209+0.00029259i,0.012779+0.0016877i,0.013879+0.0043171i,0.014423+0.0020166i,0.011861-0.0013918i,0.0063081-0.0021474i,0.00030324+0.0021724i,-0.0015181+0.0076202i,-0.00046506+0.0086761i,7.2563e-05+0.0052182i,-0.00090561+0.0025285i,0.002226-0.0014424i,0.011933-0.0089612i,0.01746-0.013059i,0.012902-0.009096i,0.0063924-0.0029075i
-0.15769+0.0017244i,-0.13955-0.017047i,-0.13717-0.077373i,-0.14202-0.086982i,-0.098256-0.037706i,-0.037449-0.0094559i,-0.010707-0.0056767i,-0.001021-0.0013477i,0.0061422-0.0021436i,0.0052965-0.0077868i,0.00047827-0.010166i,-0.0033314-0.0058262i,-0.0019322+0.00040007i,0.0047059+0.0018873i,0.010084-0.0022102i,0.0086988-0.0066207i,0.0027931-0.0068765i,-0.0022994-0.005748i,-0.0085878-0.0036439i,-0.017792+0.0013129i,-0.021989+0.0059418i,-0.015387+0.0064494i,-0.0067365+0.0037762i
0.10711+0.15506i,0.09193+0.14218i,0.038878+0.15969i,0.013852+0.15816i,0.0038696+0.096529i,-0.010376+0.036927i,-0.011678+0.016782i,-0.0011987+0.00712i,0.0023338-0.0030398i,-0.003144-0.0055993i,-0.0079537-0.0022028i,-0.0068354-0.00011725i,-0.0031303-0.0027257i,-0.0035464-0.0075765i,-0.0092228-0.0086659i,-0.011485-0.0021458i,-0.007893+0.0050483i,-0.0010788+0.0076488i,0.0096206+0.0083664i,0.021208+0.007411i,0.026374+0.0046682i,0.020681+0.00073651i,0.011302-0.0015928i
0.11952-0.12031i,0.10377-0.15071i,0.11783-0.1403i,0.11743-0.11509i,0.066148-0.072458i,0.014102-0.024306i,-0.0026471+0.00222i,-0.0017966+0.0076512i,-0.001014+0.0059828i,0.0010065+0.0049316i,0.0037694+0.0045216i,0.0023569+0.0045908i,-0.0029664+0.0044976i,-0.0066213+0.0049909i,-0.0012791+0.004639i,0.0087227-0.00057996i,0.012847-0.0062404i,0.0084185-0.0096752i,-0.0032509-0.012972i,-0.017411-0.01691i,-0.024161-0.017875i,-0.019723-0.013194i,-0.011163-0.0083228i
-0.18033-0.012055i,-0.18927+0.047949i,-0.17182+0.039749i,-0.1539+0.0014039i,-0.10929-0.0036454i,-0.050985+0.0082027i,-0.011566+0.012631i,0.0048803+0.010474i,0.011972+0.0082264i,0.01534+0.0029054i,0.013535-0.0064498i,0.010067-0.0095343i,0.0082585-0.0041702i,0.00848+0.0024454i,0.0035121+0.0064915i,-0.0085444+0.0070877i,-0.017477+0.0055402i,-0.0162+0.0071242i,-0.0040703+0.014583i,0.010723+0.02308i,0.016407+0.024794i,0.012504+0.018769i,0.0058155+0.012124i
0.039135+0.14464i,0.10096+0.10485i,0.10311+0.076016i,0.057685+0.077624i,0.020885+0.060637i,0.011945+0.019403i,0.0079739-0.0085224i,0.0060273-0.012564i,0.0089098-0.01177i,0.0068235-0.012582i,-0.0016252-0.011219i,-0.0084406-0.0098009i,-0.0075308-0.01338i,-0.0020764-0.018317i,0.0049847-0.015824i,0.013651-0.0059431i,0.019006+0.003954i,0.018407+0.0064216i,0.011183-0.0018442i,-0.00023465-0.015979i,-0.0063566-0.023443i,-0.0055008-0.019102i,-0.00049153-0.010632i
0.11417-0.11272i,0.042688-0.16085i,-0.0088172-0.13877i,0.015331-0.090969i,0.028075-0.062596i,-0.0051708-0.037287i,-0.023888-0.0067528i,-0.015362+0.0073892i,-0.0082453+0.0084272i,-0.0054545+0.010953i,0.00056476+0.015039i,0.0032249+0.016885i,-0.0019778+0.015903i,-0.010724+0.013839i,-0.016467+0.0087068i,-0.015967-0.0011424i,-0.013689-0.012429i,-0.012331-0.017173i,-0.0093174-0.010089i,-0.002691+0.004544i,0.0020364+0.012319i,0.0022529+0.0078954i,-0.00043947+0.00068786i
-0.091122-0.060913i,-0.079697+0.039401i,-0.040026+0.074465i,-0.043375+0.015899i,-0.061872-0.015125i,-0.041548+0.010665i,-0.0027248+0.024383i,0.013003+0.015425i,0.012232+0.012995i,0.014932+0.011046i,0.017364+0.00073905i,0.015991-0.0071148i,0.015508-0.0070254i,0.015441-0.0001938i,0.013071+0.011133i,0.0091928+0.020138i,0.0034204+0.023137i,-0.0013876+0.021309i,-0.0010303+0.012892i,0.00040003-0.0014783i,-0.00064779-0.0108i,-0.0029395-0.0080338i,-0.0052072-0.00085173i
