-0.0027085+0.0002391i,-0.0014819+0.001299i,-0.0030749+0.001855i,-0.0029043+0.0012789i,-0.0012796+0.0020745i,-0.00066046+0.0027222i,-0.00063155+0.0027941i,-8.6899e-05+0.0021653i,0.00084267+0.00076649i,0.00096539+1.5877e-05i,0.00030046-6.7804e-05i,0.00052537-0.00087091i,0.0010265-0.0011381i,0.0014378-0.00074543i,0.0018049-0.0011868i,0.0010848-0.0015976i,0.00034139-0.00051101i,-3.6687e-05+0.00033696i,0.00033326-0.00086786i,0.00052282-0.0013341i,0.00024806-0.00012543i,9.5542e-05+0.00055944i,9.0329e-05+2.3789e-05i
-0.41516-0.024192i,-0.49526+0.031402i,-0.3624+0.11493i,-0.14088+0.12165i,-0.046346+0.014828i,-0.071665-0.088822i,-0.070674-0.11432i,-0.049457-0.10702i,-0.059737-0.067547i,-0.056089-0.0044428i,-0.027355+0.022947i,-0.017582+0.013007i,-0.025733-0.00039379i,-0.024328-0.00045878i,-0.010182+0.0051336i,0.0028739+0.0012735i,0.0067291-0.007992i,0.0065815-0.013995i,0.0056564-0.015639i,0.0020778-0.016813i,-0.0023685-0.018563i,-0.0063452-0.017388i,-0.0076647-0.0092361i
0.14936-0.3783i,0.20992-0.51794i,0.14333-0.53739i,-0.014772-0.39524i,-0.055603-0.17855i,0.020703-0.05062i,0.043251+0.00052309i,0.025536+0.046267i,0.032668+0.033295i,0.011618-0.022827i,-0.023665-0.020164i,-0.013433+0.018373i,0.012476+0.026355i,0.012334+0.008144i,-0.0023718-0.0064333i,-0.013557-0.0061329i,-0.014583-0.0032154i,-0.0090347-0.0026682i,-0.0060821+0.0027097i,-0.0065049+0.014177i,-0.0062814+0.020518i,-0.002367+0.01628i,0.001369+0.0082678i
0.2473+0.28496i,0.24906+0.48318i,0.21444+0.57488i,0.21113+0.45574i,0.17742+0.25459i,0.11186+0.14619i,0.094747+0.078079i,0.082279-0.012328i,0.042161-0.036755i,0.036675-0.0098493i,0.038944-0.025098i,0.0055557-0.051862i,-0.018764-0.04313i,-0.011042-0.02291i,0.005656-0.014141i,0.013877-0.015405i,0.0099628-0.011574i,0.0040699-0.0011761i,0.0051827+0.0031784i,0.011034-0.00040306i,0.013552-0.0032012i,0.0085938+0.00016663i,-0.00034982+0.0050021i
-0.25139+0.060103i,-0.3517-0.13733i,-0.34741-0.34643i,-0.27342-0.37361i,-0.22088-0.27778i,-0.20347-0.18958i,-0.19024-0.10604i,-0.14266-0.024853i,-0.080231+0.013853i,-0.045072+0.026427i,-0.021029+0.043175i,0.0033276+0.045858i,0.0068341+0.033484i,-0.0012335+0.024687i,-0.0056329+0.018014i,-0.0098774+0.014543i,-0.010945+0.013305i,-0.0072729+0.0074138i,-0.0046534-0.0010391i,-0.0056854-0.0052385i,-0.0077406-0.0046665i,-0.0049524-0.0053231i,0.0048347-0.0072089i
0.00031285-0.16186i,0.13295-0.075552i,0.21036+0.11825i,0.1714+0.26607i,0.16161+0.27605i,0.21153+0.19086i,0.22528+0.094881i,0.17995+0.035006i,0.096622-0.00039365i,0.016387-0.013587i,-0.018238-0.011902i,-0.013128-0.012735i,0.0016652-0.018072i,0.0031946-0.021696i,-0.0031663-0.01784i,-0.00098479-0.011614i,0.0072365-0.0098422i,0.012638-0.0096109i,0.012286-0.0091921i,0.010826-0.0093137i,0.010108-0.0074289i,0.0066106-0.0038335i,-0.0020114-6.5747e-05i
0.13499-0.036154i,0.06901-0.0014293i,0.0012816-0.057139i,-0.011302-0.20458i,-0.064272-0.24962i,-0.14295-0.1489i,-0.15574-0.062892i,-0.13076-0.04178i,-0.073576-0.029286i,-0.00089346-0.035562i,0.018681-0.048561i,-0.0025243-0.028495i,-0.011046-8.4694e-05i,0.0010104+0.0073456i,0.0097392+0.0014725i,0.0043535-0.0031912i,-0.0023048-0.0018705i,-0.0046445+0.00044664i,-0.0076722+0.0020696i,-0.011263+0.0040609i,-0.011396+0.0040304i,-0.0089375+0.0033627i,-0.0029227+0.0039624i
0.010285+0.13973i,-0.04091+0.053329i,-0.13498+0.011931i,-0.16138+0.1138i,-0.066717+0.16547i,0.033134+0.098829i,0.069618+0.06859i,0.083342+0.079613i,0.064475+0.069269i,0.028511+0.070725i,0.027603+0.071375i,0.039367+0.037741i,0.032835+0.0055102i,0.019141-0.00061199i,0.014462+0.0054187i,0.016919+0.0090006i,0.011006+0.0083034i,-0.0004854+0.0096255i,-0.0022789+0.012134i,0.0034288+0.010695i,0.0054044+0.0087601i,0.0023193+0.0079562i,-0.0027228+0.0047202i
-0.13154+0.017371i,0.039818+0.070453i,0.288+0.055819i,0.36775-0.03927i,0.26958-0.082637i,0.1537-0.070336i,0.068612-0.092249i,1.8071e-05-0.10574i,-0.03496-0.0759i,-0.048304-0.05226i,-0.060985-0.038559i,-0.056052-0.016793i,-0.035162-0.0029452i,-0.018987-0.00073516i,-0.014606-0.002114i,-0.019516-0.0044315i,-0.021228-0.0044207i,-0.013001-0.0040687i,-0.0030767-0.0070868i,0.00090815-0.011384i,-3.6019e-05-0.013917i,0.00084835-0.011977i,0.0057184-0.0069896i
-0.030091-0.19932i,-0.24105-0.15549i,-0.45084-0.039781i,-0.49472+0.026761i,-0.4047+0.040867i,-0.27002+0.06825i,-0.14134+0.1078i,-0.054816+0.10324i,-0.0089556+0.049946i,0.013369-0.0040562i,0.020332-0.022314i,0.0173-0.013467i,0.01259-0.003219i,0.010324-0.0063645i,0.0075668-0.013905i,0.0079968-0.012018i,0.010116-0.0050668i,0.0079112+0.00056008i,0.0026676+0.0037203i,-0.0021859+0.0066622i,-0.0032906+0.0091205i,-0.0015665+0.0076346i,-0.00089914+0.0038647i
0.29013+0.07074i,0.41964-0.04588i,0.48602-0.12209i,0.49694-0.071359i,0.44046-0.0384i,0.31698-0.082278i,0.19371-0.11796i,0.11547-0.10508i,0.068353-0.047359i,0.053202+0.018577i,0.047741+0.034492i,0.026755+0.012668i,0.0045181+0.001137i,-0.0037527+0.0083107i,0.00068481+0.013073i,0.0069128+0.0040931i,0.0072639-0.0054648i,0.0061693-0.0064159i,0.0047491-0.0043814i,-0.00059904-0.0028744i,-0.0064558-0.0016979i,-0.010695+0.00026963i,-0.012794+0.0027531i
-0.22397+0.24482i,-0.22595+0.33202i,-0.22666+0.24959i,-0.2895+0.080922i,-0.30276+0.027518i,-0.22463+0.082365i,-0.1494+0.10813i,-0.11141+0.086302i,-0.089432+0.045451i,-0.0885+0.013947i,-0.080662+0.011269i,-0.045464+0.019504i,-0.012784+0.018423i,-0.0021952+0.0073444i,-0.0083688+0.0030477i,-0.013347+0.010589i,-0.010271+0.011559i,-0.0076384+0.0030912i,-0.0047085-0.00020032i,0.0036308+0.0029635i,0.01142+0.0041251i,0.012889+0.00085229i,0.011977-0.0041463i
-0.13312-0.31804i,-0.20981-0.30557i,-0.16011-0.10449i,-0.0036135+0.09171i,0.088129+0.10917i,0.093341+0.02351i,0.10445-0.030057i,0.10798-0.042335i,0.083107-0.043442i,0.06255-0.049878i,0.047232-0.055901i,0.02534-0.045688i,0.0088477-0.029366i,0.0037916-0.019094i,0.0060538-0.017542i,0.008031-0.022217i,0.0062482-0.022287i,0.0052273-0.016033i,0.0072718-0.012351i,0.0070196-0.011539i,0.0038978-0.0074492i,0.002789+1.3664e-05i,0.0018072+0.0087761i
0.37378-0.0036376i,0.45088-0.1193i,0.33356-0.27721i,0.15026-0.34922i,0.057953-0.28376i,0.016543-0.15808i,-0.035575-0.061455i,-0.057157-0.013176i,-0.032676+0.014776i,0.0027375+0.034777i,0.016491+0.038727i,0.010455+0.027189i,0.007163+0.016363i,0.013301+0.011732i,0.016249+0.011438i,0.009344+0.014156i,0.00054004+0.015879i,-0.0058962+0.013462i,-0.011792+0.0077959i,-0.013656+0.0017717i,-0.012573-0.0026101i,-0.010491-0.0040947i,-0.0083777-0.0053113i
-0.19366+0.36352i,-0.20573+0.53469i,-0.14517+0.57009i,-0.10444+0.49369i,-0.090054+0.379i,-0.039133+0.24904i,0.024096+0.14039i,0.04039+0.073926i,0.0031459+0.036617i,-0.044032+0.02405i,-0.053031+0.020626i,-0.028862+0.012165i,-0.0096777+0.00098773i,-0.010454-0.007096i,-0.014983-0.0073694i,-0.0092217-0.0035866i,-0.0021662+0.00055592i,0.00012064+0.0065255i,-0.00086115+0.010773i,-0.0024164+0.010155i,-8.4186e-05+0.0053205i,0.0040309+0.00089622i,0.0067462-0.00012926i
-0.22037-0.35771i,-0.28728-0.48538i,-0.19132-0.48138i,-0.010018-0.41383i,0.072255-0.33695i,0.035915-0.24827i,-0.013959-0.17144i,-0.023722-0.11747i,-0.0031274-0.084195i,0.015772-0.076716i,0.0099561-0.068193i,-0.0087648-0.040808i,-0.015254-0.014729i,-0.0046707-0.004139i,0.0047039-0.0071374i,0.0015185-0.011701i,-0.0006491-0.010775i,0.0056052-0.0079897i,0.011069-0.0055137i,0.0090506-7.3268e-05i,0.0009643+0.0074848i,-0.0064148+0.011616i,-0.0082836+0.011946i
0.39862-0.031126i,0.47409-0.015271i,0.2912+0.055727i,0.026073+0.13744i,-0.073876+0.16273i,-0.024476+0.15006i,0.028688+0.12939i,0.037905+0.09446i,0.028856+0.06384i,0.033788+0.056236i,0.045662+0.047665i,0.042272+0.025801i,0.030293+0.0097546i,0.0174+0.0054214i,0.0099955+0.0075765i,0.010731+0.0096126i,0.012155+0.0052024i,0.010323+0.00017293i,0.0090116-0.0019931i,0.010291-0.0045001i,0.010081-0.0081733i,0.0066296-0.010946i,0.0012448-0.011206i
-0.13193+0.35133i,-0.14069+0.41959i,-0.023183+0.29286i,0.12731+0.11281i,0.15446+0.018633i,0.08142-0.024037i,0.027428-0.053552i,0.012861-0.055054i,-0.0043096-0.032479i,-0.034794-0.002842i,-0.049563+0.016167i,-0.038625+0.017758i,-0.025697+0.011676i,-0.021151+0.0073445i,-0.019303+0.0038645i,-0.016453-0.001832i,-0.013726-0.0064389i,-0.01089-0.010241i,-0.00791-0.013237i,-0.0056878-0.010386i,-0.00097038-0.0028694i,0.0051658+0.0040565i,0.0082466+0.0071721i
-0.24778-0.27534i,-0.32383-0.35745i,-0.32472-0.29319i,-0.28944-0.17751i,-0.21168-0.1094i,-0.11372-0.048729i,-0.053579+0.01201i,-0.027199+0.031424i,-0.0058194+0.0050308i,0.0071976-0.040211i,0.0039967-0.060005i,-0.0012494-0.043223i,0.0044102-0.021808i,0.01445-0.015316i,0.016833-0.013851i,0.010473-0.0067745i,0.0012543+0.0014345i,-0.0076841+0.0052647i,-0.012856+0.0055933i,-0.011815+0.0036221i,-0.010184+0.0022438i,-0.010736+0.0023929i,-0.011345+0.0037334i
0.34783-0.079932i,0.47225-0.050962i,0.44079+0.025331i,0.32385+0.10408i,0.2152+0.13678i,0.13475+0.093648i,0.088175+0.028993i,0.059552+0.0022876i,0.041062+0.015397i,0.042999+0.034611i,0.046475+0.029735i,0.033998+0.0086917i,0.01665-0.0044846i,0.0033984-0.0031892i,-9.4075e-05+0.0014492i,0.0018026+0.00049554i,0.0017672-0.00029796i,0.0022983+0.003756i,0.0030257+0.0074485i,0.0028981+0.0058025i,0.0019123-0.0017786i,0.0035581-0.0085866i,0.0066571-0.011767i
-0.097872+0.3031i,-0.18646+0.34771i,-0.22168+0.19379i,-0.18606-0.023132i,-0.13357-0.12185i,-0.096643-0.09525i,-0.073763-0.037717i,-0.053509-0.0063342i,-0.042585+0.0044383i,-0.046187+0.017983i,-0.043818+0.032437i,-0.028265+0.036387i,-0.01423+0.030085i,-0.0039832+0.015111i,-0.00037526+0.0032035i,-0.0018082+0.0009665i,-0.001437+0.0019041i,0.0028389+0.0018286i,0.0055113+0.00098035i,0.0026072+0.0028994i,0.00045334+0.0077014i,0.0013134+0.012343i,0.0030539+0.012875i
-0.19459-0.20075i,-0.19546-0.25902i,-0.093986-0.14581i,-0.0051998+0.042243i,0.025727+0.1191i,0.047061+0.089121i,0.057273+0.046204i,0.038042+0.020477i,0.010454-0.0022218i,-0.0079668-0.031943i,-0.016317-0.049424i,-0.015461-0.043286i,-0.0063999-0.030808i,0.0015003-0.022097i,0.0034597-0.015204i,0.0050393-0.0091074i,0.00669-0.0067708i,0.006924-0.0053834i,0.0085099-0.0016345i,0.007841-0.00026687i,0.00051087-0.0012575i,-0.0086501-0.0017265i,-0.012329-0.0010645i
0.24568-0.080819i,0.3084-0.079535i,0.22855-0.087975i,0.11679-0.12338i,0.059321-0.11647i,0.013049-0.071396i,-0.022492-0.047686i,-0.025815-0.043046i,-0.0052972-0.027133i,0.028822-0.00075533i,0.050169+0.013738i,0.041126+0.01353i,0.018191+0.014734i,0.0032001+0.018376i,-0.0019048+0.016592i,-0.0048979+0.0096903i,-0.0069667+0.0016322i,-0.0069413-0.0070279i,-0.0045645-0.013056i,-0.00090329-0.012466i,0.0036185-0.0094847i,0.0074548-0.0086871i,0.0065271-0.0082063i
-0.039969+0.23418i,-0.099197+0.29683i,-0.12507+0.25038i,-0.12106+0.16854i,-0.10509+0.095599i,-0.053477+0.043441i,0.0051736+0.026014i,0.026842+0.01768i,0.0088182+0.008676i,-0.023477+0.015286i,-0.038276+0.02695i,-0.026988+0.025663i,-0.0080985+0.012226i,0.003005-0.002317i,0.0064202-0.0078368i,0.0057151-0.0057383i,0.0029397-0.0002062i,-0.00081316+0.0044729i,-0.0032454+0.004143i,-0.0016644+0.002668i,0.0010995+0.0054221i,0.0026646+0.011397i,0.0042395+0.015046i
-0.15867-0.1377i,-0.14827-0.21825i,-0.039096-0.21099i,0.078155-0.13459i,0.12603-0.057871i,0.098186-0.015924i,0.048501-0.0069793i,0.020929-0.0061833i,0.011016-0.010718i,0.00032918-0.028011i,-0.012503-0.04102i,-0.018105-0.035801i,-0.016586-0.022893i,-0.012718-0.011735i,-0.0075486-0.0040853i,-0.0039343-0.0021199i,-0.0036313-0.00029291i,-0.0039124+0.0050522i,-0.0047727+0.0056099i,-0.0054485+0.00019806i,-0.0059028-0.0041702i,-0.0066746-0.0069347i,-0.0060606-0.0079581i
0.16109-0.069865i,0.19504-0.025473i,0.098107+0.033818i,-0.042855+0.039737i,-0.10681+0.015923i,-0.088923+0.01032i,-0.049365+0.0139i,-0.022406+0.0057784i,-0.0010047-0.0018925i,0.025855-0.0038048i,0.041034-0.0049049i,0.033401-0.0015997i,0.022858+0.0061685i,0.019391+0.0082205i,0.015325+0.0036857i,0.0082017+0.00073418i,0.0019698-0.00063036i,-0.00076206-0.0015972i,-0.0019148+0.00045242i,-0.0021877+0.0033481i,-0.0013905+0.0026271i,0.0016236+0.000438i,0.005361-0.0012587i
-0.0087243+0.14545i,-0.038329+0.16213i,-0.013699+0.098635i,0.055807+0.044066i,0.085066+0.023174i,0.070976-0.0012168i,0.057169-0.016518i,0.048225-0.010121i,0.028875+0.0078008i,0.00032681+0.029484i,-0.017302+0.039755i,-0.016339+0.026392i,-0.01161+0.0036464i,-0.0097889-0.01007i,-0.0073902-0.01126i,-0.002516-0.0086763i,0.0036496-0.0078212i,0.0078772-0.0054251i,0.010846-0.001721i,0.010543+0.00099217i,0.0056045+0.0038817i,0.00087809+0.0060383i,-0.0018279+0.0055378i
-0.11158-0.067353i,-0.11979-0.11054i,-0.090001-0.10178i,-0.064298-0.071349i,-0.032526-0.048421i,-0.0073493-0.013565i,-0.0099988+0.01689i,-0.018723+0.022754i,-0.01858+0.0082607i,-0.01727-0.016017i,-0.016947-0.030088i,-0.011566-0.021772i,-0.0027111-0.0027734i,0.0041883+0.010525i,0.0047507+0.013101i,0.00076681+0.0098056i,-0.0020422+0.0062037i,-0.0025869+0.0017223i,-0.0029799-0.0032395i,-0.0037614-0.0036454i,-0.0054725-0.00059717i,-0.0068194-0.0001079i,-0.0061849-0.00078547i
0.10478-0.051191i,0.1481-0.024589i,0.1227+0.025663i,0.058018+0.065746i,0.00076287+0.078031i,-0.021581+0.04975i,-0.012842+0.011678i,-0.0039174-0.0063429i,0.0012815-0.0065578i,0.015782-0.0015803i,0.028659+0.00075982i,0.025031+0.00048889i,0.014814-0.0029045i,0.0070762-0.0092031i,0.0018989-0.01164i,-0.00010225-0.0088993i,-0.0017453-0.0057829i,-0.0046999-0.0041672i,-0.0046727-0.0031292i,0.00012813-0.0026749i,0.0043591-0.0027547i,0.0075249-0.00064505i,0.009276+0.0026566i
-0.0047624+0.09072i,-0.04277+0.097805i,-0.056525+0.034711i,-0.025272-0.046235i,0.013601-0.081422i,0.028083-0.065121i,0.024909-0.036557i,0.022617-0.020658i,0.016076-0.0066684i,0.0034818+0.014873i,-0.0062592+0.025349i,-0.010711+0.01452i,-0.013363+0.0038023i,-0.01258+0.004011i,-0.0060513+0.0063073i,-0.00096706+0.0046275i,-0.00048658+0.0026511i,-0.00047018+0.0018548i,-0.0017109+3.0343e-05i,-0.0037838-0.0016508i,-0.003631-0.002356i,-0.0035082-0.0016622i,-0.0045836-0.0011286i
-0.062226-0.04131i,-0.054165-0.062349i,-0.022049-0.03145i,-0.0098076+0.029282i,-0.013708+0.05918i,-0.0064838+0.056341i,0.0029074+0.049137i,0.00018434+0.041938i,-0.01162+0.024286i,-0.025372-0.00084878i,-0.02743-0.013771i,-0.012071-0.0087345i,0.0073671-0.0022459i,0.016189-0.00232i,0.013281-0.0038016i,0.0070211-0.0024987i,0.0024379+0.00076673i,-7.4681e-05+0.0034446i,-0.0012442+0.0044152i,-0.0013025+0.0041418i,-0.0016347+0.0024144i,-0.0022739-0.00039803i,-0.00092372-0.0025856i
0.053795-0.039128i,0.070588-0.028458i,0.051932-0.017448i,0.030116-0.019221i,0.016831-0.016405i,-0.0015487-0.011807i,-0.012462-0.016623i,-0.011263-0.021941i,-0.003021-0.020271i,0.011401-0.016886i,0.018062-0.01281i,0.0068985-0.0079438i,-0.0083552-0.0043459i,-0.014217-0.0029318i,-0.012408-0.0032371i,-0.0069866-0.0041332i,-0.0026814-0.0043342i,0.00071184-0.001867i,0.0044325+0.00023477i,0.0049182-0.00089792i,0.0021086-0.0022999i,-0.00010619-0.00086792i,-0.00050036+0.0023516i
0.0091491+0.052976i,-0.011859+0.061369i,-0.030408+0.041028i,-0.036905+0.0099805i,-0.026703-0.019584i,-0.0021938-0.028681i,0.014241-0.016416i,0.013615-0.0066224i,0.0064268-0.00068889i,0.00087385+0.010188i,-0.0014589+0.016504i,0.00071398+0.011899i,0.0063498+0.0061173i,0.012508+0.0028878i,0.013773+0.00053545i,0.010143-0.00052722i,0.007088-0.00057098i,0.0041117-0.0033315i,0.00087834-0.004583i,-0.00067036-0.00061066i,-8.9705e-05+0.0028041i,-0.00085625+0.003815i,-0.0027975+0.0036857i
-0.032834-0.013027i,-0.023737-0.03474i,0.0067882-0.032825i,0.035741-0.0035258i,0.045537+0.028972i,0.033901+0.036369i,0.019021+0.022951i,0.0098358+0.011885i,0.0001675+0.0041661i,-0.010536-0.0048124i,-0.01258-0.010389i,-0.002636-0.0078133i,0.004197-0.0055i,0.00093525-0.0060713i,-0.0035908-0.0037689i,-0.0043332+0.00030359i,-0.0040605+0.0032337i,-0.0036249+0.0040859i,-0.00053732+0.0014563i,0.002008-0.001909i,0.0012607-0.0025406i,0.0012443-0.0016364i,0.00332-0.0026903i
0.025229-0.019387i,0.032784-0.0055531i,0.013119+0.0056186i,-0.019093-0.0036763i,-0.034525-0.016953i,-0.028812-0.018003i,-0.01806-0.015009i,-0.010722-0.018144i,-0.001761-0.022471i,0.0089041-0.021337i,0.010235-0.013728i,-0.001484-0.00080651i,-0.0099648+0.011463i,-0.0074166+0.014806i,-0.0021427+0.0095159i,0.00024509+0.0032519i,3.5624e-05+0.00042574i,-0.00074091+0.00053989i,-0.001282+0.00085794i,-0.00060992+0.0015279i,0.0001157+0.0015353i,3.5703e-05+0.00033223i,-0.00068459+0.00033232i
0.0039112+0.016381i,-0.007632+0.020163i,-0.0083305+0.010807i,0.0038169+0.0046694i,0.010386+0.0025445i,0.016362-0.0020312i,0.026038-0.0033526i,0.030311-0.0020535i,0.024223+0.003618i,0.013584+0.013465i,0.0074228+0.01359i,0.0059193-0.00046761i,0.0062983-0.011899i,0.0062158-0.013004i,0.004902-0.0092912i,0.0033236-0.0063578i,0.0005315-0.0044981i,-0.0029014-0.0023731i,-0.0041594+1.0279e-05i,-0.0031449+3.9627e-05i,-0.0012878-0.00096464i,-0.0012219+0.00030513i,-0.001808+0.0018545i
-0.012739-0.0062886i,-0.01087-0.018441i,-0.0006894-0.020022i,0.010757-0.012001i,0.021223-0.00025461i,0.021196+0.0139i,0.013213+0.020606i,0.0089685+0.017587i,0.0030459+0.009981i,-0.0071527+0.0013851i,-0.012241-0.0029348i,-0.0080648+0.00011653i,-0.0039409+0.00528i,-0.0037964+0.0075597i,-0.0015424+0.0062786i,0.0004509+0.0037078i,0.00052591+0.0037347i,0.0021791+0.0039812i,0.0030228+0.0017031i,0.00082825-0.00049914i,-0.0017422-0.00080284i,-0.0026385-0.00079014i,-0.0015094-0.0018305i
0.0096743-0.0056629i,0.015184+0.0010683i,0.0093571+0.010362i,-0.0087948+0.016328i,-0.025587+0.013116i,-0.024963+0.0040358i,-0.014214+0.00091606i,-0.009299+0.0032326i,-0.0050395+0.0023143i,0.0035529-0.0031536i,0.0054602-0.0042038i,0.00083228+0.0015096i,0.00084517+0.0043941i,0.0032972+0.0020636i,0.0035823-0.0003126i,0.0026334-0.0030591i,0.0012729-0.0059172i,-0.00029789-0.0059421i,0.00017233-0.0013568i,0.0024754+0.0023883i,0.0029353+0.0010288i,0.0017858+0.00073775i,0.0013095+0.0027706i
0.00032849+0.0056438i,-0.0041611+0.0054058i,-0.0047813-0.002028i,0.0040264-0.010849i,0.016258-0.013431i,0.021818-0.010459i,0.018384-0.0092647i,0.01251-0.0074146i,0.0081239+0.00034733i,0.0054759+0.0093962i,0.0030372+0.0077323i,-0.00058996-0.0030993i,-0.0039837-0.010028i,-0.0050765-0.0096553i,-0.0032859-0.0057412i,-0.00019355-0.0012059i,0.0018122+0.001769i,0.0021598+0.0014798i,0.00036132-0.0014782i,-0.002166-0.0017764i,-0.0032669+0.00095502i,-0.0022339+0.0021842i,-0.00082758+0.0016071i
0.00033432+0.0006939i,0.0047492-0.0046559i,0.0085548-0.0053783i,0.0066109-0.0012106i,0.0034341+0.0037825i,0.0041311+0.0083976i,0.0036973+0.012239i,-0.0017138+0.011128i,-0.0089867+0.0058782i,-0.014098+0.0012409i,-0.010603-0.00052911i,-0.00029812+0.001627i,0.0078904+0.0040711i,0.0087002+0.0037117i,0.0061337+0.0019591i,0.0037762+0.00055202i,0.0027192+0.0003681i,0.0029941-0.00042196i,0.0025536-0.001224i,0.0024858-0.00079691i,0.0018856-0.00031965i,0.0001881-0.001332i,-0.00135-0.0031134i
0.0013101+0.0022115i,0.0033264+0.007777i,0.0026417+0.011341i,-0.0006412+0.012688i,-0.0070956+0.012602i,-0.010774+0.0070382i,-0.0066556-8.3639e-05i,-0.0021353-0.0046492i,-0.00054454-0.0068303i,0.0014774-0.0067115i,0.0017823-0.0049659i,-0.0018152-0.0024485i,-0.0040479-0.00086572i,-0.0034517-0.0017679i,-0.0021082-0.0020204i,-0.0016607-0.00097604i,-0.0040985-0.00013388i,-0.0059896+0.00029305i,-0.0033123-0.00027276i,0.0005851-0.0017336i,0.0021071-0.0021869i,0.0022699-0.0014049i,0.0026364+2.4454e-05i
-0.0066814-0.00081841i,-0.012429-0.00030972i,-0.010901-0.0023038i,-0.0043648-0.0085527i,0.0046985-0.016824i,0.011772-0.016208i,0.011994-0.009902i,0.0084125-0.0086862i,0.0038596-0.0060894i,-0.00059105+0.00079267i,-0.0039928+0.0035764i,-0.0061459+0.0011715i,-0.0064553-0.0001806i,-0.0032656+0.00016035i,-0.00025741-0.00063013i,0.00086154-0.001975i,0.0022646-0.0011386i,0.0025487+0.00036273i,0.00095742+0.001076i,-0.0020143+0.001493i,-0.0031059+0.0017753i,-0.0038639+0.0016475i,-0.0048071+0.0017974i
0.0035815-0.0063768i,0.0059983-0.0087926i,0.0064522-0.0050984i,0.0065897+0.0038761i,0.0068579+0.012666i,0.0067078+0.014857i,0.0071871+0.012131i,0.0069901+0.0092878i,0.0016055+0.004144i,-0.0040752-0.0021453i,-0.004108-0.0056308i,0.00083969-0.0059047i,0.0055386-0.0058635i,0.0068081-0.0062083i,0.006124-0.0053635i,0.0034687-0.0028644i,0.00042244-0.00024424i,0.00022109+0.00026211i,0.0020433+0.00010585i,0.0018022-0.0010053i,-3.7876e-05-0.0016238i,-0.0001819-0.0010368i,0.0014005-4.0258e-07i
0.0014849+0.0044729i,0.0037646+0.0072004i,0.0032842+0.0082216i,0.0020914+0.0062373i,0.001504+0.0033103i,0.00013845+9.9694e-05i,-0.0031196-0.0043499i,-0.0044798-0.0073715i,-0.00063544-0.0085114i,0.0060837-0.007453i,0.0086524-0.0047219i,0.0053067-0.00095227i,0.0014801+0.0023747i,4.6503e-05+0.0032999i,-7.6762e-05+0.0028622i,0.0013935+0.0018563i,0.0027605+0.00053085i,0.0026306+0.00021248i,0.00071797-0.00019964i,-0.00064213-0.00022259i,0.00029981+0.00075521i,0.0013487+0.001196i,0.0015177+0.00096575i
-0.0031138+0.0020715i,-0.0037748-0.00063397i,-0.0031763-0.0020334i,-0.0036985-0.0048847i,-0.0016818-0.008555i,0.004397-0.0091544i,0.0089815-0.0070889i,0.0081319-0.005142i,0.0052742-0.0021245i,0.002628+0.0033668i,0.00031025+0.0052822i,-0.00083017+0.0037169i,-0.00061906+0.0015596i,-0.00057041-0.0010059i,-0.00061562-0.0025398i,0.00025118-0.0020507i,0.0012876-0.0012699i,0.0012339-0.0016653i,0.00020186-0.0007041i,0.00083668+0.0020158i,0.0018668+0.0031055i,0.00097534+0.0025917i,-0.0012573+0.0020043i
0.0094469-0.00037144i,0.013916-0.0014263i,0.013051-0.00066569i,0.012907+0.0025912i,0.014112+0.0089317i,0.012799+0.011472i,0.013446+0.0075162i,0.013514+0.0017299i,0.0093609-0.0014832i,0.0035692-0.0044963i,5.8055e-05-0.0072933i,-0.00095872-0.0080234i,-0.0010697-0.0078214i,-0.0011707-0.0064321i,-0.00081493-0.0043898i,-0.00020877-0.0021757i,-0.0015679-0.00030118i,-0.0033411+4.0392e-05i,-0.0039846-0.0015531i,-0.0034253-0.0038311i,-0.0022636-0.0043415i,-0.0015157-0.0030938i,-0.0013755-0.0023168i
-0.00099987+0.0085685i,-0.0001304+0.014147i,-0.00038199+0.01232i,-0.0034197+0.0049272i,-0.0064855-0.00070433i,-0.0044455-0.00059324i,0.00074392+0.0026222i,0.0029152+0.0030575i,0.0031808+0.0016943i,0.0053611+0.0016905i,0.0073457+0.0027657i,0.0073432+0.0041084i,0.0071872+0.0044577i,0.0065913+0.0034668i,0.0045801+0.0011706i,0.0013739-0.0016795i,-0.0012813-0.0019211i,-0.0010389-0.0011434i,-0.00015335-0.00016444i,-0.00073809+0.0018856i,-0.0013339+0.0022889i,-0.0011289+0.0022319i,-0.00062999+0.0025855i
-0.0059123-0.0041981i,-0.0099004-0.0048621i,-0.0082796-0.0018624i,-0.0027552-0.00061183i,0.0033532-0.0016455i,0.0062912-0.00070348i,0.0072269+0.0021974i,0.0075509+0.0041045i,0.004135+0.004996i,-0.0018954+0.0071731i,-0.0066124+0.0086111i,-0.0084252+0.0076921i,-0.007187+0.0041627i,-0.0051064-0.00035476i,-0.004004-0.0030547i,-0.0031918-0.003594i,-0.0020503-0.0030897i,-0.00014551-0.0025617i,0.0025687-0.0015896i,0.002961+0.00021729i,0.0020901+0.00068648i,0.0012936-7.1024e-05i,0.00078379-0.00059757i
