-0.006924+0.0015745i,-0.0041603+0.0028662i,-0.0018621+0.0018952i,0.00017241-0.00055973i,0.0006462-0.0011425i,0.00014965-0.00068524i,-0.00013319-5.8668e-05i,0.00016708+0.00096741i,0.0010538+0.00069175i,0.00079755-0.00034015i,-0.00032806-0.0010625i,-0.00037866-0.00088436i,0.00034012-0.00079689i,0.00070378-0.00028309i,0.0003324+0.0005784i,-5.5982e-05+0.00078443i,-0.00047949+0.0013717i,-0.00045366+0.0012748i,8.505e-05+0.00027772i,8.5183e-05-0.00070946i,-0.00055775-0.00054773i,-0.0013726-0.0002562i,-0.0011602+9.9864e-05i
-0.29248-0.48051i,-0.53381-0.39717i,-0.42696-0.32197i,-0.26723-0.29377i,-0.20379-0.22899i,-0.13746-0.12061i,-0.089815-0.037292i,-0.068806+0.015782i,-0.038477+0.043293i,-0.025374+0.047167i,-0.033823+0.0518i,-0.03478+0.054198i,-0.030518+0.036758i,-0.030369+0.0029109i,-0.031626-0.030777i,-0.038852-0.053361i,-0.047188-0.046842i,-0.035374-0.011234i,-0.0068981+0.011849i,0.0092118+0.0061286i,0.0083463-0.0055666i,0.0056979-0.012673i,0.0068293-0.014876i
0.30673-0.34719i,0.22346-0.2375i,0.24824-0.11755i,0.27779-0.079713i,0.22897-0.049396i,0.14223-0.014386i,0.054834-0.014752i,0.00054451-0.013439i,-0.011454-0.0081064i,-0.016649-0.017777i,-0.025789-0.02591i,-0.023711-0.024614i,-0.0081149-0.022411i,0.012085-0.018213i,0.032326-0.0041984i,0.053831+0.0042472i,0.056111-0.0035881i,0.031967-0.0057119i,0.015931+0.0075125i,0.018276+0.017536i,0.018305+0.018656i,0.014587+0.01724i,0.012717+0.014062i
0.10872-0.28693i,-0.14861-0.25136i,-0.21426-0.069962i,-0.13763+0.093545i,-0.11304+0.11663i,-0.10825+0.076483i,-0.067928+0.035576i,-0.043166+0.013331i,-0.027141+0.01183i,-0.0055194+0.0079443i,0.0031478+0.012488i,0.0082876+0.028056i,0.011547+0.03222i,-0.0032667+0.024914i,-0.031043+0.027905i,-0.043204+0.047707i,-0.0264+0.054257i,-0.005082+0.037206i,-0.00069619+0.023826i,-0.005225+0.021695i,-0.0095154+0.016224i,-0.011999+0.007317i,-0.010856+0.0011926i
0.65196-0.46091i,0.64461-0.68613i,0.34188-0.64595i,0.040507-0.40394i,-0.018767-0.25452i,-0.014827-0.18921i,-0.034815-0.098105i,-0.028437-0.035246i,-0.014568-0.0094588i,-0.0061534+0.0048872i,-0.022599+0.0052863i,-0.049751+0.0075512i,-0.047469+0.0050332i,-0.027425-0.018628i,-0.018048-0.047196i,-0.026614-0.056i,-0.035527-0.038794i,-0.031165-0.013826i,-0.020147+0.00062534i,-0.0099396+0.0030341i,-0.0055944-0.0011875i,-0.0046969-0.003843i,-0.00030746-0.0027465i
0.78518+0.57401i,1.0548+0.72811i,0.93186+0.41487i,0.55355+0.088769i,0.31414+0.03878i,0.20298+0.022322i,0.08818-0.023396i,0.017423-0.0306i,-0.0069258-0.02066i,-0.0092433-0.0074776i,0.0013505-0.020903i,-0.00055749-0.044689i,-0.00037413-0.03963i,0.01726-0.01981i,0.035675-0.0019547i,0.042119+0.0089965i,0.03393+0.0094124i,0.018936-0.00031461i,0.0026835-0.0071168i,-0.0091168-0.0010598i,-0.0091236+0.0035616i,-0.0062298+0.0026231i,-0.006083+0.0058343i
-0.46821+0.67102i,-0.62562+1.0578i,-0.38929+0.88713i,-0.16519+0.49243i,-0.11859+0.2707i,-0.071392+0.14641i,-0.023709+0.052225i,0.00043582+0.014648i,0.011131-0.0031291i,-0.00095699-0.00015903i,0.0014476+0.016814i,0.016052+0.01499i,0.012833+0.0064596i,-0.0041147+0.0084504i,-0.027216+0.019875i,-0.04758+0.032845i,-0.049622+0.03537i,-0.027679+0.027086i,-0.003163+0.013372i,0.0044039+0.00070804i,0.0051214-0.0046541i,0.00472-0.0067777i,-0.00067722-0.010462i
-0.54582-0.46803i,-0.83892-0.46607i,-0.63566-0.37355i,-0.33847-0.27971i,-0.17583-0.18173i,-0.060031-0.079021i,-0.0092664-0.024346i,-0.0038771+0.0031567i,0.010927+0.014444i,0.007935+0.0052039i,-0.012996-0.0034557i,-0.018761-0.0097529i,-0.0096794-0.019539i,-0.002339-0.032896i,-0.0082082-0.046454i,-0.02225-0.055198i,-0.028613-0.052326i,-0.022847-0.032401i,-0.010086-0.010982i,-0.00089294+3.3027e-05i,-0.0009782+0.0079522i,-0.0027308+0.011492i,0.0013416+0.0070322i
0.23198-0.55629i,0.16719-0.53308i,0.26819-0.31595i,0.30252-0.15874i,0.17802-0.066606i,0.046759+0.0092751i,-0.0071509+0.017819i,-0.018632+0.0065292i,-0.012028+0.0086224i,0.0020685+0.00017165i,0.013472-0.014375i,0.019338-0.01793i,0.023569-0.010376i,0.028124-0.0030585i,0.028818-0.0027619i,0.027536-0.0067957i,0.022845-0.011022i,0.01173-0.0090038i,0.0026145-0.00062405i,-0.0038317+0.0039628i,-0.011924+0.0025942i,-0.015005+0.00075042i,-0.010715+0.001847i
0.34787-0.31609i,0.10979-0.27652i,-0.061337-0.015018i,-0.088523+0.15253i,-0.080397+0.098448i,-0.078276+0.0079767i,-0.051205-0.012552i,-0.022725+0.0011244i,-0.0023138+0.014422i,0.009542+0.019266i,0.011464+0.024472i,0.011398+0.025984i,0.0087143+0.016825i,0.00032843+0.006441i,-0.011424+0.0022824i,-0.018514+0.0033096i,-0.014845+0.0042736i,-0.0069073+0.0047297i,-0.00097609+0.0066866i,0.0030077+0.0029023i,0.0021256-0.0049444i,-0.0014602-0.0079982i,-0.0030335-0.0095475i
0.6947-0.15425i,0.62551-0.38701i,0.30275-0.46544i,0.033657-0.34972i,-0.0031158-0.20329i,0.017922-0.10953i,-0.0077313-0.049229i,-0.035539-0.0084813i,-0.035322+0.026993i,-0.010588+0.040085i,-0.0017114+0.021992i,-0.007557+0.0039884i,0.0016463-0.003279i,0.016031-0.012283i,0.018277-0.025598i,0.012271-0.032638i,0.0089019-0.029476i,0.0040804-0.022748i,-0.0071805-0.012159i,-0.014122+0.00065313i,-0.015439+0.0038856i,-0.01459-0.0015457i,-0.0058539-0.0032924i
0.50867+0.64707i,0.70298+0.73159i,0.68645+0.45004i,0.45114+0.16121i,0.22761+0.074587i,0.092034+0.025215i,0.0080097-0.027682i,-0.027454-0.046906i,-0.047359-0.039057i,-0.050572-0.0053077i,-0.026768+0.01151i,-0.010561+0.0088343i,-0.0043142+0.016822i,0.0063995+0.024579i,0.017337+0.024556i,0.020054+0.022311i,0.014091+0.020081i,0.010085+0.014961i,0.0075939+0.00332i,0.0020828-0.010243i,0.0008948-0.020262i,0.0051302-0.022831i,0.0068548-0.014117i
-0.53974+0.50213i,-0.6959+0.74245i,-0.48354+0.62631i,-0.25773+0.35249i,-0.14524+0.18543i,-0.034661+0.079773i,0.023142-0.0074558i,0.025629-0.034202i,0.021134-0.033106i,-0.0013217-0.022489i,-0.017596-0.0049849i,-0.017569-0.0025564i,-0.020101-0.0077829i,-0.022918-0.0068168i,-0.026859+0.0022984i,-0.030847+0.011972i,-0.028476+0.012897i,-0.021193+0.0099303i,-0.011154+0.010065i,0.0012555+0.012325i,0.013234+0.014862i,0.019673+0.014166i,0.017105+0.0070857i
-0.45571-0.51279i,-0.63825-0.54579i,-0.41174-0.42134i,-0.17072-0.28877i,-0.10488-0.15763i,-0.063323-0.031762i,-0.011353+0.0068381i,0.0057148-0.0013656i,0.0029846+0.0024992i,-0.0013945+0.00094965i,-0.0063594-0.014023i,-0.0055186-0.023546i,0.0052031-0.021926i,0.014881-0.022705i,0.0073797-0.030267i,-0.0099814-0.034029i,-0.017018-0.029738i,-0.012425-0.02422i,-0.0096563-0.018853i,-0.016198-0.010151i,-0.023872-0.00066167i,-0.021471+0.0072881i,-0.0082337+0.012499i
0.26781-0.52625i,0.20736-0.45303i,0.22734-0.16546i,0.19683-0.012949i,0.09094-0.018615i,0.0091474-0.03545i,-0.00588-0.03265i,0.0084499-0.02307i,0.012573-0.019757i,0.0052458-0.018285i,0.0076707-0.018058i,0.0095634-0.01723i,0.002806-0.0048439i,0.004482+0.010072i,0.011132+0.011504i,0.0094797+0.001574i,0.0031145-0.0060542i,0.0016836-0.0027216i,0.007449-0.0018173i,0.0099286-0.011945i,0.0058508-0.018515i,0.0013776-0.013935i,-0.0044082-0.0031323i
0.40543-0.23478i,0.14284-0.21066i,-0.081325-0.048695i,-0.11908+0.028899i,-0.064097+0.016093i,-0.0055897+0.0079056i,0.026384+0.006555i,0.023077+0.014852i,0.022259+0.028501i,0.027002+0.021743i,0.026342+0.0088476i,0.024683-0.0029329i,0.015471-0.015355i,0.0003724-0.016764i,-0.0099549-0.011462i,-0.010604-0.010063i,-0.0052867-0.011947i,-0.0028643-0.0087889i,-0.0012834+0.0029499i,0.0043031+0.01356i,0.0055747+0.014861i,-0.00064098+0.0091182i,-0.0058683-8.5324e-05i
0.57167-0.010874i,0.46765-0.21722i,0.24876-0.29848i,0.097846-0.2269i,0.031257-0.13367i,-0.019395-0.065564i,-0.038706-0.014761i,-0.038816+0.0031484i,-0.043833+0.017201i,-0.025798+0.034074i,0.0018718+0.028951i,0.017218+0.01573i,0.029259+0.0090522i,0.032913-0.00015716i,0.023061-0.013753i,0.0093626-0.022188i,0.0034374-0.019281i,0.003058-0.013572i,-0.0034002-0.011217i,-0.015763-0.011801i,-0.022253-0.016362i,-0.018637-0.018862i,-0.0081088-0.01415i
0.33766+0.5291i,0.41964+0.50914i,0.39457+0.29542i,0.24963+0.11834i,0.14632+0.053088i,0.098298-0.0061734i,0.038625-0.047897i,0.0038993-0.047416i,-0.0089559-0.041356i,-0.021367-0.019474i,-0.017185+0.0078341i,-0.0079104+0.019289i,-0.00676+0.027123i,-0.0050883+0.030826i,0.0030527+0.023439i,0.011691+0.0090128i,0.0099936-0.00070778i,0.0046583+0.00030883i,0.0077729+0.00045277i,0.017933-0.0093749i,0.027012-0.018006i,0.026661-0.018307i,0.017568-0.01401i
-0.42104+0.31433i,-0.49922+0.41203i,-0.28465+0.34028i,-0.10644+0.18747i,-0.073658+0.12816i,-0.029422+0.10825i,0.020115+0.0422i,0.020589-0.0037469i,0.0083785-0.0044465i,-0.0030936+0.0017188i,-0.013281+0.0051797i,-0.014906+0.0053627i,-0.014915-0.0001086i,-0.016287-0.008881i,-0.017261-0.011663i,-0.014913-0.0059487i,-0.007804-0.0031773i,-0.0036115-0.0043844i,-0.0041687+0.0026465i,-0.0020966+0.018655i,0.0020028+0.028519i,0.0052989+0.023637i,0.0096352+0.011456i
-0.27381-0.43282i,-0.37079-0.45684i,-0.2406-0.27015i,-0.12339-0.11913i,-0.1102-0.088057i,-0.099508-0.063069i,-0.047036-0.026523i,-0.004341-0.016909i,-0.0023351-0.017471i,-0.011031-0.0087191i,-0.0086166-0.0069825i,-0.0043428-0.010302i,0.0030708-0.0040448i,0.015108-0.0010285i,0.017892-0.01067i,0.0056536-0.019491i,-0.0068435-0.016648i,-0.0081244-0.010609i,-0.0087849-0.013159i,-0.016633-0.019638i,-0.020657-0.019621i,-0.014129-0.012322i,-0.0024202+0.00047741i
0.29439-0.39999i,0.24808-0.32868i,0.19322-0.13257i,0.11528-0.061263i,0.067943-0.051903i,0.067001-0.035166i,0.056947-0.029683i,0.038003-0.016779i,0.027261-0.0082488i,0.011189-0.0086292i,0.0042557-0.0062332i,0.0015199-0.0072147i,-0.0098014-0.0021025i,-0.013752+0.011969i,-0.0049215+0.016417i,0.0050677+0.0038678i,0.006784-0.011989i,0.0058641-0.016366i,0.01462-0.01136i,0.026297-0.0091514i,0.026635-0.0087371i,0.016357-0.0038839i,0.0019734+0.001927i
0.35183-0.11778i,0.1241-0.063069i,-0.045161+0.062978i,-0.05744+0.078095i,-0.058231+0.038531i,-0.058315+0.041179i,-0.014106+0.040968i,0.0060191+0.023985i,-0.0023469+0.020766i,-0.0030327+0.017673i,0.0018879+0.0099747i,0.0071374-0.0013924i,0.0059117-0.015715i,-0.0026621-0.020735i,-0.010568-0.015929i,-0.010556-0.0083892i,-0.00040875-0.0030895i,0.0082274+0.00033877i,0.0054391+0.0082014i,-0.0037825+0.017915i,-0.0099683+0.019156i,-0.011327+0.011331i,-0.0091038+0.0031096i
0.43572-0.00074735i,0.25919-0.19398i,0.040929-0.26442i,-0.035561-0.20929i,-0.0098727-0.16457i,-0.00047984-0.12801i,-0.00843-0.057556i,-0.0026841-0.015065i,-0.0062178-0.010793i,-0.012303-0.0014074i,-0.0022278+0.007034i,0.01254+0.0052464i,0.023069+0.0032753i,0.025962+0.0015494i,0.019108-0.0055223i,0.0064818-0.014843i,-0.0042232-0.013623i,-0.0076181-0.0041665i,-0.0055496-0.0051785i,-0.0040647-0.018198i,-0.003547-0.028008i,-0.0025584-0.026607i,-0.0019397-0.017528i
0.27946+0.38206i,0.35116+0.29039i,0.3741+0.10367i,0.28781+0.0027273i,0.18885+0.039223i,0.12724+0.063163i,0.066696+0.026408i,0.023652+0.0055395i,0.0092061+0.0015563i,-0.0025126-0.00010585i,-0.0084704+0.0061655i,-0.0054713+0.012269i,-0.0068423+0.015955i,-0.010515+0.016622i,-0.0071258+0.010576i,0.0036219+3.666e-05i,0.010372-0.0092088i,0.0095878-0.010789i,0.012949-0.0023926i,0.024734+0.0055046i,0.032093+0.005341i,0.028036+0.0010893i,0.017284-0.0025291i
-0.24965+0.21783i,-0.32946+0.26533i,-0.20322+0.29401i,-0.091396+0.23346i,-0.1078+0.13228i,-0.11184+0.070042i,-0.051642+0.034975i,-0.0098224+0.007716i,-0.0046917-0.0035062i,-0.0052501-0.0034512i,-0.0051624-0.0031548i,-0.0047825-0.0034601i,-0.0024175-0.0052307i,-0.0013958-0.010342i,-0.0031936-0.012692i,-0.0041794-0.0068585i,1.9508e-05+0.0016301i,0.0038107+0.0072272i,-0.0026815+0.012066i,-0.014244+0.017498i,-0.014519+0.017857i,-0.0050602+0.012167i,0.0028797+0.0060854i
-0.11333-0.31971i,-0.16619-0.41283i,-0.1394-0.31744i,-0.10394-0.19947i,-0.052338-0.14251i,-0.0080916-0.099019i,0.0030035-0.044051i,0.009126-0.0061828i,0.011815+0.0017147i,0.0053024+0.0048586i,0.0072023+0.0073121i,0.011498+0.0051603i,0.0098218+0.0083396i,0.0097153+0.010464i,0.010687+0.00077588i,0.0050533-0.013362i,-0.0061069-0.016404i,-0.012022-0.0094221i,-0.0062696-0.0091167i,0.0032557-0.018124i,0.0070563-0.020735i,0.0062833-0.012033i,0.0043029-0.0020352i
0.29828-0.20349i,0.32703-0.12403i,0.30838+0.023047i,0.2099+0.052983i,0.084085+0.054168i,0.022781+0.064379i,0.010796+0.035463i,-0.0011645+0.012948i,-0.0078874+0.011972i,-0.010453+0.010976i,-0.011252+0.012821i,-0.011789+0.012266i,-0.01802+0.0073988i,-0.021416+0.0041845i,-0.011861+0.0024923i,0.0046156-0.0012758i,0.013096-0.0087453i,0.010716-0.012684i,0.0088305-0.0031036i,0.012278+0.013778i,0.013714+0.020011i,0.0081306+0.015542i,0.0015934+0.011013i
0.22908-0.047575i,-0.022525+0.026496i,-0.2173+0.13301i,-0.21397+0.095553i,-0.15721-0.020454i,-0.1104-0.057754i,-0.043505-0.02822i,-0.0031397-0.016467i,-0.0042693-0.017999i,-0.012011-0.0093789i,-0.011357-0.0007918i,-0.0063403-0.0038787i,-0.00043256-0.013427i,0.0021509-0.018229i,0.00016824-0.01553i,-0.0020161-0.0080523i,0.0010409-0.00048197i,0.0057825+0.0027723i,0.00053531+0.0017318i,-0.011081-0.00053396i,-0.015951-0.0010569i,-0.01475-0.0021159i,-0.012609-0.0019592i
0.34651-0.025366i,0.21701-0.25043i,0.071381-0.36744i,0.045423-0.30675i,0.092623-0.18129i,0.093558-0.0837i,0.046908-0.019992i,0.024578+0.0084533i,0.018699+0.0059384i,0.0030108+0.00178i,-0.0062802+0.0045255i,-0.00095051+0.0043033i,0.0056397+0.0034872i,0.0087122+0.0017856i,0.0096778-0.0060271i,0.00624-0.014882i,-0.00084907-0.015564i,-0.0037319-0.0082755i,0.0041183-0.0035823i,0.015099-0.0066535i,0.016731-0.011344i,0.010694-0.013104i,0.0055205-0.011973i
0.2558+0.28571i,0.29979+0.25377i,0.32682+0.19415i,0.24907+0.13958i,0.098945+0.11932i,0.0079958+0.096845i,-0.0079915+0.048916i,-0.0066266+0.017605i,-0.0049262+0.0057346i,-0.0088289-0.0053196i,-0.015131-0.0091099i,-0.014514-0.006909i,-0.010271-0.0052416i,-0.0046206-0.0040622i,0.0029997-0.0024926i,0.011858-0.0020618i,0.017106-0.0050352i,0.013902-0.0057153i,0.0051313+0.0046393i,0.00047246+0.018439i,0.0031196+0.018607i,0.0065355+0.008105i,0.00688+0.0026437i
-0.14176+0.14611i,-0.26284+0.11211i,-0.26138+0.10983i,-0.1783+0.067681i,-0.10322-0.014048i,-0.057153-0.046445i,-0.018443-0.020898i,0.0087069-0.00061601i,0.016298-0.00090924i,0.015164-0.0040535i,0.014816-0.0088584i,0.015308-0.012771i,0.01604-0.0099425i,0.013028-0.0035896i,0.0053575-0.00099071i,-0.0019203+0.00011368i,-0.0027502+0.0036315i,0.001936+0.0054672i,0.0012471-0.00084359i,-0.0046232-0.010512i,-0.0045643-0.011434i,0.0011253-0.0057025i,0.0021408-0.0015033i
0.054466-0.19695i,0.082337-0.33194i,0.1212-0.29164i,0.11157-0.16215i,0.075751-0.048533i,0.042086+0.0093042i,0.0064753+0.0248i,-0.009005+0.033836i,-0.0032362+0.03312i,0.00063478+0.023202i,0.0065322+0.01879i,0.013553+0.016933i,0.010111+0.015545i,0.001594+0.01197i,3.1254e-05+0.00097744i,0.0021516-0.011682i,-0.000235-0.013909i,-0.0037114-0.0032879i,0.0021446+0.0080819i,0.014595+0.011272i,0.019133+0.0086599i,0.015088+0.0063647i,0.011543+0.0042118i
0.23262-0.015772i,0.24996+0.10005i,0.18823+0.23221i,0.062991+0.19167i,-0.050304+0.081976i,-0.080298+0.020924i,-0.051972-0.0072957i,-0.035898-0.015245i,-0.031761-0.0079778i,-0.023294-0.00066191i,-0.015401+0.0060886i,-0.011465+0.0095867i,-0.0095769+0.0052412i,-0.0073968-0.00066587i,-0.00019189-0.0009211i,0.010943+0.00078896i,0.015669-0.0027463i,0.0075965-0.0061373i,-0.007086-0.0010726i,-0.015869+0.0095619i,-0.012409+0.015281i,-0.0053874+0.014747i,-0.0041931+0.014378i
0.14056-0.015599i,-0.081071-0.040305i,-0.24377-0.03729i,-0.18419-0.076946i,-0.05711-0.12151i,0.00078791-0.098086i,0.015455-0.04193i,0.019691-0.018387i,0.014487-0.017674i,0.0034687-0.011605i,-0.0028938-0.00099438i,-0.0018713+0.0027556i,0.0016183+0.0017019i,0.0025431-0.00013146i,-0.0003296-0.0012766i,-0.0038536+0.00063625i,-0.0020937+0.004062i,0.0038181+0.0022281i,0.0083284-0.0074971i,0.0092622-0.015512i,0.0060617-0.013205i,-0.00012464-0.0069211i,-0.0069928-0.0058093i
0.28939-0.0011228i,0.25466-0.15196i,0.19701-0.20784i,0.149-0.13275i,0.094018-0.025904i,0.038635+0.019793i,0.001987+0.020484i,-0.0045724+0.018545i,0.00084379+0.01363i,-0.0040132+0.006028i,-0.012507+0.0055898i,-0.013593+0.007108i,-0.011099+0.00426i,-0.0064965-0.0023994i,6.3841e-06-0.008372i,0.0046419-0.012274i,0.003777-0.010287i,2.4534e-06-0.00039716i,0.0026213+0.01353i,0.0097341+0.023967i,0.01014+0.021871i,0.0057327+0.011052i,0.0058118+0.0015881i
0.19133+0.23803i,0.15959+0.22449i,0.10686+0.19423i,0.045488+0.10849i,-0.011997+0.011569i,-0.028733-0.024439i,-0.011537-0.023469i,0.001888-0.017482i,0.0046591-0.01122i,0.00030022-0.011411i,-0.0069255-0.015484i,-0.0092189-0.018441i,-0.0041196-0.017044i,0.0049544-0.0099068i,0.010739-0.0014444i,0.012495+0.0044375i,0.012168+0.0034016i,0.0052148-0.0039892i,-0.010198-0.0067127i,-0.023772-0.0027259i,-0.021993+0.00026026i,-0.011491+6.8052e-05i,-0.0048825+0.0024022i
-0.031931+0.072944i,-0.12817-0.034946i,-0.12373-0.076582i,-0.026183-0.061578i,0.044318-0.033015i,0.044353-0.0077549i,0.024942+0.015654i,0.023472+0.027624i,0.025145+0.022457i,0.018484+0.0094477i,0.015424-0.0025405i,0.017526-0.0089557i,0.016287-0.0068515i,0.0098374-0.00089753i,0.0015572-0.00010122i,-0.0064391-0.0023123i,-0.0075081-0.001189i,0.0019077+0.00035593i,0.013163-0.0037538i,0.01778-0.010455i,0.014607-0.010509i,0.0095285-0.0069278i,0.0059964-0.0064595i
0.13776-0.037i,0.2082-0.12407i,0.2092-0.075699i,0.10966+0.015938i,0.0022747+0.047668i,-0.044421+0.032338i,-0.050174+0.016681i,-0.04202+0.022999i,-0.026632+0.029798i,-0.014295+0.022198i,-0.0039593+0.013824i,0.0067212+0.010167i,0.0092023+0.0065231i,0.0061262+0.0021559i,0.0075667-0.0048049i,0.01108-0.012294i,0.0084373-0.013504i,0.00041572-0.0041624i,-0.0049428+0.012121i,-0.0041743+0.023884i,-0.0023432+0.022284i,0.0004759+0.014611i,0.0051864+0.011605i
0.14967+0.081759i,0.10649+0.13943i,0.022641+0.17479i,-0.026667+0.073054i,-0.033318-0.041194i,-0.017508-0.06523i,-0.0032422-0.046068i,-0.0094719-0.029698i,-0.017506-0.018267i,-0.013664-0.012038i,-0.0041303-0.0073219i,0.0028452-0.00086187i,0.0059319+0.0045213i,0.0071714+0.0064495i,0.0094028+0.007712i,0.014167+0.0085682i,0.015807+0.0051359i,0.0084254-0.003536i,-0.0063149-0.013478i,-0.017126-0.017735i,-0.015112-0.013443i,-0.008506-0.0045835i,-0.0098004+0.003744i
0.095351+0.01848i,-0.0098413-0.047458i,-0.078988-0.063472i,-0.028022-0.038519i,0.032678-0.01047i,0.028942+0.0034343i,0.0091436+0.0094241i,0.0058949+0.0064851i,0.0081584-0.0009731i,0.0089978-0.0033251i,0.0096159+0.0019799i,0.0068917+0.0096342i,0.00077399+0.012622i,-0.0043792+0.0088485i,-0.0059031+0.0034111i,-0.004604+0.0017349i,-0.0015839+0.0036516i,0.0053318+0.0046769i,0.017636+0.0019265i,0.028278-0.0012072i,0.026211-0.00053277i,0.015235+0.00043234i,0.0047975-0.0031432i
0.22041+0.056059i,0.19645-0.027174i,0.1225-0.049657i,0.036655-0.036632i,-0.026926-0.033606i,-0.039757-0.034731i,-0.027915-0.029595i,-0.01607-0.016785i,-0.0066839-0.0044332i,-0.0043249+0.001818i,-0.0070791+0.0065234i,-0.0091658+0.0072446i,-0.0076862+0.0021497i,-0.0023534-0.0041986i,0.0044178-0.0053948i,0.0092176-0.0030221i,0.0075435-0.0022858i,-0.0003505+0.0023781i,-0.0093374+0.015274i,-0.013653+0.027306i,-0.011417+0.026812i,-0.0063146+0.01688i,-0.0013654+0.0098703i
0.10932+0.17478i,0.063049+0.13807i,0.030903+0.076145i,0.052698-0.007337i,0.075448-0.052308i,0.063694-0.041431i,0.045547-0.020118i,0.032924-0.011438i,0.021085-0.0072805i,0.010737-0.0057342i,0.0017393-0.0079886i,-0.0040038-0.0099896i,-0.0022384-0.0081375i,0.0022053-0.0025766i,0.0025514+0.0026073i,0.0013795+0.006966i,0.0029897+0.0072443i,0.0027227-0.0014669i,-0.0043264-0.014003i,-0.011689-0.019352i,-0.011206-0.013977i,-0.0066482-0.0070577i,-0.0052484-0.0043767i
0.049013+0.060765i,0.0082221-0.046816i,0.0049585-0.050667i,0.030689+0.023415i,0.022656+0.060291i,-0.0047676+0.048274i,-0.010817+0.034166i,0.0013932+0.032406i,0.010427+0.028154i,0.0092392+0.017108i,0.0057268+0.0061971i,0.0061991-0.0029769i,0.005563-0.0066236i,0.0035259-0.0062524i,0.00055202-0.0072775i,-0.0039913-0.0076794i,-0.0052565-0.0047562i,0.00058329+9.697e-05i,0.012257+0.0046972i,0.019398+0.0086014i,0.014864+0.0094662i,0.0082241+0.0078756i,0.0071804+0.0035854i
0.13514+0.047005i,0.16699-0.0038125i,0.12174-0.0058974i,0.023984-0.019467i,-0.035697-0.047639i,-0.036012-0.05321i,-0.02377-0.033309i,-0.023296-0.0050447i,-0.023132+0.009763i,-0.018627+0.0063593i,-0.010967-0.00060257i,0.0011792-0.00292i,0.010799-0.0030375i,0.013832-0.0028981i,0.015531-0.0032705i,0.015477-0.0056519i,0.01126-0.0068275i,0.0020206-0.0029519i,-0.01151+0.0054901i,-0.021774+0.012458i,-0.021801+0.011227i,-0.015441+0.0068377i,-0.007902+0.0069233i
0.10112+0.11509i,0.075089+0.10572i,0.040595+0.094691i,0.056801+0.044726i,0.072025+0.00081629i,0.052371-0.0015029i,0.026451+0.0038876i,0.0061208-0.00028423i,-0.0039558-0.0050558i,0.0003935-0.010306i,0.0091267-0.012039i,0.012784-0.0043847i,0.01095+0.0060762i,0.007534+0.010755i,0.0060328+0.0095197i,0.0061404+0.0074051i,0.0069514+0.0056364i,0.0072198-0.00093228i,0.0054694-0.014428i,0.0033194-0.024375i,0.0023004-0.022611i,0.00057031-0.014909i,-0.0035949-0.0073638i
0.081518+0.053577i,0.022637+0.0036682i,-0.042118+0.0019923i,-0.060691+0.02797i,-0.057959+0.031398i,-0.048415+0.008601i,-0.033289-0.0046228i,-0.019559-0.0016528i,-0.0078081+0.0021644i,0.0055317+0.0038335i,0.01414+0.0068532i,0.011906+0.010076i,0.0040364+0.0087819i,-0.00054861+0.0041904i,0.00091501+0.001196i,0.0035425+7.255e-05i,0.002241+0.00054782i,0.0025736+0.0039654i,0.010482+0.011062i,0.018977+0.016867i,0.017328+0.014692i,0.010321+0.0080468i,0.0053144+0.002231i
0.13148+0.095718i,0.12093+0.022599i,0.068729-0.042138i,0.028179-0.092187i,0.018798-0.10834i,0.021727-0.080664i,0.017761-0.047726i,0.0048624-0.027348i,-0.003269-0.011143i,-0.002401+0.0021801i,-0.00053366+0.01068i,0.00014871+0.011505i,0.0018816+0.0065718i,0.0043168+0.0026013i,0.0041566+0.0035419i,0.0059547+0.0046872i,0.0078761+0.001824i,0.0016995-0.0011546i,-0.01224+0.0018113i,-0.021915+0.0063358i,-0.01856+0.0057761i,-0.010398+0.0033644i,-0.0064605+0.0023697i
0.073767+0.12872i,0.043953+0.08817i,0.046736+0.065004i,0.089039+0.054865i,0.090523+0.048663i,0.053583+0.03978i,0.030411+0.023269i,0.023871+0.0068963i,0.015674+0.0016115i,0.0074468+0.0042596i,0.0029988+0.0056887i,-0.0015532+0.0045666i,-0.0046151+0.0041958i,-0.0046438+0.0025366i,-0.0041016+0.00062385i,-0.0034878+0.0029604i,-0.00070031+0.0042362i,0.003859-0.0011836i,0.0056005-0.011579i,0.0060047-0.016582i,0.0063652-0.010663i,0.005605-0.0033646i,0.0030892-0.0026676i
0.051199+0.068202i,0.028797-0.010661i,-0.016588-0.024841i,-0.05539+0.0039946i,-0.064946+0.0032076i,-0.047937-0.013802i,-0.022778-0.0095664i,-0.0063072+0.0081887i,-0.0025847+0.016026i,-0.0064675+0.012751i,-0.0090322+0.0084987i,-0.0056117+0.0019862i,-0.00054702-0.0043925i,0.0029622-0.0061787i,0.0046464-0.0056539i,0.0028254-0.003962i,0.00089226-0.0022699i,0.0011608+0.00080374i,0.0034113+0.008207i,0.0041872+0.017077i,-6.4602e-05+0.018836i,-0.0032555+0.013581i,-0.0018348+0.0071355i
