-0.003532+0.00062947i,-0.0025818+0.0010761i,-0.001995+0.0013676i,-0.0016164+0.0016906i,-0.0013864+0.0026503i,-0.00046713+0.0018706i,-0.00015305+0.0014253i,0.00033546+0.0027815i,0.0016229+0.0030741i,0.0020481+0.0023721i,0.0011453+0.00084352i,0.0011352-0.00053731i,0.00039979-0.00039886i,-0.0002873+9.9118e-05i,-0.00015071+0.00028205i,-0.00034759+0.0004327i,-0.00039047+0.00013539i,-0.00035495-0.00088454i,-0.00027225-0.0012321i,-1.6609e-05-0.00053593i,0.00067179+0.00010365i,0.00048056+0.00032311i,0.00037952+3.4401e-05i
0.11268-0.17892i,0.22517-0.32097i,0.26401-0.39291i,0.16282-0.34368i,0.011296-0.2278i,-0.088815-0.15045i,-0.10873-0.10983i,-0.061844-0.046403i,-0.00018462+0.0055621i,0.020204+0.013338i,0.0053829+0.0065057i,-0.0047836+0.003681i,-0.0040694-0.0060001i,-0.010159-0.025559i,-0.029895-0.040167i,-0.049519-0.034015i,-0.051027-0.012173i,-0.037515+0.0036882i,-0.022876+0.0043399i,-0.019153-0.0018231i,-0.024873-0.0075842i,-0.025215-0.010553i,-0.013443-0.012147i
0.081879+0.17952i,0.12901+0.34239i,0.14698+0.39477i,0.13464+0.27364i,0.089685+0.12599i,0.050363+0.084343i,0.044381+0.088107i,0.024537+0.039151i,-0.023317+0.00030737i,-0.033347+0.01582i,-0.00037654+0.026046i,0.01748+0.012378i,0.012229+0.005299i,0.014564+0.018085i,0.038898+0.036336i,0.064896+0.035022i,0.065605+0.017234i,0.048316+0.0036503i,0.025677+0.00032329i,0.0010651+0.0060176i,-0.014762+0.014898i,-0.01692+0.015739i,-0.015782+0.00441i
-0.16862-0.013124i,-0.29892-0.034955i,-0.32706-0.0062346i,-0.2011+0.087354i,-0.0044897+0.11931i,0.11333+0.031971i,0.076052-0.041889i,0.001612-0.02315i,-0.0040944-0.0018789i,0.0045874-0.02281i,-0.012267-0.030419i,-0.024026-0.014677i,-0.019509-0.0028674i,-0.019133-0.010153i,-0.038252-0.028643i,-0.062519-0.037116i,-0.06513-0.032045i,-0.044152-0.023114i,-0.018972-0.014936i,0.0013658-0.0068739i,0.013802-0.0011853i,0.013847-0.00014625i,0.0055403+4.0782e-06i
0.086462-0.12124i,0.1732-0.20226i,0.21724-0.25467i,0.13264-0.28955i,-0.069029-0.23607i,-0.20408-0.057106i,-0.12859+0.066215i,0.010438+0.048219i,0.05457+0.0058557i,0.041816-0.00077898i,0.03298-0.0029731i,0.032055-0.01064i,0.023119-0.014385i,0.0099572-0.0030352i,0.012858+0.018895i,0.028185+0.034148i,0.0328+0.03282i,0.017339+0.01636i,-0.002205-0.0017693i,-0.0073353-0.008176i,0.0020534-0.0053755i,0.01299-0.00021366i,0.015768+0.0096729i
0.040315+0.12497i,0.028646+0.2318i,-0.017432+0.33561i,0.032148+0.39477i,0.20035+0.2983i,0.28072+0.080687i,0.18786-0.034075i,0.076509-0.022113i,0.01941-0.0096373i,-0.014011-0.010869i,-0.03295-0.0047291i,-0.042028+0.0050195i,-0.031534+0.012653i,-0.0091604+0.0028285i,7.5869e-05-0.017479i,-0.0048414-0.03065i,-0.0114-0.032532i,-0.0085117-0.019569i,0.0017127-0.0018365i,0.0016443+0.0022109i,-0.012125-0.0052403i,-0.022131-0.01065i,-0.016213-0.012536i
-0.10776-0.045074i,-0.14019-0.16825i,-0.1228-0.38035i,-0.17624-0.51093i,-0.28625-0.38078i,-0.29221-0.14731i,-0.21048-0.049844i,-0.13768-0.029129i,-0.070068-0.00027764i,-0.015739+0.0080508i,0.0075024+0.0086679i,0.023169+0.0071849i,0.023867-0.0026631i,0.0063114+0.0044792i,-0.0072866+0.026964i,-0.0071163+0.045501i,0.0023608+0.050571i,0.0063022+0.037357i,-0.00011289+0.016948i,-0.0028852+0.0059197i,-0.00056475+0.0079382i,-0.0023153+0.010806i,-0.0090182+0.0050784i
0.095996-0.049668i,0.18589+0.029815i,0.27302+0.23786i,0.33154+0.37287i,0.30154+0.28309i,0.20368+0.13678i,0.14473+0.064352i,0.11125-0.0038055i,0.049193-0.045122i,0.0038219-0.022993i,-0.0042651-0.0044598i,-0.011072-0.0014655i,-0.013361+0.0018407i,-0.0011559-0.012249i,0.013911-0.042478i,0.01766-0.067931i,0.0078125-0.066922i,-0.0010122-0.039794i,0.0021737-0.0076487i,0.014483+0.013209i,0.02826+0.017435i,0.033866+0.014181i,0.027144+0.012866i
-0.0010169+0.1014i,-0.088073+0.10491i,-0.24882-0.0031818i,-0.33082-0.11707i,-0.21984-0.13809i,-0.063216-0.13053i,-0.037956-0.10357i,-0.071491-0.021839i,-0.0456+0.029334i,-0.0041808+0.0087272i,0.0085958-0.0096143i,0.013275-0.0056549i,0.011141+0.00069014i,-0.00072464+0.016432i,-0.012889+0.042053i,-0.019928+0.058251i,-0.020724+0.052413i,-0.014649+0.027551i,-0.0093962-0.0055435i,-0.015079-0.033581i,-0.025916-0.045776i,-0.02674-0.040704i,-0.015403-0.028078i
-0.080803-0.027777i,-0.069488-0.049849i,0.045267-0.034651i,0.12603+0.030609i,0.059121+0.11798i,-0.033645+0.18448i,-0.019821+0.17598i,0.040618+0.098173i,0.046449+0.031738i,0.018273+0.014414i,0.0049734+0.0109i,0.0025769-0.0037995i,0.00066501-0.017482i,0.0025479-0.025597i,0.005468-0.034843i,0.0071314-0.038709i,0.011514-0.029375i,0.0079333-0.010573i,-0.0065472+0.013795i,-0.014513+0.037961i,-0.010011+0.048291i,-0.0024225+0.039886i,0.00072933+0.025802i
0.056935-0.074082i,0.070548-0.084647i,0.048047-0.032233i,0.056432-0.015061i,0.10626-0.1009i,0.10939-0.16603i,0.055564-0.12009i,0.0068857-0.049389i,-0.015191-0.014863i,-0.014942-0.0038127i,-0.014243+0.0036702i,-0.015167+0.024962i,-0.0045087+0.040622i,0.0022828+0.036097i,-0.0025221+0.027594i,-0.0094466+0.021693i,-0.012927+0.014036i,-0.0050403+0.0030915i,0.010845-0.010295i,0.015944-0.021534i,0.0076252-0.023425i,-0.0011874-0.01642i,-0.0027014-0.010908i
0.045396+0.074046i,0.062979+0.074452i,0.024859+0.0058201i,-0.065151-0.010224i,-0.11185+0.076156i,-0.081257+0.11724i,-0.053001+0.071655i,-0.030096+0.047531i,0.0043644+0.036875i,0.0096248+0.010925i,-0.0004574-0.0053806i,-0.0055908-0.021232i,-0.014249-0.029393i,-0.0096315-0.019211i,0.0087058-0.007002i,0.024693+0.00052469i,0.031239+0.0017178i,0.021377+0.00027276i,0.0054696+0.0075346i,0.0020707+0.019605i,0.0093911+0.023024i,0.010923+0.017269i,0.0027282+0.012304i
-0.071165+0.0018064i,-0.04988+0.039295i,0.091297+0.06823i,0.22676+0.00062404i,0.18589-0.094074i,0.072539-0.078567i,0.06108-0.042749i,0.062615-0.083978i,0.011759-0.09493i,-0.011391-0.042143i,-0.0031628-0.0053386i,0.0029993+0.0092488i,0.0046486+0.0085842i,-0.0088289-0.0039907i,-0.031038-0.01145i,-0.044704-0.01138i,-0.044241-0.0097303i,-0.027368-0.010902i,-0.0033728-0.019099i,0.010841-0.034496i,0.0080704-0.045649i,0.0026362-0.041352i,0.0016498-0.02886i
0.024518-0.061238i,-0.04807-0.084528i,-0.22731-0.042278i,-0.33226+0.065648i,-0.2035+0.11196i,-0.033132+0.024012i,-0.01669-0.032185i,-0.037006+0.01965i,-0.002408+0.037377i,0.014883-0.007175i,0.0039913-0.027373i,0.0048981-0.020594i,0.014241-0.0095542i,0.026307+0.0033068i,0.041407+0.0087637i,0.047902+0.0044034i,0.03805+0.00060519i,0.014381-7.4732e-05i,-0.012727+0.0035959i,-0.031979+0.017795i,-0.036797+0.034379i,-0.031425+0.037414i,-0.022418+0.027829i
0.032433+0.057032i,0.10428+0.035747i,0.21863-0.07317i,0.25579-0.17667i,0.12917-0.13684i,-0.012998+0.0022887i,-0.026125+0.061583i,0.0085618+0.017203i,0.0058213-0.0029007i,0.0052073+0.023861i,0.014591+0.033261i,0.0034748+0.02283i,-0.016594+0.012304i,-0.029908+0.002526i,-0.038318-0.0012712i,-0.036302+0.0032217i,-0.025193+0.0083793i,-0.012662+0.013153i,0.0024331+0.015867i,0.021796+0.006183i,0.036388-0.010241i,0.039061-0.017246i,0.032514-0.012366i
-0.074355-0.017249i,-0.13967+0.016571i,-0.19962+0.11651i,-0.20898+0.19048i,-0.13027+0.12923i,-0.021106+0.019511i,0.0070632-0.019177i,-0.029506+0.00033111i,-0.041699+0.013371i,-0.03321-0.0034535i,-0.027509-0.017489i,-0.008939-0.015343i,0.017278-0.010611i,0.030397-0.0044293i,0.028506-0.0012059i,0.016618-0.0026107i,0.0040336-0.0027067i,-0.0022891-0.0061086i,-0.010962-0.0092391i,-0.026855+0.00093096i,-0.037308+0.014696i,-0.034234+0.016692i,-0.02366+0.0090009i
0.067893-0.047526i,0.1254-0.096797i,0.17111-0.14626i,0.19817-0.16071i,0.17301-0.12201i,0.078597-0.068651i,0.0085361-0.019184i,0.02201+0.0085985i,0.039302-0.0020911i,0.020995-0.0099895i,0.0061843-0.00089991i,-0.0024677+0.0050827i,-0.011466+0.0072829i,-0.011779+0.0031729i,-0.0056867-0.0056473i,0.0041675-0.009392i,0.013126-0.0088111i,0.01733-0.0040251i,0.024192+0.00077939i,0.036435-0.0039583i,0.041081-0.013017i,0.032469-0.014217i,0.019624-0.010513i
0.0069758+0.094565i,0.011372+0.16975i,-0.0021633+0.201i,-0.061981+0.1802i,-0.11138+0.16474i,-0.062233+0.14946i,0.018455+0.0816i,0.0271+0.006591i,0.0078352-0.0087114i,0.011905-0.00095598i,0.013101-0.0059645i,0.0064173-0.0090239i,-0.0030945-0.0079249i,-0.013901-0.0012234i,-0.017881+0.012021i,-0.016576+0.02059i,-0.01439+0.018688i,-0.012744+0.0085183i,-0.0159-0.00042593i,-0.025331+0.0016168i,-0.031874+0.00808i,-0.027886+0.007599i,-0.020209+0.0066398i
-0.074428-0.03846i,-0.13283-0.063283i,-0.12702-0.05296i,-0.00084101-0.044502i,0.14071-0.1087i,0.13554-0.17699i,0.04416-0.12306i,0.011316-0.017475i,0.013057+0.011364i,-0.0042427+0.0016196i,-0.013063+0.0090324i,-0.0039308+0.0095816i,0.0058228-0.0051944i,0.01164-0.019125i,0.013865-0.028919i,0.010731-0.034358i,0.0043118-0.033007i,-0.0019934-0.023627i,-0.00046976-0.010434i,0.014522-0.0053243i,0.028254-0.0055478i,0.026048-0.001739i,0.016997+0.0025835i
0.062797-0.046644i,0.11334-0.10923i,0.099676-0.17847i,-0.021783-0.16287i,-0.15176-0.0098583i,-0.15386+0.14416i,-0.065858+0.12375i,-0.018912+0.018756i,-0.013431-0.0099705i,0.0058365+0.0044756i,0.019224+0.0040064i,0.01281+0.010072i,0.0042904+0.026035i,-0.0034847+0.035021i,-0.007424+0.036086i,-0.003094+0.031499i,0.0036686+0.023667i,0.0088481+0.016465i,0.0071199+0.0072762i,-0.0091177-0.0038259i,-0.02653-0.012995i,-0.027484-0.018529i,-0.016309-0.016282i
0.0048006+0.063992i,0.010621+0.14334i,0.050165+0.21905i,0.12332+0.20665i,0.16834+0.065486i,0.14237-0.081788i,0.064551-0.097177i,0.00044035-0.038997i,-0.01935-0.012871i,-0.025713-0.011125i,-0.029844-0.0071812i,-0.027714-0.0090049i,-0.019757-0.014581i,-0.0070714-0.016779i,0.00015421-0.015284i,-0.0021366-0.0083638i,-0.0096664+0.0020965i,-0.015662+0.0076931i,-0.011658+0.0091314i,0.0037658+0.014843i,0.019393+0.024387i,0.023461+0.02916i,0.017859+0.020564i
-0.043755-0.035914i,-0.085296-0.090722i,-0.13154-0.17141i,-0.17851-0.22428i,-0.20565-0.16426i,-0.18218-0.033751i,-0.10477+0.034655i,-0.024978+0.026082i,0.0054967+0.0033238i,0.0052718-0.008956i,0.0094111-0.013598i,0.017895-0.01237i,0.019555-0.0075588i,0.013199-0.0023388i,0.0047841-0.0015474i,0.0019067-0.0062104i,0.0039846-0.011416i,0.006939-0.011874i,0.002956-0.010498i,-0.011032-0.012314i,-0.021117-0.015058i,-0.017705-0.014672i,-0.013482-0.011042i
0.043828+0.0016715i,0.089972+0.042368i,0.13438+0.14129i,0.17813+0.25653i,0.20735+0.2768i,0.18507+0.17395i,0.10688+0.064924i,0.036885+0.017811i,0.019391+0.0011832i,0.019623-0.011533i,0.005598-0.012219i,-0.0072361-0.00027942i,-0.0077781+0.0075813i,-0.0031761+0.0075582i,0.0029431+0.0085785i,0.0063854+0.013411i,0.0080332+0.015i,0.0092761+0.010844i,0.011364+0.0070026i,0.018726+0.0097037i,0.022217+0.012398i,0.01422+0.0092066i,0.0063305+0.0074397i
-0.030183+0.025161i,-0.076127+0.016977i,-0.13832-0.061129i,-0.18253-0.19127i,-0.17978-0.27965i,-0.14735-0.24334i,-0.09247-0.11568i,-0.032562-0.0077448i,-0.0059895+0.029736i,-0.002262+0.031894i,0.0046137+0.026857i,0.0074441+0.011584i,-0.00068196-0.005495i,-0.0090554-0.015004i,-0.013551-0.019431i,-0.014234-0.021571i,-0.011041-0.019518i,-0.011068-0.012076i,-0.014955-0.0046972i,-0.018873-0.0045385i,-0.018456-0.0088842i,-0.012057-0.009537i,-0.0068396-0.0049993i
-0.007133-0.036518i,0.018289-0.056285i,0.073813-0.015961i,0.12912+0.11767i,0.15891+0.26335i,0.15986+0.27794i,0.1201+0.14451i,0.057397+0.012288i,0.01429-0.025509i,-0.002351-0.015344i,-0.0075641-0.0076818i,-0.003158-0.0044174i,0.0066218-0.0016614i,0.011936+0.0017259i,0.013109+0.0072992i,0.010972+0.010357i,0.0070609+0.0054063i,0.0040772-0.004482i,0.0045795-0.0090533i,0.01013-0.0020694i,0.012602+0.0068008i,0.0073758+0.0088833i,0.006736+0.005062i
0.039166+0.013262i,0.067902+0.030089i,0.083399+0.01667i,0.064337-0.085878i,0.0021398-0.22466i,-0.052157-0.24824i,-0.048629-0.14495i,-0.024303-0.051521i,-0.016464-0.022597i,-0.011652-0.013539i,-0.0020626-0.0041841i,-7.0296e-05+0.0031132i,-0.0038953+0.0094956i,-0.0070031+0.0091173i,-0.0084151+0.00217i,-0.0066637-0.0025478i,-0.0036918-0.0002297i,-0.0026733+0.0045888i,-0.0054214+0.003808i,-0.0090096-0.0041933i,-0.0066267-0.011956i,0.00071609-0.013229i,0.0021157-0.012734i
-0.023856+0.027307i,-0.062241+0.040865i,-0.11517+0.052352i,-0.14807+0.1004i,-0.11999+0.17367i,-0.053359+0.18293i,-0.0033297+0.11152i,0.024302+0.041901i,0.031456+0.011523i,0.018665+0.00041904i,0.0056943-0.0064717i,-0.0014784-0.011844i,-0.0043483-0.010958i,-0.0007974-0.0054868i,0.0017416-0.0004668i,-0.001647+0.0025765i,-0.0067906+0.0024322i,-0.0060973+0.0020132i,0.0010556+0.0057907i,0.0073816+0.012066i,0.0068707+0.01372i,0.0012839+0.0092483i,-0.0012871+0.0066431i
-0.010742-0.02574i,0.012975-0.046238i,0.0895-0.073624i,0.17995-0.11856i,0.19339-0.15098i,0.11273-0.12924i,0.016455-0.064645i,-0.036248-0.015159i,-0.037252-0.0013478i,-0.015469-0.0045684i,-0.0042635-0.0035813i,0.001401+0.0056914i,0.0073255+0.0072431i,0.0063722+0.0022685i,0.0057217+2.2981e-05i,0.0098702+0.00012008i,0.011558+0.00036005i,0.0070553-0.0017166i,-0.0020329-0.0065168i,-0.010813-0.010591i,-0.015887-0.007365i,-0.015159+0.0026579i,-0.012413+0.0082781i
0.018092-0.0020979i,-0.0096382+0.0048971i,-0.10699+0.034647i,-0.22973+0.082118i,-0.26546+0.094485i,-0.19274+0.054566i,-0.093765+0.022721i,-0.023292+0.028239i,0.0076722+0.032543i,0.0099379+0.020202i,0.0040633+0.0089597i,-0.00064385+0.0037222i,-0.0018491+0.0015585i,-0.0021662-0.001049i,-0.0060971-0.00055225i,-0.010031+0.0023363i,-0.0080512+0.0017298i,-0.0019429+0.0018419i,0.0044548+0.00504i,0.0095214+0.0090464i,0.012509+0.0085961i,0.012101+0.0020853i,0.0085001-0.000692i
0.0021487+0.0088187i,0.033312-0.0049259i,0.11652-0.044813i,0.2266-0.075963i,0.28708-0.056244i,0.24534-0.0086216i,0.1402-0.0047878i,0.048741-0.035382i,0.0043639-0.038573i,-0.0070059-0.016565i,-0.0072605-0.0020038i,-0.006792+0.00096424i,-0.0074978+0.00061674i,-0.0061001-0.00069784i,-0.00082539-0.004298i,0.0037878-0.005113i,0.0043078-0.00086768i,0.00081644+0.00024999i,-0.0035846-0.0039149i,-0.0051799-0.0099712i,-0.0036734-0.0125i,-0.00053422-0.01154i,0.0027556-0.013088i
-0.013348-0.001204i,-0.025611+0.021466i,-0.064091+0.067238i,-0.14191+0.087683i,-0.20871+0.057175i,-0.17595+0.030045i,-0.067928+0.038086i,0.0044202+0.044258i,0.013248+0.024976i,0.0013893+0.0034361i,3.4831e-05-0.0047514i,0.0057408-0.0085841i,0.007309-0.010118i,0.0052061-0.0064292i,0.0020602-0.0016092i,-0.00040166-0.0023221i,-0.0010201-0.0059928i,-0.00042873-0.0061736i,-0.00016173+0.0016771i,0.00062118+0.015385i,0.003622+0.021459i,0.0051934+0.015662i,0.0025491+0.010088i
0.0081681-0.001176i,0.010748-0.0014763i,0.0266+0.00058774i,0.087137+0.016654i,0.14853+0.039404i,0.12711+0.034096i,0.058304+0.0058514i,0.030806-0.018627i,0.027669-0.028534i,0.015152-0.019335i,0.0045316-0.0051884i,-0.0013419+0.0033633i,-0.0045606+0.0088439i,-0.0039549+0.006983i,-0.0017478+0.0028473i,0.00025466+0.0031743i,0.00081083+0.0051311i,0.00055799+0.0029835i,-0.00018456-0.0060037i,-0.0033896-0.018666i,-0.0092558-0.024746i,-0.013094-0.018866i,-0.010098-0.012009i
-0.014465+0.0078547i,-0.016861-0.00098463i,-0.021941-0.041483i,-0.05844-0.095683i,-0.099987-0.10851i,-0.089257-0.072283i,-0.06142-0.025104i,-0.058039+0.011103i,-0.042837+0.024235i,-0.013757+0.012021i,-0.0022899-0.0013507i,-0.00089451-0.0050584i,0.00011299-0.0066411i,0.0008005-0.003458i,0.00058206+0.00024773i,-0.0025185-0.0030383i,-0.0049986-0.0062988i,-0.0058452-0.0035412i,-0.0044327+0.0055794i,0.00053432+0.017259i,0.0073716+0.023259i,0.012398+0.021275i,0.011202+0.017219i
-0.00068959-0.015178i,0.0046028-0.0078901i,0.023411+0.043453i,0.062241+0.10726i,0.084529+0.10326i,0.050578+0.028026i,0.011224-0.032095i,0.0093628-0.039446i,0.0092227-0.022625i,0.0021017-0.0045119i,0.0010397+0.0044856i,0.00015206+0.0049126i,-0.00019405+0.0016656i,-0.00015827-0.0031006i,0.00021472-0.0018544i,0.0051898+0.0028966i,0.0071757+0.0021158i,0.0038515-0.00057803i,0.00034874-0.0052605i,-0.0046237-0.015272i,-0.012012-0.022556i,-0.01597-0.021524i,-0.013244-0.014631i
0.018661+0.0039093i,0.027171-0.016721i,0.0096423-0.07614i,-0.025451-0.13986i,-0.02758-0.13863i,0.0050367-0.065909i,0.014004-0.012932i,-0.0098797-0.011707i,-0.021155-0.011839i,-0.0098884-0.0074551i,-0.003043-0.0078249i,-0.0027947-0.0039665i,0.00077945+0.0039459i,0.0042877+0.0062359i,-2.6421e-07+0.0039478i,-0.00753+0.0039283i,-0.007087+0.0059327i,-0.0026055+0.0069841i,-0.00079087+0.0079484i,0.0010312+0.011788i,0.0033587+0.016044i,0.0033134+0.014224i,-0.0007183+0.0084764i
-0.014629+0.017859i,-0.011348+0.053361i,0.010977+0.11165i,0.034169+0.1621i,0.025961+0.15868i,0.020013+0.10613i,0.049178+0.065697i,0.070084+0.051318i,0.052455+0.031843i,0.021676+0.014692i,0.0076598+0.0099605i,0.0038969+0.0023705i,-0.0031829-0.0064612i,-0.0055514-0.008726i,0.00013367-0.0095346i,0.0030374-0.011419i,8.2834e-05-0.011655i,-0.0013739-0.007829i,0.0022921-0.0047055i,0.0087775-0.0074841i,0.013849-0.011641i,0.014918-0.012361i,0.013981-0.0082973i
-0.0049868-0.019874i,-0.026099-0.04237i,-0.04996-0.076459i,-0.050831-0.11324i,-0.034113-0.11045i,-0.037252-0.04759i,-0.05132+0.0099368i,-0.041155+0.013211i,-0.020444-0.0027266i,-0.011857-0.0072551i,-0.0096181-0.0040241i,-0.0019966+0.00032569i,0.0064428+0.0018966i,0.0054874+0.0025951i,0.00041386+0.0046798i,-0.0001352+0.0056465i,0.0019856+0.005501i,0.0020739+0.0043987i,-0.0024396+0.0058769i,-0.010743+0.013197i,-0.016266+0.020537i,-0.014354+0.021858i,-0.0086867+0.016401i
0.017864+0.0027276i,0.029257+0.0071167i,0.029028+0.020962i,0.005522+0.066123i,-0.011537+0.10184i,0.0034499+0.066039i,0.011826+0.018703i,0.0020788+0.017512i,0.0035204+0.016445i,0.0051727-0.0013195i,-0.00097569-0.0070616i,-0.0051327-0.0024849i,-0.0057957-0.00073277i,-0.0019469-0.0008904i,0.0011718-0.00096339i,-0.00041036+0.00040908i,-0.002287+0.0031728i,-0.0034198+0.0015485i,-0.0022591-0.0057518i,0.004398-0.015604i,0.011755-0.025257i,0.01217-0.027548i,0.00763-0.021164i
-0.011067+0.0087833i,-0.0040047+0.013921i,0.025891+0.0038602i,0.059428-0.04673i,0.053248-0.10438i,0.0023681-0.11222i,-0.026086-0.093964i,-0.01472-0.079359i,-0.0078535-0.049039i,-0.0028907-0.012633i,0.0053694+7.8295e-05i,0.005834-0.0011448i,0.0019353+0.00013342i,-0.0030455+0.0033159i,-0.0049852+0.0033805i,-0.0023029-0.0017533i,-0.00011471-0.0075842i,0.0014615-0.0069464i,0.0017021+0.00059418i,-0.0034843+0.010377i,-0.010958+0.017229i,-0.015073+0.017615i,-0.014099+0.012924i
0.0023681-0.008523i,-0.0066885-0.011599i,-0.035509+0.0062407i,-0.055018+0.051252i,-0.023576+0.088637i,0.036289+0.086456i,0.051702+0.057429i,0.020332+0.028485i,0.00072654+0.0094867i,-0.0019897-0.0025084i,-0.0077268-0.0046523i,-0.010997-0.0013996i,-0.0062553-0.00097732i,0.00072703-0.002831i,0.0034109-0.0011922i,0.004945+0.006357i,0.0069261+0.011229i,0.0054719+0.0085564i,0.0031395+0.0021281i,0.0050645-0.0045404i,0.009183-0.0091195i,0.010781-0.0082356i,0.008204-0.0039181i
0.0048087+0.010932i,0.021699+0.015135i,0.057463+0.0023837i,0.086426-0.033707i,0.064961-0.067439i,0.018378-0.070247i,0.012699-0.04559i,0.031967-0.016901i,0.028671-0.0034051i,0.016649+0.0013103i,0.015639+0.00082638i,0.013821-0.0020123i,0.0061102+0.0010986i,-0.00022012+0.003747i,-0.0023023-0.00057316i,-0.0062453-0.0077855i,-0.01112-0.0096972i,-0.010335-0.0063963i,-0.007376-0.0019294i,-0.0088976+0.0027441i,-0.014219+0.0051931i,-0.015211+0.003231i,-0.0082486+0.00022726i
-0.01575-0.0012075i,-0.03845-0.00048453i,-0.069683+0.0073158i,-0.096231+0.022847i,-0.090131+0.049663i,-0.056517+0.085081i,-0.041587+0.096147i,-0.042971+0.070279i,-0.030932+0.03981i,-0.016568+0.020198i,-0.012805+0.010823i,-0.0093296+0.0069683i,-0.0027538-7.5097e-05i,0.0015218-0.0047898i,0.0039315-0.0018183i,0.0047845+0.0012778i,0.0024713-0.00028759i,0.00042052-0.0013218i,0.0022316-0.0014231i,0.0085643-0.0021079i,0.016102-0.0013184i,0.020212+1.3364e-05i,0.017767+0.00030279i
0.013862-0.0084057i,0.030163-0.023013i,0.05362-0.034873i,0.084197-0.029841i,0.096397-0.029075i,0.064347-0.055776i,0.021689-0.060463i,0.0058451-0.029981i,0.0025568-0.013781i,-0.0030538-0.014642i,-0.002282-0.011425i,0.001391-0.004187i,0.0012723-0.00049609i,-0.00052762-0.0015169i,-0.0023315-0.0047157i,-0.002072-0.0052272i,-0.0010077-0.0029856i,-0.0034639+5.0012e-05i,-0.0085173+0.0044217i,-0.014369+0.0078118i,-0.019725+0.0068706i,-0.02044+0.0039586i,-0.017292+0.003068i
0.0014753+0.016179i,0.004129+0.02675i,-0.0082617+0.024962i,-0.056635+0.0076928i,-0.10567-0.0040949i,-0.10208+0.0025451i,-0.058526-0.0086129i,-0.021987-0.034411i,-0.005638-0.030898i,0.0019802-0.013947i,0.0025003-0.0094646i,0.00028521-0.0098758i,0.00077524-0.0075176i,0.0011285-0.001465i,1.7353e-05+0.0029902i,-0.0024436+0.0040472i,-0.0045211+0.0042138i,-0.0021053+0.0011956i,0.0037928-0.0057407i,0.010187-0.01114i,0.014719-0.0096055i,0.013342-0.0039104i,0.0077994+0.00031807i
-0.0073853-0.0016289i,-0.012178+0.0027636i,0.0032488+0.021862i,0.061791+0.040698i,0.13496+0.033633i,0.16009+0.010204i,0.12697+0.0057588i,0.075825+0.011831i,0.037876+0.0025643i,0.01303-0.0048949i,0.0017055+0.0019593i,-0.00059514+0.0068633i,-0.0039257+0.0046845i,-0.0061581+0.00088863i,-0.0040498-0.0012345i,0.0019642-0.0019703i,0.0079435-0.0028149i,0.0074676-0.00049764i,0.0012189+0.0049527i,-0.0037581+0.0083464i,-0.0048844+0.004323i,-0.0037864-0.0027749i,-0.0025724-0.0036932i
0.011183-0.0035976i,0.010135-0.014203i,-0.0056416-0.035246i,-0.05027-0.049069i,-0.10931-0.036995i,-0.12685-0.0094177i,-0.081294+0.0035519i,-0.023072+0.0031336i,0.0039511+0.0029475i,0.0082988+0.00016417i,0.0053565-0.006379i,0.0023721-0.0091574i,0.0026166-0.0048466i,0.0038803+0.0020176i,0.0027342+0.0055844i,-0.001442+0.0069309i,-0.0032627+0.0075812i,-0.001179+0.0039324i,0.0026895-0.0023792i,0.0070875-0.0034069i,0.008771+0.0014487i,0.0076468+0.0057523i,0.0059999+0.0036301i
0.00068804+0.006254i,0.0028784+0.01812i,0.017986+0.03701i,0.047209+0.057112i,0.080677+0.065766i,0.090218+0.062974i,0.050187+0.058992i,0.0017504+0.050489i,-0.0085118+0.033568i,-0.00014741+0.018593i,0.0019424+0.016633i,0.001008+0.019915i,0.00028182+0.016155i,-0.00030382+0.0079497i,-0.00021141+0.0025543i,0.00066628-0.002417i,0.0011533-0.0059836i,-0.0011822-0.0045555i,-0.0076227-0.00077328i,-0.015499+0.0003759i,-0.019202-0.0034087i,-0.015778-0.0073407i,-0.010081-0.0059511i
-0.0036537-0.0074268i,-0.0035814-0.020822i,-0.0056595-0.042177i,-0.011221-0.072757i,-0.02741-0.094125i,-0.056265-0.091602i,-0.062246-0.066606i,-0.041275-0.035205i,-0.026545-0.011722i,-0.018277-0.00035617i,-0.01094-0.0012535i,-0.0072229-0.0040414i,-0.0033479-0.0026753i,-0.00027588-0.0021867i,-0.00061529-0.0021536i,-0.0019148-0.00077823i,-0.002882-0.0017436i,-0.002693-0.003675i,0.004139-0.0047663i,0.014631-0.0036484i,0.018232+0.0013875i,0.013604+0.0069592i,0.0073967+0.0083288i
0.0077957+0.00076379i,0.014894+0.01013i,0.013671+0.030476i,0.0013984+0.069692i,-0.0065028+0.10184i,0.0024137+0.089565i,0.0057689+0.03673i,-0.0046476-0.0086535i,-0.0086679-0.018067i,-0.0056913-0.011319i,-0.0059227-0.0065434i,-0.0064068-0.005406i,-0.0048553-0.005383i,-0.0021591-0.0055057i,0.00025095-0.0051581i,0.00042215-0.0027722i,0.00047072-6.5447e-05i,-0.0013774+0.0010079i,-0.0077425+0.0011784i,-0.015701+0.0025413i,-0.018645+0.0028793i,-0.014671+0.0009924i,-0.0086328-0.00022784i
