0.0012134+0.00011999i,0.0013219-0.0021265i,0.00087989-0.0030589i,0.00053625-0.0025084i,-0.00026059-0.00084349i,-0.00064389+0.00047286i,-0.00063388+0.0013357i,0.00038535+0.0021593i,0.0016505+0.0015263i,0.0015794-0.0001205i,0.00076012-0.001078i,-4.2924e-05-0.0011296i,-0.0010215-0.00075335i,-0.00040864-0.00088641i,-0.00013667-0.0011017i,-0.001143-0.00060426i,-0.001014-6.8947e-05i,-5.0796e-05+1.2539e-05i,0.00065495+0.00058319i,3.5943e-05+0.0010467i,-0.00028909+0.00069931i,-0.00012086-0.00048151i,-0.0002587-0.00082937i
0.021234-0.0092693i,0.042921-0.0011334i,0.038551-0.00093086i,0.017759-0.036098i,0.019793-0.069549i,0.033439-0.059941i,0.023998-0.029258i,0.0030238-0.01293i,-0.0061053-0.0059032i,-0.0081702+0.0054708i,-0.0042066+0.017617i,0.0036647+0.019206i,0.005508+0.011752i,0.0026928+0.0075879i,0.0040907+0.005984i,0.0083455+0.0029766i,0.0084981+0.00099929i,0.0050976+0.0012915i,0.0016398+0.0027756i,0.00025419+0.0038569i,0.0013602+0.0044393i,0.0025475+0.0045909i,0.0032948+0.0049717i
0.0085208+0.017651i,0.0052557+0.045954i,-0.0033751+0.062753i,-0.0026307+0.067853i,-0.0062426+0.069994i,-0.016048+0.051538i,-0.0096259+0.025739i,0.0073456+0.013547i,0.012939+0.0039152i,0.0021613-0.0053434i,-0.010627-0.0048008i,-0.010769-0.0013561i,-0.0040698-0.0055187i,-0.0015984-0.010455i,-0.0051197-0.0082979i,-0.0099286-0.0034357i,-0.0096062-2.0363e-06i,-0.0046043+0.0014039i,-0.00030278+0.0012559i,0.00037259+0.00079868i,-0.00018506+0.0018884i,-0.0011804+0.001975i,-0.0031846-0.00077644i
-0.020312+0.011498i,-0.047195+0.010716i,-0.059802-0.011871i,-0.04078-0.039259i,-0.0080689-0.052285i,0.013159-0.040827i,0.0044881-0.016653i,-0.012897-0.0031832i,-0.015483-0.0024306i,-0.011079-0.0066388i,-0.0069632-0.007935i,-0.0023424-0.0019024i,0.0041442+0.0061169i,0.0079333+0.0098029i,0.0079758+0.0086481i,0.006709+0.0055593i,0.0043871+0.0028279i,0.0024828+0.00078754i,0.00048909+0.00026474i,-0.0014475+0.0012383i,-0.0012211+0.0019778i,0.00046638+0.0011188i,0.0039835-0.00032207i
-0.018305-0.0099471i,-0.020663-0.028489i,-0.0045667-0.028667i,0.0090917+0.0026519i,-4.5673e-05+0.034515i,-0.016412+0.033966i,-0.017539+0.014702i,-0.0078538+0.0047752i,0.0015231+0.0014041i,0.0076609-0.0033345i,0.0082335-0.008267i,0.0020518-0.0082596i,-0.0046341-0.0041544i,-0.0067717-0.0024486i,-0.0082384-0.0034791i,-0.010004-0.0040693i,-0.0089758-0.002728i,-0.0052896-0.0015931i,-0.0018178-0.0023568i,-0.00067789-0.0027483i,-0.0010717-0.0014959i,-0.00077069-0.0006206i,-0.00031057-5.3004e-05i
0.00016047-0.017798i,0.010641-0.026514i,0.013071-0.026107i,-0.00095881-0.026593i,-0.0072341-0.032612i,0.0014046-0.027992i,0.00027132-0.013842i,-0.0072291-0.0035557i,-0.0058843+0.0037225i,0.0011863+0.0089297i,0.0077174+0.010979i,0.010552+0.0096668i,0.0081611+0.0070807i,0.0044513+0.0073448i,0.0050317+0.0073214i,0.0070284+0.0038428i,0.0061827+0.0014036i,0.0033469+0.0022353i,0.0010361+0.0027492i,-0.00040513+0.0017524i,-0.00076527+0.0025802i,0.00044015+0.0045741i,0.0021348+0.0044631i
0.010765-0.0042198i,0.020333+0.0062633i,0.021961+0.020694i,0.015989+0.028706i,0.0061646+0.030524i,-0.0034802+0.020656i,-0.0010994+0.0034882i,0.0099198-0.0041182i,0.014802-0.003743i,0.0084636+1.9335e-05i,-5.4591e-05+0.0062589i,-0.0018044+0.0065081i,-0.0041141+0.00010503i,-0.0089143-0.0041195i,-0.0099085-0.0023525i,-0.007867+0.00025371i,-0.0062915+0.00082778i,-0.0041008+0.0010264i,-0.0007431+0.0019769i,0.0013141+0.0019268i,0.0011579+0.0025859i,-0.001027+0.0037242i,-0.0043689+0.0035179i
0.0039287+0.010735i,-0.0052402+0.019309i,-0.017915+0.015094i,-0.020751-0.0050405i,-0.00966-0.023418i,0.0024929-0.023023i,-3.088e-07-0.0079843i,-0.0080711+0.004733i,-0.010736+0.0091056i,-0.011978+0.0057456i,-0.010863+0.0022479i,-0.0049123+0.0021127i,0.0023044+0.0011663i,0.0029021-0.00053744i,-0.00067688-1.5398e-05i,-0.0024507+0.0011736i,-0.0027836+0.0010968i,-0.0030002+0.00094512i,-0.0038789+0.00090793i,-0.003518+0.00047994i,-0.0015445-0.00048351i,0.00049706-0.0019646i,0.0017924-0.0044742i
-0.010484+0.0030885i,-0.020513-0.0010342i,-0.017657-0.0089381i,-0.0027533-0.0042658i,0.0020205+0.0085371i,-0.0055498+0.0097818i,-0.010249+0.0020116i,-0.0083798-0.0016326i,-0.0062585-0.0033792i,-0.0053501-0.0077246i,-0.0045914-0.0097567i,-0.0043786-0.0068948i,-0.0032263-0.003406i,-0.0015851-0.0045971i,-0.0020754-0.0068866i,-0.0039292-0.0062418i,-0.0034607-0.0046816i,-0.0013482-0.003312i,-0.00053536-0.0021376i,-0.00069241-0.00089254i,-0.00077487-9.1735e-05i,-0.00057431-0.00020533i,0.00062871+0.0002614i
-0.0076091-0.0092849i,-0.0093698-0.018093i,-0.0064738-0.02176i,-0.0083144-0.017202i,-0.010181-0.013108i,-0.005392-0.009595i,-0.006505-0.0037097i,-0.012096+0.001086i,-0.010226+0.0018694i,-0.0016217-0.0010703i,0.0060287-0.0032999i,0.0086793-0.0023453i,0.0081968+0.00094099i,0.0070028+0.0039698i,0.0047827+0.0039338i,0.0025489+0.0019551i,0.0007614+0.0012414i,-0.00021627+0.0012473i,-0.00065673-0.00058239i,-0.00042386-0.002133i,-0.0007589-0.0014004i,-0.00091279+6.9074e-05i,0.00010759+0.00099652i
0.0027338-0.0096295i,0.0093048-0.012883i,0.015404-0.0085621i,0.014708+0.00072959i,0.0085829+0.0067726i,-0.00039413+0.0038385i,-0.0035013-0.0059138i,0.0027324-0.012101i,0.0099377-0.011491i,0.01285-0.0055554i,0.010184+0.0025965i,0.0038733+0.006261i,-0.0014802+0.0061602i,-0.0031346+0.0064242i,-0.0018263+0.003488i,0.001038-0.0017215i,0.0019054-0.0033703i,0.001036-0.0022935i,0.0020454-0.00036241i,0.003097+0.0006799i,0.0011993+0.0019015i,-0.00056542+0.0028829i,-0.00097373+0.002838i
0.001155-0.0032426i,0.00087894+0.0034651i,-0.0065847+0.007423i,-0.014315+0.0028921i,-0.010963-0.0033601i,-0.0010575-0.0061294i,0.0040745-0.0028044i,0.0044588+0.0022146i,0.0044856+0.0071101i,0.0017328+0.010518i,-0.001881+0.010024i,-0.002137+0.0071159i,-0.0017635+0.0036961i,-0.0049498+0.0024551i,-0.0065245+0.0036449i,-0.0049416+0.0047307i,-0.0051109+0.0042014i,-0.0061033+0.0023113i,-0.0047981+0.00051524i,-0.0018897-0.00077615i,-0.00044315-0.0014918i,-9.1045e-05-0.00046148i,-0.00061578+0.00061316i
-0.0018205+0.0039757i,-0.0061154+0.0050537i,-0.0049204+2.3898e-05i,0.0014542-0.0058477i,0.0032404-0.004436i,-0.0014344-0.0020862i,-0.0041375-0.0016731i,-0.0025624+0.00058039i,-0.0018147+0.0033297i,-0.0051817+0.002497i,-0.008186+0.00019907i,-0.0079449-0.0015875i,-0.0065784-0.004493i,-0.0048868-0.0070884i,-0.0037036-0.0076238i,-0.0019963-0.0067303i,0.00084952-0.0065587i,0.0025974-0.0053812i,0.0022703-0.0012013i,0.001482+0.0022507i,0.0015165+0.0017746i,0.001397+0.00085094i,0.001642+0.0011668i
-0.0078362-0.0037028i,-0.014012-0.0053344i,-0.014397-0.0072842i,-0.010707-0.0041657i,-0.0070282-0.00074064i,-0.0034823+7.4023e-05i,-0.0045519+0.0021684i,-0.0086912+0.005497i,-0.010108+0.0059436i,-0.0082005+0.00076205i,-0.0036727-0.0044764i,0.0015097-0.0053093i,0.0039136-0.0036855i,0.0034529-0.0021149i,5.8099e-05-0.00062892i,-0.0039293+0.0012319i,-0.0052826+0.002365i,-0.0050585+0.0018352i,-0.0045972-0.00056646i,-0.0028079-0.001899i,-0.0021714-0.00096763i,-0.0028583+0.00036436i,-0.0025863+0.00049894i
-0.0018924-0.0091777i,-0.0032771-0.013762i,0.0010729-0.015024i,0.0041662-0.0098772i,0.0019079-0.0023772i,-0.0029842+5.6056e-05i,-0.0061121-0.0025494i,-0.0046081-0.0069065i,-0.0016777-0.011274i,0.0021696-0.011534i,0.0049769-0.0051678i,0.0042619+0.00068989i,0.0047072+0.0023924i,0.0074147+0.00089585i,0.0081933-0.0035999i,0.0077698-0.0084059i,0.0061976-0.010583i,0.0040987-0.0086248i,0.0026255-0.0041314i,0.0010476-0.0014884i,-0.00078179-0.0017774i,-0.001578-0.0016865i,-0.00064011-0.0019933i
0.00046169-0.0066224i,0.0010265-0.0058715i,0.00028665-0.00031536i,-0.0029932+0.0045358i,-0.0042302+0.0050112i,-0.00082779+0.0011946i,0.0015499-0.0025066i,0.0027459-0.0045534i,0.0054092-0.004724i,0.0060949-0.0011506i,0.0041261+0.0029498i,0.0022584+0.0039688i,0.00017348+0.0055769i,-0.0021149+0.00858i,-0.0033474+0.0097225i,-0.003647+0.0092913i,-0.0035932+0.0064566i,-0.0040351+0.002035i,-0.0037973-0.00049918i,-0.0011935-0.0018573i,0.00047942-0.0016798i,0.00092694+0.00065442i,0.00093806+0.0023426i
-0.00113-0.0037256i,-0.0037047-0.0014028i,-0.0051723-0.0013037i,-0.0036094-0.0032813i,-0.0017008-0.0025232i,7.8882e-05-0.0016098i,0.0016311-0.0027827i,0.0040678-0.0029679i,0.0068262-0.00032775i,0.0033828+0.0031821i,-0.0025207+0.004714i,-0.004171+0.0023191i,-0.0042179-0.0015087i,-0.0026945-0.0035502i,0.0011005-0.0049969i,0.0036925-0.0074477i,0.0051049-0.0088584i,0.0054071-0.0077698i,0.0038842-0.0039961i,0.0030864-0.00058801i,0.0027189-8.6428e-05i,0.0024294+0.00010816i,0.0020905+0.0013843i
-0.0030053-0.0031063i,-0.007279-0.0026444i,-0.0080182-0.0033108i,-0.0066257-0.0017393i,-0.0051167+0.0019581i,-0.0026153+0.0044276i,-0.0010196+0.0054206i,0.00065673+0.0078961i,0.00080263+0.0093341i,-0.0026844+0.0055617i,-0.0051589+0.00087397i,-0.0042182-3.0003e-05i,-0.0029975+0.00096828i,-0.0039968+0.0022234i,-0.0061945+0.0043113i,-0.0077493+0.0059528i,-0.0071335+0.006613i,-0.0039578+0.0057649i,-0.0013377+0.0035741i,1.7351e-06+0.0027778i,0.00043805+0.0027852i,-0.00025337+0.0023377i,-0.0003466+0.0022253i
-0.0040876-0.0038691i,-0.0085123-0.0063969i,-0.0080413-0.0080005i,-0.004793-0.0074479i,-0.0032626-0.0048689i,-0.0032334-0.0025181i,-0.0035453-0.00015253i,-0.003194+0.0011512i,-0.0031254-0.00069958i,-0.0024593-0.0027469i,-0.0013842-0.0024201i,-0.0006823-0.0015858i,-0.00016422-0.0036079i,0.0014952-0.0077817i,0.0034024-0.011428i,0.0043583-0.013828i,0.0036704-0.01254i,0.0014045-0.007602i,-0.00021494-0.0026328i,-0.00097628-0.00024422i,-0.0019544-8.8733e-05i,-0.0026023-0.00078892i,-0.0027923-0.0018337i
-0.0036447-0.00673i,-0.0059881-0.0068015i,-0.0046686-0.0022661i,-0.0018741+0.0035381i,-0.0018695+0.0066833i,-0.0016035+0.0067148i,-0.00028335+0.0036509i,0.00065337-0.00027291i,0.00095343-0.0038398i,0.0015281-0.0046697i,0.0027966-0.003169i,0.0023825-0.0020437i,0.0012823-0.00073648i,0.002005+0.002107i,0.0021832+0.0055654i,0.0019006+0.0072638i,0.00092735+0.0057413i,-0.0013719+0.002769i,-0.0025141+0.00057004i,-0.0020852-0.00050599i,-0.0011832-0.00075886i,-0.00072341-0.0011746i,0.00021989-0.0015817i
0.00075765-0.0087248i,-0.0030934-0.0099274i,-0.0067325-0.0082024i,-0.0073836-0.0064395i,-0.0047898-0.0038012i,-3.5004e-05-0.0023216i,0.0019468-0.003272i,0.0021157-0.0044235i,0.0031131-0.0045669i,0.0036842-0.0022561i,0.0025778+0.000409i,0.0019337+0.00013122i,0.0018506-0.0020687i,0.0021208-0.0045176i,0.0034661-0.0068394i,0.0047005-0.0080672i,0.0053858-0.0075575i,0.0043354-0.0069799i,0.0016659-0.0056005i,0.00042591-0.0030255i,0.0009757-0.0011258i,0.0014062-0.00026094i,0.0013448+0.000723i
0.0010897-0.0024595i,-0.0016913-0.0036882i,-0.0024215-0.0020455i,-0.00096789+0.00049837i,-0.00034504+0.0030603i,0.00014469+0.0032578i,0.0008566+0.0027516i,0.0035467+0.0045288i,0.0063541+0.0042506i,0.0039641+0.0025182i,-0.00046348+0.0017189i,-0.00059295+0.0019889i,0.00066362+0.0042227i,0.00052776+0.0062362i,-0.00091982+0.0062262i,-0.0019108+0.0062626i,-0.00085301+0.0069595i,0.0014997+0.0053738i,0.0025741+0.0016572i,0.0015489+0.00085487i,0.0010929+0.0021494i,0.0017124+0.0024833i,0.0023089+0.0025969i
-0.00043536-0.0017039i,-0.0035021-0.0013572i,-0.0066578-0.002505i,-0.0054565-0.0024574i,-0.0031591-0.00041901i,-0.00091961+0.0010179i,0.00081689+0.0030911i,0.0031634+0.0064649i,0.0049278+0.0066287i,0.003319+0.0026767i,0.0003484-1.7801e-05i,-0.001571+0.00077986i,-0.0020631+0.0019372i,-0.00083122-4.0229e-05i,0.0028514-0.0045582i,0.0045393-0.0087095i,0.002426-0.0089536i,0.0010188-0.0051678i,-0.00023146-0.0014371i,-0.0015111+0.00023062i,-0.002009+0.0004909i,-0.002416+0.00061376i,-0.002625+0.0009346i
-0.00050654-0.00046829i,-0.0036294-0.0042573i,-0.0046451-0.0038763i,-0.0020881-8.778e-05i,-0.00094137+0.0044746i,0.00046379+0.0065246i,0.0020632+0.005852i,0.0024749+0.0052366i,0.002938+0.0036267i,0.0028807+0.00027103i,0.0018901-0.0028958i,-0.0011319-0.0047496i,-0.0047264-0.0043667i,-0.0042722-0.0008065i,-0.0015356+0.0045045i,0.00060955+0.0082606i,0.0011893+0.007257i,-0.00026996+0.0038991i,-0.0011478+0.0020663i,9.1454e-05+0.00097666i,0.00058813+0.00016076i,-0.00019628-0.00048187i,-0.0011274-0.0014839i
-0.0023276-0.0021955i,-0.0038345-0.0037756i,-0.0039442-0.0036309i,-0.0025667-0.0021628i,-0.0021679-0.0011835i,-0.00014468-0.00033183i,0.0010253+0.0015625i,-0.00029918+0.0031702i,-0.00090199+0.0025159i,0.0010517+0.00096093i,0.0031885-0.0003614i,0.0039347-0.0036162i,0.0036745-0.0077119i,0.0017085-0.0095858i,0.00016725-0.0084321i,0.00067713-0.0063108i,0.0022581-0.0044589i,0.0015593-0.0036462i,-0.0010201-0.003369i,-0.0013869-0.0020099i,-0.00030889+0.00017243i,0.00085542+0.0013384i,0.0012658+0.00094595i
-0.0021072-0.0018422i,-0.0044781-0.0039672i,-0.0047065-0.0029656i,-0.0025925-2.2511e-05i,-0.0013396+0.0027796i,-0.00063106+0.0043169i,0.00019035+0.0032601i,0.00038623+0.002379i,0.0003574+0.0023961i,-0.0010183+0.0028059i,-0.0011588+0.003875i,0.002013+0.0033669i,0.0052739+0.0014609i,0.0055074+0.00065105i,0.0033731+0.0014801i,0.0006944+0.0025741i,-0.00034343+0.0032847i,0.00038421+0.001518i,0.0012529-0.0016051i,0.0017425-0.0013159i,0.0018674+0.000169i,0.0016343+0.00051432i,0.0016775+0.00058664i
-0.00042013-0.0026432i,-0.0027166-0.004096i,-0.0047746-0.0033494i,-0.0044838-0.00094613i,-0.003257+0.0014166i,-0.0012753+0.0031493i,0.00014911+0.0047048i,0.0019574+0.0066797i,0.0036041+0.0051175i,0.00078739+0.0012331i,-0.0025062+0.00084486i,-0.0023869+0.0036149i,-0.00042307+0.0058724i,0.0031923+0.0052153i,0.0054378+0.0013453i,0.0036039-0.0039629i,0.00041559-0.0050908i,-5.5558e-05-0.0027742i,0.00061656-0.00070377i,-5.123e-05+8.7672e-05i,-0.00095845-0.00018436i,-0.0013027+0.00046149i,-0.00070981+0.0017283i
2.3385e-05-0.0036932i,-0.0018256-0.007117i,-0.0019678-0.0072219i,-0.0016147-0.0031384i,-0.0010646+0.0014666i,0.00030086+0.0050917i,0.0018006+0.0067859i,0.0041957+0.0063817i,0.0054211+0.0035329i,0.0043665-0.0013881i,0.0019179-0.0050371i,-0.0026018-0.0040336i,-0.0066262+0.0011136i,-0.006402+0.006477i,-0.003189+0.0093684i,0.00050551+0.0086889i,0.0021177+0.0058366i,0.0016759+0.0038959i,0.0014466+0.0033507i,0.0012639+0.0026231i,-0.00028477+0.0006071i,-0.0014967-0.00045492i,-0.0020934-8.2102e-05i
-0.0036168-0.0014386i,-0.0053315-0.0039324i,-0.0060424-0.0039395i,-0.0047415-0.001333i,-0.0038748+0.00034874i,-0.0017807+0.0026607i,0.00068334+0.0065134i,0.00029519+0.007595i,0.00075987+0.0060629i,0.002997+0.0032394i,0.0050309-0.00066569i,0.0043275-0.0041367i,-0.00046672-0.0071418i,-0.0054998-0.0080492i,-0.0060216-0.0050159i,-0.0035771-0.001713i,-0.002147-0.00076099i,-0.0016755+4.4399e-05i,-0.00051085+0.00023185i,0.00024654-0.00041371i,0.0007978-0.00014524i,0.0016248+0.00088498i,0.0020333+0.00063145i
-0.0039089-0.0023836i,-0.004561-0.0031187i,-0.0034803-0.0023031i,-0.001825-0.00029563i,-0.00051816+0.0017353i,0.00047428+0.0034165i,0.00074117+0.003918i,-0.00099894+0.0038821i,-0.0021332+0.0045477i,-0.00094616+0.0055534i,0.0011803+0.0061145i,0.004094+0.0032208i,0.0048623-0.0017662i,0.0029812-0.0052473i,0.00021759-0.0044608i,-0.0018193-0.00097183i,-0.0012656+0.00073354i,-0.00067741-0.0010189i,-0.0010932-0.0025158i,-0.00059019-0.0011555i,0.00062897+0.00048422i,0.0019889+0.00056723i,0.0015547-0.00039349i
0.00058349-0.0082823i,-0.002088-0.0083534i,-0.0045905-0.0065584i,-0.0036325-0.0028057i,-0.00071011+0.00098692i,0.00050238+0.0029377i,-3.8019e-05+0.004736i,-0.00062214+0.0055382i,-0.0014517+0.0045189i,-0.0044723+0.0038294i,-0.0060247+0.0053528i,-0.0022907+0.0064384i,0.0046729+0.0043813i,0.010142+0.0013664i,0.010135-0.0021441i,0.0055711-0.0050361i,0.0017068-0.004338i,0.0012048-0.003015i,0.0013516-0.0035948i,0.0010016-0.002527i,0.0013932-0.00020665i,0.0015214+0.00067883i,0.00097062+0.0010156i
0.0022579-0.0040539i,-0.00047335-0.0073247i,-0.002991-0.0075868i,-0.0047131-0.0038713i,-0.003985+0.0007062i,-0.0018643+0.00473i,-0.00039707+0.0066406i,0.00053497+0.0050948i,0.00066441+0.0014896i,-0.0016914-0.0029435i,-0.0044572-0.0043323i,-0.004896-0.00091502i,-0.0035966+0.0058289i,-0.0010643+0.010909i,0.0014782+0.010664i,0.0023975+0.0074994i,0.0024067+0.0047896i,0.0017593+0.0040826i,0.0014378+0.0033947i,0.0011234+0.001556i,-7.3845e-05+0.00067414i,-0.0012173+0.00059545i,-0.0015133+0.0015246i
-4.54e-05-0.00050276i,-0.0007486-0.0025833i,-0.00056264-0.00374i,-0.0011167-0.0036832i,-0.001588-0.0010768i,-0.0012579+0.0025184i,-0.00043135+0.0059252i,0.00088863+0.0058063i,0.0030686+0.0022008i,0.0047243-0.0024817i,0.004462-0.0063021i,0.0012305-0.006928i,-0.0034695-0.0043128i,-0.006239-0.0012959i,-0.005702+0.00046383i,-0.0031138+0.0020269i,-0.0013738+0.0029693i,-0.00015138+0.0032926i,0.00059263+0.0027727i,0.00095531+0.0016334i,0.0017789+0.00063091i,0.0025927+0.00037333i,0.0026851+0.00078677i
0.0010109-0.0026605i,0.0011177-0.0032206i,0.00016583-0.0034633i,-0.00050494-0.0013811i,-0.00019438+0.0023517i,0.00014388+0.0043509i,0.00086221+0.0057756i,0.0012247+0.0062586i,0.0012994+0.0055806i,0.0025905+0.0050435i,0.0051233+0.0042586i,0.0054403+0.0015368i,0.0016495-0.0014707i,-0.0021918-0.0019677i,-0.0039544-0.00060556i,-0.0042356+0.000433i,-0.0041183+0.00087412i,-0.0042465+0.00055029i,-0.0037669-0.00013731i,-0.0024424+0.00018192i,-0.001447+0.0012853i,-0.00097402+0.0014974i,-0.0011658+0.00045643i
-0.0018853-0.0074408i,-0.0037836-0.0086752i,-0.0062875-0.0079118i,-0.0065471-0.0048254i,-0.0032641-0.0013075i,0.001191+0.00097998i,0.0012848+0.0021949i,-0.00099395+0.0031067i,-0.001999+0.0044263i,-0.0027767+0.0068168i,-0.0015645+0.0095602i,0.0014307+0.0075326i,0.0047229+0.0008518i,0.0072214-0.0045167i,0.0059805-0.0062909i,0.0021482-0.0056373i,3.8377e-05-0.0048504i,-0.00016095-0.0046869i,0.0003169-0.0041869i,0.00070162-0.0025833i,0.0011408-0.001173i,0.0013692-0.0003024i,0.0017104-0.00019316i
-0.0010359-0.0033935i,-0.0019417-0.0044761i,-0.002195-0.0044972i,-0.0019213-0.0032047i,-0.0016016-0.00065175i,-0.00207+0.0020532i,-0.0023291+0.0034944i,-0.001663+0.0031137i,-0.002881+0.00099064i,-0.0059804-0.00014662i,-0.0083831+0.0016397i,-0.0060207+0.0034048i,0.0013519+0.0048628i,0.0060295+0.0059018i,0.0065592+0.0055131i,0.0050244+0.0039018i,0.0033509+0.002315i,0.0024045+0.0025047i,0.00075499+0.0022223i,-0.00029516+0.00153i,-2.1549e-05+0.0016666i,-0.00031868+0.0017754i,-0.0011438+0.002166i
0.00082311-0.0045661i,0.0001738-0.0029351i,-0.0016868-0.00091041i,-0.0021054+0.00072978i,-0.00034524+0.0025002i,0.00042886+0.0044317i,-0.00045278+0.0063982i,-0.00011542+0.0051173i,-0.00025071+0.00049169i,-0.0020246-0.0051033i,-0.0035238-0.0074586i,-0.0036033-0.005539i,-0.0032944-0.00062376i,-0.0034428+0.0031872i,-0.0028637+0.0039108i,-0.0010881+0.0035991i,0.00042407+0.0032499i,0.0011039+0.0023229i,0.0017988+0.00093161i,0.0018201-0.00025574i,0.0011342-0.0006561i,0.0009015+0.00013043i,0.0011583+0.00045132i
0.00054336-0.0013478i,-0.0017249-0.0022064i,-0.0036399-0.0042156i,-0.0042096-0.0030436i,-0.0021182+0.0010914i,0.0011707+0.0028802i,0.0016837+0.0034944i,0.0012673+0.0034903i,0.0019276+0.00046101i,0.0041542-0.0025387i,0.005381-0.0031429i,0.0035968-0.0023419i,0.0002362-0.0005995i,-0.0025519+0.0021181i,-0.0031973+0.0035552i,-0.0033202+0.002835i,-0.0033431+0.0018141i,-0.0028404+0.0016263i,-0.0022019+0.0014762i,-0.0026009+0.0013508i,-0.0021236+0.0010281i,-0.00060566+0.00079411i,-0.00059891+0.0016174i
-0.00067399-0.00053906i,-0.0020235-0.0016345i,-0.0015521-0.0049776i,-0.00083084-0.0050733i,-0.0010494-0.0016497i,-0.0015266+0.0017136i,-0.0026375+0.0043442i,-0.0019148+0.0048875i,0.00104+0.004302i,0.0029681+0.0047101i,0.004163+0.0055751i,0.0037256+0.0043385i,0.00018231-0.00060133i,-0.0024037-0.0048168i,-0.002633-0.0051633i,-0.0025729-0.0042864i,-0.0015968-0.0046567i,-0.00066051-0.0041569i,-0.00037749-0.0020582i,-0.00019885-0.0014684i,0.00078789-0.001451i,0.0013157-0.0015927i,0.00088079-0.0018206i
-0.0014891-0.0038161i,-0.0036228-0.0033851i,-0.0043265-0.0015405i,-0.0034469+0.00065026i,-0.00083293+0.0035168i,0.0012765+0.0053133i,0.000519+0.0052854i,-0.00073233+0.0037685i,-0.0017139+0.0029626i,-0.0036819+0.0044157i,-0.004292+0.0065487i,-0.0017436+0.0055332i,0.0028019+0.0021393i,0.005517+0.0001952i,0.0050023+0.00037697i,0.003386+0.00095265i,0.0024613+0.0012924i,0.002122+0.00070729i,0.0015006-0.00089476i,0.00077868-0.0011695i,-0.00015624+0.00024641i,-0.00065395+0.0011006i,-0.00032443+0.00056068i
-0.002568-0.0025437i,-0.0053738-0.0027854i,-0.0055067-0.0031028i,-0.0045265-0.0025639i,-0.0032526+0.00037576i,-0.0014142+0.0011771i,-0.00084543+0.0015387i,-0.0011732+0.0020157i,-0.0028066+0.00047564i,-0.0056639-0.00017261i,-0.0067476+0.00015583i,-0.0050505+0.0009153i,-0.0016639+0.0021183i,0.000516+0.0023424i,0.0009614+0.0017377i,0.0011902+0.0017027i,0.00093886+0.001697i,0.00086023+0.00058849i,0.0014093-6.0657e-05i,0.0015576-0.00042006i,0.00090002-0.00033275i,9.806e-05-5.7236e-05i,0.00029689+2.5672e-05i
-0.0029711+0.00077882i,-0.0046823-0.0012913i,-0.0025472-0.0013107i,0.0011672-0.00074322i,0.0021471+0.00088388i,0.00088362+0.0028514i,-0.00053868+0.0033705i,-0.00019947+0.0017512i,0.00013749-0.0016485i,-0.00054838-0.0057235i,-0.0018443-0.0067144i,-0.0018886-0.0039133i,-0.00071468-0.00052505i,-0.00035919+0.0013965i,-0.0017193+0.0017055i,-0.0031941+0.0014379i,-0.0032307+0.0020403i,-0.0020165+0.0019685i,-0.00074374+0.0012418i,-0.00027497+0.00093393i,-0.00025183+0.0012685i,0.00021271+0.0012041i,0.00083883+0.00085069i
-0.0033679-0.0024853i,-0.0053885-0.0033108i,-0.0064728-0.0020263i,-0.0055359+2.2613e-05i,-0.0031655+0.0025196i,2.3699e-05+0.0033577i,0.00062246+0.0028686i,0.00076075+0.0021619i,0.0022413+0.0009992i,0.0031016-0.00087582i,0.0028036-0.0016802i,0.0011773-0.00066366i,-0.0012308+0.00059541i,-0.002452+0.00082523i,-0.0025113-0.00042867i,-0.0022947-0.0023509i,-0.0026175-0.0040727i,-0.0026-0.0035607i,-0.0017072-0.0014866i,-0.00095471+0.00012859i,-0.0011781-0.00018479i,-0.00092827-0.00081949i,0.00022814-0.00070899i
-0.0022186-0.005603i,-0.0039145-0.0087449i,-0.0036023-0.0086109i,-0.0025993-0.0058423i,-0.0031991-0.0020424i,-0.0019532+0.0017655i,-2.8739e-05+0.003126i,0.0013197+0.0028035i,0.0018905+0.0028837i,0.0018239+0.0037233i,0.0024446+0.0042506i,0.0027431+0.0027491i,0.0011598+0.00015435i,0.00041022-0.0015681i,0.0010379-0.0017955i,0.0017781-0.0015276i,0.0019826-0.0015196i,0.0023996-0.0012736i,0.0020488-0.00082501i,0.0015051-0.00024559i,0.00103-0.0001284i,2.2176e-05+0.00025148i,9.2263e-05+0.00063483i
-0.0032813-0.0047615i,-0.0059116-0.0061119i,-0.0050358-0.0046277i,-0.0018039-0.00098596i,-0.0018092+0.0026088i,-0.0028324+0.0031365i,-0.0028236+0.0020977i,-0.0020243+0.0025282i,-0.0020685+0.0026875i,-0.0030442+0.0031055i,-0.0030429+0.0034275i,-0.0013683+0.0021233i,0.0007148-0.00017984i,0.0016723-0.0011931i,0.0013316-0.00061737i,0.0011695-0.00036138i,0.00071065-0.0010895i,-0.00018411-0.0018503i,-0.00038311-0.0011471i,-0.0006976+0.00079604i,-0.0013471+0.0016169i,-0.0013018+0.0014486i,-0.00072486+0.001055i
