-0.0033688+0.0006394i,-0.0023932-0.00049523i,-0.0029293+5.283e-05i,-0.0017771+0.00049862i,-0.00072364+0.00096347i,-0.0011498+0.0011683i,-0.00075571+0.00081114i,0.00049783+0.00081963i,0.00073338+0.00038996i,9.4744e-05-9.8135e-05i,-0.00018637+6.8576e-05i,4.0984e-05-0.00033i,0.00036668-0.00079258i,-0.00037351-0.00085533i,-0.0011758-0.0011214i,-0.0010616-0.0011075i,-0.0011505+3.6701e-05i,-0.0013095+0.00092292i,-0.0010428+0.00091012i,-0.00073361+0.00077789i,-0.00015829+0.00041848i,0.00051783+0.00023748i,0.00034044+0.00010703i
-0.40089+0.05713i,-0.56025+0.13475i,-0.53712+0.16227i,-0.44122+0.080823i,-0.34143+0.017955i,-0.18617+0.03982i,-0.048597+0.038942i,-0.0098485+0.016687i,-0.00032529+0.023786i,0.018896+0.029744i,0.024718+0.039214i,0.037933+0.055026i,0.052674+0.047944i,0.036046+0.033485i,-0.0011665+0.026424i,-0.031819+0.02316i,-0.045837+0.024133i,-0.042333+0.022207i,-0.031251+0.018839i,-0.021109+0.025999i,-0.007454+0.037276i,0.0051204+0.035988i,0.0068387+0.028088i
0.25341-0.307i,0.34495-0.4207i,0.32785-0.33214i,0.28675-0.12404i,0.23629+0.0068747i,0.141+0.030854i,0.068256+0.018681i,0.050891-0.0065537i,0.032499-0.030472i,-0.0031558-0.021839i,-0.028234-0.0034744i,-0.042387-0.0052388i,-0.046112-0.0067486i,-0.017972-0.0011046i,0.022338-0.0073084i,0.031793-0.021162i,0.022539-0.026631i,0.018346-0.024628i,0.013708-0.020438i,0.004863-0.016805i,-0.0011562-0.019724i,0.00014368-0.019996i,0.0065244-0.012434i
0.026754+0.35967i,0.023036+0.42466i,-0.052622+0.24223i,-0.14435+0.0032467i,-0.13038-0.096733i,-0.058907-0.096146i,-0.044294-0.054342i,-0.063726+0.0047355i,-0.057359+0.035895i,-0.031451+0.029893i,0.0005885+0.021677i,0.031054+0.01728i,0.036042+0.0055627i,3.6006e-05-0.0045716i,-0.043209+0.005386i,-0.04913+0.022202i,-0.037112+0.022355i,-0.036157+0.020445i,-0.033154+0.030482i,-0.013646+0.037646i,0.0059625+0.033108i,0.010889+0.018321i,0.0064711+0.0013001i
-0.29302-0.2033i,-0.38932-0.194i,-0.31498-0.050437i,-0.1977+0.078751i,-0.15739+0.10988i,-0.10939+0.10078i,-0.014165+0.078557i,0.04897+0.042378i,0.047866+0.019547i,0.026125+0.016265i,0.015534+0.010027i,0.0081931-0.0072548i,0.0020437-0.017469i,0.018325-0.010534i,0.041062-0.0013113i,0.034307+0.011173i,0.021389+0.034012i,0.035529+0.040207i,0.052335+0.014764i,0.038538-0.016039i,0.0081634-0.025883i,-0.0062835-0.017647i,-0.0035342-0.0095333i
0.35352-0.063508i,0.45338-0.11592i,0.37265-0.099452i,0.24864-0.034386i,0.17356-0.0067166i,0.096947-0.032915i,0.029078-0.063666i,0.0088819-0.067593i,0.0048391-0.054034i,-0.014788-0.023795i,-0.032032+0.006396i,-0.040268+0.0142i,-0.049975+0.014633i,-0.047375+0.018365i,-0.02186+0.014397i,0.0148-0.0031907i,0.03562-0.026191i,0.022568-0.035675i,-0.0010801-0.019721i,-0.0010161+0.0078659i,0.014504+0.022296i,0.017257+0.020267i,0.007475+0.016106i
-0.20622+0.27659i,-0.27226+0.34379i,-0.27622+0.25199i,-0.21517+0.14696i,-0.08795+0.10666i,0.018201+0.080829i,0.028871+0.061574i,-0.0039129+0.04814i,-0.0095322+0.035327i,0.023297+0.02059i,0.055073-0.0028221i,0.051966-0.012489i,0.037856+0.00040204i,0.027636+0.0048852i,0.007065-0.0035653i,-0.016879-0.0046352i,-0.026766+0.0024809i,-0.0181+0.0046946i,-0.0042668-0.0070501i,-0.0033997-0.024048i,-0.010278-0.025959i,-0.0096937-0.017371i,-0.0054685-0.01835i
-0.056342-0.28553i,-0.0096731-0.28096i,0.13847-0.13921i,0.20149-0.080021i,0.06542-0.13373i,-0.083587-0.15099i,-0.10051-0.10553i,-0.055805-0.063705i,-0.035718-0.047788i,-0.045146-0.036876i,-0.045587-0.016955i,-0.026105-0.010161i,-0.0088962-0.019137i,0.0040177-0.025513i,0.015961-0.026506i,0.020341-0.018693i,0.023168-0.0034497i,0.030404+0.0083596i,0.034521+0.0094033i,0.032431+0.0040023i,0.03039-0.0042599i,0.022941-0.010281i,0.0085644-0.0018144i
0.25276+0.098364i,0.22675+0.026266i,0.043929-0.078316i,-0.056741-0.069849i,0.001404+0.033247i,0.067959+0.10348i,0.081311+0.10297i,0.070892+0.066446i,0.046306+0.044324i,0.024845+0.043421i,0.0014274+0.039403i,-0.020715+0.044127i,-0.022405+0.053718i,-0.019335+0.050388i,-0.019005+0.034598i,-0.016461+0.0079727i,-0.017036-0.022075i,-0.025501-0.042666i,-0.037311-0.041047i,-0.042152-0.02086i,-0.039153-0.0043002i,-0.029985+0.00096723i,-0.015154+0.00016341i
-0.24803+0.15399i,-0.21099+0.24885i,-0.059522+0.26279i,-0.00020066+0.19748i,-0.037176+0.10932i,-0.059124+0.027161i,-0.080826-0.025245i,-0.097101-0.019367i,-0.071221-0.0052082i,-0.029749-0.0064278i,0.017788-0.0076427i,0.052586-0.024224i,0.04837-0.043728i,0.026876-0.045346i,0.0065375-0.030189i,-0.0099015-0.0067906i,-0.015252+0.014533i,-0.0047686+0.027026i,0.016335+0.017517i,0.027892-0.010571i,0.021278-0.030472i,0.01063-0.029838i,0.004365-0.022691i
0.079564-0.3019i,0.047611-0.39172i,0.028961-0.35877i,0.10008-0.32067i,0.14448-0.30479i,0.087157-0.2081i,0.053424-0.07492i,0.050538-0.023019i,0.020009-0.01854i,-0.017508-0.012743i,-0.051875+0.0029746i,-0.062244+0.029225i,-0.043308+0.036268i,-0.031532+0.023099i,-0.024804+0.016096i,-0.0067962+0.017213i,0.0095552+0.013148i,0.0067807+0.0023982i,-0.012696+0.0033832i,-0.029391+0.025243i,-0.031885+0.048721i,-0.023105+0.051201i,-0.013588+0.03926i
0.14164+0.25131i,0.16254+0.26807i,0.016385+0.16901i,-0.21946+0.14893i,-0.30001+0.22339i,-0.19202+0.22061i,-0.086567+0.15785i,-0.029495+0.12652i,0.0027171+0.10553i,0.0097411+0.079759i,0.022624+0.046467i,0.025471+0.0059493i,0.0071096-0.0012145i,0.011239+0.025867i,0.032715+0.036471i,0.030354+0.016106i,0.010599-0.003344i,0.0018137-0.0081247i,0.0035576-0.013194i,0.0031311-0.023327i,0.0022759-0.0292i,0.0026954-0.022471i,0.0052944-0.012466i
-0.2701-0.052759i,-0.29767+0.021973i,-0.087485+0.13431i,0.17811+0.10396i,0.24423-0.031622i,0.1682-0.11031i,0.10693-0.14609i,0.063606-0.1577i,0.032578-0.12825i,0.015409-0.080585i,0.0015846-0.034203i,0.0038724-0.011054i,0.0086735-0.024595i,-0.0056495-0.052086i,-0.025911-0.059993i,-0.0304-0.038024i,-0.021609-0.011313i,-0.015603+0.0069782i,-0.010309+0.025299i,0.0082208+0.041127i,0.031794+0.04515i,0.039075+0.031294i,0.023479+0.010821i
0.24123-0.17208i,0.24523-0.33285i,0.036936-0.40701i,-0.15707-0.29151i,-0.1526-0.1136i,-0.094836+0.0018182i,-0.086538+0.083589i,-0.069932+0.10548i,-0.045238+0.075088i,-0.016879+0.050331i,0.011089+0.023495i,0.0088111+0.0069352i,0.0010466+0.023451i,0.011792+0.045453i,0.024153+0.045633i,0.022718+0.032004i,0.01448+0.025493i,0.016422+0.017982i,0.018224-0.0030027i,0.0026918-0.027299i,-0.021848-0.040747i,-0.033741-0.033292i,-0.023683-0.013494i
-0.095144+0.31451i,-0.055485+0.52427i,0.070869+0.5474i,0.106+0.36147i,0.017797+0.15195i,-0.016667+0.020496i,0.019245-0.044954i,0.032195-0.038531i,0.018925-0.0075589i,-0.007658-0.0017582i,-0.024054+0.0040901i,-0.017441+0.0068748i,-0.015883-0.0042338i,-0.016557-0.0090405i,-0.0064323-0.0046492i,0.005238-0.0046089i,0.013841-0.011006i,0.017563-0.010253i,0.019254-0.00062589i,0.02762+0.006115i,0.041129+0.0056343i,0.044285-0.0012519i,0.033487-0.0046058i
-0.10333-0.31082i,-0.20027-0.47232i,-0.22228-0.41406i,-0.10255-0.19559i,0.023741-0.023132i,0.036952+0.049324i,0.015047+0.051759i,0.021288+0.0036444i,0.026801-0.031198i,0.026104-0.01815i,0.020656-0.00074138i,0.01287+0.0022014i,0.012638+0.00068258i,0.0036503-0.015005i,-0.018565-0.033785i,-0.029274-0.031312i,-0.023152-0.023425i,-0.019864-0.02487i,-0.020789-0.025002i,-0.026574-0.018357i,-0.03919-0.0041336i,-0.038101+0.0078194i,-0.024284+0.0011847i
0.24553+0.17668i,0.38351+0.22126i,0.33085+0.12444i,0.13425-0.018901i,0.016418-0.090686i,-0.005663-0.10793i,-0.044947-0.088957i,-0.087018-0.041119i,-0.086955-0.010172i,-0.05589+0.00089587i,-0.017015+0.0052434i,0.0012293+0.0042078i,0.00050363+0.014558i,0.012048+0.03859i,0.037923+0.052922i,0.043906+0.046819i,0.028061+0.043657i,0.021355+0.042507i,0.022791+0.024142i,0.02054-0.0030058i,0.01815-0.025751i,0.0099488-0.032856i,-0.00022402-0.020119i
-0.28375+0.025328i,-0.40354+0.11675i,-0.29295+0.22193i,-0.072412+0.23361i,0.0072893+0.15431i,-0.0045116+0.10188i,0.02695+0.10196i,0.057629+0.099422i,0.044889+0.076636i,0.0062444+0.034406i,-0.035102+0.0063039i,-0.046052+0.0072238i,-0.031787-0.0014231i,-0.030757-0.026358i,-0.040349-0.03798i,-0.030369-0.038047i,-0.0066496-0.04822i,-0.00017206-0.053377i,-0.012789-0.029565i,-0.023322+0.015215i,-0.016563+0.052725i,-0.001527+0.057607i,0.0026864+0.038201i
0.21484-0.20432i,0.28655-0.40661i,0.17052-0.52505i,-0.03304-0.45173i,-0.11474-0.25351i,-0.09541-0.10396i,-0.07155-0.06271i,-0.038776-0.065781i,-0.0080988-0.048765i,0.015084-0.0018341i,0.049327+0.025997i,0.068102+0.015006i,0.054224+0.0087896i,0.041215+0.015906i,0.033206+0.010023i,0.0092214+0.0022441i,-0.019647+0.007513i,-0.028069+0.011257i,-0.0085929-0.0010834i,0.015059-0.030365i,0.014244-0.057462i,-0.00089608-0.056332i,-0.0059197-0.036435i
-0.076009+0.29016i,-0.08921+0.53604i,-0.012472+0.65443i,0.12701+0.55472i,0.21086+0.32576i,0.20253+0.12276i,0.13884+0.030967i,0.061762+0.01242i,0.011831+0.0018569i,-0.010879-0.0090191i,-0.027865-0.011412i,-0.043252-0.012661i,-0.045364-0.016832i,-0.03427-0.011216i,-0.018655+0.0083639i,-0.0048464+0.027154i,0.006165+0.042594i,0.018703+0.052607i,0.019413+0.048039i,0.0059693+0.041785i,0.0029476+0.041784i,0.0090714+0.033844i,0.008143+0.023866i
-0.079456-0.26979i,-0.12575-0.48557i,-0.13798-0.59379i,-0.16555-0.54168i,-0.23661-0.37929i,-0.26292-0.16924i,-0.19987-0.018327i,-0.11578+0.037383i,-0.060501+0.046495i,-0.033319+0.029079i,-0.021052+0.012531i,-0.0083859+0.019099i,0.0034057+0.02645i,-0.0010095+0.018148i,-0.011649+0.00076798i,-0.0056281-0.018267i,0.012122-0.042074i,0.013703-0.062202i,-0.00012396-0.059843i,-0.012495-0.043095i,-0.021301-0.025448i,-0.019479-0.0086426i,-0.007369+0.00088175i
0.18309+0.15286i,0.26457+0.26966i,0.19421+0.33035i,0.074618+0.33355i,0.085633+0.28158i,0.16297+0.1481i,0.17887+0.023787i,0.15088-0.025312i,0.10917-0.033243i,0.0686-0.0061944i,0.062199+0.015341i,0.063928-0.0047058i,0.044746-0.022688i,0.033796-0.013519i,0.036397-0.0007241i,0.018587+0.0069208i,-0.013602+0.02083i,-0.026289+0.031495i,-0.013055+0.025966i,0.011801+0.013143i,0.028763+0.00020481i,0.028024-0.012458i,0.01744-0.022617i
-0.2165-0.0072938i,-0.32072+0.0052822i,-0.23159+0.027762i,-0.032375+0.022493i,0.040666-0.013086i,-0.027848-0.022446i,-0.091139-0.015092i,-0.099974-0.020653i,-0.082063-0.021953i,-0.062314-0.024511i,-0.071748-0.023976i,-0.084781-0.00069945i,-0.067753+0.017165i,-0.047876+0.010407i,-0.038456+0.0030419i,-0.015838+0.0070289i,0.015974+0.010963i,0.031137+0.012836i,0.019329+0.014281i,-0.0093757+0.015382i,-0.027966+0.018025i,-0.028403+0.019108i,-0.021287+0.020263i
0.18407-0.1171i,0.29244-0.23516i,0.249-0.32705i,0.070318-0.34448i,-0.061112-0.27671i,-0.073454-0.16449i,-0.045447-0.058536i,-0.028343+0.0074949i,-0.015048+0.024692i,0.006161+0.020936i,0.036501+0.023368i,0.053335+0.023263i,0.044106+0.020083i,0.032369+0.021324i,0.030157+0.015154i,0.025488-0.0047111i,0.012266-0.030791i,-0.0020555-0.049697i,-0.0052792-0.048226i,0.0087857-0.033942i,0.024371-0.021276i,0.025092-0.012273i,0.015176-0.0094734i
-0.1096+0.18787i,-0.21017+0.35772i,-0.25596+0.4681i,-0.1907+0.49033i,-0.065048+0.42821i,0.050209+0.29206i,0.10247+0.15202i,0.096592+0.068105i,0.062005+0.035175i,0.014107+0.028585i,-0.0092029+0.019284i,-0.0061192-0.0077493i,-0.0033791-0.031405i,-0.0022322-0.039206i,-0.0045947-0.036747i,-0.017998-0.020839i,-0.030079+0.011177i,-0.023817+0.040712i,-0.0085003+0.04553i,-0.0030812+0.033071i,-0.0055058+0.017895i,-0.0047607+0.0039977i,0.00069376-0.0046535i
0.015902-0.19692i,0.085693-0.34959i,0.22903-0.40395i,0.32425-0.3905i,0.23034-0.3701i,0.020652-0.2919i,-0.090576-0.18643i,-0.084389-0.12811i,-0.058628-0.093136i,-0.032805-0.062273i,-0.029307-0.042047i,-0.044545-0.0082779i,-0.040673+0.026379i,-0.029728+0.038225i,-0.02466+0.038245i,-0.0082222+0.033836i,0.015735+0.019856i,0.021841+0.0011729i,0.011671-0.01493i,0.0025415-0.029184i,-0.0048253-0.032085i,-0.011437-0.017451i,-0.014209+0.0025786i
0.080028+0.14718i,0.067861+0.2232i,-0.11557+0.184i,-0.33311+0.11257i,-0.30612+0.13347i,-0.092557+0.15934i,0.017262+0.13921i,0.001751+0.12685i,-0.0058294+0.10381i,0.0086063+0.07271i,0.036766+0.059507i,0.063967+0.033616i,0.057162+0.0012781i,0.040093-0.0075196i,0.034771-0.0069526i,0.024833-0.014378i,0.0083684-0.023719i,-0.0017088-0.025849i,-0.0062844-0.013913i,-0.0091047+0.012209i,-0.0044279+0.032795i,0.0065869+0.02832i,0.012326+0.0070139i
-0.15136-0.056748i,-0.20081-0.043005i,-0.055401+0.054733i,0.18207+0.14896i,0.22642+0.11049i,0.091498+0.010794i,0.029424-0.031729i,0.058937-0.038537i,0.044204-0.033198i,-0.006326-0.021156i,-0.037077-0.023891i,-0.045635-0.025629i,-0.037533-0.021533i,-0.030941-0.027522i,-0.032978-0.032567i,-0.033601-0.020834i,-0.028529+0.0060859i,-0.013201+0.02735i,0.0076876+0.026175i,0.018058+0.0041768i,0.011895-0.021982i,-0.002072-0.031702i,-0.0076297-0.022072i
0.16845-0.049783i,0.25294-0.12343i,0.19459-0.2153i,0.028968-0.27882i,-0.059655-0.24715i,-0.047193-0.14609i,-0.046838-0.069999i,-0.057423-0.043365i,-0.02719-0.031641i,0.014998-0.015967i,0.027581+0.0039889i,0.018399+0.020827i,0.0099226+0.034235i,0.013726+0.050836i,0.02342+0.060728i,0.032478+0.049166i,0.035318+0.017716i,0.020885-0.014203i,-0.00096366-0.027503i,-0.011876-0.01562i,-0.010221+0.0099911i,-0.0062524+0.027169i,-0.0078731+0.028043i
-0.11991+0.13213i,-0.21203+0.21504i,-0.23592+0.23177i,-0.18046+0.19744i,-0.11273+0.17337i,-0.040643+0.15965i,0.017598+0.11988i,0.012816+0.077736i,-0.023133+0.057105i,-0.036849+0.044677i,-0.024255+0.030694i,-0.0072235+0.005425i,-0.0083794-0.022293i,-0.017056-0.039919i,-0.018221-0.046934i,-0.018033-0.040404i,-0.013691-0.021454i,0.00054941+0.0013786i,0.013374+0.016654i,0.013677+0.016669i,0.0085853+0.0064546i,0.011975-0.0056249i,0.021838-0.01711i
0.031107-0.15475i,0.083731-0.21358i,0.14132-0.12728i,0.18254+0.01785i,0.17223+0.017715i,0.083711-0.087877i,0.010091-0.10885i,0.021795-0.060858i,0.044035-0.04267i,0.0278-0.041045i,0.0057888-0.034437i,-0.0011167-0.015825i,0.011403+0.0065861i,0.02416+0.012418i,0.019366+0.0052957i,0.0047228-0.0011743i,-0.0097793-0.0032973i,-0.015874-0.0090804i,-0.010647-0.018844i,0.0022472-0.025542i,0.011639-0.02821i,0.0039772-0.024086i,-0.0093275-0.0091635i
0.065304+0.12277i,0.087089+0.14362i,0.042357-0.020392i,-0.067404-0.23916i,-0.13738-0.21477i,-0.095504-0.027249i,-0.039269+0.045158i,-0.043478+0.017958i,-0.041416+0.011993i,-0.0086531+0.022264i,0.0107+0.02848i,0.0051911+0.02633i,-0.014808+0.02367i,-0.027511+0.035882i,-0.017899+0.050463i,0.0024866+0.04933i,0.018117+0.034632i,0.017198+0.017224i,-0.00073399+0.0075297i,-0.021974+0.010143i,-0.034374+0.023176i,-0.026816+0.033967i,-0.011737+0.02728i
-0.13549-0.055449i,-0.22925-0.03119i,-0.2305+0.14632i,-0.109+0.35792i,0.017763+0.32615i,0.043137+0.12918i,0.02839+0.037458i,0.036741+0.031427i,0.01172+0.013468i,-0.031177+0.0040798i,-0.033501-0.0014136i,-0.012628-0.019677i,0.0028539-0.041817i,0.0065448-0.066243i,0.00090024-0.080464i,-0.010804-0.067791i,-0.017383-0.035757i,-0.0054816-0.0036777i,0.014443+0.012304i,0.030257+0.0080614i,0.041443-0.010237i,0.041783-0.030342i,0.03111-0.034808i
0.14856-0.027327i,0.27522-0.086143i,0.31378-0.21197i,0.21603-0.33946i,0.083767-0.31345i,0.014842-0.17905i,-0.014008-0.10123i,-0.026736-0.069167i,0.0030302-0.03036i,0.037353-0.011116i,0.033869-0.00016015i,0.020099+0.025276i,0.021368+0.052178i,0.031366+0.070963i,0.034076+0.072449i,0.030294+0.048629i,0.02075+0.009231i,-0.0010217-0.023113i,-0.021539-0.034421i,-0.031929-0.026538i,-0.03911-0.0078206i,-0.045137+0.0099787i,-0.045367+0.021752i
-0.10519+0.090697i,-0.20679+0.16754i,-0.24321+0.22303i,-0.1738+0.23328i,-0.10022+0.19108i,-0.064693+0.14619i,-0.024016+0.12623i,-0.0057174+0.092467i,-0.028507+0.046237i,-0.043554+0.027673i,-0.031864+0.020227i,-0.025183-0.0071142i,-0.043089-0.036988i,-0.064986-0.048208i,-0.066242-0.03742i,-0.048326-0.0089476i,-0.023063+0.024744i,0.00041637+0.047532i,0.01644+0.050027i,0.024362+0.034898i,0.026093+0.018365i,0.029553+0.012625i,0.035059+0.0058219i
0.025612-0.11444i,0.060936-0.19732i,0.052667-0.20657i,-0.0053691-0.12669i,-0.0033359-0.056008i,0.045239-0.073806i,0.042785-0.10423i,0.029422-0.072888i,0.033063-0.035394i,0.017952-0.026901i,0.0027472-0.01963i,0.01167-0.001764i,0.040185+0.013017i,0.06601+0.011157i,0.070386-0.004972i,0.051007-0.025168i,0.025857-0.036868i,0.013816-0.041517i,0.0061814-0.041302i,-0.0022268-0.029947i,-7.6252e-05-0.019052i,0.0050399-0.022119i,0.0011796-0.02353i
0.05634+0.10163i,0.10195+0.18341i,0.17958+0.17816i,0.23387+0.0523i,0.15282-0.040534i,0.011431-0.0065964i,-0.040593+0.042135i,-0.034413+0.024901i,-0.020362+0.008365i,0.011136+0.019426i,0.024888+0.025947i,0.002575+0.027317i,-0.028594+0.030831i,-0.044957+0.041224i,-0.042046+0.04699i,-0.025683+0.038539i,-0.011247+0.02156i,-0.010372+0.0066809i,-0.011025+0.0029027i,-0.010532+0.00042175i,-0.021642-0.0007518i,-0.033128+0.011131i,-0.029304+0.021239i
-0.10165-0.051498i,-0.21153-0.12247i,-0.34763-0.13014i,-0.40019-0.020495i,-0.27166+0.06442i,-0.096164+0.038981i,-0.023332+0.017004i,-0.0096927+0.035065i,-0.019069+0.023881i,-0.044458-0.00011524i,-0.040128-0.012227i,-0.009921-0.033564i,0.0032007-0.059671i,-0.0044109-0.075086i,-0.014358-0.068606i,-0.019589-0.035247i,-0.017649+0.0048462i,-0.0049673+0.030736i,0.0093668+0.034161i,0.01947+0.027353i,0.033745+0.021642i,0.04832+0.0099656i,0.047444-0.0045393i
0.10877-0.0065917i,0.2491+0.035446i,0.40488+0.052825i,0.4356-0.016011i,0.2894-0.072847i,0.13436-0.048641i,0.085957-0.042362i,0.066796-0.060648i,0.049723-0.033954i,0.045523-0.0030365i,0.030418+0.0083966i,0.014813+0.030845i,0.022804+0.059426i,0.044785+0.07538i,0.058918+0.066784i,0.056695+0.029544i,0.044432-0.015328i,0.027819-0.043861i,0.0040147-0.051719i,-0.021424-0.044648i,-0.03654-0.034921i,-0.042395-0.028732i,-0.044555-0.019351i
-0.071593+0.041885i,-0.20497+0.043634i,-0.348+0.049536i,-0.35669+0.086647i,-0.23326+0.088948i,-0.14037+0.041971i,-0.12617+0.032641i,-0.10486+0.042339i,-0.062486+0.018603i,-0.034057+0.0053678i,-0.019275+0.012292i,-0.02068+0.0021151i,-0.039831-0.018236i,-0.058685-0.033553i,-0.067035-0.036028i,-0.061632-0.019073i,-0.047457+0.005472i,-0.033713+0.022057i,-0.010069+0.033017i,0.0214+0.034427i,0.032731+0.025627i,0.02314+0.0245i,0.018443+0.026851i
0.02504-0.052353i,0.12439-0.1026i,0.23191-0.16477i,0.217-0.20362i,0.12546-0.15159i,0.093625-0.059032i,0.10312-0.020359i,0.080555-0.00627i,0.030266+0.0055782i,-0.0063307-0.0047268i,-0.007827-0.020651i,0.015106-0.024506i,0.036466-0.023062i,0.04292-0.018623i,0.038015-0.0087048i,0.026912+0.0054593i,0.019279+0.016394i,0.018912+0.012517i,0.0081077-0.0073249i,-0.014877-0.018966i,-0.020451-0.010469i,-0.0020084-0.0081755i,0.008064-0.016409i
0.01011+0.045701i,-0.048781+0.13944i,-0.10688+0.26802i,-0.077289+0.31553i,-0.031379+0.2136i,-0.053687+0.08608i,-0.066231+0.03482i,-0.027153+0.006593i,0.010209-0.0037175i,0.026082+0.018441i,0.018947+0.035044i,-0.0086505+0.041002i,-0.027815+0.051776i,-0.019876+0.063119i,0.0034973+0.05291i,0.021004+0.015053i,0.022988-0.022105i,0.013605-0.031018i,0.0068048-0.017255i,0.0098544-0.0086861i,0.0062087-0.014759i,-0.010915-0.015884i,-0.019602-0.0051292i
-0.014574-0.028799i,0.0059487-0.15173i,0.0091118-0.32687i,-0.035847-0.37271i,-0.039442-0.23941i,0.013707-0.11098i,0.015137-0.068386i,-0.026183-0.033266i,-0.03683-0.011117i,-0.030945-0.016385i,-0.023151-0.017494i,-0.0073485-0.02421i,-0.0032795-0.045257i,-0.017086-0.068221i,-0.037118-0.070653i,-0.051414-0.039352i,-0.05107-0.00092306i,-0.036127+0.01681i,-0.015008+0.017981i,-0.00069692+0.020409i,0.006737+0.028126i,0.014717+0.030855i,0.018868+0.024492i
0.0049638+0.017988i,0.020897+0.14958i,0.077137+0.32447i,0.13462+0.34108i,0.096496+0.19i,0.014627+0.092797i,0.011309+0.084807i,0.037355+0.058108i,0.023556+0.021739i,0.0066114+0.0054553i,0.011296-0.00021051i,0.023783+0.0059885i,0.035639+0.01903i,0.041644+0.036326i,0.0438+0.050569i,0.044327+0.047228i,0.04107+0.034769i,0.03156+0.020905i,0.010967-0.0010933i,-0.013174-0.021919i,-0.021793-0.028515i,-0.0142-0.028241i,-0.0091888-0.027865i
0.0070387-0.025639i,-0.047867-0.14279i,-0.16585-0.274i,-0.2394-0.25005i,-0.17828-0.11342i,-0.075888-0.059096i,-0.045957-0.06889i,-0.035627-0.044348i,-0.0034786-0.0070085i,0.01032+0.016902i,-0.0033694+0.026975i,-0.031444+0.022316i,-0.054096+0.018465i,-0.05047+0.015474i,-0.029893-0.0019232i,-0.012024-0.026533i,-0.0019088-0.042617i,0.0016911-0.036817i,0.0087131-0.0082923i,0.026656+0.017599i,0.034446+0.02157i,0.018933+0.01514i,0.0044418+0.015522i
-0.002393+0.04107i,0.094397+0.12503i,0.26042+0.1817i,0.3345+0.12133i,0.24497+0.030841i,0.12842+0.025617i,0.078628+0.041341i,0.04135+0.017721i,-0.0028305-0.0091675i,-0.019119-0.021163i,-0.0051434-0.024705i,0.022758-0.02184i,0.043603-0.028008i,0.03852-0.043596i,0.0099066-0.041787i,-0.020262-0.012782i,-0.032977+0.016595i,-0.025281+0.020439i,-0.016376+0.0011769i,-0.025052-0.01592i,-0.034134-0.013661i,-0.023517-0.0042688i,-0.0092868-0.0037851i
-0.023237-0.054522i,-0.1525-0.090685i,-0.33414-0.072695i,-0.38727-0.0049643i,-0.27728+0.011023i,-0.17083-0.025889i,-0.12048-0.023717i,-0.063814+0.0016998i,-0.013566+0.0079976i,0.0034589+0.012485i,0.0024417+0.020767i,-0.0058432+0.023282i,-0.016003+0.031219i,-0.012838+0.052148i,0.0091052+0.066073i,0.034748+0.053524i,0.043297+0.029965i,0.032455+0.016772i,0.019464+0.014625i,0.020522+0.012771i,0.028679+0.0041594i,0.026284-0.0050835i,0.017326-0.0071554i
0.062369+0.039746i,0.20676+0.023063i,0.35837-0.056781i,0.35552-0.10746i,0.22496-0.04636i,0.14248+0.024412i,0.11131+0.015957i,0.059215+0.0022775i,0.014507+0.015197i,-0.0051703+0.018654i,-0.01472+0.0085974i,-0.020959-0.0053585i,-0.025015-0.016364i,-0.020265-0.029573i,-0.014221-0.05181i,-0.015709-0.066384i,-0.014325-0.064648i,-0.0045481-0.054251i,0.0021791-0.034712i,-0.0018471-0.012051i,-0.011506+0.002897i,-0.017697+0.0083438i,-0.018086+0.0088992i
-0.094856-0.0051103i,-0.22972+0.070817i,-0.32489+0.19506i,-0.26159+0.21765i,-0.12822+0.095043i,-0.079323-0.00074159i,-0.067685-0.00070454i,-0.027614-0.0040336i,-0.0013217-0.029739i,0.0057477-0.03515i,0.017107-0.022353i,0.033768-0.005831i,0.047789+0.0009454i,0.041329-0.00034815i,0.015192+0.011461i,-0.010802+0.035333i,-0.026616+0.050677i,-0.02987+0.046793i,-0.021615+0.023794i,-0.012048-0.0037658i,-0.0057529-0.016726i,0.00083796-0.01285i,0.0069618-0.0069024i
0.096142-0.054203i,0.18638-0.18426i,0.20259-0.33101i,0.099777-0.32441i,-0.0028105-0.17306i,-0.010516-0.068467i,-0.0026115-0.046212i,-0.019447-0.018562i,-0.020446+0.014723i,-0.013073+0.028466i,-0.016185+0.027066i,-0.028831+0.015711i,-0.044439+0.011437i,-0.04311+0.02407i,-0.014148+0.030857i,0.023653+0.016517i,0.045718-0.0015711i,0.044069-0.0051525i,0.029326+0.0052012i,0.020868+0.020044i,0.020182+0.026324i,0.018696+0.018702i,0.013389+0.0084187i
-0.062331+0.1026i,-0.081545+0.26877i,-0.030918+0.41562i,0.058081+0.38698i,0.081192+0.23802i,0.042121+0.14271i,0.031044+0.10579i,0.034384+0.060788i,0.013351+0.020985i,-0.0043605+0.0032591i,0.00080151-0.0039507i,0.013119-0.0036087i,0.022798-0.0057619i,0.026415-0.025247i,0.01294-0.049918i,-0.012688-0.05652i,-0.027154-0.048395i,-0.022273-0.039702i,-0.013977-0.03503i,-0.018212-0.035069i,-0.027499-0.034628i,-0.030498-0.026904i,-0.025892-0.015536i
