-0.00036023+0.00099223i,0.00090388-0.00049874i,0.00017373-0.00040376i,-0.0011033+0.00039459i,-0.0022891+0.0015574i,-0.0017905+0.0015777i,-0.0013149+0.00051749i,-0.0006132+0.00043987i,0.00051591+0.00044586i,0.00069611+0.00029902i,0.00029443+7.0596e-05i,0.00031063-0.00043738i,1.7764e-05-0.00029159i,-0.0008513-0.00022681i,-0.0012007-0.0001962i,-0.00081872+0.00049505i,-0.00059628+0.00033236i,0.00055309-0.00012861i,0.00080636-0.00021817i,0.00043997-0.00048001i,0.00062676-0.00047408i,0.00047244-0.00042971i,0.00033021-0.0002484i
-0.0041361-0.0011544i,-0.0084062+0.00079469i,-0.012461+0.0035512i,-0.0096569+0.0059299i,-0.0024578+0.0076012i,0.0011846+0.0062641i,0.00052991+0.0023484i,0.0036231+0.0028174i,0.011855+0.0043928i,0.015049+0.0018853i,0.012219-0.0011395i,0.0086435-0.0037217i,0.0036099-0.0059996i,-0.00042601-0.0069257i,-0.00194-0.0074082i,-0.0029097-0.0072258i,-0.0037374-0.0050237i,-0.0049025-0.0013763i,-0.0048752+0.0020706i,-0.0029265+0.0052463i,-0.0010923+0.0051359i,-0.0001268+0.0010063i,-0.00055485-0.0035184i
-0.0028256+0.00044498i,-0.0071271-0.0078616i,-0.007516-0.020595i,-0.0021799-0.027638i,0.0032936-0.018284i,0.0030355-0.0066634i,0.00048292-0.0057563i,-0.00060505-0.0093865i,-0.0020602-0.011517i,-0.0034014-0.010024i,-0.0013999-0.0063198i,0.0009976-0.0053471i,-0.00067282-0.0043574i,-0.0013879-0.0023732i,-0.00039317-0.001833i,-0.0012331-0.0023394i,-0.0025697-0.0028281i,-0.002923-0.002542i,-0.0035156-0.00079484i,-0.0039418+0.00045696i,-0.0046867+0.00063868i,-0.0064082-0.00022975i,-0.0061402-0.0022079i
-0.00025192-0.0014507i,0.001361-0.0085589i,0.0046787-0.017807i,0.0041875-0.018643i,4.2934e-05-0.011649i,-0.0020376-0.0069495i,-0.0021663-0.0076403i,-0.0080721-0.0081363i,-0.01677-0.0044691i,-0.017781+0.00084109i,-0.011319+0.0042925i,-0.0051356+0.0051889i,-0.00053772+0.0045017i,0.0032339+0.0040564i,0.0037684+0.0020432i,0.0016286-0.0011138i,-0.00027513-0.0027131i,-0.0011529-0.0034282i,-0.0020304-0.0043316i,-0.0028317-0.004091i,-0.0036994-0.002344i,-0.0031881+0.00015431i,-0.00056209+0.0019533i
0.0010818-0.00015464i,0.0075134+0.0021135i,0.016312+0.0067218i,0.014684+0.0098486i,0.00085303+0.00679i,-0.0077003+0.00032019i,-0.0050556-0.0023156i,-0.0031959+0.00077172i,-0.0051607+0.0062931i,-0.0036439+0.0094862i,5.4301e-05+0.0091249i,0.0027514+0.008396i,0.0051616+0.0060745i,0.0061775+0.0029729i,0.0057991+0.00072073i,0.0046963-0.0018578i,0.0018285-0.0028726i,-0.00085369-0.0019512i,-0.0019209-0.0026961i,-0.002378-0.0043069i,-0.0016592-0.0033844i,0.0015633-0.0013968i,0.0046349+0.00066299i
-0.002553+0.00061438i,0.0048846+0.0062138i,0.01413+0.013471i,0.017078+0.016452i,0.0067394+0.01085i,-0.003964+0.0045477i,-0.0020807+0.0030917i,0.0058598+0.0022236i,0.011807-0.00034378i,0.011882-0.0031913i,0.0074749-0.0032141i,0.0035296-0.0016949i,0.0015524-0.0016189i,-0.00036671-0.0022959i,-0.0005439-0.0018903i,0.00044704-0.00088469i,0.00092228-6.3481e-05i,0.00188+5.2942e-05i,0.0032299-0.0010591i,0.0035725-0.002211i,0.0031456-0.0034428i,0.0031975-0.0031157i,0.0034252-0.0026387i
6.2082e-05+0.0021415i,-0.00044649+0.0079107i,-0.0029141+0.013701i,-0.0052168+0.012078i,-0.0035016+0.0054463i,0.0015013+0.0028477i,0.0055408+0.0033094i,0.0080775-0.0011005i,0.0085592-0.010019i,0.004417-0.014263i,-0.0022693-0.010381i,-0.0071123-0.0050368i,-0.0087538-0.0023393i,-0.00742-0.00065543i,-0.0039892+0.00083518i,-0.00078046+0.0014358i,0.0018272+0.00011241i,0.004301-0.001665i,0.0058634-0.0016694i,0.0051304-0.0015514i,0.002353-0.0024187i,-0.0012727-0.0016147i,-0.004526+0.00095462i
-0.00404+0.0041435i,-0.012371+0.0081921i,-0.025857+0.014913i,-0.030829+0.017904i,-0.016731+0.013767i,0.0017144+0.0067016i,0.0070232+0.0017911i,0.0023314-0.00018955i,-0.0025567-0.0025239i,-0.0058879-0.0034945i,-0.0068512-0.0014973i,-0.0065127+0.00050771i,-0.0057841+0.0017201i,-0.0052753+0.0020478i,-0.0040957+0.0024049i,-0.0013532+0.0012157i,0.00058909-0.0016591i,0.0012809-0.0020667i,0.0018387-0.000396i,0.0024315+0.0008341i,0.0019002+0.0027145i,-3.7118e-06+0.004376i,-0.0028252+0.0055778i
-0.0080959-0.0033191i,-0.015327-0.0027769i,-0.023618-0.00092538i,-0.020411+0.0026225i,-0.0063507+0.0054826i,0.0025921+0.0019102i,0.00039002-0.0028712i,-0.0039878+0.00034283i,-0.0037583+0.0064362i,-0.0019662+0.0081407i,-0.00019857+0.0032153i,0.001472-0.0033292i,0.0031279-0.0050176i,0.0031806-0.0036745i,0.0015527-0.001965i,0.00040386-0.00038812i,-0.0014647-0.00036519i,-0.0030938+0.00071298i,-0.0019474+0.0039663i,0.00048594+0.0045363i,0.0015751+0.0018872i,0.0010567-0.0011192i,0.001103-0.0020732i
-0.0019668-0.00061547i,-0.0030947-0.0079308i,-0.0019059-0.0239i,0.00080259-0.03346i,-0.001854-0.024251i,-0.011596-0.0090911i,-0.017101-0.0015431i,-0.011622+0.0016799i,-0.00051165+0.0048167i,0.0061332+0.0040454i,0.0049712-0.00018631i,0.0023922-0.0046156i,0.0023546-0.0065866i,0.0026425-0.0055088i,0.00044533-0.0032084i,-0.0029458-0.00063496i,-0.003767+0.0018923i,-0.0037557+0.0040787i,-0.0040308+0.0049659i,-0.0028048+0.0039083i,-0.0023775-4.703e-06i,-0.003167-0.0052978i,-0.0032233-0.0095171i
0.00049595-0.0026541i,0.0032165-0.011803i,0.0054618-0.023952i,-0.0045966-0.029408i,-0.021616-0.017809i,-0.026328-0.00075893i,-0.018641+0.0050417i,-0.0097933+0.0019217i,-0.0010103-0.0017742i,0.0059107-0.0044543i,0.0055476-0.002934i,0.0028541+0.0018963i,0.001653+0.0018886i,-0.00033447-0.0011935i,-0.0021466-0.0012686i,-0.0027011+0.00090128i,-0.0019428+0.0030944i,-0.0018759+0.0027631i,-0.0031552+0.0010681i,-0.0034343-0.00069239i,-0.0021594-0.0022408i,-0.00065544-0.0028344i,-0.00027565-0.0031368i
-0.0024369+7.7448e-05i,0.003705-0.0020665i,0.014352+0.0012887i,0.016099+0.010874i,0.0036269+0.017878i,-0.0051604+0.01443i,-0.003118+0.0037943i,-0.0012096-0.0041741i,-0.0021021-0.0057763i,-0.0011585-0.0046526i,0.0025281-0.0018324i,0.005917+0.0029211i,0.0058178+0.0048168i,0.0026942+0.0031227i,-3.4045e-05+0.00091119i,-0.00092168-0.0010798i,-0.00059994-0.0028442i,-0.00063317-0.0051391i,-0.00097844-0.0062351i,-0.0010679-0.0051676i,0.0015639-0.0029876i,0.0077442-3.0371e-05i,0.011277+0.0024513i
-0.0014353+0.0055306i,0.0059815+0.014534i,0.02288+0.027645i,0.040152+0.031045i,0.041523+0.015412i,0.028445-0.0051695i,0.016142-0.014525i,0.0081211-0.01344i,0.0013663-0.0066386i,-0.0021335-0.00079506i,-0.0015769-0.00042867i,-0.0016596-0.0016851i,-0.0020005-0.00021698i,-0.00024377+0.00092472i,0.00070944-0.00047722i,-0.00011843-0.0038951i,-0.00066646-0.0068852i,-0.00073856-0.0074994i,-0.0003387-0.0064186i,0.0010085-0.0038678i,0.0040784-0.0017304i,0.0089661+8.863e-05i,0.012474+0.001955i
0.00078815+0.0021415i,0.004374+0.01247i,0.0065559+0.019637i,0.0078945+0.0057573i,0.0073432-0.021942i,0.0051736-0.035314i,0.0045213-0.028243i,0.0050823-0.015134i,0.0041392-0.0033969i,0.0017491+0.0036622i,-0.0028972+0.0034509i,-0.0087631+0.0012063i,-0.0097967+0.00099069i,-0.0056725+0.00074998i,-0.0029634-0.0010584i,-0.0031857-0.0026381i,-0.0044493-0.0036043i,-0.0032378-0.0028969i,0.0017136-0.0016467i,0.0057226-0.00087185i,0.004353+0.0020274i,0.0021105+0.0052809i,0.0017602+0.0049748i
0.00046431-0.0016666i,-0.0092377-0.00050959i,-0.030278+0.0043366i,-0.052552+0.0095187i,-0.05438+0.0087247i,-0.035129+0.0051175i,-0.013469+0.0032305i,-0.0014573+0.002824i,0.0026453+0.001874i,0.0025995+0.00032724i,0.00092851+0.0016246i,-0.00082433+0.0031784i,-0.0010793+0.00087349i,-0.00063117-0.0022644i,0.00031244-0.0026973i,0.0013135-0.0010204i,0.0011657+0.0007554i,0.00052355+0.0031964i,0.0010816+0.0051825i,0.0019046+0.0044205i,-0.00026075+0.0055389i,-0.0039607+0.010101i,-0.0076308+0.011841i
-0.0080829+0.0019711i,-0.02579+0.0046486i,-0.046014+0.010885i,-0.048073+0.027737i,-0.027458+0.045112i,-0.0054427+0.045022i,0.0033565+0.031301i,0.0041556+0.017889i,0.0032636+0.0056447i,0.0014022-0.0030014i,0.0022602-0.0051389i,0.005198-0.005335i,0.005008-0.0054617i,0.002135-0.0050167i,0.00066195-0.0040779i,0.0020017-0.0026221i,0.0048501+0.00036065i,0.0059294+0.005181i,0.0040869+0.0085941i,0.00041927+0.0081824i,-0.0031731+0.0079857i,-0.0047141+0.010385i,-0.0053397+0.011414i
-0.0071589+0.0032477i,-0.0090578-0.0018429i,-0.0040524-0.016063i,0.013037-0.025484i,0.032251-0.01549i,0.035366+0.0029613i,0.023577+0.01272i,0.011439+0.0117i,0.0039259+0.0061294i,-1.8141e-05+0.00057129i,-0.0012828-0.0025413i,-0.00087174-0.003736i,-0.00029165-0.002513i,0.00055113-0.00064334i,0.0016567+0.00060746i,0.0034211+0.0015562i,0.0049771+0.0013003i,0.0047513+0.00011126i,0.0028706+0.00045643i,-0.00025142+0.0024659i,-0.0045394+0.0016034i,-0.0076377-0.0018372i,-0.0057159-0.0031335i
0.0089555-0.0097424i,0.019143-0.02499i,0.028117-0.054675i,0.021045-0.078704i,-0.00067454-0.070081i,-0.011182-0.038279i,-0.008405-0.013508i,-0.0050309-0.0032242i,-0.0017288+0.0014952i,0.0015702+0.0044476i,0.0011663+0.0052477i,0.00039409+0.0057152i,0.0029774+0.0056915i,0.0051932+0.0042422i,0.0053464+0.0022088i,0.0029518+0.00051133i,-0.0018486-0.0016932i,-0.0067384-0.0055667i,-0.0082976-0.0079193i,-0.0065304-0.00742i,-0.0071251-0.007486i,-0.010023-0.0095441i,-0.011-0.011462i
0.0020453-0.0098829i,0.010573-0.018836i,0.018422-0.020375i,0.0031387-0.0094131i,-0.029246+0.0029775i,-0.043896+0.0070993i,-0.034674+0.0043275i,-0.020208+0.0010898i,-0.0060388+0.0023955i,0.0042536+0.0030621i,0.0052389+0.00192i,0.0026752+0.0017108i,0.0028682+0.00040583i,0.0037813-0.00030029i,0.0020528+0.00044285i,-0.0035703+0.0013696i,-0.011093+0.0025934i,-0.015435+0.0020953i,-0.014158+2.7464e-05i,-0.0095598-0.0035531i,-0.0053663-0.0085406i,-0.0040154-0.010046i,-0.0053343-0.0081782i
-0.011577+0.010097i,-0.0055065+0.026717i,0.010579+0.055684i,0.028618+0.07544i,0.026988+0.068032i,0.0056361+0.041779i,-0.011136+0.015559i,-0.012851+0.0034936i,-0.0080082-2.4948e-05i,-0.005038-0.0018111i,-0.0050109-0.0033978i,-0.0065159-0.0044949i,-0.0078789-0.0037064i,-0.0088791-0.0011448i,-0.0093473+0.0012308i,-0.0094189+0.0025562i,-0.0077312+0.0053486i,-0.0025712+0.0083863i,0.0025223+0.0076369i,0.0040793+0.002146i,0.0058461-0.0043714i,0.0080169-0.0075273i,0.006708-0.006353i
0.0056626+0.017726i,0.0074344+0.041549i,0.01405+0.056102i,0.02758+0.042443i,0.036633+0.010282i,0.023583-0.010338i,0.0040814-0.011214i,-0.0032563-0.0076416i,-0.0078644-0.0040787i,-0.012772+0.0011428i,-0.012655+0.0045078i,-0.010946+0.0049502i,-0.009422+0.0051938i,-0.007804+0.0050215i,-0.0067392+0.0030875i,-0.0033062-0.00032804i,0.0030073-0.003942i,0.0097529-0.005009i,0.013709-0.0045389i,0.013976-0.0027231i,0.013297-0.001974i,0.012687-0.0042732i,0.012128-0.0051037i
0.00079631-0.0044882i,-0.01123-0.003659i,-0.037021-0.0010745i,-0.059423-0.0080373i,-0.059398-0.024044i,-0.035553-0.037039i,-0.013128-0.034309i,-0.0048775-0.018912i,-0.0027253-0.0052458i,-0.0016045+0.0020182i,0.00048961+0.0037777i,0.0030703+0.0018717i,0.0042411-0.00062338i,0.0024667-0.0023719i,0.0012883-0.0044821i,0.0019512-0.0090448i,0.002272-0.014635i,0.0015307-0.01652i,0.001967-0.013822i,0.0052704-0.0075736i,0.0099894-0.00025373i,0.012823+0.002699i,0.011852-0.0008461i
-0.015575-0.015847i,-0.036102-0.0316i,-0.062046-0.033257i,-0.075877-0.011031i,-0.062113+0.010416i,-0.036235+0.0094526i,-0.016067-0.00364i,-0.004759-0.010673i,0.0031309-0.011061i,0.0087639-0.013775i,0.0083968-0.016798i,0.0062619-0.01707i,0.0068114-0.014718i,0.0058397-0.012978i,0.0024052-0.011013i,-0.00019036-0.0097109i,-0.0049134-0.0093863i,-0.012883-0.0059088i,-0.016025+8.6758e-05i,-0.010093+0.0048449i,-0.0017078+0.0071035i,0.0042792+0.0079008i,0.0070813+0.0053873i
-0.016136+0.0093289i,-0.018258-0.0027847i,-0.0073572-0.024293i,0.014716-0.031088i,0.034449-0.013722i,0.040049+4.782e-05i,0.028652-0.0019284i,0.013181-0.0050835i,0.0058286-0.0089833i,0.0022362-0.015433i,-0.0024565-0.017371i,-0.0052451-0.013753i,-0.002652-0.0095027i,0.00082759-0.0065391i,0.0013874-0.0037793i,0.00020278-0.00025948i,-0.0015686+0.0051708i,-0.0026841+0.011267i,-0.0026362+0.014434i,-0.0039732+0.013682i,-0.0053579+0.012945i,-0.0028853+0.012685i,0.0012034+0.010749i
0.021454+0.012529i,0.03543+0.010699i,0.048951-0.019073i,0.044629-0.058097i,0.029559-0.064773i,0.023088-0.041283i,0.022299-0.01911i,0.017533-0.01086i,0.0093848-0.0047361i,0.003885+0.0022524i,0.0010398+0.0065578i,0.0012339+0.0095108i,0.0027531+0.010134i,0.0039047+0.0082684i,0.0042075+0.006069i,0.0052049+0.0062565i,0.0095822+0.0072771i,0.013867+0.0048218i,0.013451+0.0020335i,0.0055144+0.0026464i,-0.004312+0.0060026i,-0.0076842+0.0099431i,-0.0048362+0.011522i
0.016028-0.019864i,0.033632-0.017144i,0.040779+0.0029943i,0.020835+0.018728i,-0.014178+0.022517i,-0.02116+0.022853i,-0.0025393+0.013678i,0.0060429+0.0052676i,0.0076779+0.0071286i,0.013148+0.01324i,0.018047+0.01541i,0.017136+0.012901i,0.011112+0.010851i,0.0051755+0.0095829i,0.0031252+0.0067078i,0.0034474+0.0012614i,0.0054715-0.0054763i,0.0067577-0.011794i,0.0038237-0.014623i,-0.001655-0.012002i,-0.0067191-0.0045932i,-0.0081829+0.0042722i,-0.0065086+0.009225i
-0.018414-0.005528i,-0.020174-0.0018594i,-0.0026521+0.026032i,0.019357+0.061515i,0.027741+0.068053i,0.011688+0.05516i,-0.00013582+0.042058i,0.0056145+0.02575i,0.0081565+0.01131i,0.0085567+0.0046287i,0.0093729+0.00018111i,0.004544-0.00073596i,-0.00071906+0.0025737i,-0.002474+0.0051735i,-0.0014083+0.0052124i,-0.00032968+0.0014334i,-0.0030063-0.0038504i,-0.0067763-0.0047909i,-0.0064279-0.0035828i,-0.00407-0.005621i,-0.0036267-0.0080324i,-0.0052691-0.0060836i,-0.0056655-0.0027939i
-0.018937+0.032971i,-0.036095+0.049535i,-0.033815+0.041615i,-0.0061113+0.014027i,0.014941-0.0083976i,0.010936-0.010003i,0.0023017+0.0038953i,-9.8548e-05+0.011245i,-0.0027846+0.0049258i,-0.0093478-0.0022919i,-0.015264-0.002977i,-0.016981+5.9759e-05i,-0.013721+0.00096028i,-0.0080449-0.0020499i,-0.0037921-0.0034433i,-0.003757-0.0023568i,-0.0067021+0.0017499i,-0.0069788+0.0070042i,-0.0022109+0.0068497i,0.0014081+0.00090069i,0.0002984-0.0069128i,-0.0048156-0.011664i,-0.0087835-0.010786i
0.027464+0.0097646i,0.020859+0.024557i,-0.01931+0.020333i,-0.06215-0.0084081i,-0.075978-0.026453i,-0.061382-0.022423i,-0.039938-0.0064801i,-0.022667+0.0034845i,-0.014638+0.0019835i,-0.014817+0.0016469i,-0.016414+0.0050647i,-0.014+0.0051379i,-0.010105-0.00081808i,-0.0078424-0.007033i,-0.0064856-0.0086634i,-0.0062027-0.0036153i,-0.0049845+0.0043117i,-0.0021679+0.0080785i,0.0016148+0.0071761i,0.0045853+0.0039356i,0.0020458-0.0010661i,-0.0036515-0.0050334i,-0.0063214-0.0059477i
0.0055232-0.046803i,0.0094545-0.067045i,-0.0080656-0.049232i,-0.036786-0.002965i,-0.048405+0.028732i,-0.034106+0.029073i,-0.019591+0.013925i,-0.016983+0.0082919i,-0.0079492+0.0066134i,0.0012285+0.00084214i,0.0033988-0.0025684i,0.0029058-0.0051096i,0.00043525-0.0078128i,-0.0019217-0.0080661i,-0.0038199-0.004208i,-0.0030603+0.0021078i,-0.00024962+0.0045567i,0.00095322+0.0024133i,0.002103+0.00051275i,0.0031835+0.00035066i,0.0052784-9.5805e-05i,0.0066109-0.0023101i,0.0057524-0.0033716i
-0.048721-0.0089946i,-0.061484-0.032945i,-0.032637-0.049738i,0.017917-0.031578i,0.054653-0.0059987i,0.044113-0.0043984i,0.0084185-0.010957i,-0.0025894-0.0087994i,0.0031254-0.0055145i,0.0072793-0.0068151i,0.0076652-0.011063i,0.0062405-0.013335i,0.005882-0.010219i,0.00597-0.0033718i,0.0062522+0.001644i,0.0056094+0.0015523i,0.0026908-0.0019007i,-0.00061454-0.0040736i,-0.0014202-0.0022503i,0.0016853+0.00031551i,0.006498+0.000345i,0.010656-0.0031489i,0.011857-0.0055762i
0.0016887+0.057566i,-0.0035211+0.073848i,0.011061+0.030262i,0.029201-0.041174i,0.021759-0.068901i,0.010595-0.054088i,0.0050738-0.036057i,-0.0056424-0.023988i,-0.0060579-0.0093906i,0.0021962-0.0026265i,0.0029286-0.0035359i,-5.3425e-05-0.0011195i,0.0032802+0.0029445i,0.0096207+0.0022879i,0.010004-0.0034935i,0.0038011-0.010047i,-0.0023241-0.012375i,-0.0043527-0.0096242i,-0.0041516-0.005686i,-0.0025728-0.0016053i,0.0018661+0.00099287i,0.0059781-7.1039e-05i,0.0052008-0.0025127i
0.070502-0.0050184i,0.10827+0.0084389i,0.093408+0.029951i,0.027324+0.031385i,-0.03661+0.018601i,-0.052538+0.0088808i,-0.031927-0.0022008i,-0.01236-0.0085796i,-0.0049457-0.0051345i,-0.001095+0.00063709i,0.0021123+0.0048221i,0.0050461+0.0083032i,0.00742+0.0082527i,0.0060379+0.0038833i,0.0013902-0.0028942i,-0.0057137-0.007631i,-0.011102-0.0078549i,-0.0095596-0.0054526i,-0.0031724-0.0035356i,0.00306-0.0025894i,0.0056618-0.00077329i,0.0056402+0.002518i,0.0039739+0.0041947i
-0.010859-0.071542i,0.0012592-0.090492i,0.01592-0.043954i,0.014113+0.034538i,0.0031236+0.068295i,-0.0039202+0.060267i,0.0025204+0.035599i,0.0059077+0.010347i,-0.00062718-0.0011611i,-0.0049312-0.00055528i,-0.0032181+0.0023546i,6.6796e-05+0.0016763i,0.00047588+0.00071614i,-0.00046924+0.0022281i,-9.3896e-05+0.0029496i,0.0005768+0.0026429i,-0.0013704+0.0032351i,-0.0047748+0.0047295i,-0.0058834+0.0058717i,-0.0042933+0.0063951i,-0.0014521+0.0082889i,0.00036835+0.011402i,0.0028902+0.010509i
-0.086451+0.039689i,-0.13466+0.057125i,-0.1221+0.049302i,-0.056125+0.020735i,0.0063427-0.010913i,0.025977-0.029855i,0.0227-0.024391i,0.022548-0.010612i,0.013961-0.0039205i,0.0028707+0.0014697i,-0.0015062+0.0029006i,-0.0060538-0.00024419i,-0.011567-0.0013441i,-0.012467+0.0012156i,-0.0042079+0.0044049i,0.0066974+0.0043983i,0.01079+0.0024289i,0.0082716+0.0020513i,0.0039362+0.0030936i,-0.00063893+0.0031676i,-0.0054464+0.0035966i,-0.0057946+0.0050413i,-0.0025554+0.0023269i
0.027385+0.094425i,0.013283+0.14149i,-0.02505+0.11259i,-0.05692+0.021239i,-0.072268-0.042393i,-0.050102-0.055043i,-0.014828-0.043041i,-0.0025524-0.024832i,0.0037118-0.0086955i,0.0096411-0.0030619i,0.0053322-0.0043194i,-0.0039092-0.0030658i,-0.0092197+0.00071753i,-0.0076847+0.0048434i,-0.001492+0.0073261i,0.0052799+0.0039397i,0.0076883-0.002818i,0.00665-0.0078239i,0.0049268-0.0070515i,0.00077634+5.8058e-05i,-0.0040703+0.0049596i,-0.0063064+0.0031845i,-0.0053416-6.6211e-05i
0.07582-0.070232i,0.11186-0.11405i,0.079693-0.10581i,0.022032-0.047728i,0.0092897+0.004337i,0.013297+0.02265i,0.0017422+0.02113i,-0.0015576+0.020076i,0.0036021+0.011036i,0.001767-0.0029229i,-0.0017549-0.0072383i,4.3933e-05-0.0063714i,0.0032233-0.0059887i,0.0026306-0.0052104i,-0.00090698-0.0033313i,-0.0029756-0.0032309i,-0.0029884-0.0076555i,-0.004133-0.011346i,-0.0063408-0.009617i,-0.0058578-0.0065738i,-0.0038041-0.0035673i,-0.0031802+0.00023862i,-0.0017792+0.0034857i
-0.0784-0.10962i,-0.099905-0.18004i,-0.059747-0.18628i,0.018138-0.11819i,0.083363-0.048061i,0.095235-0.013819i,0.065111+0.0015753i,0.03137+0.006076i,0.0090749+0.0066683i,-0.00097611+0.0075138i,-0.0016382+0.0044079i,0.002312-0.0013796i,0.0039509-0.0077815i,-0.00032952-0.012943i,-0.0086934-0.01115i,-0.014398-0.0038785i,-0.013398+0.001865i,-0.0084398+0.0021212i,-0.0023836-0.0037628i,0.0023781-0.013741i,0.0044798-0.020861i,0.0046214-0.017908i,0.0056521-0.008854i
-0.076161+0.094956i,-0.093163+0.13813i,-0.038452+0.11393i,0.017217+0.038402i,0.0014165-0.0089982i,-0.026589-0.013513i,-0.024469-0.010941i,-0.017867-0.010216i,-0.015086-0.0022086i,-0.0036182+0.005267i,0.0079298+0.002629i,0.0085706-0.0027682i,0.003308-0.0043212i,-0.0029533-0.0047504i,-0.0072157-0.0031335i,-0.0073847+0.00217i,-0.0035541+0.0095586i,0.002357+0.014548i,0.0062787+0.012122i,0.0041685+0.0037391i,-0.0010572-0.0019787i,-0.0026479-0.0004657i,-0.001727+0.0011495i
0.13717+0.097154i,0.21818+0.16344i,0.2058+0.18632i,0.089578+0.16235i,-0.035405+0.14668i,-0.071615+0.13974i,-0.045891+0.09463i,-0.027765+0.039628i,-0.017526+0.014717i,-0.0037092+0.0033737i,0.0025242-0.0058632i,0.0021076-0.0063654i,0.0036753-0.0026859i,0.0068751-0.0011064i,0.0089016-0.0031137i,0.010906-0.0068228i,0.013516-0.0072182i,0.012989-0.0041597i,0.0080029-0.00042318i,0.0031261+0.0058224i,0.0015992+0.012004i,0.00090339+0.011265i,-0.0010132+0.0082614i
0.061506-0.10281i,0.075468-0.14354i,0.028103-0.089151i,-0.018932+0.017575i,0.0030148+0.061171i,0.023819+0.03978i,0.015764+0.020571i,0.016053+0.015233i,0.016373+0.0016629i,0.0029907-0.0078451i,-0.0064037-0.001534i,-0.0022822+0.0048456i,0.0045892+0.0029439i,0.0071963-0.0011423i,0.0076367-0.0049701i,0.0046997-0.0087835i,-0.0034567-0.011772i,-0.0088978-0.0099921i,-0.0036009-0.0017551i,0.0098948+0.0041875i,0.016662+0.0052752i,0.011542+0.0030473i,0.0048401+0.0016718i
-0.18439-0.048879i,-0.31489-0.056453i,-0.33166-0.05384i,-0.21997-0.078203i,-0.10684-0.12609i,-0.060089-0.13929i,-0.036102-0.091986i,-0.0088322-0.04942i,-0.00050839-0.0315i,-0.0033901-0.010468i,0.0020452+0.0066991i,0.0068708+0.010015i,0.0072408+0.0066177i,0.0056523+0.0039225i,0.0024894+0.0022787i,-0.00093704+0.0014582i,-0.0067387+0.0013988i,-0.014053+0.0051373i,-0.016896+0.011709i,-0.012892+0.011689i,-0.0068029+0.0052964i,-0.0033759+0.0016034i,-0.0031805+0.0003632i
-0.056965+0.1334i,-0.079346+0.18639i,-0.065637+0.12355i,-0.051941-0.016509i,-0.077259-0.099237i,-0.085224-0.083104i,-0.056109-0.044936i,-0.031029-0.022784i,-0.016372-0.0074745i,-0.0027085-1.2062e-05i,0.0060606+0.00059476i,0.0065123+0.00038489i,0.0040577+0.0028088i,0.0019852+0.0051696i,-0.00050378+0.0055288i,-0.00039058+0.0061228i,0.0035848+0.0055438i,0.0074627+0.00026612i,0.0056793-0.0078992i,-0.0046043-0.012683i,-0.012841-0.010734i,-0.010145-0.0073459i,-0.0051364-0.0066889i
0.18565-0.0068043i,0.31116-0.076534i,0.31714-0.1446i,0.20967-0.11467i,0.1235-0.0099266i,0.083654+0.04271i,0.036982+0.022721i,0.0026974+0.010409i,0.0035959+0.011252i,0.0075217+0.00041241i,-0.0032896-0.0065476i,-0.011223-0.0023981i,-0.0081911+0.0033188i,-0.0037577+0.0052637i,-0.0021126+0.0046926i,-0.00097755+0.0038936i,0.00090307-0.00020617i,0.0020957-0.0066253i,0.0007536-0.0082559i,-0.0017011-0.00047433i,-0.0019737+0.0084366i,5.1295e-05+0.0084619i,0.0017286+0.0044569i
0.029174-0.16425i,0.035501-0.24409i,0.04575-0.20903i,0.092695-0.073884i,0.15443+0.024776i,0.1466+0.03783i,0.079189+0.028962i,0.034472+0.021938i,0.020278+0.0075217i,0.0030914-0.001216i,-0.014445+0.0052347i,-0.015408+0.010881i,-0.0078479+0.0059238i,-0.0037199-0.0036191i,-0.0021644-0.0092469i,-0.001852-0.010235i,-0.0030601-0.0092416i,-0.0078064-0.0059167i,-0.013225-0.0015548i,-0.010592+0.00030637i,-0.0019202+0.00042187i,0.002942+0.0023575i,0.0028778+0.0036479i
-0.16173+0.050682i,-0.23612+0.17211i,-0.18682+0.27104i,-0.077961+0.23118i,-0.049454+0.11172i,-0.040077+0.034299i,0.0083129+0.0055182i,0.030406-0.013206i,0.015394-0.014532i,0.0025802-0.0032753i,-0.0010816+0.00044013i,-0.0031656+0.00079335i,-0.0050781-0.00071318i,-0.0057683-0.0024069i,-0.0062059-0.003132i,-0.0089173-0.00045192i,-0.010614+0.0079522i,-0.0020417+0.015089i,0.014739+0.011045i,0.021665-0.0048271i,0.013876-0.016841i,0.0063889-0.013295i,0.00542-0.0056522i
0.0018889+0.17057i,0.044904+0.26401i,0.047475+0.26751i,-0.039607+0.19464i,-0.14516+0.12347i,-0.1606+0.078089i,-0.096621+0.021421i,-0.04458-0.013145i,-0.019272-0.0070065i,-0.0021982-0.0062421i,0.0019011-0.01929i,-0.0026316-0.021967i,-0.0041449-0.010924i,-0.00041846-0.00081923i,0.0033169+0.00016542i,0.0037807-0.0023514i,0.0027834-0.00014544i,0.0043803+0.0054622i,0.0055943+0.0095767i,4.9949e-05+0.0090581i,-0.0083756+0.0078342i,-0.0077797+0.0080653i,-0.0034486+0.0044027i
