-0.00040081+0.00099509i,0.0014222-0.00063336i,0.00039007-0.00077571i,-0.0010725-0.00023971i,-0.0021919+0.00093139i,-0.0016695+0.00099338i,-0.00072783+0.00094735i,0.000105+0.0011265i,0.0011401+0.00051993i,0.0010212+0.00044635i,0.00024509-7.5689e-05i,0.00014599-0.00047947i,0.00075455+0.00021886i,0.00021717+0.0010643i,-0.00023442+0.0015046i,-0.00028845+0.00065126i,0.00075508-0.00065406i,0.0010681-0.0009367i,0.00015957-0.0011125i,0.00018509-0.00077593i,0.00061792-0.00021128i,0.0010093+0.00016159i,0.00047949+0.00021814i
-0.62153-0.61779i,-0.98435-0.84901i,-1.099-0.67252i,-0.7882-0.18863i,-0.23802+0.12832i,0.083079+0.10885i,0.054688+0.035264i,-0.0083407+0.068263i,0.031228+0.078433i,0.062745+0.042557i,0.070519+0.041126i,0.085821+0.058826i,0.083067+0.059678i,0.04628+0.065923i,0.007128+0.090824i,-0.016996+0.10472i,-0.039926+0.095349i,-0.042992+0.087107i,-0.0025841+0.080709i,0.048732+0.058873i,0.067017+0.030464i,0.054054+0.0067358i,0.035031-0.0091751i
0.53516-0.10783i,0.65977-0.044826i,0.56559+0.088497i,0.38608+0.04155i,0.1753-0.17161i,0.011621-0.25515i,-0.018059-0.16395i,0.020183-0.058412i,0.038329-0.0074102i,0.016152-0.0067191i,-0.013503-0.024213i,-0.025565-0.039934i,-0.026379-0.047741i,-0.0128-0.057416i,0.010857-0.07284i,0.033251-0.0717i,0.056854-0.054391i,0.072663-0.048216i,0.06082-0.05794i,0.025382-0.056489i,-0.00462-0.030976i,-0.01507+0.00048315i,-0.013374+0.01681i
0.050615+0.52229i,0.10368+0.51629i,0.054847+0.17602i,-0.089242-0.079298i,-0.15448-0.030024i,-0.11547+0.070548i,-0.054406+0.097053i,0.0093701+0.056437i,0.038493-0.013292i,0.036466-0.029184i,0.035317-0.010371i,0.034122-0.0036105i,0.032158+0.0034728i,0.037123+0.024456i,0.049214+0.033967i,0.045824+0.014059i,0.017897-0.00068724i,-0.01285+0.0053861i,-0.032164+0.013477i,-0.03623+0.0093642i,-0.024509-0.0054431i,-0.0080969-0.022336i,-0.00014534-0.031259i
-0.66934-0.2127i,-0.85747-0.18839i,-0.62936-0.049352i,-0.21819+0.085954i,0.030073+0.17852i,0.105+0.21469i,0.089016+0.13984i,0.0077824+0.054968i,-0.040258+0.048723i,-0.022772+0.044884i,-0.017282+0.003569i,-0.041251-0.029545i,-0.046247-0.047398i,-0.042533-0.077401i,-0.066188-0.097631i,-0.083224-0.087738i,-0.063146-0.074908i,-0.029337-0.065661i,0.00087697-0.047904i,0.023575-0.023464i,0.035931-0.004974i,0.039168-0.0029409i,0.03617-0.0087108i
0.69083-0.3255i,0.94471-0.37261i,0.77164-0.21991i,0.31774-0.10841i,-0.048637-0.1695i,-0.16814-0.24141i,-0.091871-0.21126i,0.0065588-0.1293i,0.026163-0.05495i,0.012608+0.0056148i,0.022046+0.053827i,0.040437+0.079969i,0.031724+0.081647i,-0.0010792+0.083808i,-0.029155+0.10016i,-0.047917+0.12179i,-0.055505+0.13268i,-0.043595+0.11212i,-0.026783+0.06545i,-0.027941+0.020763i,-0.048006-0.00070675i,-0.064057+0.0075369i,-0.056429+0.026633i
-0.09884+0.50097i,-0.23847+0.52427i,-0.29497+0.28609i,-0.14847+0.11004i,0.096646+0.11805i,0.22992+0.13355i,0.15323+0.090264i,0.029326+0.05121i,-0.00011824+0.035752i,0.021378+0.010911i,0.034384-0.018779i,0.039644-0.039005i,0.033813-0.051876i,0.031631-0.045194i,0.068775-0.020729i,0.12826-0.010356i,0.149-0.015037i,0.11279-0.012291i,0.059481-0.0010609i,0.034919+0.0054503i,0.040265-0.0026645i,0.042805-0.020138i,0.025525-0.031112i
-0.33789-0.18173i,-0.26157-0.24221i,-0.027293-0.25268i,0.070337-0.22895i,-0.027042-0.18057i,-0.14983-0.1403i,-0.16291-0.089095i,-0.10946-0.019321i,-0.061325+0.025674i,-0.028521+0.026456i,-0.03266+0.0016049i,-0.052527-0.0097231i,-0.04462+0.00044178i,-0.025301+0.0037355i,-0.021709-0.03363i,-0.039031-0.090676i,-0.053865-0.11058i,-0.042774-0.083232i,-0.018511-0.044564i,-0.0074054-0.023054i,-0.010178-0.011749i,-0.0052766-0.00025447i,0.010608+0.0043717i
0.052472-0.26922i,-0.15782-0.096713i,-0.36102+0.2823i,-0.34662+0.45348i,-0.23038+0.32036i,-0.13617+0.17102i,-0.049964+0.092725i,0.0095371+0.013677i,0.010528-0.048958i,-0.027448-0.063967i,-0.052226-0.038439i,-0.047701-4.9636e-06i,-0.024326+0.0232i,-0.0042117+0.01595i,-0.028993+0.003286i,-0.084015+0.026947i,-0.095823+0.068142i,-0.053799+0.07399i,-0.013235+0.045597i,-0.0032324+0.023264i,-0.0090478+0.013723i,-0.017568+0.0040357i,-0.02527+0.0034258i
0.49319+0.28116i,0.76648-0.0041106i,0.73466-0.51396i,0.43136-0.70642i,0.16791-0.46201i,0.088993-0.18735i,0.047387-0.094308i,-0.022878-0.046254i,-0.039763+0.031709i,-0.0025725+0.080107i,0.02786+0.087018i,0.039003+0.063498i,0.020154+0.021595i,-0.018626+0.014218i,-0.023446+0.051437i,0.014175+0.066454i,0.031583+0.0263i,0.0040443-0.011882i,-0.016286-0.0066845i,0.0059951+0.0070917i,0.040567+0.0041724i,0.051044-0.0010235i,0.039073-0.0026349i
-0.65824+0.25194i,-0.82432+0.63308i,-0.62132+0.95282i,-0.26466+0.88056i,-0.070097+0.47896i,-0.093019+0.14295i,-0.13318+0.068571i,-0.064461+0.09205i,0.017887+0.046989i,0.038902-0.0098217i,0.049465-0.031026i,0.065644-0.039371i,0.080817-0.039281i,0.096781-0.049565i,0.095136-0.063245i,0.074555-0.043194i,0.05181+0.0089934i,0.044751+0.044564i,0.045316+0.030826i,0.023226-0.0060472i,-0.013187-0.025113i,-0.029978-0.016276i,-0.016471-0.0037905i
0.31388-0.625i,0.44562-0.90913i,0.43259-0.96005i,0.2361-0.73572i,0.031476-0.32285i,0.0014356+0.0021639i,0.059336+0.06926i,0.051689+0.028514i,0.016492+0.032971i,0.01693+0.044647i,0.018568+0.030687i,-0.0013347+0.01543i,-0.032214+0.018261i,-0.053961+0.035393i,-0.040464+0.023968i,-0.0036029-0.036834i,0.018892-0.097974i,0.011352-0.10573i,-0.0089652-0.064425i,-0.013767-0.018475i,0.00020908+0.00070564i,0.01376-0.0077054i,0.0086094-0.018365i
0.27851+0.31576i,0.13773+0.33289i,-0.19275+0.35457i,-0.24886+0.4073i,0.021873+0.26244i,0.20955-0.010508i,0.1818-0.12217i,0.107-0.096736i,0.058528-0.076687i,0.017929-0.085528i,-0.030678-0.086634i,-0.053848-0.058398i,-0.024236-0.03517i,0.0099158-0.035483i,-0.0043519-0.04369i,-0.060741-0.035306i,-0.092726-0.0078702i,-0.066664+0.012679i,-0.025363+0.012421i,-0.0049571+0.0064171i,-0.0008112+0.0087952i,-0.00024543+0.011659i,-0.00083527+0.0067084i
-0.48107+0.39683i,-0.34519+0.59412i,0.10562+0.39575i,0.32507-0.079682i,0.13856-0.33851i,-0.078254-0.28593i,-0.13644-0.18102i,-0.10913-0.091676i,-0.063639-0.017742i,-0.041863+0.042315i,-0.01407+0.092538i,0.029018+0.098166i,0.04481+0.070113i,0.03374+0.049071i,0.016953+0.068042i,0.015756+0.11115i,0.021224+0.11501i,0.0076343+0.069322i,-0.013824+0.022379i,-0.020229+0.0046896i,-0.018131+0.005008i,-0.02438+0.01129i,-0.025144+0.021799i
0.021303-0.88616i,-0.19177-1.1758i,-0.42513-0.82263i,-0.43216-0.13737i,-0.29064+0.26053i,-0.194+0.30227i,-0.10962+0.20453i,-0.039223+0.077246i,-0.004479+0.02328i,0.045634+0.017575i,0.074769-0.017258i,0.044262-0.046819i,0.00020375-0.040824i,-0.004911-0.025235i,0.036744-0.038221i,0.071243-0.071406i,0.060063-0.070509i,0.033387-0.028531i,0.027321+0.0078361i,0.037195+0.0043728i,0.046617-0.021484i,0.050132-0.038022i,0.041553-0.039739i
0.6022+0.7695i,0.9012+1.0575i,0.8421+0.797i,0.49644+0.20841i,0.22957-0.1351i,0.16286-0.1427i,0.13043-0.025396i,0.068268+0.069779i,0.03067+0.075624i,0.00071258+0.024984i,-0.037339-0.0028965i,-0.04832+0.0038425i,-0.030441+0.0049314i,-0.037146-0.016125i,-0.077157-0.024615i,-0.089258-0.00055993i,-0.041716+0.01997i,0.015435+0.0085781i,0.023557-0.014474i,-0.0075733-0.014404i,-0.031615+0.002694i,-0.029837+0.0099836i,-0.013438+0.0021639i
-0.67114-0.072474i,-0.81517-0.21972i,-0.54202-0.31477i,-0.17714-0.20297i,-0.035172+0.0085889i,-0.020208+0.10331i,-0.03391+0.054063i,-0.048531+0.0099951i,-0.041745+0.013123i,-0.024174+0.022742i,0.00018544+0.024131i,0.019744+0.014085i,0.015278+0.016681i,0.01503+0.050245i,0.033073+0.070004i,0.03229+0.041249i,-0.0010888+0.0031963i,-0.025731-0.0031494i,-0.012799+0.012546i,0.016971+0.022451i,0.031345+0.017755i,0.017385+0.007446i,-0.0064909+0.0049651i
0.129-0.50984i,0.017895-0.47924i,-0.17985-0.037483i,-0.20066+0.33381i,-0.058691+0.25927i,0.017867+0.02651i,0.035086-0.074309i,0.038581-0.082953i,0.017665-0.062089i,-0.020157-0.031391i,-0.052932-0.0003324i,-0.051868+0.015892i,-0.025028-0.0029215i,-0.0087291-0.038414i,-0.010052-0.052555i,-0.011388-0.038729i,-0.0039669-0.022878i,0.00099085-0.017359i,-0.0017069-0.017275i,-0.0068731-0.023185i,-0.01033-0.027319i,-0.0063038-0.015496i,0.004086+0.00095378i
0.56003+0.40346i,0.83133+0.26647i,0.67889-0.27088i,0.19661-0.65491i,-0.13518-0.53412i,-0.17444-0.25888i,-0.11727-0.093259i,-0.045663-0.016804i,0.015629+0.0065893i,0.055623+0.014505i,0.08547+0.0063095i,0.081291-0.009177i,0.057864-0.001105i,0.051733+0.012105i,0.057516+0.012359i,0.052664+0.0088977i,0.025305+0.0099699i,-0.0043739+0.0090195i,-0.01651+0.0040795i,-0.020204+0.0060774i,-0.017336+0.015703i,-0.0040698+0.021114i,0.010439+0.017777i
-0.85166+0.15531i,-1.1497+0.4394i,-0.77712+0.77774i,-0.040571+0.8668i,0.33027+0.63526i,0.26215+0.36325i,0.10774+0.19633i,0.011961+0.09088i,-0.029681+0.030868i,-0.035911-0.0032986i,-0.045934-0.020529i,-0.05811-0.01268i,-0.058745-0.0035987i,-0.06617-0.011083i,-0.085033-0.02821i,-0.095209-0.034115i,-0.076079-0.011567i,-0.032569+0.024034i,0.0036217+0.039575i,0.019604+0.028445i,0.022586+0.0075571i,0.013887-0.014006i,-0.0040715-0.026683i
0.47235-0.57521i,0.6155-0.84845i,0.32356-0.86718i,-0.20719-0.67212i,-0.44145-0.41188i,-0.2943-0.24306i,-0.11006-0.1837i,-0.052383-0.10251i,-0.027171-0.0061182i,0.0035957+0.027597i,0.020281+0.024806i,0.038945+0.01254i,0.051104-0.0081259i,0.042704-0.0091454i,0.033856+0.017653i,0.035149+0.039442i,0.033764+0.02651i,0.015804-0.0075062i,-0.0061886-0.024282i,-0.012549-0.019541i,-0.0084299-0.015451i,-0.0012031-0.016765i,0.0041466-0.019995i
0.1596+0.50964i,0.2197+0.69411i,0.31156+0.60974i,0.46125+0.34i,0.46006+0.061045i,0.24716-0.039834i,0.075986+0.019148i,0.038907+0.032914i,0.016365+0.00031831i,-0.0091625-0.0010564i,-0.012792-0.0058751i,-0.015991-0.01511i,-0.014882-0.0012644i,0.0046093+0.012273i,0.026292+0.008795i,0.03591+0.0033415i,0.042765+0.007115i,0.049975+0.0092587i,0.045236-0.0015194i,0.030558-0.010887i,0.018085-0.0045514i,0.0057922+0.014884i,-0.0023566+0.035629i
-0.4493+0.015321i,-0.56613+0.018157i,-0.49092-0.0059702i,-0.38527+0.0273i,-0.26136+0.14989i,-0.084898+0.18357i,0.022997+0.093396i,0.042902+0.041146i,0.057588+0.029613i,0.053664+0.013438i,0.033317+0.020414i,0.020493+0.025884i,0.0030363+0.008867i,-0.013683-0.0028735i,-0.013979-0.0082089i,-0.0085306-0.027249i,-0.020743-0.052525i,-0.035796-0.050467i,-0.032783-0.022118i,-0.027713-0.0033817i,-0.027758-0.0012893i,-0.016767-0.0040876i,0.0022705-0.010311i
0.24653-0.51536i,0.30316-0.70034i,0.22483-0.57937i,0.068454-0.33656i,-0.089133-0.19881i,-0.15331-0.13095i,-0.113-0.087166i,-0.074051-0.072066i,-0.059773-0.054429i,-0.032719-0.038427i,-0.016057-0.032581i,-0.0059369-0.014602i,0.017515-0.0016393i,0.027768-0.017533i,0.0093921-0.041287i,-0.017107-0.038897i,-0.026016-0.012914i,-0.023758+0.0041462i,-0.018812+0.0070237i,-0.0050189+0.010981i,0.0083847+0.010517i,0.0056286-0.0034484i,-0.0054602-0.017203i
0.19238+0.51489i,0.23635+0.69348i,0.20991+0.54534i,0.22584+0.22646i,0.26773+0.0069608i,0.20943-0.033357i,0.089689+0.046871i,0.040499+0.10561i,0.03099+0.078355i,0.00744+0.050633i,0.00094305+0.052301i,0.0053922+0.046746i,0.00014578+0.042886i,-0.0038966+0.056773i,-0.0011657+0.077462i,0.0060981+0.085082i,0.016235+0.071556i,0.029227+0.049279i,0.041748+0.025347i,0.046917+0.0012014i,0.041817-0.012883i,0.026799-0.0077361i,0.010159+0.0051157i
-0.40338-0.14207i,-0.50336-0.23113i,-0.44826-0.18263i,-0.38401+0.048435i,-0.30909+0.26612i,-0.16355+0.25806i,-0.041999+0.0671i,-0.021144-0.057255i,-0.022759-0.038156i,0.0054216-0.012464i,0.024018-0.035092i,0.017494-0.056964i,0.0015783-0.05955i,-0.011388-0.056522i,-0.016029-0.057925i,-0.020361-0.058576i,-0.029399-0.043249i,-0.032873-0.016634i,-0.030039-0.0025912i,-0.031793-0.0052953i,-0.033519-0.011471i,-0.022782-0.017702i,-0.011106-0.019504i
0.18944-0.21047i,0.25908-0.16687i,0.30167-0.054837i,0.33122-0.12425i,0.26074-0.31694i,0.12107-0.34357i,0.040067-0.19892i,-0.0035219-0.090505i,-0.038551-0.040536i,-0.047019-0.0053822i,-0.045661+0.015091i,-0.035291+0.029325i,-0.0071476+0.030165i,0.012941+0.020815i,0.018949+0.021951i,0.029592+0.025659i,0.044721+0.010654i,0.044345-0.014356i,0.022993-0.022351i,0.0075012-0.0051653i,0.010828+0.016139i,0.019195+0.027212i,0.026219+0.027812i
0.17075+0.24147i,0.13783+0.22955i,-0.072348+0.10596i,-0.23576+0.09925i,-0.15816+0.19056i,-0.0346+0.15794i,-0.016988+0.080874i,0.032559+0.07582i,0.097316+0.051206i,0.082815+0.0098299i,0.042695+9.4902e-05i,0.014547-0.0020644i,-0.0040106-0.0029748i,0.0041635-0.0045088i,0.02175-0.018696i,0.017022-0.030158i,-0.0064974-0.019763i,-0.017972+0.0024379i,-0.0065047+0.01607i,0.0028647+0.012326i,-0.001851+0.0042498i,-0.0083066-8.5737e-05i,-0.0099414-0.0079089i
-0.33509+0.02612i,-0.30646+0.067556i,0.022366+0.081253i,0.2506+0.015089i,0.094306-0.021394i,-0.10692+0.045864i,-0.13311+0.065275i,-0.12706+0.030781i,-0.10642+0.038453i,-0.048289+0.046089i,-0.012143+0.035771i,0.006865+0.028351i,0.0087001+0.015161i,-0.024245+0.0095131i,-0.061626+0.016611i,-0.067548+0.025811i,-0.040834+0.025447i,-0.011024+0.014739i,0.0021299+0.0052091i,0.0047633+0.0035244i,0.00222+0.0040835i,-0.0064692+0.0032475i,-0.012148+0.0082209i
0.17405-0.27842i,0.11292-0.34949i,-0.15771-0.2398i,-0.31431-0.10146i,-0.16284-0.11406i,0.0075647-0.14216i,0.053229-0.041487i,0.069073+0.032949i,0.05461-0.0054183i,0.013218-0.040135i,-0.0026281-0.03982i,-0.0071337-0.032596i,-0.0030604-0.015554i,0.025294-0.0046538i,0.059724-0.0081233i,0.071342-0.019717i,0.050139-0.024946i,0.015337-0.016621i,-0.0047972-0.0092754i,-0.0070249-0.013532i,0.00010762-0.017393i,0.012699-0.010638i,0.01667-0.0044683i
0.15442+0.24478i,0.30451+0.26866i,0.43499+0.10433i,0.39956-0.0094158i,0.21813+0.092953i,0.1092+0.15777i,0.096042+0.026902i,0.05689-0.088127i,0.0086444-0.05869i,0.00437+0.00066299i,0.012893+0.011577i,0.011936+0.0042146i,0.0062506+0.00085167i,-0.012559+0.001497i,-0.045483+0.0088261i,-0.069721+0.021939i,-0.062881+0.029128i,-0.030104+0.023222i,-0.0021077+0.013515i,0.0052515+0.009275i,-0.00036119+0.00037328i,-0.011872-0.017319i,-0.016373-0.023462i
-0.30148+0.041165i,-0.45787+0.13218i,-0.46095+0.22916i,-0.33639+0.1934i,-0.17718+0.025572i,-0.05789-0.099202i,-0.028841-0.088017i,-0.049171-0.012174i,-0.048632+0.034541i,-0.025742+0.036046i,-0.0048148+0.028393i,0.012383+0.01791i,0.022387+0.00029907i,0.028138-0.0071343i,0.043073-0.0058356i,0.053884-0.010713i,0.038158-0.016962i,0.0073408-0.014368i,-0.013565-0.0056545i,-0.010668-0.00062963i,0.0045855+0.00074332i,0.012134+0.0014351i,0.012191-0.00196i
0.1343-0.32133i,0.14987-0.49764i,0.084486-0.46792i,0.052445-0.26878i,0.06583-0.12059i,0.027815-0.054004i,-0.0064512+0.0040296i,0.034399+0.021841i,0.068235-0.011719i,0.042938-0.031055i,0.0066951-0.019284i,-0.0090111-0.0045377i,-0.010114-0.0015011i,-0.0076322-0.016032i,-0.011375-0.034661i,-0.015488-0.03409i,-0.0051194-0.014957i,0.012959+0.0039165i,0.023401+0.0069546i,0.016092-0.0026058i,-0.0010907-0.0091963i,-0.010403-0.0030704i,-0.014416+0.0083168i
0.1727+0.30505i,0.29909+0.41526i,0.32705+0.30236i,0.19631+0.11883i,0.022317+0.097389i,-0.037917+0.1354i,-0.030443+0.083313i,-0.048723+0.035749i,-0.035562+0.044775i,0.011296+0.034205i,0.029149+0.0008302i,0.024894-0.01161i,0.017213-0.0012382i,0.0052402+0.026263i,0.00063381+0.056093i,0.0072001+0.060731i,0.012233+0.035975i,0.0092007+5.5143e-05i,0.0014261-0.021308i,-0.0051133-0.01462i,-0.0052067+0.0053851i,-5.8718e-05+0.013249i,0.0093555+0.0054457i
-0.33018-0.016161i,-0.51017+0.043648i,-0.49018+0.17416i,-0.26556+0.21251i,-0.032927+0.050082i,0.03267-0.11962i,-0.0033622-0.10715i,-0.015022-0.037356i,-0.029055-0.024516i,-0.062431-0.017411i,-0.0758+0.005263i,-0.068605+0.020944i,-0.048998+0.020293i,-0.024437-0.0025413i,-0.0085755-0.036167i,-0.00729-0.055016i,-0.013524-0.043283i,-0.013759-0.0091642i,-0.0054463+0.020343i,0.008309+0.025733i,0.023299+0.013284i,0.03294+0.0007027i,0.030967-0.0016173i
0.20502-0.24813i,0.33361-0.42946i,0.34261-0.54477i,0.17569-0.48108i,-0.036129-0.21195i,-0.10714+0.039808i,-0.04919+0.066482i,-9.68e-05-0.0098693i,0.015251-0.017609i,0.039943+0.013985i,0.060602+0.024176i,0.05864+0.015027i,0.039908+0.0051416i,0.017622+0.0093807i,6.8645e-05+0.028155i,-0.0053214+0.043949i,-0.0014856+0.034661i,-0.0012093+0.0035525i,-0.00513-0.022097i,-0.010452-0.029003i,-0.020425-0.023572i,-0.029758-0.016637i,-0.032143-0.013559i
0.09165+0.29989i,0.093926+0.52256i,0.04673+0.65612i,0.048275+0.5831i,0.11031+0.31845i,0.12729+0.082368i,0.07097+0.021816i,0.012729+0.04987i,-0.0036315+0.054562i,-0.0003828+0.025251i,-0.0022976-0.0042405i,-0.0090352-0.014918i,-0.0097783-0.014759i,-0.0014206-0.020816i,0.0068975-0.034493i,0.0030761-0.040766i,-0.0077151-0.024605i,-0.013842+0.0059602i,-0.010843+0.028928i,0.00088822+0.030018i,0.011315+0.015734i,0.01169+0.007007i,0.01062+0.0052725i
-0.2735-0.10574i,-0.37336-0.26993i,-0.31297-0.45274i,-0.1988-0.49078i,-0.14318-0.33454i,-0.10036-0.15172i,-0.047862-0.053203i,-0.010488-0.017383i,-0.00042009-0.021305i,-0.014223-0.021481i,-0.019805-0.0014046i,-0.0060367+0.0098777i,0.0036507+0.0076634i,-0.0018826+0.0060111i,-0.015625+0.01084i,-0.022072+0.017815i,-0.012925+0.016522i,0.0069481+0.0085754i,0.018596-0.0034512i,0.0089437-0.01211i,-0.0051333-0.010918i,-0.0056705-0.0062634i,-0.00084249+0.0020211i
0.21002-0.15012i,0.31285-0.12816i,0.27673+0.046453i,0.14411+0.21315i,0.047919+0.22827i,0.021913+0.13929i,0.036031+0.03518i,0.044207-0.025799i,0.034537-0.02546i,0.029765-0.022998i,0.017066-0.043037i,0.00018738-0.045207i,0.00063464-0.026049i,0.012741-0.005417i,0.028479+0.0083986i,0.036448+0.0085095i,0.026194+0.0012212i,0.0042951-0.0032883i,-0.011042-7.8143e-05i,-0.0094046+0.0076502i,-0.0024368+0.014116i,-0.0054755+0.014491i,-0.010117+0.0059692i
0.014964+0.23621i,-0.0069372+0.30658i,-0.015145+0.20107i,0.045239+0.0059144i,0.10909-0.13744i,0.085331-0.18044i,0.0022113-0.13055i,-0.047475-0.048266i,-0.044272+0.0040088i,-0.031303+0.031818i,-0.017633+0.050469i,-0.0056602+0.046355i,-0.0059598+0.025217i,-0.011503+0.003551i,-0.01671-0.013418i,-0.020978-0.018664i,-0.012802-0.012994i,0.0094833-0.0074762i,0.030342-0.009688i,0.036131-0.020824i,0.030447-0.032777i,0.024925-0.035311i,0.020477-0.028242i
-0.21199-0.1029i,-0.28622-0.16668i,-0.27663-0.15721i,-0.25467-0.047388i,-0.23212+0.088941i,-0.15101+0.15674i,-0.040412+0.12141i,0.021607+0.047533i,0.032592+0.0033644i,0.036961-0.0076309i,0.044983-0.012208i,0.042452-0.016319i,0.031481-0.011876i,0.02599-0.0014512i,0.02665+0.0069943i,0.023125+0.0052423i,0.0088168-0.0032741i,-0.01212-0.010263i,-0.032192-0.0080497i,-0.043383+0.011685i,-0.039137+0.034465i,-0.027375+0.037269i,-0.021125+0.026149i
0.19784-0.097085i,0.31742-0.063423i,0.37211+0.04028i,0.35838+0.06312i,0.27673-0.018741i,0.14634-0.063296i,0.040606-0.033506i,-0.0093511+0.008611i,-0.016676+0.038955i,-0.010055+0.039429i,-0.018674+0.024741i,-0.029402+0.02189i,-0.028668+0.017638i,-0.029022+0.0070501i,-0.031369-0.0030437i,-0.02716-0.0080781i,-0.016634-0.0042541i,-0.0076756+0.005768i,0.0041542+0.012058i,0.021209+0.0021189i,0.028046-0.013963i,0.023296-0.01657i,0.019211-0.010941i
-0.021367+0.19419i,-0.1063+0.20105i,-0.22921+0.045771i,-0.2901-0.074049i,-0.21936-0.038396i,-0.10361+0.0065268i,-0.065767+0.022878i,-0.058539+0.042557i,-0.035568+0.024794i,-0.025588+0.001978i,-0.012941+0.0052564i,0.0073617+0.0033063i,0.014039-0.0045618i,0.011135-0.0049499i,0.0065483+0.0027597i,0.0035105+0.011374i,0.0021611+0.011604i,0.0014796+0.005092i,-0.004033+0.00067191i,-0.013197+0.0011258i,-0.014158+0.00075712i,-0.0091317-0.0049365i,-0.0043113-0.008002i
-0.13927-0.10573i,-0.1135-0.10864i,0.056423+0.0015355i,0.17492+0.093352i,0.10006+0.079139i,0.0042708+0.048651i,0.02831+0.0041108i,0.058356-0.055959i,0.034269-0.061273i,0.011715-0.038749i,-0.0051279-0.030856i,-0.011634-0.016923i,0.0019986-0.0025033i,0.01354+0.00071205i,0.017081+0.00024452i,0.014379-0.0023705i,0.0067102+0.0016223i,0.0053501+0.016709i,0.016267+0.024734i,0.028955+0.017107i,0.027242+0.006163i,0.01482+0.0054024i,0.0060819+0.0098986i
0.16566-0.091168i,0.171-0.15862i,0.012225-0.21027i,-0.11706-0.2017i,-0.05273-0.14752i,0.030479-0.1088i,0.0020111-0.066149i,-0.030912-0.0032912i,-0.0089763+0.025844i,0.014897+0.020047i,0.022185+0.012747i,0.01316+0.0045641i,-0.0093995+0.00088096i,-0.026019+0.0039903i,-0.029874+0.0036082i,-0.023224+0.0011447i,-0.0090161-0.0053233i,0.00026637-0.018618i,-0.0041905-0.030711i,-0.022536-0.033044i,-0.036998-0.026657i,-0.031314-0.020992i,-0.019874-0.016901i
-0.028753+0.20094i,-0.020007+0.31421i,0.054995+0.3405i,0.11323+0.27731i,0.063645+0.16758i,0.0070689+0.081323i,0.031498+0.041773i,0.054718+0.0089683i,0.020121-0.015924i,-0.013247-0.01387i,-0.013451-0.0085351i,-0.002373-0.012496i,0.01394-0.018351i,0.027368-0.024174i,0.027716-0.023061i,0.018283-0.012893i,0.0074663-0.0013269i,0.0024249+0.0040931i,0.0052535+0.0097659i,0.018189+0.024796i,0.031426+0.036153i,0.030371+0.032211i,0.022759+0.021201i
-0.13257-0.13472i,-0.18915-0.22343i,-0.17986-0.25771i,-0.14668-0.2303i,-0.11598-0.14046i,-0.0718-0.045117i,-0.047483-0.026239i,-0.048517-0.024752i,-0.024533+0.014522i,0.012168+0.034416i,0.016996+0.028846i,0.00723+0.031246i,0.0024678+0.034624i,-0.0025206+0.034127i,-0.0073929+0.026908i,-0.0085892+0.01161i,-0.0060389-0.00072755i,-0.0060509-0.0049765i,-0.01105-0.010538i,-0.017821-0.022025i,-0.018376-0.027764i,-0.011585-0.023914i,-0.0078426-0.01949i
0.16913-0.011468i,0.23517+0.023128i,0.19481+0.093965i,0.14579+0.14629i,0.16205+0.10337i,0.12387+0.0060136i,0.020766-0.0042263i,-0.023699+0.036172i,-0.019642+0.02557i,-0.01934+0.0022332i,-0.013168-0.0030009i,-0.007032-0.0074149i,-0.012088-0.0093906i,-0.017487-0.0099158i,-0.015855-0.0082185i,-0.010757-0.0028622i,-0.008548-0.00013821i,-0.012254+0.0016205i,-0.012289+0.012587i,-0.0013535+0.02617i,0.0081709+0.02481i,0.0075978+0.014146i,0.004736+0.010221i
-0.060558+0.1288i,-0.060194+0.15691i,-0.0018273+0.053638i,-0.0080912-0.081983i,-0.11878-0.085293i,-0.1439-0.0047734i,-0.040768+0.0014322i,0.02074-0.040399i,0.014715-0.03389i,0.009839-0.0082349i,0.0083178-0.0016915i,0.010967-0.0042678i,0.019253-0.01408i,0.022779-0.020682i,0.021883-0.016168i,0.017967-0.007756i,0.015887+0.0034205i,0.022704+0.010851i,0.030424-0.00019856i,0.024629-0.024207i,0.0092746-0.034895i,-0.0007784-0.024508i,-0.0033485-0.012532i
-0.080366-0.13352i,-0.15798-0.18775i,-0.22538-0.10077i,-0.17944+0.059213i,-0.013035+0.11494i,0.088365+0.065213i,0.04508+0.029624i,0.0039223+0.033864i,0.023172+0.017154i,0.030006-0.015229i,0.016213-0.022045i,0.0029045-0.0072931i,-0.0069433+0.01597i,-0.0090306+0.031825i,-0.0088814+0.027514i,-0.011091+0.010671i,-0.014273-0.0039992i,-0.017747-0.0068708i,-0.020615+0.0050402i,-0.020988+0.024751i,-0.016171+0.033919i,-0.010905+0.02676i,-0.0067343+0.019091i
0.15156+0.03083i,0.27794+0.045058i,0.36203-0.00010609i,0.32343-0.10582i,0.14787-0.17423i,-0.003103-0.12907i,-0.007975-0.03448i,0.019678+0.0082215i,-0.0085803+0.012763i,-0.033918+0.025688i,-0.027047+0.031512i,-0.013046+0.016288i,-0.0055723-0.008273i,-0.0049229-0.025639i,-0.0012617-0.027223i,0.0077962-0.017585i,0.012705-0.006863i,0.013572-0.0015587i,0.017738-0.0085266i,0.024743-0.024217i,0.027804-0.030137i,0.028589-0.022651i,0.027358-0.019067i
