0.010413+0.011754i,0.0062999+0.01647i,0.0021058+0.013908i,0.0013699+0.0094631i,0.0010757+0.0063713i,0.00044871+0.0043678i,-0.0006202+0.0018455i,-0.00094235-0.0008545i,-0.00029655-0.0011935i,-0.00043735-0.00022163i,-0.00058495+0.00018503i,-0.00064235+3.0641e-05i,-0.0014869-0.00068982i,-0.0024937-0.0013843i,-0.0021282-0.0011374i,-0.0008454-0.00025094i,-0.00019774+0.00033714i,0.00010424+0.0006241i,-0.00019423+0.00036461i,-0.00035328-0.00060702i,0.00012111-0.00075322i,0.00050446+0.00010388i,0.00015019+0.001074i
0.015307-0.0027402i,0.014813+0.0039531i,0.010307+0.0069641i,0.0062633+0.0068067i,0.0038214+0.0044065i,0.0017136+0.0012557i,-9.4273e-05-0.00011882i,0.0001651-0.00024541i,0.00018154+3.2629e-05i,-0.00094128+0.00094169i,-0.0007728+0.0017328i,-0.00091708+0.0014484i,-0.0015198+0.001146i,-0.0023619+0.0012835i,-0.0018124+0.00058508i,0.00016671-4.3194e-06i,0.00046099+0.00028943i,0.00012753-0.00026555i,0.00042401-0.0010886i,0.00040318-0.00072651i,0.00013804-0.00033137i,-4.9374e-05-9.8042e-05i,-0.00046913+3.5508e-05i
0.0071082-0.014495i,0.010931-0.01171i,0.010279-0.0068586i,0.0069984-0.0042473i,0.0043156-0.0028815i,0.0028691-0.0016549i,0.0010598-0.0010956i,-0.00028728-0.00031936i,-0.00085071+0.0011624i,-0.00034659+0.0022384i,0.00065121+0.0021754i,0.001625+0.0021314i,0.0018194+0.002987i,0.00097839+0.0033133i,0.00045088+0.0028587i,0.00038149+0.0013288i,-7.7475e-05-0.00029988i,-0.00031065-0.00052172i,-0.0007751+0.00058798i,-0.0015515+0.00092601i,-0.0012355+0.0004565i,-0.0015757+6.3611e-05i,-0.0016782+0.00030645i
-0.011299-0.013066i,-0.0059124-0.015482i,-0.0012549-0.010511i,0.0012738-0.0057788i,0.0011163-0.0036066i,-4.3079e-05-0.0018253i,-9.2472e-05+3.0754e-05i,-3.0197e-05+0.00051893i,-0.00051151+0.0005507i,0.00041678+0.0012525i,0.0015582+0.00078804i,0.0014848-4.4808e-06i,0.0024327+0.00043068i,0.0030917+0.00097551i,0.0017908+9.548e-05i,0.00036605-0.0012297i,8.4483e-05-0.0011905i,8.2897e-05-6.1848e-06i,0.00016511+0.00070985i,0.00048282+0.0013891i,0.00041977+0.0015756i,0.00070431+0.001378i,0.00093012+0.0010403i
-0.019045+0.0015968i,-0.019806-0.0040435i,-0.01459-0.0050538i,-0.0087598-0.0043077i,-0.0051584-0.003692i,-0.0025486-0.001784i,-0.0013257-0.00039267i,-0.0011636+5.1575e-05i,4.5763e-05+8.0235e-05i,0.0017137-0.00047158i,0.0013501-0.00080608i,0.00084247-0.00097319i,0.0014326-0.0018357i,0.0018243-0.0024751i,0.0018607-0.0022384i,0.00078076-0.00070131i,1.0395e-05+0.00033576i,0.00016931+0.00036381i,0.0011619+0.00061727i,0.0014383+0.00066454i,0.0012188+0.00012874i,0.0014228+0.00039098i,0.001476+0.00057376i
-0.010161+0.019895i,-0.015393+0.016045i,-0.013594+0.0097878i,-0.0090506+0.005219i,-0.0052401+0.0035294i,-0.0027969+0.0016396i,-0.00097376-0.00015151i,-0.00040177-0.0004115i,-9.2479e-05-0.00056591i,0.00037051-0.001184i,0.00057572-0.0014227i,-0.00053603-0.0018474i,-0.0022956-0.0027564i,-0.0029424-0.0030071i,-0.0015973-0.0021977i,-0.00053085-0.00057847i,-0.00039846+0.00027759i,-1.5491e-06+0.00033866i,0.00030599+0.00025148i,0.00020767+0.00012262i,0.00024316-4.0785e-06i,0.00025482-9.6413e-05i,0.00078874-0.00061977i
0.008243+0.022384i,0.0045338+0.024059i,0.0019404+0.018443i,0.00055085+0.010873i,-0.00045721+0.0058412i,-0.00050456+0.0033455i,-0.00082512+0.0013535i,-0.0011799+0.00045153i,-0.00089942-0.00037769i,-0.00085719-0.00088543i,-0.0017613-0.000498i,-0.0023426-7.6476e-05i,-0.0035703-0.00074416i,-0.0043488-0.00074821i,-0.0028152-0.00010346i,-0.0010946+0.00031579i,-0.00066507+0.00049458i,-4.0451e-05-0.00027777i,0.00044352-0.00095397i,-0.00011916-0.00098574i,-0.00062207-0.00093777i,0.00033512-0.00072959i,0.00044711-0.0010641i
0.024023+0.001233i,0.021478+0.0066141i,0.013579+0.0076576i,0.0066876+0.0066393i,0.0033818+0.0051021i,0.0016291+0.0029338i,0.00043838+0.0012765i,-0.00017707+0.001001i,-0.00059794+0.00064274i,-0.0015281+0.00058875i,-0.002104+0.0015909i,-0.0016487+0.0024205i,-0.0017795+0.0038497i,-0.0023629+0.0049369i,-0.0016815+0.0036454i,-0.0013017+0.0011618i,-0.001049-0.00011277i,-0.00069758-0.00032295i,-0.00048333-0.00042479i,-0.00015894-0.00044052i,0.00017784-0.00018756i,-4.3692e-05-0.00030876i,-0.0007375-0.00049965i
0.017289-0.019452i,0.019742-0.014119i,0.01586-0.007257i,0.010692-0.0034731i,0.0059122-0.0019249i,0.0022223-0.0013533i,0.0010477-0.0001847i,0.00079071+0.00063426i,4.179e-05+0.00048326i,-0.0003185+0.00049806i,0.000225+0.0013848i,0.0018655+0.0023216i,0.0022357+0.003154i,0.0015874+0.0036817i,0.0019573+0.002552i,0.0016672+0.00074759i,0.00077071-0.00021574i,3.8684e-05+4.3396e-05i,-0.0010268+2.0717e-05i,-0.00066456-0.000165i,-0.00040149+0.00055554i,-0.0011715+0.00070453i,-0.00075912+0.00093688i
-0.0087943-0.021237i,-0.0036436-0.021879i,-0.00052128-0.016044i,0.0007164-0.0085949i,0.00077965-0.0040672i,0.00063246-0.0022649i,0.00081856-0.00093474i,0.00080692+0.00038981i,0.00090733+0.0010624i,0.00071191+0.0018345i,0.0018061+0.0012562i,0.0032512-0.00062299i,0.0040102-0.001526i,0.0043606-0.0015887i,0.0031934-0.0017087i,0.0015983-0.001341i,0.00021-0.0010745i,-0.00055636-0.00042827i,-0.0004484+0.0010478i,-0.00047774+0.0014125i,-0.0004558+0.0010257i,-0.00047256+0.001264i,-2.9191e-05+0.00044729i
-0.02826-0.0026107i,-0.025665-0.0063033i,-0.017431-0.0063686i,-0.0090961-0.0053824i,-0.0044109-0.0044343i,-0.0027228-0.0029704i,-0.00080751-0.0018542i,8.7945e-05-0.0012763i,-2.9303e-06-0.00061087i,-0.00030004-0.0002186i,0.00016236-0.00095531i,0.0013685-0.0027841i,0.0011657-0.0044027i,0.00070222-0.0046143i,0.00069519-0.0036305i,0.00012537-0.0016437i,0.00012413-0.00020171i,0.00070508+0.00040694i,0.0010792+0.0003953i,0.0010504-0.00020016i,0.00063268+0.0001893i,0.00023176+0.00065157i,-0.00044741+0.00086716i
-0.019042+0.018048i,-0.020671+0.012825i,-0.015391+0.0079247i,-0.0094198+0.0043515i,-0.0057739+0.0021118i,-0.0034602+0.0016271i,-0.0012488-0.00024418i,-0.00013921-0.0012163i,0.00011029+0.00026894i,0.00085447+0.00040107i,0.00033554-0.001089i,-0.0020409-0.002674i,-0.0036339-0.0032141i,-0.0034567-0.0023891i,-0.0028241-0.0014344i,-0.0019925-0.00043493i,-0.00063328+0.00036846i,0.00049159+0.00066573i,0.0012483+2.6725e-05i,0.0013896-0.0003166i,0.00061058+0.00028887i,0.00023157+0.00050068i,0.00032714+0.00058527i
