0.0016597+0.0029531i,0.00032037+0.0017275i,-0.0017185-1.1922e-05i,-0.0021126-0.00019318i,-0.0024432-0.00016205i,-0.0033762+0.001553i,-0.0022707+0.0026704i,0.00010994+0.002201i,0.0010515+0.0011111i,0.0004761-0.00033326i,-0.00032764-0.00017846i,-0.0009197+0.00070705i,-0.0011222+0.0014216i,-0.001032+0.001331i,-0.0010134+0.00053095i,-0.0013048+0.00048105i,-0.0015648+0.0004721i,-0.00063604+0.00089565i,0.00060329+0.00093378i,0.00053481+0.0004086i,0.00010146-0.00027664i,0.00021587-0.00079844i,-0.00037279-0.0010951i
-2.5286+5.7249i,-0.39951+6.1597i,2.5745+5.5901i,3.6079+2.4855i,2.6248-0.73401i,0.27695-2.2431i,-1.554-1.405i,-1.5693+0.039473i,-0.37243+0.60724i,0.71172+0.076756i,0.81955-0.74997i,0.28954-1.2664i,-0.43857-1.8146i,-1.2544-2.4898i,-1.5378-2.5596i,-0.996-1.6122i,-0.34731-0.55175i,-0.3054-0.015172i,-0.66283+0.29831i,-0.65846+0.59587i,-0.13855+0.69727i,0.4139+0.41739i,0.53522-0.080014i
0.58561-0.43673i,0.21667-0.47927i,-0.068282-0.51135i,-0.14351-0.45692i,-0.093261-0.19689i,0.02596+0.1142i,0.10069+0.18135i,0.01513+0.033854i,-0.070603-0.041552i,-0.037777-0.026027i,-0.0034188-0.019089i,-0.010434-0.00060758i,-0.008338+0.013853i,0.010574-0.021767i,0.024091-0.092126i,0.0073133-0.13915i,-0.019535-0.11727i,-0.0072025-0.061731i,0.026659-0.039322i,0.03621-0.043842i,0.020019-0.044296i,-0.0030938-0.041423i,-0.016781-0.029618i
0.54097+0.20847i,0.56019+0.16795i,0.57472+0.31505i,0.46744+0.35505i,0.21157+0.20432i,-0.026498+0.12882i,-0.086668+0.17649i,-0.012667+0.16354i,0.010546+0.070965i,-0.018138+0.016037i,-0.01483-0.017842i,-0.011354-0.06776i,-0.014581-0.08165i,0.028811-0.075321i,0.10195-0.090961i,0.14265-0.096624i,0.12615-0.082013i,0.078648-0.070905i,0.042607-0.055226i,0.032576-0.021865i,0.03712+0.01144i,0.045142+0.023378i,0.047225+0.016527i
0.4262+0.32267i,0.42311-0.070239i,0.10717-0.33521i,-0.073265-0.26799i,0.085668-0.001526i,0.3629+0.17472i,0.48151+0.18458i,0.40104+0.10973i,0.24648+0.015009i,0.11788-0.039013i,0.041968-0.048794i,-0.00034953-0.032366i,-0.014043-0.0040053i,0.0041142+0.013343i,0.040555+0.013111i,0.053654-0.0015902i,0.025265-0.0041276i,-0.0034442+0.013283i,-0.012088+0.026875i,-0.015131+0.039039i,-0.015628+0.05258i,-0.015426+0.048865i,-0.016187+0.03337i
-0.75879+0.74883i,-0.48513+1.021i,-0.05184+0.95475i,0.24693+0.56693i,0.20729+0.064231i,-0.014404-0.25814i,-0.17124-0.34338i,-0.24332-0.23947i,-0.19803-0.031013i,-0.064915+0.082782i,0.0051146+0.081282i,0.022527+0.064781i,0.034229+0.011968i,0.0025785-0.056698i,-0.041553-0.070467i,-0.041387-0.043657i,-7.3879e-05-0.015646i,0.044814-0.0088406i,0.056539-0.028055i,0.03181-0.047025i,-0.0010548-0.039435i,-0.019942-0.013123i,-0.027356+0.0099778i
-0.67985-0.80694i,-0.65533-0.67239i,-0.3841-0.43755i,-0.1754-0.1996i,-0.10127+0.028614i,-0.096594+0.21466i,-0.096272+0.32467i,-0.026583+0.31279i,0.038151+0.17421i,0.024313+0.047845i,0.020075-0.0063588i,0.029453-0.047365i,0.0098022-0.037137i,0.0045808+0.029403i,0.015294+0.070641i,0.013707+0.064731i,-0.002236+0.035475i,-0.02126+0.0062636i,-0.028292-0.0083197i,-0.024894-0.011075i,-0.019487-0.0032706i,-0.0059917+0.012731i,0.016472+0.017298i
0.65472-0.2452i,0.46742-0.14578i,0.19232+0.010944i,0.13717+0.11103i,0.28311+0.081809i,0.41299-0.02863i,0.4-0.11888i,0.2287-0.15561i,0.051801-0.1058i,0.011461-0.034434i,0.018925-0.010659i,0.0018906+0.0097489i,-0.0099425+0.029035i,-0.019061+0.018363i,-0.028194-0.010786i,-0.036217-0.032313i,-0.036101-0.022856i,-0.023361+0.0028683i,-0.017703+0.016275i,-0.017742+0.011049i,-0.015541-0.0083887i,-0.01993-0.022521i,-0.030274-0.015415i
0.38319+0.20628i,0.38506+0.12281i,0.30419-0.066665i,0.02893-0.27901i,-0.28251-0.33687i,-0.40084-0.28788i,-0.37848-0.25533i,-0.30219-0.1724i,-0.18254-0.064523i,-0.080904-0.011319i,-0.015012+0.0016302i,0.036719-0.026118i,0.048258-0.066581i,0.025209-0.058015i,0.0084932-0.00098288i,0.015114+0.043965i,0.028314+0.036001i,0.020847+0.0059825i,0.012121+0.00028183i,0.02239+0.008547i,0.028247+0.0038299i,0.022035-0.0070799i,0.023396-0.010723i
0.0099499+0.17132i,-0.079606+0.022125i,-0.11172-0.01186i,0.070989+0.072434i,0.22115+0.14143i,0.15795+0.18243i,0.051592+0.24255i,0.035151+0.22987i,0.043478+0.13955i,0.026195+0.072571i,0.0027153+0.051397i,-0.011006+0.059844i,-0.0097993+0.076629i,-0.012363+0.083231i,-0.027703+0.085223i,-0.039307+0.081402i,-0.037977+0.061408i,-0.024249+0.038873i,-0.0066964+0.032849i,0.0044986+0.040338i,0.0095082+0.046688i,0.010992+0.039716i,0.0031919+0.016124i
-0.34795+0.31653i,-0.23958+0.42031i,-0.16414+0.42702i,-0.14503+0.37392i,-0.046797+0.24415i,0.10138+0.10552i,0.15354+0.016301i,0.092388-0.023367i,0.010137-0.020966i,-0.023912-0.00068796i,-0.017989+0.0014941i,-0.0056128-0.011904i,0.0061662-0.015772i,0.011364-0.017041i,-0.0078989-0.015049i,-0.032287+0.00020575i,-0.024494+0.014979i,0.0012191+0.015653i,0.0093215+0.0059001i,0.0036535-0.0061799i,0.00035065-0.014622i,0.0026183-0.016453i,0.008569-0.014278i
-0.13635-0.58655i,-0.10024-0.73924i,0.00067544-0.78413i,0.010754-0.64234i,-0.054277-0.35632i,-0.075722-0.13419i,-0.050256-0.075192i,-0.040807-0.059055i,-0.025944-0.0083765i,0.0070709+0.011278i,0.011847-0.009141i,-0.0042467-0.016686i,-0.01515-0.0025429i,-0.020167+0.024257i,-0.018595+0.039859i,-0.015742+0.02036i,-0.018788-0.013902i,-0.026653-0.029624i,-0.021891-0.022049i,-0.0010615-0.012995i,0.010967-0.011971i,0.013214-0.01018i,0.020481-0.010972i
0.29094-0.01861i,0.217+0.28886i,0.17304+0.68398i,0.22891+0.7398i,0.2335+0.42399i,0.098128+0.11214i,-0.022851+0.015565i,-0.039555+0.007525i,-0.032534-0.00011927i,-0.024142+0.012016i,0.00068987+0.017777i,0.013468+0.012227i,0.013395+0.014932i,0.012143+0.009094i,0.0042684-0.0030014i,-0.0048104+0.0050692i,0.0025089+0.025963i,0.024116+0.026667i,0.034085+0.0085019i,0.028626-0.0042202i,0.022538-0.010452i,0.012186-0.013292i,-0.001699-0.0091543i
0.27587+0.25247i,0.31884+0.037831i,0.16001-0.30998i,-0.087454-0.44615i,-0.17458-0.22069i,-0.066445+0.050928i,0.013026+0.13489i,0.016115+0.1281i,0.033329+0.084772i,0.040844+0.024693i,0.035226+2.6869e-05i,0.029826-0.022033i,-0.0062975-0.041838i,-0.043495-0.015499i,-0.040021+0.02558i,-0.016952+0.030274i,-0.0093028+0.0053658i,-0.015438-0.0050944i,-0.014065+0.0028277i,-0.0043981+0.0054656i,0.0058231+0.003979i,0.01749+0.0017919i,0.024753-0.0014256i
-0.49996+0.42624i,-0.48325+0.57871i,-0.24543+0.57692i,0.077422+0.44917i,0.1876+0.22357i,0.091334+0.013714i,0.023926-0.090352i,0.0012534-0.10782i,-0.03304-0.05832i,-0.048265+0.0013176i,-0.05624+0.03409i,-0.042774+0.060156i,0.0057807+0.051204i,0.025297+0.0090426i,0.00033853-0.0069307i,-0.022674+0.011263i,-0.018186+0.031001i,0.00070839+0.036664i,0.016232+0.033313i,0.024399+0.023403i,0.024051+0.00768i,0.017726-0.0094721i,0.0074919-0.025939i
-0.14501-0.63026i,-0.1966-0.61218i,-0.22376-0.37853i,-0.27017-0.098404i,-0.23565+0.05062i,-0.16993+0.079099i,-0.16873+0.091727i,-0.13537+0.089794i,-0.068793+0.031962i,-0.039418-0.010994i,-0.013617-0.015712i,-0.0013332-0.017244i,-0.011599+0.0041016i,-0.015104+0.025071i,-0.024107+0.020734i,-0.036556+0.014332i,-0.035685+0.0072282i,-0.027556-0.0019146i,-0.016674+0.0037005i,-0.006956+0.021308i,-0.0046561+0.034261i,-0.0028595+0.039105i,0.012192+0.036868i
0.66286-0.19924i,0.57467-0.39332i,0.32395-0.47904i,0.16682-0.40751i,0.14116-0.25803i,0.14482-0.12736i,0.13784-0.066357i,0.088199-0.035793i,0.060843+0.022794i,0.081469+0.043603i,0.060903+0.017634i,0.016185+0.01083i,-0.0033935+0.011348i,-0.0058701+0.0069444i,0.007357-0.0078775i,0.014374-0.038466i,0.0032373-0.045838i,-0.00032179-0.021656i,0.0057533-0.0044019i,0.0067102-0.00321i,0.0047699-0.0043019i,0.0010496-0.0034451i,-0.0076539+0.0019211i
-0.045574+0.54379i,0.11266+0.73635i,0.34692+0.77074i,0.39665+0.54967i,0.21765+0.2582i,0.024887+0.072303i,-0.047831-0.0020049i,-0.027383-0.019304i,-0.018232-0.030942i,-0.047237-0.019693i,-0.042896+0.0080124i,-0.01038+0.0092653i,0.0035701-0.0049714i,-0.0013377-0.012875i,-0.0090573-0.0027431i,0.0021628+0.016987i,0.021236+0.017641i,0.018823+0.0029286i,0.00019463-0.0019981i,-0.012189+0.00044279i,-0.011899-0.0042941i,-0.0090827-0.011925i,-0.0080251-0.014841i
-0.28888-0.03188i,-0.34944-0.17729i,-0.39126-0.28083i,-0.27597-0.2458i,-0.078401-0.12129i,0.036684-0.0024001i,0.047285+0.071145i,0.019502+0.086069i,0.0099245+0.067357i,0.018695+0.040893i,0.010548+0.022644i,-0.015125+0.027683i,-0.025486+0.039216i,-0.020602+0.038538i,-0.014248+0.031602i,-0.010889+0.023369i,-0.011699+0.014306i,-0.0069181+0.0085394i,0.0023642+0.00049072i,0.0014776-0.0075868i,-0.002566-0.00051539i,0.010213+0.0081476i,0.026613-0.0037697i
-0.22233+0.10355i,-0.14158+0.3034i,-0.041119+0.36426i,-0.00014386+0.30366i,0.014122+0.16577i,0.0060219-0.012223i,-0.055831-0.1231i,-0.10378-0.09509i,-0.079745-0.021475i,-0.033799+0.00030338i,-0.013542-0.015138i,-0.0086466-0.027119i,-0.0035833-0.021894i,0.0046954-0.016349i,-0.0042966-0.016825i,-0.026419-0.0058878i,-0.027501+0.010447i,-0.017483+0.011743i,-0.016+0.00025967i,-0.017198-0.012904i,-0.023274-0.021938i,-0.033949-0.01095i,-0.026179+0.017446i
0.20596-0.56903i,0.13795-0.69923i,0.08425-0.67859i,0.01799-0.50654i,-0.045714-0.24521i,-0.050941-0.0045012i,-0.0042386+0.10359i,0.029056+0.074404i,0.020698+0.027387i,0.019394+0.024323i,0.040986+0.030126i,0.04914+0.016812i,0.027879+0.0024176i,0.0019467+0.013013i,0.0034426+0.022892i,0.016199+0.00080183i,0.013458-0.02286i,0.010226-0.016813i,0.023523+0.0054063i,0.042311+0.020264i,0.046404+0.017533i,0.030676+0.006834i,0.0057406+0.0017643i
0.34558+0.17621i,0.22958+0.34794i,0.11101+0.56685i,0.10183+0.55271i,0.10689+0.28956i,0.038991+0.037866i,-0.030323-0.042923i,-0.042654-0.028408i,-0.034614-0.0163i,-0.042954-0.0098374i,-0.059004+0.0057605i,-0.056534+0.031542i,-0.029381+0.039854i,-0.011063+0.01682i,-0.013836+4.3918e-05i,-0.011676+0.0084047i,0.00030726+0.016978i,0.0048422+0.010713i,-0.0061314+0.0038283i,-0.016232+0.0080527i,-0.010931+0.0091927i,-0.0018066-0.0076821i,-0.0020902-0.029747i
-0.0029654+0.22006i,0.027525-0.072388i,-0.038852-0.39901i,-0.13313-0.48412i,-0.1589-0.28907i,-0.091159-0.068575i,-0.035128+0.0013955i,-0.017256+0.0045556i,0.0084388+0.0031319i,0.025568-0.0067602i,0.032469-0.012251i,0.041311-0.022265i,0.03786-0.029835i,0.029492-0.01777i,0.020265-0.0026465i,0.0079494-0.00091102i,-0.0027588-0.0073412i,-0.005565-0.010811i,-0.0019818-0.012871i,-0.006988-0.010453i,-0.014698+0.0089115i,-0.0031315+0.034213i,0.019678+0.039984i
-0.50523+0.33274i,-0.32582+0.49974i,-0.027218+0.47355i,0.17727+0.33809i,0.21254+0.16255i,0.16313+0.024821i,0.12297-0.04304i,0.059357-0.059642i,-0.0027466-0.011586i,-0.0014678+0.023711i,-0.0032142+0.008827i,-0.026582+0.017361i,-0.02441+0.03822i,-0.013296+0.031774i,-0.012736+0.014179i,-0.015523+0.0058803i,-0.010554+0.0086403i,-0.0021967+0.0079438i,-0.0014635+0.00031343i,-0.0006616-0.010859i,-0.00086488-0.023262i,-0.0067566-0.023101i,-0.0097287-0.0093746i
-0.058804-0.71882i,-0.16679-0.67455i,-0.26331-0.47369i,-0.39364-0.29248i,-0.42442-0.15509i,-0.34163-0.040047i,-0.24507+0.043136i,-0.12607+0.048465i,-0.037533-0.024461i,-0.02079-0.055007i,0.0045446-0.030458i,0.035086-0.034002i,0.03111-0.04726i,0.015407-0.037766i,0.0032925-0.020734i,-0.0007114-0.010494i,0.00051221-0.0078828i,-0.00030535+0.00072518i,-0.00048061+0.019076i,0.0019986+0.031816i,0.0041466+0.028664i,-0.00085009+0.01438i,-0.010896+0.00065228i
0.80626+0.045721i,0.75946-0.045895i,0.58596-0.11071i,0.51304-0.19852i,0.42167-0.26467i,0.24703-0.22793i,0.12595-0.14012i,0.069661-0.06876i,0.047307-0.0062155i,0.044188+0.015444i,0.013189+0.011347i,-0.017953+0.032888i,-0.011272+0.052224i,0.0050395+0.039614i,0.014469+0.013493i,0.015831-0.0053627i,0.0086277-0.011066i,0.0025772-0.015842i,-0.0041101-0.024906i,-0.014552-0.024483i,-0.018119-0.014314i,-0.0090185-0.0093852i,0.0037803-0.013152i
-0.25982+0.62755i,-0.20475+0.68551i,-0.12459+0.62789i,-0.061754+0.52566i,-0.0038191+0.35676i,0.01388+0.15214i,-0.013309+0.046296i,-0.015757+0.038696i,-0.0035273+0.033434i,-0.0043742+0.023257i,0.012243+0.012768i,0.029218-0.012462i,0.021089-0.024214i,0.012159-0.0099061i,0.012109+0.011931i,0.014495+0.028118i,0.013432+0.032066i,0.0076758+0.029054i,0.0065638+0.026349i,0.010438+0.019607i,0.012417+0.010639i,0.012333+0.012378i,0.012361+0.021375i
-0.56168-0.22191i,-0.55348-0.26313i,-0.43784-0.35184i,-0.33306-0.33538i,-0.23495-0.12965i,-0.10181+0.073815i,-0.018788+0.10829i,-0.031678+0.054655i,-0.046803+0.035025i,-0.012352+0.027863i,0.0069491+0.0073505i,-0.0033865+0.00052413i,-0.011909-0.0047499i,-0.022567-0.011264i,-0.035079-0.0070584i,-0.03796-0.0011957i,-0.026196-0.00093227i,-0.007229-0.005143i,0.0042115-0.0095689i,0.010551-0.011228i,0.015655-0.0099673i,0.013666-0.0068962i,0.008551-0.0058342i
0.14117-0.461i,0.08478-0.33176i,0.13908-0.10552i,0.18028-0.044993i,0.089921-0.14857i,-0.022779-0.23405i,-0.064142-0.22376i,-0.043305-0.16007i,-0.017858-0.11417i,-0.020705-0.07367i,-0.010451-0.027645i,0.018237-0.012566i,0.036751-0.017227i,0.036558-0.024771i,0.017117-0.033653i,-0.0045429-0.029012i,-0.012656-0.012979i,-0.012159-0.0014229i,-0.011928+0.0034448i,-0.012848+0.010055i,-0.010953+0.013163i,-0.012072+0.0043666i,-0.02006-0.0037482i
0.76459+0.15805i,0.74334-0.07943i,0.44412-0.19837i,0.20838-0.11551i,0.15203-0.010519i,0.11992+0.051168i,0.074942+0.083726i,0.047827+0.078235i,0.035781+0.056272i,0.029298+0.031275i,0.011156+0.0148i,-0.0045564+0.023497i,-0.0025602+0.035165i,0.0073726+0.033896i,0.02095+0.022866i,0.025437+0.0026724i,0.013129-0.011024i,-0.0001899-0.0076727i,-0.0035876+0.00016684i,-0.005829+0.0016889i,-0.010233+0.0022875i,-0.002684+0.0040632i,0.013867-0.0035601i
-0.45725+0.62676i,-0.36869+0.77452i,-0.21221+0.7037i,-0.13052+0.50214i,-0.080281+0.29074i,-0.02336+0.11195i,-0.010312+0.0096598i,-0.035377-0.0038959i,-0.049021+0.0083549i,-0.042731+0.011237i,-0.02226+0.0002087i,-0.0094913-0.02317i,-0.018352-0.030865i,-0.026395-0.017105i,-0.023137+0.0062422i,-0.0056431+0.028019i,0.016303+0.03116i,0.018657+0.019524i,0.0041736+0.012835i,-0.0045745+0.0091344i,-0.0003073-0.00059037i,0.0033543-0.0081006i,0.0029999-0.0012909i
-0.31399-0.55281i,-0.2931-0.61185i,-0.22181-0.61554i,-0.22426-0.55339i,-0.27333-0.32502i,-0.24867-0.054145i,-0.15126+0.045902i,-0.075739+0.0094552i,-0.034638-0.023445i,-0.005777-0.033774i,0.0085395-0.024556i,0.024299-0.0020246i,0.037866-0.00099012i,0.026692-0.011592i,-0.00079662-0.014417i,-0.023077-0.013455i,-0.02513-0.0083715i,-0.0079966-0.0040048i,0.013273-0.0053297i,0.025571-0.0062616i,0.025487-0.00046312i,0.020162+0.0090268i,0.014916+0.011038i
0.22134-0.078349i,0.1274+0.12373i,0.16193+0.35807i,0.32658+0.3763i,0.3835+0.14454i,0.27759-0.071655i,0.16305-0.098481i,0.1019-0.04619i,0.05926-0.012611i,0.0333+0.0052269i,0.015037+0.0042218i,-0.0086653+0.0020886i,-0.020122+0.0087745i,-0.017167+0.0044345i,-0.01401-0.010291i,-0.014577-0.014993i,-0.016019-0.0060064i,-0.01515+0.0022022i,-0.01433+0.0052638i,-0.013462+0.011506i,-0.01145+0.015251i,-0.013602+0.0077565i,-0.019778+5.0046e-05i
0.40239+0.13258i,0.34963-0.16155i,0.01459-0.36866i,-0.30839-0.26605i,-0.3159-0.032962i,-0.18076+0.064726i,-0.14446+0.058621i,-0.12166+0.065314i,-0.055155+0.053642i,-0.015974+0.015762i,-0.0050237-0.0039231i,0.0060853-0.0093141i,0.014358-0.0080346i,0.021573-0.00022461i,0.029194+0.0012832i,0.029931-0.0080241i,0.019988-0.014248i,0.0070114-0.0060378i,-0.00047682+0.0053615i,-0.0046349+0.0036755i,-0.0092285-0.0044777i,-0.0059784-0.0070162i,0.0069882-0.0093502i
-0.3668+0.3855i,-0.21314+0.54004i,0.11857+0.44144i,0.31475+0.14932i,0.22744-0.023736i,0.10223-0.031311i,0.067006-0.041125i,0.010919-0.056874i,-0.046528-0.020877i,-0.045178+0.021349i,-0.019646+0.027865i,-0.0091659+0.016088i,-0.018533+0.0049852i,-0.032467+0.0055829i,-0.030024+0.0227i,-0.0092696+0.037552i,0.012514+0.030216i,0.017708+0.0090645i,0.0050269-0.0046153i,-0.0034555-0.004889i,0.0045465-0.0057781i,0.011697-0.012232i,0.0058896-0.0093607i
-0.076573-0.50565i,-0.15674-0.48883i,-0.26172-0.24529i,-0.30032+0.014831i,-0.2387+0.089346i,-0.16115+0.048758i,-0.105+0.031878i,-0.049199+0.02822i,-0.013932+0.0030394i,-0.0072596-0.025499i,-0.012688-0.033817i,-0.011959-0.023251i,-0.0019907-0.012769i,-0.0039889-0.015203i,-0.024603-0.02284i,-0.0451-0.023256i,-0.048532-0.012917i,-0.031528-0.00058142i,-0.0057755+0.004394i,0.0086569+0.004372i,0.0070776+0.010848i,0.0028097+0.025182i,0.0051071+0.026905i
0.17167+0.079251i,0.08194+0.080295i,0.033899-0.0084046i,0.063568-0.10785i,0.071509-0.10791i,0.048972-0.020537i,0.027356+0.039647i,-0.0062577+0.034301i,-0.024488+0.029237i,-0.0053147+0.037072i,0.016461+0.028005i,0.016893+0.0067985i,0.0075763-0.011674i,0.0080737-0.023417i,0.016499-0.028113i,0.021994-0.029818i,0.021457-0.026438i,0.014183-0.01798i,0.0032724-0.0096955i,-0.0055836-0.0018627i,-0.011842+0.00033114i,-0.017468-0.0056182i,-0.017907-0.0066056i
0.15687+0.077634i,0.28269-0.068087i,0.27713-0.15007i,0.13776-0.09406i,0.053697-0.029149i,0.038082-0.065601i,0.00011616-0.11054i,-0.016591-0.079359i,-0.00040771-0.047107i,-0.0049048-0.039934i,-0.017407-0.022993i,-0.011659-0.0026465i,0.0042283+0.012908i,0.017165+0.022434i,0.022144+0.02235i,0.02351+0.020293i,0.023206+0.017075i,0.01846+0.012642i,0.014631+0.0087325i,0.013438-0.00188i,0.010619-0.013457i,0.0081935-0.016416i,0.0055888-0.013667i
-0.22381+0.21366i,-0.19588+0.41476i,-0.042425+0.44667i,0.10265+0.24938i,0.08193+0.063718i,-0.011607+0.046971i,-0.021621+0.073325i,0.00019777+0.037466i,-0.0061762+0.0087674i,-0.0085328+0.011985i,-0.0027342+0.010468i,-0.0011806+0.00021819i,-0.0090333-0.012304i,-0.022557-0.01313i,-0.029847+0.0035731i,-0.026194+0.017449i,-0.015371+0.013583i,-0.005829+0.00055262i,-0.0034728-0.006315i,0.00055342-0.0024027i,0.010912+0.0039871i,0.018618+0.0036154i,0.016126-0.0013653i
0.022427-0.33479i,-0.1095-0.376i,-0.28676-0.2358i,-0.33507-0.0071433i,-0.19631+0.093142i,-0.038391+0.031207i,0.0017237-0.014604i,-0.0080478+0.016531i,0.00095943+0.030206i,0.004448+0.0061755i,-0.0010814-0.018582i,-0.0082196-0.027852i,-0.0081893-0.018697i,-0.0030082-0.014141i,-0.007344-0.026616i,-0.019495-0.033657i,-0.024954-0.019509i,-0.018125-0.00084732i,-0.0067093+0.0056544i,-0.0016729+0.0062562i,-0.0053706+0.010348i,-0.009746+0.020322i,-0.0065133+0.026558i
0.099357+0.10603i,0.11847+0.029602i,0.16829-0.17089i,0.15951-0.33615i,0.028154-0.29337i,-0.10342-0.1131i,-0.12119+0.0019388i,-0.075357+0.02145i,-0.031061+0.025807i,0.0011449+0.030785i,0.021084+0.033234i,0.039108+0.029491i,0.045398+0.010918i,0.03844-0.00030689i,0.038286+0.0055245i,0.041414+0.006619i,0.030977+0.00069124i,0.012256+0.0024599i,-0.0011256+0.0112i,-0.0084811+0.016274i,-0.013105+0.011755i,-0.015734+0.0010797i,-0.014479-0.0037994i
0.031567+0.025802i,0.14396+0.048035i,0.21147+0.19959i,0.23596+0.35353i,0.28853+0.28562i,0.29504+0.089182i,0.21423-0.0030145i,0.11898+0.0025968i,0.054896+0.013268i,0.017037+0.0077914i,-0.013477-0.0047847i,-0.039509-0.0039165i,-0.043392+0.013912i,-0.03317+0.023388i,-0.027756+0.020465i,-0.024067+0.018084i,-0.014331+0.01418i,-0.0024309+0.0052996i,0.0052838-0.0018964i,0.0078792-0.0046878i,0.007454-0.0060143i,0.0062576-0.0081242i,0.0013222-0.012608i
-0.12296+0.087715i,-0.203+0.16308i,-0.29282+0.06301i,-0.36963-0.10567i,-0.37869-0.098253i,-0.30785-0.00045497i,-0.22386+0.031031i,-0.14812+0.031177i,-0.07425+0.026828i,-0.025561+0.010897i,0.0047562-0.0023922i,0.027755-0.015476i,0.029188-0.02955i,0.014551-0.03227i,0.00055587-0.022434i,-0.0050953-0.015417i,-0.0040389-0.016935i,-0.0027138-0.017491i,-0.0030724-0.013485i,-0.0017998-0.0080835i,0.0033126-0.0048282i,0.012392-0.0033156i,0.021167-0.0044777i
0.068083-0.1723i,0.089389-0.21079i,0.16634-0.16876i,0.24066-0.095295i,0.23163-0.051079i,0.17331-0.031596i,0.11965-0.019254i,0.059215-0.015033i,0.0016796-0.00093424i,-0.013615+0.019251i,-0.0037178+0.022551i,-0.0045253+0.016908i,-0.012224+0.017688i,-0.011815+0.018107i,-0.0040817+0.0083642i,0.0020849-0.00020934i,0.0033106+0.0033038i,0.0023072+0.0068662i,-0.00034395+0.0017986i,-0.0035925-0.0013009i,-0.005341+0.0032561i,-0.0073234+0.013632i,-0.0083952+0.02645i
0.039272+0.081814i,-0.0048482+0.095183i,-0.063399+0.09696i,-0.092812+0.058557i,-0.12281-0.025752i,-0.16792-0.060617i,-0.15997-0.020246i,-0.090913+0.020343i,-0.026031+0.021078i,-0.007282+0.0038933i,-0.015197+0.0063418i,-0.0069499+0.017881i,0.011858+0.0084088i,0.014047-0.0052084i,0.0073442+0.00051521i,0.005543+0.0093321i,0.0027185+0.0075794i,-0.0019433+0.0070198i,-0.0020757+0.011162i,-0.0027744+0.0082801i,-0.010391-0.0019615i,-0.018984-0.010121i,-0.021469-0.012503i
0.015426-0.024488i,0.071396-0.055414i,0.077769-0.039417i,0.073177+0.056601i,0.14504+0.14398i,0.19993+0.12966i,0.14862+0.075946i,0.067897+0.038464i,0.018503+0.013374i,-0.0005784+0.0071458i,-0.0061239-0.0028908i,-0.025676-0.015265i,-0.038779-0.0056251i,-0.027963+0.0048378i,-0.017238+0.0015326i,-0.013521-0.0022973i,-0.0020632-0.0027183i,0.013394-0.0059196i,0.017488-0.0083004i,0.015576-0.0033198i,0.017179+0.0023093i,0.018191-0.0011041i,0.013704-0.011385i
-0.055785+0.074964i,-0.062939+0.12588i,-0.053289+0.01339i,-0.12079-0.16919i,-0.22448-0.19473i,-0.22807-0.12935i,-0.16307-0.10114i,-0.099821-0.059411i,-0.03494-0.014694i,0.0011698-0.0121i,0.012148-0.013829i,0.029408-0.012898i,0.033677-0.016688i,0.019097-0.013756i,0.003319-0.007631i,-0.0036562-0.0027703i,-0.0047953+0.00091688i,-0.0061256+0.0046732i,-0.0036191+0.0081385i,0.0017457+0.0066328i,0.007362+0.0013926i,0.014033+0.000654i,0.021019+0.0034914i
0.0080603-0.093345i,0.0020663-0.059232i,0.10948+0.098877i,0.28638+0.19307i,0.31141+0.11606i,0.18549+0.06i,0.10894+0.072877i,0.079857+0.041692i,0.028096+0.012603i,-0.0047888+0.025686i,-0.011407+0.035093i,-0.015852+0.029762i,-0.018654+0.01834i,-0.017215+0.0091818i,-0.0083277+0.0039553i,-0.0011784+0.0022931i,-0.0015466+0.0063071i,-0.0019913+0.0070222i,-0.0036993+0.0021969i,-0.006242+0.0030039i,-0.0088417+0.011689i,-0.014877+0.020747i,-0.020014+0.026603i
0.042297-0.0069134i,-0.062517-0.072236i,-0.29903-0.092639i,-0.44621-0.0091945i,-0.33391+0.042024i,-0.1585-0.022295i,-0.1074-0.047405i,-0.080246+0.012221i,-0.025495+0.028799i,-0.0064574-0.011339i,-0.018289-0.040877i,-0.022515-0.039202i,-0.0094728-0.023539i,0.0047254-0.015076i,0.004727-0.0096536i,-0.002874-0.0051213i,-0.0094061-0.0066889i,-0.011374-0.0032383i,-0.0072135+0.0037456i,-0.0046277-0.0013351i,-0.0070364-0.013957i,-0.0091056-0.023663i,-0.0081035-0.028582i
0.079644+0.018185i,0.25941-0.030169i,0.41853-0.18217i,0.37532-0.28808i,0.18824-0.1747i,0.055121+0.011577i,0.020728+0.056798i,0.014465+0.009389i,0.0087079-0.008942i,0.022131+0.0095339i,0.044818+0.015544i,0.043454+0.0028094i,0.019184-0.0013066i,0.00041828+0.0069161i,-0.0031272+0.01133i,0.0046183+0.0073181i,0.017653-0.00078307i,0.02222-0.0099059i,0.01425-0.01093i,0.006854-0.00036685i,0.008012+0.0091019i,0.015246+0.0087297i,0.020104+0.0028172i
