-0.0025401+0.00024132i,-0.0021168-0.00016973i,-0.0026092+0.0010311i,-0.0018582+0.0022805i,-0.00052916+0.0026983i,-0.00024801+0.0025312i,-0.00061542+0.0019915i,-0.00043024+0.0017556i,-2.1356e-05+0.0013748i,0.0006302+0.00098099i,0.00059514-0.00024189i,0.00037908-0.0012307i,0.00091332-0.0014057i,0.00064209-0.001346i,-0.0006499-0.00087324i,-0.0014661-0.00017877i,-0.0011729+0.00038134i,-0.0001567+0.00063171i,0.00071621+0.00075989i,0.00049196+0.00060079i,-0.00027713-5.3389e-05i,-0.00024523-0.00035887i,0.0004059-2.3736e-05i
0.15703+0.10381i,0.16604+0.09797i,0.13465+0.043365i,0.10153+0.004079i,0.072965-0.003875i,0.050507-0.0035517i,0.029598-0.0036365i,0.020337-0.0034654i,0.014782-0.0051144i,0.0045337-0.0013529i,-0.0020614+0.0040608i,-0.01019+0.0044367i,-0.020277+0.011262i,-0.018684+0.021491i,-0.010327+0.016182i,-0.0084338+3.9741e-05i,-0.011075-0.0078969i,-0.010859-0.0043257i,-0.0089778+0.0048523i,-0.010599+0.012502i,-0.015155+0.015765i,-0.016271+0.015387i,-0.011852+0.014128i
-0.19648+0.15736i,-0.25264+0.18959i,-0.22067+0.14132i,-0.15621+0.050725i,-0.11783-0.0087258i,-0.075435-0.0021747i,-0.0027992+0.024327i,0.043119+0.020486i,0.044813+0.010039i,0.032298+0.0084333i,0.017142+0.00033161i,0.0026614-0.0050652i,-0.0036285-0.0053985i,-0.0019756-0.013996i,-0.0027164-0.025553i,-0.0088807-0.027451i,-0.01117-0.01994i,-0.0068789-0.011146i,0.001436-0.0037943i,0.01109+0.0013258i,0.0126+0.0022457i,0.0071788+0.0021665i,0.0068122-0.0016477i
-0.032806-0.2198i,0.038664-0.34842i,0.12829-0.35066i,0.16644-0.22385i,0.138-0.075649i,0.077819-0.0084585i,0.02072-0.012599i,-0.0016807-0.019191i,0.0043786-0.014629i,0.018759-0.0056847i,0.024504+0.0026185i,0.019205+0.0076501i,0.014865+0.018103i,0.016387+0.030571i,0.017511+0.035249i,0.014468+0.025509i,0.0046783+0.0060137i,-0.0037556-0.0060177i,-0.0033769-0.013742i,-0.0012982-0.024033i,0.0028017-0.025694i,0.010124-0.016928i,0.015094-0.0085858i
0.057023+0.018654i,0.012508+0.10056i,-0.13398+0.10186i,-0.26768+0.0055574i,-0.24508-0.059082i,-0.12699-0.054957i,-0.05052-0.033536i,-0.040675-0.0087705i,-0.047528+0.0094683i,-0.049379+0.0041153i,-0.037263-0.0071196i,-0.014439-0.018125i,-0.0013188-0.037665i,-0.00051793-0.054548i,0.0041044-0.053058i,0.014803-0.039261i,0.019854-0.027589i,0.010948-0.022071i,-0.0068119-0.0075115i,-0.017808+0.010547i,-0.017103+0.0080039i,-0.013163-0.0043612i,-0.011953-0.0069967i
0.12167+0.043065i,0.13805+0.015934i,0.076878+0.012601i,-0.034542+0.099532i,-0.083441+0.18983i,-0.045301+0.17636i,-0.022481+0.10557i,-0.020402+0.067626i,0.0010968+0.053729i,0.013394+0.037607i,0.0034909+0.029468i,-0.0094307+0.023372i,-0.02127+0.021925i,-0.024624+0.031853i,-0.016327+0.029566i,-0.0082661+0.013215i,-0.0012383+0.0045688i,0.0095775+0.0081358i,0.023179+0.011919i,0.032775+0.011324i,0.031429+0.012468i,0.021327+0.013628i,0.0081465+0.015921i
-0.20078+0.12825i,-0.28352+0.23633i,-0.18226+0.3213i,0.048508+0.27013i,0.15568+0.11155i,0.10807+0.026803i,0.074462+0.038049i,0.07432+0.027458i,0.050227-0.0089149i,0.012552-0.027508i,-0.012858-0.022091i,-0.011691-0.0060735i,0.0051316-0.004017i,0.010177-0.013384i,-0.0029986-0.01304i,-0.013966+0.0034835i,-0.0087938+0.021067i,-0.0014071+0.019668i,-0.0052691-0.00029458i,-0.013494-0.018519i,-0.015737-0.020592i,-0.011415-0.010208i,-0.006361-0.0035758i
0.1067-0.22877i,0.27636-0.39283i,0.41905-0.47035i,0.45767-0.40899i,0.37075-0.27863i,0.18642-0.18131i,0.028623-0.1289i,-0.030753-0.086993i,-0.035698-0.054664i,-0.020487-0.027556i,0.00067312-0.012159i,0.014825-0.0034268i,0.024841+0.012219i,0.033978+0.032966i,0.041211+0.047147i,0.036281+0.045496i,0.018086+0.037245i,0.0026624+0.032325i,-0.0033639+0.027978i,-0.0092235+0.02379i,-0.017659+0.018631i,-0.017339+0.0098088i,-0.009611+0.00028861i
-0.040383+0.12471i,-0.17285+0.22593i,-0.34648+0.20435i,-0.46781+0.046546i,-0.45024-0.084528i,-0.27975-0.077134i,-0.10322-0.032888i,-0.038498-0.035746i,-0.048036-0.029923i,-0.054037-0.010157i,-0.038254-0.002922i,-0.021462-0.0081568i,-0.016685-0.025659i,-0.021361-0.04852i,-0.027006-0.06068i,-0.026258-0.054985i,-0.024783-0.041963i,-0.024283-0.02438i,-0.013734-0.0016736i,0.004298+0.013532i,0.010714+0.015116i,0.0021705+0.01011i,-0.0025159+0.0048054i
0.10208-0.057813i,0.18375-0.12902i,0.17746-0.12201i,0.075448+0.10126i,0.041278+0.3642i,0.092687+0.35666i,0.089967+0.18089i,0.049845+0.080991i,0.052709+0.039975i,0.05821+0.013048i,0.046286+0.011422i,0.025134+0.019121i,0.00023071+0.03905i,-0.0080938+0.058502i,-0.0089682+0.050568i,-0.021016+0.025249i,-0.032291+0.008305i,-0.022582+0.0028039i,0.0037564-0.0068291i,0.023529-0.028011i,0.027735-0.040477i,0.026851-0.033788i,0.022302-0.019688i
-0.22959+0.10049i,-0.39487+0.23205i,-0.35436+0.31356i,-0.1+0.1763i,0.075473-0.070128i,0.068712-0.14121i,0.054364-0.060879i,0.067902-0.0227i,0.038408-0.031806i,-0.00659-0.033323i,-0.031217-0.030135i,-0.02966-0.016544i,-0.0062806-0.012259i,0.0098564-0.025129i,0.0112-0.031005i,0.011475-0.026256i,0.008025-0.024453i,-0.010342-0.027737i,-0.040164-0.019569i,-0.057747+0.0013585i,-0.047164+0.012608i,-0.025249+0.008986i,-0.0081349+0.0033344i
0.26065-0.25237i,0.43416-0.445i,0.41779-0.49021i,0.21751-0.32281i,0.039928-0.12405i,-0.064079-0.034299i,-0.11747-0.0076979i,-0.091381+0.016328i,-0.025939+0.029938i,0.022179+0.026873i,0.038409+0.013371i,0.025473-0.0055026i,0.0074397-0.011508i,0.0084973-0.0052878i,0.025055-0.004071i,0.036345-0.013196i,0.036126-0.018953i,0.03588-0.0088225i,0.046009+0.0074073i,0.056995+0.018574i,0.051707+0.021248i,0.033085+0.016955i,0.017079+0.013023i
-0.14889+0.29374i,-0.29495+0.50643i,-0.40939+0.55232i,-0.44387+0.40196i,-0.39087+0.21959i,-0.21712+0.12175i,-0.043122+0.075117i,0.00054837+0.03946i,-0.014504+0.020031i,-0.024747+0.0089456i,-0.027301+0.011013i,-0.013694+0.013908i,-0.0076749-0.0042887i,-0.027868-0.022097i,-0.045088-0.020381i,-0.033459-0.008967i,-0.0052412-0.003973i,0.011994-0.011992i,0.0052234-0.021151i,-0.010644-0.022319i,-0.015762-0.014768i,-0.013807-0.0016627i,-0.011166+0.0049209i
0.13754-0.16062i,0.35605-0.32116i,0.56745-0.37754i,0.64178-0.18805i,0.5955+0.088201i,0.45549+0.14223i,0.25939+0.027896i,0.11885-0.017719i,0.065467-0.0091598i,0.039333-0.0044914i,0.02511+5.7583e-05i,0.023316+0.0002592i,0.024938+0.015741i,0.040312+0.04621i,0.050032+0.061142i,0.035997+0.064524i,0.020148+0.068969i,0.014483+0.065398i,0.01085+0.044353i,-0.0016653+0.013574i,-0.019246-0.0098518i,-0.024318-0.019078i,-0.021862-0.01704i
-0.30684+0.091017i,-0.55374+0.20022i,-0.59294+0.13309i,-0.40377-0.25433i,-0.25799-0.59512i,-0.21437-0.50256i,-0.13075-0.21937i,-0.057344-0.082903i,-0.06325-0.033519i,-0.074838+0.0075024i,-0.063509+0.029688i,-0.035503+0.039372i,-0.0014458+0.019121i,0.0072171-0.017639i,0.0004253-0.035628i,-0.0046066-0.031901i,-0.018565-0.014423i,-0.040707+0.006363i,-0.047943+0.025213i,-0.026286+0.035277i,0.0022342+0.032191i,0.014234+0.022393i,0.014266+0.0090186i
0.38355-0.30056i,0.5027-0.52691i,0.28969-0.48685i,-0.093342-0.068476i,-0.23888+0.32987i,-0.16143+0.36518i,-0.10801+0.21235i,-0.069807+0.11522i,0.0020623+0.060254i,0.045507+0.0069191i,0.044639-0.02522i,0.014821-0.03497i,-0.021545-0.019764i,-0.032836+0.00065172i,-0.030773+0.00035311i,-0.038297-0.013412i,-0.045191-0.021944i,-0.025227-0.018612i,0.018964-0.019638i,0.046766-0.029553i,0.042702-0.031665i,0.02902-0.020234i,0.022013-0.0064315i
-0.23817+0.45622i,-0.40306+0.76813i,-0.41287+0.89207i,-0.229+0.72265i,-0.039613+0.38323i,0.056885+0.12059i,0.083012+0.029516i,0.050292-0.0010803i,-0.012437-0.029017i,-0.059793-0.032382i,-0.067832-0.01196i,-0.043555+0.011813i,-0.010836+0.02007i,0.0072413+0.021609i,0.015021+0.022897i,0.018856+0.0092586i,0.010084-0.018386i,-0.012263-0.039742i,-0.041594-0.032453i,-0.059008-0.0026366i,-0.053401+0.019757i,-0.036838+0.023736i,-0.020581+0.019434i
0.1619-0.28158i,0.50546-0.49102i,0.84877-0.57365i,0.92001-0.40643i,0.73138-0.134i,0.44887-0.02179i,0.21617-0.059054i,0.10748-0.080398i,0.068154-0.068307i,0.033449-0.048244i,0.0077529-0.033088i,-0.0044082-0.028142i,0.00029559-0.01553i,0.023969-0.0090018i,0.039167-0.016847i,0.037454-0.01324i,0.039099+0.0051554i,0.049288+0.022275i,0.054684+0.023593i,0.041433+0.0091311i,0.014964-0.0034059i,-0.0054956-0.0065107i,-0.013249-0.0063504i
-0.30534+0.076559i,-0.5797+0.20049i,-0.67505+0.12256i,-0.58302-0.27458i,-0.52638-0.56523i,-0.4536-0.40041i,-0.26393-0.10539i,-0.12589-0.0032894i,-0.080129+0.018917i,-0.035407+0.041045i,-0.00033881+0.045903i,0.01986+0.043689i,0.020475+0.01784i,-0.011289-0.0072539i,-0.036796-0.0087332i,-0.034004-0.0094206i,-0.026451-0.011391i,-0.03153-0.0058772i,-0.034667+0.0057655i,-0.017542+0.0089363i,0.0079311-0.0051376i,0.017373-0.016176i,0.018898-0.013164i
0.46906-0.26111i,0.56032-0.5132i,0.28136-0.43996i,-0.086083+0.10161i,-0.11489+0.60715i,0.052121+0.5949i,0.083715+0.30589i,0.059655+0.1309i,0.079456+0.048986i,0.079946-0.016015i,0.057608-0.04971i,0.017891-0.061197i,-0.028542-0.036072i,-0.042435+0.004261i,-0.034457+0.022934i,-0.028026+0.024219i,-0.023525+0.018626i,-0.00824+0.011924i,0.01772+0.0004018i,0.029797-0.01153i,0.021267-0.015254i,0.0074949-0.013829i,-0.0012692-0.013636i
-0.34069+0.58362i,-0.46941+0.9307i,-0.39515+0.95359i,-0.17105+0.55093i,0.0011096+0.032594i,0.055923-0.19208i,0.072734-0.12867i,0.05098-0.051973i,-0.0058651-0.031733i,-0.034615-0.020713i,-0.020676-0.0046947i,0.008948+0.013308i,0.041328+0.013905i,0.067141-0.0053933i,0.075574-0.019902i,0.062468-0.018461i,0.034347-0.0022039i,0.0016248+0.014717i,-0.021924+0.020491i,-0.021665+0.020336i,-0.004105+0.019848i,0.01182+0.015008i,0.015088+0.0074768i
0.11202-0.46008i,0.4038-0.69974i,0.63944-0.6958i,0.58008-0.3897i,0.34143-0.037208i,0.14423+0.044448i,0.019761-0.054642i,-0.020122-0.07017i,-0.0052652-0.023793i,-0.018431+0.0098276i,-0.04512+0.027542i,-0.042262+0.023657i,-0.027979+0.007435i,-0.028882-0.010124i,-0.042671-0.024665i,-0.045394-0.020947i,-0.020577-0.0082i,0.0086677-0.0063519i,0.017135-0.011962i,0.0052727-0.014768i,-0.0086277-0.013143i,-0.0063529-0.0052383i,9.4123e-05+0.0040999i
-0.20644+0.079168i,-0.50654+0.24989i,-0.6169+0.26444i,-0.42509-0.026787i,-0.2519-0.29739i,-0.21243-0.20825i,-0.14464+0.023668i,-0.087281+0.090886i,-0.075215+0.08229i,-0.035153+0.082348i,0.0055022+0.069966i,0.026643+0.053766i,0.033191+0.027541i,0.022261+0.015674i,0.015463+0.024971i,0.006008+0.01895i,-0.028054-0.0010809i,-0.058612-0.0050102i,-0.051766+0.01121i,-0.021212+0.02362i,-0.0020203+0.021604i,0.0013541+0.015814i,0.0076526+0.012432i
0.39643-0.034523i,0.47483-0.22773i,0.21552-0.24215i,-0.088818+0.090505i,-0.032505+0.42269i,0.19546+0.38809i,0.2438+0.14738i,0.17739+0.001022i,0.12658-0.051942i,0.071202-0.077366i,0.016462-0.069651i,-0.017507-0.043328i,-0.029329-0.004718i,-0.0088813+0.023787i,0.02868+0.017076i,0.050536-0.012081i,0.047842-0.0397i,0.033192-0.054226i,0.016123-0.049484i,-0.00028049-0.025007i,-0.0092643+0.0030068i,-0.012442+0.020651i,-0.013776+0.021884i
-0.36777+0.40786i,-0.33237+0.61274i,-0.12169+0.5283i,0.004589+0.1453i,-0.050154-0.24583i,-0.11008-0.37242i,-0.11456-0.26019i,-0.10616-0.09606i,-0.085723-0.0064458i,-0.073065+0.018092i,-0.05366+0.030056i,-0.017376+0.026992i,0.017563+0.0063472i,0.043165-0.019536i,0.050775-0.037429i,0.041164-0.030142i,0.034327-0.0027768i,0.034825+0.021581i,0.026281+0.027583i,0.0075387+0.014765i,-0.0043663-0.0034219i,-0.0026735-0.012943i,0.00015831-0.011686i
0.10526-0.63562i,0.18422-0.8786i,0.2336-0.7699i,0.21881-0.25645i,0.15312+0.31373i,0.062631+0.52615i,0.0053105+0.40884i,0.03179+0.19566i,0.048413+0.017871i,0.0011466-0.046328i,-0.044106-0.027425i,-0.053576+0.0035208i,-0.051485+0.028851i,-0.061536+0.053187i,-0.081562+0.064274i,-0.093183+0.056556i,-0.083396+0.041006i,-0.053362+0.035806i,-0.013808+0.037834i,0.011204+0.02468i,-0.00035001+0.0028665i,-0.023681-0.0047895i,-0.022269-0.0017796i
-0.010176+0.23432i,-0.24437+0.4073i,-0.34587+0.39759i,-0.11651+0.079097i,0.13881-0.27684i,0.16837-0.3399i,0.10287-0.21512i,0.00084766-0.10838i,-0.077944-0.0061753i,-0.041386+0.039221i,0.015659+0.0062327i,0.020177-0.023019i,0.010519-0.032296i,0.015737-0.028344i,0.034664-0.0093565i,0.037902+0.0037983i,0.010088+0.0090865i,-0.021046+0.0094924i,-0.030177-0.0075833i,-0.015482-0.040648i,0.0011354-0.062496i,-0.0024136-0.053589i,-0.010225-0.028268i
0.15388+0.22515i,0.27639+0.19327i,0.13316+0.10883i,-0.22971+0.12362i,-0.3486+0.22157i,-0.12012+0.19001i,0.060017-0.014768i,0.043307-0.1654i,-0.025195-0.19312i,-0.085368-0.17048i,-0.10756-0.10992i,-0.074286-0.052756i,-0.038884-0.023122i,-0.022799-0.016233i,-0.020438-0.045233i,-0.022049-0.088124i,-0.006769-0.10718i,0.0096844-0.090608i,0.016274-0.037651i,0.033245+0.018553i,0.053812+0.030395i,0.054113+0.007779i,0.043643-0.0091562i
-0.22475-0.11317i,-0.07339-0.11314i,0.14212-0.059333i,0.094061+0.07028i,-0.20585+0.18326i,-0.40405+0.22997i,-0.3088+0.26349i,-0.0217+0.23588i,0.20313+0.10065i,0.22801-0.021606i,0.14981-0.066621i,0.077505-0.060261i,0.03283-0.031843i,0.00037937-0.0026608i,-0.0083691+0.030424i,0.019503+0.066104i,0.038161+0.094106i,0.018967+0.099206i,-0.023663+0.071015i,-0.060895+0.04637i,-0.065738+0.047539i,-0.043149+0.044513i,-0.02211+0.030811i
0.080454-0.34697i,-0.18274-0.4923i,-0.36646-0.37265i,-0.10552-0.054083i,0.38466+0.15741i,0.5968+0.13126i,0.41757+0.029607i,0.10621-0.013849i,-0.091584+0.010285i,-0.13782+0.032355i,-0.11828+0.042196i,-0.07807+0.049846i,-0.033399+0.04039i,-0.0047211+0.023333i,0.0063704+0.010361i,0.0028607-0.0087385i,-0.0097221-0.033633i,-0.0095212-0.038651i,0.019013-0.028473i,0.041194-0.033416i,0.02895-0.042502i,0.0086114-0.030332i,0.003286-0.0098524i
0.039341+0.34279i,0.045288+0.52998i,0.073763+0.49505i,0.10093+0.16842i,0.032238-0.18544i,-0.037054-0.31191i,0.012907-0.26682i,0.097661-0.17403i,0.14783-0.075374i,0.17104-0.0026572i,0.15751+0.0027861i,0.093307-0.048624i,-0.0047632-0.093902i,-0.070623-0.090136i,-0.064047-0.050347i,-0.025416+0.002253i,0.00064898+0.054533i,0.01001+0.067974i,0.013888+0.032911i,0.011844-0.0016938i,0.0019534-0.009391i,-0.0014966-0.0049266i,0.005442-0.0012641i
-0.021718+0.15529i,0.14102+0.19544i,0.11046+0.0093635i,-0.30989-0.12928i,-0.64182+0.077166i,-0.49054+0.33011i,-0.16422+0.2794i,-0.02382+0.10534i,-0.015671+0.0097301i,-0.027199-0.038639i,-0.021961-0.055912i,0.021095-0.042146i,0.093683-0.038837i,0.15682-0.071294i,0.17186-0.10608i,0.13739-0.12662i,0.058159-0.14513i,-0.032183-0.11554i,-0.070284-0.021747i,-0.052851+0.039949i,-0.032223+0.022177i,-0.033727-0.010048i,-0.042945-0.010197i
0.042749-0.52677i,0.064047-0.83957i,0.091397-0.74664i,0.23279-0.18194i,0.54192+0.29284i,0.72179+0.27014i,0.4934+0.053283i,0.15025+0.045696i,-0.024355+0.16103i,-0.10365+0.23268i,-0.11059+0.25522i,-0.046179+0.21543i,-0.020585+0.14206i,-0.059579+0.11644i,-0.096528+0.14799i,-0.093394+0.1826i,-0.030188+0.16808i,0.070446+0.077532i,0.11617-0.058023i,0.061398-0.14243i,-0.013325-0.1383i,-0.03537-0.097187i,-0.022011-0.063976i
-0.13176+0.25964i,-0.48895+0.38441i,-0.78463+0.48839i,-0.63168+0.36293i,-0.32181+0.06552i,-0.19548-0.0064557i,-0.12832+0.12832i,-0.073054+0.093571i,-0.10947-0.050608i,-0.13557-0.099224i,-0.087062-0.087898i,-0.044951-0.067131i,-0.025004-0.055376i,0.00051007-0.067381i,0.010758-0.070612i,0.018317-0.058916i,0.024466-0.060068i,-0.0086899-0.035735i,-0.025456+0.039071i,0.026083+0.060892i,0.064502-0.005951i,0.038751-0.062515i,0.00088367-0.07009i
0.43329+7.6159i,3.5902+7.4765i,7.4201+6.9152i,8.4345+3.5538i,6.9615-0.066944i,4.0236-2.2524i,1.0747-1.9163i,-0.25887-0.21251i,0.12522+0.96024i,0.8505+0.69289i,0.57332-0.22302i,-0.24172-0.64153i,-0.87573-0.53616i,-1.2354-0.08149i,-1.0907+0.41875i,-0.61053+0.56313i,-0.20158+0.36115i,-0.060916+0.026693i,-0.16999-0.17883i,-0.3024-0.17373i,-0.30935-0.16706i,-0.23884-0.20058i,-0.11858-0.20865i
0.077268+0.16854i,0.21606+0.16428i,0.35127-0.054978i,0.31064-0.38059i,0.09449-0.45702i,-0.064259-0.2111i,-0.0042519-0.0086251i,0.046951-0.050644i,-0.096558-0.099201i,-0.21345+0.0050579i,-0.14282+0.089976i,-0.013823+0.056234i,0.035527-0.010316i,0.01352-0.026256i,0.0060515+0.0058402i,0.052847+0.034565i,0.11677+0.032871i,0.1333+0.00083295i,0.083919-0.024069i,0.013853-0.026485i,-0.041127-0.030772i,-0.064256-0.039353i,-0.060837-0.040327i
-0.040163-0.41125i,-0.16601-0.78058i,-0.28388-0.75383i,-0.22179-0.3053i,-0.020695+0.050347i,0.0553+0.014606i,-0.092952-0.15528i,-0.22266-0.19109i,-0.23662-0.15136i,-0.21964-0.083614i,-0.15298-0.0060333i,-0.075058+0.00164i,-0.060632-0.02951i,-0.072036-0.020889i,-0.073636+0.019991i,-0.061547+0.035984i,-0.044939-0.0018354i,-0.038253-0.032761i,-0.0073871-0.012722i,0.028667+0.00089998i,0.016491-0.0075706i,-0.0039172-0.00834i,-0.0059547-0.026257i
-0.15537+0.32554i,-0.2847+0.62741i,-0.36025+0.73401i,-0.25302+0.44989i,-0.074102+0.022296i,0.005215-0.18533i,0.001154-0.1626i,-0.067784-0.10589i,-0.1632-0.071309i,-0.18775-0.046693i,-0.14932-0.039828i,-0.10123-0.036037i,-0.049244-0.039083i,-0.0041554-0.064379i,0.016902-0.081097i,0.03778-0.079233i,0.066794-0.091015i,0.084483-0.091643i,0.082356-0.067058i,0.045722-0.057729i,-0.0096293-0.050714i,-0.036957-0.027026i,-0.035305-0.0061113i
0.22639-0.07766i,0.41583-0.024772i,0.62246+0.036502i,0.70109+0.091199i,0.65567+0.12733i,0.50849+0.124i,0.29835+0.10994i,0.146+0.12092i,0.07685+0.13318i,0.027596+0.12022i,-0.0060645+0.078912i,-0.028364+0.031667i,-0.058357+0.035645i,-0.070871+0.073082i,-0.05376+0.098306i,-0.020325+0.099717i,0.01689+0.077171i,0.045416+0.031978i,0.037496-0.030946i,-0.014295-0.06177i,-0.051537-0.040105i,-0.040347-0.02323i,-0.023396-0.0361i
-0.11467+0.23453i,-0.14696+0.29995i,-0.071314+0.29096i,0.039248+0.13036i,-0.0092226-0.11654i,-0.19652-0.20778i,-0.2917-0.091865i,-0.20897+0.044337i,-0.049846+0.093151i,0.076065+0.086265i,0.10601+0.050534i,0.044144+0.019314i,-0.017186-0.0090686i,-0.045368-0.053641i,-0.061724-0.077231i,-0.067024-0.060326i,-0.070111-0.034864i,-0.07791-0.023974i,-0.080861-0.016679i,-0.061399+0.012199i,-0.022134+0.044623i,-0.00056176+0.041751i,-0.0076385+0.022281i
0.080419-0.26468i,0.20418-0.43902i,0.25614-0.49542i,0.1981-0.37918i,0.16479-0.21136i,0.16113-0.16892i,0.096467-0.19225i,0.064161-0.16491i,0.10239-0.14469i,0.1218-0.14152i,0.10171-0.10864i,0.072115-0.07386i,0.046335-0.042582i,0.036505-0.011472i,0.033254+0.0025774i,0.035376+0.011412i,0.055235+0.021607i,0.069961+0.021819i,0.053476+0.017593i,0.031886+0.015127i,0.021788+0.012676i,0.0096588+0.014247i,0.00211+0.022311i
-0.013485-0.079169i,-0.084962-0.11942i,-0.093305-0.15912i,0.066653-0.19028i,0.19758-0.23796i,0.13318-0.24512i,0.045042-0.16421i,0.032292-0.078694i,0.0272-0.023664i,0.035746+0.00010241i,0.042462-0.022663i,0.026034-0.039436i,0.0036716-0.023308i,-0.0087266+0.011969i,0.010916+0.041555i,0.046076+0.032288i,0.06002-0.0037377i,0.041746-0.026466i,0.0046957-0.017539i,-0.016935+0.0051819i,-0.015142+0.0068594i,-0.015812-0.0098106i,-0.019067-0.013655i
-0.088395+0.28657i,-0.26202+0.41371i,-0.44901+0.33661i,-0.57433+0.016742i,-0.6499-0.29784i,-0.63202-0.31058i,-0.43716-0.11411i,-0.19956-0.024708i,-0.085591-0.046203i,-0.061343-0.039479i,-0.046473-0.019692i,-0.043471-0.022651i,-0.047265-0.029896i,-0.042275-0.030703i,-0.026224-0.023497i,-0.0073522-0.020756i,-0.0027655-0.031814i,-0.0033161-0.038628i,0.0064494-0.029512i,0.016911-0.019898i,0.018868-0.01438i,0.017278-0.0074949i,0.014133-0.0066469i
-0.051046-0.080553i,0.14136-0.0065561i,0.3687+0.24294i,0.34717+0.51929i,0.12608+0.70755i,-0.014884+0.67322i,-0.074776+0.39597i,-0.13116+0.1671i,-0.11351+0.078943i,-0.044949+0.025591i,-0.018777+0.019643i,-0.010115+0.053086i,-0.0012063+0.051174i,-0.015187+0.025467i,-0.032523+0.010627i,-0.035752-0.0073355i,-0.045579-0.033648i,-0.064009-0.044994i,-0.06382-0.034517i,-0.047525-0.012003i,-0.033551+0.015313i,-0.025614+0.034251i,-0.020324+0.038804i
0.27712+0.0099488i,0.37377-0.065702i,0.29814-0.27947i,0.16392-0.45112i,0.17643-0.44145i,0.30021-0.301i,0.32957-0.14516i,0.18958-0.037929i,0.0070455+0.059869i,-0.068475+0.12243i,-0.041746+0.098246i,-0.0028785+0.050435i,0.027362+0.041374i,0.05155+0.035853i,0.045839+0.012944i,0.017219+0.006714i,0.0050388+0.028941i,0.013097+0.037943i,0.010883+0.017477i,0.00064356+0.00048988i,0.0023342-0.0010305i,0.0078121+0.0017692i,0.0058232+0.0046632i
-0.1868-0.1316i,-0.32486-0.23239i,-0.24781-0.1813i,0.012796-0.020735i,0.18823+0.0083807i,0.14939-0.10401i,0.042337-0.10521i,0.075929+0.024087i,0.1904+0.069015i,0.20741+0.014848i,0.14212-0.026009i,0.074254-0.032509i,0.021579-0.010006i,0.0012989+0.031353i,0.012589+0.058198i,0.029712+0.062396i,0.040766+0.054249i,0.038186+0.042897i,0.026324+0.03155i,0.023487+0.01704i,0.030439+0.0044332i,0.036879-0.0028304i,0.036117-0.011548i
-0.02968+0.14012i,-0.047143+0.18232i,-0.20051+0.099061i,-0.44185-0.073463i,-0.64743-0.15112i,-0.69645-0.076724i,-0.52698-0.0011874i,-0.30257-0.0219i,-0.14753-0.053518i,-0.045716-0.05662i,-0.0097774-0.048152i,-0.010092-0.023895i,0.0060833-0.02923i,0.0065869-0.073369i,-0.024873-0.10398i,-0.054448-0.10084i,-0.06012-0.075914i,-0.046572-0.038605i,-0.027329+0.00087136i,-0.018492+0.016596i,-0.026942+0.0061093i,-0.036593-0.0026558i,-0.03218-0.0017357i
0.0099422-0.16043i,0.034986-0.16035i,0.12923-0.035893i,0.29147+0.16946i,0.42156+0.36276i,0.44349+0.4004i,0.33183+0.22038i,0.16421+0.010521i,0.037449-0.074217i,-0.015228-0.057907i,-0.012581-0.02448i,0.0071871-0.012224i,0.022143+0.0047127i,0.032912+0.0333i,0.023925+0.052627i,-0.0014486+0.061422i,-0.012001+0.06295i,0.011745+0.052106i,0.052244+0.024756i,0.064062+0.0015178i,0.04669+0.0035779i,0.034537+0.013779i,0.028665+0.01232i
-0.04457+0.28293i,-0.12056+0.47172i,-0.18258+0.47534i,-0.18106+0.22253i,-0.10487-0.090982i,-0.0089687-0.21266i,0.063634-0.12762i,0.068286-0.0052968i,0.026689+0.051044i,-0.0086638+0.046101i,-0.014287+0.021767i,-0.010923-0.01082i,-0.029888-0.04209i,-0.048902-0.044707i,-0.035917-0.021058i,-0.0066553+0.0042125i,0.008411+0.019395i,-0.0015735+0.016205i,-0.022471+0.00056212i,-0.02524-0.007905i,-0.0016998-0.0064087i,0.022656-0.010112i,0.02213-0.020336i
0.17339-0.20523i,0.38954-0.40908i,0.48331-0.49467i,0.30278-0.36063i,0.088954-0.18315i,0.016037-0.18746i,-0.051966-0.22928i,-0.075359-0.1349i,-0.02145-0.042082i,0.002291-0.006132i,0.004883+0.0097527i,0.011685-0.0052322i,0.014274-0.01774i,0.023619-0.023905i,0.024286-0.039415i,0.023349-0.039562i,0.043625-0.026687i,0.057899-0.018753i,0.033568-0.01676i,-0.01403-0.013421i,-0.043544-0.012056i,-0.040863-0.018449i,-0.02724-0.020064i
-0.17087-0.075765i,-0.35509-0.066807i,-0.40036+0.053302i,-0.11506+0.21196i,0.19267+0.21568i,0.1818+0.15178i,0.079427+0.13676i,0.06915+0.081272i,0.061807+0.013361i,0.047184-0.0056766i,0.029291-0.0058459i,-0.0014192+0.0047332i,-0.020621+0.018524i,-0.037522+0.031033i,-0.043676+0.049282i,-0.025822+0.049901i,-0.012051+0.022472i,-0.012295-0.0029743i,-0.011094-0.0074582i,-0.0011457+0.0024407i,0.0042175+0.016956i,-0.0061931+0.026411i,-0.011735+0.03176i
