-0.00032178+0.00073473i,-0.00090544+0.00045573i,-7.651e-05-3.1702e-05i,0.00016589-0.00037733i,0.00042411-0.00027035i,0.00014709+3.5414e-05i,-0.00072083-0.00032326i,-0.0011505+0.00014569i,-0.00083725+0.00053485i,-0.00079853-0.0006373i,-0.0008701-0.0014026i,-0.00072472-0.00063618i,0.0001177+0.00021755i,0.0003383+0.00054533i,-0.00040787+0.00017338i,-0.00027779-0.00028749i,-0.00037043-0.00027862i,-0.00016523-0.00015818i,8.5495e-05+0.00074217i,0.00026714+0.0014941i,0.00047465+0.0010252i,0.00058021-0.00018842i,0.00083509-0.00043163i
0.00056391+0.00059943i,0.00033819-0.00024965i,0.00090028-0.00096022i,0.00034223-0.00063987i,-0.00027919-0.00031413i,-0.00017679+0.00016001i,0.00027125-0.00025843i,-0.00051573-0.00012228i,-0.0012007+0.00045881i,-0.0011579+3.6653e-05i,-0.0010453+5.4005e-05i,-0.00058199+0.0012497i,-0.00034801+0.0012378i,-0.00030653+0.00067297i,-0.00073474+0.0012019i,-0.0010095+0.0010027i,-7.7565e-05+0.00022587i,0.0004577-0.00041956i,0.00021819-0.00064155i,3.6803e-05+8.034e-05i,0.00027573+0.00012801i,0.00047749+0.00034215i,0.00052488+0.00083461i
0.00052405-0.0021218i,-0.00030091-0.002032i,-0.0021503-0.0019202i,-0.0017986-0.0016393i,-0.00048548-0.00035963i,0.00097621-0.00027248i,0.0014237-0.0012635i,0.00060513-0.0022241i,0.00039703-0.0015807i,0.00046211-0.00032128i,0.00023755+0.00039515i,-0.00033475+0.00049501i,-0.00029959+0.00065764i,0.0005131-6.2297e-05i,0.00023644-0.00064238i,-0.00026169-0.00044556i,-0.00080223-0.00013899i,-0.001186+5.574e-05i,-0.00044309+0.00061644i,0.00054045+0.0005269i,-0.00011626+6.2388e-06i,-0.00073437+4.0269e-05i,-5.6834e-05+0.00058782i
0.00070364+0.0012147i,-0.00011122+0.0013055i,-0.00062989+4.1276e-05i,0.00043013+0.00026508i,0.00056124+0.00044319i,9.8081e-05-0.00027758i,0.00035428-0.00070917i,0.00032169-0.00067708i,9.7979e-05-0.00031629i,3.3826e-05-0.00026475i,-0.00018555-0.00063309i,-0.00079861-0.00037731i,-0.00078574+0.00049584i,-5.1853e-05+0.0011151i,-0.00011155+0.0010006i,-0.00025931+0.0007031i,-0.00030912+0.00091441i,-0.00017482+0.0015386i,0.00058175+0.0012542i,0.00093125+0.0006106i,0.00058781+0.0004125i,5.8124e-05+0.00049504i,-0.00032962+0.00012144i
-0.00085042-0.00273i,8.7803e-05-0.0033325i,-0.00026635-0.0038441i,-0.0012974-0.0024204i,-0.00070139-0.00073049i,0.00027462+0.00046635i,0.00027392+0.00012382i,-0.00013112-0.0003632i,-0.00039223-0.00021959i,0.00018637-0.00017201i,0.00066693+0.00019921i,0.00062014+0.00050083i,0.00031364+0.00042944i,-0.0011011-0.00016579i,-0.002155-0.00093158i,-0.0018605-5.1485e-05i,-0.0014029+0.00072018i,-0.00065335+0.00023421i,3.078e-05-0.00030787i,0.0001731-0.00055403i,0.00030139-0.00038981i,0.00040087-0.0001146i,0.00055324-0.00052032i
0.0016577-0.0028638i,0.0010326-0.0022962i,-0.00023408-0.0017002i,-0.0011736-0.00087885i,-0.0023626-0.0010634i,-0.0023315-0.0011718i,-0.0010235-0.00051847i,-0.00014092-8.2458e-05i,0.00039749-0.00078104i,0.00025402-0.00072834i,-0.00026556+0.00017776i,-0.0002283+0.00034082i,-3.0209e-05+2.2471e-05i,-0.00025144+0.00035779i,-0.0010922+0.00060986i,-0.0017538-0.00052722i,-0.00072885-0.0015306i,0.00062479-0.00087326i,0.00051858-0.00015173i,0.00045705+0.00042926i,0.00070576-9.2151e-05i,-0.00024017-0.00037036i,-0.00056252+0.00042523i
0.0082934-0.0029532i,0.0082105-0.0052215i,0.0028361-0.0087276i,-0.0016523-0.007379i,-0.0032217-0.0041749i,-0.0024802-0.0011729i,0.00044115+0.00019291i,0.0022567+9.098e-05i,0.0018373-0.0011048i,-0.00011768-0.0015107i,-0.0015977-3.65e-05i,-0.0014918+0.00089482i,-0.00072294+0.001848i,-0.001065+0.0029627i,-0.0018384+0.0035469i,-0.0013815+0.0029125i,-0.00064661+0.0014054i,-0.00075251+0.00040273i,-0.00033335-0.0001609i,0.0012643-0.00051088i,0.0011607-0.000773i,-8.7204e-05-0.00073649i,-0.00075037+5.7394e-05i
-0.0048394+0.0048998i,-0.0052947+0.0059355i,-0.00078045+0.0073781i,0.0022764+0.0046987i,0.0026726+0.00098389i,0.0019827-0.0021451i,0.00018754-0.0020153i,-0.00062213-0.0005134i,-0.00055721-0.00021351i,0.00068124-9.3003e-05i,0.0016323-0.0004672i,0.0012764-0.00095377i,0.00078185-0.0012243i,0.00044137-0.0018372i,0.00049955-0.0025346i,0.00022383-0.00090186i,-0.00056883+0.00055228i,-0.00044849+0.00019247i,-0.00033222-0.00020773i,-0.0010402+9.8947e-05i,-0.0014039+0.0005226i,-0.00034557+0.00079875i,0.00060121+0.00036614i
-0.0035418-0.0024355i,-0.0033996-0.00088704i,-0.0018172+0.0014269i,0.00052164+0.0018782i,0.0023826+0.0014029i,0.0030969+0.00071798i,0.0023097-0.00014659i,0.00038064-0.00052993i,-0.00031963-0.00052297i,9.3522e-05-0.00024851i,0.00056302-0.00027593i,0.00069921-0.00061809i,0.00057617-0.0012482i,0.00075286-0.0013949i,0.0010367-0.001343i,0.0014139-0.00094032i,0.0010423-0.00045164i,-0.0003106-0.00037805i,-0.0011881+0.0004903i,-0.0011788+0.0010946i,-0.00082721+0.00031468i,9.0348e-05+0.00025806i,0.001082+0.00013783i
0.00051961+0.00088331i,-0.00029361+0.0021223i,-0.00021308+0.0022475i,0.00011999+0.00085776i,-0.00025073-0.0001435i,-0.00059416-0.00032056i,-0.0006666+0.00062548i,-0.00036818+0.0013232i,-0.00037925+0.0011111i,-0.00029554+0.00067739i,-1.9511e-05+0.00043265i,0.00012028+0.00065127i,2.3288e-05+0.00073424i,6.49e-05-0.00031662i,0.00012485-0.001161i,-3.8013e-05-0.0010042i,-0.00011106-0.00070947i,8.2042e-05+3.0346e-05i,-6.8089e-05+0.00048318i,-0.00020676+0.00027425i,0.00026198+0.00014245i,3.1984e-05+5.0037e-05i,-0.00060202-0.00033996i
0.0022535+0.001977i,0.001885+0.0016017i,0.0015734+0.00059434i,0.00090122-1.6967e-05i,0.00085345-0.00078992i,0.0010846-0.0016271i,0.0015282-0.0013788i,0.001941-3.2223e-06i,0.0010936+0.00047045i,0.00099313-7.8052e-07i,0.0011412-0.00092294i,-5.5224e-05-0.00117i,-0.00070799-0.00049583i,-0.00092785-0.00023512i,-0.0011418-0.0007837i,-0.0010877-0.0012453i,-0.00035137-0.0014042i,0.00020969-0.0011572i,0.00026699-0.00040509i,0.00012613+0.00079406i,-0.00016881+0.0011424i,-0.00044148+0.00015589i,-0.00032153-0.00051718i
