-0.0015718-0.0013915i,-0.001784-0.0016887i,-0.0023577-0.00085664i,-0.0024729-1.409e-05i,-0.0026947+0.0010286i,-0.0026483+0.0021951i,-0.0017879+0.0019996i,-0.00052892+0.0014615i,0.00043037+0.00080166i,0.0012519+0.00050226i,0.0017907+0.00069105i,0.0015709-0.00025601i,0.00067584-0.0013617i,-0.00017497-0.00097517i,-5.6223e-05-7.5132e-05i,0.00072589-0.00014336i,0.00045084+7.9691e-05i,-0.0008409+0.00031185i,-0.0011403+0.00048046i,-0.00090744+0.00088916i,-0.00084505+0.0008998i,-0.00029298+0.00051123i,-0.00013445+0.00025935i
-0.013877-0.065501i,-0.0043563-0.08958i,0.048914-0.046453i,0.10502+0.025212i,0.067774+0.053881i,-0.054611+0.061837i,-0.10246+0.066339i,-0.053091+0.036534i,-0.017628-7.6361e-05i,-0.0087433-0.0070568i,-0.001233-0.0053632i,0.0070702-0.0029113i,0.016626+0.0011654i,0.019341+0.0032492i,0.015302+0.003168i,0.0082708+0.00068524i,0.0012724+0.00053872i,-0.0011103+0.0030423i,0.00084294+0.0021168i,0.0016573-0.00057009i,-0.0019931-0.00066708i,-0.0062547+0.00189i,-0.0076858+0.005097i
0.0036369+0.058661i,-0.0040437+0.076338i,-0.043255+0.011174i,-0.091301-0.073352i,-0.058894-0.068925i,0.048138-0.014466i,0.088384+0.002009i,0.039895+0.0038154i,0.0054024+0.016718i,0.0041419+0.013888i,0.0015775+0.0033394i,-0.0075182-0.0051616i,-0.016464-0.012807i,-0.018568-0.015432i,-0.013049-0.013475i,-0.0061462-0.0084436i,-0.00094931-0.0048118i,0.00028668-0.0052823i,-0.0015866-0.0063091i,-0.0016086-0.0058125i,0.0027428-0.0038873i,0.0093787-0.0021617i,0.012578-0.0022588i
0.0025228-0.057459i,0.0066519-0.071576i,0.016612+0.0086261i,0.040811+0.10906i,0.027915+0.079058i,-0.042623-0.022624i,-0.067839-0.052073i,-0.021821-0.039721i,0.0072641-0.039059i,0.0016737-0.027752i,0.0016855-0.0091685i,0.010806+0.0053888i,0.017927+0.015157i,0.017621+0.01656i,0.011443+0.012292i,0.0045682+0.0058321i,-0.000931+0.0031928i,-0.0036785+0.0064705i,-0.0041249+0.0083382i,-0.0049223+0.0051993i,-0.0087264-0.00045698i,-0.013499-0.0038579i,-0.014566-0.0031601i
-0.016336+0.051864i,-0.013794+0.061384i,0.0006131-0.016193i,-0.0049884-0.11213i,-0.019407-0.070392i,0.0024886+0.061712i,0.024111+0.10242i,0.0013365+0.066607i,-0.015594+0.045379i,-0.0049879+0.029836i,-0.0037671+0.0083469i,-0.010968-0.0096757i,-0.014819-0.02229i,-0.014164-0.024604i,-0.0082333-0.018314i,-0.0021427-0.0077004i,0.002344-0.00098733i,0.0034562-0.0021679i,0.00076945-0.0042875i,-0.00037261-0.0026114i,0.0023243+0.0030977i,0.0067916+0.0070865i,0.010056+0.0050888i
0.021589-0.054213i,0.0079434-0.068167i,-0.039139+0.0044194i,-0.056687+0.11083i,-0.0093601+0.087061i,0.028965-0.035045i,0.021355-0.07794i,0.019184-0.044623i,0.020188-0.027427i,0.0073892-0.021636i,0.0034753-0.0068498i,0.0069988+0.0071589i,0.0070173+0.01695i,0.0045839+0.018063i,0.0021131+0.0093542i,-0.00022181-0.0015061i,-0.0051619-0.0056128i,-0.0080439-0.00052852i,-0.0044604+0.0056449i,0.00035523+0.0056345i,0.0014536+0.00054151i,-0.0022296-0.0041055i,-0.006713-0.0045926i
-0.030523+0.039632i,-0.02194+0.058119i,0.04427+0.011293i,0.094464-0.085133i,0.032116-0.099036i,-0.052483-0.0063553i,-0.050943+0.043061i,-0.028353+0.016098i,-0.024075+0.0057167i,-0.011822+0.014797i,-0.0030592+0.0075758i,-0.0012232-0.0069902i,0.0019028-0.019744i,0.0029067-0.022838i,0.00077641-0.014407i,-0.0002314-0.0024311i,0.0023025+0.0048596i,0.0062668+0.0023004i,0.0079343-0.0038608i,0.006426-0.0043733i,0.0049636-4.3757e-05i,0.005666+0.005053i,0.0079101+0.0065561i
0.02969-0.038898i,0.019188-0.061804i,-0.059928-0.038284i,-0.13642+0.043594i,-0.086096+0.09781i,0.030574+0.057724i,0.059858+0.010682i,0.036092+0.017189i,0.03255+0.015148i,0.025306-0.0046605i,0.010659-0.0045643i,4.8236e-05+0.0057774i,-0.0085168+0.013069i,-0.010154+0.015719i,-0.0052033+0.0095449i,-0.0002271+5.7647e-05i,-0.0012116-0.0042659i,-0.0066729-0.0022871i,-0.010535+0.00074067i,-0.010145-2.1918e-05i,-0.0071059-0.005129i,-0.0046542-0.010946i,-0.0057277-0.011486i
-0.043627+0.024907i,-0.046077+0.059387i,0.038928+0.070012i,0.14412+0.01419i,0.11553-0.05933i,-0.0034337-0.069461i,-0.04755-0.03982i,-0.028248-0.030167i,-0.026259-0.022086i,-0.026085-0.0044541i,-0.013064-0.0035045i,-0.00093715-0.011318i,0.0073057-0.014974i,0.008749-0.016306i,0.0032799-0.012453i,-0.002256-0.0047062i,-0.0024926+0.0020623i,0.0019985+0.0037948i,0.0058588+0.0018187i,0.00582+0.0021508i,0.0010743+0.0065525i,-0.0034772+0.011118i,-0.0018487+0.011348i
0.044828-0.021366i,0.054853-0.058053i,-0.023539-0.09934i,-0.14761-0.078134i,-0.15267+0.013945i,-0.049841+0.072104i,0.0055087+0.057033i,0.0043695+0.034321i,0.013086+0.021356i,0.023032+0.0063968i,0.01611+0.0035579i,0.0040204+0.0065144i,-0.0059857+0.0070786i,-0.0087146+0.0078632i,-0.0025424+0.0064269i,0.0045067+0.0019294i,0.0049991-0.0013449i,-0.0010052-0.0010891i,-0.0069281+0.00064525i,-0.006885+0.00038312i,-0.0013674-0.0025394i,0.0030296-0.0061385i,0.0022908-0.0077706i
-0.054582+0.0049028i,-0.079602+0.047609i,-0.021096+0.11915i,0.10362+0.14067i,0.14832+0.060532i,0.085173-0.023862i,0.033694-0.031012i,0.023261-0.017581i,0.0043321-0.017275i,-0.016863-0.011888i,-0.018044-0.007347i,-0.0090807-0.007112i,0.0019189-0.0073363i,0.0075168-0.010468i,0.0031378-0.011796i,-0.0042575-0.0083832i,-0.0060126-0.0026065i,-0.001267+0.0029684i,0.004842+0.0057383i,0.0051901+0.0066407i,0.00087636+0.0080895i,-0.0028104+0.0088052i,-0.0030145+0.0083139i
0.05054+0.00090791i,0.089835-0.034006i,0.060024-0.12251i,-0.052506-0.18644i,-0.12745-0.12796i,-0.10014-0.025907i,-0.052332+0.0064712i,-0.034609+0.007547i,-0.014477+0.017681i,0.0098314+0.017175i,0.014309+0.0086512i,0.0075904+0.0030955i,-0.0011687+0.00047136i,-0.0076274+0.0022572i,-0.0057903+0.0056771i,-0.0002055+0.0059383i,0.0023343+0.003137i,-0.00031584-0.00064945i,-0.0034645-0.0045191i,-0.0015284-0.0078481i,0.00469-0.0089674i,0.010004-0.0081509i,0.008569-0.0075986i
-0.05457-0.017314i,-0.10729+0.0057137i,-0.12072+0.097685i,-0.047528+0.20276i,0.050039+0.1853i,0.068213+0.082468i,0.038811+0.029708i,0.030419+0.014524i,0.019467-0.0083618i,-0.00044748-0.019602i,-0.0056092-0.015682i,-0.0026295-0.0096219i,0.0019336-0.0048362i,0.0068252-0.0047463i,0.0073317-0.0082411i,0.0046594-0.0098024i,0.0013611-0.0071349i,-0.00030839-0.0013988i,-0.0002623+0.0047756i,-0.0024656+0.0080098i,-0.0085413+0.0060413i,-0.014184+0.0018097i,-0.013487+0.00018162i
0.050817+0.024884i,0.11246+0.017983i,0.16018-0.061083i,0.12953-0.17888i,0.032718-0.20128i,-0.024227-0.11238i,-0.017883-0.045149i,-0.013115-0.028011i,-0.0126-0.0041503i,-0.002508+0.015352i,0.0018627+0.01674i,0.00088167+0.011568i,-0.0015429+0.0055044i,-0.0063933+0.0028967i,-0.0066913+0.0035667i,-0.0038596+0.0049014i,-0.0027462+0.0042662i,-0.0014462+0.0011685i,0.00020293-0.0035917i,0.0022911-0.0057027i,0.0062135-0.0029741i,0.0094502+0.00045162i,0.0075665+0.0014778i
-0.042558-0.040349i,-0.11313-0.059503i,-0.19547-0.0021685i,-0.21108+0.12024i,-0.13416+0.17421i,-0.049756+0.12174i,-0.018261+0.065192i,-0.0049077+0.042808i,0.0083006+0.014178i,0.006468-0.014141i,9.9886e-05-0.023002i,-0.00096849-0.01994i,0.00070662-0.011722i,0.0056773-0.0053914i,0.0087641-0.004774i,0.0070068-0.0059514i,0.0028987-0.0048886i,-0.001269+0.00048571i,-0.0039998+0.006711i,-0.0068033+0.0081622i,-0.0093019+0.0036333i,-0.0091568-0.0014805i,-0.0064783-0.001925i
0.032366+0.047853i,0.093855+0.089816i,0.19234+0.072456i,0.25205-0.024789i,0.20167-0.094438i,0.10389-0.077132i,0.048052-0.043566i,0.019628-0.033215i,-0.0051723-0.015942i,-0.010441+0.0072895i,-0.0037515+0.016741i,-0.00090071+0.015394i,-0.0025314+0.007984i,-0.0065387+0.00032591i,-0.0091833-0.0026217i,-0.0081322-0.00074333i,-0.0054911+0.002709i,-0.00098913+0.0036624i,0.0053757+0.0015262i,0.011761-4.1189e-05i,0.01406+0.0026977i,0.011435+0.0067708i,0.0067475+0.006883i
-0.023327-0.062507i,-0.079539-0.12725i,-0.18059-0.14782i,-0.26298-0.084332i,-0.24012-0.0092131i,-0.13999+0.0143i,-0.064671+0.015469i,-0.027507+0.019368i,-0.00093479+0.012245i,0.0090553-0.0051275i,0.0061751-0.013912i,0.0039582-0.013759i,0.0058402-0.0097339i,0.0083956-0.004322i,0.0082769-0.0024712i,0.0077157-0.0019065i,0.0064965-0.0023067i,0.0018836-0.0028065i,-0.004916-0.0022568i,-0.010301-0.0034001i,-0.010955-0.0076191i,-0.0070604-0.01143i,-0.0028548-0.0098845i
0.0036506+0.062822i,0.032972+0.14748i,0.11622+0.21271i,0.2102+0.1919i,0.20891+0.11754i,0.12786+0.062508i,0.067369+0.034005i,0.036431+0.010578i,0.010642-0.001023i,-0.0043976+0.0028717i,-0.0086469+0.0080907i,-0.010111+0.0091982i,-0.0093271+0.0057875i,-0.00747-0.00083814i,-0.0059951-0.0045143i,-0.0052018-0.003441i,-0.00578-9.2642e-05i,-0.003572+0.0025473i,0.0012206+0.0041785i,0.00581+0.007923i,0.0063707+0.011401i,0.0025258+0.011906i,-0.00045954+0.0080122i
0.0063137-0.069545i,-1.1823e-06-0.15929i,-0.050698-0.25261i,-0.13322-0.2732i,-0.15611-0.1999i,-0.10108-0.11304i,-0.054966-0.061684i,-0.034875-0.024594i,-0.012429-0.0015965i,0.0051265+0.00010899i,0.011866-0.0064038i,0.013015-0.0093825i,0.010317-0.0065115i,0.0052923-0.000683i,0.0021111+0.0026934i,0.0029217+0.0020154i,0.0042225-0.0013987i,0.0019615-0.0043475i,-0.0025935-0.0055653i,-0.0050908-0.0080257i,-0.0040787-0.012254i,-0.00090822-0.013067i,0.0013561-0.0085446i
-0.02473+0.061371i,-0.050732+0.15604i,-0.04318+0.26492i,0.011561+0.31334i,0.047322+0.25752i,0.0295+0.15532i,0.016902+0.081434i,0.02329+0.032309i,0.013889+0.00034765i,-0.0026996-0.0039784i,-0.011041+0.0033678i,-0.013548+0.0049836i,-0.011036+0.00062747i,-0.0049909-0.0055266i,-0.0012197-0.008393i,-0.0028158-0.0068161i,-0.0061872-0.0028721i,-0.0055168+0.0025829i,-0.0018015+0.008192i,0.0011043+0.013089i,0.00027542+0.015694i,-0.0027656+0.013937i,-0.0036291+0.0084036i
0.038998-0.058997i,0.092698-0.14421i,0.12777-0.25184i,0.10234-0.31041i,0.059016-0.2607i,0.036868-0.1502i,0.018856-0.067887i,-0.0011198-0.025654i,-0.0060039-0.0022127i,0.0011852+0.00025099i,0.007049-0.0059736i,0.009154-0.0054849i,0.0085182-0.00027671i,0.00393+0.0048095i,0.00088934+0.0056959i,0.0018463+0.0048164i,0.0042378+0.0046415i,0.0044738+0.0017346i,0.0029654-0.0043997i,0.0039037-0.011502i,0.0061948-0.014834i,0.0084341-0.011502i,0.0072079-0.0049148i
-0.052482+0.047736i,-0.1326+0.11257i,-0.20947+0.19957i,-0.21917+0.25416i,-0.16864+0.21725i,-0.10675+0.12338i,-0.055888+0.056578i,-0.019394+0.026547i,-0.00069386+0.0084238i,0.00096764+0.0012418i,-0.0037135-0.00014445i,-0.0080382-0.0016987i,-0.0083272-0.0047816i,-0.0048335-0.006911i,-0.0025856-0.0070468i,-0.0029799-0.0071471i,-0.004703-0.0067014i,-0.005476-0.0030836i,-0.0058681+0.0034668i,-0.0079268+0.009497i,-0.010066+0.011492i,-0.010003+0.0081499i,-0.0071402+0.003699i
0.057159-0.033182i,0.15538-0.073249i,0.25775-0.12324i,0.28858-0.15504i,0.23718-0.12804i,0.14815-0.065451i,0.073297-0.029953i,0.029001-0.019674i,0.0037306-0.010498i,-0.0027983-0.003005i,0.0018021+6.7762e-05i,0.0060629+0.0023037i,0.0048185+0.0038722i,-9.814e-05+0.0040673i,-0.001382+0.0030616i,0.0012526+0.0033782i,0.0031494+0.0052054i,0.0039367+0.0045708i,0.0058851+0.00041769i,0.0096832-0.0046453i,0.012146-0.0059751i,0.010667-0.003427i,0.0076195-0.0014706i
-0.064427+0.012469i,-0.17185+0.019419i,-0.29348+0.030975i,-0.33755+0.043668i,-0.27254+0.027314i,-0.16286+0.0039306i,-0.076527+0.0070405i,-0.023661+0.012423i,0.0024212+0.0075736i,0.0045389+0.00069036i,-0.0021366-0.0028787i,-0.0058962-0.0046134i,-0.0044094-0.0052905i,0.00044253-0.0045691i,0.0034087-0.005189i,0.0014418-0.0071162i,-0.0018228-0.0076794i,-0.0035951-0.0046801i,-0.0057014-0.00056044i,-0.011411+0.0017672i,-0.01508+0.0019446i,-0.012747-9.4127e-06i,-0.0076105-0.00078919i
0.062754-0.00028122i,0.16369+0.020048i,0.27835+0.056367i,0.32078+0.076439i,0.24964+0.075486i,0.13747+0.064733i,0.062691+0.036211i,0.019537+0.0083627i,-0.0016003-0.0016568i,-0.0021527-0.0017744i,0.0023908-0.00022456i,0.0037205+0.00084477i,0.00089259+0.0016226i,-0.0042939+0.0019969i,-0.0062712+0.0025295i,-0.0050358+0.0042465i,-0.0041103+0.0051453i,-0.0027741+0.0052882i,0.0024295+0.0040275i,0.010681+0.0026817i,0.014553+0.0021502i,0.011325+0.0023432i,0.0060304+0.0029871i
-0.067569-0.020339i,-0.16167-0.07027i,-0.25736-0.13931i,-0.28044-0.17564i,-0.20721-0.15573i,-0.10335-0.10446i,-0.041743-0.052675i,-0.014169-0.018318i,-0.0013361-0.0035802i,-1.6055e-05-0.00011268i,-0.0014001+0.00088248i,-0.00072286-0.001159i,0.0024808-0.0039507i,0.0068143-0.0047348i,0.0087194-0.0058585i,0.007214-0.0064644i,0.0058903-0.0049409i,0.0043933-0.0022676i,-0.0014463-0.00089877i,-0.0094927-0.0031444i,-0.012462-0.0059462i,-0.0099533-0.0060117i,-0.0060135-0.0036532i
0.053287+0.026156i,0.12014+0.10052i,0.18404+0.20257i,0.18923+0.25435i,0.12239+0.21856i,0.04872+0.13801i,0.019171+0.069461i,0.011746+0.025803i,0.0047173+0.0021424i,0.00011643-0.0040853i,-0.0011653-0.003209i,-0.0019393-0.0013967i,-0.0045417-0.00047429i,-0.0065509-0.00044029i,-0.0066506+0.00016989i,-0.0064247+0.0016084i,-0.0066918+0.0020104i,-0.0045401+0.0015639i,0.0010564+0.0028718i,0.0059733+0.0067093i,0.0076353+0.0088656i,0.0057467+0.007357i,0.0032124+0.0042716i
-0.042848-0.04325i,-0.089609-0.13119i,-0.11288-0.24552i,-0.089643-0.2966i,-0.039488-0.24152i,-0.0010171-0.13635i,0.0059009-0.056026i,-0.0013326-0.014772i,-0.0028583+0.0041025i,4.2136e-05+0.0063609i,0.00096679+0.0026282i,0.00067926+0.00013809i,0.0025593-0.00083832i,0.0059174-0.00014354i,0.0074046+0.00032038i,0.006491-0.00058724i,0.0053372-0.00026789i,0.0031285+0.00029869i,-0.0011358-0.0024436i,-0.0048835-0.0069655i,-0.0055134-0.0098446i,-0.0033381-0.0093002i,-0.0011097-0.005984i
0.026932+0.048743i,0.043026+0.14329i,0.030005+0.25332i,-0.014479+0.28907i,-0.054762+0.22346i,-0.055508+0.11915i,-0.027392+0.045615i,-0.0062236+0.01039i,-0.00035913-0.0044163i,-0.00093841-0.0070229i,0.0003193-0.0052314i,0.0012634-0.0028806i,-0.00025753-0.0023579i,-0.0032351-0.0042291i,-0.0055803-0.0044004i,-0.0060084-0.0032867i,-0.004545-0.00325i,-0.0028426-0.002349i,-0.00095113+0.0027062i,0.00041216+0.010223i,0.00065328+0.012648i,-0.00010677+0.0086959i,-0.00015989+0.0032879i
-0.018071-0.052803i,-0.0068959-0.13986i,0.041081-0.23725i,0.097056-0.25624i,0.11529-0.17529i,0.085974-0.079377i,0.041587-0.027266i,0.016003-0.0061316i,0.0071258+0.00081018i,0.0037616+0.0017843i,0.00019393+0.00158i,-0.0029348+0.001479i,-0.0023161+0.0023896i,0.0010249+0.0043074i,0.0030122+0.0043514i,0.0023374+0.0024491i,0.00050741+0.0031366i,-0.00067584+0.004221i,-0.00017765+0.0011327i,0.0015739-0.0049299i,0.0024763-0.0084327i,0.0018398-0.0067114i,0.00012408-0.0023154i
0.0014007+0.050723i,-0.031419+0.12913i,-0.10857+0.20166i,-0.17321+0.19764i,-0.16383+0.11928i,-0.10469+0.046526i,-0.04792+0.017732i,-0.015546+0.0079873i,-0.0034103+0.0028063i,-2.0235e-05-0.00059941i,0.0022192-0.0036094i,0.0035771-0.0057481i,0.0029272-0.0077296i,0.0010313-0.0095632i,0.00016352-0.0092116i,0.00046721-0.0074976i,0.0010727-0.0060517i,0.00064-0.0034868i,-0.0013084+0.0017815i,-0.0030467+0.0065903i,-0.0041959+0.0071152i,-0.0031493+0.0052436i,-0.00047983+0.0023357i
0.009259-0.046968i,0.061029-0.10955i,0.14965-0.15172i,0.20717-0.12293i,0.17637-0.051628i,0.099292-0.0041862i,0.040716+0.0032927i,0.0102-0.0024597i,-0.00072858-0.0043435i,-0.0011881-0.0015084i,-0.0024563+0.0010442i,-0.0042403+0.0020331i,-0.0034705+0.0026349i,-0.0022075+0.0028507i,-0.0012025+0.0023126i,-0.00074946+0.0015811i,-0.0012982+0.0025741i,-0.00072698+0.0033734i,0.0023686+0.00059172i,0.0057602-0.0028742i,0.0067675-0.0025183i,0.0046881-0.00034869i,0.00063701+0.00084543i
-0.018915+0.03612i,-0.081614+0.075074i,-0.17736+0.085435i,-0.22314+0.043771i,-0.17355-0.0091499i,-0.089521-0.026383i,-0.032802-0.014899i,-0.0052685-0.0014564i,0.0036293+0.00098746i,0.0037424-0.0024296i,0.0041166-0.0031917i,0.0044702-0.0020396i,0.004466-0.0025306i,0.0034237-0.0035252i,0.0021306-0.0040691i,0.0018311-0.003713i,0.0017887-0.0020751i,0.0010495+5.3559e-05i,-0.0020778+0.0017142i,-0.0054988+0.0019161i,-0.0058466+0.00067736i,-0.0029219-0.00090917i,0.00029081-0.0010175i
0.023931-0.030465i,0.0886-0.050947i,0.17284-0.03026i,0.19897+0.028838i,0.14051+0.064305i,0.062669+0.055647i,0.017378+0.031726i,0.0019919+0.012849i,-0.0011715+0.0061492i,-0.0022024+0.005811i,-0.0042722+0.0027243i,-0.0051697-0.0016333i,-0.0043073-0.003601i,-0.0035769-0.0034352i,-0.0031771-0.0030666i,-0.0027939-0.0019446i,-0.0030213-0.00056025i,-0.0020981+0.00021074i,0.0013943+0.00093128i,0.0048362+0.0018734i,0.0056962+0.0032159i,0.0036947+0.003354i,0.00027006+0.0017331i
-0.024871+0.016736i,-0.089412+0.015355i,-0.15838-0.025026i,-0.1645-0.085288i,-0.10417-0.10334i,-0.042203-0.069953i,-0.010729-0.030289i,-0.0022624-0.010831i,-0.0019939-0.0063219i,0.00019319-0.0065287i,0.0034043-0.0034777i,0.0052901+0.0008503i,0.0052945+0.0023843i,0.0039328+0.0023286i,0.0029534+0.0021726i,0.0033843+0.00079967i,0.003397-0.00069895i,0.0014665-0.0015167i,-0.00088357-0.003814i,-0.0031892-0.0059528i,-0.0028962-0.0051092i,-0.0002388-0.0030765i,0.0018834-0.00031441i
0.031904-0.010466i,0.083523+0.0030434i,0.13306+0.05723i,0.11963+0.11393i,0.053596+0.11416i,0.0079935+0.070485i,0.00017112+0.029768i,0.0046492+0.0096376i,0.0068552+0.0039672i,0.0030627+0.0025569i,-0.0024008-0.00030567i,-0.0052033-0.0030872i,-0.004932-0.0044443i,-0.0020807-0.0044825i,0.00082482-0.0043955i,0.00045186-0.0036832i,-0.001949-0.0019195i,-0.0024589+0.00078883i,-0.0017782+0.0046107i,-0.00088871+0.0077936i,-0.0011077+0.008194i,-0.0024793+0.0048732i,-0.0025352+0.00063688i
-0.02965-0.001914i,-0.07552-0.026862i,-0.1035-0.0882i,-0.072982-0.13583i,-0.017023-0.11306i,0.0091207-0.057678i,0.0062111-0.018138i,-0.0018313-0.0010721i,-0.0043854+0.00070124i,-0.00049197-0.00091836i,0.0039492-1.2571e-05i,0.0042619+0.00014798i,0.002152-0.00091914i,-0.00063815-0.00087621i,-0.0022283+0.00043259i,-0.00086953+0.00079293i,0.0012395+0.00030505i,0.0024202-0.00095568i,0.0029988-0.0045453i,0.003411-0.006754i,0.0043164-0.0051246i,0.003978-0.0022019i,0.0021057+0.00046158i
0.022151+0.0035035i,0.05109+0.038668i,0.0558+0.10165i,0.015251+0.13423i,-0.025591+0.10147i,-0.030883+0.049495i,-0.015876+0.016728i,-0.0032875+0.0015932i,-0.0013706-0.0014544i,-0.0038055-0.0012443i,-0.0041324-0.0035282i,-0.0025388-0.0051062i,0.00097082-0.0051227i,0.0033796-0.0040701i,0.0034463-0.0033447i,0.0010753-0.0032781i,-0.002461-0.0022969i,-0.0043633-0.00024043i,-0.0057195+0.0031285i,-0.0072627+0.0061766i,-0.0066694+0.0056865i,-0.0044972+0.0028277i,-0.0029754-0.00013959i
-0.020397-0.0089394i,-0.034596-0.043581i,-0.020213-0.09704i,0.024106-0.11467i,0.049056-0.074708i,0.03968-0.028266i,0.022058-0.0053149i,0.0081545+0.00092775i,0.0044649-0.0008653i,0.0057003-0.0022301i,0.0039555+0.00027236i,0.00024612+0.0022902i,-0.0031024+0.001197i,-0.0053069-0.00033796i,-0.0054919-0.00082511i,-0.0029265+0.00013119i,0.0013673+0.0020249i,0.0043964+0.0030156i,0.0067682+0.0014892i,0.009567-0.00077707i,0.009513-0.0012655i,0.0063352-0.0004769i,0.0021611+0.00070613i
0.013408+0.0091064i,0.016879+0.043285i,-0.011294+0.083678i,-0.058744+0.086187i,-0.070992+0.049194i,-0.047149+0.015906i,-0.020973+0.0025289i,-0.0048906+0.0030354i,-0.00095683+0.0044594i,-0.0023209+0.0026081i,-0.0024889-0.0014903i,-0.0016716-0.0056274i,0.00019113-0.0054321i,0.0025659-0.0023624i,0.0045354-0.0013424i,0.003832-0.0028536i,0.00021005-0.0036098i,-0.0044458-0.0034558i,-0.0092984-0.0021167i,-0.012084-0.00012816i,-0.010315-0.00048606i,-0.0055641-0.0020656i,-0.0009502-0.0026684i
-0.011352-0.01383i,-0.0072492-0.042343i,0.02511-0.068022i,0.064943-0.055433i,0.067776-0.017769i,0.039905+0.0047239i,0.014579+0.0068033i,0.0018288-0.00033387i,-0.0018428-0.0056581i,-0.00059846-0.0045077i,0.00017717-0.00019375i,0.00038467+0.0019725i,0.00010473-0.00034694i,-0.0016165-0.0037943i,-0.0033143-0.0037498i,-0.0026553-0.00072412i,-0.00063721+0.0017219i,0.0013378+0.0042601i,0.0058615+0.0061186i,0.010803+0.0062205i,0.010228+0.0059957i,0.0049713+0.0044746i,0.00038955+0.0020911i
0.0026781+0.013034i,-0.0093605+0.036464i,-0.045817+0.051519i,-0.076893+0.031723i,-0.066788-0.0028297i,-0.035883-0.013088i,-0.0096885-0.006184i,0.0030387-8.7508e-05i,0.004186+0.0016667i,0.0029121+6.6711e-05i,0.001468-0.0017124i,-0.00036863-0.002439i,-0.0009548-0.0012733i,0.0003974+0.00097311i,0.0023529+6.393e-05i,0.0019938-0.0028526i,-0.00044824-0.0045487i,-0.0027691-0.0055966i,-0.0055488-0.0067855i,-0.0089651-0.0076065i,-0.0092487-0.0069202i,-0.0048039-0.0041679i,2.7477e-05-0.0016186i
-0.0019678-0.014204i,0.013123-0.031899i,0.048762-0.034093i,0.069001-0.0074089i,0.048924+0.018192i,0.020489+0.022218i,0.0044225+0.014008i,-0.0018437+0.0062743i,-0.0022898+0.0031912i,-0.001453+0.0016921i,-0.0007096+0.0010001i,-0.00044727-0.00049492i,-0.00054592-0.0030253i,-0.0011909-0.0044958i,-0.0015154-0.0042961i,-0.00078842-0.0021394i,-0.00092191+0.0014i,-0.00072648+0.0063662i,0.0019302+0.010947i,0.005501+0.012634i,0.0072174+0.010175i,0.0051265+0.0046653i,0.0014947+0.0004725i
-5.2592e-05+0.0095444i,-0.018306+0.017491i,-0.050551+0.0095864i,-0.061679-0.016849i,-0.040222-0.031845i,-0.01565-0.025159i,-0.0034696-0.011561i,0.0002696-0.0026254i,-0.0010223-0.0011561i,-0.0015447-0.002478i,0.00021051-0.0035745i,0.0016843-0.0029431i,0.0016572-0.00071017i,0.00133+0.00087057i,0.00092253+0.0011658i,0.0005306+0.0011222i,0.0013255-0.00072297i,0.0020763-0.0047634i,0.0010381-0.0097406i,-0.0016878-0.012824i,-0.00318-0.011155i,-0.0024922-0.0054049i,-0.0013054+0.00037694i
-0.00032978-0.0088592i,0.013118-0.010373i,0.035612+0.0048493i,0.038372+0.031367i,0.018108+0.038436i,0.0017627+0.027188i,-0.0027784+0.014132i,0.00046577+0.0025145i,0.0034921-0.0016856i,0.00232-0.0011902i,-0.00021483+0.00073402i,-0.0025991+0.0027568i,-0.0031362+0.001345i,-0.0019857-0.0024715i,-0.00039091-0.0039255i,0.0013441-0.0036157i,0.00032287-0.0017934i,-0.0026952+0.0040331i,-0.0027885+0.011016i,-0.0012156+0.014307i,-0.00068968+0.011469i,-0.00021618+0.0043745i,0.00077004-0.00054934i
-0.003379+0.0015873i,-0.017987+3.87e-05i,-0.033195-0.015516i,-0.026763-0.036071i,-0.0079087-0.035767i,0.003159-0.020149i,0.0058692-0.0057066i,0.003384+0.0017821i,0.00096462+0.0027573i,0.001378+0.0014178i,0.0023446-0.0011257i,0.0014528-0.0037379i,-0.00092944-0.0032308i,-0.0012788-0.00073823i,2.3388e-05+0.00017862i,0.00059104+0.00020432i,0.00071669-0.00057398i,0.0025339-0.0032812i,0.0039172-0.007789i,0.0036846-0.011767i,0.0033616-0.011134i,0.0015542-0.0056541i,-0.00074313-0.00098231i
0.0034323+0.00010671i,0.011379+0.0052034i,0.018267+0.020207i,0.00703+0.033567i,-0.0099489+0.030659i,-0.014055+0.018134i,-0.0092816+0.0058502i,-0.0044977-0.00029977i,-0.0025465-0.0023145i,-0.0023805-0.0029388i,-0.0024733-0.0014125i,-0.00098989+0.0001641i,0.00075282-0.0012032i,0.00076027-0.0041436i,-7.1263e-05-0.0040544i,0.00046132-0.00247i,-0.0005294-0.0013928i,-0.0046348+0.0026864i,-0.0079771+0.0079797i,-0.0078783+0.01072i,-0.0053775+0.010097i,-0.0017613+0.0068086i,0.0011422+0.0032423i
