-0.00011734+0.0006892i,0.0010043-7.95e-05i,-0.0010265-6.5668e-05i,-0.00082792-9.4196e-05i,-3.5574e-05+0.0011099i,-0.0013339+0.0025494i,-0.0019944+0.0034552i,-0.00039819+0.0029584i,0.0012684+0.00034306i,0.0013996-0.0018193i,0.00074064-0.0025113i,0.00087875-0.0025223i,0.0011774-0.0016541i,0.00030841-0.00091498i,-0.00048301-0.00068334i,-6.694e-05-0.00054066i,-0.00021031+0.00012504i,-0.00078271+0.00068814i,-0.00015969+0.00012885i,0.00036649+0.00014058i,0.00048849+6.9107e-05i,0.00061237-0.00036488i,0.00080597-0.00018017i
-0.024014-0.011083i,-0.049635+0.0062423i,-0.076973+0.11505i,-0.094401+0.29919i,-0.11209+0.3937i,-0.10635+0.30546i,-0.06689+0.15817i,-0.022946+0.076748i,0.0019175+0.042996i,0.00091233+0.01943i,-0.0085119+0.0016871i,-0.015438-0.0060538i,-0.016328-0.0041277i,-0.011853-0.0026683i,-0.0097161-0.004511i,-0.012211-0.0038366i,-0.015236+0.0020149i,-0.0067814+0.012494i,0.021027+0.023062i,0.048964+0.029331i,0.052837+0.030682i,0.037245+0.028815i,0.022144+0.023386i
0.018851-0.008719i,0.033291-0.044732i,0.0079121-0.15192i,-0.060433-0.30719i,-0.084876-0.37275i,-0.039238-0.2732i,0.0020731-0.12343i,0.0038744-0.03798i,-0.0066285-0.0077566i,-0.0033192+0.0023494i,0.0079121+0.0041563i,0.013359+0.0015127i,0.0094913+7.4253e-05i,0.0047076+0.0037976i,0.0060255+0.0064893i,0.0085543+0.0035128i,0.0055288-0.0011084i,-0.0079848-0.0015144i,-0.029567+0.001926i,-0.042308-0.0010964i,-0.036181-0.014302i,-0.021101-0.024314i,-0.0078868-0.021945i
-0.011105+0.020627i,-0.001824+0.065997i,0.072203+0.15363i,0.19978+0.25723i,0.24826+0.29827i,0.16746+0.22946i,0.079879+0.10937i,0.049647+0.019952i,0.036141-0.016155i,0.013693-0.015501i,-0.0066227-0.0050392i,-0.013434+0.0010116i,-0.011263+0.0026597i,-0.0091181+0.0030232i,-0.0087594+0.0039434i,-0.0075846+0.0076724i,-0.00029456+0.01097i,0.013746+0.0031769i,0.023736-0.016177i,0.019198-0.025409i,0.0064477-0.014309i,-0.0018847-0.00018389i,-0.0061141+0.0042317i
-0.0031045-0.017956i,-0.039248-0.053029i,-0.14275-0.09571i,-0.28594-0.12766i,-0.3238-0.14134i,-0.20592-0.12464i,-0.080458-0.073773i,-0.034251-0.025711i,-0.022789-0.0070368i,-0.01262-0.0088252i,-0.0043273-0.015363i,-0.00085677-0.018265i,-0.0021218-0.016872i,-0.00085433-0.013866i,0.0019631-0.01231i,-0.00038245-0.013342i,-0.0085142-0.010559i,-0.014477+0.0032518i,-0.0081855+0.025451i,0.0051635+0.038729i,0.012644+0.033924i,0.011504+0.022836i,0.0088398+0.014628i
0.023886+0.014824i,0.077898+0.022201i,0.18843+0.0040607i,0.31329-0.040039i,0.33668-0.050217i,0.22031-0.017291i,0.088108-0.0069773i,0.023248-0.022712i,-0.00098427-0.025968i,-0.0092366-0.013241i,-0.008123+0.0010191i,-0.0043335+0.0073916i,-0.0023318+0.0069832i,-0.0019108+0.006523i,0.00085065+0.0072529i,0.0073949+0.0071709i,0.013317+0.0045279i,0.0080183-0.0050724i,-0.01106-0.021245i,-0.025725-0.034254i,-0.021685-0.035426i,-0.0090508-0.028196i,-0.00035459-0.019584i
-0.027887+0.0082138i,-0.079431+0.032155i,-0.16351+0.10084i,-0.24338+0.18615i,-0.25689+0.18496i,-0.17692+0.09565i,-0.074517+0.036659i,-0.018251+0.034548i,-0.0019191+0.033579i,-0.0035097+0.018222i,-0.0086917+0.0030252i,-0.011844-0.0052377i,-0.012678-0.0067111i,-0.01151-0.0047812i,-0.011402-0.0023472i,-0.014245+0.00017607i,-0.013718+0.0045175i,-0.0024324+0.0089022i,0.017218+0.011671i,0.026503+0.016749i,0.01649+0.021603i,0.0018197+0.019201i,-0.0046443+0.011234i
0.018708-0.020323i,0.047506-0.07015i,0.082987-0.16914i,0.10463-0.26735i,0.1098-0.25606i,0.076088-0.13841i,0.019802-0.043391i,-0.0084104-0.015253i,-0.011787-0.0076602i,-0.0061507-0.0015178i,0.0033787-0.00030911i,0.0093046-0.0034972i,0.0083836-0.005487i,0.0051291-0.0031044i,0.003688-0.0017539i,0.0039011-0.0052989i,0.0010648-0.0099137i,-0.0096709-0.0084068i,-0.020924+0.0043804i,-0.017923+0.015396i,-0.00099055+0.013738i,0.011975+0.0083484i,0.013973+0.0074426i
0.0013632+0.021464i,0.0040098+0.079289i,0.021494+0.17736i,0.043601+0.26445i,0.028079+0.25639i,0.0059131+0.15214i,0.021521+0.054914i,0.038858+0.013434i,0.032121-0.0024832i,0.014692-0.0066965i,0.001142-0.0036528i,-0.0079127+0.00032197i,-0.011973+0.0034778i,-0.011243+0.0053861i,-0.0078637+0.0078754i,-0.003847+0.012842i,0.000744+0.017732i,0.006005+0.012798i,0.0084138-0.0072566i,0.0043196-0.027783i,-0.003005-0.032517i,-0.0054511-0.025666i,-0.0034642-0.017692i
-0.013255-0.019945i,-0.048995-0.065015i,-0.11127-0.13394i,-0.16297-0.18567i,-0.13712-0.16892i,-0.060475-0.087781i,-0.023132-0.01971i,-0.021521-0.0025909i,-0.01766-0.0051184i,-0.010166-0.0060925i,-0.0067655-0.0069924i,-0.0056265-0.010217i,-0.0031166-0.011267i,-5.6712e-05-0.0098031i,-0.00030261-0.010206i,-0.0035082-0.013343i,-0.0076787-0.013027i,-0.0061544-0.0029428i,0.0029544+0.014409i,0.0078124+0.027026i,0.0025463+0.026477i,-0.0035666+0.017655i,-0.0046801+0.0084345i
0.02364+0.011321i,0.077072+0.027412i,0.162+0.050461i,0.22499+0.061127i,0.19389+0.048942i,0.10006+0.014476i,0.041352-0.019241i,0.020568-0.032577i,0.0030551-0.028296i,-0.0086602-0.016017i,-0.008672-0.0040155i,-0.0028946+0.0046895i,0.00098617+0.0081224i,0.00322+0.0077441i,0.0082309+0.0064398i,0.013851+0.0047463i,0.015944+0.0023926i,0.0092002-0.0011386i,-0.0062764-0.0061914i,-0.013539-0.0084135i,-0.0056679-0.0051042i,0.0032058-0.00013978i,0.0057062+0.0047022i
-0.023404+0.011735i,-0.073872+0.028933i,-0.15224+0.053713i,-0.19999+0.067481i,-0.15964+0.051779i,-0.069276+0.030959i,-0.017655+0.03073i,-0.0075479+0.034793i,-0.0058566+0.02593i,-0.0063834+0.011479i,-0.008133+0.0016885i,-0.011386-0.0054624i,-0.014602-0.009242i,-0.015233-0.0073209i,-0.01529-0.0020644i,-0.015664+0.0033564i,-0.01435+0.0072493i,-0.0069952+0.0066296i,0.0058649-0.00066554i,0.011245-0.0096661i,0.0050773-0.015443i,-5.9472e-05-0.016847i,0.00017124-0.014853i
0.0079269-0.023793i,0.037579-0.063386i,0.084678-0.12049i,0.11245-0.15189i,0.082717-0.11837i,0.019911-0.063426i,-0.01216-0.038452i,-0.011894-0.025655i,-0.0081639-0.010632i,-0.0040953-0.0015633i,0.00079986-0.00099506i,0.004947-0.0027795i,0.0055168-0.0029455i,0.002272-0.0025574i,-0.00049738-0.0041296i,0.00078038-0.0070759i,0.0028387-0.0099068i,0.00057857-0.0058343i,-0.0054294+0.0097056i,-0.0086767+0.026037i,-0.0054108+0.031399i,-0.0014913+0.026206i,-0.00056257+0.017995i
0.0077738+0.019688i,0.0062448+0.066896i,-0.0015412+0.1361i,-0.010669+0.1697i,-0.0068818+0.12752i,0.017433+0.06179i,0.035373+0.030532i,0.032119+0.016477i,0.023257+0.0019186i,0.014091-0.0049584i,0.0062087-0.0046023i,-0.00072018-0.0023661i,-0.0059836-0.00059553i,-0.0058717+0.0018239i,-0.0021822+0.0063145i,-0.00035443+0.010771i,-0.0011062+0.012714i,-0.0031768+0.007661i,-0.0050138-0.0047483i,-0.0020501-0.016092i,0.0030745-0.018033i,0.0049113-0.0122i,0.0042639-0.0050211i
-0.0092733-0.012186i,-0.031292-0.048455i,-0.059295-0.10471i,-0.072382-0.13047i,-0.059642-0.087545i,-0.050026-0.022095i,-0.043804+0.0025033i,-0.029533-0.0029245i,-0.016516-0.0062389i,-0.0077909-0.0046849i,-0.0043976-0.0048769i,-0.0010163-0.0092952i,0.0015594-0.011502i,0.0010635-0.0089111i,-0.0015331-0.0078849i,-0.0055151-0.0094443i,-0.0080108-0.0089256i,-0.0042152-0.0036334i,0.0056491+0.0023687i,0.010294+0.0020341i,0.0068029-0.0041362i,0.0039986-0.0092248i,0.0034213-0.009786i
0.017931+0.0039333i,0.054544+0.018412i,0.10345+0.045269i,0.12267+0.057377i,0.094391+0.028156i,0.061872-0.013631i,0.045599-0.024599i,0.027888-0.018943i,0.007169-0.016026i,-0.0071617-0.010741i,-0.011411-0.0014967i,-0.0096185+0.0063026i,-0.0058768+0.0086764i,-0.0017494+0.0063591i,0.0042242+0.0030783i,0.0093273+0.0015493i,0.010226+0.0033035i,0.0054214+0.0062349i,-0.0056052+0.0090416i,-0.015191+0.012344i,-0.016712+0.015835i,-0.014059+0.015589i,-0.010588+0.011925i
-0.014713+0.0092169i,-0.049737+0.016223i,-0.097888+0.020159i,-0.11356+0.020773i,-0.07427+0.031148i,-0.029612+0.046246i,-0.015301+0.042113i,-0.010915+0.025922i,-0.0064862+0.01282i,-0.0063382+0.0038608i,-0.009024-0.0015318i,-0.011077-0.0054315i,-0.010798-0.0056978i,-0.008812-0.0015973i,-0.0072205+0.0030724i,-0.0069507+0.0064316i,-0.0075184+0.0082225i,-0.0046065+0.0054207i,0.0039009-0.0041203i,0.012201-0.014879i,0.015722-0.018091i,0.016003-0.014706i,0.012946-0.0097359i
0.0078378-0.016693i,0.029912-0.041498i,0.062138-0.069792i,0.070292-0.07839i,0.033182-0.068436i,-0.0029414-0.061055i,-0.0030987-0.049014i,0.0012212-0.028438i,-0.0036775-0.011811i,-0.0066297-0.0027891i,-0.002966-0.0011585i,0.0009056-0.0027488i,-0.00045365-0.0035196i,-0.0032707-0.0038249i,-0.0038762-0.0043283i,-0.0020776-0.0043896i,0.0015845-0.0050871i,0.0045646-0.0032512i,0.0044494+0.0053798i,0.0011266+0.014525i,-0.0018526+0.015123i,-0.0022034+0.0096885i,-0.00013868+0.0028567i
0.0046473+0.010315i,0.00019053+0.039987i,-0.011395+0.07767i,-0.014721+0.088731i,0.0076145+0.064434i,0.031563+0.044353i,0.028995+0.033733i,0.018528+0.017423i,0.012305+0.0043923i,0.0077123-0.00052863i,0.0025317-0.0019641i,-0.0038535-0.0036863i,-0.0071672-0.0044198i,-0.0055675-0.0030851i,-0.0015479-0.00069626i,0.00081225+0.002378i,0.00091325+0.0045143i,-0.0025567+0.0029115i,-0.0098042-0.0018107i,-0.013913-0.0026288i,-0.011844+0.0024347i,-0.0091316+0.005123i,-0.0080642+0.0044586i
-0.0073832-0.0062815i,-0.02004-0.030294i,-0.030099-0.06489i,-0.033729-0.072518i,-0.04193-0.04021i,-0.052447-0.014931i,-0.042716-0.012616i,-0.021516-0.010228i,-0.0085536-0.00536i,-0.0021855-0.0024939i,0.0014596-0.0019436i,0.0042994-0.0027418i,0.0043562-0.0020702i,0.0013175+0.00046322i,-0.00034776+0.0016373i,-0.0020642-0.00031681i,-0.0057804-0.0032938i,-0.0051285-0.0041255i,0.0045172-0.004541i,0.015835-0.0078299i,0.020443-0.0099788i,0.0183-0.0086825i,0.012406-0.0061814i
0.012992+0.0038218i,0.035193+0.015153i,0.059511+0.035099i,0.064802+0.03768i,0.053425+0.01022i,0.048724-0.011376i,0.040126-0.0083189i,0.022291-0.0046831i,0.0071128-0.0077655i,-0.0035954-0.0077179i,-0.0083591-0.0034847i,-0.0086232+0.0010148i,-0.0075039+0.0012731i,-0.0061189-0.0018668i,-0.0032428-0.0037226i,0.00045404-0.0031337i,0.0027492-0.00050307i,0.00046153+0.0034935i,-0.0069479+0.0083511i,-0.014041+0.011863i,-0.017016+0.0094411i,-0.01502+0.0046746i,-0.0073494+0.0013943i
-0.013261+0.0040903i,-0.036394+0.0072635i,-0.064272+0.0045653i,-0.066398+0.0058871i,-0.041499+0.023139i,-0.025013+0.038097i,-0.018503+0.029534i,-0.010229+0.013992i,-0.0063189+0.0042187i,-0.0069881-0.0024784i,-0.0083448-0.0056703i,-0.0085338-0.0072006i,-0.00663-0.0056957i,-0.0031827-0.00099247i,-0.0011356+0.003409i,-0.0018326+0.0066162i,-0.0038765+0.008584i,-0.0041643+0.0061081i,-0.0013191-0.001348i,0.0016426-0.0064554i,0.0024825-0.0052913i,0.0010346-0.001842i,-0.00067112+0.0016248i
0.0047742-0.0099106i,0.018038-0.023886i,0.037871-0.036167i,0.039699-0.037037i,0.014503-0.038413i,0.0017635-0.042713i,0.0081174-0.033184i,0.007903-0.019374i,-0.00037461-0.012036i,-0.0053647-0.0064823i,-0.0038795-0.0026837i,-0.0023222-0.00068881i,-0.0038301+0.0011332i,-0.0062018+0.0026977i,-0.0057223+0.0036057i,-0.0021103+0.002461i,0.0022568+0.00013835i,0.0072554+3.4256e-05i,0.01186+0.0046842i,0.01396+0.0090483i,0.014651+0.0085026i,0.014811+0.0056026i,0.013216+0.0023287i
0.006198+0.0079221i,0.0034729+0.026205i,-0.004049+0.044139i,-0.0051974+0.044675i,0.011904+0.033567i,0.022589+0.030724i,0.015065+0.025189i,0.0077945+0.011953i,0.0031496+0.0030044i,-0.00089105+0.00082606i,-0.0026228+0.00057679i,-0.0033874-0.0032405i,-0.0032182-0.0065841i,-0.00077925-0.0065884i,0.001924-0.0057124i,0.0024388-0.0027816i,0.0016802+0.00066393i,-5.2559e-06+0.0017481i,-0.0061122-7.5953e-05i,-0.014631-0.0021813i,-0.018534-0.0023117i,-0.015621-0.0020037i,-0.010444-0.0019781i
-0.0067576-0.0041908i,-0.013163-0.017653i,-0.016515-0.036232i,-0.016793-0.037277i,-0.025243-0.019334i,-0.032262-0.01289i,-0.023053-0.014997i,-0.011407-0.0092764i,-0.006177-0.0014621i,-0.0030195+0.001951i,0.00014003+0.0010869i,0.0021501-0.0019213i,0.0015811-0.0019828i,-0.00018991+0.00092061i,-0.00090071+0.0029662i,-0.0025252+0.0018374i,-0.0062396-0.0018227i,-0.0073546-0.0050546i,-0.0021928-0.0061255i,0.0071856-0.0049634i,0.012416-0.0016595i,0.010138-0.00070361i,0.0054793-0.0026207i
0.0026588-0.0067607i,0.013842+0.0011487i,0.023163+0.014569i,0.023831+0.01833i,0.02359+0.0032748i,0.029047-0.0039073i,0.026344+0.00099427i,0.015106+0.00085273i,0.0069446-0.0029892i,0.0015678-0.0042139i,-0.0023298-0.0027281i,-0.0044682-0.001047i,-0.0054079-0.00091382i,-0.006889-0.0026943i,-0.0070852-0.0036315i,-0.0035637-0.0019098i,0.00087192-0.00029245i,0.0021788+0.0020629i,-0.00065204+0.0064079i,-0.0029232+0.0076025i,-0.0021043+0.0048892i,0.00068966+0.0032888i,0.0029231+0.0035827i
-0.0069085+0.0027516i,-0.017655+0.003121i,-0.030256-5.9628e-05i,-0.02938-0.00026086i,-0.01792+0.01203i,-0.015208+0.02091i,-0.013232+0.014519i,-0.0054851+0.0048691i,-0.00060403-0.0020226i,-0.00039103-0.0058341i,-0.0029173-0.0071857i,-0.0036031-0.0066517i,-0.0020863-0.0040109i,8.8438e-05-0.0012143i,0.0013342+0.00058099i,-0.0006389+0.0013574i,-0.0033926+0.0022313i,-0.0055132+0.0027584i,-0.0075277-0.0013751i,-0.0087366-0.0066955i,-0.0090579-0.0076565i,-0.0090127-0.0067071i,-0.0085395-0.0055761i
0.003975-0.0054669i,0.012823-0.011341i,0.023491-0.015071i,0.02083-0.013466i,0.0038525-0.017378i,-0.00031045-0.023398i,0.0067566-0.018571i,0.0072779-0.011931i,0.0017697-0.010369i,-0.0032211-0.008322i,-0.0042902-0.0054503i,-0.004004-0.0039237i,-0.0047246-0.0029413i,-0.0053327-0.00033928i,-0.0039171+0.0028686i,-0.0018876+0.003297i,0.00023751+0.00092279i,0.0030685-0.00033609i,0.0068115+0.0023381i,0.010176+0.0070676i,0.010938+0.0092903i,0.0093376+0.0083989i,0.0073982+0.0060944i
-0.00045473+0.0022301i,-0.0041056+0.010809i,-0.0098653+0.019381i,-0.0064623+0.017931i,0.0086878+0.014869i,0.014995+0.01848i,0.0083029+0.015631i,0.002586+0.0057051i,-0.0017626-0.00035447i,-0.0048192+0.00010239i,-0.0047054+0.0024013i,-0.0043004+0.00076253i,-0.0038983-0.0024172i,-0.003282-0.0024176i,-0.0019932-0.0011988i,0.00030074+0.00079281i,0.0024266+0.0047296i,0.0022562+0.0080196i,-0.0011615+0.0073531i,-0.0052975+0.0039851i,-0.0062849+0.00062744i,-0.0042818+0.00036536i,-0.0016397+0.0023478i
-0.003892-0.0011779i,-0.0075478-0.010033i,-0.0075072-0.019769i,-0.0080017-0.016774i,-0.015899-0.0059722i,-0.020285-0.0052727i,-0.013741-0.0088156i,-0.007346-0.0066699i,-0.0065033-0.0012381i,-0.0069623+0.0027814i,-0.0051419+0.0028072i,-0.0023865+0.00050845i,-0.0016965+0.00035999i,-0.00075212+0.00185i,0.00046192+0.0017646i,-0.0004353-0.00093613i,-0.0028087-0.0030393i,-0.0040027-0.0038174i,-0.0024459-0.0053727i,0.00051699-0.0059462i,0.0024105-0.0052579i,0.0023591-0.0063233i,0.0022399-0.0075809i
0.0057274-0.0010583i,0.01258+0.0038907i,0.017288+0.010742i,0.014112+0.0081884i,0.013846-0.0050811i,0.019409-0.0074327i,0.017933+0.00011185i,0.0099608+0.0019386i,0.0027911-0.00074695i,-0.00038883-0.0023424i,-0.00086534-0.0023329i,-0.0011402-0.0027687i,-0.0015888-0.0042249i,-0.0026732-0.0035064i,-0.0037812-0.00046134i,-0.0031357+0.00071941i,-9.6446e-05-0.00070688i,0.0018331-0.00081271i,0.0028085+0.0025654i,0.0040274+0.0075935i,0.0053305+0.010612i,0.0058353+0.010405i,0.0046601+0.0095479i
-0.0070279-0.00024775i,-0.013519-0.0012309i,-0.019668-0.0044255i,-0.014811-0.0021947i,-0.0072744+0.009426i,-0.0082508+0.015309i,-0.0075624+0.0090743i,-0.0007484+0.0027073i,0.0041414-0.0014397i,0.0042888-0.0041237i,0.0022224-0.0055773i,0.00016871-0.005581i,-0.0017537-0.0041622i,-0.0023772-0.0030241i,-0.0014303-0.0021758i,-0.0015868-0.00019357i,-0.0023011+0.002486i,-0.0030455+0.0037728i,-0.0047972+0.00088014i,-0.0063758-0.0047576i,-0.005684-0.0084505i,-0.0043213-0.009102i,-0.0039963-0.0079815i
0.0045402-0.0043988i,0.0086836-0.0086519i,0.013047-0.010923i,0.0077732-0.0091218i,-0.0035578-0.012944i,-0.0034426-0.017241i,0.004642-0.01351i,0.0082348-0.0085219i,0.0050374-0.0069251i,0.00057888-0.0069697i,-0.0021185-0.0069159i,-0.0038622-0.0056625i,-0.0050736-0.003253i,-0.00388-0.0012277i,-0.00027536-0.0003254i,0.0014833-0.00093246i,0.0001015-0.0032866i,-0.0012892-0.0049787i,-6.3768e-05-0.0041431i,0.0020758-0.0017101i,0.0022662+0.00034747i,0.0018473+0.0003602i,0.0024578-0.00059016i
0.0017313+0.0037939i,0.00070263+0.010025i,-0.0018011+0.013773i,0.00072406+0.0097958i,0.009907+0.0081104i,0.01231+0.012947i,0.006551+0.010873i,0.0013558+0.0020902i,-0.0029618-0.0032394i,-0.0057933-0.0028775i,-0.0053584-0.0005258i,-0.003631-0.00036063i,-0.0034807-0.0011841i,-0.0038519-0.00094877i,-0.0036242+0.00041508i,-0.0025585+0.0025719i,-1.4927e-05+0.0055781i,0.0014246+0.0082723i,-0.0011075+0.0099573i,-0.003676+0.010571i,-0.0041066+0.0091989i,-0.0047916+0.0080306i,-0.0052202+0.0075718i
-0.0056376-0.0026565i,-0.0076424-0.0074076i,-0.007885-0.010683i,-0.007089-0.0069914i,-0.01243-0.001237i,-0.01436-0.0024378i,-0.0084668-0.0043827i,-0.0055693-0.00282i,-0.0074277-0.00072494i,-0.0098013+0.00098194i,-0.0093501+0.0017712i,-0.0072887+0.00060686i,-0.0050603-0.0008217i,-0.0027206-0.001032i,-0.00040071-0.0012256i,-0.00036897-0.0018996i,-0.0037729-0.0004248i,-0.0057687+0.0021503i,-0.0044131+0.0013054i,-0.0015955-0.0029571i,0.0020042-0.0060521i,0.0048044-0.0057464i,0.0053164-0.0043351i
0.0027985-0.0015413i,0.0058098+0.00089557i,0.0084026+0.0027204i,0.007483+0.0006456i,0.009758-0.0060778i,0.01362-0.0043785i,0.011934+0.0027344i,0.006661+0.0033002i,0.00050321-4.7928e-05i,-0.0035836-0.0019057i,-0.0036134-0.0026038i,-0.0025528-0.0023125i,-0.0022399-0.0015202i,-0.0018911-0.00027855i,-0.00051854+0.0018554i,0.0014497+0.0014318i,0.0045337-0.0010215i,0.0065242-0.0019281i,0.0080867+0.0001325i,0.0081605+0.0041311i,0.0048201+0.0073523i,0.003107+0.0077601i,0.0034187+0.0055035i
-0.00060043+0.0020759i,-0.0029525+0.0019081i,-0.0055884+0.00032887i,-0.0051145+0.0016087i,-0.0044593+0.0092564i,-0.0065019+0.011555i,-0.0044887+0.0059099i,0.0018846+0.0014282i,0.004468-0.00074979i,0.0038175-0.0027148i,0.0029064-0.0043484i,0.0015672-0.0037132i,0.00014293-0.0020267i,-0.00081557-0.0016034i,-0.0021826-0.001587i,-0.0038511+0.00019066i,-0.0038904+0.0037301i,-0.0028976+0.0058107i,-0.0030152+0.0048823i,-0.0036568+0.0011602i,-0.0037582-0.0019849i,-0.0037135-0.0028026i,-0.0032972-0.0027075i
-0.00084854+0.0011476i,0.00040221-0.00026394i,0.0038714-3.284e-06i,0.0020843-0.00083153i,-0.0012193-0.0068101i,0.0024302-0.011978i,0.0074404-0.0097625i,0.007701-0.0058281i,0.0055345-0.00472i,0.00275-0.0047674i,2.6622e-05-0.0054303i,-0.0014618-0.0067744i,-0.0023042-0.0062736i,-0.001045-0.003108i,0.0019486-0.0011382i,0.0025132-0.0035109i,0.00069605-0.0068548i,-0.00018639-0.0078177i,-0.00048596-0.0073127i,0.00069798-0.0061094i,0.0027377-0.0053562i,0.0037655-0.0053521i,0.0040269-0.0040616i
-0.0012492+0.00090986i,-0.0026493+0.0037908i,-0.0042036+0.0063189i,-0.0010696+0.0045817i,0.0066318+0.0051476i,0.0071175+0.0088832i,0.0018447+0.0069263i,-0.00050091-0.00015925i,-0.0018072-0.0052302i,-0.0046978-0.0046783i,-0.0061304-0.0022348i,-0.0051288-0.0017669i,-0.0053366-0.0016851i,-0.0068546+0.0003689i,-0.0069518+0.0033239i,-0.00439+0.005547i,-0.00049779+0.0065351i,0.0015024+0.0067645i,0.00057071+0.0072427i,-0.0029361+0.0073915i,-0.0058625+0.0059792i,-0.0060452+0.0050008i,-0.0045505+0.004181i
0.0032734+0.00081578i,0.0027546-0.0015775i,0.0036622-0.0046068i,0.0012571-0.0041522i,-0.0061655-0.0027304i,-0.0087344-0.0034838i,-0.0039073-0.0033892i,-0.0013652-0.0026126i,-0.0036139-0.0027036i,-0.0056629-0.002061i,-0.0054104-0.00086089i,-0.0042813-0.00066917i,-0.0034538-0.0017249i,-0.0019067-0.002494i,-0.0012357-0.0029421i,-0.003011-0.0023625i,-0.0060785-0.00035047i,-0.0085592+0.0016485i,-0.0088089+0.0010146i,-0.0055134-0.0020917i,-0.00020791-0.0031263i,0.0019297-0.0021154i,0.002161-0.00086067i
-0.0009043-0.00062779i,0.00043261+0.00070346i,0.0010335+0.0031436i,0.0027753+0.0026169i,0.0066367+0.00075226i,0.0095515+0.00099077i,0.0079444+0.0030246i,0.0040526+0.0023515i,-0.00017419+0.00065439i,-0.0034331+0.00016868i,-0.0033483-0.00013899i,-0.0013346-0.00054835i,-0.00079187-0.00065135i,-0.0003342+0.0010894i,0.0018258+0.0028977i,0.0044231+0.0021148i,0.0060235+0.00047496i,0.0061259+0.00084282i,0.0070242+0.0026741i,0.0074422+0.0044969i,0.0052707+0.0047403i,0.0042021+0.004328i,0.0045717+0.0039161i
-0.0014538+0.0013652i,-0.0027616+0.00096426i,-0.0047292+0.0007767i,-0.0039116+0.0025715i,-0.002228+0.0059035i,-0.0022621+0.0063488i,-0.00092401+0.0038981i,0.0024482+0.0012319i,0.0031713-0.00089924i,0.0016628-0.0013385i,0.00029844-0.0013762i,-0.00010546-0.001913i,0.00017274-0.0017981i,-0.00084356-0.0019628i,-0.0032745-0.0019367i,-0.0043478-0.00047188i,-0.0038889+0.0020171i,-0.0025194+0.005129i,-0.0019569+0.0068385i,-0.0033845+0.0045557i,-0.0045413+0.001169i,-0.0039255-5.2034e-05i,-0.00249-0.00068156i
0.0041674-0.0026204i,0.0049776-0.0025626i,0.0050919-0.0037289i,0.0027235-0.0047307i,0.00026826-0.0066701i,0.0014666-0.0066734i,0.0054192-0.004124i,0.0063021-0.0031051i,0.0039209-0.0035316i,0.0014752-0.0030567i,-0.00041749-0.0025684i,-0.0018595-0.0036682i,-0.0030224-0.0026976i,-0.0029719-9.1217e-05i,-0.00088364+0.00017416i,0.00011013-0.0020722i,-0.00043157-0.0039152i,-0.0012447-0.0044725i,-0.00074741-0.0053729i,0.0017497-0.0050437i,0.0045795-0.0029301i,0.00551-0.002373i,0.0045511-0.0034845i
-0.00085346-0.0016621i,-0.00054706-0.000821i,-0.0015625+0.00086648i,0.0010344+0.0027913i,0.0038795+0.0040148i,0.0028209+0.0048546i,0.0017413+0.0042169i,0.001391-0.0008999i,-0.00044441-0.0046823i,-0.003601-0.0036675i,-0.0054866-0.002909i,-0.0052981-0.0050341i,-0.005578-0.0069078i,-0.0062618-0.0045921i,-0.0051034-0.0001597i,-0.0023975+0.0028905i,-9.1167e-05+0.0039021i,0.0011464+0.0033815i,0.0018832+0.0033114i,0.00015638+0.0036328i,-0.0026735+0.0030876i,-0.0032051+0.0020294i,-0.0014281+0.0013552i
0.0024117-0.00011697i,0.0035079-0.0014846i,0.002254-0.0041876i,-0.0010571-0.0036538i,-0.0049384-0.002135i,-0.0047907-0.0024924i,-0.00038685-0.0026194i,0.0014944-0.0028073i,-0.0012497-0.0043472i,-0.0042775-0.0056242i,-0.0049848-0.0047677i,-0.0035164-0.0031331i,-0.0011905-0.001871i,-0.00073744-0.0013113i,-0.0015636-0.0012501i,-0.0028212-0.00034785i,-0.0045667+0.00062814i,-0.0054359+0.00053958i,-0.0052927-7.1545e-07i,-0.0034047-0.0011332i,-0.001091-0.0022187i,-6.728e-05-0.0027311i,-0.00067046-0.0022702i
-0.0020748+0.0033483i,-0.0027305+0.0053651i,-0.002098+0.0060877i,0.0003087+0.0032863i,0.0032325+1.0197e-05i,0.0045608+0.00058411i,0.0028048+0.0019618i,0.00067123+0.00041079i,-0.0012175-0.0016252i,-0.0029222-0.0019346i,-0.0027474-0.00057807i,-0.0020429+0.00046825i,-0.0020617+1.4317e-05i,-0.0017998+0.00031818i,0.00024967+0.0012661i,0.0023369+0.0012493i,0.00211-4.2291e-05i,0.00086454-0.00061094i,0.0014214-4.5075e-05i,0.0028504+0.0016907i,0.0030068+0.0035598i,0.0036932+0.0042537i,0.0039673+0.0032354i
