-0.0022267+0.00012065i,-0.0009728-0.00016228i,-0.0021749+0.00070219i,-0.002087+0.00086356i,-0.0010155+0.00049106i,-0.00028112+0.00024838i,-0.00032654+0.00051957i,-0.00085674+0.00072242i,-0.00082068+0.00054191i,-0.00072724+0.00041705i,-0.00072316+0.00050764i,-0.00069189+0.00055753i,-5.0278e-05+0.00068776i,0.00034874+0.0011315i,-0.0002834+0.00071008i,-0.0003747+0.00085556i,-0.00022284+0.00071416i,-0.00013215+6.4918e-05i,-0.00063185-0.00065644i,-0.00032442-0.00042447i,0.00033817-0.00032559i,0.00028027-0.00025141i,8.0319e-06+0.00034527i
-0.1913+0.048752i,-0.47096+0.034154i,-0.6392+0.028917i,-0.48597+0.11696i,-0.17881+0.21809i,0.021691+0.23029i,0.072146+0.22236i,0.074989+0.17742i,0.051906+0.054605i,-0.028695-0.028142i,-0.084209-0.006446i,-0.048839+0.030398i,0.010921+0.013449i,0.029558-0.026643i,0.011554-0.035998i,-0.0030885-0.0016369i,0.0058317+0.042188i,0.02458+0.068664i,0.034383+0.071631i,0.018697+0.047699i,-0.011897+0.018166i,-0.025634+0.0059161i,-0.01391+0.0041776i
0.017788-0.10037i,0.04365-0.13815i,0.014271-0.034599i,0.0075944+0.083328i,0.093012+0.014891i,0.1235-0.14334i,0.063669-0.19149i,0.021677-0.14299i,0.0011696-0.080085i,0.0031211+0.0022503i,0.049983+0.059356i,0.083193+0.040142i,0.055615+0.0038985i,0.016352+0.0068464i,0.011323+0.020499i,0.034106+0.01362i,0.060457-0.0037897i,0.075764-0.011906i,0.083668-0.0077874i,0.076206+0.0014198i,0.047397+0.008336i,0.020767+0.012317i,0.011621+0.013452i
0.077493+0.20442i,0.18173+0.46356i,0.35531+0.56835i,0.44566+0.35135i,0.30582+0.069188i,0.087036-0.010531i,-0.0019663+0.024464i,-0.012709+0.026114i,-0.023882+0.0094881i,-0.0041082+0.012122i,0.045529+0.010208i,0.065372-0.0030398i,0.04687-0.0051932i,0.022701-0.0020832i,-0.00060503-0.0040578i,-0.016219-0.013398i,-0.016666-0.036302i,-0.010194-0.060049i,-0.0069411-0.063877i,-0.0070085-0.041486i,0.0023574-0.0070915i,0.021776+0.0069891i,0.028433-0.0035432i
-0.065959-0.1615i,-0.076369-0.44998i,-0.054573-0.69055i,-0.06884-0.66539i,-0.093907-0.44408i,-0.05327-0.23583i,-0.020556-0.13331i,-0.032253-0.074164i,-0.029316-0.022476i,-0.011544-0.03778i,-0.018259-0.085375i,-0.029309-0.081946i,-0.020599-0.042332i,-0.0069081-0.0090921i,0.0031113+0.0064073i,0.0021631+0.0051113i,-0.020974+0.00098658i,-0.05305+0.0055698i,-0.065105+0.015143i,-0.046919+0.015156i,-0.02185+0.002817i,-0.011542-0.010042i,-0.0078514-0.010721i
0.071973+0.017556i,0.070848+0.067483i,-0.084318+0.086376i,-0.27551+0.082402i,-0.28877+0.068688i,-0.19633-0.0004536i,-0.1656-0.029228i,-0.13542+0.030929i,-0.062095+0.054003i,-0.038217+0.04774i,-0.032144+0.06787i,0.0032242+0.064288i,0.019946+0.029686i,0.0088046+0.010016i,-0.0092023+0.015436i,-0.019259+0.027141i,-0.020119+0.030857i,-0.014869+0.030701i,0.0030064+0.024499i,0.020732+0.0056983i,0.01998-0.011078i,0.0065959-0.013976i,-0.0027201-0.011039i
-0.13311+0.081357i,-0.3151+0.20842i,-0.35078+0.3919i,-0.14087+0.47203i,0.047428+0.35408i,0.036004+0.20857i,0.014424+0.15557i,0.048953+0.088447i,0.035294+0.0074908i,0.014098-0.011427i,0.029302-0.010113i,0.034628-0.020091i,0.016329-0.011631i,0.0097745+0.01226i,0.029874+0.027302i,0.052636+0.030639i,0.056715+0.032307i,0.042761+0.030344i,0.017412+0.021013i,-0.010051+0.008733i,-0.0307-0.00066789i,-0.035717+0.0024902i,-0.021651+0.0096179i
0.13804-0.055459i,0.41154-0.11019i,0.62576-0.14769i,0.55921-0.16819i,0.32619-0.15488i,0.13883-0.093663i,0.020571-0.05144i,-0.057544-0.043399i,-0.079457-0.030577i,-0.049041-0.016119i,-0.0058073-0.014163i,0.019229-0.018644i,0.032012-0.012045i,0.044672-0.008071i,0.04357-0.035244i,0.024044-0.069758i,0.0097758-0.073631i,0.017233-0.045691i,0.035553-0.0163i,0.036058-0.006337i,0.018135+0.00097745i,0.013519+0.013321i,0.021579+0.01386i
-0.024896+0.034937i,-0.091412+0.028753i,-0.082056-0.092113i,0.011029-0.25485i,0.062147-0.27917i,0.09351-0.17132i,0.1205-0.068756i,0.075541-0.00070267i,-0.001002+0.057697i,-0.034926+0.092329i,-0.022451+0.086913i,0.0011406+0.05993i,0.021244+0.027454i,0.018629-0.011592i,-0.0223-0.027981i,-0.058628-0.0033081i,-0.058845+0.020532i,-0.041494+0.017033i,-0.028646+0.0031513i,-0.026572+0.0052414i,-0.021297+0.026608i,-0.0042879+0.035829i,0.0085929+0.023773i
-0.061327-0.090326i,-0.19171-0.26587i,-0.42397-0.37655i,-0.59883-0.28808i,-0.51941-0.14529i,-0.3222-0.12796i,-0.20578-0.12527i,-0.11602-0.04843i,-0.020822+0.013806i,0.030372+0.022111i,0.047871+0.012293i,0.048708+0.0075993i,0.032221+0.012166i,0.0031178+0.021296i,-0.027661+0.037219i,-0.035592+0.05039i,-0.02182+0.03922i,-0.0080774+0.011075i,-0.0015051-0.015094i,-0.00067931-0.031174i,-0.00029513-0.034024i,0.0010079-0.030264i,-0.0011521-0.024596i
0.04545+0.12997i,0.098256+0.42424i,0.15845+0.71854i,0.2028+0.74388i,0.1739+0.50964i,0.059145+0.26945i,-0.013816+0.15933i,-0.0030467+0.096623i,0.0078573+0.022237i,0.0071549-0.019301i,0.024247-0.039388i,0.036766-0.058937i,0.032787-0.057666i,0.024648-0.02995i,0.031111+0.018789i,0.048927+0.061003i,0.038796+0.07443i,0.00013703+0.070418i,-0.031158+0.064795i,-0.037325+0.060278i,-0.020121+0.052434i,-0.0010245+0.03611i,0.0063357+0.013217i
-0.011087-0.053208i,0.0016835-0.1699i,0.11998-0.24565i,0.27009-0.23451i,0.27155-0.19262i,0.16276-0.11217i,0.081839-0.052397i,0.023497-0.049134i,-0.029656-0.021268i,-0.043026+0.010443i,-0.047614-0.001311i,-0.052336-0.016746i,-0.037547-0.021044i,-0.020213-0.021328i,0.0036995-0.020752i,0.03797-0.025251i,0.065597-0.018812i,0.078557+0.0013167i,0.07402+0.012971i,0.049622+0.010186i,0.015246+0.0019475i,-0.0073036-0.0011542i,-0.011841-0.0005331i
0.058091-0.022132i,0.19098-0.086301i,0.26153-0.23824i,0.16662-0.37574i,0.041455-0.37132i,-0.0059113-0.2818i,-0.044345-0.16536i,-0.083371-0.032645i,-0.071854+0.063402i,-0.029278+0.10433i,0.0096142+0.10524i,0.023076+0.077287i,0.011884+0.048611i,0.0050097+0.037945i,0.0066574+0.032058i,0.010006+0.012728i,0.014906-0.01185i,0.018782-0.026212i,0.016432-0.031505i,0.013154-0.019467i,0.019823+0.0062293i,0.027582+0.018461i,0.020145+0.014777i
-0.099783+0.017784i,-0.32388+0.049297i,-0.52551+0.046572i,-0.55032-0.032797i,-0.48258-0.10513i,-0.39374-0.083589i,-0.24103-0.018616i,-0.086365+0.027428i,0.0082774+0.059391i,0.056844+0.055493i,0.063584+0.02186i,0.042551+0.013069i,0.024629+0.026818i,0.025349+0.028154i,0.035396+0.012529i,0.04118-0.013387i,0.042127-0.044011i,0.02746-0.064704i,-0.0086074-0.057571i,-0.0376-0.031108i,-0.04098-0.0094764i,-0.030706+0.0002316i,-0.015221+0.005181i
0.055253+0.022053i,0.15021+0.019135i,0.12263+0.11797i,-0.056924+0.32617i,-0.16982+0.45158i,-0.14401+0.40373i,-0.09608+0.28304i,-0.039137+0.16795i,0.025849+0.062782i,0.052644-0.0018769i,0.050936-0.016347i,0.052864-0.0047936i,0.066237+0.0057382i,0.070632-0.011645i,0.050422-0.04092i,0.0053758-0.055688i,-0.05111-0.050819i,-0.079672-0.019481i,-0.057017+0.021596i,-0.010032+0.039725i,0.026707+0.033499i,0.038945+0.024311i,0.033722+0.01944i
-0.0063354+0.014633i,0.042442+0.12644i,0.23635+0.20016i,0.45779+0.1375i,0.4799+0.056001i,0.37221+0.046251i,0.29612+0.043917i,0.20807+0.016278i,0.10154+0.0046825i,0.037931+0.0039582i,0.0053484-0.0022587i,0.0007578-0.0039059i,0.013212-0.014649i,-0.0058804-0.032442i,-0.040135-0.02782i,-0.041404+0.0042113i,-0.0171+0.038831i,0.0059624+0.047336i,0.013073+0.031431i,0.0069838+0.015905i,-0.0022536+0.0066696i,-0.0085719-0.00021949i,-0.0063426-0.0051709i
0.016094-0.067619i,-0.039851-0.27157i,-0.16194-0.46143i,-0.24073-0.43187i,-0.17055-0.26011i,-0.054875-0.16941i,-0.025948-0.14785i,-0.032107-0.093517i,-0.014023-0.03273i,0.0070577-0.0060982i,0.025151+0.00031799i,0.045631-0.011324i,0.043488-0.021664i,0.018628+0.0027909i,5.3472e-05+0.033491i,-0.0085079+0.034555i,-0.014188+0.02433i,-0.013232+0.022871i,-0.0034299+0.022874i,0.0095433+0.011275i,0.019209-0.0038916i,0.027526-0.008335i,0.02971-0.0092402i
-0.049734+0.082575i,-0.022196+0.23134i,0.027137+0.31145i,0.046964+0.16971i,0.0076632-0.062034i,-0.070424-0.16163i,-0.097564-0.13519i,-0.06876-0.064554i,-0.034265+0.0013423i,0.00080383+0.021607i,0.027888-0.0073594i,0.023264-0.049039i,0.0087158-0.062522i,0.018461-0.043173i,0.040543-0.017731i,0.058679-0.00096752i,0.069717+0.0042995i,0.059722-0.00017925i,0.028587-0.00016239i,-0.0024557+0.01181i,-0.018122+0.021881i,-0.020878+0.019477i,-0.016209+0.010276i
0.026895-0.061798i,-0.072058-0.11739i,-0.23953-0.081074i,-0.37512+0.083519i,-0.39222+0.24815i,-0.29652+0.2975i,-0.18752+0.22862i,-0.08946+0.12346i,0.003254+0.062313i,0.03475+0.033457i,0.00068014+0.019846i,-0.030563+0.024458i,-0.02713+0.01938i,-0.01222-0.0091049i,-0.013284-0.039644i,-0.029331-0.056316i,-0.042966-0.057274i,-0.037296-0.038121i,-0.0070257-0.012544i,0.023603-0.0040598i,0.032677-0.003983i,0.030867+0.0023019i,0.027206+0.0076037i
0.031789+0.07838i,0.20071+0.14162i,0.43379+0.18201i,0.56866+0.19235i,0.53939+0.15467i,0.40303+0.070735i,0.22913+0.029488i,0.099556+0.028589i,0.049903+0.0016319i,0.042376-0.023246i,0.03567-0.01541i,0.021499+0.0071954i,0.004167+0.01698i,-0.019314+0.013761i,-0.030983+0.025557i,-0.017148+0.045941i,0.0044392+0.049245i,0.016396+0.031027i,0.01135+0.0035894i,-0.0011445-0.011435i,-0.004869-0.010821i,-0.0020283-0.0067809i,0.0012008-0.005027i
-0.062662-0.11182i,-0.20653-0.18878i,-0.32321-0.25456i,-0.28501-0.30082i,-0.17496-0.28145i,-0.10713-0.18205i,-0.039775-0.08453i,0.032627-0.040254i,0.067754-0.035109i,0.061002-0.040688i,0.051172-0.026837i,0.063944-0.0078435i,0.062963-0.0012175i,0.043791+0.0121i,0.038089+0.019841i,0.035551+0.0061345i,0.021063-0.0069926i,0.0049653+0.00018071i,0.00061971+0.01704i,0.003839+0.019968i,0.0071549+0.0094408i,0.016262-3.4953e-05i,0.024783-0.0071216i
0.077651+0.10986i,0.17652+0.14175i,0.22083+0.13991i,0.16656+0.11022i,0.083193+0.055053i,0.016023+0.012774i,-0.027353+0.012547i,-0.041676+0.0063456i,-0.057029-0.026852i,-0.063212-0.049264i,-0.045314-0.068444i,-0.0328-0.084756i,-0.019655-0.074091i,0.0067764-0.059185i,0.021732-0.059224i,0.018048-0.052626i,0.014513-0.033621i,0.022051-0.022709i,0.025751-0.023098i,0.012152-0.015395i,-0.0017815+0.00081635i,-0.0030581+0.0054281i,-0.0012859-0.0040783i
-0.1112-0.056609i,-0.18149-0.030245i,-0.20148-0.029449i,-0.22099-0.085305i,-0.23881-0.067583i,-0.1534+0.025788i,-0.018767+0.043249i,0.033366+0.012198i,0.023718+0.024897i,0.003382+0.044091i,-0.025704+0.051668i,-0.035328+0.050356i,-0.031232+0.021085i,-0.048787-0.013559i,-0.079019-0.025158i,-0.086546-0.021367i,-0.067437-0.019636i,-0.049788-0.022696i,-0.03973-0.020583i,-0.020684-0.011753i,0.0040599-0.0050342i,0.016626-0.0081652i,0.010977-0.013341i
0.14607-0.0071928i,0.20112-0.07315i,0.16297-0.020698i,0.1423+0.20048i,0.2036+0.30328i,0.21382+0.18304i,0.11988+0.053803i,0.032744+0.004633i,0.012126-0.0067139i,0.019473+0.0023719i,0.024973+0.014446i,0.020281+0.020443i,0.0047536+0.028779i,-0.010773+0.048057i,-0.009721+0.075432i,0.00056565+0.086895i,0.0020262+0.073301i,-0.0041483+0.050374i,-0.010529+0.03207i,-0.012116+0.021068i,-0.006451+0.0074387i,-0.003027-0.0063525i,-0.0059174-0.0091514i
-0.14909+0.077152i,-0.1645+0.13595i,-0.047496+0.033456i,0.074153-0.2385i,0.076375-0.39621i,0.027596-0.36707i,-0.0041705-0.28139i,-0.018537-0.1669i,-0.0042861-0.077799i,0.017193-0.047585i,0.037322-0.02211i,0.057171-0.0031154i,0.049983-0.00067437i,0.038857+0.013699i,0.054258+0.027703i,0.069591+0.021516i,0.058446+0.013282i,0.035154+0.021118i,0.025322+0.034885i,0.029001+0.029063i,0.025622+0.0049757i,0.011978-0.0084814i,0.0022721-0.0030103i
0.094851-0.12816i,0.034589-0.18069i,-0.12488-0.070602i,-0.2284+0.13596i,-0.23277+0.21772i,-0.25167+0.19849i,-0.24521+0.18899i,-0.14095+0.12201i,-0.060295+0.015146i,-0.050672-0.033057i,-0.050175-0.047971i,-0.049384-0.054035i,-0.032287-0.031613i,0.0069131-0.027383i,0.024203-0.066402i,0.0098582-0.08761i,0.0029532-0.066571i,0.019682-0.043785i,0.034501-0.043977i,0.022237-0.046227i,-0.0042669-0.02751i,-0.014923-0.0045569i,-0.0079344+0.0034092i
-0.013455+0.17845i,0.10188+0.22786i,0.22769+0.086052i,0.18845-0.12943i,0.084235-0.15549i,0.11204-0.03046i,0.15227+0.017717i,0.064179+0.0068473i,-0.024387+0.02617i,-0.035481+0.048337i,-0.018728+0.062342i,-0.0024189+0.059974i,-0.0028345+0.03037i,-0.031196+0.0071458i,-0.069395+0.0147i,-0.074796+0.028977i,-0.048888+0.020392i,-0.036302-0.00095343i,-0.046548-0.0089342i,-0.048481-0.0026606i,-0.027901+0.0025953i,-0.007471-0.00014223i,0.0015627-0.0041456i
-0.072624-0.19488i,-0.23962-0.22184i,-0.38794-0.00069284i,-0.32227+0.33023i,-0.11485+0.41689i,0.0057749+0.24243i,0.023233+0.11289i,0.047297+0.072438i,0.058386+0.028104i,0.042941+0.005913i,0.042766+0.0018328i,0.043709+0.0013804i,0.040829+0.015499i,0.042785+0.030592i,0.038865+0.04278i,0.029597+0.048404i,0.016143+0.037007i,0.0040272+0.027865i,0.0028782+0.031985i,0.0053125+0.033382i,0.0030335+0.02653i,-0.00044545+0.017164i,-0.00033659+0.0062324i
0.14733+0.17894i,0.34527+0.20316i,0.5296+0.034202i,0.5663-0.2215i,0.46255-0.34071i,0.32333-0.32901i,0.18771-0.28704i,0.049695-0.19072i,-0.028947-0.070278i,-0.02267-0.013898i,0.0081567-0.014903i,0.024451-0.026913i,0.019685-0.031494i,0.015406-0.015981i,0.038983+0.0078829i,0.063695+0.014992i,0.052474+0.013393i,0.027521+0.016176i,0.021018+0.017257i,0.02478+0.0079699i,0.018856-0.0057462i,0.0073186-0.011577i,0.00056809-0.010605i
-0.21159-0.11682i,-0.4009-0.09209i,-0.48774+0.058562i,-0.40416+0.15691i,-0.32712+0.065446i,-0.3736-0.021045i,-0.35462+0.015888i,-0.19538+0.041034i,-0.076071+0.010146i,-0.05595-0.0087448i,-0.061458-0.018776i,-0.06135-0.022389i,-0.039017-0.014344i,-0.010772-0.037299i,-0.013463-0.088163i,-0.02985-0.1074i,-0.024168-0.079878i,-0.0016419-0.048864i,0.01015-0.043427i,-0.0015428-0.04227i,-0.016045-0.022396i,-0.016528+0.0024147i,-0.012184+0.014002i
0.2769+0.024717i,0.51061-0.077663i,0.60672-0.30335i,0.43785-0.43624i,0.20206-0.26407i,0.13991+0.0019374i,0.12582+0.074081i,0.02143+0.040187i,-0.048423+0.064976i,-0.019764+0.1015i,0.01298+0.10258i,0.014112+0.088997i,0.0018153+0.065552i,-0.025214+0.060526i,-0.048279+0.08478i,-0.042679+0.093746i,-0.023371+0.067246i,-0.017403+0.034598i,-0.028507+0.023736i,-0.031276+0.031546i,-0.01688+0.031835i,-0.0017946+0.017795i,0.0073259+0.0040013i
-0.29729+0.053954i,-0.55454+0.16918i,-0.70187+0.326i,-0.59422+0.3915i,-0.34627+0.25825i,-0.17926+0.076788i,-0.11063+0.039366i,-0.038122+0.071602i,0.028317+0.047327i,0.048225+0.0022568i,0.051869-0.011482i,0.059656-0.0037937i,0.064911+0.0049917i,0.062321+0.0062202i,0.051923+0.0048006i,0.038093+0.0030665i,0.024195-0.00179i,0.016915-0.0022666i,0.019244+0.004127i,0.020666+0.0069858i,0.013745+0.0069139i,0.0058243+0.0097954i,0.0029213+0.013001i
0.24756-0.153i,0.44921-0.29755i,0.54372-0.39077i,0.45966-0.35254i,0.3089-0.21626i,0.21745-0.092602i,0.172-0.04193i,0.10894-0.0057172i,0.066413+0.043247i,0.067242+0.043446i,0.062869+0.00069685i,0.048779-0.02762i,0.038148-0.031476i,0.041346-0.018959i,0.065814-0.0046909i,0.078397-0.0035347i,0.056522-0.0065272i,0.024327-0.0078365i,0.0072915-0.0094645i,0.0055826-0.0069692i,0.0052418-0.0012546i,0.0034298+0.0013768i,0.0029337-0.001995i
-0.17307+0.25001i,-0.31236+0.45348i,-0.37445+0.53503i,-0.33555+0.38648i,-0.29826+0.13456i,-0.30234-0.024772i,-0.25564-0.029722i,-0.12993+0.009833i,-0.038532-0.0045163i,-0.037279-0.0376i,-0.059896-0.046587i,-0.055849-0.044316i,-0.033714-0.050766i,-0.028552-0.079193i,-0.052368-0.1124i,-0.070838-0.11192i,-0.060818-0.076897i,-0.039261-0.037373i,-0.027299-0.011413i,-0.024299+0.00065072i,-0.013727+0.0078993i,0.0030978+0.014383i,0.013709+0.019096i
0.082672-0.28569i,0.18087-0.53126i,0.24425-0.64262i,0.18786-0.47873i,0.090836-0.13885i,0.09274+0.12554i,0.14237+0.15489i,0.13077+0.069256i,0.094938+0.036494i,0.082096+0.045239i,0.064774+0.050951i,0.040492+0.0508i,0.015504+0.045043i,-0.011549+0.058865i,-0.02596+0.086486i,-0.024347+0.0906i,-0.016783+0.069608i,-0.0038431+0.047092i,0.014348+0.03675i,0.031057+0.031488i,0.035824+0.019767i,0.031212+0.0037262i,0.026959-0.011195i
0.012977+0.27302i,-0.060205+0.4955i,-0.20353+0.60379i,-0.26499+0.5158i,-0.16247+0.30003i,-0.044006+0.086161i,-0.015399-0.02592i,-0.0085547-0.054709i,0.014477-0.073556i,0.011737-0.079412i,0.00060403-0.053677i,0.0045202-0.032963i,0.0035403-0.032302i,-0.0043226-0.0303i,-0.0082049-0.016044i,-0.0047796+0.0022298i,0.0039057+0.0094292i,0.013261+0.001795i,0.018915-0.017027i,0.014573-0.035997i,0.0040228-0.041797i,-0.0012283-0.036531i,-0.0025769-0.0313i
-0.10768-0.21793i,-0.11356-0.37237i,0.013424-0.39839i,0.1723-0.26255i,0.22237-0.1194i,0.19335-0.077264i,0.14575-0.07353i,0.091414-0.049969i,0.043653-0.026426i,0.018682-0.017164i,0.018721-0.016008i,0.027428-0.014842i,0.02835-0.0033067i,0.037882+0.015873i,0.063537+0.021011i,0.074781+0.0087097i,0.057295-0.0050059i,0.025641-0.015938i,-0.0087798-0.02297i,-0.031359-0.016374i,-0.034943-0.0011622i,-0.031329+0.005521i,-0.031329+0.0040285i
0.17787+0.15423i,0.26494+0.2964i,0.21611+0.37003i,0.079392+0.27908i,-0.050081+0.11038i,-0.16883+0.006999i,-0.21748-0.026991i,-0.17382-0.047377i,-0.12252-0.057721i,-0.099092-0.040826i,-0.083346-0.01976i,-0.068504-0.017865i,-0.057234-0.024729i,-0.055927-0.037184i,-0.065405-0.054249i,-0.066711-0.0555i,-0.050891-0.037126i,-0.038796-0.0096343i,-0.036732+0.023668i,-0.027946+0.047388i,-0.0097932+0.047336i,0.0069753+0.035223i,0.014235+0.025239i
-0.19806-0.077781i,-0.28264-0.20194i,-0.20294-0.33486i,-0.032417-0.32398i,0.078928-0.15778i,0.12954+0.0046537i,0.12471+0.068002i,0.070226+0.070283i,0.026997+0.064019i,0.022955+0.065455i,0.038229+0.065492i,0.040201+0.055118i,0.029125+0.049074i,0.026166+0.054906i,0.024542+0.059388i,0.016143+0.050226i,0.0083663+0.031417i,0.013627+0.020318i,0.035243+0.019277i,0.05325+0.014144i,0.050407+0.0036873i,0.033349-0.0037258i,0.017945-0.002667i
0.18498-0.016489i,0.24332+0.037295i,0.13822+0.14526i,-0.030721+0.19416i,-0.088651+0.15194i,-0.070036+0.090667i,-0.048557+0.039906i,-0.02531-0.0024885i,-0.0023728-0.017495i,0.017218-0.015318i,0.019635-0.022906i,0.0057139-0.027599i,-0.0027802-0.023451i,-0.0073713-0.021454i,-0.012145-0.013216i,-0.011158+0.0033754i,-0.0052988+0.015348i,0.0025828+0.011374i,0.0082811-0.010143i,0.0079387-0.034678i,0.0021519-0.045525i,-0.0014046-0.041919i,0.00032006-0.034209i
-0.14753+0.11075i,-0.20854+0.137i,-0.13358+0.078985i,0.055971-0.0080634i,0.21293-0.10371i,0.25191-0.18008i,0.17501-0.15239i,0.066799-0.053485i,0.0086111+0.0022807i,-0.0043356-0.001333i,0.00535-0.01216i,0.021283-0.008242i,0.034195+0.0044584i,0.044708+0.0073187i,0.049427-0.0022705i,0.046751-0.012048i,0.037158-0.017279i,0.01758-0.017458i,-0.0088981-0.010915i,-0.029469+0.0017836i,-0.03678+0.015196i,-0.035953+0.021606i,-0.030804+0.022167i
0.092736-0.15902i,0.16859-0.20282i,0.19035-0.13725i,0.087008-0.065275i,-0.12112-0.045048i,-0.28791-0.012996i,-0.26902+0.0044728i,-0.15014-0.023831i,-0.080396-0.038553i,-0.055674-0.023987i,-0.047026-0.010618i,-0.044308-0.0011417i,-0.039047-0.00097744i,-0.043493-0.008376i,-0.051969-0.011792i,-0.047924-0.0086006i,-0.032187+0.00027102i,-0.014253+0.014745i,0.0020309+0.027544i,0.015613+0.028907i,0.023289+0.022449i,0.028918+0.018171i,0.030561+0.011663i
-0.011336+0.16424i,-0.032953+0.1866i,-0.041142+0.049192i,0.010105-0.10711i,0.11115-0.11973i,0.17499-0.060988i,0.1205-0.0028462i,0.023769+0.055472i,-0.012511+0.080023i,-0.0091373+0.068077i,-4.2589e-05+0.054622i,0.013711+0.041591i,0.023722+0.02469i,0.025216+0.01789i,0.025022+0.021649i,0.02465+0.016641i,0.019355-0.00035649i,0.01902-0.016094i,0.025995-0.024421i,0.028538-0.025112i,0.024278-0.021573i,0.015847-0.01922i,0.0065427-0.014788i
-0.078795-0.14397i,-0.12857-0.1961i,-0.17027-0.13787i,-0.23468-0.043487i,-0.29701+0.013816i,-0.27805+0.076995i,-0.14831+0.10451i,-0.015292+0.067796i,0.034109+0.040573i,0.037332+0.031589i,0.033435+0.013628i,0.027497+0.00065661i,0.020889-0.0026627i,0.0097227+0.00084878i,-0.00019282+0.0090725i,-0.0058595+0.017381i,-0.0085465+0.020752i,-0.010501+0.011243i,-0.0178-0.010524i,-0.027168-0.030793i,-0.029595-0.036406i,-0.025108-0.030859i,-0.017438-0.022709i
0.1351+0.11387i,0.18741+0.17658i,0.15048+0.17605i,0.1072+0.12901i,0.15974+0.052308i,0.23348-0.05009i,0.18553-0.08247i,0.08033-0.027422i,0.043043+0.014167i,0.04214+0.010605i,0.033771-0.00088626i,0.023754-0.0088475i,0.017167-0.013039i,0.021149-0.013921i,0.030739-0.019526i,0.033962-0.028126i,0.025371-0.030693i,0.0042394-0.0218i,-0.015734+0.0028914i,-0.022589+0.031986i,-0.023191+0.043939i,-0.024374+0.040288i,-0.020621+0.032748i
-0.15425-0.043178i,-0.2106-0.055973i,-0.15103-0.030399i,-0.10434+0.0095139i,-0.20151+0.034073i,-0.2904+0.053296i,-0.20342+0.040627i,-0.054514-0.0091444i,0.0074594-0.040429i,0.0057183-0.028192i,0.00059588-0.0028948i,0.0026725+0.0071066i,-0.00028523+0.0019996i,-0.0099322-0.0033058i,-0.018399-0.0030874i,-0.022141+0.0028778i,-0.018052+0.015733i,-0.004483+0.025165i,0.011857+0.016694i,0.018173-0.0027796i,0.014523-0.0086421i,0.020062+0.0018134i,0.030244+0.0061758i
0.16301-0.037874i,0.23438-0.077592i,0.18585-0.095456i,0.11961-0.043086i,0.16291+0.043359i,0.20195+0.059599i,0.12769+0.018743i,0.032314-0.0039571i,0.0083616-0.010931i,0.020409-0.021892i,0.018302-0.027844i,0.0070322-0.02311i,0.0023843-0.015354i,0.0041138-0.010942i,0.0052421-0.010988i,0.0053166-0.016866i,0.0051801-0.025593i,0.00071779-0.027512i,-0.0067826-0.018078i,-0.0086533-0.00035389i,0.0024274+0.011425i,0.015122+0.0028517i,0.013892-0.011216i
-0.1362+0.10632i,-0.21361+0.17827i,-0.1937+0.18112i,-0.1265+0.11238i,-0.10372+0.057427i,-0.087869+0.050206i,-0.038393+0.045276i,0.0019215+0.021759i,-0.00062103+0.00033i,-0.012928-0.0020274i,0.00046877+0.0029801i,0.020912+0.0030672i,0.023234+0.0039792i,0.011483+0.0063579i,-0.0046911+0.011278i,-0.014821+0.021514i,-0.013369+0.028865i,-0.0068156+0.026432i,-0.0095174+0.018744i,-0.020696+0.0097743i,-0.026194-0.00073415i,-0.025273-0.00922i,-0.019056-0.010266i
0.087724-0.14486i,0.12707-0.21199i,0.11232-0.14694i,0.10695-0.012951i,0.14926+0.014077i,0.15891-0.048069i,0.09511-0.080547i,0.017952-0.065996i,-0.012646-0.036832i,-0.0075483-0.027757i,-0.0096245-0.035495i,-0.019053-0.033661i,-0.018202-0.02358i,-0.0087832-0.015313i,0.0046778-0.011066i,0.013572-0.01585i,0.0091045-0.020163i,-0.00029419-0.0095663i,0.0087946+0.018592i,0.033353+0.043944i,0.041309+0.043939i,0.023986+0.030102i,0.0055791+0.019434i
-0.015379+0.16462i,0.016627+0.25294i,0.090577+0.2016i,0.12541+0.057032i,0.061194-0.025941i,-0.03457-0.036467i,-0.075977-0.022641i,-0.06086+0.0026928i,-0.039731+0.013318i,-0.038194+0.021588i,-0.028615+0.033528i,-0.0063069+0.02624i,0.0041673+0.010863i,-0.00049518+0.003682i,-0.0093894+0.0058257i,-0.010602+0.016304i,-0.00038703+0.023447i,0.015949+0.013997i,0.027049-0.020581i,0.018829-0.056343i,0.00014344-0.055378i,-0.0028432-0.027404i,0.0059997-0.0084371i
-0.041966-0.16556i,-0.091833-0.27878i,-0.11006-0.28908i,-0.072078-0.21201i,-0.031151-0.12853i,-0.036437-0.053985i,-0.043673-0.0077778i,-0.031964+0.0023635i,-0.016134+0.010689i,0.0035511+0.009497i,0.005396-0.0077761i,-0.0072268-0.012334i,-0.011415-0.0054059i,-0.0065801-0.0014016i,-7.2108e-05-0.0048892i,0.0019218-0.015251i,-0.0025049-0.022527i,-0.013792-0.020041i,-0.027327-0.0065019i,-0.026403+0.012954i,-0.0056901+0.024185i,0.012184+0.017397i,0.01145+0.0043209i
