0.0022065-0.0015976i,0.0019074-0.0023211i,0.00086773-0.0027535i,-0.00078421-0.0023575i,-0.003127-0.0012078i,-0.0033881+0.00047598i,-0.00071577+0.0023834i,0.0014848+0.0029731i,0.0019584+0.0017829i,0.0013372-0.00028176i,-0.00028742-0.0013984i,-0.0016673-0.00094559i,-0.0021277-0.00027438i,-0.0014855-0.00027952i,-0.00042449-0.00040416i,-0.00065344+0.00023067i,-0.00063038+0.00025441i,6.1407e-05+0.0004938i,-0.00024466+0.0011385i,5.077e-05+0.00099861i,0.00032131+0.00015601i,-4.5078e-05-0.00066391i,6.2923e-05-0.00051982i
0.18986-0.34525i,0.11486-0.23656i,0.084377-0.078273i,0.047067-0.01137i,0.024922-0.012388i,0.013097-0.039028i,-0.019741-0.048601i,-0.030511-0.03504i,-0.015893-0.031248i,-0.014797-0.02024i,-0.0069107+0.0020028i,0.0075119+0.00393i,0.0050748-0.003699i,-0.0011686-0.0014471i,0.0032394+0.00014892i,0.011381-0.0062466i,0.011911-0.009295i,0.0074495-0.0010591i,0.0077586+0.0075479i,0.0088657+0.0048645i,0.0033476-0.0025621i,-0.0036481-0.00019845i,-0.0041141+0.007034i
-0.020951+0.50501i,0.017633+0.30602i,-0.037948+0.10426i,-0.13935+0.053337i,-0.1799+0.08038i,-0.15512+0.087958i,-0.10462+0.070111i,-0.057851+0.060712i,-0.01836+0.063912i,0.012708+0.053003i,0.013896+0.023886i,-0.0047587+0.010772i,-0.00913+0.013561i,-0.0026434+0.0096815i,-0.002974+0.00077153i,-0.008733-0.0035877i,-0.0085215+0.00010134i,0.003672+0.00086056i,0.013068-0.0057695i,0.013327-0.0072805i,0.014647-0.0052527i,0.015936-0.0078771i,0.012052-0.010401i
-0.15314-0.11245i,-0.11103-0.12366i,-0.072283-0.08654i,0.036709-0.022203i,0.14247+9.2682e-05i,0.17487+0.016738i,0.14486+0.0068273i,0.074747-0.032538i,0.014326-0.047018i,-0.0097808-0.045721i,-0.020832-0.032341i,-0.017884-0.0089228i,-0.005681-0.00053751i,0.0014537+0.0003639i,0.0090179+0.0032751i,0.014257+0.0018502i,0.0080741-0.0039439i,-0.0059685-0.0050022i,-0.015553+0.0019186i,-0.013965+0.0099039i,-0.0069301+0.013554i,-0.0021813+0.010071i,-0.00077631+0.0029896i
-0.11603-0.32993i,-0.19476-0.022455i,-0.069353+0.15736i,0.014077+0.095683i,-0.054262+0.028595i,-0.098735+0.032136i,-0.073403+0.04593i,-0.044441+0.048515i,-0.032844+0.035411i,-0.022017+0.021847i,0.00081814+0.0043796i,0.013818-0.020224i,0.0065893-0.029245i,-0.0014102-0.025638i,-0.0072339-0.021855i,-0.011222-0.01595i,-0.011173-0.007111i,-0.0082101+0.0039401i,-0.0020375+0.011818i,-0.002022+0.0096458i,-0.0094606+0.0059953i,-0.013457+0.010486i,-0.010491+0.015431i
0.34442+0.248i,0.3385-0.021581i,0.17676-0.16285i,0.019334-0.077742i,0.028018+0.0502i,0.077249+0.050636i,0.06268+0.0070977i,0.065295+0.0073699i,0.096768+0.0070461i,0.081664-0.010679i,0.033178-0.008672i,0.0015296+0.0050134i,-0.0082856+0.012283i,-0.0070261+0.016502i,-0.0038088+0.020174i,-0.0018548+0.023314i,0.0025035+0.019915i,0.0053385+0.0059861i,0.0039807-0.0084074i,0.0052386-0.015265i,0.010976-0.019813i,0.016067-0.023568i,0.015721-0.020784i
-0.23649+0.01392i,-0.27243-0.072146i,-0.28518-0.086769i,-0.16943-0.09935i,-0.062108-0.18827i,-0.05143-0.21404i,-0.043076-0.14312i,-0.036071-0.087912i,-0.055602-0.063014i,-0.061562-0.038122i,-0.036316-0.014865i,-0.0047906-0.0030815i,0.012117-0.0017984i,0.020203-0.00075056i,0.026863-0.00015235i,0.028075-0.0029457i,0.02155-0.0025019i,0.012584+0.0025261i,0.005784+0.0064773i,0.00072082+0.0090801i,-0.0019553+0.010957i,-0.0038298+0.0088878i,-0.0071686+0.001046i
-0.1009-0.21003i,0.058049+0.10858i,0.20392+0.23304i,0.16735+0.19723i,0.070654+0.18454i,0.040389+0.18603i,0.033031+0.13734i,0.017449+0.08614i,0.012703+0.061884i,0.023105+0.041193i,0.022522+0.0080232i,0.0075727-0.015933i,-0.0052843-0.022245i,-0.016086-0.023284i,-0.021207-0.018958i,-0.016026-0.012168i,-0.0052524-0.0079119i,0.0042403-0.0076679i,0.010736-0.0083806i,0.0104-0.0050265i,0.0018754+0.0024278i,-0.0055609+0.013943i,-0.0065174+0.021684i
0.34153+0.088652i,0.1718-0.13633i,0.01678-0.19426i,-0.035399-0.093652i,-0.021322-0.051112i,-0.021413-0.092922i,-0.058054-0.081225i,-0.050225-0.026552i,-4.1321e-05-0.007347i,0.026663-0.0073286i,0.023459+0.006908i,0.011981+0.028203i,0.0098606+0.041036i,0.014258+0.037074i,0.010807+0.019033i,-0.00046572+0.0032911i,-0.012141-7.8432e-05i,-0.015643+0.0043342i,-0.012265+0.0043258i,-0.0094507-0.004237i,-0.0074309-0.015599i,-0.0057684-0.024728i,-0.0045502-0.024304i
-0.13474+0.24608i,-0.16762+0.19688i,-0.16243+0.13484i,-0.10904+0.03743i,-0.1298+0.0084291i,-0.13968+0.059616i,-0.054502+0.058561i,-0.002425+0.013814i,-0.010238+0.011661i,-0.016014+0.011561i,-0.019675-0.0031911i,-0.013788-0.0069544i,0.0043143-0.0085343i,0.016988-0.0087998i,0.019544-0.0045228i,0.012008-0.0019606i,0.0018015+0.0021056i,0.0011567+0.0071325i,0.0056481+0.009019i,0.0069768+0.014342i,0.0077268+0.019116i,0.0090984+0.01506i,0.0070956+0.0053382i
-0.38861-0.33781i,-0.185-0.089695i,0.039522+0.00095611i,0.10306-0.045149i,0.11121-0.049371i,0.14407-0.012136i,0.14449-0.011031i,0.089641-0.039497i,0.026079-0.061296i,-0.013135-0.054967i,-0.022217-0.038546i,-0.018121-0.035729i,-0.019212-0.037426i,-0.021201-0.028184i,-0.015703-0.0095252i,-0.0016638+0.0051378i,0.0076426+0.0058409i,0.00016917+0.00060615i,-0.010285+0.0023749i,-0.011242+0.0069744i,-0.0065901+0.010444i,-0.00011957+0.014031i,0.0033032+0.016721i
0.31038+0.087541i,0.14509+0.028355i,-0.044161+0.012974i,-0.18918+0.09406i,-0.2154+0.15718i,-0.18712+0.14552i,-0.15618+0.13957i,-0.086352+0.147i,-0.010967+0.11322i,0.024309+0.065314i,0.036462+0.032705i,0.035157+0.0094717i,0.021577-0.0024634i,0.0075876-0.0073033i,-0.0039933-0.0082314i,-0.0057626-0.0013735i,0.0051016+0.006873i,0.014824+0.010715i,0.016289+0.01233i,0.01404+0.008253i,0.0079493-0.0027856i,-0.0020741-0.0087619i,-0.0064978-0.0032374i
0.22796+0.061331i,0.11088-0.24945i,-0.049375-0.27186i,-0.0086046-0.12347i,0.10409-0.066412i,0.11331-0.07479i,0.046708-0.061951i,0.0031763-0.04219i,0.0085073-0.0384i,0.011645-0.050198i,-0.0070345-0.043311i,-0.023682-0.01766i,-0.026652+0.0047602i,-0.012577+0.017763i,0.0063843+0.012505i,0.007899-0.0041386i,0.00014267-0.0181i,-0.0007642-0.025034i,0.0017549-0.025653i,0.0033651-0.019947i,0.0075424-0.0091505i,0.0136-0.0063079i,0.012744-0.015556i
-0.66427-0.1662i,-0.52418+0.13941i,-0.2209+0.22089i,-0.013469+0.050108i,-0.0097206-0.095733i,-0.036236-0.096586i,0.0089118-0.06059i,0.022411-0.048202i,-0.012959-0.034182i,-0.028544-0.023359i,-0.024315-0.022503i,-0.012545-0.014342i,0.0059101-0.0051331i,0.022695-0.0012678i,0.035594+0.0023115i,0.035331+0.0042082i,0.015438+0.011015i,-0.0061945+0.0209i,-0.013219+0.021247i,-0.013922+0.013023i,-0.017709+0.0083595i,-0.019158+0.011027i,-0.015445+0.011863i
0.49215+0.10529i,0.57651+0.18201i,0.51635+0.1665i,0.33754+0.18964i,0.26765+0.22437i,0.26015+0.12599i,0.15938-0.0058036i,0.070839-0.027095i,0.077224-0.0012322i,0.084728+0.006153i,0.056064+0.011687i,0.034068+0.015231i,0.026801+0.0043838i,0.016491-0.010888i,0.006322-0.015457i,0.012069-0.0079498i,0.0292+0.00077i,0.03972+0.0010223i,0.035921-0.0043277i,0.022548-0.008676i,0.01067-0.0098916i,0.004321-0.004938i,0.0028738+0.0058618i
0.21381+0.021696i,-0.036658-0.32163i,-0.22813-0.38534i,-0.22184-0.30535i,-0.21535-0.26341i,-0.25639-0.17843i,-0.2244-0.035496i,-0.14294+0.047752i,-0.087735+0.064294i,-0.046935+0.067084i,-0.0049565+0.064516i,0.017298+0.051367i,0.014614+0.037109i,0.0008864+0.024463i,-0.018592+0.0058369i,-0.038954-0.013716i,-0.04764-0.021821i,-0.040465-0.019268i,-0.027738-0.016477i,-0.014862-0.0095952i,-0.0002389-0.0059766i,0.0071694-0.018048i,0.0013847-0.025125i
-0.63123-0.091116i,-0.46525+0.12931i,-0.29441+0.21799i,-0.22685+0.21406i,-0.1712+0.24796i,-0.011715+0.24203i,0.14322+0.11018i,0.1453-0.016736i,0.06743-0.050343i,0.014217-0.062942i,-0.02869-0.087052i,-0.05997-0.081315i,-0.05802-0.054993i,-0.04801-0.033755i,-0.049429-0.011594i,-0.050228+0.0085622i,-0.041125+0.020254i,-0.024492+0.026463i,-0.006026+0.030644i,0.0085139+0.031531i,0.013892+0.031198i,0.0087822+0.031643i,0.002094+0.029044i
0.12046-0.14335i,0.049132-0.046989i,-0.014684+0.026164i,-0.089156+0.11995i,-0.10931+0.16992i,-0.10087+0.20865i,-0.029282+0.26796i,0.093673+0.20396i,0.10961+0.052282i,0.050471-0.011181i,0.036295-0.019464i,0.028519-0.037105i,0.011687-0.026278i,0.020066+0.010181i,0.043944+0.052887i,0.072936+0.084838i,0.073708+0.072235i,0.0368+0.044201i,0.011778+0.035949i,0.0052363+0.025079i,-0.0058084+0.011536i,-0.0084249+0.0087192i,0.0046586+0.0017752i
0.31214+0.16045i,0.041203-0.034927i,-0.1759-0.033088i,-0.19565-0.010263i,-0.15709-0.040513i,-0.077478-0.049193i,-0.022333-0.064424i,-0.042051-0.033602i,0.0062809+0.034325i,0.067804+0.017573i,0.040457-0.0055594i,0.020693+0.021236i,0.037835+0.019818i,0.053349-0.0095223i,0.074445-0.042914i,0.081112-0.064653i,0.063245-0.049463i,0.045712-0.019202i,0.033929+0.00052322i,0.025053+0.011219i,0.018722+0.013138i,0.0083819+0.0083764i,-0.008524+0.0036001i
-0.5095-0.21556i,-0.30093-0.22641i,-0.071171-0.2264i,0.040915-0.22037i,-0.012443-0.1439i,-0.15089-0.017587i,-0.25741+0.059449i,-0.24701+0.060498i,-0.15383+0.013755i,-0.062033-0.045615i,-0.017511-0.084666i,-0.014058-0.089061i,-0.015097-0.069327i,-0.011926-0.056868i,-0.030134-0.065826i,-0.065984-0.071361i,-0.074777-0.052321i,-0.039957-0.025638i,-0.0056555-0.020353i,-0.0091161-0.017503i,-0.023271-0.001381i,-0.022804+0.0036052i,-0.021031-0.003353i
0.034871-0.23487i,0.052552-0.070333i,0.079055-0.035219i,0.10672-0.035732i,0.20768-0.13963i,0.17279-0.36895i,-0.05703-0.33444i,-0.12904-0.019806i,0.012099+0.09794i,0.048986-0.0026062i,0.0021724-0.023222i,0.019505-0.010441i,0.027798-0.033435i,0.026144-0.023775i,0.044545-0.0041774i,0.049816+0.014304i,0.050858+0.042498i,0.043487+0.047742i,0.015686+0.027936i,-0.01327+0.011702i,-0.024436+0.006569i,-0.014672+0.010716i,0.013782+0.025339i
-2.2134+7.2331i,-0.59914+5.4579i,2.714+4.8266i,4.7712+1.9265i,4.4313-1.0422i,2.3643-2.1335i,0.30464-1.0647i,-0.30213+0.50748i,0.45139+1.1765i,1.5112+0.6309i,1.7761-0.55114i,1.258-1.4375i,0.68347-1.5204i,0.57465-1.0069i,0.85885-0.665i,0.7615-0.57758i,0.27181-0.36852i,-0.052546-0.21046i,-0.19416-0.23319i,-0.19585-0.20243i,-0.017588-0.18478i,0.15089-0.34251i,0.10662-0.47641i
-0.89062-0.10259i,-0.89081+0.06771i,-0.57064+0.2328i,-0.12879+0.086304i,-0.049352-0.34992i,-0.31821-0.72998i,-0.55433-0.7809i,-0.54862-0.50521i,-0.35107-0.19583i,-0.17374-0.070109i,-0.088497-0.03431i,-0.038777-0.017422i,-0.030021-0.01232i,-0.047855+0.024051i,-0.056293+0.062888i,-0.069472+0.071997i,-0.065+0.063926i,-0.037146+0.033319i,-0.029442-0.0025687i,-0.034448-0.0078066i,-0.024928+0.0022941i,-0.0054167+0.0014421i,0.0072266-0.0043513i
-0.031322+0.14766i,0.27723+0.52426i,0.5247+0.51906i,0.43832+0.3833i,0.2342+0.47325i,0.090501+0.6682i,0.012314+0.70255i,0.023708+0.49997i,0.043054+0.21664i,0.027535+0.062875i,0.020363+0.0025254i,-0.005577-0.045847i,-0.043893-0.049831i,-0.046023-0.042205i,-0.037327-0.067885i,-0.034157-0.094731i,-0.017981-0.092202i,0.0019939-0.066976i,0.014143-0.053059i,0.010047-0.057421i,-0.0037213-0.054368i,-0.0085068-0.037383i,1.8018e-05-0.018234i
0.74991+0.19778i,0.59915-0.15543i,0.3382-0.32166i,0.23542-0.30304i,0.33823-0.37179i,0.44629-0.55414i,0.39082-0.59306i,0.23241-0.40516i,0.09493-0.15908i,0.021527+0.0028846i,0.0049764+0.079569i,0.023793+0.10785i,0.047487+0.092331i,0.049419+0.059863i,0.042536+0.053615i,0.042824+0.057963i,0.033653+0.042999i,0.013453+0.022633i,-0.0021501+0.016825i,-0.00086943+0.020737i,0.011956+0.019578i,0.019168+0.010167i,0.028226-0.0040768i
-0.38729-0.016496i,-0.29897-0.11459i,-0.23835-0.16253i,-0.18319-0.17436i,-0.20165-0.16072i,-0.28675-0.11108i,-0.30063-0.043738i,-0.2082+0.0071967i,-0.12689+0.010317i,-0.10829+0.01208i,-0.080003+0.039956i,-0.034019+0.034158i,-0.028216+0.0075714i,-0.039046-0.0044697i,-0.040284-0.02712i,-0.043359-0.052496i,-0.029399-0.05508i,-0.0052609-0.050497i,-0.0014814-0.043617i,-0.0048022-0.029725i,0.004734-0.018162i,0.015376-0.013319i,0.011798-0.011027i
-0.47003-0.23147i,-0.43032+0.13262i,-0.19574+0.29834i,0.022114+0.27943i,0.13597+0.25322i,0.16538+0.25731i,0.14391+0.21499i,0.066349+0.082111i,-0.03375-0.021886i,-0.0517-0.027744i,-0.008302-0.037437i,-0.001129-0.054805i,-0.009613-0.031799i,-0.00024561-0.00607i,0.0098103+0.0067195i,0.019472+0.0083513i,0.01436-0.0023997i,-0.0075112-0.0081656i,-0.019816-0.0034994i,-0.020869+0.0016821i,-0.022186+0.0052109i,-0.021276+0.0084898i,-0.017288+0.010353i
0.7621+0.45142i,0.65256+0.32217i,0.37845+0.18618i,0.11649+0.072271i,0.0066904-0.0086348i,-0.0088426-0.065354i,-0.035611-0.075169i,-0.029655-0.0023888i,0.040511+0.069627i,0.076385+0.071121i,0.05016+0.06329i,0.036129+0.064615i,0.035586+0.039997i,0.012589+0.0067088i,-0.019698-0.0057115i,-0.034718+0.0077675i,-0.019745+0.023359i,0.0042494+0.020787i,0.011714+0.010939i,0.012459+0.0025469i,0.012845-0.0072048i,0.0066766-0.011492i,0.0031572-0.0026991i
-0.36621-0.17617i,-0.27592-0.34024i,-0.12474-0.31986i,0.041969-0.25749i,0.031192-0.26874i,-0.087855-0.23169i,-0.10348-0.13539i,-0.066261-0.088242i,-0.089276-0.068878i,-0.11086-0.024968i,-0.081361+0.017696i,-0.044055+0.036456i,-0.020936+0.039273i,-0.0089513+0.035361i,-0.0067643+0.029648i,-0.0090783+0.018595i,-0.011375-0.00041246i,-0.010208-0.0162i,-0.006017-0.02169i,-0.0027597-0.01596i,0.0024049-0.0064231i,0.012034-0.0026283i,0.01662-0.0053492i
-0.41812+0.02982i,-0.26697+0.45705i,-0.00085364+0.44829i,0.049379+0.21632i,-0.010881+0.18345i,0.040931+0.25474i,0.11981+0.20515i,0.11095+0.090912i,0.076232+0.021953i,0.068029-0.007188i,0.062855-0.035056i,0.040569-0.057753i,0.0070183-0.054979i,-0.014834-0.033036i,-0.014789-0.017275i,-0.0076682-0.016264i,-0.010017-0.0061164i,-0.010905+0.016501i,-0.0022327+0.02582i,0.0034322+0.018711i,-2.9334e-05+0.01312i,-0.0068009+0.010235i,-0.011072+0.00041715i
1.0363+0.22388i,0.98525-0.14122i,0.57152-0.30986i,0.21289-0.17913i,0.19951-0.08841i,0.25198-0.2088i,0.13186-0.2773i,0.013797-0.17039i,-0.0011574-0.049786i,0.0029228+0.01064i,0.0015512+0.028144i,0.0034486+0.017347i,0.0071046+0.0073218i,0.015473+0.002436i,0.022786+5.2685e-05i,0.02598+0.00095653i,0.023777-0.0053519i,0.012898-0.019303i,-0.00069096-0.027874i,-0.0089176-0.028628i,-0.011006-0.025313i,-0.010913-0.014294i,-0.0085334+0.0058467i
-0.23462-0.38862i,-0.33386-0.63035i,-0.42038-0.50027i,-0.30152-0.21573i,-0.1853-0.081867i,-0.19992-0.0069537i,-0.16721+0.075112i,-0.078042+0.093055i,-0.034858+0.077278i,-0.022329+0.052757i,-0.026731+0.033963i,-0.035234+0.041831i,-0.025047+0.051662i,-0.011019+0.043862i,-0.0071113+0.025004i,-0.011469+0.008535i,-0.010219-0.00071589i,-0.0027955-0.0040331i,-0.0029551+0.0015893i,-0.0028298+0.014911i,0.0077631+0.022174i,0.018876+0.01482i,0.019367+0.0035051i
-0.9173-0.55798i,-1.055-0.090101i,-0.67565+0.25728i,-0.20818+0.22741i,-0.039721+0.060845i,-0.056101+0.027597i,-0.043193+0.057237i,-0.009871+0.0078476i,-0.0085359-0.074943i,-0.021895-0.093441i,-0.015394-0.061701i,0.0029709-0.037736i,0.0056444-0.032994i,-0.0091748-0.023576i,-0.021671-0.0033245i,-0.019762+0.0091867i,-0.014288+0.0093768i,-0.012171+0.0085484i,-0.0053241+0.006033i,-0.00096024-0.0042326i,-0.0085867-0.011235i,-0.015685-0.0085347i,-0.0090125-0.0073675i
0.20178+1.2643i,0.25117+1.4558i,0.31202+1.1261i,0.18981+0.57719i,0.014158+0.29487i,0.029088+0.18961i,0.10544+0.048067i,0.078782-0.022959i,0.020174+0.012549i,-0.0097546+0.053123i,-0.015658+0.060941i,-0.0078662+0.050382i,-0.00038228+0.031385i,0.0070275+0.0080537i,0.013035-0.009393i,0.012548-0.012429i,0.005429-0.0022952i,0.0010847+0.010049i,0.0025248+0.016342i,0.0075858+0.013556i,0.011833+0.0015031i,0.0062752-0.0086778i,-0.0045476-0.0063728i
0.93882+0.2264i,1.4593-0.19439i,1.2304-0.53358i,0.67476-0.47525i,0.39717-0.28555i,0.28127-0.21463i,0.11276-0.15556i,0.0087911-0.05745i,0.00020549+0.00020096i,0.016287+0.011609i,0.030529+0.0016803i,0.020383-0.017553i,-0.0069695-0.0167i,-0.018275-0.0015681i,-0.015559+0.00035697i,-0.011742-0.0065761i,0.0046-0.016188i,0.024471-0.033626i,0.021556-0.047924i,0.0044087-0.039861i,0.0011886-0.016255i,0.013651+0.00010708i,0.020169+0.0019979i
-0.20793-1.4107i,-0.49777-1.4268i,-0.52776-0.99731i,-0.3347-0.48007i,-0.20657-0.20287i,-0.21745-0.086988i,-0.19095+0.0004875i,-0.10234+0.0080035i,-0.055946-0.027585i,-0.036026-0.030731i,-0.016747-0.022835i,-0.0031778-0.013206i,0.012522-0.0032347i,0.013257-0.0022729i,0.00054474-3.2544e-05i,-0.0019042+0.0024726i,-0.0045431-0.00045324i,-0.020081+0.0041858i,-0.026639+0.017987i,-0.016535+0.024865i,-0.011005+0.021023i,-0.013019+0.011671i,-0.011351+0.0010534i
-0.49244+0.28351i,-0.83595+0.2988i,-0.81355+0.32998i,-0.48873+0.2918i,-0.16795+0.22591i,0.029267+0.17064i,0.098443+0.099247i,0.075982+0.046052i,0.055035+0.030815i,0.037107+0.016613i,0.0096908+0.015415i,0.0051242+0.027816i,0.015173+0.025263i,0.01781+0.014607i,0.013691+0.0097133i,0.0057749+0.011286i,-0.0017311+0.011047i,-0.004732+0.0038581i,-0.0053165-0.0028383i,-0.0031614-0.0069239i,-0.0028018-0.013077i,-0.011249-0.013649i,-0.01783-0.0016768i
-0.29709+0.94011i,-0.078867+1.0959i,0.068001+0.83198i,0.099427+0.38008i,0.033024+0.061442i,-0.038193-0.036738i,-0.043448-0.028636i,-0.04545+0.0030079i,-0.069143+0.043598i,-0.067926+0.06816i,-0.042106+0.054888i,-0.029474+0.01666i,-0.036318-0.0078845i,-0.032076-0.0055151i,-0.014037-0.0046487i,-0.006888-0.014208i,-0.0071474-0.012221i,0.0029497+0.0058635i,0.018175+0.015595i,0.022013+0.012057i,0.020197+0.015996i,0.024591+0.023108i,0.027014+0.018307i
0.81672-0.4066i,1.0283-0.21659i,0.95714-0.051265i,0.6278-0.01585i,0.34556-0.041869i,0.18891-0.085636i,0.086348-0.10816i,0.062426-0.10335i,0.07925-0.10724i,0.073304-0.098199i,0.055846-0.071532i,0.03899-0.044578i,0.022999-0.020425i,0.0047424-0.0096084i,-0.015626-0.0021705i,-0.019042+0.010803i,-0.0063459+0.011055i,-0.00071182-0.007246i,-0.0056443-0.018865i,-0.0097814-0.016525i,-0.010051-0.016015i,-0.0050212-0.017023i,0.0035471-0.015941i
-0.010438-0.42932i,-0.15001-0.78216i,-0.21594-0.74839i,-0.21713-0.46665i,-0.21716-0.22882i,-0.16663-0.07943i,-0.081915-0.00094817i,-0.042178+0.013087i,-0.042006+0.011864i,-0.037158+0.01988i,-0.025635+0.022959i,-0.020011+0.023269i,-0.011771+0.024018i,0.0010108+0.018913i,0.011213+0.012227i,0.014711+0.0052574i,0.0080665-0.0023257i,-0.0040273-0.0050729i,-0.012227-0.0047914i,-0.011453-0.0047428i,-0.0067556-0.0082354i,-0.0084382-0.018258i,-0.019039-0.023535i
-0.62044+0.3774i,-0.49249+0.34333i,-0.32163+0.10513i,-0.18886+0.03263i,-0.057924+0.15639i,0.033492+0.21649i,0.041976+0.16072i,0.0081093+0.10186i,-0.014452+0.079164i,-0.018765+0.052333i,-0.021327+0.027348i,-0.01185+0.015656i,-0.0012913-0.00020799i,-0.0014884-0.0074734i,0.0045063-0.004172i,0.011125-0.0061958i,0.0097522-0.0039227i,0.0090632+0.006483i,0.010847+0.010261i,0.012048+0.0073849i,0.0092475+0.0061357i,0.00010398+0.01127i,-0.0074195+0.022946i
0.16613-0.1208i,-0.13963+0.055885i,-0.29079+0.23259i,-0.15868+0.21835i,0.010227+0.028655i,0.023926-0.13532i,-0.021802-0.14305i,-0.02358-0.087509i,-0.01407-0.05338i,-0.0058407-0.017921i,0.016737+0.0014619i,0.020347-0.0074507i,0.0038943-0.0064918i,-0.00044447+0.00013585i,-0.0025321-0.0096812i,-0.012891-0.01923i,-0.015972-0.019003i,-0.009987-0.014457i,-0.0048099-0.0053876i,-0.0051052+0.0053017i,-0.0058768+0.01603i,0.0025182+0.025152i,0.019097+0.023227i
0.40723+0.28531i,0.49806+0.33571i,0.38722+0.35517i,0.20605+0.24638i,0.069835+0.13781i,0.035127+0.11047i,0.06941+0.073392i,0.093317+0.028994i,0.09436+0.009926i,0.064927-0.0058936i,0.012762-0.007841i,-0.012825+0.012498i,-0.0070186+0.021832i,-0.0066211+0.0079118i,-0.018597+0.0038473i,-0.019981+0.019712i,-0.0075991+0.026062i,0.0017354+0.010235i,-0.00028185-0.0095194i,-0.0051846-0.020727i,-0.0033633-0.026748i,0.0034173-0.029315i,0.011037-0.028975i
-0.39084-0.26128i,-0.14024-0.23908i,0.1454-0.23434i,0.18408-0.23455i,0.06264-0.23674i,-0.043098-0.18816i,-0.089445-0.097418i,-0.10381-0.041581i,-0.10751-0.028775i,-0.083874-0.01944i,-0.036059-0.01001i,-0.0006534-0.0082214i,0.013409-0.0066845i,0.015651+0.0015597i,0.016578+0.0091324i,0.019221+0.0039965i,0.015043-0.0053031i,0.0046668-0.0022098i,0.003212+0.0071648i,0.012025+0.011547i,0.017808+0.010282i,0.012631-0.0013606i,-0.0061653-0.019342i
0.25348+0.025888i,0.1978-0.07014i,0.15367-0.13649i,0.096058-0.057937i,0.067588+0.11255i,0.088322+0.15254i,0.071041+0.058379i,0.024445-0.0065381i,0.00091702-0.0051575i,-0.0018029+0.01994i,0.011338+0.039358i,0.026597+0.029292i,0.014576+0.0050385i,-0.011615-0.00089986i,-0.017733+0.0041909i,-0.0067221+0.00037267i,0.0024908-0.0060398i,0.0049393-0.0062575i,-0.0015018-0.0023479i,-0.01449+0.0049302i,-0.025571+0.01134i,-0.031813+0.019207i,-0.03154+0.030647i
-0.049463+0.010191i,-0.16653-0.19454i,-0.32244-0.26981i,-0.25524-0.19285i,-0.069911-0.15719i,0.0046525-0.1352i,0.010009-0.045614i,0.033498+0.014807i,0.046379+0.012777i,0.032789-0.0069956i,0.0053731-0.032201i,-0.028931-0.04186i,-0.038511-0.02354i,-0.011007-0.0099645i,0.0078131-0.01663i,-0.0031643-0.01931i,-0.01385-0.011145i,-0.0086909-0.0066321i,0.0032104-0.010875i,0.012219-0.02004i,0.014998-0.024505i,0.014084-0.01448i,0.015722+0.0059124i
-0.21117-0.0058419i,-0.24303+0.27071i,-0.17144+0.33903i,-0.11751+0.19506i,-0.12455+0.09198i,-0.1195+0.084722i,-0.071617+0.074166i,-0.040848+0.058242i,-0.028268+0.061032i,-0.0047738+0.052044i,0.0061179+0.026211i,0.0014585+0.015788i,0.0028714+0.016344i,0.00040322+0.01205i,-0.0054803+0.015057i,-0.0015946+0.020669i,-0.0011455+0.016439i,-0.0099921+0.010524i,-0.013852+0.010146i,-0.0053175+0.014962i,0.01043+0.016316i,0.023749+0.0058806i,0.030661-0.011068i
0.15561+0.030449i,0.1435+0.010398i,0.13225+0.10733i,0.1311+0.1175i,0.12022+0.0031305i,0.10257-0.09724i,0.07953-0.13104i,0.05014-0.13483i,0.011445-0.12591i,-0.025237-0.085035i,-0.029454-0.014885i,-0.0032288+0.031892i,0.015334+0.029572i,0.0083192+0.0059551i,-0.0041246-0.010492i,-0.005507-0.012217i,0.0028671-0.0077037i,0.0074307-0.0040296i,0.00077514-0.0015576i,-0.010854-0.0032083i,-0.022534-0.0064328i,-0.025089-0.0089677i,-0.017401-0.015705i
0.008935+0.22105i,0.21585+0.22585i,0.24446+0.098078i,0.08391+0.052649i,-0.058945+0.12542i,-0.085611+0.17426i,-0.059237+0.15427i,-0.031033+0.12778i,-0.0019465+0.11005i,0.021172+0.072556i,0.027355+0.018624i,0.020758-0.021027i,0.0067991-0.031146i,-0.00035193-0.015675i,0.0065139-0.0014051i,0.0067873-0.0041619i,-0.0031112-0.0056291i,-0.002072-0.00020759i,0.0077254-0.0013495i,0.011164-0.0095838i,0.0065416-0.014751i,-0.0071179-0.012188i,-0.027899-0.0011651i
0.077498-0.37804i,-0.027073-0.44129i,0.005505-0.37258i,0.10953-0.2574i,0.16902-0.20124i,0.13031-0.18795i,0.030556-0.15305i,-0.033081-0.097309i,-0.038147-0.053756i,-0.023592-0.019966i,-0.0055979+0.0028903i,0.0013623+0.0038504i,-0.0026655+0.0065014i,-0.0020385+0.015768i,-0.0049037+0.020046i,-0.0079226+0.023091i,7.3085e-05+0.017317i,0.0073819+0.0027548i,0.008733-0.0017091i,0.009138+0.010177i,0.012882+0.026524i,0.022172+0.034285i,0.029326+0.031146i
