0.0033085+0.0028177i,0.0037618+0.0026686i,0.004381+0.0017587i,0.0030672-0.00031285i,0.0010433-0.0030131i,-0.00046733-0.0044441i,6.211e-05-0.0028876i,0.001473-0.00063286i,0.0013786-0.00040142i,0.00049149-0.0017786i,-0.00036519-0.0032147i,-0.00048189-0.0031526i,-0.00015475-0.00231i,-0.00056805-0.0023502i,-0.0011544-0.0027096i,-0.0014327-0.0020787i,-0.00073299-0.00094651i,0.0001975-0.00030748i,0.00016608-2.0075e-05i,0.0010978+0.00073648i,0.0021302+0.00058541i,0.0015513-0.00039064i,-0.0003088-0.00092247i
-0.0059921+0.0010712i,-0.0042642+0.00084715i,-0.0020683-0.00060055i,-0.00063636-0.0016658i,0.0018073-0.001628i,0.0028227-0.002601i,0.0017242-0.0034417i,0.00044744-0.0037644i,1.6149e-05-0.0040397i,0.0006867-0.0042654i,6.538e-05-0.0028493i,-0.0014997-0.00017398i,-0.0019096+0.00075111i,-0.00099114+0.00096758i,0.00074982+0.0014505i,0.0020751+0.0015565i,0.0015338+0.00096156i,0.00010936+0.0003773i,-0.00094459+0.00044845i,-0.0013776+0.00049919i,-0.00089271+0.0010432i,-1.6954e-05+0.0010764i,0.0011645+0.00048199i
0.0057425-0.00041911i,0.0049075-8.4044e-05i,0.0057138+0.0001873i,0.0048433-0.0011535i,0.0016846-0.0011882i,-0.00042697+0.0016206i,-3.5288e-05+0.0029559i,-0.00036134+0.0013476i,-0.00081693-0.0007467i,-0.00029518-0.00079234i,0.00084222-0.00010124i,0.0017366+4.0643e-05i,0.0013972+0.00054787i,0.00041195+0.00053253i,-5.2778e-05-0.00021561i,0.0014361-0.00047407i,0.0015742-0.00021273i,0.00022214-3.2412e-05i,-0.0001473+0.0008835i,0.00011619+0.0016617i,0.0005389+0.001471i,0.00062055+9.8731e-05i,0.0008575-0.0012962i
0.0047454+0.0094252i,0.0062762+0.0081357i,0.0070357+0.0048401i,0.0067241+0.0013066i,0.0044055+0.00022546i,-0.00056211-0.00077978i,-0.0040599-0.00019524i,-0.0036362+0.0019984i,-0.0014806+0.0031639i,-0.0012831+0.0035696i,-0.0026637+0.0029949i,-0.0033747+0.0011588i,-0.0035383-0.00096258i,-0.0036778-0.0017429i,-0.0039261-0.0016588i,-0.0029027-0.00063582i,-0.0017259+0.00022099i,-0.0012463-0.0001817i,-0.0011419-0.00017005i,-0.0008192-9.5107e-05i,-0.00049043+0.00011752i,-0.00014129+0.00047138i,0.00035291+0.00052442i
0.0032901+0.011967i,0.0077221+0.011779i,0.012274+0.0066112i,0.0083688-0.0003774i,0.0027142-0.0050751i,-0.0032593-0.0047946i,-0.0056216-0.00053712i,-0.0040732+0.0030241i,-0.0016222+0.0045849i,0.00048703+0.0030324i,0.00069842+0.00097457i,5.2649e-05+0.00072648i,-0.00058032-0.00026492i,-0.0023636-0.0022i,-0.0038241-0.0036402i,-0.0035792-0.0026403i,-0.0024822+0.00060847i,-0.0010198+0.0018128i,-0.00044779+0.001247i,-0.00068341+0.00066757i,0.00059341+0.00046414i,0.00086597+0.00071016i,-0.00093232+0.00036074i
-0.015722-0.036058i,-0.02286-0.036054i,-0.034131-0.021131i,-0.026465+3.4168e-05i,-0.012677+0.012819i,0.0022622+0.012973i,0.0087354+0.004103i,0.0066598-0.0015348i,0.00201-0.0034134i,-0.0019411-0.0014399i,0.00051876+0.001646i,0.0040749+0.00071517i,0.0063391+0.0013177i,0.0089062+0.0057223i,0.0098448+0.0079806i,0.0060693+0.0051286i,0.00085688+0.00090776i,7.8001e-05-0.0013025i,0.0019062-0.0032507i,0.0018364-0.0046794i,-0.00042398-0.0043099i,-0.001808-0.0031702i,-0.0013951-0.0015887i
0.001509-0.0040732i,-0.00096939-0.0035937i,-0.0036567-0.0024851i,-0.0018546-0.0014335i,0.00085645+0.0020659i,0.0035249+0.004949i,0.005367+0.0040322i,0.0055705+0.0018882i,0.0051424-0.00029667i,0.0045623-0.00047757i,0.0038031+0.00045546i,0.0012995+0.0016037i,-0.00040676+0.0033988i,0.0019019+0.0048186i,0.0043349+0.0050683i,0.0043725+0.0038531i,0.0024671+0.0020077i,0.0012606-0.0006193i,0.0017683-0.001998i,0.0015236-0.0014299i,0.00090726-0.0007186i,0.0010058-0.00065562i,0.0015543-0.00084905i
-2.9554e-05-0.0031861i,-0.00085497-0.006145i,-0.0042903-0.0064783i,-0.004041-0.00095602i,-0.00097109+0.0047068i,0.0027818+0.0050992i,0.0046218+0.0014223i,0.0045437-0.001979i,0.0028573-0.00302i,0.00022365-0.0011665i,-0.0010919+0.0001126i,8.5623e-05+0.00030844i,0.0024603+0.0012215i,0.0041822+0.0023708i,0.0050667+0.0028406i,0.0041001+0.0019444i,0.0016781-0.00015893i,0.00048908-0.0015707i,0.00029924-0.0019508i,0.00094437-0.0018218i,0.00087637-0.0014451i,0.00013731-0.00051627i,0.00014533+0.00048701i
-0.00073657-0.0027088i,-0.0023838-0.00096963i,-0.0034178+0.00045844i,-0.0030698+0.001705i,-0.0035646+0.0029668i,-0.0056426+0.003308i,-0.0063409+0.0020677i,-0.00406-0.00031713i,-0.0029682-0.0025277i,-0.0047007-0.0023593i,-0.0056604+0.00075632i,-0.0044917+0.003122i,-0.0024628+0.003322i,-0.0009385+0.0035973i,-0.0010714+0.0046276i,-0.0013584+0.0046487i,-0.0001042+0.0034033i,0.00029715+0.0017763i,0.00039374+0.00055346i,0.00093082+0.00032375i,-8.3631e-05-0.00010021i,-0.0010049-0.0002425i,-0.0012201+0.0008524i
-0.0012851-0.00010752i,-0.00045583+0.0015888i,0.00065308+0.0031163i,0.0015976+0.0023458i,-0.00045908-0.00098472i,-0.0035867-0.0036109i,-0.0054957-0.0044966i,-0.0061784-0.0038156i,-0.0056073-0.0025031i,-0.0031524-0.0020814i,0.00016801-0.0012946i,0.0031473-0.00087014i,0.0039204-0.0018959i,0.0020663-0.0026997i,0.0005559-0.0024251i,0.00018809-0.0014165i,0.00054507-0.00048148i,0.00037786+0.00055669i,0.00012726+0.0016067i,-4.7128e-05+0.001437i,0.00034604+0.00085681i,-0.00020721+0.00098586i,-0.00082241+0.00077336i
0.0053778-0.00060806i,0.0066075-0.0024636i,0.003437-0.0031815i,0.00031411-0.0025955i,-0.00029428-0.0018103i,0.00071011-0.0020594i,0.00056132-0.0014499i,-0.001089+0.00079637i,-0.00077871+0.0025571i,0.0008001+0.003318i,0.0013049+0.0031018i,-0.00016594+0.00067507i,-0.0021497-0.0023067i,-0.0029632-0.0031136i,-0.0029379-0.0029819i,-0.0027938-0.0021588i,-0.002651-0.001087i,-0.0023082-0.0011083i,-0.0024193-0.0017899i,-0.0022919-0.0024394i,-0.00095806-0.0015929i,-0.00036781-0.00057224i,-0.00054648-0.00025544i
-0.00088189-0.0029098i,-0.00022186-0.0044727i,-0.00074017-0.0032031i,0.001409-0.00045595i,0.005493+0.001948i,0.0069822+0.0044496i,0.005947+0.005923i,0.0039865+0.0066352i,0.0031165+0.0067505i,0.0045731+0.0059274i,0.0053762+0.0044594i,0.0040413+0.0032955i,0.0035673+0.0029061i,0.0039416+0.0013101i,0.0042417-0.0010809i,0.0036996-0.0028513i,0.0026692-0.0037479i,0.001079-0.0028892i,0.00020515-0.0014924i,-2.1175e-05-0.0011506i,-0.0002546-0.00087443i,-0.0005505-0.00042364i,-0.00038074-0.00089639i
