-0.0017667-0.0016252i,-0.0023791-0.0023627i,-0.0030184-0.0011926i,-0.0026558-0.00022766i,-0.00098712+0.00069526i,-0.00014998+0.0016017i,-0.00059269+0.0015648i,-3.4786e-05+0.0014938i,0.0014104+0.00063091i,0.00097313-0.00048752i,0.00055748-0.00083354i,0.00052679-0.0010024i,0.00042495-0.00038577i,0.00058979+0.0010307i,0.00014631+0.00095154i,-0.00014764-0.00016724i,-0.00040753-0.00039315i,6.5277e-05-4.5131e-05i,0.00097268-4.6687e-05i,0.001067-0.00022193i,0.00082358+0.00033467i,4.468e-06+0.00075926i,-0.00046054+0.00012258i
0.10254-0.070674i,0.22541-0.038085i,0.32293+0.081795i,0.33324+0.16013i,0.25263+0.11887i,0.10652+0.061409i,-0.0093633+0.047955i,-0.043243+0.040611i,-0.036596+0.013115i,-0.030511-0.011189i,-0.024436-0.009391i,-0.0079126+0.0026264i,0.0057766+0.0053093i,0.0049624+0.0034075i,-0.0045299-0.0013866i,-0.015139-0.009463i,-0.020253-0.013524i,-0.017837-0.0105i,-0.0094287-0.00613i,-0.0010675-0.0058507i,0.00082469-0.0067243i,0.0013283-0.0050002i,0.004394-0.0045987i
0.036311-0.033597i,-0.0077179-0.10519i,-0.11063-0.188i,-0.20065-0.17355i,-0.17573-0.077811i,-0.054571-0.035297i,0.033656-0.057637i,0.041554-0.057584i,0.021901-0.017528i,0.011814+0.010459i,0.00057497+0.010886i,-0.013632+0.0104i,-0.016823+0.015758i,-0.0099644+0.016757i,-0.0017237+0.011885i,0.0018024+0.0077352i,0.0028569+0.0097983i,0.0040262+0.0083587i,0.0025979+0.00038731i,0.00070536-0.0041465i,0.0013431-0.0055971i,0.0016928-0.0065949i,-0.0013366-0.0046961i
0.10488+0.13691i,0.14096+0.2271i,0.17099+0.22487i,0.19257+0.11641i,0.13724+0.018357i,0.018709+0.013563i,-0.050798+0.057282i,-0.046452+0.055017i,-0.030595+0.0072578i,-0.024558-0.022842i,-0.014167-0.022363i,-0.0020846-0.015346i,0.0027354-0.012894i,0.0019129-0.013811i,0.0019703-0.018876i,0.002121-0.028303i,-0.0020685-0.032209i,-0.0036401-0.022622i,0.003549-0.0094329i,0.010776-0.0026887i,0.011394-0.00045594i,0.01049+0.00079249i,0.01273-0.00080492i
-0.0039347+0.082283i,-0.046815+0.097332i,-0.14115+0.091504i,-0.21057+0.090304i,-0.16344+0.087885i,-0.040209+0.045336i,0.034114-0.020527i,0.033639-0.042794i,0.022187-0.017424i,0.027493+0.0024111i,0.023291-0.0039784i,-0.00022896-0.0097966i,-0.017296-0.0016056i,-0.015256+0.0044286i,-0.0052943+0.0040177i,0.0034291+0.0052974i,0.0077149+0.0078175i,0.0062231+0.0067577i,0.0014763+0.0051595i,-0.0014046+0.0068227i,-0.0008881+0.0089774i,-0.0014269+0.010494i,-0.0039202+0.012299i
-0.10738+0.028187i,-0.054779+0.0072648i,0.107-0.01871i,0.21623-0.050902i,0.17268-0.073984i,0.063463-0.026699i,0.0012283+0.044587i,-0.0055804+0.057786i,-0.0096125+0.025015i,-0.019225+0.0021074i,-0.012914-7.0133e-05i,0.0029348-0.0036675i,0.0084257-0.010673i,0.0052719-0.0096579i,0.0048463-0.0039041i,0.005334-0.0025822i,0.0020347-0.0049197i,-0.0014903-0.004144i,0.00067771+0.00029285i,0.0037485+0.0035228i,0.0017229+0.00427i,-0.0013481+0.0044309i,-0.00029014+0.0030511i
-0.18597-0.024626i,-0.31711-0.050279i,-0.37108-0.073277i,-0.28516-0.024345i,-0.13024+0.042972i,-0.016116+0.016233i,0.014946-0.051427i,0.0078243-0.063304i,0.016696-0.028017i,0.030651+0.001831i,0.027988+0.010774i,0.013913+0.010522i,0.0035262+0.0096772i,0.0016492+0.0093599i,0.0040219+0.011484i,0.0070767+0.016023i,0.0097048+0.016234i,0.0076406+0.010942i,-0.0030892+0.0085367i,-0.01272+0.010607i,-0.013966+0.0089808i,-0.01454+0.0042279i,-0.016287+0.00574i
0.094618-0.13684i,0.17093-0.11645i,0.19541-0.047216i,0.12698-0.044863i,0.019286-0.058498i,-0.053556+0.009005i,-0.047859+0.080914i,-0.013746+0.072977i,-0.012293+0.028652i,-0.023518+0.0062477i,-0.016531+0.0021337i,-0.00027703-0.0069652i,0.0028419-0.018235i,-0.0042056-0.017588i,-0.0094572-0.010697i,-0.012601-0.0095425i,-0.013094-0.010583i,-0.010545-0.0071445i,-0.0042167-0.0036661i,-0.0001229-0.0057609i,-0.0023969-0.0097989i,-0.004146-0.01236i,-0.0023115-0.014464i
0.065598-0.22451i,0.051382-0.33047i,0.0067744-0.25532i,-0.016517-0.042354i,0.01132+0.081587i,0.040007+0.043963i,0.025434-0.027393i,0.0022814-0.040797i,0.0030921-0.01645i,0.012172-6.798e-05i,0.005768+0.0028619i,-0.0067451+0.013328i,-0.005868+0.023066i,-0.0019933+0.019711i,-0.0063102+0.012481i,-0.011981+0.0098137i,-0.0096916+0.011323i,-0.0046728+0.0091872i,-0.0082899+0.0027924i,-0.012713-0.00066393i,-0.008638-0.0020995i,-0.0040463-0.0041553i,-0.0048776-0.0028759i
0.14631+0.085908i,0.19881+0.077846i,0.18232+0.0058374i,0.099769-0.076978i,-0.0086918-0.0961i,-0.052496-0.034487i,-0.012947+0.029551i,0.025363+0.040533i,0.014663+0.024035i,-0.010035+0.01521i,-0.011651+0.011027i,-0.0019689-0.0033916i,0.00095255-0.021704i,-0.0017784-0.029475i,-0.0026391-0.027938i,-0.00060681-0.02545i,-0.0010861-0.021468i,-0.0022261-0.014155i,-0.00032177-0.01245i,0.00043736-0.015276i,0.00076581-0.012927i,0.005147-0.0086563i,0.0084557-0.0084208i
0.14665+0.1931i,0.1794+0.26174i,0.096372+0.2185i,0.027112+0.11438i,0.048523+0.022637i,0.037919-0.056346i,-0.02689-0.078921i,-0.05176-0.046418i,-0.024581-0.018658i,0.0031764-0.011824i,0.0082658-0.0091229i,0.003309+0.00013001i,0.0028938+0.0091269i,0.0023394+0.0070623i,-0.0011547+0.00045196i,-0.0009097-0.0012709i,1.3824e-05-0.0016002i,-0.0014144-0.0018807i,-0.0030013+0.002729i,-0.0023984+0.0081003i,0.0010003+0.008048i,0.0037598+0.0077876i,0.004347+0.011357i
0.035123+0.059968i,0.14721+0.086233i,0.19886+0.073326i,0.091754+0.034319i,-0.029246+0.029137i,-0.030813+0.05779i,0.022853+0.064416i,0.043336+0.043623i,0.020328+0.020273i,-0.0082853+0.012777i,-0.01051+0.0095883i,-0.00068056-0.0037353i,0.0023255-0.013397i,0.0062827-0.015298i,0.014045-0.016067i,0.017474-0.015957i,0.013697-0.01422i,0.0088423-0.010503i,0.010643-0.010043i,0.01132-0.014085i,0.0030058-0.011049i,-0.0027477-0.0015769i,-0.0022672+0.00067797i
-0.33956+0.017179i,-0.51218+0.012448i,-0.43649-0.015291i,-0.15782-0.027893i,0.042547-0.039721i,0.070758-0.059223i,0.016873-0.049494i,-0.022821-0.020517i,-0.019695-0.0050215i,-0.0051901-0.007153i,-0.0010715-0.0040351i,0.0051679+0.010553i,0.020628+0.019303i,0.027338+0.016378i,0.016581+0.014503i,0.0036282+0.01836i,-0.001056+0.017033i,-0.0012641+0.0084817i,-0.0036315+0.0045119i,-0.0063302+0.0059574i,-0.0085608+0.0044304i,-0.012221+0.0041912i,-0.013627+0.0087892i
-0.0026623+0.08339i,0.000454+0.2153i,0.0012826+0.27069i,-0.016885+0.20272i,-0.02759+0.13881i,0.016412+0.11131i,0.06959+0.049854i,0.06606-0.0059212i,0.03589-0.012942i,0.013305-0.0021145i,0.0026189+0.0037445i,-0.0026532-0.00095195i,-0.011926-0.0079828i,-0.01367-0.0078303i,-0.0049017-0.0070406i,0.0039848-0.007819i,0.010167-0.0068342i,0.010733-0.0034819i,0.0063018-0.0019097i,0.0018681-0.0050065i,-0.0031163-0.0080064i,-0.0071171-0.009472i,-0.0078801-0.010063i
0.10115-0.28527i,0.11375-0.44312i,0.079148-0.41268i,0.044092-0.25215i,0.028527-0.14508i,-0.015037-0.087494i,-0.062795-0.019159i,-0.063052+0.0309i,-0.03038+0.034766i,-0.0052543+0.0092478i,-0.0064697-0.0071039i,-0.0088578+0.0059721i,0.0019543+0.02458i,0.0040951+0.030553i,-0.0075712+0.026354i,-0.020075+0.020649i,-0.022132+0.0176i,-0.015856+0.011996i,-0.009891+0.0082037i,-0.0036494+0.0076994i,0.0015615+0.00067933i,0.00029058-0.0081379i,-0.0023648-0.0097807i
0.026225-0.14645i,-0.01396-0.24863i,-0.057369-0.20645i,-0.064672-0.033353i,-0.033459+0.096438i,0.01107+0.11555i,0.050688+0.071675i,0.060588+0.011436i,0.036569-0.012868i,0.018679-0.002544i,0.01393-0.00081233i,0.00030745-0.0095022i,-0.012658-0.014783i,-0.012348-0.019962i,-0.0032291-0.028034i,0.0050413-0.032184i,0.0092561-0.023489i,0.0099457-0.010575i,0.0071309-0.0082894i,0.0032003-0.011684i,0.002506-0.011131i,0.0083033-0.010006i,0.011806-0.012878i
-0.0053734+0.20788i,-0.042006+0.25786i,-0.082499+0.17912i,-0.080893+0.029616i,-0.068479-0.057316i,-0.074183-0.042865i,-0.065192+0.015519i,-0.044484+0.04806i,-0.031378+0.047655i,-0.015742+0.030254i,-0.0036194+0.00644i,-0.0025118-0.0056148i,-0.0016463-0.00798i,-0.00088659-0.0087345i,-0.0057452-0.0038155i,-0.013158+0.0041618i,-0.020406+0.0071763i,-0.022982+0.004197i,-0.018737+0.0011475i,-0.010879+0.0023659i,-0.0027358+0.0040217i,0.001258+0.0032272i,0.0030251+0.0050983i
0.31673+0.1543i,0.60573+0.21534i,0.64394+0.19121i,0.40176+0.12475i,0.19164+0.098089i,0.12365+0.055661i,0.070675-0.019122i,0.011085-0.052378i,-0.015143-0.038787i,-0.0085507-0.0079365i,0.013086+0.0049339i,0.016431-0.0050988i,0.0034427-0.0085073i,0.0025024-0.0071798i,0.016029-0.012951i,0.029119-0.021069i,0.029506-0.022896i,0.022185-0.016875i,0.015535-0.010931i,0.0095635-0.0069914i,0.0062051-0.0016513i,0.009251+0.0043118i,0.014045+0.005292i
-0.20525-0.21504i,-0.30111-0.39208i,-0.31389-0.45595i,-0.24386-0.33106i,-0.16815-0.17479i,-0.12922-0.066772i,-0.092029+0.024719i,-0.036796+0.068806i,-0.003145+0.051311i,-0.0074732+0.024169i,-0.012783+0.018801i,0.0032003+0.016363i,0.022587+0.0089062i,0.027113+0.0083709i,0.017733+0.015914i,0.0027127+0.022615i,-0.010767+0.01902i,-0.017734+0.0094812i,-0.015366+0.0027878i,-0.0078007-0.00096175i,-0.0058126-0.00030429i,-0.0089412+0.0059516i,-0.0094525+0.014414i
-0.19119+0.13301i,-0.29797+0.37708i,-0.24007+0.49388i,-0.052153+0.35894i,0.061005+0.16497i,0.056571+0.065129i,0.03007+0.0082581i,0.0057836-0.045202i,-0.017613-0.063779i,-0.021699-0.039724i,-0.0064834-0.010187i,0.0063298-0.00045763i,0.0024695-0.00018516i,-0.0040929+0.0029432i,-0.001942+0.0028903i,0.008501-0.0024832i,0.022736-0.0076535i,0.031249-0.0093147i,0.028343-0.0075036i,0.018407-0.0061969i,0.010183-0.0053457i,0.0056754-0.0056351i,0.00093436-0.0062861i
0.11139+0.018228i,0.17069+0.061628i,0.20518+0.049362i,0.12587-6.8433e-06i,-0.0009908+0.0077019i,-0.036117+0.043301i,-0.0081854+0.040813i,0.010361+0.029753i,0.019943+0.0264i,0.0095802+0.01206i,-0.014197+0.0099119i,-0.020362+0.025076i,-0.015039+0.031612i,-0.017258+0.027907i,-0.02434+0.027908i,-0.027861+0.029438i,-0.026594+0.024676i,-0.022355+0.016482i,-0.017071+0.010279i,-0.011408+0.0065668i,-0.0093522+0.0026131i,-0.015749+0.0029272i,-0.022212+0.0091865i
0.25381-0.22034i,0.30724-0.41866i,0.23342-0.43968i,0.12252-0.27025i,0.067195-0.12529i,0.025529-0.082948i,-0.028598-0.060611i,-0.050001-0.032187i,-0.035237-0.019489i,-0.010573-0.019285i,0.0032881-0.02012i,0.0032204-0.012678i,0.0031238-0.0031104i,0.0037137-0.0030594i,0.0042838-0.0097462i,0.0084216-0.016143i,0.016562-0.015595i,0.021297-0.010386i,0.018421-0.0055552i,0.014321-0.0014828i,0.011929-0.00077886i,0.011217-0.0056122i,0.011015-0.013186i
-0.2591-0.063142i,-0.49898-0.15178i,-0.59159-0.098293i,-0.4227+0.044888i,-0.20262+0.079156i,-0.099218+0.038446i,-0.037167+0.02655i,0.029676+0.017189i,0.055781-0.00012766i,0.038148-0.0070227i,0.0076236-0.0023083i,-0.010775+0.0022053i,-0.014982-0.0039584i,-0.016152-0.013224i,-0.019606-0.015194i,-0.024855-0.0039785i,-0.028178+0.011121i,-0.026593+0.020681i,-0.021077+0.021739i,-0.015414+0.015583i,-0.010139+0.0087027i,-0.0060737+0.0022422i,-0.0038236+0.000192i
0.1177+0.24853i,0.34949+0.47315i,0.46209+0.51109i,0.33759+0.28663i,0.13754+0.067907i,0.028493+0.0097467i,0.010347-0.0029898i,-0.013155-0.019759i,-0.036723-0.0060877i,-0.016938+0.012804i,0.009661+0.0019088i,0.007993-0.0156i,0.0002861-0.016362i,0.0053854-0.011547i,0.016459-0.010912i,0.024529-0.01182i,0.026316-0.012793i,0.02345-0.015766i,0.017248-0.017367i,0.011373-0.015037i,0.0091779-0.012865i,0.0085474-0.014234i,0.006907-0.018619i
0.13957-0.1394i,0.24849-0.30683i,0.23979-0.43652i,0.12397-0.3509i,0.066155-0.16758i,0.076312-0.107i,0.045893-0.099473i,0.026079-0.052867i,0.034012-0.017435i,0.023581-0.0018953i,0.0074351+0.011238i,0.0015034+0.01979i,0.0037958+0.027111i,0.0061065+0.026958i,0.0032371+0.02168i,-0.0049627+0.017742i,-0.015998+0.015968i,-0.020062+0.015488i,-0.016619+0.012153i,-0.013958+0.0079872i,-0.012329+0.0084715i,-0.0064988+0.016165i,0.0022556+0.025246i
0.096899-0.14269i,-0.047968-0.11261i,-0.22723-0.024987i,-0.24021+0.014816i,-0.13871+0.0041943i,-0.065356+0.0093471i,-0.019474+0.04484i,0.0098874+0.060761i,0.010836+0.049374i,0.0030238+0.032783i,0.00089698+0.013406i,0.0024488-0.0047563i,0.0047312-0.013287i,0.0071022-0.0091879i,0.010022-2.1393e-06i,0.012434+0.0032682i,0.012455-0.0013168i,0.008671-0.007505i,0.0044387-0.0082076i,0.0066885-0.0055319i,0.012567-0.0029976i,0.017286-0.0031i,0.019486-0.0085155i
-0.04361+0.22933i,-0.11206+0.35538i,-0.057358+0.38357i,0.084089+0.28048i,0.14415+0.10764i,0.11179-0.00011292i,0.063214-0.031998i,0.026332-0.040065i,0.0024479-0.041057i,-0.015737-0.030101i,-0.019085-0.0085084i,-0.013474+0.0061822i,-0.018603+0.013194i,-0.027857+0.019326i,-0.033564+0.021726i,-0.034064+0.020165i,-0.025227+0.019193i,-0.0088291+0.019466i,0.0056428+0.017069i,0.0093405+0.01327i,0.0052089+0.012328i,-0.0031005+0.013049i,-0.01133+0.014545i
0.11988+0.23831i,0.24744+0.19503i,0.28423+0.028255i,0.16167-0.054537i,0.049037+0.036159i,0.053816+0.11914i,0.064756+0.09659i,0.030195+0.061421i,0.0094147+0.050875i,0.011366+0.027565i,0.0082736-0.00010993i,-0.00050532-0.012949i,-0.0094132-0.017092i,-0.015178-0.020527i,-0.014863-0.02002i,-0.0081588-0.014931i,-0.001965-0.012129i,-0.004652-0.012478i,-0.010249-0.012003i,-0.0097357-0.0101i,-0.0089893-0.0068811i,-0.012863+0.00053887i,-0.014854+0.0082692i
-0.22018+0.16097i,-0.33094+0.0083562i,-0.3631-0.13907i,-0.26713-0.10869i,-0.10212-0.048533i,-0.018742-0.07152i,-0.035995-0.074369i,-0.05218-0.033043i,-0.038517-0.0086263i,-0.018657-0.0080214i,-0.0067459-0.0097329i,-0.00028383-0.0058233i,0.0051038-0.0058918i,0.0015056-0.0092666i,-0.008261-0.010944i,-0.014645-0.01199i,-0.01448-0.0071523i,-0.0066908+0.0018971i,5.2746e-05+0.0081838i,-0.0018996+0.01301i,-0.005668+0.015837i,-0.0037207+0.014064i,0.0025184+0.0085501i
-0.32689-0.21811i,-0.33959-0.1705i,-0.21299+0.036185i,-0.10044+0.15994i,-0.089457+0.16502i,-0.059497+0.17639i,0.029738+0.13226i,0.067853+0.035744i,0.057795-0.0039993i,0.056922-0.0010599i,0.048679-0.0031308i,0.026953-0.0094317i,0.0096325-0.019176i,0.0026856-0.025332i,0.0036112-0.022876i,0.0075031-0.015597i,0.0058033-0.010443i,-0.0050619-0.0050931i,-0.01351+0.0025284i,-0.012037+0.0015865i,-0.0087207-0.0090171i,-0.0087379-0.021602i,-0.010581-0.030077i
-0.25922-0.23219i,-0.14695-0.23885i,0.048098-0.25414i,0.083472-0.27617i,-0.0062813-0.21788i,-0.05317-0.1138i,-0.04497-0.047052i,-0.043075-0.016859i,-0.052134+0.0090157i,-0.043059+0.02568i,-0.019651+0.021281i,-0.0020983+0.012488i,0.012616+0.010597i,0.024125+0.008292i,0.024592+0.0025776i,0.016998-0.0032478i,0.011346-0.0062153i,0.012141-0.009445i,0.01395-0.012603i,0.013468-0.01162i,0.011143-0.0095704i,0.0045356-0.0070735i,-0.005746+0.00055662i
0.089224-0.47186i,0.025226-0.51902i,-0.10639-0.35478i,-0.14063-0.15241i,-0.061545-0.042768i,0.0047863+0.011576i,0.045768+0.04129i,0.067064+0.024059i,0.047244-0.0032224i,0.021834+0.0035503i,0.016887+0.015941i,0.015095+0.015268i,0.0086696+0.011946i,-0.004171+0.0096873i,-0.011522+0.012833i,-0.005203+0.017224i,0.0002946+0.014018i,-0.004484+0.0083765i,-0.011335+0.0060273i,-0.011233+0.0021241i,-0.0049785-0.0015479i,0.0082564+0.00076528i,0.023718+0.0044154i
0.6395+0.0075311i,0.69132+0.070541i,0.51712+0.11472i,0.31697+0.065472i,0.14905-0.044283i,0.015539-0.086741i,-0.033154-0.028928i,-0.01589+0.030655i,-0.0064526+0.047685i,-0.016707+0.043817i,-0.021832+0.030147i,-0.019066+0.014272i,-0.011748+0.0048867i,-0.0010454+0.0030503i,0.0048668+0.0031729i,0.0016921-0.00036922i,8.2846e-05-0.0035956i,0.0059418-0.0066585i,0.010192-0.0078926i,0.01113-0.001117i,0.014999+0.0081021i,0.01696+0.007012i,0.01037-0.0068598i
0.17549-0.24629i,0.10481-0.40453i,0.029523-0.37386i,0.056372-0.19638i,0.10412-0.0594i,0.069777+0.015263i,0.014743+0.047443i,-0.010336+0.012581i,-0.018599-0.04171i,-0.010788-0.059475i,0.0025902-0.047333i,0.0051373-0.025108i,-0.0024615-0.0053483i,-0.014077+0.0031542i,-0.021397+0.0079562i,-0.015791+0.013931i,-0.0062802+0.017292i,-0.0030457+0.018264i,-0.0011409+0.017889i,-0.00049566+0.014695i,-0.00713+0.010295i,-0.01602+0.011125i,-0.018837+0.016907i
-0.012624+0.67273i,0.042602+0.77316i,0.056925+0.54648i,0.01599+0.27984i,0.021996+0.15574i,0.062247+0.06593i,0.039613+0.0068081i,0.0061393+0.02795i,0.0055466+0.05399i,0.00015426+0.046724i,-0.0093511+0.033549i,-0.0082377+0.017252i,-0.0017919-0.0043351i,0.006481-0.023167i,0.0059398-0.03207i,-0.0027636-0.028734i,-0.0085173-0.02152i,-0.0075316-0.014706i,-0.0062834-0.0097018i,-0.0082098-0.0056391i,-0.010502+0.00050371i,-0.011252+0.0085951i,-0.0068662+0.014121i
-0.27716+0.014337i,-0.30552-0.040038i,-0.20564-0.016858i,-0.081267+0.056364i,-0.023934+0.06868i,-0.031963+0.04147i,-0.036667+0.01893i,-0.025038-0.011196i,-0.019555-0.025961i,0.0020598-0.015835i,0.028003-0.0085645i,0.031002-0.0046782i,0.023973+0.0037437i,0.013025+0.012723i,0.0028215+0.01939i,0.0032313+0.020121i,0.0061864+0.016355i,0.0035541+0.010434i,-5.3907e-05+0.0047097i,-0.0042222+0.00024384i,-0.009099-0.0077978i,-0.0052274-0.016825i,0.0055192-0.020765i
0.27747-0.12091i,0.45027-0.13708i,0.41779-0.13681i,0.21421-0.09844i,0.05946-0.021239i,0.026389+0.015106i,0.026118-0.014351i,0.022345-0.031282i,0.030607-0.010844i,0.027856+0.01735i,0.01211+0.032664i,0.0025434+0.027103i,0.0024239+0.010631i,0.0089451-0.0062841i,0.011759-0.019479i,0.0024586-0.02223i,-0.010176-0.016968i,-0.01786-0.0098202i,-0.018501-0.0035806i,-0.011473-0.003795i,-0.0040896-0.01044i,-0.0079065-0.01714i,-0.021391-0.017484i
-0.471-0.76771i,-0.81614-0.86419i,-0.84957-0.5473i,-0.55273-0.19321i,-0.26177-0.056443i,-0.11852+0.014012i,-0.026915+0.074798i,-0.00034182+0.058832i,-0.036826+0.024611i,-0.051947+0.0079771i,-0.040756-0.0011716i,-0.023043+0.010209i,-0.0031628+0.025714i,0.0034435+0.029758i,0.0029023+0.02759i,0.0065246+0.02191i,0.012977+0.012977i,0.017455+0.0011082i,0.018755-0.007999i,0.019441-0.013476i,0.021434-0.01383i,0.023798-0.0072671i,0.024276+0.0047437i
0.69194+0.60969i,0.99288+0.76168i,0.90527+0.59033i,0.54476+0.30472i,0.26653+0.11818i,0.13713-0.0058378i,0.061387-0.067271i,0.034086-0.05425i,0.018458-0.027722i,-0.011195+0.0057678i,-0.019+0.028545i,-0.017908+0.019211i,-0.023995+0.0095037i,-0.021343+0.0042017i,-0.014774-0.0039038i,-0.013861-0.0086248i,-0.015358-0.011716i,-0.016211-0.0090266i,-0.01491-0.00052386i,-0.010094+0.0078742i,-0.0010247+0.014305i,0.0079616+0.013996i,0.011371+0.00082972i
0.18705-0.035312i,0.065975-0.36496i,-0.12759-0.53567i,-0.16589-0.36801i,-0.098448-0.1273i,-0.061746+0.016505i,-0.036378+0.087158i,0.0011876+0.078924i,0.018145+0.027778i,0.017266-0.021367i,0.0051575-0.047547i,-0.0078556-0.037807i,-0.0061036-0.020158i,0.0012478-0.0079115i,0.0087241+0.00076586i,0.013334-0.00025117i,0.011618-0.0011258i,0.0088502-0.0022876i,0.0075067-0.0056348i,0.0090514-0.0035596i,0.011727+0.00082478i,0.012782-1.1887e-05i,0.0086299-0.0030497i
0.21627+0.40104i,0.43301+0.44148i,0.37408+0.27744i,0.13357+0.11185i,0.047949+0.063472i,0.068555+0.028518i,0.036914-0.0024197i,0.00059869-0.01259i,-0.0084656-0.026064i,-0.0035474-0.020956i,0.0078895-0.013149i,-0.00057225-0.017443i,-0.016799-0.015121i,-0.020955-0.013989i,-0.01761-0.013302i,-0.012108-0.0090258i,-0.0084046-0.0033491i,-0.006089+0.007789i,-0.0064496+0.016784i,-0.011868+0.018577i,-0.019084+0.020089i,-0.023438+0.02463i,-0.017997+0.026191i
-1.218-0.10056i,-1.3391+0.0086454i,-0.85576+0.11267i,-0.33436+0.10073i,-0.15065+0.027109i,-0.090973-0.00043669i,-0.02044-0.007581i,0.021454-0.00010826i,0.044429+0.007588i,0.039645-0.0057046i,0.024424-0.0025549i,0.033204+0.0049876i,0.041016-0.0024255i,0.034362-0.0031655i,0.028127+0.00072038i,0.024317+0.0011168i,0.017139-0.0036961i,0.0076552-0.013282i,0.0029596-0.021473i,0.0028856-0.025848i,0.0023655-0.025254i,0.0054522-0.021046i,0.012687-0.01675i
0.34523+0.16274i,0.71808+0.24393i,0.77854+0.048415i,0.42804-0.14123i,0.087924-0.05449i,-0.025792+0.063021i,-0.061151+0.060405i,-0.077825+0.046719i,-0.062222+0.054938i,-0.027768+0.069201i,0.0047802+0.052115i,0.0042166+0.014728i,-0.0073669+0.0023769i,-0.0072042+0.001433i,-0.0078569-5.4669e-05i,-0.006673-0.00094149i,-0.0073681-0.002712i,-0.011901-8.1191e-05i,-0.012522+0.0033099i,-0.012642+0.0053968i,-0.012125+0.0064212i,-0.012134+0.0059356i,-0.017031+0.0045342i
-0.058695-0.99014i,-0.43806-1.0015i,-0.58674-0.53081i,-0.32784-0.12544i,-0.028137-0.05966i,0.059584-0.070552i,0.062222-0.029017i,0.060605-0.011791i,0.045888-0.017134i,0.017273-0.023452i,-0.0065498-0.010548i,0.0017199+0.0092914i,0.014741+0.0073894i,0.011782+0.0016735i,0.0091264+0.0020292i,0.0063232+0.003498i,0.0022412+0.0027541i,0.00021407-0.0012123i,0.004842-0.0050874i,0.016778-0.01193i,0.025359-0.020123i,0.0252-0.023627i,0.018752-0.017114i
0.65234-0.12407i,0.67198-0.064476i,0.53597+0.051986i,0.3416+0.044739i,0.12799-0.02792i,0.013537-0.037128i,0.0036038-0.030584i,-0.01516-0.021721i,-0.033871+0.0051912i,-0.023293+0.0063513i,-0.022403-0.0087353i,-0.037334+0.001973i,-0.03816+0.025834i,-0.024117+0.028646i,-0.012373+0.015706i,-0.0041725+0.0033281i,0.0056802-0.0082087i,0.011461-0.013616i,0.0083906-0.0072541i,0.0021288+0.0056009i,-0.004249+0.015822i,-0.008228+0.018354i,-0.0060233+0.010013i
-0.079218+0.49581i,-0.2334+0.44646i,-0.24752+0.24705i,-0.14255+0.07488i,-0.10518+0.0018943i,-0.12283-0.0069448i,-0.11043-0.0076733i,-0.068117-0.023255i,-0.035906-0.052757i,-0.030652-0.063093i,-0.01303-0.044184i,0.017996-0.036698i,0.026885-0.040533i,0.027064-0.027917i,0.027589-0.01163i,0.01822-0.0034539i,0.0067504+0.0037612i,0.0019547+0.0074183i,0.0030529+0.0043284i,0.0070122+0.0017759i,0.01358+0.0023019i,0.020031-0.0017911i,0.017777-0.0097433i
0.44304+0.77925i,0.57363+0.58541i,0.30092+0.2489i,0.0021125+0.17314i,0.018748+0.22743i,0.1421+0.20128i,0.17866+0.12669i,0.13272+0.054521i,0.079593+0.043772i,0.081641+0.045817i,0.062458+0.012426i,0.0049982+0.0010103i,-0.023374+0.0048072i,-0.031641-0.0017036i,-0.030736-0.0011155i,-0.012608-0.0012133i,0.0045765-0.0048883i,0.0096021-0.0045954i,0.0045554-0.0005195i,-0.0041568+0.0048522i,-0.011121+0.0068231i,-0.014432+0.009478i,-0.0090156+0.013431i
-0.78712-0.20961i,-0.79325-0.19098i,-0.43734-0.041778i,-0.045825-0.011479i,0.08314-0.15916i,0.010208-0.25034i,-0.051721-0.19305i,-0.037508-0.089182i,0.0016976-0.028932i,0.025523-0.0055224i,0.042098+0.0056954i,0.0518-0.0071992i,0.035871-0.019476i,0.02024-0.0028907i,0.021683+0.013041i,0.016887+0.016406i,0.0043979+0.022258i,0.00043377+0.023763i,0.0041131+0.010862i,0.0042399-0.0067253i,0.0047856-0.015349i,0.012111-0.016471i,0.017268-0.016916i
-0.73148-0.21758i,-0.79013-0.15578i,-0.60438-0.15355i,-0.39629-0.14241i,-0.28641-0.036347i,-0.2096+0.073627i,-0.11679+0.10103i,-0.040189+0.054799i,-0.015991+0.014936i,-0.012101+0.017925i,-0.0057906+0.026947i,0.0037438+0.035318i,0.022803+0.035747i,0.023149+0.018274i,0.0023674+0.0043977i,-0.006518+0.0011031i,-0.0072426-0.0066454i,-0.012498-0.010288i,-0.012353-0.0035882i,-0.0081001+0.0016514i,-0.012294+0.0060281i,-0.023257+0.016065i,-0.026397+0.027936i
-0.061541-0.50728i,0.0031731-0.3385i,0.073298-0.0565i,0.077961+0.10186i,0.098011+0.15639i,0.15043+0.18013i,0.15288+0.15708i,0.08489+0.11551i,0.001645+0.097422i,-0.038383+0.090364i,-0.029249+0.058818i,-0.014342+0.01088i,-0.0061626-0.018639i,0.0024774-0.022248i,0.0062965-0.010845i,0.00018604+0.0007086i,-0.0087653+0.011726i,-0.0055804+0.019149i,0.0049779+0.01328i,0.014435+0.0031044i,0.027223-0.0038904i,0.035387-0.011731i,0.030398-0.01486i
