-0.0024501+0.0012906i,-0.0015106+0.00017765i,-0.0026034-0.00057596i,-0.0024612-0.000748i,-0.0016095+0.00030184i,-0.00097825+0.0015617i,-0.00073749+0.0023145i,0.00041891+0.0021082i,0.0016405+0.0012392i,0.00097937+0.00042168i,0.00010791-0.00049031i,0.00053916-0.00057203i,0.0012637+0.00084873i,0.0017669+0.0016716i,0.0012127+0.00066035i,0.00029808+2.1276e-05i,-0.00015236+0.00031309i,-0.00047581-0.00058027i,0.00075282-0.0012143i,0.00099139-0.0007982i,-0.00039923-0.00018168i,-0.00036727+2.5185e-05i,-0.00023058+0.00019537i
-0.093005+0.4111i,-0.11659+0.54497i,-0.19521+0.47869i,-0.30058+0.28504i,-0.3358+0.15976i,-0.23958+0.14861i,-0.085108+0.1205i,-0.016041+0.047766i,-0.026973+0.017221i,-0.022912+0.016913i,-0.0077303+0.0025544i,-0.0070497-0.0089999i,-0.0084918-0.010225i,-0.0093611-0.010788i,-0.013139-0.007383i,-0.013413-0.0019928i,-0.0050494-0.0024111i,0.00015876-0.0075268i,-0.0071619-0.0043871i,-0.0099836+0.011615i,0.0047527+0.019751i,0.014165+0.010153i,0.0052462+0.0030931i
-0.22114-0.33236i,-0.2807-0.42404i,-0.21365-0.3712i,-0.089106-0.20426i,-0.0022881-0.099391i,0.012553-0.1178i,-0.026139-0.11612i,-0.035541-0.058635i,-0.0020861-0.028806i,0.012703-0.025594i,0.010401-0.017446i,0.014833-0.0087842i,0.021269-0.0010772i,0.024946+0.0086245i,0.025742+0.018116i,0.021265+0.022861i,0.0082699+0.024015i,-0.0050738+0.028848i,-0.0016795+0.030614i,0.012091+0.018132i,0.016386+0.00082443i,0.012839-0.0045037i,0.011951+0.00016495i
0.37842+0.08105i,0.49083+0.14122i,0.47471+0.19733i,0.36868+0.17647i,0.23285+0.14468i,0.1187+0.15446i,0.070666+0.13005i,0.046722+0.077842i,0.013735+0.049513i,-0.0066437+0.032035i,-0.018617+0.014879i,-0.026225+0.0042693i,-0.026227-0.0075492i,-0.024295-0.023357i,-0.017356-0.038217i,-0.0067145-0.046249i,0.0032988-0.04482i,0.011764-0.041028i,0.011731-0.043248i,-0.002223-0.04535i,-0.019568-0.038328i,-0.024572-0.026439i,-0.015702-0.018491i
-0.29732+0.18982i,-0.4274+0.15766i,-0.48772+0.013381i,-0.43823-0.090792i,-0.31228-0.09267i,-0.18643-0.057729i,-0.11307-0.030401i,-0.071836-0.021958i,-0.033953-0.026881i,-0.007152-0.03257i,0.0049172-0.028261i,0.01211-0.016575i,0.01505-0.007251i,0.011462+0.0024918i,0.001629+0.014246i,-0.0081412+0.021682i,-0.0095063+0.020207i,-0.0097927+0.014089i,-0.017144+0.017518i,-0.019128+0.031513i,-0.0082656+0.040468i,9.2988e-05+0.033661i,-0.0042085+0.022095i
0.061034-0.30777i,0.17139-0.31907i,0.28521-0.17842i,0.303-0.010994i,0.27385+0.04238i,0.25176+0.0065408i,0.20656-0.015286i,0.14637-0.0024568i,0.093899+0.0076717i,0.049926+0.013422i,0.023818+0.016697i,0.011664+0.0078316i,-0.0019281+0.0012794i,-0.013893+0.0052554i,-0.015481+0.0071424i,-0.015083+0.0026462i,-0.021512+0.0016991i,-0.022638+0.008276i,-0.0062331+0.010917i,0.014757+0.00010445i,0.021114-0.013267i,0.016751-0.011111i,0.016639-0.0019009i
0.17458+0.2225i,0.1164+0.29633i,0.007876+0.27721i,-0.024022+0.16015i,-0.044209+0.055083i,-0.11136+0.01899i,-0.13484+0.010457i,-0.10233-0.0019397i,-0.068971-0.0083806i,-0.049125-0.0059419i,-0.035723-0.0040489i,-0.02113-0.003211i,-0.0024941-0.0066479i,0.015079-0.014923i,0.024172-0.018669i,0.028916-0.013932i,0.036954-0.0092001i,0.041962-0.0108i,0.031735-0.01862i,0.0077704-0.021926i,-0.011532-0.017112i,-0.012956-0.013794i,-0.0077097-0.01436i
-0.25337-0.015785i,-0.25452-0.14215i,-0.19143-0.28207i,-0.15849-0.30649i,-0.12809-0.23724i,-0.04741-0.15968i,0.024416-0.10784i,0.042183-0.077834i,0.033304-0.049894i,0.034419-0.03036i,0.030807-0.023453i,0.011194-0.011429i,-0.0054741+0.0063608i,-0.014519+0.020171i,-0.021927+0.027225i,-0.027451+0.026082i,-0.027094+0.017244i,-0.02638+0.0071004i,-0.026933+0.0098816i,-0.019686+0.025024i,-0.0059661+0.034666i,0.00017135+0.028894i,-0.0055359+0.01734i
0.14844-0.16075i,0.20625-0.037882i,0.21815+0.15927i,0.1833+0.26141i,0.13229+0.24998i,0.067754+0.19745i,-0.0069165+0.15199i,-0.038542+0.11604i,-0.027124+0.067871i,-0.02789+0.029761i,-0.030496+0.017581i,-0.015922+0.0051666i,-0.002448-0.013104i,0.0048575-0.026435i,0.015548-0.031029i,0.024596-0.029325i,0.018824-0.024427i,0.0079557-0.015195i,0.011284-0.013318i,0.023001-0.02626i,0.026015-0.038396i,0.018187-0.032028i,0.01251-0.01276i
0.031071+0.18197i,-0.073046+0.12701i,-0.16845+0.010266i,-0.16863-0.067161i,-0.14655-0.080278i,-0.11346-0.066473i,-0.033831-0.065073i,0.010259-0.06521i,-0.0023046-0.041538i,-0.0077061-0.02141i,-0.0038854-0.015274i,-0.00066393-0.0022831i,0.005237+0.012207i,0.0089991+0.018627i,0.0069327+0.017983i,0.00058126+0.013466i,-0.0011241+0.010528i,0.0012852+0.0077794i,-0.0036654+0.0040932i,-0.019555+0.0014909i,-0.031748+1.6529e-05i,-0.024957-0.0033719i,-0.011101-0.009889i
-0.13996-0.070833i,-0.036416-0.11713i,0.07942-0.13584i,0.11384-0.10752i,0.1487-0.067071i,0.16099-0.018426i,0.10397+0.037161i,0.059349+0.056115i,0.046845+0.037661i,0.035156+0.026417i,0.028621+0.022807i,0.021938+0.0056403i,0.0051326-0.013425i,-0.016742-0.020061i,-0.029849-0.018492i,-0.031686-0.016772i,-0.028061-0.014995i,-0.024304-0.010163i,-0.019695+0.0018629i,-0.0088096+0.020825i,0.00081892+0.032663i,-0.0014149+0.0319i,-0.006977+0.025146i
0.11966-0.066191i,0.074734+0.057024i,0.0059147+0.18704i,-0.037989+0.22676i,-0.065987+0.20126i,-0.056679+0.094811i,-0.031507-0.037i,-0.026691-0.071016i,-0.016779-0.037637i,-0.011545-0.025693i,-0.019753-0.02833i,-0.016862-0.020902i,-0.0027772-0.011448i,0.012161-0.005679i,0.023185+0.0007201i,0.026828+0.0092437i,0.022722+0.01587i,0.018537+0.016039i,0.023464+0.0050017i,0.0294-0.014126i,0.02852-0.025683i,0.023677-0.0233i,0.017277-0.015455i
0.0018299+0.11851i,-0.031043+0.0026928i,-0.022425-0.14036i,0.029069-0.22939i,0.029452-0.26707i,-0.025315-0.18745i,-0.037455-0.035782i,-0.0085979+0.019671i,-0.0027177-0.0058707i,-0.0017669-0.014827i,0.0050118-0.010112i,-0.0022609-0.006223i,-0.013107+0.0022833i,-0.018+0.01236i,-0.021165+0.017707i,-0.020168+0.014675i,-0.011221+0.006089i,-0.0040542-0.0031753i,-0.010798-0.0072683i,-0.02479-0.004329i,-0.0306+9.4859e-05i,-0.020902+0.0019278i,-0.006896+0.0017483i
-0.095621-0.068342i,-0.013179-0.038317i,0.034958+0.012541i,0.0034704+0.077906i,0.0087386+0.1454i,0.042339+0.13359i,0.018023+0.047469i,-0.018261+0.006543i,-0.011876+0.015193i,-0.002286+0.015417i,-0.0083804+0.012407i,-0.007917+0.0097976i,-0.00017946+8.2306e-06i,0.0063591-0.012825i,0.012551-0.019805i,0.01751-0.018406i,0.01395-0.015507i,0.0033423-0.012804i,-0.0020373-0.0063149i,0.0058121+0.0048024i,0.014412+0.011332i,0.0067833+0.0081699i,-0.0071201+0.0046889i
0.10572-0.036077i,0.027433+0.021601i,-0.048775+0.068428i,-0.084155+0.044474i,-0.12218-0.0061086i,-0.10136-0.0064097i,-0.0054127+0.028215i,0.04474+0.027968i,0.021249+0.0034056i,-0.0020149-0.0061514i,0.0011025-0.0051685i,0.0085997-0.0032743i,0.010231-1.7872e-05i,0.011848+0.0041815i,0.013797+0.0060239i,0.0092408+0.0040428i,5.9039e-05+0.003512i,-0.0021556+0.0080185i,0.0055695+0.0068426i,0.01062-0.0067984i,0.010405-0.017323i,0.015438-0.013731i,0.022572-0.0080941i
-0.025111+0.10025i,-0.0048556+0.0091548i,0.030857-0.066142i,0.097243-0.04938i,0.15779-0.025706i,0.1172-0.042904i,0.019585-0.053618i,-0.01279-0.039539i,0.0051993-0.022182i,0.010967-0.0076932i,0.0061262+0.0069196i,0.0049184+0.013651i,0.0016013+0.0096495i,-0.010468+0.0026749i,-0.023484-0.0038383i,-0.026082-0.0086382i,-0.016229-0.009711i,-0.0054192-0.0088644i,-0.0074138-0.0042187i,-0.01653+0.0043551i,-0.022357+0.0062714i,-0.025466+0.0026856i,-0.025315+0.0021073i
-0.072131-0.078154i,-0.022579-0.01946i,0.010772+0.021491i,-0.036191+0.02459i,-0.076789+0.060934i,-0.024996+0.089757i,0.041551+0.051719i,0.036251+0.0097016i,0.0029525+0.004035i,-0.0046768+0.00050184i,-0.0028716-0.017994i,-0.004999-0.031948i,-0.0035415-0.033949i,0.002452-0.030811i,0.0077193-0.018912i,0.0074215-0.0036698i,0.0026427+0.003973i,0.00055447+0.0012257i,0.0038097-0.0057537i,0.008071-0.0063581i,0.0095947-0.00044852i,0.0072365+0.00075239i,0.0021455-0.0024881i
0.10867-0.011645i,0.033771-0.00044108i,-0.019465+0.0244i,0.01341-0.00016555i,0.031946-0.090077i,-0.021947-0.1304i,-0.076659-0.074816i,-0.0655-0.015334i,-0.025406-0.0052757i,-0.010613-0.014548i,-0.0094021-0.011304i,-0.0057482-0.0031638i,-0.0049853+0.0051676i,-0.0060191+0.017559i,-0.0064456+0.023832i,-0.0052983+0.020638i,-0.0040107+0.013743i,-0.0065529+0.0096204i,-0.0075128+0.005547i,-0.0052129-0.0048064i,-0.0035361-0.0084916i,0.0020239+0.0047243i,0.010622+0.018227i
-0.053639+0.094107i,-0.0084819+0.019326i,0.011736-0.060679i,-0.0083238-0.046179i,-0.0020926+0.028901i,0.031495+0.062455i,0.052214+0.039737i,0.039414+0.017852i,0.01563+0.018594i,0.007165+0.022072i,-0.0031607+0.016828i,-0.016639+0.010874i,-0.019387+0.0043895i,-0.014777-0.0022909i,-0.0077351-0.0057106i,5.1096e-05-0.0054707i,0.0066592-0.0020399i,0.0069523+8.2989e-05i,-0.0033983+0.0059869i,-0.011925+0.019471i,-0.0074852+0.021242i,-0.0024039+0.0023614i,-0.0028319-0.016187i
-0.038102-0.099448i,-0.022325-0.017421i,0.0085561+0.052857i,-0.0050896+0.046027i,-0.056206+0.027465i,-0.070898+0.036152i,-0.044507+0.046465i,-0.0080404+0.033998i,0.013085+0.0043795i,0.0087423-0.0091526i,0.0086015-0.0035549i,0.018428+0.0003047i,0.026401-0.00052684i,0.032962-0.0045049i,0.033463-0.009277i,0.024445-0.012857i,0.014161-0.012763i,0.01354-0.0080614i,0.024322-0.0087385i,0.029881-0.017081i,0.023081-0.018055i,0.014358-0.0089984i,0.007408-0.0017633i
0.10096+0.026401i,0.029313-0.0046717i,-0.044739-0.0028883i,-0.021646+0.017508i,0.045873-0.0093697i,0.080942-0.057935i,0.078127-0.080893i,0.048294-0.068899i,0.022596-0.036567i,0.014199-0.0188i,0.0059451-0.0089432i,-0.0017535+0.0042887i,-0.0088955+0.010957i,-0.020513+0.010903i,-0.028195+0.0079867i,-0.025585+0.0036338i,-0.019392-0.00049087i,-0.016334-0.0033965i,-0.015358-0.0025087i,-0.011928-0.0016758i,-0.010088-0.0042134i,-0.014666-0.0036511i,-0.018572+0.0011252i
-0.083711+0.066273i,-0.0010678+0.02572i,0.072559-0.041406i,0.068824-0.049833i,0.027132+0.0043788i,-0.031042+0.056027i,-0.065521+0.069436i,-0.048345+0.0386i,-0.03361+0.0018158i,-0.029876-0.0043345i,-0.016142-0.0081794i,-0.0032481-0.020987i,0.0055312-0.029016i,0.0087158-0.028542i,0.0041985-0.017782i,-0.0023549-0.0031365i,-0.005013+0.0033216i,-0.0035972-0.001379i,-0.0076615-0.0086265i,-0.016658-0.0073435i,-0.015038-0.00055717i,-0.0010796+0.0011502i,0.010543-0.00056525i
-0.0072585-0.10861i,-0.040363-0.026341i,-0.052028+0.05477i,-0.054476+0.038182i,-0.046015-0.011641i,0.0021788-0.045152i,0.026435-0.060232i,0.0031562-0.027909i,-0.0032955+0.0085618i,0.0059889+0.0027807i,0.006375-0.0074343i,0.0033196-0.0058611i,-0.0019054-2.7222e-05i,-0.0015506+0.0096477i,0.0060578+0.013073i,0.011974+0.0089874i,0.010644+0.006422i,0.006288+0.00914i,0.012597+0.01121i,0.022076+0.0024974i,0.015967-0.0055806i,0.001167+0.0011576i,-0.0055246+0.010253i
0.089953+0.063257i,0.048768-0.0094668i,-0.010986-0.053996i,-0.0021162-0.034248i,0.031838-0.01512i,0.024336+0.015795i,0.019366+0.053451i,0.025384+0.044875i,0.013497+0.022297i,0.0012035+0.020704i,-0.0077523+0.019931i,-0.015966+0.013983i,-0.018012+0.0056991i,-0.020353-0.001816i,-0.02032-0.0046625i,-0.01567-0.0046451i,-0.0097286-0.0032475i,-0.0095347-0.0021931i,-0.021536+0.0037132i,-0.031733+0.01651i,-0.023179+0.022214i,-0.0053954+0.011969i,0.0043016-0.0021407i
-0.10724+0.029709i,-0.02248+0.04361i,0.049403+0.027368i,0.015218+0.029504i,-0.042192+0.045958i,-0.055082+0.0022082i,-0.051117-0.045277i,-0.024903-0.031024i,0.0078483-0.015717i,0.0075692-0.018455i,-0.0012338-0.013073i,0.0011035-0.00079137i,0.011367+0.0107i,0.023623+0.012839i,0.025531+0.0078878i,0.019362+0.002195i,0.014907-0.0013603i,0.018638-0.0026284i,0.02833-0.0072159i,0.031477-0.013238i,0.02731-0.014271i,0.019829-0.009939i,0.011101-0.0051653i
0.037243-0.10403i,-0.02812-0.04977i,-0.051247+0.018156i,-0.0084363-0.0012068i,0.026976-0.031005i,0.056902+0.017568i,0.082101+0.047734i,0.056296+0.013001i,0.018664-0.0072968i,0.01619-0.0038907i,0.020973-0.001311i,0.015969-0.0022557i,0.0060312-0.0076014i,-0.0043951-0.0094889i,-0.0073022-0.0068322i,-0.0042489-0.0049349i,-0.0038654-0.0054884i,-0.0056705-0.0035865i,-0.0019678+0.0010396i,0.0059528-0.0010326i,0.0052147-0.010382i,-0.0060108-0.015596i,-0.015369-0.011595i
0.061519+0.098619i,0.064046+0.017789i,0.03053-0.038799i,0.022342+0.00035468i,0.030174+0.016173i,-0.0239-0.032129i,-0.076117-0.044388i,-0.0488-0.021038i,-0.017469-0.016532i,-0.019927-0.015338i,-0.020798-0.010124i,-0.011363-0.0084389i,-0.00023307-0.0099736i,0.001486-0.012491i,-0.0061984-0.011033i,-0.013215-0.0064979i,-0.014016-0.0047084i,-0.015673-0.010506i,-0.027409-0.019695i,-0.040802-0.01669i,-0.038396-0.00077236i,-0.020611+0.012012i,-0.0038761+0.015793i
-0.11362-0.016297i,-0.055372+0.031591i,0.010623+0.023407i,-0.022098-0.030383i,-0.057074-0.021387i,0.0025252+0.017922i,0.045147+0.010299i,0.012494-0.00036543i,-0.0079439+0.0070457i,0.0032075+0.0030155i,0.011927-0.0058471i,0.010205-0.0087574i,0.0018512-0.0064733i,-0.00037109+0.0021909i,0.0055442+0.010967i,0.01028+0.013916i,0.011279+0.014881i,0.013194+0.020026i,0.023566+0.025834i,0.036579+0.021556i,0.035922+0.0095428i,0.023758+0.0036618i,0.014673+0.0026265i
0.083097-0.082i,0.0065032-0.06628i,-0.04702+0.0041368i,0.0038465+0.042954i,0.037391+0.019595i,-0.0074694+0.021522i,-0.023057+0.050135i,0.002207+0.040452i,0.0068657+0.0195i,-0.0041184+0.019128i,-0.012974+0.021323i,-0.013456+0.01799i,-0.0085212+0.0097719i,-0.0068101-1.2833e-05i,-0.0056187-0.0077372i,-0.002181-0.013295i,-0.00044595-0.013805i,-0.0044934-0.010505i,-0.016024-0.0062573i,-0.02625-0.0023586i,-0.024965-0.0026332i,-0.016268-0.0068687i,-0.010395-0.010643i
0.003788+0.11732i,0.045983+0.05674i,0.03457-0.029877i,-0.021881-0.022373i,-0.014016+0.012287i,0.03876-0.03868i,0.039093-0.079722i,0.01682-0.045245i,0.012658-0.017757i,0.0065216-0.02137i,-0.0028789-0.024945i,-0.0088072-0.018826i,-0.010649-0.0050634i,-0.0067819+0.0047024i,-0.0038841+0.0062708i,-0.004742+0.0041947i,-0.0034284+0.00011203i,0.0032443-0.0065683i,0.0099158-0.015566i,0.0089293-0.017673i,0.0053188-0.0081293i,0.0051814+0.0023016i,0.0050075+0.0062129i
-0.098945-0.074739i,-0.079905-0.0037788i,0.0093879+0.050181i,0.060824-0.00044714i,0.0091289-0.030296i,-0.044187+0.035348i,-0.030911+0.061874i,-0.0079262+0.017424i,0.00010827-0.0055764i,0.0091436+0.0025443i,0.018011+0.0099446i,0.022701+0.0070264i,0.021475-0.00099336i,0.015533-0.0015617i,0.0085471+0.0044364i,0.0020749+0.0093845i,-0.0034145+0.011312i,-0.0062814+0.016338i,-0.00026937+0.02589i,0.01451+0.028778i,0.023139+0.018315i,0.018566+0.0058896i,0.0093687+0.0020954i
0.12169-0.02453i,0.055302-0.065944i,-0.055567-0.044292i,-0.059414+0.029108i,0.014094+0.024752i,0.031049-0.036663i,0.007378-0.036719i,0.0027313-0.0034379i,0.0033004+0.0027805i,-0.0040376-0.0041999i,-0.013268-0.0078943i,-0.017567-0.0060067i,-0.011826-0.0050761i,-0.0042337-0.010429i,0.00054423-0.0155i,0.0042631-0.016872i,0.0058097-0.016681i,0.0021618-0.020362i,-0.010485-0.03197i,-0.027397-0.042454i,-0.035622-0.041539i,-0.030297-0.030721i,-0.0204-0.017682i
-0.064966+0.11301i,0.011782+0.09547i,0.071513-0.0073835i,0.012229-0.073111i,-0.046709-0.021755i,-0.015159+0.038289i,0.016847+0.027033i,0.0097117+0.00036404i,0.0021999-0.0027976i,0.0058587-0.0013761i,0.012917-0.004231i,0.015091-0.0079868i,0.0098188-0.0081654i,0.0028478-0.003103i,-0.00128+0.0032053i,-0.0037672+0.0075555i,-0.0033626+0.010108i,0.002284+0.01403i,0.01185+0.022376i,0.019107+0.032054i,0.017472+0.037566i,0.011105+0.034886i,0.0099191+0.026373i
-0.041992-0.1206i,-0.086361-0.051031i,-0.060161+0.07402i,0.026705+0.091301i,0.039677+0.012108i,-0.01599-0.027598i,-0.03064-0.013184i,-0.010147-0.0027672i,-0.0032195-0.0044689i,-0.0093346-0.0019451i,-0.015717+0.0073476i,-0.014095+0.015022i,-0.0077706+0.014613i,-0.0036615+0.0095201i,-0.0021388+0.0036282i,-0.0011938-0.0013721i,-0.0020388-0.0039899i,-0.0086803-0.003357i,-0.016295+0.00091039i,-0.015591+0.0027224i,-0.007366-0.0026318i,-0.00018154-0.0085691i,0.0024801-0.010473i
0.12335+0.052375i,0.10756-0.028019i,0.0021237-0.094175i,-0.065548-0.033618i,-0.008004+0.055791i,0.067431+0.055316i,0.057947+0.021333i,0.020199+0.012418i,0.0064553+0.0083822i,0.0058241-0.0023161i,0.0059645-0.016241i,0.0024029-0.024505i,-0.0028858-0.021339i,-0.0019886-0.015033i,0.0036285-0.010623i,0.0066634-0.0085118i,0.0079629-0.0076488i,0.013924-0.011183i,0.022371-0.023484i,0.022427-0.035041i,0.015149-0.034728i,0.0098202-0.026004i,0.004596-0.01791i
-0.1259+0.057015i,-0.057152+0.10279i,0.075627+0.072562i,0.10285-0.038289i,0.0064133-0.10471i,-0.062808-0.079596i,-0.046574-0.043625i,-0.018439-0.02542i,-0.011563-0.01161i,-0.01008-0.00046707i,-0.0025414+0.0094964i,0.0075952+0.013483i,0.010851+0.011238i,0.0050691+0.010916i,-0.0053903+0.013483i,-0.014115+0.013775i,-0.018055+0.011602i,-0.019973+0.015474i,-0.020661+0.02893i,-0.018011+0.044353i,-0.015272+0.048893i,-0.013725+0.04085i,-0.010177+0.02944i
0.046351-0.13573i,-0.034607-0.1266i,-0.11393-0.021384i,-0.073076+0.074964i,0.023091+0.071634i,0.049904+0.02958i,0.026298+0.019676i,0.01376+0.0138i,0.014186+0.0014268i,0.010392-0.0065839i,-0.00395-0.012452i,-0.017212-0.01244i,-0.015731-0.011027i,-0.0049349-0.012118i,0.0051149-0.012817i,0.010484-0.011024i,0.010891-0.0078598i,0.0068368-0.01197i,0.0013515-0.026784i,0.00050331-0.044375i,0.0060117-0.050799i,0.0092589-0.04233i,0.0087491-0.02671i
0.069241+0.13272i,0.11898+0.074887i,0.09682-0.054731i,-0.01461-0.10092i,-0.095164-0.030275i,-0.079837+0.03478i,-0.035288+0.037349i,-0.009585+0.023347i,-0.0016448+0.018279i,0.0025798+0.01552i,0.010534+0.01147i,0.017122+0.0052073i,0.016082+0.00096048i,0.010911+0.0013932i,0.0082364+0.0021708i,0.007467+0.00050744i,0.0067053+0.00079633i,0.0095665+0.006437i,0.014696+0.015099i,0.013247+0.022647i,0.0032235+0.025284i,-0.0037389+0.021011i,-0.0046613+0.011732i
-0.14174-0.037652i,-0.14254+0.035387i,-0.03825+0.12338i,0.086785+0.10134i,0.12418-0.0010475i,0.090032-0.060222i,0.054181-0.05927i,0.028673-0.043771i,0.011809-0.037283i,0.00083631-0.031153i,-0.0098869-0.015267i,-0.015314+0.0017175i,-0.014829+0.0074386i,-0.01556+0.0037462i,-0.018371-0.00023059i,-0.018502-0.0020347i,-0.016448-0.0040288i,-0.019769-0.005662i,-0.029068-0.00063228i,-0.032634+0.0085899i,-0.027388+0.012464i,-0.018877+0.010744i,-0.0097031+0.0075779i
0.13091-0.081866i,0.089489-0.13688i,-0.042736-0.13223i,-0.12611-0.027733i,-0.095941+0.085213i,-0.04416+0.10692i,-0.025991+0.068774i,-0.012865+0.034017i,0.0009357+0.018588i,0.0097364+0.0083684i,0.016038-0.0059413i,0.015646-0.018217i,0.011984-0.019979i,0.01267-0.013542i,0.014502-0.0063143i,0.013333-0.0017607i,0.011045+0.00058279i,0.015294-0.0031072i,0.031256-0.014691i,0.047356-0.026714i,0.05207-0.028916i,0.043942-0.022501i,0.026816-0.013861i
-0.031906+0.15388i,0.034211+0.17247i,0.1365+0.08056i,0.15268-0.067263i,0.076251-0.15462i,0.016299-0.13966i,-0.0034159-0.079191i,-0.019285-0.029249i,-0.029331-0.0075497i,-0.028921+0.00082885i,-0.019536+0.0099402i,-0.0070346+0.01396i,-0.0013029+0.010301i,-0.002599+0.0058255i,-0.0059474+0.0040891i,-0.0067005+0.0029811i,-0.0063203+0.0023332i,-0.0097492+0.0083315i,-0.018939+0.020562i,-0.03234+0.027398i,-0.040845+0.023292i,-0.036111+0.015101i,-0.022799+0.0067274i
-0.086126-0.13397i,-0.15229-0.11436i,-0.17422+0.011152i,-0.10217+0.12507i,-0.0022116+0.13839i,0.039129+0.093904i,0.039431+0.049522i,0.039441+0.017965i,0.036845+0.0033617i,0.023979-0.0050282i,0.0032909-0.013851i,-0.013475-0.015773i,-0.015493-0.012809i,-0.008499-0.010534i,-0.0031305-0.0086924i,-0.0016879-0.0053838i,-0.0023549-0.003991i,-0.0041844-0.011391i,-0.0071776-0.024513i,-0.0061222-0.029368i,0.000947-0.022628i,0.0053994-0.012134i,0.0048414-0.00090689i
0.16129+0.036119i,0.20196-0.017461i,0.13451-0.12354i,-0.010198-0.16741i,-0.11857-0.1163i,-0.13068-0.048358i,-0.085398-0.0083858i,-0.042523+0.010102i,-0.020207+0.016524i,-0.0067119+0.01858i,0.0058199+0.016731i,0.011497+0.011673i,0.0094652+0.0081008i,0.0067177+0.0076184i,0.0070428+0.0079797i,0.0084935+0.0069518i,0.0089749+0.0059563i,0.013555+0.0096707i,0.024521+0.015589i,0.032078+0.017105i,0.02891+0.013354i,0.021255+0.0068431i,0.013987-0.0023172i
-0.14113+0.081616i,-0.14526+0.1516i,-0.037483+0.19833i,0.10123+0.16932i,0.16999+0.092307i,0.15644+0.031392i,0.10198-0.0049243i,0.050931-0.026088i,0.022837-0.034761i,0.0056372-0.033303i,-0.0076856-0.020097i,-0.011902-0.0041231i,-0.010504+0.0016116i,-0.0097062-0.0013986i,-0.0092179-0.0040814i,-0.0072896-0.0047733i,-0.0063097-0.0054463i,-0.0138-0.0054055i,-0.030639-0.0023963i,-0.04435-4.4085e-05i,-0.045366-0.0020461i,-0.036344-0.0043143i,-0.022067-0.0015253i
0.044592-0.15261i,0.011655-0.21348i,-0.085145-0.18669i,-0.16074-0.084836i,-0.15691+0.011378i,-0.10773+0.043444i,-0.055207+0.034736i,-0.017803+0.025722i,0.0016691+0.019912i,0.014105+0.0088843i,0.021308-0.0040659i,0.020726-0.013537i,0.016415-0.016075i,0.012652-0.011384i,0.0079747-0.0063252i,0.00175-0.0028011i,-0.0012077-0.0015167i,0.0053744-0.0065992i,0.021278-0.014611i,0.036114-0.014006i,0.037949-0.0036165i,0.027362+0.0040691i,0.013402+0.0054881i
0.072286+0.14674i,0.13701+0.17949i,0.19809+0.10541i,0.20586-0.023438i,0.15243-0.10879i,0.082939-0.11327i,0.02323-0.072328i,-0.014511-0.034734i,-0.02776-0.015482i,-0.029977-0.00051672i,-0.024728+0.012342i,-0.013873+0.015334i,-0.0059121+0.0095063i,-0.0043343+0.0042195i,-0.0034489+0.0028059i,-0.00067601+0.0019938i,0.0010745+0.0035262i,-0.0012734+0.013076i,-0.005639+0.025177i,-0.0087994+0.023804i,-0.0084718+0.0096292i,-0.0037099-0.00072739i,0.0033738-0.0040731i
-0.1553-0.058766i,-0.23191-0.052737i,-0.2437+0.024304i,-0.18193+0.11478i,-0.091158+0.14496i,-0.024104+0.11808i,0.012534+0.074397i,0.027122+0.039611i,0.02506+0.017077i,0.015173-0.0022556i,0.0015032-0.017263i,-0.0096041-0.02015i,-0.012032-0.013277i,-0.008592-0.008613i,-0.0034211-0.0071114i,0.00028267-0.0045139i,-0.00015657-0.0051757i,-0.0065144-0.012859i,-0.01669-0.024333i,-0.024364-0.028032i,-0.023547-0.020123i,-0.018-0.010731i,-0.014718-0.003708i
0.15428-0.063692i,0.21752-0.11351i,0.18701-0.17331i,0.078699-0.20505i,-0.025781-0.18256i,-0.065756-0.12383i,-0.050669-0.062064i,-0.026458-0.021217i,-0.012041-0.0002297i,-0.0007218+0.012336i,0.0079042+0.017186i,0.0093142+0.015173i,0.0061036+0.011965i,0.0025052+0.011375i,0.00021255+0.01132i,-0.0017532+0.0081894i,-0.00073279+0.0045445i,0.0098474+0.0060375i,0.028371+0.011558i,0.038645+0.016149i,0.032726+0.016799i,0.020378+0.013198i,0.011929+0.0064573i
-0.073873+0.15085i,-0.10377+0.23374i,-0.063364+0.26948i,0.024636+0.24756i,0.087613+0.18692i,0.091498+0.11314i,0.059372+0.044607i,0.031942+0.00041346i,0.016773-0.016626i,0.00243-0.020034i,-0.010545-0.014725i,-0.013837-0.006383i,-0.010078-0.0024865i,-0.0056442-0.0026503i,-0.0015764-0.00335i,0.0014699-0.0032413i,0.001145-0.0018908i,-0.0083571+0.00085623i,-0.025566+0.0026211i,-0.033136-0.00087626i,-0.024379-0.0081845i,-0.011989-0.010547i,-0.0033276-0.0051543i
