-0.003152-0.00015175i,-0.0025506+0.00079276i,-0.0032528+0.0026992i,-0.002596+0.0025915i,-0.0012437+0.0021511i,-5.8591e-05+0.0019713i,0.00061309+0.00097204i,0.0012277-0.00016761i,0.0017301-0.00054466i,0.0018767-0.00012317i,0.001384-0.00010577i,0.00063509-0.00059544i,0.00063156-0.0011868i,0.00065724-0.00099386i,0.00043376-0.00023397i,-0.00027397+6.5118e-05i,-0.0010694+0.00077068i,-0.00075182+0.0004575i,0.00026635-0.00077091i,0.00071991-0.00048295i,-4.3004e-05-3.2433e-05i,-0.00095985-0.00033334i,-0.0012578-0.00022715i
0.42425+0.45211i,0.50642+0.44665i,0.25782+0.22256i,-0.041682+0.04791i,-0.14695+0.039595i,-0.065726+0.11366i,0.065653+0.15868i,0.081335+0.10447i,0.012341+0.065115i,0.010388+0.098063i,0.065393+0.10166i,0.090456+0.055151i,0.068672+0.0057174i,0.016672-0.016349i,-0.028754-0.003103i,-0.040996+0.0051814i,-0.039286-0.003497i,-0.032639+0.00014038i,-0.028457+0.015368i,-0.034657+0.030029i,-0.025833+0.03681i,0.0022833+0.018892i,0.018902-0.014889i
-0.70364+0.34797i,-0.74251+0.55136i,-0.37129+0.53921i,-0.041778+0.26565i,-0.04476+0.0027812i,-0.15264-0.077585i,-0.19243-0.10072i,-0.18088-0.11338i,-0.12947-0.10239i,-0.0834-0.097284i,-0.070594-0.068146i,-0.04585-0.010555i,-0.0079266+0.019849i,0.012802+0.019058i,0.028402+0.01553i,0.049361+0.016961i,0.068237+0.015939i,0.071744+0.0082856i,0.054399+0.0030179i,0.032095+0.0085972i,0.015395+0.015292i,0.0014215+0.0094322i,-0.012694-0.0042128i
0.28852-0.71472i,0.16238-0.82771i,0.032973-0.56139i,0.059285-0.31553i,0.082962-0.2866i,0.028928-0.28493i,-0.008102-0.24648i,-0.061712-0.19558i,-0.082348-0.095317i,-0.013029-0.015536i,0.018354-0.009961i,-0.020648-0.0055951i,-0.046253+0.0087501i,-0.065773+0.0084476i,-0.087921+0.025406i,-0.079264+0.049283i,-0.058912+0.045142i,-0.05369+0.032979i,-0.050792+0.031603i,-0.039501+0.032257i,-0.015497+0.029365i,0.016968+0.017024i,0.02816-0.0021239i
0.23543+0.62499i,0.24949+0.73132i,0.094036+0.54995i,-0.035093+0.29635i,-0.022465+0.084913i,0.024775-0.024187i,0.079188-0.0081576i,0.13139-0.010238i,0.08521-0.032578i,0.0020476+0.0076728i,-0.013692+0.043697i,0.0080641+0.033356i,0.025538+0.0053998i,0.019247-0.024652i,-0.018237-0.030118i,-0.052254-0.0021772i,-0.053892+0.028158i,-0.033458+0.035502i,-0.022117+0.014644i,-0.036966-0.0058697i,-0.047604+0.0030386i,-0.022896+0.018478i,0.018009+0.010215i
-0.82961-0.22372i,-0.91664-0.15259i,-0.53935-0.043877i,-0.11687-0.033046i,0.048371-0.046419i,0.068068+0.012109i,0.067558+0.048252i,0.064052+0.014137i,0.036583-0.035886i,-0.0064054-0.053871i,-0.020937-0.038959i,-0.0099865-0.020805i,0.0094215-0.004076i,0.044927+0.0048014i,0.079652-0.011293i,0.089098-0.037462i,0.073515-0.042329i,0.046215-0.023581i,0.030459-0.0062854i,0.028181-0.0077937i,0.01518-0.015308i,-0.0096399-0.0047297i,-0.021487+0.013679i
0.60694-0.46809i,0.54963-0.64438i,0.21401-0.46011i,0.04401-0.13465i,0.10327-0.019055i,0.12017-0.080772i,0.094858-0.10553i,0.098289-0.079603i,0.08611-0.054251i,0.060744-0.032046i,0.033892-0.019629i,0.005723-0.011694i,-0.015247-0.012209i,-0.041109-0.017374i,-0.06336-0.0042327i,-0.057046+0.016865i,-0.034602+0.015557i,-0.022373+0.002254i,-0.018335+0.0055678i,-0.013533+0.016323i,-0.011836+0.020576i,-0.010886+0.022787i,-0.0089724+0.019538i
0.060959+0.84181i,0.20118+0.84576i,0.18321+0.42952i,-0.008434+0.1158i,-0.091211+0.12184i,-0.0256+0.18092i,-0.0073273+0.19901i,-0.0079431+0.19501i,0.0080836+0.13153i,0.0078116+0.066678i,0.025462+0.029483i,0.036872-0.015487i,0.016736-0.034924i,0.0015012-0.021125i,-0.016144-0.0088236i,-0.046605+0.0015322i,-0.067305+0.014542i,-0.061607+0.019962i,-0.040451+0.011815i,-0.024603-0.0021175i,-0.014352-0.016414i,-0.010721-0.030228i,-0.011163-0.033686i
-0.55639-0.5121i,-0.62712-0.41871i,-0.35013-0.12928i,-0.054508+0.021695i,0.022448+0.036041i,-0.0057136+0.045246i,-0.058273+0.016787i,-0.10512+0.023358i,-0.068857+0.04565i,-0.02595+0.0064388i,-0.026271-0.0067778i,-0.0089539+0.017183i,0.010306+0.025177i,0.021875+0.028301i,0.050445+0.018365i,0.075835-0.0033522i,0.079029-0.015116i,0.057798-0.021158i,0.024594-0.021847i,0.011229-0.012186i,0.022565-0.0040462i,0.033774-0.0059446i,0.030778-0.011224i
0.72825-0.13567i,0.75571-0.21347i,0.47619-0.23004i,0.20192-0.20428i,0.040389-0.13998i,-0.019176-0.06619i,0.015048-0.045928i,0.0095206-0.073593i,-0.031822-0.066012i,-0.023482-0.040227i,-0.022132-0.024461i,-0.034686+0.0059158i,-0.026527+0.018541i,-0.030152+0.001381i,-0.04428-0.0091261i,-0.04276-0.010547i,-0.027015-0.0084318i,-0.0024773-0.0011203i,0.015943+0.0022719i,0.011467+0.001721i,-0.0054282+0.0059223i,-0.011383+0.012308i,-0.0069313+0.0082881i
-0.48606+0.68514i,-0.51629+0.79564i,-0.38219+0.54763i,-0.27255+0.2427i,-0.21214+0.11494i,-0.14207+0.085176i,-0.077639+0.065765i,-0.01432+0.045751i,0.032609+0.024081i,0.052128+0.017695i,0.06171+0.012111i,0.055962-0.0017024i,0.03528-0.012472i,0.014509-0.013158i,-0.0043536+0.003658i,-0.022294+0.026563i,-0.034337+0.030477i,-0.034719+0.015361i,-0.025955+0.0016134i,-0.013915-0.0038232i,0.00037338-0.0079959i,0.010013-0.012276i,0.012534-0.005787i
-0.22417-0.6689i,-0.26068-0.73977i,-0.1251-0.46337i,0.055807-0.20357i,0.076186-0.14079i,-0.016312-0.077079i,-0.046699+0.006965i,-0.033403+0.023525i,-0.031433+0.019208i,-0.023977+0.02141i,-0.020496+0.012708i,-0.022487+0.00055971i,-0.01713-0.011292i,-0.0073357-0.016275i,0.011182-0.008069i,0.034899-0.0016914i,0.043626-0.0022513i,0.0286+0.0035598i,0.010917+0.012493i,0.012485+0.012344i,0.020111+0.0083101i,0.018739+0.0092558i,0.014488+0.0094176i
0.65467+0.23908i,0.72215+0.18959i,0.48807+0.04871i,0.24813-0.022224i,0.15581-0.045767i,0.093162-0.091035i,0.031216-0.077795i,0.01475-0.039356i,0.0093053-0.027616i,-0.0020346-0.015134i,-0.0062216+0.0090485i,0.0027902+0.029072i,0.020827+0.025865i,0.01859+0.0093864i,-0.0075176-0.00036205i,-0.027116-0.00603i,-0.02654-0.0086306i,-0.0099558-0.0084561i,0.0026851-0.0080618i,-0.0059068+0.0011355i,-0.017176+0.018259i,-0.013869+0.024996i,-0.0073021+0.015352i
-0.53332+0.23903i,-0.58895+0.3426i,-0.38755+0.30925i,-0.21378+0.19479i,-0.15843+0.13351i,-0.082849+0.11381i,-0.023557+0.059853i,-0.029373+0.016144i,-0.040035+0.0095354i,-0.031563+0.013875i,-0.01601+0.00031338i,-0.013622-0.0169i,-0.014905-0.0047528i,-0.008117+0.014565i,-0.014207+0.020024i,-0.029228+0.022778i,-0.034637+0.024502i,-0.025029+0.019531i,-0.011839+0.01004i,-0.0091523+0.0016272i,-0.011503-0.0043802i,-0.014706-0.0075329i,-0.017255-0.0050466i
0.13338-0.48656i,0.086325-0.52806i,-0.044172-0.26885i,-0.068628-0.013814i,0.0079449+0.0049679i,0.03353-0.074306i,0.0023482-0.10023i,-0.02292-0.062466i,-0.021958-0.025843i,-0.018529-0.024546i,-0.014773-0.026958i,-0.0040391-0.026953i,-0.0048473-0.029752i,-0.010541-0.032566i,-0.0056213-0.031843i,0.0045213-0.016902i,0.011284+0.0018694i,0.00061164+0.011299i,-0.012769+0.016384i,-0.0026784+0.012138i,0.016825-0.0030464i,0.031236-0.012971i,0.038282-0.013302i
0.13997+0.45767i,0.26801+0.47767i,0.31715+0.18006i,0.24135-0.10178i,0.14432-0.11641i,0.11647-0.023785i,0.11378+0.0048835i,0.08303-0.030963i,0.032651-0.056155i,0.0098892-0.03836i,0.011199-0.002474i,0.014501+0.02284i,0.013249+0.01869i,0.0025432-0.0014049i,-0.0031354-0.021371i,-0.005604-0.044274i,-0.010945-0.051651i,-0.0047654-0.029519i,0.0069051-0.0079649i,0.0021834+0.0002542i,-0.014285+0.010663i,-0.022782+0.021856i,-0.018917+0.018188i
-0.38808-0.20353i,-0.53173-0.19075i,-0.45917-0.066284i,-0.313+0.033473i,-0.24092+0.099137i,-0.19035+0.15931i,-0.099208+0.16109i,-0.0017239+0.10822i,0.058242+0.044256i,0.061947-0.0044724i,0.040317-0.019767i,0.028835-0.01231i,0.021489-0.0018038i,0.013818+0.019392i,0.011318+0.050775i,0.013688+0.065599i,0.015343+0.05124i,0.011376+0.015949i,0.0018703-0.014455i,-0.0039726-0.019973i,-0.0020819-0.013423i,-0.004542-0.0097446i,-0.01491-0.0014588i
0.48105-0.061523i,0.54918-0.13342i,0.37861-0.091735i,0.20777+0.004282i,0.13539-0.0062869i,0.052827-0.052561i,-0.030408-0.029082i,-0.066098+0.023504i,-0.052808+0.062405i,-0.017591+0.064937i,-0.017462+0.03462i,-0.036817+0.014297i,-0.026238+0.0021677i,-0.0073503-0.020468i,-0.0032372-0.032702i,-0.0030559-0.021189i,-0.0049694-0.0016252i,-0.011391+0.01248i,-0.011737+0.020355i,-0.00090129+0.020148i,0.010258+0.012409i,0.017923+0.0024578i,0.025744-0.0098772i
-0.31703+0.29528i,-0.30179+0.39449i,-0.11658+0.26162i,0.029211+0.044351i,0.045421-0.080029i,0.010473-0.14315i,-0.024038-0.14303i,-0.034304-0.084704i,-0.043681-0.034945i,-0.050355+0.0028531i,-0.020388+0.027178i,0.011715+0.022133i,0.021006+0.01544i,0.025953+0.011226i,0.02237-0.0058996i,0.010449-0.023902i,0.0031895-0.028336i,0.0058449-0.015486i,0.013406+0.00028234i,0.01351+0.0038553i,0.0098109-0.001349i,0.0097681-0.0091443i,0.006348-0.011181i
-0.014474-0.43666i,-0.077287-0.46665i,-0.1131-0.27922i,-0.11268-0.092376i,-0.093911+0.014693i,-0.019688+0.095391i,0.061864+0.084303i,0.052303-0.00037401i,0.011407-0.051689i,0.002685-0.055665i,0.0020871-0.036109i,-0.0012275-0.0088526i,-0.012619+0.012747i,-0.027342+0.031303i,-0.028446+0.048337i,-0.017531+0.052988i,-0.0018093+0.039628i,0.010233+0.011779i,0.0038454-0.012477i,-0.013203-0.011323i,-0.021249+0.010083i,-0.020668+0.030261i,-0.017258+0.031874i
0.24018+0.39126i,0.26068+0.39105i,0.085948+0.26545i,-0.08002+0.16965i,-0.093303+0.10056i,-0.063956+0.036962i,-0.055375+0.023276i,-0.014447+0.030594i,0.028181+0.013122i,0.021685-0.012976i,-0.0061685-0.027006i,-0.022024-0.035634i,-0.022762-0.045882i,-0.01729-0.050494i,-0.016484-0.047145i,-0.018342-0.033168i,-0.019799-0.013268i,-0.022756+0.00054883i,-0.018601+0.0040994i,-0.0088689-0.0078663i,-0.0063854-0.024003i,-0.0083053-0.025629i,-0.0045741-0.013024i
-0.42296-0.072247i,-0.41882-0.060723i,-0.13001-0.078096i,0.13762-0.16224i,0.16997-0.19663i,0.096879-0.15053i,0.038829-0.092211i,-0.0018823-0.039357i,-0.012374+0.0076631i,0.0093621+0.026762i,0.030089+0.02451i,0.039008+0.021532i,0.038481+0.013489i,0.026346+0.0023111i,0.016047-0.0065474i,0.0096579-0.019485i,-0.0029516-0.024115i,-0.010613-0.0065783i,-0.0049182+0.017966i,0.0089278+0.033199i,0.02518+0.033693i,0.033311+0.015027i,0.023969-0.012257i
0.39912-0.24924i,0.37844-0.31538i,0.14011-0.20601i,-0.039368-0.016729i,-0.059232+0.082851i,-0.05654+0.08973i,-0.041154+0.077322i,-0.0037325+0.057536i,0.004998+0.036281i,0.0021123+0.029205i,0.0089289+0.023591i,0.014142+0.017586i,0.013502+0.018096i,0.0049236+0.025491i,-0.0071293+0.040068i,-0.010068+0.055432i,0.0026114+0.053629i,0.016354+0.027738i,0.01404-0.00080968i,0.00011015-0.01325i,-0.011263-0.011116i,-0.013812-0.00076962i,-0.0067522+0.014751i
-0.16033+0.42193i,-0.13249+0.54561i,-0.02463+0.41377i,0.0058028+0.22095i,0.004859+0.16065i,0.068079+0.14446i,0.082239+0.070656i,0.02182+0.0014915i,-0.011501-0.022731i,-0.018283-0.027885i,-0.031191-0.017123i,-0.03705-0.0014657i,-0.024706+0.0052334i,-0.0031617-0.0024048i,0.0082875-0.021471i,0.0073071-0.036352i,-0.0010949-0.04015i,-0.013071-0.030894i,-0.017034-0.015438i,-0.010992-0.0075183i,-0.0032059-0.0035708i,-0.00030728+0.0020062i,-0.00214+0.0017716i
-0.17875-0.47555i,-0.30545-0.54326i,-0.28087-0.33543i,-0.13459-0.15886i,-0.084426-0.18134i,-0.14508-0.21146i,-0.1403-0.13723i,-0.064904-0.053696i,-0.017453-0.019003i,-0.011357-0.0087521i,-0.010951-0.0044845i,-0.0057498-0.0086875i,-0.009404-0.01777i,-0.02013-0.019009i,-0.019572-0.012107i,-0.0087489-0.0063454i,0.0011718-0.00058611i,0.0095275+0.0053142i,0.015078+0.0053091i,0.011202+0.0016639i,0.0013254-0.0035295i,-0.00051509-0.0111i,0.0040711-0.015683i
0.4604+0.33168i,0.66201+0.2581i,0.53007+0.013419i,0.24993-0.11903i,0.099791-0.072686i,0.066794+0.00010913i,0.041828+0.013697i,0.010292-0.0089407i,-0.010503-0.0174i,0.00097815-0.0086256i,0.022336-0.0092524i,0.026986-0.0085625i,0.024727-0.0030264i,0.019258-0.0013925i,0.0085387+0.0029068i,-0.0073416+0.011695i,-0.019885+0.020088i,-0.019188+0.021404i,-0.013538+0.016956i,-0.0065394+0.013771i,0.0011622+0.013898i,0.0021656+0.01653i,-0.0019287+0.015434i
-0.64754+0.10642i,-0.78049+0.30967i,-0.56687+0.39252i,-0.27894+0.30892i,-0.10926+0.2154i,-0.0076855+0.17124i,0.047442+0.12197i,0.054499+0.073131i,0.047588+0.037402i,0.027193+0.015086i,0.00034879+0.013625i,-0.015006+0.018185i,-0.015461+0.022372i,-0.0034494+0.02609i,0.012387+0.023227i,0.030025+0.010907i,0.041369-0.011607i,0.031032-0.030254i,0.0080077-0.031001i,-0.0080656-0.020348i,-0.01101-0.012203i,-0.0071881-0.011736i,-0.0026937-0.010379i
0.45483-0.57359i,0.41571-0.75651i,0.2492-0.57171i,0.15815-0.27802i,0.11665-0.14735i,0.050998-0.12079i,0.0011294-0.087345i,-0.023428-0.046142i,-0.02428-0.013166i,-0.006825-0.00085321i,0.0013367-0.0013278i,0.0053362-0.0025465i,0.0062737-0.015066i,-0.01236-0.029815i,-0.035302-0.026914i,-0.048878-0.0098639i,-0.050773+0.014454i,-0.034846+0.035967i,-0.0091117+0.038475i,0.0099211+0.027384i,0.016828+0.01907i,0.017011+0.016482i,0.012108+0.012051i
0.09662+0.71807i,0.20372+0.77223i,0.16565+0.47784i,0.027225+0.16332i,-0.076804+0.0023336i,-0.13033-0.066591i,-0.13112-0.05821i,-0.067901-0.02012i,-0.025161-0.005988i,-0.018834+0.0059335i,-0.0025345+0.0069963i,0.0081755-0.0063779i,0.0092781-0.006752i,0.0193-0.00023222i,0.028873-0.0014148i,0.023866-0.005337i,0.01168-0.009548i,0.0034804-0.013929i,-0.0014923-0.014597i,-0.0078952-0.011979i,-0.014811-0.010407i,-0.016986-0.011139i,-0.010949-0.008576i
-0.63001-0.39967i,-0.70112-0.34186i,-0.44453-0.18766i,-0.17638-0.077883i,-0.028809+0.045066i,0.096898+0.16101i,0.14228+0.13498i,0.07057+0.046681i,0.01487+0.0028379i,0.00076685-0.02063i,-0.013698-0.019788i,-0.014135+0.0024775i,-0.0079033+0.015214i,-0.009853+0.020145i,-0.0067705+0.024914i,0.0078976+0.023572i,0.022967+0.014699i,0.02396+0.0052528i,0.013654+0.0020836i,0.0051192+0.0035998i,0.0038099+0.0073428i,0.0075989+0.013839i,0.008072+0.013521i
0.66249-0.17238i,0.63901-0.20907i,0.34515-0.079091i,0.13782+0.040422i,0.061144-0.023065i,-0.024932-0.11446i,-0.053952-0.076616i,-0.0087854-0.018011i,0.016511-0.0061248i,0.013525-0.00063874i,0.0029802+0.0029797i,-0.0089326+0.0027787i,-0.010036-0.0043959i,-0.011027-0.021634i,-0.022871-0.035048i,-0.03523-0.039215i,-0.042652-0.037407i,-0.044096-0.028126i,-0.032836-0.015864i,-0.011386-0.010251i,0.0033844-0.015374i,0.0010271-0.026919i,-0.0056673-0.029347i
-0.25355+0.56234i,-0.20227+0.52983i,-0.067318+0.21609i,-0.013394-0.025485i,-0.025703-0.034853i,-0.015531-0.00017023i,-0.020225-0.023498i,-0.034554-0.030145i,-0.028812-0.0078404i,-0.010677+0.0085824i,0.013486+0.0072089i,0.026588-0.0064317i,0.0236-0.01058i,0.022565+0.0019401i,0.02825+0.018317i,0.032778+0.031779i,0.034762+0.040854i,0.039545+0.036986i,0.03705+0.020193i,0.01897+0.0097391i,0.0043605+0.015873i,0.0074338+0.028508i,0.015423+0.03026i
-0.22235-0.48953i,-0.26129-0.45052i,-0.19827-0.17132i,-0.090708+0.022239i,-0.044879+0.039078i,-0.061549+0.046557i,-0.044783+0.066981i,-0.012857+0.049613i,-0.00015481+0.028125i,0.0070128+0.022334i,0.0043221+0.021527i,-0.003084+0.024518i,-0.0053135+0.023024i,-0.0096215+0.013673i,-0.015951+0.0062833i,-0.013694+0.0032462i,-0.0090869+0.00057461i,-0.016652+0.00095006i,-0.025479+0.0083658i,-0.025105+0.012879i,-0.024248+0.0056943i,-0.026323-0.0059954i,-0.022344-0.01043i
0.38757+0.17446i,0.44111+0.17432i,0.2972+0.044825i,0.12605-0.019083i,0.12078+0.016376i,0.19337+0.00036723i,0.15677-0.038486i,0.06494-0.031123i,0.017654-0.022761i,-0.002623-0.03106i,-0.01403-0.027279i,-0.012614-0.017101i,-0.0071735-0.014801i,-0.0038204-0.015042i,-0.0045957-0.018937i,-0.012556-0.027944i,-0.018794-0.032366i,-0.013248-0.028723i,0.00032855-0.025298i,0.014637-0.022132i,0.028143-0.013485i,0.036267-0.0039732i,0.029451-0.00042409i
-0.34709+0.063898i,-0.44893+0.11929i,-0.27798+0.18474i,-0.073606+0.11082i,-0.1124-0.026771i,-0.21897-0.035292i,-0.16755+0.0063287i,-0.06371+0.00052348i,-0.0186-0.0081916i,-0.0046192-0.0034825i,0.0017559-0.0061658i,-0.00030112-0.010651i,-0.0042123-0.0065405i,-0.005631+0.0021617i,-0.0041334+0.014822i,0.0001414+0.02962i,0.0024303+0.036385i,0.0014316+0.033656i,0.0017078+0.025442i,-0.0034582+0.012811i,-0.018836-0.00093346i,-0.032774-0.0089144i,-0.031299-0.0094963i
0.29678-0.15422i,0.36412-0.34114i,0.15589-0.39577i,-0.042892-0.2274i,-0.0060874-0.044688i,0.056698-0.0064851i,0.02512-0.0046784i,0.00083831+0.012132i,-0.0032196+0.013689i,-0.0054917+0.012037i,-0.0015032+0.010833i,0.0041669+0.010335i,0.011226+0.0079085i,0.016294-0.0024482i,0.018232-0.013757i,0.020657-0.015503i,0.026172-0.0094341i,0.023679-0.0090185i,0.0059383-0.0076596i,-0.0086083+0.0090713i,-0.0015126+0.030434i,0.018513+0.036078i,0.028278+0.025389i
-0.26546+0.33231i,-0.2067+0.58677i,0.027119+0.53343i,0.13789+0.24568i,0.080782+0.066074i,0.066882+0.043489i,0.073723+0.027745i,0.036695+0.0080624i,0.018321+0.0061713i,0.019556+0.0056683i,0.013382+0.011911i,0.0062033+0.017006i,7.4853e-05+0.016423i,-0.0056652+0.01902i,-0.011379+0.018705i,-0.018549+0.005601i,-0.029778-0.010618i,-0.031623-0.012064i,-0.01306-0.0065497i,0.0087073-0.011974i,0.014059-0.025059i,-0.00040264-0.032065i,-0.015808-0.023567i
0.049126-0.56737i,-0.1662-0.74787i,-0.31979-0.5257i,-0.22074-0.18303i,-0.06942-0.074612i,-0.04382-0.094267i,-0.036977-0.080432i,-0.015211-0.053436i,-0.014383-0.033286i,-0.017284-0.022437i,-0.015564-0.024107i,-0.012635-0.029106i,-0.013709-0.033438i,-0.019062-0.030783i,-0.020334-0.017407i,-0.015478+0.0027i,-0.0036465+0.016712i,0.0075495+0.015546i,0.0081612+0.0054276i,0.0040333-0.0046291i,0.0036147-0.0089036i,0.0092355-0.0058257i,0.012734-0.0053187i
0.36798+0.57276i,0.64412+0.60357i,0.61874+0.32981i,0.31235+0.080667i,0.058247+0.059128i,-0.032636+0.096887i,-0.054303+0.084552i,-0.038079+0.052345i,-0.015037+0.025111i,-0.0015039+0.017267i,0.010297+0.015642i,0.015077+0.016556i,0.022099+0.020169i,0.032378+0.011117i,0.034912-0.003357i,0.032629-0.0090796i,0.024784-0.0062617i,0.011813-0.0020928i,-0.0015169+0.0033637i,-0.018009+0.016875i,-0.033072+0.032261i,-0.035761+0.034506i,-0.024663+0.025224i
-0.74566-0.17995i,-0.98968-0.066117i,-0.80223+0.092739i,-0.39663+0.10584i,-0.12083+0.018385i,0.0015508-0.018022i,0.045532-0.010155i,0.033696-0.0027137i,0.015118-0.002286i,0.0020978-0.011046i,-0.01126-0.0075901i,-0.014842+0.0051609i,-0.018824+0.011707i,-0.02704+0.015569i,-0.030624+0.012632i,-0.02757-0.00025206i,-0.019587-0.014244i,-0.010872-0.017303i,-0.003118-0.008065i,0.013266-0.0024838i,0.037157-0.0075058i,0.04625-0.013516i,0.033142-0.013689i
0.69243-0.36265i,0.84405-0.55352i,0.64373-0.52503i,0.32514-0.31292i,0.14117-0.13775i,0.059808-0.075173i,0.015909-0.045439i,0.0030901-0.017757i,0.0044607-0.0020034i,0.015653+0.0052788i,0.022847-6.0843e-05i,0.022321-0.010084i,0.022005-0.017877i,0.015514-0.018709i,0.0054262-0.0047566i,-0.0066833+0.012705i,-0.02063+0.026113i,-0.024395+0.029263i,-0.014177+0.013447i,-0.0083457-0.012715i,-0.019327-0.031467i,-0.031363-0.031445i,-0.025688-0.018766i
-0.2573+0.67821i,-0.32302+0.8973i,-0.22737+0.75882i,-0.096731+0.4192i,-0.062623+0.17836i,-0.071384+0.079122i,-0.054415+0.021435i,-0.03001-0.014832i,-0.025157-0.018351i,-0.033785-0.0033759i,-0.034+0.011506i,-0.028159+0.015436i,-0.022766+0.015271i,-0.0089583+0.012809i,0.0077311+0.0037832i,0.024449-0.0043477i,0.039741-0.013883i,0.040068-0.024557i,0.02441-0.018211i,0.0056359+0.0085808i,-0.00069876+0.035935i,0.0086269+0.04445i,0.014047+0.032094i
-0.20695-0.61086i,-0.25184-0.82398i,-0.2199-0.68612i,-0.13272-0.36342i,-0.036317-0.12978i,0.024427-0.0070202i,0.032941+0.051291i,0.018641+0.054478i,0.022162+0.034782i,0.036524+0.010324i,0.033905-0.0075253i,0.026178-0.011163i,0.022368-0.013889i,0.0097532-0.01878i,-0.0063271-0.016597i,-0.016788-0.0092361i,-0.021214+0.0037791i,-0.020443+0.01933i,-0.016656+0.02485i,-0.0065749+0.021324i,0.0059186+0.012755i,0.0055422-0.0013832i,0.00047048-0.0099916i
0.40956+0.33175i,0.55813+0.51139i,0.46+0.44547i,0.22902+0.22437i,0.064559+0.048743i,0.0011695-0.053104i,-0.011202-0.084086i,-0.0098619-0.058734i,-0.018034-0.034489i,-0.027552-0.018194i,-0.020745-0.0041319i,-0.01387+0.0058731i,-0.011377+0.017317i,-0.0035198+0.023574i,-0.00026286+0.019603i,-0.0083053+0.0086256i,-0.018933-0.0054138i,-0.020311-0.016174i,-0.0087915-0.024269i,0.00073601-0.039667i,-7.1758e-05-0.05413i,0.00028259-0.04684i,0.0020217-0.025244i
-0.45984-0.052747i,-0.66106-0.12305i,-0.5448-0.13614i,-0.25988-0.083981i,-0.072784-0.022407i,-0.0077264+0.029214i,0.011355+0.041193i,0.016266+0.020904i,0.021282+0.0070666i,0.023585-0.00094423i,0.013877-0.0067885i,0.0042874-0.014853i,-0.0032734-0.025461i,-0.0088261-0.024476i,-0.0003681-0.010662i,0.0207+0.0063492i,0.037251+0.01914i,0.038838+0.02192i,0.025318+0.017435i,0.0043445+0.021613i,-0.016381+0.035236i,-0.029631+0.03772i,-0.029014+0.025198i
0.40456-0.1568i,0.5764-0.21552i,0.48757-0.14522i,0.25096-0.051383i,0.064777-0.016846i,-0.035473-0.0067384i,-0.062091+0.0059565i,-0.047783+0.007994i,-0.03963+0.0083191i,-0.035368+0.018247i,-0.02203+0.026292i,-0.0071469+0.030858i,0.0087736+0.030158i,0.015452+0.014654i,0.00045397-0.0071423i,-0.021621-0.022088i,-0.033066-0.029302i,-0.037562-0.025542i,-0.034837-0.0069279i,-0.014129+0.014746i,0.020772+0.023977i,0.046904+0.017846i,0.048489+0.0080633i
-0.24464+0.33911i,-0.34728+0.46726i,-0.31537+0.3662i,-0.17386+0.18179i,-0.015689+0.072621i,0.099784+0.010534i,0.11465-0.021129i,0.071421-0.014873i,0.052742-0.012877i,0.045364-0.027358i,0.028773-0.029648i,0.013934-0.022758i,0.0011984-0.013607i,-0.005169+0.0034674i,0.0005596+0.018503i,0.0087814+0.024673i,0.012484+0.024878i,0.018393+0.019267i,0.022687+0.0013747i,0.012904-0.027182i,-0.0093403-0.047491i,-0.029916-0.041474i,-0.034445-0.021214i
-0.012329-0.41i,0.00019533-0.53484i,0.032297-0.43058i,0.0098746-0.23349i,-0.080287-0.096658i,-0.15615-0.00842i,-0.13085+0.026277i,-0.072333+0.013537i,-0.054464+0.011428i,-0.042134+0.021754i,-0.024519+0.017166i,-0.014372+0.010278i,-0.0069842+0.0038826i,-0.0053617-0.0060334i,-0.0099504-0.0063657i,-0.012394+0.00030317i,-0.012427+0.0037747i,-0.012171+0.0038905i,-0.00899+0.0042697i,-0.0086921+0.0087427i,-0.009962+0.015166i,-0.0010909+0.011804i,0.0066577+0.0015651i
0.23282+0.2987i,0.27449+0.38979i,0.19967+0.32152i,0.13683+0.16955i,0.14609+0.044002i,0.14305-0.032257i,0.083957-0.04222i,0.040569-0.023175i,0.035512-0.025234i,0.025279-0.027008i,0.013299-0.016879i,0.0081039-0.013518i,0.0052113-0.013906i,0.005543-0.01372i,0.0086399-0.019738i,0.015747-0.027616i,0.019767-0.029229i,0.013479-0.025086i,0.0021088-0.012058i,0.0032763+0.009434i,0.016525+0.02726i,0.01772+0.032021i,0.01009+0.026354i
-0.33613-0.075152i,-0.42451-0.11983i,-0.33089-0.10324i,-0.2057-0.042249i,-0.15801+0.027294i,-0.10811+0.081i,-0.04151+0.074515i,-0.018358+0.049397i,-0.017914+0.050548i,-0.0070471+0.046043i,-0.0013547+0.0307i,0.0022295+0.025042i,0.0063731+0.023189i,0.002688+0.023067i,-0.00616+0.029058i,-0.017898+0.034117i,-0.026098+0.03391i,-0.021126+0.031267i,-0.0071898+0.022485i,0.0029101+0.00076614i,0.0074942-0.027169i,0.010466-0.043127i,0.0087421-0.040436i
