-0.0025938+0.0014952i,-0.0018796+5.3705e-06i,-0.0032678-0.00020808i,-0.0029176-5.8162e-05i,-0.0013569+0.00015054i,-0.00069697-3.9131e-05i,-0.00064091+0.00033233i,-0.0004778+0.0015722i,0.00028862+0.0020448i,0.0010526+0.001256i,0.001181+0.00063129i,0.0012961+0.00065842i,0.00055759+0.00019469i,0.00018352-0.00012268i,0.00045941+0.00019247i,0.00081+0.00041421i,0.0007314-0.00020408i,0.00025546-0.0010277i,0.00086462-0.00055409i,0.0018113+0.00032728i,0.0016039+0.00045251i,0.00019938+0.00015574i,0.00021167-0.00024381i
-0.090821-0.041226i,-0.14565-0.10173i,-0.15067-0.17485i,-0.10179-0.22853i,-0.074596-0.26406i,-0.10896-0.26733i,-0.1296-0.18897i,-0.091957-0.076603i,-0.04853-0.01674i,-0.038965-0.00066489i,-0.040704+0.010234i,-0.03061+0.017828i,-0.023313+0.021023i,-0.032693+0.030256i,-0.046137+0.043601i,-0.048417+0.047144i,-0.0351+0.035101i,-0.012791+0.011861i,0.0027027-0.011191i,0.0025829-0.017201i,-0.0029585-0.0063365i,-0.001831+0.0054016i,0.00289+0.0061603i
0.092657-0.027836i,0.16422-0.014067i,0.18405+0.029458i,0.13574+0.090272i,0.0962+0.16994i,0.094195+0.24423i,0.093074+0.23711i,0.075214+0.15151i,0.052175+0.070176i,0.043405+0.021847i,0.037959-0.0044924i,0.027046-0.010536i,0.025038-0.015634i,0.030429-0.036121i,0.030595-0.054013i,0.02418-0.053119i,0.011295-0.038111i,-0.0051474-0.022285i,-0.019718-0.010116i,-0.028057-0.00286i,-0.030225-0.003482i,-0.02649-0.0081649i,-0.018016-0.011402i
-0.056723+0.074433i,-0.12596+0.11212i,-0.17354+0.099489i,-0.18258+0.050217i,-0.18127+0.0062865i,-0.13686-0.041485i,-0.062175-0.082507i,-0.015319-0.076435i,0.0037033-0.039976i,0.0031016-0.0047431i,-0.0026132+0.021119i,-0.0021768+0.027025i,-0.0068069+0.024334i,-0.013495+0.035952i,-0.011425+0.053464i,-0.0033948+0.054623i,0.0020103+0.037495i,0.00041222+0.017374i,-0.0024779+0.0094465i,0.0033763+0.015468i,0.017759+0.023665i,0.024733+0.023085i,0.016521+0.016537i
-0.003144-0.091747i,0.029305-0.15226i,0.08131-0.136i,0.14967-0.051954i,0.21632+0.0025838i,0.21508+0.020015i,0.14831+0.032702i,0.084418+0.024944i,0.044992-0.0012531i,0.024816-0.022682i,0.017239-0.034323i,0.015626-0.036641i,0.016795-0.036603i,0.012346-0.043563i,-0.0020152-0.049583i,-0.014667-0.042064i,-0.014851-0.021485i,-0.0073916+0.00094839i,0.0019213+0.0093477i,0.0056374-0.0035707i,-0.0022623-0.021699i,-0.012435-0.025792i,-0.013603-0.016974i
0.056683+0.06535i,0.081715+0.12299i,0.06319+0.12077i,0.010465+0.056432i,-0.036685+0.0041626i,-0.067726-0.0357i,-0.076893-0.075604i,-0.06158-0.078556i,-0.03707-0.049712i,-0.015754-0.019404i,0.0050758+0.00081156i,0.014688+0.0066269i,0.0098284+0.014291i,0.011836+0.030539i,0.026569+0.036306i,0.0364+0.025386i,0.031792+0.0055857i,0.020904-0.014987i,0.0074945-0.024512i,-0.0059777-0.016927i,-0.011217-0.0034332i,-0.0093603+0.0025981i,-0.0079792+0.0036228i
-0.085001-0.020014i,-0.14686-0.049113i,-0.14142-0.073517i,-0.083784-0.097663i,-0.055512-0.12163i,-0.035544-0.082955i,-0.0070014+0.0024733i,0.00023547+0.039023i,-0.0077028+0.027935i,-0.0077796+0.013694i,-0.0069596-0.0013666i,-0.015102-0.011135i,-0.022655-0.016448i,-0.030338-0.026338i,-0.039636-0.02768i,-0.038804-0.016827i,-0.027709-0.0039413i,-0.013445+0.0076664i,-0.0026203+0.014341i,-0.0011289+0.018504i,-0.0045049+0.02438i,-0.0058776+0.02839i,-0.0030929+0.026276i
0.072919-0.04005i,0.13507-0.0624i,0.12748-0.041175i,0.066092+0.026318i,0.047181+0.075309i,0.039377+0.039885i,-0.0010341-0.032079i,-0.029591-0.044358i,-0.022946-0.016431i,-0.0073602-0.0068972i,-0.00025095-0.010409i,0.0046235-0.0080393i,0.014405+0.0034103i,0.028524+0.01511i,0.036596+0.012292i,0.028755-0.0019319i,0.0094607-0.013827i,-0.0073646-0.015838i,-0.0084116-0.011641i,0.008681-0.011623i,0.029104-0.016655i,0.036892-0.019144i,0.032626-0.015431i
-0.035565+0.079071i,-0.063475+0.14244i,-0.065355+0.13607i,-0.059198+0.05489i,-0.10269-0.0083883i,-0.14534+0.0037031i,-0.10899+0.056311i,-0.037046+0.073223i,0.0015811+0.051492i,0.0091373+0.032795i,0.0072001+0.021883i,0.0038014+0.014556i,0.0025079+0.0086574i,-0.0039988+0.0023089i,-0.013561+0.0055706i,-0.011887+0.016202i,0.00086348+0.019243i,0.011994+0.010215i,0.0096999-0.0045708i,-0.0091174-0.015941i,-0.030393-0.018544i,-0.035923-0.013925i,-0.027008-0.011254i
-0.026516-0.084468i,-0.048722-0.15415i,-0.047072-0.15736i,-0.00021163-0.086746i,0.074378-0.016802i,0.1245+0.0011292i,0.097592-0.017297i,0.03961-0.019819i,0.016822-0.0076885i,0.012087-0.0084392i,0.0023454-0.013255i,-0.0014331-0.012579i,0.0049988-0.014434i,0.014244-0.020501i,0.015992-0.028295i,0.0056874-0.03247i,-0.0094391-0.027295i,-0.020837-0.016696i,-0.024684-0.0026593i,-0.017059+0.013516i,-0.0055325+0.021088i,-0.0046212+0.015881i,-0.011684+0.007672i
0.069859+0.056515i,0.13446+0.097413i,0.13591+0.10824i,0.052409+0.085856i,-0.049837+0.070195i,-0.10062+0.08327i,-0.062485+0.091338i,0.0045334+0.060529i,0.031112+0.017818i,0.031518+0.0033632i,0.031457+0.0080187i,0.028741+0.010125i,0.016129+0.0083422i,-0.0027997+0.01089i,-0.01078+0.018034i,-0.0027374+0.019379i,0.005786+0.014173i,0.01012+0.0092426i,0.012527+0.005429i,0.01299+0.0031168i,0.01356+0.0077242i,0.014954+0.016425i,0.015682+0.020747i
-0.094295+0.0090636i,-0.16962+0.017316i,-0.17464+0.018256i,-0.072092-0.0029022i,0.061876-0.055851i,0.12967-0.11331i,0.099975-0.12654i,0.036562-0.09174i,0.004916-0.049697i,-0.01096-0.031846i,-0.023127-0.018331i,-0.022893-0.008375i,-0.017403-0.011372i,-0.010707-0.017004i,-0.010086-0.01753i,-0.015559-0.0096737i,-0.014564+0.00095753i,-0.0057125+0.0059614i,0.003361+0.00080322i,0.0053688-0.017076i,0.00044231-0.037046i,-0.0044491-0.041443i,-0.004521-0.029769i
0.063465-0.060769i,0.12242-0.11355i,0.13837-0.13165i,0.071937-0.086878i,-0.032222+0.0055602i,-0.10425+0.078975i,-0.09909+0.094157i,-0.042507+0.058848i,-0.013174+0.013434i,-0.0013055+0.0018112i,0.020996-0.0012502i,0.032577-0.0093918i,0.030995-0.0044526i,0.025803+0.0094041i,0.022759+0.016318i,0.024378+0.0095512i,0.022904-0.0050194i,0.01301-0.017204i,-0.0053035-0.017021i,-0.024841+0.0025827i,-0.033359+0.027114i,-0.025253+0.033462i,-0.011503+0.021552i
-0.020029+0.090264i,-0.040133+0.16962i,-0.049353+0.19744i,-0.025373+0.12457i,0.024527+0.0001298i,0.07686-0.088831i,0.075991-0.11403i,0.022754-0.07746i,-0.0048255-0.021392i,-0.005748+0.0036535i,-0.010825+0.011359i,-0.016832+0.016148i,-0.023708+0.015303i,-0.026588+0.010287i,-0.023677+0.00341i,-0.01831+0.0011734i,-0.012602+0.0017097i,-0.0079237+0.0030276i,0.0010665+0.0059307i,0.016521+0.0059102i,0.026731+0.0041855i,0.021473+0.0041708i,0.0086595+0.0061193i
-0.041612-0.073929i,-0.073981-0.15222i,-0.087416-0.17802i,-0.072221-0.10979i,-0.068016-0.011111i,-0.095437+0.061447i,-0.091206+0.088799i,-0.050828+0.057561i,-0.022203+0.020477i,-0.00026959+0.0094479i,0.016394-0.007224i,0.01783-0.020767i,0.023884-0.017172i,0.034048-0.012235i,0.035017-0.01036i,0.0261-0.011243i,0.011424-0.010548i,0.00081541-0.004464i,-0.00246-0.00075092i,0.00045895-0.0029387i,0.0075299-0.0092582i,0.013293-0.015861i,0.014851-0.018471i
0.080865+0.037658i,0.15999+0.087041i,0.19439+0.099589i,0.14707+0.059455i,0.096318+0.010948i,0.081619-0.049495i,0.040692-0.080709i,-0.001926-0.036246i,8.7223e-05+0.0041174i,0.0054658+0.0013792i,-0.00039944+0.0041327i,0.000432+0.014799i,-0.0013276+0.016781i,-0.007252+0.012428i,-0.010039+0.004769i,-0.0085379-0.00016813i,-0.0033747-0.0041049i,0.0027148-0.01005i,0.0023049-0.018015i,-0.01194-0.023861i,-0.031956-0.020787i,-0.040216-0.010925i,-0.035678-0.00043373i
-0.085951+0.015734i,-0.18164+0.021853i,-0.21927+0.029273i,-0.15714+0.01654i,-0.10737-0.001061i,-0.10525+0.058004i,-0.061318+0.12352i,-0.0057908+0.092973i,0.0022989+0.040259i,0.0035403+0.017735i,0.0080256-0.0020526i,0.0045867-0.016783i,0.0068186-0.024211i,0.0088327-0.02925i,0.0030241-0.026709i,-0.0050779-0.018791i,-0.011097-0.0096799i,-0.014526-0.0010336i,-0.013075+0.010614i,-0.00075441+0.026679i,0.014886+0.036614i,0.016932+0.03303i,0.008714+0.023491i
0.062788-0.063556i,0.13933-0.1293i,0.16337-0.15846i,0.11347-0.099539i,0.10085-0.029964i,0.13165-0.061702i,0.10665-0.11278i,0.060512-0.073569i,0.049696-0.028937i,0.031301-0.026265i,0.010626-0.016996i,0.0069074-0.0014611i,0.00043966+0.0093667i,-0.008383+0.018199i,-0.01089+0.020034i,-0.0089043+0.016929i,-0.0051393+0.013296i,-0.0016732+0.0075541i,0.0014744-0.0030237i,0.004-0.01979i,0.0056169-0.029801i,0.011493-0.022253i,0.018112-0.0078391i
-0.010853+0.089443i,-0.032525+0.19178i,-0.034706+0.23059i,-0.03479+0.13814i,-0.087306+0.036127i,-0.14527+0.038498i,-0.10881+0.063294i,-0.038123+0.024365i,-0.014064-0.0025022i,-0.002333+0.0089986i,0.0064459+0.0098009i,0.0031579+1.083e-05i,-9.1222e-05-0.0096317i,-0.00078465-0.014346i,0.00044925-0.0098037i,0.0049543-0.0016368i,0.010135+0.0045274i,0.013804+0.0066893i,0.012449+0.0054615i,0.0049606+0.001463i,-0.0066236-0.0051566i,-0.014148-0.010071i,-0.0121-0.012988i
-0.040411-0.079404i,-0.086122-0.17757i,-0.11002-0.21183i,-0.058419-0.11884i,0.0523-0.029i,0.11655-0.040381i,0.070481-0.062217i,0.01435-0.039162i,0.0058489-0.029505i,-0.0050411-0.030962i,-0.01263-0.015648i,-0.0065085-0.0032027i,-0.0012349+0.0046221i,0.003985+0.0092389i,0.0063803+0.0064538i,0.0054626+0.00035789i,0.0032379-0.008944i,-0.0030562-0.017563i,-0.014996-0.017023i,-0.027763-0.001153i,-0.030172+0.019658i,-0.021014+0.023438i,-0.012928+0.013652i
0.082242+0.040726i,0.17746+0.0964i,0.22675+0.10962i,0.1337+0.04237i,-0.041859+0.0059574i,-0.12752+0.058552i,-0.082886+0.080765i,-0.038892+0.042586i,-0.030713+0.023042i,-0.0036173+0.022672i,0.019205+0.010927i,0.017277+0.001762i,0.011124-0.0007475i,0.0068944-0.0014132i,0.0045388-0.0023366i,0.0025549-0.0062458i,-0.00062644-0.0076572i,-0.00082106-0.0021552i,0.008482+0.0030961i,0.026783-0.0014366i,0.038872-0.0070992i,0.033465-0.0035591i,0.019501+0.00068803i
-0.084543+0.0076589i,-0.19582+0.014382i,-0.25543+0.038279i,-0.13915+0.071718i,0.074553+0.032517i,0.15952-0.066997i,0.093738-0.089563i,0.030266-0.04499i,0.0045916-0.023939i,-0.016798-0.020891i,-0.020672-0.0080857i,-0.010496+0.0026145i,-0.0027184+0.0071375i,0.0036946+0.0061916i,0.0054363+0.0022393i,0.002027-0.00060708i,-0.0027405-0.001762i,-0.0066674-0.0023837i,-0.011839-0.0019352i,-0.02119+0.00065177i,-0.025538-0.0036836i,-0.021088-0.012956i,-0.014817-0.013164i
0.062853-0.058122i,0.15485-0.12762i,0.20074-0.19482i,0.081298-0.19875i,-0.12072-0.091612i,-0.18975+0.045626i,-0.1221+0.082181i,-0.05766+0.056863i,-0.018653+0.046826i,0.017615+0.032501i,0.030745+0.0032837i,0.024334-0.014126i,0.017174-0.020145i,0.0099883-0.018694i,0.0036968-0.0117i,-0.0011251-0.0066204i,-0.0018986-0.0035054i,0.0035213-0.00252i,0.0086738-0.0077904i,0.0077508-0.013107i,0.00033311-0.0070609i,-0.0045667+0.0057633i,-0.00617+0.01177i
-0.019157+0.075937i,-0.061452+0.18378i,-0.06999+0.27766i,0.033889+0.24964i,0.17711+0.090967i,0.20189-0.057557i,0.12841-0.075347i,0.073051-0.029045i,0.039961-0.010011i,0.006769-0.0029816i,-0.005897+0.0063746i,-0.0031366+0.0086617i,-0.0023007+0.0056334i,-0.005586+0.0012488i,-0.0093826+6.3049e-06i,-0.0090493+0.0018558i,-0.0088503+0.0025874i,-0.013737+0.0045929i,-0.01503+0.014493i,-0.0029176+0.028621i,0.012403+0.030968i,0.014254+0.021306i,0.009385+0.016047i
-0.023411-0.077595i,-0.04461-0.19495i,-0.090794-0.29649i,-0.18854-0.24866i,-0.27143-0.070052i,-0.2381+0.069893i,-0.12802+0.074476i,-0.045355+0.029772i,0.0037742+0.015647i,0.030182+0.0006746i,0.021836-0.019103i,0.003887-0.021135i,-0.0010428-0.015462i,0.00082206-0.010581i,0.0015495-0.0055314i,0.00096609-0.00078501i,0.0033766+0.0030385i,0.0090049-9.495e-05i,0.0085727-0.015287i,-0.0025076-0.037284i,-0.010118-0.04729i,-0.0025747-0.038334i,0.0067862-0.026265i
0.05939+0.048281i,0.13822+0.13817i,0.2363+0.2198i,0.31797+0.16884i,0.3279-0.00082056i,0.23472-0.12478i,0.10646-0.1209i,0.032518-0.072938i,0.002682-0.050593i,-0.016173-0.026936i,-0.015142+0.00032578i,-0.0050132+0.010757i,-0.0022894+0.01402i,-0.0017727+0.015529i,0.0014756+0.0099852i,0.0053807+0.0019234i,0.0062985-0.0020507i,0.0040525+0.0010594i,0.0038098+0.011721i,0.0052677+0.023252i,-0.0013475+0.024471i,-0.012693+0.01675i,-0.014564+0.0086956i
-0.072141-0.009497i,-0.1859-0.047962i,-0.32031-0.082981i,-0.3934-0.024218i,-0.36243+0.11593i,-0.25873+0.19966i,-0.14442+0.16599i,-0.062878+0.087123i,-0.017066+0.03041i,0.0040163+0.00016048i,0.0039133-0.0096071i,0.00099393-0.008882i,0.0014852-0.010115i,0.0015351-0.0088783i,0.0014988-0.0038937i,0.00055743-0.00061349i,-0.00016643-0.0034424i,-0.003392-0.013903i,-0.015284-0.021873i,-0.027887-0.016988i,-0.024501-0.0028258i,-0.0093235+0.0053026i,-0.0033244+0.0051579i
0.066421-0.027301i,0.18175-0.051154i,0.32813-0.076184i,0.40482-0.13984i,0.36703-0.22964i,0.26041-0.24624i,0.14873-0.16348i,0.063663-0.072122i,0.0091613-0.025878i,-0.0092372-0.0025906i,0.0015416+0.0064855i,0.01053+0.0052862i,0.011221+0.0060373i,0.0096396+0.005544i,0.0034999+0.0026141i,-0.0028911-0.00089825i,-0.0059231-0.00096017i,-0.0023288+0.0075654i,0.014138+0.01434i,0.035404+0.0073154i,0.04027-0.0051413i,0.028277-0.0064054i,0.018301-0.0022742i
-0.034752+0.058218i,-0.12115+0.1327i,-0.24589+0.21263i,-0.3232+0.27749i,-0.29996+0.3188i,-0.20429+0.27932i,-0.10235+0.16169i,-0.038754+0.065417i,-0.0065709+0.028729i,0.010879+0.013079i,0.015444+0.002129i,0.012359-0.0021998i,0.0081988-0.007276i,0.005817-0.010601i,0.0047563-0.008071i,0.004958-0.0038307i,0.0034738-0.0028588i,-0.0041083-0.0055524i,-0.021801-0.0044758i,-0.042481+0.0046214i,-0.047141+0.0098811i,-0.035777+0.0029337i,-0.024758-0.0030964i
0.0010009-0.064692i,0.038052-0.16909i,0.11809-0.29074i,0.18972-0.37821i,0.18764-0.41225i,0.11886-0.3487i,0.042134-0.20329i,-0.00018029-0.080577i,-0.015183-0.01788i,-0.016916+0.0075785i,-0.010829+0.00953i,-0.0074199+0.0054276i,-0.0040232+0.005363i,-0.00057537+0.00322i,-0.0015702-0.00066906i,-0.0037523-0.0027083i,-0.0016515-0.0016397i,0.0089646-0.00036877i,0.0257-0.0078764i,0.03579-0.019793i,0.031006-0.017318i,0.019164-0.0019018i,0.009861+0.0073869i
0.030057+0.050287i,0.045942+0.15112i,0.016471+0.29225i,-0.052126+0.40766i,-0.091888+0.44738i,-0.073255+0.37635i,-0.03263+0.22311i,-0.0033246+0.097846i,0.019847+0.035663i,0.029179+0.00054731i,0.020616-0.017373i,0.011212-0.019586i,0.0040436-0.017558i,-0.00093099-0.012559i,0.0001215-0.0043031i,0.0033091+0.00042455i,0.0018979-0.00060103i,-0.0088038+0.00055978i,-0.021886+0.013714i,-0.021914+0.030706i,-0.0088821+0.030873i,0.00028041+0.017458i,0.00050592+0.01028i
-0.04992-0.026374i,-0.10802-0.099146i,-0.12892-0.22972i,-0.082412-0.36265i,-0.022361-0.42225i,0.00082437-0.36245i,0.0012089-0.21225i,0.0063828-0.083248i,0.0093663-0.024956i,0.0056314-0.0037991i,0.000884+0.0056549i,-3.7965e-05+0.010162i,0.0025652+0.011872i,0.0018978+0.010177i,-0.0022853+0.0068095i,-0.0043715+0.0038733i,-0.0017551+0.00094953i,0.0060159-0.0067636i,0.0098487-0.026146i,0.0015564-0.048667i,-0.0093774-0.05252i,-0.0087997-0.03855i,-0.0017704-0.025068i
0.050183-0.0064332i,0.12897+0.024532i,0.1923+0.12775i,0.18201+0.27952i,0.12326+0.37553i,0.06785+0.33448i,0.027192+0.19136i,0.0090374+0.068101i,0.011155+0.009689i,0.010482-0.013939i,0.0065783-0.019577i,0.0060466-0.019521i,0.0024486-0.017281i,0.00093073-0.011209i,0.004097-0.0088883i,0.0048613-0.0095295i,0.0012684-0.0085309i,-0.0042664-2.9588e-05i,-0.0025463+0.020614i,0.0074857+0.0417i,0.010766+0.046268i,0.0024779+0.035568i,-0.0033269+0.023184i
-0.03703+0.029149i,-0.11147+0.040697i,-0.19437-0.022075i,-0.21847-0.17855i,-0.18451-0.31171i,-0.12764-0.29192i,-0.065528-0.15905i,-0.0255-0.05787i,-0.016852-0.020249i,-0.013767+0.0036331i,-0.0023141+0.020935i,0.0070568+0.024218i,0.010877+0.018337i,0.0099997+0.010731i,0.0052643+0.0070509i,0.0012758+0.0060295i,-5.5305e-05+0.0030466i,-0.0024419-0.0073942i,-0.01293-0.023225i,-0.025682-0.032227i,-0.024882-0.027383i,-0.013011-0.017056i,-0.0057165-0.010769i
0.013524-0.04376i,0.061979-0.084849i,0.14275-0.060346i,0.20858+0.079573i,0.21915+0.22801i,0.17226+0.23727i,0.096099+0.13472i,0.039108+0.04564i,0.014015+0.00435i,0.001308-0.015031i,-0.0086434-0.023782i,-0.015081-0.023713i,-0.015113-0.017194i,-0.0082168-0.01088i,-0.002618-0.0084886i,-0.00064328-0.0068295i,-0.0018074-0.0027669i,0.00045539+0.0062892i,0.016303+0.015325i,0.036776+0.014686i,0.040391+0.0073944i,0.026896+0.0034313i,0.014468+0.0031088i
0.013358+0.039429i,-0.0016118+0.090406i,-0.070398+0.090836i,-0.17669-0.029476i,-0.2424-0.18068i,-0.20815-0.21119i,-0.11646-0.13455i,-0.053599-0.056842i,-0.027256-0.0098169i,-0.0035062+0.012124i,0.017841+0.012732i,0.024162+0.0092184i,0.020657+0.0068162i,0.013814+0.0037613i,0.0058829+0.003077i,0.0020919+0.00349i,0.0022539+0.0024185i,-0.0025698-0.002319i,-0.020882-0.0047234i,-0.043674+0.0023342i,-0.049785+0.0096021i,-0.039417+0.0074172i,-0.027363+0.0026384i
-0.033668-0.024556i,-0.050006-0.065407i,-0.006447-0.075237i,0.1185+0.011429i,0.22042+0.13518i,0.19364+0.16324i,0.088082+0.10287i,0.020239+0.050292i,0.0051152+0.027518i,-0.0014717+0.015076i,-0.011651+0.0065305i,-0.014832+0.0022321i,-0.012076+0.0013223i,-0.0086976-0.00022237i,-0.0049518-0.0031621i,-0.0026139-0.0051325i,-0.0021471-0.004716i,0.0039923-0.0045587i,0.019591-0.011842i,0.035424-0.023142i,0.039084-0.023599i,0.031618-0.01159i,0.021873-0.0013894i
0.031861-0.00032278i,0.065498+0.019215i,0.038099+0.030702i,-0.094544-0.0076652i,-0.221-0.075904i,-0.20765-0.091394i,-0.10502-0.047366i,-0.03362-0.0040546i,-0.0061159+0.012548i,0.0089031+0.010001i,0.019695+0.0019632i,0.024354-0.0041097i,0.019178-0.0075288i,0.01024-0.0054879i,0.0061941+0.00011043i,0.0058472+0.0021522i,0.0047865-0.00012358i,-0.0014765-0.00099616i,-0.011871+0.0098003i,-0.019144+0.025687i,-0.018985+0.027658i,-0.013689+0.017562i,-0.0066917+0.0097974i
-0.027463+0.014495i,-0.06126+0.020271i,-0.040285+0.015435i,0.09305+0.017163i,0.2302+0.040843i,0.22518+0.049557i,0.12986+0.026751i,0.068357+0.00045932i,0.047558-0.016883i,0.026717-0.020287i,0.0039532-0.0091941i,-0.0074184+0.00064513i,-0.0080021+0.0026524i,-0.0057535+0.00090762i,-0.004292-0.0023644i,-0.0043964-0.0033518i,-0.004051-0.0014434i,-0.00054124-0.0032005i,0.001995-0.017053i,-0.000555-0.034231i,-0.0038549-0.038125i,-0.0027113-0.029741i,8.45e-05-0.020438i
0.010511-0.026812i,0.031199-0.05407i,0.011083-0.058061i,-0.10146-0.032191i,-0.22081-0.020449i,-0.21284-0.027141i,-0.11895-0.023322i,-0.049242-0.012943i,-0.0181-0.0048151i,-0.0012828-0.0044455i,0.0089105-0.010474i,0.01176-0.013089i,0.009086-0.0077107i,0.0072379-0.00049814i,0.0068713+0.0016272i,0.0044407-0.0002107i,-0.00037795-0.0031895i,-0.0028655-0.00087054i,0.0023316+0.012546i,0.010363+0.02977i,0.01097+0.036505i,0.0040585+0.030272i,-0.0015903+0.019578i
0.0017125+0.028648i,0.0019001+0.063755i,0.029362+0.070344i,0.12042+0.017664i,0.21149-0.031636i,0.18652-0.026463i,0.089099-0.0093039i,0.023708-0.01424i,-0.0039061-0.021664i,-0.012927-0.012055i,-0.010147+0.0030497i,-0.0063124+0.010609i,-0.0045136+0.011089i,-0.0026857+0.0066667i,-0.0026531+0.00089444i,-0.0024159-0.00023721i,9.6797e-05+0.00038442i,-0.00052507-0.0030312i,-0.0097969-0.012681i,-0.021761-0.022803i,-0.023912-0.024858i,-0.016438-0.019484i,-0.011015-0.011359i
-0.018037-0.018282i,-0.040154-0.04794i,-0.081323-0.052127i,-0.15117+0.010465i,-0.20957+0.075895i,-0.17427+0.066862i,-0.085052+0.033699i,-0.03407+0.026214i,-0.018944+0.025227i,-0.010401+0.014902i,-0.0047354-0.00047093i,-0.0013942-0.01001i,0.00094536-0.011842i,0.0030829-0.0098635i,0.0041002-0.0051931i,0.0031578-0.00075514i,-0.00061379+0.00073536i,-0.0020244+0.00060647i,0.0075621+0.0021774i,0.021426+0.0040789i,0.025572+0.0049865i,0.019198+0.0051436i,0.012115+0.0041076i
0.023652+0.012066i,0.061543+0.026418i,0.10959+0.016381i,0.15316-0.055113i,0.17201-0.12213i,0.13234-0.10377i,0.059245-0.055214i,0.012508-0.030555i,4.8212e-05-0.016502i,0.0018223-0.0063086i,0.0059308+0.00095015i,0.0083461+0.0044847i,0.0083909+0.0033848i,0.0041025+0.00014744i,-0.0020155-0.00099005i,-0.0027907-0.00080703i,0.0020586-0.001236i,0.0038188-0.0020412i,-0.006225+0.00038607i,-0.021206+0.007909i,-0.025946+0.012424i,-0.019427+0.01113i,-0.010968+0.0095467i
-0.022945+0.0089955i,-0.062531+0.017721i,-0.10678+0.049529i,-0.12636+0.12051i,-0.12369+0.16939i,-0.096269+0.13249i,-0.046524+0.073002i,-0.0040228+0.04894i,0.020057+0.040078i,0.02576+0.025707i,0.019244+0.010833i,0.011213+0.003056i,0.0062439+5.2419e-05i,0.0047743-0.00022356i,0.0053658-0.0011372i,0.0037019-0.0010074i,-0.00045115+0.0015942i,-0.0018433+0.0030827i,0.0036953-0.0029072i,0.013106-0.01436i,0.017049-0.01871i,0.013388-0.014998i,0.0080054-0.010479i
0.015046-0.01457i,0.045925-0.039808i,0.079784-0.08759i,0.084746-0.15363i,0.074793-0.18442i,0.055172-0.13384i,0.021208-0.061076i,0.0003327-0.027073i,-0.0036986-0.016737i,-0.0022286-0.0090447i,0.0015558-0.0010834i,0.0047407+0.0027881i,0.0039135+0.0025187i,0.00010192+0.0033938i,-0.0015575+0.0053809i,-0.00062446+0.0011777i,0.00096865-0.0073842i,0.0016694-0.010841i,0.0004795-0.0023866i,-0.0026902+0.011572i,-0.0040923+0.015507i,-0.0020494+0.010633i,-0.00023774+0.0061382i
-0.00504+0.022754i,-0.019541+0.060094i,-0.030279+0.11572i,-0.014905+0.16625i,0.0021087+0.17426i,0.0050116+0.11519i,0.015936+0.0448i,0.029632+0.0094333i,0.030827-0.0087135i,0.019525-0.018846i,0.0070273-0.018671i,-0.00059295-0.014234i,-0.0025498-0.010135i,0.00032666-0.0076165i,0.003145-0.0072423i,0.0032278-0.0041442i,0.0022319+0.0022294i,0.000807+0.0048529i,-0.0021985-0.0024133i,-0.0060598-0.013347i,-0.0092257-0.016141i,-0.010168-0.012539i,-0.010861-0.0077718i
-0.0030597-0.016433i,-0.0078616-0.05709i,-0.018513-0.11567i,-0.047208-0.16196i,-0.066853-0.16529i,-0.057144-0.11204i,-0.048814-0.051179i,-0.046353-0.025348i,-0.035383-0.016637i,-0.017228-0.0093254i,-0.0013896-0.0060676i,0.0063971-0.006343i,0.0083628-0.0049658i,0.0083908-0.0014061i,0.004952+0.0006982i,-0.0014038-4.4577e-05i,-0.0058093-0.0043469i,-0.0058548-0.0084199i,7.5025e-05-0.0056291i,0.0081724+0.0025994i,0.012494+0.0074945i,0.01297+0.0073667i,0.011465+0.0052874i
0.013815+0.012249i,0.035653+0.041963i,0.065226+0.089918i,0.09582+0.12225i,0.10016+0.11528i,0.068826+0.073737i,0.041427+0.031603i,0.025791+0.012393i,0.013156+0.007775i,0.00598+0.0074807i,0.0038105+0.006801i,0.0032574+0.0051209i,0.0028974+0.0026463i,0.0025233-0.0010666i,0.0013204-0.0042637i,0.0016785-0.0026503i,0.0048939+0.0023414i,0.0063993+0.0045324i,-0.00068553+0.0022161i,-0.013409-0.0013684i,-0.020278-0.00032584i,-0.018537+0.0035359i,-0.012963+0.006111i
-0.015459-0.0044096i,-0.045841-0.020853i,-0.091313-0.049543i,-0.12872-0.064023i,-0.12633-0.053639i,-0.084987-0.026254i,-0.049191+0.0037701i,-0.033834+0.021404i,-0.024097+0.025214i,-0.01279+0.020651i,-0.0039883+0.013379i,-0.00095328+0.0060278i,-0.0018561+0.0014148i,-0.0032752-0.00014905i,-0.0019915+0.00081283i,-0.00208+0.0013731i,-0.0063148+5.4463e-05i,-0.010007-0.002036i,-0.0058331-0.0042475i,0.0042705-0.0068616i,0.0098923-0.0095092i,0.0092229-0.010944i,0.0075891-0.010432i
