-0.0018372+0.0015117i,-0.0026575+0.0014668i,-0.0019751+0.0013235i,-0.0016842+0.00040113i,-0.001536+0.00044434i,-4.3846e-05+0.0012682i,0.00058538+0.0020009i,0.00099688+0.0013575i,0.0013506+0.0006581i,0.0014639+0.00099607i,0.0014284+8.8361e-05i,0.0005678-0.0011474i,0.00032685-0.00071129i,0.0002756-0.00027763i,-7.7113e-05-0.00028954i,-1.383e-05+0.00017894i,0.00022596+0.00038705i,0.00053848+0.00064845i,-3.8827e-06+0.00057057i,-0.00023965-0.00024375i,0.00057584-0.00037238i,0.00062091+6.6361e-06i,-0.00016999-7.3893e-05i
-0.091497+0.10962i,-0.26571+0.20955i,-0.45856+0.24048i,-0.46426+0.16494i,-0.26904+0.085134i,-0.093313+0.083553i,-0.012492+0.10249i,0.01774+0.07647i,0.01241+0.033519i,0.00062309+0.010944i,0.0041149+0.0046111i,0.009746+0.0008124i,0.00571-0.00056284i,0.0012673+0.00377i,0.0041677+0.0076457i,0.0055794+0.0052816i,0.0017212+0.0027049i,-0.00019178+0.0044552i,0.0021367+0.0047132i,0.0025658+0.0022783i,-0.0011946-0.00021307i,-0.0037462-0.0016225i,-0.0035995-0.0013898i
-0.03792-0.12038i,-0.016437-0.29474i,0.067913-0.43159i,0.12696-0.38145i,0.073365-0.21872i,-0.013752-0.12726i,-0.059715-0.10414i,-0.061372-0.068515i,-0.03616-0.029147i,-0.015265-0.0099335i,-0.011493+0.00081195i,-0.01261+0.0090464i,-0.010673+0.0076434i,-0.01063-0.00061233i,-0.011479-0.0044887i,-0.0078575-0.0032969i,-0.0012088-0.0021755i,0.0025789-0.0010572i,0.00096591-8.4563e-05i,-0.0017674+0.00022574i,-0.0012126+0.00081879i,0.00093367+0.00035318i,0.0018857-0.0023413i
0.10562+0.034104i,0.22348+0.14243i,0.27298+0.28142i,0.19349+0.30457i,0.10293+0.18222i,0.076984+0.061022i,0.070687+0.010992i,0.046761+0.0010783i,0.018485+0.0059274i,0.0047273+0.0099151i,-0.0011056+0.0040104i,-0.0029714-0.0020614i,0.0040133+0.00076415i,0.014409+0.0037835i,0.015566+0.00041968i,0.0089519-0.0027488i,0.0014819-0.0030437i,-0.0031119-0.0033376i,-0.0032103-0.0037537i,-0.0019011-0.0030781i,-0.0006805-0.00072219i,0.00047764+0.001234i,-0.00091456+0.0027165i
-0.074936+0.057805i,-0.21371+0.086048i,-0.33595+0.05201i,-0.29605-0.013344i,-0.14414-0.014297i,-0.034148+0.031387i,0.0036133+0.055659i,0.0093665+0.045347i,0.0053699+0.021394i,0.0023276+0.0033203i,0.0072511-0.0051327i,0.011566-0.0090233i,0.0058826-0.01143i,-0.0020732-0.0095602i,-0.0035403-0.0043428i,-0.0013936-0.0024565i,0.00016057-0.0029209i,0.0022479-0.0014232i,0.0034037+0.0013391i,0.0019697+0.0033494i,-0.00047037+0.0019816i,-0.0015751-0.0006885i,-0.00015456-0.00063488i
-0.005179-0.08481i,0.054548-0.19533i,0.1629-0.26176i,0.20294-0.19656i,0.11739-0.094089i,0.01196-0.063385i,-0.036145-0.065551i,-0.033709-0.051235i,-0.012155-0.028754i,-0.00034249-0.010697i,-0.0020365+0.0057516i,-0.0055056+0.015258i,-0.0069917+0.01198i,-0.0087661+0.0039717i,-0.0098834+0.00029254i,-0.0063122+0.0010883i,0.00042656+0.0017372i,0.0032668+0.00071786i,0.001957-0.0013731i,0.001788-0.0026325i,0.0024844-0.0020158i,0.0027863-0.001477i,0.0027726-0.0015668i
0.059285+0.036354i,0.10143+0.13028i,0.086235+0.2347i,0.02224+0.21981i,-0.0015764+0.10329i,0.026584+0.029214i,0.05074+0.013812i,0.044323+0.0080123i,0.019933+0.0035127i,-0.0010357+0.0017147i,-0.011438-0.0014702i,-0.012771-0.0043326i,-0.0057154-0.001485i,0.0039035+0.0041654i,0.0064638+0.005959i,0.0023418+0.0049435i,-0.0032463+0.0025676i,-0.0061975-0.0013345i,-0.0050241-0.0035495i,-0.0022957-0.003166i,-0.00090979-0.0022814i,-0.00068947-0.00080116i,-0.0010247+4.7083e-05i
-0.058655+0.025081i,-0.14864+0.011131i,-0.21651-0.055217i,-0.17186-0.10185i,-0.070309-0.062639i,-0.016891-0.0060451i,-0.0071648+0.016369i,-0.006768+0.014149i,-0.0074956+0.00080439i,-0.0043591-0.01221i,0.0036997-0.018152i,0.0092793-0.018435i,0.0071727-0.016962i,0.0027249-0.014023i,0.0019216-0.010145i,0.0030411-0.0064991i,0.0039791-0.0033115i,0.0045866-0.0005888i,0.0031093+0.001232i,0.00042676+0.001888i,-0.00059971+0.0015066i,-0.0007413+0.0010094i,-0.00030414+0.0012349i
0.015453-0.050904i,0.072368-0.10771i,0.15096-0.11398i,0.15173-0.047462i,0.068166-0.0031418i,0.00067746-0.015168i,-0.023748-0.034558i,-0.023653-0.030025i,-0.0095609-0.010784i,0.0027105+0.0049429i,0.0050495+0.014844i,0.0034576+0.023155i,0.0036533+0.026397i,0.0055487+0.020859i,0.006862+0.012109i,0.0056779+0.0052385i,0.0049578+0.0024957i,0.0046546+0.0026538i,0.0033725+0.0019871i,0.0017999+0.00029429i,0.0010685-0.00068976i,0.0015104-0.0011815i,0.001264-0.0012512i
0.028783+0.031731i,0.036211+0.10445i,-0.0020549+0.17005i,-0.045227+0.14562i,-0.024256+0.069314i,0.021602+0.023556i,0.041292+0.015015i,0.032594+0.017655i,0.012209+0.017146i,-0.0022561+0.012461i,-0.0096505+0.0040173i,-0.015361-0.0025644i,-0.015955-0.0041716i,-0.0094175-0.0040693i,-0.0043647-0.00391i,-0.0063041-0.0035334i,-0.010538-0.0020729i,-0.010766-0.0005844i,-0.0078742-0.00023376i,-0.0043246-0.00049718i,-0.002561-0.0013593i,-0.0021845-0.002471i,-0.00068247-0.002526i
-0.037468+0.0058913i,-0.085476-0.022156i,-0.10022-0.07822i,-0.047842-0.096371i,-0.00085665-0.051789i,0.0042573-0.0076473i,-0.001554+0.0091209i,-0.0044256+0.0060736i,-0.0032775-0.0063401i,-0.00064882-0.016007i,0.0040482-0.020019i,0.0085256-0.023272i,0.0067673-0.025457i,0.0011053-0.022643i,-0.00196-0.01696i,-0.0010772-0.010851i,0.0013919-0.0050716i,0.0025819-0.0010123i,0.0024949+0.00078653i,0.0015706+0.0012878i,-0.00016756+0.0023898i,-0.0012702+0.0033102i,-0.00029619+0.0023989i
0.013199-0.029357i,0.056368-0.051763i,0.11177-0.036877i,0.10981+0.004104i,0.052555+0.012989i,0.0080751-0.0035602i,-0.0069379-0.01715i,-0.0018511-0.019881i,0.0082754-0.01203i,0.011032+0.00026159i,0.008613+0.013847i,0.0098569+0.0255i,0.012159+0.031364i,0.011492+0.030111i,0.0095674+0.023918i,0.0088908+0.016571i,0.0094321+0.0081881i,0.008344+0.0015429i,0.0053699-0.0012692i,0.0036198-0.0023456i,0.0026728-0.0018181i,0.0012522-0.00013144i,0.00050987+0.00093355i
0.0092023+0.026656i,-0.00040288+0.068216i,-0.043329+0.095148i,-0.071378+0.065065i,-0.041763+0.015814i,0.0001249+0.00067208i,0.020034+0.007935i,0.020377+0.014444i,0.0092036+0.015338i,-0.0023531+0.011903i,-0.011347+0.0065042i,-0.019947+0.0021395i,-0.023346-1.0879e-05i,-0.019345-0.0016573i,-0.013062-0.0025667i,-0.0094003-0.0023627i,-0.0084432-0.0015308i,-0.0072638-0.00049035i,-0.0054804-0.00033751i,-0.0035491-0.0014591i,-0.00041367-0.0018177i,0.0026631-0.00085999i,0.0035363-0.00070697i
-0.021081-0.0051988i,-0.043175-0.030501i,-0.041472-0.068674i,-0.010323-0.070047i,0.0063871-0.031471i,0.00037802-0.0079686i,-0.010655-0.0054389i,-0.017768-0.0049418i,-0.016414-0.0046463i,-0.0099194-0.0078996i,-0.0034924-0.0152i,0.0011104-0.022676i,0.002828-0.027318i,0.004088-0.02627i,0.004918-0.019672i,0.0037871-0.013095i,0.0017743-0.0082245i,-0.00063135-0.003773i,-0.00057573-0.00035557i,0.00072444+0.0009099i,-0.00013546+0.0008498i,-0.0011894+0.0011259i,-0.00075554+0.0012215i
0.0098895-0.016987i,0.033611-0.017986i,0.054588+0.007594i,0.039474+0.03899i,0.011483+0.034045i,-0.0014623+0.0076194i,-0.0060768-0.012076i,-0.0067271-0.014346i,-0.0035289-0.0063014i,0.00065408+0.0017118i,0.005325+0.0096648i,0.01231+0.019099i,0.018043+0.025606i,0.016829+0.023205i,0.010653+0.014616i,0.0049428+0.0074137i,0.0040589+0.0029173i,0.0046543+4.3627e-05i,0.0025273-0.0015429i,3.7684e-05-0.0031149i,-0.0017589-0.0044085i,-0.0024986-0.0042227i,-0.0021256-0.0027705i
0.002222+0.016527i,-0.0061584+0.041126i,-0.027759+0.054116i,-0.033368+0.032568i,-0.0109+0.0076544i,0.010398+0.00034353i,0.017433+0.0038749i,0.013386+0.0068929i,0.0041447+0.0048995i,-0.0034553+0.0024131i,-0.010615+0.0013438i,-0.019453+0.00073007i,-0.02348-0.00039265i,-0.020202-0.0020673i,-0.013726-0.0037728i,-0.0091049-0.0042539i,-0.0075051-0.0019336i,-0.004125+0.00066213i,-0.00083723+0.00089806i,-0.00033917+0.0011145i,-0.00053422+0.0025671i,-0.00038801+0.0034129i,0.00020558+0.0014062i
-0.012813-0.0033122i,-0.018973-0.023224i,-0.0022118-0.04851i,0.024819-0.047426i,0.025836-0.023572i,0.012588-0.0060937i,0.004966-0.0024538i,0.0030967-0.0085396i,0.0013354-0.01416i,-0.0012755-0.015288i,-0.0023225-0.016342i,-0.00032824-0.020449i,0.0012996-0.022877i,0.0020954-0.018158i,0.0048978-0.0079743i,0.007531-0.0018377i,0.0073095-0.0011787i,0.0046815-0.0013662i,0.0022176-0.00024962i,0.00069191+0.0014474i,-0.00043447+0.0023099i,-0.00089862+0.0032817i,-0.00066232+0.004012i
0.0041287-0.0034272i,0.016399+0.00016574i,0.024679+0.018964i,0.015994+0.029931i,0.0064502+0.016492i,0.0067028+0.0018955i,0.010506-0.0040558i,0.015748-0.00562i,0.017569-0.0035778i,0.014715-0.00056245i,0.013161+0.0042725i,0.017204+0.01119i,0.021308+0.01474i,0.018602+0.013107i,0.011526+0.009442i,0.0068756+0.007033i,0.0054149+0.0046022i,0.0028962+0.001349i,-0.00022925-0.001366i,-0.00057045-0.0033456i,0.00060904-0.0041296i,0.0013575-0.0038166i,0.0010024-0.0026914i
0.0075496+0.0077205i,-0.0007144+0.01239i,-0.020794+0.0060023i,-0.030518-0.0072914i,-0.017951-0.011691i,-0.0013756-0.0056844i,0.0068561+0.0039093i,0.0070666+0.012687i,0.0059535+0.01529i,0.0044005+0.01026i,-0.0023044+0.0057189i,-0.013094+0.0052606i,-0.018411+0.0055868i,-0.014272+0.0024094i,-0.009396-0.0030128i,-0.008342-0.0061886i,-0.0078383-0.0041244i,-0.0046242-3.6515e-05i,-0.0008183+0.0012629i,0.0015419+0.001044i,0.0021347+0.00044434i,0.001797-0.00075956i,0.00211-0.0013933i
-0.0082862-0.0026488i,-0.0085847-0.0075594i,0.0011239-0.011498i,0.013593-0.0018104i,0.013101+0.010465i,0.0044014+0.0082848i,-0.0038611+0.0014371i,-0.011166+0.0011075i,-0.014289+0.0043792i,-0.010887+0.0045935i,-0.0059598-0.0022489i,-0.0041984-0.011385i,-0.0044854-0.013584i,-0.0043573-0.0076756i,-0.0020404-0.0019962i,0.00089089-0.00075386i,0.0018708-0.00054073i,0.0020499+0.0010079i,0.001982+0.0024204i,0.00087621+0.001945i,-7.4639e-05+0.00050761i,-0.0010436+6.9753e-05i,-0.0019473+0.00014452i
0.00091241-0.00015445i,0.0071024+0.0070794i,0.010989+0.020304i,0.0064407+0.024917i,0.0032393+0.014453i,0.0031344+0.0013805i,7.8879e-05-0.0052349i,-0.0049641-0.0059943i,-0.006539-0.0026473i,-0.0029404+6.6568e-05i,0.0030485+0.00209i,0.0090341+0.0049426i,0.011778+0.0049379i,0.0088381+4.5857e-07i,0.0012329-0.0031967i,-0.0033596-0.0010868i,-0.0032123-0.00039687i,-0.0028893-0.0018749i,-0.0023907-0.0022846i,-0.0028288-0.0015474i,-0.0032956-0.0004827i,-0.0022252-2.2092e-05i,-0.0013812-0.0008607i
0.0023762-0.00082502i,-0.0020865-0.00068093i,-0.0060789-0.0030621i,-0.00075484-0.0097184i,0.0053526-0.011319i,0.0052507-0.0077624i,0.0037743-0.0031186i,0.0031315-0.0022825i,0.00069969-0.0039586i,-0.0021929-0.0023375i,-0.0049083+0.0020013i,-0.0071473+0.0059473i,-0.0067089+0.007029i,-0.0023895+0.004188i,0.0020451-0.00011537i,0.0023368-0.0029304i,0.0011444-0.0043354i,0.00072327-0.0050483i,6.2074e-05-0.0037176i,0.00095639-0.00056632i,0.0023911+0.00089405i,0.0023846+0.0014393i,0.0024779+0.0018039i
-0.0012274+0.002211i,0.00039354+0.00025363i,0.0077635-0.0054588i,0.014021-0.0054932i,0.01066-0.001464i,0.0067977+0.00080391i,0.0080587-0.0021812i,0.0089894-0.0083264i,0.0038064-0.011776i,-0.0031369-0.010035i,-0.0056158-0.0077004i,-0.0047348-0.0079341i,-0.0053116-0.0053685i,-0.0040632+0.0017992i,0.0015938+0.0072436i,0.0073084+0.0063933i,0.0087653+0.0036842i,0.0057676+0.0025275i,0.0025027+0.0012475i,0.0013381+0.00038471i,0.0018883+0.00017327i,0.0022239+0.00018019i,0.0013102+0.0014303i
-0.0026134-0.00066253i,-0.0043929+0.00085939i,-0.009519+0.0077314i,-0.013407+0.0098873i,-0.0074541+0.0032621i,0.0030769-0.0031033i,0.00809-0.0050853i,0.010486-0.0041761i,0.011399-0.0049583i,0.0093866-0.0059432i,0.0068042-0.0043057i,0.0059599-0.0030582i,0.0044419-0.0062219i,0.0012565-0.010507i,-0.0016615-0.0090338i,-0.0032154-0.0041754i,-0.0035705-0.00044936i,-0.004469+0.0011882i,-0.0050537+0.0001972i,-0.0039039-0.0011772i,-0.0032738-0.0014548i,-0.0025396-0.0011298i,-0.0011598-0.00035266i
-0.0008118-0.0019858i,-0.0027815-0.0051682i,-0.0045685-0.0067509i,-0.0030513-0.0049828i,-0.00060372-0.0021364i,0.0011378-0.0005394i,0.0027269+0.0031493i,0.0028782+0.008929i,0.0040679+0.01156i,0.0045337+0.0094094i,0.0012284+0.0072676i,-0.0020913+0.0068471i,0.00034554+0.0049953i,0.0049806+0.0010408i,0.004379-0.0031597i,0.00040871-0.0047547i,-0.00075332-0.0032813i,0.0014271-0.0029681i,0.0031917-0.0033622i,0.0035836-0.0024927i,0.0028876-0.0018248i,0.0014955-0.0016261i,0.00015916-0.0012938i
0.0012385+0.001971i,0.0033516+0.0062409i,0.0059246+0.011645i,0.007004+0.016148i,0.0059873+0.014398i,0.0020901+0.0062065i,-0.0038142+0.0013248i,-0.0084288+0.0040165i,-0.0096475+0.0070258i,-0.0077981+0.0043886i,-0.0061589-0.00035598i,-0.0050618-0.0011814i,-0.0035945+0.0031494i,-0.003038+0.0073504i,-0.0019106+0.006954i,-0.00016851+0.0049333i,0.00081533+0.0032924i,0.0021874+0.0020864i,0.002291+0.0014186i,0.00086155+0.0011975i,-0.00024485+0.0017575i,-0.0003121+0.0023707i,0.00078901+0.0022876i
0.0012963+0.00065178i,0.0014027+0.0028787i,0.0023029+0.0032319i,0.003393+0.0009639i,0.0054379-0.0025838i,0.0048001-0.0053559i,0.00028831-0.0064504i,-0.0039631-0.0053732i,-0.0038317-0.0035905i,0.0011752-0.0036675i,0.0049072-0.0037992i,0.00441-0.0034943i,0.00059654-0.0048814i,-0.0042479-0.0060079i,-0.0068263-0.0035019i,-0.0061511+4.8742e-07i,-0.004718+0.0015491i,-0.0042912+0.0024818i,-0.0036992+0.0022313i,-0.0030918+0.00028822i,-0.0029196-0.0011507i,-0.003684-0.0013479i,-0.003558-0.00093835i
-0.0028142-0.0032564i,-0.003962-0.0046698i,-0.001875-0.0072545i,0.0041429-0.0080558i,0.0082067-0.0057636i,0.0092523-0.0064006i,0.0087549-0.0087094i,0.0069296-0.0095238i,0.0048369-0.006874i,0.0035074-0.00051268i,0.0028102+0.0038682i,0.001993+0.0035445i,0.0039328+0.0011226i,0.0084362-0.0016692i,0.0097345-0.0036493i,0.0068226-0.0042939i,0.0035272-0.0038769i,0.0021359-0.0031985i,0.0023641-0.0026677i,0.0040061-0.0022542i,0.0045782-0.0014766i,0.0042097-0.00081051i,0.0030809-0.0016754i
-0.00052924+0.0030065i,-0.0017007+0.0047828i,-0.0022011+0.0065241i,-0.0015304+0.0062947i,0.0010588+0.0021937i,0.0065936-0.0031498i,0.010596-0.007526i,0.0089144-0.0094446i,0.0015239-0.0077146i,-0.0061108-0.0050667i,-0.009733-0.0039548i,-0.0089255-0.002387i,-0.0056644+0.0022334i,-0.0011775+0.0069558i,0.003722+0.0055625i,0.0062504+0.00092687i,0.006033-0.0014562i,0.0051534-0.0011822i,0.0029334+0.00041484i,-0.00046075+0.0022111i,-0.0018705+0.002659i,-0.0012677+0.0022284i,9.6389e-05+0.0019247i
-0.0045184-0.0029254i,-0.0069018-0.0019847i,-0.01026+0.0010006i,-0.010563+0.0040748i,-0.0057014+0.0034133i,0.0007967+0.00085888i,0.00505-0.00026711i,0.0058035+1.7541e-05i,0.0040175-0.0014742i,0.0022158-0.0035246i,0.0028357-0.0032629i,0.0019818-0.0016406i,-0.0028563-0.0010249i,-0.0063687-0.0011605i,-0.0061383-0.001213i,-0.0045059-0.00082932i,-0.0038535+1.3797e-06i,-0.0026231+0.00073154i,-0.0015405+0.00015617i,-0.0020531-0.00078129i,-0.0021067-0.001398i,-0.001604-0.0019257i,-0.00062531-0.00030619i
0.00027981-0.00058148i,0.0018251-0.00065522i,0.003124+0.0036621i,0.0048437+0.0080835i,0.0057998+0.0085925i,0.0057136+0.0087503i,0.0052132+0.011808i,0.0039731+0.01269i,0.0027621+0.010507i,0.0016803+0.010192i,0.00038093+0.010889i,0.00066057+0.0077799i,0.0032458+0.0012101i,0.0050793-0.0044433i,0.002992-0.0063991i,-0.0010314-0.0052048i,-0.0030666-0.004315i,-0.0019859-0.003546i,0.0001486-0.0019422i,0.0013829-0.0013593i,0.0023543-0.0011979i,0.0026863-0.001002i,0.0020119-0.0014898i
0.0054804+0.0012046i,0.0076856+0.0032307i,0.0077656+0.0043168i,0.0073987+0.0039791i,0.0081752+0.0029128i,0.0064032+0.0018313i,0.0016292+0.0025136i,-0.0016134+0.0039056i,-0.0036034+0.0027562i,-0.0060071-0.00089472i,-0.008052-0.003004i,-0.0064675-0.0017562i,-0.0017172+0.0012097i,0.0021354+0.0041015i,0.0036939+0.0049655i,0.0033271+0.0043284i,0.0029729+0.0037613i,0.003317+0.0029966i,0.0021303+0.0030461i,-0.0009824+0.0028461i,-0.0035132+0.0016292i,-0.0034971+0.00055564i,-0.0011092+0.00016702i
-0.0021078-0.00212i,-0.0052378-0.0031612i,-0.0054995-0.0072241i,-0.0017563-0.0082049i,0.0010467-0.0051606i,-0.00043453-0.0038215i,-0.0034709-0.0036567i,-0.003252-0.0027941i,0.00090305-0.0046457i,0.0050327-0.0077963i,0.0065004-0.0083063i,0.0030293-0.0051722i,-0.0031722+6.3402e-05i,-0.0071174+0.0041618i,-0.0062608+0.0063628i,-0.0027144+0.0065019i,-0.00067741+0.003966i,0.00026449+0.0017643i,0.00095325-1.004e-05i,0.001182-0.0020512i,0.001185-0.0026891i,0.00063337-0.0020556i,-0.00069726-0.0015914i
-0.0056526-0.0020896i,-0.0066334+0.00026315i,-0.0043568+0.0050106i,0.00016221+0.0065426i,0.0024356+0.0035684i,0.0038203-0.0016721i,0.004086-0.0066535i,0.0037747-0.0086292i,0.0047407-0.0048326i,0.0058454+0.0021316i,0.0047654+0.0042608i,0.0015893+0.0006907i,0.00035886-0.0050116i,0.0017317-0.0079433i,0.0020384-0.0074583i,0.0017976-0.0054058i,0.0015487-0.0048132i,0.0008682-0.0054639i,0.0012631-0.0036196i,0.0021357-0.0018541i,0.0028045-0.0010943i,0.0024468+0.00025933i,0.0019064+0.00095165i
-0.00034657-0.0021548i,0.0011862-0.0016563i,-0.00018369+0.0011775i,-0.0018463+0.0029151i,-0.00017141+0.0019746i,0.0027557-0.0018057i,0.0034285-0.0067471i,0.00077476-0.006558i,-0.0034814-0.0015589i,-0.0073499+0.00095708i,-0.008821-0.0012226i,-0.0064386-0.002089i,-0.00087314-0.00080703i,0.0046352-0.00053915i,0.0063227-0.0019273i,0.00485-0.00271i,0.0027995-0.00095905i,0.0011877+0.00014584i,-0.00021972-0.00012514i,-0.00083239+0.00085184i,-0.0013795+0.002094i,-0.0017654+0.002448i,-0.0012013+0.0024155i
0.0026772+0.00031909i,0.0023832+0.00085369i,0.00045702+0.0034887i,6.9656e-05+0.0051292i,0.0025707+0.0030783i,0.0037228+0.0007157i,0.0029905+0.00096913i,0.0014075+0.0022885i,-1.0136e-05+0.0021643i,0.00061128-3.0026e-05i,0.0020346-0.00083015i,0.0029773+0.0016967i,0.0015311+0.004587i,-0.0016626+0.005746i,-0.0045282+0.0043744i,-0.0062197+0.001599i,-0.0057752+0.001621i,-0.0039475+0.0032159i,-0.0023375+0.0025022i,-0.00077225+0.0001688i,0.00067606-0.0015777i,0.0013822-0.0018346i,0.0010545-0.00072411i
0.0050765+0.0015744i,0.0058552+0.0017722i,0.0060561+0.0028511i,0.0049308+0.003837i,0.005423+0.0024281i,0.0063458+0.0013173i,0.0065978+0.0031577i,0.0045931+0.0048238i,0.0014042+0.0050049i,5.9531e-05+0.0065383i,0.00081782+0.0080831i,0.0011184+0.0045745i,-0.0010686-0.0011187i,-0.004426-0.0051094i,-0.0056787-0.0060964i,-0.0040281-0.0039303i,-0.0018217-0.0026721i,-0.0006841-0.0020644i,0.00054574-0.00066346i,0.0017807+0.00046673i,0.0014345+0.00017284i,0.0011873-0.00085734i,0.001612-6.1864e-05i
-0.0029121-0.0017048i,-0.0045754-0.0013136i,-0.0028347-0.0016998i,0.00064916-0.0017598i,0.0045488-0.00068015i,0.0066046-0.00062222i,0.0062713-0.0017966i,0.0038521-0.003709i,-0.0011028-0.0044991i,-0.0061593-0.0034318i,-0.0072608-0.001671i,-0.0045903-6.0198e-05i,0.00029748+0.00074393i,0.0050829+0.00098862i,0.0062254+0.0013341i,0.0044819+0.0018623i,0.0029732+0.0018183i,0.0026087+0.0018596i,0.0017695+0.0014131i,0.00012256+0.00060983i,-0.0014986+0.00046237i,-0.0021338+0.00029449i,-0.0019005-0.00052414i
-0.004284+0.0018748i,-0.0045944+0.0016563i,-0.0022481+0.0024889i,0.0021143+0.0024723i,0.0044841+0.0012701i,0.0047404-0.00087102i,0.003291-0.0037436i,0.0017643-0.0062617i,0.0031001-0.0083938i,0.0049206-0.010457i,0.0045214-0.010598i,0.0020747-0.006284i,0.00033258+0.00093569i,0.00078489+0.0074568i,0.0017442+0.0075905i,0.0026771+0.0025842i,0.0011346-0.00070476i,-0.0021041-0.0019471i,-0.0035316-0.0018692i,-0.0023798-0.001366i,-0.00059596-0.0012578i,-0.00043501-0.0017913i,0.00022072-0.0018973i
0.0023316+0.00020937i,4.6009e-05-0.00094592i,-0.0013169+0.00039594i,-0.0016122+0.0016028i,-0.0015494+0.0011029i,0.0012198-0.00089007i,0.0046433-0.0020431i,0.0066463-0.0013736i,0.0070871-0.00069547i,0.0060289-0.00038306i,0.0032897+0.00028508i,-0.001475-0.00070495i,-0.0061159-0.0028189i,-0.00711-0.0038331i,-0.0040782-0.0046685i,-0.00012868-0.0042643i,0.0015223-0.0031734i,0.00085174-0.0024104i,0.00057075-0.0015465i,0.0019128-0.00091928i,0.002785-0.00084281i,0.0016968-0.00037139i,0.0002668+0.00021745i
-0.00043162-0.00038993i,0.0013727-0.00039498i,0.0017902+0.0012805i,0.0014476+0.0030818i,0.0017711+0.0028002i,0.0034261+0.0015232i,0.0035879+0.0025044i,0.0029182+0.0045225i,0.0010791+0.005742i,-0.0024746+0.0044023i,-0.0054403+0.0030987i,-0.0053188+0.0023687i,-0.0026104-0.00022659i,0.001164-0.0026379i,0.0026857-0.0024481i,0.00010792+0.00011775i,-0.00059727+0.0023399i,0.00011396+0.002848i,0.00048126+0.002654i,0.00072425+0.0032222i,-2.2089e-05+0.0030187i,-0.00089325+0.0018964i,-0.0012399+0.0011354i
-0.00097401+0.0042899i,-0.00020643+0.006282i,0.0020077+0.0080627i,0.0051506+0.0075358i,0.0075033+0.0050399i,0.0063426+0.0024939i,0.0033473+0.0031861i,0.00052165+0.0058396i,-0.00042596+0.0060014i,0.00046471+0.0028351i,0.001533-0.00048391i,0.0021803-0.0011291i,0.0029489+0.00080314i,0.0013073+0.003334i,-0.0013711+0.0037107i,-0.0029287+0.0022228i,-0.0022911+0.0010935i,-0.0011573-0.00032107i,-0.0017921-0.0019857i,-0.0012235-0.0029625i,6.6018e-05-0.002528i,0.0013865-0.0011645i,0.0022843-0.00078541i
-0.0014649-0.0019756i,-0.0020647-0.00081564i,-0.001625+0.00048686i,0.0004947+0.00092061i,0.0026743-0.00019884i,0.0031346-0.0015289i,0.0021575-0.0026543i,-0.00070059-0.0014711i,-0.00146+0.0019633i,0.0017897+0.0043598i,0.0044634+0.0038017i,0.0035593+0.0006428i,-0.0012161-0.0026593i,-0.0061229-0.0038989i,-0.0062054-0.0023189i,-0.0030634-0.00044914i,-9.9636e-05-0.00052344i,0.0024374-0.0018183i,0.0040985-0.0028436i,0.0036345-0.0021337i,0.0015208-0.00063121i,0.00036523+0.00043777i,-0.00027342+0.0011698i
0.0010552-0.002176i,-0.00030934-0.0023451i,-0.0021592-0.0025672i,-0.0015047-0.0030751i,0.00078647-0.0029649i,0.0015149-0.00393i,-0.00075345-0.0066943i,-0.0044332-0.007654i,-0.0068787-0.0058202i,-0.0066289-0.0023544i,-0.0052453+0.0012259i,-0.0026086+0.0022213i,0.0015576+0.00073006i,0.0050161+0.00035285i,0.0064223+0.0010025i,0.0056569+0.0012353i,0.0022069+0.0015873i,-0.00043647+0.0020537i,-0.00034417+0.0030313i,-0.00074472+0.0036696i,-0.0017778+0.0029452i,-0.002815+0.0013391i,-0.0017912+0.00085739i
0.0016532-0.00077305i,-0.00022096+0.00092827i,-0.0013742+0.0025904i,-0.0011607+0.0047599i,0.001292+0.0042602i,0.0033623+0.00011106i,0.00291-0.0037606i,0.00099522-0.0063286i,0.00026925-0.0084237i,-0.00073428-0.0084233i,-0.003546-0.0066979i,-0.0051435-0.0028276i,-0.0015111+0.0014419i,0.0022062+0.0039962i,0.0011057+0.0034385i,0.00029961+0.00042783i,0.00025645-0.0014446i,-0.0016466-0.0012786i,-0.003049-0.00086056i,-0.002627-0.00043374i,-0.0013727-0.00050453i,-0.00048731-0.00072556i,0.00015082-0.00040014i
-0.004048-0.00084497i,-0.0060623-0.001906i,-0.0057708-0.0027688i,-0.0042703-0.0014648i,-0.00070935-0.00086263i,0.0038939-0.001935i,0.006642-0.0033525i,0.0074222-0.0035779i,0.0067215-0.0025524i,0.0046306-0.002168i,0.0015787-0.0027341i,-0.00084469-0.0016897i,-0.0032463-0.00050996i,-0.0034313-0.0016291i,-0.0016012-0.002929i,-0.00065405-0.0030353i,6.4244e-05-0.0021778i,0.0015039-0.001027i,0.0034092-0.0013926i,0.0044457-0.0015062i,0.0039423+0.00067739i,0.0021935+0.0019461i,8.9261e-05+0.0015485i
